11240
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-neuvième extrait>,<>,<>
quelque,quelque,75
chose,chose,22
en,en,81
moi,moi,51
me,je,51
disait,dire,18
:,:,p
“,“,p
la,le,71
Vierge,Vierge,20
est,être,17
morte,mourir,12
et,et,82
tes,ton,73
prières,prière,22
sont,être,17
inutiles,inutile,30
/.,/.,P
“,“,p
j',je,51
allai,aller,18
me,je,51
mettre,mettre,14
à,à,81
genoux,genou,21
aux,à,81
aux,le,71
dernières,dernier,30
places,place,22
du,de,81
du,le,71
choeur,choeur,21
",",",",p
et,et,82
je,je,51
fis,faire,19
glisser,glisser,14
de,de,81
mon,mon,73
doigt,doigt,21
une,un,71
bague,bague,22
d',de,81
argent,argent,21
dont,dont,52
le,le,71
chaton,chaton,21
portait,porter,18
gravés,gravé,31
trois,trois,72
mots,mot,21
arabes,arabe,30
:,:,p
Allah,Allah,20
/!,/!,P
Mahomet,Mahomet,20
/!,/!,P
Ali,Ali,20
/!,/!,P
aussitôt,aussitôt,60
plusieurs,plusieurs,75
bougies,bougie,22
s',se,51
allumèrent,allumer,19
dans,dans,81
le,le,71
choeur,choeur,21
",",",",p
et,et,82
l',l',94
on,on,51
commença,commencer,19
un,un,71
office,office,21
auquel,à,81
auquel,lequel,52
je,je,51
tentai,tenter,19
de,de,81
m',je,51
unir,unir,14
en,en,81
esprit,esprit,21
/.,/.,P
quand,quand,83
on,on,51
en,en,52
fut,être,19
à,à,81
l',le,71
Ave Maria,Ave Maria,20
",",",",p
le,le,71
prêtre,prêtre,21
s',se,51
interrompit,interrompre,19
au,à,81
au,le,71
milieu,milieu,21
de,de,81
l',le,71
oraison,oraison,22
et,et,82
recommença,recommencer,19
sept,sept,72
fois,fois,22
sans,sans,81
que,que,83
je,je,51
pusse,pouvoir,18
retrouver,retrouver,14
dans,dans,81
ma,mon,73
mémoire,mémoire,22
les,le,71
paroles,parole,22
suivantes,suivant,30
/.,/.,P
on,on,51
termina,terminer,19
ensuite,ensuite,60
la,le,71
prière,prière,22
",",",",p
et,et,82
le,le,71
prêtre,prêtre,21
fit,faire,19
un,un,71
discours,discours,21
qui,qui,52
me,je,51
semblait,sembler,18
faire,faire,14
allusion,allusion,22
à,à,81
moi,moi,51
seul,seul,30
/.,/.,P
quand,quand,83
tout,tout,52
fut,être,19
éteint,éteindre,12
",",",",p
je,je,51
me,je,51
levai,lever,19
et,et,82
je,je,51
sortis,sortir,19
",",",",p
me,je,51
dirigeant,diriger,13
vers,vers,81
les,le,71
Champs-Elysées,Champs Elysées,20
/.,/.,P
arrivé,arrivé,31
sur,sur,81
la,le,71
place,place,22
de,de,81
la,le,71
Concorde,Concorde,20
",",",",p
ma,mon,73
pensée,pensée,22
était,être,18
de,de,81
me,je,51
détruire,détruire,14
/.,/.,P
à,à,81
plusieurs,plusieurs,75
reprises,reprise,22
",",",",p
je,je,51
me,je,51
dirigeai,diriger,19
vers,vers,81
la,le,71
Seine,Seine,20
",",",",p
mais,mais,82
quelque,quelque,75
chose,chose,22
m',je,51
empêchait,empêcher,18
d',de,81
accomplir,accomplir,14
mon,mon,73
dessein,dessein,21
/.,/.,P
les,le,71
étoiles,étoile,22
brillaient,briller,18
dans,dans,81
le,le,71
firmament,firmament,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
il,il,51
me,je,51
sembla,sembler,19
qu',que,83
elles,ils,51
venaient,venir,18
de,de,81
s',se,51
éteindre,éteindre,14
à,à,81
la,le,71
fois,fois,22
comme,comme,83
les,le,71
bougies,bougie,22
que,que,52
j',je,51
avais,avoir,18
vues,voir,12
à,à,81
l',le,71
église,église,22
/.,/.,P
je,je,51
crus,croire,19
que,que,83
les,le,71
temps,temps,21
étaient,être,18
accomplis,accomplir,12
",",",",p
et,et,82
que,que,83
nous,nous,51
touchions,toucher,17
à,à,81
la,le,71
fin,fin,22
du,de,81
du,le,71
monde,monde,21
annoncée,annoncé,31
par,par,81
l',le,71
apocalypse,apocalypse,22
de,de,81
Saint Jean,Saint Jean,20
/.,/.,P
je,je,51
croyais,croire,18
voir,voir,14
un,un,71
soleil,soleil,21
noir,noir,30
dans,dans,81
le,le,71
ciel,ciel,21
désert,désert,30
et,et,82
un,un,71
globe,globe,21
rouge,rouge,30
de,de,81
sang,sang,21
au-dessus,au-dessus,60
des,de,81
des,le,71
Tuileries,Tuileries,20
/.,/.,P
je,je,51
me,je,51
dis,dire,19
:,:,p
“,“,p
la,le,71
nuit,nuit,22
éternelle,éternel,30
commence,commencer,17
",",",",p
et,et,82
elle,il,51
va,aller,17
être,être,14
terrible,terrible,30
/.,/.,P
que,que,52
va,aller,17
t,t,94
il,il,51
arriver,arriver,14
quand,quand,83
les,le,71
hommes,homme,21
s',se,51
apercevront,apercevoir,15
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
de,de,81
soleil,soleil,21
/?,/?,P
je,je,51
revins,revenir,19
par,par,81
la,le,71
rue,rue,22
Saint-Honoré,Saint-Honoré,20
",",",",p
et,et,82
je,je,51
plaignais,plaindre,18
les,le,71
paysans,paysan,21
attardés,attardé,31
que,que,52
je,je,51
rencontrais,rencontrer,18
/.,/.,P
arrivé,arrivé,31
vers,vers,81
le,le,71
Louvre,Louvre,20
",",",",p
je,je,51
marchai,marcher,19
jusqu',jusque,81
à,à,81
la,le,71
place,place,22
",",",",p
et,et,82
là,là,60
un,un,71
spectacle,spectacle,21
étrange,étrange,30
m',je,51
attendait,attendre,18
/.,/.,P
à,à,81
travers,travers,21
des,de,81
des,le,71
nuages,nuage,21
rapidement,rapidement,60
chassés,chassé,31
par,par,81
le,le,71
vent,vent,21
",",",",p
je,je,51
vis,voir,19
plusieurs,plusieurs,75
lunes,lune,22
qui,qui,52
passaient,passer,18
avec,avec,81
une,un,71
grande,grand,30
rapidité,rapidité,22
/.,/.,P
je,je,51
pensai,penser,19
que,que,83
la,le,71
terre,terre,22
était,être,18
sortie,sortir,12
de,de,81
son,son,73
orbite,orbite,22
et,et,82
qu',que,83
elle,il,51
errait,errer,18
dans,dans,81
le,le,71
firmament,firmament,21
comme,comme,83
un,un,71
vaisseau,vaisseau,21
démâté,démâté,31
",",",",p
se,se,51
rapprochant,rapprocher,13
ou,ou,82
s',se,51
éloignant,éloigner,13
des,de,81
des,le,71
étoiles,étoile,22
qui,qui,52
grandissaient,grandir,18
ou,ou,82
diminuaient,diminuer,18
tour,tour,21
à,à,81
tour,tour,21
/.,/.,P
pendant,pendant,81
deux,deux,72
ou,ou,82
trois,trois,72
heures,heure,22
je,je,51
contemplai,contempler,19
ce,ce,74
désordre,désordre,21
et,et,82
je,je,51
finis,finir,19
par,par,81
me,je,51
diriger,diriger,14
du,de,81
du,le,71
côté,côté,21
des,de,81
des,le,71
halles,halle,22
/.,/.,P
les,le,71
paysans,paysan,21
apportaient,apporter,18
leurs,leur,73
denrées,denrée,22
et,et,82
je,je,51
me,je,51
disais,dire,18
:,:,p
“,“,p
quel,quel,52
sera,être,15
leur,leur,73
étonnement,étonnement,21
en,en,81
voyant,voir,13
que,que,83
la,le,71
nuit,nuit,22
se,se,51
prolonge,prolonger,17
/…,/…,P
cependant,cependant,82
",",",",p
les,le,71
chiens,chien,21
aboyaient,aboyer,18
ça,ça,52
et,et,82
là,là,60
et,et,82
les,le,71
coqs,coq,21
chantaient,chanter,18
/.,/.,P
brisé,brisé,31
de,de,81
fatigue,fatigue,22
",",",",p
je,je,51
rentrai,rentrer,19
chez,chez,81
moi,moi,51
et,et,82
je,je,51
me,je,51
jetai,jeter,19
sur,sur,81
mon,mon,73
lit,lit,21
/.,/.,P
en,en,81
m',je,51
éveillant,éveiller,13
",",",",p
je,je,51
fus,être,19
étonné,étonner,12
de,de,81
revoir,revoir,14
la,le,71
lumière,lumière,22
/.,/.,P
une,un,71
sorte,sorte,22
de,de,81
choeur,choeur,21
mystérieux,mystérieux,30
arriva,arriver,19
à,à,81
mon,mon,73
oreille,oreille,22
;,;,p
des,de,81
des,le,71
voix,voix,22
enfantines,enfantin,30
répétaient,répéter,18
en,en,81
choeur,choeur,21
:,:,p
Christ,Christ,20
/!,/!,P
Christ,Christ,20
/!,/!,P
Christ,Christ,20
/!,/!,P
je,je,51
pensai,penser,19
que,que,83
l',l',94
on,on,51
avait,avoir,18
réuni,réunir,12
dans,dans,81
l',le,71
église,église,22
voisine,voisin,30
(,(,p
notre,notre,73
dame,dame,22
des,de,81
des,le,71
Victoires,Victoires,20
),),p
un,un,71
grand,grand,30
nombre,nombre,21
d',de,81
enfants,enfant,21
pour,pour,81
invoquer,invoquer,14
le,le,71
Christ,Christ,20
/.,/.,P
“,“,p
mais,mais,82
le,le,71
Christ,Christ,20
n',ne,60
est,être,17
plus,plus,60
!,!,p
me,je,51
disais,dire,18
je,je,51
;,;,p
ils,ils,51
ne,ne,60
savent,savoir,17
pas,pas,60
encore,encore,60
/!,/!,P
l',le,71
invocation,invocation,22
dura,durer,19
environ,environ,60
une,un,71
heure,heure,22
/.,/.,P
je,je,51
me,je,51
levai,lever,19
enfin,enfin,60
et,et,82
j',je,51
allai,aller,18
sous,sous,81
les,le,71
galeries,galerie,22
du,de,81
du,le,71
Palais-Royal,Palais Royal,20
/.,/.,P
je,je,51
me,je,51
dis,dire,19
que,que,83
probablement,probablement,60
le,le,71
soleil,soleil,21
avait,avoir,18
encore,encore,60
conservé,conserver,12
assez,assez,60
de,de,81
lumière,lumière,22
pour,pour,81
éclairer,éclairer,14
la,le,71
terre,terre,22
pendant,pendant,81
trois,trois,72
jours,jour,21
",",",",p
mais,mais,82
qu',que,83
il,il,51
usait,user,18
sa,son,73
propre,propre,30
substance,substance,22
",",",",p
et,et,82
",",",",p
en,en,81
effet,effet,21
",",",",p
je,je,51
le,le,52
trouvais,trouver,18
froid,froid,30
et,et,82
décoloré,décoloré,31
/.,/.,P
j',je,51
apaisai,apaiser,19
ma,mon,73
faim,faim,22
avec,avec,81
un,un,71
petit,petit,30
gâteau,gâteau,21
pour,pour,81
me,je,51
donner,donner,14
la,le,71
force,force,22
d',de,81
aller,aller,14
jusqu',jusque,81
à,à,81
la,le,71
maison,maison,22
du,de,81
du,le,71
poète,poète,21
allemand,allemand,30
/.,/.,P
en,en,81
entrant,entrer,13
",",",",p
je,je,51
lui,lui,51
dis,dire,19
que,que,83
tout,tout,52
était,être,18
fini,finir,12
et,et,82
qu',que,83
il,il,51
fallait,falloir,18
nous,nous,51
préparer,préparer,14
à,à,81
mourir,mourir,14
/.,/.,P
il,il,51
appela,appeler,19
sa,son,73
femme,femme,22
qui,qui,52
me,je,51
dit,dire,19
:,:,p
“,“,p
qu',que,52
avez,avoir,17
vous,vous,51
/?,/?,P
je,je,51
ne,ne,60
sais,savoir,17
",",",",p
lui,lui,51
dis,dire,17
je,je,51
",",",",p
je,je,51
suis,être,17
perdu,perdre,12
/.,/.,P
“,“,p
elle,il,51
envoya,envoyer,19
chercher,chercher,14
un,un,71
fiacre,fiacre,21
",",",",p
et,et,82
une,un,71
jeune,jeune,30
fille,fille,22
me,je,51
conduisit,conduire,19
à,à,81
la,le,71
maison,maison,22
Dubois,Dubois,20
/.,/.,P
<Page 71 Partie 2 Chapitre 5>,<>,<>
là,là,60
",",",",p
mon,mon,73
mal,mal,21
reprit,reprendre,19
avec,avec,81
diverses,divers,30
alternatives,alternative,22
/.,/.,P
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
mois,mois,21
j',je,51
étais,être,18
rétabli,rétablir,12
/.,/.,P
pendant,pendant,81
les,le,71
deux,deux,72
mois,mois,21
qui,qui,52
suivirent,suivre,19
",",",",p
je,je,51
repris,reprendre,19
mes,mon,73
pérégrinations,pérégrination,22
autour,autour,60
de,de,81
Paris,Paris,20
/.,/.,P
le,le,71
plus,plus,60
long,long,30
voyage,voyage,21
que,que,52
j',je,51
aie,avoir,17
fait,faire,12
a,avoir,17
été,être,12
pour,pour,81
visiter,visiter,14
la,le,71
cathédrale,cathédrale,22
de,de,81
Reims,Reims,20
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
",",",",p
je,je,51
me,je,51
remis,remettre,19
à,à,81
écrire,écrire,14
et,et,82
je,je,51
composai,composer,19
une,un,52
de,de,81
mes,mon,73
meilleures,meilleur,30
nouvelles,nouvelle,22
/.,/.,P
toutefois,toutefois,60
",",",",p
je,je,51
l',le,52
écrivis,écrire,19
péniblement,péniblement,60
",",",",p
presque,presque,60
toujours,toujours,60
au,à,81
au,le,71
crayon,crayon,21
",",",",p
sur,sur,81
des,de,81
des,le,71
feuilles,feuille,22
détachées,détaché,31
",",",",p
suivant,suivre,13
le,le,71
hasard,hasard,21
de,de,81
ma,mon,73
rêverie,rêverie,22
ou,ou,82
de,de,81
ma,mon,73
promenade,promenade,22
/.,/.,P
les,le,71
corrections,correction,22
m',je,51
agitèrent,agiter,19
beaucoup,beaucoup,60
/.,/.,P
peu,peu,60
de,de,81
jours,jour,21
après,après,81
l',le,52
avoir,avoir,14
publiée,publier,12
",",",",p
je,je,51
me,je,51
sentis,sentir,19
pris,pris,31
d',de,81
une,un,71
insomnie,insomnie,22
persistante,persistant,30
/.,/.,P
j',je,51
allai,aller,18
me,je,51
promener,promener,14
toute,tout,75
la,le,71
nuit,nuit,22
sur,sur,81
la,le,71
colline,colline,22
de,de,81
Montmartre,Montmartre,20
et,et,82
y,y,52
voir,voir,14
se,se,51
lever,lever,14
le,le,71
soleil,soleil,21
/.,/.,P
je,je,51
causais,causer,18
longuement,longuement,60
avec,avec,81
les,le,71
paysans,paysan,21
et,et,82
les,le,71
ouvriers,ouvrier,21
/.,/.,P
dans,dans,81
d',de,81
autres,autre,52
moment,moment,21
",",",",p
je,je,51
me,je,51
dirigeais,diriger,18
vers,vers,81
les,le,71
halles,halle,22
/.,/.,P
une,un,71
nuit,nuit,22
",",",",p
j',je,51
allai,aller,18
souper,souper,14
dans,dans,81
un,un,71
café,café,21
du,de,81
du,le,71
boulevard,boulevard,21
et,et,82
je,je,51
m',je,51
amusai,amuser,19
à,à,81
jeter,jeter,14
en,en,81
l',le,71
air,air,21
des,de,81
des,le,71
pièces,pièce,22
d',de,81
or,or,21
et,et,82
d',de,81
argent,argent,21
/.,/.,P
j',je,51
allai,aller,18
ensuite,ensuite,60
à,à,81
la,le,71
halle,halle,22
et,et,82
je,je,51
me,je,51
disputai,disputer,19
avec,avec,81
un,un,71
inconnu,inconnu,21
",",",",p
à,à,81
qui,qui,52
je,je,51
donnai,donner,19
un,un,71
rude,rude,30
soufflet,soufflet,21
;,;,p
je,je,51
ne,ne,60
sais,savoir,17
comment,comment,60
cela,cela,52
n',ne,60
eut,avoir,19
aucune,aucun,75
suite,suite,22
/.,/.,P
à,à,81
une,un,71
certaine,certain,75
heure,heure,22
",",",",p
entendant,entendre,13
sonner,sonner,14
l',le,71
horloge,horloge,22
de,de,81
Saint-Eustache,Saint-Eustache,20
",",",",p
je,je,51
me,je,51
pris,prendre,19
à,à,81
penser,penser,14
aux,à,81
aux,le,71
luttes,lutte,22
des,de,81
des,le,71
Bourguignons,Bourguignon,20
et,et,82
des,de,81
des,le,71
Armagnacs,Armagnac,20
",",",",p
et,et,82
je,je,51
croyais,croire,18
voir,voir,14
s',se,51
élever,élever,14
autour,autour,60
de,de,81
moi,moi,51
des,de,81
des,le,71
fantômes,fantôme,21
de,de,81
combattants,combattant,21
de,de,81
cette,ce,74
époque,époque,22
/.,/.,P
je,je,51
me,je,51
pris,prendre,19
de,de,81
querelle,querelle,22
avec,avec,81
un,un,71
facteur,facteur,21
qui,qui,52
portait,porter,18
sur,sur,81
la,le,71
poitrine,poitrine,22
une,un,71
plaque,plaque,22
d',de,81
argent,argent,21
",",",",p
et,et,82
que,que,52
je,je,51
disais,dire,18
être,être,14
le,le,71
duc,duc,21
Jean,Jean,20
de,de,81
Bourgogne,Bourgogne,20
/.,/.,P
je,je,51
voulais,vouloir,18
l',le,52
empêcher,empêcher,14
d',de,81
entrer,entrer,14
dans,dans,81
un,un,71
cabaret,cabaret,21
/.,/.,P
par,par,81
une,un,71
singularité,singularité,22
que,que,52
je,je,51
ne,ne,60
m',je,51
explique,expliquer,17
pas,pas,60
",",",",p
voyant,voir,13
que,que,83
je,je,51
le,le,52
menaçais,menacer,18
de,de,81
mort,mort,22
",",",",p
son,son,73
visage,visage,21
se,se,51
couvrit,couvrir,19
de,de,81
larmes,larme,22
/.,/.,P
je,je,51
me,je,51
sentis,sentir,19
attendri,attendri,31
",",",",p
et,et,82
je,je,51
le,le,52
laissai,laisser,19
passer,passer,14
/.,/.,P
je,je,51
me,je,51
dirigeai,diriger,19
vers,vers,81
les,le,71
Tuileries,Tuileries,20
qui,qui,52
étaient,être,18
fermées,fermer,12
",",",",p
et,et,82
suivis,suivre,19
la,le,71
ligne,ligne,22
des,de,81
des,le,71
quais,quai,21
;,;,p
je,je,51
montai,monter,19
ensuite,ensuite,60
au,à,81
au,le,71
Luxembourg,Luxembourg,20
",",",",p
puis,puis,60
je,je,51
revins,revenir,19
déjeuner,déjeuner,14
avec,avec,81
un,un,52
de,de,81
mes,mon,73
amis,ami,21
/.,/.,P
ensuite,ensuite,60
j',je,51
allai,aller,18
vers,vers,81
Saint-Eustache,Saint-Eustache,20
",",",",p
où,où,60
je,je,51
m',je,51
agenouillais,agenouiller,18
pieusement,pieusement,60
à,à,81
l',le,71
autel,autel,21
de,de,81
la,le,71
Vierge,Vierge,20
en,en,81
pensant,penser,13
à,à,81
ma,mon,73
mère,mère,22
/.,/.,P
les,le,71
pleurs,pleur,21
que,que,52
je,je,51
versaient,verser,18
détendirent,détendre,19
mon,mon,73
âme,âme,22
",",",",p
et,et,82
",",",",p
en,en,81
sortant,sortir,13
de,de,81
l',le,71
église,église,22
",",",",p
j',je,51
achetai,acheter,19
un,un,71
anneau,anneau,21
d',de,81
argent,argent,21
/.,/.,P
de,de,81
là,là,60
",",",",p
j',je,51
allai,aller,18
rendre,rendre,14
visite,visite,22
à,à,81
mon,mon,73
père,père,21
",",",",p
chez,chez,81
lequel,lequel,52
je,je,51
laissai,laisser,19
un,un,71
bouquet,bouquet,21
de,de,81
marguerites,marguerite,22
",",",",p
car,car,82
il,il,51
était,être,18
absent,absent,30
/.,/.,P
j',je,51
allai,aller,18
de,de,81
là,là,60
au,à,81
au,le,71
Jardin des Plantes,Jardin des Plantes,20
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
beaucoup,beaucoup,60
de,de,81
monde,monde,21
",",",",p
et,et,82
je,je,51
restais,rester,18
quelque,quelque,75
temps,temps,21
à,à,81
regarder,regarder,14
l',le,71
hippopotame,hippopotame,21
qui,qui,52
se,se,51
baignait,baigner,18
dans,dans,81
le,le,71
bassin,bassin,21
/.,/.,P
-,-,p
j',je,51
allai,aller,18
ensuite,ensuite,60
visiter,visiter,14
les,le,71
galeries,galerie,22
d',de,81
ostéologie,ostéologie,22
/.,/.,P
la,le,71
vue,vue,22
des,de,81
des,le,71
monstres,monstre,21
qu',que,52
elles,ils,51
renferment,renfermer,17
me,je,51
fit,faire,19
penser,penser,14
au,à,81
au,le,71
déluge,déluge,21
",",",",p
et,et,82
",",",",p
lorsque,lorsque,83
je,je,51
sortis,sortir,19
",",",",p
une,un,71
averse,averse,22
épouvantable,épouvantable,30
tombait,tomber,18
dans,dans,81
le,le,71
jardin,jardin,21
/.,/.,P
je,je,51
me,je,51
dis,dire,19
:,:,p
“,“,p
quel,quel,75
malheur,malheur,21
!,!,p
toutes,tout,75
ces,ce,74
femmes,femme,22
",",",",p
tous,tout,75
ces,ce,74
enfants,enfant,21
",",",",p
vont,aller,17
se,se,51
trouver,trouver,14
mouillés,mouillé,31
/…,/…,P
puis,puis,60
",",",",p
je,je,51
me,je,51
dis,dire,17
:,:,p
“,“,p
mais,mais,82
c',ce,52
est,être,17
plus,plus,60
encore,encore,60
!,!,p
c',ce,52
est,être,17
le,le,71
véritable,véritable,30
déluge,déluge,21
qui,qui,52
commence,commencer,17
/.,/.,P
“,“,p
l',le,71
eau,eau,22
s',se,51
élevait,élever,18
dans,dans,81
les,le,71
rues,rue,22
voisines,voisin,30
;,;,p
je,je,51
descendis,descendre,19
en,en,81
courant,courir,13
la,le,71
rue,rue,22
Saint-Victor,Saint Victor,20
",",",",p
et,et,82
",",",",p
dans,dans,81
l',le,71
idée,idée,22
d',de,81
arrêter,arrêter,14
ce,ce,52
que,que,52
je,je,51
croyais,croire,18
être,être,14
l',le,71
inondation,inondation,22
universelle,universel,30
",",",",p
je,je,51
jetai,jeter,19
à,à,81
l',le,71
endroit,endroit,21
le,le,71
plus,plus,60
profond,profond,30
l',le,71
anneau,anneau,21
que,que,52
j',je,51
avais,avoir,18
acheté,acheter,12
à,à,81
Saint-Eustache,Saint-Eustache,20
/.,/.,P
vers,vers,81
le,le,71
même,même,75
moment,moment,21
l',le,71
orage,orage,21
s',se,51
apaisa,apaiser,19
",",",",p
et,et,82
un,un,71
rayon,rayon,21
de,de,81
soleil,soleil,21
commença,commencer,19
à,à,81
briller,briller,14
/.,/.,P
l',le,71
espoir,espoir,21
rentra,rentrer,19
dans,dans,81
mon,mon,73
âme,âme,22
/.,/.,P
j',je,51
avais,avoir,18
rendez-vous,rendez-vous,21
à,à,81
quatre,quatre,72
heures,heure,22
chez,chez,81
mon,mon,73
ami,ami,21
Georges,Georges,20
;,;,p
je,je,51
me,je,51
dirigeai,diriger,19
vers,vers,81
sa,son,73
demeure,demeure,22
/.,/.,P
en,en,81
passant,passer,13
devant,devant,81
un,un,71
marchand,marchand,21
de,de,81
curiosités,curiosité,22
",",",",p
j',je,51
achetai,acheter,19
deux,deux,72
écrans,écran,21
de,de,81
velours,velours,21
",",",",p
couverts,couvert,31
de,de,81
figures,figure,22
hiéroglyphiques,hiéroglyphique,30
/.,/.,P
il,il,51
me,je,51
sembla,sembler,19
que,que,83
c',ce,52
était,être,18
la,le,71
consécration,consécration,22
du,de,81
du,le,71
pardon,pardon,21
des,de,81
des,le,71
cieux,ciel,21
/.,/.,P
j',je,51
arrivai,arriver,19
chez,chez,81
Georges,Georges,20
à,à,81
l',le,71
heure,heure,22
précise,précis,30
et,et,82
je,je,51
lui,lui,51
confiai,confier,19
mon,mon,73
espoir,espoir,21
/.,/.,P
j',je,51
étais,être,18
mouillé,mouiller,12
et,et,82
fatigué,fatiguer,12
/.,/.,P
je,je,51
changeai,changer,19
de,de,81
vêtements,vêtement,21
et,et,82
me,je,51
couchai,coucher,19
sur,sur,81
son,son,73
lit,lit,21
/.,/.,P
pendant,pendant,81
mon,mon,73
sommeil,sommeil,21
",",",",p
j',je,51
eus,avoir,19
une,un,71
vision,vision,22
merveilleuse,merveilleux,30
/.,/.,P
il,il,51
me,je,51
semblait,sembler,18
que,que,83
la,le,71
déesse,déesse,22
m',je,51
apparaissait,apparaître,18
",",",",p
me,je,51
disant,dire,13
:,:,p
“,“,p
je,je,51
suis,être,17
la,le,71
même,même,52
que,que,83
Marie,Marie,20
",",",",p
la,le,71
même,même,52
que,que,83
ta,ton,73
mère,mère,22
",",",",p
la,le,71
même,même,52
aussi,aussi,60
que,que,83
sous,sous,81
toutes,tout,75
les,le,71
formes,forme,22
tu,tu,51
as,avoir,17
toujours,toujours,60
aimé,aimer,12
/.,/.,P
à,à,81
chacune,chacun,52
de,de,81
tes,ton,73
épreuves,épreuve,22
",",",",p
j',je,51
ai,avoir,17
quitté,quitter,12
l',le,71
un,un,52
des,de,81
des,le,71
masques,masque,21
dont,dont,52
je,je,51
voile,voiler,17
mes,mon,73
traits,trait,21
",",",",p
et,et,82
bientôt,bientôt,60
tu,tu,51
me,je,51
verras,voir,15
telle,tel,75
que,que,83
je,je,51
suis,être,17
/…,/…,P
un,un,71
verger,verger,21
délicieux,délicieux,30
sortait,sortir,18
des,de,81
des,le,71
nuages,nuage,21
derrière,derrière,81
elle,il,51
",",",",p
une,un,71
lumière,lumière,22
douce,doux,30
et,et,82
pénétrante,pénétrant,30
éclairait,éclairer,18
ce,ce,74
paradis,paradis,21
",",",",p
et,et,82
cependant,cependant,82
je,je,51
n',ne,60
entendais,entendre,18
que,que,83
sa,son,73
voix,voix,22
",",",",p
mais,mais,82
je,je,51
me,je,51
sentais,sentir,18
plongé,plongé,31
dans,dans,81
une,un,71
ivresse,ivresse,22
charmante,charmant,30
/.,/.,P
-,-,p
je,je,51
m',je,51
éveillai,éveiller,19
peu,peu,60
de,de,81
temps,temps,21
après,après,81
et,et,82
je,je,51
dis,dire,19
à,à,81
Georges,Georges,20
:,:,p
“,“,p
sortons,sortir,17
/.,/.,P
“,“,p
pendant,pendant,81
que,que,83
nous,nous,51
traversions,traverser,17
le,le,71
pont,pont,21
des,de,81
des,le,71
arts,art,21
",",",",p
je,je,51
lui,lui,51
expliquai,expliquer,19
les,le,71
migrations,migration,22
des,de,81
des,le,71
âmes,âme,22
",",",",p
et,et,82
je,je,51
lui,lui,51
disais,dire,18
:,:,p
“,“,p
il,il,51
me,je,51
semble,sembler,17
que,que,83
ce,ce,74
soir,soir,21
j',je,51
ai,avoir,17
en,en,81
moi,moi,51
l',le,71
âme,âme,22
de,de,81
Napoléon,Napoléon,20
qui,qui,52
m',je,51
inspire,inspirer,17
et,et,82
me,je,51
commande,commander,17
de,de,81
grandes,grand,30
choses,chose,22
/.,/.,P
“,“,p
dans,dans,81
la,le,71
rue,rue,22
du,de,81
du,le,71
coq,coq,21
",",",",p
j',je,51
achetai,acheter,19
un,un,71
chapeau,chapeau,21
",",",",p
et,et,82
",",",",p
pendant,pendant,81
que,que,83
Georges,Georges,20
recevait,recevoir,18
la,le,71
monnaie,monnaie,22
de,de,81
la,le,71
pièce,pièce,22
d',de,81
or,or,21
que,que,52
j',je,51
avais,avoir,18
jeté,jeter,12
sur,sur,81
le,le,71
comptoir,comptoir,21
",",",",p
je,je,51
continuai,continuer,19
ma,mon,73
route,route,22
et,et,82
j',je,51
arrivai,arriver,19
aux,à,81
aux,le,71
galeries,galerie,22
du,de,81
du,le,71
Palais Royal,Palais Royal,20
/.,/.,P
là,là,60
",",",",p
il,il,51
me,je,51
sembla,sembler,19
que,que,83
tout,tout,75
le,le,71
monde,monde,21
me,je,51
regardait,regarder,18
/.,/.,P
une,un,71
idée,idée,22
persistante,persistant,30
s',se,51
était,être,18
logée,loger,12
dans,dans,81
mon,mon,73
esprit,esprit,21
",",",",p
c',ce,52
est,être,17
qu',que,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
de,de,81
morts,mort,21
;,;,p
je,je,51
parcourais,parcourir,18
la,le,71
galerie,galerie,22
de,de,81
Foy,Foy,20
en,en,81
disant,dire,13
:,:,p
“,“,p
j',je,51
ai,avoir,17
fait,faire,12
une,un,71
faute,faute,22
“,“,p
",",",",p
et,et,82
je,je,51
ne,ne,60
pouvais,pouvoir,18
découvrir,découvrir,14
laquelle,lequel,52
en,en,81
consultant,consulter,13
ma,mon,73
mémoire,mémoire,22
que,que,52
je,je,51
croyais,croire,18
être,être,14
celle,celui,52
de,de,81
Napoléon,Napoléon,20
/…,/…,P
il,il,51
y,y,52
a,avoir,17
quelque,quelque,75
chose,chose,22
que,que,52
je,je,51
n',ne,60
ai,avoir,17
point,point,60
payé,payer,12
par,par,81
ici,ici,60
/!,/!,P
j',je,51
entrai,entrer,19
au,à,81
au,le,71
café,café,21
de,de,81
Foy,Foy,20
avec,avec,81
cette,ce,74
idée,idée,22
",",",",p
et,et,82
je,je,51
crus,croire,19
reconnaître,reconnaître,14
dans,dans,81
un,un,52
des,de,81
des,le,71
habitués,habitué,21
le,le,71
père,père,21
Bertin,Bertin,20
des,de,81
des,le,71
Débats,Débats,20
/.,/.,P
ensuite,ensuite,60
je,je,51
