11958
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingtième extrait>,<>,<>
heureux,heureux,30
/!,/!,P
le,le,71
bonheur,bonheur,21
est,être,17
comme,comme,83
ces,ce,74
palais,palais,21
des,de,81
des,le,71
îles,île,22
enchantées,enchanté,31
dont,dont,52
les,le,71
dragons,dragon,21
gardent,garder,17
les,le,71
portes,porte,22
/.,/.,P
il,il,51
faut,falloir,17
combattre,combattre,14
pour,pour,81
le,le,52
conquérir,conquérir,14
",",",",p
et,et,82
moi,moi,51
",",",",p
en,en,81
vérité,vérité,22
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
en,en,81
quoi,quoi,52
j',je,51
ai,avoir,17
mérité,mériter,12
le,le,71
bonheur,bonheur,21
d',de,81
être,être,14
le,le,71
mari,mari,21
de,de,81
Mercédès,Mercédès,20
/.,/.,P
-,-,p
le,le,71
mari,mari,21
",",",",p
le,le,71
mari,mari,21
",",",",p
dit,dire,19
Caderousse,Caderousse,20
en,en,81
riant,rire,13
",",",",p
pas,pas,60
encore,encore,60
",",",",p
mon,mon,73
capitaine,capitaine,21
;,;,p
essaie,essayer,17
un,un,71
peu,peu,60
de,de,81
faire,faire,14
le,le,71
mari,mari,21
",",",",p
et,et,82
tu,tu,51
verras,voir,15
comme,comme,83
tu,tu,51
seras,être,15
reçu,recevoir,12
/!,/!,P
Mercédès,Mercédès,20
rougit,rougir,17
/.,/.,P
Fernand,Fernand,20
se,se,51
tourmentait,tourmenter,18
sur,sur,81
sa,son,73
chaise,chaise,22
",",",",p
tressaillait,tressaillir,18
au,à,81
au,le,71
moindre,moindre,30
bruit,bruit,21
",",",",p
et,et,82
de,de,81
temps,temps,21
en,en,81
temps,temps,21
essuyait,essuyer,18
de,de,81
larges,large,30
plaques,plaque,22
de,de,81
sueur,sueur,22
qui,qui,52
perlaient,perler,18
sur,sur,81
son,son,73
front,front,21
",",",",p
comme,comme,83
les,le,71
premières,premier,72
gouttes,goutte,22
d',de,81
une,un,71
pluie,pluie,22
d',de,81
orage,orage,21
/.,/.,P
“,“,p
ma,mon,73
foi,foi,22
",",",",p
dit,dire,19
Dantès,Dantès,20
",",",",p
voisin,voisin,21
Caderousse,Caderousse,20
",",",",p
ce,ce,52
n',ne,60
est,être,17
point,point,60
la,le,71
peine,peine,22
de,de,81
me,je,51
démentir,démentir,14
pour,pour,81
si,si,60
peu,peu,60
/.,/.,P
Mercédès,Mercédès,20
n',ne,60
est,être,17
point,point,60
encore,encore,60
ma,mon,73
femme,femme,22
",",",",p
c',ce,52
est,être,17
vrai,vrai,30
/…,/…,P
il,il,51
tira,tirer,19
sa,son,73
montre,montre,22
/.,/.,P
mais,mais,82
",",",",p
dans,dans,81
une,un,71
heure,heure,22
et,et,82
demie,demi,30
elle,il,51
le,le,52
sera,être,15
/!,/!,P
chacun,chacun,52
poussa,pousser,19
un,un,71
cri,cri,21
de,de,81
surprise,surprise,22
",",",",p
à,à,81
l',le,71
exception,exception,22
du,de,81
du,le,71
père,père,21
Dantès,Dantès,20
",",",",p
dont,dont,52
le,le,71
large,large,30
rire,rire,21
montra,montrer,19
les,le,71
dents,dent,22
encore,encore,60
belles,beau,30
/.,/.,P
Mercédès,Mercédès,20
sourit,sourire,17
et,et,82
ne,ne,60
rougit,rougir,17
plus,plus,60
/.,/.,P
Fernand,Fernand,20
saisit,saisir,17
convulsivement,convulsivement,60
le,le,71
manche,manche,21
de,de,81
son,son,73
couteau,couteau,21
/.,/.,P
“,“,p
dans,dans,81
une,un,71
heure,heure,22
!,!,p
dit,dire,19
Danglars,Danglars,20
pâlissant,pâlir,13
lui-même,lui-même,51
;,;,p
et,et,82
comment,comment,60
cela,cela,52
/?,/?,P
oui,oui,60
",",",",p
mes,mon,73
amis,ami,21
",",",",p
répondit,répondre,19
Dantès,Dantès,20
",",",",p
grâce,grâce,22
au,à,81
au,le,71
crédit,crédit,21
de,de,81
monsieur,monsieur,21
Morrel,Morrel,20
",",",",p
l',le,71
homme,homme,21
après,après,81
mon,mon,73
père,père,21
auquel,à,81
auquel,lequel,52
je,je,51
dois,devoir,17
le,le,71
plus,plus,60
au,à,81
au,le,71
monde,monde,21
",",",",p
toutes,tout,75
les,le,71
difficultés,difficulté,22
sont,être,17
aplanies,aplanir,12
/.,/.,P
nous,nous,51
avons,avoir,17
acheté,acheter,12
les,le,71
bans,ban,21
",",",",p
et,et,82
à,à,81
deux,deux,72
heures,heure,22
et,et,82
demie,demi,30
le,le,71
maire,maire,21
de,de,81
Marseille,Marseille,20
nous,nous,51
attend,attendre,17
à,à,81
l',le,71
hôtel,hôtel,21
de,de,81
ville,ville,22
/.,/.,P
or,or,82
",",",",p
comme,comme,83
une,un,71
heure,heure,22
et,et,82
un,un,71
quart,quart,21
viennent,venir,17
de,de,81
sonner,sonner,14
",",",",p
je,je,51
ne,ne,60
crois,croire,17
pas,pas,60
me,je,51
tromper,tromper,14
de,de,81
beaucoup,beaucoup,60
en,en,81
disant,dire,13
que,que,83
dans,dans,81
une,un,71
heure,heure,22
trente,trente,72
minutes,minute,22
Mercédès,Mercédès,20
s',se,51
appellera,appeler,15
madame,madame,22
Dantès,Dantès,20
/.,/.,P
“,“,p
Fernand,Fernand,20
ferma,fermer,19
les,le,71
yeux,oeil,21
:,:,p
un,un,71
nuage,nuage,21
de,de,81
feu,feu,21
brûla,brûler,19
ses,son,73
paupières,paupière,22
;,;,p
il,il,51
s',se,51
appuya,appuyer,19
à,à,81
la,le,71
table,table,22
pour,pour,81
ne,ne,60
pas,pas,60
défaillir,défaillir,14
",",",",p
et,et,82
",",",",p
malgré,malgré,81
tous,tout,75
ses,son,73
efforts,effort,21
",",",",p
ne,ne,60
put,pouvoir,19
retenir,retenir,14
un,un,71
gémissement,gémissement,21
sourd,sourd,30
qui,qui,52
se,se,51
perdit,perdre,19
dans,dans,81
le,le,71
bruit,bruit,21
des,de,81
des,le,71
rires,rire,21
et,et,82
des,de,81
des,le,71
félicitations,félicitation,22
de,de,81
l',le,71
assemblée,assemblée,22
/.,/.,P
“,“,p
c',ce,52
est,être,17
bien,bien,60
agir,agir,14
",",",",p
cela,cela,52
",",",",p
hein,hein,93
",",",",p
dit,dire,19
le,le,71
père,père,21
Dantès,Dantès,20
/.,/.,P
cela,cela,52
s',se,51
appelle,appeler,17
t,t,94
il,il,51
perdre,perdre,14
son,son,73
temps,temps,21
",",",",p
à,à,81
votre,votre,73
avis,avis,21
/?,/?,P
arrivé,arrivé,31
d',de,81
hier,hier,60
au,à,81
au,le,71
matin,matin,21
",",",",p
marié,marié,31
aujourd'hui,aujourd'hui,60
à,à,81
trois,trois,72
heures,heure,22
/!,/!,P
parlez,parler,17
moi,moi,51
des,de,81
des,le,71
marins,marin,21
pour,pour,81
aller,aller,14
rondement,rondement,60
en,en,81
besogne,besogne,22
/.,/.,P
-,-,p
mais,mais,82
les,le,71
autres,autre,75
formalités,formalité,22
",",",",p
objecta,objecter,19
timidement,timidement,60
Danglars,Danglars,20
:,:,p
le,le,71
contrat,contrat,21
",",",",p
les,le,71
écritures,écriture,22
?,?,p
/…,/…,P
-,-,p
le,le,71
contrat,contrat,21
",",",",p
dit,dire,19
Dantès,Dantès,20
en,en,81
riant,rire,13
",",",",p
le,le,71
contrat,contrat,21
est,être,17
tout,tout,60
fait,faire,12
:,:,p
Mercédès,Mercédès,20
n',ne,60
a,avoir,17
rien,rien,52
",",",",p
ni,ni,82
moi,moi,51
non,non,60
plus,plus,60
/!,/!,P
nous,nous,51
nous,nous,51
marions,marier,17
sous,sous,81
le,le,71
régime,régime,21
de,de,81
la,le,71
communauté,communauté,22
",",",",p
et,et,82
voilà,voilà,81
/!,/!,P
<Nombre 0a>,<>,<>
zéro,zéro,72
a,avoir,17
<Fin nombre>,<>,<>
n',ne,60
a,avoir,17
pas,pas,60
été,être,12
long,long,30
à,à,81
écrire,écrire,14
et,et,82
ce,ce,52
ne,ne,60
sera,être,15
pas,pas,60
cher,cher,30
à,à,81
payer,payer,14
/.,/.,P
“,“,p
cette,ce,74
plaisanterie,plaisanterie,22
excita,exciter,19
une,un,71
nouvelle,nouveau,30
explosion,explosion,22
de,de,81
joie,joie,22
et,et,82
de,de,81
bravos,bravo,21
/.,/.,P
“,“,p
ainsi,ainsi,60
",",",",p
ce,ce,52
que,que,52
nous,nous,51
prenions,prendre,18
pour,pour,81
un,un,71
repas,repas,21
de,de,81
fiançailles,fiançaille,22
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
est,être,17
tout,tout,60
bonnement,bonnement,60
un,un,71
repas,repas,21
de,de,81
noces,noce,22
/.,/.,P
-,-,p
non,non,60
pas,pas,60
",",",",p
dit,dire,19
Dantès,Dantès,20
;,;,p
vous,vous,51
n',ne,60
y,y,52
perdrez,perdre,15
rien,rien,52
",",",",p
soyez,être,17
tranquilles,tranquille,30
/.,/.,P
demain,demain,60
matin,matin,21
",",",",p
je,je,51
pars,partir,17
pour,pour,81
Paris,Paris,20
/.,/.,P
quatre,quatre,72
jours,jour,21
pour,pour,81
aller,aller,14
",",",",p
quatre,quatre,72
jours,jour,21
pour,pour,81
revenir,revenir,14
",",",",p
un,un,71
jour,jour,21
pour,pour,81
faire,faire,14
en,en,81
conscience,conscience,22
la,le,71
commission,commission,22
dont,dont,52
je,je,51
suis,être,17
chargé,charger,12
",",",",p
et,et,82
le,le,71
<Nombre 1er mars>,<>,<>
premier,premier,72
mars,mars,21
<Fin nombre>,<>,<>
je,je,51
suis,être,17
de,de,81
retour,retour,21
;,;,p
au,à,81
au,le,71
<Nombre 2 mars>,<>,<>
deux,deux,72
mars,mars,21
<Fin nombre>,<>,<>
donc,donc,82
le,le,71
véritable,véritable,30
repas,repas,21
de,de,81
noces,noce,22
/.,/.,P
“,“,p
cette,ce,74
perspective,perspective,22
d',de,81
un,un,71
nouveau,nouveau,30
festin,festin,21
redoubla,redoubler,19
l',le,71
hilarité,hilarité,22
au,à,81
au,le,71
point,point,21
que,que,83
le,le,71
père,père,21
Dantès,Dantès,20
",",",",p
qui,qui,52
au,à,81
au,le,71
commencement,commencement,21
du,de,81
du,le,71
dîner,dîner,21
se,se,51
plaignait,plaindre,18
du,de,81
du,le,71
silence,silence,21
",",",",p
faisait,faire,18
maintenant,maintenant,60
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
conversation,conversation,22
générale,général,30
",",",",p
de,de,81
vains,vain,30
efforts,effort,21
pour,pour,81
placer,placer,14
son,son,73
voeu,voeu,21
de,de,81
prospérité,prospérité,22
en,en,81
faveur,faveur,22
des,de,81
des,le,71
futurs,futur,30
époux,époux,21
/.,/.,P
Dantès,Dantès,20
devina,deviner,19
la,le,71
pensée,pensée,22
de,de,81
son,son,73
père,père,21
et,et,82
y,y,52
répondit,répondre,19
par,par,81
un,un,71
sourire,sourire,21
plein,plein,30
d',de,81
amour,amour,21
/.,/.,P
Mercédès,Mercédès,20
commença,commencer,19
de,de,81
regarder,regarder,14
l',le,71
heure,heure,22
au,à,81
au,le,71
coucou,coucou,21
de,de,81
la,le,71
salle,salle,22
et,et,82
fit,faire,19
un,un,71
petit,petit,30
signe,signe,21
à,à,81
Edmond,Edmond,20
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
autour,autour,60
de,de,81
la,le,71
table,table,22
cette,ce,74
hilarité,hilarité,22
bruyante,bruyant,30
et,et,82
cette,ce,74
liberté,liberté,22
individuelle,individuel,30
qui,qui,52
accompagnent,accompagner,17
",",",",p
chez,chez,81
les,le,71
gens,gens,21
de,de,81
condition,condition,22
inférieure,inférieur,30
",",",",p
la,le,71
fin,fin,22
des,de,81
des,le,71
repas,repas,21
/.,/.,P
ceux,celui,52
qui,qui,52
étaient,être,18
mécontents,mécontent,30
de,de,81
leur,leur,73
place,place,22
s',se,51
étaient,être,18
levés,lever,12
de,de,81
table,table,22
et,et,82
avaient,avoir,18
été,être,12
chercher,chercher,14
d',de,81
autres,autre,75
voisins,voisin,21
/.,/.,P
tout,tout,75
le,le,71
monde,monde,21
commençait,commencer,18
à,à,81
parler,parler,14
à,à,81
la,le,71
fois,fois,22
",",",",p
et,et,82
personne,personne,52
ne,ne,60
s',se,51
occupait,occuper,18
de,de,81
répondre,répondre,14
à,à,81
ce,ce,52
que,que,52
son,son,73
interlocuteur,interlocuteur,21
lui,lui,51
disait,dire,18
",",",",p
mais,mais,82
seulement,seulement,60
à,à,81
ses,son,73
propres,propre,30
pensées,pensée,22
/.,/.,P
la,le,71
pâleur,pâleur,22
de,de,81
Fernand,Fernand,20
était,être,18
presque,presque,60
passée,passer,12
sur,sur,81
les,le,71
joues,joue,22
de,de,81
Danglars,Danglars,20
;,;,p
quant,quand,83
à,à,81
Fernand,Fernand,20
lui-même,lui-même,51
",",",",p
il,il,51
ne,ne,60
vivait,vivre,18
plus,plus,60
et,et,82
semblait,sembler,18
un,un,71
damné,damné,21
dans,dans,81
le,le,71
lac,lac,21
de,de,81
feu,feu,21
/.,/.,P
un,un,52
des,de,81
des,le,71
premiers,premier,72
",",",",p
il,il,51
s',se,51
était,être,18
levé,lever,12
et,et,82
se,se,51
promenait,promener,18
de,de,81
long,long,21
en,en,81
large,large,21
dans,dans,81
la,le,71
salle,salle,22
",",",",p
essayant,essayer,13
d',de,81
isoler,isoler,14
son,son,73
oreille,oreille,22
du,de,81
du,le,71
bruit,bruit,21
des,de,81
des,le,71
chansons,chanson,22
et,et,82
du,de,81
du,le,71
choc,choc,21
des,de,81
des,le,71
verres,verre,21
/.,/.,P
Caderousse,Caderousse,20
s',se,51
approcha,approcher,19
de,de,81
lui,lui,51
au,à,81
au,le,71
moment,moment,21
où,où,60
Danglars,Danglars,20
",",",",p
qu',que,52
il,il,51
semblait,sembler,18
fuir,fuir,14
",",",",p
venait,venir,18
de,de,81
le,le,52
rejoindre,rejoindre,14
dans,dans,81
un,un,71
angle,angle,21
de,de,81
la,le,71
salle,salle,22
/.,/.,P
“,“,p
en,en,81
vérité,vérité,22
",",",",p
dit,dire,19
Caderousse,Caderousse,20
",",",",p
à,à,81
qui,qui,52
les,le,71
bonnes,bon,30
façons,façon,22
de,de,81
Dantès,Dantès,20
et,et,82
surtout,surtout,60
le,le,71
bon,bon,30
vin,vin,21
du,de,81
du,le,71
père,père,21
Pamphile,Pamphile,20
avaient,avoir,18
enlevé,enlever,12
tous,tout,75
les,le,71
restes,reste,21
de,de,81
la,le,71
haine,haine,22
dont,dont,52
le,le,71
bonheur,bonheur,21
inattendu,inattendu,30
de,de,81
Dantès,Dantès,20
avait,avoir,18
jeté,jeter,12
les,le,71
germes,germe,21
dans,dans,81
son,son,73
âme,âme,22
",",",",p
en,en,81
vérité,vérité,22
",",",",p
Dantès,Dantès,20
est,être,17
un,un,71
gentil,gentil,30
garçon,garçon,21
;,;,p
et,et,82
quand,quand,83
je,je,51
le,le,52
vois,voir,17
assis,assis,31
près,près,81
de,de,81
sa,son,73
fiancée,fiancée,22
",",",",p
je,je,51
me,je,51
dis,dire,19
que,que,83
ç',ça,52
eût,avoir,19
été,être,12
dommage,dommage,21
de,de,81
lui,lui,51
faire,faire,14
la,le,71
mauvaise,mauvais,30
plaisanterie,plaisanterie,22
que,que,52
vous,vous,51
complotiez,comploter,18
hier,hier,60
/.,/.,P
-,-,p
aussi,aussi,60
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
tu,tu,51
as,avoir,17
vu,voir,12
que,que,83
la,le,71
chose,chose,22
n',ne,60
a,avoir,17
pas,pas,60
eu,avoir,12
de,de,81
suite,suite,22
;,;,p
ce,ce,74
pauvre,pauvre,30
monsieur,monsieur,21
Fernand,Fernand,20
était,être,18
si,si,60
bouleversé,bouleverser,12
qu',que,83
il,il,51
m',je,51
avait,avoir,18
fait,faire,12
de,de,81
la,le,71
peine,peine,22
d'abord,d'abord,60
;,;,p
mais,mais,82
du,de,81
du,le,71
moment,moment,21
qu',que,83
il,il,51
en,en,52
a,avoir,17
pris,prendre,12
son,son,73
parti,parti,21
",",",",p
au,à,81
au,le,71
point,point,21
de,de,81
s',se,51
être,être,14
fait,faire,12
le,le,71
premier,premier,72
garçon,garçon,21
de,de,81
noces,noce,22
de,de,81
son,son,73
rival,rival,21
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
rien,rien,52
à,à,81
dire,dire,14
/.,/.,P
“,“,p
Caderousse,Caderousse,20
regarda,regarder,19
Fernand,Fernand,20
",",",",p
il,il,51
était,être,18
livide,livide,30
/.,/.,P
“,“,p
le,le,71
sacrifice,sacrifice,21
est,être,17
d'autant,d'autant,60
plus,plus,60
grand,grand,30
",",",",p
continua,continuer,19
Danglars,Danglars,20
",",",",p
qu',que,83
en,en,81
vérité,vérité,22
la,le,71
fille,fille,22
est,être,17
belle,beau,30
/.,/.,P
peste,peste,22
/!,/!,P
l',le,71
heureux,heureux,30
coquin,coquin,21
que,que,52
mon,mon,73
futur,futur,30
capitaine,capitaine,21
;,;,p
je,je,51
voudrais,vouloir,16
m',je,51
appeler,appeler,14
Dantès,Dantès,20
douze,douze,72
heures,heure,22
seulement,seulement,60
/.,/.,P
-,-,p
partons,partir,17
nous,nous,51
?,?,p
demanda,demander,19
la,le,71
douce,doux,30
voix,voix,22
de,de,81
Mercédès,Mercédès,20
;,;,p
voici,voici,81
deux,deux,72
heures,heure,22
qui,qui,52
sonnent,sonner,17
",",",",p
et,et,82
l',l',94
on,on,51
nous,nous,51
attend,attendre,17
à,à,81
deux,deux,72
heures,heure,22
et,et,82
quart,quart,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
partons,partir,17
!,!,p
dit,dire,19
Dantès,Dantès,20
en,en,81
se,se,51
levant,lever,13
vivement,vivement,60
/.,/.,P
-,-,p
partons,partir,17
!,!,p
répétèrent,répéter,19
en,en,81
choeur,choeur,21
tous,tout,75
les,le,71
convives,convive,21
/.,/.,P
au,à,81
au,le,71
même,même,75
instant,instant,21
",",",",p
Danglars,Danglars,20
",",",",p
qui,qui,52
ne,ne,60
perdait,perdre,18
pas,pas,60
de,de,81
vue,vue,22
Fernand,Fernand,20
assis,assis,31
sur,sur,81
le,le,71
rebord,rebord,21
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
le,le,52
vit,voir,19
ouvrir,ouvrir,14
des,de,81
des,le,71
yeux,oeil,21
hagards,hagard,30
",",",",p
se,se,51
lever,lever,14
comme,comme,83
par,par,81
un,un,71
mouvement,mouvement,21
convulsif,convulsif,30
",",",",p
et,et,82
retomber,retomber,14
assis,assis,31
sur,sur,81
l',le,71
appui,appui,21
de,de,81
cette,ce,74
croisée,croisée,22
;,;,p
presque,presque,60
au,à,81
au,le,71
même,même,75
instant,instant,21
un,un,71
bruit,bruit,21
sourd,sourd,30
retentit,retentir,19
dans,dans,81
l',le,71
escalier,escalier,21
;,;,p
le,le,71
retentissement,retentissement,21
d',de,81
un,un,71
pas,pas,21
pesant,pesant,30
",",",",p
une,un,71
rumeur,rumeur,22
confuse,confus,30
de,de,81
voix,voix,22
mêlées,mêlé,31
à,à,81
un,un,71
cliquetis,cliquetis,21
d',de,81
armes,arme,22
couvrirent,couvrir,19
les,le,71
exclamations,exclamation,22
des,de,81
des,le,71
convives,convive,21
",",",",p
si,si,60
bruyantes,bruyant,30
qu',que,83
elles,ils,51
fussent,être,18
",",",",p
et,et,82
attirèrent,attirer,19
l',le,71
attention,attention,22
générale,général,30
",",",",p
qui,qui,52
se,se,51
manifesta,manifester,19
à,à,81
l',le,71
instant,instant,21
même,même,30
par,par,81
un,un,71
silence,silence,21
inquiet,inquiet,30
/.,/.,P
le,le,71
bruit,bruit,21
s',se,51
approcha,approcher,19
:,:,p
trois,trois,72
coups,coup,21
retentirent,retentir,19
dans,dans,81
le,le,71
panneau,panneau,21
de,de,81
la,le,71
porte,porte,22
;,;,p
chacun,chacun,52
regarda,regarder,19
son,son,73
voisin,voisin,21
d',de,81
un,un,71
air,air,21
étonné,étonné,31
/.,/.,P
“,“,p
au,à,81
au,le,71
nom,nom,21
de,de,81
la,le,71
loi,loi,22
!,!,p
cria,crier,19
une,un,71
voix,voix,22
vibrante,vibrant,30
",",",",p
à,à,81
laquelle,lequel,52
aucune,aucun,75
voix,voix,22
ne,ne,60
répondit,répondre,19
/.,/.,P
aussitôt,aussitôt,60
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
",",",",p
et,et,82
un,un,71
commissaire,commissaire,21
",",",",p
ceint,ceint,31
de,de,81
son,son,73
écharpe,écharpe,22
",",",",p
entra,entrer,19
dans,dans,81
la,le,71
salle,salle,22
",",",",p
suivi,suivi,31
de,de,81
quatre,quatre,72
soldats,soldat,21
armés,armé,31
",",",",p
conduits,conduit,31
par,par,81
un,un,71
caporal,caporal,21
/.,/.,P
l',le,71
inquiétude,inquiétude,22
fit,faire,19
place,place,22
à,à,81
la,le,71
terreur,terreur,22
/.,/.,P
“,“,p
qu',que,52
y,y,52
a,avoir,17
t,t,94
il,il,51
?,?,p
demanda,demander,19
l',le,71
armateur,armateur,21
en,en,81
s',se,51
avançant,avancer,13
au devant,au-devant,60
du,de,81
du,le,71
commissaire,commissaire,21
qu',que,52
il,il,51
connaissait,connaître,18
;,;,p
bien,bien,60
certainement,certainement,60
",",",",p
monsieur,monsieur,21
",",",",p
il,il,51
y,y,52
a,avoir,17
méprise,méprise,22
/.,/.,P
-,-,p
s',si,83
il,il,51
y,y,52
a,avoir,17
méprise,méprise,22
",",",",p
monsieur,monsieur,21
Morrel,Morrel,20
",",",",p
répondit,répondre,19
le,le,71
commissaire,commissaire,21
",",",",p
croyez,croire,17
que,que,83
la,le,71
méprise,méprise,22
sera,être,15
promptement,promptement,60
réparée,réparer,12
;,;,p
en,en,81
attendant,attendre,13
",",",",p
je,je,51
suis,être,17
porteur,porteur,30
d',de,81
un,un,71
mandat,mandat,21
d',de,81
arrêt,arrêt,21
;,;,p
et,et,82
quoique,quoique,83
ce,ce,52
soit,être,17
avec,avec,81
regret,regret,21
que,que,83
je,je,51
remplisse,remplir,17
ma,mon,73
mission,mission,22
",",",",p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
moins,moins,60
que,que,83
je,je,51
la,le,52
remplisse,remplir,17
:,:,p
lequel,lequel,52
de,de,81
vous,vous,51
",",",",p
messieurs,monsieur,21
",",",",p
est,être,17
Edmond,Edmond,20
Dantès,Dantès,20
/?,/?,P
tous,tout,75
les,le,71
regards,regard,21
se,se,51
tournèrent,tourner,19
vers,vers,81
le,le,71
jeune,jeune,30
homme,homme,21
qui,qui,52
",",",",p
fort,fort,60
ému,ému,31
",",",",p
mais,mais,82
conservant,conserver,13
sa,son,73
dignité,dignité,22
",",",",p
fit,faire,19
un,un,71
pas,pas,21
en,en,81
avant,avant,21
et,et,82
dit,dire,19
:,:,p
“,“,p
c',ce,52
est,être,17
moi,moi,51
",",",",p
monsieur,monsieur,21
",",",",p
que,que,52
me,je,51
voulez,vouloir,17
vous,vous,51
/?,/?,P
Edmond,Edmond,20
Dantès,Dantès,20
",",",",p
reprit,reprendre,19
le,le,71
commissaire,commissaire,21
",",",",p
au,à,81
au,le,71
nom,nom,21
de,de,81
la,le,71
loi,loi,22
",",",",p
je,je,51
vous,vous,51
arrête,arrêter,17
/!,/!,P
vous,vous,51
m',je,51
arrêtez,arrêter,17
!,!,p
dit,dire,19
Edmond,Edmond,20
avec,avec,81
une,un,71
légère,léger,30
pâleur,pâleur,22
",",",",p
mais,mais,82
pourquoi,pourquoi,60
m',je,51
arrêtez,arrêter,17
vous,vous,51
/?,/?,P
je,je,51
l',le,52
ignore,ignorer,17
",",",",p
monsieur,monsieur,21
",",",",p
mais,mais,82
votre,votre,73
premier,premier,72
interrogatoire,interrogatoire,21
vous,vous,51
l',le,52
apprendra,apprendre,15
/.,/.,P
“,“,p
monsieur,monsieur,21
Morrel,Morrel,20
comprit,comprendre,19
qu',que,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
rien,rien,52
à,à,81
faire,faire,14
contre,contre,81
l',le,71
inflexibilité,inflexibilité,22
de,de,81
la,le,71
situation,situation,22
:,:,p
un,un,71
commissaire,commissaire,21
ceint,ceint,31
de,de,81
son,son,73
écharpe,écharpe,22
n',ne,60
est,être,17
plus,plus,60
un,un,71
homme,homme,21
",",",",p
c',ce,52
est,être,17
la,le,71
statue,statue,22
de,de,81
la,le,71
loi,loi,22
",",",",p
froide,froid,30
",",",",p
sourde,sourd,30
",",",",p
muette,muet,30
/.,/.,P
le,le,71
vieillard,vieillard,21
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
se,se,51
précipita,précipiter,19
vers,vers,81
l',le,71
officier,officier,21
;,;,p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
choses,chose,22
que,que,52
le,le,71
coeur,coeur,21
d',de,81
un,un,71
père,père,21
ou,ou,82
d',de,81
une,un,71
mère,mère,22
ne,ne,60
comprendra,comprendre,15
jamais,jamais,60
/.,/.,P
il,il,51
pria,prier,19
et,et,82
supplia,supplier,19
:,:,p
larmes,larme,22
et,et,82
prières,prière,22
ne,ne,60
pouvaient,pouvoir,18
rien,rien,52
;,;,p
cependant,cependant,82
son,son,73
désespoir,désespoir,21
était,être,18
si,si,60
grand,grand,30
",",",",p
que,que,83
le,le,71
commissaire,commissaire,21
en,en,52
fut,être,19
touché,toucher,12
/.,/.,P
“,“,p
monsieur,monsieur,21
",",",",p
dit,dire,19
il,il,51
",",",",p
tranquillisez,tranquilliser,17
vous,vous,51
;,;,p
peut-être,peut-être,60
votre,votre,73
fils,fils,21
a,avoir,17
t,t,94
il,il,51
négligé,négliger,12
quelque,quelque,75
formalité,formalité,22
de,de,81
douane,douane,22
ou,ou,82
de,de,81
santé,santé,22
",",",",p
et,et,82
",",",",p
selon,selon,81
toute,tout,75
probabilité,probabilité,22
",",",",p
lorsqu',lorsque,83
on,on,51
aura,avoir,15
reçu,recevoir,12
de,de,81
lui,lui,51
les,le,71
renseignements,renseignement,21
qu',que,52
on,on,51
désire,désirer,17
en,en,52
tirer,tirer,14
",",",",p
il,il,51
sera,être,15
remis,remettre,12
en,en,81
liberté,liberté,22
/.,/.,P
-,-,p
ah,ah,93
çà,çà,60
!,!,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
cela,cela,52
signifie,signifier,17
?,?,p
demanda,demander,19
en,en,81
fronçant,froncer,13
le,le,71
sourcil,sourcil,21
Caderousse,Caderousse,20
à,à,81
Danglars,Danglars,20
",",",",p
qui,qui,52
jouait,jouer,18
la,le,71
surprise,surprise,22
/.,/.,P
-,-,p
le,le,52
sais,savoir,17
je,je,51
",",",",p
moi,moi,51
?,?,p
dit,dire,19
Danglars,Danglars,20
;,;,p
je,je,51
suis,être,17
comme,comme,83
toi,toi,51
:,:,p
je,je,51
vois,voir,17
ce,ce,52
qui,qui,52
se,se,51
passe,passer,17
",",",",p
je,je,51
n',ne,60
y,y,52
comprends,comprendre,17
rien,rien,52
",",",",p
et,et,82
je,je,51
reste,rester,17
confondu,confondu,31
/.,/.,P
“,“,p
Caderousse,Caderousse,20
chercha,chercher,19
des,de,81
des,le,71
yeux,oeil,21
Fernand,Fernand,20
:,:,p
il,il,51
avait,avoir,18
disparu,disparaître,12
/.,/.,P
toute,tout,75
la,le,71
scène,scène,22
de,de,81
la,le,71
veille,veille,22
se,se,51
représenta,représenter,19
alors,alors,60
à,à,81
son,son,73
esprit,esprit,21
avec,avec,81
une,un,71
effrayante,effrayant,30
lucidité,lucidité,22
",",",",p
on,on,51
eût,avoir,19
dit,dire,12
que,que,83
la,le,71
catastrophe,catastrophe,22
venait,venir,18
de,de,81
tirer,tirer,14
le,le,71
voile,voile,21
que,que,52
