11703
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-sixième extrait>,<>,<>
et,et,82
de,de,81
leur,leur,73
beauté,beauté,22
dans,dans,81
les,le,71
carrefours,carrefour,21
de,de,81
Paris,Paris,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
dommage,dommage,21
!,!,p
grommela,grommeler,19
le,le,71
tourmenteur,tourmenteur,21
en,en,81
considérant,considérer,13
ces,ce,74
formes,forme,22
si,si,60
gracieuses,gracieux,30
et,et,82
si,si,60
délicates,délicat,30
/.,/.,P
si,si,83
l',le,71
archidiacre,archidiacre,21
eût,avoir,19
été,être,12
présent,présent,30
",",",",p
certes,certes,60
",",",",p
il,il,51
se,se,51
fût,être,19
souvenu,souvenir,12
en,en,81
ce,ce,74
moment,moment,21
de,de,81
son,son,73
symbole,symbole,21
de,de,81
l',le,71
araignée,araignée,22
et,et,82
de,de,81
la,le,71
mouche,mouche,22
/.,/.,P
bientôt,bientôt,60
la,le,71
malheureuse,malheureux,30
vit,voir,19
",",",",p
à,à,81
travers,travers,21
un,un,71
nuage,nuage,21
qui,qui,52
se,se,51
répandait,répandre,18
sur,sur,81
ses,son,73
yeux,oeil,21
",",",",p
approcher,approcher,14
le,le,71
brodequin,brodequin,21
",",",",p
bientôt,bientôt,60
elle,il,51
vit,voir,19
son,son,73
pied,pied,21
emboîté,emboîté,31
entre,entre,81
les,le,71
ais,ais,21
ferrés,ferré,31
disparaître,disparaître,14
sous,sous,81
l',le,71
effrayant,effrayant,30
appareil,appareil,21
/.,/.,P
alors,alors,60
la,le,71
terreur,terreur,22
lui,lui,51
rendit,rendre,19
de,de,81
la,le,71
force,force,22
/.,/.,P
-,-,p
ôtez,ôter,17
moi,moi,51
cela,cela,52
!,!,p
cria,crier,19
t,t,94
elle,il,51
avec,avec,81
emportement,emportement,21
/.,/.,P
et,et,82
",",",",p
se,se,51
dressant,dresser,13
tout,tout,60
échevelée,échevelé,30
:,:,p
-,-,p
grâce,grâce,22
/!,/!,P
elle,il,51
s',se,51
élança,élancer,19
hors,hors,81
du,de,81
du,le,71
lit,lit,21
pour,pour,81
se,se,51
jeter,jeter,14
aux,à,81
aux,le,71
pieds,pied,21
du,de,81
du,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
",",",",p
mais,mais,82
sa,son,73
jambe,jambe,22
était,être,18
prise,prendre,12
dans,dans,81
le,le,71
lourd,lourd,30
bloc,bloc,21
de,de,81
chêne,chêne,21
et,et,82
de,de,81
ferrures,ferrure,22
",",",",p
et,et,82
elle,il,51
s',se,51
affaissa,affaisser,19
sur,sur,81
le,le,71
brodequin,brodequin,21
",",",",p
plus,plus,60
brisée,brisé,31
qu',que,83
une,un,71
abeille,abeille,22
qui,qui,52
aurait,avoir,16
un,un,71
plomb,plomb,21
sur,sur,81
l',le,71
aile,aile,22
/.,/.,P
à,à,81
un,un,71
signe,signe,21
de,de,81
Charmolue,Charmolue,20
",",",",p
on,on,51
la,le,52
replaça,replacer,19
sur,sur,81
le,le,71
lit,lit,21
",",",",p
et,et,82
deux,deux,72
grosses,gros,30
mains,main,22
assujettirent,assujettir,19
à,à,81
sa,son,73
fine,fin,30
ceinture,ceinture,22
la,le,71
courroie,courroie,22
qui,qui,52
pendait,pendre,18
de,de,81
la,le,71
voûte,voûte,22
/.,/.,P
-,-,p
une,un,71
dernière,dernier,30
fois,fois,22
",",",",p
avouez,avouer,17
vous,vous,51
les,le,71
faits,fait,21
de,de,81
la,le,71
cause,cause,22
?,?,p
demanda,demander,19
Charmolue,Charmolue,20
avec,avec,81
son,son,73
imperturbable,imperturbable,30
bénignité,bénignité,22
/.,/.,P
-,-,p
je,je,51
suis,être,17
innocente,innocent,30
/.,/.,P
-,-,p
alors,alors,60
",",",",p
madamoiselle,mademoiselle,22
",",",",p
comment,comment,60
expliquez,expliquer,17
vous,vous,51
les,le,71
circonstances,circonstance,22
à,à,81
votre,votre,73
charge,charge,22
/?,/?,P
hélas,hélas,60
",",",",p
monseigneur,monseigneur,21
!,!,p
je,je,51
ne,ne,60
sais,savoir,17
/.,/.,P
-,-,p
vous,vous,51
niez,nier,17
donc,donc,82
/?,/?,P
tout,tout,52
/!,/!,P
faites,faire,17
",",",",p
dit,dire,19
Charmolue,Charmolue,20
à,à,81
Pierrat,Pierrat,20
/.,/.,P
Pierrat,Pierrat,20
tourna,tourner,19
la,le,71
poignée,poignée,22
du,de,81
du,le,71
cric,cric,21
",",",",p
le,le,71
brodequin,brodequin,21
se,se,51
resserra,resserrer,19
",",",",p
et,et,82
la,le,71
malheureuse,malheureux,30
poussa,pousser,19
un,un,52
de,de,81
ces,ce,74
horribles,horrible,30
cris,cri,21
qui,qui,52
n',ne,60
ont,avoir,17
d',de,81
orthographe,orthographe,22
dans,dans,81
aucune,aucun,75
langue,langue,22
humaine,humain,30
/.,/.,P
-,-,p
arrêtez,arrêter,17
",",",",p
dit,dire,19
Charmolue,Charmolue,20
à,à,81
Pierrat,Pierrat,20
/.,/.,P
-,-,p
avouez,avouer,17
vous,vous,51
?,?,p
dit,dire,19
il,il,51
à,à,81
l',le,71
égyptienne,égyptienne,22
/.,/.,P
-,-,p
tout,tout,52
!,!,p
cria,crier,19
la,le,71
misérable,misérable,30
fille,fille,22
/.,/.,P
j',je,51
avoue,avouer,17
!,!,p
j',je,51
avoue,avouer,17
!,!,p
grâce,grâce,22
/!,/!,P
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
calculé,calculer,12
ses,son,73
forces,force,22
en,en,81
affrontant,affronter,13
la,le,71
question,question,22
/.,/.,P
pauvre,pauvre,30
enfant,enfant,21
dont,dont,52
la,le,71
vie,vie,22
jusqu',jusque,81
alors,alors,60
avait,avoir,18
été,être,12
si,si,60
joyeuse,joyeux,30
",",",",p
si,si,60
suave,suave,30
",",",",p
si,si,60
douce,doux,30
",",",",p
la,le,71
première,premier,72
douleur,douleur,22
l',le,52
avait,avoir,18
vaincue,vaincre,12
/.,/.,P
-,-,p
l',le,71
humanité,humanité,22
m',je,51
oblige,obliger,17
à,à,81
vous,vous,51
dire,dire,14
",",",",p
observa,observer,19
le,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
",",",",p
qu',que,83
en,en,81
avouant,avouer,13
c',ce,52
est,être,17
la,le,71
mort,mort,22
que,que,52
vous,vous,51
devez,devoir,17
attendre,attendre,14
/.,/.,P
-,-,p
je,je,51
l',le,52
espère,espérer,17
bien,bien,60
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
et,et,82
elle,il,51
retomba,retomber,19
sur,sur,81
le,le,71
lit,lit,21
de,de,81
cuir,cuir,21
",",",",p
mourante,mourant,30
",",",",p
pliée,plié,31
en,en,81
deux,deux,72
",",",",p
se,se,51
laissant,laisser,13
pendre,pendre,14
à,à,81
la,le,71
courroie,courroie,22
bouclée,bouclé,31
sur,sur,81
sa,son,73
poitrine,poitrine,22
/.,/.,P
-,-,p
sus,sus,60
",",",",p
ma,mon,73
belle,belle,22
",",",",p
soutenez,soutenir,17
vous,vous,51
un,un,71
peu,peu,60
",",",",p
dit,dire,19
maître,maître,21
Pierrat,Pierrat,20
en,en,81
la,le,52
relevant,relever,13
/.,/.,P
vous,vous,51
avez,avoir,17
l',le,71
air,air,21
du,de,81
du,le,71
mouton,mouton,21
d',de,81
or,or,21
qui,qui,52
est,être,17
au,à,81
au,le,71
cou,cou,21
de,de,81
monsieur,monsieur,21
de,de,81
Bourgogne,Bourgogne,20
/.,/.,P
Jacques,Jacques,20
Charmolue,Charmolue,20
éleva,élever,19
la,le,71
voix,voix,22
/.,/.,P
-,-,p
greffier,greffier,21
",",",",p
écrivez,écrire,17
/.,/.,P
-,-,p
jeune,jeune,30
fille,fille,22
bohème,bohème,30
",",",",p
vous,vous,51
avouez,avouer,17
votre,votre,73
participation,participation,22
aux,à,81
aux,le,71
agapes,agape,22
",",",",p
sabbats,sabbat,21
et,et,82
maléfices,maléfice,21
de,de,81
l',le,71
enfer,enfer,21
",",",",p
avec,avec,81
les,le,71
larves,larve,22
",",",",p
les,le,71
masques,masque,21
et,et,82
les,le,71
stryges,strige,22
/?,/?,P
répondez,répondre,17
/.,/.,P
-,-,p
oui,oui,60
",",",",p
dit,dire,19
elle,il,51
",",",",p
si,si,60
bas,bas,60
que,que,83
sa,son,73
parole,parole,22
se,se,51
perdait,perdre,18
dans,dans,81
son,son,73
souffle,souffle,21
/.,/.,P
-,-,p
vous,vous,51
avouez,avouer,17
avoir,avoir,14
vu,voir,12
le,le,71
bélier,bélier,21
que,que,52
Belzébuth,Belzébuth,20
fait,faire,17
paraître,paraître,14
dans,dans,81
les,le,71
nuées,nuée,22
pour,pour,81
rassembler,rassembler,14
le,le,71
sabbat,sabbat,21
",",",",p
et,et,82
qui,qui,52
n',ne,60
est,être,17
vu,voir,12
que,que,83
des,de,81
des,le,71
sorciers,sorcier,21
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
vous,vous,51
confessez,confesser,17
avoir,avoir,14
adoré,adorer,12
les,le,71
têtes,tête,22
de,de,81
Bophomet,Bophomet,20
",",",",p
ces,ce,74
abominables,abominable,30
idoles,idole,22
des,de,81
des,le,71
templiers,templier,21
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
avoir,avoir,14
eu,avoir,12
commerce,commerce,21
habituel,habituel,30
avec,avec,81
le,le,71
diable,diable,21
sous,sous,81
la,le,71
forme,forme,22
d',de,81
une,un,71
chèvre,chèvre,22
familière,familier,30
",",",",p
jointe,joint,31
au,à,81
au,le,71
procès,procès,21
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
enfin,enfin,60
",",",",p
vous,vous,51
avouez,avouer,17
et,et,82
confessez,confesser,17
avoir,avoir,14
",",",",p
à,à,81
l',le,71
aide,aide,22
du,de,81
du,le,71
démon,démon,21
",",",",p
et,et,82
du,de,81
du,le,71
fantôme,fantôme,21
vulgairement,vulgairement,60
appelé,appelé,31
le,le,71
moine,moine,21
bourru,bourru,30
",",",",p
dans,dans,81
la,le,71
nuit,nuit,22
du,de,81
du,le,71
vingt-neuvième,vingt-neuvième,72
mars,mars,21
dernier,dernier,30
",",",",p
meurtri,meurtrir,12
et,et,82
assassiné,assassiner,12
un,un,71
capitaine,capitaine,21
nommé,nommé,31
Phoebus,Phoebus,20
de,de,81
Châteaupers,Châteaupers,20
/?,/?,P
elle,il,51
leva,lever,19
sur,sur,81
le,le,71
magistrat,magistrat,21
ses,son,73
grands,grand,30
yeux,oeil,21
fixes,fixe,30
",",",",p
et,et,82
répondit,répondre,19
comme,comme,83
machinalement,machinalement,60
",",",",p
sans,sans,81
convulsion,convulsion,22
et,et,82
sans,sans,81
secousse,secousse,22
:,:,p
-,-,p
oui,oui,60
/.,/.,P
il,il,51
était,être,18
évident,évident,30
que,que,83
tout,tout,52
était,être,18
brisé,briser,12
en,en,81
elle,il,51
/.,/.,P
-,-,p
écrivez,écrire,17
",",",",p
greffier,greffier,21
",",",",p
dit,dire,19
Charmolue,Charmolue,20
/.,/.,P
et,et,82
s',se,51
adressant,adresser,13
aux,à,81
aux,le,71
tortionnaires,tortionnaire,21
:,:,p
-,-,p
qu',que,52
on,on,51
détache,détacher,17
la,le,71
prisonnière,prisonnière,22
",",",",p
et,et,82
qu',que,83
on,on,51
la,le,52
ramène,ramener,17
à,à,81
l',le,71
audience,audience,22
/.,/.,P
quand,quand,83
la,le,71
prisonnière,prisonnière,22
fut,être,19
déchaussée,déchausser,12
",",",",p
le,le,71
procureur,procureur,21
en,en,81
cour,cour,22
d',de,81
église,église,22
examina,examiner,19
son,son,73
pied,pied,21
encore,encore,60
engourdi,engourdi,31
par,par,81
la,le,71
douleur,douleur,22
/.,/.,P
-,-,p
allons,aller,17
!,!,p
dit,dire,19
il,il,51
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
grand,grand,30
mal,mal,21
/.,/.,P
vous,vous,51
avez,avoir,17
crié,crier,12
à,à,81
temps,temps,21
/.,/.,P
vous,vous,51
pourriez,pouvoir,16
encore,encore,60
danser,danser,14
",",",",p
la,le,71
belle,belle,22
/!,/!,P
puis,puis,60
il,il,51
se,se,51
tourna,tourner,19
vers,vers,81
ses,son,73
acolytes,acolyte,21
de,de,81
l',le,71
officialité,officialité,22
/.,/.,P
-,-,p
voilà,voilà,81
enfin,enfin,60
la,le,71
justice,justice,22
éclairée,éclairé,31
/!,/!,P
cela,cela,52
soulage,soulager,17
",",",",p
messieurs,monsieur,21
/!,/!,P
madamoiselle,mademoiselle,22
nous,nous,51
rendra,rendre,15
ce,ce,74
témoignage,témoignage,21
",",",",p
que,que,83
nous,nous,51
avons,avoir,17
agi,agir,12
avec,avec,81
toute,tout,75
la,le,71
douceur,douceur,22
possible,possible,30
/.,/.,P
<Chapitre III>,<>,<>
fin,fin,22
de,de,81
l',le,71
écu,écu,21
changé,changé,31
en,en,81
feuille,feuille,22
sèche,sec,30
/.,/.,P
quand,quand,83
elle,il,51
rentra,rentrer,19
",",",",p
pâle,pâle,30
et,et,82
boitant,boiter,13
",",",",p
dans,dans,81
la,le,71
salle,salle,22
d',de,81
audience,audience,22
un,un,71
murmure,murmure,21
général,général,30
de,de,81
plaisir,plaisir,21
l',le,52
accueillit,accueillir,19
/.,/.,P
de,de,81
la,le,71
part,part,22
de,de,81
l',le,71
auditoire,auditoire,21
",",",",p
c',ce,52
était,être,18
ce,ce,74
sentiment,sentiment,21
d',de,81
impatience,impatience,22
satisfaite,satisfait,31
qu',que,52
on,on,51
éprouve,éprouver,17
au,à,81
au,le,71
théâtre,théâtre,21
à,à,81
l',le,71
expiration,expiration,22
du,de,81
du,le,71
dernier,dernier,30
entr'acte,entracte,21
de,de,81
la,le,71
comédie,comédie,22
",",",",p
lorsque,lorsque,83
la,le,71
toile,toile,22
se,se,51
relève,relever,17
et,et,82
que,que,83
la,le,71
fin,fin,22
va,aller,17
commencer,commencer,14
/.,/.,P
de,de,81
la,le,71
part,part,22
des,de,81
des,le,71
juges,juge,21
",",",",p
c',ce,52
était,être,18
espoir,espoir,21
de,de,81
bientôt,bientôt,60
souper,souper,14
/.,/.,P
la,le,71
petite,petit,30
chèvre,chèvre,22
aussi,aussi,60
bêla,bêler,19
de,de,81
joie,joie,22
/.,/.,P
elle,il,51
voulut,vouloir,19
courir,courir,14
vers,vers,81
sa,son,73
maîtresse,maîtresse,22
",",",",p
mais,mais,82
on,on,51
l',le,52
avait,avoir,18
attachée,attacher,12
au,à,81
au,le,71
banc,banc,21
/.,/.,P
la,le,71
nuit,nuit,22
était,être,18
tout,tout,60
à,à,81
fait,fait,21
venue,venir,12
/.,/.,P
les,le,71
chandelles,chandelle,22
",",",",p
dont,dont,52
on,on,51
n',ne,60
avait,avoir,18
pas,pas,60
augmenté,augmenter,12
le,le,71
nombre,nombre,21
",",",",p
jetaient,jeter,18
si,si,83
peu,peu,60
de,de,81
lumière,lumière,22
qu',que,83
on,on,51
ne,ne,60
voyait,voir,18
pas,pas,60
les,le,71
murs,mur,21
de,de,81
la,le,71
salle,salle,22
/.,/.,P
les,le,71
ténèbres,ténèbre,22
y,y,52
enveloppaient,envelopper,18
tous,tout,75
les,le,71
objets,objet,21
d',de,81
une,un,71
sorte,sorte,22
de,de,81
brume,brume,22
/.,/.,P
quelques,quelque,75
faces,face,22
apathiques,apathique,30
de,de,81
juges,juge,21
y,y,52
ressortaient,ressortir,18
à,à,81
peine,peine,22
/.,/.,P
vis-à-vis,vis-à-vis,60
d',de,81
eux,ils,51
",",",",p
à,à,81
l',le,71
extrémité,extrémité,22
de,de,81
la,le,71
longue,long,30
salle,salle,22
",",",",p
ils,ils,51
pouvaient,pouvoir,18
voir,voir,14
un,un,71
point,point,21
de,de,81
blancheur,blancheur,22
vague,vague,30
se,se,51
détacher,détacher,14
sur,sur,81
le,le,71
fond,fond,21
sombre,sombre,30
/.,/.,P
c',ce,52
était,être,18
l',le,71
accusée,accusée,22
/.,/.,P
elle,il,51
s',se,51
était,être,18
traînée,traîner,12
à,à,81
sa,son,73
place,place,22
/.,/.,P
quand,quand,83
Charmolue,Charmolue,20
se,se,51
fut,être,19
installé,installer,12
magistralement,magistralement,60
à,à,81
la,le,71
sienne,sien,52
",",",",p
il,il,51
s',se,51
assit,asseoir,19
",",",",p
puis,puis,60
se,se,51
releva,relever,19
",",",",p
et,et,82
dit,dire,19
",",",",p
sans,sans,81
laisser,laisser,14
percer,percer,14
trop,trop,60
de,de,81
vanité,vanité,22
de,de,81
son,son,73
succès,succès,21
:,:,p
-,-,p
l',le,71
accusée,accusée,22
a,avoir,17
tout,tout,52
avoué,avouer,12
/.,/.,P
-,-,p
fille,fille,22
bohème,bohème,30
",",",",p
reprit,reprendre,19
le,le,71
président,président,21
",",",",p
vous,vous,51
avez,avoir,17
avoué,avouer,12
tous,tout,75
vos,votre,73
faits,fait,21
de,de,81
magie,magie,22
",",",",p
de,de,81
prostitution,prostitution,22
et,et,82
d',de,81
assassinat,assassinat,21
sur,sur,81
Phoebus,Phoebus,20
de,de,81
Châteaupers,Châteaupers,20
/?,/?,P
son,son,73
coeur,coeur,21
se,se,51
serra,serrer,19
/.,/.,P
on,on,51
l',le,52
entendit,entendre,19
sangloter,sangloter,14
dans,dans,81
l',le,71
ombre,ombre,22
/.,/.,P
-,-,p
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
voudrez,vouloir,15
",",",",p
répondit,répondre,19
elle,il,51
faiblement,faiblement,60
",",",",p
mais,mais,82
tuez,tuer,17
moi,moi,51
vite,vite,60
/!,/!,P
monsieur,monsieur,21
le,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
en,en,81
cour,cour,22
d',de,81
église,église,22
",",",",p
dit,dire,19
le,le,71
président,président,21
",",",",p
la,le,71
chambre,chambre,22
est,être,17
prête,prêt,30
à,à,81
vous,vous,51
entendre,entendre,14
en,en,81
vos,votre,73
réquisitions,réquisition,22
/.,/.,P
maître,maître,21
Charmolue,Charmolue,20
exhiba,exhiber,19
un,un,71
effrayant,effrayant,30
cahier,cahier,21
",",",",p
et,et,82
se,se,51
mit,mettre,19
à,à,81
lire,lire,14
avec,avec,81
force,force,22
gestes,geste,21
et,et,82
l',le,71
accentuation,accentuation,22
exagérée,exagéré,31
de,de,81
la,le,71
plaidoirie,plaidoirie,22
une,un,71
oraison,oraison,22
en,en,81
latin,latin,21
où,où,60
toutes,tout,75
les,le,71
preuves,preuve,22
du,de,81
du,le,71
procès,procès,21
s',se,51
échafaudaient,échafauder,18
sur,sur,81
des,de,81
des,le,71
périphrases,périphrase,22
cicéroniennes,cicéronien,30
flanquées,flanqué,31
de,de,81
citations,citation,22
de,de,81
Plaute,Plaute,20
",",",",p
son,son,73
comique,comique,21
favori,favori,30
/.,/.,P
nous,nous,51
regrettons,regretter,17
de,de,81
ne,ne,60
pouvoir,pouvoir,14
offrir,offrir,14
à,à,81
nos,notre,73
lecteurs,lecteur,21
ce,ce,74
morceau,morceau,21
remarquable,remarquable,30
/.,/.,P
l',le,71
orateur,orateur,21
le,le,52
débitait,débiter,18
avec,avec,81
une,un,71
action,action,22
merveilleuse,merveilleux,30
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
achevé,achever,12
l',le,71
exorde,exorde,21
",",",",p
que,que,83
déjà,déjà,60
la,le,71
sueur,sueur,22
lui,lui,51
sortait,sortir,18
du,de,81
du,le,71
front,front,21
et,et,82
les,le,71
yeux,oeil,21
de,de,81
la,le,71
tête,tête,22
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
au,à,81
au,le,71
beau,beau,30
milieu,milieu,21
d',de,81
une,un,71
période,période,22
",",",",p
il,il,51
s',se,51
interrompit,interrompre,19
",",",",p
et,et,82
son,son,73
regard,regard,21
",",",",p
d',de,81
ordinaire,ordinaire,21
assez,assez,60
doux,doux,30
et,et,82
même,même,60
assez,assez,60
bête,bête,30
",",",",p
devint,devenir,19
foudroyant,foudroyant,30
/.,/.,P
-,-,p
messieurs,monsieur,21
",",",",p
s',se,51
écria,écrier,19
t,t,94
il,il,51
(,(,p
cette,ce,74
fois,fois,22
en,en,81
français,français,21
",",",",p
car,car,82
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
dans,dans,81
le,le,71
cahier,cahier,21
),),p
",",",",p
Satan,Satan,20
est,être,17
tellement,tellement,60
mêlé,mêler,12
dans,dans,81
cette,ce,74
affaire,affaire,22
que,que,83
le,le,52
voilà,voilà,81
qui,qui,52
assiste,assister,17
à,à,81
nos,notre,73
débats,débat,21
et,et,82
fait,faire,17
singerie,singerie,22
de,de,81
leur,leur,73
majesté,majesté,22
/.,/.,P
voyez,voir,17
/!,/!,P
en,en,81
parlant,parler,13
ainsi,ainsi,60
",",",",p
il,il,51
désignait,désigner,18
de,de,81
la,le,71
main,main,22
la,le,71
petite,petit,30
chèvre,chèvre,22
",",",",p
qui,qui,52
",",",",p
voyant,voir,13
gesticuler,gesticuler,14
Charmolue,Charmolue,20
",",",",p
avait,avoir,18
cru,croire,12
en,en,81
effet,effet,21
qu',que,83
il,il,51
était,être,18
à,à,81
propos,propos,21
d',de,81
en,en,52
faire,faire,14
autant,autant,60
",",",",p
et,et,82
s',se,51
était,être,18
assise,asseoir,12
sur,sur,81
le,le,71
derrière,derrière,21
",",",",p
reproduisant,reproduire,13
de,de,81
son,son,73
mieux,mieux,60
",",",",p
avec,avec,81
ses,son,73
pattes,patte,22
de,de,81
devant,devant,21
et,et,82
sa,son,73
tête,tête,22
barbue,barbu,30
",",",",p
la,le,71
pantomime,pantomime,22
pathétique,pathétique,30
du,de,81
du,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
en,en,81
cour,cour,22
d',de,81
église,église,22
/.,/.,P
c',ce,52
était,être,18
",",",",p
si,si,83
l',l',94
on,on,51
s',se,51
en,en,52
souvient,souvenir,17
",",",",p
un,un,52
de,de,81
ses,son,73
plus,plus,60
gentils,gentil,30
talents,talent,21
/.,/.,P
cet,ce,74
incident,incident,21
",",",",p
cette,ce,74
dernière,dernier,30
preuve,preuve,22
",",",",p
fit,faire,19
grand,grand,30
effet,effet,21
/.,/.,P
on,on,51
lia,lier,19
les,le,71
pattes,patte,22
à,à,81
la,le,71
chèvre,chèvre,22
",",",",p
et,et,82
le,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
reprit,reprendre,19
le,le,71
fil,fil,21
de,de,81
son,son,73
éloquence,éloquence,22
/.,/.,P
cela,cela,52
fut,être,19
très,très,60
long,long,30
",",",",p
mais,mais,82
la,le,71
péroraison,péroraison,22
était,être,18
admirable,admirable,30
/.,/.,P
en,en,52
voici,voici,81
la,le,71
dernière,dernier,30
phrase,phrase,22
;,;,p
qu',que,52
on,on,51
y,y,52
ajoute,ajouter,17
la,le,71
voix,voix,22
enrouée,enroué,31
et,et,82
le,le,71
geste,geste,21
essoufflé,essoufflé,31
de,de,81
maître,maître,21
Charmolue,Charmolue,20
/.,/.,P
-,-,p
ideo,ideo,92
",",",",p
domni,domni,92
",",",",p
coram,coram,92
stryga,stryga,92
demonstrata,demonstrata,92
",",",",p
crimine,crimine,92
patente,patente,92
",",",",p
intentione,intentione,92
criminis,criminis,92
existente,existente,92
",",",",p
in,in,92
nomine,nomine,92
sanctae,sanctae,92
ecclesiae,ecclesiae,92
Nostrae Dominae,Nostrae Dominae,20
Parisiensis,Parisiensis,20
",",",",p
quae,quae,92
est,être,17
in,in,92
saisina,saisina,92
habendi,habendi,92
omnimodam,omnimodam,92
altam,altam,92
et,et,82
bassam,bassam,92
justitiam,justitiam,92
in,in,92
illa,illa,92
hac,hac,92
intemerata,intemerata,92
civitatis,civitatis,92
insula,insula,92
",",",",p
tenore,tenore,92
praesentium,praesentium,92
declaramus,declaramus,92
nos,nos,92
requirere,requirere,92
",",",",p
primo,primo,60
",",",",p
aliquandam,aliquandam,92
peruniarium,peruniarium,92
indemnitatem,indemnitatem,92
;,;,p
secundo,secundo,60
",",",",p
amendationem,amendationem,92
honorabilem,honorabilem,92
ante,ante,92
portalium,portalium,92
maximum,maximum,21
Nostrae Dominae,Nostrae Dominae,20
",",",",p
ecclesia,ecclesia,92
cathedralis,cathedralis,92
;,;,p
tertio,tertio,60
",",",",p
sententiam,sententiam,92
in,in,92
virtute,virtute,92
cujus,cujus,92
ista,ista,92
stryga,stryga,92
cum,cum,92
sua,sua,92
capella,capella,92
",",",",p
seu,seu,92
in,in,92
trivio,trivio,92
vulgariter,vulgariter,92
dicto,dicto,92
la,le,71
grève,grève,22
",",",",p
seu,seu,92
in,in,92
insula,insula,92
exeunte,exeunte,92
in,in,92
fluvio,fluvio,92
Sequanae,Sequanae,20
",",",",p
juxta,juxta,92
pointam,pointam,92
jardini,jardini,92
regalis,regalis,92
",",",",p
executatae,executatae,92
sint,sint,92
/!,/!,P
il,il,51
remit,remettre,19
son,son,73
bonnet,bonnet,21
",",",",p
et,et,82
se,se,51
rassit,rasseoir,19
/.,/.,P
-,-,p
eheu,eheu,93
!,!,p
soupira,soupirer,19
Gringoire,Gringoire,20
navré,navré,31
",",",",p
bassa,bassa,92
latinitas,latinitas,92
/!,/!,P
un,un,71
autre,autre,75
homme,homme,21
en,en,81
robe,robe,22
noire,noir,30
se,se,51
leva,lever,19
près,près,81
de,de,81
l',le,71
accusée,accusée,22
/.,/.,P
c',ce,52
était,être,18
son,son,73
avocat,avocat,21
/.,/.,P
les,le,71
juges,juge,21
",",",",p
à jeun,à jeun,60
",",",",p
commencèrent,commencer,19
à,à,81
murmurer,murmurer,14
/.,/.,P
-,-,p
avocat,avocat,21
",",",",p
soyez,être,17
bref,bref,60
",",",",p
dit,dire,19
le,le,71
président,président,21
/.,/.,P
-,-,p
monsieur,monsieur,21
le,le,71
président,président,21
",",",",p
répondit,répondre,19
l',le,71
avocat,avocat,21
",",",",p
puisque,puisque,83
la,le,71
défenderesse,défenderesse,22
a,avoir,17
confessé,confesser,12
le,le,71
crime,crime,21
",",",",p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
qu',que,83
un,un,71
mot,mot,21
à,à,81
dire,dire,14
à,à,81
messieurs,monsieur,21
/.,/.,P
voici,voici,81
un,un,71
texte,texte,21
de,de,81
la,le,71
loi,loi,22
salique,salique,30
:,:,p
“,“,p
si,si,83
une,un,71
stryge,strige,22
a,avoir,17
mangé,manger,12
un,un,71
homme,homme,21
",",",",p
et,et,82
qu',que,83
elle,il,51
en,en,52
soit,être,17
convaincue,convaincre,12
",",",",p
elle,il,51
paiera,payer,15
une,un,71
amende,amende,22
de,de,81
huit,huit,72
mille,mille,72
deniers,denier,21
",",",",p
qui,qui,52
font,faire,17
deux,deux,72
cents,cent,72
sous,sou,21
d',de,81
or,or,21
/.,/.,P
“,“,p
plaise,plaire,17
à,à,81
la,le,71
chambre,chambre,22
condamner,condamner,14
ma,mon,73
cliente,cliente,22
à,à,81
l',le,71
amende,amende,22
/.,/.,P
-,-,p
texte,texte,21
abrogé,abrogé,31
",",",",p
dit,dire,19
l',le,71
avocat,avocat,21
du,de,81
du,le,71
roi,roi,21
extraordinaire,extraordinaire,30
/.,/.,P
-,-,p
nego,nego,92
",",",",p
répliqua,répliquer,19
l',le,71
avocat,avocat,21
/.,/.,P
-,-,p
aux,à,81
aux,le,71
voix,voix,22
!,!,p
dit,dire,19
un,un,71
conseiller,conseiller,21
;,;,p
le,le,71
crime,crime,21
est,être,17
patent,patent,30
",",",",p
et,et,82
il,il,51
est,être,17
tard,tard,60
/.,/.,P
on,on,51
alla,aller,19
aux,à,81
aux,le,71
voix,voix,22
sans,sans,81
quitter,quitter,14
la,le,71
salle,salle,22
/.,/.,P
les,le,71
juges,juge,21
