11426
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-sixième extrait>,<>,<>
donné,donner,12
<Nombre 800000 francs>,<>,<>
huit,huit,72
cent,cent,72
mille,mille,72
francs,franc,21
<Fin nombre>,<>,<>
/.,/.,P
-,-,p
comment,comment,60
!,!,p
s',se,51
écria,écrier,19
la,le,71
princesse,princesse,22
étonnée,étonné,31
",",",",p
mon,mon,73
dieu,dieu,21
!,!,p
que,que,83
je,je,51
suis,être,17
fâchée,fâcher,12
de,de,81
cela,cela,52
/!,/!,P
-,-,p
madame,madame,22
",",",",p
répliqua,répliquer,19
la,le,71
duchesse,duchesse,22
d',de,81
un,un,71
très,très,60
grand,grand,30
sang-froid,sang-froid,21
",",",",p
faut,falloir,17
il,il,51
retourner,retourner,14
le,le,71
nez,nez,21
du,de,81
du,le,71
magot,magot,21
à,à,81
gauche,gauche,22
/?,/?,P
-,-,p
mon,mon,73
dieu,dieu,21
",",",",p
non,non,60
",",",",p
s',se,51
écria,écrier,19
la,le,71
princesse,princesse,22
;,;,p
mais,mais,82
je,je,51
suis,être,17
fâchée,fâcher,12
qu',que,83
un,un,71
homme,homme,21
du,de,81
du,le,71
caractère,caractère,21
du,de,81
du,le,71
comte,comte,21
ait,avoir,17
songé,songer,12
à,à,81
ce,ce,74
genre,genre,21
de,de,81
gain,gain,21
/.,/.,P
-,-,p
sans,sans,81
ce,ce,74
vol,vol,21
",",",",p
il,il,51
était,être,18
méprisé,mépriser,12
de,de,81
tous,tout,75
les,le,71
honnêtes,honnête,30
gens,gens,21
/.,/.,P
-,-,p
grand,grand,30
dieu,dieu,21
!,!,p
est,être,17
il,il,51
possible,possible,30
/!,/!,P
-,-,p
madame,madame,22
",",",",p
reprit,reprendre,19
la,le,71
duchesse,duchesse,22
",",",",p
excepté,excepté,81
mon,mon,73
ami,ami,21
",",",",p
le,le,71
marquis,marquis,21
Crescenzi,Crescenzi,20
",",",",p
qui,qui,52
a,avoir,17
<Nombre 3>,<>,<>
trois,trois,72
<Fin nombre>,<>,<>
ou,ou,82
<Nombre 400000 livres>,<>,<>
quatre,quatre,72
cent,cent,72
mille,mille,72
livres,livre,22
<Fin nombre>,<>,<>
de,de,81
rente,rente,22
",",",",p
tout,tout,75
le,le,71
monde,monde,21
vole,voler,17
ici,ici,60
;,;,p
et,et,82
comment,comment,60
ne,ne,60
volerait,voler,16
on,on,51
pas,pas,60
dans,dans,81
un,un,71
pays,pays,21
où,où,60
la,le,71
reconnaissance,reconnaissance,22
des,de,81
des,le,71
plus,plus,60
grands,grand,30
services,service,21
ne,ne,60
dure,durer,17
pas,pas,60
tout,tout,60
à,à,81
fait,fait,21
un,un,71
mois,mois,21
/?,/?,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
donc,donc,82
de,de,81
réel,réel,21
et,et,82
de,de,81
survivant,survivant,21
à,à,81
la,le,71
disgrâce,disgrâce,22
que,que,83
l',le,71
argent,argent,21
/.,/.,P
je,je,51
vais,aller,17
me,je,51
permettre,permettre,14
",",",",p
madame,madame,22
",",",",p
des,de,81
des,le,71
vérités,vérité,22
terribles,terrible,30
/.,/.,P
-,-,p
je,je,51
vous,vous,51
les,le,52
permets,permettre,17
",",",",p
moi,moi,51
",",",",p
dit,dire,19
la,le,71
princesse,princesse,22
avec,avec,81
un,un,71
profond,profond,30
soupir,soupir,21
",",",",p
et,et,82
pourtant,pourtant,60
elles,ils,51
me,je,51
sont,être,17
cruellement,cruellement,60
désagréables,désagréable,30
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
madame,madame,22
",",",",p
le,le,71
prince,prince,21
votre,votre,73
fils,fils,21
",",",",p
parfaitement,parfaitement,60
honnête,honnête,30
homme,homme,21
",",",",p
peut,pouvoir,17
vous,vous,51
rendre,rendre,14
bien,bien,60
plus,plus,60
malheureuse,malheureux,30
que,que,83
ne,ne,60
fit,faire,19
son,son,73
père,père,21
;,;,p
le,le,71
feu,feu,21
prince,prince,21
avait,avoir,18
du,de,81
du,le,71
caractère,caractère,21
à,à,81
peu,peu,60
près,près,81
comme,comme,83
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
notre,notre,73
souverain,souverain,21
actuel,actuel,30
n',ne,60
est,être,17
pas,pas,60
sûr,sûr,30
de,de,81
vouloir,vouloir,14
la,le,71
même,même,75
chose,chose,22
trois,trois,72
jours,jour,21
de,de,81
suite,suite,22
;,;,p
par,par,81
conséquent,conséquent,30
",",",",p
pour,pour,81
qu',que,83
on,on,51
puisse,pouvoir,17
être,être,14
sûr,sûr,30
de,de,81
lui,lui,51
",",",",p
il,il,51
faut,falloir,17
vivre,vivre,14
continuellement,continuellement,60
avec,avec,81
lui,lui,51
et,et,82
ne,ne,60
le,le,52
laisser,laisser,14
parler,parler,14
à,à,81
personne,personne,52
/.,/.,P
comme,comme,83
cette,ce,74
vérité,vérité,22
n',ne,60
est,être,17
pas,pas,60
bien,bien,60
difficile,difficile,30
à,à,81
deviner,deviner,14
",",",",p
le,le,71
nouveau,nouveau,30
parti,parti,21
ultra,ultra,30
",",",",p
dirigé,dirigé,31
par,par,81
ces,ce,74
deux,deux,72
bonnes,bonne,22
têtes,tête,22
",",",",p
Rassi,Rassi,20
et,et,82
la,le,71
marquise,marquise,22
Raversi,Raversi,20
",",",",p
va,aller,17
chercher,chercher,14
à,à,81
donner,donner,14
une,un,71
maîtresse,maîtresse,22
au,à,81
au,le,71
prince,prince,21
/.,/.,P
cette,ce,74
maîtresse,maîtresse,22
aura,avoir,15
la,le,71
permission,permission,22
de,de,81
faire,faire,14
sa,son,73
fortune,fortune,22
et,et,82
de,de,81
distribuer,distribuer,14
quelques,quelque,75
places,place,22
subalternes,subalterne,30
",",",",p
mais,mais,82
elle,il,51
devra,devoir,15
répondre,répondre,14
au,à,81
au,le,71
parti,parti,21
de,de,81
la,le,71
constante,constant,30
volonté,volonté,22
du,de,81
du,le,71
maître,maître,21
/.,/.,P
moi,moi,51
",",",",p
pour,pour,81
être,être,14
bien,bien,60
établie,établir,12
à,à,81
la,le,71
cour,cour,22
de,de,81
votre,votre,73
altesse,altesse,22
",",",",p
j',je,51
ai,avoir,17
besoin,besoin,21
que,que,83
le,le,71
Rassi,Rassi,20
soit,être,17
exilé,exiler,12
et,et,82
conspué,conspuer,12
;,;,p
je,je,51
veux,vouloir,17
",",",",p
de,de,81
plus,plus,60
",",",",p
que,que,83
Fabrice,Fabrice,20
soit,être,17
jugé,juger,12
par,par,81
les,le,71
juges,juge,21
les,le,71
plus,plus,60
honnêtes,honnête,30
que,que,52
l',l',94
on,on,51
pourra,pouvoir,15
trouver,trouver,14
:,:,p
si,si,83
ces,ce,74
messieurs,monsieur,21
reconnaissent,reconnaître,17
",",",",p
comme,comme,83
je,je,51
l',le,52
espère,espérer,17
",",",",p
qu',que,83
il,il,51
est,être,17
innocent,innocent,30
",",",",p
il,il,51
sera,être,15
naturel,naturel,30
d',de,81
accorder,accorder,14
à,à,81
monsieur,monsieur,21
l',le,71
archevêque,archevêque,21
que,que,83
Fabrice,Fabrice,20
soit,être,17
son,son,73
coadjuteur,coadjuteur,21
avec,avec,81
future,futur,30
succession,succession,22
/.,/.,P
si,si,83
j',je,51
échoue,échouer,17
",",",",p
le,le,71
comte,comte,21
et,et,82
moi,moi,51
nous,nous,51
nous,nous,51
retirons,retirer,17
;,;,p
alors,alors,60
",",",",p
je,je,51
laisse,laisser,17
en,en,81
partant,partir,13
ce,ce,74
conseil,conseil,21
à,à,81
votre,votre,73
altesse,altesse,22
sérénissime,sérénissime,30
:,:,p
elle,il,51
ne,ne,60
doit,devoir,17
jamais,jamais,60
pardonner,pardonner,14
à,à,81
Rassi,Rassi,20
",",",",p
et,et,82
jamais,jamais,60
non,non,60
plus,plus,60
sortir,sortir,14
des,de,81
des,le,71
états,état,21
de,de,81
son,son,73
fils,fils,21
/.,/.,P
de,de,81
près,près,81
",",",",p
ce,ce,74
bon,bon,30
fils,fils,21
ne,ne,60
lui,lui,51
fera,faire,15
pas,pas,60
de,de,81
mal,mal,21
sérieux,sérieux,30
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
suivi,suivre,12
vos,votre,73
raisonnements,raisonnement,21
avec,avec,81
toute,tout,75
l',le,71
attention,attention,22
requise,requis,31
",",",",p
répondit,répondre,19
la,le,71
princesse,princesse,22
en,en,81
souriant,sourire,13
;,;,p
faudra,falloir,15
t,t,94
il,il,51
donc,donc,82
que,que,83
je,je,51
me,je,51
charge,charger,17
du,de,81
du,le,71
soin,soin,21
de,de,81
donner,donner,14
une,un,71
maîtresse,maîtresse,22
à,à,81
mon,mon,73
fils,fils,21
/?,/?,P
-,-,p
non,non,60
pas,pas,60
",",",",p
madame,madame,22
",",",",p
mais,mais,82
faites,faire,17
d'abord,d'abord,60
que,que,83
votre,votre,73
salon,salon,21
soit,être,17
le,le,71
seul,seul,30
où,où,60
il,il,51
s',se,51
amuse,amuser,17
/.,/.,P
la,le,71
conversation,conversation,22
fut,être,19
infinie,infini,30
dans,dans,81
ce,ce,74
sens,sens,21
",",",",p
les,le,71
écailles,écaille,22
tombaient,tomber,18
des,de,81
des,le,71
yeux,oeil,21
de,de,81
l',le,71
innocente,innocent,30
et,et,82
spirituelle,spirituel,30
princesse,princesse,22
/.,/.,P
un,un,71
courrier,courrier,21
de,de,81
la,le,71
duchesse,duchesse,22
alla,aller,19
dire,dire,14
à,à,81
Fabrice,Fabrice,20
qu',que,83
il,il,51
pouvait,pouvoir,18
entrer,entrer,14
en,en,81
ville,ville,22
",",",",p
mais,mais,82
en,en,81
se,se,51
cachant,cacher,13
/.,/.,P
on,on,51
l',le,52
aperçut,apercevoir,19
à,à,81
peine,peine,22
:,:,p
il,il,51
passait,passer,18
sa,son,73
vie,vie,22
déguisé,déguisé,31
en,en,81
paysan,paysan,21
dans,dans,81
la,le,71
baraque,baraque,22
en,en,81
bois,bois,21
d',de,81
un,un,71
marchand,marchand,21
de,de,81
marrons,marron,21
",",",",p
établi,établi,31
vis-à-vis,vis-à-vis,60
de,de,81
la,le,71
porte,porte,22
de,de,81
la,le,71
citadelle,citadelle,22
",",",",p
sous,sous,81
les,le,71
arbres,arbre,21
de,de,81
la,le,71
promenade,promenade,22
/.,/.,P
<Livre Second - Chapitre XXIV>,<>,<>
la,le,71
duchesse,duchesse,22
organisa,organiser,19
des,de,81
des,le,71
soirées,soirée,22
charmantes,charmant,30
au,à,81
au,le,71
palais,palais,21
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
jamais,jamais,60
vu,voir,12
tant,tant,60
de,de,81
gaieté,gaieté,22
;,;,p
jamais,jamais,60
elle,il,51
ne,ne,60
fut,être,19
plus,plus,60
aimable,aimable,30
que,que,83
cet,ce,74
hiver,hiver,21
",",",",p
et,et,82
pourtant,pourtant,60
elle,il,51
vécut,vivre,19
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
plus,plus,60
grands,grand,30
dangers,danger,21
;,;,p
mais,mais,82
aussi,aussi,60
",",",",p
pendant,pendant,81
cette,ce,74
saison,saison,22
critique,critique,30
",",",",p
il,il,51
ne,ne,60
lui,lui,51
arriva,arriver,19
pas,pas,60
deux,deux,72
fois,fois,22
de,de,81
songer,songer,14
avec,avec,81
un,un,71
certain,certain,75
degré,degré,21
de,de,81
malheur,malheur,21
à,à,81
l',le,71
étrange,étrange,30
changement,changement,21
de,de,81
Fabrice,Fabrice,20
/.,/.,P
le,le,71
jeune,jeune,30
prince,prince,21
venait,venir,18
de,de,81
fort,fort,60
bonne,bon,30
heure,heure,22
aux,à,81
aux,le,71
soirées,soirée,22
aimables,aimable,30
de,de,81
sa,son,73
mère,mère,22
",",",",p
qui,qui,52
lui,lui,51
disait,dire,18
toujours,toujours,60
:,:,p
-,-,p
allez,aller,17
vous,vous,51
en,en,52
donc,donc,82
gouverner,gouverner,14
;,;,p
je,je,51
parie,parier,17
qu',que,83
il,il,51
y,y,52
a,avoir,17
sur,sur,81
votre,votre,73
bureau,bureau,21
plus,plus,60
de,de,81
vingt,vingt,72
rapports,rapport,21
qui,qui,52
attendent,attendre,17
un,un,71
oui,oui,60
ou,ou,82
un,un,52
non,non,60
",",",",p
et,et,82
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
que,que,83
l',le,71
Europe,Europe,20
m',je,51
accuse,accuser,17
de,de,81
faire,faire,14
de,de,81
vous,vous,51
un,un,71
roi,roi,21
fainéant,fainéant,30
pour,pour,81
régner,régner,14
à,à,81
votre,votre,73
place,place,22
/.,/.,P
ces,ce,74
avis,avis,21
avaient,avoir,18
le,le,71
désavantage,désavantage,21
de,de,81
se,se,51
présenter,présenter,14
toujours,toujours,60
dans,dans,81
les,le,71
moments,moment,21
les,le,71
plus,plus,60
inopportuns,inopportun,30
",",",",p
c'est-à-dire,c'est-à-dire,91
quand,quand,83
son,son,73
altesse,altesse,22
",",",",p
ayant,avoir,13
vaincu,vaincre,12
sa,son,73
timidité,timidité,22
",",",",p
prenait,prendre,18
part,part,22
à,à,81
quelque,quelque,75
charade,charade,22
en,en,81
action,action,22
qui,qui,52
l',le,52
amusait,amuser,18
fort,fort,60
/.,/.,P
deux,deux,72
fois,fois,22
la,le,71
semaine,semaine,22
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
parties,partie,22
de,de,81
campagne,campagne,22
où,où,60
",",",",p
sous,sous,81
prétexte,prétexte,21
de,de,81
conquérir,conquérir,14
au,à,81
au,le,71
nouveau,nouveau,30
souverain,souverain,21
l',le,71
affection,affection,22
de,de,81
son,son,73
peuple,peuple,21
",",",",p
la,le,71
princesse,princesse,22
admettait,admettre,18
les,le,71
plus,plus,60
jolies,joli,30
femmes,femme,22
de,de,81
la,le,71
bourgeoisie,bourgeoisie,22
/.,/.,P
la,le,71
duchesse,duchesse,22
",",",",p
qui,qui,52
était,être,18
l',le,71
âme,âme,22
de,de,81
cette,ce,74
cour,cour,22
joyeuse,joyeux,30
",",",",p
espérait,espérer,18
que,que,83
ces,ce,74
belles,beau,30
bourgeoises,bourgeoise,22
",",",",p
qui,qui,52
toutes,tout,52
voyaient,voir,18
avec,avec,81
une,un,71
envie,envie,22
mortelle,mortel,30
la,le,71
haute,haut,30
fortune,fortune,22
du,de,81
du,le,71
bourgeois,bourgeois,21
Rassi,Rassi,20
",",",",p
raconteraient,raconter,16
au,à,81
au,le,71
prince,prince,21
quelqu'une,quelqu'un,52
des,de,81
des,le,71
friponneries,friponnerie,22
sans,sans,81
nombre,nombre,21
de,de,81
ce,ce,74
ministre,ministre,21
/.,/.,P
or,or,82
",",",",p
entre,entre,81
autres,autre,75
idées,idée,22
enfantines,enfantin,30
",",",",p
le,le,71
prince,prince,21
prétendait,prétendre,18
avoir,avoir,14
un,un,71
ministère,ministère,21
moral,moral,30
/.,/.,P
Rassi,Rassi,20
avait,avoir,18
trop,trop,60
de,de,81
sens,sens,21
pour,pour,81
ne,ne,60
pas,pas,60
sentir,sentir,14
combien,combien,60
ces,ce,74
soirées,soirée,22
brillantes,brillant,30
de,de,81
la,le,71
cour,cour,22
de,de,81
la,le,71
princesse,princesse,22
",",",",p
dirigées,dirigé,31
par,par,81
son,son,73
ennemie,ennemie,22
",",",",p
étaient,être,18
dangereuses,dangereux,30
pour,pour,81
lui,lui,51
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
voulu,vouloir,12
remettre,remettre,14
au,à,81
au,le,71
comte,comte,21
Mosca,Mosca,20
la,le,71
sentence,sentence,22
fort,fort,60
légale,légal,30
rendue,rendu,31
contre,contre,81
Fabrice,Fabrice,20
;,;,p
il,il,51
fallait,falloir,18
donc,donc,82
que,que,83
la,le,71
duchesse,duchesse,22
ou,ou,82
lui,lui,51
disparussent,disparaître,18
de,de,81
la,le,71
cour,cour,22
/.,/.,P
le,le,71
jour,jour,21
de,de,81
ce,ce,74
mouvement,mouvement,21
populaire,populaire,30
",",",",p
dont,dont,52
maintenant,maintenant,60
il,il,51
était,être,18
de,de,81
bon,bon,30
ton,ton,21
de,de,81
nier,nier,14
l',le,71
existence,existence,22
",",",",p
on,on,51
avait,avoir,18
distribué,distribuer,12
de,de,81
l',le,71
argent,argent,21
au,à,81
au,le,71
peuple,peuple,21
/.,/.,P
Rassi,Rassi,20
partit,partir,19
de,de,81
là,là,60
:,:,p
plus,plus,60
mal,mal,60
mis,mis,31
encore,encore,60
que,que,83
de,de,81
coutume,coutume,22
",",",",p
il,il,51
monta,monter,19
dans,dans,81
les,le,71
maisons,maison,22
les,le,71
plus,plus,60
misérables,misérable,30
de,de,81
la,le,71
ville,ville,22
",",",",p
et,et,82
passa,passer,19
des,de,81
des,le,71
heures,heure,22
entières,entier,30
en,en,81
conversation,conversation,22
réglée,réglé,31
avec,avec,81
leurs,leur,73
pauvres,pauvre,30
habitants,habitant,21
/.,/.,P
il,il,51
fut,être,19
bien,bien,60
récompensé,récompenser,12
de,de,81
tant,tant,60
de,de,81
soins,soin,21
:,:,p
après,après,81
quinze,quinze,72
jours,jour,21
de,de,81
ce,ce,74
genre,genre,21
de,de,81
vie,vie,22
il,il,51
eut,avoir,19
la,le,71
certitude,certitude,22
que,que,83
Ferrante,Ferrante,20
Palla,Palla,20
avait,avoir,18
été,être,12
le,le,71
chef,chef,21
secret,secret,30
de,de,81
l',le,71
insurrection,insurrection,22
",",",",p
et,et,82
bien,bien,60
plus,plus,60
",",",",p
que,que,83
cet,ce,74
être,être,21
",",",",p
pauvre,pauvre,30
toute,tout,75
sa,son,73
vie,vie,22
comme,comme,83
un,un,71
grand,grand,30
poète,poète,21
",",",",p
avait,avoir,18
fait,faire,12
vendre,vendre,14
huit,huit,72
ou,ou,82
dix,dix,72
diamants,diamant,21
à,à,81
Gênes,Gênes,20
/.,/.,P
on,on,51
citait,citer,18
entre,entre,81
autres,autre,52
cinq,cinq,72
pierres,pierre,22
de,de,81
prix,prix,21
qui,qui,52
valaient,valoir,18
réellement,réellement,60
plus,plus,60
de,de,81
<Nombre 40000 francs>,<>,<>
quarante,quarante,72
mille,mille,72
francs,franc,21
<Fin nombre>,<>,<>
",",",",p
et,et,82
que,que,83
",",",",p
dix,dix,72
jours,jour,21
avant,avant,81
la,le,71
mort,mort,22
du,de,81
du,le,71
prince,prince,21
",",",",p
on,on,51
avait,avoir,18
laissées,laisser,12
pour,pour,81
<Nombre 35000 francs>,<>,<>
trente,trente,72
cinq,cinq,72
mille,mille,72
francs,franc,21
<Fin nombre>,<>,<>
",",",",p
parce que,parce que,83
",",",",p
disait,dire,18
on,on,51
",",",",p
on,on,51
avait,avoir,18
besoin,besoin,21
d',de,81
argent,argent,21
/.,/.,P
comment,comment,60
peindre,peindre,14
les,le,71
transports,transport,21
de,de,81
joie,joie,22
du,de,81
du,le,71
ministre,ministre,21
de,de,81
la,le,71
justice,justice,22
à,à,81
cette,ce,74
découverte,découverte,22
/?,/?,P
il,il,51
s',se,51
apercevait,apercevoir,18
que,que,83
tous,tout,75
les,le,71
jours,jour,21
on,on,51
lui,lui,51
donnait,donner,18
des,de,81
des,le,71
ridicules,ridicule,21
à,à,81
la,le,71
cour,cour,22
de,de,81
la,le,71
princesse,princesse,22
douairière,douairière,30
",",",",p
et,et,82
plusieurs,plusieurs,75
fois,fois,22
le,le,71
prince,prince,21
",",",",p
parlant,parler,13
d',de,81
affaires,affaire,22
avec,avec,81
lui,lui,51
",",",",p
lui,lui,51
avait,avoir,18
ri,rire,12
au,à,81
au,le,71
nez,nez,21
avec,avec,81
toute,tout,75
la,le,71
naïveté,naïveté,22
de,de,81
la,le,71
jeunesse,jeunesse,22
/.,/.,P
il,il,51
faut,falloir,17
avouer,avouer,14
que,que,83
le,le,71
Rassi,Rassi,20
avait,avoir,18
des,de,81
des,le,71
habitudes,habitude,22
singulièrement,singulièrement,60
plébéiennes,plébéien,30
:,:,p
par,par,81
exemple,exemple,21
",",",",p
dès,dès,81
qu',que,83
une,un,71
discussion,discussion,22
l',le,52
intéressait,intéresser,18
",",",",p
il,il,51
croisait,croiser,18
les,le,71
jambes,jambe,22
et,et,82
prenait,prendre,18
son,son,73
soulier,soulier,21
dans,dans,81
la,le,71
main,main,22
;,;,p
si,si,83
l',le,71
intérêt,intérêt,21
croissait,croître,18
",",",",p
il,il,51
étalait,étaler,18
son,son,73
mouchoir,mouchoir,21
de,de,81
coton,coton,21
rouge,rouge,30
sur,sur,81
sa,son,73
jambe,jambe,22
",",",",p
etc.,et cetera,91
.,.,p
etc.,et cetera,91
/.,/.,P
le,le,71
prince,prince,21
avait,avoir,18
beaucoup,beaucoup,60
ri,rire,12
de,de,81
la,le,71
plaisanterie,plaisanterie,22
d',de,81
une,un,52
des,de,81
des,le,71
plus,plus,60
jolies,joli,30
femmes,femme,22
de,de,81
la,le,71
bourgeoisie,bourgeoisie,22
",",",",p
qui,qui,52
",",",",p
sachant,savoir,13
d',de,81
ailleurs,ailleurs,60
qu',que,83
elle,il,51
avait,avoir,18
la,le,71
jambe,jambe,22
fort,fort,60
bien,bien,60
faite,faire,12
",",",",p
s',se,51
était,être,18
mise,mettre,12
à,à,81
imiter,imiter,14
ce,ce,74
geste,geste,21
élégant,élégant,30
du,de,81
du,le,71
ministre,ministre,21
de,de,81
la,le,71
justice,justice,22
/.,/.,P
Rassi,Rassi,20
sollicita,solliciter,19
une,un,71
audience,audience,22
extraordinaire,extraordinaire,30
et,et,82
dit,dire,19
au,à,81
au,le,71
prince,prince,21
:,:,p
-,-,p
votre,votre,73
altesse,altesse,22
voudrait,vouloir,16
elle,il,51
donner,donner,14
cent,cent,72
mille,mille,72
francs,franc,21
pour,pour,81
savoir,savoir,14
au,à,81
au,le,71
juste,juste,21
quel,quel,52
a,avoir,17
été,être,12
le,le,71
genre,genre,21
de,de,81
mort,mort,21
de,de,81
son,son,73
auguste,auguste,30
père,père,21
?,?,p
avec,avec,81
cette,ce,74
somme,somme,22
",",",",p
la,le,71
justice,justice,22
serait,être,16
mise,mettre,12
à,à,81
même,même,60
de,de,81
saisir,saisir,14
les,le,71
coupables,coupable,21
",",",",p
s',si,83
il,il,51
y,y,52
en,en,52
a,avoir,17
/.,/.,P
la,le,71
réponse,réponse,22
du,de,81
du,le,71
prince,prince,21
ne,ne,60
pouvait,pouvoir,18
être,être,14
douteuse,douteux,30
/.,/.,P
à,à,81
quelque,quelque,75
temps,temps,21
de,de,81
là,là,60
",",",",p
la,le,71
Chékina,Chékina,20
avertit,avertir,19
la,le,71
duchesse,duchesse,22
qu',que,83
on,on,51
lui,lui,51
avait,avoir,18
offert,offrir,12
une,un,71
grosse,gros,30
somme,somme,22
pour,pour,81
laisser,laisser,14
examiner,examiner,14
les,le,71
diamants,diamant,21
de,de,81
sa,son,73
maîtresse,maîtresse,22
par,par,81
un,un,71
orfèvre,orfèvre,21
;,;,p
elle,il,51
avait,avoir,18
refusé,refuser,12
avec,avec,81
indignation,indignation,22
/.,/.,P
la,le,71
duchesse,duchesse,22
la,le,52
gronda,gronder,19
d',de,81
avoir,avoir,14
refusé,refuser,12
;,;,p
et,et,82
",",",",p
à,à,81
huit,huit,72
jours,jour,21
de,de,81
là,là,60
",",",",p
la,le,71
Chékina,Chékina,20
eut,avoir,19
des,de,81
des,le,71
diamants,diamant,21
à,à,81
montrer,montrer,14
/.,/.,P
le,le,71
jour,jour,21
pris,pris,31
pour,pour,81
cette,ce,74
exhibition,exhibition,22
des,de,81
des,le,71
diamants,diamant,21
",",",",p
le,le,71
comte,comte,21
Mosca,Mosca,20
plaça,placer,19
deux,deux,72
hommes,homme,21
sûrs,sûr,30
auprès,auprès,60
de,de,81
chacun,chacun,52
des,de,81
des,le,71
orfèvres,orfèvre,21
de,de,81
Parme,Parme,20
",",",",p
et,et,82
sur,sur,81
le,le,71
minuit,minuit,21
il,il,51
vint,venir,19
dire,dire,14
à,à,81
la,le,71
duchesse,duchesse,22
que,que,83
l',le,71
orfèvre,orfèvre,21
curieux,curieux,30
n',ne,60
était,être,18
autre,autre,30
que,que,83
le,le,71
frère,frère,21
de,de,81
Rassi,Rassi,20
/.,/.,P
la,le,71
duchesse,duchesse,22
",",",",p
qui,qui,52
était,être,18
fort,fort,60
gaie,gai,30
ce,ce,74
soir,soir,21
là,là,60
(,(,p
on,on,51
jouait,jouer,18
au,à,81
au,le,71
palais,palais,21
une,un,71
comédie dell'arte,commedia dell'arte,22
",",",",p
c'est-à-dire,c'est-à-dire,91
où,où,60
chaque,chaque,75
personnage,personnage,21
invente,inventer,17
le,le,71
dialogue,dialogue,21
à,à,81
mesure,mesure,22
qu',que,83
il,il,51
le,le,52
dit,dire,17
",",",",p
le,le,71
plan,plan,21
seul,seul,30
de,de,81
la,le,71
comédie,comédie,22
est,être,17
affiché,afficher,12
dans,dans,81
la,le,71
coulisse,coulisse,22
),),p
",",",",p
la,le,71
duchesse,duchesse,22
",",",",p
qui,qui,52
jouait,jouer,18
un,un,71
rôle,rôle,21
",",",",p
avait,avoir,18
pour,pour,81
amoureux,amoureux,21
dans,dans,81
la,le,71
pièce,pièce,22
le,le,71
comte,comte,21
Baldi,Baldi,20
",",",",p
l',le,71
ancien,ancien,30
ami,ami,21
de,de,81
la,le,71
marquise,marquise,22
Raversi,Raversi,20
",",",",p
qui,qui,52
était,être,18
présente,présent,30
/.,/.,P
le,le,71
prince,prince,21
",",",",p
l',le,71
homme,homme,21
le,le,71
plus,plus,60
timide,timide,30
de,de,81
ses,son,73
états,état,21
",",",",p
mais,mais,82
fort,fort,60
joli,joli,30
garçon,garçon,21
et,et,82
doué,doué,31
du,de,81
du,le,71
coeur,coeur,21
le,le,71
plus,plus,60
tendre,tendre,30
",",",",p
étudiait,étudier,18
le,le,71
rôle,rôle,21
du,de,81
du,le,71
comte,comte,21
Baldi,Baldi,20
",",",",p
et,et,82
voulait,vouloir,18
le,le,52
jouer,jouer,14
à,à,81
la,le,71
seconde,second,72
représentation,représentation,22
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
bien,bien,60
peu,peu,60
de,de,81
temps,temps,21
",",",",p
dit,dire,19
la,le,71
duchesse,duchesse,22
au,à,81
au,le,71
comte,comte,21
",",",",p
je,je,51
parais,paraître,17
à,à,81
la,le,71
première,premier,72
scène,scène,22
du,de,81
du,le,71
second,second,72
acte,acte,21
;,;,p
passons,passer,17
dans,dans,81
la,le,71
salle,salle,22
des,de,81
des,le,71
gardes,garde,21
/.,/.,P
là,là,60
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
vingt,vingt,72
gardes,garde,21
du,de,81
du,le,71
corps,corps,21
",",",",p
tous,tout,52
fort,fort,60
éveillés,éveillé,31
et,et,82
fort,fort,60
attentifs,attentif,30
aux,à,81
aux,le,71
discours,discours,21
du,de,81
du,le,71
premier,premier,72
ministre,ministre,21
et,et,82
de,de,81
la,le,71
grande,grand,30
maîtresse,maîtresse,22
",",",",p
la,le,71
duchesse,duchesse,22
dit,dire,19
en,en,81
riant,rire,13
à,à,81
son,son,73
ami,ami,21
:,:,p
-,-,p
vous,vous,51
me,je,51
grondez,gronder,17
toujours,toujours,60
quand,quand,83
je,je,51
dis,dire,17
des,de,81
des,le,71
secrets,secret,21
inutilement,inutilement,60
/.,/.,P
c',ce,52
est,être,17
par,par,81
moi,moi,51
que,que,83
fut,être,19
appelé,appeler,12
au,à,81
au,le,71
trône,trône,21
Ernest V,Ernest V,20
;,;,p
il,il,51
s',se,51
agissait,agir,18
de,de,81
venger,venger,14
Fabrice,Fabrice,20
",",",",p
que,que,52
j',je,51
aimais,aimer,18
alors,alors,60
bien,bien,60
plus,plus,60
qu',que,83
aujourd'hui,aujourd'hui,60
",",",",p
quoique,quoique,83
toujours,toujours,60
fort,fort,60
innocemment,innocemment,60
/.,/.,P
