11908
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-deuxième extrait>,<>,<>
une,un,71
réputation,réputation,22
presque,presque,60
illustre,illustre,30
",",",",p
et,et,82
que,que,52
votre,votre,73
majesté,majesté,22
connaît,connaître,17
favorablement,favorablement,60
",",",",p
monsieur,monsieur,21
Athos,Athos,20
/.,/.,P
-,-,p
Athos,Athos,20
",",",",p
dit,dire,19
le,le,71
roi,roi,21
machinalement,machinalement,60
;,;,p
oui,oui,60
",",",",p
au,à,81
au,le,71
fait,fait,21
",",",",p
je,je,51
connais,connaître,17
ce,ce,74
nom,nom,21
/.,/.,P
-,-,p
que,que,52
votre,votre,73
majesté,majesté,22
se,se,51
le,le,52
rappelle,rappeler,17
",",",",p
dit,dire,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
;,;,p
monsieur,monsieur,21
Athos,Athos,20
est,être,17
ce,ce,74
mousquetaire,mousquetaire,21
qui,qui,52
",",",",p
dans,dans,81
le,le,71
fâcheux,fâcheux,30
duel,duel,21
que,que,52
vous,vous,51
savez,savoir,17
",",",",p
a,avoir,17
eu,avoir,12
le,le,71
malheur,malheur,21
de,de,81
blesser,blesser,14
grièvement,grièvement,60
monsieur,monsieur,21
de,de,81
Cahusac,Cahusac,20
/.,/.,P
-,-,p
à,à,81
propos,propos,21
",",",",p
monseigneur,monseigneur,21
",",",",p
continua,continuer,19
Tréville,Tréville,20
en,en,81
s',se,51
adressant,adresser,13
au,à,81
au,le,71
cardinal,cardinal,21
",",",",p
monsieur,monsieur,21
de,de,81
Cahusac,Cahusac,20
est,être,17
tout,tout,60
à,à,81
fait,fait,21
rétabli,rétablir,12
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
merci,merci,21
!,!,p
dit,dire,19
le,le,71
cardinal,cardinal,21
en,en,81
se,se,51
pinçant,pincer,13
les,le,71
lèvres,lèvre,22
de,de,81
colère,colère,22
/.,/.,P
-,-,p
monsieur,monsieur,21
Athos,Athos,20
était,être,18
donc,donc,82
allé,aller,12
rendre,rendre,14
visite,visite,22
à,à,81
l',le,71
un,un,52
de,de,81
ses,son,73
amis,ami,21
alors,alors,60
absent,absent,30
",",",",p
continua,continuer,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
à,à,81
un,un,71
jeune,jeune,30
Béarnais,Béarnais,20
",",",",p
cadet,cadet,21
aux,à,81
aux,le,71
gardes,garde,21
de,de,81
sa,son,73
majesté,majesté,22
",",",",p
compagnie,compagnie,22
des,de,81
des,le,71
Essarts,Essarts,20
;,;,p
mais,mais,82
à,à,81
peine,peine,22
venait,venir,18
il,il,51
de,de,81
s',se,51
installer,installer,14
chez,chez,81
son,son,73
ami,ami,21
et,et,82
de,de,81
prendre,prendre,14
un,un,71
livre,livre,21
en,en,81
l',le,52
attendant,attendre,13
",",",",p
qu',que,83
une,un,71
nuée,nuée,22
de,de,81
recors,recors,21
et,et,82
de,de,81
soldats,soldat,21
mêlés,mêlé,31
ensemble,ensemble,21
vint,venir,19
faire,faire,14
le,le,71
siège,siège,21
de,de,81
la,le,71
maison,maison,22
",",",",p
enfonça,enfoncer,19
plusieurs,plusieurs,75
portes,porte,22
/…,/…,P
le,le,71
cardinal,cardinal,21
fit,faire,19
au,à,81
au,le,71
roi,roi,21
un,un,71
signe,signe,21
qui,qui,52
signifiait,signifier,18
:,:,p
“,“,p
c',ce,52
est,être,17
pour,pour,81
l',le,71
affaire,affaire,22
dont,dont,52
je,je,51
vous,vous,51
ai,avoir,17
parlé,parler,12
/.,/.,P
“,“,p
“,“,p
nous,nous,51
savons,savoir,17
tout,tout,75
cela,cela,52
",",",",p
répliqua,répliquer,19
le,le,71
roi,roi,21
",",",",p
car,car,82
tout,tout,75
cela,cela,52
s',se,51
est,être,17
fait,faire,12
pour,pour,81
notre,notre,73
service,service,21
/.,/.,P
-,-,p
alors,alors,60
",",",",p
dit,dire,19
Tréville,Tréville,20
",",",",p
c',ce,52
est,être,17
aussi,aussi,60
pour,pour,81
le,le,71
service,service,21
de,de,81
votre,votre,73
majesté,majesté,22
qu',que,83
on,on,51
a,avoir,17
saisi,saisir,12
un,un,52
de,de,81
mes,mon,73
mousquetaires,mousquetaire,21
innocent,innocent,30
",",",",p
qu',que,83
on,on,51
l',le,52
a,avoir,17
placé,placer,12
entre,entre,81
deux,deux,72
gardes,garde,21
comme,comme,83
un,un,71
malfaiteur,malfaiteur,21
",",",",p
et,et,82
qu',que,52
on,on,51
a,avoir,17
promené,promener,12
au,à,81
au,le,71
milieu,milieu,21
d',de,81
une,un,71
populace,populace,22
insolente,insolent,30
ce,ce,74
galant,galant,30
homme,homme,21
",",",",p
qui,qui,52
a,avoir,17
versé,verser,12
dix,dix,72
fois,fois,22
son,son,73
sang,sang,21
pour,pour,81
le,le,71
service,service,21
de,de,81
votre,votre,73
majesté,majesté,22
et,et,82
qui,qui,52
est,être,17
prêt,prêt,30
à,à,81
le,le,52
répandre,répandre,14
encore,encore,60
/.,/.,P
-,-,p
bah,bah,93
!,!,p
dit,dire,19
le,le,71
roi,roi,21
ébranlé,ébranlé,31
",",",",p
les,le,71
choses,chose,22
se,se,51
sont,être,17
passées,passer,12
ainsi,ainsi,60
/?,/?,P
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
ne,ne,60
dit,dire,19
pas,pas,60
",",",",p
reprit,reprendre,19
le,le,71
cardinal,cardinal,21
avec,avec,81
le,le,71
plus,plus,60
grand,grand,30
flegme,flegme,21
",",",",p
que,que,83
ce,ce,74
mousquetaire,mousquetaire,21
innocent,innocent,30
",",",",p
que,que,83
ce,ce,74
galant,galant,30
homme,homme,21
venait,venir,18
",",",",p
une,un,71
heure,heure,22
auparavant,auparavant,60
",",",",p
de,de,81
frapper,frapper,14
à,à,81
coups,coup,21
d',de,81
épée,épée,22
quatre,quatre,72
commissaires,commissaire,21
instructeurs,instructeur,21
délégués,délégué,31
par,par,81
moi,moi,51
afin,afin,81
d',de,81
instruire,instruire,14
une,un,71
affaire,affaire,22
de,de,81
la,le,71
plus,plus,60
haute,haut,30
importance,importance,22
/.,/.,P
-,-,p
je,je,51
défie,défier,17
votre,votre,73
éminence,éminence,22
de,de,81
le,le,52
prouver,prouver,14
",",",",p
s',se,51
écria,écrier,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
avec,avec,81
sa,son,73
franchise,franchise,22
toute,tout,60
gasconne,gascon,30
et,et,82
sa,son,73
rudesse,rudesse,22
toute,tout,60
militaire,militaire,30
",",",",p
car,car,82
",",",",p
une,un,71
heure,heure,22
auparavant,auparavant,60
monsieur,monsieur,21
Athos,Athos,20
",",",",p
qui,qui,52
",",",",p
je,je,51
le,le,52
confierai,confier,15
à,à,81
votre,votre,73
majesté,majesté,22
",",",",p
est,être,17
un,un,71
homme,homme,21
de,de,81
la,le,71
plus,plus,60
haute,haut,30
qualité,qualité,22
",",",",p
me,je,51
faisait,faire,18
l',le,71
honneur,honneur,21
",",",",p
après,après,81
avoir,avoir,14
dîné,dîner,12
chez,chez,81
moi,moi,51
",",",",p
de,de,81
causer,causer,14
dans,dans,81
le,le,71
salon,salon,21
de,de,81
mon,mon,73
hôtel,hôtel,21
avec,avec,81
monsieur,monsieur,21
le,le,71
duc,duc,21
de,de,81
La Trémouille,La Trémouille,20
et,et,82
monsieur,monsieur,21
le,le,71
comte,comte,21
de,de,81
Châlus,Châlus,20
",",",",p
qui,qui,52
s',se,51
y,y,52
trouvaient,trouver,18
/.,/.,P
“,“,p
le,le,71
roi,roi,21
regarda,regarder,19
le,le,71
cardinal,cardinal,21
/.,/.,P
“,“,p
un,un,71
procès-verbal,procès-verbal,21
fait,faire,17
foi,foi,22
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
répondant,répondre,13
tout,tout,60
haut,haut,30
à,à,81
l',le,71
interrogation,interrogation,22
muette,muet,30
de,de,81
sa,son,73
majesté,majesté,22
",",",",p
et,et,82
les,le,71
gens,gens,21
maltraités,maltraité,31
ont,avoir,17
dressé,dresser,12
le,le,71
suivant,suivant,21
",",",",p
que,que,52
j',je,51
ai,avoir,17
l',le,71
honneur,honneur,21
de,de,81
présenter,présenter,14
à,à,81
votre,votre,73
majesté,majesté,22
/.,/.,P
-,-,p
procès-verbal,procès-verbal,21
de,de,81
gens,gens,21
de,de,81
robe,robe,22
vaut,valoir,17
il,il,51
la,le,71
parole,parole,22
d',de,81
honneur,honneur,21
",",",",p
répondit,répondre,19
fièrement,fièrement,60
Tréville,Tréville,20
",",",",p
d',de,81
homme,homme,21
d',de,81
épée,épée,22
/?,/?,P
allons,aller,17
",",",",p
allons,aller,17
",",",",p
Tréville,Tréville,20
",",",",p
taisez,taire,17
vous,vous,51
",",",",p
dit,dire,19
le,le,71
roi,roi,21
/.,/.,P
-,-,p
si,si,83
son,son,73
éminence,éminence,22
a,avoir,17
quelque,quelque,75
soupçon,soupçon,21
contre,contre,81
un,un,52
de,de,81
mes,mon,73
mousquetaires,mousquetaire,21
",",",",p
dit,dire,19
Tréville,Tréville,20
",",",",p
la,le,71
justice,justice,22
de,de,81
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
est,être,17
assez,assez,60
connue,connaître,12
pour,pour,81
que,que,83
je,je,51
demande,demander,17
moi-même,moi-même,51
une,un,71
enquête,enquête,22
/.,/.,P
-,-,p
dans,dans,81
la,le,71
maison,maison,22
où,où,60
cette,ce,74
descente,descente,22
de,de,81
justice,justice,22
a,avoir,17
été,être,12
faite,faire,12
",",",",p
continua,continuer,19
le,le,71
cardinal,cardinal,21
impassible,impassible,30
",",",",p
loge,loger,17
",",",",p
je,je,51
crois,croire,17
",",",",p
un,un,71
Béarnais,Béarnais,20
ami,ami,30
du,de,81
du,le,71
mousquetaire,mousquetaire,21
/.,/.,P
-,-,p
votre,votre,73
éminence,éminence,22
veut,vouloir,17
parler,parler,14
de,de,81
monsieur,monsieur,21
d',de,81
Artagnan,Artagnan,20
/?,/?,P
je,je,51
veux,vouloir,17
parler,parler,14
d',de,81
un,un,71
jeune,jeune,30
homme,homme,21
que,que,52
vous,vous,51
protégez,protéger,17
",",",",p
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
votre,votre,73
éminence,éminence,22
",",",",p
c',ce,52
est,être,17
cela,cela,52
même,même,30
/.,/.,P
-,-,p
ne,ne,60
soupçonnez,soupçonner,17
vous,vous,51
pas,pas,60
ce,ce,74
jeune,jeune,30
homme,homme,21
d',de,81
avoir,avoir,14
donné,donner,12
de,de,81
mauvais,mauvais,30
conseils,conseil,21
/…,/…,P
à,à,81
monsieur,monsieur,21
Athos,Athos,20
",",",",p
à,à,81
un,un,71
homme,homme,21
qui,qui,52
a,avoir,17
le,le,71
double,double,21
de,de,81
son,son,73
âge,âge,21
?,?,p
interrompit,interrompre,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
;,;,p
non,non,60
",",",",p
monseigneur,monseigneur,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
monsieur,monsieur,21
d',de,81
Artagnan,Artagnan,20
a,avoir,17
passé,passer,12
la,le,71
soirée,soirée,22
chez,chez,81
moi,moi,51
/.,/.,P
-,-,p
ah,ah,93
çà,çà,60
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
",",",",p
tout,tout,75
le,le,71
monde,monde,21
a,avoir,17
donc,donc,82
passé,passer,12
la,le,71
soirée,soirée,22
chez,chez,81
vous,vous,51
/?,/?,P
son,son,73
éminence,éminence,22
douterait,douter,16
elle,il,51
de,de,81
ma,mon,73
parole,parole,22
?,?,p
dit,dire,19
Tréville,Tréville,20
",",",",p
le,le,71
rouge,rouge,21
de,de,81
la,le,71
colère,colère,22
au,à,81
au,le,71
front,front,21
/.,/.,P
-,-,p
non,non,60
",",",",p
dieu,dieu,21
m',je,51
en,en,52
garde,garder,17
!,!,p
dit,dire,19
le,le,71
cardinal,cardinal,21
;,;,p
mais,mais,82
",",",",p
seulement,seulement,60
",",",",p
à,à,81
quelle,quel,75
heure,heure,22
était,être,18
il,il,51
chez,chez,81
vous,vous,51
/?,/?,P
oh,oh,93
!,!,p
cela,cela,52
je,je,51
puis,pouvoir,17
le,le,52
dire,dire,14
sciemment,sciemment,60
à,à,81
votre,votre,73
éminence,éminence,22
",",",",p
car,car,82
",",",",p
comme,comme,83
il,il,51
entrait,entrer,18
",",",",p
je,je,51
remarquai,remarquer,19
qu',que,83
il,il,51
était,être,18
neuf,neuf,72
heures,heure,22
et,et,82
demie,demi,30
à,à,81
la,le,71
pendule,pendule,22
",",",",p
quoique,quoique,83
j',je,51
eusse,avoir,18
cru,croire,12
qu',que,83
il,il,51
était,être,18
plus,plus,60
tard,tard,60
/.,/.,P
-,-,p
et,et,82
à,à,81
quelle,quel,75
heure,heure,22
est,être,17
il,il,51
sorti,sortir,12
de,de,81
votre,votre,73
hôtel,hôtel,21
/?,/?,P
à,à,81
dix,dix,72
heures,heure,22
et,et,82
demie,demi,30
:,:,p
une,un,71
heure,heure,22
après,après,81
l',le,71
événement,événement,21
/.,/.,P
-,-,p
mais,mais,82
",",",",p
enfin,enfin,60
",",",",p
répondit,répondre,19
le,le,71
cardinal,cardinal,21
",",",",p
qui,qui,52
ne,ne,60
soupçonnait,soupçonner,18
pas,pas,60
un,un,71
instant,instant,21
la,le,71
loyauté,loyauté,22
de,de,81
Tréville,Tréville,20
",",",",p
et,et,82
qui,qui,52
sentait,sentir,18
que,que,83
la,le,71
victoire,victoire,22
lui,lui,51
échappait,échapper,18
",",",",p
mais,mais,82
",",",",p
enfin,enfin,60
",",",",p
Athos,Athos,20
a,avoir,17
été,être,12
pris,prendre,12
dans,dans,81
cette,ce,74
maison,maison,22
de,de,81
la,le,71
rue,rue,22
des,de,81
des,le,71
fossoyeurs,fossoyeur,21
/.,/.,P
-,-,p
est,être,17
il,il,51
défendu,défendre,12
à,à,81
un,un,71
ami,ami,21
de,de,81
visiter,visiter,14
un,un,71
ami,ami,21
?,?,p
à,à,81
un,un,71
mousquetaire,mousquetaire,21
de,de,81
ma,mon,73
compagnie,compagnie,22
de,de,81
fraterniser,fraterniser,14
avec,avec,81
un,un,71
garde,garde,21
de,de,81
la,le,71
compagnie,compagnie,22
de,de,81
monsieur,monsieur,21
des,de,81
des,le,71
Essarts,Essarts,20
/?,/?,P
oui,oui,60
",",",",p
quand,quand,83
la,le,71
maison,maison,22
où,où,60
il,il,51
fraternise,fraterniser,17
avec,avec,81
cet,ce,74
ami,ami,21
est,être,17
suspecte,suspect,30
/.,/.,P
-,-,p
c',ce,52
est,être,17
que,que,83
cette,ce,74
maison,maison,22
est,être,17
suspecte,suspect,30
",",",",p
Tréville,Tréville,20
",",",",p
dit,dire,19
le,le,71
roi,roi,21
;,;,p
peut-être,peut-être,60
ne,ne,60
le,le,52
saviez,savoir,18
vous,vous,51
pas,pas,60
/?,/?,P
en,en,81
effet,effet,21
",",",",p
sire,sire,21
",",",",p
je,je,51
l',le,52
ignorais,ignorer,18
/.,/.,P
en,en,81
tout,tout,75
cas,cas,21
",",",",p
elle,il,51
peut,pouvoir,17
être,être,14
suspecte,suspect,30
partout,partout,60
;,;,p
mais,mais,82
je,je,51
nie,nier,17
qu',que,83
elle,il,51
le,le,52
soit,être,17
dans,dans,81
la,le,71
partie,partie,22
qu',que,52
habite,habiter,17
monsieur,monsieur,21
d',de,81
Artagnan,Artagnan,20
;,;,p
car,car,82
je,je,51
puis,pouvoir,17
vous,vous,51
affirmer,affirmer,14
",",",",p
sire,sire,21
",",",",p
que,que,83
",",",",p
si,si,83
j',je,51
en,en,52
crois,croire,17
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
dit,dire,12
",",",",p
il,il,51
n',ne,60
existe,exister,17
pas,pas,60
un,un,52
plus,plus,60
dévoué,dévoué,31
serviteur,serviteur,21
de,de,81
sa,son,73
majesté,majesté,22
",",",",p
un,un,71
admirateur,admirateur,21
plus,plus,60
profond,profond,30
de,de,81
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
ce,ce,74
d',de,81
Artagnan,Artagnan,20
qui,qui,52
a,avoir,17
blessé,blesser,12
un,un,71
jour,jour,21
Jussac,Jussac,20
dans,dans,81
cette,ce,74
malheureuse,malheureux,30
rencontre,rencontre,22
qui,qui,52
a,avoir,17
eu,avoir,12
lieu,lieu,21
près,près,81
du,de,81
du,le,71
couvent,couvent,21
des,de,81
des,le,71
Carmes,Carme,20
déchaussés,déchaussé,31
?,?,p
demanda,demander,19
le,le,71
roi,roi,21
en,en,81
regardant,regarder,13
le,le,71
cardinal,cardinal,21
",",",",p
qui,qui,52
rougit,rougir,19
de,de,81
dépit,dépit,21
/.,/.,P
-,-,p
et,et,82
le,le,71
lendemain,lendemain,21
",",",",p
Bernajoux,Bernajoux,20
/.,/.,P
oui,oui,60
sire,sire,21
",",",",p
oui,oui,60
",",",",p
c',ce,52
est,être,17
bien,bien,60
cela,cela,52
",",",",p
et,et,82
votre,votre,73
majesté,majesté,22
a,avoir,17
bonne,bon,30
mémoire,mémoire,22
/.,/.,P
-,-,p
allons,aller,17
",",",",p
que,que,52
résolvons,résoudre,17
nous,nous,51
?,?,p
dit,dire,19
le,le,71
roi,roi,21
/.,/.,P
-,-,p
cela,cela,52
regarde,regarder,17
votre,votre,73
majesté,majesté,22
plus,plus,60
que,que,83
moi,moi,51
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
/.,/.,P
j',je,51
affirmerais,affirmer,16
la,le,71
culpabilité,culpabilité,22
/.,/.,P
-,-,p
et,et,82
moi,moi,51
je,je,51
la,le,52
nie,nier,17
",",",",p
dit,dire,19
Tréville,Tréville,20
/.,/.,P
mais,mais,82
sa,son,73
majesté,majesté,22
a,avoir,17
des,de,81
des,le,71
juges,juge,21
",",",",p
et,et,82
ses,son,73
juges,juge,21
décideront,décider,15
/.,/.,P
-,-,p
c',ce,52
est,être,17
cela,cela,52
",",",",p
dit,dire,19
le,le,71
roi,roi,21
",",",",p
renvoyons,renvoyer,17
la,le,71
cause,cause,22
devant,devant,81
les,le,71
juges,juge,21
:,:,p
c',ce,52
est,être,17
leur,leur,73
affaire,affaire,22
de,de,81
juger,juger,14
",",",",p
et,et,82
ils,ils,51
jugeront,juger,15
/.,/.,P
-,-,p
seulement,seulement,60
",",",",p
reprit,reprendre,19
Tréville,Tréville,20
",",",",p
il,il,51
est,être,17
bien,bien,60
triste,triste,30
qu',que,83
en,en,81
ce,ce,74
temps,temps,21
malheureux,malheureux,30
où,où,60
nous,nous,51
sommes,être,17
",",",",p
la,le,71
vie,vie,22
la,le,71
plus,plus,60
pure,pur,30
",",",",p
la,le,71
vertu,vertu,22
la,le,71
plus,plus,60
incontestable,incontestable,30
n',ne,60
exemptent,exempter,17
pas,pas,60
un,un,71
homme,homme,21
de,de,81
l',le,71
infamie,infamie,22
et,et,82
de,de,81
la,le,71
persécution,persécution,22
/.,/.,P
aussi,aussi,60
l',le,71
armée,armée,22
sera,être,15
t,t,94
elle,il,51
peu,peu,60
contente,content,30
",",",",p
je,je,51
puis,pouvoir,17
en,en,52
répondre,répondre,14
",",",",p
d',de,81
être,être,14
en,en,81
butte,butte,22
à,à,81
des,de,81
des,le,71
traitements,traitement,21
rigoureux,rigoureux,30
à,à,81
propos,propos,21
d',de,81
affaires,affaire,22
de,de,81
police,police,22
/.,/.,P
“,“,p
le,le,71
mot,mot,21
était,être,18
imprudent,imprudent,30
;,;,p
mais,mais,82
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
l',le,52
avait,avoir,18
lancé,lancer,12
avec,avec,81
connaissance,connaissance,22
de,de,81
cause,cause,22
/.,/.,P
il,il,51
voulait,vouloir,18
une,un,71
explosion,explosion,22
",",",",p
parce qu',parce que,83
en,en,81
cela,cela,52
la,le,71
mine,mine,22
fait,faire,17
du,de,81
du,le,71
feu,feu,21
",",",",p
et,et,82
que,que,83
le,le,71
feu,feu,21
éclaire,éclairer,17
/.,/.,P
“,“,p
affaires,affaire,22
de,de,81
police,police,22
!,!,p
s',se,51
écria,écrier,19
le,le,71
roi,roi,21
",",",",p
relevant,relever,13
les,le,71
paroles,parole,22
de,de,81
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
:,:,p
affaires,affaire,22
de,de,81
police,police,22
!,!,p
et,et,82
qu',que,52
en,en,52
savez,savoir,17
vous,vous,51
",",",",p
monsieur,monsieur,21
/?,/?,P
mêlez,mêler,17
vous,vous,51
de,de,81
vos,votre,73
mousquetaires,mousquetaire,21
",",",",p
et,et,82
ne,ne,60
me,je,51
rompez,rompre,17
pas,pas,60
la,le,71
tête,tête,22
/.,/.,P
il,il,51
semble,sembler,17
",",",",p
à,à,81
vous,vous,51
entendre,entendre,14
",",",",p
que,que,83
",",",",p
si,si,83
par,par,81
malheur,malheur,21
on,on,51
arrête,arrêter,17
un,un,71
mousquetaire,mousquetaire,21
",",",",p
la,le,71
France,France,20
est,être,17
en,en,81
danger,danger,21
/.,/.,P
eh,eh,93
!,!,p
que,que,52
de,de,81
bruit,bruit,21
pour,pour,81
un,un,71
mousquetaire,mousquetaire,21
!,!,p
j',je,51
en,en,52
ferai,faire,15
arrêter,arrêter,14
dix,dix,72
",",",",p
ventrebleu,ventrebleu,93
!,!,p
cent,cent,72
",",",",p
même,même,60
;,;,p
toute,tout,75
la,le,71
compagnie,compagnie,22
!,!,p
et,et,82
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
que,que,83
l',l',94
on,on,51
souffle,souffler,17
mot,mot,21
/.,/.,P
-,-,p
du,de,81
du,le,71
moment,moment,21
où,où,60
ils,ils,51
sont,être,17
suspects,suspect,30
à,à,81
votre,votre,73
majesté,majesté,22
",",",",p
dit,dire,19
Tréville,Tréville,20
",",",",p
les,le,71
mousquetaires,mousquetaire,21
sont,être,17
coupables,coupable,30
;,;,p
aussi,aussi,60
",",",",p
me,je,51
voyez,voir,17
vous,vous,51
",",",",p
sire,sire,21
",",",",p
prêt,prêt,30
à,à,81
vous,vous,51
rendre,rendre,14
mon,mon,73
épée,épée,22
;,;,p
car,car,82
après,après,81
avoir,avoir,14
accusé,accuser,12
mes,mon,73
soldats,soldat,21
",",",",p
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
",",",",p
je,je,51
n',ne,60
en,en,52
doute,douter,17
pas,pas,60
",",",",p
finira,finir,15
par,par,81
m',je,51
accuser,accuser,14
moi-même,moi-même,51
;,;,p
ainsi,ainsi,60
mieux,mieux,60
vaut,valoir,17
que,que,83
je,je,51
me,je,51
constitue,constituer,17
prisonnier,prisonnier,30
avec,avec,81
monsieur,monsieur,21
Athos,Athos,20
",",",",p
qui,qui,52
est,être,17
arrêté,arrêter,12
déjà,déjà,60
",",",",p
et,et,82
monsieur,monsieur,21
d',de,81
Artagnan,Artagnan,20
",",",",p
qu',que,83
on,on,51
va,aller,17
arrêter,arrêter,14
sans,sans,81
doute,doute,21
/.,/.,P
-,-,p
tête,tête,22
gasconne,gascon,30
",",",",p
en,en,52
finirez,finir,15
vous,vous,51
?,?,p
dit,dire,19
le,le,71
roi,roi,21
/.,/.,P
-,-,p
sire,sire,21
",",",",p
répondit,répondre,19
Tréville,Tréville,20
sans,sans,81
baisser,baisser,14
le,le,71
moindrement,moindrement,60
la,le,71
voix,voix,22
",",",",p
ordonnez,ordonner,17
qu',que,83
on,on,51
me,je,51
rende,rendre,17
mon,mon,73
mousquetaire,mousquetaire,21
",",",",p
ou,ou,82
qu',que,52
il,il,51
soit,être,17
jugé,juger,12
/.,/.,P
-,-,p
on,on,51
le,le,52
jugera,juger,15
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
tant,tant,60
mieux,mieux,60
;,;,p
car,car,82
",",",",p
dans,dans,81
ce,ce,74
cas,cas,21
",",",",p
je,je,51
demanderai,demander,15
à,à,81
sa,son,73
majesté,majesté,22
la,le,71
permission,permission,22
de,de,81
plaider,plaider,14
pour,pour,81
lui,lui,51
/.,/.,P
“,“,p
le,le,71
roi,roi,21
craignit,craindre,19
un,un,71
éclat,éclat,21
/.,/.,P
“,“,p
si,si,83
son,son,73
éminence,éminence,22
",",",",p
dit,dire,19
il,il,51
",",",",p
n',ne,60
avait,avoir,18
pas,pas,60
personnellement,personnellement,60
des,de,81
des,le,71
motifs,motif,21
/…,/…,P
le,le,71
cardinal,cardinal,21
vit,voir,19
venir,venir,14
le,le,71
roi,roi,21
",",",",p
et,et,82
alla,aller,19
au-devant,au-devant,60
de,de,81
lui,lui,51
:,:,p
“,“,p
pardon,pardon,21
",",",",p
dit,dire,19
il,il,51
",",",",p
mais,mais,82
du,de,81
du,le,71
moment,moment,21
où,où,60
votre,votre,73
majesté,majesté,22
voit,voir,17
en,en,81
moi,moi,51
un,un,71
juge,juge,21
prévenu,prévenu,31
",",",",p
je,je,51
me,je,51
retire,retirer,17
/.,/.,P
-,-,p
voyons,voir,17
",",",",p
dit,dire,19
le,le,71
roi,roi,21
",",",",p
me,je,51
jurez,jurer,17
vous,vous,51
",",",",p
par,par,81
mon,mon,73
père,père,21
",",",",p
que,que,83
monsieur,monsieur,21
Athos,Athos,20
était,être,18
chez,chez,81
vous,vous,51
pendant,pendant,81
l',le,71
événement,événement,21
",",",",p
et,et,82
qu',que,52
il,il,51
n',ne,60
y,y,52
a,avoir,17
point,point,60
pris,prendre,12
part,part,22
/?,/?,P
par,par,81
votre,votre,73
glorieux,glorieux,30
père,père,21
et,et,82
par,par,81
vous-même,vous-même,51
",",",",p
qui,qui,52
êtes,être,17
ce,ce,52
que,que,52
j',je,51
aime,aimer,17
et,et,82
ce,ce,52
que,que,52
je,je,51
vénère,vénérer,17
le,le,71
plus,plus,60
au,à,81
au,le,71
monde,monde,21
",",",",p
je,je,51
le,le,52
jure,jurer,17
/!,/!,P
veuillez,vouloir,17
réfléchir,réfléchir,14
",",",",p
sire,sire,21
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
/.,/.,P
si,si,83
nous,nous,51
relâchons,relâcher,17
ainsi,ainsi,60
le,le,71
prisonnier,prisonnier,21
",",",",p
on,on,51
ne,ne,60
pourra,pouvoir,15
plus,plus,60
connaître,connaître,14
la,le,71
vérité,vérité,22
/.,/.,P
-,-,p
monsieur,monsieur,21
Athos,Athos,20
sera,être,15
toujours,toujours,60
là,là,60
",",",",p
reprit,reprendre,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
prêt,prêt,30
à,à,81
répondre,répondre,14
quand,quand,83
il,il,51
plaira,plaire,15
aux,à,81
aux,le,71
gens,gens,21
de,de,81
robe,robe,22
de,de,81
l',le,52
interroger,interroger,14
/.,/.,P
il,il,51
ne,ne,60
désertera,déserter,15
pas,pas,60
",",",",p
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
;,;,p
soyez,être,17
tranquille,tranquille,30
",",",",p
je,je,51
réponds,répondre,17
de,de,81
lui,lui,51
",",",",p
moi,moi,51
/.,/.,P
-,-,p
au,à,81
au,le,71
fait,fait,21
",",",",p
il,il,51
ne,ne,60
désertera,déserter,15
pas,pas,60
",",",",p
dit,dire,19
le,le,71
roi,roi,21
;,;,p
on,on,51
le,le,52
retrouvera,retrouver,15
toujours,toujours,60
",",",",p
comme,comme,83
dit,dire,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
en,en,81
baissant,baisser,13
la,le,71
voix,voix,22
