11516
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-unième extrait>,<>,<>
vieux,vieux,30
soldats,soldat,21
sont,être,17
tout,tout,60
ensemble,ensemble,60
des,de,81
des,le,71
tableaux,tableau,21
et,et,82
des,de,81
des,le,71
livres,livre,21
/.,/.,P
quand,quand,83
le,le,71
comte,comte,21
descendit,descendre,19
de,de,81
sa,son,73
voiture,voiture,22
pour,pour,81
monter,monter,14
chez,chez,81
Derville,Derville,20
",",",",p
il,il,51
sauta,sauter,19
légèrement,légèrement,60
comme,comme,83
aurait,avoir,16
pu,pouvoir,12
faire,faire,14
un,un,71
jeune,jeune,30
homme,homme,21
/.,/.,P
à,à,81
peine,peine,22
son,son,73
cabriolet,cabriolet,21
avait,avoir,18
il,il,51
retourné,retourner,12
",",",",p
qu',que,83
un,un,71
joli,joli,30
coupé,coupé,21
tout,tout,60
armorié,armorié,31
arriva,arriver,19
/.,/.,P
madame,madame,22
la,le,71
comtesse,comtesse,22
Ferraud,Ferraud,20
en,en,52
sortit,sortir,19
dans,dans,81
une,un,71
toilette,toilette,22
simple,simple,30
",",",",p
mais,mais,82
habilement,habilement,60
calculée,calculé,31
pour,pour,81
montrer,montrer,14
la,le,71
jeunesse,jeunesse,22
de,de,81
sa,son,73
taille,taille,22
/.,/.,P
elle,il,51
avait,avoir,18
une,un,71
jolie,joli,30
capote,capote,22
doublée,doublé,31
de,de,81
rose,rose,21
qui,qui,52
encadrait,encadrer,18
parfaitement,parfaitement,60
sa,son,73
figure,figure,22
",",",",p
en,en,52
dissimulait,dissimuler,18
les,le,71
contours,contour,21
",",",",p
et,et,82
la,le,52
ravivait,raviver,18
/.,/.,P
si,si,83
les,le,71
clients,client,21
s',se,51
étaient,être,18
rajeunis,rajeunir,12
",",",",p
l',le,71
étude,étude,22
était,être,18
restée,rester,12
semblable,semblable,30
à,à,81
elle-même,lui-même,51
",",",",p
et,et,82
offrait,offrir,18
alors,alors,60
le,le,71
tableau,tableau,21
par,par,81
la,le,71
description,description,22
duquel,de,81
duquel,lequel,52
cette,ce,74
histoire,histoire,22
a,avoir,17
commencé,commencer,12
/.,/.,P
Simonnin,Simonnin,20
déjeunait,déjeuner,18
",",",",p
l',le,71
épaule,épaule,22
appuyée,appuyé,31
sur,sur,81
la,le,71
fenêtre,fenêtre,22
qui,qui,52
alors,alors,60
était,être,18
ouverte,ouvrir,12
;,;,p
et,et,82
il,il,51
regardait,regarder,18
le,le,71
bleu,bleu,21
du,de,81
du,le,71
ciel,ciel,21
par,par,81
l',le,71
ouverture,ouverture,22
de,de,81
cette,ce,74
cour,cour,22
entourée,entouré,31
de,de,81
quatre,quatre,72
corps,corps,21
de,de,81
logis,logis,21
noirs,noir,30
/.,/.,P
ha,ah,93
!,!,p
s',se,51
écria,écrier,19
le,le,71
petit,petit,30
clerc,clerc,21
",",",",p
qui,qui,52
veut,vouloir,17
parier,parier,14
un,un,71
spectacle,spectacle,21
que,que,83
le,le,71
colonel,colonel,21
Chabert,Chabert,20
est,être,17
général,général,30
",",",",p
et,et,82
cordon,cordon,21
rouge,rouge,30
/?,/?,P
-,-,p
le,le,71
patron,patron,21
est,être,17
un,un,71
fameux,fameux,30
sorcier,sorcier,21
!,!,p
dit,dire,19
Godeschal,Godeschal,20
/.,/.,P
-,-,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
donc,donc,82
pas,pas,60
de,de,81
tour,tour,21
à,à,81
lui,lui,51
jouer,jouer,14
cette,ce,74
fois,fois,22
?,?,p
demanda,demander,19
Desroches,Desroches,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
sa,son,73
femme,femme,22
qui,qui,52
s',se,51
en,en,52
charge,charger,17
",",",",p
la,le,71
comtesse,comtesse,22
Ferraud,Ferraud,20
!,!,p
dit,dire,19
Boucard,Boucard,20
/.,/.,P
-,-,p
allons,aller,17
",",",",p
dit,dire,19
Godeschal,Godeschal,20
",",",",p
la,le,71
comtesse,comtesse,22
Ferraud,Ferraud,20
serait,être,16
donc,donc,82
obligée,obliger,12
d',de,81
être,être,14
à,à,81
deux,deux,72
/…,/…,P
-,-,p
la,le,52
voilà,voilà,81
!,!,p
dit,dire,19
Simonnin,Simonnin,20
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
",",",",p
le,le,71
colonel,colonel,21
entra,entrer,19
et,et,82
demanda,demander,19
Derville,Derville,20
/.,/.,P
il,il,51
y,y,52
est,être,17
",",",",p
monsieur,monsieur,21
le,le,71
comte,comte,21
",",",",p
répondit,répondre,19
Simonnin,Simonnin,20
/.,/.,P
-,-,p
tu,tu,51
n',ne,60
es,être,17
donc,donc,82
pas,pas,60
sourd,sourd,30
",",",",p
petit,petit,30
drôle,drôle,21
?,?,p
dit,dire,19
Chabert,Chabert,20
en,en,81
prenant,prendre,13
le,le,71
saute-ruisseau,saute-ruisseau,21
par,par,81
l',le,71
oreille,oreille,22
et,et,82
la,le,52
lui,lui,51
tortillant,tortiller,13
à,à,81
la,le,71
satisfaction,satisfaction,22
des,de,81
des,le,71
clercs,clerc,21
",",",",p
qui,qui,52
se,se,51
mirent,mettre,17
à,à,81
rire,rire,14
et,et,82
regardèrent,regarder,19
le,le,71
colonel,colonel,21
avec,avec,81
la,le,71
curieuse,curieux,30
considération,considération,22
due,dû,31
à,à,81
ce,ce,74
singulier,singulier,30
personnage,personnage,21
/.,/.,P
le,le,71
comte,comte,21
Chabert,Chabert,20
était,être,18
chez,chez,81
Derville,Derville,20
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
sa,son,73
femme,femme,22
entra,entrer,19
par,par,81
la,le,71
porte,porte,22
de,de,81
l',le,71
étude,étude,22
/.,/.,P
dites,dire,17
donc,donc,82
",",",",p
Boucard,Boucard,20
",",",",p
il,il,51
va,aller,17
se,se,51
passer,passer,14
une,un,71
singulière,singulier,30
scène,scène,22
dans,dans,81
le,le,71
cabinet,cabinet,21
du,de,81
du,le,71
patron,patron,21
/!,/!,P
voilà,voilà,81
une,un,71
femme,femme,22
qui,qui,52
peut,pouvoir,17
aller,aller,14
les,le,71
jours,jour,21
pairs,pair,30
chez,chez,81
le,le,71
comte,comte,21
Ferraud,Ferraud,20
et,et,82
les,le,71
jours,jour,21
impairs,impair,21
chez,chez,81
le,le,71
comte,comte,21
Chabert,Chabert,20
/.,/.,P
-,-,p
dans,dans,81
les,le,71
années,année,22
bissextiles,bissextile,30
",",",",p
dit,dire,19
Godeschal,Godeschal,20
",",",",p
le,le,71
compte,compte,21
y,y,52
sera,être,15
/.,/.,P
-,-,p
taisez,taire,17
vous,vous,51
donc,donc,82
!,!,p
messieurs,monsieur,21
",",",",p
l',l',94
on,on,51
peut,pouvoir,17
entendre,entendre,14
",",",",p
dit,dire,19
sévèrement,sévèrement,60
Boucard,Boucard,20
;,;,p
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
vu,voir,12
d',de,81
étude,étude,22
où,où,60
l',l',94
on,on,51
plaisantât,plaisanter,18
",",",",p
comme,comme,83
vous,vous,51
le,le,52
faites,faire,17
",",",",p
sur,sur,81
les,le,71
clients,client,21
/.,/.,P
Derville,Derville,20
avait,avoir,18
consigné,consigner,12
le,le,71
colonel,colonel,21
dans,dans,81
la,le,71
chambre,chambre,22
à,à,81
coucher,coucher,14
",",",",p
quand,quand,83
la,le,71
comtesse,comtesse,22
se,se,51
présenta,présenter,19
/.,/.,P
madame,madame,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
ne,ne,60
sachant,savoir,13
pas,pas,60
s',si,83
il,il,51
vous,vous,51
serait,être,16
agréable,agréable,30
de,de,81
voir,voir,14
monsieur,monsieur,21
le,le,71
comte,comte,21
Chabert,Chabert,20
",",",",p
je,je,51
vous,vous,51
ai,avoir,17
séparés,séparer,12
/.,/.,P
si,si,83
cependant,cependant,82
vous,vous,51
désiriez,désirer,18
/…,/…,P
-,-,p
monsieur,monsieur,21
",",",",p
c',ce,52
est,être,17
une,un,71
attention,attention,22
dont,dont,52
je,je,51
vous,vous,51
remercie,remercier,17
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
préparé,préparer,12
la,le,71
minute,minute,22
d',de,81
un,un,71
acte,acte,21
dont,dont,52
les,le,71
conditions,condition,22
pourront,pouvoir,15
être,être,14
discutées,discuter,12
par,par,81
vous,vous,51
et,et,82
par,par,81
monsieur,monsieur,21
Chabert,Chabert,20
",",",",p
séance,séance,22
tenante,tenant,30
/.,/.,P
j',je,51
irai,aller,15
alternativement,alternativement,60
de,de,81
vous,vous,51
à,à,81
lui,lui,51
",",",",p
pour,pour,81
vous,vous,51
présenter,présenter,14
",",",",p
à,à,81
l',le,71
un,un,52
et,et,82
à,à,81
l',le,71
autre,autre,52
",",",",p
vos,votre,73
raisons,raison,22
respectives,respectif,30
/.,/.,P
-,-,p
voyons,voir,17
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
en,en,81
laissant,laisser,13
échapper,échapper,14
un,un,71
geste,geste,21
d',de,81
impatience,impatience,22
/.,/.,P
Derville,Derville,20
lut,lire,19
/.,/.,P
entre,entre,81
les,le,71
soussignés,soussigné,31
",",",",p
monsieur,monsieur,21
Hyacinthe,Hyacinthe,20
",",",",p
dit,dire,19
Chabert,Chabert,20
",",",",p
comte,comte,21
",",",",p
maréchal,maréchal,21
de,de,81
camp,camp,21
et,et,82
grand-officier,grand-officier,21
de,de,81
la,le,71
légion,légion,22
d',de,81
honneur,honneur,21
",",",",p
demeurant,demeurer,13
à,à,81
Paris,Paris,20
",",",",p
rue,rue,22
du,de,81
du,le,71
Petit-Banquier,Petit-Banquier,20
",",",",p
d',de,81
une,un,71
part,part,22
",",",",p
et,et,82
la,le,71
dame,dame,22
Rose,Rose,20
Chapotel,Chapotel,20
",",",",p
épouse,épouse,22
de,de,81
monsieur,monsieur,21
le,le,71
comte,comte,21
Chabert,Chabert,20
",",",",p
ci-dessus,ci-dessus,60
nommé,nommé,31
",",",",p
née,né,31
/…,/…,P
-,-,p
passez,passer,17
",",",",p
dit,dire,19
elle,il,51
",",",",p
laissons,laisser,17
les,le,71
préambules,préambule,21
",",",",p
arrivons,arriver,17
aux,à,81
aux,le,71
conditions,condition,22
/.,/.,P
-,-,p
madame,madame,22
",",",",p
dit,dire,19
l',le,71
avoué,avoué,21
",",",",p
le,le,71
préambule,préambule,21
explique,expliquer,17
succinctement,succinctement,60
la,le,71
position,position,22
dans,dans,81
laquelle,lequel,52
vous,vous,51
vous,vous,51
trouvez,trouver,17
l',le,71
un,un,52
et,et,82
l',le,71
autre,autre,52
/.,/.,P
puis,puis,60
",",",",p
par,par,81
l',le,71
article,article,21
premier,premier,72
",",",",p
vous,vous,51
reconnaissez,reconnaître,17
",",",",p
en,en,81
présence,présence,22
de,de,81
trois,trois,72
témoins,témoin,21
",",",",p
qui,qui,52
sont,être,17
deux,deux,72
notaires,notaire,21
et,et,82
le,le,71
nourrisseur,nourrisseur,21
chez,chez,81
lequel,lequel,52
a,avoir,17
demeuré,demeurer,12
votre,votre,73
mari,mari,21
",",",",p
auxquels,à,81
auxquels,lequel,52
j',je,51
ai,avoir,17
confié,confier,12
sous,sous,81
le,le,71
secret,secret,21
votre,votre,73
affaire,affaire,22
",",",",p
et,et,82
qui,qui,52
garderont,garder,15
le,le,71
plus,plus,60
profond,profond,30
silence,silence,21
;,;,p
vous,vous,51
reconnaissez,reconnaître,17
",",",",p
dis,dire,17
je,je,51
",",",",p
que,que,83
l',le,71
individu,individu,21
désigné,désigné,31
dans,dans,81
les,le,71
actes,acte,21
joints,joint,31
au,à,81
au,le,71
sous-seing,sous-seing,21
",",",",p
mais,mais,82
dont,dont,52
l',le,71
état,état,21
se,se,51
trouve,trouver,17
d',de,81
ailleurs,ailleurs,60
établi,établi,31
par,par,81
un,un,71
acte,acte,21
de,de,81
notoriété,notoriété,22
préparé,préparé,31
chez,chez,81
Alexandre,Alexandre,20
Crottat,Crottat,20
",",",",p
votre,votre,73
notaire,notaire,21
",",",",p
est,être,17
le,le,71
comte,comte,21
Chabert,Chabert,20
",",",",p
votre,votre,73
premier,premier,72
époux,époux,21
/.,/.,P
par,par,81
l',le,71
article,article,21
second,second,72
",",",",p
le,le,71
comte,comte,21
Chabert,Chabert,20
",",",",p
dans,dans,81
l',le,71
intérêt,intérêt,21
de,de,81
votre,votre,73
bonheur,bonheur,21
",",",",p
s',se,51
engage,engager,17
à,à,81
ne,ne,60
faire,faire,14
usage,usage,21
de,de,81
ses,son,73
droits,droit,21
que,que,83
dans,dans,81
les,le,71
cas,cas,21
prévus,prévu,31
par,par,81
l',le,71
acte,acte,21
lui-même,lui-même,51
/.,/.,P
et,et,82
ces,ce,74
cas,cas,21
",",",",p
dit,dire,19
Derville,Derville,20
en,en,81
faisant,faire,13
une,un,71
sorte,sorte,22
de,de,81
parenthèse,parenthèse,22
",",",",p
ne,ne,60
sont,être,17
autres,autre,30
que,que,83
la,le,71
non-exécution,non-exécution,22
des,de,81
des,le,71
clauses,clause,22
de,de,81
cette,ce,74
convention,convention,22
secrète,secret,30
/.,/.,P
de,de,81
son,son,73
côté,côté,21
",",",",p
reprit,reprendre,19
il,il,51
",",",",p
monsieur,monsieur,21
Chabert,Chabert,20
consent,consentir,17
à,à,81
poursuivre,poursuivre,14
de,de,81
gré,gré,21
à,à,81
gré,gré,21
avec,avec,81
vous,vous,51
un,un,71
jugement,jugement,21
qui,qui,52
annulera,annuler,15
son,son,73
acte,acte,21
de,de,81
décès,décès,21
et,et,82
prononcera,prononcer,15
la,le,71
dissolution,dissolution,22
de,de,81
son,son,73
mariage,mariage,21
/.,/.,P
-,-,p
ça,ça,52
ne,ne,60
me,je,51
convient,convenir,17
pas,pas,60
du,de,81
du,le,71
tout,tout,21
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
étonnée,étonné,31
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
de,de,81
procès,procès,21
/.,/.,P
vous,vous,51
savez,savoir,17
pourquoi,pourquoi,60
/.,/.,P
-,-,p
par,par,81
l',le,71
article,article,21
trois,trois,72
",",",",p
dit,dire,19
l',le,71
avoué,avoué,21
en,en,81
continuant,continuer,13
avec,avec,81
un,un,71
flegme,flegme,21
imperturbable,imperturbable,30
",",",",p
vous,vous,51
vous,vous,51
engagez,engager,17
à,à,81
constituer,constituer,14
au,à,81
au,le,71
nom,nom,21
d',de,81
Hyacinthe,Hyacinthe,20
",",",",p
comte,comte,21
Chabert,Chabert,20
",",",",p
une,un,71
rente,rente,22
viagère,viager,30
de,de,81
vingt,vingt,72
quatre,quatre,72
mille,mille,72
francs,franc,21
",",",",p
inscrite,inscrit,31
sur,sur,81
le,le,71
grand-livre,grand-livre,21
de,de,81
la,le,71
dette,dette,22
publique,public,30
",",",",p
mais,mais,82
dont,dont,52
le,le,71
capital,capital,21
vous,vous,51
sera,être,15
dévolu,dévolu,30
à,à,81
sa,son,73
mort,mort,22
/…,/…,P
-,-,p
mais,mais,82
c',ce,52
est,être,17
beaucoup,beaucoup,60
trop,trop,60
cher,cher,30
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
/.,/.,P
-,-,p
pouvez,pouvoir,17
vous,vous,51
transiger,transiger,14
à,à,81
meilleur,meilleur,30
marché,marché,21
/?,/?,P
-,-,p
peut-être,peut-être,60
/.,/.,P
-,-,p
que,que,52
voulez,vouloir,17
vous,vous,51
donc,donc,82
",",",",p
madame,madame,22
/?,/?,P
-,-,p
je,je,51
veux,vouloir,17
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
de,de,81
procès,procès,21
",",",",p
je,je,51
veux,vouloir,17
/…,/…,P
-,-,p
qu',que,52
il,il,51
reste,rester,17
mort,mort,31
",",",",p
dit,dire,19
vivement,vivement,60
Derville,Derville,20
en,en,81
l',le,52
interrompant,interrompre,13
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
",",",",p
s',si,83
il,il,51
faut,falloir,17
vingt,vingt,72
quatre,quatre,72
mille,mille,72
livres,livre,22
de,de,81
rente,rente,22
",",",",p
nous,nous,51
plaiderons,plaider,15
/…,/…,P
-,-,p
oui,oui,60
",",",",p
nous,nous,51
plaiderons,plaider,15
",",",",p
s',se,51
écria,écrier,19
d',de,81
une,un,71
voix,voix,22
sourde,sourd,30
le,le,71
colonel,colonel,21
qui,qui,52
ouvrit,ouvrir,19
la,le,71
porte,porte,22
et,et,82
apparut,apparaître,19
tout,tout,60
à,à,81
coup,coup,21
devant,devant,81
sa,son,73
femme,femme,22
",",",",p
en,en,81
tenant,tenir,13
une,un,71
main,main,22
dans,dans,81
son,son,73
gilet,gilet,21
et,et,82
l',le,71
autre,autre,75
étendue,étendue,22
vers,vers,81
le,le,71
parquet,parquet,21
",",",",p
geste,geste,21
auquel,à,81
auquel,lequel,52
le,le,71
souvenir,souvenir,21
de,de,81
son,son,73
aventure,aventure,22
donnait,donner,18
une,un,71
horrible,horrible,30
énergie,énergie,22
/.,/.,P
c',ce,52
est,être,17
lui,lui,51
",",",",p
se,se,51
dit,dire,19
en,en,81
elle-même,lui-même,51
la,le,71
comtesse,comtesse,22
/.,/.,P
trop,trop,60
cher,cher,30
!,!,p
reprit,reprendre,19
le,le,71
vieux,vieux,30
soldat,soldat,21
/.,/.,P
je,je,51
vous,vous,51
ai,avoir,17
donné,donner,12
près,près,81
d',de,81
un,un,71
million,million,21
",",",",p
et,et,82
vous,vous,51
marchandez,marchander,17
mon,mon,73
malheur,malheur,21
/.,/.,P
hé,hé,93
bien,bien,60
",",",",p
je,je,51
vous,vous,51
veux,vouloir,17
maintenant,maintenant,60
",",",",p
vous,vous,51
et,et,82
votre,votre,73
fortune,fortune,22
/.,/.,P
nous,nous,51
sommes,être,17
communs,commun,30
en,en,81
biens,bien,21
",",",",p
notre,notre,73
mariage,mariage,21
n',ne,60
a,avoir,17
pas,pas,60
cessé,cesser,12
/…,/…,P
-,-,p
mais,mais,82
monsieur,monsieur,21
n',ne,60
est,être,17
pas,pas,60
le,le,71
colonel,colonel,21
Chabert,Chabert,20
",",",",p
s',se,51
écria,écrier,19
la,le,71
comtesse,comtesse,22
en,en,81
feignant,feindre,13
la,le,71
surprise,surprise,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
dit,dire,19
le,le,71
vieillard,vieillard,21
d',de,81
un,un,71
ton,ton,21
profondément,profondément,60
ironique,ironique,30
",",",",p
voulez,vouloir,17
vous,vous,51
des,de,81
des,le,71
preuves,preuve,22
/?,/?,P
je,je,51
vous,vous,51
ai,avoir,17
prise,prendre,12
au,à,81
au,le,71
Palais-Royal,Palais Royal,20
/…,/…,P
la,le,71
comtesse,comtesse,22
pâlit,pâlir,19
/.,/.,P
en,en,81
la,le,52
voyant,voir,13
pâlir,pâlir,14
sous,sous,81
son,son,73
rouge,rouge,21
",",",",p
le,le,71
vieux,vieux,30
soldat,soldat,21
",",",",p
touché,touché,31
de,de,81
la,le,71
vive,vif,30
souffrance,souffrance,22
qu',que,52
il,il,51
imposait,imposer,18
à,à,81
une,un,71
femme,femme,22
jadis,jadis,60
aimée,aimé,31
avec,avec,81
ardeur,ardeur,22
",",",",p
s',se,51
arrêta,arrêter,19
;,;,p
mais,mais,82
il,il,51
en,en,52
reçut,recevoir,19
un,un,71
regard,regard,21
si,si,60
venimeux,venimeux,30
qu',que,83
il,il,51
reprit,reprendre,19
tout,tout,60
à,à,81
coup,coup,21
:,:,p
vous,vous,51
étiez,être,18
chez,chez,81
la,le,71
/…,/…,P
-,-,p
de,de,81
grâce,grâce,22
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
à,à,81
l',le,71
avoué,avoué,21
",",",",p
trouvez,trouver,17
bon,bon,30
que,que,83
je,je,51
quitte,quitter,17
la,le,71
place,place,22
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
venue,venir,12
ici,ici,60
pour,pour,81
entendre,entendre,14
de,de,81
semblables,semblable,30
horreurs,horreur,22
/.,/.,P
elle,il,51
se,se,51
leva,lever,19
et,et,82
sortit,sortir,19
/.,/.,P
Derville,Derville,20
s',se,51
élança,élancer,19
dans,dans,81
l',le,71
étude,étude,22
/.,/.,P
la,le,71
comtesse,comtesse,22
avait,avoir,18
trouvé,trouver,12
des,de,81
des,le,71
ailes,aile,22
et,et,82
s',se,51
était,être,18
comme,comme,83
envolée,envoler,12
/.,/.,P
en,en,81
revenant,revenir,13
dans,dans,81
son,son,73
cabinet,cabinet,21
",",",",p
l',le,71
avoué,avoué,21
trouva,trouver,19
le,le,71
colonel,colonel,21
dans,dans,81
un,un,71
violent,violent,30
accès,accès,21
de,de,81
rage,rage,22
",",",",p
et,et,82
se,se,51
promenant,promener,13
à,à,81
grands,grand,30
pas,pas,21
/.,/.,P
dans,dans,81
ce,ce,74
temps,temps,21
là,là,60
chacun,chacun,52
prenait,prendre,18
sa,son,73
femme,femme,22
où,où,60
il,il,51
voulait,vouloir,18
",",",",p
disait,dire,18
il,il,51
;,;,p
mais,mais,82
j',je,51
ai,avoir,17
eu,avoir,12
tort,tort,21
de,de,81
la,le,52
mal,mal,60
choisir,choisir,14
",",",",p
de,de,81
me,je,51
fier,fier,14
à,à,81
des,de,81
des,le,71
apparences,apparence,22
/.,/.,P
elle,il,51
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
coeur,coeur,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
colonel,colonel,21
",",",",p
n',ne,60
avais,avoir,18
je,je,51
pas,pas,60
raison,raison,22
en,en,81
vous,vous,51
priant,prier,13
de,de,81
ne,ne,60
pas,pas,60
venir,venir,14
/?,/?,P
je,je,51
suis,être,17
maintenant,maintenant,60
certain,certain,30
de,de,81
votre,votre,73
identité,identité,22
/.,/.,P
quand,quand,83
vous,vous,51
vous,vous,51
êtes,être,17
montré,montrer,12
",",",",p
la,le,71
comtesse,comtesse,22
a,avoir,17
fait,faire,12
un,un,71
mouvement,mouvement,21
dont,dont,52
la,le,71
pensée,pensée,22
n',ne,60
était,être,18
pas,pas,60
équivoque,équivoque,30
/.,/.,P
mais,mais,82
vous,vous,51
avez,avoir,17
perdu,perdre,12
votre,votre,73
procès,procès,21
",",",",p
votre,votre,73
femme,femme,22
sait,savoir,17
que,que,83
vous,vous,51
êtes,être,17
méconnaissable,méconnaissable,30
/!,/!,P
-,-,p
je,je,51
la,le,52
tuerai,tuer,15
/…,/…,P
-,-,p
folie,folie,22
!,!,p
vous,vous,51
serez,être,15
pris,prendre,12
et,et,82
guillotiné,guillotiner,12
comme,comme,83
un,un,71
misérable,misérable,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
peut-être,peut-être,60
manquerez,manquer,15
-,-,p
vous,vous,51
votre,votre,73
coup,coup,21
!,!,p
ce,ce,52
serait,être,16
impardonnable,impardonnable,30
",",",",p
on,on,51
ne,ne,60
doit,devoir,17
jamais,jamais,60
manquer,manquer,14
sa,son,73
femme,femme,22
quand,quand,83
on,on,51
veut,vouloir,17
la,le,52
tuer,tuer,14
/.,/.,P
laissez,laisser,17
moi,moi,51
réparer,réparer,14
vos,votre,73
sottises,sottise,22
",",",",p
grand,grand,30
enfant,enfant,21
/!,/!,P
allez,aller,17
vous,vous,51
en,en,52
/.,/.,P
prenez,prendre,17
garde,garde,22
à,à,81
vous,vous,51
",",",",p
elle,il,51
serait,être,16
capable,capable,30
de,de,81
vous,vous,51
faire,faire,14
tomber,tomber,14
dans,dans,81
quelque,quelque,75
piège,piège,21
et,et,82
de,de,81
vous,vous,51
enfermer,enfermer,14
à,à,81
Charenton,Charenton,20
/.,/.,P
je,je,51
vais,aller,17
lui,lui,51
signifier,signifier,14
nos,notre,73
actes,acte,21
afin,afin,81
de,de,81
vous,vous,51
garantir,garantir,14
de,de,81
toute,tout,75
surprise,surprise,22
/.,/.,P
le,le,71
pauvre,pauvre,30
colonel,colonel,21
obéit,obéir,19
à,à,81
son,son,73
jeune,jeune,30
bienfaiteur,bienfaiteur,21
",",",",p
et,et,82
sortit,sortir,19
en,en,81
lui,lui,51
balbutiant,balbutier,13
des,de,81
des,le,71
excuses,excuse,22
/.,/.,P
il,il,51
descendait,descendre,18
lentement,lentement,60
les,le,71
marches,marche,22
de,de,81
l',le,71
escalier,escalier,21
noir,noir,30
",",",",p
perdu,perdu,31
dans,dans,81
des,de,81
des,le,71
sombres,sombre,30
pensées,pensée,22
",",",",p
accablé,accablé,31
peut-être,peut-être,60
par,par,81
le,le,71
coup,coup,21
qu',que,52
il,il,51
venait,venir,18
de,de,81
recevoir,recevoir,14
",",",",p
pour,pour,81
lui,lui,51
le,le,71
plus,plus,60
cruel,cruel,30
",",",",p
le,le,71
plus,plus,60
profondément,profondément,60
enfoncé,enfoncé,31
dans,dans,81
son,son,73
coeur,coeur,21
",",",",p
lorsqu',lorsque,83
il,il,51
entendit,entendre,19
",",",",p
en,en,81
parvenant,parvenir,13
au,à,81
au,le,71
dernier,dernier,30
palier,palier,21
",",",",p
le,le,71
frôlement,frôlement,21
d',de,81
une,un,71
robe,robe,22
",",",",p
et,et,82
sa,son,73
femme,femme,22
apparut,apparaître,19
/.,/.,P
venez,venir,17
",",",",p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
en,en,81
lui,lui,51
prenant,prendre,13
le,le,71
bras,bras,21
par,par,81
un,un,71
mouvement,mouvement,21
semblable,semblable,30
à,à,81
ceux,celui,52
qui,qui,52
lui,lui,51
étaient,être,18
familiers,familier,30
autrefois,autrefois,60
/.,/.,P
l',le,71
action,action,22
de,de,81
la,le,71
comtesse,comtesse,22
",",",",p
l',le,71
accent,accent,21
de,de,81
sa,son,73
voix,voix,22
redevenue,redevenu,31
gracieuse,gracieux,30
",",",",p
suffirent,suffire,19
pour,pour,81
calmer,calmer,14
la,le,71
colère,colère,22
du,de,81
du,le,71
colonel,colonel,21
",",",",p
qui,qui,52
se,se,51
laissa,laisser,19
mener,mener,14
jusqu',jusque,81
à,à,81
la,le,71
voiture,voiture,22
/.,/.,P
eh,eh,93
bien,bien,60
",",",",p
montez,monter,17
donc,donc,82
!,!,p
lui,lui,51
dit,dire,19
la,le,71
comtesse,comtesse,22
quand,quand,83
le,le,71
valet,valet,21
eut,avoir,19
achevé,achever,12
de,de,81
déplier,déplier,14
le,le,71
marchepied,marchepied,21
/.,/.,P
et,et,82
il,il,51
se,se,51
trouva,trouver,19
",",",",p
comme,comme,83
par,par,81
enchantement,enchantement,21
",",",",p
assis,assis,31
près,près,81
de,de,81
sa,son,73
femme,femme,22
dans,dans,81
le,le,71
coupe,coupe,22
/.,/.,P
où,où,60
va,aller,17
madame,madame,22
?,?,p
demanda,demander,19
le,le,71
valet,valet,21
/.,/.,P
-,-,p
à,à,81
Groslay,Groslay,20
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
les,le,71
chevaux,cheval,21
partirent,partir,19
et,et,82
traversèrent,traverser,19
tout,tout,75
Paris,Paris,20
/.,/.,P
monsieur,monsieur,21
!,!,p
dit,dire,19
la,le,71
comtesse,comtesse,22
au,à,81
au,le,71
colonel,colonel,21
d',de,81
un,un,71
son,son,21
de,de,81
voix,voix,22
qui,qui,52
révélait,révéler,18
une,un,52
de,de,81
ces,ce,74
émotions,émotion,22
rares,rare,30
dans,dans,81
la,le,71
vie,vie,22
",",",",p
et,et,82
par,par,81
-,-,p
lesquelles,lequel,52
tout,tout,52
en,en,81
nous,nous,51
est,être,17
agité,agiter,12
/.,/.,P
en,en,81
ces,ce,74
moments,moment,21
",",",",p
coeur,coeur,21
",",",",p
