11738
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-septième extrait>,<>,<>
douloureusement,douloureusement,60
ému,ému,31
comme,comme,83
si,si,83
les,le,71
plaies,plaie,22
de,de,81
son,son,73
coeur,coeur,21
eussent,avoir,18
été,être,12
touchées,toucher,12
par,par,81
ces,ce,74
accents,accent,21
/.,/.,P
mais,mais,82
le,le,71
rideau,rideau,21
s',se,51
étant,être,13
levé,lever,12
",",",",p
il,il,51
se,se,51
dressa,dresser,19
de,de,81
nouveau,nouveau,21
et,et,82
il,il,51
vit,voir,19
",",",",p
dans,dans,81
un,un,71
décor,décor,21
représentant,représenter,13
le,le,71
cabinet,cabinet,21
d',de,81
un,un,71
alchimiste,alchimiste,21
",",",",p
le,le,71
docteur,docteur,21
Faust,Faust,20
méditant,méditer,13
/.,/.,P
vingt,vingt,72
fois,fois,22
déjà,déjà,60
il,il,51
avait,avoir,18
entendu,entendre,12
cet,ce,74
opéra,opéra,21
qu',que,52
il,il,51
connaissait,connaître,18
presque,presque,60
par,par,81
coeur,coeur,21
",",",",p
et,et,82
son,son,73
attention,attention,22
",",",",p
quittant,quitter,13
aussitôt,aussitôt,60
la,le,71
pièce,pièce,22
",",",",p
se,se,51
porta,porter,19
sur,sur,81
la,le,71
salle,salle,22
/.,/.,P
il,il,51
n',ne,60
en,en,52
découvrait,découvrir,18
qu',que,83
un,un,71
petit,petit,30
angle,angle,21
derrière,derrière,81
l',le,71
encadrement,encadrement,21
de,de,81
la,le,71
scène,scène,22
qui,qui,52
cachait,cacher,18
sa,son,73
loge,loge,22
",",",",p
mais,mais,82
cet,ce,74
angle,angle,21
",",",",p
s',se,51
étendant,étendre,13
de,de,81
l',le,71
orchestre,orchestre,21
au,à,81
au,le,71
paradis,paradis,21
",",",",p
lui,lui,51
montrait,montrer,18
toute,tout,75
une,un,71
fraction,fraction,22
du,de,81
du,le,71
public,public,21
",",",",p
où,où,60
il,il,51
reconnaissait,reconnaître,18
bien,bien,60
des,de,81
des,le,71
têtes,tête,22
/.,/.,P
à,à,81
l',le,71
orchestre,orchestre,21
",",",",p
les,le,71
hommes,homme,21
en,en,81
cravate,cravate,22
blanche,blanc,30
",",",",p
alignés,aligné,31
côte,côte,22
à,à,81
côte,côte,22
",",",",p
semblaient,sembler,18
un,un,71
m,m,21
usée,usé,31
de,de,81
figures,figure,22
familières,familier,30
",",",",p
de,de,81
mondains,mondain,30
",",",",p
d',de,81
artistes,artiste,21
",",",",p
de,de,81
journalistes,journaliste,21
",",",",p
toutes,tout,75
les,le,71
catégories,catégorie,22
de,de,81
ceux,celui,52
qui,qui,52
ne,ne,60
manquent,manquer,17
jamais,jamais,60
d',de,81
être,être,14
où,où,60
tout,tout,75
le,le,71
monde,monde,21
va,aller,17
/.,/.,P
au,à,81
au,le,71
balcon,balcon,21
",",",",p
dans,dans,81
les,le,71
loges,loge,22
",",",",p
il,il,51
se,se,51
nommait,nommer,18
",",",",p
il,il,51
pointait,pointer,18
mentalement,mentalement,60
les,le,71
femmes,femme,22
aperçues,aperçu,31
/.,/.,P
la,le,71
comtesse,comtesse,22
de,de,81
Lochrist,Lochrist,20
",",",",p
dans,dans,81
une,un,71
avant-scène,avant-scène,22
",",",",p
était,être,18
vraiment,vraiment,60
ravissante,ravissant,30
",",",",p
tandis qu',tandis que,83
un,un,71
peu,peu,60
plus,plus,60
loin,loin,60
une,un,71
nouvelle,nouveau,30
mariée,mariée,22
",",",",p
la,le,71
marquise,marquise,22
d',de,81
Ebelin,Ebelin,20
soulevait,soulever,18
déjà,déjà,60
les,le,71
lorgnettes,lorgnette,22
/.,/.,P
“,“,p
joli,joli,30
début,début,21
“,“,p
",",",",p
se,se,51
dit,dire,19
Bertin,Bertin,20
/.,/.,P
on,on,51
écoutait,écouter,18
avec,avec,81
une,un,71
grande,grand,30
attention,attention,22
",",",",p
avec,avec,81
une,un,71
sympathie,sympathie,22
évidente,évident,30
",",",",p
le,le,71
ténor,ténor,21
Montrosé,Montrosé,20
qui,qui,52
se,se,51
lamentait,lamenter,18
sur,sur,81
la,le,71
vie,vie,22
/.,/.,P
Olivier,Olivier,20
pensait,penser,18
:,:,p
“,“,p
quelle,quel,75
bonne,bon,30
blague,blague,22
/!,/!,P
voilà,voilà,81
Faust,Faust,20
",",",",p
le,le,71
mystérieux,mystérieux,30
et,et,82
sublime,sublime,30
Faust,Faust,20
",",",",p
qui,qui,52
chante,chanter,17
l',le,71
horrible,horrible,30
dégoût,dégoût,21
et,et,82
le,le,71
néant,néant,21
de,de,81
tout,tout,52
;,;,p
et,et,82
cette,ce,74
foule,foule,22
se,se,51
demande,demander,17
avec,avec,81
inquiétude,inquiétude,22
si,si,83
la,le,71
voix,voix,22
de,de,81
Montrosé,Montrosé,20
n',ne,60
a,avoir,17
pas,pas,60
changé,changer,12
/.,/.,P
“,“,p
-,-,p
alors,alors,60
",",",",p
il,il,51
écouta,écouter,19
",",",",p
comme,comme,83
les,le,71
autres,autre,52
et,et,82
derrière,derrière,81
les,le,71
paroles,parole,22
banales,banal,30
du,de,81
du,le,71
livret,livret,21
",",",",p
à,à,81
travers,travers,21
là,là,60
musique,musique,22
qui,qui,52
éveille,éveiller,17
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
âmes,âme,22
des,de,81
des,le,71
perceptions,perception,22
profondes,profond,30
",",",",p
il,il,51
eut,avoir,19
une,un,71
sorte,sorte,22
de,de,81
révélation,révélation,22
de,de,81
la,le,71
façon,façon,22
dont,dont,52
Goethe,Goethe,20
rêva,rêver,19
le,le,71
coeur,coeur,21
de,de,81
Faust,Faust,20
/.,/.,P
il,il,51
avait,avoir,18
lu,lire,12
autrefois,autrefois,60
le,le,71
poème,poème,21
qu',que,52
il,il,51
estimait,estimer,18
très,très,60
beau,beau,30
",",",",p
sans,sans,81
en,en,52
avoir,avoir,14
été,être,12
fort,fort,60
ému,émouvoir,12
",",",",p
et,et,82
voilà,voilà,81
que,que,83
",",",",p
soudain,soudain,60
",",",",p
il,il,51
en,en,52
pressentit,pressentir,19
l',le,71
insondable,insondable,30
profondeur,profondeur,22
",",",",p
car,car,82
il,il,51
lui,lui,51
semblait,sembler,18
que,que,83
",",",",p
ce,ce,74
soir,soir,21
là,là,60
",",",",p
il,il,51
devenait,devenir,18
lui-même,lui-même,51
un,un,71
Faust,Faust,20
/.,/.,P
un,un,71
peu,peu,60
penchée,penché,31
sur,sur,81
le,le,71
devant,devant,21
de,de,81
la,le,71
loge,loge,22
",",",",p
Annette,Annette,20
écoutait,écouter,18
de,de,81
toutes,tout,75
ses,son,73
oreilles,oreille,22
;,;,p
et,et,82
des,de,81
des,le,71
murmures,murmure,21
de,de,81
satisfaction,satisfaction,22
commençaient,commencer,18
à,à,81
passer,passer,14
dans,dans,81
le,le,71
public,public,21
",",",",p
car,car,82
la,le,71
voix,voix,22
de,de,81
Montrosé,Montrosé,20
était,être,18
mieux,mieux,60
posée,poser,12
et,et,82
plus,plus,60
nourrie,nourrir,12
qu',que,83
autrefois,autrefois,60
/!,/!,P
Bertin,Bertin,20
avait,avoir,18
fermé,fermer,12
les,le,71
yeux,oeil,21
/.,/.,P
depuis,depuis,81
un,un,71
mois,mois,21
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
voyait,voir,18
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
éprouvait,éprouver,18
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
rencontrait,rencontrer,18
en,en,81
sa,son,73
vie,vie,22
",",",",p
il,il,51
en,en,52
faisait,faire,18
immédiatement,immédiatement,60
une,un,71
sorte,sorte,22
d',de,81
accessoire,accessoire,21
de,de,81
sa,son,73
passion,passion,22
/.,/.,P
il,il,51
jetait,jeter,18
le,le,71
monde,monde,21
et,et,82
lui-même,lui-même,51
en,en,52
pâture,pâturer,17
à,à,81
cette,ce,74
idée,idée,22
fixe,fixe,30
/.,/.,P
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
apercevait,apercevoir,18
de,de,81
beau,beau,30
",",",",p
de,de,81
rare,rare,30
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
imaginait,imaginer,18
de,de,81
charmant,charmant,30
",",",",p
il,il,51
l',le,52
offrait,offrir,18
",",",",p
aussitôt,aussitôt,60
",",",",p
mentalement,mentalement,60
",",",",p
à,à,81
sa,son,73
petite,petit,30
amie,amie,22
",",",",p
et,et,82
il,il,51
n',ne,60
avait,avoir,18
plus,plus,60
une,un,71
idée,idée,22
qu',que,52
il,il,51
ne,ne,60
rapportât,rapporter,18
à,à,81
son,son,73
amour,amour,21
/.,/.,P
maintenant,maintenant,60
",",",",p
il,il,51
écoutait,écouter,18
au,à,81
au,le,71
fond,fond,21
de,de,81
lui-même,lui-même,51
l',le,71
écho,écho,21
des,de,81
des,le,71
lamentations,lamentation,22
de,de,81
Faust,Faust,20
;,;,p
et,et,82
le,le,71
désir,désir,21
de,de,81
la,le,71
mort,mort,22
surgissait,surgir,18
en,en,81
lui,lui,51
",",",",p
le,le,71
désir,désir,21
d',de,81
en,en,52
finir,finir,14
aussi,aussi,60
avec,avec,81
ses,son,73
chagrins,chagrin,21
",",",",p
avec,avec,81
toute,tout,75
la,le,71
misère,misère,22
de,de,81
sa,son,73
tendresse,tendresse,22
sans,sans,81
issue,issue,22
/.,/.,P
il,il,51
regardait,regarder,18
le,le,71
fin,fin,30
profil,profil,21
d',de,81
Annette,Annette,20
et,et,82
il,il,51
voyait,voir,18
le,le,71
marquis,marquis,21
de,de,81
Farandal,Farandal,20
",",",",p
assis,assis,31
derrière,derrière,81
elle,il,51
",",",",p
qui,qui,52
la,le,52
contemplait,contempler,18
aussi,aussi,60
/.,/.,P
il,il,51
se,se,51
sentait,sentir,18
vieux,vieux,30
",",",",p
fini,fini,31
",",",",p
perdu,perdu,31
/!,/!,P
ah,ah,93
!,!,p
ne,ne,60
plus,plus,60
rien,rien,52
attendre,attendre,14
",",",",p
ne,ne,60
plus,plus,60
rien,rien,52
espérer,espérer,14
",",",",p
n',ne,60
avoir,avoir,14
plus,plus,60
même,même,60
le,le,71
droit,droit,21
de,de,81
désirer,désirer,14
",",",",p
se,se,51
sentir,sentir,14
déclassé,déclassé,31
",",",",p
à,à,81
la,le,71
retraite,retraite,22
de,de,81
la,le,71
vie,vie,22
",",",",p
comme,comme,83
un,un,71
fonctionnaire,fonctionnaire,21
hors,hors,81
d',de,81
âge,âge,21
dont,dont,52
la,le,71
carrière,carrière,22
est,être,17
terminée,terminer,12
",",",",p
quelle,quel,75
intolérable,intolérable,30
torture,torture,22
/!,/!,P
des,de,81
des,le,71
applaudissements,applaudissement,21
éclatèrent,éclater,19
",",",",p
Montrosé,Montrosé,20
triomphait,triompher,18
déjà,déjà,60
/.,/.,P
et,et,82
Méphisto,Méphisto,20
Labarrière,Labarrière,20
jaillit,jaillir,19
du,de,81
du,le,71
sol,sol,21
/.,/.,P
Olivier,Olivier,20
",",",",p
qui,qui,52
ne,ne,60
l',le,52
avait,avoir,18
jamais,jamais,60
entendu,entendre,12
dans,dans,81
ce,ce,74
rôle,rôle,21
",",",",p
eut,avoir,19
une,un,71
reprise,reprise,22
d',de,81
attention,attention,22
/.,/.,P
le,le,71
souvenir,souvenir,21
d',de,81
Obin,Obin,20
",",",",p
si,si,60
dramatique,dramatique,30
avec,avec,81
sa,son,73
voix,voix,22
de,de,81
basse,basse,22
",",",",p
puis,puis,60
de,de,81
Faure,Faure,20
",",",",p
si,si,60
séduisant,séduisant,30
avec,avec,81
sa,son,73
voix,voix,22
de,de,81
baryton,baryton,21
",",",",p
vint,venir,19
le,le,52
distraire,distraire,14
quelques,quelque,75
instants,instant,21
/.,/.,P
mais,mais,82
soudain,soudain,60
",",",",p
une,un,71
phrase,phrase,22
chantée,chanté,31
par,par,81
Montrosé,Montrosé,20
",",",",p
avec,avec,81
une,un,71
irrésistible,irrésistible,30
puissance,puissance,22
",",",",p
l',le,52
émut,émouvoir,19
jusqu',jusque,81
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
Faust,Faust,20
disait,dire,18
à,à,81
Satan,Satan,20
:,:,p
je,je,51
veux,vouloir,17
un,un,71
trésor,trésor,21
qui,qui,52
les,le,52
contient,contenir,17
tous,tout,52
",",",",p
je,je,51
veux,vouloir,17
la,le,71
jeunesse,jeunesse,22
/.,/.,P
et,et,82
le,le,71
ténor,ténor,21
apparut,apparaître,19
en,en,81
pourpoint,pourpoint,21
de,de,81
soie,soie,22
",",",",p
l',le,71
épée,épée,22
au,à,81
au,le,71
côté,côté,21
",",",",p
une,un,71
toque,toque,22
à,à,81
plumes,plume,22
sur,sur,81
la,le,71
tête,tête,22
",",",",p
élégant,élégant,30
",",",",p
jeune,jeune,30
et,et,82
beau,beau,30
de,de,81
sa,son,73
beauté,beauté,22
maniérée,maniéré,30
de,de,81
chanteur,chanteur,21
/.,/.,P
un,un,71
murmure,murmure,21
s',se,51
éleva,élever,19
/.,/.,P
il,il,51
était,être,18
fort,fort,60
bien,bien,60
et,et,82
plaisait,plaire,18
aux,à,81
aux,le,71
femmes,femme,22
/.,/.,P
Olivier,Olivier,20
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
eut,avoir,19
un,un,71
frisson,frisson,21
de,de,81
désappointement,désappointement,21
",",",",p
car,car,82
l',le,71
évocation,évocation,22
poignante,poignant,30
du,de,81
du,le,71
poème,poème,21
dramatique,dramatique,30
de,de,81
Goethe,Goethe,20
disparaissait,disparaître,18
dans,dans,81
cette,ce,74
métamorphose,métamorphose,22
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
désormais,désormais,60
devant,devant,81
les,le,71
yeux,oeil,21
qu',que,83
une,un,71
féerie,féerie,22
pleine,plein,30
de,de,81
jolis,joli,30
morceaux,morceau,21
chantés,chanté,31
",",",",p
et,et,82
des,de,81
des,le,71
acteurs,acteur,21
de,de,81
talent,talent,21
dont,dont,52
il,il,51
n',ne,60
écoutait,écouter,18
plus,plus,60
que,que,83
la,le,71
voix,voix,22
/.,/.,P
cet,ce,74
homme,homme,21
en,en,81
pourpoint,pourpoint,21
ce,ce,74
joli,joli,30
garçon,garçon,21
à,à,81
roulades,roulade,22
",",",",p
qui,qui,52
montrait,montrer,18
ses,son,73
cuisses,cuisse,22
et,et,82
ses,son,73
notes,note,22
",",",",p
lui,lui,51
déplaisait,déplaire,18
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
point,point,60
le,le,71
vrai,vrai,30
",",",",p
l',le,71
irrésistible,irrésistible,30
et,et,82
sinistre,sinistre,30
chevalier,chevalier,21
Faust,Faust,20
",",",",p
celui,celui,52
qui,qui,52
allait,aller,18
séduire,séduire,14
Marguerite,Marguerite,20
/.,/.,P
il,il,51
se,se,51
rassit,rasseoir,19
",",",",p
et,et,82
la,le,71
phrase,phrase,22
qu',que,52
il,il,51
venait,venir,18
d',de,81
entendre,entendre,14
lui,lui,51
revint,revenir,19
à,à,81
la,le,71
mémoire,mémoire,22
:,:,p
je,je,51
veux,vouloir,17
un,un,71
trésor,trésor,21
qui,qui,52
les,le,52
contient,contenir,17
tous,tout,52
",",",",p
je,je,51
veux,vouloir,17
la,le,71
jeunesse,jeunesse,22
/.,/.,P
il,il,51
la,le,52
murmurait,murmurer,18
entre,entre,81
ses,son,73
dents,dent,22
",",",",p
la,le,52
chantait,chanter,18
douloureusement,douloureusement,60
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
âme,âme,22
",",",",p
et,et,82
",",",",p
les,le,71
yeux,oeil,21
toujours,toujours,60
fixés,fixé,31
sur,sur,81
la,le,71
nuque,nuque,22
blonde,blond,30
d',de,81
Annette,Annette,20
qui,qui,52
surgissait,surgir,18
dans,dans,81
la,le,71
baie,baie,22
carrée,carré,31
de,de,81
la,le,71
loge,loge,22
",",",",p
il,il,51
sentait,sentir,18
en,en,81
lui,lui,51
toute,tout,75
l',le,71
amertume,amertume,22
de,de,81
cet,ce,74
irréalisable,irréalisable,30
désir,désir,21
/.,/.,P
mais,mais,82
Montrosé,Montrosé,20
venait,venir,18
de,de,81
finir,finir,14
le,le,71
premier,premier,72
acte,acte,21
avec,avec,81
une,un,71
telle,tel,75
perfection,perfection,22
que,que,83
l',le,71
enthousiasme,enthousiasme,21
éclata,éclater,19
/.,/.,P
pendant,pendant,81
plusieurs,plusieurs,75
minutes,minute,22
",",",",p
le,le,71
bruit,bruit,21
des,de,81
des,le,71
applaudissements,applaudissement,21
",",",",p
des,de,81
des,le,71
pieds,pied,21
et,et,82
des,de,81
des,le,71
bravos,bravo,21
",",",",p
roula,rouler,19
dans,dans,81
la,le,71
salle,salle,22
comme,comme,83
un,un,71
orage,orage,21
/.,/.,P
on,on,51
voyait,voir,18
dans,dans,81
toutes,tout,75
les,le,71
loges,loge,22
les,le,71
femmes,femme,22
battre,battre,14
leurs,leur,73
gants,gant,21
l',le,71
un,un,52
contre,contre,81
l',le,71
autre,autre,52
",",",",p
tandis que,tandis que,83
les,le,71
hommes,homme,21
",",",",p
debout,debout,60
derrière,derrière,81
elles,ils,51
",",",",p
criaient,crier,18
en,en,81
claquant,claquer,13
des,de,81
des,le,71
mains,main,22
/.,/.,P
la,le,71
toile,toile,22
tomba,tomber,19
",",",",p
et,et,82
se,se,51
releva,relever,19
deux,deux,72
fois,fois,22
de,de,81
suite,suite,22
sans,sans,81
que,que,83
l',le,71
élan,élan,21
se,se,51
ralentît,ralentir,18
/.,/.,P
puis,puis,60
quand,quand,83
le,le,71
rideau,rideau,21
fut,être,19
baissé,baisser,12
pour,pour,81
la,le,71
troisième,troisième,72
fois,fois,22
",",",",p
séparant,séparer,13
du,de,81
du,le,71
public,public,21
la,le,71
scène,scène,22
et,et,82
les,le,71
loges,loge,22
intérieures,intérieur,30
",",",",p
la,le,71
duchesse,duchesse,22
et,et,82
Annette,Annette,20
continuèrent,continuer,19
encore,encore,60
à,à,81
applaudir,applaudir,14
quelques,quelque,75
instants,instant,21
",",",",p
et,et,82
furent,être,19
remerciées,remercier,12
spécialement,spécialement,60
par,par,81
un,un,71
petit,petit,30
salut,salut,21
discret,discret,30
que,que,52
leur,leur,52
envoya,envoyer,19
le,le,71
ténor,ténor,21
/.,/.,P
“,“,p
oh,oh,93
!,!,p
il,il,51
nous,nous,51
a,avoir,17
vues,voir,12
",",",",p
dit,dire,19
Annette,Annette,20
/.,/.,P
-,-,p
quel,quel,75
admirable,admirable,30
artiste,artiste,21
!,!,p
s',se,51
écria,écrier,19
la,le,71
duchesse,duchesse,22
/.,/.,P
et,et,82
Bertin,Bertin,20
",",",",p
qui,qui,52
s',se,51
était,être,18
penché,pencher,12
en,en,81
avant,avant,21
",",",",p
regardait,regarder,18
avec,avec,81
un,un,71
sentiment,sentiment,21
confus,confus,30
d',de,81
irritation,irritation,22
et,et,82
de,de,81
dédain,dédain,21
l',le,71
acteur,acteur,21
acclamé,acclamé,31
disparaître,disparaître,14
entre,entre,81
deux,deux,72
portants,portant,30
",",",",p
en,en,81
se,se,51
dandinant,dandiner,13
un,un,71
peu,peu,60
",",",",p
la,le,71
jambe,jambe,22
tendue,tendu,31
",",",",p
la,le,71
main,main,22
sur,sur,81
la,le,71
hanche,hanche,22
",",",",p
dans,dans,81
la,le,71
pose,pose,22
gardée,gardé,31
d',de,81
un,un,71
héros,héros,21
de,de,81
théâtre,théâtre,21
/.,/.,P
on,on,51
se,se,51
mit,mettre,19
à,à,81
parler,parler,14
de,de,81
lui,lui,51
/.,/.,P
ses,son,73
succès,succès,21
faisaient,faire,18
autant,autant,60
de,de,81
bruit,bruit,21
que,que,83
son,son,73
talent,talent,21
/.,/.,P
il,il,51
avait,avoir,18
passé,passer,12
dans,dans,81
toutes,tout,75
les,le,71
capitales,capitale,22
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
l',le,71
extase,extase,22
des,de,81
des,le,71
femmes,femme,22
qui,qui,52
",",",",p
le,le,52
sachant,savoir,13
d',de,81
avance,avance,22
irrésistible,irrésistible,30
",",",",p
avaient,avoir,18
des,de,81
des,le,71
battements,battement,21
de,de,81
coeur,coeur,21
en,en,81
le,le,52
voyant,voir,13
entrer,entrer,14
en,en,81
scène,scène,22
/.,/.,P
il,il,51
semblait,sembler,18
peu,peu,60
se,se,51
soucier,soucier,14
d',de,81
ailleurs,ailleurs,60
",",",",p
disait,dire,18
on,on,51
",",",",p
de,de,81
ce,ce,74
délire,délire,21
sentimental,sentimental,30
",",",",p
et,et,82
se,se,51
contentait,contenter,18
de,de,81
triomphes,triomphe,21
musicaux,musical,30
/.,/.,P
Musadieu,Musadieu,20
racontait,raconter,18
",",",",p
à,à,81
mots,mot,21
très,très,60
couverts,couvert,31
à,à,81
cause,cause,22
d',de,81
Annette,Annette,20
",",",",p
l',le,71
existence,existence,22
de,de,81
ce,ce,74
beau,beau,30
chanteur,chanteur,21
",",",",p
et,et,82
la,le,71
duchesse,duchesse,22
",",",",p
emballée,emballé,31
",",",",p
comprenait,comprendre,18
et,et,82
approuvait,approuver,18
toutes,tout,75
les,le,71
folies,folie,22
qu',que,52
il,il,51
avait,avoir,18
pu,pouvoir,12
faire,faire,14
naître,naître,14
",",",",p
tant,tant,60
elle,il,51
le,le,52
trouvait,trouver,18
séduisant,séduisant,30
",",",",p
élégant,élégant,30
",",",",p
distingué,distingué,31
et,et,82
musicien,musicien,21
exceptionnel,exceptionnel,30
/.,/.,P
et,et,82
elle,il,51
concluait,conclure,18
",",",",p
en,en,81
riant,rire,13
:,:,p
“,“,p
d',de,81
ailleurs,ailleurs,60
",",",",p
comment,comment,60
résister,résister,14
à,à,81
cette,ce,74
voix,voix,22
là,là,60
/!,/!,P
Olivier,Olivier,20
se,se,51
fâcha,fâcher,19
et,et,82
fut,être,19
amer,amer,30
/.,/.,P
il,il,51
ne,ne,60
comprenait,comprendre,18
pas,pas,60
",",",",p
vraiment,vraiment,60
",",",",p
qu',que,83
on,on,51
eût,avoir,19
du,de,81
du,le,71
goût,goût,21
pour,pour,81
un,un,71
cabotin,cabotin,21
",",",",p
pour,pour,81
cette,ce,74
perpétuelle,perpétuel,30
représentation,représentation,22
de,de,81
types,type,21
humains,humain,30
qu',que,52
il,il,51
n',ne,60
est,être,17
jamais,jamais,60
",",",",p
pour,pour,81
cette,ce,74
illusoire,illusoire,30
personnification,personnification,22
des,de,81
des,le,71
hommes,homme,21
rêvés,rêvé,31
",",",",p
pour,pour,81
ce,ce,74
mannequin,mannequin,21
nocturne,nocturne,30
et,et,82
fardé,fardé,31
qui,qui,52
joue,jouer,17
tous,tout,75
les,le,71
rôles,rôle,21
à,à,81
tant,tant,60
par,par,81
soir,soir,21
/.,/.,P
“,“,p
vous,vous,51
êtes,être,17
jaloux,jaloux,30
d',de,81
eux,ils,51
",",",",p
dit,dire,19
la,le,71
duchesse,duchesse,22
/.,/.,P
vous,vous,51
autres,autre,30
",",",",p
hommes,homme,21
du,de,81
du,le,71
monde,monde,21
et,et,82
artistes,artiste,21
",",",",p
vous,vous,51
en,en,52
voulez,vouloir,17
tous,tout,52
aux,à,81
aux,le,71
acteurs,acteur,21
",",",",p
parce qu',parce que,83
ils,ils,51
ont,avoir,17
plus,plus,60
de,de,81
succès,succès,21
que,que,83
vous,vous,51
/.,/.,P
“,“,p
puis,puis,60
se,se,51
tournant,tourner,13
vers,vers,81
Annette,Annette,20
:,:,p
“,“,p
voyons,voir,17
",",",",p
petite,petite,22
",",",",p
toi,toi,51
qui,qui,52
entres,entrer,17
dans,dans,81
la,le,71
vie,vie,22
et,et,82
qui,qui,52
regardes,regarder,17
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
sains,sain,30
",",",",p
comment,comment,60
le,le,52
trouves,trouver,17
tu,tu,51
",",",",p
ce,ce,74
ténor,ténor,21
/?,/?,P
Annette,Annette,20
répondit,répondre,19
d',de,81
un,un,71
air,air,21
convaincu,convaincu,31
:,:,p
“,“,p
mais,mais,82
je,je,51
le,le,52
trouve,trouver,17
très,très,60
bien,bien,60
",",",",p
moi,moi,51
/.,/.,P
“,“,p
on,on,51
frappait,frapper,18
les,le,71
trois,trois,72
coups,coup,21
pour,pour,81
le,le,71
second,second,72
acte,acte,21
",",",",p
et,et,82
le,le,71
rideau,rideau,21
se,se,51
leva,lever,19
sur,sur,81
la,le,71
kermesse,kermesse,22
/.,/.,P
le,le,71
passage,passage,21
de,de,81
Helsson,Helsson,20
fut,être,19
superbe,superbe,30
/.,/.,P
elle,il,51
aussi,aussi,60
semblait,sembler,18
avoir,avoir,14
plus,plus,60
de,de,81
voix,voix,22
qu',que,83
autrefois,autrefois,60
et,et,82
la,le,52
manier,manier,14
avec,avec,81
une,un,71
sûreté,sûreté,22
plus,plus,60
complète,complet,30
/.,/.,P
elle,il,51
était,être,18
vraiment,vraiment,60
devenue,devenir,12
la,le,71
grande,grand,30
",",",",p
l',le,71
excellente,excellent,30
",",",",p
l',le,71
exquise,exquis,30
cantatrice,cantatrice,22
dont,dont,52
la,le,71
renommée,renommée,22
par,par,81
le,le,71
monde,monde,21
égalait,égaler,18
celles,celui,52
de,de,81
monsieur,monsieur,21
de,de,81
Bismarck,Bismarck,20
et,et,82
de,de,81
monsieur,monsieur,21
de,de,81
Lesseps,Lesseps,20
/.,/.,P
quand,quand,83
Faust,Faust,20
s',se,51
élança,élancer,19
vers,vers,81
elle,il,51
",",",",p
quand,quand,83
il,il,51
lui,lui,51
dit,dire,19
de,de,81
sa,son,73
voix,voix,22
ensorcelante,ensorcelant,30
la,le,71
phrase,phrase,22
si,si,60
pleine,plein,30
de,de,81
charme,charme,21
:,:,p
ne,ne,60
permettrez,permettre,15
vous,vous,51
pas,pas,60
",",",",p
ma,mon,73
belle,beau,30
demoiselle,demoiselle,22
",",",",p
qu',que,83
on,on,51
vous,vous,51
offre,offrir,17
le,le,71
bras,bras,21
",",",",p
pour,pour,81
faire,faire,14
le,le,71
chemin,chemin,21
/?,/?,P
et,et,82
lorsque,lorsque,83
la,le,71
blonde,blond,30
et,et,82
si,si,60
jolie,joli,30
et,et,82
si,si,60
émouvante,émouvant,30
Marguerite,Marguerite,20
lui,lui,51
répondit,répondre,19
:,:,p
non,non,60
",",",",p
monsieur,monsieur,21
",",",",p
je,je,51
ne,ne,60
suis,être,17
demoiselle,demoiselle,22
ni,ni,82
belle,belle,22
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
besoin,besoin,21
qu',que,83
on,on,51
me,je,51
donne,donner,17
la,le,71
main,main,22
/.,/.,P
la,le,71
salle,salle,22
entière,entier,30
fut,être,19
soulevée,soulever,12
par,par,81
un,un,71
immense,immense,30
frisson,frisson,21
de,de,81
plaisir,plaisir,21
/.,/.,P
les,le,71
acclamations,acclamation,22
",",",",p
quand,quand,83
le,le,71
rideau,rideau,21
tomba,tomber,19
",",",",p
furent,être,19
formidables,formidable,30
",",",",p
et,et,82
Annette,Annette,20
applaudit,applaudir,19
si,si,60
longtemps,longtemps,60
que,que,83
Bertin,Bertin,20
eut,avoir,19
envie,envie,22
de,de,81
lui,lui,51
saisir,saisir,14
les,le,71
mains,main,22
pour,pour,81
la,le,52
faire,faire,14
cesser,cesser,14
/.,/.,P
son,son,73
coeur,coeur,21
était,être,18
tordu,tordre,12
par,par,81
un,un,71
nouveau,nouveau,30
tourment,tourment,21
/.,/.,P
il,il,51
ne,ne,60
parla,parler,19
point,point,60
",",",",p
pendant,pendant,81
l',le,71
entracte,entracte,21
",",",",p
car,car,82
il,il,51
poursuivait,poursuivre,18
dans,dans,81
les,le,71
coulisses,coulisse,22
",",",",p
de,de,81
sa,son,73
pensée,pensée,22
fixe,fixe,30
devenue,devenu,31
