11939
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-sixième extrait>,<>,<>
Romains,Romain,20
",",",",p
et,et,82
il,il,51
cherchait,chercher,18
des,de,81
des,le,71
explications,explication,22
/.,/.,P
elles,ils,51
n',ne,60
étaient,être,18
pas,pas,60
à,à,81
lui,lui,51
/.,/.,P
beaucoup,beaucoup,60
servaient,servir,18
à,à,81
se,se,51
défendre,défendre,14
des,de,81
des,le,71
brigands,brigand,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
il,il,51
en,en,52
fallait,falloir,18
contre,contre,81
les,le,71
Arabes,Arabe,20
",",",",p
ou,ou,82
bien,bien,60
tout,tout,52
cela,cela,52
avait,avoir,18
appartenu,appartenir,12
à,à,81
son,son,73
père,père,21
",",",",p
-,-,p
et,et,82
au,à,81
au,le,71
lieu,lieu,21
de,de,81
marcher,marcher,14
derrière,derrière,81
le,le,71
proconsul,proconsul,21
",",",",p
il,il,51
allait,aller,18
devant,devant,81
à,à,81
pas,pas,21
rapides,rapide,30
/.,/.,P
puis,puis,60
il,il,51
se,se,51
rangea,ranger,19
le,le,71
long,long,21
du,de,81
du,le,71
mur,mur,21
",",",",p
qu',que,52
il,il,51
masquait,masquer,18
de,de,81
sa,son,73
toge,toge,22
",",",",p
avec,avec,81
ses,son,73
deux,deux,72
coudes,coude,21
écartés,écarté,31
/.,/.,P
mais,mais,82
le,le,71
haut,haut,21
d',de,81
une,un,71
porte,porte,22
dépassait,dépasser,18
sa,son,73
tête,tête,22
/.,/.,P
Vitellius,Vitellius,20
la,le,52
remarqua,remarquer,19
",",",",p
et,et,82
voulut,vouloir,19
savoir,savoir,14
ce,ce,52
qu',que,52
elle,il,51
enfermait,enfermer,18
/.,/.,P
le,le,71
Babylonien,Babylonien,20
pouvait,pouvoir,18
seul,seul,30
l',le,52
ouvrir,ouvrir,14
/.,/.,P
-,-,p
“,“,p
appelle,appeler,17
le,le,71
Babylonien,Babylonien,20
/!,/!,P
on,on,51
l',le,52
attendit,attendre,19
/.,/.,P
son,son,73
père,père,21
était,être,18
venu,venir,12
des,de,81
des,le,71
bords,bord,21
de,de,81
l',le,71
Euphrate,Euphrate,20
",",",",p
s',se,51
offrir,offrir,14
au,à,81
au,le,71
grand,grand,30
Hérode,Hérode,20
avec,avec,81
cinq,cinq,72
cents,cent,72
cavaliers,cavalier,21
",",",",p
pour,pour,81
défendre,défendre,14
les,le,71
frontières,frontière,22
orientales,oriental,30
/.,/.,P
après,après,81
le,le,71
partage,partage,21
du,de,81
du,le,71
royaume,royaume,21
",",",",p
Iaçim,Iaçim,20
était,être,18
demeuré,demeurer,12
chez,chez,81
Philippe,Philippe,20
",",",",p
et,et,82
maintenant,maintenant,60
servait,servir,18
Antipas,Antipas,20
/.,/.,P
il,il,51
se,se,51
présenta,présenter,19
un,un,71
arc,arc,21
sur,sur,81
l',le,71
épaule,épaule,22
",",",",p
un,un,71
fouet,fouet,21
à,à,81
la,le,71
main,main,22
/.,/.,P
des,de,81
des,le,71
cordons,cordon,21
multicolores,multicolore,30
serraient,serrer,18
étroitement,étroitement,60
ses,son,73
jambes,jambe,22
torses,torse,21
/.,/.,P
ses,son,73
gros,gros,30
bras,bras,21
sortaient,sortir,18
d',de,81
une,un,71
tunique,tunique,22
sans,sans,81
manches,manche,22
",",",",p
et,et,82
un,un,71
bonnet,bonnet,21
de,de,81
fourrure,fourrure,22
ombrageait,ombrager,18
sa,son,73
mine,mine,22
",",",",p
dont,dont,52
la,le,71
barbe,barbe,22
était,être,18
frisée,friser,12
en,en,81
anneaux,anneau,21
/.,/.,P
d'abord,d'abord,60
il,il,51
eut,avoir,19
l',le,71
air,air,21
de,de,81
ne,ne,60
pas,pas,60
comprendre,comprendre,14
l',le,71
interprète,interprète,21
/.,/.,P
mais,mais,82
Vitellius,Vitellius,20
lança,lancer,19
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
à,à,81
Antipas,Antipas,20
",",",",p
qui,qui,52
répéta,répéter,19
tout,tout,60
de,de,81
suite,suite,22
son,son,73
commandement,commandement,21
/.,/.,P
alors,alors,60
Iaçim,Iaçim,20
appliqua,appliquer,19
ses,son,73
deux,deux,72
mains,main,22
contre,contre,81
la,le,71
porte,porte,22
/.,/.,P
elle,il,51
glissa,glisser,19
dans,dans,81
le,le,71
mur,mur,21
/.,/.,P
un,un,71
souffle,souffle,21
d',de,81
air,air,21
chaud,chaud,30
s',se,51
exhala,exhaler,19
des,de,81
des,le,71
ténèbres,ténèbre,22
/.,/.,P
une,un,71
allée,allée,22
descendait,descendre,18
en,en,81
tournant,tourner,13
/.,/.,P
ils,ils,51
la,le,52
prirent,prendre,19
et,et,82
arrivèrent,arriver,19
au,à,81
au,le,71
seuil,seuil,21
d',de,81
une,un,71
grotte,grotte,22
",",",",p
plus,plus,60
étendue,étendu,31
que,que,83
les,le,71
autres,autre,75
souterrains,souterrain,21
/.,/.,P
une,un,71
arcade,arcade,22
s',se,51
ouvrait,ouvrir,18
au,à,81
au,le,71
fond,fond,21
",",",",p
sur,sur,81
le,le,71
précipice,précipice,21
",",",",p
qui,qui,52
de,de,81
ce,ce,74
côté,côté,21
là,là,60
défendait,défendre,18
la,le,71
citadelle,citadelle,22
/.,/.,P
un,un,71
chèvrefeuille,chèvrefeuille,21
",",",",p
se,se,51
cramponnant,cramponner,13
à,à,81
la,le,71
voûte,voûte,22
",",",",p
laissait,laisser,18
retomber,retomber,14
ses,son,73
fleurs,fleur,22
en,en,81
pleine,plein,30
lumière,lumière,22
/.,/.,P
à,à,81
ras,ras,21
du,de,81
du,le,71
sol,sol,21
",",",",p
un,un,71
filet,filet,21
d',de,81
eau,eau,22
murmurait,murmurer,18
/.,/.,P
des,de,81
des,le,71
chevaux,cheval,21
blancs,blanc,30
étaient,être,18
là,là,60
",",",",p
-,-,p
une,un,71
centaine,centaine,22
peut-être,peut-être,60
",",",",p
et,et,82
qui,qui,52
mangeaient,manger,18
de,de,81
l',le,71
orge,orge,22
sur,sur,81
une,un,71
planche,planche,22
au,à,81
au,le,71
niveau,niveau,21
de,de,81
leur,leur,73
bouche,bouche,22
/.,/.,P
ils,ils,51
avaient,avoir,18
tous,tout,52
la,le,71
crinière,crinière,22
peinte,peint,31
de,de,81
bleu,bleu,21
",",",",p
les,le,71
sabots,sabot,21
dans,dans,81
des,de,81
des,le,71
mitaines,mitaine,22
de,de,81
sparterie,sparterie,22
",",",",p
et,et,82
les,le,71
poils,poil,21
d',de,81
entre,entre,81
les,le,71
oreilles,oreille,22
bouffant,bouffer,13
sur,sur,81
le,le,71
frontal,frontal,30
comme,comme,83
une,un,71
perruque,perruque,22
/.,/.,P
avec,avec,81
leur,leur,73
queue,queue,22
très,très,60
longue,long,30
",",",",p
ils,ils,51
se,se,51
battaient,battre,18
mollement,mollement,60
les,le,71
jarrets,jarret,21
/.,/.,P
le,le,71
proconsul,proconsul,21
en,en,52
resta,rester,19
muet,muet,30
d',de,81
admiration,admiration,22
/.,/.,P
c',ce,52
étaient,être,18
de,de,81
merveilleuses,merveilleux,30
bêtes,bête,22
",",",",p
souples,souple,30
comme,comme,83
des,de,81
des,le,71
serpents,serpent,21
",",",",p
légères,léger,30
comme,comme,83
des,de,81
des,le,71
oiseaux,oiseau,21
/.,/.,P
elles,ils,51
partaient,partir,18
avec,avec,81
la,le,71
flèche,flèche,22
du,de,81
du,le,71
cavalier,cavalier,21
",",",",p
renversaient,renverser,18
les,le,71
hommes,homme,21
en,en,81
les,le,52
mordant,mordre,13
au,à,81
au,le,71
ventre,ventre,21
",",",",p
se,se,51
tiraient,tirer,18
de,de,81
l',le,71
embarras,embarras,21
des,de,81
des,le,71
rochers,rocher,21
",",",",p
sautaient,sauter,18
par-dessus,par-dessus,60
des,de,81
des,le,71
abîmes,abîme,21
",",",",p
et,et,82
pendant,pendant,81
tout,tout,75
un,un,71
jour,jour,21
continuaient,continuer,18
dans,dans,81
les,le,71
plaines,plaine,22
leur,leur,73
galop,galop,21
frénétique,frénétique,30
;,;,p
un,un,71
mot,mot,21
les,le,52
arrêtait,arrêter,18
/.,/.,P
dès,dès,81
que,que,83
Iaçim,Iaçim,20
entra,entrer,19
",",",",p
elles,ils,51
vinrent,venir,19
à,à,81
lui,lui,51
comme,comme,83
des,de,81
des,le,71
moutons,mouton,21
quand,quand,83
paraît,paraître,17
le,le,71
berger,berger,21
;,;,p
et,et,82
avançant,avancer,13
leur,leur,73
encolure,encolure,22
",",",",p
elles,ils,51
le,le,52
regardaient,regarder,18
inquiètes,inquiet,30
avec,avec,81
leurs,leur,73
yeux,oeil,21
d',de,81
enfant,enfant,21
/.,/.,P
par,par,81
habitude,habitude,22
",",",",p
il,il,51
lança,lancer,19
du,de,81
du,le,71
fond,fond,21
de,de,81
sa,son,73
gorge,gorge,22
un,un,71
cri,cri,21
rauque,rauque,30
qui,qui,52
les,le,52
mit,mettre,19
en,en,81
gaieté,gaieté,22
et,et,82
-,-,p
elles,ils,51
se,se,51
cabraient,cabrer,18
",",",",p
affamées,affamé,31
d',de,81
espace,espace,21
",",",",p
demandant,demander,13
à,à,81
courir,courir,14
/.,/.,P
Antipas,Antipas,20
",",",",p
de,de,81
peur,peur,22
que,que,83
Vitellius,Vitellius,20
.,.,p
les,le,52
enlevât,enlever,18
",",",",p
les,le,52
avait,avoir,18
emprisonnées,emprisonner,12
dans,dans,81
cet,ce,74
endroit,endroit,21
",",",",p
spécial,spécial,30
pour,pour,81
les,le,71
animaux,animal,21
",",",",p
en,en,81
cas,cas,21
de,de,81
siège,siège,21
/.,/.,P
-,-,p
“,“,p
l',le,71
écurie,écurie,22
est,être,17
mauvaise,mauvais,30
“,“,p
",",",",p
dit,dire,19
le,le,71
proconsul,proconsul,21
",",",",p
“,“,p
et,et,82
tu,tu,51
risques,risquer,17
de,de,81
les,le,52
perdre,perdre,14
/!,/!,P
fais,faire,17
l',le,71
inventaire,inventaire,21
",",",",p
Sisenna,Sisenna,20
/!,/!,P
le,le,71
publicain,publicain,21
retira,retirer,19
une,un,71
tablette,tablette,22
de,de,81
sa,son,73
ceinture,ceinture,22
",",",",p
compta,compter,19
les,le,71
chevaux,cheval,21
et,et,82
les,le,52
inscrivit,inscrire,19
/.,/.,P
les,le,71
agents,agent,21
des,de,81
des,le,71
compagnies,compagnie,22
fiscales,fiscal,30
corrompaient,corrompre,18
les,le,71
gouverneurs,gouverneur,21
",",",",p
pour,pour,81
piller,piller,14
les,le,71
provinces,province,22
/.,/.,P
celui-là,celui-là,52
flairait,flairer,18
partout,partout,60
",",",",p
avec,avec,81
sa,son,73
mâchoire,mâchoire,22
de,de,81
fouine,fouine,22
et,et,82
ses,son,73
paupières,paupière,22
clignotantes,clignotant,30
/.,/.,P
enfin,enfin,60
",",",",p
on,on,51
remonta,remonter,19
dans,dans,81
la,le,71
cour,cour,22
/.,/.,P
des,de,81
des,le,71
rondelles,rondelle,22
de,de,81
bronze,bronze,21
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
pavés,pavé,21
",",",",p
çà,çà,60
et,et,82
là,là,60
",",",",p
couvraient,couvrir,18
les,le,71
citernes,citerne,22
/.,/.,P
il,il,51
en,en,52
observa,observer,19
une,un,52
",",",",p
plus,plus,60
grande,grand,30
que,que,83
les,le,71
autres,autre,52
",",",",p
et,et,82
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
sous,sous,81
les,le,71
talons,talon,21
leur,leur,73
sonorité,sonorité,22
/.,/.,P
il,il,51
les,le,52
frappa,frapper,19
toutes,tout,52
",",",",p
alternativement,alternativement,60
",",",",p
puis,puis,60
hurla,hurler,19
",",",",p
en,en,81
piétinant,piétiner,13
:,:,p
-,-,p
“,“,p
je,je,51
l',le,52
ai,avoir,17
!,!,p
je,je,51
l',le,52
ai,avoir,17
/!,/!,P
c',ce,52
est,être,17
ici,ici,60
",",",",p
le,le,71
trésor,trésor,21
d',de,81
Hérode,Hérode,20
/!,/!,P
la,le,71
recherche,recherche,22
de,de,81
ses,son,73
trésors,trésor,21
était,être,18
une,un,71
folie,folie,22
des,de,81
des,le,71
Romains,Romain,20
/.,/.,P
ils,ils,51
n',ne,60
existaient,exister,18
pas,pas,60
",",",",p
jura,jurer,19
le,le,71
Tétrarque,Tétrarque,20
/.,/.,P
cependant,cependant,82
qu',que,83
y,y,52
avait,avoir,18
il,il,51
là-dessous,là-dessous,60
/?,/?,P
rien,rien,52
!,!,p
un,un,71
homme,homme,21
",",",",p
un,un,71
prisonnier,prisonnier,21
/.,/.,P
-,-,p
“,“,p
montre,montrer,17
le,le,71
!,!,p
dit,dire,19
Vitellius,Vitellius,20
/.,/.,P
le,le,71
Tétrarque,Tétrarque,20
n',ne,60
obéit,obéir,17
pas,pas,60
;,;,p
les,le,71
Juifs,Juif,20
auraient,avoir,16
connu,connaître,12
son,son,73
secret,secret,21
/.,/.,P
sa,son,73
répugnance,répugnance,22
à,à,81
ouvrir,ouvrir,14
la,le,71
rondelle,rondelle,22
impatientait,impatienter,18
Vitellius,Vitellius,20
/.,/.,P
-,-,p
“,“,p
enfoncez,enfoncer,17
la,le,52
!,!,p
cria,crier,19
t,t,94
il,il,51
aux,à,81
aux,le,71
licteurs,licteur,21
/.,/.,P
Mannaëi,Mannaëi,20
avait,avoir,18
deviné,deviner,12
ce,ce,52
qui,qui,52
les,le,52
occupait,occuper,18
/.,/.,P
il,il,51
crut,croire,19
",",",",p
en,en,81
voyant,voir,13
une,un,71
hache,hache,22
",",",",p
qu',que,83
on,on,51
allait,aller,18
décapiter,décapiter,14
Iaokanann,Iaokanann,20
;,;,p
et,et,82
il,il,51
arrêta,arrêter,19
le,le,71
licteur,licteur,21
au,à,81
au,le,71
premier,premier,72
coup,coup,21
sur,sur,81
la,le,71
plaque,plaque,22
",",",",p
insinua,insinuer,19
entre,entre,81
elle,il,51
et,et,82
les,le,71
pavés,pavé,21
une,un,71
manière,manière,22
de,de,81
crochet,crochet,21
",",",",p
puis,puis,60
roidissant,roidir,13
ses,son,73
longs,long,30
bras,bras,21
maigres,maigre,30
",",",",p
la,le,52
souleva,soulever,19
doucement,doucement,60
",",",",p
elle,il,51
s',se,51
abattit,abattre,19
;,;,p
tous,tout,52
admirèrent,admirer,19
la,le,71
force,force,22
de,de,81
ce,ce,74
vieillard,vieillard,21
/.,/.,P
sous,sous,81
le,le,71
couvercle,couvercle,21
doublé,doublé,31
de,de,81
bois,bois,21
",",",",p
s',se,51
étendait,étendre,18
une,un,71
trappe,trappe,22
de,de,81
même,même,75
dimension,dimension,22
/.,/.,P
d',de,81
un,un,71
coup,coup,21
de,de,81
poing,poing,21
",",",",p
elle,il,51
se,se,51
replia,replier,19
en,en,81
deux,deux,72
panneaux,panneau,21
;,;,p
on,on,51
vit,voir,19
alors,alors,60
un,un,71
trou,trou,21
",",",",p
une,un,71
fosse,fosse,22
énorme,énorme,30
que,que,52
contournait,contourner,18
un,un,71
escalier,escalier,21
sans,sans,81
rampe,rampe,22
;,;,p
-,-,p
et,et,82
ceux,celui,52
qui,qui,52
se,se,51
penchèrent,pencher,19
sur,sur,81
le,le,71
bord,bord,21
aperçurent,apercevoir,19
au,à,81
au,le,71
fond,fond,21
quelque,quelque,75
chose,chose,22
de,de,81
vague,vague,30
et,et,82
d',de,81
effrayant,effrayant,30
/.,/.,P
un,un,71
être,être,21
humain,humain,30
était,être,18
couché,coucher,12
par,par,81
terre,terre,22
",",",",p
sous,sous,81
de,de,81
longs,long,30
cheveux,cheveu,21
se,se,51
confondant,confondre,13
avec,avec,81
les,le,71
poils,poil,21
de,de,81
bête,bête,22
qui,qui,52
garnissaient,garnir,18
son,son,73
dos,dos,21
/.,/.,P
il,il,51
se,se,51
leva,lever,19
/.,/.,P
son,son,73
front,front,21
touchait,toucher,18
à,à,81
une,un,71
grille,grille,22
horizontalement,horizontalement,60
scellée,scellé,31
-,-,p
et,et,82
de,de,81
temps,temps,21
à,à,81
autre,autre,52
ils,ils,51
disparaissaient,disparaître,18
dans,dans,81
les,le,71
profondeurs,profondeur,22
de,de,81
son,son,73
antre,antre,21
/.,/.,P
le,le,71
soleil,soleil,21
faisait,faire,18
briller,briller,14
la,le,71
pointe,pointe,22
des,de,81
des,le,71
tiares,tiare,22
",",",",p
le,le,71
pommeau,pommeau,21
des,de,81
des,le,71
glaives,glaive,21
",",",",p
chauffait,chauffer,18
à,à,81
outrance,outrance,22
les,le,71
dalles,dalle,22
",",",",p
-,-,p
et,et,82
des,de,81
des,le,71
colombes,colombe,22
",",",",p
s',se,51
envolant,envoler,13
des,de,81
des,le,71
frises,frise,22
",",",",p
tournoyaient,tournoyer,18
au-dessus,au-dessus,60
de,de,81
la,le,71
cour,cour,22
/.,/.,P
c',ce,52
était,être,18
l',le,71
heure,heure,22
où,où,60
Mannaëi,Mannaëi,20
ordinairement,ordinairement,60
leur,leur,52
jetait,jeter,18
du,de,81
du,le,71
grain,grain,21
/.,/.,P
il,il,51
se,se,51
tenait,tenir,18
accroupi,accroupi,31
devant,devant,81
le,le,71
Tétrarque,Tétrarque,20
",",",",p
qui,qui,52
était,être,18
debout,debout,60
près,près,81
de,de,81
Vitellius,Vitellius,20
/.,/.,P
les,le,71
Galiléens,Galiléens,20
",",",",p
les,le,71
prêtres,prêtre,21
",",",",p
les,le,71
soldats,soldat,21
",",",",p
formaient,former,18
un,un,71
cercle,cercle,21
par-derrière,par-derrière,60
",",",",p
et,et,82
tous,tout,52
se,se,51
taisaient,taire,18
",",",",p
dans,dans,81
l',le,71
angoisse,angoisse,22
de,de,81
ce,ce,52
qui,qui,52
allait,aller,18
arriver,arriver,14
/.,/.,P
ce,ce,52
fut,être,19
d'abord,d'abord,60
un,un,71
grand,grand,30
soupir,soupir,21
",",",",p
poussé,poussé,31
d',de,81
une,un,71
voix,voix,22
caverneuse,caverneux,30
/.,/.,P
Hérodias,Hérodias,20
l',le,52
entendit,entendre,19
à,à,81
l',le,71
autre,autre,75
bout,bout,21
du,de,81
du,le,71
palais,palais,21
/.,/.,P
vaincue,vaincu,22
par,par,81
une,un,71
fascination,fascination,22
",",",",p
elle,il,51
traversa,traverser,19
la,le,71
foule,foule,22
;,;,p
-,-,p
et,et,82
elle,il,51
écoutait,écouter,18
",",",",p
une,un,71
main,main,22
sur,sur,81
l',le,71
épaule,épaule,22
de,de,81
Mannaëi,Mannaëi,20
",",",",p
le,le,71
corps,corps,21
incliné,incliné,31
/.,/.,P
la,le,71
voix,voix,22
s',se,51
éleva,élever,19
/.,/.,P
-,-,p
“,“,p
malheur,malheur,21
à,à,81
vous,vous,51
",",",",p
Pharisiens,Pharisiens,20
et,et,82
Sadducéens,Sadducéens,20
",",",",p
race,race,22
de,de,81
vipères,vipère,22
",",",",p
outres,outre,22
gonflées,gonflé,31
",",",",p
cymbales,cymbale,22
retentissantes,retentissant,30
/!,/!,P
on,on,51
avait,avoir,18
reconnu,reconnaître,12
Iaokanann,Iaokanann,20
/.,/.,P
son,son,73
nom,nom,21
circulait,circuler,18
/.,/.,P
d',de,81
autres,autre,52
accoururent,accourir,19
/.,/.,P
“,“,p
malheur,malheur,21
à,à,81
toi,toi,51
",",",",p
ô,oh,93
peuple,peuple,21
!,!,p
et,et,82
aux,à,81
aux,le,71
traîtres,traître,21
de,de,81
Juda,Juda,20
",",",",p
aux,à,81
aux,le,71
ivrognes,ivrogne,21
d',de,81
Ephraïm,Ephraïm,20
",",",",p
à,à,81
ceux,celui,52
qui,qui,52
habitent,habiter,17
la,le,71
vallée,vallée,22
grasse,gras,30
",",",",p
et,et,82
que,que,52
les,le,71
vapeurs,vapeur,21
du,de,81
du,le,71
vin,vin,21
font,faire,17
chanceler,chanceler,14
/!,/!,P
qu',que,52
ils,ils,51
se,se,51
dissipent,dissiper,17
comme,comme,83
l',le,71
eau,eau,22
qui,qui,52
s',se,51
écoule,écouler,17
",",",",p
comme,comme,83
la,le,71
limace,limace,22
qui,qui,52
se,se,51
fond,fondre,17
en,en,52
marchent,marcher,17
",",",",p
comme,comme,83
l',le,71
avorton,avorton,21
d',de,81
une,un,71
femme,femme,22
qui,qui,52
ne,ne,60
voit,voir,17
pas,pas,60
le,le,71
soleil,soleil,21
/.,/.,P
il,il,51
faudra,falloir,15
",",",",p
Moab,Moab,20
",",",",p
te,tu,51
réfugier,réfugier,14
dans,dans,81
les,le,71
cyprès,cyprès,21
comme,comme,83
les,le,71
passereaux,passereau,21
",",",",p
dans,dans,81
les,le,71
cavernes,caverne,22
comme,comme,83
les,le,71
gerboises,gerboise,22
/.,/.,P
les,le,71
portes,porte,22
des,de,81
des,le,71
forteresses,forteresse,22
seront,être,15
plus,plus,60
vite,vite,60
brisées,briser,12
que,que,83
des,de,81
des,le,71
écailles,écaille,22
de,de,81
noix,noix,22
",",",",p
les,le,71
murs,mur,21
crouleront,crouler,15
",",",",p
les,le,71
villes,ville,22
brûleront,brûler,15
/.,/.,P
-,-,p
et,et,82
le,le,71
fléau,fléau,21
de,de,81
l',le,71
éternel,éternel,30
ne,ne,60
s',se,51
arrêtera,arrêter,15
pas,pas,60
/!,/!,P
il,il,51
retournera,retourner,15
vos,votre,73
membres,membre,21
dans,dans,81
votre,votre,73
sang,sang,21
",",",",p
comme,comme,83
de,de,81
la,le,71
laine,laine,22
dans,dans,81
la,le,71
cuve,cuve,22
d',de,81
un,un,71
teinturier,teinturier,21
/.,/.,P
il,il,51
vous,vous,51
pilera,piler,15
comme,comme,83
du,de,81
du,le,71
grain,grain,21
/!,/!,P
il,il,51
vous,vous,51
déchirera,déchirer,15
comme,comme,83
une,un,71
herse,herse,22
neuve,neuf,30
/!,/!,P
il,il,51
répandra,répandre,15
sur,sur,81
les,le,71
montagnes,montagne,22
tous,tout,75
les,le,71
morceaux,morceau,21
de,de,81
votre,votre,73
chair,chair,22
/.,/.,P
“,“,p
de,de,81
quel,quel,75
conquérant,conquérant,21
parlait,parler,18
il,il,51
/?,/?,P
était,être,18
ce,ce,52
Vitellius,Vitellius,20
/?,/?,P
les,le,71
Romains,Romain,20
seuls,seul,30
pouvaient,pouvoir,18
produire,produire,14
cette,ce,74
extermination,extermination,22
/.,/.,P
des,de,81
des,le,71
plaintes,plainte,22
s',se,51
échappaient,échapper,18
/.,/.,P
-,-,p
“,“,p
assez,assez,60
!,!,p
assez,assez,60
!,!,p
qu',que,52
il,il,51
finisse,finir,18
/!,/!,P
il,il,51
continua,continuer,19
",",",",p
plus,plus,60
haut,haut,30
:,:,p
-,-,p
“,“,p
auprès,auprès,60
du,de,81
du,le,71
cadavre,cadavre,21
de,de,81
leurs,leur,73
mères,mère,22
les,le,71
petits,petit,30
enfants,enfant,21
se,se,51
traîneront,traîner,15
sur,sur,81
les,le,71
cendres,cendre,22
/.,/.,P
on,on,51
ira,aller,15
",",",",p
la,le,71
nuit,nuit,22
",",",",p
chercher,chercher,14
son,son,73
pain,pain,21
",",",",p
à,à,81
travers,travers,21
les,le,71
décombres,décombre,21
",",",",p
au,à,81
au,le,71
hasard,hasard,21
des,de,81
des,le,71
épées,épée,22
/.,/.,P
les,le,71
chacals,chacal,21
s',se,51
arracheront,arracher,15
des,de,81
des,le,71
ossements,ossement,21
sur,sur,81
les,le,71
places,place,22
publiques,public,30
où,où,60
le,le,71
soir,soir,21
",",",",p
les,le,71
vieillards,vieillard,21
causaient,causer,18
/.,/.,P
tes,ton,73
vierges,vierge,22
",",",",p
en,en,81
avalant,avaler,13
leurs,leur,73
pleurs,pleur,21
",",",",p
joueront,jouer,15
de,de,81
la,le,71
cithare,cithare,22
dans,dans,81
les,le,71
festins,festin,21
de,de,81
l',le,71
étranger,étranger,21
-,-,p
et,et,82
tes,ton,73
fils,fils,21
les,le,71
plus,plus,60
braves,brave,30
baisseront,baisser,15
leur,leur,73
échine,échine,22
",",",",p
écorchée,écorché,31
par,par,81
des,de,81
des,le,71
fardeaux,fardeau,21
trop,trop,60
lourds,lourd,30
/!,/!,P
le,le,71
peuple,peuple,21
revoyait,revoir,18
les,le,71
jours,jour,21
de,de,81
son,son,73
exil,exil,21
",",",",p
toutes,tout,75
les,le,71
catastrophes,catastrophe,22
de,de,81
son,son,73
histoire,histoire,22
/.,/.,P
c',ce,52
étaient,être,18
les,le,71
paroles,parole,22
des,de,81
des,le,71
anciens,ancien,30
Prophètes,Prophète,20
/.,/.,P
Iakonann,Iakonann,20
les,le,52
envoyait,envoyer,18
",",",",p
comme,comme,83
de,de,81
grands,grand,30
coups,coup,21
",",",",p
l',le,71
une,un,52
après,après,81
l',le,71
autre,autre,52
/.,/.,P
mais,mais,82
la,le,71
voix,voix,22
se,se,51
fit,faire,19
douce,doux,30
",",",",p
harmonieuse,harmonieux,30
",",",",p
chantante,chantant,30
/.,/.,P
il,il,51
annonçait,annoncer,18
un,un,71
affranchissement,affranchissement,21
",",",",p
des,de,81
des,le,71
splendeurs,splendeur,22
au,à,81
au,le,71
ciel,ciel,21
",",",",p
le,le,71
nouveau-né,nouveau-né,21
un,un,71
bras,bras,21
dans,dans,81
la,le,71
caverne,caverne,22
du,de,81
du,le,71
dragon,dragon,21
",",",",p
l',le,71
or,or,21
à,à,81
la,le,71
place,place,22
de,de,81
l',le,71
argile,argile,22
",",",",p
le,le,71
désert,désert,21
s',se,51
épanouissant,épanouir,13
comme,comme,83
une,un,71
rose,rose,22
/.,/.,P
“,“,p
ce,ce,52
qui,qui,52
maintenant,maintenant,60
vaut,valoir,17
soixante,soixante,72
Kiccars,Kiccars,20
ne,ne,60
coûtera,coûter,15
pas,pas,60
une,un,71
obole,obole,22
/.,/.,P
des,de,81
des,le,71
fontaines,fontaine,22
de,de,81
lait,lait,21
jailliront,jaillir,15
des,de,81
des,le,71
rochers,rocher,21
;,;,p
on,on,51
s',se,51
endormira,endormir,15
dans,dans,81
les,le,71
pressoirs,pressoir,21
le,le,71
ventre,ventre,21
plein,plein,30
/!,/!,P
quand,quand,83
viendras,venir,15
tu,tu,51
",",",",p
toi,toi,51
que,que,52
j',je,51
espère,espérer,17
/?,/?,P
d',de,81
avance,avance,22
",",",",p
tous,tout,75
les,le,71
peuples,peuple,21
s',se,51
agenouillent,agenouiller,17
-,-,p
et,et,82
ta,ton,73
domination,domination,22
sera,être,15
éternelle,éternel,30
",",",",p
fils,fils,21
de,de,81
David,David,20
“,“,p
le,le,71
Tétrarque,Tétrarque,20
se,se,51
rejeta,rejeter,19
en,en,81
arrière,arrière,21
-,-,p
l',le,71
existence,existence,22
d',de,81
un,un,71
fils,fils,21
de,de,81
David,David,20
l',le,71
outrageant,outrageant,30
comme,comme,83
une,un,71
menace,menace,22
/.,/.,P
Iaokonann,Iaokonann,20
l',le,52
invectiva,invectiver,19
pour,pour,81
sa,son,73
royauté,royauté,22
/.,/.,P
-,-,p
“,“,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
d',de,81
autre,autre,75
roi,roi,21
que,que,83
l',le,71
éternel,éternel,30
!,!,p
et,et,82
pour,pour,81
ses,son,73
jardins,jardin,21
",",",",p
pour,pour,81
ses,son,73
statues,statue,22
",",",",p
pour,pour,81
ses,son,73
théâtres,théâtre,21
",",",",p
pour,pour,81
ses,son,73
meubles,meuble,21
d',de,81
ivoire,ivoire,21
",",",",p
comme,comme,83
l',le,71
impie,impie,21
Achab,Achab,20
/!,/!,P
Antipas,Antipas,20
brisa,briser,19
la,le,71
cordelette,cordelette,22
du,de,81
du,le,71
cachet,cachet,21
suspendu,suspendu,31
à,à,81
sa,son,73
poitrine,poitrine,22
et,et,82
le,le,52
lança,lancer,19
dans,dans,81
la,le,71
fosse,fosse,22
en,en,81
lui,lui,51
commandant,commander,13
de,de,81
se,se,51
taire,taire,14
/.,/.,P
la,le,71
voix,voix,22
