-
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-cinquième extrait>,<>,<>
digne,digne,30
de,de,81
tout,tout,52
ce,ce,52
que,que,52
tu,tu,51
as,avoir,17
commis,commettre,12
de,de,81
mal,mal,21
contre,contre,81
moi,moi,51
depuis,depuis,81
neuf,neuf,72
ans,an,21
/.,/.,P
-,-,p
mes,mon,73
enfants,enfant,21
",",",",p
mes,mon,73
enfants,enfant,21
",",",",p
embrassez,embrasser,17
vous,vous,51
!,!,p
dit,dire,19
le,le,71
père,père,21
/.,/.,P
vous,vous,51
êtes,être,17
deux,deux,72
anges,ange,21
/.,/.,P
-,-,p
non,non,60
",",",",p
laissez,laisser,17
moi,moi,51
",",",",p
cria,crier,19
la,le,71
comtesse,comtesse,22
que,que,52
Goriot,Goriot,20
avait,avoir,18
prise,prendre,12
par,par,81
le,le,71
bras,bras,21
et,et,82
qui,qui,52
secoua,secouer,19
l',le,71
embrassement,embrassement,21
de,de,81
son,son,73
père,père,21
/.,/.,P
elle,il,51
a,avoir,17
moins,moins,60
de,de,81
pitié,pitié,22
pour,pour,81
moi,moi,51
que,que,83
n',ne,60
en,en,52
aurait,avoir,16
mon,mon,73
mari,mari,21
/.,/.,P
ne,ne,60
dirait,dire,16
on,on,51
pas,pas,60
qu',que,83
elle,il,51
est,être,17
l',le,71
image,image,22
de,de,81
toutes,tout,75
les,le,71
vertus,vertu,22
/!,/!,P
j',je,51
aime,aimer,17
encore,encore,60
mieux,mieux,60
passer,passer,14
pour,pour,81
devoir,devoir,21
de,de,81
l',le,71
argent,argent,21
à,à,81
monsieur,monsieur,21
de,de,81
Marsay,Marsay,20
que,que,83
d',de,81
avouer,avouer,14
que,que,83
monsieur,monsieur,21
de,de,81
Trailles,Trailles,20
me,je,51
coûte,coûter,17
plus,plus,60
de,de,81
deux,deux,72
cent,cent,72
mille,mille,72
francs,franc,21
",",",",p
répondit,répondre,19
madame,madame,22
de,de,81
Nucingen,Nucingen,20
/.,/.,P
-,-,p
Delphine,Delphine,20
!,!,p
cria,crier,19
la,le,71
comtesse,comtesse,22
en,en,81
faisant,faire,13
un,un,71
pas,pas,21
vers,vers,81
elle,il,51
/.,/.,P
-,-,p
je,je,51
te,tu,51
dis,dire,17
la,le,71
vérité,vérité,22
quand,quand,83
tu,tu,51
me,je,51
calomnies,calomnier,17
",",",",p
répliqua,répliquer,19
froidement,froidement,60
la,le,71
baronne,baronne,22
/.,/.,P
-,-,p
Delphine,Delphine,20
!,!,p
tu,tu,51
es,être,17
une,un,52
/…,/…,P
le,le,71
père,père,21
Goriot,Goriot,20
s',se,51
élança,élancer,19
",",",",p
retint,retenir,19
la,le,71
comtesse,comtesse,22
et,et,82
l',le,52
empêcha,empêcher,19
de,de,81
parler,parler,14
en,en,81
lui,lui,51
couvrant,couvrir,13
la,le,71
bouche,bouche,22
avec,avec,81
sa,son,73
main,main,22
/.,/.,P
-,-,p
mon,mon,73
dieu,dieu,21
!,!,p
mon,mon,73
père,père,21
",",",",p
à,à,81
quoi,quoi,52
donc,donc,82
avez,avoir,17
vous,vous,51
touché,toucher,12
ce,ce,74
matin,matin,21
?,?,p
lui,lui,51
dit,dire,19
Anastasie,Anastasie,20
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
oui,oui,60
",",",",p
j',je,51
ai,avoir,17
tort,tort,21
",",",",p
dit,dire,19
le,le,71
pauvre,pauvre,30
père,père,21
en,en,81
s',se,51
essuyant,essuyer,13
les,le,71
mains,main,22
à,à,81
son,son,73
pantalon,pantalon,21
/.,/.,P
mais,mais,82
je,je,51
ne,ne,60
savais,savoir,18
pas,pas,60
que,que,83
vous,vous,51
viendriez,venir,16
",",",",p
je,je,51
déménage,déménager,17
/.,/.,P
il,il,51
était,être,18
heureux,heureux,30
de,de,81
s',se,51
être,être,14
attiré,attirer,12
un,un,71
reproche,reproche,21
qui,qui,52
détournait,détourner,18
sur,sur,81
lui,lui,51
la,le,71
colère,colère,22
de,de,81
sa,son,73
fille,fille,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
reprit,reprendre,19
il,il,51
en,en,81
s',se,51
asseyant,asseoir,13
",",",",p
vous,vous,51
m',je,51
avez,avoir,17
fendu,fendre,12
le,le,71
coeur,coeur,21
/.,/.,P
je,je,51
me,je,51
meurs,mourir,17
",",",",p
mes,mon,73
enfants,enfant,21
/!,/!,P
le,le,71
crâne,crâne,21
me,je,51
cuit,cuire,17
intérieurement,intérieurement,60
comme,comme,83
s',si,83
il,il,51
avait,avoir,18
du,de,81
du,le,71
feu,feu,21
/.,/.,P
soyez,être,17
donc,donc,82
gentilles,gentil,30
",",",",p
aimez,aimer,17
vous,vous,51
bien,bien,60
/!,/!,P
vous,vous,51
me,je,51
feriez,faire,16
mourir,mourir,14
/.,/.,P
Delphine,Delphine,20
",",",",p
Nasie,Nasie,20
",",",",p
allons,aller,17
",",",",p
vous,vous,51
aviez,avoir,18
raison,raison,22
",",",",p
vous,vous,51
aviez,avoir,18
tort,tort,21
toutes,tout,75
les,le,71
deux,deux,72
/.,/.,P
voyons,voir,17
",",",",p
Dedel,Dedel,20
",",",",p
reprit,reprendre,19
il,il,51
en,en,81
portant,porter,13
sur,sur,81
la,le,71
baronne,baronne,22
des,de,81
des,le,71
yeux,oeil,21
pleins,plein,30
de,de,81
larmes,larme,22
",",",",p
il,il,51
lui,lui,51
faut,falloir,17
douze,douze,72
mille,mille,72
francs,franc,21
",",",",p
cherchons,chercher,17
les,le,52
/.,/.,P
ne,ne,60
vous,vous,51
regardez,regarder,17
pas,pas,60
comme,comme,83
ça,ça,52
/.,/.,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
genoux,genou,21
devant,devant,81
Delphine,Delphine,20
/.,/.,P
-,-,p
demande,demander,17
lui,lui,51
pardon,pardon,21
pour,pour,81
me,je,51
faire,faire,14
plaisir,plaisir,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
à,à,81
l',le,71
oreille,oreille,22
",",",",p
elle,il,51
est,être,17
la,le,71
plus,plus,60
malheureuse,malheureux,30
",",",",p
voyons,voir,17
/?,/?,P
ma,mon,73
pauvre,pauvre,30
Nasie,Nasie,20
",",",",p
dit,dire,19
Delphine,Delphine,20
épouvantée,épouvanté,31
de,de,81
la,le,71
sauvage,sauvage,30
et,et,82
folle,fou,30
expression,expression,22
que,que,52
la,le,71
douleur,douleur,22
imprimait,imprimer,18
sur,sur,81
le,le,71
visage,visage,21
de,de,81
son,son,73
père,père,21
",",",",p
j',je,51
ai,avoir,17
eu,avoir,12
tort,tort,21
",",",",p
embrasse,embrasser,17
moi,moi,51
/…,/…,P
-,-,p
ah,ah,93
!,!,p
vous,vous,51
me,je,51
mettez,mettre,17
du,de,81
du,le,71
baume,baume,21
sur,sur,81
le,le,71
coeur,coeur,21
",",",",p
cria,crier,19
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
mais,mais,82
où,où,60
trouver,trouver,14
douze,douze,72
mille,mille,72
francs,franc,21
/?,/?,P
si,si,83
je,je,51
me,je,51
proposais,proposer,18
comme,comme,83
remplaçant,remplaçant,21
/?,/?,P
ah,ah,93
!,!,p
mon,mon,73
père,père,21
!,!,p
dirent,dire,19
les,le,71
deux,deux,72
filles,fille,22
en,en,81
l',le,52
entourant,entourer,13
",",",",p
non,non,60
",",",",p
non,non,60
/.,/.,P
-,-,p
dieu,dieu,21
vous,vous,51
récompensera,récompenser,15
de,de,81
cette,ce,74
pensée,pensée,22
",",",",p
notre,notre,73
vie,vie,22
n',ne,60
y,y,52
suffirait,suffire,16
point,point,60
!,!,p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
Nasie,Nasie,20
?,?,p
reprit,reprendre,19
Delphine,Delphine,20
/.,/.,P
-,-,p
et,et,82
puis,puis,60
",",",",p
pauvre,pauvre,30
père,père,21
",",",",p
ce,ce,52
serait,être,16
une,un,71
goutte,goutte,22
d',de,81
eau,eau,22
",",",",p
fit,faire,19
observer,observer,14
la,le,71
comtesse,comtesse,22
/.,/.,P
-,-,p
mais,mais,82
on,on,51
ne,ne,60
peut,pouvoir,17
donc,donc,82
rien,rien,52
faire,faire,14
de,de,81
son,son,73
sang,sang,21
?,?,p
cria,crier,19
le,le,71
vieillard,vieillard,21
désespéré,désespéré,31
/.,/.,P
je,je,51
me,je,51
voue,vouer,17
à,à,81
celui,celui,52
qui,qui,52
te,tu,51
sauvera,sauver,15
",",",",p
Nasie,Nasie,20
!,!,p
je,je,51
tuerai,tuer,15
un,un,71
homme,homme,21
pour,pour,81
lui,lui,51
/.,/.,P
je,je,51
ferai,faire,15
comme,comme,83
Vautrin,Vautrin,20
",",",",p
j',je,51
irai,aller,15
au,à,81
au,le,71
bagne,bagne,21
!,!,p
je,je,51
/…,/…,P
il,il,51
s',se,51
arrêta,arrêter,19
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
été,être,12
foudroyé,foudroyer,12
/.,/.,P
plus,plus,60
rien,rien,52
!,!,p
dit,dire,19
il,il,51
en,en,81
s',se,51
arrachant,arracher,13
les,le,71
cheveux,cheveu,21
/.,/.,P
si,si,83
je,je,51
savais,savoir,18
où,où,60
aller,aller,14
pour,pour,81
voler,voler,14
",",",",p
mais,mais,82
il,il,51
est,être,17
encore,encore,60
difficile,difficile,30
de,de,81
trouver,trouver,14
un,un,71
vol,vol,21
à,à,81
faire,faire,14
/.,/.,P
et,et,82
puis,puis,60
il,il,51
faudrait,falloir,16
du,de,81
du,le,71
monde,monde,21
et,et,82
du,de,81
du,le,71
temps,temps,21
pour,pour,81
prendre,prendre,14
la,le,71
banque,banque,22
/.,/.,P
allons,aller,17
",",",",p
je,je,51
dois,devoir,17
mourir,mourir,14
",",",",p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
qu',que,83
à,à,81
mourir,mourir,14
/.,/.,P
oui,oui,60
",",",",p
je,je,51
ne,ne,60
suis,être,17
plus,plus,60
bon,bon,30
à,à,81
rien,rien,52
",",",",p
je,je,51
ne,ne,60
suis,être,17
plus,plus,60
père,père,21
!,!,p
non,non,60
/.,/.,P
elle,il,51
me,je,51
demande,demander,17
",",",",p
elle,il,51
a,avoir,17
besoin,besoin,21
!,!,p
et,et,82
moi,moi,51
",",",",p
misérable,misérable,30
",",",",p
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
/.,/.,P
ah,ah,93
!,!,p
tu,tu,51
t',tu,51
es,être,17
fait,faire,12
des,de,81
des,le,71
rentes,rente,22
viagères,viager,30
",",",",p
vieux,vieux,30
scélérat,scélérat,21
",",",",p
et,et,82
tu,tu,51
avais,avoir,18
des,de,81
des,le,71
filles,fille,22
/!,/!,P
mais,mais,82
tu,tu,51
ne,ne,60
les,le,52
aimes,aimer,17
donc,donc,82
pas,pas,60
/?,/?,P
crève,crever,17
",",",",p
crève,crever,17
comme,comme,83
un,un,71
chien,chien,21
que,que,52
tu,tu,51
es,être,17
/!,/!,P
oui,oui,60
",",",",p
je,je,51
suis,être,17
au-dessous,au-dessous,60
d',de,81
un,un,71
chien,chien,21
",",",",p
un,un,71
chien,chien,21
ne,ne,60
se,se,51
conduirait,conduire,16
pas,pas,60
ainsi,ainsi,60
/!,/!,P
oh,oh,93
!,!,p
ma,mon,73
tête,tête,22
!,!,p
elle,il,51
bout,bouillir,17
/!,/!,P
mais,mais,82
",",",",p
papa,papa,21
",",",",p
crièrent,crier,19
les,le,71
deux,deux,72
jeunes,jeune,30
femmes,femme,22
qui,qui,52
l',le,52
entouraient,entourer,18
pour,pour,81
l',le,52
empêcher,empêcher,14
de,de,81
se,se,51
frapper,frapper,14
la,le,71
tête,tête,22
contre,contre,81
les,le,71
murs,mur,21
",",",",p
soyez,être,17
donc,donc,82
raisonnable,raisonnable,30
/.,/.,P
il,il,51
sanglotait,sangloter,18
/.,/.,P
Eugène,Eugène,20
",",",",p
épouvanté,épouvanté,31
",",",",p
prit,prendre,19
la,le,71
lettre,lettre,22
de,de,81
change,change,21
souscrite,souscrit,31
à,à,81
Vautrin,Vautrin,20
",",",",p
et,et,82
dont,dont,52
le,le,71
timbre,timbre,21
comportait,comporter,18
une,un,71
plus,plus,60
forte,fort,30
somme,somme,22
;,;,p
il,il,51
en,en,52
corrigea,corriger,19
le,le,71
chiffre,chiffre,21
",",",",p
en,en,52
fit,faire,19
une,un,71
lettre,lettre,22
de,de,81
change,change,21
régulière,régulier,30
de,de,81
douze,douze,72
mille,mille,72
francs,franc,21
à,à,81
l',le,71
ordre,ordre,21
de,de,81
Goriot,Goriot,20
et,et,82
entra,entrer,19
/.,/.,P
-,-,p
voici,voici,81
tout,tout,75
votre,votre,73
argent,argent,21
",",",",p
madame,madame,22
",",",",p
dit,dire,19
il,il,51
en,en,81
présentant,présenter,13
le,le,71
papier,papier,21
/.,/.,P
je,je,51
dormais,dormir,18
",",",",p
votre,votre,73
conversation,conversation,22
m',je,51
a,avoir,17
réveillé,réveiller,12
",",",",p
j',je,51
ai,avoir,17
pu,pouvoir,12
savoir,savoir,14
ainsi,ainsi,60
ce,ce,52
que,que,52
je,je,51
devais,devoir,18
à,à,81
monsieur,monsieur,21
Goriot,Goriot,20
/.,/.,P
en,en,52
voici,voici,81
le,le,71
titre,titre,21
que,que,52
vous,vous,51
pouvez,pouvoir,17
négocier,négocier,14
",",",",p
je,je,51
l',le,52
acquitterai,acquitter,15
fidèlement,fidèlement,60
/.,/.,P
la,le,71
comtesse,comtesse,22
",",",",p
immobile,immobile,30
",",",",p
tenait,tenir,18
le,le,71
papier,papier,21
/.,/.,P
-,-,p
Delphine,Delphine,20
",",",",p
dit,dire,19
elle,il,51
pâle,pâle,30
et,et,82
tremblante,tremblant,30
de,de,81
colère,colère,22
",",",",p
de,de,81
fureur,fureur,22
",",",",p
de,de,81
rage,rage,22
",",",",p
je,je,51
te,tu,51
pardonnais,pardonner,18
tout,tout,52
",",",",p
dieu,dieu,21
m',je,51
en,en,52
est,être,17
témoin,témoin,21
",",",",p
mais,mais,82
ceci,ceci,52
/!,/!,P
comment,comment,60
",",",",p
monsieur,monsieur,21
était,être,18
là,là,60
",",",",p
tu,tu,51
le,le,52
savais,savoir,18
!,!,p
tu,tu,51
as,avoir,17
eu,avoir,12
la,le,71
petitesse,petitesse,22
de,de,81
te,tu,51
venger,venger,14
en,en,81
me,je,51
laissant,laisser,13
lui,lui,51
livrer,livrer,14
mes,mon,73
secrets,secret,21
",",",",p
ma,mon,73
vie,vie,22
",",",",p
celle,celui,52
de,de,81
mes,mon,73
enfants,enfant,21
",",",",p
ma,mon,73
honte,honte,22
",",",",p
mon,mon,73
honneur,honneur,21
/!,/!,P
va,aller,17
",",",",p
tu,tu,51
ne,ne,60
m',je,51
es,être,17
plus,plus,60
de,de,81
rien,rien,52
",",",",p
je,je,51
te,tu,51
hais,haïr,17
",",",",p
je,je,51
te,tu,51
ferai,faire,15
tout,tout,75
le,le,71
mal,mal,21
possible,possible,30
",",",",p
je,je,51
/…,/…,P
la,le,71
colère,colère,22
lui,lui,51
coupa,couper,19
la,le,71
parole,parole,22
",",",",p
et,et,82
son,son,73
gosier,gosier,21
se,se,51
sécha,sécher,19
/.,/.,P
-,-,p
mais,mais,82
c',ce,52
est,être,17
mon,mon,73
fils,fils,21
",",",",p
notre,notre,73
enfant,enfant,21
",",",",p
ton,ton,73
frère,frère,21
",",",",p
ton,ton,73
sauveur,sauveur,21
",",",",p
criait,crier,18
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
embrasse,embrasser,17
le,le,52
donc,donc,82
",",",",p
Nasie,Nasie,20
/!,/!,P
tiens,tenir,17
moi,moi,51
je,je,51
l',le,52
embrasse,embrasser,17
",",",",p
reprit,reprendre,19
il,il,51
en,en,81
serrant,serrer,13
Eugène,Eugène,20
avec,avec,81
une,un,71
sorte,sorte,22
de,de,81
fureur,fureur,22
/.,/.,P
oh,oh,93
!,!,p
mon,mon,73
enfant,enfant,21
!,!,p
je,je,51
serai,être,16
plus,plus,60
qu',que,83
un,un,71
père,père,21
pour,pour,81
toi,toi,51
",",",",p
je,je,51
veux,vouloir,17
être,être,14
une,un,71
famille,famille,22
/.,/.,P
je,je,51
voudrais,vouloir,16
être,être,14
dieu,dieu,21
",",",",p
je,je,51
te,tu,51
jetterais,jeter,16
l',le,71
univers,univers,21
aux,à,81
aux,le,71
pieds,pied,21
/.,/.,P
mais,mais,82
",",",",p
baise,baiser,17
le,le,52
donc,donc,82
",",",",p
Nasie,Nasie,20
!,!,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
un,un,71
homme,homme,21
",",",",p
mais,mais,82
un,un,71
ange,ange,21
",",",",p
un,un,71
véritable,véritable,30
ange,ange,21
/!,/!,P
laissez,laisser,17
la,le,52
",",",",p
mon,mon,73
père,père,21
",",",",p
elle,il,51
est,être,17
folle,fou,30
en,en,81
ce,ce,74
moment,moment,21
",",",",p
dit,dire,19
Delphine,Delphine,20
/.,/.,P
-,-,p
folle,fou,30
!,!,p
folle,fou,30
/!,/!,P
et,et,82
toi,toi,51
",",",",p
qu',que,52
es,être,17
tu,tu,51
?,?,p
demanda,demander,19
madame,madame,22
de,de,81
Restaud,Restaud,20
/.,/.,P
-,-,p
mes,mon,73
enfants,enfant,21
",",",",p
je,je,51
meurs,mourir,17
si,si,83
vous,vous,51
continuez,continuer,17
",",",",p
cria,crier,19
le,le,71
vieillard,vieillard,21
en,en,81
tombant,tomber,13
sur,sur,81
son,son,73
lit,lit,21
comme,comme,83
frappé,frappé,31
par,par,81
une,un,71
balle,balle,22
/.,/.,P
-,-,p
elles,ils,51
me,je,51
tuent,tuer,17
!,!,p
se,se,51
dit,dire,17
il,il,51
/.,/.,P
la,le,71
comtesse,comtesse,22
regarda,regarder,19
Eugène,Eugène,20
",",",",p
qui,qui,52
restait,rester,18
immobile,immobile,30
",",",",p
abasourdi,abasourdi,31
par,par,81
la,le,71
violence,violence,22
de,de,81
cette,ce,74
scène,scène,22
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
en,en,81
l',le,52
interrogeant,interroger,13
du,de,81
du,le,71
geste,geste,21
",",",",p
de,de,81
la,le,71
voix,voix,22
et,et,82
du,de,81
du,le,71
regard,regard,21
",",",",p
sans,sans,81
faire,faire,14
attention,attention,22
à,à,81
son,son,73
père,père,21
dont,dont,52
le,le,71
gilet,gilet,21
fut,être,19
rapidement,rapidement,60
défait,défaire,12
par,par,81
Delphine,Delphine,20
/.,/.,P
-,-,p
madame,madame,22
",",",",p
je,je,51
paierai,payer,15
et,et,82
je,je,51
me,je,51
tairai,taire,15
",",",",p
répondit,répondre,19
il,il,51
sans,sans,81
attendre,attendre,14
la,le,71
question,question,22
/.,/.,P
-,-,p
tu,tu,51
as,avoir,17
tué,tuer,12
notre,notre,73
père,père,21
",",",",p
Nasie,Nasie,20
!,!,p
dit,dire,19
Delphine,Delphine,20
en,en,81
montrant,montrer,13
le,le,71
vieillard,vieillard,21
évanoui,évanoui,31
à,à,81
sa,son,73
soeur,soeur,22
",",",",p
qui,qui,52
se,se,51
sauva,sauver,19
/.,/.,P
-,-,p
je,je,51
lui,lui,51
pardonne,pardonner,17
bien,bien,60
",",",",p
dit,dire,19
le,le,71
bonhomme,bonhomme,21
en,en,81
ouvrant,ouvrir,13
les,le,71
yeux,oeil,21
",",",",p
sa,son,73
situation,situation,22
est,être,17
épouvantable,épouvantable,30
et,et,82
tournerait,tourner,16
une,un,71
meilleure,meilleur,30
tête,tête,22
/.,/.,P
console,consoler,17
Nasie,Nasie,20
",",",",p
sois,être,17
douce,doux,30
pour,pour,81
elle,il,51
",",",",p
promets,promettre,17
le,le,52
à,à,81
ton,ton,73
pauvre,pauvre,30
père,père,21
",",",",p
qui,qui,52
se,se,51
meurt,mourir,17
",",",",p
demanda,demander,19
t,t,94
il,il,51
à,à,81
Delphine,Delphine,20
en,en,81
lui,lui,51
pressant,presser,13
la,le,71
main,main,22
/.,/.,P
-,-,p
mais,mais,82
qu',que,52
avez,avoir,17
vous,vous,51
?,?,p
dit,dire,19
elle,il,51
tout,tout,60
effrayée,effrayé,31
/.,/.,P
-,-,p
rien,rien,52
",",",",p
rien,rien,52
",",",",p
répondit,répondre,19
le,le,71
père,père,21
",",",",p
ça,ça,52
se,se,51
passera,passer,15
/.,/.,P
j',je,51
ai,avoir,17
quelque,quelque,75
chose,chose,22
qui,qui,52
me,je,51
presse,presser,17
le,le,71
front,front,21
",",",",p
une,un,71
migraine,migraine,22
/.,/.,P
pauvre,pauvre,30
Nasie,Nasie,20
",",",",p
quel,quel,75
avenir,avenir,21
/!,/!,P
en,en,81
ce,ce,74
moment,moment,21
la,le,71
comtesse,comtesse,22
rentra,rentrer,19
",",",",p
se,se,51
jeta,jeter,19
aux,à,81
aux,le,71
genoux,genou,21
de,de,81
son,son,73
père,père,21
:,:,p
-,-,p
pardon,pardon,21
!,!,p
cria,crier,19
t,t,94
elle,il,51
/.,/.,P
-,-,p
allons,aller,17
",",",",p
dit,dire,19
le,le,71
père,père,21
Goriot,Goriot,20
",",",",p
tu,tu,51
me,je,51
fais,faire,17
encore,encore,60
plus,plus,60
de,de,81
mal,mal,60
maintenant,maintenant,60
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
à,à,81
Rastignac,Rastignac,20
",",",",p
les,le,71
yeux,oeil,21
baignés,baigné,31
de,de,81
larmes,larme,22
",",",",p
la,le,71
douleur,douleur,22
m',je,51
a,avoir,17
rendue,rendre,12
injuste,injuste,30
/.,/.,P
vous,vous,51
serez,être,15
un,un,71
frère,frère,21
pour,pour,81
moi,moi,51
?,?,p
reprit,reprendre,19
elle,il,51
en,en,81
lui,lui,51
tendant,tendre,13
la,le,71
main,main,22
/.,/.,P
-,-,p
Nasie,Nasie,20
",",",",p
lui,lui,51
dit,dire,19
Delphine,Delphine,20
en,en,81
la,le,52
serrant,serrer,13
",",",",p
ma,mon,73
petite,petit,30
Nasie,Nasie,20
",",",",p
oublions,oublier,17
tout,tout,52
/.,/.,P
-,-,p
non,non,60
",",",",p
dit,dire,19
elle,il,51
",",",",p
je,je,51
m',je,51
en,en,52
souviendrai,souvenir,15
",",",",p
moi,moi,51
/!,/!,P
les,le,71
anges,ange,21
",",",",p
s',se,51
écria,écrier,19
le,le,71
père,père,21
Goriot,Goriot,20
",",",",p
vous,vous,51
m',je,51
enlevez,enlever,17
le,le,71
rideau,rideau,21
que,que,52
j',je,51
avais,avoir,18
sur,sur,81
les,le,71
yeux,oeil,21
",",",",p
votre,votre,73
voix,voix,22
me,je,51
ranime,ranimer,17
/.,/.,P
embrassez,embrasser,17
vous,vous,51
donc,donc,82
encore,encore,60
/.,/.,P
eh,eh,93
bien,bien,60
/!,/!,P
Nasie,Nasie,20
",",",",p
cette,ce,74
lettre,lettre,22
de,de,81
change,change,21
te,tu,51
sauvera,sauver,15
t,t,94
elle,il,51
/?,/?,P
je,je,51
l',le,52
espère,espérer,17
/.,/.,P
dites,dire,17
donc,donc,82
",",",",p
papa,papa,21
",",",",p
voulez,vouloir,17
vous,vous,51
y,y,52
mettre,mettre,14
votre,votre,73
signature,signature,22
/?,/?,P
tiens,tenir,17
",",",",p
suis,être,17
je,je,51
bête,bête,30
",",",",p
moi,moi,51
",",",",p
d',de,81
oublier,oublier,14
ça,ça,52
/!,/!,P
mais,mais,82
je,je,51
me,je,51
suis,être,17
trouvé,trouver,12
mal,mal,60
/.,/.,P
Nasie,Nasie,20
",",",",p
ne,ne,60
m',je,51
en,en,52
veux,vouloir,17
pas,pas,60
/.,/.,P
envoie,envoyer,17
moi,moi,51
dire,dire,14
que,que,83
tu,tu,51
es,être,17
hors,hors,81
de,de,81
peine,peine,22
/.,/.,P
non,non,60
",",",",p
j',je,51
irai,aller,15
/.,/.,P
mais,mais,82
non,non,60
",",",",p
je,je,51
n',ne,60
irai,aller,15
pas,pas,60
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
plus,plus,60
voir,voir,14
ton,ton,73
mari,mari,21
",",",",p
je,je,51
le,le,52
tuerais,tuer,16
net,net,60
/.,/.,P
quant,quand,83
à,à,81
dénaturer,dénaturer,14
tes,ton,73
biens,bien,21
",",",",p
je,je,51
serai,être,16
là,là,60
/.,/.,P
va,aller,17
vite,vite,60
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
et,et,82
fais,faire,17
que,que,83
Maxime,Maxime,20
devienne,devenir,17
sage,sage,30
/.,/.,P
Eugène,Eugène,20
était,être,18
stupéfait,stupéfait,30
/.,/.,P
-,-,p
cette,ce,74
pauvre,pauvre,30
Anastasie,Anastasie,20
a,avoir,17
toujours,toujours,60
été,être,12
violente,violent,30
",",",",p
dit,dire,19
madame,madame,22
de,de,81
Nucingen,Nucingen,20
",",",",p
mais,mais,82
elle,il,51
a,avoir,17
bon,bon,30
coeur,coeur,21
/.,/.,P
-,-,p
elle,il,51
est,être,17
revenue,revenir,12
pour,pour,81
l',le,71
endos,endos,21
",",",",p
dit,dire,19
Eugène,Eugène,20
à,à,81
l',le,71
oreille,oreille,22
de,de,81
Delphine,Delphine,20
/.,/.,P
-,-,p
vous,vous,51
croyez,croire,17
/?,/?,P
je,je,51
voudrais,vouloir,16
ne,ne,60
pas,pas,60
le,le,52
croire,croire,14
/.,/.,P
méfiez,méfier,17
vous,vous,51
d',de,81
elle,il,51
",",",",p
répondit,répondre,19
il,il,51
en,en,81
levant,lever,13
les,le,71
yeux,oeil,21
comme,comme,83
pour,pour,81
confier,confier,14
à,à,81
dieu,dieu,21
des,de,81
des,le,71
pensées,pensée,22
qu',que,52
il,il,51
n',ne,60
osait,oser,18
exprimer,exprimer,14
/.,/.,P
-,-,p
oui,oui,60
",",",",p
elle,il,51
a,avoir,17
toujours,toujours,60
été,être,12
un,un,71
peu,peu,60
comédienne,comédienne,22
",",",",p
et,et,82
mon,mon,73
pauvre,pauvre,30
père,père,21
se,se,51
laisse,laisser,17
prendre,prendre,14
à,à,81
ses,son,73
mines,mine,22
/.,/.,P
-,-,p
comment,comment,60
allez,aller,17
vous,vous,51
",",",",p
mon,mon,73
bon,bon,30
père,père,21
Goriot,Goriot,20
?,?,p
demanda,demander,19
Rastignac,Rastignac,20
au,à,81
au,le,71
vieillard,vieillard,21
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
envie,envie,22
de,de,81
dormir,dormir,14
",",",",p
répondit,répondre,19
il,il,51
/.,/.,P
Eugène,Eugène,20
aida,aider,19
Goriot,Goriot,20
à,à,81
se,se,51
coucher,coucher,14
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
le,le,71
bonhomme,bonhomme,21
se,se,51
fut,être,19
endormi,endormir,12
en,en,81
tenant,tenir,13
la,le,71
main,main,22
de,de,81
Delphine,Delphine,20
",",",",p
sa,son,73
fille,fille,22
se,se,51
retira,retirer,19
/.,/.,P
-,-,p
ce,ce,74
soir,soir,21
aux,à,81
aux,le,71
Italiens,Italien,20
",",",",p
dit,dire,19
elle,il,51
à,à,81
Eugène,Eugène,20
",",",",p
et,et,82
tu,tu,51
me,je,51
diras,dire,15
comment,comment,60
il,il,51
va,aller,17
/.,/.,P
demain,demain,60
",",",",p
vous,vous,51
déménagerez,déménager,15
",",",",p
monsieur,monsieur,21
/.,/.,P
voyons,voir,17
votre,votre,73
chambre,chambre,22
/.,/.,P
oh,oh,93
!,!,p
quelle,quel,75
horreur,horreur,22
!,!,p
dit,dire,19
elle,il,51
en,en,81
y,y,52
entrant,entrer,13
/.,/.,P
mais,mais,82
vous,vous,51
étiez,être,18
plus,plus,60
mal,mal,60
que,que,83
n',ne,60
est,être,17
mon,mon,73
