11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatrième extrait>,<>,<>
avait,avoir,18
pas,pas,60
entendu,entendre,12
;,;,p
en,en,81
effet,effet,21
",",",",p
la,le,71
joie,joie,22
faisait,faire,18
un,un,71
tel,tel,75
vacarme,vacarme,21
dans,dans,81
sa,son,73
tête,tête,22
que,que,83
",",",",p
par,par,81
moments,moment,21
",",",",p
elle,il,51
devenait,devenir,18
comme,comme,83
sourde,sourd,30
",",",",p
l',le,71
esprit,esprit,21
perdu,perdu,31
en,en,81
pleine,plein,30
jouissance,jouissance,22
/.,/.,P
quand,quand,83
Pierre,Pierre,20
raconta,raconter,19
l',le,71
affaire,affaire,22
de,de,81
la,le,71
mairie,mairie,22
",",",",p
elle,il,51
fut,être,19
prise,prendre,12
de,de,81
rires,rire,21
",",",",p
elle,il,51
changea,changer,19
trois,trois,72
fois,fois,22
de,de,81
fauteuil,fauteuil,21
",",",",p
roulant,rouler,13
les,le,71
meubles,meuble,21
",",",",p
ne,ne,60
pouvant,pouvoir,13
tenir,tenir,14
en,en,81
place,place,22
/.,/.,P
après,après,81
quarante,quarante,72
années,année,22
d',de,81
efforts,effort,21
continus,continu,30
",",",",p
la,le,71
fortune,fortune,22
se,se,51
laissait,laisser,18
enfin,enfin,60
prendre,prendre,14
à,à,81
la,le,71
gorge,gorge,22
/.,/.,P
elle,il,51
en,en,52
devenait,devenir,18
folle,fou,30
",",",",p
à,à,81
ce,ce,74
point,point,21
qu',que,83
elle,il,51
oublia,oublier,19
elle-même,lui-même,51
toute,tout,75
prudence,prudence,22
/.,/.,P
-,-,p
hein,hein,93
!,!,p
c',ce,52
est,être,17
à,à,81
moi,moi,51
que,que,83
tu,tu,51
dois,devoir,17
tout,tout,75
cela,cela,52
!,!,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
avec,avec,81
une,un,71
explosion,explosion,22
de,de,81
triomphe,triomphe,21
/.,/.,P
si,si,83
je,je,51
t',tu,51
avais,avoir,18
laissé,laisser,12
agir,agir,14
",",",",p
tu,tu,51
te,tu,51
serais,être,16
fait,faire,12
bêtement,bêtement,60
pincer,pincer,14
par,par,81
les,le,71
insurgés,insurgé,21
/.,/.,P
nigaud,nigaud,21
",",",",p
c',ce,52
était,être,18
le,le,71
Garçonnet,Garçonnet,20
",",",",p
le,le,71
Sicardot,Sicardot,20
et,et,82
les,le,71
autres,autre,52
",",",",p
qu',que,52
il,il,51
fallait,falloir,18
jeter,jeter,14
à,à,81
ces,ce,74
bêtes,bête,22
féroces,féroce,30
/.,/.,P
et,et,82
",",",",p
montrant,montrer,13
ses,son,73
dents,dent,22
branlantes,branlant,30
de,de,81
vieille,vieille,22
",",",",p
elle,il,51
ajouta,ajouter,19
avec,avec,81
un,un,71
rire,rire,21
de,de,81
gamine,gamine,22
:,:,p
-,-,p
eh,eh,93
!,!,p
vive,vivre,17
la,le,71
république,république,22
!,!,p
elle,il,51
a,avoir,17
fait,faire,12
place,place,22
nette,net,30
/.,/.,P
mais,mais,82
Pierre,Pierre,20
était,être,18
devenu,devenir,12
maussade,maussade,30
/.,/.,P
-,-,p
toi,toi,51
",",",",p
toi,toi,51
",",",",p
murmura,murmurer,19
t,t,94
il,il,51
",",",",p
tu,tu,51
crois,croire,17
toujours,toujours,60
avoir,avoir,14
tout,tout,52
prévu,prévoir,12
/.,/.,P
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
ai,avoir,17
eu,avoir,12
l',le,71
idée,idée,22
de,de,81
me,je,51
cacher,cacher,14
/.,/.,P
avec,avec,81
cela,cela,52
que,que,52
les,le,71
femmes,femme,22
entendent,entendre,17
quelque,quelque,75
chose,chose,22
à,à,81
la,le,71
politique,politique,22
/!,/!,P
va,aller,17
",",",",p
ma,mon,73
pauvre,pauvre,30
vieille,vieille,22
",",",",p
si,si,83
tu,tu,51
conduisais,conduire,18
la,le,71
barque,barque,22
",",",",p
nous,nous,51
ferions,faire,16
vite,vite,60
naufrage,naufrage,21
/.,/.,P
Félicité,Félicité,20
pinça,pincer,19
les,le,71
lèvres,lèvre,22
/.,/.,P
elle,il,51
s',se,51
était,être,18
trop,trop,60
avancée,avancer,12
",",",",p
elle,il,51
avait,avoir,18
oublié,oublier,12
son,son,73
rôle,rôle,21
de,de,81
bonne,bon,30
fée,fée,22
muette,muet,30
/.,/.,P
mais,mais,82
il,il,51
lui,lui,51
vint,venir,19
une,un,52
de,de,81
ces,ce,74
rages,rage,22
sourdes,sourd,30
",",",",p
qu',que,52
elle,il,51
éprouvait,éprouver,18
quand,quand,83
son,son,73
mari,mari,21
l',le,52
écrasait,écraser,18
de,de,81
sa,son,73
supériorité,supériorité,22
/.,/.,P
elle,il,51
se,se,51
promit,promettre,19
de,de,81
nouveau,nouveau,21
",",",",p
lorsque,lorsque,83
l',le,71
heure,heure,22
serait,être,16
venue,venir,12
",",",",p
quelque,quelque,75
vengeance,vengeance,22
exquise,exquis,30
qui,qui,52
lui,lui,51
livrerait,livrer,16
le,le,71
bonhomme,bonhomme,21
pieds,pied,21
et,et,82
poings,poing,21
liés,lié,31
/.,/.,P
-,-,p
ah,ah,93
!,!,p
j',je,51
oubliais,oublier,18
",",",",p
reprit,reprendre,19
Rougon,Rougon,20
",",",",p
monsieur,monsieur,21
Peirotte,Peirotte,20
est,être,17
de,de,81
la,le,71
danse,danse,22
/.,/.,P
Granoux,Granoux,20
l',le,52
a,avoir,17
vu,voir,12
qui,qui,52
se,se,51
débattait,débattre,18
entre,entre,81
les,le,71
mains,main,22
des,de,81
des,le,71
insurgés,insurgé,21
/.,/.,P
Félicité,Félicité,20
eut,avoir,19
un,un,71
tressaillement,tressaillement,21
/.,/.,P
elle,il,51
était,être,18
justement,justement,60
à,à,81
la,le,71
fenêtre,fenêtre,22
",",",",p
qui,qui,52
regardait,regarder,18
avec,avec,81
amour,amour,21
les,le,71
croisées,croisée,22
du,de,81
du,le,71
receveur,receveur,21
particulier,particulier,30
/.,/.,P
elle,il,51
venait,venir,18
d',de,81
éprouver,éprouver,14
le,le,71
besoin,besoin,21
de,de,81
les,le,52
revoir,revoir,14
",",",",p
car,car,82
l',le,71
idée,idée,22
du,de,81
du,le,71
triomphe,triomphe,21
se,se,51
confondait,confondre,18
en,en,81
elle,il,51
avec,avec,81
l',le,71
envie,envie,22
de,de,81
ce,ce,74
bel,beau,30
appartement,appartement,21
",",",",p
dont,dont,52
elle,il,51
usait,user,18
les,le,71
meubles,meuble,21
du,de,81
du,le,71
regard,regard,21
",",",",p
depuis,depuis,81
si,si,60
longtemps,longtemps,60
/.,/.,P
elle,il,51
se,se,51
retourna,retourner,19
",",",",p
et,et,82
",",",",p
d',de,81
une,un,71
voix,voix,22
étrange,étrange,30
:,:,p
-,-,p
monsieur,monsieur,21
Peirotte,Peirotte,20
est,être,17
arrêté,arrêter,12
?,?,p
dit,dire,19
elle,il,51
/.,/.,P
elle,il,51
sourit,sourire,19
complaisamment,complaisamment,60
;,;,p
puis,puis,60
une,un,71
vive,vif,30
rougeur,rougeur,22
lui,lui,51
marbra,marbrer,19
la,le,71
face,face,22
/.,/.,P
elle,il,51
venait,venir,18
",",",",p
au,à,81
au,le,71
fond,fond,21
d',de,81
elle,il,51
",",",",p
de,de,81
faire,faire,14
ce,ce,74
souhait,souhait,21
brutal,brutal,30
:,:,p
“,“,p
si,si,83
les,le,71
insurgés,insurgé,21
pouvaient,pouvoir,18
le,le,52
massacrer,massacrer,14
/!,/!,P
Pierre,Pierre,20
lut,lire,19
sans,sans,81
doute,doute,21
cette,ce,74
pensée,pensée,22
dans,dans,81
ses,son,73
yeux,oeil,21
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
!,!,p
s',si,83
il,il,51
attrapait,attraper,18
quelque,quelque,75
balle,balle,22
",",",",p
murmura,murmurer,19
t,t,94
il,il,51
",",",",p
ça,ça,52
arrangerait,arranger,16
nos,notre,73
affaires,affaire,22
/…,/…,P
on,on,51
ne,ne,60
serait,être,16
pas,pas,60
obligé,obliger,12
de,de,81
le,le,52
déplacer,déplacer,14
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
et,et,82
il,il,51
n',ne,60
y,y,52
aurait,avoir,16
rien,rien,52
de,de,81
notre,notre,73
faute,faute,22
/.,/.,P
mais,mais,82
Félicité,Félicité,20
",",",",p
plus,plus,60
nerveuse,nerveux,30
",",",",p
frissonnait,frissonner,18
/.,/.,P
il,il,51
lui,lui,51
semblait,sembler,18
qu',que,83
elle,il,51
venait,venir,18
de,de,81
condamner,condamner,14
un,un,71
homme,homme,21
à,à,81
mort,mort,22
/.,/.,P
maintenant,maintenant,60
",",",",p
si,si,83
monsieur,monsieur,21
Peirotte,Peirotte,20
était,être,18
tué,tuer,12
",",",",p
elle,il,51
le,le,52
reverrait,revoir,16
la,le,71
nuit,nuit,22
",",",",p
il,il,51
viendrait,venir,16
lui,lui,51
tirer,tirer,14
les,le,71
pieds,pied,21
/.,/.,P
elle,il,51
ne,ne,60
jeta,jeter,19
plus,plus,60
sur,sur,81
les,le,71
fenêtres,fenêtre,22
d',de,81
en,en,81
face,face,22
que,que,83
des,de,81
des,le,71
coups,coup,21
d',de,81
oeil,oeil,21
sournois,sournois,30
",",",",p
pleins,plein,30
d',de,81
une,un,71
horreur,horreur,22
voluptueuse,voluptueux,30
/.,/.,P
et,et,82
il,il,51
y,y,52
eut,avoir,19
",",",",p
dès,dès,81
lors,lors,60
",",",",p
dans,dans,81
ses,son,73
jouissances,jouissance,22
",",",",p
une,un,71
pointe,pointe,22
d',de,81
épouvante,épouvante,22
criminelle,criminel,30
qui,qui,52
les,le,52
rendit,rendre,19
plus,plus,60
aiguës,aigu,30
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
Pierre,Pierre,20
",",",",p
le,le,71
coeur,coeur,21
vidé,vidé,31
",",",",p
voyait,voir,18
à,à,81
présent,présent,21
le,le,71
mauvais,mauvais,30
côté,côté,21
de,de,81
la,le,71
situation,situation,22
/.,/.,P
il,il,51
parla,parler,19
de,de,81
Macquart,Macquart,20
/.,/.,P
comment,comment,60
se,se,51
débarrasser,débarrasser,14
de,de,81
ce,ce,74
chenapan,chenapan,21
/?,/?,P
mais,mais,82
Félicité,Félicité,20
",",",",p
reprise,repris,31
par,par,81
la,le,71
fièvre,fièvre,22
du,de,81
du,le,71
succès,succès,21
",",",",p
s',se,51
écria,écrier,19
:,:,p
-,-,p
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
tout,tout,52
faire,faire,14
à,à,81
la,le,71
fois,fois,22
/.,/.,P
nous,nous,51
le,le,52
bâillonnerons,bâillonner,15
",",",",p
parbleu,parbleu,93
/!,/!,P
nous,nous,51
trouverons,trouver,15
bien,bien,60
quelque,quelque,75
moyen,moyen,21
/…,/…,P
elle,il,51
allait,aller,18
et,et,82
venait,venir,18
",",",",p
rangeant,ranger,13
les,le,71
fauteuils,fauteuil,21
",",",",p
époussetant,épousseter,13
les,le,71
dossiers,dossier,21
/.,/.,P
brusquement,brusquement,60
",",",",p
elle,il,51
s',se,51
arrêta,arrêter,19
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
pièce,pièce,22
et,et,82
",",",",p
jetant,jeter,13
un,un,71
long,long,30
regard,regard,21
sur,sur,81
le,le,71
mobilier,mobilier,21
fané,fané,31
:,:,p
-,-,p
bon,bon,30
dieu,dieu,21
!,!,p
dit,dire,19
elle,il,51
",",",",p
que,que,52
c',ce,52
est,être,17
laid,laid,30
ici,ici,60
/!,/!,P
et,et,82
tout,tout,75
ce,ce,74
monde,monde,21
qui,qui,52
va,aller,17
venir,venir,14
/!,/!,P
baste,baste,93
!,!,p
répondit,répondre,19
Pierre,Pierre,20
avec,avec,81
une,un,71
superbe,superbe,30
indifférence,indifférence,22
",",",",p
nous,nous,51
changerons,changer,15
tout,tout,75
cela,cela,52
/.,/.,P
lui,lui,51
qui,qui,52
",",",",p
la,le,71
veille,veille,22
",",",",p
avait,avoir,18
un,un,71
respect,respect,21
religieux,religieux,30
pour,pour,81
les,le,71
fauteuils,fauteuil,21
et,et,82
le,le,71
canapé,canapé,21
",",",",p
il,il,51
serait,être,16
monté,monter,12
dessus,dessus,60
à,à,81
pieds,pied,21
joints,joint,31
/.,/.,P
Félicité,Félicité,20
",",",",p
éprouvant,éprouver,13
le,le,71
même,même,75
dédain,dédain,21
",",",",p
alla,aller,19
jusqu',jusque,81
à,à,81
bousculer,bousculer,14
un,un,71
fauteuil,fauteuil,21
dont,dont,52
une,un,71
roulette,roulette,22
manquait,manquer,18
et,et,82
qui,qui,52
ne,ne,60
lui,lui,51
obéissait,obéir,18
pas,pas,60
assez,assez,60
vite,vite,60
/.,/.,P
ce,ce,52
fut,être,19
à,à,81
ce,ce,74
moment,moment,21
que,que,83
Roudier,Roudier,20
entra,entrer,19
/.,/.,P
il,il,51
sembla,sembler,19
à,à,81
la,le,71
vieille,vieux,30
femme,femme,22
qu',que,52
il,il,51
était,être,18
d',de,81
une,un,71
bien,bien,60
plus,plus,60
grande,grand,30
politesse,politesse,22
/.,/.,P
les,le,71
“,“,p
monsieur,monsieur,21
“,“,p
",",",",p
les,le,71
“,“,p
madame,madame,22
“,“,p
roulaient,rouler,18
",",",",p
avec,avec,81
une,un,71
musique,musique,22
délicieuse,délicieux,30
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
les,le,71
habitués,habitué,21
arrivaient,arriver,18
à,à,81
la,le,71
file,file,22
",",",",p
le,le,71
salon,salon,21
s',se,51
emplissait,emplir,18
/.,/.,P
personne,personne,52
ne,ne,60
connaissait,connaître,18
encore,encore,60
",",",",p
dans,dans,81
leurs,leur,73
détails,détail,21
",",",",p
les,le,71
événements,événement,21
de,de,81
la,le,71
nuit,nuit,22
",",",",p
et,et,82
tous,tout,52
accouraient,accourir,18
",",",",p
les,le,71
yeux,oeil,21
hors,hors,81
de,de,81
la,le,71
tête,tête,22
",",",",p
le,le,71
sourire,sourire,21
aux,à,81
aux,le,71
lèvres,lèvre,22
",",",",p
poussés,poussé,31
par,par,81
les,le,71
rumeurs,rumeur,22
qui,qui,52
commençaient,commencer,18
à,à,81
courir,courir,14
la,le,71
ville,ville,22
/.,/.,P
ces,ce,74
messieurs,monsieur,21
qui,qui,52
",",",",p
la,le,71
veille,veille,22
au,à,81
au,le,71
soir,soir,21
",",",",p
avaient,avoir,18
quitté,quitter,12
si,si,60
précipitamment,précipitamment,60
le,le,71
salon,salon,21
jaune,jaune,30
",",",",p
à,à,81
la,le,71
nouvelle,nouvelle,22
de,de,81
l',le,71
approche,approche,22
des,de,81
des,le,71
insurgés,insurgé,21
",",",",p
revenaient,revenir,18
",",",",p
bourdonnants,bourdonnant,30
",",",",p
curieux,curieux,30
et,et,82
importuns,importun,30
",",",",p
comme,comme,83
un,un,71
essaim,essaim,21
de,de,81
mouches,mouche,22
qu',que,52
aurait,avoir,16
dispersé,disperser,12
un,un,71
coup,coup,21
de,de,81
vent,vent,21
/.,/.,P
certains,certain,52
n',ne,60
avaient,avoir,18
pas,pas,60
même,même,60
pris,prendre,12
le,le,71
temps,temps,21
de,de,81
mettre,mettre,14
leurs,leur,73
bretelles,bretelle,22
/.,/.,P
leur,leur,73
impatience,impatience,22
était,être,18
grande,grand,30
",",",",p
mais,mais,82
il,il,51
était,être,18
visible,visible,30
que,que,83
Rougon,Rougon,20
attendait,attendre,18
quelqu'un,quelqu'un,52
pour,pour,81
parler,parler,14
/.,/.,P
à,à,81
chaque,chaque,75
minute,minute,22
",",",",p
il,il,51
tournait,tourner,18
vers,vers,81
la,le,71
porte,porter,17
un,un,71
regard,regard,21
anxieux,anxieux,30
/.,/.,P
pendant,pendant,81
une,un,71
heure,heure,22
",",",",p
ce,ce,52
furent,être,19
des,de,81
des,le,71
poignées,poignée,22
de,de,81
main,main,22
expressives,expressif,30
",",",",p
des,de,81
des,le,71
félicitations,félicitation,22
vagues,vague,30
",",",",p
des,de,81
des,le,71
chuchotements,chuchotement,21
admiratifs,admiratif,30
",",",",p
une,un,71
joie,joie,22
contenue,contenu,31
",",",",p
sans,sans,81
cause,cause,22
certaine,certain,30
",",",",p
et,et,82
qui,qui,52
ne,ne,60
demandait,demander,18
qu',que,83
un,un,71
mot,mot,21
pour,pour,81
devenir,devenir,14
de,de,81
l',le,71
enthousiasme,enthousiasme,21
/.,/.,P
enfin,enfin,60
Granoux,Granoux,20
parut,paraître,19
/.,/.,P
il,il,51
s',se,51
arrêta,arrêter,19
un,un,71
instant,instant,21
sur,sur,81
le,le,71
seuil,seuil,21
",",",",p
la,le,71
main,main,22
droite,droit,30
dans,dans,81
sa,son,73
redingote,redingote,22
boutonnée,boutonné,31
;,;,p
sa,son,73
grosse,gros,30
face,face,22
blême,blême,30
",",",",p
qui,qui,52
jubilait,jubiler,18
",",",",p
essayait,essayer,18
vainement,vainement,60
de,de,81
cacher,cacher,14
son,son,73
émotion,émotion,22
sous,sous,81
un,un,71
grand,grand,30
air,air,21
de,de,81
dignité,dignité,22
/.,/.,P
à,à,81
son,son,73
apparition,apparition,22
",",",",p
il,il,51
se,se,51
fit,faire,19
un,un,71
silence,silence,21
;,;,p
on,on,51
sentit,sentir,19
qu',que,83
une,un,71
chose,chose,22
extraordinaire,extraordinaire,30
allait,aller,18
se,se,51
passer,passer,14
/.,/.,P
ce,ce,52
fut,être,19
au,à,81
au,le,71
milieu,milieu,21
d',de,81
une,un,71
haie,haie,22
que,que,83
Granoux,Granoux,20
marcha,marcher,19
droit,droit,60
vers,vers,81
Rougon,Rougon,20
/.,/.,P
il,il,51
lui,lui,51
tendit,tendre,19
la,le,71
main,main,22
/.,/.,P
-,-,p
mon,mon,73
ami,ami,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
je,je,51
vous,vous,51
apporte,apporter,17
l',le,71
hommage,hommage,21
du,de,81
du,le,71
conseil,conseil,21
municipal,municipal,30
/.,/.,P
il,il,51
vous,vous,51
appelle,appeler,17
à,à,81
sa,son,73
tête,tête,22
",",",",p
en,en,81
attendant,attendre,13
que,que,83
notre,notre,73
maire,maire,21
nous,nous,51
soit,être,17
rendu,rendre,12
/.,/.,P
vous,vous,51
avez,avoir,17
sauvé,sauver,12
Plassans,Plassans,20
/.,/.,P
il,il,51
faut,falloir,17
",",",",p
dans,dans,81
l',le,71
époque,époque,22
abominable,abominable,30
que,que,52
nous,nous,51
traversons,traverser,17
",",",",p
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
allient,allier,17
votre,votre,73
intelligence,intelligence,22
à,à,81
votre,votre,73
courage,courage,21
/.,/.,P
venez,venir,17
/…,/…,P
Granoux,Granoux,20
",",",",p
qui,qui,52
récitait,réciter,18
là,là,60
un,un,71
petit,petit,30
discours,discours,21
qu',que,52
il,il,51
avait,avoir,18
préparé,préparer,12
avec,avec,81
grand'peine,grand-peine,22
",",",",p
de,de,81
la,le,71
mairie,mairie,22
à,à,81
la,le,71
rue,rue,22
de,de,81
la,le,71
Banne,Banne,20
",",",",p
sentit,sentir,19
sa,son,73
mémoire,mémoire,22
se,se,51
troubler,troubler,14
/.,/.,P
mais,mais,82
Rougon,Rougon,20
",",",",p
gagné,gagné,31
par,par,81
l',le,71
émotion,émotion,22
",",",",p
l',le,52
interrompit,interrompre,19
",",",",p
en,en,81
lui,lui,51
serrant,serrer,13
les,le,71
mains,main,22
",",",",p
en,en,81
répétant,répéter,13
:,:,p
-,-,p
merci,merci,21
",",",",p
mon,mon,73
cher,cher,30
Granoux,Granoux,20
",",",",p
je,je,51
vous,vous,51
remercie,remercier,17
bien,bien,60
/.,/.,P
il,il,51
ne,ne,60
trouva,trouver,19
rien,rien,52
autre,autre,75
chose,chose,22
/.,/.,P
alors,alors,60
il,il,51
y,y,52
eut,avoir,19
une,un,71
explosion,explosion,22
de,de,81
voix,voix,22
assourdissante,assourdissant,30
/.,/.,P
chacun,chacun,52
se,se,51
précipita,précipiter,19
",",",",p
lui,lui,51
tendit,tendre,19
la,le,71
main,main,22
",",",",p
le,le,52
couvrit,couvrir,19
d',de,81
éloges,éloge,21
et,et,82
de,de,81
compliments,compliment,21
",",",",p
le,le,52
questionna,questionner,19
avec,avec,81
âpreté,âpreté,22
/.,/.,P
mais,mais,82
lui,lui,51
",",",",p
digne,digne,30
déjà,déjà,60
comme,comme,83
un,un,71
magistrat,magistrat,21
",",",",p
demanda,demander,19
quelques,quelque,75
minutes,minute,22
pour,pour,81
conférer,conférer,14
avec,avec,81
messieurs,monsieur,21
Granoux,Granoux,20
et,et,82
Roudier,Roudier,20
/.,/.,P
les,le,71
affaires,affaire,22
avant,avant,81
tout,tout,52
/.,/.,P
la,le,71
ville,ville,22
se,se,51
trouvait,trouver,18
dans,dans,81
une,un,71
situation,situation,22
si,si,60
critique,critique,30
/!,/!,P
ils,ils,51
se,se,51
retirèrent,retirer,19
tous,tout,75
trois,trois,72
dans,dans,81
un,un,71
coin,coin,21
du,de,81
du,le,71
salon,salon,21
",",",",p
et,et,82
là,là,60
",",",",p
à,à,81
voix,voix,22
basse,bas,30
",",",",p
ils,ils,51
se,se,51
partagèrent,partager,19
le,le,71
pouvoir,pouvoir,21
",",",",p
tandis que,tandis que,83
les,le,71
habitués,habitué,21
",",",",p
éloignés,éloigné,31
de,de,81
quelques,quelque,75
pas,pas,21
",",",",p
et,et,82
jouant,jouer,13
la,le,71
discrétion,discrétion,22
",",",",p
leur,leur,52
jetaient,jeter,18
à la dérobée,à la dérobée,60
des,de,81
des,le,71
coups,coup,21
d',de,81
oeil,oeil,21
où,où,60
l',le,71
admiration,admiration,22
se,se,51
mêlait,mêler,18
à,à,81
la,le,71
curiosité,curiosité,22
/.,/.,P
Rougon,Rougon,20
prendrait,prendre,16
le,le,71
titre,titre,21
de,de,81
président,président,21
de,de,81
la,le,71
commission,commission,22
municipale,municipal,30
;,;,p
Granoux,Granoux,20
serait,être,16
secrétaire,secrétaire,21
;,;,p
quant,quand,83
à,à,81
Roudier,Roudier,20
",",",",p
il,il,51
devenait,devenir,18
commandant,commandant,21
en,en,81
chef,chef,21
de,de,81
la,le,71
garde,garde,22
nationale,national,30
réorganisée,réorganisé,31
/.,/.,P
ces,ce,74
messieurs,monsieur,21
se,se,51
jurèrent,jurer,19
un,un,71
appui,appui,21
mutuel,mutuel,30
",",",",p
d',de,81
une,un,71
solidité,solidité,22
à,à,81
toute,tout,75
épreuve,épreuve,22
/.,/.,P
Félicité,Félicité,20
",",",",p
qui,qui,52
s',se,51
était,être,18
approchée,approcher,12
d',de,81
eux,ils,51
",",",",p
leur,leur,52
demanda,demander,19
brusquement,brusquement,60
:,:,p
-,-,p
et,et,82
Vuillet,Vuillet,20
/?,/?,P
ils,ils,51
se,se,51
regardèrent,regarder,19
/.,/.,P
personne,personne,52
n',ne,60
avait,avoir,18
aperçu,apercevoir,12
Vuillet,Vuillet,20
/.,/.,P
Rougon,Rougon,20
eut,avoir,19
une,un,71
légère,léger,30
grimace,grimace,22
d',de,81
inquiétude,inquiétude,22
/.,/.,P
-,-,p
peut-être,peut-être,60
qu',que,83
on,on,51
l',le,52
a,avoir,17
emmené,emmener,12
avec,avec,81
les,le,71
autres,autre,52
…,…,p
dit,dire,19
il,il,51
pour,pour,81
se,se,51
tranquilliser,tranquilliser,14
/.,/.,P
mais,mais,82
Félicité,Félicité,20
secoua,secouer,19
la,le,71
tête,tête,22
/.,/.,P
Vuillet,Vuillet,20
n',ne,60
était,être,18
pas,pas,60
un,un,71
homme,homme,21
à,à,81
se,se,51
laisser,laisser,14
prendre,prendre,14
/.,/.,P
du,de,81
du,le,71
moment,moment,21
qu',que,83
on,on,51
ne,ne,60
le,le,52
voyait,voir,18
pas,pas,60
",",",",p
qu',que,83
on,on,51
ne,ne,60
l',le,52
entendait,entendre,18
pas,pas,60
",",",",p
c',ce,52
est,être,17
qu',que,83
il,il,51
faisait,faire,18
quelque,quelque,75
chose,chose,22
de,de,81
mal,mal,30
/.,/.,P
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
",",",",p
Vuillet,Vuillet,20
entra,entrer,19
/.,/.,P
il,il,51
salua,saluer,19
humblement,humblement,60
",",",",p
avec,avec,81
son,son,73
clignement,clignement,21
de,de,81
paupières,paupière,22
",",",",p
son,son,73
sourire,sourire,21
pincé,pincé,31
de,de,81
sacristain,sacristain,21
/.,/.,P
puis,puis,60
il,il,51
vint,venir,19
tendre,tendre,14
sa,son,73
main,main,22
humide,humide,30
à,à,81
Rougon,Rougon,20
et,et,82
aux,à,81
aux,le,71
deux,deux,72
autres,autre,52
/.,/.,P
Vuillet,Vuillet,20
avait,avoir,18
fait,faire,12
ses,son,73
petites,petit,30
affaires,affaire,22
tout,tout,60
seul,seul,30
/.,/.,P
il,il,51
s',se,51
était,être,18
taillé,tailler,12
lui-même,lui-même,51
sa,son,73
part,part,22
du,de,81
du,le,71
gâteau,gâteau,21
",",",",p
comme,comme,83
aurait,avoir,16
dit,dire,12
Félicité,Félicité,20
/.,/.,P
il,il,51
avait,avoir,18
vu,voir,12
",",",",p
par,par,81
le,le,71
soupirail,soupirail,21
de,de,81
sa,son,73
cave,cave,22
",",",",p
les,le,71
insurgés,insurgé,21
venir,venir,14
arrêter,arrêter,14
le,le,71
directeur,directeur,21
des,de,81
des,le,71
postes,poste,22
",",",",p
dont,dont,52
les,le,71
bureaux,bureau,21
étaient,être,18
voisins,voisin,30
de,de,81
sa,son,73
librairie,librairie,22
/.,/.,P
aussi,aussi,60
",",",",p
dès,dès,81
le,le,71
matin,matin,21
",",",",p
à,à,81
l',le,71
heure,heure,22
même,même,30
où,où,60
Rougon,Rougon,20
s',se,51
asseyait,asseoir,18
dans,dans,81
le,le,71
fauteuil,fauteuil,21
du,de,81
du,le,71
maire,maire,21
",",",",p
était,être,18
il,il,51
allé,aller,12
s',se,51
installer,installer,14
tranquillement,tranquillement,60
dans,dans,81
le,le,71
cabinet,cabinet,21
du,de,81
du,le,71
directeur,directeur,21
/.,/.,P
il,il,51
connaissait,connaître,18
les,le,71
employés,employé,21
;,;,p
il,il,51
les,le,52
avait,avoir,18
reçus,recevoir,12
à,à,81
leur,leur,73
arrivée,arrivée,22
",",",",p
en,en,81
leur,leur,52
disant,dire,13
qu',que,83
il,il,51
remplacerait,remplacer,16
leur,leur,73
chef,chef,21
jusqu',jusque,81
à,à,81
son,son,73
retour,retour,21
",",",",p
et,et,82
qu',que,52
ils,ils,51
n',ne,60
eussent,avoir,18
à,à,81
s',se,51
inquiéter,inquiéter,14
de,de,81
rien,rien,52
/.,/.,P
puis,puis,60
il,il,51
avait,avoir,18
fouillé,fouiller,12
le,le,71
courrier,courrier,21
du,de,81
du,le,71
matin,matin,21
avec,avec,81
une,un,71
curiosité,curiosité,22
mal,mal,60
dissimulée,dissimulé,31
;,;,p
il,il,51
flairait,flairer,18
les,le,71
lettres,lettre,22
;,;,p
il,il,51
semblait,sembler,18
en,en,52
chercher,chercher,14
une,un,52
particulièrement,particulièrement,60
/.,/.,P
sans,sans,81
doute,doute,21
sa,son,73
situation,situation,22
nouvelle,nouveau,30
répondait,répondre,18
à,à,81
un,un,52
de,de,81
ses,son,73
plans,plan,21
secrets,secret,30
",",",",p
car,car,82
il,il,51
alla,aller,19
",",",",p
dans,dans,81
son,son,73
contentement,contentement,21
",",",",p
jusqu',jusque,81
à,à,81
donner,donner,14
à,à,81
un,un,52
de,de,81
ses,son,73
employés,employé,21
un,un,71
exemplaire,exemplaire,21
des,de,81
des,le,71
oeuvres,oeuvre,22
badines,badin,30
de,de,81
Piron,Piron,20
/.,/.,P
Vuillet,Vuillet,20
avait,avoir,18
un,un,71
fonds,fonds,21
très,très,60
