11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-huitième extrait>,<>,<>
aimer,aimer,14
;,;,p
car,car,82
il,il,51
ne,ne,60
t',tu,51
aime,aimer,17
pas,pas,60
",",",",p
lui,lui,51
",",",",p
il,il,51
est,être,17
trop,trop,60
bête,bête,30
",",",",p
trop,trop,60
enfant,enfant,21
pour,pour,81
comprendre,comprendre,14
comme,comme,83
tu,tu,51
es,être,17
jolie,joli,30
et,et,82
bonne,bon,30
",",",",p
et,et,82
faite,faire,12
pour,pour,81
être,être,14
recherchée,rechercher,12
/.,/.,P
allons,aller,17
",",",",p
Marie,Marie,20
",",",",p
ne,ne,60
me,je,51
déteste,détester,17
pas,pas,60
",",",",p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
un,un,71
méchant,méchant,30
homme,homme,21
:,:,p
j',je,51
ai,avoir,17
rendu,rendre,12
ma,mon,73
Catherine,Catherine,20
heureuse,heureux,30
",",",",p
elle,il,51
a,avoir,17
dit,dire,12
devant,devant,81
dieu,dieu,21
à,à,81
son,son,73
lit,lit,21
de,de,81
mort,mort,22
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
eu,avoir,12
de,de,81
moi,moi,51
que,que,83
du,de,81
du,le,71
contentement,contentement,21
",",",",p
et,et,82
elle,il,51
m',je,51
a,avoir,17
recommandé,recommander,12
de,de,81
me,je,51
remarier,remarier,14
/.,/.,P
il,il,51
semble,sembler,17
que,que,83
son,son,73
esprit,esprit,21
ait,avoir,17
parlé,parler,12
ce,ce,74
soir,soir,21
à,à,81
son,son,73
enfant,enfant,21
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
il,il,51
s',se,51
est,être,17
endormi,endormir,12
/.,/.,P
est,être,17
ce,ce,52
que,que,83
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
entendu,entendre,12
ce,ce,52
qu',que,52
il,il,51
disait,dire,18
?,?,p
et,et,82
comme,comme,83
sa,son,73
petite,petit,30
bouche,bouche,22
tremblait,trembler,18
pendant,pendant,81
que,que,83
ses,son,73
yeux,oeil,21
regardaient,regarder,18
en,en,81
l',le,71
air,air,21
quelque,quelque,75
chose,chose,22
que,que,52
nous,nous,51
ne,ne,60
pouvions,pouvoir,18
pas,pas,60
voir,voir,14
/!,/!,P
il,il,51
voyait,voir,18
sa,son,73
mère,mère,22
",",",",p
sois,être,17
en,en,52
sûre,sûr,30
",",",",p
et,et,82
c',ce,52
était,être,18
elle,il,51
qui,qui,52
lui,lui,51
faisait,faire,18
dire,dire,14
qu',que,83
il,il,51
te,tu,51
voulait,vouloir,18
pour,pour,81
la,le,52
remplacer,remplacer,14
/.,/.,P
-,-,p
Germain,Germain,20
",",",",p
répondit,répondre,19
Marie,Marie,20
",",",",p
tout,tout,60
étonnée,étonné,31
et,et,82
toute,tout,60
pensive,pensif,30
",",",",p
vous,vous,51
parlez,parler,17
honnêtement,honnêtement,60
et,et,82
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
dites,dire,17
est,être,17
vrai,vrai,30
/.,/.,P
je,je,51
suis,être,17
sûre,sûr,30
que,que,83
je,je,51
ferais,faire,16
bien,bien,60
de,de,81
vous,vous,51
aimer,aimer,14
",",",",p
si,si,83
ça,ça,52
ne,ne,60
mécontentait,mécontenter,18
pas,pas,60
trop,trop,60
vos,votre,73
parents,parent,21
;,;,p
mais,mais,82
que,que,52
voulez,vouloir,17
vous,vous,51
que,que,83
j',je,51
y,y,52
fasse,faire,17
?,?,p
le,le,71
coeur,coeur,21
ne,ne,60
m',je,51
en,en,52
dit,dire,17
pas,pas,60
pour,pour,81
vous,vous,51
/.,/.,P
je,je,51
vous,vous,51
aime,aimer,17
bien,bien,60
;,;,p
mais,mais,82
quoique,quoique,83
votre,votre,73
âge,âge,21
ne,ne,60
vous,vous,51
enlaidisse,enlaidir,18
pas,pas,60
",",",",p
il,il,51
me,je,51
fait,faire,17
peur,peur,22
/.,/.,P
il,il,51
me,je,51
semble,sembler,17
que,que,83
vous,vous,51
êtes,être,17
quelque,quelque,75
chose,chose,22
pour,pour,81
moi,moi,51
",",",",p
comme,comme,83
un,un,71
oncle,oncle,21
ou,ou,82
un,un,71
parrain,parrain,21
;,;,p
que,que,83
je,je,51
vous,vous,51
dois,devoir,17
le,le,71
respect,respect,21
et,et,82
que,que,83
vous,vous,51
auriez,avoir,16
des,de,81
des,le,71
moments,moment,21
où,où,60
vous,vous,51
me,je,51
traiteriez,traiter,16
comme,comme,83
une,un,71
petite,petit,30
fille,fille,22
plutôt,plutôt,60
que,que,83
comme,comme,83
votre,votre,73
femme,femme,22
et,et,82
votre,votre,73
égale,égale,22
/.,/.,P
enfin,enfin,60
",",",",p
mes,mon,73
camarades,camarade,22
se,se,51
moqueraient,moquer,16
peut-être,peut-être,60
de,de,81
moi,moi,51
",",",",p
et,et,82
quoique,quoique,83
ça,ça,52
soit,être,17
une,un,71
sottise,sottise,22
de,de,81
faire,faire,14
attention,attention,22
à,à,81
cela,cela,52
",",",",p
je,je,51
crois,croire,17
que,que,83
je,je,51
serais,être,16
honteuse,honteux,30
et,et,82
un,un,71
peu,peu,60
triste,triste,30
le,le,71
jour,jour,21
de,de,81
mes,mon,73
noces,noce,22
/.,/.,P
-,-,p
ce,ce,52
sont,être,17
là,là,60
des,de,81
des,le,71
raisons,raison,22
d',de,81
enfant,enfant,21
;,;,p
tu,tu,51
parles,parler,17
tout,tout,60
à,à,81
fait,fait,21
comme,comme,83
un,un,71
enfant,enfant,21
",",",",p
Marie,Marie,20
/!,/!,P
eh,eh,93
bien,bien,60
!,!,p
oui,oui,60
",",",",p
je,je,51
suis,être,17
un,un,71
enfant,enfant,21
",",",",p
dit,dire,19
elle,il,51
",",",",p
et,et,82
c',ce,52
est,être,17
à,à,81
cause,cause,22
de,de,81
cela,cela,52
que,que,52
je,je,51
crains,craindre,17
un,un,71
homme,homme,21
trop,trop,60
raisonnable,raisonnable,30
/.,/.,P
vous,vous,51
voyez,voir,17
bien,bien,60
que,que,83
je,je,51
suis,être,17
trop,trop,60
jeune,jeune,30
pour,pour,81
vous,vous,51
puisque,puisque,83
déjà,déjà,60
vous,vous,51
me,je,51
reprochez,reprocher,17
de,de,81
parler,parler,14
sans,sans,81
raison,raison,22
/!,/!,P
je,je,51
ne,ne,60
puis,pouvoir,17
pas,pas,60
avoir,avoir,14
plus,plus,60
de,de,81
raison,raison,22
que,que,83
mon,mon,73
âge,âge,21
n',ne,60
en,en,52
comporte,comporter,17
/.,/.,P
-,-,p
hélas,hélas,60
!,!,p
mon,mon,73
dieu,dieu,21
",",",",p
que,que,52
je,je,51
suis,être,17
donc,donc,82
à,à,81
plaindre,plaindre,14
d',de,81
être,être,14
si,si,60
maladroit,maladroit,30
et,et,82
de,de,81
dire,dire,14
si,si,60
mal,mal,60
ce,ce,52
que,que,52
je,je,51
pense,penser,17
!,!,p
s',se,51
écria,écrier,19
Germain,Germain,20
/.,/.,P
Marie,Marie,20
",",",",p
vous,vous,51
ne,ne,60
m',je,51
aimez,aimer,17
pas,pas,60
",",",",p
voilà,voilà,81
le,le,71
fait,fait,21
;,;,p
vous,vous,51
me,je,51
trouvez,trouver,17
trop,trop,60
simple,simple,30
et,et,82
trop,trop,60
lourd,lourd,30
/.,/.,P
si,si,83
vous,vous,51
m',je,51
aimiez,aimer,18
un,un,71
peu,peu,60
",",",",p
vous,vous,51
ne,ne,60
verriez,voir,16
pas,pas,60
si,si,60
clairement,clairement,60
mes,mon,73
défauts,défaut,21
/.,/.,P
mais,mais,82
vous,vous,51
ne,ne,60
m',je,51
aimez,aimer,17
pas,pas,60
",",",",p
voilà,voilà,81
/!,/!,P
eh,eh,93
bien,bien,60
!,!,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
ma,mon,73
faute,faute,22
",",",",p
répondit,répondre,19
elle,il,51
",",",",p
un,un,71
peu,peu,60
blessée,blessé,31
de,de,81
ce,ce,52
qu',que,52
il,il,51
ne,ne,60
la,le,52
tutoyait,tutoyer,18
plus,plus,60
;,;,p
j',je,51
y,y,52
fais,faire,17
mon,mon,73
possible,possible,21
en,en,81
vous,vous,51
écoutant,écouter,13
",",",",p
mais,mais,82
plus,plus,60
je,je,51
m',je,51
y,y,52
essaye,essayer,17
et,et,82
moins,moins,60
je,je,51
peux,pouvoir,17
me,je,51
mettre,mettre,14
dans,dans,81
la,le,71
tête,tête,22
que,que,83
nous,nous,51
devions,devoir,17
être,être,14
mari,mari,21
et,et,82
femme,femme,22
/.,/.,P
Germain,Germain,20
ne,ne,60
répondit,répondre,19
pas,pas,60
/.,/.,P
il,il,51
mit,mettre,19
sa,son,73
tête,tête,22
dans,dans,81
ses,son,73
deux,deux,72
mains,main,22
et,et,82
il,il,51
fut,être,19
impossible,impossible,30
à,à,81
la,le,71
petite,petit,30
Marie,Marie,20
de,de,81
savoir,savoir,14
s',si,83
il,il,51
pleurait,pleurer,18
",",",",p
s',si,83
il,il,51
boudait,bouder,18
ou,ou,82
s',si,83
il,il,51
était,être,18
endormi,endormir,12
/.,/.,P
elle,il,51
fut,être,19
un,un,71
peu,peu,60
inquiète,inquiet,30
de,de,81
le,le,52
voir,voir,14
si,si,60
morne,morne,30
et,et,82
de,de,81
ne,ne,60
pas,pas,60
deviner,deviner,14
ce,ce,52
qu',que,52
il,il,51
roulait,rouler,18
dans,dans,81
son,son,73
esprit,esprit,21
;,;,p
mais,mais,82
elle,il,51
n',ne,60
osa,oser,19
pas,pas,60
lui,lui,51
parler,parler,14
davantage,davantage,60
",",",",p
et,et,82
comme,comme,83
elle,il,51
était,être,18
trop,trop,60
étonnée,étonner,12
de,de,81
ce,ce,52
qui,qui,52
venait,venir,18
de,de,81
se,se,51
passer,passer,14
pour,pour,81
avoir,avoir,14
envie,envie,22
de,de,81
se,se,51
rendormir,rendormir,14
",",",",p
elle,il,51
attendit,attendre,19
le,le,71
jour,jour,21
avec,avec,81
impatience,impatience,22
",",",",p
soignant,soigner,13
toujours,toujours,60
le,le,71
feu,feu,21
et,et,82
veillant,veiller,13
l',le,71
enfant,enfant,21
dont,dont,52
Germain,Germain,20
paraissait,paraître,18
ne,ne,60
plus,plus,60
se,se,51
souvenir,souvenir,14
/.,/.,P
cependant,cependant,82
",",",",p
Germain,Germain,20
ne,ne,60
dormait,dormir,18
point,point,60
;,;,p
il,il,51
ne,ne,60
réfléchissait,réfléchir,18
pas,pas,60
à,à,81
son,son,73
sort,sort,21
et,et,82
ne,ne,60
faisait,faire,18
ni,ni,82
projets,projet,21
de,de,81
courage,courage,21
",",",",p
ni,ni,82
plans,plan,21
de,de,81
séduction,séduction,22
/.,/.,P
il,il,51
souffrait,souffrir,18
",",",",p
il,il,51
avait,avoir,18
une,un,71
montagne,montagne,22
d',de,81
ennuis,ennui,21
sur,sur,81
le,le,71
coeur,coeur,21
/.,/.,P
il,il,51
aurait,avoir,16
voulu,vouloir,12
être,être,14
mort,mourir,12
/.,/.,P
tout,tout,52
paraissait,paraître,18
devoir,devoir,14
tourner,tourner,14
mal,mal,60
pour,pour,81
lui,lui,51
",",",",p
et,et,82
s',si,83
il,il,51
eût,avoir,19
pu,pouvoir,12
pleurer,pleurer,14
",",",",p
il,il,51
ne,ne,60
l',le,52
aurait,avoir,16
pas,pas,60
fait,faire,12
à,à,81
demi,demi,30
/.,/.,P
mais,mais,82
il,il,51
y,y,52
avait,avoir,18
un,un,71
peu,peu,60
de,de,81
colère,colère,22
contre,contre,81
lui-même,lui-même,51
",",",",p
mêlée,mêlé,31
à,à,81
sa,son,73
peine,peine,22
",",",",p
et,et,82
il,il,51
étouffait,étouffer,18
sans,sans,81
pouvoir,pouvoir,14
et,et,82
sans,sans,81
vouloir,vouloir,14
se,se,51
plaindre,plaindre,14
/.,/.,P
quand,quand,83
le,le,71
jour,jour,21
fut,être,19
venu,venir,12
et,et,82
que,que,83
les,le,71
bruits,bruit,21
de,de,81
la,le,71
campagne,campagne,22
l',le,52
annoncèrent,annoncer,19
à,à,81
Germain,Germain,20
",",",",p
il,il,51
sortit,sortir,19
son,son,73
visage,visage,21
de,de,81
ses,son,73
mains,main,22
et,et,82
se,se,51
leva,lever,19
/.,/.,P
il,il,51
vit,voir,19
que,que,83
la,le,71
petite,petit,30
Marie,Marie,20
n',ne,60
avait,avoir,18
pas,pas,60
dormi,dormir,12
non,non,60
plus,plus,60
",",",",p
mais,mais,82
il,il,51
ne,ne,60
sut,savoir,19
rien,rien,52
lui,lui,51
dire,dire,14
pour,pour,81
marquer,marquer,14
sa,son,73
sollicitude,sollicitude,22
/.,/.,P
il,il,51
était,être,18
tout,tout,60
à,à,81
fait,fait,21
découragé,décourager,12
/.,/.,P
il,il,51
cacha,cacher,19
de,de,81
nouveau,nouveau,21
le,le,71
bât,bât,21
de,de,81
la,le,71
grise,gris,30
dans,dans,81
les,le,71
buissons,buisson,21
",",",",p
prit,prendre,19
son,son,73
sac,sac,21
sur,sur,81
son,son,73
épaule,épaule,22
et,et,82
",",",",p
tenant,tenir,13
son,son,73
fils,fils,21
par,par,81
la,le,71
main,main,22
:,:,p
-,-,p
à,à,81
présent,présent,21
",",",",p
Marie,Marie,20
",",",",p
dit,dire,19
il,il,51
",",",",p
nous,nous,51
allons,aller,17
tâcher,tâcher,14
d',de,81
achever,achever,14
notre,notre,73
voyage,voyage,21
/.,/.,P
veux,vouloir,17
tu,tu,51
que,que,83
je,je,51
te,tu,51
conduise,conduire,17
aux,à,81
aux,le,71
Ormeaux,Ormeaux,20
/?,/?,P
nous,nous,51
sortirons,sortir,15
du,de,81
du,le,71
bois,bois,21
ensemble,ensemble,60
",",",",p
lui,lui,51
répondit,répondre,19
elle,il,51
",",",",p
et,et,82
quand,quand,83
nous,nous,51
saurons,savoir,15
où,où,60
nous,nous,51
sommes,être,17
",",",",p
nous,nous,51
irons,aller,15
chacun,chacun,52
de,de,81
notre,notre,73
côté,côté,21
/.,/.,P
Germain,Germain,20
ne,ne,60
répondit,répondre,19
pas,pas,60
/.,/.,P
il,il,51
était,être,18
blessé,blesser,12
de,de,81
ce,ce,52
que,que,52
la,le,71
jeune,jeune,30
fille,fille,22
ne,ne,60
lui,lui,51
demandait,demander,18
pas,pas,60
de,de,81
la,le,52
mener,mener,14
jusqu',jusque,81
aux,à,81
aux,le,71
Ormeaux,Ormeaux,20
",",",",p
et,et,82
il,il,51
ne,ne,60
s',se,51
apercevait,apercevoir,18
pas,pas,60
qu',que,83
il,il,51
le,le,52
lui,lui,51
avait,avoir,18
offert,offrir,12
d',de,81
un,un,71
ton,ton,21
qui,qui,52
semblait,sembler,18
provoquer,provoquer,14
un,un,71
refus,refus,21
/.,/.,P
un,un,71
bûcheron,bûcheron,21
qu',que,52
ils,ils,51
rencontrèrent,rencontrer,19
au,à,81
au,le,71
bout,bout,21
de,de,81
deux,deux,72
cents,cent,72
pas,pas,21
les,le,52
mit,mettre,19
dans,dans,81
le,le,71
bon,bon,30
chemin,chemin,21
et,et,82
leur,leur,73
dit,dire,19
qu',que,83
après,après,81
avoir,avoir,14
passé,passer,12
la,le,71
grande,grand,30
prairie,prairie,22
ils,ils,51
n',ne,60
avaient,avoir,18
qu',que,83
à,à,81
prendre,prendre,14
",",",",p
l',le,71
un,un,52
tout,tout,60
droit,droit,60
",",",",p
l',le,71
autre,autre,52
sur,sur,81
la,le,71
gauche,gauche,22
",",",",p
pour,pour,81
gagner,gagner,14
leurs,leur,73
différents,différent,30
gîtes,gîte,21
",",",",p
qui,qui,52
étaient,être,18
d',de,81
ailleurs,ailleurs,60
si,si,60
voisins,voisin,30
qu',que,83
on,on,51
voyait,voir,18
distinctement,distinctement,60
les,le,71
maisons,maison,22
de,de,81
Fourche,Fourche,20
de,de,81
la,le,71
ferme,ferme,22
des,de,81
des,le,71
Ormeaux,Ormeaux,20
",",",",p
et,et,82
réciproquement,réciproquement,60
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
ils,ils,51
eurent,avoir,19
remercié,remercier,12
et,et,82
dépassé,dépasser,12
le,le,71
bûcheron,bûcheron,21
",",",",p
celui-ci,celui-ci,52
les,le,52
rappela,rappeler,19
pour,pour,81
leur,leur,52
demander,demander,14
s',si,83
ils,ils,51
n',ne,60
avaient,avoir,18
pas,pas,60
perdu,perdre,12
un,un,71
cheval,cheval,21
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
trouvé,trouver,12
",",",",p
leur,leur,52
dit,dire,19
il,il,51
",",",",p
une,un,71
belle,beau,30
jument,jument,22
grise,gris,30
dans,dans,81
ma,mon,73
cour,cour,22
",",",",p
où,où,60
peut-être,peut-être,60
le,le,71
loup,loup,21
l',le,52
aura,avoir,15
forcée,forcer,12
de,de,81
chercher,chercher,14
un,un,71
refuge,refuge,21
/.,/.,P
mes,mon,73
chiens,chien,21
ont,avoir,17
jappé,japper,12
à,à,81
nuitée,nuitée,22
",",",",p
et,et,82
au,à,81
au,le,71
point,point,21
du,de,81
du,le,71
jour,jour,21
j',je,51
ai,avoir,17
vu,voir,12
la,le,71
bête,bête,22
chevaline,chevalin,30
sous,sous,81
mon,mon,73
hangar,hangar,21
;,;,p
elle,il,51
y,y,52
est,être,17
encore,encore,60
/.,/.,P
allons,aller,17
y,y,52
",",",",p
et,et,82
si,si,83
vous,vous,51
la,le,52
reconnaissez,reconnaître,17
",",",",p
emmenez,emmener,17
la,le,52
/.,/.,P
Germain,Germain,20
",",",",p
ayant,avoir,13
donné,donner,12
d',de,81
avance,avance,22
le,le,71
signalement,signalement,21
de,de,81
la,le,71
grise,gris,30
et,et,82
s',se,51
étant,être,13
convaincu,convaincre,12
qu',que,83
il,il,51
s',se,51
agissait,agir,18
bien,bien,60
d',de,81
elle,il,51
",",",",p
se,se,51
mit,mettre,19
en,en,81
route,route,22
pour,pour,81
aller,aller,14
rechercher,rechercher,14
son,son,73
bât,bât,21
/.,/.,P
la,le,71
petite,petit,30
Marie,Marie,20
lui,lui,51
offrit,offrir,19
alors,alors,60
de,de,81
conduire,conduire,14
son,son,73
enfant,enfant,21
aux,à,81
aux,le,71
Ormeaux,Ormeaux,20
",",",",p
où,où,60
il,il,51
viendrait,venir,16
le,le,52
reprendre,reprendre,14
lorsqu',lorsque,83
il,il,51
aurait,avoir,16
fait,faire,12
son,son,73
entrée,entrée,22
à,à,81
Fourche,Fourche,20
/.,/.,P
-,-,p
il,il,51
est,être,17
un,un,71
peu,peu,60
malpropre,malpropre,30
après,après,81
la,le,71
nuit,nuit,22
que,que,52
nous,nous,51
avons,avoir,17
passée,passer,12
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
je,je,51
nettoierai,nettoyer,15
ses,son,73
habits,habit,21
",",",",p
je,je,51
laverai,laver,15
son,son,73
joli,joli,30
museau,museau,21
",",",",p
je,je,51
le,le,52
peignerai,peigner,15
",",",",p
et,et,82
quand,quand,83
il,il,51
sera,être,15
beau,beau,30
et,et,82
brave,brave,30
",",",",p
vous,vous,51
pourrez,pouvoir,15
le,le,52
présenter,présenter,14
à,à,81
votre,votre,73
nouvelle,nouveau,30
famille,famille,22
/.,/.,P
-,-,p
et,et,82
qui,qui,52
te,tu,51
dit,dire,17
que,que,83
je,je,51
veuille,vouloir,17
aller,aller,14
à,à,81
Fourche,Fourche,20
?,?,p
répondit,répondre,19
Germain,Germain,20
avec,avec,81
humeur,humeur,22
/.,/.,P
peut-être,peut-être,60
n',ne,60
irai,aller,15
je,je,51
pas,pas,60
/.,/.,P
-,-,p
si,si,60
fait,fait,31
",",",",p
Germain,Germain,20
",",",",p
vous,vous,51
devez,devoir,17
y,y,52
aller,aller,14
",",",",p
vous,vous,51
irez,aller,15
",",",",p
reprit,reprendre,19
la,le,71
jeune,jeune,30
fille,fille,22
/.,/.,P
-,-,p
tu,tu,51
es,être,17
bien,bien,60
pressée,presser,12
que,que,83
je,je,51
me,je,51
marie,marier,17
avec,avec,81
une,un,71
autre,autre,52
",",",",p
afin,afin,81
d',de,81
être,être,14
sûre,sûr,30
que,que,83
je,je,51
ne,ne,60
t',tu,51
ennuierai,ennuyer,15
plus,plus,60
/?,/?,P
allons,aller,17
",",",",p
Germain,Germain,20
",",",",p
ne,ne,60
pensez,penser,17
plus,plus,60
à,à,81
cela,cela,52
:,:,p
c',ce,52
est,être,17
une,un,71
idée,idée,22
qui,qui,52
vous,vous,51
est,être,17
venue,venir,12
dans,dans,81
la,le,71
nuit,nuit,22
",",",",p
parce que,parce que,83
cette,ce,74
mauvaise,mauvais,30
aventure,aventure,22
avait,avoir,18
un,un,71
peu,peu,60
dérangé,déranger,12
vos,votre,73
esprits,esprit,21
/.,/.,P
mais,mais,82
",",",",p
à,à,81
présent,présent,21
",",",",p
il,il,51
faut,falloir,17
que,que,83
la,le,71
raison,raison,22
vous,vous,51
revienne,revenir,17
;,;,p
je,je,51
vous,vous,51
promets,promettre,17
d',de,81
oublier,oublier,14
ce,ce,52
que,que,52
vous,vous,51
m',je,51
avez,avoir,17
dit,dire,12
et,et,82
de,de,81
n',ne,60
en,en,52
jamais,jamais,60
parler,parler,14
à,à,81
personne,personne,52
/.,/.,P
-,-,p
eh,eh,93
!,!,p
parles,parler,17
en,en,52
si,si,83
tu,tu,51
veux,vouloir,17
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
l',le,71
habitude,habitude,22
de,de,81
renier,renier,14
mes,mon,73
paroles,parole,22
/.,/.,P
ce,ce,52
que,que,52
je,je,51
t',tu,51
ai,avoir,17
dit,dire,12
était,être,18
vrai,vrai,30
",",",",p
honnête,honnête,30
",",",",p
et,et,82
je,je,51
n',ne,60
en,en,52
rougirais,rougir,16
devant,devant,81
personne,personne,52
/.,/.,P
-,-,p
oui,oui,60
;,;,p
mais,mais,82
si,si,83
votre,votre,73
future,future,22
savait,savoir,18
qu',que,83
au,à,81
au,le,71
moment,moment,21
d',de,81
arriver,arriver,14
",",",",p
vous,vous,51
avez,avoir,17
pensé,penser,12
à,à,81
une,un,71
autre,autre,52
",",",",p
ça,ça,52
la,le,52
disposerait,disposer,16
mal,mal,60
pour,pour,81
vous,vous,51
/.,/.,P
ainsi,ainsi,60
faites,faire,17
attention,attention,22
aux,à,81
aux,le,71
paroles,parole,22
que,que,52
vous,vous,51
direz,dire,15
maintenant,maintenant,60
;,;,p
ne,ne,60
me,je,51
regardez,regarder,17
pas,pas,60
comme,comme,83
ça,ça,52
devant,devant,81
le,le,71
monde,monde,21
avec,avec,81
un,un,71
air,air,21
tout,tout,60
singulier,singulier,30
/.,/.,P
songez,songer,17
au,à,81
au,le,71
père,père,21
Maurice,Maurice,20
qui,qui,52
compte,compter,17
sur,sur,81
votre,votre,73
obéissance,obéissance,22
",",",",p
et,et,82
qui,qui,52
serait,être,16
bien,bien,60
en,en,81
colère,colère,22
contre,contre,81
moi,moi,51
si,si,83
je,je,51
vous,vous,51
détournais,détourner,18
de,de,81
faire,faire,14
sa,son,73
volonté,volonté,22
/.,/.,P
bonjour,bonjour,21
",",",",p
Germain,Germain,20
;,;,p
j',je,51
emmène,emmener,17
Petit-Pierre,Petit Pierre,20
afin,afin,81
de,de,81
vous,vous,51
forcer,forcer,14
d',de,81
aller,aller,14
à,à,81
Fourche,Fourche,20
/.,/.,P
c',ce,52
est,être,17
un,un,71
gage,gage,21
que,que,52
je,je,51
vous,vous,51
garde,garder,17
/.,/.,P
-,-,p
tu,tu,51
veux,vouloir,17
donc,donc,82
aller,aller,14
avec,avec,81
elle,il,51
?,?,p
dit,dire,19
le,le,71
laboureur,laboureur,21
à,à,81
son,son,73
fils,fils,21
",",",",p
en,en,81
voyant,voir,13
qu',que,83
il,il,51
s',se,51
attachait,attacher,18
aux,à,81
aux,le,71
mains,main,22
de,de,81
la,le,71
petite,petit,30
Marie,Marie,20
et,et,82
qu',que,83
il,il,51
la,le,52
suivait,suivre,18
résolument,résolument,60
/.,/.,P
-,-,p
oui,oui,60
",",",",p
père,père,21
",",",",p
répondit,répondre,19
l',le,71
enfant,enfant,21
qui,qui,52
avait,avoir,18
écouté,écouter,12
et,et,82
compris,comprendre,12
à,à,81
sa,son,73
manière,manière,22
ce,ce,52
qu',que,52
on,on,51
venait,venir,18
de,de,81
dire,dire,14
sans,sans,81
méfiance,méfiance,22
devant,devant,81
lui,lui,51
/.,/.,P
je,je,51
m',je,51
en,en,52
vais,aller,17
avec,avec,81
ma,mon,73
Marie,Marie,20
mignonne,mignon,30
:,:,p
tu,tu,51
viendras,venir,15
me,je,51
chercher,chercher,14
quand,quand,83
tu,tu,51
auras,avoir,15
fini,finir,12
de,de,81
te,tu,51
marier,marier,14
;,;,p
mais,mais,82
je,je,51
veux,vouloir,17
que,que,83
Marie,Marie,20
reste,rester,17
ma,mon,73
petite,petit,30
mère,mère,22
/.,/.,P
-,-,p
tu,tu,51
vois,voir,17
bien,bien,60
qu',que,83
il,il,51
le,le,52
veut,vouloir,17
",",",",p
lui,lui,51
!,!,p
dit,dire,19
Germain,Germain,20
à,à,81
la,le,71
jeune,jeune,30
fille,fille,22
/.,/.,P
écoute,écouter,17
",",",",p
Petit-Pierre,Petit Pierre,20
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
",",",",p
moi,moi,51
je,je,51
le,le,52
souhaite,souhaiter,17
",",",",p
qu',que,83
elle,il,51
soit,être,17
ta,ton,73
mère,mère,22
et,et,82
qu',que,83
elle,il,51
reste,rester,17
toujours,toujours,60
avec,avec,81
toi,toi,51
:,:,p
c',ce,52
est,être,17
elle,il,51
qui,qui,52
ne,ne,60
le,le,52
veut,vouloir,17
pas,pas,60
/.,/.,P
tâche,tâcher,17
qu',que,83
elle,il,51
t',tu,51
accorde,accorder,17
ce,ce,52
qu',que,52
elle,il,51
me,je,51
refuse,refuser,17
/.,/.,P
-,-,p
sois,être,17
tranquille,tranquille,30
",",",",p
mon,mon,73
père,père,21
",",",",p
je,je,51
lui,lui,51
ferai,faire,15
dire,dire,14
oui,oui,60
:,:,p
la,le,71
petite,petit,30
Marie,Marie,20
fait,faire,17
toujours,toujours,60
ce,ce,52
que,que,52
je,je,51
veux,vouloir,17
/.,/.,P
il,il,51
s',se,51
éloigna,éloigner,19
avec,avec,81
la,le,71
jeune,jeune,30
fille,fille,22
/.,/.,P
Germain,Germain,20
resta,rester,19
seul,seul,30
",",",",p
plus,plus,60
triste,triste,30
",",",",p
plus,plus,60
irrésolu,irrésolu,30
que,que,83
jamais,jamais,60
/.,/.,P
<XII>,<>,<>
la,le,71
lionne,lionne,22
du,de,81
du,le,71
village,village,21
/.,/.,P
cependant,cependant,82
",",",",p
quand,quand,83
il,il,51
eut,avoir,19
réparé,réparer,12
le,le,71
désordre,désordre,21
du,de,81
du,le,71
voyage,voyage,21
dans,dans,81
ses,son,73
vêtements,vêtement,21
et,et,82
dans,dans,81
l',le,71
équipage,équipage,21
de,de,81
son,son,73
cheval,cheval,21
",",",",p
quand,quand,83
il,il,51
fut,être,19
monté,monter,12
sur,sur,81
la,le,71
grise,gris,30
et,et,82
qu',que,83
on,on,51
lui,lui,51
eut,avoir,19
indiqué,indiquer,12
le,le,71
chemin,chemin,21
de,de,81
Fourche,Fourche,20
",",",",p
il,il,51
pensa,penser,19
qu',que,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
à,à,81
reculer,reculer,14
et,et,82
qu',que,83
il,il,51
fallait,falloir,18
oublier,oublier,14
cette,ce,74
nuit,nuit,22
d',de,81
agitations,agitation,22
comme,comme,83
un,un,71
rêve,rêve,21
dangereux,dangereux,30
/.,/.,P
il,il,51
trouva,trouver,19
le,le,71
père,père,21
Léonard,Léonard,20
au,à,81
au,le,71
seuil,seuil,21
de,de,81
sa,son,73
maison,maison,22
blanche,blanc,30
