11688
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-cinquième extrait>,<>,<>
laisse,laisser,17
libre,libre,30
/.,/.,P
s',si,83
il,il,51
prend,prendre,17
tous,tout,75
ses,son,73
appointements,appointement,21
pour,pour,81
lui,lui,51
",",",",p
jamais,jamais,60
il,il,51
ne,ne,60
me,je,51
demande,demander,17
compte,compte,21
de,de,81
la,le,71
manière,manière,22
dont,dont,52
je,je,51
me,je,51
fais,faire,17
des,de,81
des,le,71
revenus,revenu,21
/…,/…,P
à,à,81
son,son,73
tour,tour,21
elle,il,51
s',se,51
arrêta,arrêter,19
",",",",p
comme,comme,83
une,un,71
femme,femme,22
qui,qui,52
se,se,51
sent,sentir,17
entraînée,entraîné,31
par,par,81
le,le,71
torrent,torrent,21
de,de,81
la,le,71
confidence,confidence,22
",",",",p
et,et,82
frappée,frappé,31
de,de,81
l',le,71
attention,attention,22
que,que,52
lui,lui,51
prêtait,prêter,18
Lisbeth,Lisbeth,20
",",",",p
elle,il,51
jugea,juger,19
nécessaire,nécessaire,30
de,de,81
s',se,51
assurer,assurer,14
d',de,81
elle,il,51
avant,avant,81
de,de,81
lui,lui,51
livrer,livrer,14
ses,son,73
derniers,dernier,30
secrets,secret,21
/.,/.,P
-,-,p
voyez,voir,17
",",",",p
ma,mon,73
petite,petite,22
",",",",p
quelle,quel,52
est,être,17
ma,mon,73
confiance,confiance,22
en,en,81
vous,vous,51
!,!,p
reprit,reprendre,19
madame,madame,22
Marneffe,Marneffe,20
à,à,81
qui,qui,52
Lisbeth,Lisbeth,20
répondit,répondre,19
par,par,81
un,un,71
signe,signe,21
excessivement,excessivement,60
rassurant,rassurant,30
/.,/.,P
on,on,51
jure,jurer,17
souvent,souvent,60
par,par,81
les,le,71
yeux,oeil,21
et,et,82
par,par,81
un,un,71
mouvement,mouvement,21
de,de,81
tête,tête,22
plus,plus,60
solennellement,solennellement,60
qu',que,83
à,à,81
la,le,71
cour,cour,22
d',de,81
assises,assise,22
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
tous,tout,75
les,le,71
dehors,dehors,21
de,de,81
l',le,71
honnêteté,honnêteté,22
",",",",p
reprit,reprendre,19
madame,madame,22
Marneffe,Marneffe,20
en,en,81
posant,poser,13
sa,son,73
main,main,22
sur,sur,81
la,le,71
main,main,22
de,de,81
Lisbeth,Lisbeth,20
comme,comme,83
pour,pour,81
en,en,52
accepter,accepter,14
la,le,71
foi,foi,22
",",",",p
je,je,51
suis,être,17
une,un,71
femme,femme,22
mariée,marié,31
et,et,82
je,je,51
suis,être,17
ma,mon,73
maîtresse,maîtresse,22
",",",",p
à,à,81
tel,tel,75
point,point,21
que,que,83
le,le,71
matin,matin,21
",",",",p
en,en,81
partant,partir,13
au,à,81
au,le,71
ministère,ministère,21
",",",",p
s',si,83
il,il,51
prend,prendre,17
fantaisie,fantaisie,22
à,à,81
Marneffe,Marneffe,20
de,de,81
me,je,51
dire,dire,14
adieu,adieu,21
et,et,82
qu',que,83
il,il,51
trouve,trouver,17
la,le,71
porte,porte,22
de,de,81
ma,mon,73
chambre,chambre,22
fermée,fermé,31
",",",",p
il,il,51
s',se,51
en,en,52
va-tout,va-tout,21
tranquillement,tranquillement,60
/.,/.,P
il,il,51
aime,aimer,17
son,son,73
enfant,enfant,21
moins,moins,60
que,que,83
je,je,51
n',ne,60
aime,aimer,17
un,un,52
des,de,81
des,le,71
enfants,enfant,21
en,en,81
marbre,marbre,21
qui,qui,52
jouent,jouer,17
au,à,81
au,le,71
pied,pied,21
d',de,81
un,un,52
des,de,81
des,le,71
deux,deux,72
fleuves,fleuve,21
aux,à,81
aux,le,71
Tuileries,Tuileries,20
/.,/.,P
si,si,83
je,je,51
ne,ne,60
viens,venir,17
pas,pas,60
dîner,dîner,14
",",",",p
il,il,51
dîne,dîner,17
très,très,60
bien,bien,60
avec,avec,81
la,le,71
bonne,bonne,22
",",",",p
car,car,82
la,le,71
bonne,bonne,22
est,être,17
toute,tout,52
à,à,81
monsieur,monsieur,21
",",",",p
et,et,82
",",",",p
tous,tout,75
les,le,71
soirs,soir,21
",",",",p
après,après,81
le,le,71
dîner,dîner,21
",",",",p
il,il,51
sort,sortir,17
pour,pour,81
ne,ne,60
rentrer,rentrer,14
qu',que,83
à,à,81
minuit,minuit,21
ou,ou,82
une,un,71
heure,heure,22
/.,/.,P
malheureusement,malheureusement,60
",",",",p
depuis,depuis,81
un,un,71
an,an,21
",",",",p
me,je,51
voilà,voilà,81
sans,sans,81
femme,femme,22
de,de,81
chambre,chambre,22
",",",",p
ce,ce,52
qui,qui,52
veut,vouloir,17
dire,dire,14
que,que,83
",",",",p
depuis,depuis,81
un,un,71
an,an,21
",",",",p
je,je,51
suis,être,17
veuve,veuve,22
/…,/…,P
je,je,51
n',ne,60
ai,avoir,17
eu,avoir,12
qu',que,83
une,un,71
passion,passion,22
",",",",p
un,un,71
bonheur,bonheur,21
…,…,p
c',ce,52
était,être,18
un,un,71
riche,riche,30
Brésilien,Brésilien,20
parti,parti,31
depuis,depuis,81
un,un,71
an,an,21
",",",",p
ma,mon,73
seule,seul,30
faute,faute,22
/!,/!,P
il,il,51
est,être,17
allé,aller,12
vendre,vendre,14
ses,son,73
biens,bien,21
",",",",p
tout,tout,52
réaliser,réaliser,14
pour,pour,81
pouvoir,pouvoir,14
s',se,51
établir,établir,14
en,en,81
France,France,20
/.,/.,P
que,que,52
trouvera,trouver,15
t,t,94
il,il,51
de,de,81
sa,son,73
Valérie,Valérie,20
?,?,p
un,un,71
fumier,fumier,21
/.,/.,P
bah,bah,93
!,!,p
ce,ce,52
sera,être,15
sa,son,73
faute,faute,22
et,et,82
non,non,60
la,le,71
mienne,mien,52
",",",",p
pourquoi,pourquoi,60
tarde,tarder,17
t,t,94
il,il,51
tant,tant,60
à,à,81
revenir,revenir,14
/?,/?,P
peut-être,peut-être,60
aussi,aussi,60
aura,avoir,15
t,t,94
il,il,51
fait,faire,12
naufrage,naufrage,21
",",",",p
comme,comme,83
ma,mon,73
vertu,vertu,22
/.,/.,P
-,-,p
adieu,adieu,21
",",",",p
ma,mon,73
petite,petite,22
",",",",p
dit,dire,19
brusquement,brusquement,60
Lisbeth,Lisbeth,20
",",",",p
nous,nous,51
ne,ne,60
nous,nous,51
quitterons,quitter,15
plus,plus,60
jamais,jamais,60
/.,/.,P
je,je,51
vous,vous,51
aime,aimer,17
",",",",p
je,je,51
vous,vous,51
estime,estimer,17
",",",",p
je,je,51
suis,être,17
à,à,81
vous,vous,51
/!,/!,P
mon,mon,73
cousin,cousin,21
me,je,51
tourmente,tourmenter,17
pour,pour,81
que,que,83
j',je,51
aille,aller,17
loger,loger,14
dans,dans,81
votre,votre,73
future,futur,30
maison,maison,22
",",",",p
rue,rue,22
Vanneau,Vanneau,20
",",",",p
je,je,51
ne,ne,60
le,le,52
voulais,vouloir,18
pas,pas,60
",",",",p
car,car,82
j',je,51
ai,avoir,17
bien,bien,60
deviné,deviner,12
la,le,71
raison,raison,22
de,de,81
cette,ce,74
nouvelle,nouveau,30
bonté,bonté,22
/.,/.,P
-,-,p
tiens,tenir,17
",",",",p
vous,vous,51
m',je,51
auriez,avoir,16
surveillée,surveiller,12
",",",",p
je,je,51
le,le,52
sais,savoir,17
bien,bien,60
",",",",p
dit,dire,19
madame,madame,22
Marneffe,Marneffe,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
là,là,60
la,le,71
raison,raison,22
de,de,81
sa,son,73
générosité,générosité,22
",",",",p
répliqua,répliquer,19
Lisbeth,Lisbeth,20
/.,/.,P
à,à,81
Paris,Paris,20
",",",",p
la,le,71
moitié,moitié,22
des,de,81
des,le,71
bienfaits,bienfait,21
sont,être,17
des,de,81
des,le,71
spéculations,spéculation,22
",",",",p
comme,comme,83
la,le,71
moitié,moitié,22
des,de,81
des,le,71
ingratitudes,ingratitude,22
sont,être,17
des,de,81
des,le,71
vengeances,vengeance,22
!,!,p
avec,avec,81
une,un,71
parente,parente,22
pauvre,pauvre,30
",",",",p
on,on,51
agit,agir,17
comme,comme,83
avec,avec,81
les,le,71
rats,rat,21
à,à,81
qui,qui,52
l',l',94
on,on,51
présente,présenter,17
un,un,71
morceau,morceau,21
de,de,81
lard,lard,21
/.,/.,P
j',je,51
accepterai,accepter,15
l',le,71
offre,offre,22
du,de,81
du,le,71
baron,baron,21
",",",",p
car,car,82
cette,ce,74
maison,maison,22
m',je,51
est,être,17
devenue,devenir,12
odieuse,odieux,30
/.,/.,P
ah,ah,93
!,!,p
çà,çà,60
",",",",p
nous,nous,51
avons,avoir,17
assez,assez,60
d',de,81
esprit,esprit,21
toutes,tout,75
les,le,71
deux,deux,72
pour,pour,81
savoir,savoir,14
taire,taire,14
ce,ce,52
qui,qui,52
nous,nous,51
nuirait,nuire,16
",",",",p
et,et,82
dire,dire,14
ce,ce,52
qui,qui,52
doit,devoir,17
être,être,14
dit,dire,12
;,;,p
ainsi,ainsi,60
",",",",p
pas,pas,60
d',de,81
indiscrétion,indiscrétion,22
",",",",p
et,et,82
une,un,71
amitié,amitié,22
/…,/…,P
à,à,81
toute,tout,75
épreuve,épreuve,22
…,…,p
s',se,51
écria,écrier,19
joyeusement,joyeusement,60
madame,madame,22
Marneffe,Marneffe,20
",",",",p
heureuse,heureux,30
d',de,81
avoir,avoir,14
un,un,52
porte,porter,17
respect,respect,21
",",",",p
un,un,71
confident,confident,21
",",",",p
une,un,71
espèce,espèce,22
de,de,81
tante,tante,22
honnête,honnête,30
/.,/.,P
écoutez,écouter,17
!,!,p
le,le,71
baron,baron,21
fait,faire,17
bien,bien,60
les,le,71
choses,chose,22
",",",",p
rue,rue,22
Vanneau,Vanneau,20
/…,/…,P
je,je,51
crois,croire,17
bien,bien,60
",",",",p
reprit,reprendre,19
Lisbeth,Lisbeth,20
",",",",p
il,il,51
en,en,52
est,être,17
à,à,81
trente,trente,72
mille,mille,72
francs,franc,21
!,!,p
je,je,51
ne,ne,60
sais,savoir,17
où,où,60
il,il,51
les,le,52
a,avoir,17
pris,prendre,12
",",",",p
par,par,81
exemple,exemple,21
",",",",p
car,car,82
Josépha,Josépha,20
",",",",p
la,le,71
cantatrice,cantatrice,22
",",",",p
l',le,52
avait,avoir,18
saigné,saigner,12
à,à,81
blanc,blanc,21
/.,/.,P
oh,oh,93
!,!,p
vous,vous,51
êtes,être,17
bien,bien,60
tombée,tomber,12
",",",",p
ajouta,ajouter,19
t,t,94
elle,il,51
/.,/.,P
le,le,71
baron,baron,21
volerait,voler,16
pour,pour,81
celle,celui,52
qui,qui,52
tient,tenir,17
son,son,73
coeur,coeur,21
entre,entre,81
deux,deux,72
petites,petit,30
mains,main,22
blanches,blanc,30
et,et,82
satinées,satiné,30
comme,comme,83
les,le,71
vôtres,vôtre,52
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
reprit,reprendre,19
madame,madame,22
Marneffe,Marneffe,20
avec,avec,81
la,le,71
sécurité,sécurité,22
des,de,81
des,le,71
filles,fille,22
qui,qui,52
n',ne,60
est,être,17
que,que,83
l',le,71
insouciance,insouciance,22
",",",",p
ma,mon,73
petite,petite,22
",",",",p
dites,dire,17
donc,donc,82
",",",",p
prenez,prendre,17
de,de,81
ce,ce,74
ménage,ménage,21
ci,ci,60
tout,tout,52
ce,ce,52
qui,qui,52
pourra,pouvoir,15
vous,vous,51
aller,aller,14
pour,pour,81
votre,votre,73
nouveau,nouveau,30
logement,logement,21
…,…,p
cette,ce,74
commode,commode,22
",",",",p
cette,ce,74
armoire,armoire,22
à,à,81
glaces,glace,22
",",",",p
ce,ce,74
tapis,tapis,21
",",",",p
la,le,71
tenture,tenture,22
/.,/.,P
les,le,71
yeux,oeil,21
de,de,81
Lisbeth,Lisbeth,20
se,se,51
dilatèrent,dilater,19
par,par,81
l',le,71
effet,effet,21
d',de,81
une,un,71
joie,joie,22
insensée,insensé,30
",",",",p
elle,il,51
n',ne,60
osait,oser,18
croire,croire,14
à,à,81
un,un,71
pareil,pareil,30
cadeau,cadeau,21
/.,/.,P
-,-,p
vous,vous,51
faites,faire,17
plus,plus,60
pour,pour,81
moi,moi,51
dans,dans,81
un,un,71
moment,moment,21
que,que,83
mes,mon,73
parents,parent,21
riches,riche,30
en,en,81
trente,trente,72
ans,an,21
!,!,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
/.,/.,P
ils,ils,51
ne,ne,60
se,se,51
sont,être,17
jamais,jamais,60
demandé,demander,12
si,si,83
j',je,51
avais,avoir,18
des,de,81
des,le,71
meubles,meuble,21
/!,/!,P
à,à,81
sa,son,73
première,premier,72
visite,visite,22
",",",",p
il,il,51
y,y,52
a,avoir,17
quelques,quelque,75
semaines,semaine,22
",",",",p
le,le,71
baron,baron,21
a,avoir,17
fait,faire,12
une,un,71
grimace,grimace,22
de,de,81
riche,riche,21
à,à,81
l',le,71
aspect,aspect,21
de,de,81
ma,mon,73
misère,misère,22
/…,/…,P
eh,eh,93
bien,bien,60
!,!,p
merci,merci,21
",",",",p
ma,mon,73
petite,petite,22
",",",",p
je,je,51
vous,vous,51
revaudrai,revaloir,15
cela,cela,52
",",",",p
vous,vous,51
verrez,voir,15
plus,plus,60
tard,tard,60
comment,comment,60
/!,/!,P
Valérie,Valérie,20
accompagna,accompagner,19
sa,son,73
cousine,cousine,22
Bette,Bette,20
jusque,jusque,81
sur,sur,81
le,le,71
palier,palier,21
",",",",p
où,où,60
les,le,71
deux,deux,72
femmes,femme,22
s',se,51
embrassèrent,embrasser,19
/.,/.,P
-,-,p
comme,comme,83
elle,il,51
pue,puer,17
la,le,71
fourmi,fourmi,22
!,!,p
se,se,51
dit,dire,17
la,le,71
jolie,joli,30
femme,femme,22
quand,quand,83
elle,il,51
fut,être,19
seule,seul,30
",",",",p
je,je,51
ne,ne,60
l',le,52
embrasserai,embrasser,15
pas,pas,60
souvent,souvent,60
",",",",p
ma,mon,73
cousine,cousine,22
/!,/!,P
cependant,cependant,82
",",",",p
prenons,prendre,17
garde,garde,22
",",",",p
il,il,51
faut,falloir,17
la,le,52
ménager,ménager,14
",",",",p
elle,il,51
me,je,51
sera,être,15
bien,bien,60
utile,utile,30
",",",",p
elle,il,51
me,je,51
fera,faire,15
faire,faire,14
fortune,fortune,22
/.,/.,P
en,en,81
vraie,vrai,30
créole,créole,21
de,de,81
Paris,Paris,20
",",",",p
madame,madame,22
Marneffe,Marneffe,20
abhorrait,abhorrer,18
la,le,71
peine,peine,22
",",",",p
elle,il,51
avait,avoir,18
la,le,71
nonchalance,nonchalance,22
des,de,81
des,le,71
chattes,chatte,22
qui,qui,52
ne,ne,60
courent,courir,17
et,et,82
ne,ne,60
s',se,51
élancent,élancer,17
que,que,83
forcées,forcé,31
par,par,81
la,le,71
nécessité,nécessité,22
/.,/.,P
pour,pour,81
elle,il,51
",",",",p
la,le,71
vie,vie,22
devait,devoir,18
être,être,14
tout,tout,75
plaisir,plaisir,21
",",",",p
et,et,82
le,le,71
plaisir,plaisir,21
devait,devoir,18
être,être,14
sans,sans,81
difficultés,difficulté,22
/.,/.,P
elle,il,51
aimait,aimer,18
les,le,71
fleurs,fleur,22
",",",",p
pourvu,pourvu,81
qu',que,83
on,on,51
les,le,52
lui,lui,51
fit,faire,19
venir,venir,14
chez,chez,81
elle,il,51
/.,/.,P
elle,il,51
ne,ne,60
concevait,concevoir,18
pas,pas,60
une,un,71
partie,partie,22
de,de,81
spectacle,spectacle,21
",",",",p
sans,sans,81
une,un,71
bonne,bon,30
loge,loge,22
toute,tout,52
à,à,81
elle,il,51
",",",",p
et,et,82
une,un,71
voiture,voiture,22
pour,pour,81
s',se,51
y,y,52
rendre,rendre,14
/.,/.,P
ces,ce,74
goûts,goût,21
de,de,81
courtisane,courtisane,22
",",",",p
Valérie,Valérie,20
les,le,52
tenait,tenir,18
de,de,81
sa,son,73
mère,mère,22
",",",",p
comblée,comblé,31
par,par,81
le,le,71
général,général,21
Montcornet,Montcornet,20
pendant,pendant,81
les,le,71
séjours,séjour,21
qu',que,52
il,il,51
faisait,faire,18
à,à,81
Paris,Paris,20
",",",",p
et,et,82
qui,qui,52
",",",",p
pendant,pendant,81
vingt,vingt,72
ans,an,21
",",",",p
avait,avoir,18
vu,voir,12
tout,tout,75
le,le,71
monde,monde,21
à,à,81
ses,son,73
pieds,pied,21
;,;,p
qui,qui,52
",",",",p
gaspilleuse,gaspilleur,30
",",",",p
avait,avoir,18
tout,tout,52
dissipé,dissiper,12
",",",",p
tout,tout,52
mangé,manger,12
dans,dans,81
cette,ce,74
vie,vie,22
luxueuse,luxueux,30
dont,dont,52
le,le,71
programme,programme,21
est,être,17
perdu,perdre,12
depuis,depuis,81
la,le,71
chute,chute,22
de,de,81
Napoléon,Napoléon,20
/.,/.,P
les,le,71
grands,grand,21
de,de,81
l',le,71
Empire,empire,21
ont,avoir,17
égalé,égaler,12
",",",",p
dans,dans,81
leurs,leur,73
folies,folie,22
",",",",p
les,le,71
grands,grand,30
seigneurs,seigneur,21
d',de,81
autrefois,autrefois,60
/.,/.,P
sous,sous,81
la,le,71
restauration,restauration,22
",",",",p
la,le,71
noblesse,noblesse,22
s',se,51
est,être,17
toujours,toujours,60
souvenue,souvenir,12
d',de,81
avoir,avoir,14
été,être,12
battue,battre,12
et,et,82
volée,voler,12
;,;,p
aussi,aussi,60
",",",",p
mettant,mettre,13
à,à,81
part,part,22
deux,deux,72
ou,ou,82
trois,trois,72
exceptions,exception,22
",",",",p
est,être,17
elle,il,51
devenue,devenir,12
économe,économe,21
",",",",p
sage,sage,30
",",",",p
prévoyante,prévoyant,30
",",",",p
enfin,enfin,60
bourgeoise,bourgeois,30
et,et,82
sans,sans,81
grandeur,grandeur,22
/.,/.,P
depuis,depuis,81
",",",",p
<Nombre 1830>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
trente,trente,72
<Fin nombre>,<>,<>
a,avoir,17
consommé,consommer,12
l',le,71
oeuvre,oeuvre,22
de,de,81
<Nombre 1793>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
treize,treize,72
<Fin nombre>,<>,<>
/.,/.,P
en,en,81
France,France,20
",",",",p
désormais,désormais,60
",",",",p
on,on,51
aura,avoir,15
de,de,81
grands,grand,30
noms,nom,21
",",",",p
mais,mais,82
plus,plus,60
de,de,81
grandes,grand,30
maisons,maison,22
",",",",p
à,à,81
moins,moins,60
de,de,81
changements,changement,21
politiques,politique,30
",",",",p
difficiles,difficile,30
à,à,81
prévoir,prévoir,14
/.,/.,P
tout,tout,52
y,y,52
prend,prendre,17
le,le,71
cachet,cachet,21
de,de,81
la,le,71
personnalité,personnalité,22
/.,/.,P
la,le,71
fortune,fortune,22
des,de,81
des,le,71
plus,plus,60
sages,sage,30
est,être,17
viagère,viager,30
/.,/.,P
on,on,51
y,y,52
a,avoir,17
détruit,détruire,12
la,le,71
famille,famille,22
/.,/.,P
la,le,71
puissante,puissant,30
étreinte,étreinte,22
de,de,81
la,le,71
misère,misère,22
qui,qui,52
mordait,mordre,18
au,à,81
au,le,71
sang,sang,21
Valérie,Valérie,20
le,le,71
jour,jour,21
où,où,60
",",",",p
selon,selon,81
l',le,71
expression,expression,22
de,de,81
Marneffe,Marneffe,20
",",",",p
elle,il,51
avait,avoir,18
fait,faire,12
Hulot,Hulot,20
",",",",p
avait,avoir,18
décidé,décider,12
cette,ce,74
jeune,jeune,30
femme,femme,22
à,à,81
prendre,prendre,14
sa,son,73
beauté,beauté,22
pour,pour,81
moyen,moyen,21
de,de,81
fortune,fortune,22
/.,/.,P
aussi,aussi,60
",",",",p
depuis,depuis,81
quelques,quelque,75
jours,jour,21
éprouvait,éprouver,18
elle,il,51
le,le,71
besoin,besoin,21
d',de,81
avoir,avoir,14
auprès,auprès,60
d',de,81
elle,il,51
",",",",p
à l'instar,à l'instar,60
de,de,81
sa,son,73
mère,mère,22
",",",",p
une,un,71
amie,amie,22
dévouée,dévoué,31
à,à,81
qui,qui,52
l',l',94
on,on,51
confie,confier,17
ce,ce,52
qu',que,52
on,on,51
doit,devoir,17
cacher,cacher,14
à,à,81
une,un,71
femme,femme,22
de,de,81
chambre,chambre,22
",",",",p
et,et,82
qui,qui,52
peut,pouvoir,17
agir,agir,14
",",",",p
aller,aller,14
",",",",p
venir,venir,14
",",",",p
penser,penser,14
pour,pour,81
nous,nous,51
",",",",p
une,un,71
âme,âme,22
damnée,damné,31
enfin,enfin,60
",",",",p
consentant,consentir,13
à,à,81
un,un,71
partage,partage,21
inégal,inégal,30
de,de,81
la,le,71
vie,vie,22
/.,/.,P
or,or,82
",",",",p
elle,il,51
avait,avoir,18
deviné,deviner,12
",",",",p
tout,tout,52
aussi,aussi,60
bien,bien,60
que,que,83
Lisbeth,Lisbeth,20
",",",",p
les,le,71
intentions,intention,22
dans,dans,81
lesquelles,lequel,52
le,le,71
baron,baron,21
voulait,vouloir,18
la,le,52
lier,lier,14
avec,avec,81
la,le,71
cousine,cousine,22
Bette,Bette,20
/.,/.,P
conseillée,conseillé,31
par,par,81
la,le,71
redoutable,redoutable,30
intelligence,intelligence,22
de,de,81
la,le,71
créole,créole,22
parisienne,parisien,30
qui,qui,52
passe,passer,17
ses,son,73
heures,heure,22
étendue,étendu,31
sur,sur,81
un,un,71
divan,divan,21
",",",",p
à,à,81
promener,promener,14
la,le,71
lanterne,lanterne,22
de,de,81
son,son,73
observation,observation,22
dans,dans,81
tous,tout,75
les,le,71
coins,coin,21
obscurs,obscur,30
des,de,81
des,le,71
âmes,âme,22
",",",",p
des,de,81
des,le,71
sentiments,sentiment,21
et,et,82
des,de,81
des,le,71
intrigues,intrigue,22
",",",",p
elle,il,51
avait,avoir,18
inventé,inventer,12
de,de,81
se,se,51
faire,faire,14
un,un,71
complice,complice,21
de,de,81
l',le,71
espion,espion,21
/.,/.,P
probablement,probablement,60
cette,ce,74
terrible,terrible,30
indiscrétion,indiscrétion,22
était,être,18
préméditée,préméditer,12
;,;,p
elle,il,51
avait,avoir,18
reconnu,reconnaître,12
le,le,71
vrai,vrai,30
caractère,caractère,21
de,de,81
cette,ce,74
ardente,ardent,30
fille,fille,22
",",",",p
passionnée,passionné,31
à,à,81
vide,vide,21
",",",",p
et,et,82
voulait,vouloir,18
se,se,51
l',le,52
attacher,attacher,14
/.,/.,P
aussi,aussi,60
cette,ce,74
conversation,conversation,22
ressemblait,ressembler,18
elle,il,51
à,à,81
la,le,71
pierre,pierre,22
que,que,52
le,le,71
voyageur,voyageur,21
jette,jeter,17
dans,dans,81
un,un,71
gouffre,gouffre,21
pour,pour,81
s',se,51
en,en,52
démontrer,démontrer,14
physiquement,physiquement,60
la,le,71
profondeur,profondeur,22
/.,/.,P
et,et,82
madame,madame,22
Marneffe,Marneffe,20
avait,avoir,18
eu,avoir,12
peur,peur,22
en,en,81
trouvant,trouver,13
tout,tout,60
à,à,81
la,le,71
fois,fois,22
un,un,71
Iago,Iago,20
et,et,82
un,un,71
Richard III,Richard III,20
",",",",p
dans,dans,81
cette,ce,74
fille,fille,22
en,en,81
apparence,apparence,22
si,si,60
faible,faible,30
",",",",p
si,si,60
humble,humble,30
et,et,82
si,si,83
peu,peu,60
redoutable,redoutable,30
/.,/.,P
en,en,81
un,un,71
instant,instant,21
",",",",p
la,le,71
cousine,cousine,22
Bette,Bette,20
était,être,18
redevenue,redevenir,12
elle-même,lui-même,51
/.,/.,P
en,en,81
un,un,71
instant,instant,21
",",",",p
ce,ce,74
caractère,caractère,21
de,de,81
Corse,Corse,20
et,et,82
de,de,81
sauvage,sauvage,21
",",",",p
ayant,avoir,13
brisé,briser,12
les,le,71
faibles,faible,30
attaches,attache,22
qui,qui,52
le,le,52
courbaient,courber,18
",",",",p
avait,avoir,18
repris,reprendre,12
sa,son,73
menaçante,menaçant,30
hauteur,hauteur,22
",",",",p
comme,comme,83
un,un,71
arbre,arbre,21
s',se,51
échappe,échapper,17
des,de,81
des,le,71
mains,main,22
de,de,81
l',le,71
enfant,enfant,21
qui,qui,52
l',le,52
a,avoir,17
plié,plier,12
jusqu',jusque,81
à,à,81
lui,lui,51
pour,pour,81
y,y,52
voler,voler,14
des,de,81
des,le,71
fruits,fruit,21
verts,vert,30
/.,/.,P
pour,pour,81
quiconque,quiconque,52
observe,observer,17
le,le,71
monde,monde,21
social,social,30
",",",",p
ce,ce,52
sera,être,15
toujours,toujours,60
un,un,71
objet,objet,21
d',de,81
admiration,admiration,22
que,que,83
la,le,71
plénitude,plénitude,22
",",",",p
la,le,71
perfection,perfection,22
et,et,82
la,le,71
rapidité,rapidité,22
des,de,81
des,le,71
conceptions,conception,22
chez,chez,81
les,le,71
natures,nature,22
vierges,vierge,30
/.,/.,P
la,le,71
virginité,virginité,22
",",",",p
comme,comme,83
toutes,tout,75
les,le,71
monstruosités,monstruosité,22
",",",",p
a,avoir,17
des,de,81
des,le,71
richesses,richesse,22
spéciales,spécial,30
",",",",p
des,de,81
des,le,71
grandeurs,grandeur,22
absorbantes,absorbant,30
/.,/.,P
la,le,71
vie,vie,22
",",",",p
dont,dont,52
les,le,71
forces,force,22
sont,être,17
économisées,économiser,12
",",",",p
a,avoir,17
pris,prendre,12
chez,chez,81
l',le,71
individu,individu,21
vierge,vierge,30
une,un,71
qualité,qualité,22
de,de,81
résistance,résistance,22
et,et,82
de,de,81
durée,durée,22
incalculable,incalculable,30
/.,/.,P
le,le,71
cerveau,cerveau,21
s',se,51
est,être,17
enrichi,enrichir,12
dans,dans,81
l',le,71
ensemble,ensemble,21
de,de,81
ses,son,73
facultés,faculté,22
réservées,réservé,31
/.,/.,P
lorsque,lorsque,83
les,le,71
gens,gens,21
chastes,chaste,30
ont,avoir,17
besoin,besoin,21
de,de,81
leur,leur,73
corps,corps,21
ou,ou,82
de,de,81
leur,leur,73
âme,âme,22
",",",",p
qu',que,83
ils,ils,51
recourent,recourir,17
à,à,81
l',le,71
action,action,22
ou,ou,82
à,à,81
la,le,71
pensée,pensée,22
",",",",p
ils,ils,51
trouvent,trouver,17
alors,alors,60
de,de,81
l',le,71
acier,acier,21
dans,dans,81
leurs,leur,73
muscles,muscle,21
ou,ou,82
de,de,81
la,le,71
science,science,22
infuse,infus,30
dans,dans,81
leur,leur,73
intelligence,intelligence,22
",",",",p
une,un,71
force,force,22
diabolique,diabolique,30
ou,ou,82
la,le,71
magie,magie,22
noire,noir,30
de,de,81
la,le,71
volonté,volonté,22
/.,/.,P
sous,sous,81
ce,ce,74
rapport,rapport,21
",",",",p
la,le,71
vierge,vierge,22
Marie,Marie,20
",",",",p
en,en,81
ne,ne,60
la,le,52
considérant,considérer,13
pour,pour,81
un,un,71
moment,moment,21
que,que,83
comme,comme,83
un,un,71
symbole,symbole,21
",",",",p
efface,effacer,17
par,par,81
sa,son,73
grandeur,grandeur,22
tous,tout,75
les,le,71
types,type,21
indous,hindou,30
",",",",p
égyptiens,égyptien,30
et,et,82
grecs,grec,30
/.,/.,P
la,le,71
virginité,virginité,22
",",",",p
mère,mère,22
des,de,81
des,le,71
grandes,grand,30
choses,chose,22
",",",",p
magna,magna,92
parens,parens,92
rerum,rerum,92
",",",",p
tient,tenir,17
dans,dans,81
ses,son,73
belles,beau,30
mains,main,22
blanches,blanc,30
la,le,71
clef,clé,22
des,de,81
des,le,71
mondes,monde,21
supérieurs,supérieur,30
/.,/.,P
enfin,enfin,60
",",",",p
cette,ce,74
grandiose,grandiose,30
et,et,82
terrible,terrible,30
exception,exception,22
mérite,mériter,17
tous,tout,75
les,le,71
honneurs,honneur,21
que,que,52
lui,lui,51
décerne,décerner,17
l',le,71
église,église,22
catholique,catholique,30
/.,/.,P
en,en,81
un,un,71
moment,moment,21
donc,donc,82
