11796
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-seizième extrait>,<>,<>
/.,/.,P
“,“,p
elle,il,51
remua,remuer,19
la,le,71
tête,tête,22
pour,pour,81
dire,dire,14
non,non,60
/.,/.,P
elle,il,51
sonna,sonner,19
;,;,p
et,et,82
ils,ils,51
attendirent,attendre,19
",",",",p
muets,muet,30
",",",",p
l',le,71
un,un,52
en,en,81
face,face,22
de,de,81
l',le,71
autre,autre,52
/.,/.,P
quand,quand,83
le,le,71
baron,baron,21
fut,être,19
arrivé,arriver,12
",",",",p
il,il,51
comprit,comprendre,19
tout,tout,60
de,de,81
suite,suite,22
la,le,71
situation,situation,22
/.,/.,P
le,le,71
billet,billet,21
était,être,18
de,de,81
quinze,quinze,72
cents,cent,72
francs,franc,21
/.,/.,P
il,il,51
en,en,52
paya,payer,19
mille,mille,72
en,en,81
disant,dire,13
à,à,81
l',le,71
homme,homme,21
entre,entre,81
les,le,71
yeux,oeil,21
:,:,p
“,“,p
surtout,surtout,60
ne,ne,60
revenez,revenir,17
pas,pas,60
/.,/.,P
“,“,p
l',le,71
autre,autre,52
remercia,remercier,19
",",",",p
salua,saluer,19
",",",",p
et,et,82
disparut,disparaître,19
/.,/.,P
le,le,71
grand-père,grand-père,21
et,et,82
la,le,71
mère,mère,22
partirent,partir,19
aussitôt,aussitôt,60
pour,pour,81
le,le,71
Havre,Havre,20
;,;,p
mais,mais,82
en,en,81
arrivant,arriver,13
au,à,81
au,le,71
collège,collège,21
",",",",p
ils,ils,51
apprirent,apprendre,19
que,que,83
depuis,depuis,81
un,un,71
mois,mois,21
Paul,Paul,20
n',ne,60
y,y,52
était,être,18
point,point,60
venu,venir,12
/.,/.,P
le,le,71
principal,principal,21
avait,avoir,18
reçu,recevoir,12
quatre,quatre,72
lettres,lettre,22
signées,signé,31
de,de,81
Jeanne,Jeanne,20
pour,pour,81
annoncer,annoncer,14
un,un,71
malaise,malaise,21
de,de,81
son,son,73
élève,élève,21
",",",",p
et,et,82
ensuite,ensuite,60
pour,pour,81
donner,donner,14
des,de,81
des,le,71
nouvelles,nouvelle,22
/.,/.,P
chaque,chaque,75
lettre,lettre,22
était,être,18
accompagnée,accompagner,12
d',de,81
un,un,71
certificat,certificat,21
de,de,81
médecin,médecin,21
;,;,p
le,le,71
tout,tout,21
faux,faux,30
",",",",p
naturellement,naturellement,60
/.,/.,P
ils,ils,51
furent,être,19
atterrés,atterrer,12
",",",",p
et,et,82
ils,ils,51
restaient,rester,18
là,là,60
",",",",p
se,se,51
regardant,regarder,13
/.,/.,P
le,le,71
principal,principal,21
",",",",p
désolé,désolé,31
",",",",p
les,le,52
conduisit,conduire,19
chez,chez,81
le,le,71
commissaire,commissaire,21
de,de,81
police,police,22
/.,/.,P
les,le,71
deux,deux,72
parents,parent,21
couchèrent,coucher,19
à,à,81
l',le,71
hôtel,hôtel,21
/.,/.,P
le,le,71
lendemain,lendemain,21
on,on,51
retrouva,retrouver,19
le,le,71
jeune,jeune,30
homme,homme,21
chez,chez,81
une,un,71
fille,fille,22
entretenue,entretenu,31
de,de,81
la,le,71
ville,ville,22
/.,/.,P
son,son,73
grand-père,grand-père,21
et,et,82
sa,son,73
mère,mère,22
l',le,52
emmenèrent,emmener,19
aux,à,81
aux,le,71
Peuples,Peuple,20
sans,sans,81
qu',que,83
un,un,71
mot,mot,21
fût,être,19
échangé,échanger,12
entre,entre,81
eux,ils,51
tout,tout,75
le,le,71
long,long,21
de,de,81
la,le,71
route,route,22
/.,/.,P
Jeanne,Jeanne,20
pleurait,pleurer,18
",",",",p
la,le,71
figure,figure,22
dans,dans,81
son,son,73
mouchoir,mouchoir,21
/.,/.,P
Paul,Paul,20
regardait,regarder,18
la,le,71
campagne,campagne,22
d',de,81
un,un,71
air,air,21
indifférent,indifférent,30
/.,/.,P
en,en,81
huit,huit,72
jours,jour,21
on,on,51
découvrit,découvrir,19
que,que,83
pendant,pendant,81
les,le,71
trois,trois,72
derniers,dernier,30
mois,mois,21
il,il,51
avait,avoir,18
fait,faire,12
quinze,quinze,72
mille,mille,72
francs,franc,21
de,de,81
dettes,dette,22
/.,/.,P
les,le,71
créanciers,créancier,21
ne,ne,60
s',se,51
étaient,être,18
point,point,60
montrés,montrer,12
d'abord,d'abord,60
",",",",p
sachant,savoir,13
qu',que,83
il,il,51
serait,être,16
bientôt,bientôt,60
majeur,majeur,30
/.,/.,P
aucune,aucun,75
explication,explication,22
n',ne,60
eut,avoir,19
lieu,lieu,21
/.,/.,P
on,on,51
voulait,vouloir,18
le,le,52
reconquérir,reconquérir,14
par,par,81
la,le,71
douceur,douceur,22
/.,/.,P
on,on,51
lui,lui,51
faisait,faire,18
manger,manger,14
des,de,81
des,le,71
mets,mets,21
délicats,délicat,30
",",",",p
on,on,51
le,le,52
choyait,choyer,18
",",",",p
on,on,51
le,le,52
gâtait,gâter,18
/.,/.,P
c',ce,52
était,être,18
au,à,81
au,le,71
printemps,printemps,21
;,;,p
on,on,51
lui,lui,51
loua,louer,19
un,un,71
bateau,bateau,21
à,à,81
Yport,Yport,20
",",",",p
malgré,malgré,81
les,le,71
terreurs,terreur,22
de,de,81
Jeanne,Jeanne,20
",",",",p
pour,pour,81
qu',que,83
il,il,51
pût,pouvoir,18
faire,faire,14
des,de,81
des,le,71
promenades,promenade,22
en,en,81
mer,mer,22
/.,/.,P
on,on,51
ne,ne,60
lui,lui,51
laissait,laisser,18
point,point,60
de,de,81
cheval,cheval,21
de,de,81
crainte,crainte,22
qu',que,83
il,il,51
n',ne,60
allât,aller,19
au,à,81
au,le,71
Havre,Havre,20
/.,/.,P
il,il,51
demeurait,demeurer,18
désoeuvré,désoeuvré,30
",",",",p
irritable,irritable,30
",",",",p
parfois,parfois,60
brutal,brutal,30
/.,/.,P
le,le,71
baron,baron,21
s',se,51
inquiétait,inquiéter,18
de,de,81
ses,son,73
études,étude,22
incomplètes,incomplet,30
/.,/.,P
Jeanne,Jeanne,20
",",",",p
affolée,affolé,31
à,à,81
la,le,71
pensée,pensée,22
d',de,81
une,un,71
séparation,séparation,22
",",",",p
se,se,51
demandait,demander,18
cependant,cependant,82
ce,ce,52
qu',que,52
on,on,51
allait,aller,18
faire,faire,14
de,de,81
lui,lui,51
/.,/.,P
un,un,71
soir,soir,21
il,il,51
ne,ne,60
rentra,rentrer,19
pas,pas,60
/.,/.,P
on,on,51
apprit,apprendre,19
qu',que,83
il,il,51
était,être,18
sorti,sortir,12
en,en,81
barque,barque,22
avec,avec,81
deux,deux,72
matelots,matelot,21
/.,/.,P
sa,son,73
mère,mère,22
éperdue,éperdu,30
descendit,descendre,19
nu-tête,nu-tête,30
jusqu',jusque,81
à,à,81
Yport,Yport,20
",",",",p
dans,dans,81
la,le,71
nuit,nuit,22
/.,/.,P
quelques,quelque,75
hommes,homme,21
attendaient,attendre,18
sur,sur,81
la,le,71
plage,plage,22
la,le,71
rentrée,rentrée,22
de,de,81
l',le,71
embarcation,embarcation,22
/.,/.,P
un,un,71
petit,petit,30
feu,feu,21
apparut,apparaître,19
au,à,81
au,le,71
large,large,21
;,;,p
il,il,51
approchait,approcher,18
en,en,81
se,se,51
balançant,balancer,13
/.,/.,P
Paul,Paul,20
ne,ne,60
se,se,51
trouvait,trouver,18
plus,plus,60
à,à,81
bord,bord,21
/.,/.,P
il,il,51
s',se,51
était,être,18
fait,faire,12
conduire,conduire,14
au,à,81
au,le,71
Havre,Havre,20
/.,/.,P
la,le,71
police,police,22
eut,avoir,19
beau,beau,60
le,le,52
rechercher,rechercher,14
",",",",p
elle,il,51
ne,ne,60
le,le,52
retrouva,retrouver,19
pas,pas,60
/.,/.,P
la,le,71
fille,fille,22
qui,qui,52
l',le,52
avait,avoir,18
caché,cacher,12
une,un,71
première,premier,72
fois,fois,22
avait,avoir,18
aussi,aussi,60
disparu,disparaître,12
",",",",p
sans,sans,81
laisser,laisser,14
de,de,81
traces,trace,22
",",",",p
son,son,73
mobilier,mobilier,21
vendu,vendu,31
",",",",p
et,et,82
son,son,73
terme,terme,21
payé,payé,31
/.,/.,P
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
Paul,Paul,20
",",",",p
aux,à,81
aux,le,71
Peuples,Peuple,20
",",",",p
on,on,51
découvrit,découvrir,19
deux,deux,72
lettres,lettre,22
de,de,81
cette,ce,74
créature,créature,22
qui,qui,52
paraissait,paraître,18
folle,fou,30
d',de,81
amour,amour,21
pour,pour,81
lui,lui,51
/.,/.,P
elle,il,51
parlait,parler,18
d',de,81
un,un,71
voyage,voyage,21
en,en,81
Angleterre,Angleterre,20
",",",",p
ayant,avoir,13
trouvé,trouver,12
les,le,71
fonds,fonds,21
nécessaires,nécessaire,30
",",",",p
disait,dire,18
elle,il,51
/.,/.,P
et,et,82
les,le,71
trois,trois,72
habitants,habitant,21
du,de,81
du,le,71
château,château,21
vécurent,vivre,19
silencieux,silencieux,30
et,et,82
sombres,sombre,30
dans,dans,81
l',le,71
enfer,enfer,21
morne,morne,30
des,de,81
des,le,71
tortures,torture,22
morales,moral,30
/.,/.,P
les,le,71
cheveux,cheveu,21
de,de,81
Jeanne,Jeanne,20
",",",",p
gris,gris,30
déjà,déjà,60
",",",",p
étaient,être,18
devenus,devenir,12
blancs,blanc,30
/.,/.,P
elle,il,51
se,se,51
demandait,demander,18
naïvement,naïvement,60
pourquoi,pourquoi,60
la,le,71
destinée,destinée,22
la,le,52
frappait,frapper,18
ainsi,ainsi,60
/.,/.,P
elle,il,51
reçut,recevoir,19
une,un,71
lettre,lettre,22
de,de,81
l',le,71
abbé,abbé,21
Tolbiac,Tolbiac,20
:,:,p
“,“,p
madame,madame,22
",",",",p
la,le,71
main,main,22
de,de,81
dieu,dieu,21
s',se,51
est,être,17
appesantie,appesantir,12
sur,sur,81
vous,vous,51
/.,/.,P
vous,vous,51
lui,lui,51
avez,avoir,17
refusé,refuser,12
votre,votre,73
enfant,enfant,21
;,;,p
il,il,51
vous,vous,51
l',le,52
a,avoir,17
pris,prendre,12
à,à,81
son,son,73
tour,tour,21
pour,pour,81
le,le,52
jeter,jeter,14
à,à,81
une,un,71
prostituée,prostituée,22
/.,/.,P
n',ne,60
ouvrirez,ouvrir,15
vous,vous,51
pas,pas,60
les,le,71
yeux,oeil,21
à,à,81
cet,ce,74
enseignement,enseignement,21
du,de,81
du,le,71
ciel,ciel,21
/?,/?,P
la,le,71
miséricorde,miséricorde,22
du,de,81
du,le,71
seigneur,seigneur,21
est,être,17
infinie,infini,30
/.,/.,P
peut-être,peut-être,60
vous,vous,51
pardonnera,pardonner,15
t,t,94
il,il,51
si,si,83
vous,vous,51
revenez,revenir,17
vous,vous,51
agenouiller,agenouiller,14
devant,devant,81
lui,lui,51
/.,/.,P
je,je,51
suis,être,17
son,son,73
humble,humble,30
serviteur,serviteur,21
",",",",p
je,je,51
vous,vous,51
ouvrirai,ouvrir,15
la,le,71
porte,porte,22
de,de,81
sa,son,73
demeure,demeure,22
quand,quand,83
vous,vous,51
y,y,52
viendrez,venir,15
frapper,frapper,14
/.,/.,P
“,“,p
elle,il,51
demeura,demeurer,19
longtemps,longtemps,60
avec,avec,81
cette,ce,74
lettre,lettre,22
sur,sur,81
les,le,71
genoux,genou,21
/.,/.,P
c',ce,52
était,être,18
vrai,vrai,30
",",",",p
peut-être,peut-être,60
",",",",p
ce,ce,52
que,que,52
disait,dire,18
ce,ce,74
prêtre,prêtre,21
/.,/.,P
et,et,82
toutes,tout,75
les,le,71
incertitudes,incertitude,22
religieuses,religieux,30
se,se,51
mirent,mettre,19
à,à,81
déchirer,déchirer,14
sa,son,73
conscience,conscience,22
/.,/.,P
dieu,dieu,21
pouvait,pouvoir,18
il,il,51
être,être,14
vindicatif,vindicatif,30
et,et,82
jaloux,jaloux,30
comme,comme,83
les,le,71
hommes,homme,21
?,?,p
mais,mais,82
s',si,83
il,il,51
ne,ne,60
se,se,51
montrait,montrer,18
pas,pas,60
jaloux,jaloux,30
",",",",p
personne,personne,52
ne,ne,60
le,le,52
craindrait,craindre,16
",",",",p
personne,personne,52
ne,ne,60
l',le,52
adorerait,adorer,16
plus,plus,60
/.,/.,P
pour,pour,81
se,se,51
faire,faire,14
mieux,mieux,60
connaître,connaître,14
à,à,81
nous,nous,51
",",",",p
sans,sans,81
doute,doute,21
",",",",p
il,il,51
se,se,51
manifestait,manifester,18
aux,à,81
aux,le,71
humains,humain,21
avec,avec,81
leurs,leur,73
propres,propre,30
sentiments,sentiment,21
/.,/.,P
et,et,82
le,le,71
doute,doute,21
lâche,lâche,30
",",",",p
qui,qui,52
pousse,pousser,17
aux,à,81
aux,le,71
églises,église,22
les,le,71
hésitants,hésitant,21
",",",",p
les,le,71
troublés,troublé,31
",",",",p
entrant,entrer,13
en,en,81
elle,il,51
",",",",p
elle,il,51
courut,courir,19
furtivement,furtivement,60
",",",",p
un,un,71
soir,soir,21
",",",",p
à,à,81
la,le,71
nuit,nuit,22
tombante,tombant,30
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
presbytère,presbytère,21
",",",",p
et,et,82
",",",",p
s',se,51
agenouillant,agenouiller,13
aux,à,81
aux,le,71
pieds,pied,21
du,de,81
du,le,71
maigre,maigre,30
abbé,abbé,21
",",",",p
sollicita,solliciter,19
l',le,71
absolution,absolution,22
/.,/.,P
il,il,51
lui,lui,51
promit,promettre,19
un,un,71
demi-pardon,demi-pardon,21
",",",",p
dieu,dieu,21
ne,ne,60
pouvant,pouvoir,13
déverser,déverser,14
toutes,tout,75
ses,son,73
grâces,grâce,22
sur,sur,81
un,un,71
toit,toit,21
qui,qui,52
recouvrait,recouvrir,18
un,un,71
homme,homme,21
comme,comme,83
le,le,71
baron,baron,21
:,:,p
“,“,p
vous,vous,51
sentirez,sentir,15
bientôt,bientôt,60
",",",",p
affirma,affirmer,19
t,t,94
il,il,51
",",",",p
les,le,71
effets,effet,21
de,de,81
la,le,71
divine,divin,30
mansuétude,mansuétude,22
/.,/.,P
“,“,p
elle,il,51
reçut,recevoir,19
",",",",p
en,en,81
effet,effet,21
",",",",p
deux,deux,72
jours,jour,21
plus,plus,60
tard,tard,60
",",",",p
une,un,71
lettre,lettre,22
de,de,81
son,son,73
fils,fils,21
et,et,82
elle,il,51
la,le,52
considéra,considérer,19
",",",",p
dans,dans,81
l',le,71
affolement,affolement,21
de,de,81
sa,son,73
peine,peine,22
",",",",p
comme,comme,83
le,le,71
début,début,21
des,de,81
des,le,71
soulagements,soulagement,21
promis,promis,31
par,par,81
l',le,71
abbé,abbé,21
/.,/.,P
“,“,p
ma,mon,73
chère,cher,30
maman,maman,22
",",",",p
n',ne,60
aie,avoir,17
pas,pas,60
d',de,81
inquiétude,inquiétude,22
/.,/.,P
je,je,51
suis,être,17
à,à,81
Londres,Londres,20
",",",",p
en,en,81
bonne,bon,30
santé,santé,22
",",",",p
mais,mais,82
j',je,51
ai,avoir,17
grand,grand,30
besoin,besoin,21
d',de,81
argent,argent,21
/.,/.,P
nous,nous,51
n',ne,60
avons,avoir,17
plus,plus,60
un,un,71
sou,sou,21
et,et,82
nous,nous,51
ne,ne,60
mangeons,manger,17
pas,pas,60
tous,tout,75
les,le,71
jours,jour,21
/.,/.,P
celle,celui,52
qui,qui,52
m',je,51
accompagne,accompagner,17
et,et,82
que,que,52
j',je,51
aime,aimer,17
de,de,81
toute,tout,75
mon,mon,73
âme,âme,22
a,avoir,17
dépensé,dépenser,12
tout,tout,52
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
pour,pour,81
ne,ne,60
pas,pas,60
me,je,51
quitter,quitter,14
:,:,p
cinq,cinq,72
mille,mille,72
francs,franc,21
;,;,p
et,et,82
tu,tu,51
comprends,comprendre,17
que,que,83
je,je,51
suis,être,17
engagé,engager,12
d',de,81
honneur,honneur,21
à,à,81
lui,lui,51
rendre,rendre,14
cette,ce,74
somme,somme,22
d'abord,d'abord,60
/.,/.,P
tu,tu,51
serais,être,16
donc,donc,82
bien,bien,60
aimable,aimable,30
de,de,81
m',je,51
avancer,avancer,14
une,un,71
quinzaine,quinzaine,22
de,de,81
mille,mille,72
francs,franc,21
sur,sur,81
l',le,71
héritage,héritage,21
de,de,81
papa,papa,21
",",",",p
puisque,puisque,83
je,je,51
vais,aller,17
être,être,14
bientôt,bientôt,60
majeur,majeur,30
;,;,p
tu,tu,51
me,je,51
tireras,tirer,15
d',de,81
un,un,71
grand,grand,30
embarras,embarras,21
/.,/.,P
“,“,p
adieu,adieu,21
",",",",p
ma,mon,73
chère,cher,30
maman,maman,22
",",",",p
je,je,51
t',tu,51
embrasse,embrasser,17
de,de,81
tout,tout,75
mon,mon,73
coeur,coeur,21
",",",",p
ainsi,ainsi,60
que,que,83
grand-père,grand-père,21
et,et,82
tante,tante,22
Lison,Lison,20
/.,/.,P
j',je,51
espère,espérer,17
te,tu,51
revoir,revoir,14
bientôt,bientôt,60
/.,/.,P
“,“,p
ton,ton,73
fils,fils,21
",",",",p
“,“,p
vicomte,vicomte,21
Paul,Paul,20
de,de,81
Lamare,Lamare,20
/.,/.,P
“,“,p
il,il,51
lui,lui,51
avait,avoir,18
écrit,écrire,12
/!,/!,P
donc,donc,82
il,il,51
ne,ne,60
l',le,52
oubliait,oublier,18
pas,pas,60
/.,/.,P
elle,il,51
ne,ne,60
songea,songer,19
point,point,60
qu',que,83
il,il,51
demandait,demander,18
de,de,81
l',le,71
argent,argent,21
/.,/.,P
on,on,51
lui,lui,51
en,en,52
enverrait,envoyer,16
puisqu',puisque,83
il,il,51
n',ne,60
en,en,52
avait,avoir,18
plus,plus,60
/.,/.,P
qu',que,52
importait,importer,18
l',le,71
argent,argent,21
/!,/!,P
il,il,51
lui,lui,51
avait,avoir,18
écrit,écrire,12
/!,/!,P
et,et,82
elle,il,51
courut,courir,19
",",",",p
en,en,81
pleurant,pleurer,13
",",",",p
porter,porter,14
cette,ce,74
lettre,lettre,22
au,à,81
au,le,71
baron,baron,21
/.,/.,P
tante,tante,22
Lison,Lison,20
fut,être,19
appelée,appeler,12
;,;,p
et,et,82
on,on,51
relut,relire,19
",",",",p
mot,mot,21
à,à,81
mot,mot,21
",",",",p
ce,ce,74
papier,papier,21
qui,qui,52
parlait,parler,18
de,de,81
lui,lui,51
/.,/.,P
on,on,51
en,en,52
discuta,discuter,19
chaque,chaque,75
terme,terme,21
/.,/.,P
Jeanne,Jeanne,20
",",",",p
sautant,sauter,13
de,de,81
la,le,71
complète,complet,30
désespérance,désespérance,22
à,à,81
une,un,71
sorte,sorte,22
d',de,81
enivrement,enivrement,21
d',de,81
espoir,espoir,21
",",",",p
défendait,défendre,18
Paul,Paul,20
:,:,p
“,“,p
il,il,51
reviendra,revenir,15
",",",",p
il,il,51
va,aller,17
revenir,revenir,14
puisqu',puisque,83
il,il,51
écrit,écrire,17
/.,/.,P
“,“,p
le,le,71
baron,baron,21
",",",",p
plus,plus,60
calme,calme,30
",",",",p
prononça,prononcer,19
:,:,p
“,“,p
c',ce,52
est,être,17
égal,égal,30
",",",",p
il,il,51
nous,nous,51
a,avoir,17
quittés,quitter,12
pour,pour,81
cette,ce,74
créature,créature,22
/.,/.,P
il,il,51
l',le,52
aime,aimer,17
donc,donc,82
mieux,mieux,60
que,que,83
nous,nous,51
",",",",p
puisqu',puisque,83
il,il,51
n',ne,60
a,avoir,17
pas,pas,60
hésité,hésiter,12
/.,/.,P
“,“,p
une,un,71
douleur,douleur,22
subite,subit,30
et,et,82
épouvantable,épouvantable,30
traversa,traverser,19
le,le,71
coeur,coeur,21
de,de,81
Jeanne,Jeanne,20
;,;,p
et,et,82
tout,tout,60
de,de,81
suite,suite,22
une,un,71
haine,haine,22
s',se,51
alluma,allumer,19
en,en,81
elle,il,51
contre,contre,81
cette,ce,74
maîtresse,maîtresse,22
qui,qui,52
lui,lui,51
volait,voler,18
son,son,73
fils,fils,21
",",",",p
une,un,71
haine,haine,22
inapaisable,inapaisable,30
",",",",p
sauvage,sauvage,30
",",",",p
une,un,71
haine,haine,22
de,de,81
mère,mère,22
jalouse,jaloux,30
/.,/.,P
jusqu',jusque,81
alors,alors,60
toute,tout,75
sa,son,73
pensée,pensée,22
avait,avoir,18
été,être,12
pour,pour,81
Paul,Paul,20
/.,/.,P
à,à,81
peine,peine,22
songeait,songer,18
elle,il,51
qu',que,83
une,un,71
drôlesse,drôlesse,22
était,être,18
la,le,71
cause,cause,22
de,de,81
ses,son,73
égarements,égarement,21
/.,/.,P
mais,mais,82
soudain,soudain,60
cette,ce,74
réflexion,réflexion,22
du,de,81
du,le,71
baron,baron,21
avait,avoir,18
évoqué,évoquer,12
cette,ce,74
rivale,rivale,22
",",",",p
lui,lui,51
avait,avoir,18
révélé,révéler,12
sa,son,73
puissance,puissance,22
fatale,fatal,30
;,;,p
et,et,82
elle,il,51
sentit,sentir,19
qu',que,83
entre,entre,81
cette,ce,74
femme,femme,22
et,et,82
elle,il,51
une,un,71
lutte,lutte,22
commençait,commencer,18
",",",",p
acharnée,acharné,31
",",",",p
et,et,82
elle,il,51
sentait,sentir,18
aussi,aussi,60
qu',que,83
elle,il,51
aimerait,aimer,16
mieux,mieux,60
perdre,perdre,14
son,son,73
fils,fils,21
que,que,83
de,de,81
le,le,52
partager,partager,14
avec,avec,81
l',le,71
autre,autre,52
/.,/.,P
ils,ils,51
envoyèrent,envoyer,19
les,le,71
quinze,quinze,72
mille,mille,72
francs,franc,21
et,et,82
ne,ne,60
reçurent,recevoir,19
plus,plus,60
de,de,81
nouvelles,nouvelle,22
pendant,pendant,81
cinq,cinq,72
mois,mois,21
/.,/.,P
puis,puis,60
un,un,71
homme,homme,21
d',de,81
affaires,affaire,22
se,se,51
présenta,présenter,19
pour,pour,81
régler,régler,14
les,le,71
détails,détail,21
de,de,81
la,le,71
succession,succession,22
de,de,81
Julien,Julien,20
/.,/.,P
Jeanne,Jeanne,20
et,et,82
le,le,71
baron,baron,21
rendirent,rendre,19
les,le,71
comptes,compte,21
sans,sans,81
discuter,discuter,14
",",",",p
abandonnant,abandonner,13
même,même,60
l',le,71
usufruit,usufruit,21
qui,qui,52
revenait,revenir,18
à,à,81
la,le,71
mère,mère,22
/.,/.,P
et,et,82
",",",",p
rentré,rentré,31
à,à,81
Paris,Paris,20
",",",",p
Paul,Paul,20
toucha,toucher,19
cent,cent,72
vingt,vingt,72
mille,mille,72
francs,franc,21
/.,/.,P
il,il,51
écrivit,écrire,19
alors,alors,60
quatre,quatre,72
lettres,lettre,22
en,en,81
six,six,72
mois,mois,21
",",",",p
donnant,donner,13
de,de,81
ses,son,73
nouvelles,nouvelle,22
en,en,81
style,style,21
concis,concis,30
et,et,82
terminant,terminer,13
par,par,81
de,de,81
froides,froid,30
protestations,protestation,22
de,de,81
tendresse,tendresse,22
:,:,p
“,“,p
je,je,51
travaille,travailler,17
",",",",p
affirmait,affirmer,18
il,il,51
;,;,p
j',je,51
ai,avoir,17
trouvé,trouver,12
une,un,71
position,position,22
à,à,81
la,le,71
bourse,bourse,22
/.,/.,P
j',je,51
espère,espérer,17
aller,aller,14
vous,vous,51
embrasser,embrasser,14
quelque,quelque,75
jour,jour,21
aux,à,81
aux,le,71
Peuples,Peuple,20
",",",",p
mes,mon,73
chers,cher,30
parents,parent,21
/.,/.,P
“,“,p
il,il,51
ne,ne,60
disait,dire,18
pas,pas,60
un,un,71
mot,mot,21
de,de,81
sa,son,73
maîtresse,maîtresse,22
;,;,p
et,et,82
ce,ce,74
silence,silence,21
signifiait,signifier,18
plus,plus,60
que,que,83
s',si,83
il,il,51
eût,avoir,19
parlé,parler,12
d',de,81
elle,il,51
durant,durant,81
quatre,quatre,72
pages,page,22
/.,/.,P
Jeanne,Jeanne,20
",",",",p
dans,dans,81
ces,ce,74
lettres,lettre,22
glacées,glacé,31
",",",",p
sentait,sentir,18
cette,ce,74
femme,femme,22
",",",",p
embusquée,embusqué,31
",",",",p
implacable,implacable,30
",",",",p
l',le,71
ennemie,ennemie,22
éternelle,éternel,30
des,de,81
des,le,71
mères,mère,22
",",",",p
la,le,71
fille,fille,22
/.,/.,P
les,le,71
trois,trois,72
solitaires,solitaire,21
discutaient,discuter,18
sur,sur,81
ce,ce,52
qu',que,52
on,on,51
pouvait,pouvoir,18
faire,faire,14
pour,pour,81
sauver,sauver,14
Paul,Paul,20
;,;,p
et,et,82
ils,ils,51
ne,ne,60
trouvaient,trouver,18
rien,rien,52
/.,/.,P
un,un,71
voyage,voyage,21
à,à,81
Paris,Paris,20
/?,/?,P
à,à,81
quoi,quoi,52
bon,bon,60
/?,/?,P
le,le,71
baron,baron,21
disait,dire,18
:,:,p
“,“,p
il,il,51
faut,falloir,17
laisser,laisser,14
s',se,51
user,user,14
sa,son,73
passion,passion,22
/.,/.,P
il,il,51
nous,nous,51
reviendra,revenir,15
tout,tout,60
seul,seul,30
/.,/.,P
“,“,p
et,et,82
leur,leur,73
vie,vie,22
était,être,18
lamentable,lamentable,30
/.,/.,P
Jeanne,Jeanne,20
et,et,82
Lison,Lison,20
allaient,aller,18
ensemble,ensemble,60
à,à,81
l',le,71
église,église,22
en,en,81
se,se,51
cachant,cacher,13
du,de,81
du,le,71
baron,baron,21
/.,/.,P
un,un,71
temps,temps,21
assez,assez,60
long,long,30
s',se,51
écoula,écouler,19
sans,sans,81
nouvelles,nouvelle,22
",",",",p
puis,puis,60
",",",",p
un,un,71
matin,matin,21
",",",",p
une,un,71
lettre,lettre,22
désespérée,désespéré,31
les,le,52
terrifia,terrifier,19
/.,/.,P
“,“,p
ma,mon,73
pauvre,pauvre,30
maman,maman,22
",",",",p
je,je,51
suis,être,17
perdu,perdre,12
",",",",p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
qu',que,83
à,à,81
me,je,51
brûler,brûler,14
la,le,71
cervelle,cervelle,22
si,si,83
tu,tu,51
ne,ne,60
viens,venir,17
pas,pas,60
à,à,81
mon,mon,73
secours,secours,21
/.,/.,P
une,un,71
spéculation,spéculation,22
qui,qui,52
présentait,présenter,18
pour,pour,81
moi,moi,51
toutes,tout,75
les,le,71
chances,chance,22
de,de,81
succès,succès,21
vient,venir,17
d'échouer,d'échouer,14
;,;,p
et,et,82
je,je,51
dois,devoir,17
quatre,quatre,72
vingt,vingt,72
cinq,cinq,72
mille,mille,72
francs,franc,21
/.,/.,P
c',ce,52
est,être,17
le,le,71
déshonneur,déshonneur,21
si,si,83
je,je,51
ne,ne,60
paie,payer,17
pas,pas,60
",",",",p
la,le,71
ruine,ruine,22
",",",",p
l',le,71
impossibilité,impossibilité,22
de,de,81
rien,rien,52
faire,faire,14
désormais,désormais,60
/.,/.,P
je,je,51
suis,être,17
perdu,perdre,12
/.,/.,P
je,je,51
te,tu,51
le,le,52
répète,répéter,17
",",",",p
je,je,51
me,je,51
brûlerai,brûler,15
la,le,71
cervelle,cervelle,22
plutôt,plutôt,60
que,que,83
de,de,81
survivre,survivre,14
à,à,81
cette,ce,74
honte,honte,22
/.,/.,P
je,je,51
l',le,52
aurais,avoir,16
peut-être,peut-être,60
fait,faire,12
déjà,déjà,60
sans,sans,81
les,le,71
encouragements,encouragement,21
d',de,81
une,un,71
femme,femme,22
dont,dont,52
je,je,51
ne,ne,60
parle,parler,17
jamais,jamais,60
et,et,82
qui,qui,52
est,être,17
ma,mon,73
providence,providence,22
/.,/.,P
“,“,p
je,je,51
t',tu,51
embrasse,embrasser,17
du,de,81
du,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
",",",",p
ma,mon,73
chère,cher,30
maman,maman,22
;,;,p
c',ce,52
est,être,17
peut-être,peut-être,60
pour,pour,81
toujours,toujours,60
/.,/.,P
adieu,adieu,21
/.,/.,P
“,“,p
Paul,Paul,20
/.,/.,P
“,“,p
