12029
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt et unième extrait>,<>,<>
se,se,51
présentèrent,présenter,19
pour,pour,81
le,le,52
voir,voir,14
/.,/.,P
Bouvard,Bouvard,20
les,le,52
reçut,recevoir,19
",",",",p
et,et,82
commença,commencer,19
la,le,71
démonstration,démonstration,22
par,par,81
le,le,71
vestibule,vestibule,21
/.,/.,P
la,le,71
poutre,poutre,22
n',ne,60
était,être,18
rien,rien,52
moins,moins,60
que,que,83
l',le,71
ancien,ancien,30
gibet,gibet,21
de,de,81
Falaise,Falaise,20
",",",",p
d',de,81
après,après,81
le,le,71
menuisier,menuisier,21
qui,qui,52
l',le,52
avait,avoir,18
vendue,vendre,12
-,-,p
lequel,lequel,52
tenait,tenir,18
ce,ce,74
renseignement,renseignement,21
de,de,81
son,son,73
grand-père,grand-père,21
/.,/.,P
la,le,71
grosse,grosse,22
chaîne,chaîner,17
dans,dans,81
le,le,71
corridor,corridor,21
provenait,provenir,18
des,de,81
des,le,71
oubliettes,oubliette,22
du,de,81
du,le,71
donjon,donjon,21
de,de,81
Torteval,Torteval,20
/.,/.,P
elle,il,51
ressemblait,ressembler,18
suivant,suivant,81
le,le,71
notaire,notaire,21
",",",",p
aux,à,81
aux,le,71
chaînes,chaîne,22
des,de,81
des,le,71
bornes,borne,22
devant,devant,81
les,le,71
cours,cour,22
d',de,81
honneur,honneur,21
/.,/.,P
Bouvard,Bouvard,20
était,être,18
convaincu,convaincre,12
qu',que,83
elle,il,51
servait,servir,18
autrefois,autrefois,60
à,à,81
lier,lier,14
les,le,71
captifs,captif,21
/.,/.,P
et,et,82
il,il,51
ouvrit,ouvrir,19
la,le,71
porte,porte,22
de,de,81
la,le,71
première,premier,72
chambre,chambre,22
/.,/.,P
-,-,p
“,“,p
pourquoi,pourquoi,60
toutes,tout,75
ces,ce,74
tuiles,tuile,22
?,?,p
s',se,51
écria,écrier,19
madame,madame,22
Bordin,Bordin,20
/.,/.,P
-,-,p
“,“,p
pour,pour,81
chauffer,chauffer,14
les,le,71
étuves,étuve,22
!,!,p
mais,mais,82
un,un,71
peu,peu,60
d',de,81
ordre,ordre,21
",",",",p
s',si,83
il,il,51
vous,vous,51
plaît,plaire,17
/!,/!,P
ceci,ceci,52
est,être,17
un,un,71
tombeau,tombeau,21
découvert,découvert,21
dans,dans,81
une,un,71
auberge,auberge,22
où,où,60
on,on,51
l',le,52
employait,employer,18
comme,comme,83
abreuvoir,abreuvoir,21
/.,/.,P
“,“,p
ensuite,ensuite,60
",",",",p
Bouvard,Bouvard,20
prit,prendre,19
les,le,71
deux,deux,72
urnes,urne,22
pleines,plein,30
d',de,81
une,un,71
terre,terre,22
",",",",p
qui,qui,52
était,être,18
de,de,81
la,le,71
cendre,cendre,22
humaine,humain,30
",",",",p
et,et,82
il,il,51
approcha,approcher,19
de,de,81
ses,son,73
yeux,oeil,21
la,le,71
fiole,fiole,22
",",",",p
afin,afin,81
de,de,81
montrer,montrer,14
par,par,81
quelle,quel,75
méthode,méthode,22
les,le,71
Romains,Romain,20
y,y,52
versaient,verser,18
des,de,81
des,le,71
pleurs,pleur,21
/.,/.,P
-,-,p
“,“,p
mais,mais,82
on,on,51
ne,ne,60
voit,voir,17
chez,chez,81
vous,vous,51
que,que,83
des,de,81
des,le,71
choses,chose,22
lugubres,lugubre,30
/!,/!,P
effectivement,effectivement,60
",",",",p
c',ce,52
était,être,18
un,un,71
peu,peu,60
sérieux,sérieux,30
pour,pour,81
une,un,71
dame,dame,22
",",",",p
et,et,82
alors,alors,60
il,il,51
tira,tirer,19
d',de,81
un,un,71
carton,carton,21
plusieurs,plusieurs,75
monnaies,monnaie,22
de,de,81
cuivre,cuivre,21
",",",",p
avec,avec,81
un,un,71
denier,denier,21
d',de,81
argent,argent,21
/.,/.,P
madame,madame,22
Bordin,Bordin,20
demanda,demander,19
au,à,81
au,le,71
notaire,notaire,21
",",",",p
quelle,quel,75
somme,somme,22
aujourd'hui,aujourd'hui,60
cela,cela,52
pourrait,pouvoir,16
valoir,valoir,14
/.,/.,P
la,le,71
cotte,cotte,22
de,de,81
mailles,maille,22
qu',que,52
il,il,51
examinait,examiner,18
",",",",p
lui,lui,51
échappa,échapper,19
des,de,81
des,le,71
doigts,doigt,21
;,;,p
des,de,81
des,le,71
anneaux,anneau,21
se,se,51
rompirent,rompre,19
/.,/.,P
Bouvard,Bouvard,20
dissimula,dissimuler,19
son,son,73
mécontentement,mécontentement,21
/.,/.,P
il,il,51
eut,avoir,19
même,même,60
l',le,71
obligeance,obligeance,22
de,de,81
décrocher,décrocher,14
la,le,71
hallebarde,hallebarde,22
-,-,p
et,et,82
se,se,51
courbant,courber,13
",",",",p
levant,lever,13
les,le,71
bras,bras,21
",",",",p
battant,battre,13
du,de,81
du,le,71
talon,talon,21
",",",",p
il,il,51
faisait,faire,18
mine,mine,22
de,de,81
faucher,faucher,14
les,le,71
jarrets,jarret,21
d',de,81
un,un,71
cheval,cheval,21
",",",",p
de,de,81
pointer,pointer,14
comme,comme,83
à,à,81
la,le,71
baïonnette,baïonnette,22
",",",",p
d',de,81
assommer,assommer,14
un,un,71
ennemi,ennemi,21
/.,/.,P
la,le,71
veuve,veuve,22
",",",",p
intérieurement,intérieurement,60
",",",",p
le,le,52
trouva,trouver,19
un,un,71
rude,rude,30
gaillard,gaillard,21
/.,/.,P
elle,il,51
fut,être,19
enthousiasmée,enthousiasmer,12
par,par,81
la,le,71
commode,commode,22
en,en,81
coquillages,coquillage,21
/.,/.,P
le,le,71
chat,chat,21
de,de,81
Saint Allyre,Saint Allyre,20
l',le,52
étonna,étonner,19
beaucoup,beaucoup,60
",",",",p
la,le,71
poire,poire,22
dans,dans,81
la,le,71
carafe,carafe,22
un,un,71
peu,peu,60
moins,moins,60
/.,/.,P
puis,puis,60
arrivant,arrivant,30
à,à,81
la,le,71
cheminée,cheminée,22
:,:,p
-,-,p
“,“,p
ah,ah,93
!,!,p
voilà,voilà,81
un,un,71
chapeau,chapeau,21
qui,qui,52
aurait,avoir,16
besoin,besoin,21
de,de,81
raccommodage,raccommodage,21
/.,/.,P
“,“,p
trois,trois,72
trous,trou,21
",",",",p
des,de,81
des,le,71
marques,marque,22
de,de,81
balles,balle,22
",",",",p
en,en,52
perçaient,percer,18
les,le,71
bords,bord,21
/.,/.,P
c',ce,52
était,être,18
celui,celui,52
d',de,81
un,un,71
chef,chef,21
de,de,81
voleurs,voleur,21
sous,sous,81
le,le,71
Directoire,Directoire,20
",",",",p
David,David,20
de,de,81
la,le,71
Bazoque,Bazoque,20
",",",",p
pris,pris,31
en,en,81
trahison,trahison,22
",",",",p
et,et,82
tué,tué,31
immédiatement,immédiatement,60
/.,/.,P
-,-,p
“,“,p
tant,tant,60
mieux,mieux,60
",",",",p
on,on,51
a,avoir,17
bien,bien,60
fait,faire,12
!,!,p
dit,dire,12
madame,madame,22
Bordin,Bordin,20
/.,/.,P
Marescot,Marescot,20
souriait,sourire,18
devant,devant,81
les,le,71
objets,objet,21
d',de,81
une,un,71
façon,façon,22
dédaigneuse,dédaigneux,30
/.,/.,P
il,il,51
ne,ne,60
comprenait,comprendre,18
pas,pas,60
cette,ce,74
galoche,galoche,22
qui,qui,52
avait,avoir,18
été,être,12
l',le,71
enseigne,enseigne,21
d',de,81
un,un,71
marchand,marchand,21
de,de,81
chaussures,chaussure,22
",",",",p
ni,ni,82
pourquoi,pourquoi,60
le,le,71
tonneau,tonneau,21
de,de,81
faïence,faïence,22
",",",",p
un,un,71
vulgaire,vulgaire,30
pichet,pichet,21
de,de,81
cidre,cidre,21
;,;,p
-,-,p
et,et,82
le,le,71
saint,saint,30
Pierre,Pierre,20
",",",",p
franchement,franchement,60
",",",",p
était,être,18
lamentable,lamentable,30
avec,avec,81
sa,son,73
physionomie,physionomie,22
d',de,81
ivrogne,ivrogne,21
/.,/.,P
madame,madame,22
Bordin,Bordin,20
fit,faire,19
cette,ce,74
remarque,remarque,22
:,:,p
-,-,p
“,“,p
il,il,51
a,avoir,17
dû,devoir,12
vous,vous,51
coûter,coûter,14
bon,bon,60
",",",",p
tout,tout,60
de,de,81
même,même,60
/?,/?,P
oh,oh,93
pas,pas,60
trop,trop,60
!,!,p
pas,pas,60
trop,trop,60
/!,/!,P
un,un,71
couvreur,couvreur,21
d',de,81
ardoises,ardoise,22
l',le,52
avait,avoir,18
donné,donner,12
pour,pour,81
quinze,quinze,72
francs,franc,21
/.,/.,P
ensuite,ensuite,60
",",",",p
elle,il,51
blâma,blâmer,19
",",",",p
vu,vu,81
l',le,71
inconvenance,inconvenance,22
",",",",p
le,le,71
décolletage,décolletage,21
de,de,81
la,le,71
dame,dame,22
en,en,81
perruque,perruque,22
poudrée,poudré,31
/.,/.,P
-,-,p
“,“,p
où,où,60
est,être,17
le,le,71
mal,mal,21
?,?,p
reprit,reprendre,19
Bouvard,Bouvard,20
",",",",p
“,“,p
quand,quand,83
on,on,51
possède,posséder,17
quelque,quelque,75
chose,chose,22
de,de,81
beau,beau,30
?,?,p
et,et,82
il,il,51
ajouta,ajouter,19
plus,plus,60
bas,bas,60
:,:,p
“,“,p
comme,comme,83
vous,vous,51
",",",",p
je,je,51
suis,être,17
sûr,sûr,30
/?,/?,P
le,le,71
notaire,notaire,21
leur,leur,52
tournait,tourner,18
le,le,71
dos,dos,21
",",",",p
étudiant,étudier,13
les,le,71
branches,branche,22
de,de,81
la,le,71
famille,famille,22
Croixmare,Croixmare,20
/.,/.,P
elle,il,51
ne,ne,60
répondit,répondre,19
rien,rien,52
",",",",p
mais,mais,82
se,se,51
mit,mettre,19
à,à,81
jouer,jouer,14
avec,avec,81
sa,son,73
longue,long,30
chaîne,chaîne,22
de,de,81
montre,montre,22
/.,/.,P
ses,son,73
seins,sein,21
bombaient,bomber,18
le,le,71
taffetas,taffetas,21
noir,noir,30
de,de,81
son,son,73
corsage,corsage,21
;,;,p
et,et,82
les,le,71
cils,cil,21
un,un,71
peu,peu,60
rapprochés,rapproché,31
",",",",p
elle,il,51
baissait,baisser,18
le,le,71
menton,menton,21
",",",",p
comme,comme,83
une,un,71
tourterelle,tourterelle,22
qui,qui,52
se,se,51
rengorge,rengorger,17
/.,/.,P
puis,puis,60
d',de,81
un,un,71
air,air,21
ingénu,ingénu,30
:,:,p
-,-,p
“,“,p
comment,comment,60
s',se,51
appelait,appeler,18
cette,ce,74
dame,dame,22
/?,/?,P
on,on,51
l',le,52
ignore,ignorer,17
!,!,p
c',ce,52
est,être,17
une,un,71
maîtresse,maîtresse,22
du,de,81
du,le,71
Régent,Régent,20
",",",",p
-,-,p
vous,vous,51
savez,savoir,17
-,-,p
celui,celui,52
qui,qui,52
a,avoir,17
fait,faire,12
tant,tant,60
de,de,81
farces,farce,22
/!,/!,P
je,je,51
crois,croire,17
bien,bien,60
!,!,p
les,le,71
mémoires,mémoire,22
du,de,81
du,le,71
temps,temps,21
!,!,p
/…,/…,P
“,“,p
et,et,82
le,le,71
notaire,notaire,21
",",",",p
sans,sans,81
finir,finir,14
sa,son,73
phrase,phrase,22
déplora,déplorer,19
cet,ce,74
exemple,exemple,21
d',de,81
un,un,71
prince,prince,21
",",",",p
entraîné,entraîné,31
par,par,81
ses,son,73
passions,passion,22
/.,/.,P
-,-,p
“,“,p
mais,mais,82
vous,vous,51
êtes,être,17
tous,tout,52
comme,comme,83
ça,ça,52
/!,/!,P
les,le,71
deux,deux,72
hommes,homme,21
se,se,51
récrièrent,récrier,19
;,;,p
et,et,82
un,un,71
dialogue,dialogue,21
s',se,51
en,en,52
suivit,suivre,19
sur,sur,81
les,le,71
femmes,femme,22
",",",",p
sur,sur,81
l',le,71
amour,amour,21
/.,/.,P
Marescot,Marescot,20
affirma,affirmer,19
qu',que,83
il,il,51
existe,exister,17
beaucoup,beaucoup,60
d',de,81
unions,union,22
heureuses,heureux,30
/.,/.,P
-,-,p
parfois,parfois,60
même,même,60
",",",",p
sans,sans,81
qu',que,83
on,on,51
s',se,51
en,en,52
doute,douter,17
",",",",p
on,on,51
a,avoir,17
près,près,81
de,de,81
soi,soi,51
",",",",p
ce,ce,52
qu',que,52
il,il,51
faudrait,falloir,16
pour,pour,81
son,son,73
bonheur,bonheur,21
/.,/.,P
l',le,71
allusion,allusion,22
était,être,18
directe,direct,30
/.,/.,P
les,le,71
joues,joue,22
de,de,81
la,le,71
veuve,veuve,22
s',se,51
empourprèrent,empourprer,19
;,;,p
mais,mais,82
se,se,51
remettant,remettre,13
presque,presque,60
aussitôt,aussitôt,60
:,:,p
-,-,p
“,“,p
nous,nous,51
n',ne,60
avons,avoir,17
plus,plus,60
l',le,71
âge,âge,21
des,de,81
des,le,71
folies,folie,22
!,!,p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
monsieur,monsieur,21
Bouvard,Bouvard,20
/?,/?,P
eh,eh,93
!,!,p
eh,eh,93
!,!,p
moi,moi,51
",",",",p
je,je,51
ne,ne,60
dis,dire,19
pas,pas,60
ça,ça,52
!,!,p
et,et,82
il,il,51
offrit,offrir,19
son,son,73
bras,bras,21
pour,pour,81
revenir,revenir,14
dans,dans,81
l',le,71
autre,autre,75
chambre,chambre,22
/.,/.,P
“,“,p
faites,faire,17
attention,attention,22
aux,à,81
aux,le,71
marches,marche,22
/.,/.,P
très,très,60
bien,bien,60
/!,/!,P
maintenant,maintenant,60
",",",",p
observez,observer,17
le,le,71
vitrail,vitrail,21
/.,/.,P
“,“,p
on,on,51
y,y,52
distinguait,distinguer,18
un,un,71
manteau,manteau,21
d',de,81
écarlate,écarlate,30
et,et,82
les,le,71
deux,deux,72
ailes,aile,22
d',de,81
un,un,71
ange,ange,21
-,-,p
tout,tout,75
le,le,71
reste,reste,21
se,se,51
perdant,perdre,13
sous,sous,81
les,le,71
plombs,plomb,21
qui,qui,52
tenaient,tenir,18
en,en,81
équilibre,équilibre,21
les,le,71
nombreuses,nombreux,30
cassures,cassure,22
du,de,81
du,le,71
verre,verre,21
/.,/.,P
le,le,71
jour,jour,21
diminuait,diminuer,18
;,;,p
des,de,81
des,le,71
ombres,ombre,22
s',se,51
allongeaient,allonger,18
;,;,p
madame,madame,22
Bordin,Bordin,20
était,être,18
devenue,devenir,12
sérieuse,sérieux,30
/.,/.,P
Bouvard,Bouvard,20
s',se,51
éloigna,éloigner,19
",",",",p
et,et,82
reparut,reparaître,19
",",",",p
affublé,affublé,31
d',de,81
une,un,71
couverture,couverture,22
de,de,81
laine,laine,22
",",",",p
puis,puis,60
s',se,51
agenouilla,agenouiller,19
devant,devant,81
le,le,71
prie-Dieu,prie-Dieu,21
",",",",p
les,le,71
coudes,coude,21
en,en,81
dehors,dehors,21
",",",",p
la,le,71
face,face,22
dans,dans,81
les,le,71
mains,main,22
",",",",p
la,le,71
lueur,lueur,22
du,de,81
du,le,71
soleil,soleil,21
tombant,tombant,30
sur,sur,81
sa,son,73
calvitie,calvitie,22
;,;,p
-,-,p
et,et,82
il,il,51
avait,avoir,18
conscience,conscience,22
de,de,81
cet,ce,74
effet,effet,21
",",",",p
car,car,82
il,il,51
dit,dire,19
:,:,p
-,-,p
“,“,p
est,être,17
ce,ce,52
que,que,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
l',le,71
air,air,21
d',de,81
un,un,71
moine,moine,21
du,de,81
du,le,71
moyen,moyen,30
âge,âge,21
/?,/?,P
ensuite,ensuite,60
",",",",p
il,il,51
leva,lever,19
le,le,71
front,front,21
obliquement,obliquement,60
",",",",p
les,le,71
yeux,oeil,21
noyés,noyé,31
",",",",p
faisant,faire,13
prendre,prendre,14
à,à,81
sa,son,73
figure,figure,22
une,un,71
expression,expression,22
mystique,mystique,30
/.,/.,P
on,on,51
entendit,entendre,19
dans,dans,81
le,le,71
corridor,corridor,21
la,le,71
voix,voix,22
grave,grave,30
de,de,81
Pécuchet,Pécuchet,20
:,:,p
-,-,p
“,“,p
n',ne,60
aie,avoir,17
pas,pas,60
peur,peur,22
!,!,p
c',ce,52
est,être,17
moi,moi,51
/!,/!,P
et,et,82
il,il,51
entra,entrer,19
",",",",p
la,le,71
tête,tête,22
complètement,complètement,60
recouverte,recouvert,31
d',de,81
un,un,71
casque,casque,21
-,-,p
un,un,71
pot,pot,21
de,de,81
fer,fer,21
à,à,81
oreillons,oreillon,21
pointus,pointu,30
/.,/.,P
Bouvard,Bouvard,20
ne,ne,60
quitta,quitter,19
pas,pas,60
le,le,71
prie-Dieu,prie-Dieu,21
/.,/.,P
les,le,71
deux,deux,72
autres,autre,52
restaient,rester,18
debout,debout,60
/.,/.,P
une,un,71
minute,minute,22
se,se,51
passa,passer,19
dans,dans,81
l',le,71
ébahissement,ébahissement,21
/.,/.,P
madame,madame,22
Bordin,Bordin,20
parut,paraître,19
un,un,71
peu,peu,60
froide,froid,30
à,à,81
Pécuchet,Pécuchet,20
/.,/.,P
cependant,cependant,82
",",",",p
il,il,51
voulut,vouloir,19
savoir,savoir,14
si,si,83
on,on,51
lui,lui,51
avait,avoir,18
tout,tout,52
montré,montrer,12
/.,/.,P
-,-,p
“,“,p
il,il,51
me,je,51
semble,sembler,17
?,?,p
et,et,82
désignant,désigner,13
la,le,71
muraille,muraille,22
:,:,p
“,“,p
ah,ah,93
!,!,p
pardon,pardon,21
!,!,p
nous,nous,51
aurons,avoir,15
ici,ici,60
un,un,71
objet,objet,21
que,que,52
l',l',94
on,on,51
restaure,restaurer,17
en,en,81
ce,ce,74
moment,moment,21
/.,/.,P
“,“,p
la,le,71
veuve,veuve,22
et,et,82
Marescot,Marescot,20
se,se,51
retirèrent,retirer,19
/.,/.,P
les,le,71
deux,deux,72
amis,ami,21
avaient,avoir,18
imaginé,imaginer,12
de,de,81
feindre,feindre,14
une,un,71
concurrence,concurrence,22
/.,/.,P
ils,ils,51
allaient,aller,18
en,en,81
courses,course,22
l',le,71
un,un,52
sans,sans,81
l',le,71
autre,autre,52
",",",",p
le,le,71
second,second,72
faisant,faire,13
des,de,81
des,le,71
offres,offre,22
supérieures,supérieur,30
à,à,81
celles,celui,52
du,de,81
du,le,71
premier,premier,72
/.,/.,P
Pécuchet,Pécuchet,20
ainsi,ainsi,60
venait,venir,18
d',de,81
obtenir,obtenir,14
le,le,71
casque,casque,21
/.,/.,P
Bouvard,Bouvard,20
l',le,52
en,en,52
félicita,féliciter,19
et,et,82
reçut,recevoir,19
des,de,81
des,le,71
éloges,éloge,21
à,à,81
propos,propos,21
de,de,81
la,le,71
couverture,couverture,22
/.,/.,P
Mélie,Mélie,20
avec,avec,81
des,de,81
des,le,71
cordons,cordon,21
",",",",p
l',le,52
arrangea,arranger,19
en,en,81
manière,manière,22
de,de,81
froc,froc,21
/.,/.,P
ils,ils,51
la,le,52
mettaient,mettre,18
à,à,81
tour,tour,21
de,de,81
rôle,rôle,21
",",",",p
pour,pour,81
recevoir,recevoir,14
les,le,71
visites,visite,22
/.,/.,P
ils,ils,51
eurent,avoir,19
celles,celui,52
de,de,81
Girbal,Girbal,20
",",",",p
de,de,81
Foureau,Foureau,20
",",",",p
du,de,81
du,le,71
capitaine,capitaine,21
Heurtaux,Heurtaux,20
",",",",p
puis,puis,60
de,de,81
personnes,personne,22
inférieures,inférieur,30
",",",",p
Langlois,Langlois,20
",",",",p
Beljambe,Beljambe,20
",",",",p
leurs,leur,73
fermiers,fermier,21
",",",",p
jusqu',jusque,81
aux,à,81
aux,le,71
servantes,servante,22
des,de,81
des,le,71
voisins,voisin,21
;,;,p
-,-,p
et,et,82
chaque,chaque,75
fois,fois,22
",",",",p
ils,ils,51
recommençaient,recommencer,18
leurs,leur,73
explications,explication,22
",",",",p
montraient,montrer,18
la,le,71
place,place,22
où,où,60
serait,être,16
le,le,71
bahut,bahut,21
",",",",p
affectaient,affecter,18
de,de,81
la,le,71
modestie,modestie,22
",",",",p
réclamaient,réclamer,18
de,de,81
l',le,71
indulgence,indulgence,22
pour,pour,81
l',le,71
encombrement,encombrement,21
/.,/.,P
Pécuchet,Pécuchet,20
",",",",p
ces,ce,74
jours,jour,21
là,là,60
",",",",p
portait,porter,18
le,le,71
bonnet,bonnet,21
de,de,81
zouave,zouave,21
qu',que,52
il,il,51
avait,avoir,18
autrefois,autrefois,60
à,à,81
Paris,Paris,20
",",",",p
l',le,52
estimant,estimer,13
plus,plus,60
en,en,81
rapport,rapport,21
avec,avec,81
le,le,71
milieu,milieu,21
artistique,artistique,30
/.,/.,P
à,à,81
un,un,71
certain,certain,75
moment,moment,21
",",",",p
il,il,51
se,se,51
coiffait,coiffer,18
du,de,81
du,le,71
casque,casque,21
",",",",p
et,et,82
le,le,52
penchait,pencher,18
sur,sur,81
la,le,71
nuque,nuque,22
",",",",p
afin,afin,81
de,de,81
dégager,dégager,14
son,son,73
visage,visage,21
/.,/.,P
Bouvard,Bouvard,20
n',ne,60
oubliait,oublier,18
pas,pas,60
la,le,71
manoeuvre,manoeuvre,22
de,de,81
la,le,71
hallebarde,hallebarde,22
;,;,p
enfin,enfin,60
",",",",p
d',de,81
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
ils,ils,51
se,se,51
demandaient,demander,18
si,si,83
le,le,71
visiteur,visiteur,21
méritait,mériter,18
que,que,83
l',l',94
on,on,51
fît,faire,18
“,“,p
le,le,71
moine,moine,21
du,de,81
du,le,71
moyen,moyen,30
âge,âge,21
“,“,p
/.,/.,P
quelle,quel,75
émotion,émotion,22
quand,quand,83
s',se,51
arrêta,arrêter,19
devant,devant,81
leur,leur,73
grille,grille,22
",",",",p
la,le,71
voiture,voiture,22
de,de,81
monsieur,monsieur,21
de,de,81
Faverges,Faverges,20
/!,/!,P
il,il,51
n',ne,60
avait,avoir,18
qu',que,83
un,un,71
mot,mot,21
à,à,81
dire,dire,14
/.,/.,P
voici,voici,81
la,le,71
chose,chose,22
/.,/.,P
Hurel,Hurel,20
",",",",p
son,son,73
homme,homme,21
d',de,81
affaires,affaire,22
",",",",p
lui,lui,51
avait,avoir,18
appris,apprendre,12
que,que,83
cherchant,chercher,13
partout,partout,60
des,de,81
des,le,71
documents,document,21
ils,ils,51
avaient,avoir,18
acheté,acheter,12
de,de,81
vieux,vieux,30
papiers,papier,21
à,à,81
la,le,71
ferme,ferme,22
de,de,81
la,le,71
Aubrye,Aubrye,20
/.,/.,P
rien,rien,52
de,de,81
plus,plus,60
vrai,vrai,30
/.,/.,P
n',ne,60
y,y,52
avaient,avoir,18
ils,ils,51
pas,pas,60
découvert,découvrir,12
",",",",p
des,de,81
des,le,71
lettres,lettre,22
du,de,81
du,le,71
baron,baron,21
de,de,81
Gonneval,Gonneval,20
",",",",p
ancien,ancien,30
aide,aide,21
de,de,81
camp,camp,21
du,de,81
du,le,71
duc,duc,21
d',de,81
Angoulême,Angoulême,20
",",",",p
et,et,82
qui,qui,52
avait,avoir,18
séjourné,séjourner,12
à,à,81
la,le,71
Aubrye,Aubrye,20
/?,/?,P
on,on,51
désirait,désirer,18
cette,ce,74
correspondance,correspondance,22
",",",",p
pour,pour,81
des,de,81
des,le,71
intérêts,intérêt,21
de,de,81
famille,famille,22
/.,/.,P
elle,il,51
n',ne,60
était,être,18
pas,pas,60
chez,chez,81
eux,ils,51
/.,/.,P
mais,mais,82
ils,ils,51
détenaient,détenir,18
une,un,71
chose,chose,22
qui,qui,52
l',le,52
intéressait,intéresser,18
s',si,83
il,il,51
daignait,daigner,18
les,le,52
suivre,suivre,14
",",",",p
jusqu',jusque,81
à,à,81
leur,leur,73
bibliothèque,bibliothèque,22
/.,/.,P
jamais,jamais,60
pareilles,pareil,30
bottes,botte,22
vernies,verni,31
n',ne,60
avaient,avoir,18
craqué,craquer,12
dans,dans,81
le,le,71
corridor,corridor,21
/.,/.,P
elles,ils,51
se,se,51
heurtèrent,heurter,19
contre,contre,81
le,le,71
sarcophage,sarcophage,21
/.,/.,P
il,il,51
faillit,faillir,19
même,même,60
écraser,écraser,14
plusieurs,plusieurs,75
tuiles,tuile,22
",",",",p
tourna,tourner,19
le,le,71
fauteuil,fauteuil,21
",",",",p
descendit,descendre,19
deux,deux,72
marches,marche,22
-,-,p
et,et,82
parvenus,parvenu,21
dans,dans,81
la,le,71
seconde,second,72
chambre,chambre,22
",",",",p
ils,ils,51
lui,lui,51
firent,faire,19
voir,voir,14
sous,sous,81
le,le,71
baldaquin,baldaquin,21
",",",",p
devant,devant,81
le,le,71
saint,saint,30
Pierre,Pierre,20
",",",",p
le,le,71
pot,pot,21
à,à,81
beurre,beurre,21
",",",",p
exécuté,exécuté,31
à,à,81
Noron,Noron,20
/.,/.,P
Bouvard,Bouvard,20
et,et,82
Pécuchet,Pécuchet,20
avaient,avoir,18
cru,croire,12
que,que,83
la,le,71
date,date,22
",",",",p
quelquefois,quelquefois,60
",",",",p
pouvait,pouvoir,18
servir,servir,14
/.,/.,P
le,le,71
gentilhomme,gentilhomme,21
par,par,81
politesse,politesse,22
inspecta,inspecter,19
leur,leur,73
musée,musée,21
/.,/.,P
-,-,p
il,il,51
répétait,répéter,18
:,:,p
“,“,p
charmant,charmer,13
",",",",p
très,très,60
bien,bien,60
!,!,p
tout,tout,60
en,en,81
se,se,51
donnant,donner,13
sur,sur,81
la,le,71
bouche,bouche,22
de,de,81
petits,petit,30
coups,coup,21
avec,avec,81
le,le,71
pommeau,pommeau,21
de,de,81
sa,son,73
badine,badine,22
",",",",p
-,-,p
pour,pour,81
sa,son,73
part,part,22
",",",",p
il,il,51
les,le,52
remerciait,remercier,18
d',de,81
avoir,avoir,14
sauvé,sauver,12
ces,ce,74
débris,débris,21
du,de,81
du,le,71
moyen,moyen,30
âge,âge,21
",",",",p
époque,époque,22
de,de,81
foi,foi,22
religieuse,religieux,30
et,et,82
de,de,81
dévouements,dévouement,21
chevaleresques,chevaleresque,30
.,.,p
il,il,51
aimait,aimer,18
le,le,71
progrès,progrès,21
",",",",p
-,-,p
et,et,82
se,se,51
fût,être,19
livré,livrer,12
",",",",p
comme,comme,83
eux,ils,51
",",",",p
à,à,81
ces,ce,74
études,étude,22
intéressantes,intéressant,30
/.,/.,P
-,-,p
mais,mais,82
la,le,71
politique,politique,22
",",",",p
le,le,71
conseil,conseil,21
général,général,30
",",",",p
l',le,71
agriculture,agriculture,22
",",",",p
un,un,71
véritable,véritable,30
tourbillon,tourbillon,21
l',le,52
en,en,52
détournait,détourner,18
/!,/!,P
après,après,81
vous,vous,51
",",",",p
toutefois,toutefois,60
",",",",p
on,on,51
n',ne,60
aurait,avoir,16
que,que,83
des,de,81
des,le,71
glanes,glane,22
;,;,p
car,car,82
bientôt,bientôt,60
",",",",p
vous,vous,51
aurez,avoir,15
pris,prendre,12
toutes,tout,75
les,le,71
curiosités,curiosité,22
du,de,81
du,le,71
département,département,21
/.,/.,P
“,“,p
-,-,p
“,“,p
sans,sans,81
amour-propre,amour-propre,21
",",",",p
nous,nous,51
le,le,52
pensons,penser,17
“,“,p
dit,dire,19
Pécuchet,Pécuchet,20
/.,/.,P
et,et,82
cependant,cependant,82
",",",",p
on,on,51
pouvait,pouvoir,18
en,en,52
découvrir,découvrir,14
encore,encore,60
à,à,81
Chavignolles,Chavignolles,20
",",",",p
par,par,81
exemple,exemple,21
",",",",p
il,il,51
y,y,52
avait,avoir,18
contre,contre,81
le,le,71
mur,mur,21
du,de,81
du,le,71
cimetière,cimetière,21
dans,dans,81
la,le,71
ruelle,ruelle,22
",",",",p
un,un,71
bénitier,bénitier,21
",",",",p
enfoui,enfoui,31
sous,sous,81
les,le,71
herbes,herbe,22
",",",",p
depuis,depuis,81
un,un,71
temps,temps,21
immémorial,immémorial,30
/.,/.,P
ils,ils,51
furent,être,19
heureux,heureux,30
du,de,81
du,le,71
renseignement,renseignement,21
",",",",p
puis,puis,60
échangèrent,échanger,19
un,un,71
