11663
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-huitième extrait>,<>,<>
vous,vous,51
voulez,vouloir,17
parler,parler,14
",",",",p
dit,dire,19
la,le,71
reine,reine,22
",",",",p
ou,ou,82
d',de,81
un,un,71
personnage,personnage,21
réel,réel,30
/?,/?,P
trop,trop,60
réel,réel,30
",",",",p
trop,trop,60
vivant,vivant,30
",",",",p
trop,trop,60
longtemps,longtemps,60
vivant,vivant,30
",",",",p
madame,madame,22
",",",",p
répondit,répondre,19
le,le,71
duc,duc,21
plus,plus,60
animé,animé,31
;,;,p
cette,ce,74
ambition,ambition,22
démesurée,démesuré,30
",",",",p
cet,ce,74
égoïsme,égoïsme,21
colossal,colossal,30
",",",",p
ne,ne,60
peuvent,pouvoir,17
plus,plus,60
se,se,51
supporter,supporter,14
/.,/.,P
tout,tout,52
ce,ce,52
qui,qui,52
porte,porter,17
un,un,71
grand,grand,30
coeur,coeur,21
s',se,51
indigne,indigner,17
de,de,81
ce,ce,74
joug,joug,21
",",",",p
et,et,82
dans,dans,81
ce,ce,74
moment,moment,21
",",",",p
plus,plus,60
que,que,83
jamais,jamais,60
",",",",p
on,on,51
entrevoit,entrevoir,17
toutes,tout,75
les,le,71
infortunes,infortune,22
de,de,81
l',le,71
avenir,avenir,21
/.,/.,P
il,il,51
faut,falloir,17
le,le,52
dire,dire,14
",",",",p
madame,madame,22
;,;,p
oui,oui,60
",",",",p
ce,ce,52
n',ne,60
est,être,17
plus,plus,60
le,le,71
temps,temps,21
des,de,81
des,le,71
ménagements,ménagement,21
:,:,p
la,le,71
maladie,maladie,22
du,de,81
du,le,71
roi,roi,21
est,être,17
très,très,60
grave,grave,30
;,;,p
le,le,71
moment,moment,21
de,de,81
penser,penser,14
et,et,82
de,de,81
résoudre,résoudre,14
est,être,17
arrivé,arriver,12
",",",",p
car,car,82
le,le,71
temps,temps,21
d',de,81
agir,agir,14
n',ne,60
est,être,17
pas,pas,60
loin,loin,60
/.,/.,P
le,le,71
ton,ton,21
sévère,sévère,30
et,et,82
brusque,brusque,30
de,de,81
monsieur,monsieur,21
de,de,81
Bouillon,Bouillon,20
ne,ne,60
surprit,surprendre,19
pas,pas,60
Anne,Anne,20
d',de,81
Autriche,Autriche,20
;,;,p
mais,mais,82
elle,il,51
l',le,52
avait,avoir,18
toujours,toujours,60
trouvé,trouver,12
plus,plus,60
calme,calme,30
",",",",p
et,et,82
fut,être,19
un,un,71
peu,peu,60
émue,émouvoir,12
de,de,81
l',le,71
inquiétude,inquiétude,22
qu',que,52
il,il,51
témoignait,témoigner,18
:,:,p
aussi,aussi,60
",",",",p
quittant,quitter,13
le,le,71
ton,ton,21
de,de,81
la,le,71
plaisanterie,plaisanterie,22
qu',que,52
elle,il,51
avait,avoir,18
d'abord,d'abord,60
voulu,vouloir,12
prendre,prendre,14
:,:,p
-,-,p
eh,eh,93
bien,bien,60
",",",",p
quoi,quoi,52
?,?,p
que,que,52
craignez,craindre,17
vous,vous,51
",",",",p
et,et,82
que,que,52
voulez,vouloir,17
vous,vous,51
faire,faire,14
/?,/?,P
je,je,51
ne,ne,60
crains,craindre,17
rien,rien,52
pour,pour,81
moi,moi,51
",",",",p
madame,madame,22
",",",",p
car,car,82
l',le,71
armée,armée,22
d',de,81
Italie,Italie,20
ou,ou,82
Sedan,Sedan,20
me,je,51
mettront,mettre,15
toujours,toujours,60
à,à,81
l',le,71
abri,abri,21
;,;,p
mais,mais,82
je,je,51
crains,craindre,17
pour,pour,81
vous-même,vous-même,51
",",",",p
et,et,82
peut-être,peut-être,60
pour,pour,81
les,le,71
princes,prince,21
vos,votre,73
fils,fils,21
/.,/.,P
-,-,p
pour,pour,81
mes,mon,73
enfants,enfant,21
",",",",p
monsieur,monsieur,21
le,le,71
duc,duc,21
",",",",p
pour,pour,81
les,le,71
fils,fils,21
de,de,81
France,France,20
/?,/?,P
l',le,52
entendez,entendre,17
vous,vous,51
",",",",p
mon,mon,73
frère,frère,21
",",",",p
l',le,52
entendez,entendre,17
vous,vous,51
?,?,p
et,et,82
vous,vous,51
ne,ne,60
paraissez,paraître,17
pas,pas,60
étonné,étonné,31
/?,/?,P
la,le,71
reine,reine,22
était,être,18
fort,fort,60
agitée,agiter,12
en,en,81
parlant,parler,13
/.,/.,P
-,-,p
non,non,60
",",",",p
madame,madame,22
",",",",p
dit,dire,19
Gaston,Gaston,20
d',de,81
Orléans,Orléans,20
fort,fort,60
paisiblement,paisiblement,60
;,;,p
vous,vous,51
savez,savoir,17
que,que,83
je,je,51
suis,être,17
accoutumé,accoutumer,12
à,à,81
toutes,tout,75
les,le,71
persécutions,persécution,22
;,;,p
je,je,51
m',je,51
attends,attendre,17
à,à,81
tout,tout,52
de,de,81
la,le,71
part,part,22
de,de,81
cet,ce,74
homme,homme,21
;,;,p
il,il,51
est,être,17
le,le,71
maître,maître,21
",",",",p
il,il,51
faut,falloir,17
se,se,51
résigner,résigner,14
/…,/…,P
-,-,p
il,il,51
est,être,17
le,le,71
maître,maître,21
!,!,p
reprit,reprendre,19
la,le,71
reine,reine,22
;,;,p
et,et,82
de,de,81
qui,qui,52
tient,tenir,17
il,il,51
son,son,73
pouvoir,pouvoir,21
",",",",p
si,si,83
ce,ce,52
n',ne,60
est,être,17
du,de,81
du,le,71
roi,roi,21
?,?,p
et,et,82
",",",",p
après,après,81
le,le,71
roi,roi,21
",",",",p
quelle,quel,75
main,main,22
le,le,52
soutiendra,soutenir,15
",",",",p
s',si,83
il,il,51
vous,vous,51
plaît,plaire,17
!,!,p
qui,qui,52
l',le,52
empêchera,empêcher,15
de,de,81
retomber,retomber,14
dans,dans,81
le,le,71
néant,néant,21
?,?,p
sera,être,15
ce,ce,52
vous,vous,51
ou,ou,82
moi,moi,51
/?,/?,P
ce,ce,52
sera,être,15
lui-même,lui-même,51
",",",",p
interrompit,interrompre,19
monsieur,monsieur,21
de,de,81
Bouillon,Bouillon,20
",",",",p
car,car,82
il,il,51
veut,vouloir,17
se,se,51
faire,faire,14
nommer,nommer,14
régent,régent,21
",",",",p
et,et,82
je,je,51
sais,savoir,17
qu',que,83
à,à,81
l',le,71
heure,heure,22
qu',que,52
il,il,51
est,être,17
il,il,51
médite,méditer,17
de,de,81
vous,vous,51
enlever,enlever,14
vos,votre,73
enfants,enfant,21
",",",",p
et,et,82
demande,demander,17
au,à,81
au,le,71
roi,roi,21
que,que,83
leur,leur,73
garde,garde,22
lui,lui,51
soit,être,17
confiée,confier,12
/.,/.,P
-,-,p
me,je,51
les,le,52
enlever,enlever,14
!,!,p
s',se,51
écria,écrier,19
la,le,71
mère,mère,22
",",",",p
saisissant,saisir,13
involontairement,involontairement,60
le,le,71
Dauphin,Dauphin,20
et,et,82
le,le,52
prenant,prendre,13
dans,dans,81
ses,son,73
bras,bras,21
/.,/.,P
l',le,71
enfant,enfant,21
",",",",p
debout,debout,60
entre,entre,81
les,le,71
genoux,genou,21
de,de,81
la,le,71
reine,reine,22
",",",",p
regarda,regarder,19
les,le,71
hommes,homme,21
qui,qui,52
l',le,52
entouraient,entourer,18
avec,avec,81
une,un,71
gravité,gravité,22
singulière,singulier,30
à,à,81
cet,ce,74
âge,âge,21
",",",",p
et,et,82
",",",",p
voyant,voir,13
sa,son,73
mère,mère,22
tout,tout,52
en,en,81
larmes,larme,22
",",",",p
mit,mettre,19
la,le,71
main,main,22
sur,sur,81
la,le,71
petite,petit,30
épée,épée,22
qu',que,52
il,il,51
portait,porter,18
/.,/.,P
-,-,p
ah,ah,93
!,!,p
monseigneur,monseigneur,21
",",",",p
dit,dire,19
le,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
en,en,81
se,se,51
baissant,baisser,13
à,à,81
demi,demi,30
pour,pour,81
lui,lui,51
adresser,adresser,14
ce,ce,52
qu',que,52
il,il,51
voulait,vouloir,18
faire,faire,14
entendre,entendre,14
à,à,81
la,le,71
princesse,princesse,22
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
contre,contre,81
nous,nous,51
qu',que,83
il,il,51
faut,falloir,17
tirer,tirer,14
votre,votre,73
épée,épée,22
",",",",p
mais,mais,82
contre,contre,81
celui,celui,52
qui,qui,52
déracine,déraciner,17
votre,votre,73
trône,trône,21
;,;,p
il,il,51
vous,vous,51
prépare,préparer,17
une,un,71
grande,grand,30
puissance,puissance,22
",",",",p
sans,sans,81
doute,doute,21
;,;,p
vous,vous,51
aurez,avoir,15
un,un,71
sceptre,sceptre,21
absolu,absolu,30
;,;,p
mais,mais,82
il,il,51
a,avoir,17
rompu,rompre,12
le,le,71
faisceau,faisceau,21
d',de,81
armes,arme,22
qui,qui,52
le,le,52
soutenait,soutenir,18
/.,/.,P
ce,ce,74
faisceau,faisceau,21
là,là,60
",",",",p
c',ce,52
était,être,18
votre,votre,73
vieille,vieux,30
noblesse,noblesse,22
",",",",p
qu',que,52
il,il,51
a,avoir,17
décimée,décimer,12
/.,/.,P
quand,quand,83
vous,vous,51
serez,être,15
roi,roi,21
",",",",p
vous,vous,51
serez,être,15
un,un,71
grand,grand,30
roi,roi,21
",",",",p
j',je,51
en,en,52
ai,avoir,17
le,le,71
pressentiment,pressentiment,21
;,;,p
mais,mais,82
vous,vous,51
n',ne,60
aurez,avoir,15
que,que,83
des,de,81
des,le,71
sujets,sujet,21
et,et,82
point,point,60
d',de,81
amis,ami,21
",",",",p
car,car,82
l',le,71
amitié,amitié,22
n',ne,60
est,être,17
que,que,83
dans,dans,81
l',le,71
indépendance,indépendance,22
et,et,82
une,un,71
sorte,sorte,22
d',de,81
égalité,égalité,22
qui,qui,52
naît,naître,17
de,de,81
la,le,71
force,force,22
/.,/.,P
vos,votre,73
ancêtres,ancêtre,21
avaient,avoir,18
leurs,leur,73
pairs,pair,21
",",",",p
et,et,82
vous,vous,51
n',ne,60
aurez,avoir,15
pas,pas,60
les,le,71
vôtres,vôtre,52
/.,/.,P
que,que,52
dieu,dieu,21
vous,vous,51
soutienne,soutenir,17
alors,alors,60
",",",",p
monseigneur,monseigneur,21
",",",",p
car,car,82
les,le,71
hommes,homme,21
ne,ne,60
le,le,52
pourront,pouvoir,15
pas,pas,60
ainsi,ainsi,60
sans,sans,81
les,le,71
institutions,institution,22
/.,/.,P
soyez,être,17
grand,grand,30
;,;,p
mais,mais,82
surtout,surtout,60
qu',que,83
après,après,81
vous,vous,51
",",",",p
grand,grand,30
homme,homme,21
",",",",p
il,il,51
en,en,52
vienne,venir,17
toujours,toujours,60
d',de,81
aussi,aussi,60
forts,fort,30
;,;,p
car,car,82
",",",",p
en,en,81
cet,ce,74
état,état,21
de,de,81
choses,chose,22
",",",",p
si,si,83
l',le,71
un,un,52
d',de,81
eux,ils,51
trébuche,trébucher,17
",",",",p
toute,tout,75
la,le,71
monarchie,monarchie,22
s',se,51
écroulera,écrouler,15
/.,/.,P
le,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
avait,avoir,18
une,un,71
chaleur,chaleur,22
d',de,81
expression,expression,22
et,et,82
une,un,71
assurance,assurance,22
qui,qui,52
captivaient,captiver,18
toujours,toujours,60
ceux,celui,52
qui,qui,52
l',le,52
entendaient,entendre,18
:,:,p
sa,son,73
valeur,valeur,22
",",",",p
son,son,73
coup,coup,21
d',de,81
oeil,oeil,21
dans,dans,81
les,le,71
combats,combat,21
",",",",p
la,le,71
profondeur,profondeur,22
de,de,81
ses,son,73
vues,vue,22
politiques,politique,30
",",",",p
sa,son,73
connaissance,connaissance,22
des,de,81
des,le,71
affaires,affaire,22
d',de,81
Europe,Europe,20
",",",",p
son,son,73
caractère,caractère,21
réfléchi,réfléchi,31
et,et,82
décidé,décidé,31
tout,tout,60
à,à,81
la,le,71
fois,fois,22
le,le,52
rendaient,rendre,18
l',le,71
un,un,52
des,de,81
des,le,71
hommes,homme,21
les,le,71
plus,plus,60
capables,capable,30
et,et,82
les,le,71
plus,plus,60
imposants,imposant,30
de,de,81
son,son,73
temps,temps,21
",",",",p
le,le,71
seul,seul,30
même,même,60
que,que,83
redoutât,redouter,18
réellement,réellement,60
le,le,71
cardinal,cardinal,21
duc,duc,21
/.,/.,P
la,le,71
reine,reine,22
l',le,52
écoutait,écouter,18
toujours,toujours,60
avec,avec,81
confiance,confiance,22
",",",",p
et,et,82
lui,lui,51
laissait,laisser,18
prendre,prendre,14
une,un,71
sorte,sorte,22
d',de,81
empire,empire,21
sur,sur,81
elle,il,51
/.,/.,P
cette,ce,74
fois,fois,22
elle,il,51
fut,être,19
plus,plus,60
fortement,fortement,60
émue,émouvoir,12
que,que,83
jamais,jamais,60
/.,/.,P
-,-,p
ah,ah,93
!,!,p
plût,plaire,18
à,à,81
dieu,dieu,21
",",",",p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
",",",",p
que,que,83
mon,mon,73
fils,fils,21
eût,avoir,19
l',le,71
âme,âme,22
ouverte,ouvert,31
à,à,81
vos,votre,73
discours,discours,21
et,et,82
le,le,71
bras,bras,21
assez,assez,60
fort,fort,30
pour,pour,81
en,en,52
profiter,profiter,14
/!,/!,P
jusque-là,jusque-là,81
pourtant,pourtant,60
j',je,51
entendrai,entendre,15
",",",",p
j',je,51
agirai,agir,15
pour,pour,81
lui,lui,51
;,;,p
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
dois,devoir,17
être,être,14
et,et,82
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
serai,être,16
régente,régente,22
",",",",p
je,je,51
n',ne,60
abandonnerai,abandonner,15
ce,ce,74
droit,droit,21
qu',que,83
avec,avec,81
la,le,71
vie,vie,22
:,:,p
s',si,83
il,il,51
faut,falloir,17
faire,faire,14
une,un,71
guerre,guerre,22
",",",",p
nous,nous,51
la,le,52
ferons,faire,15
",",",",p
car,car,82
je,je,51
veux,vouloir,17
tout,tout,52
",",",",p
excepté,excepté,81
la,le,71
honte,honte,22
et,et,82
l',le,71
effroi,effroi,21
de,de,81
livrer,livrer,14
le,le,71
futur,futur,30
Louis XIV,Louis XIV,20
à,à,81
ce,ce,74
sujet,sujet,21
couronné,couronné,31
/!,/!,P
oui,oui,60
",",",",p
dit,dire,19
elle,il,51
en,en,81
rougissant,rougir,13
et,et,82
serrant,serrer,13
fortement,fortement,60
le,le,71
bras,bras,21
du,de,81
du,le,71
jeune,jeune,30
Dauphin,Dauphin,20
;,;,p
oui,oui,60
",",",",p
mon,mon,73
frère,frère,21
",",",",p
et,et,82
vous,vous,51
",",",",p
messieurs,monsieur,21
",",",",p
conseillez,conseiller,17
moi,moi,51
:,:,p
parlez,parler,17
",",",",p
où,où,60
en,en,52
sommes,être,17
nous,nous,51
/?,/?,P
faut,falloir,17
il,il,51
que,que,83
je,je,51
parte,partir,17
?,?,p
dites,dire,17
le,le,52
ouvertement,ouvertement,60
/.,/.,P
comme,comme,83
femme,femme,22
",",",",p
comme,comme,83
épouse,épouse,22
",",",",p
j',je,51
étais,être,18
prête,prêt,30
à,à,81
pleurer,pleurer,14
",",",",p
tant,tant,60
ma,mon,73
situation,situation,22
était,être,18
douloureuse,douloureux,30
;,;,p
mais,mais,82
à,à,81
présent,présent,21
",",",",p
voyez,voir,17
",",",",p
comme,comme,83
mère,mère,22
je,je,51
ne,ne,60
pleure,pleurer,17
pas,pas,60
;,;,p
je,je,51
suis,être,17
prête,prêt,30
à,à,81
vous,vous,51
donner,donner,14
des,de,81
des,le,71
ordres,ordre,21
s',si,83
il,il,51
le,le,52
faut,falloir,17
/!,/!,P
jamais,jamais,60
Anne,Anne,20
d',de,81
Autriche,Autriche,20
n',ne,60
avait,avoir,18
semblé,sembler,12
si,si,60
belle,beau,30
qu',que,83
en,en,81
ce,ce,74
moment,moment,21
",",",",p
et,et,82
cet,ce,74
enthousiasme,enthousiasme,21
qui,qui,52
paraissait,paraître,18
en,en,81
elle,il,51
électrisa,électriser,19
tous,tout,75
les,le,71
assistants,assistant,21
",",",",p
qui,qui,52
ne,ne,60
demandaient,demander,18
qu',que,83
un,un,71
mot,mot,21
de,de,81
sa,son,73
bouche,bouche,22
pour,pour,81
parler,parler,14
/.,/.,P
le,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
jeta,jeter,19
un,un,71
regard,regard,21
rapide,rapide,30
sur,sur,81
monsieur,monsieur,21
",",",",p
qui,qui,52
se,se,51
décida,décider,19
à,à,81
prendre,prendre,14
la,le,71
parole,parole,22
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
",",",",p
dit,dire,19
il,il,51
d',de,81
un,un,71
air,air,21
assez,assez,60
délibéré,délibéré,31
",",",",p
si,si,83
vous,vous,51
donnez,donner,17
des,de,81
des,le,71
ordres,ordre,21
",",",",p
ma,mon,73
soeur,soeur,22
",",",",p
je,je,51
veux,vouloir,17
être,être,14
votre,votre,73
capitaine,capitaine,21
des,de,81
des,le,71
gardes,garde,21
",",",",p
sur,sur,81
mon,mon,73
honneur,honneur,21
;,;,p
car,car,82
je,je,51
suis,être,17
las,las,30
aussi,aussi,60
des,de,81
des,le,71
tourments,tourment,21
que,que,52
m',je,51
a,avoir,17
causés,causer,12
ce,ce,74
misérable,misérable,21
",",",",p
qui,qui,52
ose,oser,17
encore,encore,60
me,je,51
poursuivre,poursuivre,14
pour,pour,81
rompre,rompre,14
mon,mon,73
mariage,mariage,21
",",",",p
et,et,82
tient,tenir,17
toujours,toujours,60
mes,mon,73
amis,ami,21
à,à,81
la,le,71
Bastille,Bastille,20
",",",",p
ou,ou,82
les,le,52
fait,faire,17
assassiner,assassiner,14
de,de,81
temps,temps,21
en,en,81
temps,temps,21
;,;,p
et,et,82
d',de,81
ailleurs,ailleurs,60
je,je,51
suis,être,17
indigné,indigner,12
",",",",p
dit,dire,19
il,il,51
en,en,81
se,se,51
reprenant,reprendre,13
et,et,82
baissant,baisser,13
les,le,71
yeux,oeil,21
d',de,81
un,un,71
air,air,21
solennel,solennel,30
",",",",p
je,je,51
suis,être,17
indigné,indigner,12
de,de,81
la,le,71
misère,misère,22
du,de,81
du,le,71
peuple,peuple,21
/.,/.,P
-,-,p
mon,mon,73
frère,frère,21
",",",",p
reprit,reprendre,19
vivement,vivement,60
la,le,71
princesse,princesse,22
",",",",p
je,je,51
vous,vous,51
prends,prendre,17
au,à,81
au,le,71
mot,mot,21
",",",",p
car,car,82
il,il,51
faut,falloir,17
faire,faire,14
ainsi,ainsi,60
avec,avec,81
vous,vous,51
",",",",p
et,et,82
j',je,51
espère,espérer,17
qu',que,83
à,à,81
nous,nous,51
deux,deux,72
nous,nous,51
serons,être,15
assez,assez,60
forts,fort,30
;,;,p
faites,faire,17
seulement,seulement,60
comme,comme,83
monsieur,monsieur,21
le,le,71
comte,comte,21
de,de,81
Soissons,Soisson,20
",",",",p
et,et,82
ensuite,ensuite,60
survivez,survivre,17
à,à,81
votre,votre,73
victoire,victoire,22
;,;,p
rangez,ranger,17
vous,vous,51
avec,avec,81
moi,moi,51
comme,comme,83
vous,vous,51
fîtes,faire,19
avec,avec,81
monsieur,monsieur,21
de,de,81
Montmorency,Montmorency,20
",",",",p
mais,mais,82
sautez,sauter,17
le,le,71
fossé,fossé,21
/.,/.,P
Gaston,Gaston,20
sentit,sentir,19
l',le,71
épigramme,épigramme,21
;,;,p
il,il,51
se,se,51
rappela,rappeler,19
son,son,73
trait,trait,21
trop,trop,60
connu,connu,31
",",",",p
lorsque,lorsque,83
l',le,71
infortuné,infortuné,30
révolté,révolté,21
de,de,81
Castelnaudary,Castelnaudary,20
franchit,franchir,19
presque,presque,60
seul,seul,30
un,un,71
large,large,30
fossé,fossé,21
et,et,82
trouva,trouver,19
de,de,81
l',le,71
autre,autre,75
côté,côté,21
dix,dix,72
sept,sept,72
blessures,blessure,22
",",",",p
la,le,71
prison,prison,22
et,et,82
la,le,71
mort,mort,22
",",",",p
à,à,81
la,le,71
vue,vue,22
de,de,81
monsieur,monsieur,21
",",",",p
immobile,immobile,30
comme,comme,83
son,son,73
armée,armée,22
/.,/.,P
dans,dans,81
la,le,71
rapidité,rapidité,22
de,de,81
la,le,71
prononciation,prononciation,22
de,de,81
la,le,71
reine,reine,22
",",",",p
il,il,51
n',ne,60
eut,avoir,19
pas,pas,60
le,le,71
temps,temps,21
d',de,81
examiner,examiner,14
si,si,83
elle,il,51
avait,avoir,18
employé,employer,12
cette,ce,74
expression,expression,22
proverbialement,proverbialement,60
ou,ou,82
avec,avec,81
intention,intention,22
;,;,p
mais,mais,82
",",",",p
dans,dans,81
tous,tout,75
les,le,71
cas,cas,21
",",",",p
il,il,51
prit,prendre,19
le,le,71
parti,parti,21
de,de,81
ne,ne,60
pas,pas,60
la,le,52
relever,relever,14
",",",",p
et,et,82
en,en,52
fut,être,19
empêché,empêcher,12
par,par,81
elle-même,lui-même,51
",",",",p
qui,qui,52
reprit,reprendre,19
en,en,81
regardant,regarder,13
Cinq-Mars,Cinq-Mars,20
/.,/.,P
-,-,p
mais,mais,82
",",",",p
avant,avant,81
tout,tout,52
",",",",p
pas,pas,60
de,de,81
terreur,terreur,22
panique,panique,22
:,:,p
sachons,savoir,17
bien,bien,60
où,où,60
nous,nous,51
en,en,52
sommes,être,17
/.,/.,P
monsieur,monsieur,21
Le Grand,Le Grand,20
",",",",p
vous,vous,51
quittez,quitter,17
le,le,71
roi,roi,21
",",",",p
avons,avoir,17
nous,nous,51
de,de,81
telles,tel,75
craintes,crainte,22
/?,/?,P
d',de,81
Effiat,Effiat,20
n',ne,60
avait,avoir,18
pas,pas,60
cessé,cesser,12
d',de,81
observer,observer,14
Marie,Marie,20
de,de,81
Mantoue,Mantoue,20
",",",",p
dont,dont,52
la,le,71
physionomie,physionomie,22
expressive,expressif,30
peignait,peindre,18
pour,pour,81
lui,lui,51
toutes,tout,75
ses,son,73
idées,idée,22
plus,plus,60
rapidement,rapidement,60
et,et,82
aussi,aussi,60
sûrement,sûrement,60
que,que,83
la,le,71
parole,parole,22
;,;,p
il,il,51
y,y,52
lut,lire,19
le,le,71
désir,désir,21
de,de,81
l',le,52
entendre,entendre,14
parler,parler,14
",",",",p
l',le,71
intention,intention,22
de,de,81
faire,faire,14
décider,décider,14
monsieur,monsieur,21
et,et,82
la,le,71
reine,reine,22
;,;,p
un,un,71
mouvement,mouvement,21
d',de,81
impatience,impatience,22
de,de,81
son,son,73
pied,pied,21
lui,lui,51
donna,donner,19
l',le,71
ordre,ordre,21
d',de,81
en,en,52
finir,finir,14
et,et,82
de,de,81
régler,régler,14
enfin,enfin,60
toute,tout,75
la,le,71
conjuration,conjuration,22
/.,/.,P
son,son,73
front,front,21
devint,devenir,19
pâle,pâle,30
et,et,82
plus,plus,60
pensif,pensif,30
;,;,p
il,il,51
se,se,51
recueillit,recueillir,19
un,un,71
moment,moment,21
",",",",p
car,car,82
il,il,51
sentait,sentir,18
que,que,83
là,là,60
étaient,être,18
toutes,tout,75
ses,son,73
destinées,destinée,22
/.,/.,P
de,de,81
Thou,Thou,20
le,le,52
regarda,regarder,19
et,et,82
frémit,frémir,19
",",",",p
parce qu',parce que,83
il,il,51
le,le,52
connaissait,connaître,18
;,;,p
il,il,51
eût,avoir,19
voulu,vouloir,12
lui,lui,51
dire,dire,14
un,un,71
mot,mot,21
",",",",p
un,un,71
seul,seul,30
mot,mot,21
;,;,p
mais,mais,82
Cinq-Mars,Cinq-Mars,20
avait,avoir,18
déjà,déjà,60
relevé,relever,12
la,le,71
tête,tête,22
et,et,82
parla,parler,19
ainsi,ainsi,60
:,:,p
-,-,p
je,je,51
ne,ne,60
crois,croire,17
point,point,60
",",",",p
madame,madame,22
",",",",p
que,que,83
le,le,71
roi,roi,21
soit,être,17
aussi,aussi,60
malade,malade,30
qu',que,83
on,on,51
vous,vous,51
l',le,52
a,avoir,17
pu,pouvoir,12
dire,dire,14
;,;,p
dieu,dieu,21
nous,nous,51
conservera,conserver,15
longtemps,longtemps,60
encore,encore,60
ce,ce,74
prince,prince,21
",",",",p
je,je,51
l',le,52
espère,espérer,17
",",",",p
j',je,51
en,en,52
suis,être,17
certain,certain,30
même,même,60
/.,/.,P
il,il,51
souffre,souffrir,17
",",",",p
il,il,51
est,être,17
vrai,vrai,30
",",",",p
il,il,51
souffre,souffrir,17
beaucoup,beaucoup,60
;,;,p
mais,mais,82
son,son,73
âme,âme,22
surtout,surtout,60
est,être,17
malade,malade,30
",",",",p
et,et,82
d',de,81
un,un,71
mal,mal,21
que,que,52
rien,rien,52
ne,ne,60
peut,pouvoir,17
guérir,guérir,14
",",",",p
d',de,81
un,un,71
mal,mal,21
que,que,52
l',l',94
on,on,51
ne,ne,60
souhaiterait,souhaiter,16
pas,pas,60
à,à,81
son,son,73
plus,plus,60
grand,grand,30
ennemi,ennemi,21
et,et,82
qui,qui,52
le,le,52
ferait,faire,16
plaindre,plaindre,14
de,de,81
tout,tout,75
l',le,71
univers,univers,21
si,si,83
on,on,51
le,le,52
connaissait,connaître,18
/.,/.,P
cependant,cependant,82
la,le,71
fin,fin,22
de,de,81
ses,son,73
malheurs,malheur,21
",",",",p
je,je,51
veux,vouloir,17
dire,dire,14
de,de,81
sa,son,73
vie,vie,22
",",",",p
ne,ne,60
lui,lui,51
sera,être,15
pas,pas,60
donnée,donner,12
encore,encore,60
de,de,81
longtemps,longtemps,60
/.,/.,P
sa,son,73
langueur,langueur,22
est,être,17
toute,tout,60
morale,moral,30
;,;,p
il,il,51
se,se,51
fait,faire,17
dans,dans,81
son,son,73
coeur,coeur,21
une,un,71
grande,grand,30
révolution,révolution,22
;,;,p
il,il,51
voudrait,vouloir,16
l',le,52
accomplir,accomplir,14
et,et,82
ne,ne,60
le,le,52
peut,pouvoir,17
pas,pas,60
:,:,p
il,il,51
a,avoir,17
senti,sentir,12
depuis,depuis,81
longues,long,30
années,année,22
s',se,51
amasser,amasser,14
en,en,81
lui,lui,51
les,le,71
germes,germe,21
d',de,81
une,un,71
juste,juste,30
haine,haine,22
contre,contre,81
un,un,71
homme,homme,21
auquel,à,81
auquel,lequel,52
il,il,51
croit,croire,17
devoir,devoir,14
de,de,81
la,le,71
reconnaissance,reconnaissance,22
",",",",p
et,et,82
c',ce,52
est,être,17
ce,ce,74
combat,combat,21
intérieur,intérieur,30
entre,entre,81
sa,son,73
bonté,bonté,22
et,et,82
sa,son,73
colère,colère,22
qui,qui,52
le,le,52
dévore,dévorer,17
/.,/.,P
chaque,chaque,75
année,année,22
qui,qui,52
s',se,51
est,être,17
écoulée,écouler,12
a,avoir,17
déposé,déposer,12
à,à,81
ses,son,73
pieds,pied,21
",",",",p
d',de,81
un,un,71
côté,côté,21
les,le,71
travaux,travail,21
de,de,81
cet,ce,74
homme,homme,21
",",",",p
et,et,82
de,de,81
l',le,71
autre,autre,52
ses,son,73
crimes,crime,21
/.,/.,P
voici,voici,81
qu',que,83
aujourd'hui,aujourd'hui,60
ceux-ci,celui-ci,52
l',le,52
emportent,emporter,17
dans,dans,81
la,le,71
balance,balance,22
;,;,p
le,le,71
roi,roi,21
voit,voir,17
et,et,82
s',se,51
indigne,indigner,17
:,:,p
il,il,51
veut,vouloir,17
punir,punir,14
;,;,p
mais,mais,82
tout,tout,60
à,à,81
coup,coup,21
il,il,51
s',se,51
arrête,arrêter,17
et,et,82
le,le,52
pleure,pleurer,17
d',de,81
avance,avance,22
/.,/.,P
si,si,83
vous,vous,51
pouviez,pouvoir,18
le,le,52
contempler,contempler,14
ainsi,ainsi,60
",",",",p
madame,madame,22
",",",",p
il,il,51
vous,vous,51
ferait,faire,16
pitié,pitié,22
/.,/.,P
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
saisir,saisir,14
la,le,71
plume,plume,22
qui,qui,52
devait,devoir,18
tracer,tracer,14
son,son,73
exil,exil,21
",",",",p
la,le,52
noircir,noircir,14
d',de,81
une,un,71
