11767
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-cinquième extrait>,<>,<> 
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
nom,nom,21
/.,/.,P
-,-,p
Jehan,Jehan,20
",",",",p
il,il,51
faut,falloir,17
songer,songer,14
sérieusement,sérieusement,60
à,à,81
vous,vous,51
corriger,corriger,14
/.,/.,P
-,-,p
ah,ah,93
çà,çà,60
",",",",p
cria,crier,19
l',le,71
écolier,écolier,21
en,en,81
regardant,regarder,13
tour,tour,21
à,à,81
tour,tour,21
son,son,73
frère,frère,21
et,et,82
les,le,71
alambics,alambic,21
du,de,81
du,le,71
fourneau,fourneau,21
",",",",p
tout,tout,52
est,être,17
donc,donc,82
cornu,cornu,30
ici,ici,60
",",",",p
les,le,71
idées,idée,22
et,et,82
les,le,71
bouteilles,bouteille,22
/!,/!,P
Jehan,Jehan,20
",",",",p
vous,vous,51
êtes,être,17
sur,sur,81
une,un,71
pente,pente,22
bien,bien,60
glissante,glissant,30
/.,/.,P
savez,savoir,17
vous,vous,51
où,où,60
vous,vous,51
allez,aller,17
/?,/?,P
au,à,81
au,le,71
cabaret,cabaret,21
",",",",p
dit,dire,19
Jehan,Jehan,20
/.,/.,P
-,-,p
le,le,71
cabaret,cabaret,21
mène,mener,17
au,à,81
au,le,71
pilori,pilori,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
une,un,71
lanterne,lanterne,22
comme,comme,83
une,un,71
autre,autre,52
",",",",p
et,et,82
c',ce,52
est,être,17
peut-être,peut-être,60
avec,avec,81
celle-là,celui-là,52
que,que,83
Diogénès,Diogénès,20
eût,avoir,19
trouvé,trouver,12
son,son,73
homme,homme,21
/.,/.,P
-,-,p
le,le,71
pilori,pilori,21
mène,mener,17
à,à,81
la,le,71
potence,potence,22
/.,/.,P
-,-,p
la,le,71
potence,potence,22
est,être,17
une,un,71
balance,balance,22
qui,qui,52
a,avoir,17
un,un,71
homme,homme,21
à,à,81
un,un,71
bout,bout,21
et,et,82
toute,tout,75
la,le,71
terre,terre,22
à,à,81
l',le,71
autre,autre,52
/.,/.,P
il,il,51
est,être,17
beau,beau,30
d',de,81
être,être,14
l',le,71
homme,homme,21
/.,/.,P
-,-,p
la,le,71
potence,potence,22
mène,mener,17
à,à,81
l',le,71
enfer,enfer,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
un,un,71
gros,gros,30
feu,feu,21
/.,/.,P
-,-,p
Jehan,Jehan,20
",",",",p
Jehan,Jehan,20
",",",",p
la,le,71
fin,fin,22
sera,être,15
mauvaise,mauvais,30
/.,/.,P
-,-,p
le,le,71
commencement,commencement,21
aura,avoir,15
été,être,12
bon,bon,30
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
le,le,71
bruit,bruit,21
d',de,81
un,un,71
pas,pas,21
se,se,51
fit,faire,19
entendre,entendre,14
dans,dans,81
l',le,71
escalier,escalier,21
/.,/.,P
-,-,p
silence,silence,21
!,!,p
dit,dire,19
l',le,71
archidiacre,archidiacre,21
en,en,81
mettant,mettre,13
un,un,71
doigt,doigt,21
sur,sur,81
sa,son,73
bouche,bouche,22
",",",",p
voici,voici,81
maître,maître,21
Jacques,Jacques,20
/.,/.,P
écoutez,écouter,17
",",",",p
Jehan,Jehan,20
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
à,à,81
voix,voix,22
basse,bas,30
",",",",p
gardez,garder,17
vous,vous,51
de,de,81
parler,parler,14
jamais,jamais,60
de,de,81
ce,ce,52
que,que,52
vous,vous,51
aurez,avoir,15
vu,voir,12
et,et,82
entendu,entendre,12
ici,ici,60
/.,/.,P
cachez,cacher,17
vous,vous,51
vite,vite,60
sous,sous,81
ce,ce,74
fourneau,fourneau,21
",",",",p
et,et,82
ne,ne,60
soufflez,souffler,17
pas,pas,60
/.,/.,P
l',le,71
écolier,écolier,21
se,se,51
blottit,blottir,19
sous,sous,81
le,le,71
fourneau,fourneau,21
/.,/.,P
là,là,60
",",",",p
il,il,51
lui,lui,51
vint,venir,19
une,un,71
idée,idée,22
féconde,fécond,30
/.,/.,P
-,-,p
à,à,81
propos,propos,21
",",",",p
frère,frère,21
Claude,Claude,20
",",",",p
un,un,71
florin,florin,21
pour,pour,81
que,que,83
je,je,51
ne,ne,60
souffle,souffler,17
pas,pas,60
/.,/.,P
-,-,p
silence,silence,21
!,!,p
je,je,51
vous,vous,51
le,le,52
promets,promettre,17
/.,/.,P
-,-,p
il,il,51
faut,falloir,17
me,je,51
le,le,52
donner,donner,14
/.,/.,P
-,-,p
prends,prendre,17
donc,donc,82
!,!,p
dit,dire,19
l',le,71
archidiacre,archidiacre,21
en,en,81
lui,lui,51
jetant,jeter,13
avec,avec,81
colère,colère,22
son,son,73
escarcelle,escarcelle,22
/.,/.,P
Jehan,Jehan,20
se,se,51
renfonça,renfoncer,19
sous,sous,81
le,le,71
fourneau,fourneau,21
",",",",p
et,et,82
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
/.,/.,P
<Chapitre V>,<>,<>
les,le,71
deux,deux,72
hommes,homme,21
vêtus,vêtu,31
de,de,81
noir,noir,21
/.,/.,P
le,le,71
personnage,personnage,21
qui,qui,52
entra,entrer,19
avait,avoir,18
une,un,71
robe,robe,22
noire,noir,30
et,et,82
la,le,71
mine,mine,22
sombre,sombre,30
/.,/.,P
ce,ce,52
qui,qui,52
frappa,frapper,19
au,à,81
au,le,71
premier,premier,72
coup,coup,21
d',de,81
oeil,oeil,21
notre,notre,73
ami,ami,21
Jehan,Jehan,20
(,(,p
qui,qui,52
",",",",p
comme,comme,83
on,on,51
s',se,51
en,en,52
doute,douter,17
bien,bien,60
",",",",p
s',se,51
était,être,18
arrangé,arranger,12
dans,dans,81
son,son,73
coin,coin,21
de,de,81
manière,manière,22
à,à,81
pouvoir,pouvoir,14
tout,tout,52
voir,voir,14
et,et,82
tout,tout,52
entendre,entendre,14
selon,selon,81
son,son,73
bon,bon,30
plaisir,plaisir,21
),),p
",",",",p
c',ce,52
était,être,18
la,le,71
parfaite,parfait,31
tristesse,tristesse,22
du,de,81
du,le,71
vêtement,vêtement,21
et,et,82
du,de,81
du,le,71
visage,visage,21
de,de,81
ce,ce,74
nouveau,nouveau,30
venu,venu,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
pourtant,pourtant,60
quelque,quelque,75
douceur,douceur,22
répandue,répandu,31
sur,sur,81
cette,ce,74
figure,figure,22
",",",",p
mais,mais,82
une,un,71
douceur,douceur,22
de,de,81
chat,chat,21
ou,ou,82
de,de,81
juge,juge,21
",",",",p
une,un,71
douceur,douceur,22
doucereuse,doucereux,30
/.,/.,P
il,il,51
était,être,18
fort,fort,60
gris,gris,30
",",",",p
ridé,rider,12
",",",",p
touchait,toucher,18
aux,à,81
aux,le,71
soixante,soixante,72
ans,an,21
",",",",p
clignait,cligner,18
des,de,81
des,le,71
yeux,oeil,21
",",",",p
avait,avoir,18
le,le,71
sourcil,sourcil,21
blanc,blanc,30
",",",",p
la,le,71
lèvre,lèvre,22
pendante,pendant,30
et,et,82
de,de,81
grosses,gros,30
mains,main,22
/.,/.,P
quand,quand,83
Jehan,Jehan,20
vit,voir,19
que,que,83
ce,ce,52
n',ne,60
était,être,18
que,que,83
cela,cela,52
",",",",p
c'est-à-dire,c'est-à-dire,91
sans,sans,81
doute,doute,21
un,un,71
médecin,médecin,21
ou,ou,82
un,un,71
magistrat,magistrat,21
",",",",p
et,et,82
que,que,83
cet,ce,74
homme,homme,21
avait,avoir,18
le,le,71
nez,nez,21
très,très,60
loin,loin,60
de,de,81
la,le,71
bouche,bouche,22
",",",",p
signe,signe,21
de,de,81
bêtise,bêtise,22
",",",",p
il,il,51
se,se,51
rencoigna,rencogner,19
dans,dans,81
son,son,73
trou,trou,21
",",",",p
désespéré,désespérer,12
d',de,81
avoir,avoir,14
à,à,81
passer,passer,14
un,un,71
temps,temps,21
indéfini,indéfini,30
en,en,81
si,si,60
gênante,gênant,30
posture,posture,22
et,et,82
en,en,81
si,si,60
mauvaise,mauvais,30
compagnie,compagnie,22
/.,/.,P
l',le,71
archidiacre,archidiacre,21
cependant,cependant,82
ne,ne,60
s',se,51
était,être,18
pas,pas,60
même,même,60
levé,lever,12
pour,pour,81
ce,ce,74
personnage,personnage,21
/.,/.,P
il,il,51
lui,lui,51
avait,avoir,18
fait,faire,12
signe,signe,21
de,de,81
s',se,51
asseoir,asseoir,14
sur,sur,81
un,un,71
escabeau,escabeau,21
voisin,voisin,30
de,de,81
la,le,71
porte,porte,22
",",",",p
et,et,82
",",",",p
après,après,81
quelques,quelque,75
moments,moment,21
d',de,81
un,un,71
silence,silence,21
qui,qui,52
semblait,sembler,18
continuer,continuer,14
une,un,71
méditation,méditation,22
antérieure,antérieur,30
",",",",p
il,il,51
lui,lui,51
avait,avoir,18
dit,dire,12
avec,avec,81
quelque,quelque,75
protection,protection,22
:,:,p
-,-,p
bonjour,bonjour,21
",",",",p
maître,maître,21
Jacques,Jacques,20
/.,/.,P
-,-,p
salut,salut,21
",",",",p
maître,maître,21
!,!,p
avait,avoir,18
répondu,répondre,12
l',le,71
homme,homme,21
noir,noir,30
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
les,le,71
deux,deux,72
manières,manière,22
dont,dont,52
fut,être,19
prononcé,prononcer,12
d',de,81
une,un,71
part,part,22
ce,ce,74
maître,maître,21
Jacques,Jacques,20
",",",",p
de,de,81
l',le,71
autre,autre,52
ce,ce,74
maître,maître,21
par,par,81
excellence,excellence,22
",",",",p
la,le,71
différence,différence,22
du,de,81
du,le,71
monseigneur,monseigneur,21
au,à,81
au,le,71
monsieur,monsieur,21
",",",",p
du,de,81
du,le,71
domine,domine,92
au,à,81
au,le,71
domne,domne,92
/.,/.,P
c',ce,52
était,être,18
évidemment,évidemment,60
l',le,71
abord,abord,21
du,de,81
du,le,71
docteur,docteur,21
et,et,82
du,de,81
du,le,71
disciple,disciple,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
reprit,reprendre,19
l',le,71
archidiacre,archidiacre,21
après,après,81
un,un,71
nouveau,nouveau,30
silence,silence,21
que,que,52
maître,maître,21
Jacques,Jacques,20
se,se,51
garda,garder,19
bien,bien,60
de,de,81
troubler,troubler,14
",",",",p
réussissez,réussir,17
vous,vous,51
/?,/?,P
hélas,hélas,60
",",",",p
mon,mon,73
maître,maître,21
",",",",p
dit,dire,19
l',le,71
autre,autre,52
avec,avec,81
un,un,71
sourire,sourire,21
triste,triste,30
",",",",p
je,je,51
souffle,souffler,17
toujours,toujours,60
/.,/.,P
de,de,81
la,le,71
cendre,cendre,22
tant,tant,60
que,que,83
j',je,51
en,en,52
veux,vouloir,17
/.,/.,P
mais,mais,82
pas,pas,60
une,un,71
étincelle,étincelle,22
d',de,81
or,or,21
/.,/.,P
dom,dom,21
Claude,Claude,20
fit,faire,19
un,un,71
geste,geste,21
d',de,81
impatience,impatience,22
/.,/.,P
-,-,p
je,je,51
ne,ne,60
vous,vous,51
parle,parler,17
pas,pas,60
de,de,81
cela,cela,52
",",",",p
maître,maître,21
Jacques,Jacques,20
Charmolue,Charmolue,20
",",",",p
mais,mais,82
du,de,81
du,le,71
procès,procès,21
de,de,81
votre,votre,73
magicien,magicien,21
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
Marc,Marc,20
Cenaine,Cenaine,20
que,que,83
vous,vous,51
le,le,52
nommez,nommer,17
",",",",p
le,le,71
sommelier,sommelier,21
de,de,81
la,le,71
cour,cour,22
des,de,81
des,le,71
comptes,compte,21
/?,/?,P
avoue,avouer,17
t,t,94
il,il,51
sa,son,73
magie,magie,22
/?,/?,P
la,le,71
question,question,22
vous,vous,51
a,avoir,17
t,t,94
elle,il,51
réussi,réussir,12
/?,/?,P
hélas,hélas,60
non,non,60
",",",",p
répondit,répondre,19
maître,maître,21
Jacques,Jacques,20
",",",",p
toujours,toujours,60
avec,avec,81
son,son,73
sourire,sourire,21
triste,triste,30
/.,/.,P
nous,nous,51
n',ne,60
avons,avoir,17
pas,pas,60
cette,ce,74
consolation,consolation,22
/.,/.,P
cet,ce,74
homme,homme,21
est,être,17
un,un,71
caillou,caillou,21
/.,/.,P
nous,nous,51
le,le,52
ferons,faire,15
bouillir,bouillir,14
au,à,81
au,le,71
marché,marché,21
aux,à,81
aux,le,71
pourceaux,pourceau,21
",",",",p
avant,avant,81
qu',que,83
il,il,51
ait,avoir,17
rien,rien,52
dit,dire,12
/.,/.,P
cependant,cependant,82
nous,nous,51
n',ne,60
épargnons,épargner,17
rien,rien,52
pour,pour,81
arriver,arriver,14
à,à,81
la,le,71
vérité,vérité,22
/.,/.,P
il,il,51
est,être,17
déjà,déjà,60
tout,tout,52
disloqué,disloquer,12
/.,/.,P
nous,nous,51
y,y,52
mettons,mettre,17
toutes,tout,75
les,le,71
herbes,herbe,22
de,de,81
la,le,71
Saint-Jean,Saint Jean,20
",",",",p
comme,comme,83
dit,dire,17
le,le,71
vieux,vieux,30
comique,comique,21
Plautus,Plautus,20
/.,/.,P
advorsum,advorsum,92
stimulos,stimulos,92
",",",",p
laminas,laminas,92
",",",",p
crucesque,crucesque,92
",",",",p
compedesque,compedesque,92
/.,/.,P
nervos,nervos,92
",",",",p
catenas,catenas,92
",",",",p
carceres,carceres,92
",",",",p
numellas,numellas,92
",",",",p
pedicas,pedicas,92
",",",",p
boias,boias,92
/.,/.,P
rien,rien,52
n',ne,60
y,y,52
fait,faire,17
/.,/.,P
cet,ce,74
homme,homme,21
est,être,17
terrible,terrible,30
/.,/.,P
j',je,51
y,y,52
perds,perdre,17
mon,mon,73
latin,latin,21
/.,/.,P
-,-,p
vous,vous,51
n',ne,60
avez,avoir,17
rien,rien,52
trouvé,trouver,12
de,de,81
nouveau,nouveau,21
dans,dans,81
sa,son,73
maison,maison,22
/?,/?,P
si,si,60
fait,fait,31
",",",",p
dit,dire,19
maître,maître,21
Jacques,Jacques,20
en,en,81
fouillant,fouiller,13
dans,dans,81
son,son,73
escarcelle,escarcelle,22
",",",",p
ce,ce,74
parchemin,parchemin,21
/.,/.,P
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
mots,mot,21
dessus,dessus,60
que,que,52
nous,nous,51
ne,ne,60
comprenons,comprendre,17
pas,pas,60
/.,/.,P
monsieur,monsieur,21
l',le,71
avocat,avocat,21
criminel,criminel,30
Philippe,Philippe,20
Lheulier,Lheulier,20
sait,savoir,17
pourtant,pourtant,60
un,un,71
peu,peu,60
d',de,81
hébreu,hébreu,21
qu',que,52
il,il,51
a,avoir,17
appris,apprendre,12
dans,dans,81
l',le,71
affaire,affaire,22
des,de,81
des,le,71
juifs,juif,21
de,de,81
la,le,71
rue,rue,22
Kantersten,Kantersten,20
à,à,81
Bruxelles,Bruxelles,20
/.,/.,P
en,en,81
parlant,parler,13
ainsi,ainsi,60
",",",",p
maître,maître,21
Jacques,Jacques,20
déroulait,dérouler,18
un,un,71
parchemin,parchemin,21
/.,/.,P
-,-,p
donnez,donner,17
",",",",p
dit,dire,19
l',le,71
archidiacre,archidiacre,21
/.,/.,P
et,et,82
jetant,jeter,13
les,le,71
yeux,oeil,21
sur,sur,81
cette,ce,74
pancarte,pancarte,22
:,:,p
-,-,p
pure,pur,30
magie,magie,22
",",",",p
maître,maître,21
Jacques,Jacques,20
!,!,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
/.,/.,P
Emen-hétan,Emen-hétan,20
!,!,p
c',ce,52
est,être,17
le,le,71
cri,cri,21
des,de,81
des,le,71
stryges,strige,22
quand,quand,83
elles,ils,51
arrivent,arriver,17
au,à,81
au,le,71
sabbat,sabbat,21
/.,/.,P
per,per,92
ipsum,ipsum,92
",",",",p
et,et,82
cum,cum,92
ipso,ipso,92
",",",",p
et,et,82
in,in,92
ipso,ipso,92
!,!,p
c',ce,52
est,être,17
le,le,71
commandement,commandement,21
qui,qui,52
recadenasse,recadenasser,17
le,le,71
diable,diable,21
en,en,81
enfer,enfer,21
/.,/.,P
hax,hax,92
",",",",p
pax,pax,92
",",",",p
max,max,92
!,!,p
ceci,ceci,52
est,être,17
de,de,81
la,le,71
médecine,médecine,22
/.,/.,P
une,un,71
formule,formule,22
contre,contre,81
la,le,71
morsure,morsure,22
des,de,81
des,le,71
chiens,chien,21
enragés,enragé,31
/.,/.,P
maître,maître,21
Jacques,Jacques,20
!,!,p
vous,vous,51
êtes,être,17
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
en,en,81
cour,cour,22
d',de,81
église,église,22
",",",",p
ce,ce,74
parchemin,parchemin,21
est,être,17
abominable,abominable,30
/.,/.,P
-,-,p
nous,nous,51
remettrons,remettre,15
l',le,71
homme,homme,21
à,à,81
la,le,71
question,question,22
/.,/.,P
voici,voici,81
encore,encore,60
",",",",p
ajouta,ajouter,19
maître,maître,21
Jacques,Jacques,20
en,en,81
fouillant,fouiller,13
de,de,81
nouveau,nouveau,21
dans,dans,81
sa,son,73
sacoche,sacoche,22
",",",",p
ce,ce,52
que,que,52
nous,nous,51
avons,avoir,17
trouvé,trouver,12
chez,chez,81
Marc,Marc,20
Cenaine,Cenaine,20
/.,/.,P
c',ce,52
était,être,18
un,un,71
vase,vase,21
de,de,81
la,le,71
famille,famille,22
de,de,81
ceux,celui,52
qui,qui,52
couvraient,couvrir,18
le,le,71
fourneau,fourneau,21
de,de,81
dom,dom,21
Claude,Claude,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
dit,dire,19
l',le,71
archidiacre,archidiacre,21
",",",",p
un,un,71
creuset,creuset,21
d',de,81
alchimie,alchimie,22
/.,/.,P
-,-,p
je,je,51
vous,vous,51
avouerai,avouer,15
",",",",p
reprit,reprendre,19
maître,maître,21
Jacques,Jacques,20
avec,avec,81
son,son,73
sourire,sourire,21
timide,timide,30
et,et,82
gauche,gauche,30
",",",",p
que,que,83
je,je,51
l',le,52
ai,avoir,17
essayé,essayer,12
sur,sur,81
le,le,71
fourneau,fourneau,21
",",",",p
mais,mais,82
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
mieux,mieux,60
réussi,réussir,12
qu',que,83
avec,avec,81
le,le,71
mien,mien,52
/.,/.,P
l',le,71
archidiacre,archidiacre,21
se,se,51
mit,mettre,19
à,à,81
examiner,examiner,14
le,le,71
vase,vase,21
/.,/.,P
-,-,p
qu',que,52
a,avoir,17
t,t,94
il,il,51
gravé,graver,12
sur,sur,81
son,son,73
creuset,creuset,21
/?,/?,P
och,och,93
!,!,p
och,och,93
!,!,p
le,le,71
mot,mot,21
qui,qui,52
chasse,chasser,17
les,le,71
puces,puce,22
/!,/!,P
ce,ce,74
Marc,Marc,20
Cenaine,Cenaine,20
est,être,17
ignorant,ignorant,30
/!,/!,P
je,je,51
le,le,52
crois,croire,17
bien,bien,60
",",",",p
que,que,83
vous,vous,51
ne,ne,60
ferez,faire,15
pas,pas,60
d',de,81
or,or,21
avec,avec,81
ceci,ceci,52
!,!,p
c',ce,52
est,être,17
bon,bon,30
à,à,81
mettre,mettre,14
dans,dans,81
votre,votre,73
alcôve,alcôve,22
l',le,71
été,été,21
",",",",p
et,et,82
voilà,voilà,81
tout,tout,52
/!,/!,P
puisque,puisque,83
nous,nous,51
en,en,52
sommes,être,17
aux,à,81
aux,le,71
erreurs,erreur,22
",",",",p
dit,dire,19
le,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
",",",",p
je,je,51
viens,venir,17
d',de,81
étudier,étudier,14
le,le,71
portail,portail,21
d',de,81
en,en,81
bas,bas,21
avant,avant,81
de,de,81
monter,monter,14
;,;,p
votre,votre,73
révérence,révérence,22
est,être,17
elle,il,51
bien,bien,60
sûre,sûr,30
que,que,83
l',le,71
ouverture,ouverture,22
de,de,81
l',le,71
ouvrage,ouvrage,21
de,de,81
physique,physique,22
y,y,52
est,être,17
figurée,figurer,12
du,de,81
du,le,71
côté,côté,21
de,de,81
l',le,71
Hôtel-Dieu,Hôtel-Dieu,20
",",",",p
et,et,82
que,que,83
",",",",p
dans,dans,81
les,le,71
sept,sept,72
figures,figure,22
nues,nu,30
qui,qui,52
sont,être,17
aux,à,81
aux,le,71
pieds,pied,21
de,de,81
Notre-Dame,Notre Dame,20
",",",",p
celle,celui,52
qui,qui,52
a,avoir,17
des,de,81
des,le,71
ailes,aile,22
aux,à,81
aux,le,71
talons,talon,21
est,être,17
Mercurius,Mercurius,20
/?,/?,P
oui,oui,60
",",",",p
répondit,répondre,19
le,le,71
prêtre,prêtre,21
/.,/.,P
c',ce,52
est,être,17
Augustin,Augustin,20
Nypho,Nypho,20
qui,qui,52
l',le,52
écrit,écrire,17
",",",",p
ce,ce,74
docteur,docteur,21
italien,italien,30
qui,qui,52
avait,avoir,18
un,un,71
démon,démon,21
barbu,barbu,30
lequel,lequel,52
lui,lui,51
apprenait,apprendre,18
toute,tout,75
chose,chose,22
/.,/.,P
au,à,81
au,le,71
reste,reste,21
",",",",p
nous,nous,51
allons,aller,17
descendre,descendre,14
",",",",p
et,et,82
je,je,51
vous,vous,51
expliquerai,expliquer,15
cela,cela,52
sur,sur,81
le,le,71
texte,texte,21
/.,/.,P
-,-,p
merci,merci,21
",",",",p
mon,mon,73
maître,maître,21
",",",",p
dit,dire,19
Charmolue,Charmolue,20
en,en,81
s',se,51
inclinant,incliner,13
jusqu',jusque,81
à,à,81
terre,terre,22
/.,/.,P
-,-,p
à,à,81
propos,propos,21
",",",",p
j',je,51
oubliais,oublier,18
!,!,p
quand,quand,83
vous,vous,51
plaît,plaire,17
il,il,51
que,que,83
je,je,51
fasse,faire,17
appréhender,appréhender,14
la,le,71
petite,petit,30
magicienne,magicienne,22
/?,/?,P
quelle,quel,75
magicienne,magicienne,22
/?,/?,P
cette,ce,74
bohémienne,bohémienne,22
que,que,52
vous,vous,51
savez,savoir,17
bien,bien,60
",",",",p
qui,qui,52
vient,venir,17
tous,tout,75
les,le,71
jours,jour,21
baller,baller,14
sur,sur,81
le,le,71
parvis,parvis,21
malgré,malgré,81
la,le,71
défense,défense,22
de,de,81
l',le,71
official,official,21
/!,/!,P
elle,il,51
a,avoir,17
une,un,71
chèvre,chèvre,22
possédée,possédé,31
qui,qui,52
a,avoir,17
des,de,81
des,le,71
cornes,corne,22
du,de,81
du,le,71
diable,diable,21
",",",",p
qui,qui,52
lit,lire,17
",",",",p
qui,qui,52
écrit,écrire,17
",",",",p
qui,qui,52
sait,savoir,17
la,le,71
mathématique,mathématique,22
comme,comme,83
Picatrix,Picatrix,20
",",",",p
et,et,82
qui,qui,52
suffirait,suffire,16
à,à,81
faire,faire,14
pendre,pendre,14
toute,tout,75
la,le,71
Bohême,Bohême,20
/.,/.,P
le,le,71
procès,procès,21
est,être,17
tout,tout,60
prêt,prêt,30
/.,/.,P
il,il,51
sera,être,15
bientôt,bientôt,60
fait,faire,12
",",",",p
allez,aller,17
/!,/!,P
une,un,71
jolie,joli,30
créature,créature,22
",",",",p
sur,sur,81
mon,mon,73
âme,âme,22
",",",",p
que,que,83
cette,ce,74
danseuse,danseuse,22
!,!,p
les,le,71
plus,plus,60
beaux,beau,30
yeux,oeil,21
noirs,noir,30
!,!,p
deux,deux,72
escarboucles,escarboucle,22
d',de,81
Egypte,Egypte,20
/.,/.,P
quand,quand,83
commençons,commencer,17
nous,nous,51
/?,/?,P
l',le,71
archidiacre,archidiacre,21
était,être,18
excessivement,excessivement,60
pâle,pâle,30
/.,/.,P
-,-,p
je,je,51
vous,vous,51
dirai,dire,15
cela,cela,52
",",",",p
balbutia,balbutier,19
t,t,94
il,il,51
d',de,81
une,un,71
voix,voix,22
à,à,81
peine,peine,22
articulée,articulé,31
/.,/.,P
puis,puis,60
il,il,51
reprit,reprendre,19
avec,avec,81
effort,effort,21
:,:,p
-,-,p
occupez,occuper,17
vous,vous,51
de,de,81
Marc,Marc,20
Cenaine,Cenaine,20
/.,/.,P
-,-,p
soyez,être,17
tranquille,tranquille,30
",",",",p
dit,dire,19
en,en,81
souriant,sourire,13
Charmolue,Charmolue,20
/.,/.,P
je,je,51
vais,aller,17
le,le,71
faire,faire,14
reboucler,reboucler,14
sur,sur,81
le,le,71
lit,lit,21
de,de,81
cuir,cuir,21
en,en,81
rentrant,rentrer,13
/.,/.,P
mais,mais,82
c',ce,52
est,être,17
un,un,71
diable,diable,21
d',de,81
homme,homme,21
/.,/.,P
il,il,51
fatigue,fatiguer,17
Pierrat,Pierrat,20
Torterue,Torterue,20
lui-même,lui-même,51
",",",",p
qui,qui,52
a,avoir,17
les,le,71
mains,main,22
plus,plus,60
grosses,gros,30
que,que,83
moi,moi,51
/.,/.,P
comme,comme,83
dit,dire,17
ce,ce,74
bon,bon,30
Plautus,Plautus,20
/.,/.,P
nudus,nudus,92
vinctus,vinctus,92
",",",",p
centum,centum,92
pondo,pondo,92
",",",",p
es,être,17
quando,quando,92
pendes,pendes,92
per,per,92
pedes,pedes,92
/.,/.,P
la,le,71
question,question,22
au,à,81
au,le,71
treuil,treuil,21
!,!,p
c',ce,52
est,être,17
ce,ce,52
que,que,52
nous,nous,51
avons,avoir,17
de,de,81
mieux,mieux,60
/.,/.,P
il,il,51
y,y,52
passera,passer,15
/.,/.,P
dom,dom,21
Claude,Claude,20
semblait,sembler,18
plongé,plongé,31
dans,dans,81
une,un,71
sombre,sombre,30
distraction,distraction,22
/.,/.,P
il,il,51
se,se,51
tourna,tourner,19
vers,vers,81
Charmolue,Charmolue,20
/.,/.,P
-,-,p
maître,maître,21
Pierrat,Pierrat,20
…,…,p
maître,maître,21
Jacques,Jacques,20
",",",",p
veux,vouloir,17
je,je,51
dire,dire,14
",",",",p
occupez,occuper,17
vous,vous,51
de,de,81
Marc,Marc,20
Cenaine,Cenaine,20
/!,/!,P
oui,oui,60
",",",",p
oui,oui,60
",",",",p
dom,dom,21
Claude,Claude,20
/.,/.,P
pauvre,pauvre,30
homme,homme,21
!,!,p
il,il,51
aura,avoir,15
souffert,souffrir,12
comme,comme,83
Mummo,Mummo,20
/.,/.,P
quelle,quel,75
idée,idée,22
aussi,aussi,60
",",",",p
d',de,81
aller,aller,14
au,à,81
au,le,71
sabbat,sabbat,21
!,!,p
un,un,71
sommelier,sommelier,21
de,de,81
la,le,71
cour,cour,22
des,de,81
des,le,71
comptes,compte,21
",",",",p
qui,qui,52
devrait,devoir,16
connaître,connaître,14
le,le,71
texte,texte,21
de,de,81
Charlemagne,Charlemagne,20
",",",",p
stryga,stryga,92
vel,vel,92
masca,masca,92
/!,/!,P
quant,quand,83
à,à,81
la,le,71
petite,petit,30
",",",",p
-,-,p
Smelarda,Smelarda,20
",",",",p
comme,comme,83
ils,ils,51
l',le,52
appellent,appeler,17
",",",",p
-,-,p
j',je,51
attendrai,attendre,15
vos,votre,73
ordres,ordre,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
en,en,81
passant,passer,13
sous,sous,81
le,le,71
portail,portail,21
",",",",p
vous,vous,51
m',je,51
expliquerez,expliquer,15
aussi,aussi,60
ce,ce,52
que,que,52
veut,vouloir,17
dire,dire,14
le,le,71
jardinier,jardinier,21
de,de,81
plate,plat,30
peinture,peinture,22
qu',que,52
on,on,51
voit,voir,17
en,en,81
entrant,entrer,13
dans,dans,81
l',le,71
église,église,22
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
le,le,71
semeur,semeur,21
/?,/?,P
hé,hé,93
!,!,p
maître,maître,21
",",",",p
à,à,81
quoi,quoi,52
pensez,penser,17
vous,vous,51
donc,donc,82
/?,/?,P
dom,dom,21
Claude,Claude,20
",",",",p
abîmé,abîmé,31
en,en,81
lui-même,lui-même,51
",",",",p
ne,ne,60
l',le,52
écoutait,écouter,18
plus,plus,60
