11488
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-septième extrait>,<>,<> 
elle,il,51
est,être,17
cause,cause,22
que,que,52
j',je,51
ai,avoir,17
outrageusement,outrageusement,60
traité,traiter,12
cette,ce,74
vieille,vieux,30
folle,folle,22
de,de,81
Carvajal,Carvajal,20
",",",",p
qui,qui,52
me,je,51
faisait,faire,18
des,de,81
des,le,71
réponses,réponse,22
ambiguës,ambigu,30
et,et,82
s',se,51
en,en,52
prenait,prendre,18
à,à,81
moi,moi,51
de,de,81
cette,ce,74
belle,beau,30
équipée,équipée,22
/…,/…,P
malheur,malheur,21
!,!,p
je,je,51
suis,être,17
éreinté,éreinter,12
/!,/!,P
en,en,81
parlant,parler,13
ainsi,ainsi,60
de,de,81
sa,son,73
voix,voix,22
rauque,rauque,30
et,et,82
dure,dur,30
",",",",p
Delmare,Delmare,20
s',se,51
était,être,18
jeté,jeter,12
sur,sur,81
une,un,71
chaise,chaise,22
dans,dans,81
l',le,71
antichambre,antichambre,22
;,;,p
il,il,51
essuyait,essuyer,18
son,son,73
front,front,21
baigné,baigné,31
de,de,81
sueur,sueur,22
malgré,malgré,81
le,le,71
froid,froid,21
rigoureux,rigoureux,30
de,de,81
la,le,71
saison,saison,22
;,;,p
il,il,51
racontait,raconter,18
en,en,81
jurant,jurer,13
ses,son,73
fatigues,fatigue,22
",",",",p
ses,son,73
anxiétés,anxiété,22
",",",",p
ses,son,73
souffrances,souffrance,22
;,;,p
il,il,51
faisait,faire,18
mille,mille,72
questions,question,22
",",",",p
et,et,82
",",",",p
heureusement,heureusement,60
",",",",p
il,il,51
n',ne,60
écoutait,écouter,18
pas,pas,60
les,le,71
réponses,réponse,22
",",",",p
car,car,82
le,le,71
pauvre,pauvre,30
Ralph,Ralph,20
ne,ne,60
savait,savoir,18
pas,pas,60
mentir,mentir,14
",",",",p
et,et,82
il,il,51
ne,ne,60
voyait,voir,18
rien,rien,52
dans,dans,81
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
à,à,81
raconter,raconter,14
qui,qui,52
pût,pouvoir,18
apaiser,apaiser,14
le,le,71
colonel,colonel,21
/.,/.,P
il,il,51
restait,rester,18
assis,assis,31
sur,sur,81
une,un,71
table,table,22
",",",",p
impassible,impassible,30
et,et,82
muet,muet,30
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
été,être,12
absolument,absolument,60
étranger,étranger,30
aux,à,81
aux,le,71
angoisses,angoisse,22
de,de,81
ces,ce,74
deux,deux,72
personnes,personne,22
",",",",p
et,et,82
cependant,cependant,82
plus,plus,60
malheureux,malheureux,30
de,de,81
leurs,leur,73
chagrins,chagrin,21
qu',que,83
elles-mêmes,eux-mêmes,51
/.,/.,P
madame,madame,22
Delmare,Delmare,20
",",",",p
en,en,81
entendant,entendre,13
les,le,71
imprécations,imprécation,22
de,de,81
son,son,73
mari,mari,21
",",",",p
se,se,51
sentit,sentir,19
plus,plus,60
forte,fort,30
qu',que,83
elle,il,51
ne,ne,60
s',se,51
y,y,52
attendait,attendre,18
/.,/.,P
elle,il,51
aimait,aimer,18
mieux,mieux,60
ce,ce,74
courroux,courroux,21
qui,qui,52
la,le,52
réconciliait,réconcilier,18
avec,avec,81
elle-même,lui-même,51
",",",",p
qu',que,83
une,un,71
générosité,générosité,22
qui,qui,52
eût,avoir,19
excité,exciter,12
ses,son,73
remords,remords,21
/.,/.,P
elle,il,51
essuya,essuyer,19
la,le,71
dernière,dernier,30
trace,trace,22
de,de,81
ses,son,73
larmes,larme,22
",",",",p
et,et,82
rassembla,rassembler,19
un,un,71
reste,reste,21
de,de,81
force,force,22
qu',que,83
elle,il,51
ne,ne,60
s',se,51
inquiétait,inquiéter,18
pas,pas,60
d',de,81
épuiser,épuiser,14
en,en,81
un,un,71
jour,jour,21
",",",",p
tant,tant,60
la,le,71
vie,vie,22
lui,lui,51
pesait,peser,18
/.,/.,P
quand,quand,83
son,son,73
mari,mari,21
l',le,52
aborda,aborder,19
d',de,81
un,un,71
air,air,21
impérieux,impérieux,30
et,et,82
dur,dur,30
",",",",p
il,il,51
changea,changer,19
tout,tout,60
d',de,81
un,un,71
coup,coup,21
de,de,81
visage,visage,21
et,et,82
de,de,81
ton,ton,21
",",",",p
et,et,82
se,se,51
trouva,trouver,19
contraint,contraint,31
devant,devant,81
elle,il,51
",",",",p
maté,maté,31
par,par,81
la,le,71
supériorité,supériorité,22
de,de,81
son,son,73
caractère,caractère,21
/.,/.,P
il,il,51
essaya,essayer,19
alors,alors,60
d',de,81
être,être,14
digne,digne,30
et,et,82
froid,froid,30
comme,comme,83
elle,il,51
;,;,p
mais,mais,82
il,il,51
n',ne,60
en,en,52
put,pouvoir,19
jamais,jamais,60
venir,venir,14
à,à,81
bout,bout,21
/.,/.,P
-,-,p
daignerez,daigner,15
vous,vous,51
m',je,51
apprendre,apprendre,14
",",",",p
madame,madame,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
où,où,60
vous,vous,51
avez,avoir,17
passé,passer,12
la,le,71
matinée,matinée,22
et,et,82
peut-être,peut-être,60
la,le,71
nuit,nuit,22
/?,/?,P
ce,ce,74
peut-être,peut-être,60
apprit,apprendre,19
à,à,81
madame,madame,22
Delmare,Delmare,20
que,que,83
son,son,73
absence,absence,22
avait,avoir,18
été,être,12
signalée,signaler,12
assez,assez,60
tard,tard,60
/.,/.,P
son,son,73
courage,courage,21
s',se,51
en,en,52
augmenta,augmenter,19
/.,/.,P
-,-,p
non,non,60
",",",",p
monsieur,monsieur,21
",",",",p
répondit,répondre,19
elle,il,51
",",",",p
mon,mon,73
intention,intention,22
n',ne,60
est,être,17
pas,pas,60
de,de,81
vous,vous,51
le,le,52
dire,dire,14
/.,/.,P
Delmare,Delmare,20
verdit,verdir,19
de,de,81
colère,colère,22
et,et,82
de,de,81
surprise,surprise,22
/.,/.,P
-,-,p
en,en,81
vérité,vérité,22
",",",",p
dit,dire,19
il,il,51
d',de,81
une,un,71
voix,voix,22
chevrotante,chevrotant,30
",",",",p
vous,vous,51
espérez,espérer,17
me,je,51
le,le,52
cacher,cacher,14
/?,/?,P
j',je,51
y,y,52
tiens,tenir,17
fort,fort,60
peu,peu,60
",",",",p
répondit,répondre,19
elle,il,51
d',de,81
un,un,71
ton,ton,21
glacial,glacial,30
/.,/.,P
si,si,83
je,je,51
refuse,refuser,17
de,de,81
vous,vous,51
répondre,répondre,14
",",",",p
c',ce,52
est,être,17
absolument,absolument,60
pour,pour,81
la,le,71
forme,forme,22
/.,/.,P
je,je,51
veux,vouloir,17
vous,vous,51
convaincre,convaincre,14
que,que,83
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
le,le,71
droit,droit,21
de,de,81
m',je,51
adresser,adresser,14
cette,ce,74
question,question,22
/.,/.,P
-,-,p
je,je,51
n',ne,60
en,en,52
ai,avoir,17
pas,pas,60
le,le,71
droit,droit,21
",",",",p
mille,mille,72
couleuvres,couleuvre,22
/!,/!,P
qui,qui,52
donc,donc,82
est,être,17
le,le,71
maître,maître,21
ici,ici,60
",",",",p
de,de,81
vous,vous,51
ou,ou,82
de,de,81
moi,moi,51
?,?,p
qui,qui,52
donc,donc,82
porte,porter,17
une,un,71
jupe,jupe,22
et,et,82
doit,devoir,17
filer,filer,14
une,un,71
quenouille,quenouille,22
/?,/?,P
prétendez,prétendre,17
vous,vous,51
m',je,51
ôter,ôter,14
la,le,71
barbe,barbe,22
du,de,81
du,le,71
menton,menton,21
/?,/?,P
cela,cela,52
vous,vous,51
sied,seoir,17
bien,bien,60
",",",",p
femmelette,femmelette,22
/!,/!,P
je,je,51
sais,savoir,17
que,que,83
je,je,51
suis,être,17
l',le,71
esclave,esclave,22
et,et,82
vous,vous,51
le,le,71
seigneur,seigneur,21
/.,/.,P
la,le,71
loi,loi,22
de,de,81
ce,ce,74
pays,pays,21
vous,vous,51
a,avoir,17
fait,faire,12
mon,mon,73
maître,maître,21
/.,/.,P
vous,vous,51
pouvez,pouvoir,17
lier,lier,14
mon,mon,73
corps,corps,21
",",",",p
garrotter,garrotter,14
mes,mon,73
mains,main,22
",",",",p
gouverner,gouverner,14
mes,mon,73
actions,action,22
/.,/.,P
vous,vous,51
avez,avoir,17
le,le,71
droit,droit,21
du,de,81
du,le,71
plus,plus,60
fort,fort,30
",",",",p
et,et,82
la,le,71
société,société,22
vous,vous,51
le,le,52
confirme,confirmer,17
;,;,p
mais,mais,82
sur,sur,81
ma,mon,73
volonté,volonté,22
",",",",p
monsieur,monsieur,21
",",",",p
vous,vous,51
ne,ne,60
pouvez,pouvoir,17
rien,rien,52
",",",",p
dieu,dieu,21
seul,seul,30
peut,pouvoir,17
la,le,52
courber,courber,14
et,et,82
la,le,52
réduire,réduire,14
/.,/.,P
cherchez,chercher,17
donc,donc,82
une,un,71
loi,loi,22
",",",",p
un,un,71
cachot,cachot,21
",",",",p
un,un,71
instrument,instrument,21
de,de,81
supplice,supplice,21
qui,qui,52
vous,vous,51
donne,donner,17
prise,prise,22
sur,sur,81
elle,il,51
!,!,p
c',ce,52
est,être,17
comme,comme,83
si,si,83
vouliez,vouloir,17
manier,manier,14
l',le,71
air,air,21
et,et,82
saisir,saisir,14
le,le,71
vide,vide,21
/!,/!,P
taisez,taire,17
vous,vous,51
",",",",p
sotte,sot,30
et,et,82
impertinente,impertinent,30
créature,créature,22
;,;,p
vos,votre,73
phrases,phrase,22
de,de,81
roman,roman,21
nous,nous,51
ennuient,ennuyer,17
/.,/.,P
-,-,p
vous,vous,51
pouvez,pouvoir,17
m',je,51
imposer,imposer,14
silence,silence,21
",",",",p
mais,mais,82
non,non,60
m',je,51
empêcher,empêcher,14
de,de,81
penser,penser,14
/.,/.,P
-,-,p
orgueil,orgueil,21
imbécile,imbécile,30
",",",",p
morgue,morgue,22
de,de,81
vermisseau,vermisseau,21
!,!,p
vous,vous,51
abusez,abuser,17
de,de,81
la,le,71
pitié,pitié,22
qu',que,52
on,on,51
a,avoir,17
de,de,81
vous,vous,51
/!,/!,P
mais,mais,82
vous,vous,51
verrez,voir,15
bien,bien,60
qu',que,83
on,on,51
peut,pouvoir,17
dompter,dompter,14
ce,ce,74
grand,grand,30
caractère,caractère,21
sans,sans,81
se,se,51
donner,donner,14
beaucoup,beaucoup,60
de,de,81
peine,peine,22
/.,/.,P
-,-,p
je,je,51
ne,ne,60
vous,vous,51
conseille,conseiller,17
pas,pas,60
de,de,81
le,le,52
tenter,tenter,14
",",",",p
votre,votre,73
repos,repos,21
en,en,52
souffrirait,souffrir,16
",",",",p
votre,votre,73
dignité,dignité,22
n',ne,60
y,y,52
gagnerait,gagner,16
rien,rien,52
/.,/.,P
-,-,p
vous,vous,51
croyez,croire,17
?,?,p
dit,dire,19
il,il,51
en,en,81
lui,lui,51
meurtrissant,meurtrir,13
la,le,71
main,main,22
entre,entre,81
son,son,73
index,index,21
et,et,82
son,son,73
pouce,pouce,21
/.,/.,P
-,-,p
je,je,51
le,le,52
crois,croire,17
",",",",p
dit,dire,19
elle,il,51
sans,sans,81
changer,changer,14
de,de,81
visage,visage,21
/.,/.,P
Ralph,Ralph,20
fit,faire,19
deux,deux,72
pas,pas,21
",",",",p
prit,prendre,19
le,le,71
bras,bras,21
du,de,81
du,le,71
colonel,colonel,21
dans,dans,81
sa,son,73
main,main,22
de,de,81
fer,fer,21
",",",",p
et,et,82
le,le,52
fit,faire,19
ployer,ployer,14
comme,comme,83
un,un,71
roseau,roseau,21
en,en,81
lui,lui,51
disant,dire,13
d',de,81
un,un,71
ton,ton,21
pacifique,pacifique,30
:,:,p
-,-,p
je,je,51
vous,vous,51
prie,prier,17
de,de,81
ne,ne,60
pas,pas,60
toucher,toucher,14
à,à,81
un,un,71
cheveu,cheveu,21
de,de,81
cette,ce,74
femme,femme,22
/.,/.,P
Delmare,Delmare,20
eut,avoir,19
envie,envie,22
de,de,81
se,se,51
jeter,jeter,14
sur,sur,81
lui,lui,51
;,;,p
mais,mais,82
il,il,51
sentit,sentir,19
qu',que,83
il,il,51
avait,avoir,18
tort,tort,21
",",",",p
et,et,82
il,il,51
ne,ne,60
craignait,craindre,18
rien,rien,52
tant,tant,60
au,à,81
au,le,71
monde,monde,21
que,que,83
de,de,81
rougir,rougir,14
de,de,81
lui-même,lui-même,51
/.,/.,P
il,il,51
le,le,52
repoussa,repousser,19
en,en,81
se,se,51
contentant,contenter,13
de,de,81
lui,lui,51
dire,dire,14
:,:,p
-,-,p
mêlez,mêler,17
vous,vous,51
de,de,81
vos,votre,73
affaires,affaire,22
/.,/.,P
puis,puis,60
",",",",p
revenant,revenir,13
à,à,81
sa,son,73
femme,femme,22
:,:,p
-,-,p
ainsi,ainsi,60
",",",",p
madame,madame,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
en,en,81
serrant,serrer,13
ses,son,73
bras,bras,21
contre,contre,81
sa,son,73
poitrine,poitrine,22
pour,pour,81
résister,résister,14
à,à,81
la,le,71
tentation,tentation,22
de,de,81
la,le,52
frapper,frapper,14
",",",",p
vous,vous,51
entrez,entrer,17
en,en,81
révolte,révolte,22
ouverte,ouvert,31
contre,contre,81
moi,moi,51
",",",",p
vous,vous,51
refusez,refuser,17
de,de,81
me,je,51
suivre,suivre,14
à,à,81
l',le,71
île,île,22
Bourbon,Bourbon,20
",",",",p
vous,vous,51
voulez,vouloir,17
vous,vous,51
séparer,séparer,14
/?,/?,P
eh,eh,93
bien,bien,60
",",",",p
mordieu,mordieu,93
!,!,p
moi,moi,51
aussi,aussi,60
/…,/…,P
-,-,p
je,je,51
ne,ne,60
le,le,52
veux,vouloir,17
plus,plus,60
",",",",p
répondit,répondre,19
elle,il,51
/.,/.,P
je,je,51
le,le,52
voulais,vouloir,18
hier,hier,60
",",",",p
c',ce,52
était,être,18
ma,mon,73
volonté,volonté,22
;,;,p
ce,ce,52
ne,ne,60
l',le,52
est,être,17
plus,plus,60
ce,ce,74
matin,matin,21
/.,/.,P
vous,vous,51
avez,avoir,17
usé,user,12
de,de,81
violence,violence,22
en,en,81
m',je,51
enfermant,enfermer,13
dans,dans,81
ma,mon,73
chambre,chambre,22
:,:,p
j',je,51
en,en,52
suis,être,17
sortie,sortir,12
par,par,81
la,le,71
fenêtre,fenêtre,22
pour,pour,81
vous,vous,51
prouver,prouver,14
que,que,83
ne,ne,60
pas,pas,60
régner,régner,14
sur,sur,81
la,le,71
volonté,volonté,22
d',de,81
une,un,71
femme,femme,22
",",",",p
c',ce,52
est,être,17
exercer,exercer,14
un,un,71
empire,empire,21
dérisoire,dérisoire,30
/.,/.,P
j',je,51
ai,avoir,17
passé,passer,12
quelques,quelque,75
heures,heure,22
hors,hors,81
de,de,81
votre,votre,73
domination,domination,22
;,;,p
j',je,51
ai,avoir,17
été,être,12
respirer,respirer,14
l',le,71
air,air,21
de,de,81
la,le,71
liberté,liberté,22
pour,pour,81
vous,vous,51
montrer,montrer,14
que,que,83
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
moralement,moralement,60
mon,mon,73
maître,maître,21
et,et,82
que,que,83
je,je,51
ne,ne,60
dépends,dépendre,17
que,que,83
de,de,81
moi,moi,51
sur,sur,81
la,le,71
terre,terre,22
/.,/.,P
en,en,81
me,je,51
promenant,promener,13
",",",",p
j',je,51
ai,avoir,17
réfléchi,réfléchir,12
que,que,83
je,je,51
devais,devoir,18
à,à,81
mon,mon,73
devoir,devoir,21
et,et,82
à,à,81
ma,mon,73
conscience,conscience,22
de,de,81
revenir,revenir,14
me,je,51
placer,placer,14
sous,sous,81
votre,votre,73
patronage,patronage,21
;,;,p
je,je,51
l',le,52
ai,avoir,17
fait,faire,12
de,de,81
mon,mon,73
plein,plein,30
gré,gré,21
/.,/.,P
mon,mon,73
cousin,cousin,21
m',je,51
a,avoir,17
accompagnée,accompagner,12
ici,ici,60
",",",",p
et,et,82
non,non,60
pas,pas,60
ramenée,ramener,12
/.,/.,P
si,si,83
je,je,51
n',ne,60
eusse,avoir,18
pas,pas,60
voulu,vouloir,12
le,le,52
suivre,suivre,14
",",",",p
il,il,51
n',ne,60
aurait,avoir,16
pas,pas,60
su,savoir,12
m',je,51
y,y,52
contraindre,contraindre,14
",",",",p
vous,vous,51
l',le,52
imaginez,imaginer,17
bien,bien,60
/.,/.,P
ainsi,ainsi,60
",",",",p
monsieur,monsieur,21
",",",",p
ne,ne,60
perdez,perdre,17
pas,pas,60
votre,votre,73
temps,temps,21
à,à,81
discuter,discuter,14
avec,avec,81
ma,mon,73
conviction,conviction,22
;,;,p
vous,vous,51
ne,ne,60
l',le,52
influencerez,influencer,15
jamais,jamais,60
",",",",p
vous,vous,51
en,en,52
avez,avoir,17
perdu,perdre,12
le,le,71
droit,droit,21
dès,dès,81
que,que,83
vous,vous,51
avez,avoir,17
voulu,vouloir,12
y,y,52
prétendre,prétendre,14
par,par,81
la,le,71
force,force,22
/.,/.,P
occupez,occuper,17
vous,vous,51
du,de,81
du,le,71
départ,départ,21
;,;,p
je,je,51
suis,être,17
prête,prêt,30
à,à,81
vous,vous,51
aider,aider,14
et,et,82
à,à,81
vous,vous,51
suivre,suivre,14
",",",",p
non,non,60
pas,pas,60
parce que,parce que,83
telle,tel,52
est,être,17
votre,votre,73
volonté,volonté,22
",",",",p
mais,mais,82
parce que,parce que,83
telle,tel,52
est,être,17
mon,mon,73
intention,intention,22
/.,/.,P
vous,vous,51
pouvez,pouvoir,17
me,je,51
condamner,condamner,14
",",",",p
mais,mais,82
je,je,51
n',ne,60
obéirai,obéir,15
jamais,jamais,60
qu',que,83
à,à,81
moi-même,moi-même,51
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
pitié,pitié,22
du,de,81
du,le,71
dérangement,dérangement,21
de,de,81
votre,votre,73
esprit,esprit,21
",",",",p
dit,dire,19
le,le,71
colonel,colonel,21
en,en,81
haussant,hausser,13
les,le,71
épaules,épaule,22
/.,/.,P
et,et,82
il,il,51
se,se,51
retira,retirer,19
dans,dans,81
sa,son,73
chambre,chambre,22
pour,pour,81
mettre,mettre,14
en,en,81
ordre,ordre,21
ses,son,73
papiers,papier,21
",",",",p
fort,fort,60
satisfait,satisfait,31
",",",",p
au dedans,au-dedans,60
de,de,81
lui,lui,51
",",",",p
de,de,81
la,le,71
résolution,résolution,22
de,de,81
madame,madame,22
Delmare,Delmare,20
",",",",p
et,et,82
ne,ne,60
redoutant,redouter,13
plus,plus,60
d',de,81
obstacles,obstacle,21
;,;,p
car,car,82
il,il,51
respectait,respecter,18
la,le,71
parole,parole,22
de,de,81
cette,ce,74
femme,femme,22
autant,autant,60
qu',que,83
il,il,51
méprisait,mépriser,18
ses,son,73
idées,idée,22
/.,/.,P
<XXII.>,<>,<>
Raymon,Raymon,20
",",",",p
cédant,céder,13
à,à,81
la,le,71
fatigue,fatigue,22
",",",",p
s',se,51
était,être,18
endormi,endormir,12
profondément,profondément,60
",",",",p
après,après,81
avoir,avoir,14
reçu,recevoir,12
fort,fort,60
sèchement,sèchement,60
sir,sir,92
Ralph,Ralph,20
",",",",p
qui,qui,52
était,être,18
venu,venir,12
prendre,prendre,14
des,de,81
des,le,71
informations,information,22
chez,chez,81
lui,lui,51
/.,/.,P
lorsqu',lorsque,83
il,il,51
s',se,51
éveilla,éveiller,19
",",",",p
un,un,71
sentiment,sentiment,21
de,de,81
bien-être,bien-être,21
inonda,inonder,19
son,son,73
âme,âme,22
;,;,p
il,il,51
songea,songer,19
que,que,83
la,le,71
crise,crise,22
principale,principal,30
de,de,81
cette,ce,74
aventure,aventure,22
était,être,18
enfin,enfin,60
passée,passer,12
/.,/.,P
depuis,depuis,81
longtemps,longtemps,60
",",",",p
il,il,51
avait,avoir,18
prévu,prévoir,12
qu',que,83
un,un,71
instant,instant,21
viendrait,venir,16
le,le,52
mettre,mettre,14
aux,à,81
aux,le,71
prises,prise,22
avec,avec,81
cet,ce,74
amour,amour,21
de,de,81
femme,femme,22
",",",",p
qu',que,83
il,il,51
faudrait,falloir,16
défendre,défendre,14
sa,son,73
liberté,liberté,22
contre,contre,81
les,le,71
exigences,exigence,22
d',de,81
une,un,71
passion,passion,22
romanesque,romanesque,30
",",",",p
et,et,82
il,il,51
s',se,51
encourageait,encourager,18
d',de,81
avance,avance,22
à,à,81
combattre,combattre,14
de,de,81
telles,tel,75
prétentions,prétention,22
/.,/.,P
il,il,51
avait,avoir,18
donc,donc,82
franchi,franchir,12
",",",",p
enfin,enfin,60
",",",",p
ce,ce,74
pas,pas,21
difficile,difficile,30
:,:,p
il,il,51
avait,avoir,18
dit,dire,12
non,non,60
",",",",p
il,il,51
n',ne,60
aurait,avoir,16
plus,plus,60
besoin,besoin,21
d',de,81
y,y,52
revenir,revenir,14
",",",",p
car,car,82
les,le,71
choses,chose,22
s',se,51
étaient,être,18
passées,passer,12
pour,pour,81
le,le,71
mieux,mieux,60
/.,/.,P
Indiana,Indiana,20
n',ne,60
avait,avoir,18
pas,pas,60
trop,trop,60
pleuré,pleurer,12
",",",",p
pas,pas,60
trop,trop,60
insisté,insister,12
/.,/.,P
elle,il,51
s',se,51
était,être,18
montrée,montrer,12
raisonnable,raisonnable,30
",",",",p
elle,il,51
avait,avoir,18
compris,comprendre,12
au,à,81
au,le,71
premier,premier,72
mot,mot,21
",",",",p
elle,il,51
avait,avoir,18
pris,prendre,12
son,son,73
parti,parti,21
vite,vite,60
et,et,82
fièrement,fièrement,60
/.,/.,P
Raymon,Raymon,20
était,être,18
fort,fort,60
content,content,30
de,de,81
sa,son,73
providence,providence,22
;,;,p
car,car,82
il,il,51
en,en,52
avait,avoir,18
une,un,52
à,à,81
lui,lui,51
",",",",p
à,à,81
laquelle,lequel,52
il,il,51
croyait,croire,18
en,en,81
bon,bon,30
fils,fils,21
",",",",p
et,et,82
sur,sur,81
laquelle,lequel,52
il,il,51
comptait,compter,18
pour,pour,81
arranger,arranger,14
toutes,tout,75
choses,chose,22
au,à,81
au,le,71
détriment,détriment,21
des,de,81
des,le,71
autres,autre,52
plutôt,plutôt,60
qu',que,83
au,à,81
au,le,71
sien,sien,52
propre,propre,30
/.,/.,P
elle,il,51
l',le,52
avait,avoir,18
si,si,60
bien,bien,60
traité,traiter,12
jusque-là,jusque-là,81
",",",",p
qu',que,83
il,il,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
douter,douter,14
d',de,81
elle,il,51
/.,/.,P
prévoir,prévoir,14
le,le,71
résultat,résultat,21
de,de,81
ses,son,73
fautes,faute,22
et,et,82
s',se,51
en,en,52
inquiéter,inquiéter,14
",",",",p
c',ce,52
eût,avoir,19
été,être,12
à,à,81
ses,son,73
yeux,oeil,21
commettre,commettre,14
le,le,71
crime,crime,21
d',de,81
ingratitude,ingratitude,22
envers,envers,81
le,le,71
dieu,dieu,21
bon,bon,30
qui,qui,52
veillait,veiller,18
sur,sur,81
lui,lui,51
/.,/.,P
il,il,51
se,se,51
leva,lever,19
très,très,60
fatigué,fatigué,31
encore,encore,60
des,de,81
des,le,71
efforts,effort,21
d',de,81
imagination,imagination,22
auxquels,à,81
auxquels,lequel,52
l',le,52
avaient,avoir,18
contraint,contraindre,12
les,le,71
circonstances,circonstance,22
de,de,81
cette,ce,74
scène,scène,22
pénible,pénible,30
/.,/.,P
sa,son,73
mère,mère,22
rentra,rentrer,19
;,;,p
elle,il,51
venait,venir,18
de,de,81
s',se,51
informer,informer,14
auprès,auprès,60
de,de,81
madame,madame,22
de,de,81
Carvajal,Carvajal,20
de,de,81
la,le,71
santé,santé,22
et,et,82
de,de,81
la,le,71
disposition,disposition,22
d',de,81
esprit,esprit,21
de,de,81
madame,madame,22
Delmare,Delmare,20
/.,/.,P
la,le,71
marquise,marquise,22
ne,ne,60
s',se,51
en,en,52
était,être,18
point,point,60
inquiétée,inquiéter,12
;,;,p
elle,il,51
était,être,18
pourtant,pourtant,60
dans,dans,81
un,un,71
très,très,60
grand,grand,30
chagrin,chagrin,21
quand,quand,83
madame,madame,22
de,de,81
Ramière,Ramière,20
l',le,52
interrogea,interroger,19
adroitement,adroitement,60
/.,/.,P
mais,mais,82
la,le,71
seule,seul,30
chose,chose,22
qui,qui,52
l',le,52
eût,avoir,19
frappée,frapper,12
dans,dans,81
la,le,71
disparition,disparition,22
de,de,81
madame,madame,22
Delmare,Delmare,20
",",",",p
c',ce,52
était,être,18
le,le,71
scandale,scandale,21
qui,qui,52
allait,aller,18
en,en,52
résulter,résulter,14
/.,/.,P
elle,il,51
se,se,51
plaignit,plaindre,19
très,très,60
amèrement,amèrement,60
de,de,81
sa,son,73
nièce,nièce,22
",",",",p
que,que,52
",",",",p
la,le,71
veille,veille,22
",",",",p
elle,il,51
élevait,élever,18
aux,à,81
aux,le,71
nues,nue,22
;,;,p
et,et,82
madame,madame,22
de,de,81
Ramière,Ramière,20
comprit,comprendre,19
que,que,83
",",",",p
par,par,81
cette,ce,74
démarche,démarche,22
",",",",p
la,le,71
malheureuse,malheureux,30
Indiana,Indiana,20
s',se,51
était,être,18
aliénée,aliéner,12
à,à,81
jamais,jamais,60
sa,son,73
parente,parente,22
et,et,82
perdait,perdre,18
le,le,71
seul,seul,30
appui,appui,21
naturel,naturel,30
qui,qui,52
lui,lui,51
restât,rester,18
/.,/.,P
pour,pour,81
qui,qui,52
eût,avoir,19
connu,connaître,12
le,le,71
fond,fond,21
de,de,81
l',le,71
âme,âme,22
de,de,81
la,le,71
marquise,marquise,22
",",",",p
ce,ce,52
n',ne,60
eût,avoir,19
pas,pas,60
été,être,12
une,un,71
grande,grand,30
perte,perte,22
;,;,p
mais,mais,82
madame,madame,22
de,de,81
Carvajal,Carvajal,20
passait,passer,18
",",",",p
même,même,60
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
madame,madame,22
de,de,81
Ramière,Ramière,20
",",",",p
pour,pour,81
une,un,71
vertu,vertu,22
irréprochable,irréprochable,30
/.,/.,P
sa,son,73
jeunesse,jeunesse,22
avait,avoir,18
été,être,12
enveloppée,envelopper,12
des,de,81
des,le,71
mystères,mystère,21
de,de,81
la,le,71
prudence,prudence,22
ou,ou,82
perdue,perdre,12
dans,dans,81
le,le,71
tourbillon,tourbillon,21
des,de,81
des,le,71
révolutions,révolution,22
/.,/.,P
la,le,71
mère,mère,22
de,de,81
Raymon,Raymon,20
pleura,pleurer,19
sur,sur,81
le,le,71
sort,sort,21
d',de,81
Indiana,Indiana,20
et,et,82
chercha,chercher,19
à,à,81
l',le,52
excuser,excuser,14
;,;,p
madame,madame,22
de,de,81
Carvajal,Carvajal,20
lui,lui,51
dit,dire,19
avec,avec,81
aigreur,aigreur,22
qu',que,83
elle,il,51
n',ne,60
était,être,18
peut-être,peut-être,60
pas,pas,60
assez,assez,60
désintéressée,désintéresser,12
dans,dans,81
cette,ce,74
affaire,affaire,22
pour,pour,81
en,en,52
juger,juger,14
/.,/.,P
-,-,p
mais,mais,82
que,que,52
deviendra,devenir,15
donc,donc,82
cette,ce,74
malheureuse,malheureux,30
jeune,jeune,30
femme,femme,22
?,?,p
dit,dire,19
madame,madame,22
de,de,81
Ramière,Ramière,20
/.,/.,P
si,si,83
son,son,73
mari,mari,21
l',le,52
opprime,opprimer,17
",",",",p
qui,qui,52
la,le,52
protégera,protéger,15
/?,/?,P
elle,il,51
deviendra,devenir,15
ce,ce,52
qu',que,52
il,il,51
plaira,plaire,15
à,à,81
dieu,dieu,21
",",",",p
répondit,répondre,19
la,le,71
marquise,marquise,22
;,;,p
pour,pour,81
moi,moi,51
",",",",p
je,je,51
ne,ne,60
m',je,51
en,en,52
mêle,mêler,17
plus,plus,60
",",",",p
et,et,82
je,je,51
ne,ne,60
veux,vouloir,17
jamais,jamais,60
la,le,52
revoir,revoir,14
/.,/.,P
madame,madame,22
de,de,81
Ramière,Ramière,20
