11637
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-huitième extrait>,<>,<>
car,car,82
il,il,51
avait,avoir,18
faim,faim,22
et,et,82
mangeait,manger,18
des,de,81
des,le,71
prunelles,prunelle,22
et,et,82
des,de,81
des,le,71
mûres,mûre,22
de,de,81
buisson,buisson,21
/.,/.,P
je,je,51
lui,lui,51
ai,avoir,17
donné,donner,12
le,le,71
pain,pain,21
de,de,81
mon,mon,73
goûter,goûter,21
",",",",p
et,et,82
il,il,51
m',je,51
a,avoir,17
dit,dire,12
:,:,p
merci,merci,21
",",",",p
ma,mon,73
Marie,Marie,20
mignonne,mignon,30
:,:,p
quand,quand,83
tu,tu,51
viendras,venir,15
chez,chez,81
nous,nous,51
",",",",p
je,je,51
te,tu,51
donnerai,donner,15
de,de,81
la,le,71
galette,galette,22
/.,/.,P
c',ce,52
est,être,17
un,un,71
enfant,enfant,21
trop,trop,60
gentil,gentil,30
que,que,52
vous,vous,51
avez,avoir,17
là,là,60
",",",",p
Germain,Germain,20
/!,/!,P
-,-,p
oui,oui,60
",",",",p
qu',que,52
il,il,51
est,être,17
gentil,gentil,30
",",",",p
reprit,reprendre,19
le,le,71
laboureur,laboureur,21
",",",",p
et,et,82
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
ce,ce,52
que,que,52
je,je,51
ne,ne,60
ferais,faire,16
pas,pas,60
pour,pour,81
lui,lui,51
/!,/!,P
si,si,83
sa,son,73
grand-mère,grand-mère,22
n',ne,60
avait,avoir,18
pas,pas,60
eu,avoir,12
plus,plus,60
de,de,81
raison,raison,22
que,que,83
moi,moi,51
",",",",p
je,je,51
n',ne,60
aurais,avoir,16
pas,pas,60
pu,pouvoir,12
me,je,51
tenir,tenir,14
de,de,81
l',le,52
emmener,emmener,14
",",",",p
quand,quand,83
je,je,51
le,le,52
voyais,voir,18
pleurer,pleurer,14
si,si,60
fort,fort,60
que,que,83
son,son,73
pauvre,pauvre,30
petit,petit,30
coeur,coeur,21
en,en,52
était,être,18
tout,tout,60
gonflé,gonfler,12
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
pourquoi,pourquoi,60
ne,ne,60
l',le,52
auriez,avoir,16
vous,vous,51
pas,pas,60
emmené,emmener,12
",",",",p
Germain,Germain,20
/?,/?,P
il,il,51
ne,ne,60
vous,vous,51
aurait,avoir,16
guère,guère,60
embarrassé,embarrasser,12
;,;,p
il,il,51
est,être,17
si,si,60
raisonnable,raisonnable,30
quand,quand,83
on,on,51
fait,faire,17
sa,son,73
volonté,volonté,22
/!,/!,P
-,-,p
il,il,51
paraît,paraître,17
qu',que,83
il,il,51
aurait,avoir,16
été,être,12
de,de,81
trop,trop,60
là,là,60
où,où,60
je,je,51
vais,aller,17
/.,/.,P
du,de,81
du,le,71
moins,moins,60
c',ce,52
était,être,18
l',le,71
avis,avis,21
du,de,81
du,le,71
père,père,21
Maurice,Maurice,20
/.,/.,P
..,/...,P
-,-,p
si,si,60
fait,fait,31
",",",",p
Germain,Germain,20
;,;,p
je,je,51
sais,savoir,17
que,que,83
vous,vous,51
allez,aller,17
vous,vous,51
marier,marier,14
;,;,p
ma,mon,73
mère,mère,22
me,je,51
l',le,52
a,avoir,17
dit,dire,12
",",",",p
en,en,81
me,je,51
recommandant,recommander,13
de,de,81
n',ne,60
en,en,52
parler,parler,14
à,à,81
personne,personne,52
",",",",p
ni,ni,82
chez,chez,81
nous,nous,51
",",",",p
ni,ni,82
là,là,60
où,où,60
je,je,51
vais,aller,17
",",",",p
et,et,82
vous,vous,51
pouvez,pouvoir,17
être,être,14
tranquille,tranquille,30
:,:,p
je,je,51
n',ne,60
en,en,52
dirai,dire,15
mot,mot,21
/.,/.,P
-,-,p
tu,tu,51
feras,faire,15
bien,bien,60
",",",",p
car,car,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
fait,faire,12
;,;,p
peut-être,peut-être,60
que,que,83
je,je,51
ne,ne,60
conviendrai,convenir,15
pas,pas,60
à,à,81
la,le,71
femme,femme,22
en,en,81
question,question,22
/.,/.,P
-,-,p
il,il,51
faut,falloir,17
espérer,espérer,14
que,que,83
si,si,60
",",",",p
Germain,Germain,20
/.,/.,P
pourquoi,pourquoi,60
donc,donc,82
ne,ne,60
lui,lui,51
conviendriez,convenir,16
vous,vous,51
pas,pas,60
/?,/?,P
-,-,p
qui,qui,52
sait,savoir,17
/?,/?,P
j',je,51
ai,avoir,17
trois,trois,72
enfants,enfant,21
",",",",p
et,et,82
c',ce,52
est,être,17
lourd,lourd,30
pour,pour,81
une,un,71
femme,femme,22
qui,qui,52
n',ne,60
est,être,17
pas,pas,60
leur,leur,73
mère,mère,22
/!,/!,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
mais,mais,82
vos,votre,73
enfants,enfant,21
ne,ne,60
sont,être,17
pas,pas,60
comme,comme,83
d',de,81
autres,autre,75
enfants,enfant,21
/.,/.,P
-,-,p
crois,croire,17
tu,tu,51
/?,/?,P
-,-,p
ils,ils,51
sont,être,17
beaux,beau,30
comme,comme,83
des,de,81
des,le,71
petits,petit,30
anges,ange,21
",",",",p
et,et,82
si,si,60
bien,bien,60
élevés,élevé,31
qu',que,83
on,on,51
n',ne,60
en,en,52
peut,pouvoir,17
pas,pas,60
voir,voir,14
de,de,81
plus,plus,60
aimables,aimable,30
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
Sylvain,Sylvain,20
qui,qui,52
n',ne,60
est,être,17
pas,pas,60
trop,trop,60
commode,commode,30
/.,/.,P
-,-,p
il,il,51
est,être,17
tout,tout,60
petit,petit,30
!,!,p
il,il,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
être,être,14
autrement,autrement,60
que,que,83
terrible,terrible,30
",",",",p
mais,mais,82
il,il,51
a,avoir,17
tant,tant,60
d',de,81
esprit,esprit,21
/!,/!,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
qu',que,83
il,il,51
a,avoir,17
de,de,81
l',le,71
esprit,esprit,21
:,:,p
et,et,82
un,un,71
courage,courage,21
/!,/!,P
il,il,51
ne,ne,60
craint,craindre,17
ni,ni,82
vaches,vache,22
",",",",p
ni,ni,82
taureaux,taureau,21
",",",",p
et,et,82
si,si,83
on,on,51
le,le,52
laissait,laisser,18
faire,faire,14
",",",",p
il,il,51
grimperait,grimper,16
déjà,déjà,60
sur,sur,81
les,le,71
chevaux,cheval,21
avec,avec,81
son,son,73
aîné,aîné,21
/.,/.,P
-,-,p
moi,moi,51
",",",",p
à,à,81
votre,votre,73
place,place,22
",",",",p
j',je,51
aurais,avoir,16
amené,amener,12
l',le,71
aîné,aîné,21
/.,/.,P
bien,bien,60
sûr,sûr,30
ça,ça,52
vous,vous,51
aurait,avoir,16
fait,faire,12
aimer,aimer,14
tout,tout,60
de,de,81
suite,suite,22
",",",",p
d',de,81
avoir,avoir,14
un,un,71
enfant,enfant,21
si,si,60
beau,beau,30
/!,/!,P
-,-,p
oui,oui,60
",",",",p
si,si,83
la,le,71
femme,femme,22
aime,aimer,17
les,le,71
enfants,enfant,21
;,;,p
mais,mais,82
si,si,83
elle,il,51
ne,ne,60
les,le,52
aime,aimer,17
pas,pas,60
/!,/!,P
-,-,p
est,être,17
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
femmes,femme,22
qui,qui,52
n',ne,60
aiment,aimer,17
pas,pas,60
les,le,71
enfants,enfant,21
/?,/?,P
-,-,p
pas,pas,60
beaucoup,beaucoup,60
",",",",p
je,je,51
pense,penser,17
;,;,p
mais,mais,82
enfin,enfin,60
il,il,51
y,y,52
en,en,52
a,avoir,17
",",",",p
et,et,82
c',ce,52
est,être,17
là,là,60
ce,ce,52
qui,qui,52
me,je,51
tourmente,tourmenter,17
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
la,le,52
connaissez,connaître,17
donc,donc,82
pas,pas,60
du,de,81
du,le,71
tout,tout,21
cette,ce,74
femme,femme,22
/?,/?,P
-,-,p
pas,pas,60
plus,plus,60
que,que,83
toi,toi,51
",",",",p
et,et,82
je,je,51
crains,craindre,17
de,de,81
ne,ne,60
pas,pas,60
la,le,52
mieux,mieux,60
connaître,connaître,14
",",",",p
après,après,81
que,que,83
je,je,51
l',le,52
aurai,avoir,15
vue,voir,12
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
méfiant,méfiant,30
",",",",p
moi,moi,51
/.,/.,P
quand,quand,83
on,on,51
me,je,51
dit,dire,17
de,de,81
bonnes,bon,30
paroles,parole,22
",",",",p
j',je,51
y,y,52
crois,croire,17
:,:,p
mais,mais,82
j',je,51
ai,avoir,17
été,être,12
plus,plus,60
d',de,81
une,un,71
fois,fois,22
à,à,81
même,même,60
de,de,81
m',je,51
en,en,52
repentir,repentir,14
",",",",p
car,car,82
les,le,71
paroles,parole,22
ne,ne,60
sont,être,17
pas,pas,60
des,de,81
des,le,71
actions,action,22
/.,/.,P
-,-,p
on,on,51
dit,dire,17
que,que,83
c',ce,52
est,être,17
une,un,52
fort,fort,60
brave,brave,30
femme,femme,22
/.,/.,P
-,-,p
qui,qui,52
dit,dire,17
cela,cela,52
?,?,p
le,le,71
père,père,21
Maurice,Maurice,20
/!,/!,P
-,-,p
oui,oui,60
",",",",p
votre,votre,73
beau-père,beau-père,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
fort,fort,60
bien,bien,60
:,:,p
mais,mais,82
il,il,51
ne,ne,60
la,le,52
connaît,connaître,17
pas,pas,60
non,non,60
plus,plus,60
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
vous,vous,51
la,le,52
verrez,voir,15
tantôt,tantôt,60
",",",",p
vous,vous,51
ferez,faire,15
grande,grand,30
attention,attention,22
",",",",p
et,et,82
il,il,51
faut,falloir,17
espérer,espérer,14
que,que,83
vous,vous,51
ne,ne,60
vous,vous,51
tromperez,tromper,15
pas,pas,60
",",",",p
Germain,Germain,20
/.,/.,P
-,-,p
tiens,tenir,17
",",",",p
petite,petit,30
Marie,Marie,20
",",",",p
je,je,51
serais,être,16
bien,bien,60
aise,aise,22
que,que,83
tu,tu,51
entres,entrer,17
un,un,71
peu,peu,60
dans,dans,81
la,le,71
maison,maison,22
",",",",p
avant,avant,81
de,de,81
t',tu,51
en,en,52
aller,aller,14
tout,tout,60
droit,droit,60
aux,à,81
aux,le,71
Ormeaux,Ormeaux,20
:,:,p
tu,tu,51
es,être,17
fine,fin,30
",",",",p
toi,toi,51
",",",",p
tu,tu,51
as,avoir,17
toujours,toujours,60
montré,montrer,12
de,de,81
l',le,71
esprit,esprit,21
",",",",p
et,et,82
tu,tu,51
fais,faire,17
attention,attention,22
à,à,81
tout,tout,52
/.,/.,P
si,si,83
tu,tu,51
vois,voir,17
quelque,quelque,75
chose,chose,22
qui,qui,52
te,tu,51
donne,donner,17
à,à,81
penser,penser,14
",",",",p
tu,tu,51
m',je,51
en,en,52
avertiras,avertir,15
tout,tout,60
doucement,doucement,60
/.,/.,P
-,-,p
ôh,oh,93
!,!,p
non,non,60
",",",",p
Germain,Germain,20
",",",",p
je,je,51
ne,ne,60
ferai,faire,15
pas,pas,60
cela,cela,52
!,!,p
je,je,51
craindrais,craindre,16
trop,trop,60
de,de,81
me,je,51
tromper,tromper,14
;,;,p
et,et,82
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
si,si,83
une,un,71
parole,parole,22
dite,dit,31
à,à,81
la,le,71
légère,léger,30
venait,venir,18
à,à,81
vous,vous,51
dégoûter,dégoûter,14
de,de,81
ce,ce,74
mariage,mariage,21
",",",",p
vos,votre,73
parents,parent,21
m',je,51
en,en,52
voudraient,vouloir,16
",",",",p
et,et,82
j',je,51
ai,avoir,17
bien,bien,60
assez,assez,60
de,de,81
chagrins,chagrin,21
comme,comme,83
ça,ça,52
",",",",p
sans,sans,81
en,en,52
attirer,attirer,14
d',de,81
autres,autre,52
sur,sur,81
ma,mon,73
pauvre,pauvre,30
chère,cher,30
femme,femme,22
de,de,81
mère,mère,22
/.,/.,P
comme,comme,83
ils,ils,51
devisaient,deviser,18
ainsi,ainsi,60
",",",",p
la,le,71
Grise,Grise,20
fit,faire,19
un,un,71
écart,écart,21
en,en,81
dressant,dresser,13
les,le,71
oreilles,oreille,22
",",",",p
puis,puis,60
revint,revenir,19
sur,sur,81
ses,son,73
pas,pas,21
et,et,82
se,se,51
rapprocha,rapprocher,19
du,de,81
du,le,71
buisson,buisson,21
",",",",p
où,où,60
quelque,quelque,75
chose,chose,22
qu',que,52
elle,il,51
commençait,commencer,18
à,à,81
reconnaître,reconnaître,14
l',le,52
avait,avoir,18
d'abord,d'abord,60
effrayée,effrayer,12
/.,/.,P
Germain,Germain,20
jeta,jeter,19
un,un,71
regard,regard,21
sur,sur,81
le,le,71
buisson,buisson,21
",",",",p
et,et,82
vit,voir,19
dans,dans,81
le,le,71
fossé,fossé,21
",",",",p
sous,sous,81
les,le,71
branches,branche,22
épaisses,épais,30
et,et,82
encore,encore,60
fraîches,frais,30
d',de,81
un,un,71
têteau,têteau,21
de,de,81
chêne,chêne,21
",",",",p
quelque,quelque,75
chose,chose,22
qu',que,52
il,il,51
prit,prendre,19
pour,pour,81
un,un,71
agneau,agneau,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
une,un,71
bête,bête,22
égarée,égaré,31
",",",",p
dit,dire,19
il,il,51
",",",",p
ou,ou,82
morte,mort,31
",",",",p
car,car,82
elle,il,51
ne,ne,60
bouge,bouger,17
/.,/.,P
peut-être,peut-être,60
que,que,83
quelqu'un,quelqu'un,52
la,le,52
cherche,chercher,17
;,;,p
il,il,51
faut,falloir,17
voir,voir,14
/!,/!,P
-,-,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
une,un,71
bête,bête,22
",",",",p
s',se,51
écria,écrier,19
la,le,71
petite,petit,30
Marie,Marie,20
:,:,p
c',ce,52
est,être,17
un,un,71
enfant,enfant,21
qui,qui,52
dort,dormir,17
;,;,p
c',ce,52
est,être,17
votre,votre,73
petit,petit,30
Pierre,Pierre,20
/.,/.,P
-,-,p
par,par,81
exemple,exemple,21
!,!,p
dit,dire,19
Germain,Germain,20
en,en,81
descendant,descendre,13
de,de,81
cheval,cheval,21
:,:,p
voyez,voir,17
ce,ce,74
petit,petit,30
garnement,garnement,21
qui,qui,52
dort,dormir,17
là,là,60
",",",",p
si,si,83
loin,loin,60
de,de,81
la,le,71
maison,maison,22
",",",",p
et,et,82
dans,dans,81
un,un,71
fossé,fossé,21
où,où,60
quelque,quelque,75
serpent,serpent,21
pourrait,pouvoir,16
bien,bien,60
le,le,52
trouver,trouver,14
/!,/!,P
il,il,51
prit,prendre,19
dans,dans,81
ses,son,73
bras,bras,21
l',le,71
enfant,enfant,21
qui,qui,52
lui,lui,51
sourit,sourire,19
en,en,81
ouvrant,ouvrir,13
les,le,71
yeux,oeil,21
et,et,82
jeta,jeter,19
ses,son,73
bras,bras,21
autour,autour,60
de,de,81
son,son,73
cou,cou,21
en,en,81
lui,lui,51
disant,dire,13
:,:,p
mon,mon,73
petit,petit,30
père,père,21
",",",",p
tu,tu,51
vas,aller,17
m',je,51
emmener,emmener,14
avec,avec,81
toi,toi,51
/!,/!,P
-,-,p
ah,ah,93
oui,oui,60
!,!,p
toujours,toujours,60
la,le,71
même,même,75
chanson,chanson,22
/!,/!,P
que,que,52
faisiez,faire,18
vous,vous,51
là,là,60
",",",",p
mauvais,mauvais,30
Pierre,Pierre,20
/?,/?,P
-,-,p
j',je,51
attendais,attendre,18
mon,mon,73
petit,petit,30
père,père,21
à,à,81
passer,passer,14
",",",",p
dit,dire,19
l',le,71
enfant,enfant,21
;,;,p
je,je,51
regardais,regarder,18
sur,sur,81
le,le,71
chemin,chemin,21
",",",",p
et,et,82
à,à,81
force,force,22
de,de,81
regarder,regarder,14
",",",",p
je,je,51
me,je,51
suis,être,17
endormi,endormir,12
/.,/.,P
-,-,p
et,et,82
si,si,83
j',je,51
étais,être,18
passé,passer,12
sans,sans,81
te,tu,51
voir,voir,14
",",",",p
tu,tu,51
serais,être,16
resté,rester,12
toute,tout,75
la,le,71
nuit,nuit,22
dehors,dehors,60
",",",",p
et,et,82
le,le,71
loup,loup,21
t',tu,51
aurait,avoir,16
mangé,manger,12
/!,/!,P
-,-,p
ôh,oh,93
!,!,p
je,je,51
savais,savoir,18
bien,bien,60
que,que,83
tu,tu,51
me,je,51
verrais,voir,16
!,!,p
répondit,répondre,19
Petit-Pierre,Petit Pierre,20
avec,avec,81
confiance,confiance,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
à,à,81
présent,présent,21
",",",",p
mon,mon,73
Pierre,Pierre,20
",",",",p
embrasse,embrasser,17
moi,moi,51
",",",",p
dis,dire,17
moi,moi,51
adieu,adieu,21
",",",",p
et,et,82
retourne,retourner,17
vite,vite,60
à,à,81
la,le,71
maison,maison,22
",",",",p
si,si,83
tu,tu,51
ne,ne,60
veux,vouloir,17
pas,pas,60
qu',que,83
on,on,51
soupe,souper,17
sans,sans,81
toi,toi,51
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
veux,vouloir,17
donc,donc,82
pas,pas,60
m',je,51
emmener,emmener,14
!,!,p
s',se,51
écria,écrier,19
le,le,71
petit,petit,21
en,en,81
commençant,commencer,13
à,à,81
frotter,frotter,14
ses,son,73
yeux,oeil,21
pour,pour,81
montrer,montrer,14
qu',que,83
il,il,51
avait,avoir,18
dessein,dessein,21
de,de,81
pleurer,pleurer,14
/.,/.,P
-,-,p
tu,tu,51
sais,savoir,17
bien,bien,60
que,que,83
grand-père,grand-père,21
et,et,82
grand-mère,grand-mère,22
ne,ne,60
le,le,52
veulent,vouloir,17
pas,pas,60
",",",",p
dit,dire,19
Germain,Germain,20
",",",",p
se,se,51
retranchant,retrancher,13
derrière,derrière,81
l',le,71
autorité,autorité,22
des,de,81
des,le,71
vieux,vieux,30
parents,parent,21
",",",",p
comme,comme,83
un,un,71
homme,homme,21
qui,qui,52
ne,ne,60
compte,compter,17
guère,guère,60
sur,sur,81
la,le,71
sienne,sien,52
propre,propre,30
/.,/.,P
mais,mais,82
l',le,71
enfant,enfant,21
n',ne,60
entendit,entendre,19
rien,rien,52
/.,/.,P
il,il,51
se,se,51
prit,prendre,19
à,à,81
pleurer,pleurer,14
tout,tout,60
de,de,81
bon,bon,21
",",",",p
disant,dire,13
que,que,83
",",",",p
puisque,puisque,83
son,son,73
père,père,21
emmenait,emmener,18
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
il,il,51
pouvait,pouvoir,18
bien,bien,60
l',le,52
emmener,emmener,14
aussi,aussi,60
/.,/.,P
on,on,51
lui,lui,51
objecta,objecter,19
qu',que,83
il,il,51
fallait,falloir,18
passer,passer,14
les,le,71
grands,grand,30
bois,bois,21
",",",",p
qu',que,83
il,il,51
y,y,52
avait,avoir,18
là,là,60
beaucoup,beaucoup,60
de,de,81
méchantes,méchant,30
bêtes,bête,22
qui,qui,52
mangeaient,manger,18
les,le,71
petits,petit,30
enfants,enfant,21
",",",",p
que,que,83
la,le,71
Grise,Grise,20
ne,ne,60
voulait,vouloir,18
pas,pas,60
porter,porter,14
trois,trois,72
personnes,personne,22
",",",",p
qu',que,83
elle,il,51
l',le,52
avait,avoir,18
déclaré,déclarer,12
en,en,81
partant,partir,13
",",",",p
et,et,82
que,que,83
dans,dans,81
le,le,71
pays,pays,21
où,où,60
l',l',94
on,on,51
se,se,51
rendait,rendre,18
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
ni,ni,82
lit,lit,21
ni,ni,82
souper,souper,21
pour,pour,81
les,le,71
marmots,marmot,21
/.,/.,P
toutes,tout,75
ces,ce,74
excellentes,excellent,30
raisons,raison,22
ne,ne,60
persuadèrent,persuader,19
point,point,60
Petit-Pierre,Petit Pierre,20
;,;,p
il,il,51
se,se,51
jeta,jeter,19
sur,sur,81
l',le,71
herbe,herbe,22
",",",",p
et,et,82
s',se,51
y,y,52
roula,rouler,19
",",",",p
en,en,81
criant,crier,13
que,que,83
son,son,73
petit,petit,30
père,père,21
ne,ne,60
l',le,52
aimait,aimer,18
plus,plus,60
",",",",p
et,et,82
que,que,83
s',si,83
il,il,51
ne,ne,60
l',le,52
emmenait,emmener,18
pas,pas,60
",",",",p
il,il,51
ne,ne,60
rentrerait,rentrer,16
point,point,60
du,de,81
du,le,71
jour,jour,21
ni,ni,82
de,de,81
la,le,71
nuit,nuit,22
à,à,81
la,le,71
maison,maison,22
/.,/.,P
Germain,Germain,20
avait,avoir,18
un,un,71
coeur,coeur,21
de,de,81
père,père,21
aussi,aussi,60
tendre,tendre,30
et,et,82
aussi,aussi,60
faible,faible,30
que,que,83
celui,celui,52
d',de,81
une,un,71
femme,femme,22
/.,/.,P
la,le,71
mort,mort,22
de,de,81
la,le,71
sienne,sien,52
",",",",p
les,le,71
soins,soin,21
qu',que,52
il,il,51
avait,avoir,18
été,être,12
forcé,forcer,12
de,de,81
rendre,rendre,14
seul,seul,30
à,à,81
ses,son,73
petits,petit,21
",",",",p
aussi,aussi,60
la,le,71
pensée,pensée,22
que,que,52
ces,ce,74
pauvres,pauvre,30
enfants,enfant,21
sans,sans,81
mère,mère,22
avaient,avoir,18
besoin,besoin,21
d',de,81
être,être,14
beaucoup,beaucoup,60
aimés,aimer,12
",",",",p
avaient,avoir,18
contribué,contribuer,12
à,à,81
le,le,52
rendre,rendre,14
ainsi,ainsi,60
",",",",p
et,et,82
il,il,51
se,se,51
fit,faire,19
en,en,81
lui,lui,51
un,un,71
si,si,60
rude,rude,30
combat,combat,21
",",",",p
d'autant,d'autant,60
plus,plus,60
qu',que,83
il,il,51
rougissait,rougir,18
de,de,81
sa,son,73
faiblesse,faiblesse,22
et,et,82
s',se,51
efforçait,efforcer,18
de,de,81
cacher,cacher,14
son,son,73
malaise,malaise,21
à,à,81
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
que,que,83
la,le,71
sueur,sueur,22
lui,lui,51
en,en,52
vint,venir,19
au,à,81
au,le,71
front,front,21
et,et,82
que,que,83
ses,son,73
yeux,oeil,21
se,se,51
bordèrent,border,19
de,de,81
rouge,rouge,21
",",",",p
prêts,prêt,30
à,à,81
pleurer,pleurer,14
aussi,aussi,60
/.,/.,P
enfin,enfin,60
il,il,51
essaya,essayer,19
de,de,81
se,se,51
mettre,mettre,14
en,en,81
colère,colère,22
;,;,p
mais,mais,82
",",",",p
en,en,81
se,se,51
retournant,retourner,13
vers,vers,81
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
comme,comme,83
pour,pour,81
la,le,52
prendre,prendre,14
à,à,81
témoin,témoin,21
de,de,81
sa,son,73
fermeté,fermeté,22
d',de,81
âme,âme,22
",",",",p
il,il,51
vit,voir,19
que,que,83
le,le,71
visage,visage,21
de,de,81
cette,ce,74
bonne,bon,30
fille,fille,22
était,être,18
baigné,baigner,12
de,de,81
larmes,larme,22
",",",",p
et,et,82
tout,tout,75
son,son,73
courage,courage,21
l',le,52
abandonnant,abandonner,13
",",",",p
il,il,51
lui,lui,51
fut,être,19
impossible,impossible,30
de,de,81
retenir,retenir,14
les,le,71
siennes,sien,52
",",",",p
bien,bien,60
qu',que,83
il,il,51
grondât,gronder,18
et,et,82
menaçât,menacer,18
encore,encore,60
/.,/.,P
-,-,p
vrai,vrai,60
",",",",p
vous,vous,51
avez,avoir,17
le,le,71
coeur,coeur,21
trop,trop,60
dur,dur,30
",",",",p
lui,lui,51
dit,dire,19
enfin,enfin,60
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
et,et,82
",",",",p
pour,pour,81
ma,mon,73
part,part,22
",",",",p
je,je,51
ne,ne,60
pourrai,pouvoir,15
jamais,jamais,60
résister,résister,14
comme,comme,83
cela,cela,52
à,à,81
un,un,71
enfant,enfant,21
qui,qui,52
a,avoir,17
un,un,71
si,si,60
gros,gros,30
chagrin,chagrin,21
/.,/.,P
voyons,voir,17
",",",",p
Germain,Germain,20
",",",",p
emmenez,emmener,17
le,le,52
/.,/.,P
votre,votre,73
jument,jument,22
est,être,17
bien,bien,60
habituée,habituer,12
à,à,81
porter,porter,14
deux,deux,72
personnes,personne,22
et,et,82
un,un,71
enfant,enfant,21
",",",",p
à,à,81
preuve,preuve,22
que,que,83
votre,votre,73
beau-frère,beau-frère,21
et,et,82
sa,son,73
femme,femme,22
",",",",p
qui,qui,52
est,être,17
plus,plus,60
lourde,lourd,30
que,que,83
moi,moi,51
de,de,81
beaucoup,beaucoup,60
",",",",p
vont,aller,17
au,à,81
au,le,71
marché,marché,21
le,le,71
samedi,samedi,21
avec,avec,81
leur,leur,73
garçon,garçon,21
",",",",p
sur,sur,81
le,le,71
dos,dos,21
de,de,81
cette,ce,74
bonne,bon,30
bête,bête,22
/.,/.,P
vous,vous,51
le,le,52
mettrez,mettre,15
à,à,81
cheval,cheval,21
devant,devant,81
vous,vous,51
",",",",p
et,et,82
d',de,81
ailleurs,ailleurs,60
j',je,51
aime,aimer,17
mieux,mieux,60
m',je,51
en,en,52
aller,aller,14
toute,tout,60
seule,seul,30
à,à,81
pied,pied,21
que,que,83
de,de,81
faire,faire,14
de,de,81
la,le,71
peine,peine,22
à,à,81
ce,ce,74
petit,petit,21
/.,/.,P
-,-,p
qu',que,52
à,à,81
cela,cela,52
ne,ne,60
tienne,tenir,17
",",",",p
répondit,répondre,19
Germain,Germain,20
",",",",p
qui,qui,52
mourait,mourir,18
d',de,81
envie,envie,22
de,de,81
se,se,51
laisser,laisser,14
convaincre,convaincre,14
/.,/.,P
la,le,71
Grise,Grise,20
est,être,17
forte,fort,30
et,et,82
en,en,52
porterait,porter,16
deux,deux,72
de,de,81
plus,plus,60
",",",",p
s',si,83
il,il,51
y,y,52
avait,avoir,18
place,place,22
sur,sur,81
son,son,73
échine,échine,22
/.,/.,P
mais,mais,82
que,que,52
ferons,faire,15
nous,nous,51
de,de,81
cet,ce,74
enfant,enfant,21
en,en,81
route,route,22
?,?,p
il,il,51
aura,avoir,15
froid,froid,21
",",",",p
il,il,51
aura,avoir,15
faim,faim,22
...,...,p
et,et,82
qui,qui,52
prendra,prendre,15
soin,soin,21
de,de,81
lui,lui,51
ce,ce,74
soir,soir,21
et,et,82
demain,demain,60
pour,pour,81
le,le,52
coucher,coucher,14
",",",",p
le,le,52
laver,laver,14
et,et,82
le,le,52
rhabiller,rhabiller,14
/?,/?,P
je,je,51
n',ne,60
ose,oser,17
pas,pas,60
donner,donner,14
cet,ce,74
ennui,ennui,21
là,là,60
à,à,81
une,un,71
femme,femme,22
que,que,52
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
",",",",p
et,et,82
qui,qui,52
trouvera,trouver,15
",",",",p
sans,sans,81
doute,doute,21
",",",",p
que,que,83
je,je,51
suis,être,17
bien,bien,60
sans,sans,81
façons,façon,22
avec,avec,81
elle,il,51
pour,pour,81
commencer,commencer,14
/.,/.,P
-,-,p
d',de,81
après,après,81
l',le,71
amitié,amitié,22
ou,ou,82
l',le,71
ennui,ennui,21
qu',que,52
elle,il,51
montrera,montrer,15
",",",",p
vous,vous,51
la,le,52
connaîtrez,connaître,15
tout,tout,60
de,de,81
suite,suite,22
",",",",p
Germain,Germain,20
",",",",p
croyez,croire,17
moi,moi,51
;,;,p
et,et,82
d',de,81
ailleurs,ailleurs,60
",",",",p
si,si,83
elle,il,51
rebute,rebuter,17
votre,votre,73
Pierre,Pierre,20
",",",",p
moi,moi,51
je,je,51
m',je,51
en,en,52
charge,charger,17
/.,/.,P
j',je,51
irai,aller,15
chez,chez,81
elle,il,51
l',le,52
habiller,habiller,14
et,et,82
je,je,51
l',le,52
