11987
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-troisième extrait>,<>,<>
que,que,83
nous,nous,51
gaspillons,gaspiller,17
pour,pour,81
nos,notre,73
plaisirs,plaisir,21
",",",",p
toute,tout,75
l',le,71
ardeur,ardeur,22
et,et,82
toute,tout,75
la,le,71
puissance,puissance,22
que,que,52
nous,nous,51
prend,prendre,17
l',le,71
amour,amour,21
",",",",p
l',le,71
amour,amour,21
divin,divin,30
",",",",p
ils,ils,51
les,le,52
emploient,employer,17
à,à,81
chercher,chercher,14
de,de,81
l',le,71
or,or,21
",",",",p
à,à,81
songer,songer,14
à,à,81
l',le,71
or,or,21
",",",",p
à,à,81
amasser,amasser,14
de,de,81
l',le,71
or,or,21
/!,/!,P
l',le,71
homme,homme,21
",",",",p
l',le,71
homme,homme,21
intelligent,intelligent,30
",",",",p
vit,voir,19
pour,pour,81
toutes,tout,75
les,le,71
grandes,grand,30
tendresses,tendresse,22
désintéressées,désintéressé,31
",",",",p
les,le,71
arts,art,21
",",",",p
l',le,71
amour,amour,21
",",",",p
la,le,71
science,science,22
",",",",p
les,le,71
voyages,voyage,21
",",",",p
les,le,71
livres,livre,21
;,;,p
et,et,82
s',si,83
il,il,51
cherche,chercher,17
l',le,71
argent,argent,21
",",",",p
c',ce,52
est,être,17
parce que,parce que,83
cela,cela,52
facilite,faciliter,17
les,le,71
joies,joie,22
réelles,réel,30
de,de,81
l',le,71
esprit,esprit,21
et,et,82
même,même,60
le,le,71
bonheur,bonheur,21
du,de,81
du,le,71
coeur,coeur,21
/!,/!,P
mais,mais,82
eux,ils,51
",",",",p
ils,ils,51
n',ne,60
ont,avoir,17
rien,rien,52
dans,dans,81
l',le,71
esprit,esprit,21
et,et,82
dans,dans,81
le,le,71
coeur,coeur,21
que,que,83
ce,ce,74
goût,goût,21
ignoble,ignoble,30
du,de,81
du,le,71
trafic,trafic,21
/!,/!,P
ils,ils,51
ressemblent,ressembler,17
aux,à,81
aux,le,71
hommes,homme,21
de,de,81
valeur,valeur,22
",",",",p
ces,ce,74
écumeurs,écumeur,21
de,de,81
la,le,71
vie,vie,22
",",",",p
comme,comme,83
le,le,71
marchand,marchand,21
de,de,81
tableaux,tableau,21
ressemble,ressembler,17
au,à,81
au,le,71
peintre,peintre,21
",",",",p
comme,comme,83
l',le,71
éditeur,éditeur,21
ressemble,ressembler,17
à,à,81
l',le,71
écrivain,écrivain,21
",",",",p
comme,comme,83
le,le,71
directeur,directeur,21
de,de,81
théâtre,théâtre,21
ressemble,ressembler,17
au,à,81
au,le,71
poète,poète,21
/.,/.,P
“,“,p
il,il,51
se,se,51
tut,taire,19
soudain,soudain,60
",",",",p
comprenant,comprendre,13
qu',que,83
il,il,51
se,se,51
laissait,laisser,18
emporter,emporter,14
",",",",p
et,et,82
il,il,51
reprit,reprendre,19
d',de,81
une,un,71
voix,voix,22
plus,plus,60
calme,calme,30
:,:,p
“,“,p
je,je,51
ne,ne,60
dis,dire,17
point,point,60
cela,cela,52
pour,pour,81
Andermatt,Andermatt,20
",",",",p
que,que,83
je,je,51
trouve,trouver,17
un,un,71
charmant,charmant,30
homme,homme,21
/.,/.,P
je,je,51
l',le,52
aime,aimer,17
beaucoup,beaucoup,60
parce qu',parce que,83
il,il,51
est,être,17
cent,cent,72
fois,fois,22
supérieur,supérieur,30
à,à,81
tous,tout,75
les,le,71
autres,autre,52
/…,/…,P
“,“,p
Christiane,Christiane,20
avait,avoir,18
retiré,retirer,12
sa,son,73
main,main,22
/.,/.,P
Paul,Paul,20
",",",",p
de,de,81
nouveau,nouveau,21
",",",",p
cessa,cesser,19
de,de,81
parler,parler,14
/.,/.,P
Gontran,Gontran,20
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
",",",",p
et,et,82
de,de,81
sa,son,73
voix,voix,22
méchante,méchant,30
",",",",p
dont,dont,52
il,il,51
osait,oser,18
tout,tout,52
dire,dire,14
",",",",p
en,en,81
ses,son,73
heures,heure,22
de,de,81
gouaillerie,gouaillerie,22
sincère,sincère,30
:,:,p
“,“,p
en,en,81
tout,tout,75
cas,cas,21
",",",",p
mon,mon,73
cher,cher,30
",",",",p
ces,ce,74
hommes,homme,21
là,là,60
ont,avoir,17
un,un,71
rare,rare,30
mérite,mérite,21
:,:,p
c',ce,52
est,être,17
d',de,81
épouser,épouser,14
nos,notre,73
soeurs,soeur,22
et,et,82
d',de,81
avoir,avoir,14
des,de,81
des,le,71
filles,fille,22
riches,riche,30
qui,qui,52
deviennent,devenir,17
nos,notre,73
femmes,femme,22
/.,/.,P
“,“,p
le,le,71
marquis,marquis,21
",",",",p
blessé,blessé,21
",",",",p
se,se,51
leva,lever,19
:,:,p
“,“,p
oh,oh,93
/!,/!,P
Gontran,Gontran,20
/!,/!,P
tu,tu,51
es,être,17
parfois,parfois,60
révoltant,révoltant,30
/.,/.,P
“,“,p
Paul,Paul,20
alors,alors,60
",",",",p
se,se,51
tournant,tourner,13
vers,vers,81
Christiane,Christiane,20
",",",",p
murmura,murmurer,19
:,:,p
“,“,p
sauraient,savoir,16
ils,ils,51
mourir,mourir,14
pour,pour,81
une,un,71
femme,femme,22
ou,ou,82
même,même,60
lui,lui,51
donner,donner,14
toute,tout,75
leur,leur,73
fortune,fortune,22
-,-,p
toute,tout,52
-,-,p
sans,sans,81
rien,rien,52
garder,garder,14
/?,/?,P
cela,cela,52
disait,dire,18
si,si,60
clairement,clairement,60
:,:,p
“,“,p
tout,tout,52
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
est,être,17
à,à,81
vous,vous,51
",",",",p
jusqu',jusque,81
à,à,81
ma,mon,73
vie,vie,22
“,“,p
",",",",p
qu',que,52
elle,il,51
fut,être,19
émue,émouvoir,12
",",",",p
et,et,82
elle,il,51
eut,avoir,19
cette,ce,74
ruse,ruse,22
pour,pour,81
lui,lui,51
prendre,prendre,14
les,le,71
mains,main,22
:,:,p
“,“,p
levez,lever,17
vous,vous,51
et,et,82
relevez,relever,17
moi,moi,51
;,;,p
je,je,51
suis,être,17
engourdie,engourdir,12
à,à,81
ne,ne,60
plus,plus,60
remuer,remuer,14
/.,/.,P
“,“,p
il,il,51
se,se,51
dressa,dresser,19
",",",",p
la,le,52
saisit,saisir,19
par,par,81
les,le,71
poignets,poignet,21
et,et,82
l',le,71
attirant,attirant,30
",",",",p
la,le,52
mit,mettre,19
debout,debout,60
",",",",p
sur,sur,81
le,le,71
bord,bord,21
de,de,81
la,le,71
route,route,22
",",",",p
tout,tout,60
contre,contre,81
lui,lui,51
/.,/.,P
elle,il,51
vit,voir,19
sa,son,73
bouche,bouche,22
balbutier,balbutier,14
:,:,p
“,“,p
je,je,51
vous,vous,51
aime,aimer,17
“,“,p
et,et,82
elle,il,51
se,se,51
détourna,détourner,19
vite,vite,60
pour,pour,81
ne,ne,60
pas,pas,60
lui,lui,51
répondre,répondre,14
aussi,aussi,60
ces,ce,74
trois,trois,72
mots,mot,21
qui,qui,52
lui,lui,51
montaient,monter,18
aux,à,81
aux,le,71
lèvres,lèvre,22
malgré,malgré,81
elle,il,51
dans,dans,81
un,un,71
élan,élan,21
qui,qui,52
la,le,52
jetait,jeter,18
vers,vers,81
lui,lui,51
/.,/.,P
ils,ils,51
retournèrent,retourner,19
vers,vers,81
l',le,71
hôtel,hôtel,21
/.,/.,P
l',le,71
heure,heure,22
du,de,81
du,le,71
bain,bain,21
était,être,18
passée,passer,12
/.,/.,P
on,on,51
attendit,attendre,19
celle,celui,52
du,de,81
du,le,71
déjeuner,déjeuner,21
/.,/.,P
elle,il,51
sonna,sonner,19
",",",",p
mais,mais,82
Andermatt,Andermatt,20
ne,ne,60
revenait,revenir,18
point,point,60
/.,/.,P
après,après,81
un,un,71
nouveau,nouveau,30
tour,tour,21
dans,dans,81
le,le,71
parc,parc,21
on,on,51
résolut,résoudre,19
donc,donc,82
de,de,81
se,se,51
mettre,mettre,14
à,à,81
table,table,22
/.,/.,P
le,le,71
repas,repas,21
",",",",p
bien,bien,60
que,que,83
long,long,30
",",",",p
se,se,51
termina,terminer,19
sans,sans,81
que,que,83
le,le,71
banquier,banquier,21
parût,paraître,18
/.,/.,P
on,on,51
redescendit,redescendre,19
pour,pour,81
s',se,51
asseoir,asseoir,14
sous,sous,81
les,le,71
arbres,arbre,21
/.,/.,P
et,et,82
les,le,71
heures,heure,22
",",",",p
l',le,71
une,un,52
après,après,81
l',le,71
autre,autre,52
",",",",p
s',se,51
en,en,52
allaient,aller,18
",",",",p
le,le,71
soleil,soleil,21
glissait,glisser,18
sur,sur,81
les,le,71
feuillages,feuillage,21
",",",",p
s',se,51
inclinant,incliner,13
vers,vers,81
les,le,71
monts,mont,21
",",",",p
le,le,71
jour,jour,21
s',se,51
écoulait,écouler,18
",",",",p
Will,Will,20
ne,ne,60
se,se,51
montrait,montrer,18
point,point,60
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
on,on,51
l',le,52
aperçut,apercevoir,19
/.,/.,P
il,il,51
marchait,marcher,18
vite,vite,60
",",",",p
le,le,71
chapeau,chapeau,21
à,à,81
la,le,71
main,main,22
",",",",p
en,en,81
s',se,51
épongeant,éponger,13
le,le,71
front,front,21
",",",",p
la,le,71
cravate,cravate,22
de,de,81
côté,côté,21
",",",",p
le,le,71
gilet,gilet,21
entr'ouvert,entr'ouvert,31
",",",",p
comme,comme,83
après,après,81
un,un,71
voyage,voyage,21
",",",",p
après,après,81
une,un,71
lutte,lutte,22
",",",",p
après,après,81
un,un,71
effort,effort,21
terrible,terrible,30
et,et,82
prolongé,prolongé,31
/.,/.,P
dès,dès,81
qu',que,83
il,il,51
vit,voir,19
son,son,73
beau-père,beau-père,21
",",",",p
il,il,51
s',se,51
écria,écrier,19
:,:,p
“,“,p
Victoire,Victoire,20
!,!,p
c',ce,52
est,être,17
fait,faire,12
!,!,p
mais,mais,82
quelle,quel,75
journée,journée,22
",",",",p
mes,mon,73
amis,ami,21
/!,/!,P
ah,ah,93
!,!,p
le,le,71
vieux,vieux,30
renard,renard,21
",",",",p
m',je,51
en,en,52
a,avoir,17
t,t,94
il,il,51
donné,donner,12
du,de,81
du,le,71
mal,mal,21
/!,/!,P
et,et,82
tout,tout,60
de,de,81
suite,suite,22
il,il,51
expliqua,expliquer,19
ses,son,73
démarches,démarche,22
et,et,82
ses,son,73
peines,peine,22
/.,/.,P
le,le,71
père,père,21
Oriol,Oriol,20
s',se,51
était,être,18
d'abord,d'abord,60
montré,montrer,12
tellement,tellement,60
déraisonnable,déraisonnable,30
qu',que,83
Andermatt,Andermatt,20
",",",",p
rompant,rompre,13
les,le,71
négociations,négociation,22
",",",",p
était,être,18
parti,partir,12
/.,/.,P
puis,puis,60
on,on,51
l',le,52
avait,avoir,18
rappelé,rappeler,12
/.,/.,P
le,le,71
paysan,paysan,21
prétendait,prétendre,18
ne,ne,60
pas,pas,60
vendre,vendre,14
ses,son,73
terres,terre,22
",",",",p
mais,mais,82
les,le,52
apporter,apporter,14
à,à,81
la,le,71
société,société,22
",",",",p
avec,avec,81
le,le,71
droit,droit,21
de,de,81
les,le,52
reprendre,reprendre,14
en,en,81
cas,cas,21
d',de,81
insuccès,insuccès,21
/.,/.,P
il,il,51
exigeait,exiger,18
",",",",p
en,en,81
cas,cas,21
de,de,81
succès,succès,21
",",",",p
la,le,71
moitié,moitié,22
des,de,81
des,le,71
bénéfices,bénéfice,21
/.,/.,P
le,le,71
banquier,banquier,21
avait,avoir,18
dû,devoir,12
lui,lui,51
démontrer,démontrer,14
avec,avec,81
des,de,81
des,le,71
chiffres,chiffre,21
sur,sur,81
du,de,81
du,le,71
papier,papier,21
",",",",p
et,et,82
des,de,81
des,le,71
dessins,dessin,21
pour,pour,81
simuler,simuler,14
les,le,71
pièces,pièce,22
de,de,81
terre,terre,22
",",",",p
que,que,83
l',le,71
ensemble,ensemble,21
des,de,81
des,le,71
champs,champ,21
ne,ne,60
valait,valoir,18
pas,pas,60
plus,plus,60
de,de,81
quatre,quatre,72
vingt,vingt,72
mille,mille,72
francs,franc,21
à,à,81
l',le,71
heure,heure,22
actuelle,actuel,30
",",",",p
tandis que,tandis que,83
les,le,71
dépenses,dépense,22
de,de,81
la,le,71
société,société,22
s',se,51
élèveraient,élever,16
",",",",p
d',de,81
un,un,71
seul,seul,30
coup,coup,21
",",",",p
à,à,81
un,un,71
million,million,21
/.,/.,P
mais,mais,82
l',le,71
Auvergnat,Auvergnat,20
avait,avoir,18
répliqué,répliquer,12
qu',que,83
il,il,51
entendait,entendre,18
bénéficier,bénéficier,14
de,de,81
la,le,71
plus-value,plus-value,22
énorme,énorme,30
donnée,donné,31
à,à,81
des,de,81
des,le,71
biens,bien,21
par,par,81
la,le,71
création,création,22
même,même,30
de,de,81
l',le,71
établissement,établissement,21
et,et,82
des,de,81
des,le,71
hôtels,hôtel,21
",",",",p
et,et,82
toucher,toucher,14
les,le,71
intérêts,intérêt,21
sur,sur,81
le,le,71
pied,pied,21
de,de,81
la,le,71
valeur,valeur,22
acquise,acquis,31
et,et,82
non,non,60
de,de,81
la,le,71
valeur,valeur,22
passée,passé,31
/.,/.,P
Andermatt,Andermatt,20
avait,avoir,18
dû,devoir,12
lui,lui,51
représenter,représenter,14
alors,alors,60
que,que,83
les,le,71
risques,risque,21
doivent,devoir,17
être,être,14
proportionnels,proportionnel,30
aux,à,81
aux,le,71
gains,gain,21
possibles,possible,30
",",",",p
et,et,82
le,le,52
terroriser,terroriser,14
par,par,81
la,le,71
peur,peur,22
de,de,81
la,le,71
perte,perte,22
/.,/.,P
on,on,51
s',se,51
était,être,18
donc,donc,82
arrêté,arrêter,12
à,à,81
ceci,ceci,52
/.,/.,P
le,le,71
père,père,21
Oriol,Oriol,20
apportait,apporter,18
à,à,81
la,le,71
société,société,22
tous,tout,75
les,le,71
terrains,terrain,21
s',se,51
étendant,étendre,13
aux,à,81
aux,le,71
bords,bord,21
du,de,81
du,le,71
ruisseau,ruisseau,21
",",",",p
c'est-à-dire,c'est-à-dire,91
tous,tout,75
ceux,celui,52
où,où,60
il,il,51
paraissait,paraître,18
possible,possible,30
de,de,81
trouver,trouver,14
de,de,81
l',le,71
eau,eau,22
minérale,minéral,30
",",",",p
plus,plus,60
le,le,71
sommet,sommet,21
de,de,81
la,le,71
butte,butte,22
pour,pour,81
y,y,52
créer,créer,14
un,un,71
casino,casino,21
et,et,82
un,un,71
hôtel,hôtel,21
",",",",p
et,et,82
quelques,quelque,75
vignes,vigne,22
en,en,81
pente,pente,22
qui,qui,52
devaient,devoir,18
être,être,14
divisées,diviser,12
par,par,81
lots,lot,21
et,et,82
offertes,offert,31
aux,à,81
aux,le,71
principaux,principal,30
médecins,médecin,21
de,de,81
Paris,Paris,20
/.,/.,P
le,le,71
paysan,paysan,21
",",",",p
pour,pour,81
cet,ce,74
apport,apport,21
",",",",p
évalué,évalué,31
à,à,81
deux,deux,72
cent,cent,72
cinquante,cinquante,72
mille,mille,72
francs,franc,21
",",",",p
c'est-à-dire,c'est-à-dire,91
à,à,81
quatre,quatre,72
fois,fois,22
sa,son,73
valeur,valeur,22
environ,environ,60
",",",",p
participerait,participer,16
pour,pour,81
un,un,71
quart,quart,21
aux,à,81
aux,le,71
bénéfices,bénéfice,21
de,de,81
la,le,71
société,société,22
/.,/.,P
comme,comme,83
il,il,51
gardait,garder,18
dix,dix,72
fois,fois,22
plus,plus,60
de,de,81
terrain,terrain,21
qu',que,83
il,il,51
n',ne,60
en,en,52
donnait,donner,18
",",",",p
autour,autour,60
du,de,81
du,le,71
futur,futur,30
établissement,établissement,21
",",",",p
il,il,51
était,être,18
sûr,sûr,30
",",",",p
en,en,81
cas,cas,21
de,de,81
succès,succès,21
",",",",p
de,de,81
réaliser,réaliser,14
une,un,71
fortune,fortune,22
en,en,81
vendant,vendre,13
avec,avec,81
discernement,discernement,21
ces,ce,74
terres,terre,22
",",",",p
qui,qui,52
constitueraient,constituer,16
",",",",p
disait,dire,18
il,il,51
",",",",p
la,le,71
dot,dot,22
de,de,81
ses,son,73
filles,fille,22
/.,/.,P
aussitôt,aussitôt,60
ces,ce,74
conditions,condition,22
arrêtées,arrêté,31
Will,Will,20
avait,avoir,18
dû,devoir,12
traîner,traîner,14
le,le,71
père,père,21
et,et,82
le,le,71
fils,fils,21
chez,chez,81
le,le,71
notaire,notaire,21
pour,pour,81
rédiger,rédiger,14
une,un,71
promesse,promesse,22
de,de,81
vente,vente,22
annulable,annulable,30
dans,dans,81
le,le,71
cas,cas,21
où,où,60
on,on,51
ne,ne,60
trouverait,trouver,16
pas,pas,60
l',le,71
eau,eau,22
nécessaire,nécessaire,30
/.,/.,P
et,et,82
la,le,71
rédaction,rédaction,22
des,de,81
des,le,71
articles,article,21
",",",",p
la,le,71
discussion,discussion,22
de,de,81
chaque,chaque,75
point,point,21
",",",",p
la,le,71
répétition,répétition,22
indéfinie,indéfini,30
des,de,81
des,le,71
mêmes,même,75
arguments,argument,21
",",",",p
l',le,71
éternel,éternel,30
recommencement,recommencement,21
des,de,81
des,le,71
mêmes,même,75
raisonnements,raisonnement,21
",",",",p
avaient,avoir,18
duré,durer,12
toute,tout,75
l',le,71
après-midi,après-midi,21
/.,/.,P
enfin,enfin,60
",",",",p
c',ce,52
était,être,18
fini,finir,12
/.,/.,P
le,le,71
banquier,banquier,21
tenait,tenir,18
sa,son,73
station,station,22
/.,/.,P
mais,mais,82
il,il,51
répétait,répéter,18
",",",",p
rongé,rongé,31
par,par,81
un,un,71
regret,regret,21
:,:,p
“,“,p
il,il,51
faudra,falloir,15
me,je,51
borner,borner,14
à,à,81
l',le,71
eau,eau,22
sans,sans,81
songer,songer,14
aux,à,81
aux,le,71
affaires,affaire,22
du,de,81
du,le,71
terrain,terrain,21
/.,/.,P
il,il,51
a,avoir,17
été,être,12
fin,fin,30
",",",",p
le,le,71
vieux,vieux,21
singe,singer,17
/.,/.,P
“,“,p
puis,puis,60
il,il,51
ajouta,ajouter,19
:,:,p
“,“,p
bah,bah,93
",",",",p
je,je,51
rachèterai,racheter,15
l',le,71
ancienne,ancien,30
société,société,22
",",",",p
et,et,82
c',ce,52
est,être,17
là-dessus,là-dessus,60
que,que,83
je,je,51
pourrai,pouvoir,15
spéculer,spéculer,14
!,!,p
/…,/…,P
n',ne,60
importe,importer,17
",",",",p
il,il,51
faut,falloir,17
que,que,83
je,je,51
reparte,repartir,17
ce,ce,74
soir,soir,21
pour,pour,81
Paris,Paris,20
/.,/.,P
“,“,p
le,le,71
marquis,marquis,21
",",",",p
stupéfait,stupéfait,30
",",",",p
s',se,51
écria,écrier,19
:,:,p
“,“,p
comment,comment,60
",",",",p
ce,ce,74
soir,soir,21
/?,/?,P
mais,mais,82
oui,oui,60
",",",",p
mon,mon,73
cher,cher,30
beau-père,beau-père,21
",",",",p
pour,pour,81
préparer,préparer,14
l',le,71
acte,acte,21
définitif,définitif,30
",",",",p
pendant,pendant,81
que,que,83
monsieur,monsieur,21
Aubry-Pasteur,Aubry-Pasteur,20
fera,faire,15
des,de,81
des,le,71
fouilles,fouille,22
/.,/.,P
il,il,51
faut,falloir,17
aussi,aussi,60
que,que,83
je,je,51
m',je,51
arrange,arranger,17
pour,pour,81
commencer,commencer,14
les,le,71
travaux,travail,21
dans,dans,81
quinze,quinze,72
jours,jour,21
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
une,un,71
heure,heure,22
à,à,81
perdre,perdre,14
/.,/.,P
à,à,81
ce,ce,74
propos,propos,21
",",",",p
je,je,51
vous,vous,51
préviens,prévenir,17
que,que,83
vous,vous,51
faites,faire,17
partie,partie,22
de,de,81
mon,mon,73
conseil,conseil,21
d',de,81
administration,administration,22
où,où,60
j',je,51
ai,avoir,17
besoin,besoin,21
d',de,81
une,un,71
forte,fort,30
majorité,majorité,22
/.,/.,P
je,je,51
vous,vous,51
donne,donner,17
dix,dix,72
actions,action,22
/.,/.,P
à,à,81
vous,vous,51
aussi,aussi,60
",",",",p
Gontran,Gontran,20
",",",",p
je,je,51
donne,donner,17
dix,dix,72
actions,action,22
/.,/.,P
“,“,p
Gontran,Gontran,20
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
:,:,p
“,“,p
merci,merci,21
bien,bien,60
",",",",p
mon,mon,73
cher,cher,30
/.,/.,P
je,je,51
vous,vous,51
les,le,52
revends,revendre,17
/.,/.,P
cela,cela,52
fait,faire,17
cinq,cinq,72
mille,mille,72
francs,franc,21
que,que,83
vous,vous,51
me,je,51
devez,devoir,17
/.,/.,P
“,“,p
mais,mais,82
Andermatt,Andermatt,20
ne,ne,60
plaisantait,plaisanter,18
plus,plus,60
devant,devant,81
des,de,81
des,le,71
affaires,affaire,22
aussi,aussi,60
graves,grave,30
/.,/.,P
il,il,51
reprit,reprendre,19
sèchement,sèchement,60
:,:,p
“,“,p
si,si,83
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
sérieux,sérieux,30
",",",",p
je,je,51
m',je,51
adresserai,adresser,15
à,à,81
un,un,71
autre,autre,52
/.,/.,P
“,“,p
Gontran,Gontran,20
cessa,cesser,19
de,de,81
rire,rire,14
:,:,p
“,“,p
non,non,60
",",",",p
non,non,60
",",",",p
mon,mon,73
bon,bon,21
",",",",p
vous,vous,51
savez,savoir,17
que,que,83
je,je,51
vous,vous,51
suis,être,17
tout,tout,60
acquis,acquérir,12
/.,/.,P
“,“,p
le,le,71
banquier,banquier,21
se,se,51
tourna,tourner,19
vers,vers,81
Paul,Paul,20
:,:,p
“,“,p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
",",",",p
voulez,vouloir,17
vous,vous,51
me,je,51
rendre,rendre,14
un,un,71
service,service,21
d',de,81
ami,ami,21
",",",",p
c',ce,52
est,être,17
d',de,81
accepter,accepter,14
aussi,aussi,60
une,un,71
dizaine,dizaine,22
d',de,81
actions,action,22
avec,avec,81
le,le,71
titre,titre,21
d',de,81
administrateur,administrateur,21
/?,/?,P
Paul,Paul,20
",",",",p
s',se,51
inclinant,incliner,13
",",",",p
répondit,répondre,19
:,:,p
“,“,p
vous,vous,51
me,je,51
permettrez,permettre,15
",",",",p
monsieur,monsieur,21
",",",",p
de,de,81
ne,ne,60
pas,pas,60
accepter,accepter,14
cette,ce,74
offre,offre,22
si,si,60
gracieuse,gracieux,30
",",",",p
mais,mais,82
de,de,81
mettre,mettre,14
cent,cent,72
mille,mille,72
francs,franc,21
dans,dans,81
l',le,71
affaire,affaire,22
que,que,83
je,je,51
considère,considérer,17
comme,comme,83
superbe,superbe,22
/.,/.,P
c',ce,52
est,être,17
donc,donc,82
moi,moi,51
qui,qui,52
vous,vous,51
demande,demander,17
une,un,71
faveur,faveur,22
/.,/.,P
“,“,p
William,William,20
",",",",p
ravi,ravi,31
",",",",p
lui,lui,51
saisit,saisir,19
les,le,71
mains,main,22
",",",",p
cette,ce,74
confiance,confiance,22
l',le,52
avait,avoir,18
conquis,conquérir,12
/.,/.,P
il,il,51
éprouvait,éprouver,18
toujours,toujours,60
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
une,un,71
envie,envie,22
irrésistible,irrésistible,30
d',de,81
embrasser,embrasser,14
les,le,71
gens,gens,21
qui,qui,52
lui,lui,51
apportaient,apporter,18
de,de,81
l',le,71
argent,argent,21
pour,pour,81
ses,son,73
entreprises,entreprise,22
/.,/.,P
mais,mais,82
Christiane,Christiane,20
rougissait,rougir,18
jusqu',jusque,81
aux,à,81
aux,le,71
tempes,tempe,22
",",",",p
émue,ému,31
",",",",p
froissée,froissé,31
/.,/.,P
il,il,51
lui,lui,51
semblait,sembler,18
qu',que,83
on,on,51
venait,venir,18
de,de,81
la,le,52
vendre,vendre,14
et,et,82
de,de,81
l',le,52
acheter,acheter,14
/.,/.,P
s',si,83
il,il,51
ne,ne,60
l',le,52
avait,avoir,18
pas,pas,60
aimée,aimer,12
",",",",p
Paul,Paul,20
aurait,avoir,16
il,il,51
offert,offrir,12
ces,ce,74
cent,cent,72
mille,mille,72
francs,franc,21
à,à,81
son,son,73
mari,mari,21
/?,/?,P
non,non,60
",",",",p
sans,sans,81
doute,doute,21
/!,/!,P
il,il,51
n',ne,60
aurait,avoir,16
pas,pas,60
dû,devoir,12
",",",",p
au,à,81
au,le,71
moins,moins,60
",",",",p
traiter,traiter,14
cette,ce,74
affaire,affaire,22
devant,devant,81
elle,il,51
/.,/.,P
le,le,71
dîner,dîner,21
sonnait,sonner,18
/.,/.,P
ils,ils,51
remontèrent,remonter,19
à,à,81
l',le,71
hôtel,hôtel,21
/.,/.,P
dès,dès,81
qu',que,83
on,on,51
fut,être,19
à,à,81
table,table,22
",",",",p
madame,madame,22
Paille,Paille,20
",",",",p
la,le,71
mère,mère,22
",",",",p
demanda,demander,19
à,à,81
Andermatt,Andermatt,20
:,:,p
“,“,p
vous,vous,51
allez,aller,17
donc,donc,82
fonder,fonder,14
un,un,71
autre,autre,75
établissement,établissement,21
/?,/?,P
la,le,71
nouvelle,nouvelle,22
avait,avoir,18
déjà,déjà,60
couru,courir,12
par,par,81
le,le,71
pays,pays,21
entier,entier,30
",",",",p
était,être,18
connue,connaître,12
de,de,81
tout,tout,75
le,le,71
monde,monde,21
;,;,p
elle,il,51
agitait,agiter,18
tous,tout,75
les,le,71
baigneurs,baigneur,21
/.,/.,P
William,William,20
répondit,répondre,19
:,:,p
“,“,p
mon,mon,73
dieu,dieu,21
oui,oui,60
",",",",p
celui,celui,52
qui,qui,52
existe,exister,17
est,être,17
trop,trop,60
insuffisant,insuffisant,30
/.,/.,P
“,“,p
et,et,82
",",",",p
se,se,51
tournant,tourner,13
vers,vers,81
monsieur,monsieur,21
Aubry-Pasteur,Aubry-Pasteur,20
:,:,p
“,“,p
vous,vous,51
m',je,51
excuserez,excuser,15
",",",",p
cher,cher,30
monsieur,monsieur,21
",",",",p
de,de,81
vous,vous,51
parler,parler,14
à,à,81
table,table,22
d',de,81
une,un,71
démarche,démarche,22
que,que,83
je,je,51
voulais,vouloir,18
faire,faire,14
auprès,auprès,60
de,de,81
vous,vous,51
",",",",p
mais,mais,82
je,je,51
repars,repartir,17
ce,ce,74
soir,soir,21
pour,pour,81
Paris,Paris,20
;,;,p
et,et,82
le,le,71
temps,temps,21
me,je,51
presse,presser,17
énormément,énormément,60
/.,/.,P
consentiriez,consentir,16
vous,vous,51
à,à,81
diriger,diriger,14
les,le,71
travaux,travail,21
de,de,81
fouille,fouille,22
pour,pour,81
trouver,trouver,14
un,un,71
volume,volume,21
d',de,81
eau,eau,22
supérieur,supérieur,30
/?,/?,P
l',le,71
ingénieur,ingénieur,21
",",",",p
flatté,flatté,31
",",",",p
accepta,accepter,19
;,;,p
et,et,82
",",",",p
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
silence,silence,21
général,général,30
",",",",p
ils,ils,51
réglèrent,régler,19
tous,tout,75
les,le,71
points,point,21
essentiels,essentiel,30
des,de,81
des,le,71
recherches,recherche,22
qui,qui,52
devaient,devoir,18
commencer,commencer,14
immédiatement,immédiatement,60
/.,/.,P
tout,tout,52
fut,être,19
discuté,discuter,12
et,et,82
fixé,fixer,12
en,en,81
quelques,quelque,75
minutes,minute,22
avec,avec,81
la,le,71
netteté,netteté,22
et,et,82
la,le,71
précision,précision,22
qu',que,83
Andermatt,Andermatt,20
apportait,apporter,18
toujours,toujours,60
dans,dans,81
les,le,71
affaires,affaire,22
/.,/.,P
puis,puis,60
on,on,51
parla,parler,19
du,de,81
du,le,71
paralytique,paralytique,21
/.,/.,P
on,on,51
l',le,52
avait,avoir,18
vu,voir,12
traverser,traverser,14
le,le,71
parc,parc,21
",",",",p
dans,dans,81
l',le,71
après-midi,après-midi,21
",",",",p
avec,avec,81
une,un,71
