11549
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quinzième extrait>,<>,<>
une,un,71
mystification,mystification,22
scientifique,scientifique,30
",",",",p
et,et,82
les,le,71
Français,Français,20
furent,être,19
les,le,71
premiers,premier,72
à,à,81
en,en,52
rire,rire,14
/.,/.,P
-,-,p
rire,rire,14
d',de,81
un,un,71
Américain,Américain,20
!,!,p
s',se,51
écria,écrier,19
J-T,J-T,20
Maston,Maston,20
",",",",p
mais,mais,82
voilà,voilà,81
un,un,71
casus belli,casus belli,21
/!,/!,P
-,-,p
rassurez,rassurer,17
vous,vous,51
",",",",p
mon,mon,73
digne,digne,30
ami,ami,21
/.,/.,P
les,le,71
Français,Français,20
",",",",p
avant,avant,81
d',de,81
en,en,52
rire,rire,14
",",",",p
avaient,avoir,18
été,être,12
parfaitement,parfaitement,60
dupés,duper,12
de,de,81
notre,notre,73
compatriote,compatriote,21
/.,/.,P
pour,pour,81
terminer,terminer,14
ce,ce,74
rapide,rapide,30
historique,historique,30
",",",",p
j',je,51
ajouterai,ajouter,15
qu',que,83
un,un,71
certain,certain,75
Hans,Hans,20
Pfaal,Pfaal,20
de,de,81
Rotterdam,Rotterdam,20
",",",",p
s',se,51
élançant,élancer,13
dans,dans,81
un,un,71
ballon,ballon,21
rempli,rempli,31
d',de,81
un,un,71
gaz,gaz,21
tiré,tiré,31
de,de,81
l',le,71
azote,azote,21
",",",",p
et,et,82
trente,trente,72
sept,sept,72
fois,fois,22
plus,plus,60
léger,léger,30
que,que,83
l',le,71
hydrogène,hydrogène,21
",",",",p
atteignit,atteindre,19
la,le,71
Lune,Lune,20
après,après,81
dix,dix,72
neuf,neuf,72
jours,jour,21
de,de,81
traversée,traversée,22
/.,/.,P
ce,ce,74
voyage,voyage,21
",",",",p
comme,comme,83
les,le,71
tentatives,tentative,22
précédentes,précédent,30
",",",",p
était,être,18
simplement,simplement,60
imaginaire,imaginaire,30
",",",",p
mais,mais,82
ce,ce,52
fut,être,19
l',le,71
oeuvre,oeuvre,22
d',de,81
un,un,71
écrivain,écrivain,21
populaire,populaire,30
en,en,81
Amérique,Amérique,20
",",",",p
d',de,81
un,un,71
génie,génie,21
étrange,étrange,30
et,et,82
contemplatif,contemplatif,30
/.,/.,P
j',je,51
ai,avoir,17
nommé,nommer,12
Poe,Poe,20
/!,/!,P
-,-,p
hurrah,hurrah,21
pour,pour,81
Edgard,Edgard,20
Poe,Poe,20
!,!,p
s',se,51
écria,écrier,19
l',le,71
assemblée,assemblée,22
",",",",p
électrisée,électrisé,31
par,par,81
les,le,71
paroles,parole,22
de,de,81
son,son,73
président,président,21
/.,/.,P
-,-,p
j',je,51
en,en,52
ai,avoir,17
fini,finir,12
",",",",p
reprit,reprendre,19
Barbicane,Barbicane,20
",",",",p
avec,avec,81
ces,ce,74
tentatives,tentative,22
que,que,52
j',je,51
appellerai,appeler,15
purement,purement,60
littéraires,littéraire,30
",",",",p
et,et,82
parfaitement,parfaitement,60
insuffisantes,insuffisant,30
pour,pour,81
établir,établir,14
des,de,81
des,le,71
relations,relation,22
sérieuses,sérieux,30
avec,avec,81
l',le,71
astre,astre,21
des,de,81
des,le,71
nuits,nuit,22
/.,/.,P
cependant,cependant,82
",",",",p
je,je,51
dois,devoir,17
ajouter,ajouter,14
que,que,83
quelques,quelque,75
esprits,esprit,21
pratiques,pratique,30
essayèrent,essayer,19
de,de,81
se,se,51
mettre,mettre,14
en,en,81
communication,communication,22
sérieuse,sérieux,30
avec,avec,81
lui,lui,51
/.,/.,P
ainsi,ainsi,60
",",",",p
il,il,51
y,y,52
a,avoir,17
quelques,quelque,75
années,année,22
",",",",p
un,un,71
géomètre,géomètre,21
allemand,allemand,30
proposa,proposer,19
d',de,81
envoyer,envoyer,14
une,un,71
commission,commission,22
de,de,81
savants,savant,21
dans,dans,81
les,le,71
steppes,steppe,22
de,de,81
la,le,71
Sibérie,Sibérie,20
/.,/.,P
là,là,60
",",",",p
sur,sur,81
de,de,81
vastes,vaste,30
plaines,plaine,22
",",",",p
on,on,51
devait,devoir,18
établir,établir,14
d',de,81
immenses,immense,30
figures,figure,22
géométriques,géométrique,30
",",",",p
dessinées,dessiné,31
au,à,81
au,le,71
moyen,moyen,21
de,de,81
réflecteurs,réflecteur,21
lumineux,lumineux,30
",",",",p
entre,entre,81
autres,autre,52
le,le,71
carré,carré,21
de,de,81
l',le,71
hypoténuse,hypoténuse,22
",",",",p
vulgairement,vulgairement,60
appelé,appelé,31
le,le,71
pont,pont,21
aux,à,81
aux,le,71
ânes,âne,21
par,par,81
les,le,71
Français,Français,20
/.,/.,P
tout,tout,75
être,être,21
intelligent,intelligent,30
",",",",p
disait,dire,18
le,le,71
géomètre,géomètre,21
",",",",p
doit,devoir,17
comprendre,comprendre,14
la,le,71
destination,destination,22
scientifique,scientifique,30
de,de,81
cette,ce,74
figure,figure,22
/.,/.,P
les,le,71
Sélénites,Sélénite,20
(,(,p
habitants,habitant,21
de,de,81
la,le,71
Lune,Lune,20
),),p
s',si,83
ils,ils,51
existent,exister,17
",",",",p
répondront,répondre,15
par,par,81
une,un,71
figure,figure,22
semblable,semblable,30
",",",",p
et,et,82
la,le,71
communication,communication,22
une,un,71
fois,fois,22
établie,établi,31
",",",",p
il,il,51
sera,être,15
facile,facile,30
de,de,81
créer,créer,14
un,un,71
alphabet,alphabet,21
qui,qui,52
permettra,permettre,15
de,de,81
s',se,51
entretenir,entretenir,14
avec,avec,81
les,le,71
habitants,habitant,21
de,de,81
la,le,71
Lune,Lune,20
/.,/.,P
ainsi,ainsi,60
parlait,parler,18
le,le,71
géomètre,géomètre,21
allemand,allemand,30
",",",",p
mais,mais,82
son,son,73
projet,projet,21
ne,ne,60
fut,être,19
pas,pas,60
mis,mettre,12
à,à,81
exécution,exécution,22
",",",",p
et,et,82
jusqu'ici,jusqu'ici,81
aucun,aucun,75
lien,lien,21
direct,direct,30
n',ne,60
a,avoir,17
existé,exister,12
entre,entre,81
la,le,71
terre,terre,22
et,et,82
son,son,73
satellite,satellite,21
/.,/.,P
mais,mais,82
il,il,51
est,être,17
réservé,réserver,12
au,à,81
au,le,71
génie,génie,21
pratique,pratique,30
des,de,81
des,le,71
Américains,Américain,20
de,de,81
se,se,51
mettre,mettre,14
en,en,81
rapport,rapport,21
avec,avec,81
le,le,71
monde,monde,21
sidéral,sidéral,30
/.,/.,P
le,le,71
moyen,moyen,21
d',de,81
y,y,52
parvenir,parvenir,14
est,être,17
simple,simple,30
",",",",p
facile,facile,30
",",",",p
certain,certain,30
",",",",p
immanquable,immanquable,30
",",",",p
et,et,82
il,il,51
va,aller,17
faire,faire,14
l',le,71
objet,objet,21
de,de,81
ma,mon,73
proposition,proposition,22
/.,/.,P
un,un,71
brouhaha,brouhaha,21
",",",",p
une,un,71
tempête,tempête,22
d',de,81
exclamations,exclamation,22
accueillit,accueillir,19
ces,ce,74
paroles,parole,22
/.,/.,P
il,il,51
n',ne,60
était,être,18
pas,pas,60
un,un,71
seul,seul,30
des,de,81
des,le,71
assistants,assistant,21
qui,qui,52
ne,ne,60
fût,être,19
dominé,dominer,12
",",",",p
entraîné,entraîner,12
",",",",p
enlevé,enlever,12
par,par,81
les,le,71
paroles,parole,22
de,de,81
l',le,71
orateur,orateur,21
/.,/.,P
écoutez,écouter,17
/!,/!,P
écoutez,écouter,17
/!,/!,P
silence,silence,21
donc,donc,82
!,!,p
s',se,51
écria,écrier,19
t,t,94
on,on,51
de,de,81
toutes,tout,75
parts,part,22
/.,/.,P
lorsque,lorsque,83
l',le,71
agitation,agitation,22
fut,être,19
calmée,calmer,12
",",",",p
Barbicane,Barbicane,20
reprit,reprendre,19
d',de,81
une,un,71
voix,voix,22
plus,plus,60
grave,grave,30
son,son,73
discours,discours,21
interrompu,interrompu,31
:,:,p
vous,vous,51
savez,savoir,17
",",",",p
dit,dire,19
il,il,51
",",",",p
quels,quel,75
progrès,progrès,21
la,le,71
balistique,balistique,22
a,avoir,17
faits,faire,12
depuis,depuis,81
quelques,quelque,75
années,année,22
et,et,82
à,à,81
quel,quel,75
degré,degré,21
de,de,81
perfection,perfection,22
les,le,71
armes,arme,22
à,à,81
feu,feu,21
seraient,être,16
parvenues,parvenir,12
",",",",p
si,si,83
la,le,71
guerre,guerre,22
eût,avoir,19
continué,continuer,12
/.,/.,P
vous,vous,51
n',ne,60
ignorez,ignorer,17
pas,pas,60
non,non,60
plus,plus,60
que,que,83
",",",",p
d',de,81
une,un,71
façon,façon,22
générale,général,30
",",",",p
la,le,71
force,force,22
de,de,81
résistance,résistance,22
des,de,81
des,le,71
canons,canon,21
et,et,82
la,le,71
puissance,puissance,22
expansive,expansif,30
de,de,81
la,le,71
poudre,poudre,22
sont,être,17
illimitées,illimité,30
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
partant,partir,13
de,de,81
ce,ce,74
principe,principe,21
",",",",p
je,je,51
me,je,51
suis,être,17
demandé,demander,12
si,si,83
",",",",p
au,à,81
au,le,71
moyen,moyen,21
d',de,81
un,un,71
appareil,appareil,21
suffisant,suffisant,30
",",",",p
établi,établi,31
dans,dans,81
des,de,81
des,le,71
conditions,condition,22
de,de,81
résistance,résistance,22
déterminées,déterminé,31
",",",",p
il,il,51
ne,ne,60
serait,être,16
pas,pas,60
possible,possible,30
d',de,81
envoyer,envoyer,14
un,un,71
boulet,boulet,21
dans,dans,81
la,le,71
Lune,Lune,20
/.,/.,P
à,à,81
ces,ce,74
paroles,parole,22
",",",",p
un,un,71
oh,oh,93
!,!,p
de,de,81
stupéfaction,stupéfaction,22
s',se,51
échappa,échapper,19
de,de,81
mille,mille,72
poitrines,poitrine,22
haletantes,haletant,30
;,;,p
puis,puis,60
il,il,51
se,se,51
fit,faire,19
un,un,71
moment,moment,21
de,de,81
silence,silence,21
",",",",p
semblable,semblable,30
à,à,81
ce,ce,74
calme,calme,21
profond,profond,30
qui,qui,52
précède,précéder,17
les,le,71
coups,coup,21
de,de,81
tonnerre,tonnerre,21
/.,/.,P
et,et,82
",",",",p
en,en,81
effet,effet,21
",",",",p
le,le,71
tonnerre,tonnerre,21
éclata,éclater,19
",",",",p
mais,mais,82
un,un,71
tonnerre,tonnerre,21
d',de,81
applaudissements,applaudissement,21
",",",",p
de,de,81
cris,cri,21
",",",",p
de,de,81
clameurs,clameur,22
",",",",p
qui,qui,52
fit,faire,19
trembler,trembler,14
la,le,71
salle,salle,22
des,de,81
des,le,71
séances,séance,22
/.,/.,P
le,le,71
président,président,21
voulait,vouloir,18
parler,parler,14
;,;,p
il,il,51
ne,ne,60
le,le,52
pouvait,pouvoir,18
pas,pas,60
/.,/.,P
ce,ce,52
ne,ne,60
fut,être,19
qu',que,83
au,à,81
au,le,71
bout,bout,21
de,de,81
dix,dix,72
minutes,minute,22
qu',que,83
il,il,51
parvint,parvenir,19
à,à,81
se,se,51
faire,faire,14
entendre,entendre,14
/.,/.,P
laissez,laisser,17
moi,moi,51
achever,achever,14
",",",",p
reprit,reprendre,19
il,il,51
froidement,froidement,60
/.,/.,P
j',je,51
ai,avoir,17
pris,prendre,12
la,le,71
question,question,22
sous,sous,81
toutes,tout,75
ses,son,73
faces,face,22
",",",",p
je,je,51
l',le,52
ai,avoir,17
abordée,aborder,12
résolument,résolument,60
",",",",p
et,et,82
de,de,81
mes,mon,73
calculs,calcul,21
indiscutables,indiscutable,30
il,il,51
résulte,résulter,17
que,que,83
tout,tout,75
projectile,projectile,21
doué,doué,31
d',de,81
une,un,71
vitesse,vitesse,22
initiale,initial,30
de,de,81
douze,douze,72
mille,mille,72
yards,yard,21
(,(,p
environ,environ,60
<Nombre 11000 mètres par seconde>,<>,<>
onze,onze,72
mille,mille,72
mètres,mètre,21
par,par,81
seconde,seconde,22
<Fin nombre>,<>,<>
),),p
",",",",p
et,et,82
dirigé,dirigé,31
vers,vers,81
la,le,71
Lune,Lune,20
",",",",p
arrivera,arriver,15
nécessairement,nécessairement,60
jusqu',jusque,81
à,à,81
elle,il,51
/.,/.,P
j',je,51
ai,avoir,17
donc,donc,82
l',le,71
honneur,honneur,21
de,de,81
vous,vous,51
proposer,proposer,14
",",",",p
mes,mon,73
braves,brave,30
collègues,collègue,21
",",",",p
de,de,81
tenter,tenter,14
cette,ce,74
petite,petit,30
expérience,expérience,22
/!,/!,P
<III >,<>,<>
effet,effet,21
de,de,81
la,le,71
communication,communication,22
Barbicane,Barbicane,20
/.,/.,P
il,il,51
est,être,17
impossible,impossible,30
de,de,81
peindre,peindre,14
l',le,71
effet,effet,21
produit,produit,31
par,par,81
les,le,71
dernières,dernier,30
paroles,parole,22
de,de,81
l',le,71
honorable,honorable,30
président,président,21
/.,/.,P
quels,quel,75
cris,cri,21
!,!,p
quelles,quel,75
vociférations,vocifération,22
!,!,p
quelle,quel,75
succession,succession,22
de,de,81
grognements,grognement,21
",",",",p
de,de,81
hurrahs,hurrah,21
",",",",p
de,de,81
hip,hip,93
!,!,p
hip,hip,93
!,!,p
hip,hip,93
!,!,p
et,et,82
de,de,81
toutes,tout,75
ces,ce,74
onomatopées,onomatopée,22
qui,qui,52
foisonnent,foisonner,17
dans,dans,81
la,le,71
langue,langue,22
américaine,américain,30
/!,/!,P
c',ce,52
était,être,18
un,un,71
désordre,désordre,21
",",",",p
un,un,71
brouhaha,brouhaha,21
indescriptible,indescriptible,30
/!,/!,P
les,le,71
bouches,bouche,22
criaient,crier,18
",",",",p
les,le,71
mains,main,22
battaient,battre,18
",",",",p
les,le,71
pieds,pied,21
ébranlaient,ébranler,18
le,le,71
plancher,plancher,21
des,de,81
des,le,71
salles,salle,22
/.,/.,P
toutes,tout,75
les,le,71
armes,arme,22
de,de,81
ce,ce,74
musée,musée,21
d',de,81
artillerie,artillerie,22
",",",",p
partant,partir,13
à,à,81
la,le,71
fois,fois,22
",",",",p
n',ne,60
auraient,avoir,16
pas,pas,60
agité,agiter,12
plus,plus,60
violemment,violemment,60
les,le,71
ondes,onde,22
sonores,sonore,30
/.,/.,P
cela,cela,52
ne,ne,60
peut,pouvoir,17
surprendre,surprendre,14
/.,/.,P
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
canonniers,canonnier,21
presque,presque,60
aussi,aussi,60
bruyants,bruyant,30
que,que,83
leurs,leur,73
canons,canon,21
/.,/.,P
Barbicane,Barbicane,20
demeurait,demeurer,18
calme,calme,30
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ces,ce,74
clameurs,clameur,22
enthousiastes,enthousiaste,30
;,;,p
peut-être,peut-être,60
voulait,vouloir,18
il,il,51
encore,encore,60
adresser,adresser,14
quelques,quelque,75
paroles,parole,22
à,à,81
ses,son,73
collègues,collègue,21
",",",",p
car,car,82
ses,son,73
gestes,geste,21
réclamèrent,réclamer,19
le,le,71
silence,silence,21
",",",",p
et,et,82
son,son,73
timbre,timbre,21
fulminant,fulminant,30
s',se,51
épuisa,épuiser,19
en,en,81
violentes,violent,30
détonations,détonation,22
/.,/.,P
on,on,51
ne,ne,60
l',le,52
entendit,entendre,19
même,même,60
pas,pas,60
/.,/.,P
bientôt,bientôt,60
il,il,51
fut,être,19
arraché,arracher,12
de,de,81
son,son,73
siège,siège,21
",",",",p
porté,porter,12
en,en,81
triomphe,triomphe,21
",",",",p
et,et,82
des,de,81
des,le,71
mains,main,22
de,de,81
ses,son,73
fidèles,fidèle,30
camarades,camarade,21
il,il,51
passa,passer,19
dans,dans,81
les,le,71
bras,bras,21
d',de,81
une,un,71
foule,foule,22
non,non,60
moins,moins,60
surexcitée,surexcité,31
/.,/.,P
rien,rien,52
ne,ne,60
saurait,savoir,16
étonner,étonner,14
un,un,71
Américain,Américain,20
/.,/.,P
on,on,51
a,avoir,17
souvent,souvent,60
répété,répéter,12
que,que,83
le,le,71
mot,mot,21
impossible,impossible,30
n',ne,60
était,être,18
pas,pas,60
français,français,30
;,;,p
on,on,51
s',se,51
est,être,17
évidemment,évidemment,60
trompé,tromper,12
de,de,81
dictionnaire,dictionnaire,21
/.,/.,P
en,en,81
Amérique,Amérique,20
",",",",p
tout,tout,52
est,être,17
facile,facile,30
",",",",p
tout,tout,52
est,être,17
simple,simple,30
",",",",p
et,et,82
quant,quand,83
aux,à,81
aux,le,71
difficultés,difficulté,22
mécaniques,mécanique,30
",",",",p
elles,ils,51
sont,être,17
mortes,mourir,12
avant,avant,81
d',de,81
être,être,14
nées,naître,12
/.,/.,P
entre,entre,81
le,le,71
projet,projet,21
Barbicane,Barbicane,20
et,et,82
sa,son,73
réalisation,réalisation,22
",",",",p
pas,pas,60
un,un,71
véritable,véritable,30
Yankee,Yankee,20
ne,ne,60
se,se,51
fût,être,19
permis,permettre,12
d',de,81
entrevoir,entrevoir,14
l',le,71
apparence,apparence,22
d',de,81
une,un,71
difficulté,difficulté,22
/.,/.,P
chose,chose,22
dite,dit,31
",",",",p
chose,chose,22
faite,fait,31
/.,/.,P
la,le,71
promenade,promenade,22
triomphale,triomphal,30
du,de,81
du,le,71
président,président,21
se,se,51
prolongea,prolonger,19
dans,dans,81
la,le,71
soirée,soirée,22
/.,/.,P
une,un,71
véritable,véritable,30
marche,marche,22
aux,à,81
aux,le,71
flambeaux,flambeau,21
/.,/.,P
Irlandais,Irlandais,20
",",",",p
Allemands,Allemand,20
",",",",p
Français,Français,20
",",",",p
Ecossais,Ecossais,20
",",",",p
tous,tout,75
ces,ce,74
individus,individu,21
hétérogènes,hétérogène,30
dont,dont,52
se,se,51
compose,composer,17
la,le,71
population,population,22
du,de,81
du,le,71
Maryland,Maryland,20
",",",",p
criaient,crier,18
dans,dans,81
leur,leur,73
langue,langue,22
maternelle,maternel,30
",",",",p
et,et,82
les,le,71
vivats,vivat,21
",",",",p
les,le,71
hurrahs,hurrah,21
",",",",p
les,le,71
bravos,bravo,21
s',se,51
entremêlaient,entremêler,18
dans,dans,81
un,un,71
inexprimable,inexprimable,30
élan,élan,21
/.,/.,P
précisément,précisément,60
",",",",p
comme,comme,83
si,si,83
elle,il,51
eût,avoir,19
compris,comprendre,12
qu',que,83
il,il,51
s',se,51
agissait,agir,18
d',de,81
elle,il,51
",",",",p
la,le,71
Lune,Lune,20
brillait,briller,18
alors,alors,60
avec,avec,81
une,un,71
sereine,serein,30
magnificence,magnificence,22
",",",",p
éclipsant,éclipser,13
de,de,81
son,son,73
intense,intense,30
irradiation,irradiation,22
les,le,71
feux,feu,21
environnants,environnant,30
/.,/.,P
tous,tout,75
les,le,71
Yankees,Yankee,20
dirigeaient,diriger,18
leurs,leur,73
yeux,oeil,21
vers,vers,81
son,son,73
disque,disque,21
étincelant,étincelant,30
;,;,p
les,le,71
uns,un,52
la,le,52
saluaient,saluer,18
de,de,81
la,le,71
main,main,22
",",",",p
les,le,71
autres,autre,52
l',le,52
appelaient,appeler,18
des,de,81
des,le,71
plus,plus,60
doux,doux,30
noms,nom,21
;,;,p
ceux ci,celui-ci,52
la,le,52
mesuraient,mesurer,18
du,de,81
du,le,71
regard,regard,21
",",",",p
ceux là,celui-là,52
la,le,52
menaçaient,menacer,18
du,de,81
du,le,71
poing,poing,21
;,;,p
de,de,81
huit,huit,72
heures,heure,22
à,à,81
minuit,minuit,21
",",",",p
un,un,71
opticien,opticien,21
de,de,81
Jones,Jones,20
Fall Street,Fall Street,20
fit,faire,19
sa,son,73
fortune,fortune,22
à,à,81
vendre,vendre,14
des,de,81
des,le,71
lunettes,lunette,22
/.,/.,P
l',le,71
astre,astre,21
des,de,81
des,le,71
nuits,nuit,22
était,être,18
lorgné,lorgner,12
comme,comme,83
une,un,71
lady,lady,22
de,de,81
haute,haut,30
volée,volée,22
/.,/.,P
les,le,71
Américains,Américain,20
en,en,52
agissaient,agir,18
avec,avec,81
un,un,71
sans-façon,sans-façon,22
de,de,81
propriétaires,propriétaire,21
/.,/.,P
il,il,51
semblait,sembler,18
que,que,83
la,le,71
blonde,blond,30
Phoebé,Phoebé,20
appartînt,appartenir,18
à,à,81
ces,ce,74
audacieux,audacieux,30
conquérants,conquérant,21
et,et,82
fît,faire,18
déjà,déjà,60
partie,partie,22
du,de,81
du,le,71
territoire,territoire,21
de,de,81
l',le,71
Union,Union,20
/.,/.,P
et,et,82
pourtant,pourtant,60
il,il,51
n',ne,60
était,être,18
question,question,22
que,que,83
de,de,81
lui,lui,51
envoyer,envoyer,14
un,un,71
projectile,projectile,21
",",",",p
façon,façon,22
assez,assez,60
brutale,brutal,30
d',de,81
entrer,entrer,14
en,en,81
relation,relation,22
",",",",p
même,même,60
avec,avec,81
un,un,71
satellite,satellite,21
",",",",p
mais,mais,82
fort,fort,60
en,en,81
usage,usage,21
parmi,parmi,81
les,le,71
nations,nation,22
civilisées,civilisé,31
/.,/.,P
minuit,minuit,21
venait,venir,18
de,de,81
sonner,sonner,14
",",",",p
et,et,82
l',le,71
enthousiasme,enthousiasme,21
ne,ne,60
baissait,baisser,18
pas,pas,60
;,;,p
il,il,51
se,se,51
maintenait,maintenir,18
à,à,81
dose,dose,22
égale,égal,30
dans,dans,81
toutes,tout,75
les,le,71
classes,classe,22
de,de,81
la,le,71
population,population,22
;,;,p
le,le,71
magistrat,magistrat,21
",",",",p
le,le,71
savant,savant,21
",",",",p
le,le,71
négociant,négociant,21
",",",",p
le,le,71
marchand,marchand,21
",",",",p
le,le,71
portefaix,portefaix,21
",",",",p
les,le,71
hommes,homme,21
intelligents,intelligent,30
aussi,aussi,60
bien,bien,60
que,que,83
les,le,71
gens,gens,21
verts,vert,30
(,(,p
expression,expression,22
tout,tout,60
à,à,81
fait,fait,21
américaine,américain,30
pour,pour,81
désigner,désigner,14
des,de,81
des,le,71
gens,gens,21
naïfs,naïf,30
),),p
se,se,51
sentaient,sentir,18
remués,remué,31
dans,dans,81
leur,leur,73
fibre,fibre,22
la,le,71
plus,plus,60
délicate,délicat,30
;,;,p
il,il,51
s',se,51
agissait,agir,18
là,là,60
d',de,81
une,un,71
entreprise,entreprise,22
nationale,national,30
;,;,p
aussi,aussi,60
la,le,71
ville,ville,22
haute,haut,30
",",",",p
la,le,71
ville,ville,22
basse,bas,30
",",",",p
les,le,71
quais,quai,21
baignés,baigné,31
par,par,81
les,le,71
eaux,eau,22
du,de,81
du,le,71
Patapsco,Patapsco,20
",",",",p
les,le,71
navires,navire,21
emprisonnés,emprisonné,31
dans,dans,81
leurs,leur,73
bassins,bassin,21
regorgeaient,regorger,18
d',de,81
une,un,71
foule,foule,22
ivre,ivre,30
de,de,81
joie,joie,22
",",",",p
de,de,81
gin,gin,21
et,et,82
de,de,81
whisky,whisky,21
;,;,p
chacun,chacun,52
conversait,converser,18
",",",",p
pérorait,pérorer,18
",",",",p
discutait,discuter,18
",",",",p
disputait,disputer,18
",",",",p
approuvait,approuver,18
",",",",p
applaudissait,applaudir,18
",",",",p
depuis,depuis,81
le,le,71
gentleman,gentleman,21
nonchalamment,nonchalamment,60
étendu,étendu,31
sur,sur,81
le,le,71
canapé,canapé,21
des,de,81
des,le,71
bar,bar,21
rooms,room,92
devant,devant,81
sa,son,73
chope,chope,22
de,de,81
sherry,sherry,21
cobbler,cobbler,92
(,(,p
mélange,mélange,21
de,de,81
rhum,rhum,21
",",",",p
de,de,81
jus,jus,21
d',de,81
orange,orange,22
",",",",p
de,de,81
sucre,sucre,21
",",",",p
de,de,81
cannelle,cannelle,22
et,et,82
de,de,81
muscade,muscade,22
),),p
/.,/.,P
cette,ce,74
boisson,boisson,22
de,de,81
couleur,couleur,22
jaunâtre,jaunâtre,30
s',se,51
aspire,aspirer,17
dans,dans,81
des,de,81
des,le,71
chopes,chope,22
au,à,81
au,le,71
moyen,moyen,21
d',de,81
un,un,71
chalumeau,chalumeau,21
de,de,81
verre,verre,21
/.,/.,P
les,le,71
bar,bar,21
rooms,room,92
sont,être,17
des,de,81
des,le,71
espèces,espèce,22
de,de,81
cafés,café,21
/.,/.,P
jusqu',jusque,81
au,à,81
au,le,71
waterman,waterman,92
qui,qui,52
se,se,51
grisait,griser,18
de,de,81
casse-poitrine,casse-poitrine,21
(,(,p
boisson,boisson,22
effrayante,effrayant,30
du,de,81
du,le,71
bas,bas,30
peuple,peuple,21
",",",",p
littéralement,littéralement,60
",",",",p
en,en,81
anglais,anglais,21
:,:,p
thorough,thorough,92
knock,knock,92
me,je,51
down,down,92
),),p
dans,dans,81
les,le,71
sombres,sombre,30
tavernes,taverne,22
du,de,81
du,le,71
Falls Point,Falls Point,20
/.,/.,P
cependant,cependant,82
",",",",p
vers,vers,81
deux,deux,72
heures,heure,22
",",",",p
l',le,71
émotion,émotion,22
se,se,51
calma,calmer,19
/.,/.,P
le,le,71
président,président,21
Barbicane,Barbicane,20
parvint,parvenir,19
à,à,81
rentrer,rentrer,14
chez,chez,81
lui,lui,51
",",",",p
brisé,brisé,31
",",",",p
écrasé,écrasé,31
",",",",p
moulu,moulu,31
/.,/.,P
un,un,71
hercule,hercule,21
n',ne,60
eût,avoir,19
pas,pas,60
résisté,résister,12
à,à,81
un,un,71
enthousiasme,enthousiasme,21
pareil,pareil,30
/.,/.,P
la,le,71
foule,foule,22
abandonna,abandonner,19
peu,peu,60
à,à,81
peu,peu,60
les,le,71
places,place,22
et,et,82
les,le,71
rues,rue,22
/.,/.,P
les,le,71
quatre,quatre,72
rails-roads,rail-road,21
de,de,81
l',le,71
Ohio,Ohio,20
",",",",p
de,de,81
Susquehanna,Susquehanna,20
",",",",p
de,de,81
Philadelphie,Philadelphie,20
et,et,82
de,de,81
Washington,Washington,20
",",",",p
qui,qui,52
convergent,converger,17
à,à,81
Baltimore,Baltimore,20
",",",",p
jetèrent,jeter,19
le,le,71
public,public,21
hexogène,hexogène,30
aux,à,81
aux,le,71
quatre,quatre,72
coins,coin,21
des,de,81
des,le,71
Etats-Unis,Etats-Unis,20
",",",",p
et,et,82
la,le,71
ville,ville,22
se,se,51
reposa,reposer,19
dans,dans,81
une,un,71
tranquillité,tranquillité,22
relative,relatif,30
/.,/.,P
ce,ce,52
serait,être,16
d',de,81
ailleurs,ailleurs,60
une,un,71
erreur,erreur,22
de,de,81
croire,croire,14
que,que,83
",",",",p
pendant,pendant,81
cette,ce,74
soirée,soirée,22
mémorable,mémorable,30
",",",",p
Baltimore,Baltimore,20
fût,être,19
seule,seul,30
en,en,81
proie,proie,22
à,à,81
cette,ce,74
agitation,agitation,22
/.,/.,P
les,le,71
grandes,grand,30
villes,ville,22
de,de,81
l',le,71
Union,Union,20
",",",",p
New York,New York,20
",",",",p
Boston,Boston,20
",",",",p
Albany,Albany,20
",",",",p
Washington,Washington,20
",",",",p
Richmond,Richmond,20
",",",",p
Crescent,Crescent,20
City,City,20
(,(,p
surnom,surnom,21
de,de,81
la,le,71
Nouvelle-Orléans,Nouvelle-Orléans,20
),),p
/.,/.,P
Charleston,Charleston,20
",",",",p
la,le,71
Mobile,Mobile,20
",",",",p
du,de,81
du,le,71
Texas,Texas,20
au,à,81
au,le,71
Massachusetts,Massachusetts,20
",",",",p
du,de,81
du,le,71
Michigan,Michigan,20
aux,à,81
aux,le,71
Florides,Florides,20
",",",",p
toutes,tout,52
prenaient,prendre,18
leur,leur,73
part,part,22
de,de,81
ce,ce,74
délire,délire,21
/.,/.,P
en,en,81
effet,effet,21
",",",",p
les,le,71
trente,trente,72
mille,mille,72
correspondants,correspondant,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
connaissaient,connaître,18
la,le,71
lettre,lettre,22
de,de,81
leur,leur,73
président,président,21
",",",",p
et,et,82
ils,ils,51
attendaient,attendre,18
avec,avec,81
une,un,71
égale,égal,30
impatience,impatience,22
la,le,71
fameuse,fameux,30
communication,communication,22
du,de,81
du,le,71
<Nombre 5 octobre>,<>,<>
cinq,cinq,72
octobre,octobre,21
<Fin nombre>,<>,<>
/.,/.,P
