11994
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-douzième extrait>,<>,<>
",",",",p
debout,debout,60
devant,devant,81
les,le,71
deux,deux,72
frères,frère,21
",",",",p
qui,qui,52
restaient,rester,18
vautrés,vautré,31
",",",",p
le,le,71
nez,nez,21
dans,dans,81
le,le,71
traversin,traversin,21
/.,/.,P
elle,il,51
dut,devoir,19
saisir,saisir,14
le,le,71
grand,grand,21
par,par,81
l',le,71
épaule,épaule,22
et,et,82
le,le,52
secouer,secouer,14
;,;,p
puis,puis,60
",",",",p
tandis qu',tandis que,83
il,il,51
mâchait,mâcher,18
des,de,81
des,le,71
injures,injure,22
",",",",p
elle,il,51
prit,prendre,19
le,le,71
parti,parti,21
de,de,81
les,le,52
découvrir,découvrir,14
",",",",p
en,en,81
arrachant,arracher,13
le,le,71
drap,drap,21
/.,/.,P
cela,cela,52
lui,lui,51
parut,paraître,19
drôle,drôle,30
",",",",p
elle,il,51
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
",",",",p
lorsqu',lorsque,83
elle,il,51
vit,voir,19
les,le,71
deux,deux,72
garçons,garçon,21
se,se,51
débattre,débattre,14
",",",",p
les,le,71
jambes,jambe,22
nues,nu,30
/.,/.,P
-,-,p
c',ce,52
est,être,17
bête,bête,30
",",",",p
lâche,lâcher,17
moi,moi,51
!,!,p
grogna,grogner,19
Zacharie,Zacharie,20
de,de,81
méchante,méchant,30
humeur,humeur,22
",",",",p
quand,quand,83
il,il,51
se,se,51
fut,être,19
assis,asseoir,12
/.,/.,P
je,je,51
n',ne,60
aime,aimer,17
pas,pas,60
les,le,71
farces,farce,22
/…,/…,P
dire,dire,14
",",",",p
nom,nom,21
de,de,81
dieu,dieu,21
!,!,p
qu',que,83
il,il,51
faut,falloir,17
se,se,51
lever,lever,14
/!,/!,P
il,il,51
était,être,18
maigre,maigre,30
",",",",p
dégingandé,dégingandé,30
",",",",p
la,le,71
figure,figure,22
longue,long,30
",",",",p
salie,sali,31
de,de,81
quelques,quelque,75
rares,rare,30
poils,poil,21
de,de,81
barbe,barbe,22
",",",",p
avec,avec,81
les,le,71
cheveux,cheveu,21
jaunes,jaune,30
et,et,82
la,le,71
pâleur,pâleur,22
anémique,anémique,30
de,de,81
toute,tout,75
la,le,71
famille,famille,22
/.,/.,P
sa,son,73
chemise,chemise,22
lui,lui,51
remontait,remonter,18
au,à,81
au,le,71
ventre,ventre,21
",",",",p
et,et,82
il,il,51
la,le,52
baissa,baisser,19
",",",",p
non,non,60
par,par,81
pudeur,pudeur,22
",",",",p
mais,mais,82
parce qu',parce que,83
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
chaud,chaud,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
sonné,sonner,12
en,en,81
bas,bas,21
",",",",p
répétait,répéter,18
Catherine,Catherine,20
/.,/.,P
allons,aller,17
",",",",p
houp,houp,93
!,!,p
le,le,71
père,père,21
se,se,51
fâche,fâcher,17
/.,/.,P
Jeanlin,Jeanlin,20
",",",",p
qui,qui,52
s',se,51
était,être,18
pelotonné,pelotonner,12
",",",",p
referma,refermer,19
les,le,71
yeux,oeil,21
",",",",p
en,en,81
disant,dire,13
:,:,p
-,-,p
va,aller,17
te,tu,51
faire,faire,14
fiche,fiche,22
",",",",p
je,je,51
dors,dormir,17
/!,/!,P
elle,il,51
eut,avoir,19
un,un,71
nouveau,nouveau,30
rire,rire,21
de,de,81
bonne,bon,30
fille,fille,22
/.,/.,P
il,il,51
était,être,18
si,si,60
petit,petit,30
",",",",p
les,le,71
membres,membre,21
grêles,grêle,30
",",",",p
avec,avec,81
des,de,81
des,le,71
articulations,articulation,22
énormes,énorme,30
",",",",p
grossies,grossi,31
par,par,81
des,de,81
des,le,71
scrofules,scrofule,22
",",",",p
qu',que,83
elle,il,51
le,le,52
prit,prendre,19
",",",",p
à,à,81
pleins,plein,30
bras,bras,21
/.,/.,P
mais,mais,82
il,il,51
gigotait,gigoter,18
",",",",p
son,son,73
masque,masque,21
de,de,81
singe,singe,21
blafard,blafard,30
et,et,82
crépu,crépu,30
",",",",p
troué,troué,31
de,de,81
ses,son,73
yeux,oeil,21
verts,vert,30
",",",",p
élargi,élargi,31
par,par,81
ses,son,73
grandes,grand,30
oreilles,oreille,22
",",",",p
pâlissait,pâlir,18
de,de,81
la,le,71
rage,rage,22
d',de,81
être,être,14
faible,faible,30
/.,/.,P
il,il,51
ne,ne,60
dit,dire,19
rien,rien,52
",",",",p
il,il,51
la,le,52
mordit,mordre,19
au,à,81
au,le,71
sein,sein,21
droit,droit,30
/.,/.,P
-,-,p
méchant,méchant,30
bougre,bougre,21
!,!,p
murmura,murmurer,19
t,t,94
elle,il,51
en,en,81
retenant,retenir,13
un,un,71
cri,cri,21
et,et,82
en,en,81
le,le,52
posant,poser,13
par,par,81
terre,terre,22
/.,/.,P
Alzire,Alzire,20
",",",",p
silencieuse,silencieux,30
",",",",p
le,le,71
drap,drap,21
au,à,81
au,le,71
menton,menton,21
",",",",p
ne,ne,60
s',se,51
était,être,18
pas,pas,60
rendormie,rendormir,12
/.,/.,P
elle,il,51
suivait,suivre,18
de,de,81
ses,son,73
yeux,oeil,21
intelligents,intelligent,30
d',de,81
infirme,infirme,21
sa,son,73
soeur,soeur,22
et,et,82
ses,son,73
deux,deux,72
frères,frère,21
",",",",p
qui,qui,52
maintenant,maintenant,60
s',se,51
habillaient,habiller,18
/.,/.,P
une,un,71
autre,autre,75
querelle,querelle,22
éclata,éclater,19
autour,autour,60
de,de,81
la,le,71
terrine,terrine,22
",",",",p
les,le,71
garçons,garçon,21
bousculèrent,bousculer,19
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
parce qu',parce que,83
elle,il,51
se,se,51
lavait,laver,18
trop,trop,60
longtemps,longtemps,60
/.,/.,P
les,le,71
chemises,chemise,22
volaient,voler,18
",",",",p
pendant,pendant,81
que,que,83
",",",",p
gonflés,gonflé,31
encore,encore,60
de,de,81
sommeil,sommeil,21
",",",",p
ils,ils,51
se,se,51
soulageaient,soulager,18
sans,sans,81
honte,honte,22
",",",",p
avec,avec,81
l',le,71
aisance,aisance,22
tranquille,tranquille,30
d',de,81
une,un,71
portée,portée,22
de,de,81
jeunes,jeune,30
chiens,chien,21
",",",",p
grandis,grandi,31
ensemble,ensemble,60
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
Catherine,Catherine,20
fut,être,19
prête,prêt,30
la,le,71
première,premier,72
/.,/.,P
elle,il,51
enfila,enfiler,19
sa,son,73
culotte,culotte,22
de,de,81
mineur,mineur,21
",",",",p
passa,passer,19
la,le,71
veste,veste,22
de,de,81
toile,toile,22
",",",",p
noua,nouer,19
le,le,71
béguin,béguin,21
bleu,bleu,30
autour,autour,60
de,de,81
son,son,73
chignon,chignon,21
;,;,p
et,et,82
",",",",p
dans,dans,81
ces,ce,74
vêtements,vêtement,21
propres,propre,30
du,de,81
du,le,71
lundi,lundi,21
",",",",p
elle,il,51
avait,avoir,18
l',le,71
air,air,21
d',de,81
un,un,71
petit,petit,30
homme,homme,21
",",",",p
rien,rien,52
ne,ne,60
lui,lui,51
restait,rester,18
de,de,81
son,son,73
sexe,sexe,21
",",",",p
que,que,83
le,le,71
dandinement,dandinement,21
léger,léger,30
des,de,81
des,le,71
hanches,hanche,22
/.,/.,P
-,-,p
quand,quand,83
le,le,71
vieux,vieux,21
rentrera,rentrer,15
",",",",p
dit,dire,19
méchamment,méchamment,60
Zacharie,Zacharie,20
",",",",p
il,il,51
sera,être,15
content,content,30
de,de,81
trouver,trouver,14
le,le,71
lit,lit,21
défait,défait,31
/…,/…,P
tu,tu,51
sais,savoir,17
",",",",p
je,je,51
lui,lui,51
raconterai,raconter,15
que,que,83
c',ce,52
est,être,17
toi,toi,51
/.,/.,P
le,le,71
vieux,vieux,21
",",",",p
c',ce,52
était,être,18
le,le,71
grand-père,grand-père,21
",",",",p
Bonnemort,Bonnemort,20
",",",",p
qui,qui,52
",",",",p
travaillant,travailler,13
la,le,71
nuit,nuit,22
",",",",p
se,se,51
couchait,coucher,18
au,à,81
au,le,71
jour,jour,21
;,;,p
de,de,81
sorte,sorte,22
que,que,83
le,le,71
lit,lit,21
ne,ne,60
refroidissait,refroidir,18
pas,pas,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
toujours,toujours,60
dedans,dedans,60
quelqu'un,quelqu'un,52
à,à,81
ronfler,ronfler,14
/.,/.,P
sans,sans,81
répondre,répondre,14
",",",",p
Catherine,Catherine,20
s',se,51
était,être,18
mise,mettre,12
à,à,81
tirer,tirer,14
la,le,71
couverture,couverture,22
et,et,82
à,à,81
la,le,52
border,border,14
/.,/.,P
mais,mais,82
",",",",p
depuis,depuis,81
un,un,71
instant,instant,21
",",",",p
des,de,81
des,le,71
bruits,bruit,21
s',se,51
entendaient,entendre,18
derrière,derrière,81
le,le,71
mur,mur,21
",",",",p
dans,dans,81
la,le,71
maison,maison,22
voisine,voisin,30
/.,/.,P
ces,ce,74
constructions,construction,22
de,de,81
briques,brique,22
",",",",p
installées,installé,31
économiquement,économiquement,60
par,par,81
la,le,71
compagnie,compagnie,22
",",",",p
étaient,être,18
si,si,60
minces,mince,30
",",",",p
que,que,83
les,le,71
moindres,moindre,30
souffles,souffle,21
les,le,52
traversaient,traverser,18
/.,/.,P
on,on,51
vivait,vivre,18
coude,coude,21
à,à,81
coude,coude,21
",",",",p
d',de,81
un,un,71
bout,bout,21
à,à,81
l',le,71
autre,autre,52
;,;,p
et,et,82
rien,rien,52
de,de,81
la,le,71
vie,vie,22
intime,intime,30
n',ne,60
y,y,52
restait,rester,18
caché,caché,31
",",",",p
même,même,60
aux,à,81
aux,le,71
gamins,gamin,21
/.,/.,P
un,un,71
pas,pas,21
lourd,lourd,30
avait,avoir,18
ébranlé,ébranler,12
un,un,71
escalier,escalier,21
",",",",p
puis,puis,60
il,il,51
y,y,52
eut,avoir,19
comme,comme,83
une,un,71
chute,chute,22
molle,mou,30
",",",",p
suivie,suivre,12
d',de,81
un,un,71
soupir,soupir,21
d',de,81
aise,aise,22
/.,/.,P
-,-,p
bon,bon,60
!,!,p
dit,dire,19
Catherine,Catherine,20
",",",",p
Levaque,Levaque,20
descend,descendre,17
",",",",p
et,et,82
voilà,voilà,81
Bouteloup,Bouteloup,20
qui,qui,52
va,aller,17
retrouver,retrouver,14
la,le,71
Levaque,Levaque,20
/.,/.,P
Jeanlin,Jeanlin,20
ricana,ricaner,19
",",",",p
les,le,71
yeux,oeil,21
d',de,81
Alzire,Alzire,20
eux-mêmes,eux-mêmes,51
brillèrent,briller,19
/.,/.,P
chaque,chaque,75
matin,matin,21
",",",",p
ils,ils,51
s',se,51
égayaient,égayer,18
ainsi,ainsi,60
du,de,81
du,le,71
ménage,ménage,21
à,à,81
trois,trois,72
des,de,81
des,le,71
voisins,voisin,21
",",",",p
un,un,71
haveur,haveur,21
qui,qui,52
logeait,loger,18
un,un,71
ouvrier,ouvrier,21
de,de,81
la,le,71
coupe,coupe,22
à,à,81
terre,terre,22
",",",",p
ce,ce,52
qui,qui,52
donnait,donner,18
à,à,81
la,le,71
femme,femme,22
deux,deux,72
hommes,homme,21
",",",",p
l',le,71
un,un,52
de,de,81
nuit,nuit,22
",",",",p
l',le,71
autre,autre,52
de,de,81
jour,jour,21
/.,/.,P
-,-,p
Philomène,Philomène,20
tousse,tousser,17
",",",",p
reprit,reprendre,19
Catherine,Catherine,20
après,après,81
avoir,avoir,14
tendu,tendre,12
l',le,71
oreille,oreille,22
/.,/.,P
elle,il,51
parlait,parler,18
de,de,81
l',le,71
aînée,aînée,22
des,de,81
des,le,71
Levaque,Levaque,20
",",",",p
une,un,71
grande,grand,30
fille,fille,22
de,de,81
dix,dix,72
neuf,neuf,72
ans,an,21
",",",",p
la,le,71
maîtresse,maîtresse,22
de,de,81
Zacharie,Zacharie,20
",",",",p
dont,dont,52
elle,il,51
avait,avoir,18
deux,deux,72
enfants,enfant,21
déjà,déjà,60
",",",",p
si,si,60
délicate,délicat,30
de,de,81
poitrine,poitrine,22
d',de,81
ailleurs,ailleurs,60
",",",",p
qu',que,83
elle,il,51
était,être,18
cribleuse,cribleuse,22
à,à,81
la,le,71
fosse,fosse,22
",",",",p
n',ne,60
ayant,avoir,13
jamais,jamais,60
pu,pouvoir,12
travailler,travailler,14
au,à,81
au,le,71
fond,fond,21
/.,/.,P
-,-,p
ah,ah,93
",",",",p
ouiche,ouiche,93
/!,/!,P
Philomène,Philomène,20
!,!,p
répondit,répondre,19
Zacharie,Zacharie,20
",",",",p
elle,il,51
s',se,51
en,en,52
moque,moquer,17
",",",",p
elle,il,51
dort,dormir,17
!,!,p
/…,/…,P
c',ce,52
est,être,17
cochon,cochon,30
de,de,81
dormir,dormir,14
jusqu',jusque,81
à,à,81
six,six,72
heures,heure,22
/!,/!,P
il,il,51
passait,passer,18
sa,son,73
culotte,culotte,22
",",",",p
lorsqu',lorsque,83
il,il,51
ouvrit,ouvrir,19
une,un,71
fenêtre,fenêtre,22
",",",",p
préoccupé,préoccupé,31
d',de,81
une,un,71
idée,idée,22
brusque,brusque,30
/.,/.,P
au-dehors,au-dehors,60
",",",",p
dans,dans,81
les,le,71
ténèbres,ténèbre,22
",",",",p
le,le,71
coron,coron,21
s',se,51
éveillait,éveiller,18
",",",",p
des,de,81
des,le,71
lumières,lumière,22
pointaient,pointer,18
une,un,52
à,à,81
une,un,52
",",",",p
entre,entre,81
les,le,71
lames,lame,22
des,de,81
des,le,71
persiennes,persienne,22
/.,/.,P
et,et,82
ce,ce,52
fut,être,19
encore,encore,60
une,un,71
dispute,dispute,22
:,:,p
il,il,51
se,se,51
penchait,pencher,18
pour,pour,81
guetter,guetter,14
s',si,83
il,il,51
ne,ne,60
verrait,voir,16
pas,pas,60
sortir,sortir,14
de,de,81
chez,chez,81
les,le,71
Pierron,Pierron,20
",",",",p
en,en,81
face,face,22
",",",",p
le,le,71
maître,maître,21
porion,porion,21
du,de,81
du,le,71
Voreux,Voreux,20
",",",",p
qu',que,52
on,on,51
accusait,accuser,18
de,de,81
coucher,coucher,14
avec,avec,81
la,le,71
Pierronne,Pierronne,20
;,;,p
tandis que,tandis que,83
sa,son,73
soeur,soeur,22
lui,lui,51
criait,crier,18
que,que,83
le,le,71
mari,mari,21
avait,avoir,18
",",",",p
depuis,depuis,81
la,le,71
veille,veille,22
",",",",p
pris,prendre,12
son,son,73
service,service,21
de,de,81
jour,jour,21
à,à,81
l',le,71
accrochage,accrochage,21
",",",",p
et,et,82
que,que,83
bien,bien,60
sûr,sûr,30
Dansaert,Dansaert,20
n',ne,60
avait,avoir,18
pu,pouvoir,12
coucher,coucher,14
",",",",p
cette,ce,74
nuit,nuit,22
-,-,p
là,là,60
/.,/.,P
l',le,71
air,air,21
entrait,entrer,18
par,par,81
bouffées,bouffée,22
glaciales,glacial,30
",",",",p
tous,tout,75
deux,deux,72
s',se,51
emportaient,emporter,18
",",",",p
en,en,81
soutenant,soutenir,13
chacun,chacun,52
l',le,71
exactitude,exactitude,22
de,de,81
ses,son,73
renseignements,renseignement,21
",",",",p
lorsque,lorsque,83
des,de,81
des,le,71
cris,cri,21
et,et,82
des,de,81
des,le,71
larmes,larme,22
éclatèrent,éclater,19
/.,/.,P
c',ce,52
était,être,18
",",",",p
dans,dans,81
son,son,73
berceau,berceau,21
",",",",p
Estelle,Estelle,20
que,que,52
le,le,71
froid,froid,21
contrariait,contrarier,18
/.,/.,P
du,de,81
du,le,71
coup,coup,21
",",",",p
Maheu,Maheu,20
se,se,51
réveilla,réveiller,19
/.,/.,P
qu',que,52
avait,avoir,18
il,il,51
donc,donc,82
dans,dans,81
les,le,71
os,os,21
/?,/?,P
voilà,voilà,81
qu',que,83
il,il,51
se,se,51
rendormait,rendormir,18
comme,comme,83
un,un,71
propre,propre,30
à,à,81
rien,rien,52
/.,/.,P
et,et,82
il,il,51
jurait,jurer,18
si,si,60
fort,fort,60
",",",",p
que,que,83
les,le,71
enfants,enfant,21
",",",",p
à,à,81
côté,côté,21
",",",",p
ne,ne,60
soufflaient,souffler,18
plus,plus,60
/.,/.,P
Zacharie,Zacharie,20
et,et,82
Jeanlin,Jeanlin,20
achevèrent,achever,19
de,de,81
se,se,51
laver,laver,14
",",",",p
avec,avec,81
une,un,71
lenteur,lenteur,22
déjà,déjà,60
lasse,las,30
/.,/.,P
Alzire,Alzire,20
",",",",p
les,le,71
yeux,oeil,21
grands,grand,30
ouverts,ouvert,31
",",",",p
regardait,regarder,18
toujours,toujours,60
/.,/.,P
les,le,71
deux,deux,72
mioches,mioche,21
",",",",p
Lénore,Lénore,20
et,et,82
Henri,Henri,20
",",",",p
aux,à,81
aux,le,71
bras,bras,21
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
",",",",p
n',ne,60
avaient,avoir,18
pas,pas,60
remué,remuer,12
",",",",p
respirant,respirer,13
du,de,81
du,le,71
même,même,75
petit,petit,30
souffle,souffle,21
",",",",p
malgré,malgré,81
le,le,71
vacarme,vacarme,21
/.,/.,P
-,-,p
Catherine,Catherine,20
",",",",p
donne,donner,17
moi,moi,51
la,le,71
chandelle,chandelle,22
!,!,p
cria,crier,19
Maheu,Maheu,20
/.,/.,P
elle,il,51
finissait,finir,18
de,de,81
boutonner,boutonner,14
sa,son,73
veste,veste,22
",",",",p
elle,il,51
porta,porter,19
la,le,71
chandelle,chandelle,22
dans,dans,81
le,le,71
cabinet,cabinet,21
",",",",p
laissant,laisser,13
ses,son,73
frères,frère,21
chercher,chercher,14
leurs,leur,73
vêtements,vêtement,21
",",",",p
au,à,81
au,le,71
peu,peu,60
de,de,81
clarté,clarté,22
qui,qui,52
venait,venir,18
de,de,81
la,le,71
porte,porte,22
/.,/.,P
son,son,73
père,père,21
sautait,sauter,18
du,de,81
du,le,71
lit,lit,21
/.,/.,P
mais,mais,82
elle,il,51
ne,ne,60
s',se,51
arrêta,arrêter,19
point,point,60
",",",",p
elle,il,51
descendit,descendre,19
en,en,81
gros,gros,30
bas,bas,21
de,de,81
laine,laine,22
",",",",p
à tâtons,à tâtons,60
",",",",p
et,et,82
alluma,allumer,19
dans,dans,81
la,le,71
salle,salle,22
une,un,71
autre,autre,75
chandelle,chandelle,22
",",",",p
pour,pour,81
préparer,préparer,14
le,le,71
café,café,21
/.,/.,P
tous,tout,75
les,le,71
sabots,sabot,21
de,de,81
la,le,71
famille,famille,22
étaient,être,18
sous,sous,81
le,le,71
buffet,buffet,21
/.,/.,P
-,-,p
te,tu,51
tairas,taire,15
tu,tu,51
",",",",p
vermine,vermine,22
!,!,p
reprit,reprendre,19
Maheu,Maheu,20
",",",",p
exaspéré,exaspéré,31
des,de,81
des,le,71
cris,cri,21
d',de,81
Estelle,Estelle,20
",",",",p
qui,qui,52
continuaient,continuer,18
/.,/.,P
il,il,51
était,être,18
petit,petit,30
comme,comme,83
le,le,71
vieux,vieux,30
Bonnemort,Bonnemort,20
",",",",p
et,et,82
il,il,51
lui,lui,51
ressemblait,ressembler,18
en,en,81
gras,gras,21
",",",",p
la,le,71
tête,tête,22
forte,fort,30
",",",",p
la,le,71
face,face,22
plate,plat,30
et,et,82
livide,livide,30
",",",",p
sous,sous,81
les,le,71
cheveux,cheveu,21
jaunes,jaune,30
",",",",p
coupés,coupé,31
très,très,60
courts,court,60
/.,/.,P
l',le,71
enfant,enfant,21
hurlait,hurler,18
davantage,davantage,60
",",",",p
effrayée,effrayé,31
par,par,81
ces,ce,74
grands,grand,30
bras,bras,21
noueux,noueux,30
qui,qui,52
se,se,51
balançaient,balancer,18
au-dessus,au-dessus,60
d',de,81
elle,il,51
/.,/.,P
-,-,p
laisse,laisser,17
la,le,52
",",",",p
tu,tu,51
sais,savoir,17
bien,bien,60
qu',que,83
elle,il,51
ne,ne,60
veut,vouloir,17
pas,pas,60
se,se,51
taire,taire,14
",",",",p
dit,dire,19
la,le,71
Maheude,Maheude,20
",",",",p
en,en,81
s',se,51
allongeant,allonger,13
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
lit,lit,21
/.,/.,P
elle,il,51
aussi,aussi,60
venait,venir,18
de,de,81
s',se,51
éveiller,éveiller,14
",",",",p
et,et,82
elle,il,51
se,se,51
plaignait,plaindre,18
",",",",p
c',ce,52
était,être,18
bête,bête,30
de,de,81
ne,ne,60
jamais,jamais,60
faire,faire,14
sa,son,73
nuit,nuit,22
complète,complet,30
/.,/.,P
ils,ils,51
ne,ne,60
pouvaient,pouvoir,18
donc,donc,82
partir,partir,14
doucement,doucement,60
/?,/?,P
enfouie,enfoui,31
dans,dans,81
la,le,71
couverture,couverture,22
",",",",p
elle,il,51
ne,ne,60
montrait,montrer,18
que,que,83
sa,son,73
figure,figure,22
longue,long,30
",",",",p
aux,à,81
aux,le,71
grands,grand,30
traits,trait,21
",",",",p
d',de,81
une,un,71
beauté,beauté,22
lourde,lourd,30
",",",",p
déjà,déjà,60
déformée,déformé,31
à,à,81
trente,trente,72
-,-,p
neuf,neuf,72
ans,an,21
par,par,81
sa,son,73
vie,vie,22
de,de,81
misère,misère,22
et,et,82
les,le,71
sept,sept,72
enfants,enfant,21
qu',que,52
elle,il,51
avait,avoir,18
eus,avoir,19
/.,/.,P
les,le,71
yeux,oeil,21
au,à,81
au,le,71
plafond,plafond,21
",",",",p
elle,il,51
parla,parler,19
avec,avec,81
lenteur,lenteur,22
",",",",p
pendant,pendant,81
que,que,83
son,son,73
homme,homme,21
s',se,51
habillait,habiller,18
/.,/.,P
ni,ni,82
l',le,71
un,un,52
ni,ni,82
l',le,71
autre,autre,52
n',ne,60
entendait,entendre,18
plus,plus,60
la,le,71
petite,petite,22
qui,qui,52
s',se,51
étranglait,étrangler,18
à,à,81
crier,crier,14
/.,/.,P
-,-,p
hein,hein,93
?,?,p
tu,tu,51
sais,savoir,17
",",",",p
je,je,51
suis,être,17
sans,sans,81
le,le,71
sou,sou,21
",",",",p
et,et,82
nous,nous,51
voici,voici,81
à,à,81
lundi,lundi,21
seulement,seulement,60
:,:,p
encore,encore,60
six,six,72
jours,jour,21
à,à,81
attendre,attendre,14
la,le,71
quinzaine,quinzaine,22
/…,/…,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
moyen,moyen,21
que,que,83
ça,ça,52
dure,durer,17
/.,/.,P
à,à,81
vous,vous,51
tous,tout,52
",",",",p
vous,vous,51
apportez,apporter,17
neuf,neuf,72
francs,franc,21
/.,/.,P
comment,comment,60
veux,vouloir,17
tu,tu,51
que,que,83
j',je,51
arrive,arriver,17
/?,/?,P
nous,nous,51
sommes,être,17
dix,dix,72
à,à,81
la,le,71
maison,maison,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
neuf,neuf,72
francs,franc,21
!,!,p
se,se,51
récria,récrier,19
Maheu,Maheu,20
/.,/.,P
moi,moi,51
et,et,82
Zacharie,Zacharie,20
",",",",p
trois,trois,72
:,:,p
ça,ça,52
fait,faire,17
six,six,72
/…,/…,P
Catherine,Catherine,20
et,et,82
le,le,71
père,père,21
",",",",p
deux,deux,72
:,:,p
ça,ça,52
fait,faire,17
quatre,quatre,72
;,;,p
quatre,quatre,72
et,et,82
six,six,72
",",",",p
dix,dix,72
/…,/…,P
et,et,82
Jeanlin,Jeanlin,20
",",",",p
un,un,52
",",",",p
ça,ça,52
fait,faire,17
onze,onze,72
/.,/.,P
-,-,p
oui,oui,60
",",",",p
onze,onze,72
",",",",p
mais,mais,82
il,il,51
y,y,52
a,avoir,17
les,le,71
dimanches,dimanche,21
et,et,82
les,le,71
jours,jour,21
de,de,81
chômage,chômage,21
/…,/…,P
jamais,jamais,60
plus,plus,60
de,de,81
neuf,neuf,30
",",",",p
entends,entendre,17
tu,tu,51
/?,/?,P
il,il,51
ne,ne,60
répondit,répondre,19
pas,pas,60
",",",",p
occupé,occupé,31
à,à,81
chercher,chercher,14
par,par,81
terre,terre,22
sa,son,73
ceinture,ceinture,22
de,de,81
cuir,cuir,21
/.,/.,P
puis,puis,60
",",",",p
il,il,51
dit,dire,19
en,en,81
se,se,51
relevant,relever,13
:,:,p
-,-,p
faut,falloir,17
pas,pas,60
se,se,51
plaindre,plaindre,14
",",",",p
je,je,51
suis,être,17
tout,tout,60
de,de,81
même,même,75
solide,solide,21
/.,/.,P
il,il,51
y,y,52
en,en,52
a,avoir,17
plus,plus,60
d',de,81
un,un,71
",",",",p
à,à,81
quarante,quarante,72
deux,deux,72
ans,an,21
",",",",p
qui,qui,52
passe,passer,17
au,à,81
au,le,71
raccommodage,raccommodage,21
/.,/.,P
-,-,p
possible,possible,30
",",",",p
mon,mon,73
vieux,vieux,21
",",",",p
mais,mais,82
ça,ça,52
ne,ne,60
nous,nous,51
donne,donner,17
pas,pas,60
du,de,81
du,le,71
pain,pain,21
/…,/…,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
je,je,51
vais,aller,17
fiche,ficher,17
",",",",p
dis,dire,17
/?,/?,P
tu,tu,51
n',ne,60
as,avoir,17
rien,rien,52
",",",",p
toi,toi,51
/?,/?,P
j',je,51
ai,avoir,17
deux,deux,72
sous,sou,21
/.,/.,P
-,-,p
garde,garder,17
les,le,52
pour,pour,81
boire,boire,14
une,un,71
chope,chope,22
/…,/…,P
mon,mon,73
dieu,dieu,21
!,!,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
je,je,51
vais,aller,17
fiche,ficher,17
/?,/?,P
six,six,72
jours,jour,21
",",",",p
ça,ça,52
n',ne,60
en,en,52
finit,finir,17
plus,plus,60
/.,/.,P
nous,nous,51
devons,devoir,17
soixante,soixante,72
francs,franc,21
à,à,81
Maigrat,Maigrat,20
",",",",p
qui,qui,52
m',je,51
a,avoir,17
mise,mettre,12
à,à,81
la,le,71
porte,porte,22
avant-hier,avant-hier,60
/.,/.,P
ça,ça,52
ne,ne,60
m',je,51
empêchera,empêcher,15
pas,pas,60
de,de,81
retourner,retourner,14
le,le,52
voir,voir,14
/.,/.,P
mais,mais,82
",",",",p
s',si,83
il,il,51
s',se,51
entête,entêter,17
à,à,81
refuser,refuser,14
/…,/…,P
et,et,82
la,le,71
Maheude,Maheude,20
continua,continuer,19
d',de,81
une,un,71
voix,voix,22
morne,morne,30
",",",",p
la,le,71
tête,tête,22
immobile,immobile,30
",",",",p
fermant,fermer,13
par,par,81
instants,instant,21
les,le,71
yeux,oeil,21
sous,sous,81
la,le,71
clarté,clarté,22
triste,triste,30
de,de,81
la,le,71
chandelle,chandelle,22
/.,/.,P
elle,il,51
disait,dire,18
le,le,71
buffet,buffet,21
vide,vide,30
",",",",p
les,le,71
petits,petit,30
demandant,demander,13
des,de,81
des,le,71
tartines,tartine,22
",",",",p
le,le,71
café,café,21
même,même,30
manquant,manquer,13
",",",",p
et,et,82
l',le,71
eau,eau,22
qui,qui,52
donnait,donner,18
des,de,81
des,le,71
coliques,colique,22
",",",",p
et,et,82
les,le,71
longues,long,30
journées,journée,22
passées,passé,31
à,à,81
tromper,tromper,14
la,le,71
faim,faim,22
avec,avec,81
des,de,81
des,le,71
feuilles,feuille,22
de,de,81
choux,chou,21
bouillies,bouilli,31
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
",",",",p
elle,il,51
avait,avoir,18
dû,devoir,12
hausser,hausser,14
le,le,71
ton,ton,21
",",",",p
car,car,82
le,le,71
hurlement,hurlement,21
d',de,81
Estelle,Estelle,20
couvrait,couvrir,18
ses,son,73
paroles,parole,22
/.,/.,P
ces,ce,74
cris,cri,21
devenaient,devenir,18
insoutenables,insoutenable,30
/.,/.,P
Maheu,Maheu,20
parut,paraître,19
tout,tout,60
d',de,81
un,un,71
coup,coup,21
les,le,52
entendre,entendre,14
",",",",p
hors,hors,81
