11751
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-quinzième extrait>,<>,<>
lieu,lieu,21
de,de,81
plaisir,plaisir,21
par,par,81
les,le,71
truands,truand,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
cabaret,cabaret,21
dans,dans,81
la,le,71
salle,salle,22
basse,bas,30
",",",",p
et,et,82
le,le,71
reste,reste,21
dans,dans,81
les,le,71
étages,étage,21
supérieurs,supérieur,30
/.,/.,P
cette,ce,74
tour,tour,22
était,être,18
le,le,71
point,point,21
le,le,71
plus,plus,60
vivant,vivant,30
et,et,82
par,par,81
conséquent,conséquent,30
le,le,71
plus,plus,60
hideux,hideux,30
de,de,81
la,le,71
truanderie,truanderie,22
/.,/.,P
c',ce,52
était,être,18
une,un,71
sorte,sorte,22
de,de,81
ruche,ruche,22
monstrueuse,monstrueux,30
qui,qui,52
y,y,52
bourdonnait,bourdonner,18
nuit,nuit,22
et,et,82
jour,jour,21
/.,/.,P
la,le,71
nuit,nuit,22
",",",",p
quand,quand,83
tout,tout,75
le,le,71
surplus,surplus,21
de,de,81
la,le,71
gueuserie,gueuserie,22
dormait,dormir,18
",",",",p
quand,quand,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
une,un,71
fenêtre,fenêtre,22
allumée,allumé,31
sur,sur,81
les,le,71
façades,façade,22
terreuses,terreux,30
de,de,81
la,le,71
place,place,22
",",",",p
quand,quand,83
on,on,51
n',ne,60
entendait,entendre,18
plus,plus,60
sortir,sortir,14
un,un,71
cri,cri,21
de,de,81
ces,ce,74
innombrables,innombrable,30
maisonnées,maisonnée,22
",",",",p
de,de,81
ces,ce,74
fourmilières,fourmilière,22
de,de,81
voleurs,voleur,21
",",",",p
de,de,81
filles,fille,22
et,et,82
d',de,81
enfants,enfant,21
volés,volé,31
ou,ou,82
bâtards,bâtard,30
",",",",p
on,on,51
reconnaissait,reconnaître,18
toujours,toujours,60
la,le,71
joyeuse,joyeux,30
tour,tour,22
au,à,81
au,le,71
bruit,bruit,21
qu',que,52
elle,il,51
faisait,faire,18
",",",",p
à,à,81
la,le,71
lumière,lumière,22
écarlate,écarlate,30
qui,qui,52
",",",",p
rayonnant,rayonner,13
à,à,81
la,le,71
fois,fois,22
aux,à,81
aux,le,71
soupiraux,soupirail,21
",",",",p
aux,à,81
aux,le,71
fenêtres,fenêtre,22
",",",",p
aux,à,81
aux,le,71
fissures,fissure,22
des,de,81
des,le,71
murs,mur,21
lézardés,lézardé,31
",",",",p
s',se,51
échappait,échapper,18
pour,pour,81
ainsi,ainsi,60
dire,dire,14
de,de,81
tous,tout,75
ses,son,73
pores,pore,21
/.,/.,P
la,le,71
cave,cave,22
était,être,18
donc,donc,82
le,le,71
cabaret,cabaret,21
/.,/.,P
on,on,51
y,y,52
descendait,descendre,18
par,par,81
une,un,71
porte,porte,22
basse,bas,30
et,et,82
par,par,81
un,un,71
escalier,escalier,21
aussi,aussi,60
roide,raide,30
qu',que,83
un,un,71
alexandrin,alexandrin,21
classique,classique,30
/.,/.,P
sur,sur,81
la,le,71
porte,porte,22
il,il,51
y,y,52
avait,avoir,18
en,en,81
guise,guise,22
d',de,81
enseigne,enseigne,22
un,un,71
merveilleux,merveilleux,30
barbouillage,barbouillage,21
représentant,représenter,13
des,de,81
des,le,71
sols,sol,21
neufs,neuf,30
et,et,82
des,de,81
des,le,71
poulets,poulet,21
tués,tué,31
",",",",p
avec,avec,81
ce,ce,74
calembour,calembour,21
au-dessous,au-dessous,60
:,:,p
aux,à,81
aux,le,71
sonneurs,sonneur,21
pour,pour,81
les,le,71
trépassés,trépassé,21
/.,/.,P
un,un,71
soir,soir,21
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
le,le,71
couvre-feu,couvre-feu,21
sonnait,sonner,18
à,à,81
tous,tout,75
les,le,71
beffrois,beffroi,21
de,de,81
Paris,Paris,20
",",",",p
les,le,71
sergents,sergent,21
du,de,81
du,le,71
guet,guet,21
",",",",p
s',si,83
il,il,51
leur,leur,52
eût,avoir,19
été,être,12
donné,donner,12
d',de,81
entrer,entrer,14
dans,dans,81
la,le,71
redoutable,redoutable,30
cour,cour,22
des,de,81
des,le,71
miracles,miracle,21
",",",",p
auraient,avoir,16
pu,pouvoir,12
remarquer,remarquer,14
qu',que,83
il,il,51
se,se,51
faisait,faire,18
dans,dans,81
la,le,71
taverne,taverne,22
des,de,81
des,le,71
truands,truand,21
plus,plus,60
de,de,81
tumulte,tumulte,21
encore,encore,60
qu',que,83
à,à,81
l',le,71
ordinaire,ordinaire,22
",",",",p
qu',que,83
on,on,51
y,y,52
buvait,boire,18
plus,plus,60
et,et,82
qu',que,83
on,on,51
y,y,52
jurait,jurer,18
mieux,mieux,60
/.,/.,P
au dehors,au-dehors,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
la,le,71
place,place,22
force,force,22
groupes,groupe,21
qui,qui,52
s',se,51
entretenaient,entretenir,18
à,à,81
voix,voix,22
basse,bas,30
",",",",p
comme,comme,83
lorsqu',lorsque,83
il,il,51
se,se,51
trame,tramer,17
un,un,71
grand,grand,30
dessein,dessein,21
",",",",p
et,et,82
çà,çà,60
et,et,82
là,là,60
un,un,71
drôle,drôle,21
accroupi,accroupi,31
qui,qui,52
aiguisait,aiguiser,18
une,un,71
méchante,méchant,30
lame,lame,22
de,de,81
fer,fer,21
sur,sur,81
un,un,71
pavé,pavé,21
/.,/.,P
cependant,cependant,82
dans,dans,81
la,le,71
taverne,taverne,22
même,même,30
",",",",p
le,le,71
vin,vin,21
et,et,82
le,le,71
jeu,jeu,21
étaient,être,18
une,un,71
si,si,60
puissante,puissant,30
diversion,diversion,22
aux,à,81
aux,le,71
idées,idée,22
qui,qui,52
occupaient,occuper,18
ce,ce,74
soir,soir,21
là,là,60
la,le,71
truanderie,truanderie,22
",",",",p
qu',que,83
il,il,51
eût,avoir,19
été,être,12
difficile,difficile,30
de,de,81
deviner,deviner,14
aux,à,81
aux,le,71
propos,propos,21
des,de,81
des,le,71
buveurs,buveur,21
de,de,81
quoi,quoi,52
il,il,51
s',se,51
agissait,agir,18
/.,/.,P
seulement,seulement,60
ils,ils,51
avaient,avoir,18
l',le,71
air,air,21
plus,plus,60
gai,gai,30
que,que,83
de,de,81
coutume,coutume,22
",",",",p
et,et,82
on,on,51
leur,leur,52
voyait,voir,18
à,à,81
tous,tout,52
reluire,reluire,14
quelque,quelque,75
arme,arme,22
entre,entre,81
les,le,71
jambes,jambe,22
",",",",p
une,un,71
serpe,serpe,22
",",",",p
une,un,71
cognée,cognée,22
",",",",p
un,un,71
gros,gros,30
estramaçon,estramaçon,21
",",",",p
ou,ou,82
le,le,71
croc,croc,21
d',de,81
une,un,71
vieille,vieux,30
hacquebute,hacquebute,22
/.,/.,P
la,le,71
salle,salle,22
",",",",p
de,de,81
forme,forme,22
ronde,rond,30
",",",",p
était,être,18
très,très,60
vaste,vaste,30
",",",",p
mais,mais,82
les,le,71
tables,table,22
étaient,être,18
si,si,60
pressées,presser,12
et,et,82
les,le,71
buveurs,buveur,21
si,si,60
nombreux,nombreux,30
",",",",p
que,que,83
tout,tout,52
ce,ce,52
que,que,52
contenait,contenir,18
la,le,71
taverne,taverne,22
",",",",p
hommes,homme,21
",",",",p
femmes,femme,22
",",",",p
bancs,banc,21
",",",",p
cruches,cruche,22
à,à,81
bière,bière,22
",",",",p
ce,ce,52
qui,qui,52
buvait,boire,18
",",",",p
ce,ce,52
qui,qui,52
dormait,dormir,18
",",",",p
ce,ce,52
qui,qui,52
jouait,jouer,18
",",",",p
les,le,52
bien,bien,60
portants,portant,30
",",",",p
les,le,71
éclopés,éclopé,21
",",",",p
semblaient,sembler,18
entassés,entassé,31
pêle-mêle,pêle-mêle,60
avec,avec,81
autant,autant,60
d',de,81
ordre,ordre,21
et,et,82
d',de,81
harmonie,harmonie,22
qu',que,52
un,un,71
tas,tas,21
d',de,81
écailles,écaille,22
d',de,81
huîtres,huître,22
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
quelques,quelque,75
suifs,suif,21
allumés,allumé,31
sur,sur,81
les,le,71
tables,table,22
;,;,p
mais,mais,82
le,le,71
véritable,véritable,30
luminaire,luminaire,21
de,de,81
la,le,71
taverne,taverne,22
",",",",p
ce,ce,52
qui,qui,52
remplissait,remplir,18
dans,dans,81
le,le,71
cabaret,cabaret,21
le,le,71
rôle,rôle,21
du,de,81
du,le,71
lustre,lustre,21
dans,dans,81
une,un,71
salle,salle,22
d',de,81
opéra,opéra,21
",",",",p
c',ce,52
était,être,18
le,le,71
feu,feu,21
/.,/.,P
cette,ce,74
cave,cave,22
était,être,18
si,si,60
humide,humide,30
qu',que,83
on,on,51
n',ne,60
y,y,52
laissait,laisser,18
jamais,jamais,60
éteindre,éteindre,14
la,le,71
cheminée,cheminée,22
",",",",p
même,même,60
en,en,81
plein,plein,30
été,été,21
;,;,p
une,un,71
cheminée,cheminée,22
immense,immense,30
à,à,81
manteau,manteau,21
sculpté,sculpté,31
",",",",p
toute,tout,60
hérissée,hérissé,31
de,de,81
lourds,lourd,30
chenets,chenet,21
de,de,81
fer,fer,21
et,et,82
d',de,81
appareils,appareil,21
de,de,81
cuisine,cuisine,22
",",",",p
avec,avec,81
un,un,52
de,de,81
ces,ce,74
gros,gros,30
feux,feu,21
mêlés,mêlé,31
de,de,81
bois,bois,21
et,et,82
de,de,81
tourbe,tourbe,22
qui,qui,52
",",",",p
la,le,71
nuit,nuit,22
",",",",p
dans,dans,81
les,le,71
rues,rue,22
de,de,81
village,village,21
",",",",p
font,faire,17
saillir,saillir,14
si,si,60
rouge,rouge,30
sur,sur,81
les,le,71
murs,mur,21
d',de,81
en,en,81
face,face,22
le,le,71
spectre,spectre,21
des,de,81
des,le,71
fenêtres,fenêtre,22
de,de,81
forge,forge,22
/.,/.,P
un,un,71
grand,grand,30
chien,chien,21
",",",",p
gravement,gravement,60
assis,assis,31
dans,dans,81
la,le,71
cendre,cendre,22
",",",",p
tournait,tourner,18
devant,devant,81
la,le,71
braise,braise,22
une,un,71
broche,broche,22
chargée,chargé,31
de,de,81
viandes,viande,22
/.,/.,P
quelle,quel,52
que,que,52
fût,être,19
la,le,71
confusion,confusion,22
",",",",p
après,après,81
le,le,71
premier,premier,72
coup,coup,21
d',de,81
oeil,oeil,21
",",",",p
on,on,51
pouvait,pouvoir,18
distinguer,distinguer,14
dans,dans,81
cette,ce,74
multitude,multitude,22
trois,trois,72
groupes,groupe,21
principaux,principal,30
",",",",p
qui,qui,52
se,se,51
pressaient,presser,18
autour,autour,60
de,de,81
trois,trois,72
personnages,personnage,21
que,que,52
le,le,71
lecteur,lecteur,21
connaît,connaître,17
déjà,déjà,60
/.,/.,P
l',le,71
un,un,52
de,de,81
ces,ce,74
personnages,personnage,21
",",",",p
bizarrement,bizarrement,60
accoutré,accoutré,31
de,de,81
maint,maint,30
oripeau,oripeau,21
oriental,oriental,30
",",",",p
était,être,18
Mathias,Mathias,20
Hungadi,Hungadi,20
Spicali,Spicali,20
",",",",p
duc,duc,21
d',de,81
Egypte,Egypte,20
et,et,82
de,de,81
Bohême,Bohême,20
/.,/.,P
le,le,71
maraud,maraud,21
était,être,18
assis,asseoir,12
sur,sur,81
une,un,71
table,table,22
",",",",p
les,le,71
jambes,jambe,22
croisées,croisé,31
",",",",p
le,le,71
doigt,doigt,21
en,en,81
l',le,71
air,air,21
et,et,82
faisait,faire,18
d',de,81
une,un,71
voix,voix,22
haute,haut,30
distribution,distribution,22
de,de,81
sa,son,73
science,science,22
en,en,81
magie,magie,22
blanche,blanc,30
et,et,82
noire,noir,30
à,à,81
mainte,maint,30
face,face,22
béante,béant,30
qui,qui,52
l',le,52
entourait,entourer,18
/.,/.,P
une,un,71
autre,autre,75
cohue,cohue,22
s',se,51
épaississait,épaissir,18
autour,autour,60
de,de,81
notre,notre,73
ancien,ancien,30
ami,ami,21
",",",",p
le,le,71
vaillant,vaillant,30
roi,roi,21
de,de,81
Thunes,Thune,20
",",",",p
armé,armé,31
jusqu',jusque,81
aux,à,81
aux,le,71
dents,dent,22
/.,/.,P
Clopin,Clopin,20
Trouillefou,Trouillefou,20
",",",",p
d',de,81
un,un,71
air,air,21
très,très,60
sérieux,sérieux,30
et,et,82
à,à,81
voix,voix,22
basse,bas,30
",",",",p
réglait,régler,18
le,le,71
pillage,pillage,21
d',de,81
une,un,71
énorme,énorme,30
futaille,futaille,22
pleine,plein,30
d',de,81
armes,arme,22
",",",",p
largement,largement,60
défoncée,défoncé,31
devant,devant,81
lui,lui,51
",",",",p
d',de,81
où,où,60
se,se,51
dégorgeaient,dégorger,18
en,en,81
foule,foule,22
haches,hache,22
",",",",p
épées,épée,22
",",",",p
bassinets,bassinet,21
",",",",p
cottes,cotte,22
de,de,81
mailles,maille,22
",",",",p
platers,plater,21
",",",",p
fers,fer,21
de,de,81
lance,lance,22
et,et,82
d',de,81
archegayes,archegaye,22
",",",",p
sagettes,sagette,22
et,et,82
viretons,vireton,21
",",",",p
comme,comme,83
pommes,pomme,22
et,et,82
raisins,raisin,21
d',de,81
une,un,71
corne,corne,22
d',de,81
abondance,abondance,22
/.,/.,P
chacun,chacun,52
prenait,prendre,18
au,à,81
au,le,71
tas,tas,21
",",",",p
qui,qui,52
le,le,71
morion,morion,21
",",",",p
qui,qui,52
l',le,71
estoc,estoc,21
",",",",p
qui,qui,52
la,le,71
miséricorde,miséricorde,22
à,à,81
poignée,poignée,22
en,en,81
croix,croix,22
/.,/.,P
les,le,71
enfants,enfant,21
eux-mêmes,eux-mêmes,51
s',se,51
armaient,armer,18
",",",",p
et,et,82
il,il,51
y,y,52
avait,avoir,18
jusqu',jusque,81
à,à,81
des,de,81
des,le,71
culs-de-jatte,cul-de-jatte,21
qui,qui,52
",",",",p
bardés,bardé,31
et,et,82
cuirassés,cuirassé,31
",",",",p
passaient,passer,18
entre,entre,81
les,le,71
jambes,jambe,22
des,de,81
des,le,71
buveurs,buveur,21
comme,comme,83
de,de,81
gros,gros,30
scarabées,scarabée,21
/.,/.,P
enfin,enfin,60
un,un,71
troisième,troisième,72
auditoire,auditoire,21
",",",",p
le,le,71
plus,plus,60
bruyant,bruyant,30
",",",",p
le,le,71
plus,plus,60
jovial,jovial,30
et,et,82
le,le,71
plus,plus,60
nombreux,nombreux,30
",",",",p
encombrait,encombrer,18
les,le,71
bancs,banc,21
et,et,82
les,le,71
tables,table,22
au,à,81
au,le,71
milieu,milieu,21
desquels,de,81
desquels,lequel,52
pérorait,pérorer,18
et,et,82
jurait,jurer,18
une,un,71
voix,voix,22
en,en,81
flûte,flûte,22
qui,qui,52
s',se,51
échappait,échapper,18
de,de,81
dessous,dessous,60
une,un,71
pesante,pesant,30
armure,armure,22
complète,complet,30
du,de,81
du,le,71
casque,casque,21
aux,à,81
aux,le,71
éperons,éperon,21
/.,/.,P
l',le,71
individu,individu,21
qui,qui,52
s',se,51
était,être,18
ainsi,ainsi,60
vissé,visser,12
une,un,71
panoplie,panoplie,22
sur,sur,81
le,le,71
corps,corps,21
disparaissait,disparaître,18
tellement,tellement,60
sous,sous,81
l',le,71
habit,habit,21
de,de,81
guerre,guerre,22
qu',que,52
on,on,51
ne,ne,60
voyait,voir,18
plus,plus,60
de,de,81
sa,son,73
personne,personne,22
qu',que,83
un,un,71
nez,nez,21
effronté,effronté,30
",",",",p
rouge,rouge,30
",",",",p
retroussé,retroussé,31
",",",",p
une,un,71
boucle,boucle,22
de,de,81
cheveux,cheveu,21
blonds,blond,30
",",",",p
une,un,71
bouche,bouche,22
rose,rose,30
et,et,82
des,de,81
des,le,71
yeux,oeil,21
hardis,hardi,30
/.,/.,P
il,il,51
avait,avoir,18
la,le,71
ceinture,ceinture,22
pleine,plein,30
de,de,81
dagues,dague,22
et,et,82
de,de,81
poignards,poignard,21
",",",",p
une,un,71
grande,grand,30
épée,épée,22
au,à,81
au,le,71
flanc,flanc,21
",",",",p
une,un,71
arbalète,arbalète,22
rouillée,rouillé,31
à,à,81
sa,son,73
gauche,gauche,22
",",",",p
et,et,82
un,un,71
vaste,vaste,30
broc,broc,21
de,de,81
vin,vin,21
devant,devant,81
lui,lui,51
",",",",p
sans,sans,81
compter,compter,14
à,à,81
sa,son,73
droite,droite,22
une,un,71
épaisse,épais,30
fille,fille,22
débraillée,débraillé,30
/.,/.,P
toutes,tout,75
les,le,71
bouches,bouche,22
à l'entour,à l'entour,60
de,de,81
lui,lui,51
riaient,rire,18
",",",",p
sacraient,sacrer,18
et,et,82
buvaient,boire,18
/.,/.,P
qu',que,52
on,on,51
ajoute,ajouter,17
vingt,vingt,72
groupes,groupe,21
secondaires,secondaire,30
",",",",p
les,le,71
filles,fille,22
et,et,82
les,le,71
garçons,garçon,21
de,de,81
service,service,21
courant,courir,13
avec,avec,81
des,de,81
des,le,71
brocs,broc,21
en,en,81
tête,tête,22
",",",",p
les,le,71
joueurs,joueur,21
accroupis,accroupi,31
sur,sur,81
les,le,71
billes,bille,22
",",",",p
sur,sur,81
les,le,71
merelles,merelle,22
",",",",p
sur,sur,81
les,le,71
dés,dé,21
",",",",p
sur,sur,81
les,le,71
vachettes,vachette,22
",",",",p
sur,sur,81
le,le,71
jeu,jeu,21
passionné,passionné,31
du,de,81
du,le,71
tringlet,tringlet,21
",",",",p
les,le,71
querelles,querelle,22
dans,dans,81
un,un,71
coin,coin,21
",",",",p
les,le,71
baisers,baiser,21
dans,dans,81
l',le,71
autre,autre,52
",",",",p
et,et,82
l',l',94
on,on,51
aura,avoir,15
quelque,quelque,75
idée,idée,22
de,de,81
cet,ce,74
ensemble,ensemble,21
",",",",p
sur,sur,81
lequel,lequel,52
vacillait,vaciller,18
la,le,71
clarté,clarté,22
d',de,81
un,un,71
grand,grand,30
feu,feu,21
flambant,flamber,13
qui,qui,52
faisait,faire,18
danser,danser,14
sur,sur,81
les,le,71
murs,mur,21
du,de,81
du,le,71
cabaret,cabaret,21
mille,mille,72
ombres,ombre,22
démesurées,démesuré,30
et,et,82
grotesques,grotesque,30
/.,/.,P
quant,quand,83
au,à,81
au,le,71
bruit,bruit,21
",",",",p
c',ce,52
était,être,18
l',le,71
intérieur,intérieur,21
d',de,81
une,un,71
cloche,cloche,22
en,en,81
grande,grand,30
volée,volée,22
/.,/.,P
la,le,71
lèchefrite,lèchefrite,22
",",",",p
où,où,60
pétillait,pétiller,18
une,un,71
pluie,pluie,22
de,de,81
graisse,graisse,22
",",",",p
emplissait,emplir,18
de,de,81
son,son,73
glapissement,glapissement,21
continu,continu,30
les,le,71
intervalles,intervalle,21
de,de,81
ces,ce,74
mille,mille,72
dialogues,dialogue,21
qui,qui,52
se,se,51
croisaient,croiser,18
d',de,81
un,un,71
bout,bout,21
à,à,81
l',le,71
autre,autre,52
de,de,81
la,le,71
salle,salle,22
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
parmi,parmi,81
ce,ce,74
vacarme,vacarme,21
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
taverne,taverne,22
",",",",p
sur,sur,81
le,le,71
banc,banc,21
intérieur,intérieur,30
de,de,81
la,le,71
cheminée,cheminée,22
",",",",p
un,un,71
philosophe,philosophe,21
qui,qui,52
méditait,méditer,18
",",",",p
les,le,71
pieds,pied,21
dans,dans,81
la,le,71
cendre,cendre,22
et,et,82
l',le,71
oeil,oeil,21
sur,sur,81
les,le,71
tisons,tison,21
/.,/.,P
c',ce,52
était,être,18
Pierre,Pierre,20
Gringoire,Gringoire,20
/.,/.,P
-,-,p
allons,aller,17
",",",",p
vite,vite,60
!,!,p
dépêchons,dépêcher,17
",",",",p
armez,armer,17
vous,vous,51
!,!,p
on,on,51
se,se,51
met,mettre,17
en,en,81
marche,marche,22
dans,dans,81
une,un,71
heure,heure,22
!,!,p
disait,dire,18
Clopin,Clopin,20
Trouillefou,Trouillefou,20
à,à,81
ses,son,73
argotiers,argotier,21
/.,/.,P
une,un,71
fille,fille,22
fredonnait,fredonner,18
:,:,p
bonsoir,bonsoir,21
",",",",p
mon,mon,73
père,père,21
et,et,82
ma,mon,73
mère,mère,22
/!,/!,P
les,le,71
derniers,dernier,21
couvrent,couvrir,17
le,le,71
feu,feu,21
/.,/.,P
deux,deux,72
joueurs,joueur,21
de,de,81
cartes,carte,22
se,se,51
disputaient,disputer,18
/.,/.,P
-,-,p
valet,valet,21
!,!,p
criait,crier,18
le,le,71
plus,plus,60
empourpré,empourpré,31
des,de,81
des,le,71
deux,deux,72
",",",",p
en,en,81
montrant,montrer,13
le,le,71
poing,poing,21
à,à,81
l',le,71
autre,autre,52
",",",",p
je,je,51
vais,aller,17
te,tu,51
marquer,marquer,14
au,à,81
au,le,71
trèfle,trèfle,21
/.,/.,P
tu,tu,51
pourras,pouvoir,15
remplacer,remplacer,14
Mistigri,Mistigri,20
dans,dans,81
le,le,71
jeu,jeu,21
de,de,81
cartes,carte,22
de,de,81
monseigneur,monseigneur,21
le,le,71
roi,roi,21
/.,/.,P
-,-,p
ouf,ouf,93
!,!,p
hurlait,hurler,18
un,un,71
normand,normand,21
",",",",p
reconnaissable,reconnaissable,30
à,à,81
son,son,73
accent,accent,21
nasillard,nasillard,30
",",",",p
on,on,51
est,être,17
ici,ici,60
tassé,tasser,12
comme,comme,83
les,le,71
saints,saint,21
de,de,81
Caillouville,Caillouville,20
/!,/!,P
fils,fils,21
",",",",p
disait,dire,18
à,à,81
son,son,73
auditoire,auditoire,21
le,le,71
duc,duc,21
d',de,81
Egypte,Egypte,20
parlant,parler,13
en,en,81
fausset,fausset,21
",",",",p
les,le,71
sorcières,sorcière,22
de,de,81
France,France,20
vont,aller,17
au,à,81
au,le,71
sabbat,sabbat,21
sans,sans,81
balai,balai,21
",",",",p
ni,ni,82
graisse,graisse,22
",",",",p
ni,ni,82
monture,monture,22
",",",",p
seulement,seulement,60
avec,avec,81
quelques,quelque,75
paroles,parole,22
magiques,magique,30
/.,/.,P
les,le,71
sorcières,sorcière,22
d',de,81
Italie,Italie,20
ont,avoir,17
toujours,toujours,60
un,un,71
bouc,bouc,21
qui,qui,52
les,le,52
attend,attendre,17
à,à,81
leur,leur,73
porte,porte,22
/.,/.,P
toutes,tout,52
sont,être,17
tenues,tenir,12
de,de,81
sortir,sortir,14
par,par,81
la,le,71
cheminée,cheminée,22
/.,/.,P
la,le,71
voix,voix,22
du,de,81
du,le,71
jeune,jeune,30
drôle,drôle,21
armé,armé,31
de,de,81
pied,pied,21
en,en,81
cap,cap,21
dominait,dominer,18
le,le,71
brouhaha,brouhaha,21
/.,/.,P
-,-,p
Noël,Noël,20
/!,/!,P
Noël,Noël,20
!,!,p
criait,crier,18
il,il,51
/.,/.,P
mes,mon,73
première,premier,72
armes,arme,22
aujourd'hui,aujourd'hui,60
/!,/!,P
truand,truand,21
!,!,p
je,je,51
suis,être,17
truand,truand,21
",",",",p
ventre,ventre,21
de,de,81
Christ,Christ,20
!,!,p
versez,verser,17
moi,moi,51
à,à,81
boire,boire,14
/!,/!,P
mes,mon,73
amis,ami,21
",",",",p
je,je,51
m',je,51
appelle,appeler,17
Jehan,Jehan,20
Frollo,Frollo,20
du,de,81
du,le,71
Moulin,Moulin,20
",",",",p
et,et,82
je,je,51
suis,être,17
gentilhomme,gentilhomme,21
/.,/.,P
je,je,51
suis,être,17
d',de,81
avis,avis,21
que,que,83
",",",",p
si,si,83
dieu,dieu,21
était,être,18
gendarme,gendarme,21
",",",",p
il,il,51
se,se,51
ferait,faire,16
pillard,pillard,21
/.,/.,P
frères,frère,21
",",",",p
nous,nous,51
allons,aller,17
faire,faire,14
une,un,71
belle,beau,30
expédition,expédition,22
/.,/.,P
nous,nous,51
sommes,être,17
des,de,81
des,le,71
vaillants,vaillant,30
/.,/.,P
assiéger,assiéger,14
l',le,71
église,église,22
",",",",p
enfoncer,enfoncer,14
les,le,71
portes,porte,22
",",",",p
en,en,52
tirer,tirer,14
la,le,71
belle,beau,30
fille,fille,22
",",",",p
la,le,52
sauver,sauver,14
des,de,81
des,le,71
juges,juge,21
",",",",p
la,le,52
sauver,sauver,14
des,de,81
des,le,71
prêtres,prêtre,21
",",",",p
démanteler,démanteler,14
le,le,71
cloître,cloître,21
",",",",p
brûler,brûler,14
l',le,71
évêque,évêque,21
dans,dans,81
l',le,71
évêché,évêché,21
",",",",p
nous,nous,51
ferons,faire,15
cela,cela,52
en,en,81
moins,moins,60
de,de,81
temps,temps,21
qu',que,52
il,il,51
n',ne,60
en,en,52
faut,falloir,17
à,à,81
un,un,71
bourgmestre,bourgmestre,21
pour,pour,81
manger,manger,14
une,un,71
cuillerée,cuillerée,22
de,de,81
soupe,soupe,22
/.,/.,P
notre,notre,73
cause,cause,22
est,être,17
juste,juste,30
",",",",p
nous,nous,51
pillerons,piller,15
Notre-Dame,Notre Dame,20
",",",",p
et,et,82
tout,tout,52
sera,être,15
dit,dire,12
/.,/.,P
nous,nous,51
pendrons,pendre,15
Quasimodo,Quasimodo,20
/.,/.,P
connaissez,connaître,17
vous,vous,51
Quasimodo,Quasimodo,20
",",",",p
mesdamoiselles,mademoiselle,22
/?,/?,P
l',le,52
avez,avoir,17
vous,vous,51
vu,voir,12
s',se,51
essouffler,essouffler,14
sur,sur,81
le,le,71
bourdon,bourdon,21
un,un,71
jour,jour,21
de,de,81
grande,grand,30
Pentecôte,Pentecôte,20
/?,/?,P
corne,corne,22
du,de,81
du,le,71
père,père,21
!,!,p
c',ce,52
est,être,17
très,très,60
beau,beau,30
!,!,p
on,on,51
dirait,dire,16
un,un,71
diable,diable,21
à,à,81
cheval,cheval,21
sur,sur,81
une,un,71
gueule,gueule,22
/.,/.,P
-,-,p
mes,mon,73
amis,ami,21
",",",",p
écoutez,écouter,17
moi,moi,51
",",",",p
je,je,51
suis,être,17
truand,truand,21
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
",",",",p
je,je,51
suis,être,17
argotier,argotier,21
dans,dans,81
l',le,71
âme,âme,22
",",",",p
je,je,51
suis,être,17
né,naître,12
cagou,cagou,21
/.,/.,P
j',je,51
ai,avoir,17
été,être,12
très,très,60
riche,riche,30
",",",",p
et,et,82
j',je,51
ai,avoir,17
mangé,manger,12
mon,mon,73
bien,bien,21
/.,/.,P
ma,mon,73
mère,mère,22
voulait,vouloir,18
me,je,51
faire,faire,14
officier,officier,14
",",",",p
mon,mon,73
père,père,21
sous-diacre,sous-diacre,21
",",",",p
ma,mon,73
tante,tante,22
conseiller,conseiller,14
aux,à,81
aux,le,71
enquêtes,enquête,22
",",",",p
ma,mon,73
grand'mère,grand-mère,22
protonotaire,protonotaire,21
du,de,81
du,le,71
roi,roi,21
",",",",p
ma,mon,73
grand'tante,grand-tante,22
trésorier,trésorier,21
de,de,81
robe,robe,22
courte,court,30
/.,/.,P
moi,moi,51
",",",",p
je,je,51
me,je,51
suis,être,17
fait,faire,12
truand,truand,21
/.,/.,P
j',je,51
ai,avoir,17
dit,dire,12
cela,cela,52
à,à,81
mon,mon,73
père,père,21
qui,qui,52
m',je,51
a,avoir,17
craché,cracher,12
sa,son,73
malédiction,malédiction,22
au,à,81
au,le,71
visage,visage,21
",",",",p
à,à,81
ma,mon,73
mère,mère,22
qui,qui,52
s',se,51
est,être,17
mise,mettre,12
",",",",p
la,le,71
vieille,vieux,30
dame,dame,22
",",",",p
à,à,81
pleurer,pleurer,14
et,et,82
à,à,81
baver,baver,14
comme,comme,83
cette,ce,74
bûche,bûche,22
sur,sur,81
ce,ce,74
chenet,chenet,21
/.,/.,P
vive,vivre,17
la,le,71
joie,joie,22
!,!,p
je,je,51
suis,être,17
un,un,71
vrai,vrai,30
Bicêtre,Bicêtre,20
/!,/!,P
tavernière,tavernière,22
