11435
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-neuvième extrait>,<>,<>
moi,moi,51
/.,/.,P
-,-,p
je,je,51
vous,vous,51
défends,défendre,17
de,de,81
me,je,51
le,le,52
dire,dire,14
",",",",p
Vicè,Vicè,20
",",",",p
si,si,83
vous,vous,51
tenez,tenir,17
à,à,81
mes,mon,73
bonnes,bon,30
grâces,grâce,22
",",",",p
répondit,répondre,19
Alicia,Alicia,20
/.,/.,P
vraiment,vraiment,60
toutes,tout,75
ces,ce,74
superstitions,superstition,22
sont,être,17
honteuses,honteux,30
",",",",p
et,et,82
je,je,51
les,le,52
braverai,braver,15
en,en,81
fille,fille,22
chrétienne,chrétien,30
qui,qui,52
ne,ne,60
craint,craindre,17
que,que,83
dieu,dieu,21
/.,/.,P
“,“,p
<VII>,<>,<>
“,“,p
Jettatore,Jettatore,20
!,!,p
jettatore,jettatore,92
/!,/!,P
ces,ce,74
mots,mot,21
s',se,51
adressaient,adresser,18
bien,bien,60
à,à,81
moi,moi,51
",",",",p
se,se,51
disait,dire,18
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
en,en,81
rentrant,rentrer,13
à,à,81
l',le,71
hôtel,hôtel,21
;,;,p
j',je,51
ignore,ignorer,17
ce,ce,52
qu',que,52
ils,ils,51
signifient,signifier,17
",",",",p
mais,mais,82
ils,ils,51
doivent,devoir,17
assurément,assurément,60
renfermer,renfermer,14
un,un,71
sens,sens,21
injurieux,injurieux,30
ou,ou,82
moqueur,moqueur,30
/.,/.,P
qu',que,52
ai,avoir,17
je,je,51
dans,dans,81
ma,mon,73
personne,personne,22
de,de,81
singulier,singulier,21
",",",",p
d',de,81
insolite,insolite,30
ou,ou,82
de,de,81
ridicule,ridicule,30
pour,pour,81
attirer,attirer,14
ainsi,ainsi,60
l',le,71
attention,attention,22
d',de,81
une,un,71
manière,manière,22
défavorable,défavorable,30
/?,/?,P
il,il,51
me,je,51
semble,sembler,17
",",",",p
quoique,quoique,83
l',l',94
on,on,51
soit,être,17
assez,assez,60
mauvais,mauvais,30
juge,juge,21
de,de,81
soi-même,soi-même,51
",",",",p
que,que,83
je,je,51
ne,ne,60
suis,être,17
ni,ni,82
beau,beau,30
",",",",p
ni,ni,82
laid,laid,30
",",",",p
ni,ni,82
grand,grand,30
",",",",p
ni,ni,82
petit,petit,30
",",",",p
ni,ni,82
maigre,maigre,30
",",",",p
ni,ni,82
gros,gros,30
",",",",p
et,et,82
que,que,52
je,je,51
puis,pouvoir,17
passer,passer,14
inaperçu,inaperçu,30
dans,dans,81
la,le,71
foule,foule,22
/.,/.,P
ma,mon,73
mise,mise,22
n',ne,60
a,avoir,17
rien,rien,52
d',de,81
excentrique,excentrique,30
;,;,p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
coiffé,coiffer,12
d',de,81
un,un,71
turban,turban,21
illuminé,illuminé,31
de,de,81
bougies,bougie,22
comme,comme,83
monsieur,monsieur,21
Jourdain,Jourdain,20
dans,dans,81
la,le,71
cérémonie,cérémonie,22
du,de,81
du,le,71
Bourgeois,Bourgeois,20
gentilhomme,gentilhomme,21
;,;,p
je,je,51
ne,ne,60
porte,porter,17
pas,pas,60
une,un,71
veste,veste,22
brodée,brodé,31
d',de,81
un,un,71
soleil,soleil,21
d',de,81
or,or,21
dans,dans,81
le,le,71
dos,dos,21
",",",",p
un,un,71
nègre,nègre,21
ne,ne,60
me,je,51
précède,précéder,17
pas,pas,60
jouant,jouer,13
des,de,81
des,le,71
timbales,timbale,22
;,;,p
mon,mon,73
individualité,individualité,22
",",",",p
parfaitement,parfaitement,60
inconnue,inconnu,30
",",",",p
du,de,81
du,le,71
reste,reste,21
",",",",p
à,à,81
Naples,Naples,20
",",",",p
se,se,51
dérobe,dérober,17
sous,sous,81
le,le,71
vêtement,vêtement,21
uniforme,uniforme,30
",",",",p
domino,domino,21
de,de,81
la,le,71
civilisation,civilisation,22
moderne,moderne,30
",",",",p
et,et,82
je,je,51
suis,être,17
dans,dans,81
tout,tout,75
pareil,pareil,30
aux,à,81
aux,le,71
élégants,élégant,30
qui,qui,52
se,se,51
promènent,promener,17
rue,rue,22
de,de,81
Tolède,Tolède,20
ou,ou,82
au,à,81
au,le,71
largo,largo,92
du,de,81
du,le,71
palais,palais,21
",",",",p
sauf,sauf,81
un,un,71
peu,peu,60
moins,moins,60
de,de,81
cravate,cravate,22
",",",",p
un,un,71
peu,peu,60
moins,moins,60
d',de,81
épingle,épingle,22
",",",",p
un,un,71
peu,peu,60
moins,moins,60
de,de,81
chemise,chemise,22
brodée,brodé,31
",",",",p
un,un,71
peu,peu,60
moins,moins,60
de,de,81
gilet,gilet,21
",",",",p
un,un,71
peu,peu,60
moins,moins,60
de,de,81
chaînes,chaîne,22
d',de,81
or,or,21
et,et,82
beaucoup,beaucoup,60
moins,moins,60
de,de,81
frisure,frisure,22
/.,/.,P
-,-,p
peut-être,peut-être,60
ne,ne,60
suis,être,17
je,je,51
pas,pas,60
assez,assez,60
frisé,friser,12
/!,/!,P
-,-,p
demain,demain,60
je,je,51
me,je,51
ferai,faire,15
donner,donner,14
un,un,71
coup,coup,21
de,de,81
fer,fer,21
par,par,81
le,le,71
coiffeur,coiffeur,21
de,de,81
l',le,71
hôtel,hôtel,21
/.,/.,P
cependant,cependant,82
l',l',94
on,on,51
a,avoir,17
ici,ici,60
l',le,71
habitude,habitude,22
de,de,81
voir,voir,14
des,de,81
des,le,71
étrangers,étranger,21
",",",",p
et,et,82
quelques,quelque,75
imperceptibles,imperceptible,30
différences,différence,22
de,de,81
toilette,toilette,22
ne,ne,60
suffisent,suffire,17
pas,pas,60
à,à,81
justifier,justifier,14
le,le,71
mot,mot,21
mystérieux,mystérieux,30
et,et,82
le,le,71
geste,geste,21
bizarre,bizarre,30
que,que,83
ma,mon,73
présence,présence,22
provoque,provoquer,17
/.,/.,P
j',je,51
ai,avoir,17
remarqué,remarquer,12
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
une,un,71
expression,expression,22
d',de,81
antipathie,antipathie,22
et,et,82
d',de,81
effroi,effroi,21
dans,dans,81
les,le,71
yeux,oeil,21
des,de,81
des,le,71
gens,gens,21
qui,qui,52
s',se,51
écartaient,écarter,18
de,de,81
mon,mon,73
chemin,chemin,21
/.,/.,P
que,que,52
puis,pouvoir,17
je,je,51
avoir,avoir,14
fait,faire,12
à,à,81
ces,ce,74
gens,gens,21
que,que,52
je,je,51
rencontre,rencontrer,17
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
/?,/?,P
un,un,71
voyageur,voyageur,21
",",",",p
ombre,ombre,21
qui,qui,52
passe,passer,17
pour,pour,81
ne,ne,60
plus,plus,60
revenir,revenir,14
",",",",p
n',ne,60
excite,exciter,17
partout,partout,60
que,que,83
l',le,71
indifférence,indifférence,22
",",",",p
à,à,81
moins,moins,60
qu',que,83
il,il,51
n',ne,60
arrive,arriver,17
de,de,81
quelque,quelque,75
région,région,22
éloignée,éloigné,31
et,et,82
ne,ne,60
soit,être,17
l',le,71
échantillon,échantillon,21
d',de,81
une,un,71
race,race,22
inconnue,inconnu,30
:,:,p
mais,mais,82
les,le,71
paquebots,paquebot,21
jettent,jeter,17
",",",",p
toutes,tout,75
les,le,71
semaines,semaine,22
",",",",p
sur,sur,81
le,le,71
môle,môle,21
des,de,81
des,le,71
milliers,millier,21
de,de,81
touristes,touriste,21
dont,dont,52
je,je,51
ne,ne,60
diffère,différer,17
en,en,81
rien,rien,52
/.,/.,P
qui,qui,52
s',se,51
en,en,52
inquiète,inquiéter,17
",",",",p
excepté,excepté,81
les,le,71
facchini,facchini,92
",",",",p
les,le,71
hôteliers,hôtelier,21
et,et,82
les,le,71
domestiques,domestique,21
de,de,81
place,place,22
/?,/?,P
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
tué,tuer,12
mon,mon,73
frère,frère,21
",",",",p
puisque,puisque,83
je,je,51
n',ne,60
en,en,52
avais,avoir,18
pas,pas,60
",",",",p
et,et,82
je,je,51
ne,ne,60
dois,devoir,17
pas,pas,60
être,être,14
marqué,marquer,12
par,par,81
dieu,dieu,21
du,de,81
du,le,71
signe,signe,21
de,de,81
Caïn,Caïn,20
",",",",p
et,et,82
pourtant,pourtant,60
les,le,71
hommes,homme,21
se,se,51
troublent,troubler,17
et,et,82
s',se,51
éloignent,éloigner,17
à,à,81
mon,mon,73
aspect,aspect,21
:,:,p
à,à,81
Paris,Paris,20
",",",",p
à,à,81
Londres,Londres,20
",",",",p
à,à,81
Vienne,Vienne,20
",",",",p
dans,dans,81
toutes,tout,75
les,le,71
villes,ville,22
que,que,52
j',je,51
ai,avoir,17
habitées,habiter,12
",",",",p
je,je,51
ne,ne,60
me,je,51
suis,être,17
jamais,jamais,60
aperçu,apercevoir,12
que,que,83
je,je,51
produisisse,produire,18
un,un,71
effet,effet,21
semblable,semblable,30
;,;,p
l',l',94
on,on,51
m',je,51
a,avoir,17
trouvé,trouver,12
quelquefois,quelquefois,60
fier,fier,30
",",",",p
dédaigneux,dédaigneux,30
",",",",p
sauvage,sauvage,30
;,;,p
l',l',94
on,on,51
m',je,51
a,avoir,17
dit,dire,12
que,que,83
j',je,51
affectais,affecter,18
le,le,71
sneer,sneer,92
anglais,anglais,21
",",",",p
que,que,83
j',je,51
imitais,imiter,18
lord,lord,21
Byron,Byron,20
",",",",p
mais,mais,82
j',je,51
ai,avoir,17
reçu,recevoir,12
partout,partout,60
l',le,71
accueil,accueil,21
dû,dû,31
à,à,81
un,un,71
gentleman,gentleman,21
",",",",p
et,et,82
mes,mon,73
avances,avance,22
",",",",p
quoique,quoique,83
rares,rare,30
",",",",p
n',ne,60
en,en,52
étaient,être,18
que,que,83
mieux,mieux,60
appréciées,apprécier,12
/.,/.,P
une,un,71
traversée,traversée,22
de,de,81
trois,trois,72
jours,jour,21
de,de,81
Marseille,Marseille,20
à,à,81
Naples,Naples,20
ne,ne,60
peut,pouvoir,17
pas,pas,60
m',je,51
avoir,avoir,14
changé,changer,12
à,à,81
ce,ce,74
point,point,21
d',de,81
être,être,14
devenu,devenir,12
odieux,odieux,30
ou,ou,82
grotesque,grotesque,30
",",",",p
moi,moi,51
que,que,52
plus,plus,60
d',de,81
une,un,71
femme,femme,22
a,avoir,17
distingué,distinguer,12
et,et,82
qui,qui,52
ai,avoir,17
su,savoir,12
touché,touché,31
le,le,71
coeur,coeur,21
de,de,81
miss,miss,21
Alicia,Alicia,20
Ward,Ward,20
",",",",p
une,un,71
délicieuse,délicieux,30
jeune,jeune,30
fille,fille,22
",",",",p
une,un,71
créature,créature,22
céleste,céleste,30
",",",",p
un,un,71
ange,ange,21
de,de,81
Thomas,Thomas,20
Moore,Moore,20
/!,/!,P
“,“,p
ces,ce,74
réflexions,réflexion,22
",",",",p
raisonnables,raisonnable,30
assurément,assurément,60
",",",",p
calmèrent,calmer,19
un,un,71
peu,peu,60
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
",",",",p
et,et,82
il,il,51
se,se,51
persuada,persuader,19
qu',que,83
il,il,51
avait,avoir,18
attaché,attacher,12
à,à,81
la,le,71
mimique,mimique,22
exagérée,exagéré,31
des,de,81
des,le,71
Napolitains,Napolitain,20
",",",",p
le,le,71
peuple,peuple,21
le,le,71
plus,plus,60
gesticulateur,gesticulateur,30
du,de,81
du,le,71
monde,monde,21
",",",",p
un,un,71
sens,sens,21
dont,dont,52
elle,il,51
était,être,18
dénuée,dénué,30
/.,/.,P
il,il,51
était,être,18
tard,tard,60
/.,/.,P
-,-,p
tous,tout,75
les,le,71
voyageurs,voyageur,21
",",",",p
à,à,81
l',le,71
exception,exception,22
de,de,81
Paul,Paul,20
",",",",p
avaient,avoir,18
regagné,regagner,12
leurs,leur,73
chambres,chambre,22
respectives,respectif,30
;,;,p
Gelsomina,Gelsomina,20
",",",",p
l',le,71
une,un,52
des,de,81
des,le,71
servantes,servante,22
dont,dont,52
nous,nous,51
avons,avoir,17
esquissé,esquisser,12
la,le,71
physionomie,physionomie,22
dans,dans,81
le,le,71
conciliabule,conciliabule,21
tenu,tenu,31
à,à,81
la,le,71
cuisine,cuisine,22
sous,sous,81
la,le,71
présidence,présidence,22
de,de,81
Virgilio,Virgilio,20
Falsacappa,Falsacappa,20
",",",",p
attendait,attendre,18
que,que,83
Paul,Paul,20
fût,être,19
rentré,rentrer,12
pour,pour,81
mettre,mettre,14
les,le,71
barres,barre,22
de,de,81
clôture,clôture,22
à,à,81
la,le,71
porte,porte,22
/.,/.,P
Nanella,Nanella,20
",",",",p
l',le,71
autre,autre,75
fille,fille,22
",",",",p
dont,dont,52
c',ce,52
était,être,18
le,le,71
tour,tour,21
de,de,81
veiller,veiller,14
",",",",p
avait,avoir,18
prié,prier,12
sa,son,73
compagne,compagne,22
plus,plus,60
hardie,hardi,30
de,de,81
tenir,tenir,14
sa,son,73
place,place,22
",",",",p
ne,ne,60
voulant,vouloir,13
pas,pas,60
se,se,51
rencontrer,rencontrer,14
avec,avec,81
le,le,71
forestiere,forestiere,92
soupçonné,soupçonné,31
de,de,81
jettature,jettature,92
;,;,p
aussi,aussi,60
Gelsomina,Gelsomina,20
était,être,18
elle,il,51
sous,sous,81
les,le,71
armes,arme,22
:,:,p
un,un,71
énorme,énorme,30
paquet,paquet,21
d',de,81
amulettes,amulette,22
se,se,51
hérissait,hérisser,18
sur,sur,81
sa,son,73
poitrine,poitrine,22
",",",",p
et,et,82
cinq,cinq,72
petites,petit,30
cornes,corne,22
de,de,81
corail,corail,21
tremblaient,trembler,18
au,à,81
au,le,71
lieu,lieu,21
de,de,81
pampilles,pampille,22
à,à,81
la,le,71
perle,perle,22
taillée,taillé,31
de,de,81
ses,son,73
boucles,boucle,22
d',de,81
oreilles,oreille,22
;,;,p
sa,son,73
main,main,22
",",",",p
repliée,replié,31
d',de,81
avance,avance,22
",",",",p
tendait,tendre,18
l',le,71
index,index,21
et,et,82
le,le,71
petit,petit,30
doigt,doigt,21
avec,avec,81
une,un,71
correction,correction,22
que,que,52
le,le,71
révérend,révérend,21
curé,curé,31
Andréa,Andréa,20
de,de,81
Jorio,Jorio,20
",",",",p
auteur,auteur,21
de,de,81
la,le,71
Mimica,Mimica,20
degli,degli,92
antichi,antichi,92
investigata,investigata,92
nel,nel,92
gestire,gestire,92
napoletano,napoletano,92
",",",",p
eût,avoir,19
assurément,assurément,60
approuvée,approuver,12
/.,/.,P
la,le,71
brave,brave,30
Gelsomina,Gelsomina,20
",",",",p
dissimulant,dissimuler,13
sa,son,73
main,main,22
derrière,derrière,81
un,un,71
pli,pli,21
de,de,81
sa,son,73
jupe,jupe,22
",",",",p
présenta,présenter,19
le,le,71
flambeau,flambeau,21
à,à,81
monsieur,monsieur,21
d',de,81
Aspremont,Aspremont,20
",",",",p
et,et,82
dirigea,diriger,19
sur,sur,81
lui,lui,51
un,un,71
regard,regard,21
aigu,aigu,30
",",",",p
persistant,persistant,30
",",",",p
presque,presque,60
provocateur,provocateur,30
",",",",p
d',de,81
une,un,71
expression,expression,22
si,si,60
singulière,singulier,30
",",",",p
que,que,83
le,le,71
jeune,jeune,30
homme,homme,21
en,en,52
baissa,baisser,19
les,le,71
yeux,oeil,21
:,:,p
circonstance,circonstance,22
qui,qui,52
parut,paraître,19
faire,faire,14
beaucoup,beaucoup,60
de,de,81
plaisir,plaisir,21
à,à,81
cette,ce,74
belle,beau,30
fille,fille,22
/.,/.,P
à,à,81
la,le,52
voir,voir,14
immobile,immobile,30
et,et,82
droite,droit,30
",",",",p
allongeant,allonger,13
le,le,71
flambeau,flambeau,21
avec,avec,81
un,un,71
geste,geste,21
de,de,81
statue,statue,22
",",",",p
le,le,71
profil,profil,21
découpé,découpé,31
par,par,81
une,un,71
ligne,ligne,22
lumineuse,lumineux,30
",",",",p
l',le,71
oeil,oeil,21
fixe,fixe,30
et,et,82
flamboyant,flamboyant,30
",",",",p
on,on,51
eût,avoir,19
dit,dire,12
la,le,71
Némésis,Némésis,20
antique,antique,30
cherchant,chercher,13
à,à,81
déconcerter,déconcerter,14
un,un,71
coupable,coupable,21
/.,/.,P
lorsque,lorsque,83
le,le,71
voyageur,voyageur,21
eut,avoir,19
monté,monter,12
l',le,71
escalier,escalier,21
et,et,82
que,que,83
le,le,71
bruit,bruit,21
de,de,81
ses,son,73
pas,pas,21
se,se,51
fut,être,19
éteint,éteindre,12
dans,dans,81
le,le,71
silence,silence,21
",",",",p
Gelsomina,Gelsomina,20
releva,relever,19
la,le,71
tête,tête,22
d',de,81
un,un,71
air,air,21
de,de,81
triomphe,triomphe,21
",",",",p
et,et,82
dit,dire,19
:,:,p
“,“,p
je,je,51
lui,lui,51
ai,avoir,17
joliment,joliment,60
fait,faire,12
rentrer,rentrer,14
son,son,73
regard,regard,21
dans,dans,81
la,le,71
prunelle,prunelle,22
",",",",p
à,à,81
ce,ce,74
vilain,vilain,30
monsieur,monsieur,21
",",",",p
que,que,52
saint,saint,30
janvier,janvier,21
confonde,confondre,17
;,;,p
je,je,51
suis,être,17
sûre,sûr,30
qu',que,83
il,il,51
ne,ne,60
m',je,51
arrivera,arriver,15
rien,rien,52
de,de,81
fâcheux,fâcheux,30
/.,/.,P
“,“,p
Paul,Paul,20
dormit,dormir,19
mal,mal,60
et,et,82
d',de,81
un,un,71
sommeil,sommeil,21
agité,agité,31
;,;,p
il,il,51
fut,être,19
tourmenté,tourmenter,12
par,par,81
toutes,tout,75
sortes,sorte,22
de,de,81
rêves,rêve,21
bizarres,bizarre,30
se,se,51
rapportant,rapporter,13
aux,à,81
aux,le,71
idées,idée,22
qui,qui,52
avaient,avoir,18
préoccupé,préoccuper,12
sa,son,73
veille,veille,22
:,:,p
il,il,51
se,se,51
voyait,voir,18
entouré,entouré,31
de,de,81
figures,figure,22
grimaçantes,grimaçant,30
et,et,82
monstrueuses,monstrueux,30
",",",",p
exprimant,exprimer,13
la,le,71
haine,haine,22
",",",",p
la,le,71
colère,colère,22
et,et,82
la,le,71
peur,peur,22
;,;,p
puis,puis,60
les,le,71
figures,figure,22
s',se,51
évanouissaient,évanouir,18
;,;,p
les,le,71
doigts,doigt,21
longs,long,30
",",",",p
maigres,maigre,30
",",",",p
osseux,osseux,30
",",",",p
à,à,81
phalanges,phalange,22
noueuses,noueux,30
",",",",p
sortant,sortir,13
de,de,81
l',le,71
ombre,ombre,22
et,et,82
rougis,rougi,31
d',de,81
une,un,71
clarté,clarté,22
infernale,infernal,30
",",",",p
le,le,52
menaçaient,menacer,18
en,en,81
faisant,faire,13
des,de,81
des,le,71
signes,signe,21
cabbalistiques,cabalistique,30
;,;,p
les,le,71
ongles,ongle,21
de,de,81
ces,ce,74
doigts,doigt,21
",",",",p
se,se,51
recourbant,recourber,13
en,en,81
griffes,griffe,22
de,de,81
tigre,tigre,21
",",",",p
en,en,81
serres,serre,22
de,de,81
vautour,vautour,21
",",",",p
s',se,51
approchaient,approcher,18
de,de,81
plus,plus,60
en,en,81
plus,plus,60
de,de,81
son,son,73
visage,visage,21
et,et,82
semblaient,sembler,18
chercher,chercher,14
à,à,81
lui,lui,51
vider,vider,14
l',le,71
orbite,orbite,22
des,de,81
des,le,71
yeux,oeil,21
/.,/.,P
par,par,81
un,un,71
effort,effort,21
suprême,suprême,30
",",",",p
il,il,51
parvint,parvenir,19
à,à,81
écarter,écarter,14
ces,ce,74
mains,main,22
",",",",p
voltigeant,voltiger,13
sur,sur,81
des,de,81
des,le,71
ailes,aile,22
de,de,81
chauve-souris,chauve-souris,22
;,;,p
mais,mais,82
aux,à,81
aux,le,71
mains,main,22
crochues,crochu,30
succédèrent,succéder,19
des,de,81
des,le,71
massacres,massacre,21
de,de,81
boeufs,boeuf,21
",",",",p
de,de,81
buffles,buffle,21
et,et,82
de,de,81
cerfs,cerf,21
",",",",p
crânes,crâne,21
blanchis,blanchi,31
animés,animé,31
d',de,81
une,un,71
vie,vie,22
morte,mort,31
",",",",p
qui,qui,52
l',le,52
assaillaient,assaillir,18
de,de,81
leurs,leur,73
cornes,corne,22
et,et,82
de,de,81
leurs,leur,73
ramures,ramure,22
et,et,82
le,le,52
forçaient,forcer,18
à,à,81
se,se,51
jeter,jeter,14
à,à,81
la,le,71
mer,mer,22
",",",",p
où,où,60
il,il,51
se,se,51
déchirait,déchirer,18
le,le,71
corps,corps,21
sur,sur,81
une,un,71
forêt,forêt,22
de,de,81
corail,corail,21
aux,à,81
aux,le,71
branches,branche,22
pointues,pointu,30
ou,ou,82
bifurquées,bifurqué,31
;,;,p
-,-,p
une,un,71
vague,vague,22
le,le,52
rapportait,rapporter,18
à,à,81
la,le,71
côte,côte,22
",",",",p
moulu,moulu,31
",",",",p
brisé,brisé,31
",",",",p
à,à,81
demi-mort,demi-mort,31
;,;,p
et,et,82
",",",",p
comme,comme,83
le,le,71
don,don,21
Juan,Juan,20
de,de,81
lord,lord,21
Byron,Byron,20
",",",",p
il,il,51
entrevoyait,entrevoir,18
à,à,81
travers,travers,21
son,son,73
évanouissement,évanouissement,21
une,un,71
tête,tête,22
charmante,charmant,30
qui,qui,52
se,se,51
penchait,pencher,18
vers,vers,81
lui,lui,51
;,;,p
-,-,p
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
Haydée,Haydée,20
",",",",p
mais,mais,82
Alicia,Alicia,20
",",",",p
plus,plus,60
belle,beau,30
encore,encore,60
que,que,83
l',le,71
être,être,21
imaginaire,imaginaire,30
créé,créé,31
par,par,81
le,le,71
poète,poète,21
/.,/.,P
la,le,71
jeune,jeune,30
fille,fille,22
faisait,faire,18
de,de,81
vains,vain,30
efforts,effort,21
pour,pour,81
tirer,tirer,14
sur,sur,81
le,le,71
sable,sable,21
le,le,71
corps,corps,21
que,que,52
la,le,71
mer,mer,22
voulait,vouloir,18
reprendre,reprendre,14
",",",",p
et,et,82
demandait,demander,18
à,à,81
Vicè,Vicè,20
",",",",p
la,le,71
fauve,fauve,30
servante,servante,22
",",",",p
une,un,71
aide,aide,22
que,que,52
celle-ci,celui-ci,52
lui,lui,51
refusait,refuser,18
en,en,81
riant,rire,13
d',de,81
un,un,71
rire,rire,21
féroce,féroce,30
:,:,p
les,le,71
bras,bras,21
d',de,81
Alicia,Alicia,20
se,se,51
fatiguaient,fatiguer,18
",",",",p
et,et,82
Paul,Paul,20
retombait,retomber,18
au,à,81
au,le,71
gouffre,gouffre,21
/.,/.,P
ces,ce,74
fantasmagories,fantasmagorie,22
confusément,confusément,60
effrayantes,effrayant,30
",",",",p
vaguement,vaguement,60
horribles,horrible,30
",",",",p
et,et,82
d',de,81
autres,autre,52
plus,plus,60
insaisissables,insaisissable,30
encore,encore,60
",",",",p
rappelant,rappeler,13
les,le,71
fantômes,fantôme,21
informes,informe,30
ébauchés,ébauché,31
dans,dans,81
l',le,71
ombre,ombre,22
opaque,opaque,30
des,de,81
des,le,71
aquatintes,aquatinte,22
de,de,81
Goya,Goya,20
",",",",p
torturèrent,torturer,19
le,le,71
dormeur,dormeur,21
jusqu',jusque,81
aux,à,81
aux,le,71
premières,premier,72
lueurs,lueur,22
du,de,81
du,le,71
matin,matin,21
;,;,p
son,son,73
âme,âme,22
",",",",p
affranchie,affranchie,22
par,par,81
l',le,71
anéantissement,anéantissement,21
du,de,81
du,le,71
corps,corps,21
",",",",p
semblait,sembler,18
deviner,deviner,14
ce,ce,52
que,que,52
sa,son,73
pensée,pensée,22
éveillée,éveillé,31
ne,ne,60
pouvait,pouvoir,18
comprendre,comprendre,14
",",",",p
et,et,82
tâchait,tâcher,18
de,de,81
traduire,traduire,14
ses,son,73
pressentiments,pressentiment,21
en,en,52
image,imager,17
dans,dans,81
la,le,71
chambre,chambre,22
noire,noir,30
du,de,81
du,le,71
rêve,rêve,21
/.,/.,P
Paul,Paul,20
se,se,51
leva,lever,19
brisé,brisé,31
",",",",p
inquiet,inquiet,30
",",",",p
comme,comme,83
mis,mis,31
sur,sur,81
la,le,71
trace,trace,22
d',de,81
un,un,71
malheur,malheur,21
caché,caché,31
par,par,81
ces,ce,74
cauchemars,cauchemar,21
dont,dont,52
il,il,51
craignait,craindre,18
de,de,81
sonder,sonder,14
le,le,71
mystère,mystère,21
;,;,p
il,il,51
tournait,tourner,18
autour,autour,60
du,de,81
du,le,71
fatal,fatal,30
secret,secret,21
",",",",p
fermant,fermer,13
les,le,71
yeux,oeil,21
pour,pour,81
ne,ne,60
pas,pas,60
voir,voir,14
et,et,82
les,le,71
oreilles,oreille,22
pour,pour,81
ne,ne,60
pas,pas,60
entendre,entendre,14
;,;,p
jamais,jamais,60
il,il,51
n',ne,60
avait,avoir,18
été,être,12
plus,plus,60
triste,triste,30
;,;,p
il,il,51
doutait,douter,18
même,même,60
d',de,81
Alicia,Alicia,20
;,;,p
l',le,71
air,air,21
de,de,81
fatuité,fatuité,22
heureuse,heureux,30
du,de,81
du,le,71
comte,comte,21
napolitain,napolitain,30
",",",",p
la,le,71
complaisance,complaisance,22
avec,avec,81
laquelle,lequel,52
la,le,71
jeune,jeune,30
fille,fille,22
l',le,52
écoutait,écouter,18
",",",",p
la,le,71
mine,mine,22
approbative,approbatif,30
du,de,81
du,le,71
commodore,commodore,21
",",",",p
tout,tout,75
cela,cela,52
lui,lui,51
revenait,revenir,18
en,en,81
mémoire,mémoire,22
enjolivé,enjolivé,31
de,de,81
mille,mille,72
détails,détail,21
cruels,cruel,30
",",",",p
lui,lui,51
noyait,noyer,18
le,le,71
coeur,coeur,21
d',de,81
amertume,amertume,22
et,et,82
ajoutait,ajouter,18
encore,encore,60
à,à,81
sa,son,73
mélancolie,mélancolie,22
/.,/.,P
la,le,71
lumière,lumière,22
a,avoir,17
ce,ce,74
privilège,privilège,21
de,de,81
dissiper,dissiper,14
le,le,71
malaise,malaise,22
causé,causé,31
par,par,81
les,le,71
visions,vision,22
nocturnes,nocturne,30
/.,/.,P
Smarra,Smarra,20
",",",",p
offusqué,offusqué,31
",",",",p
s',se,51
enfuit,enfuir,17
en,en,81
agitant,agiter,13
ses,son,73
ailes,aile,22
membraneuses,membraneux,30
",",",",p
lorsque,lorsque,83
le,le,71
jour,jour,21
tire,tirer,17
ses,son,73
flèches,flèche,22
d',de,81
or,or,21
dans,dans,81
la,le,71
chambre,chambre,22
par,par,81
l',le,71
interstice,interstice,21
des,de,81
des,le,71
rideaux,rideau,21
/.,/.,P
-,-,p
le,le,71
soleil,soleil,21
brillait,briller,18
d',de,81
un,un,71
éclat,éclat,21
joyeux,joyeux,30
",",",",p
le,le,71
ciel,ciel,21
était,être,18
pur,pur,30
",",",",p
et,et,82
sur,sur,81
le,le,71
bleu,bleu,21
de,de,81
la,le,71
mer,mer,22
scintillaient,scintiller,18
des,de,81
des,le,71
millions,million,21
de,de,81
paillettes,paillette,22
:,:,p
peu,peu,60
à,à,81
peu,peu,60
Paul,Paul,20
se,se,51
rasséréna,rasséréner,19
;,;,p
il,il,51
oublia,oublier,19
ses,son,73
rêves,rêve,21
fâcheux,fâcheux,30
et,et,82
les,le,71
impressions,impression,22
bizarres,bizarre,30
de,de,81
la,le,71
veille,veille,22
",",",",p
ou,ou,82
",",",",p
s',si,83
il,il,51
y,y,52
pensait,penser,18
",",",",p
c',ce,52
était,être,18
pour,pour,81
s',se,51
accuser,accuser,14
d',de,81
extravagance,extravagance,22
/.,/.,P
il,il,51
alla,aller,19
faire,faire,14
un,un,71
tour,tour,21
à,à,81
Chiaja,Chiaja,20
pour,pour,81
s',se,51
amuser,amuser,14
du,de,81
du,le,71
spectacle,spectacle,21
de,de,81
la,le,71
pétulance,pétulance,22
napolitaine,napolitain,30
:,:,p
les,le,71
marchands,marchand,21
criaient,crier,18
leurs,leur,73
denrées,denrée,22
sur,sur,81
des,de,81
des,le,71
mélopées,mélopée,22
