11659
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Centième extrait>,<>,<>
ange,ange,21
!,!,p
harpe,harpe,22
éolienne,éolien,30
!,!,p
avec,avec,81
toi,toi,51
je,je,51
serai,être,16
complet,complet,30
!,!,p
il,il,51
y,y,52
a,avoir,17
un,un,71
coeur,coeur,21
dans,dans,81
ma,mon,73
poitrine,poitrine,22
d',de,81
homme,homme,21
!,!,p
faible,faible,30
femme,femme,22
!,!,p
pauvre,pauvre,30
moi,moi,51
!,!,p
toute,tout,75
la,le,71
friperie,friperie,22
du,de,81
du,le,71
coeur,coeur,21
moderne,moderne,30
/.,/.,P
Godefroid,Godefroid,20
restait,rester,18
à,à,81
peine,peine,22
dix,dix,72
minutes,minute,22
dans,dans,81
un,un,71
salon,salon,21
",",",",p
il,il,51
causait,causer,18
sans,sans,81
aucune,aucun,75
prétention,prétention,22
avec,avec,81
les,le,71
femmes,femme,22
",",",",p
elles,ils,51
le,le,52
trouvèrent,trouver,19
alors,alors,60
très,très,60
spirituel,spirituel,30
/.,/.,P
il,il,51
était,être,18
de,de,81
ceux,celui,52
qui,qui,52
n',ne,60
ont,avoir,17
d',de,81
autre,autre,75
esprit,esprit,21
que,que,83
celui,celui,52
qu',que,52
on,on,51
leur,leur,52
prête,prêter,17
/.,/.,P
enfin,enfin,60
",",",",p
jugez,juger,17
de,de,81
son,son,73
absorption,absorption,22
:,:,p
Joby,Joby,20
",",",",p
ses,son,73
chevaux,cheval,21
",",",",p
ses,son,73
voitures,voiture,22
devinrent,devenir,19
des,de,81
des,le,71
choses,chose,22
secondaires,secondaire,30
dans,dans,81
son,son,73
existence,existence,22
/.,/.,P
il,il,51
n',ne,60
était,être,18
heureux,heureux,30
qu',que,83
enfoncé,enfoncer,12
dans,dans,81
sa,son,73
bonne,bon,30
bergère,bergère,22
en,en,81
face,face,22
de,de,81
la,le,71
baronne,baronne,22
",",",",p
au,à,81
au,le,71
coin,coin,21
de,de,81
cette,ce,74
cheminée,cheminée,22
de,de,81
marbre,marbre,21
vert,vert,30
antique,antique,30
",",",",p
occupé,occuper,12
à,à,81
voir,voir,14
Isaure,Isaure,20
",",",",p
à,à,81
prendre,prendre,14
du,de,81
du,le,71
thé,thé,21
en,en,81
causant,causer,13
avec,avec,81
le,le,71
petit,petit,30
cercle,cercle,21
d',de,81
amis,ami,21
qui,qui,52
venaient,venir,18
tous,tout,75
les,le,71
soirs,soir,21
entre,entre,81
onze,onze,72
heures,heure,22
et,et,82
minuit,minuit,21
",",",",p
rue,rue,22
Joubert,Joubert,20
",",",",p
et,et,82
où,où,60
on,on,51
pouvait,pouvoir,18
toujours,toujours,60
jouer,jouer,14
à,à,81
la,le,71
bouillotte,bouillotte,22
sans,sans,81
crainte,crainte,22
:,:,p
j',je,51
y,y,52
ai,avoir,17
toujours,toujours,60
gagné,gagner,12
/.,/.,P
quand,quand,83
Isaure,Isaure,20
avait,avoir,18
avancé,avancer,12
son,son,73
joli,joli,30
petit,petit,30
pied,pied,21
chaussé,chaussé,31
d',de,81
un,un,71
soulier,soulier,21
de,de,81
satin,satin,21
noir,noir,30
et,et,82
que,que,83
Godefroid,Godefroid,20
l',le,52
avait,avoir,18
longtemps,longtemps,60
regardé,regarder,12
",",",",p
il,il,51
restait,rester,18
le,le,71
dernier,dernier,21
et,et,82
disait,dire,18
à,à,81
Isaure,Isaure,20
:,:,p
-,-,p
donne,donner,17
moi,moi,51
ton,ton,73
soulier,soulier,21
/…,/…,P
Isaure,Isaure,20
levait,lever,18
le,le,71
pied,pied,21
",",",",p
le,le,52
posait,poser,18
sur,sur,81
une,un,71
chaise,chaise,22
",",",",p
ôtait,ôter,18
son,son,73
soulier,soulier,21
",",",",p
le,le,71
lui,lui,51
donnait,donner,18
en,en,81
lui,lui,51
jetant,jeter,13
un,un,71
regard,regard,21
",",",",p
un,un,52
de,de,81
ces,ce,74
regards,regard,21
?,?,p
enfin,enfin,60
",",",",p
vous,vous,51
comprenez,comprendre,17
/!,/!,P
Godefroid,Godefroid,20
finit,finir,19
par,par,81
découvrir,découvrir,14
un,un,71
grand,grand,30
mystère,mystère,21
chez,chez,81
Malvina,Malvina,20
/.,/.,P
quand,quand,83
du,de,81
du,le,71
Tillet,Tillet,20
frappait,frapper,18
à,à,81
la,le,71
porte,porte,22
",",",",p
la,le,71
rougeur,rougeur,22
vive,vif,30
qui,qui,52
colorait,colorer,18
les,le,71
joues,joue,22
de,de,81
Malvina,Malvina,20
",",",",p
disait,dire,18
:,:,p
Ferdinand,Ferdinand,20
/!,/!,P
en,en,81
regardant,regarder,13
ce,ce,74
tigre,tigre,21
à,à,81
deux,deux,72
pattes,patte,22
",",",",p
les,le,71
yeux,oeil,21
de,de,81
la,le,71
pauvre,pauvre,30
fille,fille,22
s',se,51
allumaient,allumer,18
comme,comme,83
un,un,71
brasier,brasier,21
sur,sur,81
lequel,lequel,52
afflue,affluer,17
un,un,71
courant,courant,21
d',de,81
air,air,21
;,;,p
elle,il,51
trahissait,trahir,18
un,un,71
plaisir,plaisir,21
infini,infini,30
quand,quand,83
Ferdinand,Ferdinand,20
l',le,52
emmenait,emmener,18
pour,pour,81
faire,faire,14
un,un,71
a parte,a parte,21
près,près,81
d',de,81
une,un,71
console,console,22
ou,ou,82
d',de,81
une,un,71
croisée,croisée,22
/.,/.,P
comme,comme,83
c',ce,52
est,être,17
rare,rare,30
et,et,82
beau,beau,30
",",",",p
une,un,71
femme,femme,22
assez,assez,60
amoureuse,amoureux,30
pour,pour,81
devenir,devenir,14
naïve,naïf,30
et,et,82
laisser,laisser,14
lire,lire,14
dans,dans,81
son,son,73
coeur,coeur,21
/!,/!,P
mon,mon,73
dieu,dieu,21
",",",",p
c',ce,52
est,être,17
aussi,aussi,60
rare,rare,30
à,à,81
Paris,Paris,20
",",",",p
que,que,83
la,le,71
fleur,fleur,22
qui,qui,52
chante,chanter,17
l',le,71
est,est,21
aux,à,81
aux,le,71
Indes,Inde,20
/.,/.,P
malgré,malgré,81
cette,ce,74
amitié,amitié,22
commencée,commencé,31
depuis,depuis,81
le,le,71
jour,jour,21
où,où,60
les,le,71
d',de,81
Aldrigger,Aldrigger,20
apparurent,apparaître,19
chez,chez,81
les,le,71
Nucingen,Nucingen,20
",",",",p
Ferdinand,Ferdinand,20
n',ne,60
épousait,épouser,18
pas,pas,60
Malvina,Malvina,20
/.,/.,P
notre,notre,73
féroce,féroce,30
ami,ami,21
du,de,81
du,le,71
Tillet,Tillet,20
n',ne,60
avait,avoir,18
pas,pas,60
paru,paraître,12
jaloux,jaloux,30
de,de,81
la,le,71
cour,cour,22
assidue,assidu,30
que,que,52
Desroches,Desroches,20
faisait,faire,18
à,à,81
Malvina,Malvina,20
",",",",p
car,car,82
pour,pour,81
achever,achever,14
de,de,81
payer,payer,14
sa,son,73
charge,charge,22
avec,avec,81
une,un,71
dot,dot,22
qui,qui,52
ne,ne,60
paraissait,paraître,18
pas,pas,60
être,être,14
moindre,moindre,30
de,de,81
cinquante,cinquante,72
mille,mille,72
écus,écu,21
",",",",p
il,il,51
avait,avoir,18
feint,feindre,12
l',le,71
amour,amour,21
",",",",p
lui,lui,51
homme,homme,21
de,de,81
palais,palais,21
/!,/!,P
quoique,quoique,83
profondément,profondément,60
humiliée,humilié,31
de,de,81
l',le,71
insouciance,insouciance,22
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
Malvina,Malvina,20
l',le,52
aimait,aimer,18
trop,trop,60
pour,pour,81
lui,lui,51
fermer,fermer,14
la,le,71
porte,porte,22
/.,/.,P
chez,chez,81
cette,ce,74
fille,fille,22
",",",",p
tout,tout,75
âme,âme,22
",",",",p
tout,tout,75
sentiment,sentiment,21
",",",",p
tout,tout,75
expansion,expansion,22
",",",",p
tantôt,tantôt,60
la,le,71
fierté,fierté,22
cédait,céder,18
à,à,81
l',le,71
amour,amour,21
",",",",p
tantôt,tantôt,60
l',le,71
amour,amour,21
offensé,offensé,31
laissait,laisser,18
la,le,71
fierté,fierté,22
prendre,prendre,14
le,le,71
dessus,dessus,21
/.,/.,P
calme,calme,30
et,et,82
froid,froid,30
",",",",p
notre,notre,73
ami,ami,21
Ferdinand,Ferdinand,20
acceptait,accepter,18
cette,ce,74
tendresse,tendresse,22
",",",",p
il,il,51
la,le,52
respirait,respirer,18
avec,avec,81
les,le,71
tranquilles,tranquille,30
délices,délice,21
du,de,81
du,le,71
tigre,tigre,21
léchant,lécher,13
le,le,71
sang,sang,21
qui,qui,52
lui,lui,51
teint,teindre,17
la,le,71
gueule,gueule,22
;,;,p
il,il,51
en,en,52
venait,venir,18
chercher,chercher,14
les,le,71
preuves,preuve,22
",",",",p
il,il,51
ne,ne,60
passait,passer,18
pas,pas,60
deux,deux,72
jours,jour,21
sans,sans,81
se,se,51
montrer,montrer,14
rue,rue,22
Joubert,Joubert,20
/.,/.,P
le,le,71
drôle,drôle,21
possédait,posséder,18
alors,alors,60
environ,environ,60
dix,dix,72
huit,huit,72
cent,cent,72
mille,mille,72
francs,franc,21
",",",",p
la,le,71
question,question,22
de,de,81
fortune,fortune,22
devait,devoir,18
être,être,14
peu,peu,60
de,de,81
chose,chose,22
à,à,81
ses,son,73
yeux,oeil,21
et,et,82
il,il,51
avait,avoir,18
résisté,résister,12
non,non,60
seulement,seulement,60
à,à,81
Malvina,Malvina,20
",",",",p
mais,mais,82
aux,à,81
aux,le,71
barons,baron,21
de,de,81
Nucingen,Nucingen,20
et,et,82
de,de,81
Rastignac,Rastignac,20
",",",",p
qui,qui,52
",",",",p
tous,tout,75
deux,deux,72
",",",",p
lui,lui,51
avaient,avoir,18
fait,faire,12
faire,faire,14
soixante,soixante,72
quinze,quinze,72
lieues,lieue,22
par,par,81
jour,jour,21
",",",",p
à,à,81
quatre,quatre,72
francs,franc,21
de,de,81
guides,guide,21
",",",",p
postillon,postillon,21
en,en,81
avant,avant,21
",",",",p
et,et,82
sans-fil,sans-fil,21
!,!,p
dans,dans,81
les,le,71
labyrinthes,labyrinthe,21
de,de,81
leur,leur,73
finesse,finesse,22
/.,/.,P
Godefroid,Godefroid,20
ne,ne,60
put,pouvoir,19
s',se,51
empêcher,empêcher,14
de,de,81
parler,parler,14
à,à,81
sa,son,73
future,futur,30
belle-soeur,belle-soeur,22
de,de,81
la,le,71
situation,situation,22
ridicule,ridicule,30
où,où,60
elle,il,51
se,se,51
trouvait,trouver,18
entre,entre,81
un,un,71
banquier,banquier,21
et,et,82
un,un,71
avoué,avoué,21
/.,/.,P
-,-,p
vous,vous,51
voulez,vouloir,17
me,je,51
sermonner,sermonner,14
au,à,81
au,le,71
sujet,sujet,21
de,de,81
Ferdinand,Ferdinand,20
",",",",p
savoir,savoir,14
le,le,71
secret,secret,21
qu',que,52
il,il,51
y,y,52
a,avoir,17
entre,entre,81
nous,nous,51
",",",",p
dit,dire,19
elle,il,51
avec,avec,81
franchise,franchise,22
/.,/.,P
cher,cher,30
Godefroid,Godefroid,20
",",",",p
n',ne,60
y,y,52
revenez,revenir,17
jamais,jamais,60
/.,/.,P
la,le,71
naissance,naissance,22
de,de,81
Ferdinand,Ferdinand,20
",",",",p
ses,son,73
antécédents,antécédent,21
",",",",p
sa,son,73
fortune,fortune,22
n',ne,60
y,y,52
sont,être,17
pour,pour,81
rien,rien,52
",",",",p
ainsi,ainsi,60
croyez,croire,17
à,à,81
quelque,quelque,75
chose,chose,22
d',de,81
extraordinaire,extraordinaire,30
/.,/.,P
cependant,cependant,82
",",",",p
à,à,81
quelques,quelque,75
jours,jour,21
de,de,81
là,là,60
",",",",p
Malvina,Malvina,20
prit,prendre,19
Beaudenord,Beaudenord,20
à,à,81
part,part,22
",",",",p
et,et,82
lui,lui,51
dit,dire,19
:,:,p
-,-,p
je,je,51
ne,ne,60
crois,croire,17
pas,pas,60
monsieur,monsieur,21
Desroches,Desroches,20
honnête,honnête,30
homme,homme,21
(,(,p
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
l',le,71
instinct,instinct,21
de,de,81
l',le,71
amour,amour,21
!,!,p
),),p
",",",",p
il,il,51
voudrait,vouloir,16
m',je,51
épouser,épouser,14
",",",",p
et,et,82
fait,faire,12
la,le,71
cour,cour,22
à,à,81
la,le,71
fille,fille,22
d',de,81
un,un,71
épicier,épicier,21
/.,/.,P
je,je,51
voudrais,vouloir,16
bien,bien,60
savoir,savoir,14
si,si,83
je,je,51
suis,être,17
un,un,71
pis-aller,pis-aller,21
",",",",p
si,si,83
le,le,71
mariage,mariage,21
est,être,17
pour,pour,81
lui,lui,51
une,un,71
affaire,affaire,22
d',de,81
argent,argent,21
/.,/.,P
malgré,malgré,81
la,le,71
profondeur,profondeur,22
de,de,81
son,son,73
esprit,esprit,21
",",",",p
Desroches,Desroches,20
ne,ne,60
pouvait,pouvoir,18
deviner,deviner,14
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
et,et,82
il,il,51
craignait,craindre,18
de,de,81
lui,lui,51
voir,voir,14
épouser,épouser,14
Malvina,Malvina,20
/.,/.,P
donc,donc,82
",",",",p
le,le,71
gars,gars,21
s',se,51
était,être,18
ménagé,ménager,12
une,un,71
retraite,retraite,22
",",",",p
sa,son,73
position,position,22
était,être,18
intolérable,intolérable,30
",",",",p
il,il,51
gagnait,gagner,18
à,à,81
peine,peine,22
",",",",p
tous,tout,52
frais,frais,21
faits,fait,31
",",",",p
les,le,71
intérêts,intérêt,21
de,de,81
sa,son,73
dette,dette,22
/.,/.,P
les,le,71
femmes,femme,22
ne,ne,60
comprennent,comprendre,17
rien,rien,52
à,à,81
ces,ce,74
situations,situation,22
là,là,60
/.,/.,P
pour,pour,81
elles,ils,51
",",",",p
le,le,71
coeur,coeur,21
est,être,17
toujours,toujours,60
millionnaire,millionnaire,30
/!,/!,P
mais,mais,82
comme,comme,83
ni,ni,82
Desroches,Desroches,20
ni,ni,82
du,de,81
du,le,71
Tillet,Tillet,20
n',ne,60
ont,avoir,17
épousé,épouser,12
Malvina,Malvina,20
",",",",p
dit,dire,19
Finot,Finot,20
",",",",p
explique,expliquer,17
nous,nous,51
le,le,71
secret,secret,21
de,de,81
Ferdinand,Ferdinand,20
/?,/?,P
le,le,71
secret,secret,21
",",",",p
le,le,52
voici,voici,81
",",",",p
répondit,répondre,19
Bixiou,Bixiou,20
/.,/.,P
règle,règle,22
générale,général,30
:,:,p
une,un,71
jeune,jeune,30
personne,personne,22
qui,qui,52
a,avoir,17
donné,donner,12
une,un,71
seule,seul,30
fois,fois,22
son,son,73
soulier,soulier,21
",",",",p
le,le,52
refusât,refuser,18
elle,il,51
pendant,pendant,81
dix,dix,72
ans,an,21
",",",",p
n',ne,60
est,être,17
jamais,jamais,60
épousée,épouser,12
par,par,81
celui,celui,52
à,à,81
qui,qui,52
/…,/…,P
bêtise,bêtise,22
!,!,p
dit,dire,19
Blondet,Blondet,20
en,en,81
interrompant,interrompre,13
",",",",p
on,on,51
aime,aimer,17
aussi,aussi,60
parce qu',parce que,83
on,on,51
a,avoir,17
aimé,aimer,12
/.,/.,P
le,le,71
secret,secret,21
",",",",p
le,le,52
voici,voici,81
:,:,p
règle,règle,22
générale,général,30
",",",",p
ne,ne,60
vous,vous,51
mariez,marier,17
pas,pas,60
sergent,sergent,21
",",",",p
quand,quand,83
vous,vous,51
pouvez,pouvoir,17
devenir,devenir,14
duc,duc,21
de,de,81
Dantzick,Dantzick,20
et,et,82
maréchal,maréchal,21
de,de,81
France,France,20
/.,/.,P
aussi,aussi,60
voyez,voir,17
quelle,quel,75
alliance,alliance,22
a,avoir,17
faite,faire,12
du,de,81
du,le,71
Tillet,Tillet,20
/!,/!,P
il,il,51
a,avoir,17
épousé,épouser,12
une,un,52
des,de,81
des,le,71
filles,fille,22
du,de,81
du,le,71
comte,comte,21
de,de,81
Grandville,Grandville,20
",",",",p
une,un,52
des,de,81
des,le,71
plus,plus,60
vieilles,vieux,30
familles,famille,22
de,de,81
la,le,71
magistrature,magistrature,22
française,français,30
/.,/.,P
-,-,p
la,le,71
mère,mère,22
de,de,81
Desroches,Desroches,20
avait,avoir,18
une,un,71
amie,amie,22
",",",",p
reprit,reprendre,19
Bixiou,Bixiou,20
",",",",p
une,un,71
femme,femme,22
de,de,81
droguiste,droguiste,21
",",",",p
lequel,lequel,75
droguiste,droguiste,21
s',se,51
était,être,18
retiré,retirer,12
gras,gras,30
d',de,81
une,un,71
fortune,fortune,22
/.,/.,P
ces,ce,74
droguistes,droguiste,21
ont,avoir,17
des,de,81
des,le,71
idées,idée,22
bien,bien,60
saugrenues,saugrenu,30
:,:,p
pour,pour,81
donner,donner,14
à,à,81
sa,son,73
fille,fille,22
une,un,71
bonne,bon,30
éducation,éducation,22
",",",",p
il,il,51
l',le,52
avait,avoir,18
mise,mettre,12
dans,dans,81
un,un,71
pensionnat,pensionnat,21
!,!,p
ce,ce,74
Matifat,Matifat,20
comptait,compter,18
bien,bien,60
marier,marier,14
sa,son,73
fille,fille,22
",",",",p
par,par,81
la,le,71
raison,raison,22
deux,deux,72
cent,cent,72
mille,mille,72
francs,franc,21
",",",",p
en,en,81
bel,beau,30
et,et,82
bon,bon,30
argent,argent,21
qui,qui,52
ne,ne,60
sentait,sentir,18
pas,pas,60
la,le,71
drogue,drogue,22
/.,/.,P
-,-,p
le,le,71
Matifat,Matifat,20
de,de,81
Florine,Florine,20
?,?,p
dit,dire,19
Blondet,Blondet,20
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
oui,oui,60
",",",",p
celui,celui,52
de,de,81
Lousteau,Lousteau,20
",",",",p
le,le,71
nôtre,nôtre,52
",",",",p
enfin,enfin,60
/!,/!,P
ces,ce,74
Matifat,Matifat,20
",",",",p
alors,alors,60
perdus,perdu,31
pour,pour,81
nous,nous,51
",",",",p
étaient,être,18
venus,venir,12
habiter,habiter,14
la,le,71
rue,rue,22
du,de,81
du,le,71
Cherche-Midi,Cherche Midi,20
",",",",p
le,le,71
quartier,quartier,21
le,le,71
plus,plus,60
opposé,opposé,31
à,à,81
la,le,71
rue,rue,22
des,de,81
des,le,71
Lombards,Lombard,20
où,où,60
ils,ils,51
avaient,avoir,18
fait,faire,12
fortune,fortune,22
/.,/.,P
moi,moi,51
",",",",p
je,je,51
les,le,52
ai,avoir,17
cultivés,cultiver,12
",",",",p
les,le,71
Matifat,Matifat,20
/!,/!,P
durant,durant,81
mon,mon,73
temps,temps,21
de,de,81
galère,galère,22
ministérielle,ministériel,30
",",",",p
où,où,60
j',je,51
étais,être,18
serré,serrer,12
pendant,pendant,81
huit,huit,72
heures,heure,22
de,de,81
jour,jour,21
entre,entre,81
des,de,81
des,le,71
niais,niais,21
à,à,81
vingt,vingt,72
deux,deux,72
carats,carat,21
",",",",p
j',je,51
ai,avoir,17
vu,voir,12
des,de,81
des,le,71
originaux,original,21
qui,qui,52
m',je,51
ont,avoir,17
convaincu,convaincre,12
que,que,83
l',le,71
ombre,ombre,22
a,avoir,17
des,de,81
des,le,71
aspérités,aspérité,22
",",",",p
et,et,82
que,que,83
dans,dans,81
la,le,71
plus,plus,60
grande,grand,30
platitude,platitude,22
on,on,51
peut,pouvoir,17
rencontrer,rencontrer,14
des,de,81
des,le,71
angles,angle,21
/!,/!,P
oui,oui,60
",",",",p
mon,mon,73
cher,cher,30
",",",",p
tel,tel,75
bourgeois,bourgeois,21
est,être,17
à,à,81
tel,tel,75
autre,autre,52
ce,ce,52
que,que,52
Raphaël,Raphaël,20
est,être,17
à,à,81
Natoire,Natoire,20
/.,/.,P
madame,madame,22
veuve,veuve,22
Desroches,Desroches,20
avait,avoir,18
moyenné,moyenner,12
de,de,81
longue,long,30
main,main,22
ce,ce,74
mariage,mariage,21
",",",",p
à,à,81
son,son,73
fils,fils,21
",",",",p
malgré,malgré,81
l',le,71
obstacle,obstacle,21
énorme,énorme,30
que,que,52
présentait,présenter,18
un,un,71
certain,certain,75
Cochin,Cochin,20
",",",",p
fils,fils,21
de,de,81
l',le,71
associé,associé,21
commanditaire,commanditaire,30
des,de,81
des,le,71
Matifat,Matifat,20
",",",",p
jeune,jeune,30
employé,employé,21
au,à,81
au,le,71
ministère,ministère,21
des,de,81
des,le,71
finances,finance,22
/.,/.,P
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
monsieur,monsieur,21
et,et,82
madame,madame,22
Matifat,Matifat,20
",",",",p
l',le,71
état,état,21
d',de,81
avoué,avoué,21
paraissait,paraître,18
",",",",p
selon,selon,81
leur,leur,73
mot,mot,21
",",",",p
offrir,offrir,14
des,de,81
des,le,71
garanties,garantie,22
pour,pour,81
le,le,71
bonheur,bonheur,21
d',de,81
une,un,71
femme,femme,22
/.,/.,P
Desroches,Desroches,20
s',se,51
était,être,18
prêté,prêter,12
aux,à,81
aux,le,71
plans,plan,21
de,de,81
sa,son,73
mère,mère,22
afin,afin,81
d',de,81
avoir,avoir,14
un,un,71
pis-aller,pis-aller,21
/.,/.,P
il,il,51
ménageait,ménager,18
donc,donc,82
les,le,71
droguistes,droguiste,21
de,de,81
la,le,71
rue,rue,22
du,de,81
du,le,71
Cherche-Midi,Cherche Midi,20
/.,/.,P
pour,pour,81
vous,vous,51
faire,faire,14
comprendre,comprendre,14
un,un,71
autre,autre,75
genre,genre,21
de,de,81
bonheur,bonheur,21
",",",",p
il,il,51
faudrait,falloir,16
vous,vous,51
peindre,peindre,14
ces,ce,74
deux,deux,72
négociants,négociant,21
mâle,mâle,30
et,et,82
femelle,femelle,22
",",",",p
jouissant,jouir,13
d',de,81
un,un,71
jardinet,jardinet,21
",",",",p
logés,logé,31
à,à,81
un,un,71
beau,beau,30
rez-de-chaussée,rez-de-chaussée,21
",",",",p
s',se,51
amusant,amuser,13
à,à,81
regarder,regarder,14
un,un,71
jet,jet,21
d',de,81
eau,eau,22
",",",",p
mince,mince,30
et,et,82
long,long,30
comme,comme,83
un,un,71
épi,épi,21
",",",",p
qui,qui,52
allait,aller,18
perpétuellement,perpétuellement,60
et,et,82
s',se,51
élançait,élancer,18
d',de,81
une,un,71
petite,petit,30
table,table,22
ronde,rond,30
en,en,81
pierre,pierre,22
de,de,81
liais,lier,18
",",",",p
située,situé,31
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
bassin,bassin,21
de,de,81
six,six,72
pieds,pied,21
de,de,81
diamètre,diamètre,21
",",",",p
se,se,51
levant,lever,13
de,de,81
bon,bon,30
matin,matin,21
pour,pour,81
voir,voir,14
si,si,83
les,le,71
fleurs,fleur,22
de,de,81
leur,leur,73
jardin,jardin,21
avaient,avoir,18
poussé,pousser,12
",",",",p
désoeuvrés,désoeuvré,30
et,et,82
inquiets,inquiet,30
",",",",p
s',se,51
habillant,habiller,13
pour,pour,81
s',se,51
habiller,habiller,14
",",",",p
s',se,51
ennuyant,ennuyer,13
au,à,81
au,le,71
spectacle,spectacle,21
",",",",p
et,et,82
toujours,toujours,60
entre,entre,81
Paris,Paris,20
et,et,82
Luzarches,Luzarches,20
où,où,60
ils,ils,51
avaient,avoir,18
une,un,71
maison,maison,22
de,de,81
campagne,campagne,22
et,et,82
où,où,60
j',je,51
ai,avoir,17
dîné,dîner,12
/.,/.,P
Blondet,Blondet,20
",",",",p
un,un,71
jour,jour,21
ils,ils,51
ont,avoir,17
voulu,vouloir,12
me,je,51
faire,faire,14
poser,poser,14
",",",",p
je,je,51
leur,leur,52
ai,avoir,17
raconté,raconter,12
une,un,71
histoire,histoire,22
depuis,depuis,81
neuf,neuf,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
jusqu',jusque,81
à,à,81
minuit,minuit,21
",",",",p
une,un,71
aventure,aventure,22
à,à,81
tiroirs,tiroir,21
/!,/!,P
j',je,51
en,en,52
étais,être,18
à,à,81
l',le,71
introduction,introduction,22
de,de,81
mon,mon,73
vingt-neuvième,vingt-neuvième,72
personnage,personnage,21
(,(,p
les,le,71
romans,roman,21
en,en,81
feuilletons,feuilleton,21
m',je,51
ont,avoir,17
volé,voler,12
!,!,p
),),p
",",",",p
quand,quand,83
le,le,71
père,père,21
Matifat,Matifat,20
",",",",p
qui,qui,52
en,en,81
qualité,qualité,22
de,de,81
maître,maître,21
de,de,81
maison,maison,22
",",",",p
tenait,tenir,18
encore,encore,60
bon,bon,60
",",",",p
a,avoir,17
ronflé,ronfler,12
comme,comme,83
les,le,71
autres,autre,52
",",",",p
après,après,81
avoir,avoir,14
clignoté,clignoter,12
pendant,pendant,81
cinq,cinq,72
minutes,minute,22
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
tous,tout,52
m',je,51
ont,avoir,17
fait,faire,12
des,de,81
des,le,71
compliments,compliment,21
sur,sur,81
le,le,71
dénoûment,dénouement,21
de,de,81
mon,mon,73
histoire,histoire,22
/.,/.,P
ces,ce,74
épiciers,épicier,21
avaient,avoir,18
pour,pour,81
société,société,22
monsieur,monsieur,21
et,et,82
madame,madame,22
Cochin,Cochin,20
",",",",p
Adolphe,Adolphe,20
Cochin,Cochin,20
",",",",p
madame,madame,22
Desroches,Desroches,20
",",",",p
un,un,71
petit,petit,30
Popinot,Popinot,20
",",",",p
droguiste,droguiste,21
en,en,81
exercice,exercice,21
",",",",p
qui,qui,52
leur,leur,52
donnait,donner,18
des,de,81
des,le,71
nouvelles,nouvelle,22
de,de,81
la,le,71
rue,rue,22
des,de,81
des,le,71
Lombards,Lombard,20
(,(,p
un,un,71
homme,homme,21
de,de,81
ta,ton,73
connaissance,connaissance,22
",",",",p
Finot,Finot,20
!,!,p
),),p
/.,/.,P
madame,madame,22
Matifat,Matifat,20
",",",",p
qui,qui,52
aimait,aimer,18
les,le,71
arts,art,21
",",",",p
achetait,acheter,18
des,de,81
des,le,71
lithographies,lithographie,22
",",",",p
des,de,81
des,le,71
lithochromies,lithochromie,22
",",",",p
des,de,81
des,le,71
dessins,dessin,21
coloriés,colorié,31
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
y,y,52
avait,avoir,18
de,de,81
meilleur,meilleur,30
marché,marché,21
/.,/.,P
le,le,71
sieur,sieur,21
Matifat,Matifat,20
se,se,51
distrayait,distraire,18
en,en,81
examinant,examiner,13
les,le,71
entreprises,entreprise,22
nouvelles,nouveau,30
et,et,82
en,en,81
essayant,essayer,13
de,de,81
jouer,jouer,14
quelques,quelque,75
capitaux,capital,21
",",",",p
afin,afin,81
de,de,81
ressentir,ressentir,14
des,de,81
des,le,71
émotions,émotion,22
(,(,p
Florine,Florine,20
l',le,52
avait,avoir,18
guéri,guérir,12
du,de,81
du,le,71
genre,genre,21
Régence,Régence,20
),),p
/.,/.,P
un,un,71
seul,seul,30
mot,mot,21
vous,vous,51
fera,faire,15
comprendre,comprendre,14
la,le,71
profondeur,profondeur,22
de,de,81
mon,mon,73
Matifat,Matifat,20
/.,/.,P
le,le,71
bonhomme,bonhomme,21
souhaitait,souhaiter,18
ainsi,ainsi,60
le,le,71
bonsoir,bonsoir,21
à,à,81
ses,son,73
nièces,nièce,22
:,:,p
“,“,p
va,aller,17
te,tu,51
coucher,coucher,14
",",",",p
mes,mon,73
nièces,nièce,22
/!,/!,P
il,il,51
avait,avoir,18
peur,peur,22
",",",",p
disait,dire,18
il,il,51
",",",",p
de,de,81
les,le,52
affliger,affliger,14
en,en,81
leur,leur,52
disant,dire,13
vous,vous,51
/.,/.,P
leur,leur,73
fille,fille,22
était,être,18
une,un,71
jeune,jeune,30
personne,personne,22
sans,sans,81
manières,manière,22
",",",",p
ayant,avoir,13
l',le,71
air,air,21
d',de,81
une,un,71
femme,femme,22
de,de,81
chambre,chambre,22
de,de,81
bonne,bonne,22
maison,maison,22
",",",",p
jouant,jouer,13
tant,tant,60
bien,bien,60
que,que,83
mal,mal,60
une,un,71
