11215
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-quatrième extrait>,<>,<>
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
cercle,cercle,21
par,par,81
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
ou,ou,82
quelque,quelque,75
mot,mot,21
qui,qui,52
exigeait,exiger,18
une,un,71
réponse,réponse,22
que,que,83
Guy,Guy,20
faisait,faire,18
la,le,71
plus,plus,60
brève,bref,30
possible,possible,30
;,;,p
mais,mais,82
enfin,enfin,60
il,il,51
parvint,parvenir,19
à,à,81
gagner,gagner,14
une,un,71
embrasure,embrasure,22
de,de,81
porte,porte,22
conduisant,conduire,13
du,de,81
du,le,71
grand,grand,30
salon,salon,21
à,à,81
un,un,71
autre,autre,75
salon,salon,21
plus,plus,60
petit,petit,30
",",",",p
arrangé,arrangé,31
en,en,81
serre,serre,22
",",",",p
tout,tout,60
treillagé,treillagé,31
et,et,82
tout,tout,60
palissé,palissé,92
de,de,81
camélias,camélia,21
/.,/.,P
le,le,71
salon,salon,21
de,de,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
était,être,18
blanc,blanc,30
et,et,82
or,or,82
",",",",p
tapissé,tapissé,31
de,de,81
damas,damas,21
des,de,81
des,le,71
Indes,Inde,20
cramoisi,cramoisi,30
;,;,p
des,de,81
des,le,71
meubles,meuble,21
larges,large,30
",",",",p
moelleux,moelleux,30
",",",",p
bien,bien,60
capitonnés,capitonné,31
",",",",p
le,le,52
garnissaient,garnir,18
/.,/.,P
le,le,71
lustre,lustre,21
à,à,81
branches,branche,22
dorées,doré,31
faisait,faire,18
luire,luire,14
les,le,71
bougies,bougie,22
dans,dans,81
un,un,71
feuillage,feuillage,21
de,de,81
cristal,cristal,21
de,de,81
roche,roche,22
/.,/.,P
des,de,81
des,le,71
lampes,lampe,22
",",",",p
des,de,81
des,le,71
coupes,coupe,22
et,et,82
une,un,71
grande,grand,30
pendule,pendule,22
qui,qui,52
attestaient,attester,18
le,le,71
goût,goût,21
de,de,81
Barbedienne,Barbedienne,20
ornaient,orner,18
la,le,71
cheminée,cheminée,22
de,de,81
marbre,marbre,21
blanc,blanc,30
/.,/.,P
un,un,71
beau,beau,30
tapis,tapis,21
s',se,51
étalait,étaler,18
sous,sous,81
le,le,71
pied,pied,21
",",",",p
épais,épais,30
comme,comme,83
un,un,71
gazon,gazon,21
/.,/.,P
les,le,71
rideaux,rideau,21
tombaient,tomber,18
sur,sur,81
les,le,71
fenêtres,fenêtre,22
amples,ample,30
et,et,82
riches,riche,30
",",",",p
et,et,82
",",",",p
dans,dans,81
un,un,71
panneau,panneau,21
magnifiquement,magnifiquement,60
encadré,encadré,31
souriait,sourire,18
encore,encore,60
plus,plus,60
que,que,83
le,le,71
modèle,modèle,21
",",",",p
un,un,52
portait,porter,18
de,de,81
la,le,71
comtesse,comtesse,22
peint,peindre,17
par,par,81
Winterhalter,Winterhalter,20
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
rien,rien,52
à,à,81
dire,dire,14
de,de,81
ce,ce,74
salon,salon,21
meublé,meublé,31
de,de,81
choses,chose,22
belles,beau,30
et,et,82
chères,cher,30
",",",",p
mais,mais,82
que,que,52
peuvent,pouvoir,17
se,se,51
procurer,procurer,14
tous,tout,75
ceux,celui,52
à,à,81
qui,qui,52
leur,leur,73
bourse,bourse,22
permet,permettre,17
de,de,81
ne,ne,60
pas,pas,60
redouter,redouter,14
un,un,71
long,long,30
mémoire,mémoire,21
d',de,81
architecte,architecte,21
et,et,82
de,de,81
tapissier,tapissier,21
/.,/.,P
sa,son,73
richesse,richesse,22
banale,banal,30
était,être,18
parfaitement,parfaitement,60
convenable,convenable,30
",",",",p
mais,mais,82
elle,il,51
manquait,manquer,18
de,de,81
cachet,cachet,21
/.,/.,P
aucune,aucun,75
particularité,particularité,22
n',ne,60
y,y,52
indiquait,indiquer,18
le,le,71
choix,choix,21
",",",",p
et,et,82
",",",",p
la,le,71
maîtresse,maîtresse,22
du,de,81
du,le,71
logis,logis,21
absente,absenter,17
",",",",p
on,on,51
eût,avoir,19
pu,pouvoir,12
croire,croire,14
qu',que,83
on,on,51
était,être,18
dans,dans,81
le,le,71
salon,salon,21
d',de,81
un,un,71
banquier,banquier,21
",",",",p
d',de,81
un,un,71
avocat,avocat,21
ou,ou,82
d',de,81
un,un,71
Américain,Américain,20
de,de,81
passage,passage,21
/.,/.,P
l',le,71
âme,âme,22
et,et,82
la,le,71
personnalité,personnalité,22
lui,lui,51
faisaient,faire,18
défaut,défaut,21
/.,/.,P
aussi,aussi,60
Guy,Guy,20
",",",",p
artiste,artiste,21
de,de,81
nature,nature,22
",",",",p
trouvait,trouver,18
il,il,51
ce,ce,74
luxe,luxe,21
affreusement,affreusement,60
bourgeois,bourgeois,30
et,et,82
déplaisant,déplaisant,30
au,à,81
au,le,71
possible,possible,21
/.,/.,P
c',ce,52
était,être,18
pourtant,pourtant,60
bien,bien,60
le,le,71
fond,fond,21
duquel,de,81
duquel,lequel,52
devait,devoir,18
se,se,51
détacher,détacher,14
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
",",",",p
elle,il,51
dont,dont,52
la,le,71
beauté,beauté,22
ne,ne,60
se,se,51
composait,composer,18
que,que,83
de,de,81
perfections,perfection,22
vulgaires,vulgaire,30
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
pièce,pièce,22
",",",",p
sur,sur,81
un,un,71
pouf,pouf,21
circulaire,circulaire,30
surmonté,surmonté,31
d',de,81
un,un,71
grand,grand,30
vase,vase,21
de,de,81
Chine,Chine,20
où,où,60
s',se,51
épanouissait,épanouir,18
une,un,71
rare,rare,30
plante,plante,22
exotique,exotique,30
dont,dont,52
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
ne,ne,60
savait,savoir,18
même,même,60
pas,pas,60
le,le,71
nom,nom,21
et,et,82
que,que,83
son,son,73
jardinier,jardinier,21
avait,avoir,18
placée,placer,12
là,là,60
",",",",p
s',se,51
étalaient,étaler,18
",",",",p
assises,assis,31
dans,dans,81
des,de,81
des,le,71
gazes,gaze,22
",",",",p
des,de,81
des,le,71
tulles,tulle,21
",",",",p
des,de,81
des,le,71
dentelles,dentelle,22
",",",",p
des,de,81
des,le,71
satins,satin,21
",",",",p
des,de,81
des,le,71
velours,velours,21
",",",",p
dont,dont,52
les,le,71
flots,flot,21
bouillonnants,bouillonnant,30
leur,leur,52
remontaient,remonter,18
jusqu',jusque,81
aux,à,81
aux,le,71
épaules,épaule,22
",",",",p
des,de,81
des,le,71
femmes,femme,22
",",",",p
la,le,71
plupart,plupart,22
jeunes,jeune,30
et,et,82
belles,beau,30
",",",",p
dont,dont,52
les,le,71
toilettes,toilette,22
d',de,81
un,un,71
caprice,caprice,21
extravagant,extravagant,30
accusaient,accuser,18
l',le,71
inépuisable,inépuisable,30
et,et,82
coûteuse,coûteux,30
fantaisie,fantaisie,22
de,de,81
Worth,Worth,20
/.,/.,P
dans,dans,81
leurs,leur,73
chevelures,chevelure,22
brunes,brun,30
",",",",p
blondes,blond,30
",",",",p
rousses,roux,30
et,et,82
même,même,60
poudrées,poudré,31
",",",",p
d',de,81
une,un,71
opulence,opulence,22
à,à,81
faire,faire,14
supposer,supposer,14
aux,à,81
aux,le,71
moins,moins,60
malveillants,malveillant,30
que,que,83
l',le,71
art,art,21
devait,devoir,18
y,y,52
embellir,embellir,14
la,le,71
beauté,beauté,22
",",",",p
contrairement,contrairement,60
à,à,81
la,le,71
romance,romance,22
de,de,81
monsieur,monsieur,21
Planard,Planard,20
",",",",p
scintillaient,scintiller,18
les,le,71
diamants,diamant,21
",",",",p
se,se,51
hérissaient,hérisser,18
les,le,71
plumes,plume,22
",",",",p
verdoyaient,verdoyer,18
les,le,71
feuillages,feuillage,21
semés,semé,31
de,de,81
gouttes,goutte,22
d',de,81
eau,eau,22
",",",",p
s',se,51
entr'ouvraient,entr'ouvrir,18
les,le,71
fleurs,fleur,22
vraies,vrai,30
ou,ou,82
chimériques,chimérique,30
",",",",p
bruissaient,bruire,18
les,le,71
brochettes,brochette,22
de,de,81
sequins,sequin,21
",",",",p
s',se,51
entrecroisaient,entrecroiser,18
les,le,71
fils,fils,21
de,de,81
perles,perle,22
",",",",p
reluisaient,reluire,18
les,le,71
flèches,flèche,22
",",",",p
les,le,71
poignards,poignard,21
",",",",p
les,le,71
épingles,épingle,22
à,à,81
deux,deux,72
boules,boule,22
",",",",p
miroitaient,miroiter,18
les,le,71
garnitures,garniture,22
d',de,81
ailes,aile,22
de,de,81
scarabée,scarabée,21
",",",",p
se,se,51
contournaient,contourner,18
les,le,71
bandelettes,bandelette,22
d',de,81
or,or,21
",",",",p
se,se,51
croisaient,croiser,18
les,le,71
rubans,ruban,21
de,de,81
velours,velours,21
rouge,rouge,30
",",",",p
tremblotaient,trembloter,18
au,à,81
au,le,71
bout,bout,21
de,de,81
leur,leur,73
spirale,spirale,22
les,le,71
étoiles,étoile,22
de,de,81
pierreries,pierrerie,22
et,et,82
généralement,généralement,60
tout,tout,52
ce,ce,52
qui,qui,52
peut,pouvoir,17
s',se,51
entasser,entasser,14
sur,sur,81
la,le,71
tête,tête,22
d',de,81
une,un,71
femme,femme,22
à,à,81
la,le,71
mode,mode,22
",",",",p
sans,sans,81
compter,compter,14
les,le,71
raisins,raisin,21
",",",",p
les,le,71
groseilles,groseille,22
et,et,82
les,le,71
baies,baie,22
à,à,81
couleurs,couleur,22
vives,vif,30
que,que,52
Pomone,Pomone,20
peut,pouvoir,17
prêter,prêter,14
à,à,81
Flore,Flore,20
pour,pour,81
rendre,rendre,14
complète,complet,30
une,un,71
coiffure,coiffure,22
de,de,81
soirée,soirée,22
",",",",p
s',si,83
il,il,51
est,être,17
permis,permettre,12
à,à,81
un,un,71
lettré,lettré,21
qui,qui,52
écrit,écrire,17
en,en,81
l',le,71
an,an,21
de,de,81
grâce,grâce,22
<Nombre 1865>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
soixante,soixante,72
cinq,cinq,72
<Fin nombre>,<>,<>
de,de,81
se,se,51
servir,servir,14
de,de,81
ces,ce,74
appellations,appellation,22
mythologiques,mythologique,30
/.,/.,P
adossé,adossé,31
au,à,81
au,le,71
chambranle,chambranle,21
de,de,81
la,le,71
porte,porte,22
",",",",p
Guy,Guy,20
contemplait,contempler,18
ces,ce,74
épaules,épaule,22
satinées,satiné,30
sous,sous,81
leur,leur,73
fleur,fleur,22
de,de,81
poudre,poudre,22
de,de,81
riz,riz,21
",",",",p
ces,ce,74
nuques,nuque,22
où,où,60
se,se,51
tordaient,tordre,18
des,de,81
des,le,71
cheveux,cheveu,21
follets,follet,30
",",",",p
et,et,82
ces,ce,74
poitrines,poitrine,22
blanches,blanc,30
que,que,52
trahissait,trahir,18
parfois,parfois,60
l',le,71
épaulette,épaulette,22
trop,trop,60
basse,bas,30
d',de,81
un,un,71
corsage,corsage,21
;,;,p
mais,mais,82
ce,ce,52
sont,être,17
là,là,60
de,de,81
petits,petit,30
malheurs,malheur,21
auxquels,à,81
auxquels,lequel,52
se,se,51
résigne,résigner,17
aisément,aisément,60
une,un,71
femme,femme,22
sûre,sûr,30
de,de,81
ses,son,73
charmes,charme,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
le,le,71
mouvement,mouvement,21
pour,pour,81
remonter,remonter,14
la,le,71
manche,manche,22
est,être,17
des,de,81
des,le,71
plus,plus,60
gracieux,gracieux,30
",",",",p
et,et,82
le,le,71
doigt,doigt,21
qui,qui,52
corrige,corriger,17
l',le,71
échancrure,échancrure,22
d',de,81
une,un,71
robe,robe,22
et,et,82
lui,lui,51
donne,donner,17
un,un,71
contour,contour,21
favorable,favorable,30
fournit,fournir,17
une,un,71
occasion,occasion,22
de,de,81
jolies,joli,30
poses,pose,22
/.,/.,P
notre,notre,73
héros,héros,21
se,se,51
livrait,livrer,18
à,à,81
cette,ce,74
intéressante,intéressant,30
étude,étude,22
qu',que,52
il,il,51
préférait,préférer,18
à,à,81
de,de,81
banales,banal,30
conversations,conversation,22
",",",",p
et,et,82
selon,selon,81
lui,lui,51
c',ce,52
était,être,18
le,le,71
bénéfice,bénéfice,21
le,le,71
plus,plus,60
clair,clair,30
qu',que,83
on,on,51
rapportât,rapporter,18
d',de,81
une,un,71
soirée,soirée,22
ou,ou,82
d',de,81
un,un,71
bal,bal,21
/.,/.,P
il,il,51
feuilletait,feuilleter,18
d',de,81
un,un,71
oeil,oeil,21
nonchalant,nonchalant,30
ces,ce,74
livres,livre,21
de,de,81
beauté,beauté,22
vivants,vivant,30
",",",",p
ces,ce,74
keepsakes,keepsake,21
animés,animé,31
que,que,52
le,le,71
monde,monde,21
sème,semer,17
dans,dans,81
ses,son,73
salons,salon,21
comme,comme,83
il,il,51
place,placer,17
sur,sur,81
les,le,71
tables,table,22
des,de,81
des,le,71
stéréoscopes,stéréoscope,21
",",",",p
des,de,81
des,le,71
albums,album,21
et,et,82
des,de,81
des,le,71
journaux,journal,21
à,à,81
l',le,71
usage,usage,21
des,de,81
des,le,71
gens,gens,21
timides,timide,30
embarrassés,embarrassé,31
de,de,81
leur,leur,73
contenance,contenance,22
/.,/.,P
ce,ce,74
plaisir,plaisir,21
",",",",p
il,il,51
le,le,52
goûtait,goûter,18
avec,avec,81
d'autant,d'autant,60
plus,plus,60
de,de,81
sécurité,sécurité,22
que,que,83
",",",",p
par,par,81
suite,suite,22
du,de,81
du,le,71
bruit,bruit,21
répandu,répandu,31
de,de,81
son,son,73
prochain,prochain,30
mariage,mariage,21
avec,avec,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
",",",",p
il,il,51
n',ne,60
était,être,18
plus,plus,60
obligé,obliger,12
de,de,81
surveiller,surveiller,14
ses,son,73
regards,regard,21
jadis,jadis,60
guettés,guetté,31
par,par,81
les,le,71
mères,mère,22
désireuses,désireux,30
de,de,81
placer,placer,14
leurs,leur,73
filles,fille,22
/.,/.,P
on,on,51
n',ne,60
attendait,attendre,18
plus,plus,60
rien,rien,52
de,de,81
lui,lui,51
/.,/.,P
il,il,51
cessait,cesser,18
d',de,81
être,être,14
une,un,71
proie,proie,22
",",",",p
c',ce,52
était,être,18
un,un,71
homme,homme,21
classé,classé,31
",",",",p
et,et,82
bien,bien,60
que,que,83
plus,plus,60
d',de,81
une,un,52
jugeât,juger,18
in petto,in peto,91
qu',que,83
il,il,51
eût,avoir,19
pu,pouvoir,12
faire,faire,14
un,un,71
meilleur,meilleur,30
choix,choix,21
",",",",p
la,le,71
chose,chose,22
était,être,18
acceptée,accepter,12
/.,/.,P
même,même,60
il,il,51
eût,avoir,19
pu,pouvoir,12
sans,sans,81
conséquence,conséquence,22
adresser,adresser,14
deux,deux,72
ou,ou,82
trois,trois,72
phrases,phrase,22
de,de,81
suite,suite,22
à,à,81
une,un,71
jeune,jeune,30
personne,personne,22
/.,/.,P
n',ne,60
était,être,18
il,il,51
pas,pas,60
déjà,déjà,60
le,le,71
mari,mari,21
de,de,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
/?,/?,P
dans,dans,81
la,le,71
même,même,75
embrasure,embrasure,22
de,de,81
porte,porte,22
que,que,83
monsieur,monsieur,21
Guy,Guy,20
de,de,81
Malivert,Malivert,20
se,se,51
tenait,tenir,18
un,un,71
jeune,jeune,30
homme,homme,21
qu',que,83
il,il,51
rencontrait,rencontrer,18
souvent,souvent,60
à,à,81
son,son,73
club,club,21
",",",",p
et,et,82
dont,dont,52
il,il,51
aimait,aimer,18
assez,assez,60
la,le,71
tournure,tournure,22
d',de,81
esprit,esprit,21
empreinte,empreinte,22
d',de,81
une,un,71
bizarrerie,bizarrerie,22
septentrionale,septentrional,30
/.,/.,P
c',ce,52
était,être,18
le,le,71
baron,baron,21
de,de,81
Féroë,Féroë,20
",",",",p
un,un,71
Suédois,Suédois,20
",",",",p
compatriote,compatriote,21
de,de,81
Swedenborg,Swedenborg,20
",",",",p
comme,comme,83
lui,lui,51
penché,penché,31
sur,sur,81
l',le,71
abîme,abîme,21
du,de,81
du,le,71
mysticisme,mysticisme,21
",",",",p
et,et,82
pour,pour,81
le,le,71
moins,moins,60
aussi,aussi,60
occupé,occupé,31
de,de,81
l',le,71
autre,autre,75
monde,monde,21
que,que,83
celui-ci,celui-ci,52
/.,/.,P
le,le,71
caractère,caractère,21
de,de,81
sa,son,73
tête,tête,22
était,être,18
étrange,étrange,30
/.,/.,P
ses,son,73
cheveux,cheveu,21
blonds,blond,30
tombant,tomber,13
en,en,81
mèches,mèche,22
presque,presque,60
droites,droit,30
paraissaient,paraître,18
plus,plus,60
clairs,clair,30
que,que,83
sa,son,73
peau,peau,22
",",",",p
et,et,82
sa,son,73
moustache,moustache,22
était,être,18
d',de,81
un,un,71
or,or,21
si,si,60
pâle,pâle,30
qu',que,83
on,on,51
eût,avoir,19
dit,dire,12
de,de,81
l',le,71
argent,argent,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
ses,son,73
yeux,oeil,21
d',de,81
un,un,71
gris,gris,21
bleuâtre,bleuâtre,30
une,un,71
expression,expression,22
indéfinissable,indéfinissable,30
",",",",p
et,et,82
leur,leur,73
regard,regard,21
",",",",p
ordinairement,ordinairement,60
à,à,81
demi,demi,30
voilé,voilé,31
par,par,81
de,de,81
longs,long,30
cils,cil,21
blanchâtres,blanchâtre,30
",",",",p
dardait,darder,18
parfois,parfois,60
une,un,71
flamme,flamme,22
aiguë,aigu,30
et,et,82
semblait,sembler,18
voir,voir,14
au delà,au-delà,60
de,de,81
la,le,71
portée,portée,22
humaine,humain,30
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
le,le,71
baron,baron,21
de,de,81
Féroë,Féroë,20
était,être,18
trop,trop,60
parfait,parfaire,12
gentleman,gentleman,21
pour,pour,81
affecter,affecter,14
la,le,71
moindre,moindre,30
excentricité,excentricité,22
;,;,p
ses,son,73
façons,façon,22
étaient,être,18
unies,unir,12
et,et,82
froides,froid,30
",",",",p
d',de,81
une,un,71
correction,correction,22
anglaise,anglais,30
",",",",p
et,et,82
il,il,51
ne,ne,60
prenait,prendre,18
pas,pas,60
devant,devant,81
les,le,71
glaces,glace,22
des,de,81
des,le,71
airs,air,21
d',de,81
illuminé,illuminé,21
/.,/.,P
ce,ce,74
soir,soir,21
là,là,60
",",",",p
comme,comme,83
au,à,81
au,le,71
sortir,sortir,21
du,de,81
du,le,71
thé,thé,21
de,de,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
il,il,51
devait,devoir,18
aller,aller,14
au,à,81
au,le,71
bal,bal,21
de,de,81
l',le,71
ambassade,ambassade,22
d',de,81
Autriche,Autriche,20
",",",",p
il,il,51
était,être,18
en,en,81
grande,grand,30
tenue,tenue,22
",",",",p
et,et,82
sur,sur,81
son,son,73
habit,habit,21
noir,noir,30
",",",",p
dont,dont,52
le,le,71
revers,revers,21
cachait,cacher,18
à,à,81
moitié,moitié,22
la,le,71
plaque,plaque,22
d',de,81
un,un,71
ordre,ordre,21
étranger,étranger,30
",",",",p
brillaient,briller,18
",",",",p
suspendues,suspendre,12
à,à,81
une,un,71
fine,fin,30
chaînette,chaînette,22
d',de,81
or,or,21
",",",",p
les,le,71
croix,croix,22
de,de,81
l',le,71
éléphant,éléphant,21
et,et,82
de,de,81
Danebrog,Danebrog,20
",",",",p
le,le,71
mérite,mérite,21
de,de,81
Prusse,Prusse,20
",",",",p
l',le,71
ordre,ordre,21
de,de,81
saint,saint,30
Alexandre,Alexandre,20
Newsky,Newsky,20
",",",",p
et,et,82
autres,autre,75
décorations,décoration,22
des,de,81
des,le,71
cours,cour,22
du,de,81
du,le,71
nord,nord,21
qui,qui,52
prouvaient,prouver,18
ses,son,73
services,service,21
diplomatiques,diplomatique,30
/.,/.,P
c',ce,52
était,être,18
vraiment,vraiment,60
un,un,71
homme,homme,21
singulier,singulier,30
que,que,83
le,le,71
baron,baron,21
de,de,81
Féroë,Féroë,20
",",",",p
mais,mais,82
d',de,81
une,un,71
singularité,singularité,22
qui,qui,52
ne,ne,60
frappait,frapper,18
pas,pas,60
tout,tout,60
d'abord,d'abord,60
",",",",p
tellement,tellement,60
elle,il,51
était,être,18
enveloppé,envelopper,12
de,de,81
flegme,flegme,21
diplomatique,diplomatique,30
/.,/.,P
on,on,51
le,le,52
voyait,voir,18
souvent,souvent,60
dans,dans,81
le,le,71
monde,monde,21
",",",",p
aux,à,81
aux,le,71
réceptions,réception,22
officielles,officiel,30
",",",",p
au,à,81
au,le,71
club,club,21
",",",",p
à,à,81
l',le,71
Opéra,Opéra,20
;,;,p
mais,mais,82
",",",",p
sous,sous,81
cette,ce,74
apparence,apparence,22
d',de,81
homme,homme,21
à,à,81
la,le,71
mode,mode,22
",",",",p
il,il,51
vivait,vivre,18
d',de,81
une,un,71
façon,façon,22
mystérieuse,mystérieux,30
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
ni,ni,82
ami,ami,21
intime,intime,30
",",",",p
ni,ni,82
camarade,camarade,21
/.,/.,P
dans,dans,81
sa,son,73
maison,maison,22
",",",",p
parfaitement,parfaitement,60
tenue,tenu,31
",",",",p
nul,nul,75
visiteur,visiteur,21
n',ne,60
avait,avoir,18
dépassé,dépasser,12
le,le,71
premier,premier,72
salon,salon,21
",",",",p
et,et,82
la,le,71
porte,porte,22
qui,qui,52
conduisait,conduire,18
aux,à,81
aux,le,71
autres,autre,75
chambres,chambre,22
ne,ne,60
s',se,51
était,être,18
ouverte,ouvrir,12
pour,pour,81
personne,personne,52
/.,/.,P
comme,comme,83
les,le,71
Turcs,Turc,20
",",",",p
il,il,51
ne,ne,60
livrait,livrer,18
à,à,81
la,le,71
vie,vie,22
extérieure,extérieur,30
qu',que,83
une,un,71
seule,seul,30
chambre,chambre,22
",",",",p
où,où,60
visiblement,visiblement,60
il,il,51
n',ne,60
habitait,habiter,18
pas,pas,60
/.,/.,P
la,le,71
visite,visite,22
partie,parti,31
",",",",p
il,il,51
rentrait,rentrer,18
dans,dans,81
les,le,71
profondeurs,profondeur,22
de,de,81
son,son,73
appartement,appartement,21
/.,/.,P
à,à,81
quoi,quoi,52
s',se,51
y,y,52
occupait,occuper,18
il,il,51
/?,/?,P
c',ce,52
est,être,17
ce,ce,52
que,que,52
nul,nul,52
ne,ne,60
savait,savoir,18
/.,/.,P
il,il,51
y,y,52
faisait,faire,18
parfois,parfois,60
des,de,81
des,le,71
retraites,retraite,22
assez,assez,60
longues,long,30
",",",",p
et,et,82
les,le,71
gens,gens,21
qui,qui,52
s',se,51
apercevaient,apercevoir,18
de,de,81
son,son,73
absence,absence,22
l',le,52
attribuaient,attribuer,18
à,à,81
quelque,quelque,75
mission,mission,22
secrète,secret,30
",",",",p
à,à,81
quelque,quelque,75
voyage,voyage,21
en,en,81
Suède,Suède,20
",",",",p
où,où,60
demeurait,demeurer,18
sa,son,73
famille,famille,22
;,;,p
mais,mais,82
quelqu'un,quelqu'un,52
qui,qui,52
eût,avoir,19
passé,passer,12
",",",",p
à,à,81
une,un,71
heure,heure,22
avancée,avancé,31
",",",",p
par,par,81
la,le,71
rue,rue,22
peu,peu,60
fréquentée,fréquenté,31
où,où,60
restait,rester,18
le,le,71
baron,baron,21
",",",",p
eût,avoir,19
pu,pouvoir,12
voir,voir,14
briller,briller,14
de,de,81
la,le,71
lumière,lumière,22
à,à,81
sa,son,73
fenêtre,fenêtre,22
",",",",p
et,et,82
quelquefois,quelquefois,60
le,le,52
découvrir,découvrir,14
lui-même,lui-même,51
accoudé,accoudé,31
au,à,81
au,le,71
balcon,balcon,21
et,et,82
le,le,71
regard,regard,21
perdu,perdu,31
dans,dans,81
les,le,71
étoiles,étoile,22
/.,/.,P
mais,mais,82
nul,nul,52
n',ne,60
avait,avoir,18
intérêt,intérêt,21
à,à,81
épier,épier,14
le,le,71
baron,baron,21
de,de,81
Féroë,Féroë,20
/.,/.,P
il,il,51
rendait,rendre,18
au,à,81
au,le,71
monde,monde,21
strictement,strictement,60
ce,ce,52
qu',que,52
il,il,51
lui,lui,51
devait,devoir,18
",",",",p
et,et,82
le,le,71
monde,monde,21
n',ne,60
en,en,52
demande,demander,17
pas,pas,60
davantage,davantage,60
/.,/.,P
auprès,auprès,60
des,de,81
des,le,71
femmes,femme,22
",",",",p
sa,son,73
politesse,politesse,22
parfaite,parfait,31
ne,ne,60
dépassait,dépasser,18
pas,pas,60
certaines,certain,75
limites,limite,22
",",",",p
même,même,60
lorsqu',lorsque,83
elle,il,51
eût,avoir,19
pu,pouvoir,12
",",",",p
sans,sans,81
risque,risque,21
",",",",p
s',se,51
aventurer,aventurer,14
un,un,71
peu,peu,60
plus,plus,60
loin,loin,60
/.,/.,P
malgré,malgré,81
sa,son,73
froideur,froideur,22
",",",",p
il,il,51
ne,ne,60
déplaisait,déplaire,18
pas,pas,60
/.,/.,P
la,le,71
pureté,pureté,22
classique,classique,30
de,de,81
ses,son,73
traits,trait,21
rappelait,rappeler,18
la,le,71
sculpture,sculpture,22
gréco-scandinave,gréco-scandinave,30
de,de,81
Thorwaldsen,Thorwaldsen,20
/.,/.,P
“,“,p
c',ce,52
est,être,17
un,un,71
Apollon,Apollon,20
gelé,gelé,31
",",",",p
“,“,p
disait,dire,18
de,de,81
lui,lui,51
la,le,71
belle,beau,30
duchesse,duchesse,22
de,de,81
C,C,20
…,…,p
",",",",p
qui,qui,52
",",",",p
s',si,83
il,il,51
fallait,falloir,18
en,en,52
croire,croire,14
les,le,71
médisances,médisance,22
",",",",p
avait,avoir,18
essayé,essayer,12
de,de,81
fondre,fondre,14
cette,ce,74
glace,glace,22
/.,/.,P
comme,comme,83
Malivert,Malivert,20
",",",",p
le,le,71
baron,baron,21
de,de,81
Féroë,Féroë,20
regardait,regarder,18
un,un,71
dos,dos,21
charmant,charmant,30
d',de,81
une,un,71
blancheur,blancheur,22
neigeuse,neigeux,30
se,se,51
présentant,présenter,13
dans,dans,81
une,un,71
attitude,attitude,22
un,un,71
peu,peu,60
courbée,courbé,31
qui,qui,52
en,en,52
arrondissait,arrondir,18
délicieusement,délicieusement,60
les,le,71
lignes,ligne,22
et,et,82
qu',que,52
une,un,71
traîne,traîne,22
de,de,81
feuillage,feuillage,21
glauque,glauque,30
",",",",p
détachée,détaché,31
de,de,81
la,le,71
coiffure,coiffure,22
faisait,faire,18
parfois,parfois,60
frissonner,frissonner,14
par,par,81
un,un,71
imperceptible,imperceptible,30
chatouillement,chatouillement,21
/.,/.,P
“,“,p
charmante,charmant,30
personne,personne,22
!,!,p
dit,dire,17
le,le,71
baron,baron,21
de,de,81
Féroë,Féroë,20
à,à,81
Guy,Guy,20
",",",",p
dont,dont,52
il,il,51
avait,avoir,18
suivi,suivre,12
le,le,71
regard,regard,21
;,;,p
quel,quel,75
dommage,dommage,21
qu',que,52
elle,il,51
n',ne,60
ait,avoir,17
pas,pas,60
d',de,81
âme,âme,22
/!,/!,P
celui,celui,52
qui,qui,52
en,en,52
deviendrait,devenir,16
amoureux,amoureux,30
éprouverait,éprouver,16
le,le,71
sort,sort,21
de,de,81
l',le,71
étudiant,étudier,13
Nathaniel,Nathaniel,20
dans,dans,81
l',le,71
homme,homme,21
au,à,81
au,le,71
sable,sable,21
d',de,81
Hoffmann,Hoffmann,20
;,;,p
il,il,51
courrait,courir,16
risque,risque,21
de,de,81
serrer,serrer,14
au,à,81
au,le,71
bal,bal,21
un,un,71
mannequin,mannequin,21
entre,entre,81
ses,son,73
bras,bras,21
",",",",p
et,et,82
c',ce,52
est,être,17
une,un,71
valse,valse,22
macabre,macabre,30
que,que,83
celle-là,celui-là,52
pour,pour,81
un,un,71
