11480
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Onzième extrait>,<>,<>
",",",",p
comme,comme,83
deux,deux,72
oiseaux,oiseau,21
étourdis,étourdi,31
",",",",p
en,en,81
sautant,sauter,13
et,et,82
en,en,81
riant,rire,13
",",",",p
nous,nous,51
nous,nous,51
trouvâmes,trouver,19
au,à,81
au,le,71
bas,bas,21
de,de,81
la,le,71
montagne,montagne,22
/.,/.,P
-,-,p
voyez,voir,17
!,!,p
dit,dire,19
madame,madame,22
Pierson,Pierson,20
",",",",p
j',je,51
étais,être,18
fatiguée,fatiguer,12
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
maintenant,maintenant,60
je,je,51
ne,ne,60
le,le,52
suis,être,17
plus,plus,60
/.,/.,P
et,et,82
voulez,vouloir,17
vous,vous,51
m',je,51
en,en,52
croire,croire,14
?,?,p
ajouta,ajouter,19
t,t,94
elle,il,51
d',de,81
un,un,71
ton,ton,21
charmant,charmant,30
",",",",p
traitez,traiter,17
un,un,71
peu,peu,60
votre,votre,73
expérience,expérience,22
comme,comme,83
je,je,51
traite,traiter,17
ma,mon,73
fatigue,fatigue,22
;,;,p
nous,nous,51
avons,avoir,17
fait,faire,12
une,un,71
bonne,bon,30
course,course,22
",",",",p
et,et,82
nous,nous,51
en,en,52
souperons,souper,15
de,de,81
meilleur,meilleur,30
appétit,appétit,21
/.,/.,P
<Chapitre V>,<>,<>
j',je,51
allai,aller,18
la,le,52
voir,voir,14
le,le,71
lendemain,lendemain,21
/.,/.,P
je,je,51
la,le,52
trouvai,trouver,19
à,à,81
son,son,73
piano,piano,21
",",",",p
la,le,71
vieille,vieux,30
tante,tante,22
brodant,broder,13
à,à,81
la,le,71
fenêtre,fenêtre,22
",",",",p
sa,son,73
petite,petit,30
chambre,chambre,22
remplie,rempli,31
de,de,81
fleurs,fleur,22
",",",",p
le,le,71
plus,plus,60
beau,beau,30
soleil,soleil,21
du,de,81
du,le,71
monde,monde,21
dans,dans,81
ses,son,73
jalousies,jalousie,22
",",",",p
et,et,82
une,un,71
grande,grand,30
volière,volière,22
d',de,81
oiseaux,oiseau,21
à,à,81
côté,côté,21
d',de,81
elle,il,51
/.,/.,P
je,je,51
m',je,51
attendais,attendre,18
à,à,81
voir,voir,14
en,en,81
elle,il,51
presque,presque,60
une,un,71
religieuse,religieuse,22
",",",",p
du,de,81
du,le,71
moins,moins,60
une,un,52
de,de,81
ces,ce,74
femmes,femme,22
de,de,81
province,province,22
qui,qui,52
ne,ne,60
savent,savoir,17
rien,rien,52
de,de,81
ce,ce,52
qui,qui,52
se,se,51
passe,passer,17
à,à,81
deux,deux,72
lieues,lieue,22
à,à,81
la,le,71
ronde,ronde,22
",",",",p
et,et,82
qui,qui,52
vivent,vivre,17
dans,dans,81
un,un,71
certain,certain,75
cercle,cercle,21
dont,dont,52
elles,ils,51
ne,ne,60
s',se,51
écartent,écarter,17
jamais,jamais,60
/.,/.,P
j',je,51
avoue,avouer,17
que,que,83
ces,ce,74
existences,existence,22
à,à,81
part,part,22
",",",",p
qui,qui,52
sont,être,17
comme,comme,83
enfouies,enfouir,12
çà,çà,60
et,et,82
là,là,60
dans,dans,81
les,le,71
villes,ville,22
",",",",p
sous,sous,81
des,de,81
des,le,71
milliers,millier,21
de,de,81
toits,toit,21
ignorés,ignoré,31
",",",",p
m',je,51
ont,avoir,17
toujours,toujours,60
effrayé,effrayer,12
comme,comme,83
des,de,81
des,le,71
espèces,espèce,22
de,de,81
citernes,citerne,22
dormantes,dormant,30
;,;,p
l',le,71
air,air,21
ne,ne,60
m',je,51
y,y,52
semble,sembler,17
pas,pas,60
viable,viable,30
;,;,p
dans,dans,81
tout,tout,52
ce,ce,52
qui,qui,52
est,être,17
oubli,oubli,21
sur,sur,81
la,le,71
terre,terre,22
",",",",p
il,il,51
y,y,52
a,avoir,17
un,un,71
peu,peu,60
de,de,81
la,le,71
mort,mort,22
/.,/.,P
madame,madame,22
Pierson,Pierson,20
avait,avoir,18
sur,sur,81
sa,son,73
table,table,22
les,le,71
feuilles,feuille,22
et,et,82
les,le,71
livres,livre,21
nouveaux,nouveau,30
;,;,p
il,il,51
est,être,17
bien,bien,60
vrai,vrai,30
qu',que,83
elle,il,51
n',ne,60
y,y,52
touchait,toucher,18
guère,guère,60
/.,/.,P
malgré,malgré,81
la,le,71
simplicité,simplicité,22
de,de,81
ce,ce,52
qui,qui,52
l',le,52
entourait,entourer,18
",",",",p
de,de,81
ses,son,73
meubles,meuble,21
",",",",p
de,de,81
ses,son,73
habits,habit,21
",",",",p
on,on,51
y,y,52
reconnaissait,reconnaître,18
la,le,71
mode,mode,22
",",",",p
c'est-à-dire,c'est-à-dire,91
la,le,71
nouveauté,nouveauté,22
",",",",p
la,le,71
vie,vie,22
;,;,p
elle,il,51
n',ne,60
y,y,52
tenait,tenir,18
ni,ni,82
ne,ne,60
s',se,51
en,en,52
mêlait,mêler,18
",",",",p
mais,mais,82
tout,tout,75
cela,cela,52
allait,aller,18
sans,sans,81
dire,dire,14
/.,/.,P
ce,ce,52
qui,qui,52
me,je,51
frappa,frapper,19
dans,dans,81
ses,son,73
goûts,goût,21
",",",",p
c',ce,52
est,être,17
que,que,83
rien,rien,52
n',ne,60
y,y,52
était,être,18
bizarre,bizarre,30
",",",",p
mais,mais,82
seulement,seulement,60
jeune,jeune,30
et,et,82
agréable,agréable,30
/.,/.,P
sa,son,73
conversation,conversation,22
montrait,montrer,18
une,un,71
éducation,éducation,22
achevée,achevé,31
;,;,p
il,il,51
n',ne,60
était,être,18
rien,rien,52
dont,dont,52
elle,il,51
ne,ne,60
parlât,parler,18
bien,bien,60
et,et,82
aisément,aisément,60
;,;,p
en,en,81
même,même,75
temps,temps,21
qu',que,83
on,on,51
l',le,52
y,y,52
voyait,voir,18
naïve,naïf,30
",",",",p
on,on,51
l',le,52
y,y,52
sentait,sentir,18
profonde,profond,30
et,et,82
riche,riche,30
;,;,p
une,un,71
intelligence,intelligence,22
vaste,vaste,30
et,et,82
libre,libre,30
y,y,52
planait,planer,18
doucement,doucement,60
sur,sur,81
un,un,71
coeur,coeur,21
simple,simple,30
et,et,82
sur,sur,81
les,le,71
habitudes,habitude,22
d',de,81
une,un,71
vie,vie,22
retirée,retiré,31
/.,/.,P
l',le,71
hirondelle,hirondelle,22
de,de,81
mer,mer,22
",",",",p
qui,qui,52
tournoie,tournoyer,17
dans,dans,81
l',le,71
azur,azur,21
des,de,81
des,le,71
cieux,ciel,21
",",",",p
plane,planer,17
ainsi,ainsi,60
du,de,81
du,le,71
haut,haut,21
de,de,81
la,le,71
nue,nue,22
sur,sur,81
le,le,71
brin,brin,21
d',de,81
herbe,herbe,22
où,où,60
elle,il,51
a,avoir,17
fait,faire,12
son,son,73
nid,nid,21
/.,/.,P
nous,nous,51
parlâmes,parler,19
littérature,littérature,22
",",",",p
musique,musique,22
",",",",p
et,et,82
presque,presque,60
politique,politique,30
/.,/.,P
elle,il,51
était,être,18
allée,aller,12
l',le,71
hiver,hiver,21
à,à,81
Paris,Paris,20
;,;,p
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
elle,il,51
effleurait,effleurer,18
le,le,71
monde,monde,21
;,;,p
ce,ce,52
qu',que,52
elle,il,51
en,en,52
voyait,voir,18
servait,servir,18
de,de,81
thème,thème,21
",",",",p
et,et,82
le,le,71
reste,reste,21
était,être,18
deviné,deviner,12
/.,/.,P
mais,mais,82
ce,ce,52
qui,qui,52
la,le,52
distinguait,distinguer,18
par-dessus,par-dessus,60
tout,tout,52
",",",",p
c',ce,52
était,être,18
une,un,71
gaieté,gaieté,22
qui,qui,52
",",",",p
sans,sans,81
aller,aller,14
jusqu',jusque,81
à,à,81
la,le,71
joie,joie,22
",",",",p
était,être,18
inaltérable,inaltérable,30
;,;,p
on,on,51
eût,avoir,19
dit,dire,12
qu',que,83
elle,il,51
était,être,18
née,naître,12
fleur,fleur,22
",",",",p
et,et,82
que,que,83
son,son,73
parfum,parfum,21
était,être,18
la,le,71
gaieté,gaieté,22
/.,/.,P
avec,avec,81
sa,son,73
pâleur,pâleur,22
et,et,82
ses,son,73
grands,grand,30
yeux,oeil,21
noirs,noir,30
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
dire,dire,14
combien,combien,60
cela,cela,52
frappait,frapper,18
",",",",p
sans,sans,81
compter,compter,14
que,que,83
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
à,à,81
certains,certain,75
mots,mot,21
",",",",p
à,à,81
certains,certain,75
regards,regard,21
",",",",p
il,il,51
était,être,18
clair,clair,30
qu',que,83
elle,il,51
avait,avoir,18
souffert,souffrir,12
et,et,82
que,que,83
la,le,71
vie,vie,22
avait,avoir,18
passé,passer,12
par là,par-là,60
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
vous,vous,51
disait,dire,18
en,en,81
elle,il,51
que,que,83
la,le,71
douce,doux,30
sérénité,sérénité,22
de,de,81
son,son,73
front,front,21
n',ne,60
était,être,18
pas,pas,60
venue,venir,12
de,de,81
ce,ce,74
monde,monde,21
",",",",p
mais,mais,82
qu',que,83
elle,il,51
l',le,52
avait,avoir,18
reçue,recevoir,12
de,de,81
dieu,dieu,21
et,et,82
qu',que,83
elle,il,51
la,le,52
lui,lui,51
rapporterait,rapporter,16
fidèlement,fidèlement,60
",",",",p
malgré,malgré,81
les,le,71
hommes,homme,21
",",",",p
sans,sans,81
en,en,52
rien,rien,52
perdre,perdre,14
;,;,p
et,et,82
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
moments,moment,21
où,où,60
l',l',94
on,on,51
se,se,51
rappelait,rappeler,18
la,le,71
ménagère,ménagère,22
qui,qui,52
",",",",p
lorsque,lorsque,83
le,le,71
vent,vent,21
souffle,souffler,17
",",",",p
met,mettre,17
la,le,71
main,main,22
devant,devant,81
son,son,73
flambeau,flambeau,21
/.,/.,P
dès,dès,81
que,que,83
j',je,51
eus,avoir,19
passé,passé,21
une,un,71
demi-heure,demi-heure,22
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
je,je,51
ne,ne,60
pus,pouvoir,19
m',je,51
empêcher,empêcher,14
de,de,81
lui,lui,51
dire,dire,14
tout,tout,52
ce,ce,52
que,que,52
j',je,51
avais,avoir,18
dans,dans,81
le,le,71
coeur,coeur,21
/.,/.,P
je,je,51
pensais,penser,18
à,à,81
ma,mon,73
vie,vie,22
passée,passé,31
",",",",p
à,à,81
mes,mon,73
chagrins,chagrin,21
",",",",p
à,à,81
mes,mon,73
ennuis,ennui,21
;,;,p
j',je,51
allais,aller,18
et,et,82
venais,venir,18
",",",",p
me,je,51
penchant,pencher,13
sur,sur,81
les,le,71
fleurs,fleur,22
",",",",p
respirant,respirer,13
l',le,71
air,air,21
",",",",p
regardant,regarder,13
le,le,71
soleil,soleil,21
/.,/.,P
je,je,51
la,le,52
priai,prier,19
de,de,81
chanter,chanter,14
;,;,p
elle,il,51
le,le,52
fit,faire,19
de,de,81
bonne,bon,30
grâce,grâce,22
/.,/.,P
pendant,pendant,81
ce,ce,74
temps,temps,21
là,là,60
",",",",p
j',je,51
étais,être,18
appuyé,appuyer,12
à,à,81
la,le,71
fenêtre,fenêtre,22
et,et,82
je,je,51
regardais,regarder,18
sautiller,sautiller,14
ses,son,73
oiseaux,oiseau,21
/.,/.,P
il,il,51
me,je,51
revint,revenir,19
en,en,81
tête,tête,22
un,un,71
mot,mot,21
de,de,81
Montaigne,Montaigne,20
:,:,p
“,“,p
je,je,51
n',ne,60
aime,aimer,17
ni,ni,82
n',ne,60
estime,estimer,17
la,le,71
tristesse,tristesse,22
",",",",p
quoique,quoique,83
le,le,71
monde,monde,21
ait,avoir,17
entrepris,entreprendre,12
",",",",p
comme,comme,83
à,à,81
prix,prix,21
fait,fait,31
",",",",p
de,de,81
l',le,52
honorer,honorer,14
de,de,81
faveur,faveur,22
particulière,particulier,30
/.,/.,P
ils,ils,51
en,en,52
habillent,habiller,17
la,le,71
sagesse,sagesse,22
",",",",p
la,le,71
vertu,vertu,22
",",",",p
la,le,71
conscience,conscience,22
/.,/.,P
sot,sot,30
et,et,82
vilain,vilain,30
ornement,ornement,21
/.,/.,P
“,“,p
-,-,p
quel,quel,75
bonheur,bonheur,21
!,!,p
m',je,51
écriai,écrier,19
je,je,51
malgré,malgré,81
moi,moi,51
;,;,p
quel,quel,75
repos,repos,21
!,!,p
quelle,quel,75
joie,joie,22
!,!,p
quel,quel,75
oubli,oubli,21
/!,/!,P
la,le,71
bonne,bon,30
tante,tante,22
leva,lever,19
la,le,71
tête,tête,22
et,et,82
me,je,51
regarda,regarder,19
d',de,81
un,un,71
air,air,21
étonné,étonné,31
;,;,p
madame,madame,22
Pierson,Pierson,20
s',se,51
arrêta,arrêter,19
court,court,60
/.,/.,P
je,je,51
devins,devenir,19
rouge,rouge,30
comme,comme,83
le,le,71
feu,feu,21
",",",",p
sentant,sentir,13
ma,mon,73
folie,folie,22
",",",",p
et,et,82
allai,aller,18
m',je,51
asseoir,asseoir,14
sans,sans,81
rien,rien,52
dire,dire,14
/.,/.,P
nous,nous,51
descendîmes,descendre,19
au,à,81
au,le,71
jardin,jardin,21
/.,/.,P
le,le,71
chevreau,chevreau,21
blanc,blanc,30
que,que,52
j',je,51
avais,avoir,18
vu,voir,12
la,le,71
veille,veille,22
y,y,52
était,être,18
couché,coucher,12
sur,sur,81
l',le,71
herbe,herbe,22
;,;,p
il,il,51
vint,venir,19
à,à,81
elle,il,51
dès,dès,81
qu',que,83
il,il,51
l',le,52
aperçut,apercevoir,19
",",",",p
et,et,82
nous,nous,51
suivit,suivre,19
familièrement,familièrement,60
/.,/.,P
au,à,81
au,le,71
premier,premier,72
tour,tour,21
d',de,81
allée,allée,22
",",",",p
un,un,71
grand,grand,60
jeune,jeune,30
homme,homme,21
à,à,81
figure,figure,22
pâle,pâle,30
",",",",p
enveloppé,enveloppé,31
d',de,81
une,un,71
espèce,espèce,22
de,de,81
soutane,soutane,22
noire,noir,30
",",",",p
parut,paraître,19
tout,tout,60
à,à,81
coup,coup,21
à,à,81
la,le,71
grille,grille,22
/.,/.,P
il,il,51
entra,entrer,19
sans,sans,81
sonner,sonner,14
et,et,82
vint,venir,19
saluer,saluer,14
madame,madame,22
Pierson,Pierson,20
;,;,p
il,il,51
me,je,51
sembla,sembler,19
que,que,83
sa,son,73
physionomie,physionomie,22
",",",",p
que,que,52
je,je,51
trouvais,trouver,18
déjà,déjà,60
de,de,81
mauvais,mauvais,30
augure,augure,21
",",",",p
s',se,51
assombrit,assombrir,19
quelque,quelque,75
peu,peu,60
en,en,81
me,je,51
voyant,voir,13
/.,/.,P
c',ce,52
était,être,18
un,un,71
prêtre,prêtre,21
que,que,52
j',je,51
avais,avoir,18
vu,voir,12
dans,dans,81
le,le,71
village,village,21
et,et,82
qui,qui,52
s',se,51
appelait,appeler,18
Mercanson,Mercanson,20
;,;,p
il,il,51
sortait,sortir,18
de,de,81
Saint-Sulpice,Saint-Sulpice,20
",",",",p
et,et,82
le,le,71
curé,curé,21
de,de,81
l',le,71
endroit,endroit,21
était,être,18
son,son,73
parent,parent,21
/.,/.,P
il,il,51
était,être,18
à,à,81
la,le,71
fois,fois,22
gros,gros,60
et,et,82
blême,blême,30
",",",",p
chose,chose,22
qui,qui,52
m',je,51
a,avoir,17
toujours,toujours,60
déplu,déplaire,12
et,et,82
qui,qui,52
en,en,81
effet,effet,21
est,être,17
déplaisante,déplaisant,30
;,;,p
c',ce,52
est,être,17
un,un,71
contresens,contresens,21
qu',que,83
une,un,71
santé,santé,22
maladive,maladif,30
/.,/.,P
en,en,81
outre,outre,81
",",",",p
il,il,51
avait,avoir,18
une,un,71
manière,manière,22
de,de,81
parler,parler,14
lente,lent,30
et,et,82
saccadée,saccadé,31
",",",",p
qui,qui,52
annonçait,annoncer,18
un,un,71
pédant,pédant,21
/.,/.,P
sa,son,73
démarche,démarche,22
même,même,30
",",",",p
qui,qui,52
n',ne,60
était,être,18
ni,ni,82
jeune,jeune,30
ni,ni,82
franche,franc,30
",",",",p
me,je,51
choquait,choquer,18
;,;,p
quant,quand,83
au,à,81
au,le,71
regard,regard,21
",",",",p
on,on,51
pouvait,pouvoir,18
dire,dire,14
qu',que,83
il,il,51
n',ne,60
en,en,52
avait,avoir,18
pas,pas,60
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
que,que,83
penser,penser,14
d',de,81
un,un,71
homme,homme,21
dont,dont,52
les,le,71
yeux,oeil,21
ne,ne,60
me,je,51
disent,dire,17
rien,rien,52
/.,/.,P
voilà,voilà,81
les,le,71
signes,signe,21
sur,sur,81
lesquels,lequel,52
j',je,51
avais,avoir,18
jugé,juger,12
Mercanson,Mercanson,20
",",",",p
et,et,82
qui,qui,52
",",",",p
malheureusement,malheureusement,60
",",",",p
ne,ne,60
me,je,51
trompèrent,tromper,19
pas,pas,60
/.,/.,P
il,il,51
s',se,51
assit,asseoir,19
sur,sur,81
un,un,71
banc,banc,21
et,et,82
commença,commencer,19
à,à,81
parler,parler,14
de,de,81
Paris,Paris,20
",",",",p
qu',que,52
il,il,51
appelait,appeler,18
la,le,71
Babylone,Babylone,20
moderne,moderne,30
/.,/.,P
il,il,51
en,en,52
venait,venir,18
",",",",p
connaissait,connaître,18
tout,tout,75
le,le,71
monde,monde,21
;,;,p
il,il,51
allait,aller,18
chez,chez,81
madame,madame,22
de,de,81
B,B,20
qui,qui,52
était,être,18
un,un,71
ange,ange,21
;,;,p
il,il,51
faisait,faire,18
des,de,81
des,le,71
sermons,sermon,21
dans,dans,81
son,son,73
salon,salon,21
;,;,p
on,on,51
les,le,52
écoutait,écouter,18
à,à,81
genoux,genou,21
(,(,p
le,le,71
pire,pire,30
de,de,81
la,le,71
chose,chose,22
est,être,17
que,que,83
c',ce,52
était,être,18
vrai,vrai,30
),),p
/.,/.,P
un,un,52
de,de,81
ses,son,73
amis,ami,21
",",",",p
qu',que,52
il,il,51
y,y,52
avait,avoir,18
mené,mener,12
",",",",p
venait,venir,18
d',de,81
être,être,14
chassé,chasser,12
d',de,81
un,un,71
collège,collège,21
pour,pour,81
avoir,avoir,14
séduit,séduire,12
une,un,71
fille,fille,22
",",",",p
ce,ce,52
qui,qui,52
était,être,18
bien,bien,60
affreux,affreux,30
",",",",p
bien,bien,60
/.,/.,P
il,il,51
fit,faire,19
mille,mille,72
compliments,compliment,21
à,à,81
madame,madame,22
Pierson,Pierson,20
sur,sur,81
les,le,71
habitudes,habitude,22
charitables,charitable,30
qu',que,52
elle,il,51
avait,avoir,18
contractées,contracter,12
dans,dans,81
le,le,71
pays,pays,21
;,;,p
il,il,51
avait,avoir,18
appris,apprendre,12
ses,son,73
bienfaits,bienfait,21
",",",",p
les,le,71
soins,soin,21
qu',que,52
elle,il,51
prenait,prendre,18
des,de,81
des,le,71
malades,malade,21
",",",",p
jusqu',jusque,81
à,à,81
veiller,veiller,14
sur,sur,81
eux,ils,51
en,en,81
personne,personne,22
/.,/.,P
c',ce,52
était,être,18
bien,bien,60
beau,beau,30
",",",",p
bien,bien,60
pur,pur,30
;,;,p
il,il,51
ne,ne,60
manquerait,manquer,16
pas,pas,60
d',de,81
en,en,52
parler,parler,14
à,à,81
Saint-Sulpice,Saint-Sulpice,20
/.,/.,P
ne,ne,60
semblait,sembler,18
il,il,51
pas,pas,60
dire,dire,14
qu',que,83
il,il,51
ne,ne,60
manquerait,manquer,16
pas,pas,60
d',de,81
en,en,52
parler,parler,14
à,à,81
dieu,dieu,21
/?,/?,P
fatigué,fatigué,31
de,de,81
cette,ce,74
harangue,harangue,22
",",",",p
pour,pour,81
n',ne,60
en,en,52
pas,pas,60
hausser,hausser,14
les,le,71
épaules,épaule,22
",",",",p
je,je,51
m',je,51
étais,être,18
couché,coucher,12
sur,sur,81
le,le,71
gazon,gazon,21
;,;,p
et,et,82
je,je,51
jouais,jouer,18
avec,avec,81
le,le,71
chevreau,chevreau,21
/.,/.,P
Mercanson,Mercanson,20
abaissa,abaisser,19
sur,sur,81
moi,moi,51
son,son,73
oeil,oeil,21
terne,terne,30
et,et,82
sans,sans,81
vie,vie,22
/.,/.,P
-,-,p
le,le,71
célèbre,célèbre,30
Vergniaud,Vergniaud,20
",",",",p
dit,dire,19
il,il,51
",",",",p
le,le,71
célèbre,célèbre,30
Vergniaud,Vergniaud,20
avait,avoir,18
cette,ce,74
manie,manie,22
de,de,81
s',se,51
asseoir,asseoir,14
à,à,81
terre,terre,22
et,et,82
de,de,81
jouer,jouer,14
avec,avec,81
les,le,71
animaux,animal,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
une,un,71
manie,manie,22
",",",",p
répondis,répondre,19
je,je,51
",",",",p
bien,bien,21
innocente,innocenter,17
",",",",p
monsieur,monsieur,21
l',le,71
abbé,abbé,21
/.,/.,P
si,si,83
on,on,51
n',ne,60
en,en,52
avait,avoir,18
que,que,83
de,de,81
pareilles,pareil,30
",",",",p
le,le,71
monde,monde,21
pourrait,pouvoir,16
aller,aller,14
tout,tout,60
seul,seul,30
",",",",p
sans,sans,81
tant,tant,60
de,de,81
gens,gens,21
qui,qui,52
veulent,vouloir,17
s',se,51
en,en,52
mêler,mêler,14
/.,/.,P
ma,mon,73
réponse,réponse,22
ne,ne,60
lui,lui,51
plut,plaire,19
pas,pas,60
;,;,p
il,il,51
fronça,froncer,19
le,le,71
sourcil,sourcil,21
et,et,82
parla,parler,19
d',de,81
autre,autre,75
chose,chose,22
/.,/.,P
il,il,51
était,être,18
chargé,charger,12
d',de,81
une,un,71
commission,commission,22
;,;,p
son,son,73
parent,parent,21
",",",",p
le,le,71
curé,curé,21
du,de,81
du,le,71
village,village,21
",",",",p
lui,lui,51
avait,avoir,18
parlé,parler,12
d',de,81
un,un,71
pauvre,pauvre,30
diable,diable,21
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
de,de,81
quoi,quoi,52
gagner,gagner,14
son,son,73
pain,pain,21
/.,/.,P
il,il,51
demeurait,demeurer,18
à,à,81
tel,tel,75
endroit,endroit,21
;,;,p
il,il,51
y,y,52
avait,avoir,18
été,être,12
lui-même,lui-même,51
;,;,p
il,il,51
s',se,51
y,y,52
était,être,18
intéressé,intéresser,12
;,;,p
il,il,51
espérait,espérer,18
que,que,83
madame,madame,22
Pierson,Pierson,20
/…,/…,P
je,je,51
la,le,52
regardais,regarder,18
pendant,pendant,81
ce,ce,74
temps,temps,21
là,là,60
et,et,82
j',je,51
attendais,attendre,18
qu',que,83
elle,il,51
répondît,répondre,18
",",",",p
comme,comme,83
si,si,83
le,le,71
son,son,21
de,de,81
sa,son,73
voix,voix,22
eût,avoir,19
dû,devoir,12
me,je,51
guérir,guérir,14
de,de,81
celle,celui,52
de,de,81
ce,ce,74
prêtre,prêtre,21
/.,/.,P
elle,il,51
ne,ne,60
fit,faire,19
qu',que,83
un,un,71
profond,profond,30
salut,salut,21
",",",",p
et,et,82
il,il,51
se,se,51
retira,retirer,19
/.,/.,P
quand,quand,83
il,il,51
fut,être,19
parti,partir,12
",",",",p
notre,notre,73
gaieté,gaieté,22
revint,revenir,19
/.,/.,P
il,il,51
s',se,51
agissait,agir,18
d',de,81
aller,aller,14
à,à,81
une,un,71
serre,serre,22
qui,qui,52
était,être,18
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
jardin,jardin,21
/.,/.,P
madame,madame,22
Pierson,Pierson,20
traitait,traiter,18
ses,son,73
fleurs,fleur,22
comme,comme,83
ses,son,73
oiseaux,oiseau,21
et,et,82
ses,son,73
paysans,paysan,21
;,;,p
il,il,51
fallait,falloir,18
que,que,83
tout,tout,52
se,se,51
portât,porter,18
bien,bien,60
autour,autour,60
d',de,81
elle,il,51
",",",",p
que,que,83
chacun,chacun,52
eût,avoir,19
sa,son,73
goutte,goutte,22
d',de,81
eau,eau,22
et,et,82
son,son,73
rayon,rayon,21
de,de,81
soleil,soleil,21
",",",",p
pour,pour,81
qu',que,83
elle,il,51
pût,pouvoir,18
être,être,14
elle-même,lui-même,51
gaie,gai,30
et,et,82
heureuse,heureux,30
comme,comme,83
un,un,71
bon,bon,30
ange,ange,21
;,;,p
aussi,aussi,60
rien,rien,52
n',ne,60
était,être,18
mieux,mieux,60
tenu,tenir,12
ni,ni,82
plus,plus,60
charmant,charmant,30
que,que,83
sa,son,73
petite,petit,30
serre,serre,22
/.,/.,P
lorsque,lorsque,83
nous,nous,51
en,en,52
eûmes,avoir,19
fait,faire,12
le,le,71
tour,tour,21
:,:,p
-,-,p
monsieur,monsieur,21
de,de,81
T,T,20
",",",",p
me,je,51
dit,dire,19
elle,il,51
",",",",p
voilà,voilà,81
mon,mon,73
petit,petit,30
monde,monde,21
;,;,p
vous,vous,51
avez,avoir,17
vu,voir,12
tout,tout,52
ce,ce,52
que,que,52
je,je,51
possède,posséder,17
",",",",p
et,et,82
mon,mon,73
domaine,domaine,21
finit,finir,17
là,là,60
/.,/.,P
-,-,p
madame,madame,22
",",",",p
lui,lui,51
dis,dire,19
je,je,51
",",",",p
que,que,83
le,le,71
nom,nom,21
de,de,81
mon,mon,73
père,père,21
",",",",p
qui,qui,52
m',je,51
a,avoir,17
valu,valoir,12
d',de,81
entrer,entrer,14
ici,ici,60
",",",",p
me,je,51
permette,permettre,17
d',de,81
y,y,52
revenir,revenir,14
",",",",p
et,et,82
je,je,51
croirai,croire,15
que,que,83
le,le,71
bonheur,bonheur,21
ne,ne,60
m',je,51
a,avoir,17
pas,pas,60
tout,tout,60
à,à,81
fait,fait,21
oublié,oublier,12
/.,/.,P
elle,il,51
me,je,51
tendit,tendre,19
la,le,71
main,main,22
",",",",p
et,et,82
je,je,51
la,le,52
touchai,toucher,19
avec,avec,81
respect,respect,21
",",",",p
n',ne,60
osant,oser,13
la,le,52
porter,porter,14
à,à,81
mes,mon,73
lèvres,lèvre,22
/.,/.,P
le,le,71
soir,soir,21
venu,venu,31
",",",",p
je,je,51
rentrai,rentrer,19
chez,chez,81
moi,moi,51
",",",",p
fermai,fermer,19
ma,mon,73
porte,porte,22
et,et,82
me,je,51
mis,mettre,19
au,à,81
au,le,71
lit,lit,21
/.,/.,P
j',je,51
avais,avoir,18
devant,devant,81
les,le,71
yeux,oeil,21
une,un,71
petite,petit,30
maison,maison,22
blanche,blanc,30
;,;,p
je,je,51
me,je,51
voyais,voir,18
sortant,sortir,13
après,après,81
dîner,dîner,21
",",",",p
traversant,traverser,13
le,le,71
village,village,21
et,et,82
la,le,71
promenade,promenade,22
",",",",p
et,et,82
allant,aller,13
frapper,frapper,14
à,à,81
la,le,71
grille,grille,22
/.,/.,P
-,-,p
o,oh,93
mon,mon,73
pauvre,pauvre,30
coeur,coeur,21
!,!,p
m',je,51
écriai,écrier,19
je,je,51
",",",",p
dieu,dieu,21
soit,être,17
loué,louer,12
!,!,p
tu,tu,51
es,être,17
jeune,jeune,30
encore,encore,60
;,;,p
tu,tu,51
peux,pouvoir,17
vivre,vivre,14
",",",",p
tu,tu,51
peux,pouvoir,17
aimer,aimer,14
/!,/!,P
<Chapitre VI>,<>,<>
j',je,51
étais,être,18
un,un,71
soir,soir,21
chez,chez,81
madame,madame,22
Pierson,Pierson,20
/.,/.,P
plus,plus,60
de,de,81
trois,trois,72
mois,mois,21
s',se,51
étaient,être,18
passés,passer,12
",",",",p
durant,durant,81
lesquels,lequel,52
je,je,51
l',le,52
avais,avoir,18
vue,voir,12
presque,presque,60
tous,tout,75
les,le,71
jours,jour,21
;,;,p
et,et,82
de,de,81
ce,ce,74
temps,temps,21
",",",",p
que,que,52
vous,vous,51
en,en,52
dirai,dire,15
je,je,51
",",",",p
sinon,sinon,83
que,que,83
je,je,51
la,le,52
