11606
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante et unième extrait>,<>,<>
y,y,52
avait,avoir,18
été,être,12
émondeur,émondeur,21
;,;,p
le,le,71
nom,nom,21
de,de,81
Champmathieu,Champmathieu,20
pouvait,pouvoir,18
bien,bien,60
avoir,avoir,14
pour,pour,81
origine,origine,22
Jean,Jean,20
Mathieu,Mathieu,20
;,;,p
tout,tout,75
cela,cela,52
était,être,18
vrai,vrai,30
;,;,p
enfin,enfin,60
quatre,quatre,72
témoins,témoin,21
reconnaissaient,reconnaître,18
sans,sans,81
hésiter,hésiter,14
et,et,82
positivement,positivement,60
Champmathieu,Champmathieu,20
pour,pour,81
être,être,14
le,le,71
galérien,galérien,21
Jean,Jean,20
Valjean,Valjean,20
;,;,p
à,à,81
ces,ce,74
indications,indication,22
",",",",p
à,à,81
ces,ce,74
témoignages,témoignage,21
",",",",p
l',le,71
avocat,avocat,21
ne,ne,60
pouvait,pouvoir,18
opposer,opposer,14
que,que,83
la,le,71
dénégation,dénégation,22
de,de,81
son,son,73
client,client,21
",",",",p
dénégation,dénégation,22
intéressée,intéressé,31
;,;,p
mais,mais,82
en,en,81
supposant,supposer,13
qu',que,83
il,il,51
fût,être,19
le,le,71
forçat,forçat,21
Jean,Jean,20
Valjean,Valjean,20
",",",",p
cela,cela,52
prouvait,prouver,18
il,il,51
qu',que,83
il,il,51
fût,être,19
le,le,71
voleur,voleur,21
des,de,81
des,le,71
pommes,pomme,22
/?,/?,P
c',ce,52
était,être,18
une,un,71
présomption,présomption,22
",",",",p
tout,tout,60
au,à,81
au,le,71
plus,plus,60
;,;,p
non,non,60
une,un,71
preuve,preuve,22
/.,/.,P
l',le,71
accusé,accusé,21
",",",",p
cela,cela,52
était,être,18
vrai,vrai,30
",",",",p
et,et,82
le,le,71
défenseur,défenseur,21
“,“,p
dans,dans,81
sa,son,73
bonne,bon,30
foi,foi,22
“,“,p
devait,devoir,18
en,en,52
convenir,convenir,14
",",",",p
avait,avoir,18
adopté,adopter,12
“,“,p
un,un,71
mauvais,mauvais,30
système,système,21
de,de,81
défense,défense,22
“,“,p
-,-,p
il,il,51
s',se,51
obstinait,obstiner,18
à,à,81
nier,nier,14
tout,tout,52
",",",",p
le,le,71
vol,vol,21
et,et,82
sa,son,73
qualité,qualité,22
de,de,81
forçat,forçat,21
/.,/.,P
un,un,71
aveu,aveu,21
sur,sur,81
ce,ce,74
dernier,dernier,30
point,point,21
eût,avoir,19
mieux,mieux,60
valu,valoir,12
",",",",p
à,à,81
coup,coup,21
sûr,sûr,30
",",",",p
et,et,82
lui,lui,51
eût,avoir,19
concilié,concilier,12
l',le,71
indulgence,indulgence,22
de,de,81
ses,son,73
juges,juge,21
;,;,p
l',le,71
avocat,avocat,21
le,le,52
lui,lui,51
avait,avoir,18
conseillé,conseiller,12
;,;,p
mais,mais,82
l',le,71
accusé,accusé,21
s',se,51
y,y,52
était,être,18
refusé,refuser,12
obstinément,obstinément,60
",",",",p
croyant,croire,13
sans,sans,81
doute,doute,21
sauver,sauver,14
tout,tout,60
en,en,81
n',ne,60
avouant,avouer,13
rien,rien,52
/.,/.,P
c',ce,52
était,être,18
un,un,71
tort,tort,21
;,;,p
mais,mais,82
ne,ne,60
fallait,falloir,18
il,il,51
pas,pas,60
considérer,considérer,14
la,le,71
brièveté,brièveté,22
de,de,81
cette,ce,74
intelligence,intelligence,22
/?,/?,P
cet,ce,74
homme,homme,21
était,être,18
visiblement,visiblement,60
stupide,stupide,30
/.,/.,P
un,un,71
long,long,30
malheur,malheur,21
au,à,81
au,le,71
bagne,bagne,21
",",",",p
une,un,71
longue,long,30
misère,misère,22
hors,hors,81
du,de,81
du,le,71
bagne,bagne,21
",",",",p
l',le,52
avaient,avoir,18
abruti,abrutir,12
",",",",p
etc,et cetera,91
",",",",p
etc,et cetera,91
/.,/.,P
il,il,51
se,se,51
défendait,défendre,18
mal,mal,60
",",",",p
était,être,18
ce,ce,52
une,un,71
raison,raison,22
pour,pour,81
le,le,52
condamner,condamner,14
/?,/?,P
quant,quand,83
à,à,81
l',le,71
affaire,affaire,22
Petit-Gervais,Petit-Gervais,20
",",",",p
l',le,71
avocat,avocat,21
n',ne,60
avait,avoir,18
pas,pas,60
à,à,81
la,le,52
discuter,discuter,14
",",",",p
elle,il,51
n',ne,60
était,être,18
point,point,60
dans,dans,81
la,le,71
cause,cause,22
/.,/.,P
l',le,71
avocat,avocat,21
concluait,conclure,18
en,en,81
suppliant,supplier,13
le,le,71
jury,jury,21
et,et,82
la,le,71
cour,cour,22
",",",",p
si,si,83
l',le,71
identité,identité,22
de,de,81
Jean,Jean,20
Valjean,Valjean,20
leur,leur,52
paraissait,paraître,18
évidente,évident,30
",",",",p
de,de,81
lui,lui,51
appliquer,appliquer,14
les,le,71
peines,peine,22
de,de,81
police,police,22
qui,qui,52
s',se,51
adressent,adresser,17
au,à,81
au,le,71
condamné,condamné,21
en,en,81
rupture,rupture,22
de,de,81
ban,ban,21
",",",",p
et,et,82
non,non,60
le,le,71
châtiment,châtiment,21
épouvantable,épouvantable,30
qui,qui,52
frappe,frapper,17
le,le,71
forçat,forçat,21
récidiviste,récidiviste,30
/.,/.,P
l',le,71
avocat,avocat,21
général,général,30
répliqua,répliquer,19
au,à,81
au,le,71
défenseur,défenseur,21
/.,/.,P
il,il,51
fut,être,19
violent,violent,30
et,et,82
fleuri,fleuri,31
",",",",p
comme,comme,83
sont,être,17
habituellement,habituellement,60
les,le,71
avocats,avocat,21
généraux,général,30
/.,/.,P
il,il,51
félicita,féliciter,19
le,le,71
défenseur,défenseur,21
de,de,81
sa,son,73
“,“,p
loyauté,loyauté,22
“,“,p
",",",",p
et,et,82
profita,profiter,19
habilement,habilement,60
de,de,81
cette,ce,74
loyauté,loyauté,22
/.,/.,P
il,il,51
atteignit,atteindre,19
l',le,71
accusé,accusé,21
par,par,81
toutes,tout,75
les,le,71
concessions,concession,22
que,que,52
l',le,71
avocat,avocat,21
avait,avoir,18
faites,faire,12
/.,/.,P
l',le,71
avocat,avocat,21
semblait,sembler,18
accorder,accorder,14
que,que,83
l',le,71
accusé,accusé,21
était,être,18
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
il,il,51
en,en,52
prit,prendre,19
acte,acte,21
/.,/.,P
cet,ce,74
homme,homme,21
était,être,18
donc,donc,82
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
ceci,ceci,52
était,être,18
acquis,acquérir,12
à,à,81
l',le,71
accusation,accusation,22
et,et,82
ne,ne,60
pouvait,pouvoir,18
plus,plus,60
se,se,51
contester,contester,14
/.,/.,P
ici,ici,60
",",",",p
par,par,81
une,un,71
habile,habile,30
antonomase,antonomase,22
",",",",p
remontant,remonter,13
aux,à,81
aux,le,71
sources,source,22
et,et,82
aux,à,81
aux,le,71
causes,cause,22
de,de,81
la,le,71
criminalité,criminalité,22
",",",",p
l',le,71
avocat,avocat,21
général,général,30
tonna,tonner,19
contre,contre,81
l',le,71
immoralité,immoralité,22
de,de,81
l',le,71
école,école,22
romantique,romantique,30
",",",",p
alors,alors,60
à,à,81
son,son,73
aurore,aurore,22
sous,sous,81
le,le,71
nom,nom,21
d',de,81
école,école,22
satanique,satanique,30
que,que,83
lui,lui,51
avaient,avoir,18
décerné,décerner,12
les,le,71
critiques,critique,21
de,de,81
l',le,71
oriflamme,oriflamme,21
et,et,82
de,de,81
la,le,71
Quotidienne,Quotidienne,20
",",",",p
il,il,51
attribua,attribuer,19
",",",",p
non,non,60
sans,sans,81
vraisemblance,vraisemblance,22
",",",",p
à,à,81
l',le,71
influence,influence,22
de,de,81
cette,ce,74
littérature,littérature,22
perverse,pervers,30
le,le,71
délit,délit,21
de,de,81
Champmathieu,Champmathieu,20
",",",",p
ou,ou,82
pour,pour,81
mieux,mieux,60
dire,dire,14
",",",",p
de,de,81
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
ces,ce,74
considérations,considération,22
épuisées,épuisé,31
",",",",p
il,il,51
passa,passer,19
à,à,81
Jean,Jean,20
Valjean,Valjean,20
lui-même,lui-même,51
/.,/.,P
qu',que,52
était,être,18
ce,ce,52
que,que,83
Jean,Jean,20
Valjean,Valjean,20
/?,/?,P
description,description,22
de,de,81
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
un,un,71
monstre,monstre,21
vomi,vomi,31
",",",",p
etc,et cetera,91
/.,/.,P
le,le,71
modèle,modèle,21
de,de,81
ces,ce,74
sortes,sorte,22
de,de,81
descriptions,description,22
est,être,17
dans,dans,81
le,le,71
récit,récit,21
de,de,81
Théramène,Théramène,20
",",",",p
lequel,lequel,52
n',ne,60
est,être,17
pas,pas,60
utile,utile,30
à,à,81
la,le,71
tragédie,tragédie,22
",",",",p
mais,mais,82
rend,rendre,17
tous,tout,75
les,le,71
jours,jour,21
de,de,81
grands,grand,30
services,service,21
à,à,81
l',le,71
éloquence,éloquence,22
judiciaire,judiciaire,30
/.,/.,P
l',le,71
auditoire,auditoire,21
et,et,82
les,le,71
jurés,juré,21
“,“,p
frémirent,frémir,19
“,“,p
/.,/.,P
la,le,71
description,description,22
achevée,achevé,31
",",",",p
l',le,71
avocat,avocat,21
général,général,30
reprit,reprendre,19
",",",",p
dans,dans,81
un,un,71
mouvement,mouvement,21
oratoire,oratoire,30
fait,faire,17
pour,pour,81
exciter,exciter,14
au,à,81
au,le,71
plus,plus,60
haut,haut,30
point,point,21
le,le,71
lendemain,lendemain,21
matin,matin,21
l',le,52
enthousiasme,enthousiasmer,17
du,de,81
du,le,71
journal,journal,21
de,de,81
la,le,71
Préfecture,Préfecture,20
:,:,p
et,et,82
c',ce,52
est,être,17
un,un,71
pareil,pareil,30
homme,homme,21
",",",",p
etc,et cetera,91
",",",",p
etc,et cetera,91
",",",",p
etc,et cetera,91
",",",",p
vagabond,vagabond,30
",",",",p
mendiant,mendier,13
",",",",p
sans,sans,81
moyens,moyen,21
d',de,81
existence,existence,22
",",",",p
etc,et cetera,91
",",",",p
etc,et cetera,91
",",",",p
-,-,p
accoutumé,accoutumé,31
par,par,81
sa,son,73
vie,vie,22
passée,passé,31
aux,à,81
aux,le,71
actions,action,22
coupables,coupable,30
et,et,82
peu,peu,60
corrigé,corrigé,31
par,par,81
son,son,73
séjour,séjour,21
au,à,81
au,le,71
bagne,bagne,21
",",",",p
comme,comme,83
le,le,52
prouve,prouver,17
le,le,71
crime,crime,21
commis,commis,31
sur,sur,81
Petit-Gervais,Petit-Gervais,20
",",",",p
etc,et cetera,91
",",",",p
etc,et cetera,91
",",",",p
-,-,p
c',ce,52
est,être,17
un,un,71
homme,homme,21
pareil,pareil,30
qui,qui,52
",",",",p
trouvé,trouvé,31
sur,sur,81
la,le,71
voie,voie,22
publique,public,30
en,en,81
flagrant,flagrant,30
délit,délit,21
de,de,81
vol,vol,21
",",",",p
à,à,81
quelques,quelque,75
pas,pas,21
d',de,81
un,un,71
mur,mur,21
escaladé,escaladé,31
",",",",p
tenant,tenir,13
encore,encore,60
à,à,81
la,le,71
main,main,22
l',le,71
objet,objet,21
volé,volé,31
",",",",p
nie,nier,17
le,le,71
flagrant,flagrant,30
délit,délit,21
",",",",p
le,le,71
vol,vol,21
",",",",p
l',le,71
escalade,escalade,22
",",",",p
nie,nier,17
tout,tout,52
",",",",p
nie,nier,17
jusqu',jusque,81
à,à,81
son,son,73
nom,nom,21
",",",",p
nie,nier,17
jusqu',jusque,81
à,à,81
son,son,73
identité,identité,22
/!,/!,P
outre,outre,81
cent,cent,72
autres,autre,75
preuves,preuve,22
sur,sur,81
lesquelles,lequel,52
nous,nous,51
ne,ne,60
revenons,revenir,17
pas,pas,60
",",",",p
quatre,quatre,72
témoins,témoin,21
le,le,52
reconnaissent,reconnaître,17
",",",",p
Javert,Javert,20
",",",",p
l',le,71
intègre,intègre,30
inspecteur,inspecteur,21
de,de,81
police,police,22
Javert,Javert,20
",",",",p
et,et,82
trois,trois,72
de,de,81
ses,son,73
anciens,ancien,30
compagnons,compagnon,21
d',de,81
ignominie,ignominie,22
",",",",p
les,le,71
forçats,forçat,21
Brevet,Brevet,20
",",",",p
Chenildieu,Chenildieu,20
et,et,82
Cochepaille,Cochepaille,20
/.,/.,P
qu',que,52
oppose,opposer,17
t,t,94
il,il,51
à,à,81
cette,ce,74
unanimité,unanimité,22
foudroyante,foudroyant,30
/?,/?,P
il,il,51
nie,nier,17
/.,/.,P
quel,quel,75
endurcissement,endurcissement,21
/!,/!,P
vous,vous,51
ferez,faire,15
justice,justice,22
",",",",p
messieurs,monsieur,21
les,le,71
jurés,juré,21
",",",",p
etc,et cetera,91
",",",",p
etc,et cetera,91
/.,/.,P
pendant,pendant,81
que,que,83
l',le,71
avocat,avocat,21
général,général,30
parlait,parler,18
",",",",p
l',le,71
accusé,accusé,21
écoutait,écouter,18
",",",",p
la,le,71
bouche,bouche,22
ouverte,ouvert,31
",",",",p
avec,avec,81
une,un,71
sorte,sorte,22
d',de,81
étonnement,étonnement,21
où,où,60
il,il,51
entrait,entrer,18
bien,bien,60
quelque,quelque,75
admiration,admiration,22
/.,/.,P
il,il,51
était,être,18
évidemment,évidemment,60
surpris,surprendre,12
qu',que,83
un,un,71
homme,homme,21
pût,pouvoir,18
parler,parler,14
comme,comme,83
cela,cela,52
/.,/.,P
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
aux,à,81
aux,le,71
moments,moment,21
les,le,71
plus,plus,60
“,“,p
énergiques,énergique,30
“,“,p
du,de,81
du,le,71
réquisitoire,réquisitoire,21
",",",",p
dans,dans,81
ces,ce,74
instants,instant,21
où,où,60
l',le,71
éloquence,éloquence,22
",",",",p
qui,qui,52
ne,ne,60
peut,pouvoir,17
se,se,51
contenir,contenir,14
",",",",p
déborde,déborder,17
dans,dans,81
un,un,71
flux,flux,21
d',de,81
épithètes,épithète,22
flétrissantes,flétrissant,30
et,et,82
enveloppe,envelopper,17
l',le,71
accusé,accusé,21
comme,comme,83
un,un,71
orage,orage,21
",",",",p
il,il,51
remuait,remuer,18
lentement,lentement,60
la,le,71
tête,tête,22
de,de,81
droite,droite,22
à,à,81
gauche,gauche,22
et,et,82
de,de,81
gauche,gauche,22
à,à,81
droite,droite,22
",",",",p
sorte,sorte,22
de,de,81
protestation,protestation,22
triste,triste,30
et,et,82
muette,muet,30
dont,dont,52
il,il,51
se,se,51
contentait,contenter,18
depuis,depuis,81
le,le,71
commencement,commencement,21
des,de,81
des,le,71
débats,débat,21
/.,/.,P
deux,deux,72
ou,ou,82
trois,trois,72
fois,fois,22
les,le,71
spectateurs,spectateur,21
placés,placé,31
le,le,71
plus,plus,60
près,près,81
de,de,81
lui,lui,51
l',le,52
entendirent,entendre,19
dire,dire,14
à,à,81
demi-voix,demi-voix,22
:,:,p
-,-,p
voilà,voilà,81
ce,ce,52
que,que,52
c',ce,52
est,être,17
",",",",p
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
demandé,demander,12
à,à,81
monsieur,monsieur,21
Baloup,Baloup,20
/!,/!,P
l',le,71
avocat,avocat,21
général,général,30
fit,faire,19
remarquer,remarquer,14
au,à,81
au,le,71
jury,jury,21
cette,ce,74
attitude,attitude,22
hébétée,hébété,30
",",",",p
calculée,calculé,31
évidemment,évidemment,60
",",",",p
qui,qui,52
dénotait,dénoter,18
",",",",p
non,non,60
l',le,71
imbécillité,imbécillité,22
",",",",p
mais,mais,82
l',le,71
adresse,adresse,22
",",",",p
la,le,71
ruse,ruse,22
",",",",p
l',le,71
habitude,habitude,22
de,de,81
tromper,tromper,14
la,le,71
justice,justice,22
",",",",p
et,et,82
qui,qui,52
mettait,mettre,18
dans,dans,81
tout,tout,75
son,son,73
jour,jour,21
“,“,p
la,le,71
profonde,profond,30
perversité,perversité,22
“,“,p
de,de,81
cet,ce,74
homme,homme,21
/.,/.,P
il,il,51
termina,terminer,19
en,en,81
faisant,faire,13
ses,son,73
réserves,réserve,22
pour,pour,81
l',le,71
affaire,affaire,22
Petit-Gervais,Petit-Gervais,20
",",",",p
et,et,82
en,en,81
réclamant,réclamer,13
une,un,71
condamnation,condamnation,22
sévère,sévère,30
/.,/.,P
c',ce,52
était,être,18
",",",",p
pour,pour,81
l',le,71
instant,instant,21
",",",",p
on,on,51
s',se,51
en,en,52
souvient,souvenir,17
",",",",p
les,le,71
travaux,travail,21
forcés,forcé,31
à,à,81
perpétuité,perpétuité,22
/.,/.,P
le,le,71
défenseur,défenseur,21
se,se,51
leva,lever,19
",",",",p
commença,commencer,19
par,par,81
complimenter,complimenter,14
“,“,p
monsieur,monsieur,21
l',le,71
avocat,avocat,21
général,général,30
“,“,p
sur,sur,81
son,son,73
“,“,p
admirable,admirable,30
parole,parole,22
“,“,p
",",",",p
puis,puis,60
répliqua,répliquer,19
comme,comme,83
il,il,51
put,pouvoir,19
",",",",p
mais,mais,82
il,il,51
faiblissait,faiblir,18
;,;,p
le,le,71
terrain,terrain,21
évidemment,évidemment,60
se,se,51
dérobait,dérober,18
sous,sous,81
lui,lui,51
/.,/.,P
<chapitre X>,<>,<>
le,le,71
système,système,21
de,de,81
dénégations,dénégation,22
/.,/.,P
l',le,71
instant,instant,21
de,de,81
clore,clore,14
les,le,71
débats,débat,21
était,être,18
venu,venir,12
/.,/.,P
le,le,71
président,président,21
fit,faire,19
lever,lever,14
l',le,71
accusé,accusé,21
et,et,82
lui,lui,51
adressa,adresser,19
la,le,71
question,question,22
d',de,81
usage,usage,21
:,:,p
-,-,p
avez,avoir,17
vous,vous,51
quelque,quelque,75
chose,chose,22
à,à,81
ajouter,ajouter,14
à,à,81
votre,votre,73
défense,défense,22
/?,/?,P
l',le,71
homme,homme,21
",",",",p
debout,debout,60
",",",",p
roulant,rouler,13
dans,dans,81
ses,son,73
mains,main,22
un,un,71
affreux,affreux,30
bonnet,bonnet,21
qu',que,52
il,il,51
avait,avoir,18
",",",",p
sembla,sembler,19
ne,ne,60
pas,pas,60
entendre,entendre,14
/.,/.,P
le,le,71
président,président,21
répéta,répéter,19
la,le,71
question,question,22
/.,/.,P
cette,ce,74
fois,fois,22
l',le,71
homme,homme,21
entendit,entendre,19
/.,/.,P
il,il,51
parut,paraître,19
comprendre,comprendre,14
",",",",p
il,il,51
fit,faire,19
le,le,71
mouvement,mouvement,21
de,de,81
quelqu'un,quelqu'un,52
qui,qui,52
se,se,51
réveille,réveiller,17
",",",",p
promena,promener,19
ses,son,73
yeux,oeil,21
autour,autour,60
de,de,81
lui,lui,51
",",",",p
regarda,regarder,19
le,le,71
public,public,30
",",",",p
les,le,71
gendarmes,gendarme,21
",",",",p
son,son,73
avocat,avocat,21
",",",",p
les,le,71
jurés,juré,21
",",",",p
la,le,71
cour,cour,22
",",",",p
posa,poser,19
son,son,73
poing,poing,21
monstrueux,monstrueux,30
sur,sur,81
le,le,71
rebord,rebord,21
de,de,81
la,le,71
boiserie,boiserie,22
placée,placé,31
devant,devant,81
son,son,73
banc,banc,21
",",",",p
regarda,regarder,19
encore,encore,60
",",",",p
et,et,82
tout,tout,60
à,à,81
coup,coup,21
",",",",p
fixant,fixer,13
sont,être,17
regard,regard,21
sur,sur,81
l',le,71
avocat,avocat,21
général,général,30
",",",",p
il,il,51
se,se,51
mit,mettre,19
à,à,81
parler,parler,14
/.,/.,P
ce,ce,52
fut,être,19
comme,comme,83
une,un,71
éruption,éruption,22
/.,/.,P
il,il,51
sembla,sembler,19
",",",",p
à,à,81
la,le,71
façon,façon,22
dont,dont,52
les,le,71
paroles,parole,22
s',se,51
échappaient,échapper,18
de,de,81
sa,son,73
bouche,bouche,22
",",",",p
incohérentes,incohérent,30
",",",",p
impétueuses,impétueux,30
",",",",p
heurtées,heurté,31
",",",",p
pêle-mêle,pêle-mêle,60
",",",",p
qu',que,83
elles,ils,51
s',se,51
y,y,52
pressaient,presser,18
toutes,tout,52
à,à,81
la,le,71
fois,fois,22
pour,pour,81
sortir,sortir,14
en,en,81
même,même,75
temps,temps,21
/.,/.,P
il,il,51
dit,dire,19
:,:,p
-,-,p
j',je,51
ai,avoir,17
à,à,81
dire,dire,14
ça,ça,52
/.,/.,P
que,que,52
j',je,51
ai,avoir,17
été,être,12
charron,charron,21
à,à,81
Paris,Paris,20
",",",",p
même,même,60
que,que,83
c',ce,52
était,être,18
chez,chez,81
monsieur,monsieur,21
Baloup,Baloup,20
/.,/.,P
c',ce,52
est,être,17
un,un,71
état,état,21
dur,dur,30
/.,/.,P
dans,dans,81
la,le,71
chose,chose,22
de,de,81
charron,charron,21
",",",",p
on,on,51
travaille,travailler,17
toujours,toujours,60
en,en,81
plein,plein,30
air,air,21
",",",",p
dans,dans,81
des,de,81
des,le,71
cours,cour,22
",",",",p
sous,sous,81
des,de,81
des,le,71
hangars,hangar,21
chez,chez,81
les,le,71
bons,bon,30
maîtres,maître,21
",",",",p
jamais,jamais,60
dans,dans,81
des,de,81
des,le,71
ateliers,atelier,21
fermés,fermé,31
",",",",p
parce qu',parce que,83
il,il,51
faut,falloir,17
des,de,81
des,le,71
espaces,espace,21
",",",",p
voyez,voir,17
vous,vous,51
/.,/.,P
l',le,71
hiver,hiver,21
",",",",p
on,on,51
a,avoir,17
si,si,60
froid,froid,30
qu',que,83
on,on,51
se,se,51
bat,battre,17
les,le,71
bras,bras,21
pour,pour,81
se,se,51
réchauffer,réchauffer,14
;,;,p
mais,mais,82
les,le,71
maîtres,maître,21
ne,ne,60
veulent,vouloir,17
pas,pas,60
",",",",p
ils,ils,51
disent,dire,17
que,que,83
cela,cela,52
perd,perdre,17
du,de,81
du,le,71
temps,temps,21
/.,/.,P
manier,manier,14
du,de,81
du,le,71
fer,fer,21
quand,quand,83
il,il,51
y,y,52
a,avoir,17
de,de,81
la,le,71
glace,glace,22
entre,entre,81
les,le,71
pavés,pavé,21
",",",",p
c',ce,52
est,être,17
rude,rude,30
/.,/.,P
ça,ça,52
vous,vous,51
use,user,17
vite,vite,60
un,un,71
homme,homme,21
/.,/.,P
on,on,51
est,être,17
vieux,vieux,30
tout,tout,60
jeune,jeune,30
dans,dans,81
cet,ce,74
état,état,21
là,là,60
/.,/.,P
à,à,81
quarante,quarante,72
ans,an,21
",",",",p
un,un,71
homme,homme,21
est,être,17
fini,finir,12
/.,/.,P
moi,moi,51
",",",",p
j',je,51
en,en,52
avais,avoir,18
cinquante,cinquante,72
trois,trois,72
",",",",p
j',je,51
avais,avoir,18
bien,bien,60
du,de,81
du,le,71
mal,mal,21
/.,/.,P
et,et,82
puis,puis,60
c',ce,52
est,être,17
si,si,60
méchant,méchant,30
les,le,71
ouvriers,ouvrier,21
/!,/!,P
quand,quand,83
un,un,71
bonhomme,bonhomme,21
n',ne,60
est,être,17
plus,plus,60
jeune,jeune,30
",",",",p
on,on,51
vous,vous,51
l',le,52
appelle,appeler,17
pour,pour,81
tout,tout,75
vieux,vieux,30
serin,serin,21
",",",",p
vieille,vieux,30
bête,bête,22
/!,/!,P
je,je,51
ne,ne,60
gagnais,gagner,18
plus,plus,60
que,que,83
trente,trente,72
sous,sou,21
par,par,81
jour,jour,21
",",",",p
on,on,51
me,je,51
payait,payer,18
le,le,71
moins,moins,60
cher,cher,30
qu',que,83
on,on,51
pouvait,pouvoir,18
",",",",p
les,le,71
maîtres,maître,21
profitaient,profiter,18
de,de,81
mon,mon,73
âge,âge,21
/.,/.,P
avec,avec,81
ça,ça,52
",",",",p
j',je,51
avais,avoir,18
ma,mon,73
fille,fille,22
qui,qui,52
était,être,18
blanchisseuse,blanchisseuse,22
à,à,81
la,le,71
rivière,rivière,22
/.,/.,P
elle,il,51
gagnait,gagner,18
un,un,71
peu,peu,60
de,de,81
son,son,73
côté,côté,21
/.,/.,P
à,à,81
nous,nous,51
deux,deux,72
",",",",p
cela,cela,52
allait,aller,18
/.,/.,P
elle,il,51
avait,avoir,18
de,de,81
la,le,71
peine,peine,22
aussi,aussi,60
/.,/.,P
toute,tout,75
la,le,71
journée,journée,22
dans,dans,81
un,un,71
baquet,baquet,21
jusqu',jusque,81
à mi-corps,à mi-corps,60
",",",",p
à,à,81
la,le,71
pluie,pluie,22
",",",",p
à,à,81
la,le,71
neige,neige,22
",",",",p
avec,avec,81
le,le,71
vent,vent,21
qui,qui,52
vous,vous,51
coupe,couper,17
la,le,71
figure,figure,22
;,;,p
quand,quand,83
il,il,51
gèle,geler,17
",",",",p
c',ce,52
est,être,17
tout,tout,60
de,de,81
même,même,60
",",",",p
il,il,51
faut,falloir,17
laver,laver,14
;,;,p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
personnes,personne,22
qui,qui,52
n',ne,60
ont,avoir,17
pas,pas,60
beaucoup,beaucoup,60
de,de,81
linge,linge,21
et,et,82
qui,qui,52
attendent,attendre,17
après,après,81
;,;,p
si,si,83
on,on,51
ne,ne,60
lavait,laver,18
pas,pas,60
",",",",p
on,on,51
perdrait,perdre,16
des,de,81
des,le,71
pratiques,pratique,22
/.,/.,P
les,le,71
planches,planche,22
sont,être,17
mal,mal,60
jointes,joindre,12
et,et,82
il,il,51
vous,vous,51
tombe,tomber,17
des,de,81
des,le,71
gouttes,goutte,22
d',de,81
eau,eau,22
partout,partout,60
/.,/.,P
on,on,51
a,avoir,17
ses,son,73
jupes,jupe,22
toutes,tout,60
mouillées,mouillé,31
",",",",p
dessus,dessus,60
et,et,82
dessous,dessous,60
/.,/.,P
ça,ça,52
pénètre,pénétrer,17
/.,/.,P
elle,il,51
a,avoir,17
aussi,aussi,60
travaillé,travailler,12
au,à,81
au,le,71
lavoir,lavoir,21
des,de,81
des,le,71
enfants-,enfant,21
rouges,rouge,30
",",",",p
où,où,60
l',le,71
eau,eau,22
arrive,arriver,17
par,par,81
des,de,81
des,le,71
robinets,robinet,21
/.,/.,P
on,on,51
n',ne,60
est,être,17
pas,pas,60
dans,dans,81
le,le,71
baquet,baquet,21
/.,/.,P
on,on,51
lave,laver,17
devant,devant,81
soi,soi,51
au,à,81
au,le,71
robinet,robinet,21
et,et,82
on,on,51
rince,rincer,17
derrière,derrière,81
soi,soi,51
dans,dans,81
le,le,71
bassin,bassin,21
/.,/.,P
comme,comme,83
c',ce,52
est,être,17
fermé,fermer,12
",",",",p
on,on,51
a,avoir,17
moins,moins,60
froid,froid,21
au,à,81
au,le,71
corps,corps,21
/.,/.,P
mais,mais,82
il,il,51
y,y,52
a,avoir,17
une,un,71
buée,buée,22
d',de,81
eau,eau,22
chaude,chaud,30
qui,qui,52
est,être,17
terrible,terrible,30
et,et,82
qui,qui,52
vous,vous,51
perd,perdre,17
les,le,71
yeux,oeil,21
/.,/.,P
elle,il,51
revenait,revenir,18
à,à,81
sept,sept,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
",",",",p
et,et,82
se,se,51
couchait,coucher,18
bien,bien,60
vite,vite,60
;,;,p
elle,il,51
était,être,18
si,si,60
fatiguée,fatiguer,12
/.,/.,P
son,son,73
mari,mari,21
la,le,52
battait,battre,18
/.,/.,P
elle,il,51
est,être,17
morte,mourir,12
/.,/.,P
nous,nous,51
n',ne,60
avons,avoir,17
pas,pas,60
été,être,12
bien,bien,60
heureux,heureux,30
/.,/.,P
c',ce,52
était,être,18
une,un,71
brave,brave,30
fille,fille,22
qui,qui,52
n',ne,60
allait,aller,18
pas,pas,60
au,à,81
au,le,71
bal,bal,21
",",",",p
qui,qui,52
était,être,18
bien,bien,60
tranquille,tranquille,30
/.,/.,P
je,je,51
me,je,51
rappelle,rappeler,17
un,un,71
mardi,mardi,21
gras,gras,30
où,où,60
elle,il,51
était,être,18
couchée,coucher,12
à,à,81
huit,huit,72
heures,heure,22
/.,/.,P
voilà,voilà,81
/.,/.,P
je,je,51
dis,dire,17
vrai,vrai,60
/.,/.,P
vous,vous,51
n',ne,60
