11870
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-neuvième extrait>,<>,<>
le,le,71
pain,pain,21
",",",",p
et,et,82
le,le,71
sucre,sucre,21
amoncelé,amoncelé,31
dans,dans,81
une,un,71
soucoupe,soucoupe,22
",",",",p
Eugénie,Eugénie,20
trembla,trembler,19
de,de,81
tous,tout,75
ses,son,73
membres,membre,21
en,en,81
songeant,songer,13
seulement,seulement,60
alors,alors,60
aux,à,81
aux,le,71
regards,regard,21
que,que,52
lui,lui,51
lancerait,lancer,16
son,son,73
père,père,21
",",",",p
s',si,83
il,il,51
venait,venir,18
à,à,81
entrer,entrer,14
en,en,81
ce,ce,74
moment,moment,21
/.,/.,P
aussi,aussi,60
regardait,regarder,18
elle,il,51
souvent,souvent,60
la,le,71
pendule,pendule,22
",",",",p
afin,afin,81
de,de,81
calculer,calculer,14
si,si,83
son,son,73
cousin,cousin,21
pourrait,pouvoir,16
déjeuner,déjeuner,14
avant,avant,81
le,le,71
retour,retour,21
du,de,81
du,le,71
bonhomme,bonhomme,21
/.,/.,P
-,-,p
sois,être,17
tranquille,tranquille,30
",",",",p
Eugénie,Eugénie,20
",",",",p
si,si,83
ton,ton,73
père,père,21
vient,venir,17
",",",",p
je,je,51
prendrai,prendre,15
tout,tout,52
sur,sur,81
moi,moi,51
",",",",p
dit,dire,19
madame,madame,22
Grandet,Grandet,20
/.,/.,P
Eugénie,Eugénie,20
ne,ne,60
put,pouvoir,19
retenir,retenir,14
une,un,71
larme,larme,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
ma,mon,73
bonne,bon,30
mère,mère,22
",",",",p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
",",",",p
je,je,51
ne,ne,60
t',tu,51
ai,avoir,17
pas,pas,60
assez,assez,60
aimée,aimer,12
/!,/!,P
Charles,Charles,20
",",",",p
après,après,81
avoir,avoir,14
fait,faire,12
mille,mille,72
tours,tour,21
dans,dans,81
sa,son,73
chambre,chambre,22
en,en,81
chanteronnant,chanteronner,13
",",",",p
descendit,descendre,19
enfin,enfin,60
/.,/.,P
heureusement,heureusement,60
",",",",p
il,il,51
n',ne,60
était,être,18
encore,encore,60
que,que,83
onze,onze,72
heures,heure,22
/.,/.,P
le,le,71
Parisien,Parisien,20
!,!,p
il,il,51
avait,avoir,18
mis,mettre,12
autant,autant,60
de,de,81
coquetterie,coquetterie,22
à,à,81
sa,son,73
toilette,toilette,22
que,que,83
s',si,83
il,il,51
se,se,51
fût,être,19
trouvé,trouver,12
au,à,81
au,le,71
château,château,21
de,de,81
la,le,71
noble,noble,30
dame,dame,22
qui,qui,52
voyageait,voyager,18
en,en,81
Ecosse,Ecosse,20
/.,/.,P
il,il,51
entra,entrer,19
de,de,81
cet,ce,74
air,air,21
affable,affable,30
et,et,82
riant,riant,30
qui,qui,52
sied,seoir,17
si,si,60
bien,bien,60
à,à,81
la,le,71
jeunesse,jeunesse,22
",",",",p
et,et,82
qui,qui,52
causa,causer,19
une,un,71
joie,joie,22
triste,triste,30
à,à,81
Eugénie,Eugénie,20
/.,/.,P
il,il,51
avait,avoir,18
pris,prendre,12
en,en,81
plaisanterie,plaisanterie,22
le,le,71
désastre,désastre,21
de,de,81
ses,son,73
châteaux,château,21
en,en,81
Anjou,Anjou,20
",",",",p
et,et,82
aborda,aborder,19
sa,son,73
tante,tante,22
fort,fort,60
gaiement,gaiement,60
/.,/.,P
-,-,p
avez,avoir,17
vous,vous,51
bien,bien,60
passé,passer,12
la,le,71
nuit,nuit,22
",",",",p
ma,mon,73
chère,cher,30
tante,tante,22
/?,/?,P
et,et,82
vous,vous,51
",",",",p
ma,mon,73
cousine,cousine,22
/?,/?,P
bien,bien,60
",",",",p
monsieur,monsieur,21
;,;,p
mais,mais,82
vous,vous,51
",",",",p
dit,dire,19
madame,madame,22
Grandet,Grandet,20
/.,/.,P
-,-,p
moi,moi,51
",",",",p
parfaitement,parfaitement,60
/.,/.,P
-,-,p
vous,vous,51
devez,devoir,17
avoir,avoir,14
faim,faim,22
",",",",p
mon,mon,73
cousin,cousin,21
",",",",p
dit,dire,19
Eugénie,Eugénie,20
;,;,p
mettez,mettre,17
vous,vous,51
à,à,81
table,table,22
/.,/.,P
-,-,p
mais,mais,82
je,je,51
ne,ne,60
déjeune,déjeuner,17
jamais,jamais,60
avant,avant,81
midi,midi,21
",",",",p
le,le,71
moment,moment,21
où,où,60
je,je,51
me,je,51
lève,lever,17
/.,/.,P
cependant,cependant,82
",",",",p
j',je,51
ai,avoir,17
si,si,60
mal,mal,60
vécu,vivre,12
en,en,81
route,route,22
",",",",p
que,que,83
je,je,51
me,je,51
laisserai,laisser,15
faire,faire,14
/.,/.,P
d',de,81
ailleurs,ailleurs,60
/…,/…,P
il,il,51
tira,tirer,19
la,le,71
plus,plus,60
délicieuse,délicieux,30
montre,montre,22
plate,plat,30
que,que,52
Breguet,Breguet,20
ait,avoir,17
faite,faire,12
/.,/.,P
tiens,tenir,17
",",",",p
mais,mais,82
il,il,51
est,être,17
onze,onze,72
heures,heure,22
",",",",p
j',je,51
ai,avoir,17
été,être,12
matinal,matinal,30
/.,/.,P
-,-,p
matinal,matinal,30
?,?,p
dit,dire,19
madame,madame,22
Grandet,Grandet,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
mais,mais,82
je,je,51
voulais,vouloir,18
ranger,ranger,14
mes,mon,73
affaires,affaire,22
/.,/.,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
je,je,51
mangerais,manger,16
volontiers,volontiers,60
quelque,quelque,75
chose,chose,22
",",",",p
un,un,71
rien,rien,21
",",",",p
une,un,71
volaille,volaille,22
",",",",p
un,un,71
perdreau,perdreau,21
/.,/.,P
-,-,p
Sainte Vierge,Sainte Vierge,20
!,!,p
cria,crier,19
Nanon,Nanon,20
en,en,81
entendant,entendre,13
ces,ce,74
paroles,parole,22
/.,/.,P
-,-,p
un,un,71
perdreau,perdreau,21
",",",",p
se,se,51
disait,dire,18
Eugénie,Eugénie,20
",",",",p
qui,qui,52
aurai,avoir,15
voulu,vouloir,12
payer,payer,14
un,un,71
perdreau,perdreau,21
de,de,81
tout,tout,75
son,son,73
pécule,pécule,21
/.,/.,P
-,-,p
venez,venir,17
vous,vous,51
asseoir,asseoir,14
",",",",p
lui,lui,51
dit,dire,19
sa,son,73
tante,tante,22
/.,/.,P
le,le,71
dandy,dandy,21
se,se,51
laissa,laisser,19
aller,aller,14
sur,sur,81
le,le,71
fauteuil,fauteuil,21
comme,comme,83
une,un,71
jolie,joli,30
femme,femme,22
qui,qui,52
se,se,51
pose,poser,17
sur,sur,81
son,son,73
divan,divan,21
/.,/.,P
Eugénie,Eugénie,20
et,et,82
sa,son,73
mère,mère,22
prirent,prendre,19
des,de,81
des,le,71
chaises,chaise,22
et,et,82
se,se,51
mirent,mettre,19
près,près,81
de,de,81
lui,lui,51
devant,devant,81
le,le,71
feu,feu,21
/.,/.,P
-,-,p
vous,vous,51
vivez,vivre,17
toujours,toujours,60
ici,ici,60
?,?,p
leur,leur,52
dit,dire,19
Charles,Charles,20
en,en,81
trouvant,trouver,13
la,le,71
salle,salle,22
encore,encore,60
plus,plus,60
laide,laid,30
au,à,81
au,le,71
jour,jour,21
qu',que,83
elle,il,51
ne,ne,60
l',le,52
était,être,18
aux,à,81
aux,le,71
lumières,lumière,22
/.,/.,P
-,-,p
toujours,toujours,60
",",",",p
répondit,répondre,19
Eugénie,Eugénie,20
en,en,81
le,le,52
regardant,regarder,13
",",",",p
excepté,excepté,81
pendant,pendant,81
les,le,71
vendanges,vendange,22
/.,/.,P
nous,nous,51
allons,aller,17
alors,alors,60
aider,aider,14
Nanon,Nanon,20
",",",",p
et,et,82
logeons,loger,17
tous,tout,52
à,à,81
l',le,71
abbaye,abbaye,22
de,de,81
noyers,noyer,21
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
vous,vous,51
promenez,promener,17
jamais,jamais,60
/?,/?,P
quelquefois,quelquefois,60
le,le,71
dimanche,dimanche,21
après,après,81
vêpres,vêpres,22
",",",",p
quand,quand,83
il,il,51
fait,faire,17
beau,beau,60
",",",",p
dit,dire,19
madame,madame,22
Grandet,Grandet,20
",",",",p
nous,nous,51
allons,aller,17
sur,sur,81
le,le,71
pont,pont,21
",",",",p
ou,ou,82
voir,voir,14
les,le,71
foins,foin,21
quand,quand,83
on,on,51
les,le,52
fauche,faucher,17
/.,/.,P
-,-,p
avez,avoir,17
vous,vous,51
un,un,71
théâtre,théâtre,21
/?,/?,P
aller,aller,14
au,à,81
au,le,71
spectacle,spectacle,21
",",",",p
s',se,51
écria,écrier,19
madame,madame,22
Grandet,Grandet,20
",",",",p
voir,voir,14
des,de,81
des,le,71
comédiens,comédien,21
/!,/!,P
mais,mais,82
",",",",p
monsieur,monsieur,21
",",",",p
ne,ne,60
savez,savoir,17
vous,vous,51
pas,pas,60
que,que,83
c',ce,52
est,être,17
un,un,71
péché,péché,21
mortel,mortel,30
/?,/?,P
tenez,tenir,17
",",",",p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
",",",",p
dit,dire,19
Nanon,Nanon,20
en,en,81
apportant,apporter,13
les,le,71
oeufs,oeuf,21
",",",",p
nous,nous,51
vous,vous,51
donnerons,donner,15
les,le,71
poulets,poulet,21
à,à,81
la,le,71
coque,coque,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
des,de,81
des,le,71
oeufs,oeuf,21
frais,frais,30
",",",",p
dit,dire,19
Charles,Charles,20
qui,qui,52
semblable,semblable,30
aux,à,81
aux,le,71
gens,gens,21
habitués,habitué,31
au,à,81
au,le,71
luxe,luxe,21
ne,ne,60
pensait,penser,18
déjà,déjà,60
plus,plus,60
à,à,81
son,son,73
perdreau,perdreau,21
/.,/.,P
mais,mais,82
c',ce,52
est,être,17
délicieux,délicieux,30
",",",",p
si,si,83
vous,vous,51
aviez,avoir,18
du,de,81
du,le,71
beurre,beurre,21
/?,/?,P
hein,hein,93
",",",",p
ma,mon,73
chère,cher,30
enfant,enfant,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
du,de,81
du,le,71
beurre,beurre,21
/!,/!,P
vous,vous,51
n',ne,60
aurez,avoir,15
donc,donc,82
pas,pas,60
de,de,81
galette,galette,22
",",",",p
dit,dire,19
la,le,71
servante,servante,22
/.,/.,P
-,-,p
mais,mais,82
donne,donner,17
du,de,81
du,le,71
beurre,beurre,21
",",",",p
Nanon,Nanon,20
",",",",p
s',se,51
écria,écrier,19
Eugénie,Eugénie,20
/.,/.,P
la,le,71
jeune,jeune,30
fille,fille,22
examinait,examiner,18
son,son,73
cousin,cousin,21
coupant,couper,13
ses,son,73
mouillettes,mouillette,22
et,et,82
y,y,52
prenait,prendre,18
plaisir,plaisir,21
",",",",p
autant,autant,60
que,que,83
la,le,71
plus,plus,60
sensible,sensible,30
grisette,grisette,22
de,de,81
Paris,Paris,20
en,en,52
prend,prendre,17
à,à,81
voir,voir,14
jouer,jouer,14
un,un,71
mélodrame,mélodrame,21
où,où,60
triomphe,triompher,17
l',le,71
innocence,innocence,22
/.,/.,P
il,il,51
est,être,17
vrai,vrai,30
que,que,83
Charles,Charles,20
",",",",p
élevé,élevé,31
par,par,81
une,un,71
mère,mère,22
gracieuse,gracieux,30
",",",",p
perfectionné,perfectionné,31
par,par,81
une,un,71
femme,femme,22
à,à,81
la,le,71
mode,mode,22
",",",",p
avait,avoir,18
des,de,81
des,le,71
mouvements,mouvement,21
coquets,coquet,30
",",",",p
élégants,élégant,30
",",",",p
menus,menu,30
",",",",p
comme,comme,83
le,le,52
sont,être,17
ceux,celui,52
d',de,81
une,un,71
petite,petit,30
maîtresse,maîtresse,22
/.,/.,P
la,le,71
compatissance,compatissance,22
et,et,82
la,le,71
tendresse,tendresse,22
d',de,81
une,un,71
jeune,jeune,30
fille,fille,22
possèdent,posséder,17
une,un,71
influence,influence,22
vraiment,vraiment,60
magnétique,magnétique,30
/.,/.,P
aussi,aussi,60
Charles,Charles,20
",",",",p
en,en,81
se,se,51
voyant,voir,13
l',le,71
objet,objet,21
des,de,81
des,le,71
attentions,attention,22
de,de,81
sa,son,73
cousine,cousine,22
et,et,82
de,de,81
sa,son,73
tante,tante,22
",",",",p
ne,ne,60
put,pouvoir,19
il,il,51
se,se,51
soustraire,soustraire,14
à,à,81
l',le,71
influence,influence,22
des,de,81
des,le,71
sentiments,sentiment,21
qui,qui,52
se,se,51
dirigeaient,diriger,18
vers,vers,81
lui,lui,51
en,en,81
l',le,52
inondant,inonder,13
pour,pour,81
ainsi,ainsi,60
dire,dire,14
/.,/.,P
il,il,51
jeta,jeter,19
sur,sur,81
Eugénie,Eugénie,20
un,un,52
de,de,81
ces,ce,74
regards,regard,21
brillants,brillant,30
de,de,81
bonté,bonté,22
",",",",p
de,de,81
caresses,caresse,22
",",",",p
un,un,71
regard,regard,21
qui,qui,52
semblait,sembler,18
sourire,sourire,14
/.,/.,P
il,il,51
s',se,51
aperçut,apercevoir,19
",",",",p
en,en,81
contemplant,contempler,13
Eugénie,Eugénie,20
",",",",p
de,de,81
l',le,71
exquise,exquis,30
harmonie,harmonie,22
des,de,81
des,le,71
traits,trait,21
de,de,81
ce,ce,74
pur,pur,30
visage,visage,21
",",",",p
de,de,81
son,son,73
innocente,innocent,30
attitude,attitude,22
",",",",p
de,de,81
la,le,71
clarté,clarté,22
magique,magique,30
de,de,81
ses,son,73
yeux,oeil,21
où,où,60
scintillaient,scintiller,18
de,de,81
jeunes,jeune,30
pensées,pensée,22
d',de,81
amour,amour,21
",",",",p
et,et,82
où,où,60
le,le,71
désir,désir,21
ignorait,ignorer,18
la,le,71
volupté,volupté,22
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
",",",",p
ma,mon,73
chère,cher,30
cousine,cousine,22
",",",",p
si,si,83
vous,vous,51
étiez,être,18
en,en,81
grande,grand,30
loge,loge,22
et,et,82
en,en,81
grande,grand,30
toilette,toilette,22
à,à,81
l',le,71
Opéra,Opéra,20
",",",",p
je,je,51
vous,vous,51
garantis,garantir,17
que,que,83
ma,mon,73
tante,tante,22
aurait,avoir,16
bien,bien,60
raison,raison,22
",",",",p
vous,vous,51
y,y,52
feriez,faire,16
faire,faire,14
bien,bien,60
des,de,81
des,le,71
péchés,péché,21
d',de,81
envie,envie,22
aux,à,81
aux,le,71
hommes,homme,21
et,et,82
de,de,81
jalousie,jalousie,22
aux,à,81
aux,le,71
femmes,femme,22
/.,/.,P
ce,ce,74
compliment,compliment,21
étreignit,étreindre,19
le,le,71
coeur,coeur,21
d',de,81
Eugénie,Eugénie,20
",",",",p
et,et,82
le,le,52
fit,faire,19
palpiter,palpiter,14
de,de,81
joie,joie,22
",",",",p
quoiqu',quoique,83
elle,il,51
n',ne,60
y,y,52
comprît,comprendre,18
rien,rien,52
/.,/.,P
-,-,p
oh,oh,93
!,!,p
mon,mon,73
cousin,cousin,21
",",",",p
vous,vous,51
voulez,vouloir,17
vous,vous,51
moquer,moquer,14
d',de,81
une,un,71
pauvre,pauvre,30
petite,petit,30
provinciale,provinciale,22
/.,/.,P
-,-,p
si,si,83
vous,vous,51
me,je,51
connaissiez,connaître,17
",",",",p
ma,mon,73
cousine,cousine,22
",",",",p
vous,vous,51
sauriez,savoir,16
que,que,83
j',je,51
abhorre,abhorrer,17
la,le,71
raillerie,raillerie,22
",",",",p
elle,il,51
flétrit,flétrir,17
le,le,71
coeur,coeur,21
",",",",p
froisse,froisser,17
tous,tout,75
les,le,71
sentiments,sentiment,21
/…,/…,P
et,et,82
il,il,51
goba,gober,19
fort,fort,60
agréablement,agréablement,60
sa,son,73
mouillette,mouillette,22
beurrée,beurré,31
/.,/.,P
non,non,60
",",",",p
je,je,51
n',ne,60
ai,avoir,17
probablement,probablement,60
pas,pas,60
assez,assez,60
d',de,81
esprit,esprit,21
pour,pour,81
me,je,51
moquer,moquer,14
des,de,81
des,le,71
autres,autre,52
",",",",p
et,et,82
ce,ce,74
défaut,défaut,21
me,je,51
fait,faire,17
beaucoup,beaucoup,60
de,de,81
tort,tort,21
/.,/.,P
à,à,81
Paris,Paris,20
",",",",p
on,on,51
trouve,trouver,17
moyen,moyen,30
de,de,81
vous,vous,51
assassiner,assassiner,14
un,un,71
homme,homme,21
en,en,81
disant,dire,13
:,:,p
il,il,51
a,avoir,17
bon,bon,30
coeur,coeur,21
/.,/.,P
cette,ce,74
phrase,phrase,22
veut,vouloir,17
dire,dire,14
:,:,p
le,le,71
pauvre,pauvre,30
garçon,garçon,21
est,être,17
bête,bête,30
comme,comme,83
un,un,71
rhinocéros,rhinocéros,21
/.,/.,P
mais,mais,82
comme,comme,83
je,je,51
suis,être,17
riche,riche,30
et,et,82
connu,connaître,12
pour,pour,81
abattre,abattre,14
une,un,71
poupée,poupée,22
du,de,81
du,le,71
premier,premier,72
coup,coup,21
à,à,81
trente,trente,72
pas,pas,21
avec,avec,81
toute,tout,75
espèce,espèce,22
de,de,81
pistolet,pistolet,21
et,et,82
en,en,81
plein,plein,30
champ,champ,21
",",",",p
la,le,71
raillerie,raillerie,22
me,je,51
respecte,respecter,17
/.,/.,P
-,-,p
ce,ce,52
que,que,52
vous,vous,51
dites,dire,17
",",",",p
mon,mon,73
neveu,neveu,21
",",",",p
annonce,annoncer,17
un,un,71
bon,bon,30
coeur,coeur,21
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
une,un,52
bien,bien,60
jolie,joli,30
bague,bague,22
",",",",p
dit,dire,19
Eugénie,Eugénie,20
",",",",p
est,être,17
ce,ce,52
mal,mal,60
de,de,81
vous,vous,51
demander,demander,14
à,à,81
la,le,52
voir,voir,14
/?,/?,P
Charles,Charles,20
tendit,tendre,19
la,le,71
main,main,22
en,en,81
défaisant,défaire,13
son,son,73
anneau,anneau,21
",",",",p
et,et,82
Eugénie,Eugénie,20
rougit,rougir,19
en,en,81
effleurant,effleurer,13
du,de,81
du,le,71
bout,bout,21
de,de,81
ses,son,73
doigts,doigt,21
les,le,71
ongles,ongle,21
roses,rose,30
de,de,81
son,son,73
cousin,cousin,21
/.,/.,P
-,-,p
voyez,voir,17
",",",",p
ma,mon,73
mère,mère,22
",",",",p
le,le,71
beau,beau,30
travail,travail,21
/.,/.,P
-,-,p
oh,oh,93
!,!,p
il,il,51
y,y,52
a,avoir,17
gros,gros,60
d',de,81
or,or,21
",",",",p
dit,dire,19
Nanon,Nanon,20
en,en,81
apportant,apporter,13
le,le,71
café,café,21
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,83
c',ce,52
est,être,17
que,que,83
cela,cela,52
?,?,p
demanda,demander,19
Charles,Charles,20
en,en,81
riant,rire,13
/.,/.,P
et,et,82
il,il,51
montrait,montrer,18
un,un,71
pot,pot,21
oblong,oblong,30
",",",",p
en,en,81
terre,terre,22
brune,brun,30
",",",",p
verni,verni,31
",",",",p
faïencé,faïencé,30
à,à,81
l',le,71
intérieur,intérieur,21
",",",",p
bordé,bordé,31
d',de,81
une,un,71
frange,frange,22
de,de,81
cendre,cendre,22
",",",",p
et,et,82
au,à,81
au,le,71
fond,fond,21
duquel,de,81
duquel,lequel,52
tombait,tomber,18
le,le,71
café,café,21
en,en,81
revenant,revenir,13
à,à,81
la,le,71
surface,surface,22
du,de,81
du,le,71
liquide,liquide,21
bouillonnant,bouillonner,13
/.,/.,P
-,-,p
c',ce,52
est,être,17
du,de,81
du,le,71
café,café,21
boullu,bouilli,31
",",",",p
dit,dire,19
Nanon,Nanon,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
ma,mon,73
chère,cher,30
tante,tante,22
",",",",p
je,je,51
laisserai,laisser,15
du,de,81
du,le,71
moins,moins,60
quelque,quelque,75
trace,trace,22
bienfaisante,bienfaisant,30
de,de,81
mon,mon,73
passage,passage,21
ici,ici,60
/.,/.,P
vous,vous,51
êtes,être,17
bien,bien,60
arriérés,arriéré,30
/!,/!,P
je,je,51
vous,vous,51
apprendrai,apprendre,15
à,à,81
faire,faire,14
du,de,81
du,le,71
bon,bon,30
café,café,21
dans,dans,81
une,un,71
cafetière,cafetière,22
à,à,81
la,le,71
Chaptal,Chaptal,20
/.,/.,P
il,il,51
tenta,tenter,19
d',de,81
expliquer,expliquer,14
le,le,71
système,système,21
de,de,81
la,le,71
cafetière,cafetière,22
à,à,81
la,le,71
Chaptal,Chaptal,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
bien,bien,60
",",",",p
s',si,83
il,il,51
y,y,52
a,avoir,17
tant,tant,60
d',de,81
affaires,affaire,22
que,que,52
ça,ça,52
",",",",p
dit,dire,19
Nanon,Nanon,20
",",",",p
il,il,51
faudrait,falloir,16
bien,bien,60
y,y,52
passer,passer,14
sa,son,73
vie,vie,22
/.,/.,P
jamais,jamais,60
je,je,51
ne,ne,60
ferai,faire,15
de,de,81
café,café,21
comme,comme,83
ça,ça,52
/.,/.,P
ah,ah,93
!,!,p
bien,bien,60
",",",",p
oui,oui,60
/.,/.,P
et,et,82
qui,qui,52
est,être,17
ce,ce,52
qui,qui,52
ferait,faire,16
de,de,81
l',le,71
herbe,herbe,22
pour,pour,81
notre,notre,73
vache,vache,22
pendant,pendant,81
que,que,83
je,je,51
ferais,faire,16
le,le,71
café,café,21
/?,/?,P
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
le,le,52
ferai,faire,15
",",",",p
dit,dire,19
Eugénie,Eugénie,20
/.,/.,P
-,-,p
enfant,enfant,21
",",",",p
dit,dire,19
madame,madame,22
Grandet,Grandet,20
en,en,81
regardant,regarder,13
sa,son,73
fille,fille,22
/.,/.,P
à,à,81
ce,ce,74
mot,mot,21
",",",",p
qui,qui,52
rappelait,rappeler,18
le,le,71
chagrin,chagrin,21
près,près,81
de,de,81
fondre,fondre,14
sur,sur,81
ce,ce,74
malheureux,malheureux,30
jeune,jeune,30
homme,homme,21
",",",",p
les,le,71
trois,trois,72
femmes,femme,22
se,se,51
turent,taire,19
et,et,82
le,le,52
contemplèrent,contempler,19
d',de,81
un,un,71
air,air,21
de,de,81
commisération,commisération,22
qui,qui,52
le,le,52
frappa,frapper,19
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
donc,donc,82
",",",",p
ma,mon,73
cousine,cousine,22
/?,/?,P
chut,chut,93
!,!,p
dit,dire,19
madame,madame,22
Grandet,Grandet,20
à,à,81
Eugénie,Eugénie,20
",",",",p
qui,qui,52
allait,aller,18
parler,parler,14
/.,/.,P
tu,tu,51
sais,savoir,17
",",",",p
ma,mon,73
fille,fille,22
",",",",p
que,que,83
ton,ton,73
père,père,21
s',se,51
est,être,17
chargé,charger,12
de,de,81
parler,parler,14
à,à,81
monsieur,monsieur,21
/…,/…,P
dites,dire,17
Charles,Charles,20
",",",",p
dit,dire,19
le,le,71
jeune,jeune,30
Grandet,Grandet,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
vous,vous,51
vous,vous,51
nommez,nommer,17
Charles,Charles,20
/?,/?,P
c',ce,52
est,être,17
un,un,71
beau,beau,30
nom,nom,21
",",",",p
s',se,51
écria,écrier,19
Eugénie,Eugénie,20
/.,/.,P
les,le,71
malheurs,malheur,21
pressentis,pressenti,31
arrivent,arriver,17
presque,presque,60
toujours,toujours,60
/.,/.,P
là,là,60
",",",",p
Nanon,Nanon,20
",",",",p
madame,madame,22
Grandet,Grandet,20
et,et,82
Eugénie,Eugénie,20
",",",",p
qui,qui,52
ne,ne,60
pensaient,penser,18
pas,pas,60
sans,sans,81
frisson,frisson,21
au,à,81
au,le,71
retour,retour,21
du,de,81
du,le,71
vieux,vieux,30
tonnelier,tonnelier,21
",",",",p
entendirent,entendre,19
un,un,71
coup,coup,21
de,de,81
marteau,marteau,21
dont,dont,52
le,le,71
retentissement,retentissement,21
leur,leur,52
était,être,18
bien,bien,60
connu,connaître,12
/.,/.,P
-,-,p
voilà,voilà,81
papa,papa,21
",",",",p
dit,dire,19
Eugénie,Eugénie,20
/.,/.,P
elle,il,51
ôta,ôter,19
la,le,71
soucoupe,soucoupe,22
au,à,81
au,le,71
sucre,sucre,21
",",",",p
en,en,81
en,en,81
laissant,laisser,13
quelques,quelque,75
morceaux,morceau,21
sur,sur,81
la,le,71
nappe,nappe,22
/.,/.,P
Nanon,Nanon,20
emporta,emporter,19
l',le,71
assiette,assiette,22
aux,à,81
aux,le,71
oeufs,oeuf,21
/.,/.,P
madame,madame,22
Grandet,Grandet,20
se,se,51
dressa,dresser,19
comme,comme,83
une,un,71
biche,biche,22
effrayée,effrayé,31
/.,/.,P
c',ce,52
était,être,18
une,un,71
peur,peur,22
panique,panique,22
de,de,81
laquelle,lequel,52
Charles,Charles,20
dut,devoir,19
s',se,51
étonner,étonner,14
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
qu',que,52
avez,avoir,17
vous,vous,51
donc,donc,82
?,?,p
leur,leur,52
demanda,demander,19
t,t,94
il,il,51
/.,/.,P
-,-,p
mais,mais,82
voilà,voilà,81
mon,mon,73
père,père,21
",",",",p
dit,dire,19
Eugénie,Eugénie,20
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
/?,/?,P
monsieur,monsieur,21
Grandet,Grandet,20
entra,entrer,19
",",",",p
jeta,jeter,19
son,son,73
regard,regard,21
clair,clair,30
sur,sur,81
la,le,71
table,table,22
",",",",p
sur,sur,81
Charles,Charles,20
",",",",p
il,il,51
vit,voir,19
tout,tout,52
/.,/.,P
-,-,p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
vous,vous,51
avez,avoir,17
fait,faire,12
fête,fête,22
à,à,81
votre,votre,73
neveu,neveu,21
",",",",p
c',ce,52
est,être,17
bien,bien,60
",",",",p
très,très,60
bien,bien,60
",",",",p
c',ce,52
est,être,17
fort,fort,60
bien,bien,60
!,!,p
dit,dire,19
il,il,51
sans,sans,81
bégayer,bégayer,14
/.,/.,P
quand,quand,83
le,le,71
chat,chat,21
court,courir,17
sur,sur,81
les,le,71
toits,toit,21
",",",",p
les,le,71
souris,souris,22
dansent,danser,17
sur,sur,81
les,le,71
planchers,plancher,21
/.,/.,P
-,-,p
fête,fête,22
?,?,p
se,se,51
dit,dire,17
Charles,Charles,20
",",",",p
incapable,incapable,30
de,de,81
soupçonner,soupçonner,14
le,le,71
régime,régime,21
et,et,82
les,le,71
moeurs,moeurs,22
de,de,81
cette,ce,74
maison,maison,22
/.,/.,P
-,-,p
donne,donner,17
moi,moi,51
mon,mon,73
verre,verre,21
",",",",p
Nanon,Nanon,20
?,?,p
dit,dire,19
le,le,71
bonhomme,bonhomme,21
/.,/.,P
Eugénie,Eugénie,20
apporta,apporter,19
le,le,71
verre,verre,21
/.,/.,P
Grandet,Grandet,20
tira,tirer,19
de,de,81
son,son,73
gousset,gousset,21
un,un,71
couteau,couteau,21
de,de,81
corne,corne,22
à,à,81
grosse,gros,30
lame,lame,22
",",",",p
coupa,couper,19
une,un,71
tartine,tartine,22
",",",",p
prit,prendre,19
un,un,71
peu,peu,60
de,de,81
beurre,beurre,21
",",",",p
l',le,52
étendit,étendre,19
soigneusement,soigneusement,60
",",",",p
et,et,82
se,se,51
mit,mettre,19
à,à,81
manger,manger,14
debout,debout,60
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
",",",",p
Charles,Charles,20
sucrait,sucrer,18
son,son,73
café,café,21
/.,/.,P
le,le,71
père,père,21
Grandet,Grandet,20
aperçut,apercevoir,19
les,le,71
morceaux,morceau,21
de,de,81
sucre,sucre,21
",",",",p
examina,examiner,19
sa,son,73
femme,femme,22
qui,qui,52
pâlit,pâlir,19
",",",",p
et,et,82
fit,faire,19
trois,trois,72
pas,pas,21
;,;,p
il,il,51
se,se,51
