11756
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatorzième extrait>,<>,<>
ce,ce,52
bonheur,bonheur,21
qu',que,83
elle,il,51
s',se,51
imaginait,imaginer,18
autrefois,autrefois,60
/.,/.,P
elle,il,51
restait,rester,18
mélancolique,mélancolique,30
devant,devant,81
son,son,73
rêve,rêve,21
accompli,accompli,31
/.,/.,P
mais,mais,82
le,le,71
bas,bas,21
de,de,81
la,le,71
tente,tente,22
se,se,51
releva,relever,19
",",",",p
et,et,82
une,un,71
forme,forme,22
monstrueuse,monstrueux,30
apparut,apparaître,19
/.,/.,P
Salammbô,Salammbô,20
ne,ne,60
distingua,distinguer,19
d'abord,d'abord,60
que,que,83
les,le,71
deux,deux,72
yeux,oeil,21
",",",",p
avec,avec,81
une,un,71
longue,long,30
barbe,barbe,22
blanche,blanc,30
qui,qui,52
pendait,pendre,18
jusqu',jusque,81
à,à,81
terre,terre,22
;,;,p
car,car,82
le,le,71
reste,reste,21
du,de,81
du,le,71
corps,corps,21
",",",",p
embarrassé,embarrassé,31
dans,dans,81
les,le,71
guenilles,guenille,22
d',de,81
un,un,71
vêtement,vêtement,21
fauve,fauve,30
",",",",p
traînait,traîner,18
contre,contre,81
le,le,71
sol,sol,21
;,;,p
et,et,82
",",",",p
à,à,81
chaque,chaque,75
mouvement,mouvement,21
pour,pour,81
avancer,avancer,14
",",",",p
les,le,71
deux,deux,72
mains,main,22
entraient,entrer,18
dans,dans,81
la,le,71
barbe,barbe,22
",",",",p
puis,puis,60
retombaient,retomber,18
/.,/.,P
en,en,81
rampant,ramper,13
ainsi,ainsi,60
",",",",p
elle,il,51
arriva,arriver,19
jusqu',jusque,81
à,à,81
ses,son,73
pieds,pied,21
",",",",p
et,et,82
Salammbô,Salammbô,20
reconnut,reconnaître,19
le,le,71
vieux,vieux,30
Giscon,Giscon,20
/.,/.,P
en,en,81
effet,effet,21
",",",",p
les,le,71
mercenaires,mercenaire,21
",",",",p
pour,pour,81
empêcher,empêcher,14
les,le,71
anciens,ancien,21
captifs,captif,30
de,de,81
s',se,51
enfuir,enfuir,14
",",",",p
à,à,81
coups,coup,21
de,de,81
barre,barre,22
d',de,81
airain,airain,21
leur,leur,52
avaient,avoir,18
cassé,casser,12
les,le,71
jambes,jambe,22
;,;,p
et,et,82
ils,ils,51
pourrissaient,pourrir,18
tous,tout,52
pêle-mêle,pêle-mêle,60
",",",",p
dans,dans,81
une,un,71
fosse,fosse,22
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
immondices,immondice,21
/.,/.,P
les,le,71
plus,plus,60
robustes,robuste,30
",",",",p
quand,quand,83
ils,ils,51
entendaient,entendre,18
le,le,71
bruit,bruit,21
des,de,81
des,le,71
gamelles,gamelle,22
",",",",p
se,se,51
haussaient,hausser,18
en,en,81
criant,crier,13
:,:,p
c',ce,52
est,être,17
ainsi,ainsi,60
que,que,83
Giscon,Giscon,20
avait,avoir,18
aperçu,apercevoir,12
Salammbô,Salammbô,20
/.,/.,P
il,il,51
avait,avoir,18
deviné,deviner,12
une,un,71
Carthaginoise,Carthaginois,20
",",",",p
aux,à,81
aux,le,71
petites,petit,30
boules,boule,22
de,de,81
sandastrum,sandastrum,21
qui,qui,52
battaient,battre,18
contre,contre,81
ses,son,73
cothurnes,cothurne,21
;,;,p
et,et,82
",",",",p
dans,dans,81
le,le,71
pressentiment,pressentiment,21
d',de,81
un,un,71
mystère,mystère,21
considérable,considérable,30
",",",",p
en,en,81
se,se,51
faisant,faire,13
aider,aider,14
par,par,81
ses,son,73
compagnons,compagnon,21
",",",",p
il,il,51
était,être,18
parvenu,parvenir,12
à,à,81
sortir,sortir,14
de,de,81
la,le,71
fosse,fosse,22
;,;,p
puis,puis,60
",",",",p
avec,avec,81
les,le,71
coudes,coude,21
et,et,82
les,le,71
mains,main,22
",",",",p
il,il,51
s',se,51
était,être,18
traîné,traîner,12
vingt,vingt,72
pas,pas,21
plus,plus,60
loin,loin,60
",",",",p
jusqu',jusque,81
à,à,81
la,le,71
tente,tente,22
de,de,81
Mâtho,Mâtho,20
/.,/.,P
deux,deux,72
voix,voix,22
y,y,52
parlaient,parler,18
/.,/.,P
il,il,51
avait,avoir,18
écouté,écouter,12
du,de,81
du,le,71
dehors,dehors,21
et,et,82
tout,tout,52
entendu,entendu,31
/.,/.,P
-,-,p
“,“,p
c',ce,52
est,être,17
toi,toi,51
!,!,p
dit,dire,19
elle,il,51
enfin,enfin,60
",",",",p
presque,presque,60
épouvantée,épouvanté,31
/.,/.,P
en,en,81
se,se,51
haussant,hausser,13
sur,sur,81
les,le,71
poignets,poignet,21
",",",",p
il,il,51
répliqua,répliquer,19
:,:,p
-,-,p
“,“,p
oui,oui,60
",",",",p
c',ce,52
est,être,17
moi,moi,51
/!,/!,P
on,on,51
me,je,51
croit,croire,17
mort,mort,31
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
elle,il,51
baissa,baisser,19
la,le,71
tête,tête,22
/.,/.,P
il,il,51
reprit,reprendre,19
:,:,p
-,-,p
“,“,p
ah,ah,93
!,!,p
pourquoi,pourquoi,60
les,le,71
Baals,Baal,20
ne,ne,60
m',je,51
ont,avoir,17
ils,ils,51
pas,pas,60
accordé,accorder,12
cette,ce,74
miséricorde,miséricorde,22
/!,/!,P
et,et,82
se,se,51
rapprochant,rapprocher,13
de,de,81
si,si,60
près,près,81
",",",",p
qu',que,83
il,il,51
la,le,52
frôlait,frôler,18
:,:,p
“,“,p
ils,ils,51
m',je,51
auraient,avoir,16
épargné,épargner,12
la,le,71
peine,peine,22
de,de,81
te,tu,51
maudire,maudire,14
/.,/.,P
Salammbô,Salammbô,20
se,se,51
rejeta,rejeter,19
vivement,vivement,60
en,en,81
arrière,arrière,21
",",",",p
tant,tant,60
elle,il,51
eut,avoir,19
peur,peur,22
de,de,81
cet,ce,74
être,être,21
immonde,immonde,30
",",",",p
qui,qui,52
était,être,18
hideux,hideux,30
comme,comme,83
une,un,71
larve,larve,22
et,et,82
terrible,terrible,30
comme,comme,83
un,un,71
fantôme,fantôme,21
/.,/.,P
-,-,p
“,“,p
j',je,51
ai,avoir,17
cent,cent,72
ans,an,21
",",",",p
bientôt,bientôt,60
“,“,p
",",",",p
dit,dire,19
il,il,51
/.,/.,P
“,“,p
j',je,51
ai,avoir,17
vu,voir,12
Agathodès,Agathodès,20
;,;,p
j',je,51
ai,avoir,17
vu,voir,12
Régulus,Régulus,20
et,et,82
les,le,71
aigles,aigle,21
des,de,81
des,le,71
Romains,Romain,20
passer,passer,14
sur,sur,81
les,le,71
moissons,moisson,22
des,de,81
des,le,71
champs,champ,21
puniques,punique,30
/!,/!,P
j',je,51
ai,avoir,17
vu,voir,12
toutes,tout,75
les,le,71
épouvantes,épouvante,22
des,de,81
des,le,71
batailles,bataille,22
et,et,82
la,le,71
mer,mer,22
encombrée,encombré,31
par,par,81
les,le,71
débris,débris,21
de,de,81
nos,notre,73
flottes,flotte,22
/!,/!,P
des,de,81
des,le,71
barbares,barbare,21
que,que,52
je,je,51
commandais,commander,18
m',je,51
ont,avoir,17
enchaîné,enchaîner,12
aux,à,81
aux,le,71
quatre,quatre,72
membres,membre,21
",",",",p
comme,comme,83
un,un,71
esclave,esclave,21
homicide,homicide,30
/.,/.,P
mes,mon,73
compagnons,compagnon,21
",",",",p
l',le,71
un,un,52
après,après,81
l',le,71
autre,autre,52
",",",",p
sont,être,17
à,à,81
mourir,mourir,14
autour,autour,60
de,de,81
moi,moi,51
;,;,p
l',le,71
odeur,odeur,22
de,de,81
leurs,leur,73
cadavres,cadavre,21
me,je,51
réveille,réveiller,17
la,le,71
nuit,nuit,22
;,;,p
j',je,51
écarte,écarter,17
les,le,71
oiseaux,oiseau,21
qui,qui,52
viennent,venir,17
becqueter,becqueter,14
leurs,leur,73
yeux,oeil,21
;,;,p
et,et,82
pourtant,pourtant,60
",",",",p
pas,pas,60
un,un,71
seul,seul,30
jour,jour,21
je,je,51
n',ne,60
ai,avoir,17
désespéré,désespérer,12
de,de,81
Carthage,Carthage,20
/!,/!,P
quand,quand,83
même,même,60
j',je,51
aurais,avoir,16
vu,voir,12
contre,contre,81
elle,il,51
toutes,tout,75
les,le,71
armées,armée,22
de,de,81
la,le,71
terre,terre,22
",",",",p
et,et,82
les,le,71
flammes,flamme,22
du,de,81
du,le,71
siège,siège,21
dépasser,dépasser,14
la,le,71
hauteur,hauteur,22
des,de,81
des,le,71
temples,temple,21
",",",",p
j',je,51
aurais,avoir,16
cru,croire,12
encore,encore,60
à,à,81
son,son,73
éternité,éternité,22
/!,/!,P
mais,mais,82
",",",",p
à,à,81
présent,présent,21
",",",",p
tout,tout,52
est,être,17
fini,finir,12
!,!,p
tout,tout,52
est,être,17
perdu,perdre,12
/!,/!,P
les,le,71
dieux,dieu,21
l',le,52
exècrent,exécrer,17
/!,/!,P
malédiction,malédiction,22
sur,sur,81
toi,toi,51
qui,qui,52
as,avoir,17
précipité,précipiter,12
sa,son,73
ruine,ruine,22
par,par,81
ton,ton,73
ignominie,ignominie,22
/!,/!,P
elle,il,51
ouvrit,ouvrir,19
ses,son,73
lèvres,lèvre,22
/.,/.,P
-,-,p
“,“,p
ah,ah,93
!,!,p
j',je,51
étais,être,18
là,là,60
!,!,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
/.,/.,P
“,“,p
je,je,51
t',tu,51
ai,avoir,17
entendue,entendre,12
râler,râler,14
d',de,81
amour,amour,21
comme,comme,83
une,un,71
prostituée,prostituée,22
;,;,p
puis,puis,60
il,il,51
te,tu,51
racontait,raconter,18
son,son,73
désir,désir,21
",",",",p
et,et,82
tu,tu,51
te,tu,51
laissais,laisser,18
baiser,baiser,14
les,le,71
mains,main,22
/!,/!,P
mais,mais,82
",",",",p
si,si,83
la,le,71
fureur,fureur,22
de,de,81
ton,ton,73
impudicité,impudicité,22
te,tu,51
poussait,pousser,18
",",",",p
tu,tu,51
devais,devoir,18
faire,faire,14
au,à,81
au,le,71
moins,moins,60
comme,comme,83
les,le,71
bêtes,bête,22
fauves,fauve,30
qui,qui,52
se,se,51
cachent,cacher,17
dans,dans,81
leurs,leur,73
accouplements,accouplement,21
",",",",p
et,et,82
ne,ne,60
pas,pas,60
étaler,étaler,14
ta,ton,73
honte,honte,22
jusque,jusque,81
sous,sous,81
les,le,71
yeux,oeil,21
de,de,81
ton,ton,73
père,père,21
/!,/!,P
comment,comment,60
?,?,p
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
“,“,p
ah,ah,93
!,!,p
tu,tu,51
ne,ne,60
savais,savoir,18
pas,pas,60
que,que,83
les,le,71
deux,deux,72
retranchements,retranchement,21
sont,être,17
à,à,81
soixante,soixante,72
coudées,coudée,22
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
",",",",p
et,et,82
que,que,83
ton,ton,73
Mâtho,Mâtho,20
",",",",p
par,par,81
excès,excès,21
d',de,81
orgueil,orgueil,21
",",",",p
s',se,51
est,être,17
établi,établir,12
tout,tout,52
en,en,81
face,face,22
d',de,81
Hamilcar,Hamilcar,20
/.,/.,P
il,il,51
est,être,17
là,là,60
",",",",p
ton,ton,73
père,père,21
",",",",p
derrière,derrière,81
toi,toi,51
;,;,p
et,et,82
si,si,83
je,je,51
pouvais,pouvoir,18
gravir,gravir,14
le,le,71
sentier,sentier,21
qui,qui,52
mène,mener,17
sur,sur,81
la,le,71
plate-forme,plate-forme,22
",",",",p
je,je,51
lui,lui,51
crierais,crier,16
:,:,p
viens,venir,17
donc,donc,82
voir,voir,14
ta,ton,73
fille,fille,22
dans,dans,81
les,le,71
bras,bras,21
du,de,81
du,le,71
barbare,barbare,21
/!,/!,P
elle,il,51
a,avoir,17
mis,mettre,12
pour,pour,81
lui,lui,51
plaire,plaire,14
le,le,71
vêtement,vêtement,21
de,de,81
la,le,71
déesse,déesse,22
;,;,p
et,et,82
",",",",p
en,en,81
abandonnant,abandonner,13
son,son,73
corps,corps,21
",",",",p
elle,il,51
livre,livrer,17
",",",",p
avec,avec,81
la,le,71
gloire,gloire,22
de,de,81
ton,ton,73
nom,nom,21
",",",",p
la,le,71
majesté,majesté,22
des,de,81
des,le,71
dieux,dieu,21
",",",",p
la,le,71
vengeance,vengeance,22
de,de,81
la,le,71
patrie,patrie,22
",",",",p
le,le,71
salut,salut,21
même,même,30
de,de,81
Carthage,Carthage,20
/!,/!,P
le,le,71
mouvement,mouvement,21
de,de,81
sa,son,73
bouche,bouche,22
édentée,édenté,30
remuait,remuer,18
sa,son,73
barbe,barbe,22
tout,tout,60
du,de,81
du,le,71
long,long,21
;,;,p
ses,son,73
yeux,oeil,21
",",",",p
tendus,tendu,31
sur,sur,81
elle,il,51
",",",",p
la,le,52
dévoraient,dévorer,18
;,;,p
et,et,82
il,il,51
répétait,répéter,18
en,en,81
haletant,haleter,13
dans,dans,81
la,le,71
poussière,poussière,22
:,:,p
-,-,p
“,“,p
ah,ah,93
!,!,p
sacrilège,sacrilège,21
/!,/!,P
maudite,maudire,12
sois,être,17
tu,tu,51
!,!,p
maudite,maudire,12
!,!,p
maudite,maudire,12
/!,/!,P
Salammbô,Salammbô,20
avait,avoir,18
écarté,écarter,12
la,le,71
toile,toile,22
",",",",p
elle,il,51
la,le,52
tenait,tenir,18
soulevée,soulevé,31
au,à,81
au,le,71
bout,bout,21
de,de,81
son,son,73
bras,bras,21
",",",",p
et,et,82
",",",",p
sans,sans,81
lui,lui,51
répondre,répondre,14
",",",",p
elle,il,51
regardait,regarder,18
du,de,81
du,le,71
côté,côté,21
d',de,81
Hamilcar,Hamilcar,20
/.,/.,P
-,-,p
“,“,p
c',ce,52
est,être,17
par,par,81
ici,ici,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
“,“,p
que,que,52
t',tu,51
importe,importer,17
/!,/!,P
détourne,détourner,17
toi,toi,51
/!,/!,P
va,aller,17
t',tu,51
en,en,52
/!,/!,P
écrase,écraser,17
plutôt,plutôt,60
ta,ton,73
face,face,22
contre,contre,81
la,le,71
terre,terre,22
/!,/!,P
c',ce,52
est,être,17
un,un,71
lieu,lieu,21
saint,saint,30
que,que,83
ta,ton,73
vue,vue,22
souillerait,souiller,16
/.,/.,P
“,“,p
elle,il,51
jeta,jeter,19
le,le,71
zaïmph,zaïmph,21
autour,autour,60
de,de,81
sa,son,73
taille,taille,22
",",",",p
ramassa,ramasser,19
vivement,vivement,60
ses,son,73
voiles,voile,21
",",",",p
son,son,73
manteau,manteau,21
",",",",p
son,son,73
écharpe,écharpe,22
/.,/.,P
-,-,p
“,“,p
j',je,51
y,y,52
cours,courir,17
!,!,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
;,;,p
et,et,82
",",",",p
s',se,51
échappant,échapper,13
",",",",p
Salammbô,Salammbô,20
disparut,disparaître,19
/.,/.,P
d'abord,d'abord,60
",",",",p
elle,il,51
marcha,marcher,19
dans,dans,81
les,le,71
ténèbres,ténèbre,22
sans,sans,81
rencontrer,rencontrer,14
personne,personne,52
",",",",p
car,car,82
tous,tout,52
se,se,51
portaient,porter,18
vers,vers,81
l',le,71
incendie,incendie,21
;,;,p
et,et,82
la,le,71
clameur,clameur,22
redoublait,redoubler,18
",",",",p
de,de,81
grandes,grand,30
flammes,flamme,22
empourpraient,empourprer,18
le,le,71
ciel,ciel,21
par-derrière,par-derrière,60
;,;,p
une,un,71
longue,long,30
terrasse,terrasse,22
l',le,52
arrêta,arrêter,19
/.,/.,P
elle,il,51
tourna,tourner,19
sur,sur,81
elle-même,lui-même,51
",",",",p
de,de,81
droite,droite,22
et,et,82
de,de,81
gauche,gauche,22
au,à,81
au,le,71
hasard,hasard,21
",",",",p
cherchant,chercher,13
une,un,71
échelle,échelle,22
",",",",p
une,un,71
corde,corde,22
",",",",p
une,un,71
pierre,pierre,22
",",",",p
quelque,quelque,75
chose,chose,22
enfin,enfin,60
pour,pour,81
l',le,52
aider,aider,14
/.,/.,P
elle,il,51
avait,avoir,18
peur,peur,22
de,de,81
Giscon,Giscon,20
",",",",p
et,et,82
il,il,51
lui,lui,51
semblait,sembler,18
que,que,83
des,de,81
des,le,71
cris,cri,21
et,et,82
des,de,81
des,le,71
pas,pas,60
la,le,52
poursuivaient,poursuivre,18
/.,/.,P
le,le,71
jour,jour,21
commençait,commencer,18
à,à,81
blanchir,blanchir,14
/.,/.,P
elle,il,51
aperçut,apercevoir,19
un,un,71
sentier,sentier,21
dans,dans,81
l',le,71
épaisseur,épaisseur,22
du,de,81
du,le,71
retranchement,retranchement,21
/.,/.,P
elle,il,51
prit,prendre,19
avec,avec,81
ses,son,73
dents,dent,22
le,le,71
bas,bas,21
de,de,81
sa,son,73
robe,robe,22
qui,qui,52
la,le,52
gênait,gêner,18
",",",",p
et,et,82
",",",",p
en,en,81
trois,trois,72
bonds,bond,21
",",",",p
elle,il,51
se,se,51
trouva,trouver,19
sur,sur,81
la,le,71
plate-forme,plate-forme,22
/.,/.,P
un,un,71
cri,cri,21
sonore,sonore,30
éclata,éclater,19
sous,sous,81
elle,il,51
",",",",p
dans,dans,81
l',le,71
ombre,ombre,22
",",",",p
le,le,71
même,même,52
qu',que,52
elle,il,51
avait,avoir,18
entendu,entendre,12
au,à,81
au,le,71
bas,bas,21
de,de,81
l',le,71
escalier,escalier,21
des,de,81
des,le,71
galères,galère,22
;,;,p
et,et,82
",",",",p
en,en,81
se,se,51
penchant,pencher,13
",",",",p
elle,il,51
reconnut,reconnaître,19
l',le,71
homme,homme,21
de,de,81
Schahabarim,Schahabarim,20
avec,avec,81
ses,son,73
chevaux,cheval,21
accouplés,accouplé,31
/.,/.,P
il,il,51
avait,avoir,18
erré,errer,12
toute,tout,75
la,le,71
nuit,nuit,22
entre,entre,81
les,le,71
deux,deux,72
retranchements,retranchement,21
;,;,p
puis,puis,60
",",",",p
inquiété,inquiété,31
par,par,81
l',le,71
incendie,incendie,21
",",",",p
il,il,51
était,être,18
revenu,revenir,12
en,en,81
arrière,arrière,21
",",",",p
tâchant,tâcher,13
d',de,81
apercevoir,apercevoir,14
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
dans,dans,81
le,le,71
camp,camp,21
de,de,81
Mâtho,Mâtho,20
;,;,p
et,et,82
",",",",p
comme,comme,83
il,il,51
savait,savoir,18
que,que,83
cette,ce,74
place,place,22
était,être,18
la,le,71
plus,plus,60
voisine,voisin,30
de,de,81
sa,son,73
tente,tente,22
",",",",p
pour,pour,81
obéir,obéir,14
au,à,81
au,le,71
prêtre,prêtre,21
",",",",p
il,il,51
n',ne,60
en,en,52
avait,avoir,18
pas,pas,60
bougé,bouger,12
/.,/.,P
il,il,51
monta,monter,19
debout,debout,60
sur,sur,81
un,un,52
des,de,81
des,le,71
chevaux,cheval,21
/.,/.,P
Salammbô,Salammbô,20
se,se,51
laissa,laisser,19
glisser,glisser,14
jusqu',jusque,81
à,à,81
lui,lui,51
;,;,p
et,et,82
ils,ils,51
s',se,51
enfuirent,enfuir,19
au,à,81
au,le,71
grand,grand,30
galop,galop,21
en,en,81
faisant,faire,13
le,le,71
tour,tour,21
du,de,81
du,le,71
camp,camp,21
punique,punique,30
",",",",p
pour,pour,81
trouver,trouver,14
une,un,71
porte,porte,22
quelque,quelque,75
part,part,22
/.,/.,P
Mâtho,Mâtho,20
était,être,18
rentré,rentrer,12
dans,dans,81
sa,son,73
tente,tente,22
/.,/.,P
la,le,71
lampe,lampe,22
toute,tout,60
fumeuse,fumeux,30
éclairait,éclairer,18
à,à,81
peine,peine,22
",",",",p
et,et,82
même,même,60
il,il,51
crut,croire,19
que,que,83
Salammbô,Salammbô,20
dormait,dormir,18
/.,/.,P
alors,alors,60
",",",",p
il,il,51
palpa,palper,19
délicatement,délicatement,60
la,le,71
peau,peau,22
du,de,81
du,le,71
lion,lion,21
",",",",p
sur,sur,81
le,le,71
lit,lit,21
de,de,81
palmier,palmier,21
/.,/.,P
il,il,51
appela,appeler,19
",",",",p
elle,il,51
ne,ne,60
répondit,répondre,19
pas,pas,60
;,;,p
il,il,51
arracha,arracher,19
vivement,vivement,60
un,un,71
lambeau,lambeau,21
de,de,81
la,le,71
toile,toile,22
pour,pour,81
faire,faire,14
venir,venir,14
du,de,81
du,le,71
jour,jour,21
;,;,p
le,le,71
zaïmph,zaïmph,21
avait,avoir,18
disparu,disparaître,12
/.,/.,P
la,le,71
terre,terre,22
tremblait,trembler,18
sous,sous,81
des,de,81
des,le,71
pas,pas,21
multipliés,multiplié,31
/.,/.,P
de,de,81
grands,grand,30
cris,cri,21
",",",",p
des,de,81
des,le,71
hennissements,hennissement,21
",",",",p
des,de,81
des,le,71
chocs,choc,21
d',de,81
armures,armure,22
s',se,51
élevaient,élever,18
dans,dans,81
l',le,71
air,air,21
",",",",p
et,et,82
les,le,71
fanfares,fanfare,22
des,de,81
des,le,71
clairons,clairon,21
sonnaient,sonner,18
la,le,71
charge,charge,22
/.,/.,P
c',ce,52
était,être,18
comme,comme,83
un,un,71
ouragan,ouragan,21
tourbillonnant,tourbillonnant,30
autour,autour,60
de,de,81
lui,lui,51
/.,/.,P
une,un,71
fureur,fureur,22
désordonnée,désordonné,30
le,le,52
fit,faire,19
bondir,bondir,14
sur,sur,81
ses,son,73
armes,arme,22
",",",",p
il,il,51
se,se,51
lança,lancer,19
dehors,dehors,60
/.,/.,P
les,le,71
longues,long,30
files,file,22
des,de,81
des,le,71
barbares,barbare,21
descendaient,descendre,18
en,en,81
courant,courir,13
la,le,71
montagne,montagne,22
",",",",p
et,et,82
les,le,71
carrés,carré,21
puniques,punique,30
s',se,51
avançaient,avancer,18
contre,contre,81
eux,ils,51
",",",",p
avec,avec,81
une,un,71
oscillation,oscillation,22
lourde,lourd,30
et,et,82
régulière,régulier,30
/.,/.,P
le,le,71
brouillard,brouillard,21
",",",",p
déchiré,déchiré,31
par,par,81
les,le,71
rayons,rayon,21
du,de,81
du,le,71
soleil,soleil,21
",",",",p
formait,former,18
de,de,81
petits,petit,30
nuages,nuage,21
qui,qui,52
se,se,51
balançaient,balancer,18
",",",",p
et,et,82
peu,peu,60
à,à,81
peu,peu,60
",",",",p
en,en,81
s',se,51
élevant,élever,13
",",",",p
ils,ils,51
découvraient,découvrir,18
les,le,71
étendards,étendard,21
",",",",p
les,le,71
casques,casque,21
et,et,82
la,le,71
pointe,pointe,22
des,de,81
des,le,71
piques,pique,21
/.,/.,P
sous,sous,81
les,le,71
évolutions,évolution,22
rapides,rapide,30
",",",",p
des,de,81
des,le,71
portions,portion,22
de,de,81
terrain,terrain,21
encore,encore,60
dans,dans,81
l',le,71
ombre,ombre,22
semblaient,sembler,18
se,se,51
déplacer,déplacer,14
d',de,81
un,un,71
seul,seul,30
morceau,morceau,21
;,;,p
ailleurs,ailleurs,60
",",",",p
on,on,51
aurait,avoir,16
dit,dire,12
des,de,81
des,le,71
torrents,torrent,21
qui,qui,52
s',se,51
entrecroisaient,entrecroiser,18
",",",",p
et,et,82
",",",",p
entre,entre,81
eux,ils,51
",",",",p
des,de,81
des,le,71
masses,masse,22
épineuses,épineux,30
restaient,rester,18
immobiles,immobile,30
/.,/.,P
Mâtho,Mâtho,20
distinguait,distinguer,18
les,le,71
capitaines,capitaine,21
",",",",p
les,le,71
soldats,soldat,21
",",",",p
les,le,71
hérauts,héraut,21
et,et,82
jusqu',jusque,81
aux,à,81
aux,le,71
valets,valet,21
par-derrière,par-derrière,60
",",",",p
qui,qui,52
étaient,être,18
montés,monter,12
sur,sur,81
des,de,81
des,le,71
ânes,âne,21
/.,/.,P
mais,mais,82
au,à,81
au,le,71
lieu,lieu,21
de,de,81
garder,garder,14
sa,son,73
position,position,22
pour,pour,81
couvrir,couvrir,14
les,le,71
fantassins,fantassin,21
",",",",p
Narr'Havas,Narr'Havas,20
tourna,tourner,19
brusquement,brusquement,60
à,à,81
droite,droite,22
",",",",p
comme,comme,83
s',si,83
il,il,51
voulait,vouloir,18
se,se,51
faire,faire,14
écraser,écraser,14
par,par,81
Hamilcar,Hamilcar,20
/.,/.,P
ses,son,73
cavaliers,cavalier,21
dépassèrent,dépasser,19
les,le,71
éléphants,éléphant,21
qui,qui,52
se,se,51
ralentissaient,ralentir,18
;,;,p
et,et,82
tous,tout,75
les,le,71
chevaux,cheval,21
",",",",p
allongeant,allonger,13
leur,leur,73
tête,tête,22
sans,sans,81
bride,bride,22
",",",",p
galopaient,galoper,18
d',de,81
un,un,71
train,train,21
si,si,60
furieux,furieux,30
que,que,83
leur,leur,73
ventre,ventre,21
paraissait,paraître,18
frôler,frôler,14
la,le,71
terre,terre,22
/.,/.,P
puis,puis,60
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
Narr'Havas,Narr'Havas,20
marcha,marcher,19
résolument,résolument,60
vers,vers,81
une,un,71
sentinelle,sentinelle,22
/.,/.,P
il,il,51
jeta,jeter,19
son,son,73
épée,épée,22
",",",",p
sa,son,73
lance,lance,22
",",",",p
ses,son,73
javelots,javelot,21
",",",",p
et,et,82
disparut,disparaître,19
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
Carthaginois,Carthaginois,20
/.,/.,P
le,le,71
roi,roi,21
des,de,81
des,le,71
Numides,Numides,20
arriva,arriver,19
dans,dans,81
la,le,71
tente,tente,22
d',de,81
Hamilcar,Hamilcar,20
;,;,p
et,et,82
il,il,51
dit,dire,19
",",",",p
en,en,81
lui,lui,51
montrant,montrer,13
ses,son,73
hommes,homme,21
qui,qui,52
se,se,51
tenaient,tenir,18
au,à,81
au,le,71
loin,loin,60
arrêtés,arrêté,31
:,:,p
-,-,p
“,“,p
Barca,Barca,20
!,!,p
je,je,51
te,tu,51
les,le,52
amène,amener,17
/.,/.,P
ils,ils,51
sont,être,17
à,à,81
toi,toi,51
/.,/.,P
“,“,p
alors,alors,60
il,il,51
se,se,51
prosterna,prosterner,19
en,en,81
signe,signe,21
d',de,81
esclavage,esclavage,21
",",",",p
et,et,82
",",",",p
comme,comme,83
preuve,preuve,22
de,de,81
sa,son,73
fidélité,fidélité,22
",",",",p
il,il,51
rappela,rappeler,19
toute,tout,75
sa,son,73
conduite,conduite,22
depuis,depuis,81
le,le,71
commencement,commencement,21
de,de,81
la,le,71
guerre,guerre,22
/.,/.,P
d'abord,d'abord,60
il,il,51
avait,avoir,18
empêché,empêcher,12
le,le,71
siège,siège,21
de,de,81
Carthage,Carthage,20
et,et,82
le,le,71
massacre,massacre,21
des,de,81
des,le,71
captifs,captif,21
;,;,p
puis,puis,60
",",",",p
il,il,51
n',ne,60
avait,avoir,18
point,point,60
profité,profiter,12
de,de,81
la,le,71
victoire,victoire,22
contre,contre,81
Hannon,Hannon,20
après,après,81
la,le,71
défaite,défaite,22
d',de,81
Utique,Utique,20
/.,/.,P
quant,quand,83
aux,à,81
aux,le,71
villes,ville,22
tyriennes,tyrien,30
",",",",p
c',ce,52
est,être,17
qu',que,83
elles,ils,51
se,se,51
trouvaient,trouver,18
sur,sur,81
les,le,71
frontières,frontière,22
de,de,81
son,son,73
royaume,royaume,21
/.,/.,P
enfin,enfin,60
",",",",p
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
participé,participer,12
à,à,81
la,le,71
bataille,bataille,22
de,de,81
Macar,Macar,20
;,;,p
et,et,82
même,même,60
il,il,51
s',se,51
était,être,18
absenté,absenter,12
tout,tout,60
exprès,exprès,60
pour,pour,81
fuir,fuir,14
l',le,71
obligation,obligation,22
de,de,81
combattre,combattre,14
le,le,71
Suffète,Suffète,20
/.,/.,P
Narr'Havas,Narr'Havas,20
",",",",p
en,en,81
effet,effet,21
",",",",p
avait,avoir,18
