11897
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-treizième extrait>,<>,<>
en,en,81
honnête,honnête,30
homme,homme,21
",",",",p
et,et,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
un,un,71
doute,doute,21
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
cent,cent,72
francs,franc,21
à,à,81
moi,moi,51
pour,pour,81
aller,aller,14
tenter,tenter,14
le,le,71
sort,sort,21
aux,à,81
aux,le,71
Indes,Inde,20
ou,ou,82
en,en,81
Amérique,Amérique,20
/.,/.,P
oui,oui,60
",",",",p
ma,mon,73
pauvre,pauvre,30
Anna,Anna,20
",",",",p
j',je,51
irai,aller,15
chercher,chercher,14
la,le,71
fortune,fortune,22
sous,sous,81
les,le,71
climats,climat,21
les,le,71
plus,plus,60
meurtriers,meurtrier,30
/.,/.,P
sous,sous,81
de,de,81
tels,tel,75
cieux,ciel,21
",",",",p
elle,il,51
est,être,17
sûre,sûr,30
et,et,82
prompte,prompt,30
",",",",p
m',je,51
a,avoir,17
t,t,94
on,on,51
dit,dire,12
/.,/.,P
quant,quand,83
à,à,81
rester,rester,14
à,à,81
Paris,Paris,20
",",",",p
je,je,51
ne,ne,60
saurais,savoir,16
/.,/.,P
ni,ni,82
mon,mon,73
âme,âme,22
ni,ni,82
mon,mon,73
visage,visage,21
ne,ne,60
sont,être,17
faits,faire,12
à,à,81
supporter,supporter,14
les,le,71
affronts,affront,21
",",",",p
la,le,71
froideur,froideur,22
",",",",p
le,le,71
dédain,dédain,21
qui,qui,52
attendent,attendre,17
l',le,71
homme,homme,21
ruiné,ruiné,31
",",",",p
le,le,71
fils,fils,21
du,de,81
du,le,71
failli,failli,21
/!,/!,P
bon,bon,30
dieu,dieu,21
!,!,p
devoir,devoir,14
deux,deux,72
millions,million,21
?,?,p
j',je,51
y,y,52
serais,être,16
tué,tuer,12
en,en,81
duel,duel,21
dans,dans,81
la,le,71
première,premier,72
semaine,semaine,22
/.,/.,P
aussi,aussi,60
n',ne,60
y,y,52
retournerai,retourner,15
je,je,51
point,point,60
/.,/.,P
ton,ton,73
amour,amour,21
",",",",p
le,le,71
plus,plus,60
tendre,tendre,30
et,et,82
le,le,71
plus,plus,60
dévoué,dévoué,31
qui,qui,52
jamais,jamais,60
ait,avoir,17
ennobli,ennoblir,12
le,le,71
coeur,coeur,21
d',de,81
un,un,71
homme,homme,21
",",",",p
ne,ne,60
saurait,savoir,16
m',je,51
y,y,52
attirer,attirer,14
/.,/.,P
hélas,hélas,60
!,!,p
ma,mon,73
bien-aimée,bien-aimé,30
",",",",p
je,je,51
n',ne,60
ai,avoir,17
point,point,60
assez,assez,60
d',de,81
argent,argent,21
pour,pour,81
aller,aller,14
là,là,60
où,où,60
tu,tu,51
es,être,17
",",",",p
donner,donner,14
",",",",p
recevoir,recevoir,14
un,un,71
dernier,dernier,30
baiser,baiser,21
",",",",p
un,un,71
baiser,baiser,21
où,où,60
je,je,51
puiserais,puiser,16
la,le,71
force,force,22
nécessaire,nécessaire,30
à,à,81
mon,mon,73
entreprise,entreprise,22
/…,/…,P
pauvre,pauvre,30
Charles,Charles,20
",",",",p
j',je,51
ai,avoir,17
bien,bien,60
fait,faire,12
de,de,81
lire,lire,14
/!,/!,P
j',je,51
ai,avoir,17
de,de,81
l',le,71
or,or,21
",",",",p
je,je,51
le,le,52
lui,lui,51
donnerai,donner,15
",",",",p
dit,dire,19
Eugénie,Eugénie,20
/.,/.,P
elle,il,51
reprit,reprendre,19
sa,son,73
lecture,lecture,22
après,après,81
avoir,avoir,14
essuyé,essuyer,12
ses,son,73
pleurs,pleur,21
/.,/.,P
“,“,p
je,je,51
n',ne,60
avais,avoir,18
point,point,60
encore,encore,60
songé,songer,12
aux,à,81
aux,le,71
malheurs,malheur,21
de,de,81
la,le,71
misère,misère,22
/.,/.,P
si,si,83
j',je,51
ai,avoir,17
les,le,71
cent,cent,72
louis,louis,21
indispensables,indispensable,30
au,à,81
au,le,71
passage,passage,21
",",",",p
je,je,51
n',ne,60
aurai,avoir,15
pas,pas,60
un,un,71
sou,sou,21
pour,pour,81
me,je,51
faire,faire,14
une,un,71
pacotille,pacotille,22
/.,/.,P
mais,mais,82
non,non,60
",",",",p
je,je,51
n',ne,60
aurai,avoir,15
ni,ni,82
cent,cent,72
louis,louis,21
ni,ni,82
un,un,71
louis,louis,21
",",",",p
je,je,51
ne,ne,60
connaîtrai,connaître,15
ce,ce,52
qui,qui,52
me,je,51
restera,rester,15
d',de,81
argent,argent,21
qu',que,83
après,après,81
le,le,71
règlement,règlement,21
de,de,81
mes,mon,73
dettes,dette,22
à,à,81
Paris,Paris,20
/.,/.,P
si,si,83
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
",",",",p
j',je,51
irai,aller,15
tranquillement,tranquillement,60
à,à,81
Nantes,Nantes,20
",",",",p
je,je,51
m',je,51
y,y,52
embarquerai,embarquer,15
simple,simple,30
matelot,matelot,21
",",",",p
et,et,82
je,je,51
commencerai,commencer,15
là-bas,là-bas,60
comme,comme,83
ont,avoir,17
commencé,commencer,12
les,le,71
hommes,homme,21
d',de,81
énergie,énergie,22
qui,qui,52
",",",",p
jeunes,jeune,30
",",",",p
n',ne,60
avaient,avoir,18
pas,pas,60
un,un,71
sou,sou,21
",",",",p
et,et,82
sont,être,17
revenus,revenir,12
",",",",p
riches,riche,30
",",",",p
des,de,81
des,le,71
Indes,Inde,20
/.,/.,P
depuis,depuis,81
ce,ce,74
matin,matin,21
",",",",p
j',je,51
ai,avoir,17
froidement,froidement,60
envisagé,envisager,12
mon,mon,73
avenir,avenir,21
/.,/.,P
il,il,51
est,être,17
plus,plus,60
horrible,horrible,30
pour,pour,81
moi,moi,51
que,que,83
pour,pour,81
tout,tout,75
autre,autre,52
",",",",p
moi,moi,51
choyé,choyé,31
par,par,81
une,un,71
mère,mère,22
qui,qui,52
m',je,51
adorait,adorer,18
",",",",p
chéri,chéri,31
par,par,81
le,le,71
meilleur,meilleur,30
des,de,81
des,le,71
pères,père,21
",",",",p
et,et,82
qui,qui,52
",",",",p
à,à,81
mon,mon,73
début,début,21
dans,dans,81
le,le,71
monde,monde,21
",",",",p
ai,avoir,17
rencontré,rencontrer,12
l',le,71
amour,amour,21
d',de,81
une,un,71
Anna,Anna,20
/!,/!,P
je,je,51
n',ne,60
ai,avoir,17
connu,connaître,12
que,que,83
les,le,71
fleurs,fleur,22
de,de,81
la,le,71
vie,vie,22
:,:,p
ce,ce,74
bonheur,bonheur,21
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
durer,durer,14
/.,/.,P
j',je,51
ai,avoir,17
néanmoins,néanmoins,60
",",",",p
ma,mon,73
chère,cher,30
Annette,Annette,20
",",",",p
plus,plus,60
de,de,81
courage,courage,21
qu',que,83
il,il,51
n',ne,60
était,être,18
permis,permettre,12
à,à,81
un,un,71
insouciant,insouciant,30
jeune,jeune,30
homme,homme,21
d',de,81
en,en,52
avoir,avoir,14
",",",",p
surtout,surtout,60
à,à,81
un,un,71
jeune,jeune,30
homme,homme,21
habitué,habitué,31
aux,à,81
aux,le,71
cajoleries,cajolerie,22
de,de,81
la,le,71
plus,plus,60
délicieuse,délicieux,30
femme,femme,22
de,de,81
Paris,Paris,20
",",",",p
bercé,bercé,31
dans,dans,81
les,le,71
joies,joie,22
de,de,81
la,le,71
famille,famille,22
",",",",p
à,à,81
qui,qui,52
tout,tout,52
souriait,sourire,18
au,à,81
au,le,71
logis,logis,21
",",",",p
et,et,82
dont,dont,52
les,le,71
désirs,désir,21
étaient,être,18
des,de,81
des,le,71
lois,loi,22
pour,pour,81
un,un,71
père,père,21
/…,/…,P
oh,oh,93
!,!,p
mon,mon,73
père,père,21
",",",",p
Annette,Annette,20
",",",",p
il,il,51
est,être,17
mort,mourir,12
/…,/…,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
j',je,51
ai,avoir,17
réfléchi,réfléchir,12
à,à,81
ma,mon,73
position,position,22
",",",",p
j',je,51
ai,avoir,17
réfléchi,réfléchir,12
à,à,81
la,le,71
tienne,tien,52
aussi,aussi,60
/.,/.,P
j',je,51
ai,avoir,17
bien,bien,60
vieilli,vieillir,12
en,en,81
vingt,vingt,72
quatre,quatre,72
heures,heure,22
/.,/.,P
chère,cher,30
Anna,Anna,20
",",",",p
si,si,83
",",",",p
pour,pour,81
me,je,51
garder,garder,14
près,près,81
de,de,81
toi,toi,51
",",",",p
dans,dans,81
Paris,Paris,20
",",",",p
tu,tu,51
sacrifiais,sacrifier,18
toutes,tout,75
les,le,71
jouissances,jouissance,22
de,de,81
ton,ton,73
luxe,luxe,21
",",",",p
ta,ton,73
toilette,toilette,22
",",",",p
ta,ton,73
loge,loge,22
à,à,81
l',le,71
Opéra,Opéra,20
",",",",p
nous,nous,51
n',ne,60
arriverions,arriver,16
pas,pas,60
encore,encore,60
au,à,81
au,le,71
chiffre,chiffre,21
des,de,81
des,le,71
dépenses,dépense,22
nécessaires,nécessaire,30
à,à,81
ma,mon,73
vie,vie,22
dissipée,dissipé,31
;,;,p
puis,puis,60
je,je,51
ne,ne,60
saurais,savoir,16
accepter,accepter,14
tant,tant,60
de,de,81
sacrifices,sacrifice,21
/.,/.,P
nous,nous,51
nous,nous,51
quittons,quitter,17
donc,donc,82
aujourd'hui,aujourd'hui,60
pour,pour,81
toujours,toujours,60
/.,/.,P
“,“,p
-,-,p
il,il,51
la,le,52
quitte,quitter,17
",",",",p
Sainte Vierge,Sainte Vierge,20
/!,/!,P
oh,oh,93
!,!,p
bonheur,bonheur,21
/!,/!,P
Eugénie,Eugénie,20
sauta,sauter,19
de,de,81
joie,joie,22
/.,/.,P
Charles,Charles,20
fit,faire,19
un,un,71
mouvement,mouvement,21
",",",",p
elle,il,51
en,en,52
eut,avoir,19
froid,froid,21
de,de,81
terreur,terreur,22
;,;,p
mais,mais,82
",",",",p
heureusement,heureusement,60
pour,pour,81
elle,il,51
",",",",p
il,il,51
ne,ne,60
s',se,51
éveilla,éveiller,19
pas,pas,60
/.,/.,P
elle,il,51
reprit,reprendre,19
:,:,p
“,“,p
quand,quand,83
reviendrai,revenir,15
je,je,51
?,?,p
je,je,51
ne,ne,60
sais,savoir,17
/.,/.,P
le,le,71
climat,climat,21
des,de,81
des,le,71
Indes,Inde,20
vieillit,vieillir,17
promptement,promptement,60
un,un,71
Européen,Européen,20
",",",",p
et,et,82
surtout,surtout,60
un,un,71
Européen,Européen,20
qui,qui,52
travaille,travailler,17
/.,/.,P
mettons,mettre,17
nous,nous,51
à,à,81
dix,dix,72
ans,an,21
d',de,81
ici,ici,60
/.,/.,P
dans,dans,81
dix,dix,72
ans,an,21
",",",",p
ta,ton,73
fille,fille,22
aura,avoir,15
dix,dix,72
huit,huit,72
ans,an,21
",",",",p
elle,il,51
sera,être,15
ta,ton,73
compagne,compagne,22
",",",",p
ton,ton,73
espion,espion,21
/.,/.,P
pour,pour,81
toi,toi,51
",",",",p
le,le,71
monde,monde,21
sera,être,15
bien,bien,60
cruel,cruel,30
",",",",p
ta,ton,73
fille,fille,22
le,le,52
sera,être,15
peut-être,peut-être,60
davantage,davantage,60
/.,/.,P
nous,nous,51
avons,avoir,17
vu,voir,12
des,de,81
des,le,71
exemples,exemple,21
de,de,81
ces,ce,74
jugements,jugement,21
mondains,mondain,30
et,et,82
de,de,81
ces,ce,74
ingratitudes,ingratitude,22
de,de,81
jeunes,jeune,30
filles,fille,22
;,;,p
sachons,savoir,17
en,en,52
profiter,profiter,14
/.,/.,P
garde,garder,17
au,à,81
au,le,71
fond,fond,21
de,de,81
ton,ton,73
âme,âme,22
comme,comme,83
je,je,51
le,le,52
garderai,garder,15
moi-même,moi-même,51
le,le,71
souvenir,souvenir,21
de,de,81
ces,ce,74
quatre,quatre,72
années,année,22
de,de,81
bonheur,bonheur,21
",",",",p
et,et,82
sois,être,17
fidèle,fidèle,30
",",",",p
si,si,83
tu,tu,51
peux,pouvoir,17
",",",",p
à,à,81
ton,ton,73
pauvre,pauvre,30
ami,ami,21
/.,/.,P
je,je,51
ne,ne,60
saurais,savoir,16
toutefois,toutefois,60
l',le,52
exiger,exiger,14
",",",",p
parce que,parce que,83
",",",",p
vois,voir,17
tu,tu,51
",",",",p
ma,mon,73
chère,cher,30
Annette,Annette,20
",",",",p
je,je,51
dois,devoir,17
me,je,51
conformer,conformer,14
à,à,81
ma,mon,73
position,position,22
",",",",p
voir,voir,14
bourgeoisement,bourgeoisement,60
la,le,71
vie,vie,22
",",",",p
et,et,82
la,le,52
chiffrer,chiffrer,14
au,à,81
au,le,71
plus,plus,60
vrai,vrai,30
/.,/.,P
donc,donc,82
je,je,51
dois,devoir,17
penser,penser,14
au,à,81
au,le,71
mariage,mariage,21
",",",",p
qui,qui,52
devient,devenir,17
une,un,52
des,de,81
des,le,71
nécessités,nécessité,22
de,de,81
ma,mon,73
nouvelle,nouveau,30
existence,existence,22
;,;,p
et,et,82
je,je,51
t',tu,51
avouerai,avouer,15
que,que,83
j',je,51
ai,avoir,17
trouvé,trouver,12
ici,ici,60
",",",",p
à,à,81
Saumur,Saumur,20
",",",",p
chez,chez,81
mon,mon,73
oncle,oncle,21
",",",",p
une,un,71
cousine,cousine,22
dont,dont,52
les,le,71
manières,manière,22
",",",",p
la,le,71
figure,figure,22
",",",",p
l',le,71
esprit,esprit,21
et,et,82
le,le,71
coeur,coeur,21
te,tu,51
plairaient,plaire,16
",",",",p
et,et,82
qui,qui,52
",",",",p
en,en,81
outre,outre,81
",",",",p
me,je,51
paraît,paraître,17
avoir,avoir,14
/…,/…,P
il,il,51
devait,devoir,18
être,être,14
bien,bien,60
fatigué,fatiguer,12
",",",",p
pour,pour,81
avoir,avoir,14
cessé,cesser,12
de,de,81
lui,lui,51
écrire,écrire,14
",",",",p
se,se,51
dit,dire,17
Eugénie,Eugénie,20
en,en,81
voyant,voir,13
la,le,71
lettre,lettre,22
arrêtée,arrêté,31
au,à,81
au,le,71
milieu,milieu,21
de,de,81
cette,ce,74
phrase,phrase,22
/.,/.,P
elle,il,51
le,le,52
justifiait,justifier,18
/!,/!,P
n',ne,60
était,être,18
il,il,51
pas,pas,60
impossible,impossible,30
alors,alors,60
que,que,83
cette,ce,74
innocente,innocent,30
fille,fille,22
s',se,51
aperçût,apercevoir,18
de,de,81
la,le,71
froideur,froideur,22
empreinte,empreint,31
dans,dans,81
cette,ce,74
lettre,lettre,22
/?,/?,P
aux,à,81
aux,le,71
jeunes,jeune,30
filles,fille,22
religieusement,religieusement,60
élevées,élevé,31
",",",",p
ignorantes,ignorant,30
et,et,82
pures,pur,30
",",",",p
tout,tout,52
est,être,17
amour,amour,21
dès,dès,81
qu',que,83
elles,ils,51
mettent,mettre,17
le,le,71
pied,pied,21
dans,dans,81
les,le,71
régions,région,22
enchantées,enchanté,31
de,de,81
l',le,71
amour,amour,21
/.,/.,P
elles,ils,51
y,y,52
marchent,marcher,17
entourées,entouré,31
de,de,81
la,le,71
céleste,céleste,30
lumière,lumière,22
que,que,52
leur,leur,73
âme,âme,22
projette,projeter,17
",",",",p
et,et,82
qui,qui,52
rejaillit,rejaillir,17
en,en,81
rayons,rayon,21
sur,sur,81
leur,leur,73
amant,amant,21
;,;,p
elles,ils,51
le,le,52
colorent,colorer,17
des,de,81
des,le,71
feux,feu,21
de,de,81
leur,leur,73
propre,propre,30
sentiment,sentiment,21
et,et,82
lui,lui,51
prêtent,prêter,17
leurs,leur,73
belles,beau,30
pensées,pensée,22
/.,/.,P
les,le,71
erreurs,erreur,22
de,de,81
la,le,71
femme,femme,22
viennent,venir,17
presque,presque,60
toujours,toujours,60
de,de,81
sa,son,73
croyance,croyance,22
au,à,81
au,le,71
bien,bien,21
",",",",p
ou,ou,82
de,de,81
sa,son,73
confiance,confiance,22
dans,dans,81
le,le,71
vrai,vrai,30
/.,/.,P
pour,pour,81
Eugénie,Eugénie,20
",",",",p
ces,ce,74
mots,mot,21
:,:,p
ma,mon,73
chère,cher,30
Annette,Annette,20
",",",",p
ma,mon,73
bien-aimée,bien-aimé,30
",",",",p
lui,lui,51
résonnaient,résonner,18
au,à,81
au,le,71
coeur,coeur,21
comme,comme,83
le,le,71
plus,plus,60
joli,joli,30
langage,langage,21
de,de,81
l',le,71
amour,amour,21
",",",",p
et,et,82
lui,lui,51
caressaient,caresser,18
l',le,71
âme,âme,22
comme,comme,83
",",",",p
dans,dans,81
son,son,73
enfance,enfance,22
",",",",p
les,le,71
notes,note,22
divines,divin,30
du,de,81
du,le,71
venite,venite,92
adoremus,adoremus,92
",",",",p
redites,redit,31
par,par,81
l',le,71
orgue,orgue,21
",",",",p
lui,lui,51
caressèrent,caresser,19
l',le,71
oreille,oreille,22
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
les,le,71
larmes,larme,22
qui,qui,52
baignaient,baigner,18
encore,encore,60
les,le,71
yeux,oeil,21
de,de,81
Charles,Charles,20
lui,lui,51
accusaient,accuser,18
toutes,tout,75
les,le,71
noblesses,noblesse,22
de,de,81
coeur,coeur,21
par,par,81
lesquelles,lequel,52
une,un,71
jeune,jeune,30
fille,fille,22
doit,devoir,17
être,être,14
séduite,séduire,12
/.,/.,P
pouvait,pouvoir,18
elle,il,51
savoir,savoir,14
que,que,83
si,si,83
Charles,Charles,20
aimait,aimer,18
tant,tant,60
son,son,73
père,père,21
et,et,82
le,le,52
pleurait,pleurer,18
si,si,83
véritablement,véritablement,60
",",",",p
cette,ce,74
tendresse,tendresse,22
venait,venir,18
moins,moins,60
de,de,81
la,le,71
bonté,bonté,22
de,de,81
son,son,73
coeur,coeur,21
que,que,83
des,de,81
des,le,71
bontés,bonté,22
paternelles,paternel,30
/?,/?,P
monsieur,monsieur,21
et,et,82
madame,madame,22
Guillaume,Guillaume,20
Grandet,Grandet,20
",",",",p
en,en,81
satisfaisant,satisfaire,13
toujours,toujours,60
les,le,71
fantaisies,fantaisie,22
de,de,81
leur,leur,73
fils,fils,21
",",",",p
en,en,81
lui,lui,51
donnant,donner,13
tous,tout,75
les,le,71
plaisirs,plaisir,21
de,de,81
la,le,71
fortune,fortune,22
",",",",p
l',le,52
avaient,avoir,18
empêché,empêcher,12
de,de,81
faire,faire,14
les,le,71
horribles,horrible,30
calculs,calcul,21
dont,dont,52
sont,être,17
plus,plus,60
ou,ou,82
moins,moins,60
coupables,coupable,30
",",",",p
à,à,81
Paris,Paris,20
",",",",p
la,le,71
plupart,plupart,22
des,de,81
des,le,71
enfants,enfant,21
quand,quand,83
",",",",p
en,en,81
présence,présence,22
des,de,81
des,le,71
jouissances,jouissance,22
parisiennes,parisien,30
",",",",p
ils,ils,51
forment,former,17
des,de,81
des,le,71
désirs,désir,21
et,et,82
conçoivent,concevoir,17
des,de,81
des,le,71
plans,plan,21
qu',que,52
ils,ils,51
voient,voir,17
avec,avec,81
chagrin,chagrin,21
incessamment,incessamment,60
ajournés,ajourné,31
et,et,82
retardés,retardé,31
par,par,81
la,le,71
vie,vie,22
de,de,81
leurs,leur,73
parents,parent,21
/.,/.,P
la,le,71
prodigalité,prodigalité,22
du,de,81
du,le,71
père,père,21
alla,aller,19
donc,donc,82
jusqu',jusque,81
à,à,81
semer,semer,14
dans,dans,81
le,le,71
coeur,coeur,21
de,de,81
son,son,73
fils,fils,21
un,un,71
amour,amour,21
filial,filial,30
vrai,vrai,30
",",",",p
sans,sans,81
arrière-pensée,arrière-pensée,22
/.,/.,P
néanmoins,néanmoins,60
",",",",p
Charles,Charles,20
était,être,18
un,un,71
enfant,enfant,21
de,de,81
Paris,Paris,20
",",",",p
habitué,habitué,31
par,par,81
les,le,71
moeurs,moeurs,22
de,de,81
Paris,Paris,20
",",",",p
par,par,81
Annette,Annette,20
elle-même,lui-même,51
",",",",p
à,à,81
tout,tout,52
calculer,calculer,14
",",",",p
déjà,déjà,60
vieillard,vieillard,21
sous,sous,81
le,le,71
masque,masque,21
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
/.,/.,P
il,il,51
avait,avoir,18
reçu,recevoir,12
l',le,71
épouvantable,épouvantable,30
éducation,éducation,22
de,de,81
ce,ce,74
monde,monde,21
",",",",p
où,où,60
",",",",p
dans,dans,81
une,un,71
soirée,soirée,22
",",",",p
il,il,51
se,se,51
commet,commettre,17
en,en,81
pensées,pensée,22
",",",",p
en,en,81
paroles,parole,22
",",",",p
plus,plus,60
de,de,81
crimes,crime,21
que,que,52
la,le,71
justice,justice,22
n',ne,60
en,en,52
punit,punir,17
aux,à,81
aux,le,71
cours,cour,22
d',de,81
assises,assise,22
",",",",p
où,où,60
les,le,71
bons,bon,30
mots,mot,21
assassinent,assassiner,17
les,le,71
plus,plus,60
grandes,grand,30
idées,idée,22
",",",",p
où,où,60
l',l',94
on,on,51
ne,ne,60
passe,passer,17
pour,pour,81
fort,fort,30
qu',que,83
autant,autant,60
que,que,83
l',l',94
on,on,51
voit,voir,17
juste,juste,30
;,;,p
et,et,82
là,là,60
",",",",p
voir,voir,14
juste,juste,30
",",",",p
c',ce,52
est,être,17
ne,ne,60
croire,croire,14
à,à,81
rien,rien,52
",",",",p
ni,ni,82
aux,à,81
aux,le,71
sentiments,sentiment,21
",",",",p
ni,ni,82
aux,à,81
aux,le,71
hommes,homme,21
",",",",p
ni,ni,82
même,même,60
aux,à,81
aux,le,71
événements,événement,21
:,:,p
on,on,51
y,y,52
fait,faire,17
de,de,81
faux,faux,30
événements,événement,21
/.,/.,P
là,là,60
",",",",p
pour,pour,81
voir,voir,14
juste,juste,30
",",",",p
il,il,51
faut,falloir,17
peser,peser,14
",",",",p
chaque,chaque,75
matin,matin,21
",",",",p
la,le,71
bourse,bourse,22
d',de,81
un,un,71
ami,ami,21
",",",",p
savoir,savoir,14
se,se,51
mettre,mettre,14
politiquement,politiquement,60
au-dessus,au-dessus,60
de,de,81
tout,tout,52
ce,ce,52
qui,qui,52
arrive,arriver,17
;,;,p
provisoirement,provisoirement,60
",",",",p
ne,ne,60
rien,rien,52
admirer,admirer,14
",",",",p
ni,ni,82
les,le,71
oeuvres,oeuvre,22
d',de,81
art,art,21
",",",",p
ni,ni,82
les,le,71
nobles,noble,30
actions,action,22
",",",",p
et,et,82
donner,donner,14
pour,pour,81
mobile,mobile,21
à,à,81
toute,tout,75
chose,chose,22
l',le,71
intérêt,intérêt,21
personnel,personnel,30
/.,/.,P
après,après,81
mille,mille,72
folies,folie,22
",",",",p
la,le,71
grande,grand,30
dame,dame,22
",",",",p
la,le,71
belle,beau,30
Annette,Annette,20
",",",",p
forçait,forcer,18
Charles,Charles,20
à,à,81
penser,penser,14
gravement,gravement,60
;,;,p
elle,il,51
lui,lui,51
parlait,parler,18
de,de,81
sa,son,73
position,position,22
future,futur,30
",",",",p
en,en,81
lui,lui,51
passant,passer,13
dans,dans,81
les,le,71
cheveux,cheveu,21
une,un,71
main,main,22
parfumée,parfumé,31
;,;,p
en,en,81
lui,lui,51
refaisant,refaire,13
une,un,71
boucle,boucle,22
",",",",p
elle,il,51
lui,lui,51
faisait,faire,18
calculer,calculer,14
la,le,71
vie,vie,22
:,:,p
elle,il,51
le,le,52
féminisait,féminiser,18
et,et,82
le,le,52
matérialisait,matérialiser,18
/.,/.,P
double,double,30
corruption,corruption,22
",",",",p
mais,mais,82
corruption,corruption,22
élégante,élégant,30
et,et,82
fine,fin,30
",",",",p
de,de,81
bon,bon,30
goût,goût,21
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
niais,niais,30
",",",",p
Charles,Charles,20
",",",",p
lui,lui,51
disait,dire,18
elle,il,51
/.,/.,P
j',je,51
aurai,avoir,15
bien,bien,60
de,de,81
la,le,71
peine,peine,22
à,à,81
vous,vous,51
apprendre,apprendre,14
le,le,71
monde,monde,21
/.,/.,P
vous,vous,51
avez,avoir,17
été,être,12
très,très,60
mal,mal,60
pour,pour,81
monsieur,monsieur,21
des,de,81
des,le,71
Lupeaulx,Lupeaulx,20
/.,/.,P
je,je,51
sais,savoir,17
bien,bien,60
que,que,83
c',ce,52
est,être,17
un,un,71
homme,homme,21
peu,peu,60
honorable,honorable,30
;,;,p
mais,mais,82
attendez,attendre,17
qu',que,83
il,il,51
soit,être,17
sans,sans,81
pouvoir,pouvoir,21
",",",",p
alors,alors,60
vous,vous,51
le,le,52
mépriserez,mépriser,15
à,à,81
votre,votre,73
aise,aise,22
/.,/.,P
savez,savoir,17
vous,vous,51
ce,ce,52
que,que,52
madame,madame,22
Campan,Campan,20
nous,nous,51
disait,dire,18
/?,/?,P
mes,mon,73
enfants,enfant,21
",",",",p
tant,tant,60
qu',que,83
un,un,71
homme,homme,21
est,être,17
au,à,81
au,le,71
ministère,ministère,21
",",",",p
adorez,adorer,17
le,le,52
;,;,p
tombe,tomber,17
t,t,94
il,il,51
",",",",p
aidez,aider,17
à,à,81
le,le,52
traîner,traîner,14
à,à,81
la,le,71
voirie,voirie,22
/.,/.,P
puissant,puissant,30
",",",",p
il,il,51
est,être,17
une,un,71
espèce,espèce,22
de,de,81
dieu,dieu,21
;,;,p
détruit,détruit,31
",",",",p
il,il,51
est,être,17
au-dessous,au-dessous,60
de,de,81
Marat,Marat,20
dans,dans,81
son,son,73
égout,égout,21
",",",",p
parce qu',parce que,83
il,il,51
vit,vivre,17
et,et,82
que,que,83
Marat,Marat,20
était,être,18
mort,mourir,12
/.,/.,P
la,le,71
vie,vie,22
est,être,17
une,un,71
suite,suite,22
de,de,81
combinaisons,combinaison,22
",",",",p
et,et,82
il,il,51
faut,falloir,17
les,le,52
étudier,étudier,14
",",",",p
les,le,52
suivre,suivre,14
",",",",p
pour,pour,81
arriver,arriver,14
à,à,81
se,se,51
maintenir,maintenir,14
toujours,toujours,60
en,en,81
bonne,bon,30
position,position,22
/.,/.,P
Charles,Charles,20
était,être,18
un,un,71
homme,homme,21
trop,trop,60
à,à,81
la,le,71
mode,mode,22
",",",",p
il,il,51
avait,avoir,18
été,être,12
trop,trop,60
constamment,constamment,60
heureux,heureux,30
par,par,81
ses,son,73
parents,parent,21
",",",",p
trop,trop,60
adulé,adulé,31
par,par,81
le,le,71
monde,monde,21
pour,pour,81
avoir,avoir,14
de,de,81
grands,grand,30
sentiments,sentiment,21
/.,/.,P
le,le,71
grain,grain,21
d',de,81
or,or,21
que,que,52
sa,son,73
mère,mère,22
lui,lui,51
avait,avoir,18
jeté,jeter,12
au,à,81
au,le,71
coeur,coeur,21
s',se,51
était,être,18
étendu,étendre,12
dans,dans,81
la,le,71
filière,filière,22
parisienne,parisien,30
",",",",p
il,il,51
l',le,52
avait,avoir,18
employé,employer,12
en,en,81
superficie,superficie,22
et,et,82
devait,devoir,18
l',le,52
user,user,14
par,par,81
le,le,71
frottement,frottement,21
/.,/.,P
mais,mais,82
Charles,Charles,20
n',ne,60
avait,avoir,18
encore,encore,60
que,que,83
vingt,vingt,72
et,et,82
un,un,71
ans,an,21
/.,/.,P
à,à,81
cet,ce,74
âge,âge,21
",",",",p
la,le,71
fraîcheur,fraîcheur,22
de,de,81
la,le,71
vie,vie,22
semble,sembler,17
inséparable,inséparable,30
de,de,81
la,le,71
candeur,candeur,22
de,de,81
l',le,71
âme,âme,22
/.,/.,P
la,le,71
voix,voix,22
",",",",p
le,le,71
regard,regard,21
",",",",p
la,le,71
figure,figure,22
paraissent,paraître,17
en,en,81
harmonie,harmonie,22
avec,avec,81
les,le,71
sentiments,sentiment,21
/.,/.,P
aussi,aussi,60
le,le,71
juge,juge,21
le,le,71
plus,plus,60
dur,dur,30
",",",",p
l',le,71
avoué,avoué,21
le,le,71
plus,plus,60
incrédule,incrédule,30
",",",",p
l',le,71
usurier,usurier,21
le,le,71
moins,moins,60
facile,facile,30
hésitent,hésiter,17
ils,ils,51
