11727
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-quatrième extrait>,<>,<>
d',de,81
un,un,71
tas,tas,21
de,de,81
gueuses,gueuse,22
qui,qui,52
tiennent,tenir,17
des,de,81
des,le,71
propos,propos,21
dans,dans,81
l',le,71
atelier,atelier,21
/.,/.,P
si,si,83
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
là,là,60
une,un,71
horreur,horreur,22
!,!,p
renvoyer,renvoyer,14
une,un,71
pauvre,pauvre,30
fille,fille,22
qui,qui,52
fait,faire,17
honnêtement,honnêtement,60
son,son,73
ouvrage,ouvrage,21
/!,/!,P
alors,alors,60
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
gagné,gagner,12
assez,assez,60
",",",",p
et,et,82
tout,tout,75
le,le,71
malheur,malheur,21
est,être,17
venu,venir,12
/.,/.,P
d'abord,d'abord,60
il,il,51
y,y,52
a,avoir,17
une,un,71
amélioration,amélioration,22
que,que,52
ces,ce,74
messieurs,monsieur,21
de,de,81
la,le,71
police,police,22
devraient,devoir,16
bien,bien,60
faire,faire,14
",",",",p
ce,ce,52
serait,être,16
d',de,81
empêcher,empêcher,14
les,le,71
entrepreneurs,entrepreneur,21
des,de,81
des,le,71
prisons,prison,22
de,de,81
faire,faire,14
du,de,81
du,le,71
tort,tort,21
aux,à,81
aux,le,71
pauvres,pauvre,30
gens,gens,21
/.,/.,P
je,je,51
vais,aller,17
vous,vous,51
expliquer,expliquer,14
cela,cela,52
",",",",p
voyez,voir,17
vous,vous,51
/.,/.,P
vous,vous,51
gagnez,gagner,17
douze,douze,72
sous,sou,21
dans,dans,81
les,le,71
chemises,chemise,22
",",",",p
cela,cela,52
tombe,tomber,17
à,à,81
neuf,neuf,30
sous,sous,81
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
moyen,moyen,21
de,de,81
vivre,vivre,14
/.,/.,P
il,il,51
faut,falloir,17
donc,donc,82
devenir,devenir,14
ce,ce,52
qu',que,52
on,on,51
peut,pouvoir,17
/.,/.,P
moi,moi,51
",",",",p
j',je,51
avais,avoir,18
ma,mon,73
petite,petit,30
Cosette,Cosette,20
",",",",p
j',je,51
ai,avoir,17
bien,bien,60
été,être,12
forcée,forcer,12
de,de,81
devenir,devenir,14
une,un,71
mauvaise,mauvais,30
femme,femme,22
/.,/.,P
vous,vous,51
comprenez,comprendre,17
à,à,81
présent,présent,21
",",",",p
que,que,83
c',ce,52
est,être,17
ce,ce,74
gueux,gueux,21
de,de,81
maire,maire,21
qui,qui,52
a,avoir,17
tout,tout,52
fait,faire,12
le,le,71
mal,mal,21
/.,/.,P
après,après,81
cela,cela,52
",",",",p
j',je,51
ai,avoir,17
piétiné,piétiner,12
le,le,71
chapeau,chapeau,21
de,de,81
ce,ce,74
monsieur,monsieur,21
bourgeois,bourgeois,30
devant,devant,81
le,le,71
café,café,21
des,de,81
des,le,71
officiers,officier,21
/.,/.,P
mais,mais,82
lui,lui,51
",",",",p
il,il,51
m',je,51
avait,avoir,18
perdu,perdre,12
toute,tout,75
ma,mon,73
robe,robe,22
avec,avec,81
sa,son,73
neige,neige,22
/.,/.,P
nous,nous,51
autres,autre,30
",",",",p
nous,nous,51
n',ne,60
avons,avoir,17
qu',que,83
une,un,71
robe,robe,22
de,de,81
soie,soie,22
",",",",p
pour,pour,81
le,le,71
soir,soir,21
/.,/.,P
voyez,voir,17
vous,vous,51
",",",",p
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
fait,faire,12
de,de,81
mal,mal,60
exprès,exprès,30
",",",",p
vrai,vrai,30
",",",",p
monsieur,monsieur,21
Javert,Javert,20
",",",",p
et,et,82
je,je,51
vois,voir,17
partout,partout,60
des,de,81
des,le,71
femmes,femme,22
bien,bien,60
plus,plus,60
méchantes,méchant,30
que,que,83
moi,moi,51
qui,qui,52
sont,être,17
bien,bien,60
plus,plus,60
heureuses,heureux,30
/.,/.,P
o,oh,93
monsieur,monsieur,21
Javert,Javert,20
",",",",p
c',ce,52
est,être,17
vous,vous,51
qui,qui,52
avez,avoir,17
dit,dire,12
qu',que,83
on,on,51
me,je,51
mette,mettre,17
dehors,dehors,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
prenez,prendre,17
des,de,81
des,le,71
informations,information,22
",",",",p
parlez,parler,17
à,à,81
mon,mon,73
propriétaire,propriétaire,21
",",",",p
maintenant,maintenant,60
je,je,51
paye,payer,17
mon,mon,73
terme,terme,21
",",",",p
on,on,51
vous,vous,51
dira,dire,15
bien,bien,60
que,que,83
je,je,51
suis,être,17
honnête,honnête,30
/.,/.,P
ah,ah,93
!,!,p
mon,mon,73
dieu,dieu,21
",",",",p
je,je,51
vous,vous,51
demande,demander,17
pardon,pardon,21
",",",",p
j',je,51
ai,avoir,17
touché,toucher,12
",",",",p
sans,sans,81
faire,faire,14
attention,attention,22
",",",",p
à,à,81
la,le,71
clef,clé,22
du,de,81
du,le,71
poêle,poêle,21
",",",",p
et,et,82
cela,cela,52
fait,faire,17
fumer,fumer,14
/.,/.,P
monsieur,monsieur,21
Madeleine,Madeleine,20
l',le,52
écoutait,écouter,18
avec,avec,81
une,un,71
attention,attention,22
profonde,profond,30
/.,/.,P
pendant,pendant,81
qu',que,83
elle,il,51
parlait,parler,18
",",",",p
il,il,51
avait,avoir,18
fouillé,fouiller,12
dans,dans,81
son,son,73
gilet,gilet,21
",",",",p
en,en,52
avait,avoir,18
tiré,tirer,12
sa,son,73
bourse,bourse,22
et,et,82
l',le,52
avait,avoir,18
ouverte,ouvrir,12
/.,/.,P
elle,il,51
était,être,18
vide,vide,30
/.,/.,P
il,il,51
l',le,52
avait,avoir,18
remise,remettre,12
dans,dans,81
sa,son,73
poche,poche,22
/.,/.,P
il,il,51
dit,dire,19
à,à,81
la,le,71
Fantine,Fantine,20
:,:,p
-,-,p
combien,combien,60
avez,avoir,17
vous,vous,51
dit,dire,12
que,que,83
vous,vous,51
deviez,devoir,17
/?,/?,P
la,le,71
Fantine,Fantine,20
",",",",p
qui,qui,52
ne,ne,60
regardait,regarder,18
que,que,83
Javert,Javert,20
",",",",p
se,se,51
retourna,retourner,19
de,de,81
son,son,73
côté,côté,21
:,:,p
-,-,p
est,être,17
ce,ce,52
que,que,83
je,je,51
te,tu,51
parle,parler,17
à,à,81
toi,toi,51
/!,/!,P
puis,puis,60
s',se,51
adressant,adresser,13
aux,à,81
aux,le,71
soldats,soldat,21
:,:,p
-,-,p
dites,dire,17
donc,donc,82
",",",",p
vous autres,vous autres,52
",",",",p
avez,avoir,17
vous,vous,51
vu,voir,12
comme,comme,83
je,je,51
te,tu,51
vous,vous,51
lui,lui,51
ai,avoir,17
craché,cracher,12
à,à,81
la,le,71
figure,figure,22
/?,/?,P
ah,ah,93
!,!,p
vieux,vieux,30
scélérat,scélérat,21
de,de,81
maire,maire,21
",",",",p
tu,tu,51
viens,venir,17
ici,ici,60
pour,pour,81
me,je,51
faire,faire,14
peur,peur,22
",",",",p
mais,mais,82
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
peur,peur,22
de,de,81
toi,toi,51
/.,/.,P
j',je,51
ai,avoir,17
peur,peur,22
de,de,81
monsieur,monsieur,21
Javert,Javert,20
/.,/.,P
j',je,51
ai,avoir,17
peur,peur,22
de,de,81
mon,mon,73
bon,bon,30
monsieur,monsieur,21
Javert,Javert,20
/!,/!,P
en,en,81
parlant,parler,13
ainsi,ainsi,60
elle,il,51
se,se,51
retourna,retourner,19
vers,vers,81
l',le,71
inspecteur,inspecteur,21
:,:,p
-,-,p
avec,avec,81
ça,ça,52
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
monsieur,monsieur,21
l',le,71
inspecteur,inspecteur,21
",",",",p
il,il,51
faut,falloir,17
être,être,14
juste,juste,30
/.,/.,P
je,je,51
comprends,comprendre,17
que,que,83
vous,vous,51
êtes,être,17
juste,juste,30
",",",",p
monsieur,monsieur,21
l',le,71
inspecteur,inspecteur,21
/.,/.,P
au,à,81
au,le,71
fait,fait,21
",",",",p
c',ce,52
est,être,17
tout,tout,52
simple,simple,30
",",",",p
un,un,71
homme,homme,21
qui,qui,52
joue,jouer,17
à,à,81
mettre,mettre,14
un,un,71
peu,peu,60
de,de,81
neige,neige,22
dans,dans,81
le,le,71
dos,dos,21
d',de,81
une,un,71
femme,femme,22
",",",",p
ça,ça,52
les,le,52
faisait,faire,18
rire,rire,14
",",",",p
les,le,71
officiers,officier,21
",",",",p
il,il,51
faut,falloir,17
bien,bien,60
qu',que,83
on,on,51
se,se,51
divertisse,divertir,17
à,à,81
quelque,quelque,75
chose,chose,22
",",",",p
nous autres,nous autre,51
nous,nous,51
sommes,être,17
là,là,60
pour,pour,81
qu',que,83
on,on,51
s',se,51
amuse,amuser,17
",",",",p
quoi,quoi,52
/!,/!,P
et,et,82
puis,puis,60
",",",",p
vous,vous,51
",",",",p
vous,vous,51
venez,venir,17
",",",",p
vous,vous,51
êtes,être,17
bien,bien,60
forcé,forcer,12
de,de,81
mettre,mettre,14
l',le,71
ordre,ordre,21
",",",",p
vous,vous,51
emmenez,emmener,17
la,le,71
femme,femme,22
qui,qui,52
a,avoir,17
tort,tort,21
",",",",p
mais,mais,82
en,en,81
y,y,52
réfléchissant,réfléchir,13
",",",",p
comme,comme,83
vous,vous,51
êtes,être,17
bon,bon,30
",",",",p
vous,vous,51
dites,dire,17
qu',que,83
on,on,51
me,je,51
mette,mettre,17
en,en,81
liberté,liberté,22
",",",",p
c',ce,52
est,être,17
pour,pour,81
la,le,71
petite,petite,22
",",",",p
parce que,parce que,83
six,six,72
mois,mois,21
en,en,81
prison,prison,22
",",",",p
cela,cela,52
m',je,51
empêcherait,empêcher,16
de,de,81
nourrir,nourrir,14
mon,mon,73
enfant,enfant,21
/.,/.,P
seulement,seulement,60
n',ne,60
y,y,52
reviens,revenir,17
plus,plus,60
",",",",p
coquine,coquine,22
/!,/!,P
oh,oh,93
!,!,p
je,je,51
n',ne,60
y,y,52
reviendrai,revenir,15
plus,plus,60
",",",",p
monsieur,monsieur,21
Javert,Javert,20
!,!,p
on,on,51
me,je,51
fera,faire,15
tout,tout,52
ce,ce,52
qu',que,52
on,on,51
voudra,vouloir,15
maintenant,maintenant,60
",",",",p
je,je,51
ne,ne,60
bougerai,bouger,15
plus,plus,60
/.,/.,P
seulement,seulement,60
",",",",p
aujourd'hui,aujourd'hui,60
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
j',je,51
ai,avoir,17
crié,crier,12
parce que,parce que,83
cela,cela,52
m',je,51
a,avoir,17
fait,faire,12
mal,mal,60
",",",",p
je,je,51
ne,ne,60
m',je,51
attendais,attendre,18
pas,pas,60
du,de,81
du,le,71
tout,tout,21
à,à,81
cette,ce,74
neige,neige,22
de,de,81
ce,ce,74
monsieur,monsieur,21
",",",",p
et,et,82
puis,puis,60
",",",",p
je,je,51
vous,vous,51
ai,avoir,17
dit,dire,12
",",",",p
je,je,51
ne,ne,60
me,je,51
porte,porter,17
pas,pas,60
très,très,60
bien,bien,60
",",",",p
je,je,51
tousse,tousser,17
",",",",p
j',je,51
ai,avoir,17
là,là,60
dans,dans,81
l',le,71
estomac,estomac,21
comme,comme,83
une,un,71
boule,boule,22
qui,qui,52
me,je,51
brûle,brûler,17
",",",",p
que,que,83
le,le,71
médecin,médecin,21
me,je,51
dit,dire,17
:,:,p
soignez,soigner,17
vous,vous,51
/.,/.,P
tenez,tenir,17
",",",",p
tâtez,tâter,17
",",",",p
donnez,donner,17
votre,votre,73
main,main,22
",",",",p
n',ne,60
ayez,avoir,17
pas,pas,60
peur,peur,22
",",",",p
c',ce,52
est,être,17
ici,ici,60
/.,/.,P
elle,il,51
ne,ne,60
pleurait,pleurer,18
plus,plus,60
",",",",p
sa,son,73
voix,voix,22
était,être,18
caressante,caressant,30
",",",",p
elle,il,51
appuyait,appuyer,18
sur,sur,81
sa,son,73
gorge,gorge,22
blanche,blanc,30
et,et,82
délicate,délicat,30
la,le,71
grosse,gros,30
main,main,22
rude,rude,30
de,de,81
Javert,Javert,20
",",",",p
et,et,82
elle,il,51
le,le,52
regardait,regarder,18
en,en,81
souriant,sourire,13
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
elle,il,51
rajusta,rajuster,19
vivement,vivement,60
le,le,71
désordre,désordre,21
de,de,81
ses,son,73
vêtements,vêtement,21
",",",",p
fit,faire,19
retomber,retomber,14
les,le,71
plis,pli,21
de,de,81
sa,son,73
robe,robe,22
qui,qui,52
en,en,81
se,se,51
traînant,traîner,13
s',se,51
était,être,18
relevée,relever,12
presque,presque,60
à,à,81
la,le,71
hauteur,hauteur,22
du,de,81
du,le,71
genou,genou,21
",",",",p
et,et,82
marcha,marcher,19
vers,vers,81
la,le,71
porte,porte,22
en,en,81
disant,dire,13
à,à,81
demi-voix,demi-voix,22
aux,à,81
aux,le,71
soldats,soldat,21
avec,avec,81
un,un,71
signe,signe,21
de,de,81
tête,tête,22
amical,amical,30
:,:,p
-,-,p
les,le,71
enfants,enfant,21
",",",",p
monsieur,monsieur,21
l',le,71
inspecteur,inspecteur,21
a,avoir,17
dit,dire,12
qu',que,83
on,on,51
me,je,51
lâche,lâcher,17
",",",",p
je,je,51
m',je,51
en,en,52
vas,aller,17
/.,/.,P
elle,il,51
mit,mettre,19
la,le,71
main,main,22
sur,sur,81
le,le,71
loquet,loquet,21
/.,/.,P
un,un,71
pas,pas,21
de,de,81
plus,plus,60
",",",",p
elle,il,51
était,être,18
dans,dans,81
la,le,71
rue,rue,22
/.,/.,P
Javert,Javert,20
jusqu',jusque,81
à,à,81
cet,ce,74
instant,instant,21
était,être,18
resté,rester,12
debout,debout,60
",",",",p
immobile,immobile,30
",",",",p
l',le,71
oeil,oeil,21
fixé,fixé,31
à,à,81
terre,terre,22
",",",",p
posé,posé,31
de,de,81
travers,travers,21
au,à,81
au,le,71
milieu,milieu,21
de,de,81
cette,ce,74
scène,scène,22
comme,comme,83
une,un,71
statue,statue,22
dérangée,dérangé,31
qui,qui,52
attend,attendre,17
qu',que,83
on,on,51
la,le,52
mette,mettre,17
quelque,quelque,75
part,part,22
/.,/.,P
le,le,71
bruit,bruit,21
que,que,52
fit,faire,19
le,le,71
loquet,loquet,21
le,le,52
réveilla,réveiller,19
/.,/.,P
il,il,51
releva,relever,19
la,le,71
tête,tête,22
avec,avec,81
une,un,71
expression,expression,22
d',de,81
autorité,autorité,22
souveraine,souverain,30
",",",",p
expression,expression,22
toujours,toujours,60
d'autant,d'autant,60
plus,plus,60
effrayante,effrayant,30
que,que,83
le,le,71
pouvoir,pouvoir,21
se,se,51
trouve,trouver,17
placé,placé,31
plus,plus,60
bas,bas,30
",",",",p
féroce,féroce,30
chez,chez,81
la,le,71
bête,bête,22
fauve,fauve,30
",",",",p
atroce,atroce,30
chez,chez,81
l',le,71
homme,homme,21
de,de,81
rien,rien,52
/.,/.,P
-,-,p
sergent,sergent,21
",",",",p
cria,crier,19
t,t,94
il,il,51
",",",",p
vous,vous,51
ne,ne,60
voyez,voir,17
pas,pas,60
que,que,83
cette,ce,74
drôlesse,drôlesse,22
s',se,51
en,en,52
va,aller,17
/!,/!,P
qui,qui,52
est,être,17
ce,ce,52
qui,qui,52
vous,vous,51
a,avoir,17
dit,dire,12
de,de,81
la,le,52
laisser,laisser,14
aller,aller,14
/?,/?,P
moi,moi,51
",",",",p
dit,dire,19
Madeleine,Madeleine,20
/.,/.,P
la,le,71
Fantine,Fantine,20
à,à,81
la,le,71
voix,voix,22
de,de,81
Javert,Javert,20
avait,avoir,18
tremblé,trembler,12
et,et,82
lâché,lâcher,12
le,le,71
loquet,loquet,21
comme,comme,83
un,un,71
voleur,voleur,21
pris,pris,31
lâche,lâcher,17
l',le,71
objet,objet,21
volé,volé,31
/.,/.,P
à,à,81
la,le,71
voix,voix,22
de,de,81
Madeleine,Madeleine,20
",",",",p
elle,il,51
se,se,51
retourna,retourner,19
",",",",p
et,et,82
à,à,81
partir,partir,14
de,de,81
ce,ce,74
moment,moment,21
",",",",p
sans,sans,81
qu',que,83
elle,il,51
prononçât,prononcer,18
un,un,71
mot,mot,21
",",",",p
sans,sans,81
qu',que,83
elle,il,51
osât,oser,18
même,même,60
laisser,laisser,14
sortir,sortir,14
son,son,73
souffle,souffle,21
librement,librement,60
",",",",p
son,son,73
regard,regard,21
alla,aller,19
tour,tour,21
à,à,81
tour,tour,21
de,de,81
Madeleine,Madeleine,20
à,à,81
Javert,Javert,20
et,et,82
de,de,81
Javert,Javert,20
à,à,81
Madeleine,Madeleine,20
",",",",p
selon,selon,81
que,que,83
c',ce,52
était,être,18
l',le,71
un,un,52
ou,ou,82
l',le,71
autre,autre,52
qui,qui,52
parlait,parler,18
/.,/.,P
il,il,51
était,être,18
évident,évident,30
qu',que,83
il,il,51
fallait,falloir,18
que,que,83
Javert,Javert,20
eût,avoir,19
été,être,12
",",",",p
comme,comme,83
on,on,51
dit,dire,19
",",",",p
“,“,p
jeté,jeter,12
hors,hors,81
des,de,81
des,le,71
gonds,gond,21
“,“,p
pour,pour,81
qu',que,83
il,il,51
se,se,51
fût,être,19
permis,permettre,12
d',de,81
apostropher,apostropher,14
le,le,71
sergent,sergent,21
comme,comme,83
il,il,51
l',le,52
avait,avoir,18
fait,faire,12
",",",",p
après,après,81
l',le,71
invitation,invitation,22
du,de,81
du,le,71
maire,maire,21
de,de,81
mettre,mettre,14
Fantine,Fantine,20
en,en,81
liberté,liberté,22
/.,/.,P
en,en,52
était,être,18
il,il,51
venu,venir,12
à,à,81
oublier,oublier,14
la,le,71
présence,présence,22
de,de,81
monsieur,monsieur,21
le,le,71
maire,maire,21
/?,/?,P
avait,avoir,18
il,il,51
fini,finir,12
par,par,81
se,se,51
déclarer,déclarer,14
à,à,81
lui-même,lui-même,51
qu',que,83
il,il,51
était,être,18
impossible,impossible,30
qu',que,83
une,un,71
“,“,p
autorité,autorité,22
“,“,p
eût,avoir,19
donné,donner,12
un,un,71
pareil,pareil,30
ordre,ordre,21
",",",",p
et,et,82
que,que,83
bien,bien,60
certainement,certainement,60
monsieur,monsieur,21
le,le,71
maire,maire,21
avait,avoir,18
dû,devoir,12
dire,dire,14
sans,sans,81
le,le,52
vouloir,vouloir,14
une,un,71
chose,chose,22
pour,pour,81
une,un,71
autre,autre,52
/?,/?,P
ou,ou,82
bien,bien,60
",",",",p
devant,devant,81
les,le,71
énormités,énormité,22
dont,dont,52
il,il,51
était,être,18
témoin,témoin,21
depuis,depuis,81
deux,deux,72
heures,heure,22
",",",",p
se,se,51
disait,dire,18
il,il,51
qu',que,83
il,il,51
fallait,falloir,18
revenir,revenir,14
aux,à,81
aux,le,71
suprêmes,suprême,30
résolutions,résolution,22
",",",",p
qu',que,83
il,il,51
était,être,18
nécessaire,nécessaire,30
que,que,83
le,le,71
petit,petit,30
se,se,51
fit,faire,19
grand,grand,30
",",",",p
que,que,83
le,le,71
mouchard,mouchard,21
se,se,51
transformât,transformer,18
en,en,81
magistrat,magistrat,21
",",",",p
que,que,83
l',le,71
homme,homme,21
de,de,81
police,police,22
devînt,devenir,18
homme,homme,21
de,de,81
justice,justice,22
",",",",p
et,et,82
qu',que,83
en,en,81
cette,ce,74
extrémité,extrémité,22
prodigieuse,prodigieux,30
l',le,71
ordre,ordre,21
",",",",p
la,le,71
loi,loi,22
",",",",p
la,le,71
morale,morale,22
",",",",p
le,le,71
gouvernement,gouvernement,21
",",",",p
la,le,71
société,société,22
tout,tout,60
entière,entier,30
",",",",p
se,se,51
personnifiaient,personnifier,18
en,en,81
lui,lui,51
Javert,Javert,20
/?,/?,P
quoi,quoi,52
qu',que,52
il,il,51
en,en,52
soit,être,17
",",",",p
quand,quand,83
monsieur,monsieur,21
Madeleine,Madeleine,20
eut,avoir,19
dit,dire,12
ce,ce,74
moi,moi,51
qu',que,52
on,on,51
vient,venir,17
d',de,81
entendre,entendre,14
",",",",p
on,on,51
vit,voir,19
l',le,71
inspecteur,inspecteur,21
de,de,81
police,police,22
Javert,Javert,20
se,se,51
tourner,tourner,14
vers,vers,81
monsieur,monsieur,21
le,le,71
maire,maire,21
",",",",p
pâle,pâle,30
",",",",p
froid,froid,30
",",",",p
les,le,71
lèvres,lèvre,22
bleues,bleu,30
",",",",p
le,le,71
regard,regard,21
désespéré,désespéré,31
",",",",p
tout,tout,75
le,le,71
corps,corps,21
agité,agité,31
d',de,81
un,un,71
tremblement,tremblement,21
imperceptible,imperceptible,30
",",",",p
et,et,82
",",",",p
chose,chose,22
inouïe,inouï,30
",",",",p
lui,lui,51
dire,dire,14
",",",",p
l',le,71
oeil,oeil,21
baissé,baissé,31
",",",",p
mais,mais,82
la,le,71
voix,voix,22
ferme,ferme,30
:,:,p
-,-,p
monsieur,monsieur,21
le,le,71
maire,maire,21
",",",",p
cela,cela,52
ne,ne,60
se,se,51
peut,pouvoir,17
pas,pas,60
/.,/.,P
-,-,p
comment,comment,60
?,?,p
dit,dire,19
monsieur,monsieur,21
Madeleine,Madeleine,20
/.,/.,P
-,-,p
cette,ce,74
malheureuse,malheureux,30
a,avoir,17
insulté,insulter,12
un,un,71
bourgeois,bourgeois,21
/.,/.,P
-,-,p
inspecteur,inspecteur,21
Javert,Javert,20
",",",",p
repartit,repartir,19
monsieur,monsieur,21
Madeleine,Madeleine,20
avec,avec,81
un,un,71
accent,accent,21
conciliant,conciliant,30
et,et,82
calme,calme,30
",",",",p
écoutez,écouter,17
/.,/.,P
vous,vous,51
êtes,être,17
un,un,71
honnête,honnête,30
homme,homme,21
",",",",p
et,et,82
je,je,51
ne,ne,60
fais,faire,17
nulle,nul,75
difficulté,difficulté,22
de,de,81
m',je,51
expliquer,expliquer,14
avec,avec,81
vous,vous,51
/.,/.,P
voici,voici,81
le,le,71
vrai,vrai,30
/.,/.,P
je,je,51
passais,passer,18
sur,sur,81
la,le,71
place,place,22
comme,comme,83
vous,vous,51
emmeniez,emmener,18
cette,ce,74
femme,femme,22
",",",",p
il,il,51
y,y,52
avait,avoir,18
encore,encore,60
des,de,81
des,le,71
groupes,groupe,21
",",",",p
je,je,51
me,je,51
suis,être,17
informé,informer,12
",",",",p
j',je,51
ai,avoir,17
tout,tout,52
su,savoir,12
",",",",p
c',ce,52
est,être,17
le,le,71
bourgeois,bourgeois,21
qui,qui,52
a,avoir,17
eu,avoir,12
tort,tort,21
et,et,82
qui,qui,52
",",",",p
en,en,81
bonne,bonne,22
police,policer,17
",",",",p
eût,avoir,19
dû,devoir,12
être,être,14
arrêté,arrêter,12
/.,/.,P
Javert,Javert,20
reprit,reprendre,19
:,:,p
-,-,p
cette,ce,74
misérable,misérable,22
vient,venir,17
d',de,81
insulter,insulter,14
monsieur,monsieur,21
le,le,71
maire,maire,21
/.,/.,P
-,-,p
ceci,ceci,52
me,je,51
regarde,regarder,17
",",",",p
dit,dire,19
monsieur,monsieur,21
Madeleine,Madeleine,20
/.,/.,P
mon,mon,73
injure,injure,22
est,être,17
à,à,81
moi,moi,51
peut-être,peut-être,60
/.,/.,P
j',je,51
en,en,52
puis,pouvoir,17
faire,faire,14
ce,ce,52
que,que,52
je,je,51
veux,vouloir,17
/.,/.,P
-,-,p
je,je,51
demande,demander,17
pardon,pardon,21
à,à,81
monsieur,monsieur,21
le,le,71
maire,maire,21
/.,/.,P
son,son,73
injure,injure,22
n',ne,60
est,être,17
pas,pas,60
à,à,81
lui,lui,51
",",",",p
elle,il,51
est,être,17
à,à,81
la,le,71
justice,justice,22
/.,/.,P
-,-,p
inspecteur,inspecteur,21
Javert,Javert,20
",",",",p
répliqua,répliquer,19
monsieur,monsieur,21
Madeleine,Madeleine,20
",",",",p
la,le,71
première,premier,72
justice,justice,22
",",",",p
c',ce,52
est,être,17
la,le,71
conscience,conscience,22
/.,/.,P
j',je,51
ai,avoir,17
entendu,entendre,12
cette,ce,74
femme,femme,22
/.,/.,P
je,je,51
sais,savoir,17
ce,ce,52
que,que,52
je,je,51
fais,faire,17
/.,/.,P
-,-,p
et,et,82
moi,moi,51
",",",",p
monsieur,monsieur,21
le,le,71
maire,maire,21
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
ce,ce,52
que,que,52
je,je,51
vois,voir,17
/.,/.,P
-,-,p
alors,alors,60
contentez,contenter,17
vous,vous,51
d',de,81
obéir,obéir,14
/.,/.,P
-,-,p
j',je,51
obéis,obéir,17
à,à,81
mon,mon,73
devoir,devoir,21
/.,/.,P
mon,mon,73
devoir,devoir,21
veut,vouloir,17
que,que,83
cette,ce,74
femme,femme,22
fasse,faire,17
six,six,72
mois,mois,21
de,de,81
prison,prison,22
/.,/.,P
monsieur,monsieur,21
Madeleine,Madeleine,20
répondit,répondre,19
avec,avec,81
douceur,douceur,22
:,:,p
-,-,p
écoutez,écouter,17
bien,bien,60
ceci,ceci,52
/.,/.,P
elle,il,51
n',ne,60
en,en,52
fera,faire,15
pas,pas,60
un,un,71
jour,jour,21
/.,/.,P
à,à,81
cette,ce,74
parole,parole,22
décisive,décisif,30
",",",",p
Javert,Javert,20
osa,oser,19
regarder,regarder,14
le,le,71
maire,maire,21
fixement,fixement,60
",",",",p
et,et,82
lui,lui,51
dit,dire,19
",",",",p
mais,mais,82
avec,avec,81
un,un,71
son,son,21
de,de,81
voix,voix,22
toujours,toujours,60
profondément,profondément,60
respectueux,respectueux,30
:,:,p
-,-,p
je,je,51
suis,être,17
au,à,81
au,le,71
désespoir,désespoir,21
de,de,81
résister,résister,14
à,à,81
monsieur,monsieur,21
le,le,71
maire,maire,21
",",",",p
c',ce,52
est,être,17
la,le,71
première,premier,72
fois,fois,22
de,de,81
ma,mon,73
vie,vie,22
",",",",p
mais,mais,82
il,il,51
daignera,daigner,15
me,je,51
permettre,permettre,14
de,de,81
lui,lui,51
faire,faire,14
observer,observer,14
que,que,83
je,je,51
suis,être,17
dans,dans,81
la,le,71
limite,limite,22
de,de,81
mes,mon,73
attributions,attribution,22
/.,/.,P
je,je,51
reste,rester,17
",",",",p
puisque,puisque,83
monsieur,monsieur,21
le,le,71
maire,maire,21
le,le,52
veut,vouloir,17
",",",",p
dans,dans,81
le,le,71
fait,fait,21
du,de,81
du,le,71
bourgeois,bourgeois,21
/.,/.,P
j',je,51
étais,être,18
là,là,60
/.,/.,P
c',ce,52
est,être,17
cette,ce,74
fille,fille,22
qui,qui,52
s',se,51
est,être,17
jetée,jeter,12
sur,sur,81
monsieur,monsieur,21
Bamatabois,Bamatabois,20
",",",",p
qui,qui,52
est,être,17
électeur,électeur,21
et,et,82
propriétaire,propriétaire,21
de,de,81
cette,ce,74
belle,beau,30
maison,maison,22
à,à,81
balcon,balcon,21
qui,qui,52
fait,faire,17
le,le,71
coin,coin,21
de,de,81
l',le,71
esplanade,esplanade,22
",",",",p
à,à,81
trois,trois,72
étages,étage,21
et,et,82
toute,tout,52
en,en,81
pierre,pierre,22
de,de,81
taille,taille,22
/.,/.,P
enfin,enfin,60
",",",",p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
choses,chose,22
dans,dans,81
ce,ce,74
monde,monde,21
/!,/!,P
quoi,quoi,52
qu',que,52
il,il,51
en,en,52
soit,être,17
",",",",p
monsieur,monsieur,21
le,le,71
maire,maire,21
",",",",p
cela,cela,52
",",",",p
c',ce,52
est,être,17
un,un,71
fait,fait,21
de,de,81
police,police,22
de,de,81
la,le,71
rue,rue,22
qui,qui,52
me,je,51
regarde,regarder,17
",",",",p
et,et,82
je,je,51
retiens,retenir,17
la,le,71
femme,femme,22
Fantine,Fantine,20
/.,/.,P
alors,alors,60
monsieur,monsieur,21
Madeleine,Madeleine,20
croisa,croiser,19
les,le,71
bras,bras,21
et,et,82
dit,dire,19
