11881
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-quatrième extrait>,<>,<>
finies,fini,31
",",",",p
c',ce,52
était,être,18
tout,tout,52
ce,ce,52
qui,qui,52
restait,rester,18
de,de,81
l',le,71
antique,antique,30
race,race,22
des,de,81
des,le,71
Beauvilliers,Beauvilliers,20
",",",",p
autrefois,autrefois,60
si,si,60
puissante,puissant,30
",",",",p
souveraine,souverain,30
/.,/.,P
elle,il,51
avait,avoir,18
eu,avoir,12
des,de,81
des,le,71
terres,terre,22
aussi,aussi,60
grandes,grand,30
qu',que,83
un,un,71
royaume,royaume,21
",",",",p
vingt,vingt,72
lieues,lieue,22
de,de,81
la,le,71
Loire,Loire,20
lui,lui,51
avaient,avoir,18
appartenu,appartenir,12
",",",",p
des,de,81
des,le,71
châteaux,château,21
",",",",p
des,de,81
des,le,71
prairies,prairie,22
",",",",p
des,de,81
des,le,71
labours,labour,21
",",",",p
des,de,81
des,le,71
forêts,forêt,22
/.,/.,P
puis,puis,60
cette,ce,74
immense,immense,30
fortune,fortune,22
domaniale,domanial,30
peu,peu,60
à,à,81
peu,peu,60
s',se,51
en,en,52
était,être,18
allée,aller,12
avec,avec,81
les,le,71
siècles,siècle,21
en,en,81
marche,marche,22
",",",",p
et,et,82
la,le,71
comtesse,comtesse,22
venait,venir,18
d',de,81
engloutir,engloutir,14
la,le,71
dernière,dernier,30
épave,épave,22
dans,dans,81
une,un,52
de,de,81
ces,ce,74
tempêtes,tempête,22
de,de,81
la,le,71
spéculation,spéculation,22
moderne,moderne,30
",",",",p
où,où,60
elle,il,51
n',ne,60
entendait,entendre,18
rien,rien,52
:,:,p
d'abord,d'abord,60
ses,son,73
vingt,vingt,72
mille,mille,72
francs,franc,21
d',de,81
économies,économie,22
",",",",p
épargnées,épargné,31
sou,sou,21
par,par,81
sou,sou,21
pour,pour,81
sa,son,73
fille,fille,22
",",",",p
puis,puis,60
les,le,71
soixante,soixante,72
mille,mille,72
francs,franc,21
empruntés,emprunté,31
sur,sur,81
les,le,71
Aublets,Aublets,20
",",",",p
puis,puis,60
cette,ce,74
ferme,ferme,22
tout,tout,60
entière,entier,30
/.,/.,P
l',le,71
hôtel,hôtel,21
de,de,81
la,le,71
rue,rue,22
Saint-Lazare,Saint-Lazare,20
ne,ne,60
paierait,payer,16
pas,pas,60
les,le,71
créanciers,créancier,21
/.,/.,P
son,son,73
fils,fils,21
était,être,18
mort,mourir,12
",",",",p
loin,loin,60
d',de,81
elle,il,51
et,et,82
sans,sans,81
gloire,gloire,22
/.,/.,P
on,on,51
lui,lui,51
avait,avoir,18
ramené,ramener,12
sa,son,73
fille,fille,22
blessée,blessé,31
",",",",p
salie,sali,31
par,par,81
un,un,71
bandit,bandit,21
",",",",p
comme,comme,83
on,on,51
remonte,remonter,17
",",",",p
saignant,saignant,30
et,et,82
couvert,couvert,31
de,de,81
boue,boue,22
",",",",p
un,un,71
enfant,enfant,21
qu',que,52
une,un,71
voiture,voiture,22
vient,venir,17
d',de,81
écraser,écraser,14
/.,/.,P
et,et,82
la,le,71
comtesse,comtesse,22
",",",",p
si,si,60
noble,noble,30
naguère,naguère,60
",",",",p
mince,mince,30
",",",",p
haute,haut,30
",",",",p
toute,tout,60
blanche,blanc,30
",",",",p
avec,avec,81
son,son,73
grand,grand,30
air,air,21
suranné,suranné,30
",",",",p
n',ne,60
était,être,18
plus,plus,60
qu',que,83
une,un,71
pauvre,pauvre,30
vieille,vieux,30
femme,femme,22
détruite,détruit,31
",",",",p
cassée,cassé,31
par,par,81
cette,ce,74
dévastation,dévastation,22
;,;,p
tandis que,tandis que,83
",",",",p
sans,sans,81
beauté,beauté,22
",",",",p
sans,sans,81
jeunesse,jeunesse,22
",",",",p
montrant,montrer,13
la,le,71
disgrâce,disgrâce,22
de,de,81
son,son,73
cou,cou,21
trop,trop,60
long,long,30
",",",",p
dans,dans,81
le,le,71
désordre,désordre,21
de,de,81
sa,son,73
chemise,chemise,22
",",",",p
Alice,Alice,20
avait,avoir,18
des,de,81
des,le,71
yeux,oeil,21
de,de,81
folle,folle,22
",",",",p
où,où,60
se,se,51
lisait,lire,18
la,le,71
mortelle,mortel,30
douleur,douleur,22
de,de,81
son,son,73
dernier,dernier,30
orgueil,orgueil,21
",",",",p
sa,son,73
virginité,virginité,22
violentée,violenté,31
/.,/.,P
et,et,82
toutes,tout,75
deux,deux,72
",",",",p
elles,ils,51
sanglotaient,sangloter,18
toujours,toujours,60
",",",",p
elles,ils,51
sanglotaient,sangloter,18
sans,sans,81
fin,fin,22
/.,/.,P
alors,alors,60
",",",",p
madame,madame,22
Caroline,Caroline,20
ne,ne,60
prononça,prononcer,19
pas,pas,60
un,un,71
mot,mot,21
",",",",p
les,le,52
prit,prendre,19
simplement,simplement,60
toutes,tout,75
deux,deux,72
",",",",p
les,le,52
serra,serrer,19
étroitement,étroitement,60
sur,sur,81
son,son,73
coeur,coeur,21
/.,/.,P
elle,il,51
ne,ne,60
trouvait,trouver,18
rien,rien,52
autre,autre,75
chose,chose,22
",",",",p
elle,il,51
pleurait,pleurer,18
avec,avec,81
elles,ils,51
/.,/.,P
et,et,82
les,le,71
deux,deux,72
malheureuses,malheureux,30
comprirent,comprendre,19
",",",",p
leurs,leur,73
larmes,larme,22
redoublèrent,redoubler,19
",",",",p
plus,plus,60
douces,doux,30
/.,/.,P
s',si,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
de,de,81
consolation,consolation,22
possible,possible,30
",",",",p
ne,ne,60
faudrait,falloir,16
il,il,51
pas,pas,60
vivre,vivre,14
encore,encore,60
",",",",p
vivre,vivre,14
quand,quand,83
même,même,60
/?,/?,P
lorsque,lorsque,83
madame,madame,22
Caroline,Caroline,20
fut,être,19
de,de,81
nouveau,nouveau,21
dans,dans,81
la,le,71
rue,rue,22
",",",",p
elle,il,51
aperçut,apercevoir,19
Busch,Busch,20
en,en,81
grande,grand,30
conférence,conférence,22
avec,avec,81
la,le,71
Méchain,Méchain,20
/.,/.,P
il,il,51
avait,avoir,18
arrêté,arrêter,12
une,un,71
voiture,voiture,22
",",",",p
il,il,51
y,y,52
poussa,pousser,19
Léonide,Léonide,20
",",",",p
et,et,82
disparut,disparaître,19
/.,/.,P
mais,mais,82
",",",",p
comme,comme,83
madame,madame,22
Caroline,Caroline,20
se,se,51
hâtait,hâter,18
",",",",p
la,le,71
Méchain,Méchain,20
marcha,marcher,19
droit,droit,60
à,à,81
elle,il,51
/.,/.,P
sans,sans,81
doute,doute,21
",",",",p
elle,il,51
la,le,52
guettait,guetter,18
",",",",p
car,car,82
tout,tout,60
de,de,81
suite,suite,22
elle,il,51
lui,lui,51
parla,parler,19
de,de,81
Victor,Victor,20
",",",",p
en,en,81
personne,personne,22
renseignée,renseigné,31
déjà,déjà,60
sur,sur,81
ce,ce,52
qui,qui,52
s',se,51
était,être,18
passé,passer,12
la,le,71
veille,veille,22
",",",",p
à,à,81
l',le,71
oeuvre,oeuvre,22
du,de,81
du,le,71
travail,travail,21
/.,/.,P
depuis,depuis,81
que,que,83
Saccard,Saccard,20
avait,avoir,18
refusé,refuser,12
de,de,81
payer,payer,14
les,le,71
quatre,quatre,72
mille,mille,72
francs,franc,21
",",",",p
elle,il,51
ne,ne,60
décolorait,décolorer,18
pas,pas,60
",",",",p
elle,il,51
s',se,51
ingéniait,ingénier,18
à,à,81
chercher,chercher,14
de,de,81
quelle,quel,75
façon,façon,22
elle,il,51
pourrait,pouvoir,16
encore,encore,60
exploiter,exploiter,14
l',le,71
affaire,affaire,22
;,;,p
et,et,82
elle,il,51
venait,venir,18
ainsi,ainsi,60
d',de,81
apprendre,apprendre,14
l',le,71
histoire,histoire,22
",",",",p
au,à,81
au,le,71
boulevard,boulevard,21
Bineau,Bineau,20
",",",",p
où,où,60
elle,il,51
se,se,51
rendait,rendre,18
fréquemment,fréquemment,60
",",",",p
dans,dans,81
l',le,71
espoir,espoir,21
de,de,81
quelque,quelque,75
incident,incident,21
profitable,profitable,30
/.,/.,P
son,son,73
plan,plan,21
devait,devoir,18
être,être,14
fait,faire,12
",",",",p
elle,il,51
déclara,déclarer,19
à,à,81
madame,madame,22
Caroline,Caroline,20
qu',que,83
elle,il,51
allait,aller,18
immédiatement,immédiatement,60
se,se,51
mettre,mettre,14
en,en,81
quête,quête,22
de,de,81
Victor,Victor,20
/.,/.,P
ce,ce,74
malheureux,malheureux,30
enfant,enfant,21
",",",",p
c',ce,52
était,être,18
trop,trop,60
terrible,terrible,30
de,de,81
l',le,52
abandonner,abandonner,14
de,de,81
la,le,71
sorte,sorte,22
à,à,81
ses,son,73
mauvais,mauvais,30
instincts,instinct,21
",",",",p
il,il,51
fallait,falloir,18
le,le,52
reprendre,reprendre,14
",",",",p
si,si,83
l',l',94
on,on,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
le,le,52
voir,voir,14
un,un,71
beau,beau,30
matin,matin,21
en,en,81
cour,cour,22
d',de,81
assises,assise,22
/.,/.,P
et,et,82
",",",",p
tandis qu',tandis que,83
elle,il,51
parlait,parler,18
",",",",p
ses,son,73
petits,petit,30
yeux,oeil,21
",",",",p
perdus,perdu,31
dans,dans,81
la,le,71
graisse,graisse,22
de,de,81
son,son,73
visage,visage,21
",",",",p
fouillaient,fouiller,18
la,le,71
bonne,bon,30
dame,dame,22
",",",",p
heureuse,heureux,30
de,de,81
la,le,52
sentir,sentir,14
bouleversée,bouleversé,31
",",",",p
se,se,51
disant,dire,13
que,que,83
le,le,71
jour,jour,21
où,où,60
elle,il,51
aurait,avoir,16
retrouvé,retrouver,12
le,le,71
gamin,gamin,21
",",",",p
elle,il,51
continuerait,continuer,16
à,à,81
tirer,tirer,14
d',de,81
elle,il,51
des,de,81
des,le,71
pièces,pièce,22
de,de,81
cent,cent,72
sous,sou,21
/.,/.,P
“,“,p
alors,alors,60
",",",",p
madame,madame,22
",",",",p
c',ce,52
est,être,17
entendu,entendre,12
",",",",p
je,je,51
vais,aller,17
m',je,51
en,en,52
occuper,occuper,14
/…,/…,P
dans,dans,81
le,le,71
cas,cas,21
où,où,60
vous,vous,51
désireriez,désirer,16
avoir,avoir,14
des,de,81
des,le,71
nouvelles,nouvelle,22
",",",",p
ne,ne,60
prenez,prendre,17
pas,pas,60
la,le,71
peine,peine,22
de,de,81
courir,courir,14
là-bas,là-bas,60
",",",",p
rue,rue,22
Marcadet,Marcadet,20
",",",",p
montez,monter,17
simplement,simplement,60
chez,chez,81
monsieur,monsieur,21
Busch,Busch,20
",",",",p
rue,rue,22
Feydeau,Feydeau,20
",",",",p
où,où,60
vous,vous,51
êtes,être,17
certaine,certain,30
de,de,81
me,je,51
rencontrer,rencontrer,14
tous,tout,75
les,le,71
jours,jour,21
",",",",p
vers,vers,81
quatre,quatre,72
heures,heure,22
/.,/.,P
“,“,p
madame,madame,22
Caroline,Caroline,20
rentra,rentrer,19
rue,rue,22
Saint-Lazare,Saint-Lazare,20
",",",",p
tourmentée,tourmenté,31
d',de,81
une,un,71
anxiété,anxiété,22
nouvelle,nouveau,30
/.,/.,P
c',ce,52
était,être,18
vrai,vrai,30
",",",",p
ce,ce,74
monstre,monstre,21
",",",",p
lâché,lâché,31
par,par,81
le,le,71
monde,monde,21
",",",",p
errant,errant,30
et,et,82
traqué,traqué,31
",",",",p
quelle,quel,75
hérédité,hérédité,22
du,de,81
du,le,71
mal,mal,21
allait,aller,18
il,il,51
assouvir,assouvir,14
au,à,81
au,le,71
travers,travers,21
des,de,81
des,le,71
foules,foule,22
",",",",p
comme,comme,83
un,un,71
loup,loup,21
dévorateur,dévorateur,30
/?,/?,P
elle,il,51
déjeuna,déjeuner,19
rapidement,rapidement,60
",",",",p
elle,il,51
prit,prendre,19
une,un,71
voiture,voiture,22
",",",",p
ayant,avoir,13
le,le,71
temps,temps,21
de,de,81
passer,passer,14
boulevard,boulevard,21
Bineau,Bineau,20
",",",",p
avant,avant,81
d',de,81
aller,aller,14
à,à,81
la,le,71
Conciergerie,Conciergerie,20
",",",",p
brûlée,brûlé,31
du,de,81
du,le,71
désir,désir,21
d',de,81
avoir,avoir,14
des,de,81
des,le,71
renseignements,renseignement,21
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
puis,puis,60
",",",",p
en,en,81
chemin,chemin,21
",",",",p
dans,dans,81
le,le,71
trouble,trouble,21
de,de,81
sa,son,73
fièvre,fièvre,22
",",",",p
une,un,71
idée,idée,22
s',se,51
empara,emparer,19
d',de,81
elle,il,51
",",",",p
la,le,52
domina,dominer,19
:,:,p
se,se,51
rendre,rendre,14
d'abord,d'abord,60
chez,chez,81
Maxime,Maxime,20
",",",",p
l',le,52
emmener,emmener,14
à,à,81
l',le,71
oeuvre,oeuvre,22
",",",",p
le,le,52
forcer,forcer,14
à,à,81
s',se,51
occuper,occuper,14
de,de,81
Victor,Victor,20
",",",",p
dont,dont,52
il,il,51
était,être,18
le,le,71
frère,frère,21
après,après,81
tout,tout,52
/.,/.,P
lui,lui,51
seul,seul,30
restait,rester,18
riche,riche,30
",",",",p
lui,lui,51
seul,seul,30
pouvait,pouvoir,18
intervenir,intervenir,14
",",",",p
s',se,51
occuper,occuper,14
de,de,81
l',le,71
affaire,affaire,22
d',de,81
une,un,71
façon,façon,22
très,très,60
efficace,efficace,30
/.,/.,P
mais,mais,82
",",",",p
avenue,avenue,22
de,de,81
l',le,71
impératrice,impératrice,22
",",",",p
dès,dès,81
le,le,71
vestibule,vestibule,21
du,de,81
du,le,71
petit,petit,30
hôtel,hôtel,21
luxueux,luxueux,30
",",",",p
madame,madame,22
Caroline,Caroline,20
se,se,51
sentit,sentir,19
glacée,glacé,31
/.,/.,P
des,de,81
des,le,71
tapissiers,tapissier,21
enlevaient,enlever,18
les,le,71
tentures,tenture,22
et,et,82
les,le,71
tapis,tapis,21
",",",",p
des,de,81
des,le,71
domestiques,domestique,21
mettaient,mettre,18
des,de,81
des,le,71
housses,housse,22
aux,à,81
aux,le,71
sièges,siège,21
et,et,82
aux,à,81
aux,le,71
lustres,lustre,21
",",",",p
tandis que,tandis que,83
",",",",p
de,de,81
toutes,tout,75
les,le,71
jolies,joli,30
choses,chose,22
remuées,remué,31
",",",",p
sur,sur,81
les,le,71
meubles,meuble,21
",",",",p
sur,sur,81
les,le,71
étagères,étagère,22
",",",",p
s',se,51
exhalait,exhaler,18
un,un,71
parfum,parfum,21
mourant,mourir,13
",",",",p
ainsi,ainsi,60
que,que,83
d',de,81
un,un,71
bouquet,bouquet,21
jeté,jeté,31
au,à,81
au,le,71
lendemain,lendemain,21
d',de,81
un,un,71
bal,bal,21
/.,/.,P
et,et,82
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
chambre,chambre,22
à,à,81
coucher,coucher,14
",",",",p
elle,il,51
trouva,trouver,19
Maxime,Maxime,20
",",",",p
entre,entre,81
deux,deux,72
énormes,énorme,30
malles,malle,22
que,que,52
le,le,71
valet,valet,21
de,de,81
chambre,chambre,22
achevait,achever,18
d',de,81
emplir,emplir,14
de,de,81
tout,tout,75
un,un,71
trousseau,trousseau,21
merveilleux,merveilleux,30
",",",",p
riche,riche,30
et,et,82
délicat,délicat,30
comme,comme,83
pour,pour,81
une,un,71
mariée,mariée,22
/.,/.,P
en,en,81
l',le,52
apercevant,apercevoir,13
",",",",p
ce,ce,52
fut,être,19
lui,lui,51
qui,qui,52
parla,parler,19
le,le,71
premier,premier,72
",",",",p
très,très,60
froid,froid,30
",",",",p
la,le,71
voix,voix,22
sèche,sec,30
/.,/.,P
“,“,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
vous,vous,51
!,!,p
vous,vous,51
tombez,tomber,17
bien,bien,60
",",",",p
ça,ça,52
m',je,51
évitera,éviter,15
de,de,81
vous,vous,51
écrire,écrire,14
/…,/…,P
j',je,51
en,en,52
ai,avoir,17
assez,assez,60
et,et,82
je,je,51
pars,partir,17
/.,/.,P
-,-,p
comment,comment,60
",",",",p
vous,vous,51
partez,partir,17
/?,/?,P
oui,oui,60
",",",",p
je,je,51
pars,partir,17
ce,ce,74
soir,soir,21
",",",",p
je,je,51
vais,aller,17
m',je,51
installer,installer,14
à,à,81
Naples,Naples,20
",",",",p
où,où,60
je,je,51
passerai,passer,15
l',le,71
hiver,hiver,21
/.,/.,P
“,“,p
puis,puis,60
",",",",p
lorsqu',lorsque,83
il,il,51
eut,avoir,19
",",",",p
d',de,81
un,un,71
geste,geste,21
",",",",p
renvoyé,renvoyer,12
le,le,71
valet,valet,21
de,de,81
chambre,chambre,22
:,:,p
“,“,p
si,si,83
vous,vous,51
croyez,croire,17
que,que,83
ça,ça,52
m',je,51
amuse,amuser,17
d',de,81
avoir,avoir,14
",",",",p
depuis,depuis,81
six,six,72
mois,mois,21
",",",",p
un,un,71
père,père,21
à,à,81
la,le,71
Conciergerie,Conciergerie,20
/!,/!,P
je,je,51
ne,ne,60
vais,aller,17
certainement,certainement,60
pas,pas,60
rester,rester,14
pour,pour,81
le,le,52
voir,voir,14
en,en,81
correctionnelle,correctionnelle,22
/.,/.,P
moi,moi,51
qui,qui,52
déteste,détester,17
les,le,71
voyages,voyage,21
/!,/!,P
enfin,enfin,60
",",",",p
il,il,51
fait,faire,17
beau,beau,60
là-bas,là-bas,60
",",",",p
j',je,51
emporte,emporter,17
à,à,81
peu,peu,60
près,près,81
l',le,71
indispensable,indispensable,30
",",",",p
je,je,51
ne,ne,60
m',je,51
ennuierai,ennuyer,15
peut-être,peut-être,60
pas,pas,60
trop,trop,60
/.,/.,P
“,“,p
elle,il,51
le,le,52
regardait,regarder,18
",",",",p
si,si,60
correct,correct,30
",",",",p
si,si,60
joli,joli,30
;,;,p
elle,il,51
regardait,regarder,18
les,le,71
malles,malle,22
débordantes,débordant,30
",",",",p
où,où,60
pas,pas,60
un,un,71
chiffon,chiffon,21
d',de,81
épouse,épouse,22
ni,ni,82
de,de,81
maîtresse,maîtresse,22
ne,ne,60
traînait,traîner,18
",",",",p
où,où,60
il,il,51
n',ne,60
y,y,52
avait,avoir,18
que,que,83
le,le,71
culte,culte,21
de,de,81
lui-même,lui-même,51
;,;,p
et,et,82
elle,il,51
osa,oser,19
pourtant,pourtant,60
se,se,51
risquer,risquer,14
/.,/.,P
“,“,p
moi,moi,51
qui,qui,52
venais,venir,18
encore,encore,60
vous,vous,51
demander,demander,14
un,un,71
service,service,21
/…,/…,P
“,“,p
puis,puis,60
",",",",p
elle,il,51
conta,conter,19
l',le,71
histoire,histoire,22
",",",",p
Victor,Victor,20
bandit,bandit,21
",",",",p
violant,violer,13
et,et,82
volant,voler,13
",",",",p
Victor,Victor,20
en,en,81
fuite,fuite,22
",",",",p
capable,capable,30
de,de,81
tous,tout,75
les,le,71
crimes,crime,21
/.,/.,P
“,“,p
nous,nous,51
ne,ne,60
pouvons,pouvoir,17
l',le,52
abandonner,abandonner,14
/.,/.,P
accompagnez,accompagner,17
moi,moi,51
",",",",p
unissons,unir,17
nos,notre,73
efforts,effort,21
/…,/…,P
il,il,51
ne,ne,60
la,le,52
laissa,laisser,19
pas,pas,60
finir,finir,14
",",",",p
livide,livide,30
",",",",p
pris,pris,31
d',de,81
un,un,71
petit,petit,21
tremblent,trembler,17
de,de,81
peur,peur,22
",",",",p
comme,comme,83
s',si,83
il,il,51
avait,avoir,18
senti,sentir,12
quelque,quelque,75
main,main,22
meurtrière,meurtrier,30
et,et,82
sale,sale,30
se,se,51
poser,poser,14
sur,sur,81
son,son,73
épaule,épaule,22
/.,/.,P
“,“,p
ah,ah,93
!,!,p
bien,bien,60
",",",",p
il,il,51
ne,ne,60
manquait,manquer,18
plus,plus,60
que,que,83
ça,ça,52
!,!,p
/…,/…,P
un,un,71
père,père,21
voleur,voleur,21
",",",",p
un,un,71
frère,frère,21
assassin,assassin,30
/…,/…,P
j',je,51
ai,avoir,17
trop,trop,60
tardé,tarder,12
",",",",p
je,je,51
voulais,vouloir,18
partir,partir,14
la,le,71
semaine,semaine,22
dernière,dernier,30
/.,/.,P
mais,mais,82
c',ce,52
est,être,17
abominable,abominable,30
",",",",p
abominable,abominable,30
",",",",p
de,de,81
mettre,mettre,14
un,un,71
homme,homme,21
tel,tel,75
que,que,83
moi,moi,51
dans,dans,81
une,un,71
situation,situation,22
pareille,pareil,30
/!,/!,P
alors,alors,60
",",",",p
comme,comme,83
elle,il,51
insistait,insister,18
",",",",p
il,il,51
devint,devenir,19
insolent,insolent,30
/.,/.,P
“,“,p
laissez,laisser,17
moi,moi,51
tranquille,tranquille,30
",",",",p
vous,vous,51
/!,/!,P
puisque,puisque,83
ça,ça,52
vous,vous,51
amuse,amuser,17
",",",",p
cette,ce,74
vie,vie,22
de,de,81
chagrins,chagrin,21
",",",",p
restez,rester,17
y,y,52
/.,/.,P
je,je,51
vous,vous,51
avais,avoir,18
prévenue,prévenir,12
",",",",p
c',ce,52
est,être,17
bien,bien,60
fait,faire,12
",",",",p
si,si,83
vous,vous,51
pleurez,pleurer,17
/…,/…,P
mais,mais,82
moi,moi,51
voyez,voir,17
vous,vous,51
",",",",p
plutôt,plutôt,60
que,que,83
de,de,81
donner,donner,14
un,un,52
de,de,81
mes,mon,73
cheveux,cheveu,21
",",",",p
je,je,51
balaierais,balayer,16
au,à,81
au,le,71
ruisseau,ruisseau,21
tout,tout,75
ce,ce,74
vilain,vilain,30
monde,monde,21
/.,/.,P
“,“,p
elle,il,51
s',se,51
était,être,18
levée,lever,12
/.,/.,P
“,“,p
adieu,adieu,21
donc,donc,82
/!,/!,P
adieu,adieu,21
/!,/!,P
et,et,82
",",",",p
en,en,81
se,se,51
retirant,retirer,13
",",",",p
elle,il,51
le,le,52
vit,voir,19
qui,qui,52
rappelait,rappeler,18
le,le,71
valet,valet,21
de,de,81
chambre,chambre,22
et,et,82
qui,qui,52
assistait,assister,18
au,à,81
au,le,71
soigneux,soigneux,30
emballage,emballage,21
de,de,81
son,son,73
nécessaire,nécessaire,21
de,de,81
toilette,toilette,22
",",",",p
un,un,71
nécessaire,nécessaire,21
dont,dont,52
toutes,tout,75
les,le,71
pièces,pièce,22
en,en,81
vermeil,vermeil,21
étaient,être,18
du,de,81
du,le,71
plus,plus,60
galant,galant,30
travail,travail,21
",",",",p
la,le,71
cuvette,cuvette,22
surtout,surtout,60
",",",",p
gravée,gravé,31
d',de,81
une,un,71
ronde,ronde,22
d',de,81
amours,amour,21
/.,/.,P
pendant,pendant,81
que,que,83
celui-ci,celui-ci,52
s',se,51
en,en,52
allait,aller,18
vivre,vivre,14
d',de,81
oubli,oubli,21
et,et,82
de,de,81
paresse,paresse,22
",",",",p
sous,sous,81
le,le,71
clair,clair,30
soleil,soleil,21
de,de,81
Naples,Naples,20
",",",",p
elle,il,51
eut,avoir,19
brusquement,brusquement,60
la,le,71
vision,vision,22
de,de,81
l',le,71
autre,autre,52
",",",",p
rôdant,rôder,13
un,un,71
soir,soir,21
de,de,81
noir,noir,30
dégel,dégel,21
",",",",p
affamé,affamé,31
",",",",p
un,un,71
couteau,couteau,21
au,à,81
au,le,71
poing,poing,21
",",",",p
dans,dans,81
quelque,quelque,75
ruelle,ruelle,22
écartée,écarté,31
de,de,81
la,le,71
Villette,Villette,20
ou,ou,82
de,de,81
Charonne,Charonne,20
/.,/.,P
n',ne,60
était,être,18
ce,ce,52
pas,pas,60
la,le,71
réponse,réponse,22
à,à,81
cette,ce,74
question,question,22
de,de,81
savoir,savoir,14
si,si,83
l',le,71
argent,argent,21
n',ne,60
est,être,17
point,point,60
l',le,71
éducation,éducation,22
",",",",p
la,le,71
santé,santé,22
",",",",p
l',le,71
intelligence,intelligence,22
/?,/?,P
puisque,puisque,83
la,le,71
même,même,75
boue,boue,22
humaine,humain,30
reste,rester,17
dessous,dessous,60
",",",",p
toute,tout,75
la,le,71
civilisation,civilisation,22
se,se,51
réduit,réduire,17
elle,il,51
à,à,81
cette,ce,74
supériorité,supériorité,22
de,de,81
sentir,sentir,14
bon,bon,60
et,et,82
de,de,81
bien,bien,60
vivre,vivre,14
/?,/?,P
lorsqu',lorsque,83
elle,il,51
arriva,arriver,19
à,à,81
l',le,71
oeuvre,oeuvre,22
du,de,81
du,le,71
travail,travail,21
",",",",p
madame,madame,22
Caroline,Caroline,20
éprouva,éprouver,19
une,un,71
singulière,singulier,30
sensation,sensation,22
de,de,81
révolte,révolte,22
contre,contre,81
le,le,71
luxe,luxe,21
énorme,énorme,30
de,de,81
l',le,71
établissement,établissement,21
/.,/.,P
à,à,81
quoi,quoi,52
bon,bon,60
ces,ce,74
deux,deux,72
ailes,aile,22
majestueuses,majestueux,30
",",",",p
le,le,71
logis,logis,21
des,de,81
des,le,71
garçons,garçon,21
et,et,82
le,le,71
logis,logis,21
des,de,81
des,le,71
filles,fille,22
",",",",p
reliés,relié,31
par,par,81
le,le,71
pavillon,pavillon,21
monumental,monumental,30
de,de,81
l',le,71
administration,administration,22
?,?,p
à,à,81
quoi,quoi,52
bon,bon,60
les,le,71
préaux,préau,21
grands,grand,30
comme,comme,83
des,de,81
des,le,71
parcs,parc,21
",",",",p
les,le,71
faïences,faïence,22
des,de,81
des,le,71
cuisines,cuisine,22
",",",",p
les,le,71
marbres,marbre,21
des,de,81
des,le,71
réfectoires,réfectoire,21
",",",",p
les,le,71
escaliers,escalier,21
",",",",p
les,le,71
couloirs,couloir,21
",",",",p
vastes,vaste,30
à,à,81
desservir,desservir,14
un,un,71
palais,palais,21
?,?,p
à,à,81
quoi,quoi,52
bon,bon,60
toute,tout,75
cette,ce,74
charité,charité,22
grandiose,grandiose,30
",",",",p
si,si,83
l',l',94
on,on,51
ne,ne,60
pouvait,pouvoir,18
",",",",p
dans,dans,81
ce,ce,74
milieu,milieu,21
large,large,30
et,et,82
salubre,salubre,30
",",",",p
redresser,redresser,14
un,un,71
être,être,21
mal,mal,60
venu,venu,31
",",",",p
faire,faire,14
d',de,81
un,un,71
enfant,enfant,21
perverti,perverti,31
un,un,71
homme,homme,21
bien,bien,60
portant,portant,30
",",",",p
ayant,avoir,13
la,le,71
droite,droit,30
raison,raison,22
de,de,81
la,le,71
santé,santé,22
/?,/?,P
tout,tout,60
de,de,81
suite,suite,22
",",",",p
elle,il,51
se,se,51
rendit,rendre,19
chez,chez,81
le,le,71
directeur,directeur,21
",",",",p
le,le,52
pressa,presser,19
de,de,81
questions,question,22
",",",",p
voulut,vouloir,19
connaître,connaître,14
les,le,71
moindres,moindre,30
détails,détail,21
/.,/.,P
mais,mais,82
le,le,71
drame,drame,21
restait,rester,18
obscur,obscur,30
",",",",p
il,il,51
ne,ne,60
put,pouvoir,19
que,que,83
lui,lui,51
répéter,répéter,14
ce,ce,52
qu',que,52
elle,il,51
savait,savoir,18
déjà,déjà,60
par,par,81
la,le,71
princesse,princesse,22
/.,/.,P
depuis,depuis,81
la,le,71
veille,veille,22
",",",",p
les,le,71
recherches,recherche,22
avaient,avoir,18
continué,continuer,12
",",",",p
dans,dans,81
la,le,71
maison,maison,22
et,et,82
aux,à,81
aux,le,71
alentours,alentour,21
",",",",p
sans,sans,81
amener,amener,14
le,le,71
moindre,moindre,30
résultat,résultat,21
/.,/.,P
Victor,Victor,20
",",",",p
déjà,déjà,60
",",",",p
était,être,18
loin,loin,60
",",",",p
galopait,galoper,18
là-bas,là-bas,60
",",",",p
par,par,81
la,le,71
ville,ville,22
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
l',le,71
effrayant,effrayant,30
inconnu,inconnu,21
/.,/.,P
il,il,51
ne,ne,60
devait,devoir,18
pas,pas,60
avoir,avoir,14
d',de,81
argent,argent,21
",",",",p
car,car,82
le,le,71
porte-monnaie,porte-monnaie,21
d',de,81
Alice,Alice,20
",",",",p
qu',que,52
il,il,51
