11921
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Dixième extrait>,<>,<>
que,que,83
la,le,71
main,main,22
de,de,81
Forestier,Forestier,20
pouvait,pouvoir,18
seule,seul,30
l',le,52
aider,aider,14
dans,dans,81
sa,son,73
route,route,22
/.,/.,P
il,il,51
ne,ne,60
parla,parler,19
donc,donc,82
plus,plus,60
des,de,81
des,le,71
souvenirs,souvenirs,21
d',de,81
un,un,71
chasseur,chasseur,21
d',de,81
Afrique,Afrique,20
",",",",p
en,en,81
se,se,51
promettant,promettre,13
d',de,81
être,être,14
souple,souple,30
et,et,82
rusé,rusé,31
",",",",p
puisqu',puisque,83
il,il,51
le,le,52
fallait,falloir,18
",",",",p
et,et,82
de,de,81
faire,faire,14
",",",",p
en,en,81
attendant,attendre,13
mieux,mieux,60
",",",",p
son,son,73
métier,métier,21
de,de,81
reporter,reporter,21
avec,avec,81
zèle,zèle,21
/.,/.,P
il,il,51
connut,connaître,19
les,le,71
coulisses,coulisse,22
des,de,81
des,le,71
théâtres,théâtre,21
et,et,82
celles,celui,52
de,de,81
la,le,71
politique,politique,22
",",",",p
les,le,71
corridors,corridor,21
et,et,82
le,le,71
vestibule,vestibule,21
des,de,81
des,le,71
hommes,homme,21
d',de,81
Etat,état,21
et,et,82
de,de,81
la,le,71
chambre,chambre,22
des,de,81
des,le,71
députés,député,21
",",",",p
les,le,71
figures,figure,22
importantes,important,30
des,de,81
des,le,71
attachés,attaché,21
de,de,81
cabinet,cabinet,21
et,et,82
les,le,71
mines,mine,22
renfrognées,renfrogné,31
des,de,81
des,le,71
huissiers,huissier,21
endormis,endormi,31
/.,/.,P
il,il,51
eut,avoir,19
des,de,81
des,le,71
rapports,rapport,21
continus,continu,30
avec,avec,81
des,de,81
des,le,71
ministres,ministre,21
",",",",p
des,de,81
des,le,71
concierges,concierge,22
",",",",p
des,de,81
des,le,71
généraux,général,21
",",",",p
des,de,81
des,le,71
agents,agent,21
de,de,81
police,police,22
",",",",p
des,de,81
des,le,71
princes,prince,21
",",",",p
des,de,81
des,le,71
souteneurs,souteneur,21
",",",",p
des,de,81
des,le,71
courtisanes,courtisane,22
",",",",p
des,de,81
des,le,71
ambassadeurs,ambassadeur,21
",",",",p
des,de,81
des,le,71
évêques,évêque,21
",",",",p
des,de,81
des,le,71
proxénètes,proxénète,21
",",",",p
des,de,81
des,le,71
rastaquouères,rastaquouère,21
",",",",p
des,de,81
des,le,71
hommes,homme,21
du,de,81
du,le,71
monde,monde,21
",",",",p
des,de,81
des,le,71
grecs,grec,21
",",",",p
des,de,81
des,le,71
cochers,cocher,21
de,de,81
fiacre,fiacre,21
",",",",p
des,de,81
des,le,71
garçons,garçon,21
de,de,81
café,café,21
et,et,82
bien,bien,60
d',de,81
autres,autre,52
",",",",p
étant,être,13
devenu,devenir,12
l',le,71
ami,ami,21
intéressé,intéressé,31
et,et,82
indifférent,indifférent,30
de,de,81
tous,tout,75
ces,ce,74
gens,gens,21
",",",",p
les,le,52
confondant,confondre,13
dans,dans,81
son,son,73
estime,estime,22
",",",",p
les,le,52
toisant,toiser,13
à,à,81
la,le,71
même,même,75
mesure,mesure,22
;,;,p
les,le,52
jugeant,juger,13
avec,avec,81
le,le,71
même,même,75
oeil,oeil,21
",",",",p
à,à,81
forcé,forcé,31
de,de,81
les,le,52
voir,voir,14
tous,tout,75
les,le,71
jours,jour,21
",",",",p
à,à,81
toute,tout,75
heure,heure,22
",",",",p
sans,sans,81
transition,transition,22
d',de,81
esprit,esprit,21
",",",",p
et,et,82
de,de,81
parler,parler,14
avec,avec,81
eux,ils,51
tous,tout,52
des,de,81
des,le,71
mêmes,même,75
affaires,affaire,22
concernant,concerner,13
son,son,73
métier,métier,21
/.,/.,P
il,il,51
se,se,51
comparait,comparer,18
lui-même,lui-même,51
à,à,81
un,un,71
homme,homme,21
qui,qui,52
goûterait,goûter,16
",",",",p
coup,coup,21
sur,sur,81
coup,coup,21
",",",",p
les,le,71
échantillons,échantillon,21
de,de,81
tous,tout,75
les,le,71
vins,vin,21
et,et,82
ne,ne,60
distinguerait,distinguer,16
bientôt,bientôt,60
plus,plus,60
le,le,71
Château-Margaux,Château Margaux,20
de,de,81
l',le,71
Argenteuil,Argenteuil,20
/.,/.,P
il,il,51
devint,devenir,19
en,en,81
peu,peu,60
de,de,81
temps,temps,21
un,un,71
remarquable,remarquable,30
reporter,reporter,21
",",",",p
sûr,sûr,30
de,de,81
ses,son,73
informations,information,22
",",",",p
rusé,rusé,31
",",",",p
rapide,rapide,30
",",",",p
subtil,subtil,30
",",",",p
une,un,71
vraie,vrai,30
valeur,valeur,22
pour,pour,81
le,le,71
journal,journal,21
",",",",p
comme,comme,83
disait,dire,18
le,le,71
père,père,21
Walter,Walter,20
",",",",p
qui,qui,52
s',se,51
y,y,52
connaissait,connaître,18
en,en,81
rédacteurs,rédacteur,21
/.,/.,P
cependant,cependant,82
",",",",p
comme,comme,83
il,il,51
ne,ne,60
touchait,toucher,18
que,que,83
dix,dix,72
centimes,centime,21
la,le,71
ligne,ligne,22
",",",",p
plus,plus,60
ses,son,73
deux,deux,72
cents,cent,72
francs,franc,21
de,de,81
fixe,fixe,21
",",",",p
et,et,82
comme,comme,83
la,le,71
vie,vie,22
de,de,81
boulevard,boulevard,21
",",",",p
la,le,71
vie,vie,22
de,de,81
café,café,21
",",",",p
la,le,71
vie,vie,22
de,de,81
restaurant,restaurant,21
coûte,coûter,17
cher,cher,60
",",",",p
il,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
le,le,71
sou,sou,21
et,et,82
se,se,51
désolait,désoler,18
de,de,81
sa,son,73
misère,misère,22
/.,/.,P
c',ce,52
est,être,17
un,un,71
truc,truc,21
à,à,81
saisir,saisir,14
",",",",p
pensait,penser,18
il,il,51
",",",",p
en,en,81
voyant,voir,13
certains,certain,75
confrères,confrère,21
aller,aller,14
la,le,71
poche,poche,22
pleine,plein,30
d',de,81
or,or,21
",",",",p
sans,sans,81
jamais,jamais,60
comprendre,comprendre,14
quels,quel,75
moyens,moyen,21
secrets,secret,30
ils,ils,51
pouvaient,pouvoir,18
bien,bien,60
employer,employer,14
pour,pour,81
se,se,51
procurer,procurer,14
cette,ce,74
aisance,aisance,22
/.,/.,P
et,et,82
il,il,51
soupçonnait,soupçonner,18
avec,avec,81
envie,envie,22
des,de,81
des,le,71
procédés,procédé,21
inconnus,inconnu,30
et,et,82
suspects,suspect,30
",",",",p
des,de,81
des,le,71
services,service,21
rendus,rendu,31
",",",",p
toute,tout,75
une,un,71
contrebande,contrebande,22
acceptée,accepté,31
et,et,82
consentie,consenti,31
/.,/.,P
or,or,82
il,il,51
lui,lui,51
fallait,falloir,18
pénétrer,pénétrer,14
le,le,71
mystère,mystère,21
",",",",p
entrer,entrer,14
dans,dans,81
l',le,71
association,association,22
tacite,tacite,30
",",",",p
s',se,51
imposer,imposer,14
aux,à,81
aux,le,71
camarades,camarade,21
qui,qui,52
partageaient,partager,18
sans,sans,81
lui,lui,51
/.,/.,P
et,et,82
il,il,51
rêvait,rêver,18
souvent,souvent,60
le,le,71
soir,soir,21
",",",",p
en,en,81
regardant,regarder,13
de,de,81
sa,son,73
fenêtre,fenêtre,22
passer,passer,14
les,le,71
trains,train,21
",",",",p
aux,à,81
aux,le,71
procédés,procédé,21
qu',que,52
il,il,51
pourrait,pouvoir,16
employer,employer,14
/.,/.,P
<V>,<>,<>
deux,deux,72
mois,mois,21
s',se,51
étaient,être,18
écoulés,écouler,12
;,;,p
on,on,51
touchait,toucher,18
à,à,81
septembre,septembre,21
",",",",p
et,et,82
la,le,71
fortune,fortune,22
rapide,rapide,30
que,que,52
Duroy,Duroy,20
avait,avoir,18
espérée,espérer,12
lui,lui,51
semblait,sembler,18
bien,bien,60
lente,lent,30
à,à,81
venir,venir,14
/.,/.,P
il,il,51
s',se,51
inquiétait,inquiéter,18
surtout,surtout,60
de,de,81
la,le,71
médiocrité,médiocrité,22
morale,moral,30
de,de,81
sa,son,73
situation,situation,22
et,et,82
ne,ne,60
voyait,voir,18
point,point,60
par,par,81
quelle,quel,75
voie,voie,22
il,il,51
escaladerait,escalader,16
les,le,71
hauteurs,hauteur,22
où,où,60
l',l',94
on,on,51
trouve,trouver,17
la,le,71
considération,considération,22
",",",",p
la,le,71
puissance,puissance,22
et,et,82
l',le,71
argent,argent,21
/.,/.,P
il,il,51
se,se,51
sentait,sentir,18
enfermé,enfermé,31
dans,dans,81
ce,ce,74
métier,métier,21
médiocre,médiocre,30
de,de,81
reporter,reporter,21
",",",",p
muré,muré,31
là-dedans,là-dedans,60
à,à,81
n',ne,60
en,en,52
pouvoir,pouvoir,14
sortir,sortir,14
/.,/.,P
on,on,51
l',le,52
appréciait,apprécier,18
",",",",p
mais,mais,82
on,on,51
l',le,52
estimait,estimer,18
selon,selon,81
son,son,73
rang,rang,21
/.,/.,P
Forestier,Forestier,20
même,même,30
",",",",p
à,à,81
qui,qui,52
il,il,51
rendait,rendre,18
mille,mille,72
services,service,21
",",",",p
ne,ne,60
l',le,52
invitait,inviter,18
plus,plus,60
à,à,81
dîner,dîner,14
",",",",p
le,le,52
traitait,traiter,18
en,en,81
tout,tout,52
comme,comme,83
un,un,71
inférieur,inférieur,30
",",",",p
bien,bien,60
qu',que,83
il,il,51
le,le,52
tutoyât,tutoyer,18
comme,comme,83
un,un,71
ami,ami,21
/.,/.,P
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
il,il,51
est,être,17
vrai,vrai,30
",",",",p
Duroy,Duroy,20
",",",",p
saisissant,saisir,13
une,un,71
occasion,occasion,22
",",",",p
plaçait,placer,18
un,un,71
bout,bout,21
d',de,81
article,article,21
",",",",p
et,et,82
ayant,avoir,13
acquis,acquérir,12
par,par,81
ses,son,73
échos,écho,21
une,un,71
souplesse,souplesse,22
de,de,81
plume,plume,22
et,et,82
un,un,71
tact,tact,21
qui,qui,52
lui,lui,51
manquaient,manquer,18
lorsqu',lorsque,83
il,il,51
avait,avoir,18
écrit,écrire,12
sa,son,73
seconde,second,72
chronique,chronique,22
sur,sur,81
l',le,71
Algérie,Algérie,20
",",",",p
il,il,51
ne,ne,60
courait,courir,18
plus,plus,60
aucun,aucun,75
risque,risque,21
de,de,81
voir,voir,14
refuser,refuser,14
ses,son,73
actualités,actualité,22
/.,/.,P
mais,mais,82
de,de,81
là,là,60
à,à,81
faire,faire,14
des,de,81
des,le,71
chroniques,chronique,22
au,à,81
au,le,71
gré,gré,21
de,de,81
sa,son,73
fantaisie,fantaisie,22
ou,ou,82
à,à,81
traiter,traiter,14
",",",",p
en,en,81
juge,juge,21
",",",",p
les,le,71
questions,question,22
politiques,politique,30
",",",",p
il,il,51
y,y,52
avait,avoir,18
autant,autant,60
de,de,81
différence,différence,22
qu',que,83
à,à,81
conduire,conduire,14
dans,dans,81
les,le,71
avenues,avenue,22
du,de,81
du,le,71
bois,bois,21
",",",",p
étant,être,13
cocher,cocher,21
",",",",p
ou,ou,82
à,à,81
conduire,conduire,14
",",",",p
étant,être,13
maître,maître,21
/.,/.,P
ce,ce,52
qui,qui,52
l',le,52
humiliait,humilier,18
surtout,surtout,60
",",",",p
c',ce,52
était,être,18
de,de,81
sentir,sentir,14
fermées,fermé,31
les,le,71
portes,porte,22
du,de,81
du,le,71
monde,monde,21
",",",",p
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
de,de,81
relations,relation,22
à,à,81
traiter,traiter,14
en,en,81
égal,égal,21
",",",",p
de,de,81
ne,ne,60
pas,pas,60
entrer,entrer,14
dans,dans,81
l',le,71
intimité,intimité,22
des,de,81
des,le,71
femmes,femme,22
",",",",p
bien,bien,60
que,que,83
plusieurs,plusieurs,75
actrices,actrice,22
connues,connu,31
l',le,52
eussent,avoir,18
parfois,parfois,60
accueilli,accueillir,12
avec,avec,81
une,un,71
familiarité,familiarité,22
intéressée,intéressé,31
/.,/.,P
il,il,51
savait,savoir,18
d',de,81
ailleurs,ailleurs,60
",",",",p
par,par,81
expérience,expérience,22
",",",",p
qu',que,83
elles,ils,51
éprouvaient,éprouver,18
pour,pour,81
lui,lui,51
",",",",p
toutes,tout,52
",",",",p
mondaines,mondain,30
ou,ou,82
cabotines,cabotiner,17
;,;,p
un,un,71
entraînement,entraînement,21
singulier,singulier,30
",",",",p
une,un,71
sympathie,sympathie,22
instantanée,instantané,30
",",",",p
et,et,82
il,il,51
ressentait,ressentir,18
",",",",p
de,de,81
ne,ne,60
point,point,60
connaître,connaître,14
celles,celui,52
dont,dont,52
pourrait,pouvoir,16
dépendre,dépendre,14
son,son,73
avenir,avenir,21
",",",",p
une,un,71
impatience,impatience,22
de,de,81
cheval,cheval,21
entravé,entravé,31
/.,/.,P
bien,bien,60
souvent,souvent,60
il,il,51
avait,avoir,18
songé,songer,12
à,à,81
faire,faire,14
une,un,71
visite,visite,22
à,à,81
madame,madame,22
Forestier,Forestier,20
;,;,p
mais,mais,82
la,le,71
pensée,pensée,22
de,de,81
leur,leur,73
dernière,dernier,30
rencontre,rencontre,22
l',le,52
arrêtait,arrêter,18
",",",",p
l',le,52
humiliait,humilier,18
;,;,p
et,et,82
il,il,51
attendait,attendre,18
",",",",p
en,en,81
outre,outre,81
",",",",p
d',de,81
y,y,52
être,être,14
engagé,engager,12
par,par,81
le,le,71
mari,mari,21
/.,/.,P
alors,alors,60
le,le,71
souvenir,souvenir,21
lui,lui,51
vint,venir,19
de,de,81
madame,madame,22
de,de,81
Marelle,Marelle,20
",",",",p
et,et,82
",",",",p
se,se,51
rappelant,rappeler,13
qu',que,83
elle,il,51
l',le,52
avait,avoir,18
prié,prier,12
de,de,81
la,le,52
venir,venir,14
voir,voir,14
",",",",p
il,il,51
se,se,51
présenta,présenter,19
chez,chez,81
elle,il,51
",",",",p
un,un,71
après-midi,après-midi,21
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
rien,rien,52
à,à,81
faire,faire,14
/.,/.,P
“,“,p
j',je,51
y,y,52
suis,être,17
toujours,toujours,60
jusqu',jusque,81
à,à,81
trois,trois,72
heures,heure,22
“,“,p
avait,avoir,18
elle,il,51
dit,dire,12
/.,/.,P
il,il,51
sonnait,sonner,18
à,à,81
sa,son,73
porte,porte,22
",",",",p
à,à,81
deux,deux,72
heures,heure,22
et,et,82
demie,demi,30
/.,/.,P
elle,il,51
habitait,habiter,18
rue,rue,22
de,de,81
Verneuil,Verneuil,20
",",",",p
au,à,81
au,le,71
quatrième,quatrième,72
/.,/.,P
au,à,81
au,le,71
bruit,bruit,21
du,de,81
du,le,71
timbre,timbre,21
",",",",p
une,un,71
bonne,bonne,22
vint,venir,19
ouvrir,ouvrir,14
",",",",p
une,un,71
petite,petit,30
servante,servante,22
dépeignée,dépeigné,31
qui,qui,52
nouait,nouer,18
son,son,73
bonnet,bonnet,21
en,en,81
répondant,répondre,13
:,:,p
-,-,p
oui,oui,60
",",",",p
madame,madame,22
est,être,17
là,là,60
",",",",p
mais,mais,82
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
si,si,83
elle,il,51
est,être,17
levée,lever,12
/.,/.,P
et,et,82
elle,il,51
poussa,pousser,19
la,le,71
porte,porte,22
du,de,81
du,le,71
salon,salon,21
qui,qui,52
n',ne,60
était,être,18
point,point,60
fermée,fermer,12
/.,/.,P
Duroy,Duroy,20
entra,entrer,19
/.,/.,P
la,le,71
pièce,pièce,22
était,être,18
assez,assez,60
grande,grand,30
",",",",p
peu,peu,60
meublée,meublé,31
et,et,82
d',de,81
aspect,aspect,21
négligé,négligé,31
/.,/.,P
les,le,71
fauteuils,fauteuil,21
",",",",p
défraîchis,défraîchi,31
et,et,82
vieux,vieux,30
",",",",p
s',se,51
alignaient,aligner,18
le,le,71
long,long,21
des,de,81
des,le,71
murs,mur,21
",",",",p
selon,selon,81
l',le,71
ordre,ordre,21
établi,établi,31
par,par,81
la,le,71
domestique,domestique,22
",",",",p
car,car,82
on,on,51
ne,ne,60
sentait,sentir,18
en,en,81
rien,rien,52
le,le,71
soin,soin,21
élégant,élégant,30
d',de,81
une,un,71
femme,femme,22
qui,qui,52
aime,aimer,17
le,le,52
chez,chez,81
soi,soi,51
/.,/.,P
quatre,quatre,72
pauvres,pauvre,30
tableaux,tableau,21
",",",",p
représentant,représenter,13
une,un,71
barque,barque,22
sur,sur,81
un,un,71
fleuve,fleuve,21
",",",",p
un,un,71
navire,navire,21
sur,sur,81
la,le,71
mer,mer,22
",",",",p
un,un,71
moulin,moulin,21
dans,dans,81
une,un,71
plaine,plaine,22
et,et,82
un,un,71
bûcheron,bûcheron,21
dans,dans,81
un,un,71
bois,bois,21
",",",",p
pendaient,pendre,18
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
quatre,quatre,72
panneaux,panneau,21
",",",",p
au,à,81
au,le,71
bout,bout,21
de,de,81
cordons,cordon,21
inégaux,inégal,30
",",",",p
et,et,82
tous,tout,75
les,le,71
quatre,quatre,72
accrochés,accroché,31
de,de,81
travers,travers,21
/.,/.,P
on,on,51
devinait,deviner,18
que,que,83
depuis,depuis,81
longtemps,longtemps,60
ils,ils,51
restaient,rester,18
penchés,penché,31
ainsi,ainsi,60
sous,sous,81
l',le,71
oeil,oeil,21
négligent,négligent,30
d',de,81
une,un,71
indifférente,indifférent,30
/.,/.,P
Duroy,Duroy,20
s',se,51
assit,asseoir,19
et,et,82
attendit,attendre,19
/.,/.,P
il,il,51
attendit,attendre,19
longtemps,longtemps,60
/.,/.,P
puis,puis,60
une,un,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
et,et,82
madame,madame,22
de,de,81
Marelle,Marelle,20
entra,entrer,19
en,en,81
courant,courir,13
",",",",p
vêtue,vêtu,31
d',de,81
un,un,71
peignoir,peignoir,21
japonais,japonais,30
en,en,81
soie,soie,22
rose,rose,30
où,où,60
étaient,être,18
brodés,broder,12
des,de,81
des,le,71
paysages,paysage,21
d',de,81
or,or,21
",",",",p
des,de,81
des,le,71
fleurs,fleur,22
bleues,bleu,30
et,et,82
des,de,81
des,le,71
oiseaux,oiseau,21
blancs,blanc,30
et,et,82
elle,il,51
s',se,51
écria,écrier,19
:,:,p
-,-,p
figurez,figurer,17
vous,vous,51
que,que,83
j',je,51
étais,être,18
encore,encore,60
couchée,coucher,12
/.,/.,P
que,que,52
c',ce,52
est,être,17
gentil,gentil,30
à,à,81
vous,vous,51
de,de,81
venir,venir,14
me,je,51
voir,voir,14
/.,/.,P
j',je,51
étais,être,18
persuadée,persuader,12
que,que,83
vous,vous,51
m',je,51
aviez,avoir,18
oubliée,oublier,12
/.,/.,P
elle,il,51
tendit,tendre,19
ses,son,73
deux,deux,72
mains,main,22
d',de,81
un,un,71
geste,geste,21
ravi,ravi,31
",",",",p
et,et,82
Duroy,Duroy,20
",",",",p
que,que,52
l',le,71
aspect,aspect,21
médiocre,médiocre,30
de,de,81
l',le,71
appartement,appartement,21
mettait,mettre,18
à,à,81
son,son,73
aise,aise,22
",",",",p
les,le,52
ayant,avoir,13
prises,prendre,12
",",",",p
en,en,52
baisa,baiser,19
une,un,52
",",",",p
comme,comme,83
il,il,51
avait,avoir,18
vu,voir,12
faire,faire,14
à,à,81
Norbert,Norbert,20
de,de,81
Varenne,Varenne,20
/.,/.,P
elle,il,51
le,le,52
pria,prier,19
de,de,81
s',se,51
asseoir,asseoir,14
;,;,p
puis,puis,60
",",",",p
le,le,52
regardant,regarder,13
des,de,81
des,le,71
pieds,pied,21
à,à,81
la,le,71
tête,tête,22
:,:,p
-,-,p
comme,comme,83
vous,vous,51
êtes,être,17
changé,changer,12
/!,/!,P
vous,vous,51
avez,avoir,17
gagné,gagner,12
de,de,81
l',le,71
air,air,21
/.,/.,P
Paris,Paris,20
vous,vous,51
fait,faire,17
du,de,81
du,le,71
bien,bien,21
/.,/.,P
allons,aller,17
",",",",p
racontez,raconter,17
moi,moi,51
les,le,71
nouvelles,nouvelle,22
/.,/.,P
et,et,82
ils,ils,51
se,se,51
mirent,mettre,19
à,à,81
bavarder,bavarder,14
tout,tout,60
de,de,81
suite,suite,22
",",",",p
comme,comme,83
s',si,83
ils,ils,51
eussent,avoir,18
été,être,12
d',de,81
anciennes,ancien,30
connaissances,connaissance,22
",",",",p
sentant,sentir,13
naître,naître,14
entre,entre,81
eux,ils,51
une,un,71
familiarité,familiarité,22
instantanée,instantané,30
",",",",p
sentant,sentir,13
s',se,51
établir,établir,14
un,un,52
de,de,81
ces,ce,74
courants,courant,21
de,de,81
confiance,confiance,22
",",",",p
d',de,81
intimité,intimité,22
et,et,82
d',de,81
affection,affection,22
qui,qui,52
font,faire,17
amis,ami,30
",",",",p
en,en,81
cinq,cinq,72
minutes,minute,22
",",",",p
deux,deux,72
êtres,être,21
de,de,81
même,même,75
caractère,caractère,21
et,et,82
de,de,81
même,même,75
race,race,22
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
la,le,71
jeune,jeune,30
femme,femme,22
s',se,51
interrompit,interrompre,19
",",",",p
et,et,82
s',se,51
étonnant,étonner,13
:,:,p
-,-,p
c',ce,52
est,être,17
drôle,drôle,30
comme,comme,83
je,je,51
suis,être,17
avec,avec,81
vous,vous,51
/.,/.,P
il,il,51
me,je,51
semble,sembler,17
que,que,83
je,je,51
vous,vous,51
connais,connaître,17
depuis,depuis,81
dix,dix,72
ans,an,21
/.,/.,P
nous,nous,51
deviendrons,devenir,15
",",",",p
sans,sans,81
doute,doute,21
",",",",p
bons,bon,30
camarades,camarade,21
/.,/.,P
voulez,vouloir,17
vous,vous,51
/?,/?,P
il,il,51
répondit,répondre,19
:,:,p
-,-,p
mais,mais,82
",",",",p
certainement,certainement,60
",",",",p
-,-,p
avec,avec,81
un,un,71
sourire,sourire,21
qui,qui,52
en,en,52
disait,dire,18
plus,plus,60
/.,/.,P
il,il,51
la,le,52
trouvait,trouver,18
tout,tout,60
à,à,81
fait,fait,21
tentante,tentant,30
",",",",p
dans,dans,81
son,son,73
peignoir,peignoir,21
éclatant,éclatant,30
et,et,82
doux,doux,30
",",",",p
moins,moins,60
fine,fin,30
que,que,83
l',le,71
autre,autre,52
dans,dans,81
son,son,73
peignoir,peignoir,21
blanc,blanc,30
",",",",p
moins,moins,60
chatte,chatte,22
",",",",p
moins,moins,60
délicate,délicat,30
",",",",p
mais,mais,82
plus,plus,60
excitante,excitant,30
;,;,p
plus,plus,60
poivrée,poivré,31
/.,/.,P
quand,quand,83
il,il,51
sentait,sentir,18
près,près,81
de,de,81
lui,lui,51
madame,madame,22
Forestier,Forestier,20
",",",",p
avec,avec,81
son,son,73
sourire,sourire,21
immobile,immobile,30
et,et,82
gracieux,gracieux,30
qui,qui,52
attirait,attirer,18
et,et,82
arrêtait,arrêter,18
en,en,81
même,même,75
temps,temps,21
",",",",p
qui,qui,52
semblait,sembler,18
dire,dire,14
:,:,p
“,“,p
vous,vous,51
me,je,51
plaisez,plaire,17
“,“,p
et,et,82
aussi,aussi,60
:,:,p
“,“,p
prenez,prendre,17
garde,garde,22
“,“,p
",",",",p
dont,dont,52
on,on,51
ne,ne,60
comprenait,comprendre,18
jamais,jamais,60
le,le,71
sens,sens,21
véritable,véritable,30
",",",",p
il,il,51
éprouvait,éprouver,18
surtout,surtout,60
le,le,71
désir,désir,21
de,de,81
se,se,51
coucher,coucher,14
à,à,81
ses,son,73
pieds,pied,21
",",",",p
ou,ou,82
de,de,81
baiser,baiser,14
la,le,71
fine,fin,30
dentelle,dentelle,22
de,de,81
son,son,73
corsage,corsage,21
et,et,82
d',de,81
aspirer,aspirer,14
lentement,lentement,60
l',le,71
air,air,21
chaud,chaud,30
et,et,82
parfumé,parfumé,31
qui,qui,52
devait,devoir,18
sortir,sortir,14
de,de,81
là,là,60
",",",",p
glissant,glisser,13
entre,entre,81
les,le,71
seins,sein,21
/.,/.,P
auprès,auprès,60
de,de,81
madame,madame,22
de,de,81
Marelle,Marelle,20
",",",",p
il,il,51
sentait,sentir,18
en,en,81
lui,lui,51
un,un,71
désir,désir,21
plus,plus,60
brutal,brutal,30
",",",",p
plus,plus,60
précis,précis,30
",",",",p
un,un,71
désir,désir,21
qui,qui,52
frémissait,frémir,18
dans,dans,81
ses,son,73
mains,main,22
devant,devant,81
les,le,71
contours,contour,21
soulevés,soulevé,31
de,de,81
la,le,71
soie,soie,22
légère,léger,30
/.,/.,P
elle,il,51
parlait,parler,18
toujours,toujours,60
",",",",p
semant,semer,13
en,en,81
chaque,chaque,75
phrase,phrase,22
cet,ce,74
esprit,esprit,21
facile,facile,30
dont,dont,52
elle,il,51
avait,avoir,18
pris,prendre,12
l',le,71
habitude,habitude,22
",",",",p
comme,comme,83
un,un,71
ouvrier,ouvrier,21
saisit,saisir,17
le,le,71
tour,tour,21
de,de,81
main,main,22
qu',que,52
il,il,51
faut,falloir,17
pour,pour,81
accomplir,accomplir,14
une,un,71
besogne,besogne,22
réputée,réputé,31
difficile,difficile,30
et,et,82
dont,dont,52
s',se,51
étonnent,étonner,17
les,le,71
autres,autre,52
/.,/.,P
il,il,51
l',le,52
écoutait,écouter,18
",",",",p
pensant,penser,13
:,:,p
“,“,p
c',ce,52
est,être,17
bon,bon,30
à,à,81
retenir,retenir,14
tout,tout,75
ça,ça,52
/.,/.,P
on,on,51
écrirait,écrire,16
des,de,81
des,le,71
chroniques,chronique,22
parisiennes,parisien,30
charmantes,charmant,30
en,en,81
la,le,52
faisant,faire,13
bavarder,bavarder,14
sur,sur,81
les,le,71
événements,événement,21
du,de,81
du,le,71
jour,jour,21
/.,/.,P
“,“,p
mais,mais,82
on,on,51
frappa,frapper,19
doucement,doucement,60
",",",",p
tout,tout,60
doucement,doucement,60
à,à,81
la,le,71
porte,porte,22
par,par,81
laquelle,lequel,52
elle,il,51
était,être,18
venue,venir,12
;,;,p
et,et,82
elle,il,51
cria,crier,19
:,:,p
“,“,p
tu,tu,51
peux,pouvoir,17
entrer,entrer,14
",",",",p
mignonne,mignonne,22
“,“,p
/.,/.,P
la,le,71
petite,petit,30
fille,fille,22
parut,paraître,19
",",",",p
alla,aller,19
droit,droit,60
à,à,81
Duroy,Duroy,20
et,et,82
lui,lui,51
tendit,tendre,19
la,le,71
main,main,22
/.,/.,P
la,le,71
mère,mère,22
étonnée,étonné,31
murmura,murmurer,19
:,:,p
“,“,p
mais,mais,82
c',ce,52
est,être,17
une,un,71
conquête,conquête,22
/.,/.,P
je,je,51
ne,ne,60
la,le,52
reconnais,reconnaître,17
plus,plus,60
/.,/.,P
“,“,p
le,le,71
jeune,jeune,30
homme,homme,21
ayant,avoir,13
embrassé,embrasser,12
l',le,71
enfant,enfant,21
",",",",p
la,le,52
fit,faire,19
asseoir,asseoir,14
à,à,81
côté,côté,21
de,de,81
lui,lui,51
",",",",p
et,et,82
lui,lui,51
posa,poser,19
",",",",p
avec,avec,81
un,un,71
air,air,21
sérieux,sérieux,30
",",",",p
des,de,81
des,le,71
questions,question,22
gentilles,gentil,30
sur,sur,81
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
fait,faire,12
depuis,depuis,81
qu',que,83
ils,ils,51
ne,ne,60
s',se,51
étaient,être,18
vus,voir,12
/.,/.,P
elle,il,51
répondait,répondre,18
de,de,81
sa,son,73
petite,petit,30
voix,voix,22
de,de,81
flûte,flûte,22
",",",",p
avec,avec,81
son,son,73
air,air,21
grave,grave,30
de,de,81
grande,grand,30
personne,personne,22
/.,/.,P
la,le,71
pendule,pendule,22
sonna,sonner,19
trois,trois,72
heures,heure,22
/.,/.,P
le,le,71
journaliste,journaliste,21
se,se,51
leva,lever,19
/.,/.,P
-,-,p
venez,venir,17
souvent,souvent,60
",",",",p
demanda,demander,19
madame,madame,22
de,de,81
Marelle,Marelle,20
",",",",p
