12080
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-treizième extrait>,<>,<>
vous,vous,51
êtes,être,17
un,un,71
homme,homme,21
",",",",p
et,et,82
des,de,81
des,le,71
plus,plus,60
enragés,enragé,31
encore,encore,60
/!,/!,P
et,et,82
vous,vous,51
",",",",p
vous,vous,51
êtes,être,17
une,un,71
femme,femme,22
",",",",p
une,un,71
misérable,misérable,30
femme,femme,22
",",",",p
stupide,stupide,30
et,et,82
abrutie,abruti,31
/.,/.,P
ah,ah,93
!,!,p
vous,vous,51
avez,avoir,17
peur,peur,22
/!,/!,P
eh,eh,93
bien,bien,60
",",",",p
si,si,83
vous,vous,51
ne,ne,60
partez,partir,17
pas,pas,60
à,à,81
l',le,71
instant,instant,21
même,même,30
",",",",p
je,je,51
vous,vous,51
fais,faire,17
arrêter,arrêter,14
par,par,81
l',le,71
ordre,ordre,21
de,de,81
la,le,71
reine,reine,22
",",",",p
et,et,82
je,je,51
vous,vous,51
fais,faire,17
mettre,mettre,14
à,à,81
cette,ce,74
Bastille,Bastille,20
que,que,83
vous,vous,51
craignez,craindre,17
tant,tant,60
/.,/.,P
“,“,p
Bonacieux,Bonacieux,20
tomba,tomber,19
dans,dans,81
une,un,71
réflexion,réflexion,22
profonde,profond,30
",",",",p
il,il,51
pesa,peser,19
mûrement,mûrement,60
les,le,71
deux,deux,72
colères,colère,22
dans,dans,81
son,son,73
cerveau,cerveau,21
",",",",p
celle,celui,52
du,de,81
du,le,71
cardinal,cardinal,21
et,et,82
celle,celui,52
de,de,81
la,le,71
reine,reine,22
:,:,p
celle,celui,52
du,de,81
du,le,71
cardinal,cardinal,21
l',le,52
emporta,emporter,19
énormément,énormément,60
/.,/.,P
“,“,p
faites,faire,17
moi,moi,51
arrêter,arrêter,14
de,de,81
la,le,71
part,part,22
de,de,81
la,le,71
reine,reine,22
",",",",p
dit,dire,19
il,il,51
",",",",p
et,et,82
moi,moi,51
je,je,51
me,je,51
réclamerai,réclamer,15
de,de,81
son,son,73
éminence,éminence,22
/.,/.,P
“,“,p
pour,pour,81
le,le,71
coup,coup,21
",",",",p
madame,madame,22
Bonacieux,Bonacieux,20
vit,voir,19
qu',que,83
elle,il,51
avait,avoir,18
été,être,12
trop,trop,60
loin,loin,60
",",",",p
et,et,82
elle,il,51
fut,être,19
épouvantée,épouvanter,12
de,de,81
s',se,51
être,être,14
si,si,60
fort,fort,60
avancée,avancer,12
/.,/.,P
elle,il,51
contempla,contempler,19
un,un,71
instant,instant,21
avec,avec,81
effroi,effroi,21
cette,ce,74
figure,figure,22
stupide,stupide,30
",",",",p
d',de,81
une,un,71
résolution,résolution,22
invincible,invincible,30
",",",",p
comme,comme,83
celle,celui,52
des,de,81
des,le,71
sots,sot,21
qui,qui,52
ont,avoir,17
peur,peur,22
/.,/.,P
“,“,p
eh,eh,93
bien,bien,60
",",",",p
soit,soit,82
!,!,p
dit,dire,19
elle,il,51
/.,/.,P
peut-être,peut-être,60
",",",",p
au,à,81
au,le,71
bout,bout,21
du,de,81
du,le,71
compte,compte,21
",",",",p
avez,avoir,17
vous,vous,51
raison,raison,22
:,:,p
un,un,71
homme,homme,21
en,en,52
sait,savoir,17
plus,plus,60
long,long,30
que,que,83
les,le,71
femmes,femme,22
en,en,81
politique,politique,22
",",",",p
et,et,82
vous,vous,51
surtout,surtout,60
",",",",p
monsieur,monsieur,21
Bonacieux,Bonacieux,20
",",",",p
qui,qui,52
avez,avoir,17
causé,causer,12
avec,avec,81
le,le,71
cardinal,cardinal,21
/.,/.,P
et,et,82
cependant,cependant,82
",",",",p
il,il,51
est,être,17
bien,bien,60
dur,dur,30
",",",",p
ajouta,ajouter,19
t,t,94
elle,il,51
",",",",p
que,que,83
mon,mon,73
mari,mari,21
",",",",p
un,un,71
homme,homme,21
sur,sur,81
l',le,71
affection,affection,22
duquel,de,81
duquel,lequel,52
je,je,51
croyais,croire,18
pouvoir,pouvoir,14
compter,compter,14
",",",",p
me,je,51
traite,traiter,17
aussi,aussi,60
disgracieusement,disgracieusement,60
et,et,82
ne,ne,60
satisfasse,satisfaire,17
point,point,60
à,à,81
ma,mon,73
fantaisie,fantaisie,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
que,que,83
vos,votre,73
fantaisies,fantaisie,22
peuvent,pouvoir,17
mener,mener,14
trop,trop,60
loin,loin,60
",",",",p
reprit,reprendre,19
Bonacieux,Bonacieux,20
triomphant,triomphant,30
",",",",p
et,et,82
je,je,51
m',je,51
en,en,52
défie,défier,17
/.,/.,P
-,-,p
j',je,51
y,y,52
renoncerai,renoncer,15
donc,donc,82
",",",",p
dit,dire,19
la,le,71
jeune,jeune,30
femme,femme,22
en,en,81
soupirant,soupirer,13
;,;,p
c',ce,52
est,être,17
bien,bien,60
",",",",p
n',ne,60
en,en,52
parlons,parler,17
plus,plus,60
/.,/.,P
-,-,p
si,si,83
",",",",p
au,à,81
au,le,71
moins,moins,60
",",",",p
vous,vous,51
me,je,51
disiez,dire,18
quelle,quel,75
chose,chose,22
je,je,51
vais,aller,17
faire,faire,14
à,à,81
Londres,Londres,20
",",",",p
reprit,reprendre,19
Bonacieux,Bonacieux,20
",",",",p
qui,qui,52
se,se,51
rappelait,rappeler,18
un,un,71
peu,peu,60
tard,tard,60
que,que,83
Rochefort,Rochefort,20
lui,lui,51
avait,avoir,18
recommandé,recommander,12
d',de,81
essayer,essayer,14
de,de,81
surprendre,surprendre,14
les,le,71
secrets,secret,21
de,de,81
sa,son,73
femme,femme,22
/.,/.,P
-,-,p
il,il,51
est,être,17
inutile,inutile,30
que,que,83
vous,vous,51
le,le,52
sachiez,savoir,17
",",",",p
dit,dire,19
la,le,71
jeune,jeune,30
femme,femme,22
",",",",p
qu',que,83
une,un,71
défiance,défiance,22
instinctive,instinctif,30
repoussait,repousser,18
maintenant,maintenant,60
en,en,81
arrière,arrière,21
:,:,p
il,il,51
s',se,51
agissait,agir,18
d',de,81
une,un,71
bagatelle,bagatelle,22
comme,comme,83
en,en,52
désirent,désirer,17
les,le,71
femmes,femme,22
",",",",p
d',de,81
une,un,71
emplette,emplette,22
sur,sur,81
laquelle,lequel,52
il,il,51
y,y,52
avait,avoir,18
beaucoup,beaucoup,60
à,à,81
gagner,gagner,14
/.,/.,P
“,“,p
mais,mais,82
plus,plus,60
la,le,71
jeune,jeune,30
femme,femme,22
se,se,51
défendait,défendre,18
",",",",p
plus,plus,60
au,à,81
au,le,71
contraire,contraire,21
Bonacieux,Bonacieux,20
pensa,penser,19
que,que,83
le,le,71
secret,secret,21
qu',que,52
elle,il,51
refusait,refuser,18
de,de,81
lui,lui,51
confier,confier,14
était,être,18
important,important,30
/.,/.,P
il,il,51
résolut,résoudre,19
donc,donc,82
de,de,81
courir,courir,14
à,à,81
l',le,71
instant,instant,21
même,même,30
chez,chez,81
le,le,71
comte,comte,21
de,de,81
Rochefort,Rochefort,20
",",",",p
et,et,82
de,de,81
lui,lui,51
dire,dire,14
que,que,83
la,le,71
reine,reine,22
cherchait,chercher,18
un,un,71
messager,messager,21
pour,pour,81
l',le,52
envoyer,envoyer,14
à,à,81
Londres,Londres,20
/.,/.,P
“,“,p
pardon,pardon,21
",",",",p
si,si,83
je,je,51
vous,vous,51
quitte,quitter,17
",",",",p
ma,mon,73
chère,cher,30
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
dit,dire,19
il,il,51
;,;,p
mais,mais,82
",",",",p
ne,ne,60
sachant,savoir,13
pas,pas,60
que,que,83
vous,vous,51
me,je,51
viendriez,venir,16
voir,voir,14
",",",",p
j',je,51
avais,avoir,18
pris,prendre,12
rendez-vous,rendez-vous,21
avec,avec,81
un,un,52
de,de,81
mes,mon,73
amis,ami,21
",",",",p
je,je,51
reviens,revenir,17
à,à,81
l',le,71
instant,instant,21
même,même,30
",",",",p
et,et,82
si,si,83
vous,vous,51
voulez,vouloir,17
m',je,51
attendre,attendre,14
seulement,seulement,60
une,un,71
demi-minute,demi-minute,22
",",",",p
aussitôt,aussitôt,60
que,que,83
j',je,51
en,en,52
aurai,avoir,15
fini,finir,12
avec,avec,81
cet,ce,74
ami,ami,21
",",",",p
je,je,51
reviens,revenir,17
vous,vous,51
prendre,prendre,14
",",",",p
et,et,82
",",",",p
comme,comme,83
il,il,51
commence,commencer,17
à,à,81
se,se,51
faire,faire,14
tard,tard,60
",",",",p
je,je,51
vous,vous,51
reconduis,reconduire,17
au,à,81
au,le,71
Louvre,Louvre,20
/.,/.,P
-,-,p
merci,merci,21
",",",",p
monsieur,monsieur,21
",",",",p
répondit,répondre,19
madame,madame,22
Bonacieux,Bonacieux,20
:,:,p
vous,vous,51
n',ne,60
êtes,être,17
point,point,60
assez,assez,60
brave,brave,30
pour,pour,81
m',je,51
être,être,14
d',de,81
une,un,71
utilité,utilité,22
quelconque,quelconque,30
",",",",p
et,et,82
je,je,51
m',je,51
en,en,52
retournerai,retourner,15
bien,bien,60
au,à,81
au,le,71
Louvre,Louvre,20
toute,tout,60
seule,seul,30
/.,/.,P
-,-,p
comme,comme,83
il,il,51
vous,vous,51
plaira,plaire,15
",",",",p
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
reprit,reprendre,19
l',le,71
ex-mercier,ex-mercier,21
/.,/.,P
vous,vous,51
reverrai,revoir,15
je,je,51
bientôt,bientôt,60
/?,/?,P
sans,sans,81
doute,doute,21
;,;,p
la,le,71
semaine,semaine,22
prochaine,prochain,30
",",",",p
je,je,51
l',le,52
espère,espérer,17
",",",",p
mon,mon,73
service,service,21
me,je,51
laissera,laisser,15
quelque,quelque,75
liberté,liberté,22
",",",",p
et,et,82
j',je,51
en,en,52
profiterai,profiter,15
pour,pour,81
revenir,revenir,14
mettre,mettre,14
de,de,81
l',le,71
ordre,ordre,21
dans,dans,81
nos,notre,73
affaires,affaire,22
",",",",p
qui,qui,52
doivent,devoir,17
être,être,14
quelque,quelque,75
peu,peu,60
dérangées,déranger,12
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
;,;,p
je,je,51
vous,vous,51
attendrai,attendre,15
/.,/.,P
vous,vous,51
ne,ne,60
m',je,51
en,en,52
voulez,vouloir,17
pas,pas,60
/?,/?,P
moi,moi,51
!,!,p
pas,pas,60
le,le,71
moins,moins,60
du,de,81
du,le,71
monde,monde,21
/.,/.,P
-,-,p
à,à,81
bientôt,bientôt,60
",",",",p
alors,alors,60
/?,/?,P
à,à,81
bientôt,bientôt,60
/.,/.,P
“,“,p
Bonacieux,Bonacieux,20
baisa,baiser,19
la,le,71
main,main,22
de,de,81
sa,son,73
femme,femme,22
",",",",p
et,et,82
s',se,51
éloigna,éloigner,19
rapidement,rapidement,60
/.,/.,P
“,“,p
allons,aller,17
",",",",p
dit,dire,19
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
lorsque,lorsque,83
son,son,73
mari,mari,21
eut,avoir,19
refermé,refermer,12
la,le,71
porte,porte,22
de,de,81
la,le,71
rue,rue,22
",",",",p
et,et,82
qu',que,52
elle,il,51
se,se,51
trouva,trouver,19
seule,seul,30
",",",",p
il,il,51
ne,ne,60
manquait,manquer,18
plus,plus,60
à,à,81
cet,ce,74
imbécile,imbécile,21
que,que,83
d',de,81
être,être,14
cardinaliste,cardinaliste,30
/!,/!,P
et,et,82
moi,moi,51
qui,qui,52
avais,avoir,18
répondu,répondre,12
à,à,81
la,le,71
reine,reine,22
",",",",p
moi,moi,51
qui,qui,52
avais,avoir,18
promis,promettre,12
à,à,81
ma,mon,73
pauvre,pauvre,30
maîtresse,maîtresse,22
/…,/…,P
ah,ah,93
!,!,p
mon,mon,73
dieu,dieu,21
",",",",p
mon,mon,73
dieu,dieu,21
!,!,p
elle,il,51
va,aller,17
me,je,51
prendre,prendre,14
pour,pour,81
quelqu'une,quelqu'un,52
de,de,81
ces,ce,74
misérables,misérable,21
dont,dont,52
fourmille,fourmiller,17
le,le,71
palais,palais,21
",",",",p
et,et,82
qu',que,52
on,on,51
a,avoir,17
placées,placer,12
près,près,81
d',de,81
elle,il,51
pour,pour,81
l',le,52
espionner,espionner,14
/!,/!,P
ah,ah,93
!,!,p
monsieur,monsieur,21
Bonacieux,Bonacieux,20
!,!,p
je,je,51
ne,ne,60
vous,vous,51
ai,avoir,17
jamais,jamais,60
beaucoup,beaucoup,60
aimé,aimer,12
;,;,p
maintenant,maintenant,60
",",",",p
c',ce,52
est,être,17
bien,bien,60
pis,pis,30
:,:,p
je,je,51
vous,vous,51
hais,haïr,17
!,!,p
et,et,82
",",",",p
sur,sur,81
ma,mon,73
parole,parole,22
",",",",p
vous,vous,51
me,je,51
le,le,52
paierez,payer,15
/!,/!,P
au,à,81
au,le,71
moment,moment,21
où,où,60
elle,il,51
disait,dire,18
ces,ce,74
mots,mot,21
",",",",p
un,un,71
coup,coup,21
frappé,frappé,31
au,à,81
au,le,71
plafond,plafond,21
lui,lui,51
fit,faire,19
lever,lever,14
la,le,71
tête,tête,22
",",",",p
et,et,82
une,un,71
voix,voix,22
",",",",p
qui,qui,52
parvint,parvenir,19
à,à,81
elle,il,51
à,à,81
travers,travers,21
le,le,71
plancher,plancher,21
",",",",p
lui,lui,51
cria,crier,19
:,:,p
“,“,p
chère,cher,30
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
ouvrez,ouvrer,17
moi,moi,51
la,le,71
petite,petit,30
porte,porte,22
de,de,81
l',le,71
allée,allée,22
",",",",p
et,et,82
je,je,51
vais,aller,17
descendre,descendre,14
près,près,81
de,de,81
vous,vous,51
/.,/.,P
“,“,p
<Chapitre 18>,<>,<>
l',le,71
amant,amant,21
et,et,82
le,le,71
mari,mari,21
/.,/.,P
“,“,p
ah,ah,93
!,!,p
madame,madame,22
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
en,en,81
entrant,entrer,13
par,par,81
la,le,71
porte,porte,22
que,que,52
lui,lui,51
ouvrait,ouvrir,18
la,le,71
jeune,jeune,30
femme,femme,22
",",",",p
permettez,permettre,17
moi,moi,51
de,de,81
vous,vous,51
le,le,52
dire,dire,14
",",",",p
vous,vous,51
avez,avoir,17
là,là,60
un,un,71
triste,triste,30
mari,mari,21
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
donc,donc,82
entendu,entendre,12
notre,notre,73
conversation,conversation,22
?,?,p
demanda,demander,19
vivement,vivement,60
madame,madame,22
Bonacieux,Bonacieux,20
en,en,81
regardant,regarder,13
d',de,81
Artagnan,Artagnan,20
avec,avec,81
inquiétude,inquiétude,22
/.,/.,P
-,-,p
tout,tout,60
entière,entier,30
/.,/.,P
-,-,p
mais,mais,82
comment,comment,60
cela,cela,52
?,?,p
mon,mon,73
dieu,dieu,21
/!,/!,P
par,par,81
un,un,71
procédé,procédé,21
à,à,81
moi,moi,51
connu,connu,31
",",",",p
et,et,82
par,par,81
lequel,lequel,52
j',je,51
ai,avoir,17
entendu,entendre,12
aussi,aussi,60
la,le,71
conversation,conversation,22
plus,plus,60
animée,animé,31
que,que,52
vous,vous,51
avez,avoir,17
eue,avoir,12
avec,avec,81
les,le,71
sbires,sbire,21
du,de,81
du,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
et,et,82
qu',que,52
avez,avoir,17
vous,vous,51
compris,comprendre,12
dans,dans,81
ce,ce,52
que,que,52
nous,nous,51
disions,dire,18
/?,/?,P
mille,mille,72
choses,chose,22
:,:,p
d'abord,d'abord,60
",",",",p
que,que,83
votre,votre,73
mari,mari,21
est,être,17
un,un,71
niais,niais,21
et,et,82
un,un,71
sot,sot,21
",",",",p
heureusement,heureusement,60
;,;,p
puis,puis,60
",",",",p
que,que,83
vous,vous,51
étiez,être,18
embarrassée,embarrasser,12
",",",",p
ce,ce,52
dont,dont,52
j',je,51
ai,avoir,17
été,être,12
fort,fort,60
aise,aise,22
",",",",p
et,et,82
que,que,52
cela,cela,52
me,je,51
donne,donner,17
une,un,71
occasion,occasion,22
de,de,81
me,je,51
mettre,mettre,14
à,à,81
votre,votre,73
service,service,21
",",",",p
et,et,82
dieu,dieu,21
sait,savoir,17
si,si,83
je,je,51
suis,être,17
prêt,prêt,30
à,à,81
me,je,51
jeter,jeter,14
dans,dans,81
le,le,71
feu,feu,21
pour,pour,81
vous,vous,51
;,;,p
enfin,enfin,60
que,que,83
la,le,71
reine,reine,22
a,avoir,17
besoin,besoin,21
qu',que,83
un,un,71
homme,homme,21
brave,brave,30
",",",",p
intelligent,intelligent,30
et,et,82
dévoué,dévoué,31
fasse,faire,17
pour,pour,81
elle,il,51
un,un,71
voyage,voyage,21
à,à,81
Londres,Londres,20
/.,/.,P
j',je,51
ai,avoir,17
au,à,81
au,le,71
moins,moins,60
deux,deux,72
des,de,81
des,le,71
trois,trois,72
qualités,qualité,22
qu',que,52
il,il,51
vous,vous,51
faut,falloir,17
",",",",p
et,et,82
me,je,51
voilà,voilà,81
/.,/.,P
“,“,p
madame,madame,22
Bonacieux,Bonacieux,20
ne,ne,60
répondit,répondre,19
pas,pas,60
",",",",p
mais,mais,82
son,son,73
coeur,coeur,21
battait,battre,18
de,de,81
joie,joie,22
",",",",p
et,et,82
une,un,71
secrète,secret,30
espérance,espérance,22
brilla,briller,19
à,à,81
ses,son,73
yeux,oeil,21
/.,/.,P
“,“,p
et,et,82
quelle,quel,75
garantie,garantie,22
me,je,51
donnerez,donner,15
vous,vous,51
",",",",p
demanda,demander,19
t,t,94
elle,il,51
",",",",p
si,si,83
je,je,51
consens,consentir,17
à,à,81
vous,vous,51
confier,confier,14
cette,ce,74
mission,mission,22
/?,/?,P
mon,mon,73
amour,amour,21
pour,pour,81
vous,vous,51
/.,/.,P
voyons,voir,17
",",",",p
dites,dire,17
",",",",p
ordonnez,ordonner,17
:,:,p
que,que,52
faut,falloir,17
il,il,51
faire,faire,14
/?,/?,P
mon,mon,73
dieu,dieu,21
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
murmura,murmurer,19
la,le,71
jeune,jeune,30
femme,femme,22
",",",",p
dois,devoir,17
je,je,51
vous,vous,51
confier,confier,14
un,un,71
pareil,pareil,30
secret,secret,21
",",",",p
monsieur,monsieur,21
/?,/?,P
vous,vous,51
êtes,être,17
presque,presque,60
un,un,71
enfant,enfant,21
/!,/!,P
allons,aller,17
",",",",p
je,je,51
vois,voir,17
qu',que,83
il,il,51
vous,vous,51
faut,falloir,17
quelqu'un,quelqu'un,52
qui,qui,52
vous,vous,51
réponde,répondre,17
de,de,81
moi,moi,51
/.,/.,P
-,-,p
j',je,51
avoue,avouer,17
que,que,83
cela,cela,52
me,je,51
rassurerait,rassurer,16
fort,fort,60
/.,/.,P
-,-,p
connaissez,connaître,17
vous,vous,51
Athos,Athos,20
/?,/?,P
non,non,60
/.,/.,P
-,-,p
Porthos,Porthos,20
/?,/?,P
non,non,60
/.,/.,P
-,-,p
Aramis,Aramis,20
/?,/?,P
non,non,60
/.,/.,P
quels,quel,52
sont,être,17
ces,ce,74
messieurs,monsieur,21
/?,/?,P
des,de,81
des,le,71
mousquetaires,mousquetaire,21
du,de,81
du,le,71
roi,roi,21
/.,/.,P
connaissez,connaître,17
vous,vous,51
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
leur,leur,73
capitaine,capitaine,21
/?,/?,P
oh,oh,93
!,!,p
oui,oui,60
",",",",p
celui-là,celui-là,52
",",",",p
je,je,51
le,le,52
connais,connaître,17
",",",",p
non,non,60
pas,pas,60
personnellement,personnellement,60
",",",",p
mais,mais,82
pour,pour,81
en,en,52
avoir,avoir,14
entendu,entendre,12
plus,plus,60
d',de,81
une,un,71
fois,fois,22
parler,parler,14
à,à,81
la,le,71
reine,reine,22
comme,comme,83
d',de,81
un,un,71
brave,brave,30
et,et,82
loyal,loyal,30
gentilhomme,gentilhomme,21
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
craignez,craindre,17
pas,pas,60
que,que,83
lui,lui,51
vous,vous,51
trahisse,trahir,17
pour,pour,81
le,le,71
cardinal,cardinal,21
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
oh,oh,93
!,!,p
non,non,60
",",",",p
certainement,certainement,60
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
révélez,révéler,17
lui,lui,51
votre,votre,73
secret,secret,21
",",",",p
et,et,82
demandez,demander,17
lui,lui,51
",",",",p
si,si,60
important,important,30
",",",",p
si,si,60
précieux,précieux,30
",",",",p
si,si,60
terrible,terrible,30
qu',que,83
il,il,51
soit,être,17
",",",",p
si,si,83
vous,vous,51
pouvez,pouvoir,17
me,je,51
le,le,52
confier,confier,14
/.,/.,P
-,-,p
mais,mais,82
ce,ce,74
secret,secret,21
ne,ne,60
m',je,51
appartient,appartenir,17
pas,pas,60
",",",",p
et,et,82
je,je,51
ne,ne,60
puis,pouvoir,17
le,le,52
révéler,révéler,14
ainsi,ainsi,60
/.,/.,P
-,-,p
vous,vous,51
l',le,52
alliez,aller,17
bien,bien,60
confier,confier,14
à,à,81
monsieur,monsieur,21
Bonacieux,Bonacieux,20
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
avec,avec,81
dépit,dépit,21
/.,/.,P
-,-,p
comme,comme,83
on,on,51
confie,confier,17
une,un,71
lettre,lettre,22
au,à,81
au,le,71
creux,creux,21
d',de,81
un,un,71
arbre,arbre,21
",",",",p
à,à,81
l',le,71
aile,aile,22
d',de,81
un,un,71
pigeon,pigeon,21
",",",",p
au,à,81
au,le,71
collier,collier,21
d',de,81
un,un,71
chien,chien,21
/.,/.,P
-,-,p
et,et,82
cependant,cependant,82
",",",",p
moi,moi,51
",",",",p
vous,vous,51
voyez,voir,17
bien,bien,60
que,que,83
je,je,51
vous,vous,51
aime,aimer,17
/.,/.,P
-,-,p
vous,vous,51
le,le,52
dites,dire,17
/.,/.,P
-,-,p
je,je,51
suis,être,17
un,un,71
galant,galant,30
homme,homme,21
/!,/!,P
je,je,51
le,le,52
crois,croire,17
/.,/.,P
-,-,p
je,je,51
suis,être,17
brave,brave,30
/!,/!,P
oh,oh,93
!,!,p
cela,cela,52
",",",",p
j',je,51
en,en,52
suis,être,17
sûre,sûr,30
/.,/.,P
-,-,p
alors,alors,60
",",",",p
mettez,mettre,17
moi,moi,51
donc,donc,82
à,à,81
l',le,71
épreuve,épreuve,22
/.,/.,P
“,“,p
madame,madame,22
Bonacieux,Bonacieux,20
regarda,regarder,19
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
retenue,retenu,31
par,par,81
une,un,71
dernière,dernier,30
hésitation,hésitation,22
/.,/.,P
mais,mais,82
il,il,51
y,y,52
avait,avoir,18
une,un,71
telle,tel,75
ardeur,ardeur,22
dans,dans,81
ses,son,73
yeux,oeil,21
",",",",p
une,un,71
telle,tel,75
persuasion,persuasion,22
dans,dans,81
sa,son,73
voix,voix,22
",",",",p
qu',que,83
elle,il,51
se,se,51
sentit,sentir,19
entraînée,entraîné,31
à,à,81
se,se,51
fier,fier,14
à,à,81
lui,lui,51
/.,/.,P
d',de,81
ailleurs,ailleurs,60
elle,il,51
se,se,51
trouvait,trouver,18
dans,dans,81
une,un,52
de,de,81
ces,ce,74
circonstances,circonstance,22
où,où,60
il,il,51
faut,falloir,17
risquer,risquer,14
le,le,71
tout,tout,21
pour,pour,81
le,le,71
tout,tout,21
/.,/.,P
la,le,71
reine,reine,22
était,être,18
aussi,aussi,60
bien,bien,60
perdue,perdre,12
par,par,81
une,un,71
trop,trop,60
grande,grand,30
retenue,retenue,22
que,que,83
par,par,81
une,un,71
trop,trop,60
grande,grand,30
confiance,confiance,22
/.,/.,P
puis,puis,60
",",",",p
avouons,avouer,17
le,le,52
",",",",p
le,le,71
sentiment,sentiment,21
involontaire,involontaire,30
qu',que,52
elle,il,51
éprouvait,éprouver,18
pour,pour,81
ce,ce,74
jeune,jeune,30
protecteur,protecteur,21
la,le,52
décida,décider,19
à,à,81
parler,parler,14
/.,/.,P
“,“,p
écoutez,écouter,17
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
",",",",p
je,je,51
me,je,51
rends,rendre,17
à,à,81
vos,votre,73
protestations,protestation,22
et,et,82
je,je,51
cède,céder,17
à,à,81
vos,votre,73
assurances,assurance,22
/.,/.,P
mais,mais,82
je,je,51
vous,vous,51
jure,jurer,17
devant,devant,81
dieu,dieu,21
qui,qui,52
nous,nous,51
entend,entendre,17
",",",",p
que,que,83
si,si,83
vous,vous,51
me,je,51
trahissez,trahir,17
et,et,82
que,que,83
mes,mon,73
ennemis,ennemi,21
me,je,51
pardonnent,pardonner,17
",",",",p
je,je,51
me,je,51
tuerai,tuer,15
en,en,81
vous,vous,51
accusant,accuser,13
de,de,81
ma,mon,73
mort,mort,22
/.,/.,P
-,-,p
et,et,82
moi,moi,51
",",",",p
je,je,51
vous,vous,51
jure,jurer,17
devant,devant,81
dieu,dieu,21
",",",",p
madame,madame,22
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
",",",",p
que,que,83
si,si,83
je,je,51
suis,être,17
pris,prendre,12
en,en,81
accomplissant,accomplir,13
les,le,71
ordres,ordre,21
que,que,52
vous,vous,51
me,je,51
donnez,donner,17
",",",",p
je,je,51
mourrai,mourir,15
avant,avant,81
de,de,81
rien,rien,52
faire,faire,14
ou,ou,82
dire,dire,14
qui,qui,52
compromette,compromettre,17
quelqu'un,quelqu'un,52
/.,/.,P
“,“,p
alors,alors,60
la,le,71
jeune,jeune,30
femme,femme,22
lui,lui,51
confia,confier,19
le,le,71
terrible,terrible,30
secret,secret,21
dont,dont,52
le,le,71
hasard,hasard,21
lui,lui,51
avait,avoir,18
déjà,déjà,60
révélé,révéler,12
une,un,71
partie,partie,22
en,en,81
face,face,22
de,de,81
la,le,71
Samaritaine,Samaritaine,20
/.,/.,P
ce,ce,52
fut,être,19
leur,leur,73
mutuelle,mutuel,30
déclaration,déclaration,22
d',de,81
amour,amour,21
/.,/.,P
d',de,81
Artagnan,Artagnan,20
rayonnait,rayonner,18
de,de,81
joie,joie,22
et,et,82
d',de,81
orgueil,orgueil,21
/.,/.,P
ce,ce,74
secret,secret,21
qu',que,52
il,il,51
possédait,posséder,18
",",",",p
cette,ce,74
femme,femme,22
qu',que,52
il,il,51
aimait,aimer,18
",",",",p
la,le,71
confiance,confiance,22
et,et,82
l',le,71
amour,amour,21
",",",",p
faisaient,faire,18
de,de,81
lui,lui,51
un,un,71
géant,géant,21
/.,/.,P
“,“,p
je,je,51
pars,partir,17
",",",",p
dit,dire,19
il,il,51
",",",",p
je,je,51
pars,partir,17
sur-le-champ,sur-le-champ,60
/.,/.,P
-,-,p
comment,comment,60
!,!,p
vous,vous,51
partez,partir,17
!,!,p
s',se,51
écria,écrier,19
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
et,et,82
votre,votre,73
régiment,régiment,21
",",",",p
votre,votre,73
capitaine,capitaine,21
/?,/?,P
sur,sur,81
mon,mon,73
âme,âme,22
",",",",p
vous,vous,51
m',je,51
aviez,avoir,18
fait,faire,12
oublier,oublier,14
tout,tout,75
cela,cela,52
",",",",p
chère,cher,30
Constance,Constance,20
!,!,p
oui,oui,60
",",",",p
vous,vous,51
avez,avoir,17
raison,raison,22
",",",",p
il,il,51
me,je,51
faut,falloir,17
un,un,71
congé,congé,21
/.,/.,P
-,-,p
encore,encore,60
un,un,71
obstacle,obstacle,21
",",",",p
murmura,murmurer,19
madame,madame,22
Bonacieux,Bonacieux,20
avec,avec,81
douleur,douleur,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
celui-là,celui-là,52
",",",",p
s',se,51
écria,écrier,19
d',de,81
Artagnan,Artagnan,20
après,après,81
un,un,71
moment,moment,21
de,de,81
réflexion,réflexion,22
",",",",p
je,je,51
