11536
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-cinquième extrait>,<>,<>
des,de,81
des,le,71
Esseintes,Esseintes,20
;,;,p
et,et,82
",",",",p
en,en,81
effet,effet,21
",",",",p
cette,ce,74
suggestion,suggestion,22
au,à,81
au,le,71
rêve,rêve,21
qu',que,52
il,il,51
réclamait,réclamer,18
",",",",p
débordait,déborder,18
de,de,81
cette,ce,74
oeuvre,oeuvre,22
où,où,60
sous,sous,81
la,le,71
ligne,ligne,22
écrite,écrit,31
",",",",p
perçait,percer,18
une,un,71
autre,autre,75
ligne,ligne,22
visible,visible,30
à,à,81
l',le,71
esprit,esprit,21
seul,seul,30
",",",",p
indiquée,indiqué,31
par,par,81
un,un,71
qualificatif,qualificatif,21
qui,qui,52
ouvrait,ouvrir,18
des,de,81
des,le,71
échappées,échappée,22
de,de,81
passion,passion,22
",",",",p
par,par,81
une,un,71
réticence,réticence,22
qui,qui,52
laissait,laisser,18
deviner,deviner,14
des,de,81
des,le,71
infinis,infini,21
d',de,81
âme,âme,22
qu',que,52
aucun,aucun,75
idiome,idiome,21
n',ne,60
eût,avoir,19
pu,pouvoir,12
combler,combler,14
;,;,p
puis,puis,60
",",",",p
ce,ce,52
n',ne,60
était,être,18
plus,plus,60
la,le,71
langue,langue,22
de,de,81
Flaubert,Flaubert,20
",",",",p
cette,ce,74
langue,langue,22
d',de,81
une,un,71
inimitable,inimitable,30
magnificence,magnificence,22
",",",",p
c',ce,52
était,être,18
un,un,71
style,style,21
perspicace,perspicace,30
et,et,82
morbide,morbide,30
",",",",p
nerveux,nerveux,30
et,et,82
retors,retors,30
",",",",p
diligent,diligent,30
à,à,81
noter,noter,14
l',le,71
impalpable,impalpable,30
impression,impression,22
qui,qui,52
frappe,frapper,17
les,le,52
sens,sentir,17
et,et,82
détermine,déterminer,17
la,le,71
sensation,sensation,22
",",",",p
un,un,71
style,style,21
expert,expert,30
à,à,81
moduler,moduler,14
les,le,71
nuances,nuance,22
compliquées,compliqué,31
d',de,81
une,un,71
époque,époque,22
qui,qui,52
était,être,18
par,par,81
elle-même,lui-même,51
singulièrement,singulièrement,60
complexe,complexe,30
/.,/.,P
en,en,81
somme,somme,22
",",",",p
c',ce,52
était,être,18
le,le,71
verbe,verbe,21
indispensable,indispensable,30
aux,à,81
aux,le,71
civilisations,civilisation,22
décrépites,décrépit,30
qui,qui,52
",",",",p
pour,pour,81
l',le,71
expression,expression,22
de,de,81
leurs,leur,73
besoins,besoin,21
",",",",p
exigent,exiger,17
",",",",p
à,à,81
quelque,quelque,75
âge,âge,21
qu',que,52
elles,ils,51
se,se,51
produisent,produire,17
",",",",p
des,de,81
des,le,71
acceptions,acception,22
",",",",p
des,de,81
des,le,71
tournures,tournure,22
",",",",p
des,de,81
des,le,71
fontes,fonte,22
nouvelles,nouveau,30
et,et,82
de,de,81
phrases,phrase,22
et,et,82
de,de,81
mots,mot,21
/.,/.,P
à,à,81
Rome,Rome,20
",",",",p
le,le,71
paganisme,paganisme,21
mourant,mourant,30
avait,avoir,18
modifié,modifier,12
sa,son,73
prosodie,prosodie,22
",",",",p
transmué,transmuer,12
sa,son,73
langue,langue,22
",",",",p
avec,avec,81
Ausone,Ausone,20
",",",",p
avec,avec,81
Claudien,Claudien,20
",",",",p
avec,avec,81
Rutilius,Rutilius,20
dont,dont,52
le,le,71
style,style,21
attentif,attentif,30
et,et,82
scrupuleux,scrupuleux,30
",",",",p
capiteux,capiteux,30
et,et,82
sonnant,sonnant,30
",",",",p
présentait,présenter,18
",",",",p
surtout,surtout,60
dans,dans,81
ses,son,73
parties,partie,22
descriptives,descriptif,30
de,de,81
reflets,reflet,21
",",",",p
d',de,81
ombres,ombre,22
",",",",p
de,de,81
nuances,nuance,22
",",",",p
une,un,71
nécessaire,nécessaire,30
analogie,analogie,22
avec,avec,81
le,le,71
style,style,21
des,de,81
des,le,71
de,de,81
Goncourt,Goncourt,20
/.,/.,P
à,à,81
Paris,Paris,20
",",",",p
un,un,71
fait,fait,21
unique,unique,30
dans,dans,81
l',le,71
histoire,histoire,22
littéraire,littéraire,30
s',se,51
était,être,18
produit,produire,12
;,;,p
cette,ce,74
société,société,22
agonisante,agonisant,30
du,de,81
du,le,71
XVIIIe,dix-huitième,72
siècle,siècle,21
",",",",p
qui,qui,52
avait,avoir,18
eu,avoir,12
des,de,81
des,le,71
peintres,peintre,21
",",",",p
des,de,81
des,le,71
sculpteurs,sculpteur,21
",",",",p
des,de,81
des,le,71
musiciens,musicien,21
",",",",p
des,de,81
des,le,71
architectes,architecte,21
",",",",p
pénétrés,pénétré,31
de,de,81
ses,son,73
goûts,goût,21
",",",",p
imbus,imbu,30
de,de,81
ses,son,73
doctrines,doctrine,22
",",",",p
n',ne,60
avait,avoir,18
pu,pouvoir,12
façonner,façonner,14
un,un,71
réel,réel,30
écrivain,écrivain,21
qui,qui,52
rendît,rendre,18
ses,son,73
élégances,élégance,22
moribondes,moribond,30
",",",",p
qui,qui,52
exprimât,exprimer,18
le,le,71
suc,suc,21
de,de,81
ses,son,73
joies,joie,22
fébriles,fébrile,30
",",",",p
si,si,60
durement,durement,60
expiées,expié,31
;,;,p
il,il,51
avait,avoir,18
fallu,falloir,12
attendre,attendre,14
l',le,71
arrivée,arrivée,22
de,de,81
de,de,81
Goncourt,Goncourt,20
",",",",p
dont,dont,52
le,le,71
tempérament,tempérament,21
était,être,18
fait,faire,12
de,de,81
souvenirs,souvenir,21
",",",",p
de,de,81
regrets,regret,21
avivés,avivé,31
encore,encore,60
par,par,81
le,le,71
douloureux,douloureux,30
spectacle,spectacle,21
de,de,81
la,le,71
misère,misère,22
intellectuelle,intellectuel,30
et,et,82
des,de,81
des,le,71
basses,bas,30
aspirations,aspiration,22
de,de,81
son,son,73
temps,temps,21
",",",",p
pour,pour,81
que,que,83
",",",",p
non,non,60
seulement,seulement,60
dans,dans,81
ses,son,73
livres,livre,21
d',de,81
histoire,histoire,22
",",",",p
mais,mais,82
encore,encore,60
dans,dans,81
une,un,71
oeuvre,oeuvre,22
nostalgique,nostalgique,30
comme,comme,83
la,le,71
Faustin,Faustin,20
",",",",p
il,il,51
pût,pouvoir,18
ressusciter,ressusciter,14
l',le,71
âme,âme,22
même,même,30
de,de,81
cette,ce,74
époque,époque,22
",",",",p
incarner,incarner,14
ses,son,73
nerveuses,nerveux,30
délicatesses,délicatesse,22
dans,dans,81
cette,ce,74
actrice,actrice,22
",",",",p
si,si,60
tourmentée,tourmenté,31
à,à,81
se,se,51
presser,presser,14
le,le,71
coeur,coeur,21
et,et,82
à,à,81
s',se,51
exacerber,exacerber,14
le,le,71
cerveau,cerveau,21
",",",",p
afin,afin,81
de,de,81
savourer,savourer,14
jusqu',jusque,81
à,à,81
l',le,71
épuisement,épuisement,21
",",",",p
les,le,71
douloureux,douloureux,30
révulsifs,révulsif,30
de,de,81
l',le,71
amour,amour,21
et,et,82
de,de,81
l',le,71
art,art,21
/!,/!,P
chez,chez,81
Zola,Zola,20
",",",",p
la,le,71
nostalgie,nostalgie,22
des,de,81
des,le,71
au-delà,au-delà,60
était,être,18
différente,différent,30
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
en,en,81
lui,lui,51
aucun,aucun,75
désir,désir,21
de,de,81
migration,migration,22
vers,vers,81
les,le,71
régimes,régime,21
disparus,disparu,31
",",",",p
vers,vers,81
les,le,71
univers,univers,21
égarés,égaré,31
dans,dans,81
la,le,71
nuit,nuit,22
des,de,81
des,le,71
temps,temps,21
;,;,p
son,son,73
tempérament,tempérament,21
",",",",p
puissant,puissant,30
",",",",p
solide,solide,30
",",",",p
épris,épris,31
des,de,81
des,le,71
luxuriances,luxuriance,22
de,de,81
la,le,71
vie,vie,22
",",",",p
des,de,81
des,le,71
forces,force,22
sanguines,sanguin,30
",",",",p
des,de,81
des,le,71
santés,santé,22
morales,moral,30
",",",",p
le,le,52
détournait,détourner,18
des,de,81
des,le,71
grâces,grâce,22
artificielles,artificiel,30
et,et,82
des,de,81
des,le,71
chloroses,chlorose,22
fardées,fardé,31
du,de,81
du,le,71
dernier,dernier,30
siècle,siècle,21
",",",",p
ainsi,ainsi,60
que,que,83
de,de,81
la,le,71
solennité,solennité,22
hiératique,hiératique,30
",",",",p
de,de,81
la,le,71
férocité,férocité,22
brutale,brutal,30
et,et,82
des,de,81
des,le,71
rêves,rêve,21
efféminés,efféminé,31
et,et,82
ambigus,ambigu,30
du,de,81
du,le,71
vieil,vieux,30
Orient,Orient,20
/.,/.,P
le,le,71
jour,jour,21
où,où,60
",",",",p
lui,lui,51
aussi,aussi,60
",",",",p
il,il,51
avait,avoir,18
été,être,12
obsédé,obséder,12
par,par,81
cette,ce,74
nostalgie,nostalgie,22
",",",",p
par,par,81
ce,ce,74
besoin,besoin,21
qui,qui,52
est,être,17
en,en,81
somme,somme,22
la,le,71
poésie,poésie,22
même,même,30
",",",",p
de,de,81
fuir,fuir,14
loin,loin,60
de,de,81
ce,ce,74
monde,monde,21
contemporain,contemporain,30
qu',que,52
il,il,51
étudiait,étudier,18
",",",",p
il,il,51
s',se,51
était,être,18
rué,ruer,12
dans,dans,81
une,un,71
idéale,idéal,30
campagne,campagne,22
",",",",p
où,où,60
la,le,71
sève,sève,22
bouillait,bouillir,18
au,à,81
au,le,71
plein,plein,30
soleil,soleil,21
;,;,p
il,il,51
avait,avoir,18
songé,songer,12
à,à,81
de,de,81
fantastiques,fantastique,30
ruts,rut,21
de,de,81
ciel,ciel,21
",",",",p
à,à,81
de,de,81
longues,long,30
pâmoisons,pâmoison,22
de,de,81
terre,terre,22
",",",",p
à,à,81
de,de,81
fécondantes,fécondant,30
pluies,pluie,22
de,de,81
pollen,pollen,21
tombant,tomber,13
dans,dans,81
les,le,71
organes,organe,21
haletants,haletant,30
des,de,81
des,le,71
fleurs,fleur,22
:,:,p
il,il,51
avait,avoir,18
abouti,aboutir,12
à,à,81
un,un,71
panthéisme,panthéisme,21
gigantesque,gigantesque,30
",",",",p
avait,avoir,18
",",",",p
à,à,81
son,son,73
insu,insu,21
peut-être,peut-être,60
",",",",p
créé,créer,12
",",",",p
avec,avec,81
ce,ce,74
milieu,milieu,21
édénique,édénique,30
où,où,60
il,il,51
plaçait,placer,18
son,son,73
Adam,Adam,20
et,et,82
son,son,73
Eve,Eve,20
",",",",p
un,un,71
prodigieux,prodigieux,30
poème,poème,21
hindou,hindou,30
",",",",p
célébrant,célébrer,13
en,en,81
un,un,71
style,style,21
dont,dont,52
les,le,71
larges,large,30
teintes,teinte,22
",",",",p
plaquées,plaqué,31
à,à,81
cru,cru,21
",",",",p
avaient,avoir,18
comme,comme,83
un,un,71
bizarre,bizarre,30
éclat,éclat,21
de,de,81
peinture,peinture,22
indienne,indien,30
",",",",p
l',le,71
hymne,hymne,21
de,de,81
la,le,71
chair,chair,22
",",",",p
la,le,71
matière,matière,22
",",",",p
animée,animé,31
",",",",p
vivante,vivant,30
",",",",p
révélant,révéler,13
par,par,81
sa,son,73
fureur,fureur,22
de,de,81
génération,génération,22
",",",",p
à,à,81
la,le,71
créature,créature,22
humaine,humain,30
",",",",p
le,le,71
fruit,fruit,21
défendu,défendu,31
de,de,81
l',le,71
amour,amour,21
",",",",p
ses,son,73
suffocations,suffocation,22
",",",",p
ses,son,73
caresses,caresse,22
instinctives,instinctif,30
",",",",p
ses,son,73
naturelles,naturel,30
poses,pose,22
/.,/.,P
avec,avec,81
Baudelaire,Baudelaire,20
",",",",p
ces,ce,74
trois,trois,72
maîtres,maître,21
étaient,être,18
",",",",p
dans,dans,81
la,le,71
littérature,littérature,22
française,français,30
",",",",p
moderne,moderne,30
et,et,82
profane,profane,30
",",",",p
ceux,celui,52
qui,qui,52
avaient,avoir,18
le,le,71
mieux,mieux,60
interné,interner,12
et,et,82
le,le,71
mieux,mieux,60
pétri,pétrir,12
l',le,71
esprit,esprit,21
de,de,81
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
mais,mais,82
à,à,81
force,force,22
de,de,81
les,le,52
relire,relire,14
",",",",p
de,de,81
s',se,51
être,être,14
saturé,saturer,12
de,de,81
leurs,leur,73
oeuvres,oeuvre,22
",",",",p
de,de,81
les,le,52
savoir,savoir,14
",",",",p
par,par,81
coeur,coeur,21
",",",",p
tout,tout,60
entières,entier,30
",",",",p
il,il,51
avait,avoir,18
dû,devoir,12
",",",",p
afin,afin,81
de,de,81
les,le,52
pouvoir,pouvoir,14
absorber,absorber,14
encore,encore,60
",",",",p
s',se,51
efforcer,efforcer,14
de,de,81
les,le,52
oublier,oublier,14
et,et,82
les,le,52
laisser,laisser,14
pendant,pendant,81
quelque,quelque,75
temps,temps,21
sur,sur,81
ses,son,73
rayons,rayon,21
",",",",p
au,à,81
au,le,71
repos,repos,21
/.,/.,P
aussi,aussi,60
les,le,52
ouvrait,ouvrir,18
il,il,51
à,à,81
peine,peine,22
",",",",p
maintenant,maintenant,60
que,que,83
le,le,71
domestique,domestique,21
les,le,52
lui,lui,51
tendait,tendre,18
/.,/.,P
il,il,51
se,se,51
bornait,borner,18
à,à,81
indiquer,indiquer,14
la,le,71
place,place,22
qu',que,52
elles,ils,51
devaient,devoir,18
occuper,occuper,14
",",",",p
veillant,veiller,13
à,à,81
ce,ce,52
qu',que,52
elles,ils,51
fussent,être,18
classées,classer,12
",",",",p
en,en,81
bon,bon,30
ordre,ordre,21
",",",",p
et,et,82
à,à,81
l',le,71
aise,aise,22
/.,/.,P
le,le,71
domestique,domestique,21
lui,lui,51
apporta,apporter,19
une,un,71
nouvelle,nouveau,30
série,série,22
de,de,81
livres,livre,21
;,;,p
ceux-là,celui-là,52
l',le,52
opprimèrent,opprimer,19
davantage,davantage,60
;,;,p
c',ce,52
étaient,être,18
des,de,81
des,le,71
livres,livre,21
vers,vers,81
lesquels,lequel,52
son,son,73
inclination,inclination,22
s',se,51
était,être,18
peu,peu,60
à,à,81
peu,peu,60
portée,porter,12
",",",",p
des,de,81
des,le,71
livres,livre,21
qui,qui,52
le,le,52
délassaient,délasser,18
de,de,81
la,le,71
perfection,perfection,22
des,de,81
des,le,71
écrivains,écrivain,21
de,de,81
plus,plus,60
vaste,vaste,30
encolure,encolure,22
",",",",p
par,par,81
leurs,leur,73
défauts,défaut,21
mêmes,même,30
;,;,p
ici,ici,60
",",",",p
encore,encore,60
",",",",p
à,à,81
avoir,avoir,14
voulu,vouloir,12
raffiner,raffiner,14
",",",",p
des,de,81
des,le,71
Esseintes,Esseintes,20
était,être,18
arrivé,arriver,12
à,à,81
chercher,chercher,14
parmi,parmi,81
de,de,81
troubles,trouble,30
pages,page,22
des,de,81
des,le,71
phrases,phrase,22
dégageant,dégager,13
une,un,71
sorte,sorte,22
d',de,81
électricité,électricité,22
qui,qui,52
le,le,52
faisait,faire,18
tressaillir,tressaillir,14
alors,alors,60
qu',que,83
elles,ils,51
déchargeaient,décharger,18
leur,leur,73
fluide,fluide,21
dans,dans,81
un,un,71
milieu,milieu,21
qui,qui,52
paraissait,paraître,18
tout,tout,60
d'abord,d'abord,60
réfractaire,réfractaire,30
/.,/.,P
l',le,71
imperfection,imperfection,22
même,même,30
lui,lui,51
plaisait,plaire,18
",",",",p
pourvu,pourvu,81
qu',que,83
elle,il,51
ne,ne,60
fût,être,19
",",",",p
ni,ni,82
parasite,parasite,21
",",",",p
ni,ni,82
servile,servile,30
",",",",p
et,et,82
peut-être,peut-être,60
y,y,52
avait,avoir,18
il,il,51
une,un,71
dose,dose,22
de,de,81
vérité,vérité,22
dans,dans,81
sa,son,73
théorie,théorie,22
que,que,83
l',le,71
écrivain,écrivain,21
subalterne,subalterne,30
de,de,81
la,le,71
décadence,décadence,22
",",",",p
que,que,83
l',le,71
écrivain,écrivain,21
encore,encore,60
personnel,personnel,30
mais,mais,82
incomplet,incomplet,30
",",",",p
alambique,alambiquer,17
un,un,71
baume,baume,21
plus,plus,60
irritant,irritant,30
",",",",p
plus,plus,60
apéritif,apéritif,30
",",",",p
plus,plus,60
acide,acide,30
",",",",p
que,que,83
l',le,71
artiste,artiste,21
de,de,81
la,le,71
même,même,75
époque,époque,22
qui,qui,52
est,être,17
vraiment,vraiment,60
grand,grand,30
",",",",p
vraiment,vraiment,60
parfait,parfaire,12
/.,/.,P
à,à,81
son,son,73
avis,avis,21
",",",",p
c',ce,52
était,être,18
parmi,parmi,81
leurs,leur,73
turbulentes,turbulent,30
ébauches,ébauche,22
que,que,83
l',l',94
on,on,51
apercevait,apercevoir,18
les,le,71
exaltations,exaltation,22
de,de,81
la,le,71
sensibilité,sensibilité,22
les,le,71
plus,plus,60
suraiguës,suraigu,30
",",",",p
les,le,71
caprices,caprice,21
de,de,81
la,le,71
psychologie,psychologie,22
les,le,71
plus,plus,60
morbides,morbide,30
",",",",p
les,le,71
dépravations,dépravation,22
les,le,71
plus,plus,60
outrées,outré,31
de,de,81
la,le,71
langue,langue,22
sommée,sommé,31
dans,dans,81
ses,son,73
derniers,dernier,30
refus,refus,21
de,de,81
contenir,contenir,14
",",",",p
d',de,81
enrober,enrober,14
les,le,71
sels,sel,21
effervescents,effervescent,30
des,de,81
des,le,71
sensations,sensation,22
et,et,82
des,de,81
des,le,71
idées,idée,22
/.,/.,P
aussi,aussi,60
",",",",p
forcément,forcément,60
",",",",p
après,après,81
les,le,71
maîtres,maître,21
",",",",p
s',se,51
adressait,adresser,18
il,il,51
à,à,81
quelques,quelque,75
écrivains,écrivain,21
que,que,52
lui,lui,51
rendait,rendre,18
encore,encore,60
plus,plus,60
propices,propice,30
et,et,82
plus,plus,60
chers,cher,30
",",",",p
le,le,71
mépris,mépris,21
dans,dans,81
lequel,lequel,52
les,le,52
tenait,tenir,18
un,un,71
public,public,21
incapable,incapable,30
de,de,81
les,le,52
comprendre,comprendre,14
/.,/.,P
l',le,71
un,un,52
d',de,81
eux,ils,51
",",",",p
Paul,Paul,20
Verlaine,Verlaine,20
",",",",p
avait,avoir,18
jadis,jadis,60
débuté,débuter,12
par,par,81
un,un,71
volume,volume,21
de,de,81
vers,vers,21
",",",",p
les,le,71
poèmes,poème,21
saturniens,saturnien,30
",",",",p
un,un,71
volume,volume,21
presque,presque,60
débile,débile,30
",",",",p
où,où,60
se,se,51
coudoyaient,coudoyer,18
des,de,81
des,le,71
pastiches,pastiche,21
de,de,81
Leconte de Lisle,Leconte de Lisle,20
et,et,82
des,de,81
des,le,71
exercices,exercice,21
de,de,81
rhétorique,rhétorique,22
romantique,romantique,30
",",",",p
mais,mais,82
où,où,60
filtrait,filtrer,18
déjà,déjà,60
",",",",p
au,à,81
au,le,71
travers,travers,21
de,de,81
certaines,certain,75
pièces,pièce,22
",",",",p
telles,tel,75
que,que,83
le,le,71
sonnet,sonnet,21
intitulé,intitulé,31
“,“,p
rêve,rêve,21
familier,familier,30
“,“,p
",",",",p
la,le,71
réelle,réel,30
personnalité,personnalité,22
du,de,81
du,le,71
poète,poète,21
/.,/.,P
à,à,81
chercher,chercher,14
ses,son,73
antécédents,antécédent,21
",",",",p
des,de,81
des,le,71
Esseintes,Esseintes,20
retrouvait,retrouver,18
sous,sous,81
les,le,71
incertitudes,incertitude,22
des,de,81
des,le,71
esquisses,esquisse,22
",",",",p
un,un,71
talent,talent,21
déjà,déjà,60
profondément,profondément,60
imbibé,imbibé,31
de,de,81
Baudelaire,Baudelaire,20
",",",",p
dont,dont,52
l',le,71
influence,influence,22
s',se,51
était,être,18
plus,plus,60
tard,tard,60
mieux,mieux,60
accentuée,accentuer,12
sans,sans,81
que,que,83
néanmoins,néanmoins,60
la,le,71
sportule,sportule,22
consentie,consenti,31
par,par,81
l',le,71
indéfectible,indéfectible,30
maître,maître,21
",",",",p
fût,être,19
flagrante,flagrant,30
/.,/.,P
puis,puis,60
",",",",p
d',de,81
aucuns,aucun,52
de,de,81
ses,son,73
livres,livre,21
",",",",p
la,le,71
bonne,bon,30
chanson,chanson,22
",",",",p
les,le,71
fêtes,fête,22
galantes,galant,30
",",",",p
romances,romance,22
sans,sans,81
paroles,parole,22
",",",",p
enfin,enfin,60
son,son,73
dernier,dernier,30
volume,volume,21
",",",",p
sagesse,sagesse,22
",",",",p
renfermaient,renfermer,18
des,de,81
des,le,71
poèmes,poème,21
où,où,60
l',le,71
écrivain,écrivain,21
original,original,30
se,se,51
révélait,révéler,18
",",",",p
tranchant,tranchant,30
sur,sur,81
la,le,71
multitude,multitude,22
de,de,81
ses,son,73
confrères,confrère,21
/.,/.,P
muni,muni,31
de,de,81
rimes,rime,22
obtenues,obtenu,31
par,par,81
des,de,81
des,le,71
temps,temps,21
de,de,81
verbes,verbe,21
",",",",p
quelquefois,quelquefois,60
même,même,60
par,par,81
de,de,81
longs,long,30
adverbes,adverbe,21
précédés,précédé,31
d',de,81
un,un,71
monosyllabe,monosyllabe,22
d',de,81
où,où,60
ils,ils,51
tombaient,tomber,18
comme,comme,83
du,de,81
du,le,71
rebord,rebord,21
d',de,81
une,un,71
pierre,pierre,22
",",",",p
en,en,81
une,un,71
cascade,cascade,22
pesante,pesant,30
d',de,81
eau,eau,22
",",",",p
son,son,73
vers,vers,21
",",",",p
coupé,coupé,31
par,par,81
d',de,81
invraisemblables,invraisemblable,30
césures,césure,22
",",",",p
devenait,devenir,18
souvent,souvent,60
singulièrement,singulièrement,60
abstrus,abstrus,30
",",",",p
avec,avec,81
ses,son,73
ellipses,ellipse,22
audacieuses,audacieux,30
et,et,82
ses,son,73
étranges,étrange,30
incorrections,incorrection,22
qui,qui,52
n',ne,60
étaient,être,18
point,point,60
cependant,cependant,82
sans,sans,81
grâce,grâce,22
/.,/.,P
maniant,manier,13
mieux,mieux,60
que,que,83
pas,pas,60
un,un,52
la,la,21
métrique,métrique,30
",",",",p
il,il,51
avait,avoir,18
tenté,tenter,12
de,de,81
rajeunir,rajeunir,14
les,le,71
poèmes,poème,21
à,à,81
forme,forme,22
fixe,fixe,30
:,:,p
le,le,71
sonnet,sonnet,21
qu',que,52
il,il,51
retournait,retourner,18
",",",",p
la,le,71
queue,queue,22
en,en,81
l',le,71
air,air,21
",",",",p
de,de,81
même,même,60
que,que,83
certains,certain,75
poissons,poisson,21
japonais,japonais,30
en,en,81
terre,terre,22
polychrome,polychrome,30
qui,qui,52
posent,poser,17
sur,sur,81
leur,leur,73
socle,socle,21
",",",",p
les,le,71
ouïes,ouïe,22
en,en,81
bas,bas,21
;,;,p
ou,ou,82
bien,bien,60
il,il,51
le,le,52
dépravait,dépraver,18
",",",",p
en,en,81
n',ne,60
accouplant,accoupler,13
que,que,83
des,de,81
des,le,71
rimes,rime,22
masculines,masculin,30
pour,pour,81
lesquelles,lequel,52
il,il,51
semblait,sembler,18
éprouver,éprouver,14
une,un,71
affection,affection,22
;,;,p
il,il,51
avait,avoir,18
également,également,60
et,et,82
souvent,souvent,60
usé,user,12
d',de,81
une,un,71
forme,forme,22
bizarre,bizarre,30
",",",",p
d',de,81
une,un,71
strophe,strophe,22
de,de,81
trois,trois,72
vers,vers,21
dont,dont,52
le,le,71
médian,médian,30
restait,rester,18
privé,privé,31
de,de,81
rime,rime,22
",",",",p
et,et,82
d',de,81
un,un,71
tercet,tercet,21
",",",",p
monorime,monorime,30
",",",",p
suivi,suivi,31
d',de,81
un,un,71
unique,unique,30
vers,vers,21
",",",",p
jeté,jeté,31
en,en,81
guise,guise,22
de,de,81
refrain,refrain,21
et,et,82
se,se,51
faisant,faire,13
écho,écho,21
avec,avec,81
lui-même,lui-même,51
tels,tel,75
que,que,83
les,le,71
streets,street,92
:,:,p
“,“,p
dansons,danser,17
la,le,71
gigue,gigue,22
“,“,p
;,;,p
il,il,51
avait,avoir,18
employé,employer,12
d',de,81
autres,autre,75
rythmes,rythme,22
encore,encore,60
où,où,60
le,le,71
timbre,timbre,21
presque,presque,60
effacé,effacé,31
ne,ne,60
s',se,51
entendait,entendre,18
plus,plus,60
que,que,83
dans,dans,81
des,de,81
des,le,71
strophes,strophe,22
lointaines,lointain,30
",",",",p
comme,comme,83
un,un,71
son,son,21
éteint,éteint,31
de,de,81
cloche,cloche,22
/.,/.,P
mais,mais,82
sa,son,73
personnalité,personnalité,22
résidait,résider,18
surtout,surtout,60
en,en,81
ceci,ceci,52
:,:,p
qu',que,83
il,il,51
avait,avoir,18
pu,pouvoir,12
exprimer,exprimer,14
de,de,81
vagues,vague,30
et,et,82
délicieuses,délicieux,30
confidences,confidence,22
",",",",p
à mi-voix,à mi-voix,60
",",",",p
au,à,81
au,le,71
crépuscule,crépuscule,21
/.,/.,P
seul,seul,30
",",",",p
il,il,51
avait,avoir,18
pu,pouvoir,12
laisser,laisser,14
deviner,deviner,14
certains,certain,52
au-delà,au-delà,60
troublants,troublant,30
d',de,81
âme,âme,22
",",",",p
des,de,81
des,le,71
chuchotements,chuchotement,21
si,si,60
bas,bas,30
de,de,81
pensées,pensée,22
",",",",p
des,de,81
des,le,71
aveux,aveu,21
si,si,60
murmurés,murmuré,31
",",",",p
si,si,60
interrompus,interrompu,31
",",",",p
que,que,83
l',le,71
oreille,oreille,22
qui,qui,52
les,le,52
percevait,percevoir,18
",",",",p
demeurait,demeurer,18
hésitante,hésitant,30
",",",",p
coulant,couler,13
à,à,81
l',le,71
âme,âme,22
des,de,81
des,le,71
langueurs,langueur,22
avivées,avivé,31
par,par,81
le,le,71
mystère,mystère,21
de,de,81
ce,ce,74
souffle,souffle,21
plus,plus,60
deviné,deviné,31
que,que,83
senti,senti,31
/.,/.,P
tout,tout,75
l',le,71
accent,accent,21
de,de,81
Verlaine,Verlaine,20
était,être,18
dans,dans,81
ces,ce,74
adorables,adorable,30
vers,vers,21
des,de,81
des,le,71
fêtes,fête,22
galantes,galant,30
:,:,p
le,le,71
soir,soir,21
tombait,tomber,18
",",",",p
un,un,71
soir,soir,21
équivoque,équivoque,30
d',de,81
automne,automne,21
",",",",p
les,le,71
belles,belle,22
se,se,51
pendant,pendre,13
rêveuses,rêveur,30
à,à,81
nos,notre,73
bras,bras,21
",",",",p
dirent,dire,19
alors,alors,60
des,de,81
des,le,71
mots,mot,21
si,si,60
spécieux,spécieux,30
tout,tout,60
bas,bas,30
",",",",p
que,que,83
notre,notre,73
âme,âme,22
depuis,depuis,81
ce,ce,74
temps,temps,21
tremble,trembler,17
et,et,82
s',se,51
étonne,étonner,17
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
plus,plus,60
l',le,71
horizon,horizon,21
immense,immense,30
ouvert,ouvert,31
par,par,81
les,le,71
inoubliables,inoubliable,30
portes,porte,22
de,de,81
Baudelaire,Baudelaire,20
",",",",p
c',ce,52
était,être,18
",",",",p
sous,sous,81
un,un,71
clair,clair,21
de,de,81
lune,lune,22
",",",",p
une,un,71
fente,fente,22
entrebâillée,entrebâillé,31
sur,sur,81
un,un,71
champ,champ,21
plus,plus,60
restreint,restreint,31
et,et,82
plus,plus,60
intime,intime,30
",",",",p
en,en,81
somme,somme,22
particulier,particulier,30
à,à,81
l',le,71
auteur,auteur,21
qui,qui,52
avait,avoir,18
",",",",p
du,de,81
du,le,71
reste,reste,21
",",",",p
en,en,81
ces,ce,74
vers,vers,21
dont,dont,52
des,de,81
des,le,71
Esseintes,Esseintes,20
était,être,18
friand,friand,30
",",",",p
formulé,formuler,12
son,son,73
système,système,21
poétique,poétique,30
:,:,p
car,car,82
nous,nous,51
voulons,vouloir,17
la,le,71
nuance,nuance,22
encore,encore,60
",",",",p
pas,pas,60
la,le,71
couleur,couleur,22
",",",",p
rien,rien,52
que,que,83
la,le,71
nuance,nuance,22
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
.,.,p
/.,/.,P
