11459
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-neuvième extrait>,<>,<>
la,le,52
plaça,placer,19
sur,sur,81
mon,mon,73
épaule,épaule,22
pour,pour,81
observer,observer,14
une,un,71
lumière,lumière,22
lointaine,lointain,30
qui,qui,52
glissait,glisser,18
à,à,81
l',le,71
horizon,horizon,21
",",",",p
et,et,82
",",",",p
sachant,savoir,13
à,à,81
l',le,71
instant,instant,21
au,à,81
au,le,71
mouvement,mouvement,21
ce,ce,52
que,que,52
c',ce,52
était,être,18
:,:,p
“,“,p
bateaux,bateau,21
pêcheurs,pêcheur,21
",",",",p
“,“,p
dit,dire,19
il,il,51
",",",",p
et,et,82
il,il,51
se,se,51
plaça,placer,19
près,près,81
de,de,81
moi,moi,51
",",",",p
assis,assis,31
sur,sur,81
le,le,71
bord,bord,21
du,de,81
du,le,71
navire,navire,21
/.,/.,P
je,je,51
voyais,voir,18
qu',que,83
il,il,51
avait,avoir,18
depuis,depuis,81
longtemps,longtemps,60
quelque,quelque,75
chose,chose,22
à,à,81
me,je,51
dire,dire,14
qu',que,83
il,il,51
n',ne,60
abordait,aborder,18
pas,pas,60
/.,/.,P
-,-,p
“,“,p
vous,vous,51
ne,ne,60
me,je,51
parlez,parler,17
jamais,jamais,60
de,de,81
votre,votre,73
père,père,21
",",",",p
me,je,51
dit,dire,19
il,il,51
tout,tout,60
à,à,81
coup,coup,21
;,;,p
je,je,51
suis,être,17
étonné,étonner,12
que,que,83
vous,vous,51
ne,ne,60
m',je,51
interrogiez,interroger,17
pas,pas,60
sur,sur,81
lui,lui,51
",",",",p
sur,sur,81
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
souffert,souffrir,12
",",",",p
sur,sur,81
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
dit,dire,12
",",",",p
sur,sur,81
ses,son,73
volontés,volonté,22
/.,/.,P
“,“,p
et,et,82
comme,comme,83
la,le,71
nuit,nuit,22
était,être,18
très,très,60
claire,clair,30
",",",",p
je,je,51
vis,voir,19
encore,encore,60
que,que,83
j',je,51
étais,être,18
attentivement,attentivement,60
observé,observer,12
par,par,81
ses,son,73
grands,grand,30
yeux,oeil,21
noirs,noir,30
/.,/.,P
-,-,p
“,“,p
je,je,51
craignais,craindre,18
d',de,81
être,être,14
indiscret,indiscret,30
/…,/…,P
“,“,p
lui,lui,51
dis,dire,19
je,je,51
avec,avec,81
embarras,embarras,21
/.,/.,P
il,il,51
me,je,51
serra,serrer,19
le,le,71
bras,bras,21
",",",",p
comme,comme,83
pour,pour,81
m',je,51
empêcher,empêcher,14
de,de,81
parler,parler,14
davantage,davantage,60
/.,/.,P
-,-,p
“,“,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
cela,cela,52
",",",",p
dit,dire,19
il,il,51
",",",",p
my,my,92
child,child,92
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
cela,cela,52
/.,/.,P
“,“,p
et,et,82
il,il,51
secouait,secouer,18
la,le,71
tête,tête,22
avec,avec,81
doute,doute,21
et,et,82
bonté,bonté,22
/.,/.,P
-,-,p
“,“,p
j',je,51
ai,avoir,17
trouvé,trouver,12
peu,peu,60
d',de,81
occasions,occasion,22
de,de,81
vous,vous,51
parler,parler,14
",",",",p
milord,milord,21
/.,/.,P
-,-,p
encore,encore,60
moins,moins,60
",",",",p
interrompit,interrompre,19
il,il,51
;,;,p
vous,vous,51
m',je,51
auriez,avoir,16
parlé,parler,12
de,de,81
cela,cela,52
tous,tout,75
les,le,71
jours,jour,21
",",",",p
si,si,83
vous,vous,51
l',le,52
aviez,avoir,18
voulu,vouloir,12
/.,/.,P
“,“,p
je,je,51
remarquai,remarquer,19
de,de,81
l',le,71
agitation,agitation,22
et,et,82
un,un,71
peu,peu,60
de,de,81
reproche,reproche,21
dans,dans,81
son,son,73
accent,accent,21
/.,/.,P
c',ce,52
était,être,18
là,là,60
ce,ce,52
qui,qui,52
lui,lui,51
tenait,tenir,18
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
je,je,51
m',je,51
avisai,aviser,19
encore,encore,60
d',de,81
une,un,71
autre,autre,75
sorte,sorte,22
de,de,81
réponse,réponse,22
pour,pour,81
me,je,51
justifier,justifier,14
;,;,p
car,car,82
rien,rien,52
ne,ne,60
rend,rendre,17
aussi,aussi,60
niais,niais,30
que,que,83
les,le,71
mauvaises,mauvais,30
excuses,excuse,22
/.,/.,P
-,-,p
“,“,p
milord,milord,21
",",",",p
lui,lui,51
dis,dire,19
je,je,51
",",",",p
le,le,71
sentiment,sentiment,21
humiliant,humiliant,30
de,de,81
la,le,71
captivité,captivité,22
absorbe,absorber,17
plus,plus,60
que,que,83
vous,vous,51
ne,ne,60
pouvez,pouvoir,17
croire,croire,14
/.,/.,P
“,“,p
et,et,82
je,je,51
me,je,51
souviens,souvenir,17
que,que,83
je,je,51
crus,croire,19
prendre,prendre,14
",",",",p
en,en,81
disant,dire,13
cela,cela,52
",",",",p
un,un,71
air,air,21
de,de,81
dignité,dignité,22
et,et,82
une,un,71
contenance,contenance,22
de,de,81
Régulus,Régulus,20
",",",",p
propres,propre,30
à,à,81
lui,lui,51
donner,donner,14
un,un,71
grand,grand,30
respect,respect,21
pour,pour,81
moi,moi,51
/.,/.,P
-,-,p
“,“,p
ah,ah,93
!,!,p
pauvre,pauvre,30
garçon,garçon,21
!,!,p
pauvre,pauvre,30
enfant,enfant,21
!,!,p
poor,poor,92
boy,boy,21
!,!,p
me,je,51
dit,dire,19
il,il,51
",",",",p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
dans,dans,81
le,le,71
vrai,vrai,30
/.,/.,P
vous,vous,51
ne,ne,60
descendez,descendre,17
pas,pas,60
en,en,81
vous-même,vous-même,51
/.,/.,P
cherchez,chercher,17
bien,bien,60
",",",",p
et,et,82
vous,vous,51
trouverez,trouver,15
une,un,71
indifférence,indifférence,22
dont,dont,52
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
comptable,comptable,30
",",",",p
mais,mais,82
bien,bien,60
la,le,71
destinée,destinée,22
militaire,militaire,30
de,de,81
votre,votre,73
pauvre,pauvre,30
père,père,21
/.,/.,P
“,“,p
il,il,51
avait,avoir,18
ouvert,ouvrir,12
le,le,71
chemin,chemin,21
à,à,81
la,le,71
vérité,vérité,22
",",",",p
je,je,51
la,le,52
laissai,laisser,19
partir,partir,14
/.,/.,P
-,-,p
“,“,p
il,il,51
est,être,17
certain,certain,30
",",",",p
dis,dire,17
je,je,51
",",",",p
que,que,83
je,je,51
ne,ne,60
connaissais,connaître,18
pas,pas,60
mon,mon,73
père,père,21
:,:,p
je,je,51
l',le,52
ai,avoir,17
à,à,81
peine,peine,22
vu,voir,12
à,à,81
Malte,Malte,20
",",",",p
une,un,71
fois,fois,22
/.,/.,P
-,-,p
voilà,voilà,81
le,le,71
vrai,vrai,30
!,!,p
cria,crier,19
t,t,94
il,il,51
/.,/.,P
voilà,voilà,81
le,le,71
cruel,cruel,30
",",",",p
mon,mon,73
ami,ami,21
/!,/!,P
mes,mon,73
deux,deux,72
filles,fille,22
diront,dire,15
un,un,71
jour,jour,21
comme,comme,83
cela,cela,52
/.,/.,P
elles,ils,51
diront,dire,15
:,:,p
nous,nous,51
ne,ne,60
connaissons,connaître,17
pas,pas,60
notre,notre,73
père,père,21
/!,/!,P
Sarah,Sarah,20
et,et,82
Mary,Mary,20
diront,dire,15
cela,cela,52
!,!,p
et,et,82
cependant,cependant,82
je,je,51
les,le,52
aime,aimer,17
avec,avec,81
un,un,71
coeur,coeur,21
ardent,ardent,30
et,et,82
tendre,tendre,30
",",",",p
je,je,51
les,le,52
élève,élever,17
de,de,81
loin,loin,60
",",",",p
je,je,51
les,le,52
surveille,surveiller,17
de,de,81
mon,mon,73
vaisseau,vaisseau,21
",",",",p
je,je,51
leur,leur,52
écris,écrire,17
tous,tout,75
les,le,71
jours,jour,21
",",",",p
je,je,51
dirige,diriger,17
leurs,leur,73
lectures,lecture,22
",",",",p
leurs,leur,73
travaux,travail,21
",",",",p
je,je,51
leur,leur,52
envoie,envoyer,17
des,de,81
des,le,71
idées,idée,22
et,et,82
des,de,81
des,le,71
sentiments,sentiment,21
",",",",p
je,je,51
reçois,recevoir,17
en,en,81
échange,échange,21
leurs,leur,73
confidences,confidence,22
d',de,81
enfants,enfant,21
;,;,p
je,je,51
les,le,52
gronde,gronder,17
",",",",p
je,je,51
m',je,51
apaise,apaiser,17
",",",",p
je,je,51
me,je,51
réconcilie,réconcilier,17
avec,avec,81
elles,ils,51
;,;,p
je,je,51
sais,savoir,17
tout,tout,52
ce,ce,52
qu',que,52
elles,ils,51
font,faire,17
!,!,p
je,je,51
sais,savoir,17
quel,quel,75
jour,jour,21
elles,ils,51
ont,avoir,17
été,être,12
au,à,81
au,le,71
temple,temple,21
avec,avec,81
de,de,81
trop,trop,60
belles,beau,30
robes,robe,22
/.,/.,P
je,je,51
donne,donner,17
à,à,81
leur,leur,73
mère,mère,22
de,de,81
continuelles,continuel,30
instructions,instruction,22
pour,pour,81
elles,ils,51
",",",",p
je,je,51
prévois,prévoir,17
d',de,81
avance,avance,22
qui,qui,52
les,le,52
aimera,aimer,15
",",",",p
qui,qui,52
les,le,52
demandera,demander,15
",",",",p
qui,qui,52
les,le,52
épousera,épouser,15
;,;,p
leurs,leur,73
maris,mari,21
seront,être,15
mes,mon,73
fils,fils,21
;,;,p
j',je,51
en,en,52
fais,faire,17
des,de,81
des,le,71
femmes,femme,22
pieuses,pieux,30
et,et,82
simples,simple,30
:,:,p
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
être,être,14
plus,plus,60
père,père,21
que,que,83
je,je,51
ne,ne,60
le,le,52
suis,être,17
/…,/…,P
eh,eh,93
bien,bien,60
!,!,p
tout,tout,75
cela,cela,52
n',ne,60
est,être,17
rien,rien,52
",",",",p
parce qu',parce que,83
elles,ils,51
ne,ne,60
me,je,51
voient,voir,17
pas,pas,60
/.,/.,P
“,“,p
il,il,51
dit,dire,19
ces,ce,74
derniers,dernier,30
mots,mot,21
d',de,81
une,un,71
voix,voix,22
émue,ému,31
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
laquelle,lequel,52
on,on,51
sentait,sentir,18
des,de,81
des,le,71
larmes,larme,22
/…,/…,P
après,après,81
un,un,71
moment,moment,21
de,de,81
silence,silence,21
",",",",p
il,il,51
continua,continuer,19
:,:,p
“,“,p
oui,oui,60
",",",",p
Sarah,Sarah,20
ne,ne,60
s',se,51
est,être,17
jamais,jamais,60
assise,asseoir,12
sur,sur,81
mes,mon,73
genoux,genou,21
que,que,83
lorsqu',lorsque,83
elle,il,51
avait,avoir,18
deux,deux,72
ans,an,21
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
tenu,tenir,12
Mary,Mary,20
dans,dans,81
mes,mon,73
bras,bras,21
que,que,83
lorsque,lorsque,83
ses,son,73
yeux,oeil,21
n',ne,60
étaient,être,18
pas,pas,60
ouverts,ouvrir,12
encore,encore,60
/.,/.,P
oui,oui,60
",",",",p
il,il,51
est,être,17
juste,juste,30
que,que,83
vous,vous,51
ayez,avoir,17
été,être,12
indifférent,indifférent,30
pour,pour,81
votre,votre,73
père,père,21
et,et,82
qu',que,83
elles,ils,51
le,le,52
deviennent,devenir,17
un,un,71
jour,jour,21
pour,pour,81
moi,moi,51
/.,/.,P
on,on,51
n',ne,60
aime,aimer,17
pas,pas,60
un,un,71
invisible,invisible,30
/.,/.,P
-,-,p
que,que,52
est,être,17
ce,ce,52
pour,pour,81
elles,ils,51
que,que,83
leur,leur,73
père,père,21
?,?,p
une,un,71
lettre,lettre,22
de,de,81
chaque,chaque,75
jour,jour,21
/.,/.,P
un,un,71
conseil,conseil,21
plus,plus,60
ou,ou,82
moins,moins,60
froid,froid,30
/.,/.,P
-,-,p
on,on,51
n',ne,60
aime,aimer,17
pas,pas,60
un,un,71
conseil,conseil,21
",",",",p
on,on,51
aime,aimer,17
un,un,71
être,être,21
",",",",p
-,-,p
et,et,82
un,un,71
être,être,21
qu',que,52
on,on,51
ne,ne,60
voit,voir,17
pas,pas,60
n',ne,60
est,être,17
pas,pas,60
",",",",p
on,on,51
ne,ne,60
l',le,52
aime,aimer,17
pas,pas,60
",",",",p
-,-,p
et,et,82
quand,quand,83
il,il,51
est,être,17
mort,mourir,12
",",",",p
il,il,51
n',ne,60
est,être,17
pas,pas,60
plus,plus,60
absent,absent,30
qu',que,83
il,il,51
n',ne,60
était,être,18
déjà,déjà,60
",",",",p
-,-,p
et,et,82
on,on,51
ne,ne,60
le,le,52
pleure,pleurer,17
pas,pas,60
/.,/.,P
“,“,p
il,il,51
étouffait,étouffer,18
et,et,82
il,il,51
s',se,51
arrêta,arrêter,19
/.,/.,P
-,-,p
ne,ne,60
voulant,vouloir,13
pas,pas,60
aller,aller,14
plus,plus,60
loin,loin,60
dans,dans,81
ce,ce,74
sentiment,sentiment,21
de,de,81
douleur,douleur,22
devant,devant,81
un,un,71
étranger,étranger,21
",",",",p
il,il,51
s',se,51
éloigna,éloigner,19
",",",",p
il,il,51
se,se,51
promena,promener,19
quelque,quelque,75
temps,temps,21
et,et,82
marcha,marcher,19
sur,sur,81
le,le,71
pont,pont,21
de,de,81
long,long,21
en,en,81
large,large,21
/.,/.,P
je,je,51
fus,être,19
d'abord,d'abord,60
très,très,60
touché,toucher,12
de,de,81
cette,ce,74
vue,vue,22
",",",",p
et,et,82
ce,ce,52
fut,être,19
un,un,71
remords,remords,21
qu',que,52
il,il,51
me,je,51
donna,donner,19
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
assez,assez,60
senti,sentir,12
ce,ce,52
que,que,52
vaut,valoir,17
un,un,71
père,père,21
",",",",p
et,et,82
je,je,51
dus,devoir,19
à,à,81
cette,ce,74
soirée,soirée,22
la,le,71
première,premier,72
émotion,émotion,22
bonne,bon,30
",",",",p
naturelle,naturel,30
",",",",p
sainte,saint,30
",",",",p
que,que,52
mon,mon,73
coeur,coeur,21
ait,avoir,17
éprouvée,éprouver,12
/.,/.,P
à,à,81
ces,ce,74
regrets,regret,21
profonds,profond,30
",",",",p
à,à,81
cette,ce,74
tristesse,tristesse,22
insurmontable,insurmontable,30
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
plus,plus,60
brillant,brillant,30
éclat,éclat,21
militaire,militaire,30
",",",",p
je,je,51
compris,comprendre,19
tout,tout,52
ce,ce,52
que,que,52
j',je,51
avais,avoir,18
perdu,perdre,12
en,en,81
ne,ne,60
connaissant,connaître,13
pas,pas,60
l',le,71
amour,amour,21
du,de,81
du,le,71
foyer,foyer,21
qui,qui,52
pouvait,pouvoir,18
laisser,laisser,14
dans,dans,81
un,un,71
grand,grand,30
coeur,coeur,21
de,de,81
si,si,60
cuisants,cuisant,30
regrets,regret,21
;,;,p
je,je,51
compris,comprendre,19
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
y,y,52
avait,avoir,18
de,de,81
factice,factice,30
dans,dans,81
notre,notre,73
éducation,éducation,22
barbare,barbare,30
et,et,82
brutale,brutal,30
",",",",p
dans,dans,81
notre,notre,73
besoin,besoin,21
insatiable,insatiable,30
d',de,81
action,action,22
étourdissante,étourdissant,30
;,;,p
je,je,51
vis,voir,19
",",",",p
comme,comme,83
par,par,81
une,un,71
révélation,révélation,22
soudaine,soudain,30
du,de,81
du,le,71
coeur,coeur,21
",",",",p
qu',que,83
il,il,51
y,y,52
avait,avoir,18
une,un,71
vie,vie,22
adorable,adorable,30
et,et,82
regrettable,regrettable,30
dont,dont,52
j',je,51
avais,avoir,18
été,être,12
arraché,arracher,12
violemment,violemment,60
",",",",p
une,un,71
vie,vie,22
véritable,véritable,30
d',de,81
amour,amour,21
paternel,paternel,30
",",",",p
en,en,81
échange,échange,21
de,de,81
laquelle,lequel,52
on,on,51
nous,nous,51
faisait,faire,18
une,un,71
vie,vie,22
fausse,faux,30
",",",",p
toute,tout,60
composée,composé,31
de,de,81
haines,haine,22
et,et,82
de,de,81
toutes,tout,75
sortes,sorte,22
de,de,81
vanités,vanité,22
puériles,puéril,30
;,;,p
je,je,51
compris,comprendre,19
qu',que,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
qu',que,83
une,un,71
chose,chose,22
plus,plus,60
belle,beau,30
que,que,83
la,le,71
famille,famille,22
et,et,82
à,à,81
laquelle,lequel,52
on,on,51
pût,pouvoir,18
saintement,saintement,60
l',le,52
immoler,immoler,14
:,:,p
c',ce,52
était,être,18
l',le,71
autre,autre,75
famille,famille,22
",",",",p
la,le,71
patrie,patrie,22
/.,/.,P
et,et,82
tandis que,tandis que,83
le,le,71
vieux,vieux,30
brave,brave,21
",",",",p
s',se,51
éloignant,éloigner,13
de,de,81
moi,moi,51
",",",",p
pleurait,pleurer,18
parce qu',parce que,83
il,il,51
était,être,18
bon,bon,30
",",",",p
je,je,51
mis,mettre,19
ma,mon,73
tête,tête,22
dans,dans,81
mes,mon,73
deux,deux,72
mains,main,22
",",",",p
et,et,82
je,je,51
pleurai,pleurer,19
de,de,81
ce,ce,52
que,que,52
j',je,51
avais,avoir,18
été,être,12
jusque-là,jusque-là,81
si,si,60
mauvais,mauvais,30
/.,/.,P
après,après,81
quelques,quelque,75
minutes,minute,22
",",",",p
l',le,71
amiral,amiral,21
revint,revenir,19
à,à,81
moi,moi,51
/.,/.,P
-,-,p
“,“,p
j',je,51
ai,avoir,17
à,à,81
vous,vous,51
dire,dire,14
",",",",p
reprit,reprendre,19
il,il,51
d',de,81
un,un,71
ton,ton,21
plus,plus,60
ferme,ferme,30
",",",",p
que,que,83
nous,nous,51
ne,ne,60
tarderons,tarder,15
pas,pas,60
à,à,81
nous,nous,51
rapprocher,rapprocher,14
de,de,81
la,le,71
France,France,20
/.,/.,P
je,je,51
suis,être,17
une,un,71
éternelle,éternel,30
sentinelle,sentinelle,22
placée,placé,31
devant,devant,81
vos,votre,73
ports,port,21
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
qu',que,83
un,un,71
mot,mot,21
à,à,81
ajouter,ajouter,14
",",",",p
et,et,82
j',je,51
ai,avoir,17
voulu,vouloir,12
que,que,83
ce,ce,52
fût,être,19
seul,seul,30
à,à,81
seul,seul,30
:,:,p
souvenez,souvenir,17
vous,vous,51
que,que,83
vous,vous,51
êtes,être,17
ici,ici,60
sur,sur,81
votre,votre,73
parole,parole,22
",",",",p
et,et,82
que,que,52
je,je,51
ne,ne,60
vous,vous,51
surveillerai,surveiller,15
point,point,60
;,;,p
mais,mais,82
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
plus,plus,60
le,le,71
temps,temps,21
passera,passer,15
",",",",p
plus,plus,60
l',le,71
épreuve,épreuve,22
sera,être,15
forte,fort,30
/.,/.,P
vous,vous,51
êtes,être,17
bien,bien,60
jeune,jeune,30
encore,encore,60
;,;,p
si,si,83
la,le,71
tentation,tentation,22
devient,devenir,17
trop,trop,60
grande,grand,30
pour,pour,81
que,que,83
votre,votre,73
courage,courage,21
y,y,52
résiste,résister,17
",",",",p
venez,venir,17
me,je,51
trouver,trouver,14
quand,quand,83
vous,vous,51
craindrez,craindre,15
de,de,81
succomber,succomber,14
",",",",p
et,et,82
ne,ne,60
vous,vous,51
cachez,cacher,17
pas,pas,60
de,de,81
moi,moi,51
",",",",p
je,je,51
vous,vous,51
sauverai,sauver,15
d',de,81
une,un,71
action,action,22
déshonorante,déshonorant,30
que,que,52
",",",",p
par,par,81
malheur,malheur,21
pour,pour,81
leurs,leur,73
noms,nom,21
",",",",p
quelques,quelque,75
officiers,officier,21
ont,avoir,17
commise,commettre,12
/.,/.,P
souvenez,souvenir,17
vous,vous,51
qu',que,83
il,il,51
est,être,17
permis,permettre,12
de,de,81
rompre,rompre,14
une,un,71
chaîne,chaîne,22
de,de,81
galérien,galérien,21
",",",",p
si,si,83
l',l',94
on,on,51
peut,pouvoir,17
",",",",p
mais,mais,82
non,non,60
une,un,71
parole,parole,22
d',de,81
honneur,honneur,21
/.,/.,P
“,“,p
et,et,82
il,il,51
me,je,51
quitta,quitter,19
sur,sur,81
ces,ce,74
derniers,dernier,30
mots,mot,21
en,en,81
me,je,51
serrant,serrer,13
la,le,71
main,main,22
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
si,si,83
vous,vous,51
avez,avoir,17
remarqué,remarquer,12
",",",",p
en,en,81
vivant,vivre,13
",",",",p
monsieur,monsieur,21
",",",",p
que,que,83
les,le,71
révolutions,révolution,22
qui,qui,52
s',se,51
accomplissent,accomplir,17
dans,dans,81
notre,notre,73
âme,âme,22
dépendent,dépendre,17
souvent,souvent,60
d',de,81
une,un,71
journée,journée,22
",",",",p
d',de,81
une,un,71
heure,heure,22
",",",",p
d',de,81
une,un,71
conversation,conversation,22
mémorable,mémorable,30
et,et,82
imprévue,imprévu,30
qui,qui,52
nous,nous,51
ébranle,ébranler,17
et,et,82
jette,jeter,17
en,en,81
nous,nous,51
comme,comme,83
des,de,81
des,le,71
germes,germe,21
tout,tout,60
nouveaux,nouveau,30
qui,qui,52
croissent,croître,17
lentement,lentement,60
",",",",p
dont,dont,52
le,le,71
reste,reste,21
de,de,81
nos,notre,73
actions,action,22
est,être,17
seulement,seulement,60
la,le,71
conséquence,conséquence,22
et,et,82
le,le,71
naturel,naturel,30
développement,développement,21
/.,/.,P
telles,tel,52
furent,être,19
pour,pour,81
moi,moi,51
la,le,71
matinée,matinée,22
de,de,81
Fontainebleau,Fontainebleau,20
et,et,82
la,le,71
nuit,nuit,22
du,de,81
du,le,71
vaisseau,vaisseau,21
anglais,anglais,30
/.,/.,P
l',le,71
amiral,amiral,21
Collingwood,Collingwood,20
me,je,51
laissa,laisser,19
en,en,81
proie,proie,22
à,à,81
un,un,71
combat,combat,21
nouveau,nouveau,30
/.,/.,P
ce,ce,52
qui,qui,52
n',ne,60
était,être,18
en,en,81
moi,moi,51
qu',que,83
un,un,71
ennui,ennui,21
profond,profond,30
de,de,81
la,le,71
captivité,captivité,22
et,et,82
une,un,71
immense,immense,30
et,et,82
juvénile,juvénile,30
impatience,impatience,22
d',de,81
agir,agir,14
",",",",p
devint,devenir,19
un,un,71
besoin,besoin,21
effréné,effréné,30
de,de,81
la,le,71
patrie,patrie,22
;,;,p
à,à,81
voir,voir,14
quelle,quel,75
douleur,douleur,22
minait,miner,18
à,à,81
la,le,71
longue,longue,22
un,un,71
homme,homme,21
toujours,toujours,60
séparé,séparé,31
de,de,81
la,le,71
terre,terre,22
maternelle,maternel,30
",",",",p
je,je,51
me,je,51
sentis,sentir,19
une,un,71
grande,grand,30
hâte,hâte,22
de,de,81
connaître,connaître,14
et,et,82
d',de,81
adorer,adorer,14
la,le,71
mienne,mien,52
;,;,p
je,je,51
m',je,51
inventai,inventer,19
des,de,81
des,le,71
biens,bien,21
passionnés,passionné,31
qui,qui,52
ne,ne,60
m',je,51
attendaient,attendre,18
pas,pas,60
en,en,81
effet,effet,21
;,;,p
je,je,51
m',je,51
imaginai,imaginer,19
une,un,71
famille,famille,22
et,et,82
me,je,51
mis,mettre,19
à,à,81
rêver,rêver,14
à,à,81
des,de,81
des,le,71
parents,parent,21
que,que,52
j',je,51
avais,avoir,18
à,à,81
peine,peine,22
connus,connaître,12
et,et,82
que,que,52
je,je,51
me,je,51
reprochais,reprocher,18
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
assez,assez,60
chéris,chérir,12
",",",",p
tandis qu',tandis que,83
habitués,habitué,31
à,à,81
me,je,51
compter,compter,14
pour,pour,81
rien,rien,52
ils,ils,51
vivaient,vivre,18
dans,dans,81
leur,leur,73
froideur,froideur,22
et,et,82
leur,leur,73
égoïsme,égoïsme,21
",",",",p
parfaitement,parfaitement,60
indifférents,indifférent,30
à,à,81
mon,mon,73
existence,existence,22
abandonnée,abandonné,31
et,et,82
manquée,manqué,31
/.,/.,P
ainsi,ainsi,60
le,le,71
bien,bien,21
même,même,30
tourna,tourner,19
au,à,81
au,le,71
mal,mal,21
en,en,81
moi,moi,51
;,;,p
ainsi,ainsi,60
le,le,71
sage,sage,30
conseil,conseil,21
que,que,52
le,le,71
brave,brave,30
amiral,amiral,21
avait,avoir,18
cru,croire,12
devoir,devoir,14
me,je,51
donner,donner,14
",",",",p
il,il,51
me,je,51
l',le,52
avait,avoir,18
apporté,apporter,12
tout,tout,60
entouré,entouré,31
d',de,81
une,un,71
émotion,émotion,22
qui,qui,52
lui,lui,51
était,être,18
propre,propre,30
et,et,82
qui,qui,52
parlait,parler,18
plus,plus,60
haut,haut,60
que,que,83
lui,lui,51
;,;,p
sa,son,73
voix,voix,22
troublée,troublé,31
m',je,51
avait,avoir,18
plus,plus,60
touché,toucher,12
que,que,83
la,le,71
sagesse,sagesse,22
de,de,81
ses,son,73
paroles,parole,22
;,;,p
et,et,82
tandis qu',tandis que,83
il,il,51
croyait,croire,18
resserrer,resserrer,14
ma,mon,73
chaîne,chaîne,22
",",",",p
il,il,51
avait,avoir,18
excité,exciter,12
plus,plus,60
vivement,vivement,60
en,en,81
moi,moi,51
le,le,71
désir,désir,21
effréné,effréné,30
de,de,81
la,le,52
rompre,rompre,14
/.,/.,P
-,-,p
il,il,51
en,en,52
est,être,17
ainsi,ainsi,60
presque,presque,60
toujours,toujours,60
de,de,81
tous,tout,75
les,le,71
conseils,conseil,21
écrits,écrit,31
ou,ou,82
parlés,parlé,31
/.,/.,P
l',le,71
expérience,expérience,22
seule,seul,30
et,et,82
le,le,71
raisonnement,raisonnement,21
qui,qui,52
sort,sortir,17
de,de,81
nos,notre,73
propres,propre,30
réflexions,réflexion,22
peuvent,pouvoir,17
nous,nous,51
instruire,instruire,14
/.,/.,P
voyez,voir,17
",",",",p
vous,vous,51
qui,qui,52
vous,vous,51
en,en,52
mêlez,mêler,17
",",",",p
l',le,71
inutilité,inutilité,22
des,de,81
des,le,71
belles-lettres,belles-lettres,22
/.,/.,P
à,à,81
quoi,quoi,52
servez,servir,17
vous,vous,51
?,?,p
qui,qui,52
convertissez,convertir,17
vous,vous,51
?,?,p
et,et,82
de,de,81
qui,qui,52
êtes,être,17
vous,vous,51
jamais,jamais,60
compris,comprendre,12
",",",",p
s',si,83
il,il,51
vous,vous,51
plaît,plaire,17
/?,/?,P
vous,vous,51
faites,faire,17
presque,presque,60
toujours,toujours,60
réussir,réussir,14
la,le,71
cause,cause,22
contraire,contraire,30
à,à,81
celle,celui,52
que,que,52
vous,vous,51
plaidez,plaider,17
/.,/.,P
regardez,regarder,17
",",",",p
il,il,51
y,y,52
en,en,52
a,avoir,17
un,un,52
qui,qui,52
fait,faire,17
de,de,81
Clarisse,Clarisse,20
le,le,71
plus,plus,60
beau,beau,30
poème,poème,21
épique,épique,30
possible,possible,30
sur,sur,81
la,le,71
vertu,vertu,22
de,de,81
la,le,71
femme,femme,22
;,;,p
-,-,p
qu',que,52
arrive,arriver,17
t,t,94
il,il,51
/?,/?,P
on,on,51
prend,prendre,17
le,le,71
contre-pied,contre-pied,21
et,et,82
l',l',94
on,on,51
se,se,51
passionne,passionner,17
pour,pour,81
Lovelace,Lovelace,20
",",",",p
qu',que,52
elle,il,51
écrase,écraser,17
pourtant,pourtant,60
de,de,81
sa,son,73
splendeur,splendeur,22
virginale,virginal,30
",",",",p
que,que,52
le,le,71
viol,viol,21
même,même,30
n',ne,60
a,avoir,17
pas,pas,60
ternie,ternir,12
;,;,p
pour,pour,81
Lovelace,Lovelace,20
",",",",p
qui,qui,52
se,se,51
traîne,traîner,17
en,en,81
vain,vain,30
à,à,81
genoux,genou,21
pour,pour,81
implorer,implorer,14
la,le,71
grâce,grâce,22
de,de,81
sa,son,73
victime,victime,22
sainte,saint,30
",",",",p
