11269
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquième extrait>,<>,<>
du,de,81
du,le,71
col,col,21
entre,entre,81
les,le,71
brides,bride,22
du,de,81
du,le,71
chapeau,chapeau,21
et,et,82
le,le,71
haut,haut,30
du,de,81
du,le,71
châle,châle,21
étincelait,étinceler,18
d',de,81
une,un,71
blancheur,blancheur,22
irisée,irisé,31
",",",",p
au,à,81
au,le,71
bord,bord,21
des,de,81
des,le,71
contours,contour,21
",",",",p
de,de,81
vagues,vague,30
reflets,reflet,21
d',de,81
opale,opale,22
/.,/.,P
cette,ce,74
tête,tête,22
éclatante,éclatant,30
ne,ne,60
saisissait,saisir,18
pas,pas,60
d'abord,d'abord,60
par,par,81
le,le,71
dessin,dessin,21
",",",",p
mais,mais,82
bien,bien,60
par,par,81
le,le,71
coloris,coloris,21
",",",",p
comme,comme,83
les,le,71
belles,beau,30
productions,production,22
de,de,81
l',le,71
école,école,22
vénitienne,vénitien,30
",",",",p
quoique,quoique,83
ses,son,73
traits,trait,21
fussent,être,18
aussi,aussi,60
purs,pur,30
et,et,82
aussi,aussi,60
délicats,délicat,30
que,que,83
ceux,celui,52
des,de,81
des,le,71
profils,profil,21
antiques,antique,30
découpés,découpé,31
dans,dans,81
l',le,71
agate,agate,22
des,de,81
des,le,71
camées,camée,21
/.,/.,P
“,“,p
comme,comme,83
Roméo,Roméo,20
oublie,oublier,17
Rosalinde,Rosalinde,20
à,à,81
l',le,71
aspect,aspect,21
de,de,81
Juliette,Juliette,20
",",",",p
à,à,81
l',le,71
apparition,apparition,22
de,de,81
cette,ce,74
beauté,beauté,22
suprême,suprême,30
j',je,51
oubliai,oublier,19
mes,mon,73
amours,amour,21
d',de,81
autrefois,autrefois,60
/.,/.,P
les,le,71
pages,page,22
de,de,81
mon,mon,73
coeur,coeur,21
redevinrent,redevenir,19
blanches,blanc,30
:,:,p
tout,tout,75
nom,nom,21
",",",",p
tout,tout,75
souvenir,souvenir,21
en,en,52
disparurent,disparaître,19
/.,/.,P
je,je,51
ne,ne,60
comprenais,comprendre,18
pas,pas,60
comment,comment,60
j',je,51
avais,avoir,18
pu,pouvoir,12
trouver,trouver,14
quelque,quelque,75
attrait,attrait,21
dans,dans,81
ces,ce,74
liaisons,liaison,22
vulgaires,vulgaire,30
que,que,83
peu,peu,60
de,de,81
jeunes,jeune,30
gens,gens,21
évitent,éviter,17
",",",",p
et,et,82
je,je,51
me,je,51
les,le,52
reprochai,reprocher,19
comme,comme,83
de,de,81
coupables,coupable,30
infidélités,infidélité,22
/.,/.,P
une,un,71
vie,vie,22
nouvelle,nouveau,30
data,dater,19
pour,pour,81
moi,moi,51
de,de,81
cette,ce,74
fatale,fatal,30
rencontre,rencontre,22
/.,/.,P
“,“,p
la,le,71
calèche,calèche,22
quitta,quitter,19
les,le,71
Cascines,Cascines,20
et,et,82
reprit,reprendre,19
le,le,71
chemin,chemin,21
de,de,81
la,le,71
ville,ville,22
",",",",p
emportant,emporter,13
l',le,71
éblouissante,éblouissant,30
vision,vision,22
;,;,p
je,je,51
mis,mettre,19
mon,mon,73
cheval,cheval,21
auprès,auprès,60
de,de,81
celui,celui,52
d',de,81
un,un,71
jeune,jeune,30
Russe,Russe,20
très,très,60
aimable,aimable,30
",",",",p
grand,grand,30
coureur,coureur,21
d',de,81
eaux,eau,22
",",",",p
répandu,répandu,31
dans,dans,81
tous,tout,75
les,le,71
salons,salon,21
cosmopolites,cosmopolite,30
d',de,81
Europe,Europe,20
",",",",p
et,et,82
qui,qui,52
connaissait,connaître,18
à,à,81
fond,fond,21
le,le,71
personnel,personnel,21
voyageur,voyageur,30
de,de,81
la,le,71
haute,haut,30
vie,vie,22
;,;,p
j',je,51
amenai,amener,19
la,le,71
conversation,conversation,22
sur,sur,81
l',le,71
étrangère,étrangère,22
",",",",p
et,et,82
j',je,51
appris,apprendre,19
que,que,83
c',ce,52
était,être,18
la,le,71
comtesse,comtesse,22
Prascovie,Prascovie,20
Labinska,Labinska,20
",",",",p
une,un,71
Lituanienne,Lituanien,20
de,de,81
naissance,naissance,22
illustre,illustre,30
et,et,82
de,de,81
grande,grand,30
fortune,fortune,22
",",",",p
dont,dont,52
le,le,71
mari,mari,21
faisait,faire,18
depuis,depuis,81
deux,deux,72
ans,an,21
la,le,71
guerre,guerre,22
du,de,81
du,le,71
Caucase,Caucase,20
/.,/.,P
“,“,p
il,il,51
est,être,17
inutile,inutile,30
de,de,81
vous,vous,51
dire,dire,14
quelles,quel,75
diplomaties,diplomatie,22
je,je,51
mis,mettre,19
en,en,81
oeuvre,oeuvre,22
pour,pour,81
être,être,14
reçu,recevoir,12
chez,chez,81
la,le,71
comtesse,comtesse,22
que,que,83
l',le,71
absence,absence,22
du,de,81
du,le,71
comte,comte,21
rendait,rendre,18
très,très,60
réservée,réservé,31
à,à,81
l',le,71
endroit,endroit,21
des,de,81
des,le,71
présentations,présentation,22
;,;,p
enfin,enfin,60
",",",",p
je,je,51
fus,être,19
admis,admettre,12
;,;,p
-,-,p
deux,deux,72
princesses,princesse,22
douairières,douairière,30
et,et,82
quatre,quatre,72
baronnes,baronne,22
hors,hors,81
d',de,81
âge,âge,21
répondaient,répondre,18
de,de,81
moi,moi,51
sur,sur,81
leur,leur,73
antique,antique,30
vertu,vertu,22
/.,/.,P
“,“,p
la,le,71
comtesse,comtesse,22
Labinska,Labinska,20
avait,avoir,18
loué,louer,12
une,un,71
villa,villa,22
magnifique,magnifique,30
",",",",p
ayant,avoir,13
appartenu,appartenir,12
jadis,jadis,60
aux,à,81
aux,le,71
Salviati,Salviati,20
",",",",p
à,à,81
une,un,71
demie,demi,30
lieu,lieu,21
de,de,81
Florence,Florence,20
",",",",p
et,et,82
en,en,81
quelques,quelque,75
jours,jour,21
elle,il,51
avait,avoir,18
su,savoir,12
installer,installer,14
tout,tout,75
le,le,71
confortable,confortable,30
moderne,moderne,30
dans,dans,81
l',le,71
antique,antique,30
manoir,manoir,21
;,;,p
sans,sans,81
en,en,52
troubler,troubler,14
en,en,81
rien,rien,52
la,le,71
beauté,beauté,22
sévère,sévère,30
et,et,82
l',le,71
élégance,élégance,22
sérieuse,sérieux,30
/.,/.,P
de,de,81
grandes,grand,30
portières,portière,22
armoriées,armorié,31
s',se,51
agrafaient,agrafer,18
heureusement,heureusement,60
aux,à,81
aux,le,71
arcades,arcade,22
ogivales,ogival,30
;,;,p
des,de,81
des,le,71
fauteuils,fauteuil,21
et,et,82
des,de,81
des,le,71
meubles,meuble,21
de,de,81
forme,forme,22
ancienne,ancien,30
s',se,51
harmonisaient,harmoniser,18
avec,avec,81
les,le,71
murailles,muraille,22
couvertes,couvert,31
de,de,81
boiseries,boiserie,22
brunes,brun,30
ou,ou,82
de,de,81
fresques,fresque,22
d',de,81
un,un,71
ton,ton,21
amorti,amorti,31
et,et,82
passé,passé,31
comme,comme,83
celui,celui,52
des,de,81
des,le,71
vieilles,vieux,30
tapisseries,tapisserie,22
;,;,p
aucune,aucun,75
couleur,couleur,22
trop,trop,60
neuve,neuf,30
",",",",p
aucun,aucun,75
or,or,82
trop,trop,60
brillant,brillant,30
n',ne,60
agaçait,agacer,18
l',le,71
oeil,oeil,21
",",",",p
et,et,82
le,le,71
présent,présent,30
ne,ne,60
dissonait,dissoner,18
pas,pas,60
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
passé,passé,21
/.,/.,P
-,-,p
la,le,71
comtesse,comtesse,22
avait,avoir,18
l',le,71
air,air,21
si,si,60
naturellement,naturellement,60
châtelaine,châtelaine,22
",",",",p
que,que,83
le,le,71
vieux,vieux,30
palais,palais,21
semblait,sembler,18
bâti,bâti,21
exprès,exprès,30
pour,pour,81
elle,il,51
/.,/.,P
“,“,p
si,si,83
j',je,51
avais,avoir,18
été,être,12
séduit,séduire,12
par,par,81
la,le,71
radieuse,radieux,30
beauté,beauté,22
de,de,81
la,le,71
comtesse,comtesse,22
",",",",p
je,je,51
le,le,52
fus,être,19
bien,bien,60
davantage,davantage,60
encore,encore,60
au,à,81
au,le,71
bout,bout,21
de,de,81
quelques,quelque,75
visites,visite,22
par,par,81
son,son,73
esprit,esprit,21
si,si,60
rare,rare,30
",",",",p
si,si,60
fin,fin,30
",",",",p
si,si,60
étendu,étendu,31
;,;,p
quand,quand,83
elle,il,51
parlait,parler,18
sur,sur,81
quelque,quelque,75
sujet,sujet,21
intéressant,intéressant,30
",",",",p
l',le,71
âme,âme,22
lui,lui,51
venait,venir,18
à,à,81
la,le,71
peau,peau,22
",",",",p
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
et,et,82
se,se,51
faisait,faire,18
visible,visible,30
/.,/.,P
sa,son,73
blancheur,blancheur,22
s',se,51
illuminait,illuminer,18
comme,comme,83
l',le,71
albâtre,albâtre,22
d',de,81
une,un,71
lampe,lampe,22
d',de,81
un,un,71
rayon,rayon,21
intérieur,intérieur,30
:,:,p
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
son,son,73
teint,teint,21
de,de,81
ces,ce,74
scintillations,scintillation,22
phosphorescentes,phosphorescent,30
",",",",p
de,de,81
ces,ce,74
tremblements,tremblement,21
lumineux,lumineux,30
dont,dont,52
parle,parler,17
Dante,Dante,20
lorsqu',lorsque,83
il,il,51
peint,peindre,17
les,le,71
splendeurs,splendeur,22
du,de,81
du,le,71
paradis,paradis,21
;,;,p
on,on,51
eût,avoir,19
dit,dire,12
un,un,71
ange,ange,21
se,se,51
détachant,détacher,13
en,en,81
clair,clair,21
sur,sur,81
un,un,71
soleil,soleil,21
/.,/.,P
je,je,51
restais,rester,18
ébloui,ébloui,31
",",",",p
extatique,extatique,30
et,et,82
stupide,stupide,30
/.,/.,P
abîmé,abîmé,31
dans,dans,81
la,le,71
contemplation,contemplation,22
de,de,81
sa,son,73
beauté,beauté,22
",",",",p
ravi,ravi,31
aux,à,81
aux,le,71
sons,son,21
de,de,81
sa,son,73
voix,voix,22
céleste,céleste,30
qui,qui,52
faisait,faire,18
de,de,81
chaque,chaque,75
idiome,idiome,21
une,un,71
musique,musique,22
ineffable,ineffable,30
",",",",p
lorsqu',lorsque,83
il,il,51
me,je,51
fallait,falloir,18
absolument,absolument,60
répondre,répondre,14
",",",",p
je,je,51
balbutiais,balbutier,18
quelques,quelque,75
mots,mot,21
incohérents,incohérent,30
qui,qui,52
devaient,devoir,18
lui,lui,51
donner,donner,14
la,le,71
plus,plus,60
pauvre,pauvre,30
idée,idée,22
de,de,81
mon,mon,73
intelligence,intelligence,22
;,;,p
quelquefois,quelquefois,60
même,même,60
un,un,71
imperceptible,imperceptible,30
sourire,sourire,21
d',de,81
une,un,71
ironie,ironie,22
amicale,amical,30
passait,passer,18
comme,comme,83
une,un,71
lueur,lueur,22
rose,rose,30
sur,sur,81
ses,son,73
lèvres,lèvre,22
charmantes,charmant,30
à,à,81
certaines,certain,75
phrases,phrase,22
",",",",p
qui,qui,52
dénotaient,dénoter,18
",",",",p
de,de,81
ma,mon,73
part,part,22
",",",",p
un,un,71
trouble,trouble,30
profond,profond,30
ou,ou,82
une,un,71
incurable,incurable,30
sottise,sottise,22
/.,/.,P
“,“,p
je,je,51
ne,ne,60
lui,lui,51
avais,avoir,18
encore,encore,60
rien,rien,52
dit,dire,12
de,de,81
mon,mon,73
amour,amour,21
;,;,p
devant,devant,81
elle,il,51
j',je,51
étais,être,18
sans,sans,81
pensée,pensée,22
",",",",p
sans,sans,81
force,force,22
",",",",p
sans,sans,81
courage,courage,21
;,;,p
mon,mon,73
coeur,coeur,21
battait,battre,18
comme,comme,83
s',si,83
il,il,51
voulait,vouloir,18
sortir,sortir,14
de,de,81
ma,mon,73
poitrine,poitrine,22
et,et,82
s',se,51
élancer,élancer,14
sur,sur,81
les,le,71
genoux,genou,21
de,de,81
sa,son,73
souveraine,souveraine,22
/.,/.,P
vingt,vingt,72
fois,fois,22
j',je,51
avais,avoir,18
résolu,résoudre,12
de,de,81
m',je,51
expliquer,expliquer,14
",",",",p
mais,mais,82
une,un,71
insurmontable,insurmontable,30
timidité,timidité,22
me,je,51
retenait,retenir,18
;,;,p
le,le,71
moindre,moindre,30
air,air,21
froid,froid,30
ou,ou,82
réservé,réservé,31
de,de,81
la,le,71
comtesse,comtesse,22
me,je,51
causait,causer,18
des,de,81
des,le,71
transes,transe,22
mortelles,mortel,30
",",",",p
et,et,82
comparables,comparable,30
à,à,81
celles,celui,52
du,de,81
du,le,71
condamné,condamné,21
qui,qui,52
",",",",p
la,le,71
tête,tête,22
sur,sur,81
le,le,71
billot,billot,21
",",",",p
attend,attendre,17
que,que,83
l',le,71
éclair,éclair,21
de,de,81
la,le,71
hache,hache,22
lui,lui,51
traverse,traverser,17
le,le,71
cou,cou,21
/.,/.,P
des,de,81
des,le,71
contractions,contraction,22
nerveuses,nerveux,30
m',je,51
étranglaient,étrangler,18
",",",",p
des,de,81
des,le,71
sueurs,sueur,22
glacées,glacé,31
baignaient,baigner,18
mon,mon,73
corps,corps,21
/.,/.,P
je,je,51
rougissais,rougir,18
",",",",p
je,je,51
pâlissais,pâlir,18
et,et,82
je,je,51
sortais,sortir,18
sans,sans,81
avoir,avoir,14
rien,rien,52
dit,dire,12
",",",",p
ayant,avoir,13
peine,peine,22
à,à,81
trouver,trouver,14
la,le,71
porte,porte,22
et,et,82
chancelant,chanceler,13
comme,comme,83
un,un,71
homme,homme,21
ivre,ivre,30
sur,sur,81
les,le,71
marches,marche,22
du,de,81
du,le,71
perron,perron,21
/.,/.,P
“,“,p
lorsque,lorsque,83
j',je,51
étais,être,18
dehors,dehors,60
",",",",p
mes,mon,73
facultés,faculté,22
me,je,51
revenaient,revenir,18
et,et,82
je,je,51
lançais,lancer,18
au,à,81
au,le,71
vent,vent,21
les,le,71
dithyrambes,dithyrambe,21
les,le,71
plus,plus,60
enflammés,enflammé,31
/.,/.,P
j',je,51
adressais,adresser,18
à,à,81
l',le,71
idole,idole,22
absente,absenter,17
mille,mille,72
déclarations,déclaration,22
d',de,81
une,un,71
éloquence,éloquence,22
irrésistible,irrésistible,30
/.,/.,P
j',je,51
égalais,égaler,18
dans,dans,81
ces,ce,74
apostrophes,apostrophe,22
muettes,muet,30
les,le,71
grands,grand,30
poètes,poète,21
de,de,81
l',le,71
amour,amour,21
/.,/.,P
-,-,p
le,le,71
cantique,cantique,21
des,de,81
des,le,71
cantiques,cantique,21
de,de,81
Salomon,Salomon,20
avec,avec,81
son,son,73
vertigineux,vertigineux,30
parfum,parfum,21
oriental,oriental,30
et,et,82
son,son,73
lyrisme,lyrisme,21
halluciné,halluciné,31
de,de,81
haschisch,hachich,21
",",",",p
les,le,71
sonnets,sonnet,21
de,de,81
Pétrarque,Pétrarque,20
avec,avec,81
leurs,leur,73
subtilités,subtilité,22
platoniques,platonique,30
et,et,82
leurs,leur,73
délicatesses,délicatesse,22
éthérées,éthéré,30
",",",",p
l',le,71
Intermezzo,Intermezzo,20
de,de,81
Henri,Henri,20
Heine,Heine,20
avec,avec,81
sa,son,73
sensibilité,sensibilité,22
nerveuse,nerveux,30
et,et,82
délirante,délirant,30
n',ne,60
approchent,approcher,17
pas,pas,60
de,de,81
ces,ce,74
effusions,effusion,22
d',de,81
âme,âme,22
intarissables,intarissable,30
où,où,60
s',se,51
épuisait,épuiser,18
ma,mon,73
vie,vie,22
/.,/.,P
au,à,81
au,le,71
bout,bout,21
de,de,81
chacun,chacun,52
de,de,81
ces,ce,74
monologues,monologue,21
",",",",p
il,il,51
me,je,51
semblait,sembler,18
que,que,83
la,le,71
comtesse,comtesse,22
vaincue,vaincu,31
devait,devoir,18
descendre,descendre,14
du,de,81
du,le,71
ciel,ciel,21
sur,sur,81
mon,mon,73
coeur,coeur,21
",",",",p
et,et,82
plus,plus,60
d',de,81
une,un,71
fois,fois,22
je,je,51
me,je,51
croisai,croiser,19
les,le,71
bras,bras,21
sur,sur,81
ma,mon,73
poitrine,poitrine,22
",",",",p
pensant,penser,13
les,le,52
renfermer,renfermer,14
sur,sur,81
elle,il,51
/.,/.,P
“,“,p
j',je,51
étais,être,18
si,si,60
complètement,complètement,60
possédé,posséder,12
que,que,83
je,je,51
passais,passer,18
des,de,81
des,le,71
heures,heure,22
à,à,81
murmurer,murmurer,14
en,en,81
façon,façon,22
de,de,81
litanies,litanie,22
d',de,81
amour,amour,21
ces,ce,74
deux,deux,72
mots,mot,21
:,:,p
-,-,p
Prascovie,Prascovie,20
Labinska,Labinska,20
",",",",p
-,-,p
trouvant,trouver,13
un,un,71
charme,charme,21
indéfinissable,indéfinissable,30
dans,dans,81
ces,ce,74
syllabes,syllabe,22
tantôt,tantôt,60
égrenées,égrené,31
lentement,lentement,60
comme,comme,83
des,de,81
des,le,71
perles,perle,22
",",",",p
tantôt,tantôt,60
dites,dit,31
avec,avec,81
la,le,71
volubilité,volubilité,22
fiévreuse,fiévreux,30
du,de,81
du,le,71
dévot,dévot,30
que,que,83
sa,son,73
prière,prière,22
même,même,30
exalte,exalter,17
/.,/.,P
d',de,81
autres,autre,75
fois,fois,22
",",",",p
je,je,51
traçais,tracer,18
le,le,71
nom,nom,21
adoré,adoré,31
sur,sur,81
les,le,71
plus,plus,60
belles,beau,30
feuilles,feuille,22
de,de,81
vélin,vélin,21
",",",",p
en,en,81
y,y,52
apportant,apporter,13
des,de,81
des,le,71
recherches,recherche,22
calligraphiques,calligraphique,30
des,de,81
des,le,71
manuscrits,manuscrit,21
du,de,81
du,le,71
moyen,moyen,30
âge,âge,21
",",",",p
rehauts,rehaut,21
d',de,81
or,or,21
",",",",p
fleurons,fleurer,17
d',de,81
azur,azur,21
",",",",p
ramages,ramage,21
de,de,81
sinople,sinople,21
/.,/.,P
j',je,51
usais,user,18
à,à,81
ce,ce,74
labeur,labeur,21
d',de,81
une,un,71
minutie,minutie,22
passionnée,passionné,31
et,et,82
d',de,81
une,un,71
perfection,perfection,22
puérile,puéril,30
les,le,71
longues,long,30
heures,heure,22
qui,qui,52
séparaient,séparer,18
mes,mon,73
visites,visite,22
à,à,81
la,le,71
comtesse,comtesse,22
/.,/.,P
je,je,51
ne,ne,60
pouvais,pouvoir,18
lire,lire,14
ni,ni,82
m',je,51
occuper,occuper,14
de,de,81
quoi,quoi,52
que,que,52
ce,ce,52
fût,être,19
/.,/.,P
rien,rien,52
ne,ne,60
m',je,51
intéressait,intéresser,18
hors,hors,81
de,de,81
Prascovie,Prascovie,20
",",",",p
et,et,82
je,je,51
ne,ne,60
décachetais,décacheter,18
même,même,60
pas,pas,60
les,le,71
lettres,lettre,22
qui,qui,52
me,je,51
venaient,venir,18
de,de,81
France,France,20
/.,/.,P
à,à,81
plusieurs,plusieurs,75
reprises,reprise,22
je,je,51
fis,faire,19
des,de,81
des,le,71
efforts,effort,21
pour,pour,81
sortir,sortir,14
de,de,81
cet,ce,74
état,état,21
;,;,p
j',je,51
essayai,essayer,19
de,de,81
me,je,51
rappeler,rappeler,14
les,le,71
axiomes,axiome,21
de,de,81
séduction,séduction,22
acceptés,accepté,31
par,par,81
les,le,71
jeunes,jeune,30
gens,gens,21
",",",",p
les,le,71
stratagèmes,stratagème,21
qu',que,52
emploient,employer,17
les,le,71
Valmont,Valmont,20
du,de,81
du,le,71
café,café,21
de,de,81
Paris,Paris,20
et,et,82
les,le,71
don,don,21
Juan,Juan,20
du,de,81
du,le,71
Jockey-Club,Jockey Club,20
;,;,p
mais,mais,82
à,à,81
l',le,71
exécution,exécution,22
le,le,71
coeur,coeur,21
me,je,51
manquait,manquer,18
",",",",p
et,et,82
je,je,51
regrettais,regretter,18
de,de,81
ne,ne,60
pas,pas,60
avoir,avoir,14
",",",",p
comme,comme,83
le,le,71
Julien,Julien,20
Sorel,Sorel,20
de,de,81
Stendhal,Stendhal,20
",",",",p
un,un,71
paquet,paquet,21
d',de,81
épîtres,épître,22
progressives,progressif,30
à,à,81
copier,copier,14
pour,pour,81
les,le,52
envoyer,envoyer,14
à,à,81
la,le,71
comtesse,comtesse,22
/.,/.,P
je,je,51
me,je,51
contentais,contenter,18
d',de,81
aimer,aimer,14
",",",",p
me,je,51
donnant,donner,13
tout,tout,60
entier,entier,30
sans,sans,81
rien,rien,52
demander,demander,14
en,en,81
retour,retour,21
",",",",p
sans,sans,81
espérance,espérance,22
même,même,60
lointaine,lointain,30
",",",",p
car,car,82
mes,mon,73
rêves,rêve,21
les,le,71
plus,plus,60
audacieux,audacieux,30
osaient,oser,18
à,à,81
peine,peine,22
effleurer,effleurer,14
de,de,81
leurs,leur,73
lèvres,lèvre,22
le,le,71
bout,bout,21
des,de,81
des,le,71
doigts,doigt,21
rosés,rosé,30
de,de,81
Prascovie,Prascovie,20
/.,/.,P
au,à,81
au,le,71
XVe,quinzième,72
siècle,siècle,21
",",",",p
le,le,71
jeune,jeune,30
novice,novice,21
le,le,71
front,front,21
sur,sur,81
les,le,71
marches,marche,22
de,de,81
l',le,71
autel,autel,21
",",",",p
le,le,71
chevalier,chevalier,21
agenouillé,agenouillé,31
dans,dans,81
sa,son,73
roide,raide,30
armure,armure,22
",",",",p
ne,ne,60
devaient,devoir,18
pas,pas,60
avoir,avoir,14
pour,pour,81
la,le,71
madone,madone,22
une,un,71
adoration,adoration,22
plus,plus,60
prosternée,prosterné,31
/.,/.,P
“,“,p
monsieur,monsieur,21
Balthazar,Balthazar,20
Cherbonneau,Cherbonneau,20
avait,avoir,18
écouté,écouter,12
Octave,Octave,20
avec,avec,81
une,un,71
attention,attention,22
profonde,profond,30
",",",",p
car,car,82
pour,pour,81
lui,lui,51
le,le,71
récit,récit,21
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
n',ne,60
était,être,18
pas,pas,60
seulement,seulement,60
une,un,71
histoire,histoire,22
romanesque,romanesque,30
",",",",p
et,et,82
il,il,51
se,se,51
dit,dire,19
comme,comme,83
à,à,81
lui-même,lui-même,51
pendant,pendant,81
une,un,71
pause,pause,22
du,de,81
du,le,71
narrateur,narrateur,21
:,:,p
“,“,p
oui,oui,60
",",",",p
voilà,voilà,81
bien,bien,60
le,le,71
diagnostic,diagnostic,21
de,de,81
l',le,71
amour,amour,21
passion,passion,22
",",",",p
une,un,71
maladie,maladie,22
curieuse,curieux,30
et,et,82
que,que,52
je,je,51
n',ne,60
ai,avoir,17
rencontrée,rencontrer,12
qu',que,83
une,un,71
fois,fois,22
",",",",p
-,-,p
à,à,81
Chandernagor,Chandernagor,20
",",",",p
-,-,p
chez,chez,81
une,un,71
jeune,jeune,30
paria,parier,19
éprise,éprendre,12
d',de,81
un,un,71
brahme,brahme,21
;,;,p
elle,il,51
en,en,52
mourut,mourir,19
",",",",p
la,le,71
pauvre,pauvre,30
fille,fille,22
",",",",p
mais,mais,82
c',ce,52
était,être,18
une,un,71
sauvage,sauvage,30
;,;,p
vous,vous,51
",",",",p
monsieur,monsieur,21
Octave,Octave,20
",",",",p
vous,vous,51
êtes,être,17
un,un,71
civilisé,civilisé,21
",",",",p
et,et,82
nous,nous,51
vous,vous,51
guérirons,guérir,15
/.,/.,P
“,“,p
sa,son,73
parenthèse,parenthèse,22
fermée,fermé,31
",",",",p
il,il,51
fit,faire,19
signe,signe,21
de,de,81
la,le,71
main,main,22
à,à,81
monsieur,monsieur,21
de,de,81
Saville,Saville,20
de,de,81
continuer,continuer,14
;,;,p
et,et,82
",",",",p
reployant,reployer,13
sa,son,73
jambe,jambe,22
sur,sur,81
la,le,71
cuisse,cuisse,22
comme,comme,83
la,le,71
patte,patte,22
articulée,articulé,31
d',de,81
une,un,71
sauterelle,sauterelle,22
",",",",p
de,de,81
manière,manière,22
à,à,81
faire,faire,14
soutenir,soutenir,14
son,son,73
menton,menton,21
par,par,81
son,son,73
genou,genou,21
",",",",p
il,il,51
s',se,51
établit,établir,19
dans,dans,81
cette,ce,74
position,position,22
impossible,impossible,30
pour,pour,81
tout,tout,75
autre,autre,52
",",",",p
mais,mais,82
qui,qui,52
semblait,sembler,18
spécialement,spécialement,60
commode,commode,30
pour,pour,81
lui,lui,51
/.,/.,P
“,“,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
vous,vous,51
ennuyer,ennuyer,14
du,de,81
du,le,71
détail,détail,21
de,de,81
mon,mon,73
martyre,martyre,21
secret,secret,30
",",",",p
continua,continuer,19
Octave,Octave,20
;,;,p
j',je,51
arrive,arriver,17
à,à,81
une,un,71
scène,scène,22
décisive,décisif,30
/.,/.,P
un,un,71
jour,jour,21
",",",",p
ne,ne,60
pouvant,pouvoir,13
plus,plus,60
modérer,modérer,14
mon,mon,73
impérieux,impérieux,30
désir,désir,21
de,de,81
voir,voir,14
la,le,71
comtesse,comtesse,22
",",",",p
je,je,51
devançai,devancer,19
l',le,71
heure,heure,22
de,de,81
ma,mon,73
visite,visite,22
accoutumée,accoutumé,31
;,;,p
il,il,51
faisait,faire,18
un,un,71
temps,temps,21
orageux,orageux,30
et,et,82
lourd,lourd,30
/.,/.,P
je,je,51
ne,ne,60
trouvai,trouver,19
pas,pas,60
madame,madame,22
Labinska,Labinska,20
au,à,81
au,le,71
salon,salon,21
/.,/.,P
elle,il,51
s',se,51
était,être,18
établie,établir,12
sous,sous,81
un,un,71
portique,portique,21
soutenu,soutenu,31
de,de,81
sveltes,svelte,30
colonnes,colonne,22
",",",",p
ouvrant,ouvrir,13
sur,sur,81
une,un,71
terrasse,terrasse,22
par,par,81
laquelle,lequel,52
on,on,51
descendait,descendre,18
au,à,81
au,le,71
jardin,jardin,21
;,;,p
elle,il,51
avait,avoir,18
fait,faire,12
apporter,apporter,14
là,là,60
son,son,73
piano,piano,21
",",",",p
un,un,71
canapé,canapé,21
et,et,82
des,de,81
des,le,71
chaises,chaise,22
de,de,81
jonc,jonc,21
;,;,p
des,de,81
des,le,71
jardinières,jardinière,22
",",",",p
comblées,comblé,31
de,de,81
fleurs,fleur,22
splendides,splendide,30
",",",",p
-,-,p
nulle,nul,75
part,part,22
elles,ils,51
ne,ne,60
sont,être,17
si,si,60
fraîches,frais,30
ni,ni,82
si,si,60
odorantes,odorant,30
qu',que,83
à,à,81
Florence,Florence,20
;,;,p
-,-,p
remplissaient,remplir,18
les,le,52
entre,entre,81
colonnements,colonnement,21
",",",",p
et,et,82
imprégnaient,imprégner,18
de,de,81
leur,leur,73
parfum,parfum,21
les,le,71
rares,rare,30
bouffées,bouffée,22
de,de,81
brise,brise,22
qui,qui,52
venaient,venir,18
de,de,81
l',le,71
Appennin,Appennin,20
/.,/.,P
devant,devant,81
soi,soi,51
",",",",p
par,par,81
l',le,71
ouverture,ouverture,22
des,de,81
des,le,71
arcades,arcade,22
",",",",p
l',l',94
on,on,51
apercevait,apercevoir,18
les,le,71
ifs,if,21
et,et,82
les,le,71
buis,buis,21
taillés,taillé,31
du,de,81
du,le,71
jardin,jardin,21
",",",",p
d',de,81
où,où,60
s',se,51
élançaient,élancer,18
quelques,quelque,75
cyprès,cyprès,21
centenaires,centenaire,30
",",",",p
et,et,82
que,que,52
peuplaient,peupler,18
des,de,81
des,le,71
marbres,marbre,21
mythologiques,mythologique,30
dans,dans,81
le,le,71
goût,goût,21
tourmenté,tourmenté,31
de,de,81
Baccio,Baccio,20
Bandinelli,Bandinelli,20
ou,ou,82
de,de,81
l',le,71
Ammanato,Ammanato,20
/.,/.,P
au,à,81
au,le,71
fond,fond,21
",",",",p
au-dessus,au-dessus,60
de,de,81
la,le,71
silhouette,silhouette,22
de,de,81
Florence,Florence,20
",",",",p
s',se,51
arrondissait,arrondir,18
le,le,71
dôme,dôme,21
de,de,81
Santa Maria del Fiore,Santa Maria del Fiore,20
et,et,82
jaillissait,jaillir,18
le,le,71
beffroi,beffroi,21
carré,carré,31
du,de,81
du,le,71
Palazzo Vecchio,Palazzo Vecchio,20
