11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Seizième extrait>,<>,<>
/.,/.,P
et,et,82
",",",",p
faisant,faire,13
une,un,71
profonde,profond,30
révérence,révérence,22
au,à,81
au,le,71
juge,juge,21
",",",",p
le,le,71
capucin,capucin,21
entra,entrer,19
dans,dans,81
le,le,71
chemin,chemin,21
qu',que,52
il,il,51
lui,lui,51
avait,avoir,18
montré,montrer,12
/.,/.,P
Laubardemont,Laubardemont,20
le,le,52
suivit,suivre,19
quelque,quelque,75
temps,temps,21
des,de,81
des,le,71
yeux,oeil,21
",",",",p
et,et,82
",",",",p
quand,quand,83
il,il,51
fut,être,19
bien,bien,60
sûr,sûr,30
de,de,81
la,le,52
roule,rouler,17
qu',que,83
il,il,51
avait,avoir,18
prise,prendre,12
",",",",p
il,il,51
revint,revenir,19
ou,ou,82
plutôt,plutôt,60
accourut,accourir,19
jusqu',jusque,81
à,à,81
la,le,71
tente,tente,22
du,de,81
du,le,71
ministre,ministre,21
/.,/.,P
-,-,p
le,le,71
cardinal,cardinal,21
l',le,71
éloigné,éloigné,31
",",",",p
s',se,51
était,être,18
il,il,51
dit,dire,12
;,;,p
donc,donc,82
il,il,51
s',se,51
en,en,52
dégoûte,dégoûter,17
;,;,p
je,je,51
sais,savoir,17
des,de,81
des,le,71
secrets,secret,21
qui,qui,52
peuvent,pouvoir,17
le,le,52
perdre,perdre,14
/.,/.,P
j',je,51
ajouterai,ajouter,15
qu',que,83
il,il,51
est,être,17
allé,aller,12
faire,faire,14
sa,son,73
cour,cour,22
au,à,81
au,le,71
futur,futur,30
favori,favori,21
;,;,p
je,je,51
remplacerai,remplacer,15
ce,ce,74
moine,moine,21
dans,dans,81
la,le,71
faveur,faveur,22
du,de,81
du,le,71
ministre,ministre,21
/.,/.,P
l',le,71
instant,instant,21
est,être,17
propice,propice,30
",",",",p
il,il,51
est,être,17
minuit,minuit,21
;,;,p
il,il,51
doit,devoir,17
encore,encore,60
rester,rester,14
seul,seul,30
pendant,pendant,81
une,un,71
heure,heure,22
et,et,82
demie,demi,30
/.,/.,P
courons,courir,17
/.,/.,P
il,il,51
arrive,arriver,17
à,à,81
la,le,71
tente,tente,22
des,de,81
des,le,71
gardes,garde,21
qui,qui,52
précède,précéder,17
le,le,71
pavillon,pavillon,21
/.,/.,P
-,-,p
monseigneur,monseigneur,21
reçoit,recevoir,17
quelqu'un,quelqu'un,52
",",",",p
dit,dire,19
le,le,71
capitaine,capitaine,21
hésitant,hésiter,13
;,;,p
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
entrer,entrer,14
/.,/.,P
-,-,p
n',ne,60
importe,importer,17
",",",",p
vous,vous,51
m',je,51
avez,avoir,17
vu,voir,12
sortir,sortir,14
il,il,51
y,y,52
a,avoir,17
une,un,71
heure,heure,22
;,;,p
il,il,51
se,se,51
passe,passer,17
des,de,81
des,le,71
choses,chose,22
dont,dont,52
je,je,51
dois,devoir,17
rendre,rendre,14
compte,compte,21
/.,/.,P
-,-,p
entrez,entrer,17
",",",",p
Laubardemont,Laubardemont,20
",",",",p
cria,crier,19
le,le,71
ministre,ministre,21
",",",",p
entrez,entrer,17
vite,vite,60
et,et,82
seul,seul,30
/!,/!,P
il,il,51
entra,entrer,19
/.,/.,P
le,le,71
cardinal,cardinal,21
",",",",p
toujours,toujours,60
assis,assis,31
",",",",p
tenait,tenir,18
les,le,71
deux,deux,72
mains,main,22
d',de,81
une,un,71
religieuse,religieuse,22
dans,dans,81
une,un,52
des,de,81
des,le,71
siennes,sien,52
",",",",p
et,et,82
de,de,81
l',le,71
autre,autre,52
fit,faire,19
signe,signe,21
de,de,81
garder,garder,14
le,le,71
silence,silence,21
à,à,81
son,son,73
agent,agent,21
stupéfait,stupéfait,30
",",",",p
qui,qui,52
resta,rester,19
sans,sans,81
mouvement,mouvement,21
",",",",p
ne,ne,60
voyant,voir,13
pas,pas,60
encore,encore,60
le,le,71
visage,visage,21
de,de,81
cette,ce,74
femme,femme,22
;,;,p
elle,il,51
parlait,parler,18
avec,avec,81
volubilité,volubilité,22
",",",",p
et,et,82
les,le,71
choses,chose,22
étranges,étrange,30
qu',que,52
elle,il,51
disait,dire,18
contrastaient,contraster,18
horriblement,horriblement,60
avec,avec,81
la,le,71
douceur,douceur,22
de,de,81
sa,son,73
voix,voix,22
/.,/.,P
Richelieu,Richelieu,20
semblait,sembler,18
ému,ému,31
/.,/.,P
-,-,p
oui,oui,60
",",",",p
je,je,51
le,le,52
frapperai,frapper,15
avec,avec,81
un,un,71
couteau,couteau,21
;,;,p
c',ce,52
est,être,17
un,un,71
couteau,couteau,21
que,que,52
le,le,71
démon,démon,21
Béhérith,Béhérith,20
m',je,51
a,avoir,17
donné,donner,12
à,à,81
l',le,71
auberge,auberge,22
;,;,p
mais,mais,82
c',ce,52
est,être,17
le,le,71
clou,clou,21
de,de,81
Sisara,Sisara,20
/.,/.,P
il,il,51
a,avoir,17
un,un,71
manche,manche,21
d',de,81
ivoire,ivoire,21
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
et,et,82
j',je,51
ai,avoir,17
beaucoup,beaucoup,60
pleuré,pleurer,12
dessus,dessus,60
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
singulier,singulier,30
",",",",p
mon,mon,73
bon,bon,30
général,général,21
?,?,p
/…,/…,P
je,je,51
le,le,52
retournerai,retourner,15
dans,dans,81
la,le,71
gorge,gorge,22
de,de,81
celui,celui,52
qui,qui,52
a,avoir,17
tué,tuer,12
mon,mon,73
ami,ami,21
",",",",p
comme,comme,83
il,il,51
a,avoir,17
dit,dire,12
lui-même,lui-même,51
de,de,81
le,le,52
faire,faire,14
",",",",p
et,et,82
ensuite,ensuite,60
je,je,51
brûlerai,brûler,15
le,le,71
corps,corps,21
",",",",p
c',ce,52
est,être,17
la,le,71
peine,peine,22
du,de,81
du,le,71
talion,talion,21
",",",",p
la,le,71
peine,peine,22
que,que,52
dieu,dieu,21
a,avoir,17
permise,permettre,12
à,à,81
Adam,Adam,20
/…,/…,P
vous,vous,51
avez,avoir,17
l',le,71
air,air,21
étonné,étonné,31
",",",",p
mon,mon,73
brave,brave,30
général,général,21
…,…,p
mais,mais,82
vous,vous,51
le,le,52
seriez,être,16
bien,bien,60
plus,plus,60
si,si,83
je,je,51
vous,vous,51
disais,dire,18
sa,son,73
chanson,chanson,22
…,…,p
la,le,71
chanson,chanson,22
qu',que,52
il,il,51
m',je,51
a,avoir,17
chantée,chanter,12
encore,encore,60
hier,hier,60
au,à,81
au,le,71
soir,soir,21
",",",",p
quand,quand,83
il,il,51
est,être,17
venu,venir,12
me,je,51
voir,voir,14
à,à,81
l',le,71
heure,heure,22
du,de,81
du,le,71
bûcher,bûcher,21
",",",",p
vous,vous,51
savez,savoir,17
bien,bien,60
?,?,p
…,…,p
l',le,71
heure,heure,22
où,où,60
il,il,51
pleut,pleuvoir,17
",",",",p
l',le,71
heure,heure,22
où,où,60
mes,mon,73
mains,main,22
commencent,commencer,17
à,à,81
brûler,brûler,14
comme,comme,83
à,à,81
présent,présent,21
;,;,p
il,il,51
m',je,51
a,avoir,17
dit,dire,12
:,:,p
“,“,p
ils,ils,51
sont,être,17
bien,bien,60
trompés,tromper,12
",",",",p
les,le,71
magistrats,magistrat,21
",",",",p
les,le,71
magistrats,magistrat,21
rouges,rouge,30
…,…,p
j',je,51
ai,avoir,17
onze,onze,72
démons,démon,21
à,à,81
mes,mon,73
ordres,ordre,21
",",",",p
et,et,82
je,je,51
reviens,revenir,17
te,tu,51
voir,voir,14
quand,quand,83
la,le,71
cloche,cloche,22
sonne,sonner,17
…,…,p
sous,sous,81
un,un,71
dais,dais,21
de,de,81
velours,velours,21
pourpré,pourpré,30
",",",",p
avec,avec,81
des,de,81
des,le,71
torches,torche,22
",",",",p
des,de,81
des,le,71
torches,torche,22
de,de,81
résine,résine,22
qui,qui,52
nous,nous,51
éclairent,éclairer,17
;,;,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
de,de,81
toute,tout,75
beauté,beauté,22
/!,/!,P
voilà,voilà,81
",",",",p
voilà,voilà,81
ce,ce,52
qu',que,52
il,il,51
chante,chanter,17
/.,/.,P
et,et,82
",",",",p
sur,sur,81
l',le,71
air,air,21
du,de,81
du,le,71
de profundis,de profundis,21
",",",",p
elle,il,51
chanta,chanter,19
elle-même,lui-même,51
:,:,p
je,je,51
vais,aller,17
être,être,14
prince,prince,21
d',de,81
enfer,enfer,21
",",",",p
mon,mon,73
sceptre,sceptre,21
est,être,17
un,un,71
marteau,marteau,21
de,de,81
fer,fer,21
",",",",p
ce,ce,74
sapin,sapin,21
brûlant,brûlant,30
est,être,17
mon,mon,73
trône,trône,21
/.,/.,P
et,et,82
ma,mon,73
robe,robe,22
est,être,17
de,de,81
soufre,soufre,21
jaune,jaune,30
;,;,p
mais,mais,82
je,je,51
veux,vouloir,17
t',tu,51
épouser,épouser,14
demain,demain,60
:,:,p
viens,venir,17
",",",",p
Jeanne,Jeanne,20
",",",",p
donne,donner,17
moi,moi,51
la,le,71
main,main,22
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
singulier,singulier,30
",",",",p
mon,mon,73
bon,bon,30
général,général,21
/?,/?,P
et,et,82
moi,moi,51
je,je,51
lui,lui,51
réponds,répondre,17
tous,tout,75
les,le,71
soirs,soir,21
;,;,p
écoutez,écouter,17
bien,bien,60
ceci,ceci,52
",",",",p
oh,oh,93
!,!,p
écoutez,écouter,17
bien,bien,60
/…,/…,P
le,le,71
juge,juge,21
a,avoir,17
parlé,parler,12
dans,dans,81
la,le,71
nuit,nuit,22
",",",",p
et,et,82
dans,dans,81
la,le,71
tombe,tombe,22
on,on,51
me,je,51
conduit,conduire,17
/.,/.,P
pourtant,pourtant,60
j',je,51
étais,être,18
ta,ton,73
fiancée,fiancée,22
/!,/!,P
viens,venir,17
…,…,p
la,le,71
pluie,pluie,22
est,être,17
longue,long,30
et,et,82
glacée,glacer,12
;,;,p
mais,mais,82
tu,tu,51
ne,ne,60
dormiras,dormir,15
pas,pas,60
seul,seul,30
",",",",p
je,je,51
te,tu,51
prêterai,prêter,15
mon,mon,73
linceul,linceul,21
/.,/.,P
ensuite,ensuite,60
il,il,51
parle,parler,17
",",",",p
et,et,82
parle,parler,17
comme,comme,83
les,le,71
esprits,esprit,21
et,et,82
comme,comme,83
les,le,71
prophètes,prophète,21
/.,/.,P
il,il,51
dit,dire,17
:,:,p
“,“,p
malheur,malheur,21
",",",",p
malheur,malheur,21
à,à,81
celui,celui,52
qui,qui,52
a,avoir,17
versé,verser,12
le,le,71
sang,sang,21
/!,/!,P
les,le,71
juges,juge,21
de,de,81
la,le,71
terre,terre,22
sont,être,17
ils,ils,51
des,de,81
des,le,71
dieux,dieu,21
/?,/?,P
non,non,60
",",",",p
ce,ce,52
sont,être,17
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
vieillissent,vieillir,17
et,et,82
souffrent,souffrir,17
",",",",p
et,et,82
cependant,cependant,82
ils,ils,51
osent,oser,17
dire,dire,14
à,à,81
haute,haut,30
voix,voix,22
:,:,p
faites,faire,17
mourir,mourir,14
cet,ce,74
homme,homme,21
/!,/!,P
la,le,71
peine,peine,22
de,de,81
mort,mort,22
!,!,p
la,le,71
peine,peine,22
de,de,81
mort,mort,22
/!,/!,P
qui,qui,52
a,avoir,17
donné,donner,12
à,à,81
l',le,71
homme,homme,21
le,le,71
droit,droit,21
de,de,81
l',le,52
exercer,exercer,14
sur,sur,81
l',le,71
homme,homme,21
/?,/?,P
est,être,17
ce,ce,52
le,le,71
nombre,nombre,21
deux,deux,72
?,?,p
/…,/…,P
un,un,71
seul,seul,30
serait,être,16
assassin,assassin,30
",",",",p
vois,voir,17
tu,tu,51
/!,/!,P
mais,mais,82
compte,compter,17
bien,bien,60
",",",",p
un,un,72
",",",",p
deux,deux,72
",",",",p
trois,trois,72
/…,/…,P
voilà,voilà,81
qu',que,83
ils,ils,51
sont,être,17
sages,sage,30
et,et,82
justes,juste,30
",",",",p
ces,ce,74
scélérats,scélérat,21
graves,grave,30
et,et,82
stipendiés,stipendié,31
/!,/!,P
o,oh,93
crime,crime,21
!,!,p
l',le,71
horreur,horreur,22
du,de,81
du,le,71
ciel,ciel,21
/!,/!,P
si,si,83
tu,tu,51
les,le,52
voyais,voir,18
d',de,81
en,en,81
haut,haut,21
",",",",p
comme,comme,83
moi,moi,51
",",",",p
Jeanne,Jeanne,20
",",",",p
combien,combien,60
tu,tu,51
serais,être,16
plus,plus,60
pâle,pâle,30
encore,encore,60
/!,/!,P
la,le,71
chair,chair,22
",",",",p
détruire,détruire,14
la,le,71
chair,chair,22
!,!,p
elle,il,51
qui,qui,52
vit,vivre,17
de,de,81
sang,sang,21
faire,faire,14
couler,couler,14
le,le,71
sang,sang,21
!,!,p
froidement,froidement,60
et,et,82
sans,sans,81
colère,colère,22
!,!,p
comme,comme,83
dieu,dieu,21
qui,qui,52
a,avoir,17
créé,créer,12
/!,/!,P
les,le,71
cris,cri,21
que,que,52
jetait,jeter,18
la,le,71
malheureuse,malheureux,30
fille,fille,22
en,en,81
disant,dire,13
rapidement,rapidement,60
ces,ce,74
paroles,parole,22
épouvantèrent,épouvanter,19
Richelieu,Richelieu,20
et,et,82
Laubardemont,Laubardemont,20
au,à,81
au,le,71
point,point,21
de,de,81
les,le,52
tenir,tenir,14
immobiles,immobile,30
longtemps,longtemps,60
encore,encore,60
/.,/.,P
cependant,cependant,82
le,le,71
délire,délire,21
et,et,82
la,le,71
fièvre,fièvre,22
l',le,52
emportaient,emporter,18
toujours,toujours,60
/.,/.,P
-,-,p
les,le,71
juges,juge,21
ont,avoir,17
ils,ils,51
frémi,frémir,12
?,?,p
m',je,51
a,avoir,17
dit,dire,12
Urbain,Urbain,20
Grandier,Grandier,20
",",",",p
frémissent,frémir,17
ils,ils,51
de,de,81
se,se,51
tromper,tromper,14
/?,/?,P
on,on,51
agite,agiter,17
la,le,71
mort,mort,22
du,de,81
du,le,71
juste,juste,21
/.,/.,P
-,-,p
la,le,71
question,question,22
/!,/!,P
on,on,51
serre,serrer,17
ses,son,73
membres,membre,21
avec,avec,81
des,de,81
des,le,71
cordes,corde,22
pour,pour,81
le,le,52
faire,faire,14
parler,parler,14
;,;,p
sa,son,73
peau,peau,22
se,se,51
coupe,couper,17
",",",",p
s',se,51
arrache,arracher,17
et,et,82
se,se,51
déroule,dérouler,17
comme,comme,83
un,un,71
parchemin,parchemin,21
;,;,p
ses,son,73
nerfs,nerf,21
sont,être,17
à,à,81
nu,nu,21
",",",",p
rouges,rouge,30
et,et,82
luisants,luisant,30
;,;,p
ses,son,73
os,os,21
crient,crier,17
;,;,p
la,le,71
moelle,moelle,22
en,en,52
jaillit,jaillir,17
/…,/…,P
mais,mais,82
les,le,71
juges,juge,21
dorment,dormir,17
/.,/.,P
ils,ils,51
révent,révent,21
de,de,81
fleurs,fleur,22
et,et,82
de,de,81
printemps,printemps,21
/.,/.,P
que,que,52
la,le,71
grand'salle,grand-salle,22
est,être,17
chaude,chaud,30
!,!,p
dit,dire,19
l',le,71
un,un,52
en,en,81
s',se,51
éveillant,éveiller,13
;,;,p
cet,ce,74
homme,homme,21
n',ne,60
a,avoir,17
point,point,60
voulu,vouloir,12
parler,parler,14
/!,/!,P
est,être,17
ce,ce,52
que,que,83
la,le,71
torture,torture,22
est,être,17
finie,finir,12
/?,/?,P
et,et,82
",",",",p
miséricordieux,miséricordieux,30
enfin,enfin,60
",",",",p
il,il,51
accorde,accorder,17
la,le,71
mort,mort,22
/.,/.,P
la,le,71
mort,mort,22
!,!,p
seule,seul,30
crainte,crainte,22
des,de,81
des,le,71
vivants,vivant,21
!,!,p
la,le,71
mort,mort,22
!,!,p
le,le,71
monde,monde,21
inconnu,inconnu,30
!,!,p
il,il,51
y,y,52
jette,jeter,17
avant,avant,81
lui,lui,51
une,un,71
âme,âme,22
furieuse,furieux,30
qui,qui,52
l',le,52
attendra,attendre,15
/.,/.,P
oh,oh,93
!,!,p
ne,ne,60
l',le,52
a,avoir,17
t,t,94
il,il,51
jamais,jamais,60
vu,voir,12
",",",",p
le,le,71
tableau,tableau,21
vengeur,vengeur,30
!,!,p
ne,ne,60
l',le,52
a,avoir,17
t,t,94
il,il,51
jamais,jamais,60
vu,voir,12
avant,avant,81
son,son,73
sommeil,sommeil,21
",",",",p
le,le,71
prévaricateur,prévaricateur,21
écorché,écorché,31
/?,/?,P
déjà,déjà,60
affaibli,affaibli,31
par,par,81
la,le,71
fièvre,fièvre,22
",",",",p
la,le,71
fatigue,fatigue,22
et,et,82
le,le,71
chagrin,chagrin,21
",",",",p
le,le,71
cardinal,cardinal,21
",",",",p
saisi,saisi,31
d',de,81
horreur,horreur,22
et,et,82
de,de,81
pitié,pitié,22
",",",",p
s',se,51
écria,écrier,19
:,:,p
-,-,p
ah,ah,93
!,!,p
pour,pour,81
l',le,71
amour,amour,21
de,de,81
dieu,dieu,21
!,!,p
finissons,finir,17
cette,ce,74
affreuse,affreux,30
scène,scène,22
;,;,p
emmenez,emmener,17
cette,ce,74
femme,femme,22
",",",",p
elle,il,51
est,être,17
folle,fou,30
/!,/!,P
l',le,71
insensée,insensé,30
se,se,51
retourna,retourner,19
",",",",p
et,et,82
jetant,jeter,13
tout,tout,60
à,à,81
coup,coup,21
de,de,81
grands,grand,30
cris,cri,21
:,:,p
-,-,p
ah,ah,93
!,!,p
le,le,71
juge,juge,21
",",",",p
le,le,71
juge,juge,21
",",",",p
le,le,71
juge,juge,21
!,!,p
…,…,p
dit,dire,19
elle,il,51
en,en,81
reconnaissant,reconnaître,13
Laubardemont,Laubardemont,20
/.,/.,P
celui-ci,celui-ci,52
",",",",p
joignant,joindre,13
les,le,71
mains,main,22
et,et,82
s',se,51
humiliant,humilier,13
devant,devant,81
le,le,71
ministre,ministre,21
",",",",p
disait,dire,18
avec,avec,81
effroi,effroi,21
:,:,p
-,-,p
hélas,hélas,60
!,!,p
monseigneur,monseigneur,21
",",",",p
pardonnez,pardonner,17
moi,moi,51
",",",",p
c',ce,52
est,être,17
ma,mon,73
nièce,nièce,22
qui,qui,52
a,avoir,17
perdu,perdre,12
la,le,71
raison,raison,22
;,;,p
j',je,51
ignorais,ignorer,18
ce,ce,74
malheur,malheur,21
là,là,60
",",",",p
sans,sans,81
quoi,quoi,52
elle,il,51
serait,être,16
enfermée,enfermer,12
depuis,depuis,81
longtemps,longtemps,60
/.,/.,P
Jeanne,Jeanne,20
",",",",p
Jeanne,Jeanne,20
…,…,p
allons,aller,17
",",",",p
madame,madame,22
",",",",p
à,à,81
genoux,genou,21
;,;,p
demandez,demander,17
pardon,pardon,21
à,à,81
monseigneur,monseigneur,21
le,le,71
cardinal,cardinal,21
duc,duc,21
/…,/…,P
-,-,p
c',ce,52
est,être,17
Richelieu,Richelieu,20
!,!,p
cria,crier,19
t,t,94
elle,il,51
/.,/.,P
et,et,82
l',le,71
étonnement,étonnement,21
sembla,sembler,19
entièrement,entièrement,60
paralyser,paralyser,14
cette,ce,74
jeune,jeune,30
et,et,82
malheureuse,malheureux,30
beauté,beauté,22
;,;,p
la,le,71
rougeur,rougeur,22
qui,qui,52
l',le,52
avait,avoir,18
animée,animer,12
d'abord,d'abord,60
fit,faire,19
place,place,22
à,à,81
une,un,71
mortelle,mortel,30
pâleur,pâleur,22
",",",",p
ses,son,73
cris,cri,21
à,à,81
un,un,71
silence,silence,21
immobile,immobile,30
",",",",p
ses,son,73
regards,regard,21
égarés,égaré,31
à,à,81
une,un,71
fixité,fixité,22
effroyable,effroyable,30
de,de,81
ses,son,73
grands,grand,30
yeux,oeil,21
",",",",p
qui,qui,52
suivaient,suivre,18
constamment,constamment,60
le,le,71
ministre,ministre,21
attristé,attristé,31
/.,/.,P
-,-,p
emmenez,emmener,17
vite,vite,60
cette,ce,74
malheureuse,malheureux,30
enfant,enfant,21
",",",",p
dit,dire,19
celui-ci,celui-ci,52
hors,hors,81
de,de,81
lui-même,lui-même,51
;,;,p
elle,il,51
est,être,17
mourante,mourant,30
et,et,82
moi,moi,51
aussi,aussi,60
;,;,p
tant,tant,60
d',de,81
horreurs,horreur,22
me,je,51
poursuivent,poursuivre,17
depuis,depuis,81
cette,ce,74
condamnation,condamnation,22
",",",",p
que,que,83
je,je,51
crois,croire,17
que,que,83
tout,tout,75
l',le,71
enfer,enfer,21
se,se,51
déchaîne,déchaîner,17
contre,contre,81
moi,moi,51
/!,/!,P
il,il,51
se,se,51
leva,lever,19
en,en,81
parlant,parler,13
/.,/.,P
Jeanne,Jeanne,20
de,de,81
Belfiel,Belfiel,20
",",",",p
toujours,toujours,60
silencieuse,silencieux,30
et,et,82
stupéfaite,stupéfait,30
",",",",p
les,le,71
yeux,oeil,21
hagards,hagard,30
",",",",p
la,le,71
bouche,bouche,22
ouverte,ouvert,31
",",",",p
la,le,71
tête,tête,22
penchée,penché,31
en,en,81
avant,avant,21
",",",",p
était,être,18
restée,rester,12
sous,sous,81
le,le,71
coup,coup,21
de,de,81
sa,son,73
double,double,30
surprise,surprise,22
",",",",p
qui,qui,52
semblait,sembler,18
avoir,avoir,14
éteint,éteindre,12
le,le,71
reste,reste,21
de,de,81
sa,son,73
raison,raison,22
et,et,82
de,de,81
ses,son,73
forces,force,22
/.,/.,P
au,à,81
au,le,71
mouvement,mouvement,21
du,de,81
du,le,71
cardinal,cardinal,21
",",",",p
elle,il,51
frémit,frémir,19
de,de,81
se,se,51
voir,voir,14
entre,entre,81
lui,lui,51
et,et,82
Laubardemont,Laubardemont,20
",",",",p
regarda,regarder,19
tour,tour,21
à,à,81
tour,tour,21
l',le,71
un,un,52
et,et,82
l',le,71
autre,autre,52
",",",",p
laissa,laisser,19
échapper,échapper,14
de,de,81
sa,son,73
main,main,22
le,le,71
couteau,couteau,21
qu',que,52
elle,il,51
tenait,tenir,18
",",",",p
et,et,82
se,se,51
retira,retirer,19
lentement,lentement,60
vers,vers,81
la,le,71
sortie,sortie,22
de,de,81
la,le,71
tente,tente,22
",",",",p
se,se,51
couvrant,couvrir,13
tout,tout,60
entière,entier,30
de,de,81
son,son,73
voile,voile,21
",",",",p
et,et,82
tournant,tourner,13
avec,avec,81
terreur,terreur,22
ses,son,73
yeux,oeil,21
égarés,égaré,31
derrière,derrière,81
elle,il,51
",",",",p
sur,sur,81
son,son,73
oncle,oncle,21
qui,qui,52
la,le,52
suivait,suivre,18
",",",",p
comme,comme,83
une,un,71
brebis,brebis,22
épouvantée,épouvanté,31
qui,qui,52
sent,sentir,17
déjà,déjà,60
sur,sur,81
son,son,73
dos,dos,21
l',le,71
haleine,haleine,22
brûlante,brûlant,30
du,de,81
du,le,71
loup,loup,21
prêt,prêt,30
à,à,81
la,le,52
saisir,saisir,14
/.,/.,P
ils,ils,51
sortirent,sortir,19
tous,tout,75
deux,deux,72
ainsi,ainsi,60
",",",",p
et,et,82
",",",",p
à,à,81
peine,peine,22
en,en,81
plein,plein,30
air,air,21
",",",",p
le,le,71
juge,juge,21
furieux,furieux,30
s',se,51
empara,emparer,19
des,de,81
des,le,71
mains,main,22
de,de,81
sa,son,73
victime,victime,22
",",",",p
les,le,52
lia,lier,19
par,par,81
un,un,71
mouchoir,mouchoir,21
",",",",p
et,et,82
l',le,52
entraîna,entraîner,19
facilement,facilement,60
",",",",p
car,car,82
elle,il,51
ne,ne,60
poussa,pousser,19
pas,pas,60
un,un,71
cri,cri,21
",",",",p
pas,pas,60
un,un,71
soupir,soupir,21
",",",",p
mais,mais,82
le,le,52
suivit,suivre,19
",",",",p
la,le,71
tête,tête,22
toujours,toujours,60
baissée,baissé,31
sur,sur,81
son,son,73
sein,sein,21
",",",",p
et,et,82
comme,comme,83
plongée,plongé,31
dans,dans,81
un,un,71
profond,profond,30
somnambulisme,somnambulisme,21
/.,/.,P
<Chapitre XIII>,<>,<>
l',le,71
Espagnol,Espagnol,20
que,que,52
un,un,71
ami,ami,21
véritable,véritable,30
est,être,17
une,un,71
douce,doux,30
chose,chose,22
/!,/!,P
il,il,51
cherche,chercher,17
vos,votre,73
besoins,besoin,21
au,à,81
au,le,71
fond,fond,21
de,de,81
votre,votre,73
coeur,coeur,21
",",",",p
il,il,51
vous,vous,51
épargne,épargner,17
la,le,71
pudeur,pudeur,22
de,de,81
les,le,52
lui,lui,51
découvrir,découvrir,14
vous-même,vous-même,51
/.,/.,P
La Fontaine,La Fontaine,20
/.,/.,P
cependant,cependant,82
une,un,71
scène,scène,22
d',de,81
une,un,71
autre,autre,75
nature,nature,22
se,se,51
passait,passer,18
sous,sous,81
la,le,71
tente,tente,22
de,de,81
Cinq-Mars,Cinq-Mars,20
;,;,p
les,le,71
paroles,parole,22
du,de,81
du,le,71
roi,roi,21
",",",",p
premier,premier,72
baume,baume,21
de,de,81
ses,son,73
blessures,blessure,22
",",",",p
avaient,avoir,18
été,être,12
suivies,suivre,12
des,de,81
des,le,71
soins,soin,21
empressés,empressé,31
des,de,81
des,le,71
chirurgiens,chirurgien,21
de,de,81
la,le,71
cour,cour,22
;,;,p
une,un,71
balle,balle,22
morte,mort,31
",",",",p
facilement,facilement,60
extraite,extrait,31
",",",",p
avait,avoir,18
causé,causer,12
seule,seul,30
son,son,73
accident,accident,21
:,:,p
le,le,71
voyage,voyage,21
lui,lui,51
était,être,18
permis,permettre,12
",",",",p
tout,tout,52
était,être,18
prêt,prêt,30
pour,pour,81
l',le,52
accomplir,accomplir,14
/.,/.,P
le,le,71
malade,malade,21
avait,avoir,18
reçu,recevoir,12
jusqu',jusque,81
à,à,81
minuit,minuit,21
des,de,81
des,le,71
visites,visite,22
amicales,amical,30
et,et,82
intéressées,intéressé,31
;,;,p
dans,dans,81
les,le,71
premières,premier,72
furent,être,19
celles,celui,52
du,de,81
du,le,71
petit,petit,30
Gondi,Gondi,20
et,et,82
de,de,81
Fontrailles,Fontrailles,20
",",",",p
qui,qui,52
se,se,51
disposaient,disposer,18
aussi,aussi,60
à,à,81
quitter,quitter,14
Perpignan,Perpignan,20
pour,pour,81
Paris,Paris,20
;,;,p
l',le,71
ancien,ancien,30
page,page,21
Olivier,Olivier,20
d',de,81
Entraigues,Entraigues,20
s',se,51
était,être,18
joint,joindre,12
à,à,81
eux,ils,51
pour,pour,81
complimenter,complimenter,14
l',le,71
heureux,heureux,30
volontaire,volontaire,21
que,que,52
le,le,71
roi,roi,21
semblait,sembler,18
avoir,avoir,14
distingué,distinguer,12
;,;,p
la,le,71
froideur,froideur,22
habituelle,habituel,30
du,de,81
du,le,71
prince,prince,21
envers,envers,81
tout,tout,52
ce,ce,52
qui,qui,52
l',le,52
entourait,entourer,18
ayant,avoir,13
fait,faire,12
regarder,regarder,14
",",",",p
à,à,81
tous,tout,75
ceux,celui,52
qui,qui,52
en,en,52
furent,être,19
instruits,instruire,12
",",",",p
le,le,71
peu,peu,60
de,de,81
mots,mot,21
qu',que,52
il,il,51
avait,avoir,18
dits,dire,12
comme,comme,83
des,de,81
des,le,71
signes,signe,21
assurés,assuré,31
d',de,81
une,un,71
haute,haut,30
faveur,faveur,22
",",",",p
tous,tout,52
étaient,être,18
venus,venir,12
le,le,52
féliciter,féliciter,14
/.,/.,P
enfin,enfin,60
il,il,51
était,être,18
seul,seul,30
",",",",p
sur,sur,81
son,son,73
lit,lit,21
de,de,81
camp,camp,21
;,;,p
monsieur,monsieur,21
de,de,81
Thou,Thou,20
",",",",p
près,près,81
de,de,81
lui,lui,51
",",",",p
tenait,tenir,18
sa,son,73
main,main,22
",",",",p
et,et,82
Grandchamp,Grandchamp,20
",",",",p
à,à,81
ses,son,73
pieds,pied,21
",",",",p
grondait,gronder,18
encore,encore,60
de,de,81
toutes,tout,75
