11643
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-troisième extrait>,<>,<>
vous,vous,51
décider,décider,14
à,à,81
la,le,52
délivrer,délivrer,14
de,de,81
ce,ce,74
tyran,tyran,21
;,;,p
tout,tout,52
est,être,17
prêt,prêt,30
;,;,p
il,il,51
ne,ne,60
faut,falloir,17
qu',que,83
un,un,71
signe,signe,21
de,de,81
votre,votre,73
tête,tête,22
auguste,auguste,30
pour,pour,81
anéantir,anéantir,14
ce,ce,74
pygmée,pygmée,21
",",",",p
qui,qui,52
a,avoir,17
tenté,tenter,12
l',le,71
abaissement,abaissement,21
de,de,81
la,le,71
maison,maison,22
royale,royal,30
elle-même,lui-même,51
/.,/.,P
-,-,p
hélas,hélas,60
/!,/!,P
dieu,dieu,21
m',je,51
est,être,17
témoin,témoin,21
que,que,52
je,je,51
lui,lui,51
pardonne,pardonner,17
cette,ce,74
injure,injure,22
",",",",p
reprit,reprendre,19
Gaston,Gaston,20
en,en,81
levant,lever,13
les,le,71
yeux,oeil,21
;,;,p
mais,mais,82
je,je,51
ne,ne,60
puis,pouvoir,17
entendre,entendre,14
plus,plus,60
longtemps,longtemps,60
les,le,71
cris,cri,21
du,de,81
du,le,71
peuple,peuple,21
;,;,p
oui,oui,60
",",",",p
j',je,51
irai,aller,15
à,à,81
son,son,73
secours,secours,21
!,!,p
/…,/…,P
-,-,p
ah,ah,93
!,!,p
nous,nous,51
tombons,tomber,17
à,à,81
vos,votre,73
genoux,genou,21
!,!,p
s',se,51
écria,écrier,19
Montrésor,Montrésor,20
s',se,51
inclinant,incliner,13
/…,/…,P
-,-,p
c'est-à-dire,c'est-à-dire,91
",",",",p
reprit,reprendre,19
le,le,71
prince,prince,21
en,en,81
reculant,reculer,13
",",",",p
autant,autant,60
que,que,83
ma,mon,73
dignité,dignité,22
ne,ne,60
sera,être,15
pas,pas,60
compromise,compromettre,12
",",",",p
et,et,82
que,que,83
l',l',94
on,on,51
ne,ne,60
verra,voir,15
nulle,nul,75
part,part,22
mon,mon,73
nom,nom,21
/.,/.,P
-,-,p
et,et,82
c',ce,52
est,être,17
justement,justement,60
lui,lui,51
que,que,52
nous,nous,51
voudrions,vouloir,16
!,!,p
s',se,51
écria,écrier,19
Fontrailles,Fontrailles,20
",",",",p
un,un,71
peu,peu,60
plus,plus,60
à,à,81
son,son,73
aise,aise,22
/…,/…,P
tenez,tenir,17
",",",",p
monseigneur,monseigneur,21
",",",",p
il,il,51
y,y,52
a,avoir,17
déjà,déjà,60
quelques,quelque,75
noms,nom,21
à,à,81
mettre,mettre,14
à,à,81
la,le,71
suite,suite,22
du,de,81
du,le,71
vôtre,vôtre,52
",",",",p
et,et,82
qui,qui,52
ne,ne,60
craignent,craindre,17
pas,pas,60
de,de,81
s',se,51
inscrire,inscrire,14
;,;,p
je,je,51
vous,vous,51
les,le,52
dirai,dire,15
sur-le-champ,sur-le-champ,60
si,si,83
vous,vous,51
voulez,vouloir,17
/…,/…,P
-,-,p
mais,mais,82
",",",",p
mais,mais,82
",",",",p
mais,mais,82
",",",",p
…,…,p
dit,dire,19
le,le,71
duc,duc,21
d',de,81
Orléans,Orléans,20
avec,avec,81
un,un,71
peu,peu,60
d',de,81
effroi,effroi,21
",",",",p
savez,savoir,17
vous,vous,51
que,que,83
c',ce,52
est,être,17
une,un,71
conjuration,conjuration,22
que,que,52
vous,vous,51
me,je,51
proposez,proposer,17
là,là,60
tout,tout,60
simplement,simplement,60
?,?,p
/…,/…,P
-,-,p
fi,fi,60
donc,donc,82
!,!,p
fi,fi,60
donc,donc,82
!,!,p
monseigneur,monseigneur,21
",",",",p
des,de,81
des,le,71
gens,gens,21
d',de,81
honneur,honneur,21
comme,comme,83
nous,nous,51
!,!,p
une,un,71
conjuration,conjuration,22
!,!,p
ah,ah,93
!,!,p
du,de,81
du,le,71
tout,tout,21
!,!,p
une,un,71
ligue,ligue,22
",",",",p
tout,tout,60
au,à,81
au,le,71
plus,plus,60
",",",",p
un,un,71
petit,petit,30
accord,accord,21
pour,pour,81
donner,donner,14
la,le,71
direction,direction,22
au,à,81
au,le,71
voeu,voeu,21
unanime,unanime,30
de,de,81
la,le,71
nation,nation,22
et,et,82
de,de,81
la,le,71
cour,cour,22
:,:,p
voilà,voilà,81
tout,tout,52
/!,/!,P
mais,mais,82
…,…,p
mais,mais,82
cela,cela,52
n',ne,60
est,être,17
pas,pas,60
clair,clair,30
",",",",p
car,car,82
enfin,enfin,60
cette,ce,74
affaire,affaire,22
ne,ne,60
serait,être,16
ni,ni,82
générale,général,30
ni,ni,82
publique,public,30
:,:,p
donc,donc,82
ce,ce,52
serait,être,16
une,un,71
conjuration,conjuration,22
;,;,p
vous,vous,51
n',ne,60
avoueriez,avouer,16
pas,pas,60
que,que,83
vous,vous,51
en,en,52
êtes,être,17
/?,/?,P
moi,moi,51
",",",",p
monseigneur,monseigneur,21
?,?,p
pardonnez,pardonner,17
moi,moi,51
",",",",p
à,à,81
toute,tout,75
la,le,71
terre,terre,22
",",",",p
puisque,puisque,83
tout,tout,75
le,le,71
royaume,royaume,21
en,en,52
est,être,17
déjà,déjà,60
",",",",p
et,et,82
je,je,51
suis,être,17
du,de,81
du,le,71
royaume,royaume,21
/.,/.,P
eh,eh,93
!,!,p
qui,qui,52
ne,ne,60
mettrait,mettre,16
son,son,73
nom,nom,21
après,après,81
celui,celui,52
de,de,81
messieurs,monsieur,21
de,de,81
Bouillon,Bouillon,20
et,et,82
de,de,81
Cinq-Mars,Cinq-Mars,20
?,?,p
/…,/…,P
-,-,p
après,après,81
",",",",p
peut-être,peut-être,60
",",",",p
mais,mais,82
avant,avant,81
?,?,p
dit,dire,19
Gaston,Gaston,20
en,en,81
fixant,fixer,13
ses,son,73
regards,regard,21
sur,sur,81
Fontrailles,Fontrailles,20
",",",",p
et,et,82
plus,plus,60
finement,finement,60
qu',que,83
il,il,51
ne,ne,60
s',se,51
y,y,52
attendait,attendre,18
/.,/.,P
celui-ci,celui-ci,52
sembla,sembler,19
hésiter,hésiter,14
un,un,71
moment,moment,21
/…,/…,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
que,que,52
ferait,faire,16
monsieur,monsieur,21
",",",",p
si,si,83
je,je,51
lui,lui,51
disais,dire,18
des,de,81
des,le,71
noms,nom,21
après,après,81
lesquels,lequel,52
il,il,51
pût,pouvoir,18
mettre,mettre,14
le,le,71
sien,sien,52
/?,/?,P
ah,ah,93
!,!,p
ah,ah,93
!,!,p
voilà,voilà,81
qui,qui,52
est,être,17
plaisant,plaisant,30
",",",",p
reprit,reprendre,19
le,le,71
prince,prince,21
en,en,81
riant,rire,13
;,;,p
savez,savoir,17
vous,vous,51
qu',que,83
au-dessus,au-dessus,60
du,de,81
du,le,71
.,.,p
mien,mien,52
il,il,51
n',ne,60
y,y,52
en,en,52
a,avoir,17
pas,pas,60
beaucoup,beaucoup,60
/?,/?,P
je,je,51
n',ne,60
en,en,52
vois,voir,17
qu',que,83
un,un,52
/.,/.,P
-,-,p
enfin,enfin,60
",",",",p
s',si,83
il,il,51
y,y,52
en,en,52
a,avoir,17
un,un,52
",",",",p
monseigneur,monseigneur,21
nous,nous,51
promet,promettre,17
il,il,51
de,de,81
signer,signer,14
celui,celui,52
de,de,81
Gaston,Gaston,20
au-dessous,au-dessous,60
/?,/?,P
ah,ah,93
!,!,p
parbleu,parbleu,93
",",",",p
de,de,81
tout,tout,75
mon,mon,73
coeur,coeur,21
",",",",p
je,je,51
ne,ne,60
risque,risquer,17
rien,rien,52
",",",",p
car,car,82
je,je,51
ne,ne,60
vois,voir,17
que,que,83
le,le,71
roi,roi,21
",",",",p
qui,qui,52
n',ne,60
est,être,17
sûrement,sûrement,60
pas,pas,60
de,de,81
la,le,71
partie,partie,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
à,à,81
dater,dater,14
de,de,81
ce,ce,74
moment,moment,21
",",",",p
permettez,permettre,17
",",",",p
dit,dire,19
Montrésor,Montrésor,20
",",",",p
que,que,83
nous,nous,51
vous,vous,51
prenions,prendre,17
au,à,81
au,le,71
mot,mot,21
",",",",p
et,et,82
veuillez,vouloir,17
bien,bien,60
consentir,consentir,14
à,à,81
présent,présent,21
à,à,81
deux,deux,72
choses,chose,22
seulement,seulement,60
:,:,p
voir,voir,14
monsieur,monsieur,21
de,de,81
Bouillon,Bouillon,20
chez,chez,81
la,le,71
reine,reine,22
",",",",p
et,et,82
monsieur,monsieur,21
le,le,71
grand,grand,30
écuyer,écuyer,21
chez,chez,81
le,le,71
roi,roi,21
/.,/.,P
-,-,p
tope,toper,17
!,!,p
dit,dire,19
monsieur,monsieur,21
gaiement,gaiement,60
et,et,82
frappant,frapper,13
l',le,71
épaule,épaule,22
de,de,81
Montrésor,Montrésor,20
",",",",p
j',je,51
irai,aller,15
dès,dès,81
aujourd'hui,aujourd'hui,60
à,à,81
la,le,71
toilette,toilette,22
de,de,81
ma,mon,73
belle-soeur,belle-soeur,22
",",",",p
et,et,82
je,je,51
prierai,prier,15
mon,mon,73
frère,frère,21
de,de,81
venir,venir,14
courre,courre,14
un,un,71
cerf,cerf,21
à,à,81
Chambord,Chambord,20
avec,avec,81
moi,moi,51
/.,/.,P
les,le,71
deux,deux,72
amis,ami,21
n',ne,60
en,en,52
demandaient,demander,18
pas,pas,60
plus,plus,60
",",",",p
et,et,82
furent,être,19
surpris,surprendre,12
eux-mêmes,eux-mêmes,51
de,de,81
leur,leur,73
ouvrage,ouvrage,21
;,;,p
jamais,jamais,60
ils,ils,51
n',ne,60
avaient,avoir,18
vu,voir,12
tant,tant,60
de,de,81
résolution,résolution,22
à,à,81
leur,leur,73
chef,chef,21
/.,/.,P
aussi,aussi,60
",",",",p
-,-,p
de,de,81
peur,peur,22
de,de,81
le,le,52
mettre,mettre,14
sur,sur,81
une,un,71
voie,voie,22
qui,qui,52
pût,pouvoir,18
le,le,52
détourner,détourner,14
de,de,81
la,le,71
route,route,22
qu',que,52
il,il,51
venait,venir,18
de,de,81
prendre,prendre,14
",",",",p
ils,ils,51
se,se,51
hâtèrent,hâter,19
de,de,81
jeter,jeter,14
la,le,71
conversation,conversation,22
sur,sur,81
d',de,81
autres,autre,75
sujets,sujet,21
",",",",p
et,et,82
se,se,51
retirèrent,retirer,19
charmés,charmé,31
",",",",p
en,en,81
laissant,laisser,13
pour,pour,81
derniers,dernier,30
mots,mot,21
dans,dans,81
son,son,73
oreille,oreille,22
qu',que,52
ils,ils,51
comptaient,compter,18
sur,sur,81
ses,son,73
dernières,dernier,30
promesses,promesse,22
/.,/.,P
<Chapitre XV>,<>,<>
l',le,71
alcôve,alcôve,22
les,le,71
reines,reine,22
ont,avoir,17
été,être,12
vues,voir,12
pleurant,pleurer,13
comme,comme,83
de,de,81
simples,simple,30
femmes,femme,22
/.,/.,P
Chateaubriand,Chateaubriand,20
que,que,52
il,il,51
est,être,17
doux,doux,30
d',de,81
être,être,14
belle,beau,30
alors,alors,60
qu',que,83
on,on,51
est,être,17
aimée,aimer,12
/!,/!,P
Delphine,Delphine,20
Gay,Gay,20
/.,/.,P
tandis qu',tandis que,83
un,un,71
prince,prince,21
était,être,18
ainsi,ainsi,60
rassuré,rassurer,12
avec,avec,81
peine,peine,22
par,par,81
ceux,celui,52
qui,qui,52
l',le,52
entouraient,entourer,18
",",",",p
et,et,82
leur,leur,52
laissait,laisser,18
voir,voir,14
un,un,71
effroi,effroi,21
qui,qui,52
pouvait,pouvoir,18
être,être,14
contagieux,contagieux,30
pour,pour,81
eux,ils,51
",",",",p
une,un,71
princesse,princesse,22
",",",",p
plus,plus,60
exposée,exposé,31
aux,à,81
aux,le,71
accidents,accident,21
",",",",p
plus,plus,60
isolée,isolé,31
par,par,81
l',le,71
indifférence,indifférence,22
de,de,81
son,son,73
mari,mari,21
",",",",p
plus,plus,60
faible,faible,30
par,par,81
sa,son,73
nature,nature,22
et,et,82
par,par,81
la,le,71
timidité,timidité,22
qui,qui,52
vient,venir,17
de,de,81
l',le,71
absence,absence,22
du,de,81
du,le,71
bonheur,bonheur,21
",",",",p
donnait,donner,18
de,de,81
son,son,73
côté,côté,21
l',le,71
exemple,exemple,21
du,de,81
du,le,71
courage,courage,21
le,le,71
plus,plus,60
calme,calme,30
et,et,82
de,de,81
la,le,71
plus,plus,60
pieuse,pieux,30
résignation,résignation,22
",",",",p
et,et,82
raffermissait,raffermir,18
sa,son,73
suite,suite,22
effrayée,effrayé,31
:,:,p
c',ce,52
était,être,18
la,le,71
reine,reine,22
/.,/.,P
à,à,81
peine,peine,22
endormie,endormi,31
depuis,depuis,81
une,un,71
heure,heure,22
",",",",p
elle,il,51
avait,avoir,18
entendu,entendre,12
des,de,81
des,le,71
cris,cri,21
aigus,aigu,30
derrière,derrière,81
les,le,71
portes,porte,22
et,et,82
les,le,71
épaisses,épais,30
tapisseries,tapisserie,22
de,de,81
sa,son,73
chambre,chambre,22
/.,/.,P
elle,il,51
ordonna,ordonner,19
à,à,81
ses,son,73
femmes,femme,22
de,de,81
faire,faire,14
entrer,entrer,14
",",",",p
et,et,82
la,le,71
duchesse,duchesse,22
de,de,81
Chevreuse,Chevreuse,20
",",",",p
en,en,81
chemise,chemise,22
et,et,82
enveloppée,enveloppé,31
dans,dans,81
un,un,71
grand,grand,30
manteau,manteau,21
",",",",p
vint,venir,19
tomber,tomber,14
presque,presque,60
évanouie,évanoui,31
au,à,81
au,le,71
pied,pied,21
de,de,81
son,son,73
lit,lit,21
",",",",p
suivie,suivi,31
de,de,81
quatre,quatre,72
dames,dame,22
d',de,81
atours,atour,21
et,et,82
de,de,81
trois,trois,72
femmes,femme,22
de,de,81
chambre,chambre,22
/.,/.,P
ses,son,73
pieds,pied,21
délicats,délicat,30
étaient,être,18
nus,nu,30
",",",",p
et,et,82
ils,ils,51
saignaient,saigner,18
",",",",p
parce qu',parce que,83
elle,il,51
s',se,51
était,être,18
blessée,blesser,12
en,en,81
courant,courir,13
;,;,p
elle,il,51
criait,crier,18
",",",",p
en,en,81
pleurant,pleurer,13
comme,comme,83
un,un,71
enfant,enfant,21
",",",",p
qu',que,83
un,un,71
coup,coup,21
de,de,81
pistolet,pistolet,21
avait,avoir,18
brisé,briser,12
ses,son,73
volets,volet,21
et,et,82
ses,son,73
carreaux,carreau,21
",",",",p
et,et,82
l',le,52
avait,avoir,18
blessée,blesser,12
;,;,p
qu',que,83
elle,il,51
suppliait,supplier,18
la,le,71
reine,reine,22
de,de,81
la,le,52
renvoyer,renvoyer,14
en,en,81
exil,exil,21
",",",",p
où,où,60
elle,il,51
se,se,51
trouvait,trouver,18
plus,plus,60
tranquille,tranquille,30
que,que,83
dans,dans,81
un,un,71
pays,pays,21
où,où,60
l',l',94
on,on,51
voulait,vouloir,18
l',le,52
assassiner,assassiner,14
",",",",p
parce qu',parce que,83
elle,il,51
était,être,18
l',le,71
amie,amie,22
de,de,81
sa,son,73
majesté,majesté,22
/.,/.,P
elle,il,51
avait,avoir,18
ses,son,73
cheveux,cheveu,21
dans,dans,81
un,un,71
grand,grand,30
désordre,désordre,21
et,et,82
tombant,tomber,13
jusque,jusque,81
ses,son,73
pieds,pied,21
:,:,p
c',ce,52
était,être,18
sa,son,73
principale,principal,30
beauté,beauté,22
",",",",p
et,et,82
la,le,71
jeune,jeune,30
reine,reine,22
pensa,penser,19
qu',que,83
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
cette,ce,74
toilette,toilette,22
moins,moins,60
de,de,81
hasard,hasard,21
qu',que,83
on,on,51
ne,ne,60
l',le,52
eût,avoir,19
pu,pouvoir,12
croire,croire,14
/.,/.,P
-,-,p
eh,eh,93
!,!,p
ma,mon,73
chère,cher,30
",",",",p
qu',que,52
arrive,arriver,17
t,t,94
il,il,51
donc,donc,82
?,?,p
lui,lui,51
dit,dire,19
elle,il,51
avec,avec,81
assez,assez,60
de,de,81
sang-froid,sang-froid,21
;,;,p
vous,vous,51
avez,avoir,17
l',le,71
air,air,21
de,de,81
Madeleine,Madeleine,20
",",",",p
mais,mais,82
dans,dans,81
sa,son,73
jeunesse,jeunesse,22
",",",",p
avant,avant,81
le,le,71
repentir,repentir,21
/.,/.,P
il,il,51
est,être,17
probable,probable,30
que,que,83
si,si,83
l',l',94
on,on,51
en,en,52
veut,vouloir,17
à,à,81
quelqu'un,quelqu'un,52
ici,ici,60
",",",",p
c',ce,52
est,être,17
à,à,81
moi,moi,51
;,;,p
tranquillisez,tranquilliser,17
vous,vous,51
/.,/.,P
-,-,p
non,non,60
",",",",p
madame,madame,22
",",",",p
sauvez,sauver,17
moi,moi,51
",",",",p
protégez,protéger,17
moi,moi,51
!,!,p
c',ce,52
est,être,17
ce,ce,74
Richelieu,Richelieu,20
qui,qui,52
me,je,51
poursuit,poursuivre,17
",",",",p
j',je,51
en,en,52
suis,être,17
certaine,certain,30
/.,/.,P
le,le,71
bruit,bruit,21
des,de,81
des,le,71
pistolets,pistolet,21
",",",",p
qui,qui,52
s',se,51
entendit,entendre,19
alors,alors,60
plus,plus,60
distinctement,distinctement,60
",",",",p
convainquit,convaincre,19
la,le,71
reine,reine,22
que,que,83
les,le,71
terreurs,te82rreur,22
de,de,81
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
n',ne,60
étaient,être,18
pas,pas,60
vaines,vain,30
/.,/.,P
-,-,p
venez,venir,17
m',je,51
habiller,habiller,14
",",",",p
madame,madame,22
de,de,81
Motteville,Motteville,20
!,!,p
cria,crier,19
t,t,94
elle,il,51
/.,/.,P
mais,mais,82
celle-ci,celui-ci,52
avait,avoir,18
perdu,perdre,12
la,le,71
tête,tête,22
entièrement,entièrement,60
",",",",p
et,et,82
",",",",p
ouvrant,ouvrir,13
un,un,52
de,de,81
ces,ce,74
immenses,immense,30
coffres,coffre,21
d',de,81
ébène,ébène,21
qui,qui,52
servaient,servir,18
d',de,81
armoire,armoire,22
alors,alors,60
",",",",p
en,en,52
tirait,tirer,18
une,un,71
cassette,cassette,22
de,de,81
diamants,diamant,21
de,de,81
la,le,71
princesse,princesse,22
pour,pour,81
la,le,52
sauver,sauver,14
",",",",p
et,et,82
ne,ne,60
l',le,52
écoutait,écouter,18
pas,pas,60
/.,/.,P
les,le,71
autres,autre,75
femmes,femme,22
avaient,avoir,18
vu,voir,12
sur,sur,81
une,un,71
fenêtre,fenêtre,22
la,le,71
lueur,lueur,22
des,de,81
des,le,71
torches,torche,22
",",",",p
et,et,82
",",",",p
s',se,51
imaginant,imaginer,13
que,que,83
le,le,71
feu,feu,21
était,être,18
au,à,81
au,le,71
palais,palais,21
",",",",p
précipitaient,précipiter,18
les,le,71
bijoux,bijou,21
",",",",p
les,le,71
dentelles,dentelle,22
",",",",p
les,le,71
vases,vase,21
d',de,81
or,or,21
",",",",p
et,et,82
jusqu',jusque,81
aux,à,81
aux,le,71
porcelaines,porcelaine,22
",",",",p
dans,dans,81
des,de,81
des,le,71
draps,drap,21
qu',que,52
elles,ils,51
voulaient,vouloir,18
jeter,jeter,14
ensuite,ensuite,60
par,par,81
la,le,71
fenêtre,fenêtre,22
/.,/.,P
en,en,81
même,même,75
temps,temps,21
survint,survenir,19
madame,madame,22
de,de,81
Guéménée,Guéménée,20
un,un,71
peu,peu,60
plus,plus,60
habillée,habillé,31
que,que,83
la,le,71
duchesse,duchesse,22
de,de,81
Chevreuse,Chevreuse,20
",",",",p
mais,mais,82
ayant,avoir,13
pris,prendre,12
la,le,71
chose,chose,22
plus,plus,60
au,à,81
au,le,71
tragique,tragique,30
encore,encore,60
;,;,p
l',le,71
effroi,effroi,21
qu',que,52
elle,il,51
avait,avoir,18
en,en,52
donna,donner,19
un,un,71
peu,peu,60
à,à,81
la,le,71
reine,reine,22
",",",",p
à,à,81
cause,cause,22
du,de,81
du,le,71
caractère,caractère,21
cérémonieux,cérémonieux,30
et,et,82
paisible,paisible,30
qu',que,52
on,on,51
lui,lui,51
connaissait,connaître,18
/.,/.,P
elle,il,51
entra,entrer,19
sans,sans,81
saluer,saluer,14
",",",",p
pâle,pâle,30
comme,comme,83
un,un,71
spectre,spectre,21
",",",",p
et,et,82
dit,dire,19
avec,avec,81
volubilité,volubilité,22
:,:,p
-,-,p
madame,madame,22
",",",",p
il,il,51
est,être,17
temps,temps,21
de,de,81
nous,nous,51
confesser,confesser,14
;,;,p
on,on,51
attaque,attaquer,17
le,le,71
Louvre,Louvre,20
",",",",p
et,et,82
tout,tout,75
le,le,71
peuple,peuple,21
arrive,arriver,17
de,de,81
la,le,71
Cité,Cité,20
",",",",p
m',je,51
a,avoir,17
t,t,94
on,on,51
dit,dire,12
/.,/.,P
la,le,71
stupeur,stupeur,22
fit,faire,19
taire,taire,14
et,et,82
rendit,rendre,19
immobile,immobile,30
toute,tout,75
la,le,71
chambre,chambre,22
/.,/.,P
-,-,p
nous,nous,51
allons,aller,17
mourir,mourir,14
!,!,p
cria,crier,19
la,le,71
duchesse,duchesse,22
de,de,81
Chevreuse,Chevreuse,20
",",",",p
toujours,toujours,60
à,à,81
genoux,genou,21
/.,/.,P
ah,ah,93
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
que,que,52
ne,ne,60
suis,être,17
je,je,51
restée,rester,12
en,en,81
Angleterre,Angleterre,20
/!,/!,P
oui,oui,60
",",",",p
confessons,confesser,17
nous,nous,51
;,;,p
je,je,51
me,je,51
confesse,confesser,17
hautement,hautement,60
:,:,p
j',je,51
ai,avoir,17
aimé,aimer,12
",",",",p
…,…,p
j',je,51
ai,avoir,17
été,être,12
aimée,aimer,12
de,de,81
/…,/…,P
-,-,p
c',ce,52
est,être,17
bon,bon,30
",",",",p
c',ce,52
est,être,17
bon,bon,30
",",",",p
dit,dire,19
la,le,71
reine,reine,22
",",",",p
je,je,51
ne,ne,60
me,je,51
charge,charger,17
pas,pas,60
d',de,81
entendre,entendre,14
jusqu',jusque,81
à,à,81
la,le,71
fin,fin,22
;,;,p
ce,ce,52
ne,ne,60
serait,être,16
peut-être,peut-être,60
pas,pas,60
le,le,71
moindre,moindre,30
de,de,81
mes,mon,73
dangers,danger,21
",",",",p
dont,dont,52
vous,vous,51
ne,ne,60
vous,vous,51
occupez,occuper,17
guère,guère,60
/.,/.,P
le,le,71
sang-froid,sang-froid,21
d',de,81
Anne,Anne,20
d',de,81
Autriche,Autriche,20
et,et,82
cette,ce,74
seconde,second,72
réponse,réponse,22
sévère,sévère,30
rendirent,rendre,19
pourtant,pourtant,60
un,un,71
peu,peu,60
de,de,81
calme,calme,21
à,à,81
cette,ce,74
belle,beau,30
personne,personne,22
",",",",p
qui,qui,52
se,se,51
releva,relever,19
confuse,confus,30
",",",",p
et,et,82
s',se,51
aperçut,apercevoir,19
du,de,81
du,le,71
désordre,désordre,21
de,de,81
sa,son,73
toilette,toilette,22
",",",",p
qu',que,52
elle,il,51
alla,aller,19
réparer,réparer,14
le,le,71
mieux,mieux,60
qu',que,83
elle,il,51
put,pouvoir,19
dans,dans,81
un,un,71
cabinet,cabinet,21
voisin,voisin,30
/.,/.,P
-,-,p
dona,dona,92
Stephania,Stephania,20
",",",",p
dit,dire,19
la,le,71
reine,reine,22
à,à,81
une,un,52
de,de,81
ses,son,73
femmes,femme,22
",",",",p
la,le,71
seule,seul,30
Espagnole,Espagnol,20
qu',que,52
elle,il,51
eût,avoir,19
conservée,conserver,12
auprès,auprès,60
d',de,81
elle,il,51
",",",",p
allez,aller,17
chercher,chercher,14
le,le,71
capitaine,capitaine,21
des,de,81
des,le,71
gardes,garde,21
:,:,p
il,il,51
est,être,17
temps,temps,21
que,que,83
je,je,51
voie,voir,17
des,de,81
des,le,71
hommes,homme,21
",",",",p
enfin,enfin,60
",",",",p
et,et,82
que,que,52
j',je,51
entende,entendre,17
quelque,quelque,75
chose,chose,22
de,de,81
raisonnable,raisonnable,30
/.,/.,P
elle,il,51
dit,dire,19
ceci,ceci,52
en,en,81
espagnol,espagnol,21
",",",",p
et,et,82
le,le,71
mystère,mystère,21
de,de,81
cet,ce,74
ordre,ordre,21
",",",",p
dans,dans,81
une,un,71
langue,langue,22
que,que,52
ces,ce,74
dames,dame,22
ne,ne,60
comprenaient,comprendre,18
pas,pas,60
",",",",p
fit,faire,19
rentrer,rentrer,14
le,le,71
bon,bon,30
sens,sens,21
dans,dans,81
la,le,71
chambre,chambre,22
/.,/.,P
la,le,71
carriériste,carriériste,22
disait,dire,18
son,son,73
chapelet,chapelet,21
;,;,p
mais,mais,82
elle,il,51
se,se,51
leva,lever,19
du,de,81
du,le,71
coin,coin,21
de,de,81
l',le,71
alcôve,alcôve,22
où,où,60
elle,il,51
s',se,51
était,être,18
réfugiée,réfugier,12
",",",",p
et,et,82
sortit,sortir,19
en,en,81
courant,courir,13
pour,pour,81
obéir,obéir,14
à,à,81
sa,son,73
maîtresse,maîtresse,22
/.,/.,P
cependant,cependant,82
les,le,71
signes,signe,21
de,de,81
la,le,71
révolte,révolte,22
et,et,82
les,le,71
symptômes,symptôme,21
de,de,81
la,le,71
terreur,terreur,22
devenaient,devenir,18
plus,plus,60
distincts,distinct,30
au-dessous,au-dessous,60
et,et,82
dans,dans,81
l',le,71
intérieur,intérieur,21
/.,/.,P
on,on,51
entendait,entendre,18
dans,dans,81
la,le,71
grande,grand,30
cour,cour,22
du,de,81
du,le,71
Louvre,Louvre,20
le,le,71
piétinement,piétinement,21
des,de,81
des,le,71
chevaux,cheval,21
de,de,81
la,le,71
garde,garde,22
",",",",p
les,le,71
commandements,commandement,21
des,de,81
des,le,71
chefs,chef,21
",",",",p
le,le,71
roulement,roulement,21
des,de,81
des,le,71
carrosses,carrosse,21
de,de,81
la,le,71
reine,reine,22
",",",",p
qu',que,52
on,on,51
attelait,atteler,18
pour,pour,81
fuir,fuir,14
s',si,83
il,il,51
le,le,52
fallait,falloir,18
",",",",p
le,le,71
bruit,bruit,21
des,de,81
des,le,71
chaînes,chaîne,22
de,de,81
fer,fer,21
que,que,52
l',l',94
on,on,51
traînait,traîner,18
sur,sur,81
le,le,71
pavé,pavé,21
pour,pour,81
former,former,14
les,le,71
barricades,barricade,22
en,en,81
cas,cas,21
d',de,81
attaque,attaque,22
",",",",p
les,le,71
pas,pas,21
précipités,précipité,31
",",",",p
le,le,71
choc,choc,21
des,de,81
des,le,71
armes,arme,22
",",",",p
des,de,81
des,le,71
troupes,troupe,22
d',de,81
hommes,homme,21
qui,qui,52
couraient,courir,18
dans,dans,81
les,le,71
corridors,corridor,21
",",",",p
les,le,71
cris,cri,21
sourds,sourd,30
et,et,82
confus,confus,30
du,de,81
du,le,71
peuple,peuple,21
qui,qui,52
s',se,51
élevaient,élever,18
et,et,82
s',se,51
éteignaient,éteindre,18
",",",",p
s',se,51
éloignaient,éloigner,18
et,et,82
se,se,51
rapprochaient,rapprocher,18
comme,comme,83
le,le,71
bruit,bruit,21
des,de,81
des,le,71
vagues,vague,22
et,et,82
des,de,81
des,le,71
vents,vent,21
/.,/.,P
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
encore,encore,60
",",",",p
et,et,82
cette,ce,74
fois,fois,22
c',ce,52
était,être,18
pour,pour,81
introduire,introduire,14
un,un,71
charmant,charmant,30
personnage,personnage,21
/.,/.,P
-,-,p
je,je,51
vous,vous,51
attendais,attendre,18
;,;,p
chère,cher,30
Marie,Marie,20
",",",",p
dit,dire,19
la,le,71
reine,reine,22
",",",",p
tendant,tendre,13
les,le,71
bras,bras,21
à,à,81
la,le,71
duchesse,duchesse,22
de,de,81
Mantoue,Mantoue,20
:,:,p
vous,vous,51
avez,avoir,17
eu,avoir,12
plus,plus,60
de,de,81
bravoure,bravoure,22
que,que,83
nous,nous,51
toutes,tout,52
",",",",p
vous,vous,51
venez,venir,17
parée,paré,31
