11443
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-cinquième extrait>,<>,<>
si,si,83
tu,tu,51
dois,devoir,17
être,être,14
plus,plus,60
heureuse,heureux,30
et,et,82
jouir,jouir,14
de,de,81
mes,mon,73
angoisses,angoisse,22
",",",",p
pourvu,pourvu,81
que,que,83
je,je,51
t',tu,51
entende,entendre,17
me,je,51
dire,dire,14
encore,encore,60
que,que,83
tu,tu,51
m',je,51
aimes,aimer,17
/.,/.,P
oh,oh,93
/!,/!,P
dis,dire,17
le,le,52
moi,moi,51
;,;,p
rends,rendre,17
moi,moi,51
ta,ton,73
confiance,confiance,22
et,et,82
ma,mon,73
joie,joie,22
;,;,p
dis,dire,17
moi,moi,51
quand,quand,83
nous,nous,51
nous,nous,51
reverrons,revoir,15
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
ce,ce,52
qui,qui,52
a,avoir,17
pu,pouvoir,12
résulter,résulter,14
des,de,81
des,le,71
événements,événement,21
de,de,81
cette,ce,74
nuit,nuit,22
;,;,p
comment,comment,60
se,se,51
fait,faire,17
il,il,51
que,que,83
tu,tu,51
ne,ne,60
m',je,51
en,en,52
parles,parler,17
pas,pas,60
",",",",p
que,que,83
tu,tu,51
me,je,51
laisses,laisser,17
souffrir,souffrir,14
depuis,depuis,81
ce,ce,74
matin,matin,21
/?,/?,P
Carle,Carle,20
vous,vous,51
a,avoir,17
vus,voir,12
vous,vous,51
promener,promener,14
tous,tout,75
trois,trois,72
dans,dans,81
le,le,71
parc,parc,21
/.,/.,P
le,le,71
colonel,colonel,21
était,être,18
malade,malade,30
ou,ou,82
triste,triste,30
",",",",p
mais,mais,82
non,non,60
irrité,irrité,31
/.,/.,P
ce,ce,74
Ralph,Ralph,20
ne,ne,60
nous,nous,51
aurait,avoir,16
donc,donc,82
pas,pas,60
trahis,trahir,12
/!,/!,P
homme,homme,21
étrange,étrange,30
/!,/!,P
mais,mais,82
quel,quel,75
fond,fond,21
pouvons,pouvoir,17
nous,nous,51
faire,faire,14
sur,sur,81
sa,son,73
discrétion,discrétion,22
",",",",p
et,et,82
comment,comment,60
oserai,oser,15
je,je,51
me,je,51
montrer,montrer,14
encore,encore,60
au,à,81
au,le,71
Lagny,Lagny,20
",",",",p
maintenant,maintenant,60
que,que,83
notre,notre,73
sort,sort,21
est,être,17
entre,entre,81
ses,son,73
mains,main,22
/?,/?,P
je,je,51
l',le,52
oserai,oser,15
pourtant,pourtant,60
/.,/.,P
s',si,83
il,il,51
faut,falloir,17
descendre,descendre,14
jusqu',jusque,81
à,à,81
l',le,52
implorer,implorer,14
",",",",p
j',je,51
humilierai,humilier,15
ma,mon,73
fierté,fierté,22
",",",",p
je,je,51
vaincrai,vaincre,15
mon,mon,73
aversion,aversion,22
",",",",p
je,je,51
ferai,faire,15
tout,tout,52
plutôt,plutôt,60
que,que,83
de,de,81
te,tu,51
perdre,perdre,14
/.,/.,P
un,un,71
mot,mot,21
de,de,81
toi,toi,51
",",",",p
et,et,82
je,je,51
chargerai,charger,15
ma,mon,73
vie,vie,22
d'autant,d'autant,60
de,de,81
remords,remords,21
que,que,52
j',je,51
en,en,52
pourrai,pouvoir,15
porter,porter,14
;,;,p
pour,pour,81
toi,toi,51
",",",",p
j',je,51
abandonnerais,abandonner,16
ma,mon,73
mère,mère,22
elle-même,lui-même,51
;,;,p
pour,pour,81
toi,toi,51
",",",",p
je,je,51
commettrais,commettre,16
tous,tout,75
les,le,71
crimes,crime,21
/.,/.,P
ah,ah,93
!,!,p
si,si,83
tu,tu,51
comprenais,comprendre,18
mon,mon,73
amour,amour,21
",",",",p
Indiana,Indiana,20
!,!,p
/…,/…,P
“,“,p
la,le,71
plume,plume,22
tomba,tomber,19
des,de,81
des,le,71
mains,main,22
de,de,81
Raymon,Raymon,20
;,;,p
il,il,51
était,être,18
horriblement,horriblement,60
fatigué,fatiguer,12
",",",",p
il,il,51
s',se,51
endormait,endormir,18
/.,/.,P
il,il,51
relut,relire,19
pourtant,pourtant,60
sa,son,73
lettre,lettre,22
pour,pour,81
s',se,51
assurer,assurer,14
que,que,83
ses,son,73
idées,idée,22
n',ne,60
avaient,avoir,18
pas,pas,60
subi,subir,12
l',le,71
influence,influence,22
du,de,81
du,le,71
sommeil,sommeil,21
;,;,p
mais,mais,82
il,il,51
fut,être,19
impossible,impossible,30
de,de,81
se,se,51
comprendre,comprendre,14
",",",",p
tant,tant,60
sa,son,73
tête,tête,22
se,se,51
ressentait,ressentir,18
de,de,81
l',le,71
épuisement,épuisement,21
de,de,81
ses,son,73
forces,force,22
/.,/.,P
il,il,51
sonna,sonner,19
son,son,73
domestique,domestique,21
",",",",p
le,le,52
chargea,charger,19
de,de,81
partir,partir,14
pour,pour,81
le,le,71
Lagny,Lagny,20
avant,avant,81
le,le,71
jour,jour,21
",",",",p
et,et,82
dormit,dormir,19
de,de,81
ce,ce,74
profond,profond,30
et,et,82
précieux,précieux,30
sommeil,sommeil,21
dont,dont,52
les,le,71
gens,gens,21
satisfaits,satisfait,31
d',de,81
eux-mêmes,eux-mêmes,51
connaissent,connaître,17
seuls,seul,30
les,le,71
paisibles,paisible,30
voluptés,volupté,22
/.,/.,P
madame,madame,22
Delmare,Delmare,20
ne,ne,60
se,se,51
coucha,coucher,19
point,point,60
;,;,p
elle,il,51
ne,ne,60
s',se,51
aperçut,apercevoir,19
pas,pas,60
de,de,81
la,le,71
fatigue,fatigue,22
;,;,p
elle,il,51
passa,passer,19
la,le,71
nuit,nuit,22
à,à,81
écrire,écrire,14
",",",",p
et,et,82
",",",",p
quand,quand,83
elle,il,51
reçut,recevoir,19
la,le,71
lettre,lettre,22
de,de,81
Raymon,Raymon,20
",",",",p
elle,il,51
y,y,52
répondit,répondre,19
à,à,81
la,le,71
hâte,hâte,22
:,:,p
“,“,p
merci,merci,21
",",",",p
Raymon,Raymon,20
",",",",p
merci,merci,21
!,!,p
vous,vous,51
me,je,51
rendez,rendre,17
la,le,71
force,force,22
et,et,82
la,le,71
vie,vie,22
/.,/.,P
maintenant,maintenant,60
",",",",p
je,je,51
puis,pouvoir,17
tout,tout,52
braver,braver,14
",",",",p
tout,tout,52
supporter,supporter,14
;,;,p
car,car,82
vous,vous,51
m',je,51
aimez,aimer,17
",",",",p
et,et,82
les,le,71
plus,plus,60
rudes,rude,30
épreuves,épreuve,22
ne,ne,60
vous,vous,51
effrayent,effrayer,17
pas,pas,60
/.,/.,P
oui,oui,60
",",",",p
nous,nous,51
nous,nous,51
reverrons,revoir,15
",",",",p
nous,nous,51
braverons,braver,15
tout,tout,52
/.,/.,P
Ralph,Ralph,20
fera,faire,15
de,de,81
notre,notre,73
secret,secret,21
ce,ce,52
qu',que,52
il,il,51
voudra,vouloir,15
;,;,p
je,je,51
ne,ne,60
m',je,51
inquiète,inquiéter,17
plus,plus,60
de,de,81
rien,rien,52
",",",",p
tu,tu,51
m',je,51
aimes,aimer,17
;,;,p
je,je,51
n',ne,60
ai,avoir,17
même,même,60
plus,plus,60
peur,peur,22
de,de,81
mon,mon,73
mari,mari,21
/.,/.,P
“,“,p
vous,vous,51
voulez,vouloir,17
savoir,savoir,14
où,où,60
en,en,52
sont,être,17
nos,notre,73
affaires,affaire,22
?,?,p
/…,/…,P
j',je,51
ai,avoir,17
oublié,oublier,12
hier,hier,60
de,de,81
vous,vous,51
en,en,52
parler,parler,14
",",",",p
et,et,82
pourtant,pourtant,60
elles,ils,51
ont,avoir,17
pris,prendre,12
une,un,71
tournure,tournure,22
assez,assez,60
intéressante,intéressant,30
pour,pour,81
ma,mon,73
fortune,fortune,22
/.,/.,P
nous,nous,51
sommes,être,17
ruinés,ruiner,12
/.,/.,P
il,il,51
est,être,17
question,question,22
de,de,81
vendre,vendre,14
à,à,81
Lagny,Lagny,20
;,;,p
il,il,51
est,être,17
même,même,60
question,question,22
d',de,81
aller,aller,14
vivre,vivre,14
aux,à,81
aux,le,71
colonies,colonie,22
/…,/…,P
mais,mais,82
qu',que,52
importe,importer,17
tout,tout,75
cela,cela,52
?,?,p
je,je,51
ne,ne,60
puis,pouvoir,17
me,je,51
résoudre,résoudre,14
à,à,81
m',je,51
en,en,52
occuper,occuper,14
/.,/.,P
je,je,51
sais,savoir,17
bien,bien,60
que,que,83
nous,nous,51
ne,ne,60
nous,nous,51
séparerons,séparer,15
jamais,jamais,60
…,…,p
tu,tu,51
me,je,51
l',le,52
as,avoir,17
juré,jurer,12
",",",",p
Raymon,Raymon,20
;,;,p
je,je,51
compte,compter,17
sur,sur,81
ta,ton,73
promesse,promesse,22
",",",",p
compte,compter,17
sur,sur,81
mon,mon,73
courage,courage,21
/.,/.,P
rien,rien,52
ne,ne,60
m',je,51
effrayera,effrayer,15
",",",",p
rien,rien,52
ne,ne,60
me,je,51
rebutera,rebuter,15
;,;,p
ma,mon,73
place,place,22
est,être,17
marquée,marquer,12
à,à,81
tes,ton,73
côtés,côté,21
",",",",p
et,et,82
la,le,71
mort,mort,22
seule,seul,30
pourra,pouvoir,15
m',je,51
en,en,52
arracher,arracher,14
/.,/.,P
“,“,p
-,-,p
exaltation,exaltation,22
de,de,81
femme,femme,22
!,!,p
dit,dire,19
Raymon,Raymon,20
en,en,81
froissant,froisser,13
ce,ce,74
billet,billet,21
/.,/.,P
les,le,71
projets,projet,21
romanesques,romanesque,30
",",",",p
les,le,71
entreprises,entreprise,22
périlleuses,périlleux,30
flattent,flatter,17
leur,leur,73
faible,faible,30
imagination,imagination,22
",",",",p
comme,comme,83
les,le,71
aliments,aliment,21
amers,amer,30
réveillent,réveiller,17
l',le,71
appétit,appétit,21
des,de,81
des,le,71
malades,malade,21
/.,/.,P
j',je,51
ai,avoir,17
réussi,réussir,12
",",",",p
j',je,51
ai,avoir,17
ressaisi,ressaisir,12
mon,mon,73
empire,empire,21
",",",",p
et,et,82
",",",",p
quant,quand,83
à,à,81
ces,ce,74
folles,fou,30
imprudences,imprudence,22
dont,dont,52
on,on,51
me,je,51
menace,menacer,17
",",",",p
nous,nous,51
verrons,voir,15
bien,bien,60
/!,/!,P
les,le,52
voilà,voilà,81
bien,bien,60
",",",",p
ces,ce,74
êtres,être,21
légers,léger,30
et,et,82
menteurs,menteur,30
",",",",p
toujours,toujours,60
prêts,prêt,30
à,à,81
entreprendre,entreprendre,14
l',le,71
impossible,impossible,21
et,et,82
se,se,51
faisant,faire,13
de,de,81
la,le,71
générosité,générosité,22
une,un,71
vertu,vertu,22
d',de,81
apparat,apparat,21
qui,qui,52
a,avoir,17
besoin,besoin,21
du,de,81
du,le,71
scandale,scandale,21
/!,/!,P
à,à,81
voir,voir,14
cette,ce,74
lettre,lettre,22
",",",",p
qui,qui,52
croirait,croire,16
qu',que,83
elle,il,51
compte,compter,17
ses,son,73
baisers,baiser,21
et,et,82
lésine,lésiner,17
sur,sur,81
ses,son,73
caresses,caresse,22
/!,/!,P
le,le,71
jour,jour,21
même,même,30
",",",",p
il,il,51
se,se,51
rendit,rendre,19
au,à,81
au,le,71
Lagny,Lagny,20
/.,/.,P
Ralph,Ralph,20
n',ne,60
y,y,52
était,être,18
point,point,60
/.,/.,P
le,le,71
colonel,colonel,21
reçut,recevoir,19
Raymon,Raymon,20
avec,avec,81
amitié,amitié,22
et,et,82
lui,lui,51
parla,parler,19
avec,avec,81
confiance,confiance,22
/.,/.,P
il,il,51
l',le,52
emmena,emmener,19
dans,dans,81
le,le,71
parc,parc,21
pour,pour,81
être,être,14
plus,plus,60
à,à,81
l',le,71
aise,aise,22
",",",",p
et,et,82
",",",",p
là,là,60
",",",",p
il,il,51
lui,lui,51
apprit,apprendre,19
qu',que,83
il,il,51
était,être,18
entièrement,entièrement,60
ruiné,ruiner,12
et,et,82
que,que,83
la,le,71
fabrique,fabrique,22
serait,être,16
mise,mettre,12
en,en,81
vente,vente,22
dès,dès,81
le,le,71
lendemain,lendemain,21
/.,/.,P
Raymon,Raymon,20
fit,faire,19
des,de,81
des,le,71
offres,offre,22
de,de,81
service,service,21
;,;,p
Delmare,Delmare,20
refusa,refuser,19
/.,/.,P
-,-,p
non,non,60
",",",",p
mon,mon,73
ami,ami,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
j',je,51
ai,avoir,17
trop,trop,60
souffert,souffrir,12
de,de,81
la,le,71
pensée,pensée,22
que,que,83
je,je,51
devais,devoir,18
mon,mon,73
sort,sort,21
à,à,81
l',le,71
obligeance,obligeance,22
de,de,81
Ralph,Ralph,20
;,;,p
il,il,51
me,je,51
tardait,tarder,18
de,de,81
m',je,51
acquitter,acquitter,14
/.,/.,P
la,le,71
vente,vente,22
de,de,81
cette,ce,74
propriété,propriété,22
va,aller,17
me,je,51
mettre,mettre,14
à,à,81
même,même,60
de,de,81
payer,payer,14
toutes,tout,75
mes,mon,73
dettes,dette,22
à,à,81
la,le,71
fois,fois,22
/.,/.,P
il,il,51
est,être,17
vrai,vrai,30
qu',que,83
il,il,51
ne,ne,60
me,je,51
restera,rester,15
rien,rien,52
;,;,p
mais,mais,82
j',je,51
ai,avoir,17
du,de,81
du,le,71
courage,courage,21
",",",",p
de,de,81
l',le,71
activité,activité,22
et,et,82
la,le,71
connaissance,connaissance,22
des,de,81
des,le,71
affaires,affaire,22
;,;,p
l',le,71
avenir,avenir,21
est,être,17
devant,devant,81
nous,nous,51
/.,/.,P
j',je,51
ai,avoir,17
déjà,déjà,60
élevé,élever,12
une,un,71
fois,fois,22
l',le,71
édifice,édifice,21
de,de,81
ma,mon,73
petite,petit,30
fortune,fortune,22
",",",",p
je,je,51
puis,pouvoir,17
le,le,52
recommencer,recommencer,14
/.,/.,P
je,je,51
le,le,52
dois,devoir,17
pour,pour,81
ma,mon,73
femme,femme,22
",",",",p
qui,qui,52
est,être,17
jeune,jeune,30
et,et,82
que,que,52
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
laisser,laisser,14
dans,dans,81
l',le,71
indigence,indigence,22
/.,/.,P
elle,il,51
possède,posséder,17
encore,encore,60
une,un,71
chétive,chétif,30
habitation,habitation,22
à,à,81
l',le,71
île,île,22
Bourbon,Bourbon,20
;,;,p
c',ce,52
est,être,17
là,là,60
que,que,83
je,je,51
veux,vouloir,17
me,je,51
retirer,retirer,14
pour,pour,81
me,je,51
livrer,livrer,14
de,de,81
nouveau,nouveau,21
au,à,81
au,le,71
commerce,commerce,21
/.,/.,P
dans,dans,81
quelques,quelque,75
années,année,22
",",",",p
dans,dans,81
dix,dix,72
ans,an,21
tout,tout,60
au,à,81
au,le,71
plus,plus,60
",",",",p
j',je,51
espère,espérer,17
que,que,83
nous,nous,51
nous,nous,51
reverrons,revoir,15
/…,/…,P
Raymon,Raymon,20
pressa,presser,19
la,le,71
main,main,22
du,de,81
du,le,71
colonel,colonel,21
",",",",p
souriant,sourire,13
en,en,81
lui-même,lui-même,51
de,de,81
voir,voir,14
sa,son,73
confiance,confiance,22
en,en,81
l',le,71
avenir,avenir,21
",",",",p
de,de,81
l',le,52
entendre,entendre,14
parler,parler,14
de,de,81
dix,dix,72
ans,an,21
comme,comme,83
d',de,81
un,un,71
jour,jour,21
lorsque,lorsque,83
son,son,73
front,front,21
chauve,chauve,30
et,et,82
son,son,73
corps,corps,21
affaibli,affaibli,31
annonçaient,annoncer,18
une,un,71
existence,existence,22
chancelante,chancelant,30
",",",",p
une,un,71
vie,vie,22
usée,usé,31
/.,/.,P
néanmoins,néanmoins,60
il,il,51
feignit,feindre,19
de,de,81
partager,partager,14
ses,son,73
espérances,espérance,22
/.,/.,P
-,-,p
je,je,51
vois,voir,17
avec,avec,81
joie,joie,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
que,que,83
vous,vous,51
ne,ne,60
vous,vous,51
laissez,laisser,17
point,point,60
abattre,abattre,14
par,par,81
ces,ce,74
revers,revers,21
;,;,p
je,je,51
reconnais,reconnaître,17
là,là,60
votre,votre,73
coeur,coeur,21
d',de,81
homme,homme,21
",",",",p
votre,votre,73
intrépide,intrépide,30
caractère,caractère,21
/.,/.,P
mais,mais,82
madame,madame,22
Delmare,Delmare,20
montre,montrer,17
t,t,94
elle,il,51
le,le,71
même,même,75
courage,courage,21
/?,/?,P
ne,ne,60
craignez,craindre,17
vous,vous,51
pas,pas,60
quelque,quelque,75
résistance,résistance,22
à,à,81
vos,votre,73
projets,projet,21
d',de,81
expatriation,expatriation,22
/?,/?,P
j',je,51
en,en,52
suis,être,17
fâché,fâcher,12
",",",",p
répondit,répondre,19
le,le,71
colonel,colonel,21
",",",",p
mais,mais,82
les,le,71
femmes,femme,22
sont,être,17
faites,faire,12
pour,pour,81
obéir,obéir,14
et,et,82
non,non,60
pour,pour,81
conseiller,conseiller,14
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
point,point,60
encore,encore,60
annoncé,annoncer,12
définitivement,définitivement,60
ma,mon,73
résolution,résolution,22
à,à,81
Indiana,Indiana,20
/.,/.,P
je,je,51
ne,ne,60
vois,voir,17
pas,pas,60
",",",",p
sauf,sauf,81
vous,vous,51
",",",",p
mon,mon,73
ami,ami,21
",",",",p
ce,ce,52
qu',que,52
elle,il,51
pourrait,pouvoir,16
regretter,regretter,14
beaucoup,beaucoup,60
ici,ici,60
;,;,p
et,et,82
",",",",p
pourtant,pourtant,60
",",",",p
ne,ne,60
fût,être,19
ce,ce,52
que,que,83
par,par,81
esprit,esprit,21
de,de,81
contradiction,contradiction,22
",",",",p
je,je,51
prévois,prévoir,17
des,de,81
des,le,71
larmes,larme,22
",",",",p
des,de,81
des,le,71
maux,mal,21
de,de,81
nerfs,nerf,21
/…,/…,P
le,le,71
diable,diable,21
soit,être,17
des,de,81
des,le,71
femmes,femme,22
!,!,p
/…,/…,P
enfin,enfin,60
",",",",p
c',ce,52
est,être,17
égal,égal,30
",",",",p
je,je,51
compte,compter,17
sur,sur,81
vous,vous,51
",",",",p
mon,mon,73
cher,cher,30
Raymon,Raymon,20
pour,pour,81
faire,faire,14
entendre,entendre,14
raison,raison,22
à,à,81
la,le,71
mienne,mien,52
/.,/.,P
elle,il,51
a,avoir,17
confiance,confiance,22
en,en,81
vous,vous,51
;,;,p
employez,employer,17
votre,votre,73
ascendant,ascendant,21
à,à,81
l',le,52
empêcher,empêcher,14
de,de,81
pleurer,pleurer,14
;,;,p
je,je,51
déteste,détester,17
les,le,71
pleurs,pleur,21
/.,/.,P
Raymon,Raymon,20
promit,promettre,19
de,de,81
revenir,revenir,14
le,le,71
lendemain,lendemain,21
annoncer,annoncer,14
à,à,81
madame,madame,22
Delmare,Delmare,20
la,le,71
décision,décision,22
de,de,81
son,son,73
mari,mari,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
un,un,71
vrai,vrai,30
service,service,21
que,que,52
vous,vous,51
me,je,51
rendrez,rendre,15
",",",",p
dit,dire,19
",",",",p
le,le,71
colonel,colonel,21
;,;,p
j',je,51
emmènerai,emmener,15
Ralph,Ralph,20
à,à,81
la,le,71
ferme,ferme,22
",",",",p
afin,afin,81
que,que,83
vous,vous,51
soyez,être,17
libre,libre,30
de,de,81
causer,causer,14
avec,avec,81
elle,il,51
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
à,à,81
la,le,71
bonne,bon,30
heure,heure,22
/!,/!,P
pensa,penser,19
Raymon,Raymon,20
en,en,81
s',se,51
en,en,52
allant,aller,13
/.,/.,P
<XIX.>,<>,<>
les,le,71
projets,projet,21
de,de,81
monsieur,monsieur,21
Delmare,Delmare,20
s',se,51
accordaient,accorder,18
assez,assez,60
avec,avec,81
le,le,71
désir,désir,21
de,de,81
Raymon,Raymon,20
;,;,p
il,il,51
prévoyait,prévoir,18
que,que,83
cet,ce,74
amour,amour,21
",",",",p
qui,qui,52
chez,chez,81
lui,lui,51
tirait,tirer,18
à,à,81
sa,son,73
fin,fin,22
",",",",p
ne,ne,60
lui,lui,51
apporterait,apporter,16
bientôt,bientôt,60
plus,plus,60
que,que,83
des,de,81
des,le,71
importunités,importunité,22
et,et,82
des,de,81
des,le,71
tracasseries,tracasserie,22
",",",",p
il,il,51
était,être,18
bien,bien,60
aise,aise,22
de,de,81
voir,voir,14
les,le,71
événements,événement,21
s',se,51
arranger,arranger,14
de,de,81
manière,manière,22
à,à,81
le,le,52
préserver,préserver,14
des,de,81
des,le,71
suites,suite,22
fastidieuses,fastidieux,30
et,et,82
inévitables,inévitable,30
d',de,81
une,un,71
intrigue,intrigue,22
épuisée,épuisé,31
/.,/.,P
il,il,51
ne,ne,60
s',se,51
agissait,agir,18
plus,plus,60
pour,pour,81
lui,lui,51
que,que,83
de,de,81
profiter,profiter,14
des,de,81
des,le,71
derniers,dernier,30
moments,moment,21
d',de,81
exaltation,exaltation,22
de,de,81
madame,madame,22
Delmare,Delmare,20
",",",",p
et,et,82
de,de,81
laisser,laisser,14
ensuite,ensuite,60
à,à,81
son,son,73
destin,destin,21
bénévole,bénévole,30
le,le,71
soin,soin,21
de,de,81
le,le,52
débarrasser,débarrasser,14
de,de,81
ses,son,73
pleurs,pleur,21
et,et,82
de,de,81
ses,son,73
reproches,reproche,21
/.,/.,P
il,il,51
se,se,51
rendit,rendre,19
donc,donc,82
au,à,81
au,le,71
Lagny,Lagny,20
le,le,71
lendemain,lendemain,21
",",",",p
avec,avec,81
l',le,71
intention,intention,22
d',de,81
amener,amener,14
à,à,81
son,son,73
apogée,apogée,22
l',le,71
enthousiasme,enthousiasme,21
de,de,81
cette,ce,74
femme,femme,22
malheureuse,malheureux,30
/.,/.,P
-,-,p
savez,savoir,17
vous,vous,51
",",",",p
Indiana,Indiana,20
",",",",p
lui,lui,51
dit,dire,19
il,il,51
en,en,81
arrivant,arriver,13
",",",",p
le,le,71
rôle,rôle,21
que,que,52
votre,votre,73
mari,mari,21
m',je,51
impose,imposer,17
auprès,auprès,60
de,de,81
vous,vous,51
/?,/?,P
étrange,étrange,30
commission,commission,22
",",",",p
en,en,81
vérité,vérité,22
/!,/!,P
il,il,51
faut,falloir,17
que,que,83
je,je,51
vous,vous,51
supplie,supplier,17
de,de,81
partir,partir,14
pour,pour,81
l',le,71
île,île,22
Bourbon,Bourbon,20
",",",",p
que,que,83
je,je,51
vous,vous,51
exhorte,exhorter,17
à,à,81
me,je,51
quitter,quitter,14
",",",",p
à,à,81
m',je,51
arracher,arracher,14
le,le,71
coeur,coeur,21
et,et,82
la,le,71
vie,vie,22
/.,/.,P
croyez,croire,17
vous,vous,51
qu',que,83
il,il,51
ait,avoir,17
bien,bien,60
choisi,choisir,12
son,son,73
avocat,avocat,21
/?,/?,P
la,le,71
gravité,gravité,22
sombre,sombre,30
de,de,81
madame,madame,22
Delmare,Delmare,20
imposa,imposer,19
une,un,71
sorte,sorte,22
de,de,81
respect,respect,21
aux,à,81
aux,le,71
artifices,artifice,21
de,de,81
Raymon,Raymon,20
/.,/.,P
-,-,p
pourquoi,pourquoi,60
venez,venir,17
vous,vous,51
me,je,51
parler,parler,14
de,de,81
tout,tout,75
ceci,ceci,52
?,?,p
lui,lui,51
dit,dire,19
elle,il,51
/.,/.,P
craignez,craindre,17
vous,vous,51
que,que,83
je,je,51
ne,ne,60
me,je,51
laisse,laisser,17
ébranler,ébranler,14
/?,/?,P
avez,avoir,17
vous,vous,51
peur,peur,22
que,que,83
je,je,51
n',ne,60
obéisse,obéir,17
/?,/?,P
rassurez,rassurer,17
vous,vous,51
",",",",p
Raymon,Raymon,20
",",",",p
mon,mon,73
parti,parti,21
est,être,17
pris,prendre,12
:,:,p
j',je,51
ai,avoir,17
passé,passer,12
deux,deux,72
nuits,nuit,22
à,à,81
le,le,52
retourner,retourner,14
sous,sous,81
toutes,tout,75
les,le,71
faces,face,22
;,;,p
je,je,51
sais,savoir,17
à,à,81
quoi,quoi,52
je,je,51
m',je,51
expose,exposer,17
;,;,p
je,je,51
sais,savoir,17
ce,ce,52
qu',que,52
il,il,51
faudra,falloir,15
braver,braver,14
",",",",p
ce,ce,52
qu',que,52
il,il,51
faudra,falloir,15
sacrifier,sacrifier,14
",",",",p
ce,ce,52
qu',que,52
il,il,51
faudra,falloir,15
mépriser,mépriser,14
;,;,p
je,je,51
suis,être,17
prête,prêt,30
à,à,81
franchir,franchir,14
ce,ce,74
rude,rude,30
passage,passage,21
du,de,81
du,le,71
ma,mon,73
destinée,destinée,22
/.,/.,P
ne,ne,60
serez,être,15
vous,vous,51
point,point,60
mon,mon,73
appui,appui,21
et,et,82
mon,mon,73
guide,guide,21
/?,/?,P
Raymon,Raymon,20
fut,être,19
tenté,tenter,12
d',de,81
avoir,avoir,14
peur,peur,22
de,de,81
ce,ce,74
sang-froid,sang-froid,21
et,et,82
de,de,81
prendre,prendre,14
au,à,81
au,le,71
mot,mot,21
ces,ce,74
folles,fou,30
menaces,menace,22
;,;,p
et,et,82
puis,puis,60
il,il,51
se,se,51
retrancha,retrancher,19
dans,dans,81
l',le,71
opinion,opinion,22
où,où,60
il,il,51
était,être,18
qu',que,83
Indiana,Indiana,20
ne,ne,60
l',le,52
aimait,aimer,18
point,point,60
",",",",p
et,et,82
qu',que,83
elle,il,51
appliquait,appliquer,18
maintenant,maintenant,60
à,à,81
sa,son,73
situation,situation,22
l',le,71
exagération,exagération,22
des,de,81
des,le,71
sentiments,sentiment,21
qu',que,52
elle,il,51
avait,avoir,18
puisée,puiser,12
dans,dans,81
les,le,71
livres,livre,21
/.,/.,P
il,il,51
s',se,51
évertua,évertuer,19
à,à,81
l',le,71
éloquence,éloquence,22
passionnée,passionné,31
",",",",p
à,à,81
l',le,71
improvisation,improvisation,22
dramatique,dramatique,30
",",",",p
afin,afin,81
de,de,81
se,se,51
maintenir,maintenir,14
au,à,81
au,le,71
niveau,niveau,21
de,de,81
sa,son,73
romanesque,romanesque,30
maîtresse,maîtresse,22
",",",",p
et,et,82
il,il,51
réussit,réussir,19
à,à,81
prolonger,prolonger,14
son,son,73
erreur,erreur,22
/.,/.,P
mais,mais,82
",",",",p
pour,pour,81
un,un,71
auditeur,auditeur,21
calme,calme,30
et,et,82
impartial,impartial,30
",",",",p
cette,ce,74
scène,scène,22
d',de,81
amour,amour,21
eût,avoir,19
été,être,12
la,le,71
fiction,fiction,22
théâtrale,théâtral,30
aux,à,81
aux,le,71
prises,prise,22
avec,avec,81
la,le,71
réalité,réalité,22
/.,/.,P
l',le,71
enflure,enflure,22
des,de,81
des,le,71
sentiments,sentiment,21
",",",",p
la,le,71
poésie,poésie,22
des,de,81
des,le,71
idées,idée,22
chez,chez,81
Raymon,Raymon,20
",",",",p
eussent,avoir,18
semblé,sembler,12
une,un,71
froide,froid,30
et,et,82
cruelle,cruel,30
parodie,parodie,22
des,de,81
des,le,71
sentiments,sentiment,21
vrais,vrai,30
qu',que,52
Indiana,Indiana,20
exprimait,exprimer,18
si,si,60
simplement,simplement,60
:,:,p
à,à,81
l',le,71
un,un,52
l',le,71
esprit,esprit,21
",",",",p
à,à,81
l',le,71
autre,autre,52
le,le,71
coeur,coeur,21
/.,/.,P
Raymon,Raymon,20
",",",",p
qui,qui,52
craignait,craindre,18
pourtant,pourtant,60
un,un,71
peu,peu,60
l',le,71
accomplissement,accomplissement,21
de,de,81
ses,son,73
promesses,promesse,22
s',si,83
il,il,51
ne,ne,60
minait,miner,18
pas,pas,60
avec,avec,81
adresse,adresse,22
le,le,71
plan,plan,21
de,de,81
résistance,résistance,22
qu',que,52
elle,il,51
avait,avoir,18
arrêté,arrêter,12
",",",",p
lui,lui,51
persuada,persuader,19
de,de,81
feindre,feindre,14
la,le,71
soumission,soumission,22
ou,ou,82
l',le,71
indifférence,indifférence,22
jusqu',jusque,81
au,à,81
au,le,71
moment,moment,21
où,où,60
elle,il,51
pourrait,pouvoir,16
se,se,51
déclarer,déclarer,14
en,en,81
