11347
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trentième extrait>,<>,<>
des,le,71
autres,autre,52
qu',que,52
il,il,51
mit,mettre,19
en,en,81
fuite,fuite,22
",",",",p
rien,rien,52
que,que,83
de,de,81
se,se,51
montrer,montrer,14
",",",",p
et,et,82
",",",",p
prenant,prendre,13
le,le,71
pauvre,pauvre,30
grelet,grelet,21
par,par,81
la,le,71
main,main,22
",",",",p
il,il,51
lui,lui,51
rendit,rendre,19
sa,son,73
coiffure,coiffure,22
/.,/.,P
la,le,71
vivacité,vivacité,22
de,de,81
Landry,Landry,20
et,et,82
la,le,71
peur,peur,22
des,de,81
des,le,71
gamins,gamin,21
firent,faire,19
grandement,grandement,60
rire,rire,14
les,le,71
assistants,assistant,21
/.,/.,P
on,on,51
applaudissait,applaudir,18
à,à,81
Landry,Landry,20
",",",",p
mais,mais,82
la,le,71
Madelon,Madelon,20
tournant,tourner,13
la,le,71
chose,chose,22
contre,contre,81
lui,lui,51
",",",",p
il,il,51
y,y,52
eut,avoir,19
des,de,81
des,le,71
garçons,garçon,21
de,de,81
l',le,71
âge,âge,21
de,de,81
Landry,Landry,20
",",",",p
et,et,82
même,même,60
de,de,81
plus,plus,60
âgés,âgé,30
",",",",p
qui,qui,52
eurent,avoir,19
l',le,71
air,air,21
de,de,81
rire,rire,14
à,à,81
ses,son,73
dépens,dépens,21
/.,/.,P
Landry,Landry,20
avait,avoir,18
perdu,perdre,12
sa,son,73
honte,honte,22
;,;,p
il,il,51
se,se,51
sentait,sentir,18
brave,brave,30
et,et,82
fort,fort,30
",",",",p
et,et,82
un,un,52
je-ne-sais-quoi,je-ne-sais-quoi,21
de,de,81
l',le,71
homme,homme,21
fait,fait,31
lui,lui,51
disait,dire,18
qu',que,83
il,il,51
remplissait,remplir,18
son,son,73
devoir,devoir,21
en,en,81
ne,ne,60
laissant,laisser,13
pas,pas,60
maltraiter,maltraiter,14
une,un,71
femme,femme,22
",",",",p
laide,laid,30
ou,ou,82
belle,beau,30
",",",",p
petite,petit,30
ou,ou,82
grande,grand,30
",",",",p
qu',que,52
il,il,51
avait,avoir,18
prise,prendre,12
pour,pour,81
sa,son,73
danseuse,danseuse,22
",",",",p
au,à,81
au,le,71
vu,vu,31
et,et,82
su,su,31
de,de,81
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
il,il,51
s',se,51
aperçut,apercevoir,19
de,de,81
la,le,71
manière,manière,22
dont,dont,52
on,on,51
le,le,52
regardait,regarder,18
du,de,81
du,le,71
côté,côté,21
de,de,81
Madelon,Madelon,20
",",",",p
et,et,82
il,il,51
alla,aller,19
tout,tout,60
droit,droit,60
vis-à-vis,vis-à-vis,60
des,de,81
des,le,71
Aladenise,Aladenise,20
et,et,82
des,de,81
des,le,71
Alaphilippe,Alaphilippe,20
",",",",p
en,en,81
leur,leur,52
disant,dire,13
:,:,p
-,-,p
eh,eh,93
bien,bien,60
!,!,p
vous autres,vous autres,52
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,83
vous,vous,51
avez,avoir,17
à,à,81
en,en,52
dire,dire,14
/?,/?,P
s',si,83
il,il,51
me,je,51
convient,convenir,17
",",",",p
à,à,81
moi,moi,51
",",",",p
de,de,81
donner,donner,14
attention,attention,22
à,à,81
cette,ce,74
fille,fille,22
là,là,60
",",",",p
en,en,81
quoi,quoi,52
cela,cela,52
vous,vous,51
offense,offenser,17
t,t,94
il,il,51
/?,/?,P
et,et,82
si,si,83
vous,vous,51
en,en,52
êtes,être,17
choqués,choquer,12
",",",",p
pourquoi,pourquoi,60
vous,vous,51
détournez,détourner,17
vous,vous,51
pour,pour,81
le,le,52
dire,dire,14
tout,tout,60
bas,bas,60
/?,/?,P
est,être,17
ce,ce,52
que,que,83
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
devant,devant,81
vous,vous,51
/?,/?,P
est,être,17
ce,ce,52
que,que,83
vous,vous,51
ne,ne,60
me,je,51
voyez,voir,17
point,point,60
/?,/?,P
on,on,51
a,avoir,17
dit,dire,12
par,par,81
ici,ici,60
que,que,83
j',je,51
étais,être,18
encore,encore,60
un,un,71
petit,petit,30
enfant,enfant,21
;,;,p
mais,mais,82
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
par,par,81
ici,ici,60
un,un,71
homme,homme,21
ou,ou,82
seulement,seulement,60
un,un,71
grand,grand,30
garçon,garçon,21
qui,qui,52
me,je,51
l',le,52
ait,avoir,17
dit,dire,12
en,en,81
face,face,22
/!,/!,P
j',je,51
attends,attendre,17
qu',que,83
on,on,51
me,je,51
parle,parler,17
",",",",p
et,et,82
nous,nous,51
verrons,voir,15
si,si,83
l',l',94
on,on,51
molestera,molester,15
la,le,71
fille,fille,22
que,que,52
ce,ce,74
petit,petit,30
enfant,enfant,21
fait,faire,17
danser,danser,14
/.,/.,P
Sylvinet,Sylvinet,20
n',ne,60
avait,avoir,18
pas,pas,60
quitté,quitter,12
son,son,73
frère,frère,21
",",",",p
et,et,82
",",",",p
quoiqu',quoique,83
il,il,51
ne,ne,60
l',le,52
approuvât,approuver,18
point,point,60
d',de,81
avoir,avoir,14
soulevé,soulever,12
cette,ce,74
querelle,querelle,22
",",",",p
il,il,51
se,se,51
tenait,tenir,18
tout,tout,60
prêt,prêt,30
à,à,81
le,le,52
soutenir,soutenir,14
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
là,là,60
quatre,quatre,72
ou,ou,82
cinq,cinq,72
grands,grand,30
jeunes,jeune,30
gens,gens,21
qui,qui,52
avaient,avoir,18
la,le,71
tête,tête,22
de,de,81
plus,plus,60
que,que,83
les,le,71
bessons,besson,21
;,;,p
mais,mais,82
",",",",p
quand,quand,83
ils,ils,51
les,le,52
virent,voir,19
si,si,60
résolus,résolu,31
et,et,82
comme,comme,83
",",",",p
au,à,81
au,le,71
fond,fond,21
",",",",p
se,se,51
battre,battre,14
pour,pour,81
si,si,60
peu,peu,60
était,être,18
à,à,81
considérer,considérer,14
",",",",p
ils,ils,51
ne,ne,60
soufflèrent,souffler,19
mot,mot,21
et,et,82
se,se,51
regardèrent,regarder,19
les,le,71
uns,un,52
les,le,71
autres,autre,52
",",",",p
comme,comme,83
pour,pour,81
se,se,51
demander,demander,14
lequel,lequel,52
avait,avoir,18
eu,avoir,12
l',le,71
intention,intention,22
de,de,81
se,se,51
mesurer,mesurer,14
avec,avec,81
Landry,Landry,20
/.,/.,P
aucun,aucun,52
ne,ne,60
se,se,51
présenta,présenter,19
",",",",p
et,et,82
Landry,Landry,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
point,point,60
lâché,lâcher,12
la,le,71
main,main,22
de,de,81
la,le,71
Fadette,Fadette,20
",",",",p
lui,lui,51
dit,dire,19
:,:,p
-,-,p
mets,mettre,17
vite,vite,60
ton,ton,73
coiffage,coiffage,21
",",",",p
Fanchon,Fanchon,20
",",",",p
et,et,82
dansons,danser,17
",",",",p
pour,pour,81
que,que,83
je,je,51
voie,voir,17
si,si,83
on,on,51
viendra,venir,15
te,tu,51
l',le,52
ôter,ôter,14
/.,/.,P
-,-,p
non,non,60
",",",",p
dit,dire,19
la,le,71
petite,petit,30
Fadette,Fadette,20
en,en,81
essuyant,essuyer,13
ses,son,73
larmes,larme,22
",",",",p
j',je,51
ai,avoir,17
assez,assez,60
dansé,danser,12
pour,pour,81
aujourd'hui,aujourd'hui,60
",",",",p
et,et,82
je,je,51
te,tu,51
tiens,tenir,17
quitte,quitte,30
du,de,81
du,le,71
reste,reste,21
/.,/.,P
-,-,p
non,non,60
pas,pas,60
",",",",p
non,non,60
pas,pas,60
",",",",p
il,il,51
faut,falloir,17
danser,danser,14
encore,encore,60
",",",",p
dit,dire,19
Landry,Landry,20
",",",",p
qui,qui,52
était,être,18
tout,tout,52
en,en,81
feu,feu,21
de,de,81
courage,courage,21
et,et,82
de,de,81
fierté,fierté,22
/.,/.,P
il,il,51
ne,ne,60
sera,être,15
pas,pas,60
dit,dire,12
que,que,83
tu,tu,51
ne,ne,60
puisses,pouvoir,17
pas,pas,60
danser,danser,14
avec,avec,81
moi,moi,51
sans,sans,81
être,être,14
insultée,insulter,12
/.,/.,P
il,il,51
la,le,52
fit,faire,19
danser,danser,14
encore,encore,60
",",",",p
et,et,82
personne,personne,52
ne,ne,60
lui,lui,51
adressa,adresser,19
un,un,71
mot,mot,21
ni,ni,82
un,un,71
regard,regard,21
de,de,81
travers,travers,21
/.,/.,P
la,le,71
Madelon,Madelon,20
et,et,82
ses,son,73
soupirants,soupirant,21
avaient,avoir,18
été,être,12
danser,danser,14
ailleurs,ailleurs,60
/.,/.,P
après,après,81
cette,ce,74
bourrée,bourrée,22
",",",",p
la,le,71
petite,petit,30
Fadette,Fadette,20
dit,dire,19
tout,tout,60
bas,bas,60
à,à,81
Landry,Landry,20
:,:,p
-,-,p
à,à,81
présent,présent,21
",",",",p
c',ce,52
est,être,17
assez,assez,60
",",",",p
Landry,Landry,20
/.,/.,P
je,je,51
suis,être,17
contente,content,30
de,de,81
toi,toi,51
",",",",p
et,et,82
je,je,51
te,tu,51
rends,rendre,17
ta,ton,73
parole,parole,22
/.,/.,P
je,je,51
retourne,retourner,17
à,à,81
la,le,71
maison,maison,22
/.,/.,P
danse,danser,17
avec,avec,81
qui,qui,52
tu,tu,51
voudras,vouloir,15
ce,ce,74
soir,soir,21
/.,/.,P
et,et,82
elle,il,51
s',se,51
en,en,52
alla,aller,19
reprendre,reprendre,14
son,son,73
petit,petit,30
frère,frère,21
qui,qui,52
se,se,51
battait,battre,18
avec,avec,81
les,le,71
autres,autre,75
enfants,enfant,21
",",",",p
et,et,82
s',se,51
en,en,52
alla,aller,19
si,si,60
vite,vite,60
que,que,83
Landry,Landry,20
ne,ne,60
vit,voir,19
pas,pas,60
seulement,seulement,60
par,par,81
où,où,60
elle,il,51
se,se,51
retirait,retirer,18
/.,/.,P
<XVII>,<>,<>
Landry,Landry,20
alla,aller,19
souper,souper,14
chez,chez,81
lui,lui,51
avec,avec,81
son,son,73
frère,frère,21
;,;,p
et,et,82
",",",",p
comme,comme,83
celui-ci,celui-ci,52
était,être,18
bien,bien,60
soucieux,soucieux,30
de,de,81
tout,tout,52
ce,ce,52
qui,qui,52
s',se,51
était,être,18
passé,passer,12
",",",",p
il,il,51
lui,lui,51
raconta,raconter,19
comme,comme,83
quoi,quoi,52
il,il,51
avait,avoir,18
eu,avoir,12
maille,maille,22
à,à,81
partir,partir,14
la,le,71
veille,veille,22
au,à,81
au,le,71
soir,soir,21
avec,avec,81
le,le,71
feu,feu,21
follet,follet,30
",",",",p
et,et,82
comment,comment,60
la,le,71
petite,petit,30
Fadette,Fadette,20
l',le,52
en,en,52
ayant,avoir,13
délivré,délivrer,12
",",",",p
soit,soit,82
par,par,81
courage,courage,21
",",",",p
soit,soit,82
par,par,81
magie,magie,22
",",",",p
elle,il,51
lui,lui,51
avait,avoir,18
demandé,demander,12
pour,pour,81
sa,son,73
récompense,récompense,22
de,de,81
la,le,52
faire,faire,14
danser,danser,14
sept,sept,72
fois,fois,22
à,à,81
la,le,71
fête,fête,22
de,de,81
la,le,71
Saint-Andoche,Saint-Andoche,20
/.,/.,P
il,il,51
ne,ne,60
lui,lui,51
parla,parler,19
point,point,60
du,de,81
du,le,71
reste,reste,21
",",",",p
ne,ne,60
voulant,vouloir,13
jamais,jamais,60
lui,lui,51
dire,dire,14
quelle,quel,75
peur,peur,22
il,il,51
avait,avoir,18
eue,avoir,12
de,de,81
le,le,52
trouver,trouver,14
noyé,noyer,12
l',le,71
an,an,21
d',de,81
auparavant,auparavant,60
",",",",p
et,et,82
en,en,81
cela,cela,52
il,il,51
était,être,18
sage,sage,30
",",",",p
car,car,82
ces,ce,74
mauvaises,mauvais,30
idées,idée,22
que,que,52
les,le,71
enfants,enfant,21
se,se,51
mettent,mettre,17
quelquefois,quelquefois,60
en,en,81
tête,tête,22
y,y,52
reviennent,revenir,17
bientôt,bientôt,60
",",",",p
si,si,83
l',l',94
on,on,51
y,y,52
fait,faire,17
attention,attention,22
et,et,82
si,si,83
on,on,51
leur,leur,52
en,en,52
parle,parler,17
/.,/.,P
Sylvinet,Sylvinet,20
approuva,approuver,19
son,son,73
frère,frère,21
d',de,81
avoir,avoir,14
tenu,tenir,12
sa,son,73
parole,parole,22
",",",",p
et,et,82
lui,lui,51
dit,dire,19
que,que,83
l',le,71
ennui,ennui,21
que,que,52
cela,cela,52
lui,lui,51
avait,avoir,18
attiré,attirer,12
augmentait,augmenter,18
d'autant,d'autant,60
l',le,71
estime,estime,22
qui,qui,52
lui,lui,51
en,en,52
était,être,18
due,devoir,12
/.,/.,P
mais,mais,82
",",",",p
tout,tout,60
en,en,81
s',se,51
effrayant,effrayer,13
du,de,81
du,le,71
danger,danger,21
que,que,52
Landry,Landry,20
avait,avoir,18
couru,courir,12
dans,dans,81
la,le,71
rivière,rivière,22
",",",",p
il,il,51
manqua,manquer,19
de,de,81
reconnaissance,reconnaissance,22
pour,pour,81
la,le,71
petite,petit,30
Fadette,Fadette,20
/.,/.,P
il,il,51
avait,avoir,18
tant,tant,60
d',de,81
éloignement,éloignement,21
pour,pour,81
elle,il,51
qu',que,83
il,il,51
ne,ne,60
voulut,vouloir,19
point,point,60
croire,croire,14
qu',que,83
elle,il,51
l',le,52
eût,avoir,19
trouvé,trouver,12
là,là,60
par,par,81
hasard,hasard,21
",",",",p
ni,ni,82
qu',que,83
elle,il,51
l',le,52
eût,avoir,19
secouru,secourir,12
par,par,81
bonté,bonté,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
elle,il,51
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
qui,qui,52
avait,avoir,18
conjuré,conjurer,12
le,le,71
fadet,fadet,21
pour,pour,81
te,tu,51
troubler,troubler,14
l',le,71
esprit,esprit,21
et,et,82
te,tu,51
faire,faire,14
noyer,noyer,14
;,;,p
mais,mais,82
dieu,dieu,21
ne,ne,60
l',le,52
a,avoir,17
pas,pas,60
permis,permettre,12
",",",",p
parce que,parce que,83
tu,tu,51
n',ne,60
étais,être,18
pas,pas,60
et,et,82
n',ne,60
as,avoir,17
jamais,jamais,60
été,être,12
en,en,81
état,état,21
de,de,81
péché,péché,21
mortel,mortel,30
/.,/.,P
alors,alors,60
ce,ce,74
méchant,méchant,30
grelet,grelet,21
",",",",p
abusant,abuser,13
de,de,81
ta,ton,73
bonté,bonté,22
et,et,82
de,de,81
ta,ton,73
reconnaissance,reconnaissance,22
",",",",p
t',tu,51
a,avoir,17
fait,faire,12
faire,faire,14
une,un,71
promesse,promesse,22
qu',que,52
elle,il,51
savait,savoir,18
bien,bien,60
fâcheuse,fâcheux,30
et,et,82
dommageable,dommageable,30
pour,pour,81
toi,toi,51
/.,/.,P
elle,il,51
est,être,17
très,très,60
mauvaise,mauvais,30
",",",",p
cette,ce,74
fille,fille,22
là,là,60
:,:,p
toutes,tout,75
les,le,71
sorcières,sorcière,22
aiment,aimer,17
le,le,71
mal,mal,21
",",",",p
il,il,51
n',ne,60
y,y,52
en,en,52
a,avoir,17
pas,pas,60
de,de,81
bonnes,bonne,22
/.,/.,P
elle,il,51
savait,savoir,18
bien,bien,60
qu',que,83
elle,il,51
te,tu,51
brouillerait,brouiller,16
avec,avec,81
la,le,71
Madelon,Madelon,20
et,et,82
tes,ton,73
plus,plus,60
honnêtes,honnête,30
connaissances,connaissance,22
/.,/.,P
elle,il,51
voulait,vouloir,18
aussi,aussi,60
te,tu,51
faire,faire,14
battre,battre,14
;,;,p
et,et,82
si,si,83
",",",",p
pour,pour,81
la,le,71
seconde,second,72
fois,fois,22
",",",",p
le,le,71
bon,bon,30
dieu,dieu,21
ne,ne,60
t',tu,51
avait,avoir,18
point,point,60
défendu,défendre,12
contre,contre,81
elle,il,51
",",",",p
tu,tu,51
aurais,avoir,16
bien,bien,60
pu,pouvoir,12
avoir,avoir,14
quelque,quelque,75
mauvaise,mauvais,30
dispute,dispute,22
et,et,82
attraper,attraper,14
du,de,81
du,le,71
malheur,malheur,21
/.,/.,P
Landry,Landry,20
",",",",p
qui,qui,52
voyait,voir,18
volontiers,volontiers,60
par,par,81
les,le,71
yeux,oeil,21
de,de,81
son,son,73
frère,frère,21
",",",",p
pensa,penser,19
qu',que,83
il,il,51
avait,avoir,18
peut-être,peut-être,60
bien,bien,60
raison,raison,22
",",",",p
et,et,82
ne,ne,60
défendit,défendre,19
guère,guère,60
la,le,71
Fadette,Fadette,20
contre,contre,81
lui,lui,51
/.,/.,P
ils,ils,51
causèrent,causer,19
ensemble,ensemble,60
sur,sur,81
le,le,71
follet,follet,30
",",",",p
que,que,52
Sylvinet,Sylvinet,20
n',ne,60
avait,avoir,18
jamais,jamais,60
vu,voir,12
",",",",p
et,et,82
dont,dont,52
il,il,51
était,être,18
bien,bien,60
curieux,curieux,30
d',de,81
entendre,entendre,14
parler,parler,14
",",",",p
sans,sans,81
pourtant,pourtant,60
désirer,désirer,14
de,de,81
le,le,52
voir,voir,14
/.,/.,P
mais,mais,82
ils,ils,51
n',ne,60
osèrent,oser,19
pas,pas,60
en,en,52
parler,parler,14
à,à,81
leur,leur,73
mère,mère,22
",",",",p
parce qu',parce que,83
elle,il,51
avait,avoir,18
peur,peur,22
",",",",p
rien,rien,52
que,que,83
d',de,81
y,y,52
songer,songer,14
;,;,p
ni,ni,82
à,à,81
leur,leur,73
père,père,21
",",",",p
parce qu',parce que,83
il,il,51
s',se,51
en,en,52
moquait,moquer,18
",",",",p
et,et,82
en,en,52
avait,avoir,18
vu,voir,12
plus,plus,60
de,de,81
vingt,vingt,72
sans,sans,81
y,y,52
donner,donner,14
d',de,81
attention,attention,22
/.,/.,P
on,on,51
devait,devoir,18
danser,danser,14
encore,encore,60
jusqu',jusque,81
à,à,81
la,le,71
grand',grand,30
nuit,nuit,22
;,;,p
mais,mais,82
Landry,Landry,20
",",",",p
qui,qui,52
avait,avoir,18
le,le,71
coeur,coeur,21
gros,gros,30
à,à,81
cause,cause,22
qu',que,83
il,il,51
était,être,18
pour,pour,81
de,de,81
bon,bon,21
fâché,fâcher,12
contre,contre,81
la,le,71
Madelon,Madelon,20
",",",",p
ne,ne,60
voulut,vouloir,19
point,point,60
profiter,profiter,14
de,de,81
la,le,71
liberté,liberté,22
que,que,52
la,le,71
Fadette,Fadette,20
lui,lui,51
avait,avoir,18
rendue,rendre,12
",",",",p
et,et,82
il,il,51
aida,aider,19
son,son,73
frère,frère,21
à,à,81
aller,aller,14
chercher,chercher,14
ses,son,73
bêtes,bête,22
au,à,81
au,le,71
pacage,pacage,21
/.,/.,P
et,et,82
comme,comme,83
cela,cela,52
le,le,52
conduisit,conduire,19
à,à,81
moitié,moitié,22
chemin,chemin,21
de,de,81
la,le,71
Priche,Priche,20
",",",",p
et,et,82
qu',que,52
il,il,51
avait,avoir,18
le,le,71
mal,mal,21
de,de,81
tête,tête,22
",",",",p
il,il,51
dit,dire,19
adieu,adieu,21
à,à,81
son,son,73
frère,frère,21
au,à,81
au,le,71
bout,bout,21
de,de,81
la,le,71
joncière,joncière,22
/.,/.,P
Sylvinet,Sylvinet,20
ne,ne,60
voulut,vouloir,19
point,point,60
qu',que,83
il,il,51
allât,aller,19
passer,passer,14
au,à,81
au,le,71
gué,gué,21
des,de,81
des,le,71
Roulettes,Roulettes,20
",",",",p
crainte,crainte,22
que,que,52
le,le,71
follet,follet,30
ou,ou,82
le,le,71
grelet,grelet,21
ne,ne,60
lui,lui,51
fissent,faire,18
encore,encore,60
là,là,60
quelque,quelque,75
méchant,méchant,30
jeu,jeu,21
/.,/.,P
il,il,51
lui,lui,51
fit,faire,19
promettre,promettre,14
de,de,81
prendre,prendre,14
le,le,71
plus,plus,60
long,long,30
et,et,82
d',de,81
aller,aller,14
passer,passer,14
à,à,81
la,le,71
planchette,planchette,22
du,de,81
du,le,71
grand,grand,30
moulin,moulin,21
/.,/.,P
Landry,Landry,20
fit,faire,19
comme,comme,83
son,son,73
frère,frère,21
souhaitait,souhaiter,18
",",",",p
et,et,82
au,à,81
au,le,71
lieu,lieu,21
de,de,81
traverser,traverser,14
la,le,71
joncière,joncière,22
",",",",p
il,il,51
descendit,descendre,19
la,le,71
traîne,traîne,22
qui,qui,52
longe,longer,17
la,le,71
côte,côte,22
du,de,81
du,le,71
Chaumois,Chaumois,20
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
peur,peur,22
de,de,81
rien,rien,52
",",",",p
parce qu',parce que,83
il,il,51
y,y,52
avait,avoir,18
encore,encore,60
du,de,81
du,le,71
bruit,bruit,21
en,en,81
l',le,71
air,air,21
à,à,81
cause,cause,22
de,de,81
la,le,71
fête,fête,22
/.,/.,P
il,il,51
entendait,entendre,18
tant,tant,60
soit,être,17
peu,peu,60
les,le,71
musettes,musette,22
et,et,82
les,le,71
cris,cri,21
des,de,81
des,le,71
danseurs,danseur,21
de,de,81
la,le,71
Saint-Andoche,Saint-Andoche,20
",",",",p
et,et,82
il,il,51
savait,savoir,18
bien,bien,60
que,que,83
les,le,71
esprits,esprit,21
ne,ne,60
font,faire,17
leurs,leur,73
malices,malice,22
que,que,83
quand,quand,83
tout,tout,75
le,le,71
monde,monde,21
est,être,17
endormi,endormir,12
dans,dans,81
le,le,71
pays,pays,21
/.,/.,P
quand,quand,83
il,il,51
fut,être,19
au,à,81
au,le,71
bas,bas,21
de,de,81
la,le,71
côte,côte,22
",",",",p
tout,tout,60
au,à,81
au,le,71
droit,droit,21
de,de,81
la,le,71
carrière,carrière,22
",",",",p
il,il,51
entendit,entendre,19
une,un,71
voix,voix,22
gémir,gémir,14
et,et,82
pleurer,pleurer,14
",",",",p
et,et,82
tout,tout,60
d'abord,d'abord,60
il,il,51
crut,croire,19
que,que,83
c',ce,52
était,être,18
le,le,71
courlis,courlis,21
/.,/.,P
mais,mais,82
",",",",p
à,à,81
mesure,mesure,22
qu',que,83
il,il,51
approchait,approcher,18
",",",",p
cela,cela,52
ressemblait,ressembler,18
à,à,81
des,de,81
des,le,71
gémissements,gémissement,21
humains,humain,30
",",",",p
et,et,82
",",",",p
comme,comme,83
le,le,71
coeur,coeur,21
ne,ne,60
lui,lui,51
faisait,faire,18
jamais,jamais,60
défaut,défaut,21
quand,quand,83
il,il,51
s',se,51
agissait,agir,18
d',de,81
avoir,avoir,14
affaire,affaire,22
à,à,81
des,de,81
des,le,71
êtres,être,21
de,de,81
son,son,73
espèce,espèce,22
",",",",p
et,et,82
surtout,surtout,60
de,de,81
leur,leur,52
porter,porter,14
secours,secours,21
",",",",p
il,il,51
descendit,descendre,19
hardiment,hardiment,60
dans,dans,81
le,le,71
plus,plus,60
creux,creux,30
de,de,81
la,le,71
carrière,carrière,22
/.,/.,P
mais,mais,82
la,le,71
personne,personne,22
qui,qui,52
se,se,51
plaignait,plaindre,18
ainsi,ainsi,60
fit,faire,19
silence,silence,21
en,en,81
l',le,52
entendant,entendre,13
venir,venir,14
/.,/.,P
-,-,p
qui,qui,52
pleure,pleurer,17
donc,donc,82
çà,çà,60
par,par,81
ici,ici,60
?,?,p
demanda,demander,19
t,t,94
il,il,51
d',de,81
une,un,71
voix,voix,22
assurée,assuré,31
/.,/.,P
on,on,51
ne,ne,60
lui,lui,51
répondit,répondre,19
mot,mot,21
/.,/.,P
-,-,p
y,y,52
a,avoir,17
t,t,94
il,il,51
par là,par-là,60
quelqu'un,quelqu'un,52
de,de,81
malade,malade,30
?,?,p
fit,faire,19
il,il,51
encore,encore,60
/.,/.,P
et,et,82
comme,comme,83
on,on,51
ne,ne,60
disait,dire,18
rien,rien,52
",",",",p
il,il,51
songea,songer,19
à,à,81
s',se,51
en,en,52
aller,aller,14
;,;,p
mais,mais,82
auparavant,auparavant,60
il,il,51
voulut,vouloir,19
regarder,regarder,14
emmy,emmy,60
les,le,71
pierres,pierre,22
et,et,82
les,le,71
grands,grand,30
chardons,chardon,21
qui,qui,52
encombraient,encombrer,18
l',le,71
endroit,endroit,21
",",",",p
et,et,82
bientôt,bientôt,60
il,il,51
vit,voir,19
",",",",p
à,à,81
la,le,71
clarté,clarté,22
de,de,81
la,le,71
lune,lune,22
qui,qui,52
commençait,commencer,18
à,à,81
monter,monter,14
",",",",p
une,un,71
personne,personne,22
couchée,couché,31
par,par,81
terre,terre,22
tout,tout,60
de,de,81
son,son,73
long,long,21
",",",",p
la,le,71
figure,figure,22
en,en,81
avant,avant,21
et,et,82
ne,ne,60
bougeant,bouger,13
non,non,60
plus,plus,60
que,que,83
si,si,83
elle,il,51
était,être,18
morte,mourir,12
",",",",p
soit,soit,82
qu',que,83
elle,il,51
n',ne,60
en,en,52
valût,valoir,18
guère,guère,60
mieux,mieux,60
",",",",p
soit,soit,82
qu',que,83
elle,il,51
se,se,51
fût,être,19
jetée,jeter,12
là,là,60
dans,dans,81
une,un,71
grande,grand,30
affliction,affliction,22
",",",",p
et,et,82
que,que,83
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
se,se,51
faire,faire,14
apercevoir,apercevoir,14
",",",",p
elle,il,51
ne,ne,60
voulût,vouloir,18
point,point,60
remuer,remuer,14
/.,/.,P
Landry,Landry,20
n',ne,60
avait,avoir,18
jamais,jamais,60
encore,encore,60
vu,voir,12
ni,ni,82
touché,toucher,12
un,un,71
mort,mort,21
/.,/.,P
l',le,71
idée,idée,22
que,que,52
c',ce,52
en,en,52
était,être,18
peut-être,peut-être,60
un,un,52
lui,lui,51
fit,faire,19
une,un,71
grande,grand,30
émotion,émotion,22
;,;,p
mais,mais,82
il,il,51
se,se,51
surmonta,surmonter,19
",",",",p
parce qu',parce que,83
il,il,51
pensa,penser,19
devoir,devoir,14
porter,porter,14
assistance,assistance,22
à,à,81
son,son,73
prochain,prochain,21
",",",",p
et,et,82
il,il,51
alla,aller,19
résolument,résolument,60
pour,pour,81
tâter,tâter,14
la,le,71
main,main,22
de,de,81
cette,ce,74
personne,personne,22
étendue,étendu,31
",",",",p
qui,qui,52
",",",",p
se,se,51
voyant,voir,13
découverte,découverte,22
",",",",p
se,se,51
releva,relever,19
à,à,81
moitié,moitié,22
aussitôt,aussitôt,60
qu',que,83
il,il,51
fut,être,19
auprès,auprès,60
d',de,81
elle,il,51
;,;,p
et,et,82
alors,alors,60
Landry,Landry,20
connut,connaître,19
que,que,83
c',ce,52
était,être,18
la,le,71
petite,petit,30
Fadette,Fadette,20
/.,/.,P
<XVIII>,<>,<>
Landry,Landry,20
fut,être,19
fâché,fâcher,12
d'abord,d'abord,60
d',de,81
être,être,14
obligé,obliger,12
de,de,81
trouver,trouver,14
toujours,toujours,60
la,le,71
petite,petit,30
Fadette,Fadette,20
sur,sur,81
son,son,73
chemin,chemin,21
",",",",p
mais,mais,82
comme,comme,83
elle,il,51
paraissait,paraître,18
avoir,avoir,14
une,un,71
peine,peine,22
",",",",p
il,il,51
en,en,52
eut,avoir,19
compassion,compassion,22
/.,/.,P
et,et,82
voilà,voilà,81
l',le,71
entretien,entretien,21
qu',que,52
ils,ils,51
eurent,avoir,19
ensemble,ensemble,60
:,:,p
-,-,p
comment,comment,60
",",",",p
grelet,grelet,21
",",",",p
c',ce,52
est,être,17
toi,toi,51
qui,qui,52
pleurais,pleurer,18
comme,comme,83
ça,ça,52
/?,/?,P
quelqu'un,quelqu'un,52
t',tu,51
a,avoir,17
t,t,94
il,il,51
frappée,frapper,12
ou,ou,82
pourchassée,pourchasser,12
encore,encore,60
",",",",p
que,que,52
tu,tu,51
te,tu,51
plains,plaindre,17
et,et,82
que,que,52
tu,tu,51
te,tu,51
caches,cacher,17
/?,/?,P
non,non,60
",",",",p
Landry,Landry,20
",",",",p
personne,personne,52
ne,ne,60
m',je,51
a,avoir,17
molestée,molester,12
depuis,depuis,81
