11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-quatrième extrait>,<>,<>
tout,tout,60
à,à,81
l',le,71
heure,heure,22
si,si,60
éveillée,éveillé,31
",",",",p
n',ne,60
eut,avoir,19
plus,plus,60
d',de,81
éclairs,éclair,21
/.,/.,P
dans,dans,81
toute,tout,75
sa,son,73
personne,personne,22
on,on,51
aurait,avoir,16
cru,croire,12
voir,voir,14
revenir,revenir,14
la,le,71
paysanne,paysanne,22
bête,bête,30
qu',que,52
elle,il,51
était,être,18
en,en,81
arrivant,arriver,13
du,de,81
du,le,71
pays,pays,21
",",",",p
lorsqu',lorsque,83
elle,il,51
allait,aller,18
demander,demander,14
du,de,81
du,le,71
pain,pain,21
d',de,81
épice,épice,21
chez,chez,81
un,un,71
papetier,papetier,21
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
plus,plus,60
l',le,71
air,air,21
de,de,81
comprendre,comprendre,14
/.,/.,P
mademoiselle,mademoiselle,22
lui,lui,51
voyait,voir,18
faire,faire,14
",",",",p
à,à,81
ce,ce,52
qu',que,52
elle,il,51
lui,lui,51
disait,dire,18
",",",",p
une,un,71
figure,figure,22
d',de,81
idiote,idiote,22
/.,/.,P
elle,il,51
était,être,18
obligée,obliger,12
de,de,81
lui,lui,51
expliquer,expliquer,14
",",",",p
de,de,81
lui,lui,51
répéter,répéter,14
deux,deux,72
ou,ou,82
trois,trois,72
fois,fois,22
ce,ce,52
que,que,52
jusque-là,jusque-là,81
Germinie,Germinie,20
avait,avoir,18
saisi,saisir,12
à demi-mot,à demi-mot,60
/.,/.,P
elle,il,51
se,se,51
demandait,demander,18
",",",",p
en,en,81
la,le,52
voyant,voir,13
ainsi,ainsi,60
",",",",p
lente,lent,30
et,et,82
endormie,endormi,31
",",",",p
si,si,83
on,on,51
ne,ne,60
lui,lui,51
avait,avoir,18
pas,pas,60
changé,changer,12
sa,son,73
bonne,bonne,22
/.,/.,P
-,-,p
mais,mais,82
tu,tu,51
deviens,devenir,17
donc,donc,82
une,un,71
bête,bête,22
d',de,81
imbécile,imbécile,21
!,!,p
lui,lui,51
disait,dire,18
elle,il,51
parfois,parfois,60
impatientée,impatienté,31
/.,/.,P
elle,il,51
se,se,51
souvenait,souvenir,18
du,de,81
du,le,71
temps,temps,21
où,où,60
Germinie,Germinie,20
lui,lui,51
était,être,18
si,si,60
utile,utile,30
pour,pour,81
retrouver,retrouver,14
une,un,71
date,date,22
",",",",p
mettre,mettre,14
une,un,71
adresse,adresse,22
sur,sur,81
une,un,71
carte,carte,22
",",",",p
dire,dire,14
le,le,71
jour,jour,21
où,où,60
on,on,51
avait,avoir,18
rentré,rentrer,12
le,le,71
bois,bois,21
ou,ou,82
entamé,entamé,31
la,le,71
pièce,pièce,22
de,de,81
vin,vin,21
",",",",p
toutes,tout,75
choses,chose,22
qui,qui,52
échappaient,échapper,18
à,à,81
sa,son,73
vieille,vieux,30
tête,tête,22
/.,/.,P
Germinie,Germinie,20
ne,ne,60
se,se,51
rappelait,rappeler,18
plus,plus,60
rien,rien,52
/.,/.,P
le,le,71
soir,soir,21
",",",",p
quand,quand,83
elle,il,51
comptait,compter,18
avec,avec,81
mademoiselle,mademoiselle,22
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
retrouver,retrouver,14
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
acheté,acheter,12
le,le,71
matin,matin,21
;,;,p
elle,il,51
disait,dire,18
:,:,p
attendez,attendre,17
!,!,p
…,…,p
et,et,82
après,après,81
un,un,71
geste,geste,21
vague,vague,30
",",",",p
rien,rien,52
ne,ne,60
lui,lui,51
revenait,revenir,18
/.,/.,P
mademoiselle,mademoiselle,22
",",",",p
pour,pour,81
ménager,ménager,14
ses,son,73
yeux,oeil,21
fatigués,fatigué,31
",",",",p
avait,avoir,18
pris,prendre,12
l',le,71
habitude,habitude,22
de,de,81
se,se,51
faire,faire,14
lire,lire,14
par,par,81
elle,il,51
le,le,71
journal,journal,21
:,:,p
Germinie,Germinie,20
arriva,arriver,19
à,à,81
tellement,tellement,60
ânonner,ânonner,14
",",",",p
à,à,81
lire,lire,14
avec,avec,81
si,si,83
peu,peu,60
d',de,81
intelligence,intelligence,22
",",",",p
que,que,83
mademoiselle,mademoiselle,22
fut,être,19
obligée,obliger,12
de,de,81
la,le,52
remercier,remercier,14
/.,/.,P
son,son,73
intelligence,intelligence,22
allant,aller,13
ainsi,ainsi,60
en,en,81
s',se,51
affaissant,affaisser,13
",",",",p
son,son,73
corps,corps,21
aussi,aussi,60
s',se,51
abandonnait,abandonner,18
et,et,82
se,se,51
délaissait,délaisser,18
/.,/.,P
elle,il,51
renonçait,renoncer,18
à,à,81
la,le,71
toilette,toilette,22
",",",",p
à,à,81
la,le,71
propreté,propreté,22
même,même,30
/.,/.,P
dans,dans,81
son,son,73
incurie,incurie,22
",",",",p
elle,il,51
ne,ne,60
gardait,garder,18
rien,rien,52
des,de,81
des,le,71
soins,soin,21
de,de,81
la,le,71
femme,femme,22
;,;,p
elle,il,51
ne,ne,60
s',se,51
habillait,habiller,18
plus,plus,60
/.,/.,P
elle,il,51
portait,porter,18
des,de,81
des,le,71
robes,robe,22
tachées,taché,31
de,de,81
graisse,graisse,22
et,et,82
déchirées,déchiré,31
sous,sous,81
les,le,71
bras,bras,21
",",",",p
des,de,81
des,le,71
tabliers,tablier,21
en,en,81
loques,loque,22
",",",",p
des,de,81
des,le,71
bas,bas,21
troués,troué,31
dans,dans,81
des,de,81
des,le,71
savates,savate,22
avachies,avachi,31
/.,/.,P
elle,il,51
laissait,laisser,18
la,le,71
cuisine,cuisine,22
",",",",p
la,le,71
fumée,fumée,22
",",",",p
le,le,71
charbon,charbon,21
",",",",p
le,le,71
cirage,cirage,21
",",",",p
la,le,52
souiller,souiller,14
et,et,82
s',se,51
essuyer,essuyer,14
après,après,81
elle,il,51
comme,comme,83
après,après,81
un,un,71
torchon,torchon,21
/.,/.,P
autrefois,autrefois,60
",",",",p
elle,il,51
avait,avoir,18
eu,avoir,12
la,le,71
coquetterie,coquetterie,22
et,et,82
le,le,71
luxe,luxe,21
des,de,81
des,le,71
femmes,femme,22
pauvres,pauvre,30
",",",",p
l',le,71
amour,amour,21
du,de,81
du,le,71
linge,linge,21
/.,/.,P
personne,personne,52
dans,dans,81
la,le,71
maison,maison,22
n',ne,60
avait,avoir,18
de,de,81
bonnets,bonnet,21
plus,plus,60
frais,frais,30
/.,/.,P
ses,son,73
petits,petit,30
cols,col,21
",",",",p
tout,tout,52
unis,uni,31
et,et,82
tout,tout,60
simples,simple,30
",",",",p
étaient,être,18
toujours,toujours,60
de,de,81
ce,ce,74
blanc,blanc,21
qui,qui,52
éclaire,éclairer,17
si,si,60
joliment,joliment,60
la,le,71
peau,peau,22
et,et,82
fait,fait,21
toute,tout,75
la,le,71
personne,personne,22
nette,net,30
/.,/.,P
maintenant,maintenant,60
elle,il,51
avait,avoir,18
des,de,81
des,le,71
bonnets,bonnet,21
fatigués,fatigué,31
",",",",p
fripés,fripé,31
",",",",p
avec,avec,81
lesquels,lequel,52
elle,il,51
semblait,sembler,18
avoir,avoir,14
dormi,dormir,12
/.,/.,P
elle,il,51
se,se,51
passait,passer,18
de,de,81
manchettes,manchette,22
",",",",p
son,son,73
col,col,21
laissait,laisser,18
voir,voir,14
contre,contre,81
la,le,71
peau,peau,22
de,de,81
son,son,73
cou,cou,21
un,un,71
liseré,liseré,21
de,de,81
crasse,crasse,22
",",",",p
et,et,82
on,on,51
la,le,52
sentait,sentir,18
plus,plus,60
sale,sale,30
encore,encore,60
en,en,81
dessous,dessous,21
qu',que,83
en,en,81
dessus,dessus,21
/.,/.,P
une,un,71
odeur,odeur,22
de,de,81
misère,misère,22
",",",",p
croupie,croupi,31
et,et,82
rance,rance,30
",",",",p
se,se,51
levait,lever,18
d',de,81
elle,il,51
/.,/.,P
quelquefois,quelquefois,60
c',ce,52
était,être,18
si,si,60
fort,fort,30
que,que,83
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
ne,ne,60
pouvait,pouvoir,18
s',se,51
empêcher,empêcher,14
de,de,81
lui,lui,51
dire,dire,14
:,:,p
-,-,p
va,aller,17
donc,donc,82
te,tu,51
changer,changer,14
",",",",p
ma,mon,73
fille,fille,22
…,…,p
tu,tu,51
sens,sentir,17
le,le,71
pauvre,pauvre,21
/…,/…,P
dans,dans,81
la,le,71
rue,rue,22
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
plus,plus,60
l',le,71
air,air,21
d',de,81
appartenir,appartenir,14
à,à,81
quelqu'un,quelqu'un,52
de,de,81
propre,propre,21
/.,/.,P
elle,il,51
ne,ne,60
semblait,sembler,18
plus,plus,60
la,le,71
domestique,domestique,22
d',de,81
une,un,71
personne,personne,22
honnête,honnête,30
/.,/.,P
elle,il,51
perdait,perdre,18
l',le,71
aspect,aspect,21
d',de,81
une,un,71
servante,servante,22
qui,qui,52
",",",",p
se,se,51
soignant,soigner,13
et,et,82
se,se,51
respectant,respecter,13
dans,dans,81
sa,son,73
mise,mise,22
même,même,30
",",",",p
porte,porte,22
sur,sur,81
elle,il,51
le,le,71
reflet,reflet,21
de,de,81
sa,son,73
maison,maison,22
et,et,82
l',le,71
orgueil,orgueil,21
de,de,81
ses,son,73
maîtres,maître,21
/.,/.,P
de,de,81
jour,jour,21
en,en,81
jour,jour,21
elle,il,51
devenait,devenir,18
cette,ce,74
créature,créature,22
abjecte,abject,30
et,et,82
débraillée,débraillé,30
dont,dont,52
la,le,71
robe,robe,22
glisse,glisser,17
au,à,81
au,le,71
ruisseau,ruisseau,21
",",",",p
-,-,p
une,un,71
souillon,souillon,22
/.,/.,P
se,se,51
négligeant,négliger,13
",",",",p
elle,il,51
négligeait,négliger,18
tout,tout,60
autour,autour,60
d',de,81
elle,il,51
/.,/.,P
elle,il,51
ne,ne,60
rangeait,ranger,18
plus,plus,60
",",",",p
elle,il,51
ne,ne,60
nettoyait,nettoyer,18
plus,plus,60
",",",",p
elle,il,51
ne,ne,60
lavait,laver,18
plus,plus,60
/.,/.,P
elle,il,51
laissait,laisser,18
le,le,71
désordre,désordre,21
et,et,82
la,le,71
saleté,saleté,22
entrer,entrer,14
dans,dans,81
l',le,71
appartement,appartement,21
",",",",p
envahir,envahir,14
l',le,71
intérieur,intérieur,21
de,de,81
mademoiselle,mademoiselle,22
",",",",p
ce,ce,74
petit,petit,30
intérieur,intérieur,21
dont,dont,52
la,le,71
propreté,propreté,22
faisait,faire,18
autrefois,autrefois,60
mademoiselle,mademoiselle,22
si,si,60
contente,content,30
et,et,82
si,si,60
fière,fier,30
/.,/.,P
la,le,71
poussière,poussière,22
s',se,51
amassait,amasser,18
",",",",p
les,le,71
araignées,araignée,22
filaient,filer,18
derrière,derrière,81
les,le,71
cadres,cadre,21
",",",",p
les,le,71
glaces,glace,22
se,se,51
voilaient,voiler,18
",",",",p
les,le,71
marbres,marbre,21
des,de,81
des,le,71
cheminées,cheminée,22
",",",",p
l',le,71
acajou,acajou,21
des,de,81
des,le,71
meubles,meuble,21
se,se,51
ternissaient,ternir,18
;,;,p
les,le,71
papillons,papillon,21
s',se,51
envolaient,envoler,18
des,de,81
des,le,71
tapis,tapis,21
qui,qui,52
n',ne,60
étaient,être,18
plus,plus,60
secoués,secouer,12
",",",",p
les,le,71
vers,ver,21
se,se,51
mettaient,mettre,18
où,où,60
ne,ne,60
passaient,passer,18
plus,plus,60
la,le,71
brosse,brosse,22
ni,ni,82
le,le,71
balai,balai,21
;,;,p
l',le,71
oubli,oubli,21
poudroyait,poudroyer,18
partout,partout,60
sur,sur,81
les,le,71
choses,chose,22
sommeillantes,sommeillant,30
et,et,82
abandonnées,abandonné,31
que,que,52
réveillait,réveiller,18
et,et,82
ranimait,ranimer,18
autrefois,autrefois,60
le,le,71
coup,coup,21
de,de,81
main,main,22
de,de,81
chaque,chaque,75
matin,matin,21
/.,/.,P
une,un,71
dizaine,dizaine,22
de,de,81
fois,fois,22
",",",",p
mademoiselle,mademoiselle,22
avait,avoir,18
tenté,tenter,12
de,de,81
piquer,piquer,14
là-dessus,là-dessus,60
l',le,71
amour-propre,amour-propre,21
de,de,81
Germinie,Germinie,20
;,;,p
mais,mais,82
alors,alors,60
",",",",p
tout,tout,75
un,un,71
jour,jour,21
",",",",p
c',ce,52
était,être,18
un,un,71
nettoyage,nettoyage,21
si,si,60
forcené,forcené,30
et,et,82
accompagné,accompagné,31
de,de,81
tels,tel,75
accès,accès,21
d',de,81
humeur,humeur,22
",",",",p
que,que,83
mademoiselle,mademoiselle,22
se,se,51
promettait,promettre,18
de,de,81
ne,ne,60
plus,plus,60
recommencer,recommencer,14
/.,/.,P
un,un,71
jour,jour,21
pourtant,pourtant,60
elle,il,51
s',se,51
enhardit,enhardir,17
à,à,81
écrire,écrire,14
le,le,71
nom,nom,21
de,de,81
Germinie,Germinie,20
avec,avec,81
le,le,71
doigt,doigt,21
sur,sur,81
la,le,71
poussière,poussière,22
de,de,81
sa,son,73
glace,glace,22
;,;,p
Germinie,Germinie,20
fut,être,19
huit,huit,72
jours,jour,21
sans,sans,81
le,le,52
lui,lui,51
pardonner,pardonner,14
/.,/.,P
mademoiselle,mademoiselle,22
en,en,52
vint,venir,19
à,à,81
se,se,51
résigner,résigner,14
/.,/.,P
à,à,81
peine,peine,22
si,si,83
elle,il,51
laissait,laisser,18
échapper,échapper,14
bien,bien,60
doucement,doucement,60
",",",",p
quand,quand,83
elle,il,51
voyait,voir,18
sa,son,73
bonne,bonne,22
dans,dans,81
un,un,71
moment,moment,21
de,de,81
bonne,bon,30
humeur,humeur,22
:,:,p
-,-,p
avoue,avouer,17
",",",",p
ma,mon,73
fille,fille,22
",",",",p
que,que,83
la,le,71
poussière,poussière,22
est,être,17
bien,bien,60
heureuse,heureux,30
chez,chez,81
nous,nous,51
/!,/!,P
à,à,81
l',le,71
étonnement,étonnement,21
",",",",p
aux,à,81
aux,le,71
observations,observation,22
des,de,81
des,le,71
amies,amie,22
qui,qui,52
venaient,venir,18
encore,encore,60
la,le,52
voir,voir,14
et,et,82
que,que,83
Germinie,Germinie,20
était,être,18
forcée,forcer,12
de,de,81
laisser,laisser,14
entrer,entrer,14
",",",",p
mademoiselle,mademoiselle,22
répondait,répondre,18
avec,avec,81
un,un,71
accent,accent,21
de,de,81
miséricorde,miséricorde,22
et,et,82
d',de,81
apitoiement,apitoiement,21
:,:,p
-,-,p
oui,oui,60
",",",",p
c',ce,52
est,être,17
sale,sale,30
",",",",p
je,je,51
sais,savoir,17
bien,bien,60
/!,/!,P
mais,mais,82
que,que,52
voulez,vouloir,17
vous,vous,51
/?,/?,P
Germinie,Germinie,20
est,être,17
malade,malade,30
",",",",p
et,et,82
j',je,51
aime,aimer,17
mieux,mieux,60
qu',que,83
elle,il,51
ne,ne,60
se,se,51
tue,tuer,17
pas,pas,60
/.,/.,P
parfois,parfois,60
",",",",p
quand,quand,83
Germinie,Germinie,20
était,être,18
sortie,sortir,12
",",",",p
elle,il,51
se,se,51
hasardait,hasarder,18
à,à,81
donner,donner,14
avec,avec,81
ses,son,73
mains,main,22
goutteuses,goutteux,30
un,un,71
coup,coup,21
de,de,81
serviette,serviette,22
sur,sur,81
la,le,71
commode,commode,22
",",",",p
un,un,71
coup,coup,21
de,de,81
plumeau,plumeau,21
sur,sur,81
un,un,71
cadre,cadre,21
/.,/.,P
elle,il,51
se,se,51
dépêchait,dépêcher,18
",",",",p
craignant,craindre,13
d',de,81
être,être,14
grondée,gronder,12
",",",",p
d',de,81
avoir,avoir,14
une,un,71
scène,scène,22
",",",",p
si,si,83
sa,son,73
bonne,bonne,22
rentrait,rentrer,18
et,et,82
la,le,52
voyait,voir,18
/.,/.,P
Germinie,Germinie,20
ne,ne,60
travaillait,travailler,18
presque,presque,60
plus,plus,60
;,;,p
elle,il,51
servait,servir,18
à,à,81
peine,peine,22
/.,/.,P
elle,il,51
avait,avoir,18
réduit,réduire,12
le,le,71
dîner,dîner,21
et,et,82
le,le,71
déjeuner,déjeuner,21
de,de,81
sa,son,73
maîtresse,maîtresse,22
aux,à,81
aux,le,71
mets,mets,21
les,le,71
plus,plus,60
simples,simple,30
",",",",p
les,le,71
plus,plus,60
courts,court,30
et,et,82
les,le,71
plus,plus,60
faciles,facile,30
à,à,81
cuisiner,cuisiner,14
/.,/.,P
elle,il,51
faisait,faire,18
son,son,73
lit,lit,21
sans,sans,81
relever,relever,14
les,le,71
matelas,matelas,21
",",",",p
à,à,81
l',le,71
anglaise,anglaise,22
/.,/.,P
la,le,71
domestique,domestique,22
qu',que,52
elle,il,51
avait,avoir,18
été,être,12
ne,ne,60
se,se,51
retrouvait,retrouver,18
et,et,82
ne,ne,60
revivait,revivre,18
plus,plus,60
en,en,81
elle,il,51
qu',que,83
aux,à,81
aux,le,71
jours,jour,21
où,où,60
mademoiselle,mademoiselle,22
donnait,donner,18
un,un,71
petit,petit,30
dîner,dîner,21
dont,dont,52
le,le,71
nombre,nombre,21
de,de,81
couverts,couvert,21
était,être,18
toujours,toujours,60
assez,assez,60
grand,grand,30
par,par,81
la,le,71
bande,bande,22
d',de,81
enfants,enfant,21
conviés,convié,31
/.,/.,P
ces,ce,74
jours,jour,21
là,là,60
",",",",p
Germinie,Germinie,20
sortait,sortir,18
",",",",p
comme,comme,83
par,par,81
enchantement,enchantement,21
",",",",p
de,de,81
sa,son,73
paresse,paresse,22
",",",",p
de,de,81
son,son,73
apathie,apathie,22
",",",",p
et,et,82
",",",",p
puisant,puiser,13
des,de,81
des,le,71
forces,force,22
dans,dans,81
une,un,71
sorte,sorte,22
de,de,81
fièvre,fièvre,22
",",",",p
elle,il,51
retrouvait,retrouver,18
",",",",p
devant,devant,81
le,le,71
feu,feu,21
de,de,81
ses,son,73
fourneaux,fourneau,21
et,et,82
les,le,71
rallonges,rallonge,22
de,de,81
la,le,71
table,table,22
",",",",p
toute,tout,75
son,son,73
activité,activité,22
passée,passé,31
/.,/.,P
et,et,82
mademoiselle,mademoiselle,22
était,être,18
stupéfaite,stupéfait,30
de,de,81
la,le,52
voir,voir,14
",",",",p
suffisant,suffire,13
à,à,81
tout,tout,52
",",",",p
seule,seul,30
et,et,82
ne,ne,60
voulant,vouloir,13
pas,pas,60
d',de,81
aide,aide,22
",",",",p
faire,faire,14
en,en,81
quelques,quelque,75
heures,heure,22
un,un,71
dîner,dîner,21
pour,pour,81
une,un,71
dizaine,dizaine,22
de,de,81
personnes,personne,22
",",",",p
le,le,52
servir,servir,14
",",",",p
le,le,52
desservir,desservir,14
avec,avec,81
les,le,71
mains,main,22
et,et,82
toute,tout,75
la,le,71
vive,vif,30
adresse,adresse,22
de,de,81
sa,son,73
jeunesse,jeunesse,22
/.,/.,P
<XL.>,<>,<>
-,-,p
non,non,60
…,…,p
cette,ce,74
fois,fois,22
ci,ci,60
",",",",p
non,non,60
",",",",p
dit,dire,17
Germinie,Germinie,20
en,en,81
se,se,51
levant,lever,13
du,de,81
du,le,71
pied,pied,21
du,de,81
du,le,71
lit,lit,21
de,de,81
Jupillon,Jupillon,20
où,où,60
elle,il,51
s',se,51
était,être,18
assise,asseoir,12
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
moyen,moyen,21
/…,/…,P
mais,mais,82
tu,tu,51
ne,ne,60
sais,savoir,17
donc,donc,82
pas,pas,60
que,que,83
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
un,un,71
sou,sou,21
…,…,p
ce,ce,52
qui,qui,52
s',se,51
appelle,appeler,17
un,un,71
sou,sou,21
!,!,p
/…,/…,P
tu,tu,51
n',ne,60
as,avoir,17
donc,donc,82
pas,pas,60
vu,voir,12
les,le,71
bas,bas,21
que,que,83
je,je,51
porte,porter,17
/!,/!,P
et,et,82
relevant,relever,13
sa,son,73
jupe,jupe,22
",",",",p
elle,il,51
lui,lui,51
montra,montrer,19
des,de,81
des,le,71
bas,bas,21
tout,tout,60
troués,troué,31
et,et,82
noués,noué,31
avec,avec,81
des,de,81
des,le,71
lisières,lisière,22
/.,/.,P
-,-,p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
de,de,81
quoi,quoi,52
changer,changer,14
de,de,81
rien,rien,52
/…,/…,P
de,de,81
l',le,71
argent,argent,21
?,?,p
…,…,p
mais,mais,82
le,le,71
jour,jour,21
de,de,81
la,le,71
fête,fête,22
de,de,81
mademoiselle,mademoiselle,22
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
eu,avoir,12
seulement,seulement,60
pour,pour,81
lui,lui,51
donner,donner,14
des,de,81
des,le,71
fleurs,fleur,22
/…,/…,P
je,je,51
lui,lui,51
ai,avoir,17
acheté,acheter,12
un,un,71
bouquet,bouquet,21
de,de,81
violettes,violette,22
d',de,81
un,un,71
sou,sou,21
",",",",p
ainsi,ainsi,60
/!,/!,P
ah,ah,93
!,!,p
oui,oui,60
",",",",p
de,de,81
l',le,71
argent,argent,21
!,!,p
/…,/…,P
tes,ton,73
derniers,dernier,30
vingt,vingt,72
francs,franc,21
…,…,p
sais,savoir,17
tu,tu,51
comment,comment,60
je,je,51
les,le,52
ai,avoir,17
eus,avoir,12
?,?,p
/…,/…,P
en,en,81
les,le,52
prenant,prendre,13
dans,dans,81
la,le,71
cassette,cassette,22
de,de,81
mademoiselle,mademoiselle,22
!,!,p
/…,/…,P
je,je,51
les,le,52
ai,avoir,17
remis,remettre,12
/…,/…,P
mais,mais,82
c',ce,52
est,être,17
fini,finir,12
/…,/…,P
je,je,51
ne,ne,60
veux,vouloir,17
plus,plus,60
de,de,81
cela,cela,52
/…,/…,P
c',ce,52
est,être,17
bon,bon,30
une,un,71
fois,fois,22
/…,/…,P
où,où,60
veux,vouloir,17
tu,tu,51
que,que,83
j',je,51
en,en,52
trouve,trouver,17
à,à,81
présent,présent,21
",",",",p
dis,dire,17
moi,moi,51
un,un,71
peu,peu,60
?,?,p
/…,/…,P
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
mettre,mettre,14
de,de,81
sa,son,73
peau,peau,22
au,à,81
au,le,71
Mont-de-Piété,Mont-de-Piété,20
…,…,p
sans,sans,81
ça,ça,52
!,!,p
/…,/…,P
mais,mais,82
pour,pour,81
faire,faire,14
encore,encore,60
un,un,71
coup,coup,21
comme,comme,83
ça,ça,52
",",",",p
jamais,jamais,60
de,de,81
la,le,71
vie,vie,22
!,!,p
/…,/…,P
tout,tout,52
ce,ce,52
que,que,52
tu,tu,51
voudras,vouloir,15
",",",",p
mais,mais,82
pas,pas,60
ça,ça,52
",",",",p
pas,pas,60
voler,voler,14
/!,/!,P
je,je,51
ne,ne,60
veux,vouloir,17
plus,plus,60
/…,/…,P
oh,oh,93
!,!,p
je,je,51
sais,savoir,17
bien,bien,60
",",",",p
va,aller,17
",",",",p
ce,ce,52
qui,qui,52
m',je,51
arrivera,arriver,15
avec,avec,81
toi,toi,51
/…,/…,P
mais,mais,82
tant,tant,60
pis,pis,60
/!,/!,P
-,-,p
ah,ah,93
!,!,p
ça,ça,52
",",",",p
as,avoir,17
tu,tu,51
fini,finir,12
de,de,81
te,tu,51
monter,monter,14
?,?,p
dit,dire,17
Jupillon,Jupillon,20
/.,/.,P
si,si,83
tu,tu,51
m',je,51
avais,avoir,18
dit,dire,12
ça,ça,52
pour,pour,81
les,le,71
vingt,vingt,72
francs,franc,21
…,…,p
est,être,17
ce,ce,52
que,que,83
tu,tu,51
t',tu,51
imagines,imaginer,17
que,que,83
j',je,51
en,en,52
aurais,avoir,16
voulu,vouloir,12
/?,/?,P
je,je,51
ne,ne,60
te,tu,51
croyais,croire,18
pas,pas,60
pannée,panné,31
tant,tant,60
que,que,83
ça,ça,52
",",",",p
moi,moi,51
/…,/…,P
je,je,51
te,tu,51
voyais,voir,18
toujours,toujours,60
aller,aller,14
/…,/…,P
je,je,51
me,je,51
figurais,figurer,18
que,que,83
ça,ça,52
ne,ne,60
te,tu,51
gênait,gêner,18
pas,pas,60
de,de,81
me,je,51
prêter,prêter,14
une,un,71
pièce,pièce,22
de,de,81
vingt,vingt,72
francs,franc,21
que,que,52
je,je,51
t',tu,51
aurais,avoir,16
rendue,rendre,12
dans,dans,81
une,un,71
semaine,semaine,22
ou,ou,82
deux,deux,72
avec,avec,81
les,le,71
autres,autre,52
/…,/…,P
mais,mais,82
",",",",p
tu,tu,51
ne,ne,60
dis,dire,17
rien,rien,52
?,?,p
/…,/…,P
eh,eh,93
bien,bien,60
!,!,p
voilà,voilà,81
tout,tout,52
",",",",p
je,je,51
ne,ne,60
t',tu,51
en,en,52
demanderai,demander,15
plus,plus,60
/…,/…,P
c',ce,52
est,être,17
pas,pas,60
une,un,71
raison,raison,22
pour,pour,81
que,que,83
nous,nous,51
nous,nous,51
fâchions,fâcher,17
",",",",p
ça,ça,52
",",",",p
il,il,51
me,je,51
semble,sembler,17
/…,/…,P
et,et,82
jetant,jeter,13
sur,sur,81
Germinie,Germinie,20
un,un,71
regard,regard,21
indéfinissable,indéfinissable,30
:,:,p
-,-,p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
à,à,81
jeudi,jeudi,21
/?,/?,P
-,-,p
à,à,81
jeudi,jeudi,21
!,!,p
dit,dire,17
désespérément,désespérément,60
Germinie,Germinie,20
/.,/.,P
elle,il,51
avait,avoir,18
envie,envie,22
de,de,81
se,se,51
jeter,jeter,14
dans,dans,81
les,le,71
bras,bras,21
de,de,81
Jupillon,Jupillon,20
",",",",p
de,de,81
lui,lui,51
demander,demander,14
pardon,pardon,21
de,de,81
sa,son,73
misère,misère,22
",",",",p
de,de,81
lui,lui,51
dire,dire,14
:,:,p
tu,tu,51
vois,voir,17
bien,bien,60
",",",",p
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
!,!,p
/…,/…,P
elle,il,51
répéta,répéter,19
:,:,p
-,-,p
à,à,81
jeudi,jeudi,21
!,!,p
et,et,82
partit,partir,19
/.,/.,P
quand,quand,83
",",",",p
le,le,71
jeudi,jeudi,21
",",",",p
elle,il,51
frappa,frapper,19
à,à,81
la,le,71
porte,porte,22
du,de,81
du,le,71
rez-de-chaussée,rez-de-chaussée,21
de,de,81
Jupillon,Jupillon,20
",",",",p
elle,il,51
crut,croire,19
entendre,entendre,14
le,le,71
pas,pas,21
d',de,81
un,un,71
homme,homme,21
qui,qui,52
se,se,51
sauvait,sauver,18
au,à,81
au,le,71
fond,fond,21
dans,dans,81
la,le,71
chambre,chambre,22
/.,/.,P
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
:,:,p
devant,devant,81
elle,il,51
était,être,18
la,le,71
cousine,cousine,22
qui,qui,52
avait,avoir,18
une,un,71
résille,résille,22
",",",",p
une,un,71
vareuse,vareuse,22
rouge,rouge,30
",",",",p
des,de,81
des,le,71
pantoufles,pantoufle,22
",",",",p
la,le,71
toilette,toilette,22
et,et,82
la,le,71
contenance,contenance,22
d',de,81
une,un,71
femme,femme,22
qui,qui,52
est,être,17
chez,chez,81
elle,il,51
chez,chez,81
un,un,71
homme,homme,21
/.,/.,P
çà,çà,60
et,et,82
là,là,60
ses,son,73
affaires,affaire,22
traînaient,traîner,18
:,:,p
Germinie,Germinie,20
les,le,52
voyait,voir,18
sur,sur,81
les,le,71
meubles,meuble,21
qu',que,83
elle,il,51
avait,avoir,18
payés,payer,12
/.,/.,P
-,-,p
madame,madame,22
demande,demander,17
?,?,p
fit,faire,19
impudemment,impudemment,60
la,le,71
cousine,cousine,22
/.,/.,P
-,-,p
monsieur,monsieur,21
Jupillon,Jupillon,20
/?,/?,P
-,-,p
il,il,51
est,être,17
sorti,sortir,12
/.,/.,P
-,-,p
