11402
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-neuvième extrait>,<>,<>
les,le,71
ombres,ombre,22
qu',que,83
elle,il,51
formait,former,18
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
étaient,être,18
noires,noir,30
/.,/.,P
il,il,51
peut,pouvoir,17
fort,fort,60
bien,bien,60
y,y,52
avoir,avoir,14
là,là,60
des,de,81
des,le,71
hommes,homme,21
cachés,cacher,12
sans,sans,81
que,que,83
je,je,51
les,le,52
voie,voir,17
",",",",p
pensa,penser,19
t,t,94
il,il,51
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
dans,dans,81
la,le,71
poche,poche,22
de,de,81
côté,côté,21
de,de,81
votre,votre,73
habit,habit,21
?,?,p
lui,lui,51
dit,dire,19
Mathilde,Mathilde,20
",",",",p
enchantée,enchanter,12
de,de,81
trouver,trouver,14
un,un,71
sujet,sujet,21
de,de,81
conversation,conversation,22
/.,/.,P
elle,il,51
souffrait,souffrir,18
étrangement,étrangement,60
;,;,p
tous,tout,75
les,le,71
sentiments,sentiment,21
de,de,81
retenue,retenue,22
et,et,82
de,de,81
timidité,timidité,22
",",",",p
si,si,60
naturels,naturel,30
à,à,81
une,un,71
fille,fille,22
bien,bien,60
née,né,31
",",",",p
avaient,avoir,18
repris,reprendre,12
leur,leur,73
empire,empire,21
",",",",p
et,et,82
la,le,52
mettaient,mettre,18
au,à,81
au,le,71
supplice,supplice,21
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
toutes,tout,52
sortes,sorte,22
d',de,81
armes,arme,22
et,et,82
de,de,81
pistolets,pistolet,21
",",",",p
répondit,répondre,19
Julien,Julien,20
",",",",p
non,non,60
moins,moins,60
content,content,30
d',de,81
avoir,avoir,14
quelque,quelque,75
chose,chose,22
à,à,81
dire,dire,14
/.,/.,P
-,-,p
il,il,51
faut,falloir,17
retirer,retirer,14
l',le,71
échelle,échelle,22
",",",",p
dit,dire,19
Mathilde,Mathilde,20
/.,/.,P
-,-,p
elle,il,51
est,être,17
immense,immense,30
",",",",p
et,et,82
peut,pouvoir,17
casser,casser,14
les,le,71
vitres,vitre,22
du,de,81
du,le,71
salon,salon,21
en,en,81
bas,bas,21
",",",",p
ou,ou,82
de,de,81
l',le,71
entresol,entresol,21
/.,/.,P
-,-,p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
casser,casser,14
les,le,71
vitres,vitre,22
",",",",p
reprit,reprendre,19
Mathilde,Mathilde,20
essayant,essayer,13
en,en,81
vain,vain,30
de,de,81
prendre,prendre,14
le,le,71
ton,ton,21
de,de,81
la,le,71
conversation,conversation,22
ordinaire,ordinaire,30
;,;,p
vous,vous,51
pourriez,pouvoir,16
",",",",p
ce,ce,52
me,je,51
semble,sembler,17
",",",",p
abaisser,abaisser,14
l',le,71
échelle,échelle,22
au,à,81
au,le,71
moyen,moyen,21
d',de,81
une,un,71
corde,corde,22
qu',que,83
on,on,51
attacherait,attacher,16
au,à,81
au,le,71
premier,premier,72
échelon,échelon,21
/.,/.,P
j',je,51
ai,avoir,17
toujours,toujours,60
une,un,71
provision,provision,22
de,de,81
cordes,corde,22
chez,chez,81
moi,moi,51
/.,/.,P
et,et,82
c',ce,52
est,être,17
là,là,60
une,un,71
femme,femme,22
amoureuse,amoureux,30
!,!,p
pensa,penser,19
Julien,Julien,20
",",",",p
elle,il,51
ose,oser,17
dire,dire,14
qu',que,83
elle,il,51
aime,aimer,17
!,!,p
tant,tant,60
de,de,81
sang-froid,sang-froid,21
",",",",p
tant,tant,60
de,de,81
sagesse,sagesse,22
dans,dans,81
les,le,71
précautions,précaution,22
m',je,51
indiquent,indiquer,17
assez,assez,60
que,que,83
je,je,51
ne,ne,60
triomphe,triompher,17
pas,pas,60
de,de,81
monsieur,monsieur,21
de,de,81
Croisenois,Croisenois,20
comme,comme,83
je,je,51
le,le,52
croyais,croire,18
sottement,sottement,60
;,;,p
mais,mais,82
que,que,83
tout,tout,60
simplement,simplement,60
je,je,51
lui,lui,51
succède,succéder,17
/.,/.,P
au,à,81
au,le,71
fait,fait,21
",",",",p
que,que,52
m',je,51
importe,importer,17
!,!,p
est,être,17
ce,ce,52
que,que,83
je,je,51
l',le,52
aime,aimer,17
/?,/?,P
je,je,51
triomphe,triompher,17
du,de,81
du,le,71
marquis,marquis,21
en,en,81
ce,ce,74
sens,sens,21
qu',que,52
il,il,51
sera,être,15
très,très,60
fâché,fâcher,12
d',de,81
avoir,avoir,14
un,un,71
successeur,successeur,21
",",",",p
et,et,82
plus,plus,60
fâché,fâcher,12
encore,encore,60
que,que,83
ce,ce,74
successeur,successeur,21
soit,être,17
moi,moi,51
/.,/.,P
avec,avec,81
quelle,quel,75
hauteur,hauteur,22
il,il,51
me,je,51
regardait,regarder,18
hier,hier,60
soir,soir,21
au,à,81
au,le,71
café,café,21
Tortoni,Tortoni,20
",",",",p
en,en,81
affectant,affecter,13
de,de,81
ne,ne,60
pas,pas,60
me,je,51
reconnaître,reconnaître,14
!,!,p
avec,avec,81
quel,quel,75
air,air,21
méchant,méchant,30
il,il,51
me,je,51
salua,saluer,19
ensuite,ensuite,60
quand,quand,83
il,il,51
ne,ne,60
put,pouvoir,19
plus,plus,60
s',se,51
en,en,52
dispenser,dispenser,14
/!,/!,P
Julien,Julien,20
avait,avoir,18
attaché,attacher,12
la,le,71
corde,corde,22
au,à,81
au,le,71
dernier,dernier,30
échelon,échelon,21
de,de,81
l',le,71
échelle,échelle,22
",",",",p
il,il,51
la,le,52
descendait,descendre,18
doucement,doucement,60
",",",",p
et,et,82
en,en,81
se,se,51
penchant,pencher,13
beaucoup,beaucoup,60
en,en,81
dehors,dehors,21
du,de,81
du,le,71
balcon,balcon,21
pour,pour,81
faire,faire,14
en,en,81
sorte,sorte,22
qu',que,83
elle,il,51
ne,ne,60
touchât,toucher,18
pas,pas,60
les,le,71
vitres,vitre,22
/.,/.,P
beau,beau,30
moment,moment,21
pour,pour,81
me,je,51
tuer,tuer,14
",",",",p
pensa,penser,19
t,t,94
il,il,51
",",",",p
si,si,83
quelqu'un,quelqu'un,52
est,être,17
caché,cacher,12
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
Mathilde,Mathilde,20
;,;,p
mais,mais,82
un,un,71
silence,silence,21
profond,profond,30
continuait,continuer,18
à,à,81
régner,régner,14
partout,partout,60
/.,/.,P
l',le,71
échelle,échelle,22
toucha,toucher,19
la,le,71
terre,terre,22
",",",",p
Julien,Julien,20
parvint,parvenir,19
à,à,81
la,le,52
coucher,coucher,14
dans,dans,81
la,le,71
plate-bande,plate-bande,22
de,de,81
fleurs,fleur,22
exotiques,exotique,30
le,le,71
long,long,21
du,de,81
du,le,71
mur,mur,21
/.,/.,P
-,-,p
que,que,52
va,aller,17
dire,dire,14
ma,mon,73
mère,mère,22
",",",",p
dit,dire,19
Mathilde,Mathilde,20
",",",",p
quand,quand,83
elle,il,51
verra,voir,15
ses,son,73
belles,beau,30
plantes,plante,22
tout,tout,60
écrasées,écrasé,31
!,!,p
/…,/…,P
il,il,51
faut,falloir,17
jeter,jeter,14
la,le,71
corde,corde,22
",",",",p
ajouta,ajouter,19
t,t,94
elle,il,51
d',de,81
un,un,71
grand,grand,30
sang-froid,sang-froid,21
/.,/.,P
si,si,83
on,on,51
l',le,52
apercevait,apercevoir,18
remontant,remonter,13
au,à,81
au,le,71
balcon,balcon,21
",",",",p
ce,ce,52
serait,être,16
une,un,71
circonstance,circonstance,22
difficile,difficile,30
à,à,81
expliquer,expliquer,14
/.,/.,P
-,-,p
et,et,82
comment,comment,60
moi,moi,51
m',je,51
en,en,52
aller,aller,14
?,?,p
dit,dire,19
Julien,Julien,20
d',de,81
un,un,71
ton,ton,21
plaisant,plaisant,30
",",",",p
et,et,82
en,en,81
affectant,affecter,13
le,le,71
langage,langage,21
créole,créole,30
/.,/.,P
(,(,p
une,un,52
des,de,81
des,le,71
femmes,femme,22
de,de,81
chambre,chambre,22
de,de,81
la,le,71
maison,maison,22
était,être,18
née,naître,12
à,à,81
Saint-Domingue,Saint-Domingue,20
/.,/.,P
),),p
-,-,p
vous,vous,51
",",",",p
vous,vous,51
en,en,52
aller,aller,14
par,par,81
la,le,71
porte,porte,22
",",",",p
dit,dire,19
Mathilde,Mathilde,20
ravie,ravi,31
de,de,81
cette,ce,74
idée,idée,22
/.,/.,P
ah,ah,93
!,!,p
que,que,52
cet,ce,74
homme,homme,21
est,être,17
digne,digne,30
de,de,81
tout,tout,75
mon,mon,73
amour,amour,21
!,!,p
pensa,penser,19
t,t,94
elle,il,51
/.,/.,P
Julien,Julien,20
venait,venir,18
de,de,81
laisser,laisser,14
tomber,tomber,14
la,le,71
corde,corde,22
dans,dans,81
le,le,71
jardin,jardin,21
;,;,p
Mathilde,Mathilde,20
lui,lui,51
serra,serrer,19
le,le,71
bras,bras,21
/.,/.,P
il,il,51
crut,croire,19
être,être,14
saisi,saisir,12
par,par,81
un,un,71
ennemi,ennemi,21
",",",",p
et,et,82
se,se,51
retourna,retourner,19
vivement,vivement,60
en,en,81
tirant,tirer,13
un,un,71
poignard,poignard,21
/.,/.,P
elle,il,51
avait,avoir,18
cru,croire,12
entendre,entendre,14
ouvrir,ouvrir,14
une,un,71
fenêtre,fenêtre,22
/.,/.,P
ils,ils,51
restèrent,rester,19
immobiles,immobile,30
et,et,82
sans,sans,81
respirer,respirer,14
/.,/.,P
la,le,71
lune,lune,22
les,le,52
éclairait,éclairer,18
en,en,81
plein,plein,81
/.,/.,P
le,le,71
bruit,bruit,21
ne,ne,60
se,se,51
renouvelant,renouveler,13
pas,pas,60
",",",",p
il,il,51
n',ne,60
y,y,52
eut,avoir,19
plus,plus,60
d',de,81
inquiétude,inquiétude,22
/.,/.,P
alors,alors,60
l',le,71
embarras,embarras,21
recommença,recommencer,19
",",",",p
il,il,51
était,être,18
grand,grand,30
des,de,81
des,le,71
deux,deux,72
parts,part,22
/.,/.,P
Julien,Julien,20
s',se,51
assura,assurer,19
que,que,83
la,le,71
porte,porte,22
était,être,18
fermée,fermer,12
avec,avec,81
tous,tout,75
ses,son,73
verrous,verrou,21
;,;,p
il,il,51
pensait,penser,18
bien,bien,60
à,à,81
regarder,regarder,14
sous,sous,81
le,le,71
lit,lit,21
",",",",p
mais,mais,82
n',ne,60
osait,oser,18
pas,pas,60
;,;,p
on,on,51
avait,avoir,18
pu,pouvoir,12
y,y,52
placer,placer,14
un,un,72
ou,ou,82
deux,deux,72
laquais,laquais,21
/.,/.,P
enfin,enfin,60
il,il,51
craignit,craindre,19
un,un,71
reproche,reproche,21
futur,futur,30
de,de,81
sa,son,73
prudence,prudence,22
et,et,82
regarda,regarder,19
/.,/.,P
Mathilde,Mathilde,20
était,être,18
tombée,tomber,12
dans,dans,81
toutes,tout,75
les,le,71
angoisses,angoisse,22
de,de,81
la,le,71
timidité,timidité,22
la,le,71
plus,plus,60
extrême,extrême,30
/.,/.,P
elle,il,51
avait,avoir,18
horreur,horreur,22
de,de,81
sa,son,73
position,position,22
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
fait,faire,12
de,de,81
mes,mon,73
lettres,lettre,22
?,?,p
dit,dire,19
elle,il,51
enfin,enfin,60
/.,/.,P
quelle,quel,75
bonne,bon,30
occasion,occasion,22
de,de,81
déconcerter,déconcerter,14
ces,ce,74
messieurs,monsieur,21
s',si,83
ils,ils,51
sont,être,17
aux,à,81
aux,le,71
écoutes,écoute,22
",",",",p
et,et,82
d',de,81
éviter,éviter,14
la,le,71
bataille,bataille,22
!,!,p
pensa,penser,19
Julien,Julien,20
/.,/.,P
-,-,p
la,le,71
première,premier,72
est,être,17
cachée,cacher,12
dans,dans,81
une,un,71
grosse,gros,30
Bible,Bible,20
protestante,protestant,30
que,que,52
la,le,71
diligence,diligence,22
d',de,81
hier,hier,60
soir,soir,21
emporte,emporter,17
bien,bien,60
loin,loin,60
d',de,81
ici,ici,60
/.,/.,P
il,il,51
parlait,parler,18
fort,fort,60
distinctement,distinctement,60
en,en,81
entrant,entrer,13
dans,dans,81
ces,ce,74
détails,détail,21
",",",",p
et,et,82
de,de,81
façon,façon,22
à,à,81
être,être,14
entendu,entendre,12
des,de,81
des,le,71
personnes,personne,22
qui,qui,52
pouvaient,pouvoir,18
être,être,14
cachées,cacher,12
dans,dans,81
deux,deux,72
grandes,grand,30
armoires,armoire,22
d',de,81
acajou,acajou,21
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
osé,oser,12
visiter,visiter,14
/.,/.,P
-,-,p
les,le,71
deux,deux,72
autres,autre,52
sont,être,17
à,à,81
la,le,71
poste,poste,22
",",",",p
et,et,82
suivent,suivre,17
la,le,71
même,même,75
route,route,22
que,que,83
la,le,71
première,premier,72
/.,/.,P
-,-,p
eh,eh,93
",",",",p
grand,grand,30
dieu,dieu,21
!,!,p
pourquoi,pourquoi,60
toutes,tout,75
ces,ce,74
précautions,précaution,22
?,?,p
dit,dire,19
Mathilde,Mathilde,20
étonnée,étonné,31
/.,/.,P
à,à,81
propos,propos,21
de,de,81
quoi,quoi,52
est,être,17
ce,ce,52
que,que,52
je,je,51
mentirais,mentir,16
?,?,p
pensa,penser,19
Julien,Julien,20
",",",",p
et,et,82
il,il,51
lui,lui,51
avoua,avouer,19
tous,tout,75
ses,son,73
soupçons,soupçon,21
/.,/.,P
-,-,p
voilà,voilà,81
donc,donc,82
la,le,71
cause,cause,22
de,de,81
la,le,71
froideur,froideur,22
de,de,81
tes,ton,73
lettres,lettre,22
!,!,p
s',se,51
écria,écrier,19
Mathilde,Mathilde,20
avec,avec,81
l',le,71
accent,accent,21
de,de,81
la,le,71
folie,folie,22
plus,plus,60
que,que,83
de,de,81
la,le,71
tendresse,tendresse,22
/.,/.,P
Julien,Julien,20
ne,ne,60
remarqua,remarquer,19
pas,pas,60
cette,ce,74
nuance,nuance,22
/.,/.,P
ce,ce,74
tutoiement,tutoiement,21
lui,lui,51
fit,faire,19
perdre,perdre,14
la,le,71
tête,tête,22
",",",",p
ou,ou,82
du,de,81
du,le,71
moins,moins,60
ses,son,73
soupçons,soupçon,21
s',se,51
évanouirent,évanouir,19
",",",",p
il,il,51
osa,oser,19
serrer,serrer,14
dans,dans,81
ses,son,73
bras,bras,21
cette,ce,74
fille,fille,22
si,si,60
belle,beau,30
",",",",p
et,et,82
qui,qui,52
lui,lui,51
inspirait,inspirer,18
tant,tant,60
de,de,81
respect,respect,21
/.,/.,P
il,il,51
ne,ne,60
fut,être,19
repoussé,repousser,12
qu',que,83
à,à,81
demi,demi,30
/.,/.,P
il,il,51
eut,avoir,19
recours,recours,21
à,à,81
sa,son,73
mémoire,mémoire,22
",",",",p
comme,comme,83
jadis,jadis,60
à,à,81
Besançon,Besançon,20
auprès,auprès,60
d',de,81
Amanda,Amanda,20
Binet,Binet,20
",",",",p
et,et,82
récita,réciter,19
plusieurs,plusieurs,75
des,de,81
des,le,71
plus,plus,60
belles,beau,30
phrases,phrase,22
de,de,81
la,le,71
nouvelle,nouveau,30
Héloïse,Héloïse,20
/.,/.,P
-,-,p
tu,tu,51
as,avoir,17
un,un,71
coeur,coeur,21
d',de,81
homme,homme,21
",",",",p
lui,lui,51
répondit,répondre,19
on,on,51
sans,sans,81
trop,trop,60
écouter,écouter,14
ses,son,73
phrases,phrase,22
;,;,p
j',je,51
ai,avoir,17
voulu,vouloir,12
éprouver,éprouver,14
ta,ton,73
bravoure,bravoure,22
",",",",p
je,je,51
l',le,52
avoue,avouer,17
/.,/.,P
tes,ton,73
premiers,premier,72
soupçons,soupçon,21
et,et,82
ta,ton,73
résolution,résolution,22
te,tu,51
montrent,montrer,17
plus,plus,60
intrépide,intrépide,30
encore,encore,60
que,que,83
je,je,51
ne,ne,60
croyais,croire,18
/.,/.,P
Mathilde,Mathilde,20
faisait,faire,18
effort,effort,21
pour,pour,81
le,le,52
tutoyer,tutoyer,14
",",",",p
elle,il,51
était,être,18
évidemment,évidemment,60
plus,plus,60
attentive,attentif,30
à,à,81
cette,ce,74
étrange,étrange,30
façon,façon,22
de,de,81
parler,parler,14
qu',que,52
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
choses,chose,22
qu',que,52
elle,il,51
disait,dire,18
/.,/.,P
ce,ce,74
tutoiement,tutoiement,21
",",",",p
dépouillé,dépouillé,31
du,de,81
du,le,71
ton,ton,21
de,de,81
la,le,71
tendresse,tendresse,22
",",",",p
ne,ne,60
faisait,faire,18
aucun,aucun,75
plaisir,plaisir,21
à,à,81
Julien,Julien,20
",",",",p
il,il,51
s',se,51
étonnait,étonner,18
de,de,81
l',le,71
absence,absence,22
du,de,81
du,le,71
bonheur,bonheur,21
;,;,p
enfin,enfin,60
pour,pour,81
le,le,52
sentir,sentir,14
",",",",p
il,il,51
eut,avoir,19
recours,recours,21
à,à,81
sa,son,73
raison,raison,22
/.,/.,P
il,il,51
se,se,51
voyait,voir,18
estimé,estimé,31
par,par,81
cette,ce,74
jeune,jeune,30
fille,fille,22
si,si,60
fière,fier,30
",",",",p
et,et,82
qui,qui,52
n',ne,60
accordait,accorder,18
jamais,jamais,60
de,de,81
louanges,louange,22
sans,sans,81
restriction,restriction,22
;,;,p
avec,avec,81
ce,ce,74
raisonnement,raisonnement,21
il,il,51
parvint,parvenir,19
à,à,81
un,un,71
bonheur,bonheur,21
d',de,81
amour-propre,amour-propre,21
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
",",",",p
il,il,51
est,être,17
vrai,vrai,30
",",",",p
cette,ce,74
volupté,volupté,22
de,de,81
l',le,71
âme,âme,22
qu',que,83
il,il,51
avait,avoir,18
trouvée,trouver,12
quelquefois,quelquefois,60
auprès,auprès,60
de,de,81
madame,madame,22
de,de,81
Rênal,Rênal,20
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
rien,rien,52
de,de,81
tendre,tendre,14
dans,dans,81
ses,son,73
sentiments,sentiment,21
de,de,81
ce,ce,74
premier,premier,72
moment,moment,21
/.,/.,P
c',ce,52
était,être,18
le,le,71
plus,plus,60
vif,vif,30
bonheur,bonheur,21
d',de,81
ambition,ambition,22
",",",",p
et,et,82
Julien,Julien,20
était,être,18
surtout,surtout,60
ambitieux,ambitieux,30
/.,/.,P
il,il,51
parla,parler,19
de,de,81
nouveau,nouveau,21
des,de,81
des,le,71
gens,gens,21
par,par,81
lui,lui,51
soupçonnés,soupçonné,31
",",",",p
et,et,82
des,de,81
des,le,71
précautions,précaution,22
qu',que,52
il,il,51
avait,avoir,18
inventées,inventer,12
/.,/.,P
en,en,81
parlant,parler,13
",",",",p
il,il,51
songeait,songer,18
aux,à,81
aux,le,71
moyens,moyen,21
de,de,81
profiter,profiter,14
de,de,81
sa,son,73
victoire,victoire,22
/.,/.,P
Mathilde,Mathilde,20
encore,encore,60
fort,fort,30
embarrassée,embarrassé,31
",",",",p
et,et,82
qui,qui,52
avait,avoir,18
l',le,71
air,air,21
atterrée,atterrer,12
de,de,81
sa,son,73
démarche,démarche,22
",",",",p
parut,paraître,19
enchantée,enchanté,31
de,de,81
trouver,trouver,14
un,un,71
sujet,sujet,21
de,de,81
conversation,conversation,22
/.,/.,P
on,on,51
parla,parler,19
des,de,81
des,le,71
moyens,moyen,21
de,de,81
se,se,51
revoir,revoir,14
/.,/.,P
Julien,Julien,20
jouit,jouir,17
délicieusement,délicieusement,60
de,de,81
l',le,71
esprit,esprit,21
et,et,82
de,de,81
la,le,71
bravoure,bravoure,22
dont,dont,52
il,il,51
fit,faire,19
preuve,preuve,22
de,de,81
nouveau,nouveau,21
pendant,pendant,81
cette,ce,74
discussion,discussion,22
/.,/.,P
on,on,51
avait,avoir,18
affaire,affaire,22
à,à,81
des,de,81
des,le,71
gens,gens,21
très,très,60
clairvoyants,clairvoyant,30
",",",",p
le,le,71
petit,petit,30
Tanbeau,Tanbeau,20
était,être,18
certainement,certainement,60
un,un,71
espion,espion,21
",",",",p
mais,mais,82
Mathilde,Mathilde,20
et,et,82
lui,lui,51
n',ne,60
étaient,être,18
pas,pas,60
non,non,60
plus,plus,60
sans,sans,81
adresse,adresse,22
/.,/.,P
quoi,quoi,52
de,de,81
plus,plus,60
facile,facile,30
que,que,83
de,de,81
se,se,51
rencontrer,rencontrer,14
dans,dans,81
la,le,71
bibliothèque,bibliothèque,22
",",",",p
pour,pour,81
convenir,convenir,14
de,de,81
tout,tout,52
/?,/?,P
je,je,51
puis,pouvoir,17
paraître,paraître,14
",",",",p
sans,sans,81
exciter,exciter,14
de,de,81
soupçons,soupçon,21
",",",",p
dans,dans,81
toutes,tout,75
les,le,71
parties,partie,22
de,de,81
l',le,71
hôtel,hôtel,21
",",",",p
ajoutait,ajouter,18
Julien,Julien,20
",",",",p
et,et,82
presque,presque,60
jusque,jusque,81
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
madame,madame,22
de,de,81
La Mole,La Mole,20
/.,/.,P
il,il,51
fallait,falloir,18
absolument,absolument,60
la,le,52
traverser,traverser,14
pour,pour,81
arriver,arriver,14
à,à,81
celle,celui,52
de,de,81
sa,son,73
fille,fille,22
/.,/.,P
si,si,83
Mathilde,Mathilde,20
trouvait,trouver,18
mieux,mieux,60
qu',que,83
il,il,51
arrivât,arriver,18
toujours,toujours,60
par,par,81
une,un,71
échelle,échelle,22
",",",",p
c',ce,52
était,être,18
avec,avec,81
un,un,71
coeur,coeur,21
ivre,ivre,30
de,de,81
joie,joie,22
qu',que,83
il,il,51
s',se,51
exposerait,exposer,16
à,à,81
ce,ce,74
faible,faible,30
danger,danger,21
/.,/.,P
en,en,81
l',le,52
écoutant,écouter,13
parler,parler,14
",",",",p
Mathilde,Mathilde,20
était,être,18
choquée,choquer,12
de,de,81
cet,ce,74
air,air,21
de,de,81
triomphe,triomphe,21
/.,/.,P
il,il,51
est,être,17
donc,donc,82
mon,mon,73
maître,maître,21
!,!,p
se,se,51
dit,dire,19
elle,il,51
/.,/.,P
déjà,déjà,60
elle,il,51
était,être,18
en,en,81
proie,proie,22
au,à,81
au,le,71
remords,remords,21
/.,/.,P
sa,son,73
raison,raison,22
avait,avoir,18
horreur,horreur,22
de,de,81
l',le,71
insigne,insigne,30
folie,folie,22
qu',que,52
elle,il,51
venait,venir,18
de,de,81
commettre,commettre,14
/.,/.,P
si,si,83
elle,il,51
l',le,52
eût,avoir,19
pu,pouvoir,12
",",",",p
elle,il,51
eût,avoir,19
anéanti,anéantir,12
elle,il,51
et,et,82
Julien,Julien,20
/.,/.,P
quand,quand,83
par,par,81
instants,instant,21
la,le,71
force,force,22
de,de,81
sa,son,73
volonté,volonté,22
faisait,faire,18
taire,taire,14
les,le,71
remords,remords,21
",",",",p
des,de,81
des,le,71
sentiments,sentiment,21
de,de,81
timidité,timidité,22
et,et,82
de,de,81
pudeur,pudeur,22
souffrante,souffrant,30
la,le,52
rendaient,rendre,18
fort,fort,60
malheureuse,malheureux,30
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
nullement,nullement,60
prévu,prévoir,12
l',le,71
état,état,21
affreux,affreux,30
où,où,60
elle,il,51
se,se,51
trouvait,trouver,18
/.,/.,P
il,il,51
faut,falloir,17
cependant,cependant,82
que,que,83
je,je,51
lui,lui,51
parle,parler,17
",",",",p
se,se,51
dit,dire,19
elle,il,51
à,à,81
la,le,71
fin,fin,22
",",",",p
cela,cela,52
est,être,17
dans,dans,81
les,le,71
convenances,convenance,22
",",",",p
on,on,51
parle,parler,17
à,à,81
son,son,73
amant,amant,21
/.,/.,P
et,et,82
alors,alors,60
pour,pour,81
accomplir,accomplir,14
un,un,71
devoir,devoir,21
",",",",p
et,et,82
avec,avec,81
une,un,71
tendresse,tendresse,22
qui,qui,52
était,être,18
bien,bien,60
plus,plus,60
dans,dans,81
les,le,71
paroles,parole,22
dont,dont,52
elle,il,51
se,se,51
servait,servir,18
que,que,83
dans,dans,81
le,le,71
son,son,21
de,de,81
sa,son,73
voix,voix,22
",",",",p
elle,il,51
raconta,raconter,19
les,le,71
diverses,divers,30
résolutions,résolution,22
qu',que,52
elle,il,51
avait,avoir,18
prises,prendre,12
à,à,81
son,son,73
égard,égard,21
pendant,pendant,81
ces,ce,74
derniers,dernier,30
jours,jour,21
/.,/.,P
elle,il,51
avait,avoir,18
décidé,décider,12
que,que,83
s',si,83
il,il,51
osait,oser,18
arriver,arriver,14
chez,chez,81
elle,il,51
avec,avec,81
le,le,71
secours,secours,21
de,de,81
l',le,71
échelle,échelle,22
du,de,81
du,le,71
jardinier,jardinier,21
",",",",p
ainsi,ainsi,60
qu',que,83
il,il,51
lui,lui,51
était,être,18
prescrit,prescrire,12
",",",",p
elle,il,51
serait,être,16
toute,tout,52
à,à,81
lui,lui,51
/.,/.,P
mais,mais,82
jamais,jamais,60
l',l',94
on,on,51
ne,ne,60
dit,dire,19
d',de,81
un,un,71
ton,ton,21
plus,plus,60
froid,froid,30
et,et,82
plus,plus,60
poli,poli,31
des,de,81
des,le,71
choses,chose,22
aussi,aussi,60
tendres,tendre,30
/.,/.,P
jusque-là,jusque-là,81
ce,ce,74
rendez-vous,rendez-vous,21
était,être,18
glacé,glacer,12
/.,/.,P
c',ce,52
était,être,18
à,à,81
faire,faire,14
prendre,prendre,14
l',le,71
amour,amour,21
en,en,81
haine,haine,22
/.,/.,P
quelle,quel,75
leçon,leçon,22
de,de,81
morale,morale,22
pour,pour,81
une,un,71
jeune,jeune,30
imprudente,imprudent,30
/!,/!,P
vaut,valoir,17
il,il,51
la,le,71
peine,peine,22
de,de,81
perdre,perdre,14
son,son,73
avenir,avenir,21
pour,pour,81
un,un,71
tel,tel,75
moment,moment,21
/?,/?,P
après,après,81
de,de,81
longues,long,30
incertitudes,incertitude,22
",",",",p
qui,qui,52
eussent,avoir,18
pu,pouvoir,12
paraître,paraître,14
à,à,81
un,un,71
observateur,observateur,21
superficiel,superficiel,30
l',le,71
effet,effet,21
de,de,81
la,le,71
haine,haine,22
la,le,71
plus,plus,60
décidée,décidé,31
",",",",p
tant,tant,60
les,le,71
sentiments,sentiment,21
qu',que,83
une,un,71
femme,femme,22
se,se,51
doit,devoir,17
à,à,81
elle-même,lui-même,51
avaient,avoir,18
de,de,81
peine,peine,22
à,à,81
céder,céder,14
à,à,81
une,un,71
volonté,volonté,22
aussi,aussi,60
ferme,ferme,30
",",",",p
Mathilde,Mathilde,20
finit,finir,19
par,par,81
être,être,14
pour,pour,81
lui,lui,51
une,un,71
maîtresse,maîtresse,22
aimable,aimable,30
/.,/.,P
à,à,81
la,le,71
vérité,vérité,22
",",",",p
ces,ce,74
transports,transport,21
étaient,être,18
un,un,71
peu,peu,60
voulus,vouloir,12
/.,/.,P
l',le,71
amour,amour,21
passionné,passionné,31
était,être,18
encore,encore,60
plutôt,plutôt,60
un,un,71
modèle,modèle,21
qu',que,83
on,on,51
imitait,imiter,18
qu',que,83
une,un,71
réalité,réalité,22
/.,/.,P
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
croyait,croire,18
remplir,remplir,14
un,un,71
devoir,devoir,21
envers,envers,81
elle-même,lui-même,51
et,et,82
envers,envers,81
son,son,73
amant,amant,21
/.,/.,P
le,le,71
pauvre,pauvre,30
garçon,garçon,21
",",",",p
se,se,51
disait,dire,18
elle,il,51
",",",",p
a,avoir,17
été,être,12
d',de,81
une,un,71
bravoure,bravoure,22
achevée,achever,12
",",",",p
il,il,51
doit,devoir,17
être,être,14
heureux,heureux,30
",",",",p
ou,ou,82
bien,bien,60
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
manque,manquer,17
de,de,81
caractère,caractère,21
/.,/.,P
