11673
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dixième extrait>,<>,<>
",",",",p
après,après,81
sa,son,73
victoire,victoire,22
",",",",p
anéantir,anéantir,14
les,le,71
mercenaires,mercenaire,21
/.,/.,P
pourquoi,pourquoi,60
avait,avoir,18
il,il,51
ravagé,ravager,12
les,le,71
tribus,tribu,22
/?,/?,P
on,on,51
s',se,51
était,être,18
cependant,cependant,82
imposé,imposer,12
d',de,81
assez,assez,60
lourds,lourd,30
sacrifices,sacrifice,21
!,!,p
et,et,82
les,le,71
patriciens,patricien,21
déploraient,déplorer,18
leur,leur,73
contribution,contribution,22
de,de,81
quatorze,quatorze,72
shekel,shekel,21
",",",",p
les,le,71
Syssites,Syssite,20
leurs,leur,73
deux,deux,72
cent,cent,72
vingt,vingt,72
trois,trois,72
mille,mille,72
kikar,kikar,21
d',de,81
or,or,21
;,;,p
ceux,celui,52
qui,qui,52
n',ne,60
avaient,avoir,18
rien,rien,52
donné,donner,12
se,se,51
lamentaient,lamenter,18
comme,comme,83
les,le,71
autres,autre,52
/.,/.,P
la,le,71
populace,populace,22
était,être,18
jalouse,jaloux,30
des,de,81
des,le,71
Carthaginois,Carthaginois,20
nouveaux,nouveau,30
auxquels,à,81
auxquels,lequel,52
il,il,51
avait,avoir,18
promis,promettre,12
le,le,52
droit,droit,21
de,de,81
cité,cité,22
complet,complet,30
;,;,p
et,et,82
même,même,60
les,le,71
Ligures,Ligure,20
",",",",p
qui,qui,52
s',se,51
étaient,être,18
si,si,60
intrépidement,intrépidement,60
battus,battre,12
",",",",p
on,on,51
les,le,52
confondait,confondre,18
avec,avec,81
les,le,71
barbares,barbare,21
",",",",p
on,on,51
les,le,52
maudissait,maudire,18
comme,comme,83
eux,ils,51
;,;,p
leur,leur,73
race,race,22
devenait,devenir,18
un,un,71
crime,crime,21
",",",",p
une,un,71
complicité,complicité,22
/.,/.,P
les,le,71
marchands,marchand,21
sur,sur,81
le,le,71
seuil,seuil,21
de,de,81
leur,leur,73
boutique,boutique,22
",",",",p
les,le,71
manoeuvres,manoeuvre,22
qui,qui,52
passaient,passer,18
",",",",p
une,un,71
règle,règle,22
de,de,81
plomb,plomb,21
à,à,81
la,le,71
main,main,22
",",",",p
les,le,71
vendeurs,vendeur,21
de,de,81
saumure,saumure,22
rinçant,rincer,13
leurs,leur,73
paniers,panier,21
",",",",p
les,le,71
baigneurs,baigneur,21
dans,dans,81
les,le,71
étuves,étuve,22
et,et,82
les,le,71
débitants,débitant,21
de,de,81
boissons,boisson,22
chaudes,chaud,30
",",",",p
tous,tout,52
discutaient,discuter,18
les,le,71
opérations,opération,22
de,de,81
la,le,71
campagne,campagne,22
/.,/.,P
on,on,51
traçait,tracer,18
avec,avec,81
son,son,73
doigt,doigt,21
des,de,81
des,le,71
plans,plan,21
de,de,81
bataille,bataille,22
sur,sur,81
la,le,71
poussière,poussière,22
;,;,p
et,et,82
il,il,51
n',ne,60
était,être,18
si,si,60
mince,mince,30
goujat,goujat,21
qui,qui,52
ne,ne,60
sût,savoir,18
corriger,corriger,14
les,le,71
fautes,faute,22
d',de,81
Hamilcar,Hamilcar,20
/.,/.,P
c',ce,52
était,être,18
",",",",p
disaient,dire,18
les,le,71
prêtres,prêtre,21
",",",",p
le,le,71
châtiment,châtiment,21
de,de,81
sa,son,73
longue,long,30
impiété,impiété,22
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
point,point,60
offert,offrir,12
d',de,81
holocaustes,holocauste,21
;,;,p
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
pu,pouvoir,12
purifier,purifier,14
ses,son,73
troupes,troupe,22
;,;,p
il,il,51
avait,avoir,18
même,même,60
refusé,refuser,12
de,de,81
prendre,prendre,14
avec,avec,81
lui,lui,51
des,de,81
des,le,71
augures,augure,21
;,;,p
-,-,p
et,et,82
le,le,71
scandale,scandale,21
du,de,81
du,le,71
sacrilège,sacrilège,21
renforçait,renforcer,18
la,le,71
violence,violence,22
des,de,81
des,le,71
haines,haine,22
contenues,contenu,31
",",",",p
la,le,71
rage,rage,22
des,de,81
des,le,71
espoirs,espoir,21
trahis,trahi,31
/.,/.,P
on,on,51
se,se,51
rappelait,rappeler,18
les,le,71
désastres,désastre,21
de,de,81
la,le,71
Sicile,Sicile,20
",",",",p
tout,tout,75
le,le,71
fardeau,fardeau,21
de,de,81
son,son,73
orgueil,orgueil,21
qu',que,83
on,on,51
avait,avoir,18
si,si,60
longtemps,longtemps,60
porté,porter,12
/!,/!,P
les,le,71
collèges,collège,21
des,de,81
des,le,71
pontifes,pontife,21
ne,ne,60
lui,lui,51
pardonnaient,pardonner,18
pas,pas,60
d',de,81
avoir,avoir,14
saisi,saisir,12
leur,leur,73
trésor,trésor,21
",",",",p
et,et,82
ils,ils,51
exigèrent,exiger,19
du,de,81
du,le,71
grand,grand,30
Conseil,conseil,21
l',le,71
engagement,engagement,21
de,de,81
le,le,52
crucifier,crucifier,14
",",",",p
si,si,83
jamais,jamais,60
il,il,51
revenait,revenir,18
/.,/.,P
les,le,71
chaleurs,chaleur,22
du,de,81
du,le,71
mois,mois,21
d',de,81
Eloul,Eloul,20
",",",",p
excessives,excessif,30
cette,ce,74
année,année,22
là,là,60
",",",",p
étaient,être,18
une,un,71
autre,autre,75
calamité,calamité,22
/.,/.,P
des,de,81
des,le,71
bords,bord,21
du,de,81
du,le,71
lac,lac,21
",",",",p
il,il,51
s',se,51
élevait,élever,18
des,de,81
des,le,71
odeurs,odeur,22
nauséabondes,nauséabond,30
;,;,p
elles,ils,51
passaient,passer,18
dans,dans,81
l',le,71
air,air,21
avec,avec,81
les,le,71
fumées,fumée,22
des,de,81
des,le,71
aromates,aromate,21
tourbillonnant,tourbillonner,13
au,à,81
au,le,71
coin,coin,21
des,de,81
des,le,71
rues,rue,22
/.,/.,P
on,on,51
entendait,entendre,18
continuellement,continuellement,60
retentir,retentir,14
des,de,81
des,le,71
hymnes,hymne,21
/.,/.,P
des,de,81
des,le,71
flots,flot,21
de,de,81
peuple,peuple,21
occupaient,occuper,18
les,le,71
escaliers,escalier,21
des,de,81
des,le,71
temples,temple,21
:,:,p
toutes,tout,75
les,le,71
murailles,muraille,22
étaient,être,18
couvertes,couvrir,12
de,de,81
voiles,voile,21
noirs,noir,30
;,;,p
des,de,81
des,le,71
cierges,cierge,21
brûlaient,brûler,18
au,à,81
au,le,71
front,front,21
des,de,81
des,le,71
dieux-,dieu,21
Pataeques,Pataeques,20
",",",",p
et,et,82
le,le,71
sang,sang,21
des,de,81
des,le,71
chameaux,chameau,21
égorgés,égorgé,31
en,en,81
sacrifice,sacrifice,21
",",",",p
coulant,couler,13
le,le,71
long,long,21
des,de,81
des,le,71
rampes,rampe,22
",",",",p
formait,former,18
",",",",p
sur,sur,81
les,le,71
marches,marche,22
",",",",p
des,de,81
des,le,71
cascades,cascade,22
rouges,rouge,30
/.,/.,P
un,un,71
délire,délire,21
funèbre,funèbre,30
agitait,agiter,18
Carthage,Carthage,20
/.,/.,P
du,de,81
du,le,71
fond,fond,21
des,de,81
des,le,71
ruelles,ruelle,22
les,le,71
plus,plus,60
étroites,étroit,30
",",",",p
des,de,81
des,le,71
bouges,bouge,21
les,le,71
plus,plus,60
noirs,noir,30
",",",",p
des,de,81
des,le,71
figures,figure,22
pâles,pâle,30
sortaient,sortir,18
",",",",p
des,de,81
des,le,71
hommes,homme,21
à,à,81
profil,profil,21
de,de,81
vipère,vipère,22
et,et,82
qui,qui,52
grinçaient,grincer,18
des,de,81
des,le,71
dents,dent,22
/.,/.,P
les,le,71
hurlements,hurlement,21
aigus,aigu,30
des,de,81
des,le,71
femmes,femme,22
emplissaient,emplir,18
les,le,71
maisons,maison,22
",",",",p
et,et,82
",",",",p
s',se,51
échappant,échapper,13
par,par,81
les,le,71
grillages,grillage,21
",",",",p
faisaient,faire,18
se,se,51
retourner,retourner,14
sur,sur,81
les,le,71
places,place,22
ceux,celui,52
qui,qui,52
causaient,causer,18
debout,debout,60
/.,/.,P
on,on,51
croyait,croire,18
quelquefois,quelquefois,60
que,que,83
les,le,71
barbares,barbare,21
arrivaient,arriver,18
;,;,p
on,on,51
les,le,52
avait,avoir,18
aperçus,apercevoir,12
derrière,derrière,81
la,le,71
montagne,montagne,22
des,de,81
des,le,71
eaux,eau,22
chaudes,chaud,30
;,;,p
ils,ils,51
étaient,être,18
campés,camper,12
à,à,81
Tunis,Tunis,20
;,;,p
et,et,82
les,le,71
voix,voix,22
se,se,51
multipliaient,multiplier,18
",",",",p
grossissaient,grossir,18
",",",",p
se,se,51
confondaient,confondre,18
en,en,81
une,un,71
seule,seul,30
clameur,clameur,22
/.,/.,P
puis,puis,60
",",",",p
un,un,71
silence,silence,21
universel,universel,30
s',se,51
établissait,établir,18
",",",",p
les,le,71
uns,un,52
restaient,rester,18
grimpés,grimpé,31
sur,sur,81
le,le,71
fronton,fronton,21
des,de,81
des,le,71
édifices,édifice,21
",",",",p
avec,avec,81
leur,leur,73
main,main,22
ouverte,ouvert,31
au,à,81
au,le,71
bord,bord,21
des,de,81
des,le,71
yeux,oeil,21
",",",",p
tandis que,tandis que,83
les,le,71
autres,autre,52
",",",",p
à,à,81
plat,plat,30
ventre,ventre,21
au,à,81
au,le,71
pied,pied,21
des,de,81
des,le,71
remparts,rempart,21
",",",",p
tendaient,tendre,18
l',le,71
oreille,oreille,22
/.,/.,P
la,le,71
terreur,terreur,22
passée,passé,31
",",",",p
les,le,71
colères,colère,22
recommençaient,recommencer,18
/.,/.,P
mais,mais,82
la,le,71
conviction,conviction,22
de,de,81
leur,leur,73
impuissance,impuissance,22
les,le,52
replongeait,replonger,18
bientôt,bientôt,60
dans,dans,81
la,le,71
même,même,75
tristesse,tristesse,22
/.,/.,P
elle,il,51
redoublait,redoubler,18
chaque,chaque,75
soir,soir,21
",",",",p
quand,quand,83
tous,tout,52
",",",",p
montés,monté,31
sur,sur,81
les,le,71
terrasses,terrasse,22
",",",",p
poussaient,pousser,18
",",",",p
en,en,81
s',se,51
inclinant,incliner,13
",",",",p
par,par,81
neuf,neuf,72
fois,fois,22
",",",",p
un,un,71
grand,grand,30
cri,cri,21
",",",",p
pour,pour,81
saluer,saluer,14
le,le,71
soleil,soleil,21
/.,/.,P
il,il,51
s',se,51
abaissait,abaisser,18
derrière,derrière,81
la,le,71
lagune,lagune,22
",",",",p
lentement,lentement,60
",",",",p
puis,puis,60
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
il,il,51
disparaissait,disparaître,18
dans,dans,81
les,le,71
montagnes,montagne,22
",",",",p
du,de,81
du,le,71
côté,côté,21
des,de,81
des,le,71
barbares,barbare,21
/.,/.,P
on,on,51
attendait,attendre,18
la,le,71
fête,fête,22
trois,trois,72
fois,fois,22
sainte,saint,30
où,où,60
",",",",p
du,de,81
du,le,71
haut,haut,21
d',de,81
un,un,71
bûcher,bûcher,21
",",",",p
un,un,71
aigle,aigle,21
s',se,51
envolait,envoler,18
vers,vers,81
le,le,71
ciel,ciel,21
",",",",p
symbole,symbole,21
de,de,81
la,le,71
résurrection,résurrection,22
de,de,81
l',le,71
année,année,22
",",",",p
message,message,21
du,de,81
du,le,71
peuple,peuple,21
à,à,81
son,son,73
Baal,Baal,20
suprême,suprême,30
",",",",p
et,et,82
qu',que,52
il,il,51
considérait,considérer,18
comme,comme,83
une,un,71
sorte,sorte,22
d',de,81
union,union,22
",",",",p
une,un,71
manière,manière,22
de,de,81
se,se,51
rattacher,rattacher,14
à,à,81
la,le,71
force,force,22
du,de,81
du,le,71
soleil,soleil,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
empli,empli,31
de,de,81
haine,haine,22
maintenant,maintenant,60
",",",",p
il,il,51
se,se,51
tournait,tourner,18
naïvement,naïvement,60
vers,vers,81
Moloch,Moloch,20
homicide,homicide,30
",",",",p
et,et,82
tous,tout,52
abandonnaient,abandonner,18
Tanit,Tanit,20
/.,/.,P
en,en,81
effet,effet,21
",",",",p
la,le,71
Rabbetna,Rabbetna,20
",",",",p
n',ne,60
ayant,avoir,13
plus,plus,60
son,son,73
voile,voile,21
",",",",p
était,être,18
comme,comme,83
dépouillée,dépouiller,12
d',de,81
une,un,71
partie,partie,22
de,de,81
sa,son,73
vertu,vertu,22
/.,/.,P
elle,il,51
refusait,refuser,18
la,le,71
bienfaisance,bienfaisance,22
de,de,81
ses,son,73
eaux,eau,22
",",",",p
elle,il,51
avait,avoir,18
déserté,déserter,12
Carthage,Carthage,20
;,;,p
c',ce,52
était,être,18
une,un,71
transfuge,transfuge,21
",",",",p
une,un,71
ennemie,ennemie,22
/.,/.,P
quelques-uns,quelqu'un,52
",",",",p
pour,pour,81
l',le,52
outrager,outrager,14
",",",",p
lui,lui,51
jetaient,jeter,18
des,de,81
des,le,71
pierres,pierre,22
/.,/.,P
mais,mais,82
en,en,81
l',le,52
invectivant,invectiver,13
",",",",p
beaucoup,beaucoup,60
la,le,52
plaignaient,plaindre,18
;,;,p
on,on,51
la,le,52
chérissait,chérir,18
encore,encore,60
et,et,82
plus,plus,60
profondément,profondément,60
peut-être,peut-être,60
/.,/.,P
tous,tout,75
les,le,71
malheurs,malheur,21
venaient,venir,18
donc,donc,82
de,de,81
la,le,71
perte,perte,22
du,de,81
du,le,71
zaïmph,zaïmph,21
/.,/.,P
Salammbô,Salammbô,20
y,y,52
avait,avoir,18
indirectement,indirectement,60
participé,participer,12
;,;,p
on,on,51
la,le,52
comprenait,comprendre,18
dans,dans,81
la,le,71
même,même,75
rancune,rancune,22
;,;,p
elle,il,51
devait,devoir,18
être,être,14
punie,punir,12
/.,/.,P
la,le,71
vague,vague,30
idée,idée,22
d',de,81
une,un,71
immolation,immolation,22
bientôt,bientôt,60
circula,circuler,19
dans,dans,81
le,le,71
peuple,peuple,21
/.,/.,P
pour,pour,81
apaiser,apaiser,14
les,le,71
Baalim,Baalim,20
",",",",p
il,il,51
fallait,falloir,18
sans,sans,81
doute,doute,21
leur,leur,52
offrir,offrir,14
quelque,quelque,75
chose,chose,22
d',de,81
une,un,71
incalculable,incalculable,30
valeur,valeur,22
",",",",p
un,un,71
être,être,21
beau,beau,30
",",",",p
jeune,jeune,30
",",",",p
vierge,vierge,22
",",",",p
d',de,81
antique,antique,30
maison,maison,22
",",",",p
issu,issu,30
des,de,81
des,le,71
dieux,dieu,21
",",",",p
un,un,71
astre,astre,21
humain,humain,30
/.,/.,P
tous,tout,75
les,le,71
jours,jour,21
des,de,81
des,le,71
hommes,homme,21
que,que,52
l',l',94
on,on,51
ne,ne,60
connaissait,connaître,18
pas,pas,60
envahissaient,envahir,18
les,le,71
jardins,jardin,21
de,de,81
Mégara,Mégara,20
;,;,p
les,le,71
esclaves,esclave,21
",",",",p
tremblant,trembler,13
pour,pour,81
eux-mêmes,eux-mêmes,51
",",",",p
n',ne,60
osaient,oser,18
leur,leur,52
résister,résister,14
/.,/.,P
cependant,cependant,82
",",",",p
ils,ils,51
ne,ne,60
dépassaient,dépasser,18
point,point,60
l',le,71
escalier,escalier,21
des,de,81
des,le,71
galères,galère,22
/.,/.,P
ils,ils,51
restaient,rester,18
en,en,81
bas,bas,21
",",",",p
les,le,71
yeux,oeil,21
levés,levé,31
sur,sur,81
la,le,71
dernière,dernier,30
terrasse,terrasse,22
;,;,p
ils,ils,51
attendaient,attendre,18
Salammbô,Salammbô,20
",",",",p
et,et,82
",",",",p
durant,durant,81
des,de,81
des,le,71
heures,heure,22
",",",",p
ils,ils,51
criaient,crier,18
contre,contre,81
elle,il,51
",",",",p
comme,comme,83
des,de,81
des,le,71
chiens,chien,21
qui,qui,52
hurlent,hurler,17
après,après,81
la,le,71
lune,lune,22
/.,/.,P
<Chapitre 10>,<>,<>
le,le,71
serpent,serpent,21
/.,/.,P
ces,ce,74
clameurs,clameur,22
de,de,81
la,le,71
populace,populace,22
n',ne,60
épouvantaient,épouvanter,18
pas,pas,60
la,le,71
fille,fille,22
d',de,81
Hamilcar,Hamilcar,20
/.,/.,P
elle,il,51
était,être,18
troublée,troubler,12
par,par,81
des,de,81
des,le,71
inquiétudes,inquiétude,22
plus,plus,60
hautes,haut,30
:,:,p
son,son,73
grand,grand,30
serpent,serpent,21
",",",",p
le,le,71
Python,Python,20
noir,noir,30
",",",",p
languissait,languir,18
;,;,p
et,et,82
le,le,71
serpent,serpent,21
était,être,18
pour,pour,81
les,le,71
Carthaginois,Carthaginois,20
un,un,71
fétiche,fétiche,21
à,à,81
la,le,71
fois,fois,22
national,national,30
et,et,82
particulier,particulier,30
/.,/.,P
on,on,51
le,le,52
croyait,croire,18
fils,fils,21
du,de,81
du,le,71
limon,limon,21
de,de,81
la,le,71
terre,terre,22
",",",",p
puisqu',puisque,83
il,il,51
émerge,émerger,17
de,de,81
ses,son,73
profondeurs,profondeur,22
et,et,82
n',ne,60
a,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
pieds,pied,21
pour,pour,81
la,le,52
parcourir,parcourir,14
;,;,p
sa,son,73
démarche,démarche,22
rappelait,rappeler,18
les,le,71
ondulations,ondulation,22
des,de,81
des,le,71
fleuves,fleuve,21
",",",",p
sa,son,73
température,température,22
les,le,71
antiques,antique,30
ténèbres,ténèbre,22
visqueuses,visqueux,30
pleines,plein,30
de,de,81
fécondité,fécondité,22
",",",",p
et,et,82
l',le,71
orbe,orbe,21
qu',que,52
il,il,51
décrit,décrire,17
en,en,81
se,se,51
mordant,mordre,13
la,le,71
queue,queue,22
l',le,71
ensemble,ensemble,21
des,de,81
des,le,71
planètes,planète,22
",",",",p
l',le,71
intelligence,intelligence,22
d',de,81
Eschmoûn,Eschmoûn,20
/.,/.,P
celui,celui,52
de,de,81
Salammbô,Salammbô,20
avait,avoir,18
déjà,déjà,60
refusé,refuser,12
plusieurs,plusieurs,75
fois,fois,22
les,le,71
quatre,quatre,72
moineaux,moineau,21
vivants,vivant,30
qu',que,52
on,on,51
lui,lui,51
présentait,présenter,18
à,à,81
la,le,71
pleine,plein,30
lune,lune,22
et,et,82
à,à,81
chaque,chaque,75
nouvelle,nouveau,30
lune,lune,22
/.,/.,P
sa,son,73
belle,beau,30
peau,peau,22
",",",",p
couverte,couvert,31
comme,comme,83
le,le,71
firmament,firmament,21
de,de,81
taches,tache,22
d',de,81
or,or,21
sur,sur,81
un,un,71
fond,fond,21
tout,tout,60
noir,noir,30
",",",",p
était,être,18
jaune,jaune,30
maintenant,maintenant,60
",",",",p
flasque,flasque,30
",",",",p
ridée,ridé,31
et,et,82
trop,trop,60
large,large,30
pour,pour,81
son,son,73
corps,corps,21
;,;,p
une,un,71
moisissure,moisissure,22
cotonneuse,cotonneux,30
étendait,étendre,18
autour,autour,60
de,de,81
sa,son,73
tête,tête,22
;,;,p
et,et,82
dans,dans,81
l',le,71
angle,angle,21
de,de,81
ses,son,73
paupières,paupière,22
",",",",p
on,on,51
apercevait,apercevoir,18
de,de,81
petits,petit,30
points,point,21
rouges,rouge,30
qui,qui,52
paraissaient,paraître,18
remuer,remuer,14
/.,/.,P
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
Salammbô,Salammbô,20
s',se,51
approchait,approcher,18
de,de,81
sa,son,73
corbeille,corbeille,22
en,en,81
fils,fil,21
d',de,81
argent,argent,21
;,;,p
elle,il,51
écartait,écarter,18
la,le,71
courtine,courtine,22
de,de,81
pourpre,pourpre,22
",",",",p
les,le,71
feuilles,feuille,22
de,de,81
lotus,lotus,21
",",",",p
le,le,71
duvet,duvet,22
d',de,81
oiseau,oiseau,21
;,;,p
il,il,51
était,être,18
continuellement,continuellement,60
enroulé,enrouler,12
sur,sur,81
lui-même,lui-même,51
",",",",p
plus,plus,60
immobile,immobile,30
qu',que,83
une,un,71
liane,liane,22
flétrie,flétri,31
;,;,p
et,et,82
",",",",p
à,à,81
force,force,22
de,de,81
le,le,52
regarder,regarder,14
",",",",p
elle,il,51
finissait,finir,18
par,par,81
sentir,sentir,14
dans,dans,81
son,son,73
coeur,coeur,21
comme,comme,83
une,un,71
spirale,spirale,22
",",",",p
comme,comme,83
un,un,71
autre,autre,75
serpent,serpent,21
qui,qui,52
",",",",p
peu,peu,60
à,à,81
peu,peu,60
",",",",p
lui,lui,51
montait,monter,18
à,à,81
la,le,71
gorge,gorge,22
et,et,82
l',le,52
étranglait,étrangler,18
/.,/.,P
elle,il,51
était,être,18
désespérée,désespérer,12
d',de,81
avoir,avoir,14
vu,voir,12
le,le,71
zaïmph,zaïmph,21
",",",",p
et,et,82
cependant,cependant,82
",",",",p
elle,il,51
en,en,52
éprouvait,éprouver,18
une,un,71
sorte,sorte,22
de,de,81
joie,joie,22
",",",",p
un,un,71
orgueil,orgueil,21
intime,intime,30
/.,/.,P
un,un,71
mystère,mystère,21
se,se,51
dérobait,dérober,18
dans,dans,81
la,le,71
splendeur,splendeur,22
de,de,81
ses,son,73
plis,pli,21
;,;,p
c',ce,52
était,être,18
le,le,71
nuage,nuage,21
enveloppant,enveloppant,30
les,le,71
dieux,dieu,21
",",",",p
le,le,71
secret,secret,21
de,de,81
l',le,71
existence,existence,22
universelle,universel,30
",",",",p
et,et,82
Salammbô,Salammbô,20
",",",",p
en,en,81
se,se,51
faisant,faire,13
horreur,horreur,22
à,à,81
elle-même,lui-même,51
",",",",p
regrettait,regretter,18
de,de,81
ne,ne,60
l',le,52
avoir,avoir,14
pas,pas,60
soulevé,soulever,12
/.,/.,P
presque,presque,60
toujours,toujours,60
",",",",p
elle,il,51
était,être,18
accroupie,accroupir,12
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
appartement,appartement,21
",",",",p
tenant,tenir,13
dans,dans,81
ses,son,73
mains,main,22
sa,son,73
jambe,jambe,22
gauche,gauche,30
repliée,replié,31
",",",",p
la,le,71
bouche,bouche,22
entrouverte,entrouvert,31
",",",",p
le,le,71
menton,menton,21
baissé,baissé,31
",",",",p
l',le,71
oeil,oeil,21
fixe,fixer,17
/.,/.,P
elle,il,51
se,se,51
rappelait,rappeler,18
",",",",p
avec,avec,81
épouvante,épouvante,22
",",",",p
la,le,71
figure,figure,22
de,de,81
son,son,73
père,père,21
;,;,p
elle,il,51
voulait,vouloir,18
s',se,51
en,en,52
aller,aller,14
dans,dans,81
les,le,71
montagnes,montagne,22
de,de,81
la,le,71
Phénicie,Phénicie,20
",",",",p
en,en,81
pèlerinage,pèlerinage,21
au,à,81
au,le,71
temple,temple,21
d',de,81
Aphaka,Aphaka,20
",",",",p
où,où,60
Tanit,Tanit,20
est,être,17
descendue,descendre,12
sous,sous,81
la,le,71
forme,forme,22
d',de,81
une,un,71
étoile,étoile,22
;,;,p
toutes,tout,75
sortes,sorte,22
d',de,81
imaginations,imagination,22
l',le,52
attiraient,attirer,18
",",",",p
l',le,52
effrayaient,effrayer,18
;,;,p
d',de,81
ailleurs,ailleurs,60
une,un,71
solitude,solitude,22
chaque,chaque,75
jour,jour,21
plus,plus,60
large,large,30
l',le,52
environnait,environner,18
/.,/.,P
elle,il,51
ne,ne,60
savait,savoir,18
même,même,60
pas,pas,60
ce,ce,52
que,que,52
devenait,devenir,18
Hamilcar,Hamilcar,20
/.,/.,P
enfin,enfin,60
",",",",p
lasse,las,30
de,de,81
ses,son,73
pensées,pensée,22
",",",",p
elle,il,51
se,se,51
levait,lever,18
",",",",p
et,et,82
",",",",p
en,en,81
traînant,traîner,13
ses,son,73
petites,petit,30
sandales,sandale,22
dont,dont,52
la,le,71
semelle,semelle,22
à,à,81
chaque,chaque,75
pas,pas,21
claquait,claquer,18
sur,sur,81
ses,son,73
talons,talon,21
",",",",p
elle,il,51
se,se,51
promenait,promener,18
au,à,81
au,le,71
hasard,hasard,21
dans,dans,81
la,le,71
grande,grand,30
chambre,chambre,22
silencieuse,silencieux,30
/.,/.,P
les,le,71
améthystes,améthyste,22
et,et,82
les,le,71
topazes,topaze,21
du,de,81
du,le,71
plafond,plafond,21
faisaient,faire,18
çà,çà,60
et,et,82
là,là,60
trembler,trembler,14
des,de,81
des,le,71
taches,tache,22
lumineuses,lumineux,30
",",",",p
et,et,82
Salammbô,Salammbô,20
",",",",p
tout,tout,60
en,en,81
marchant,marcher,13
",",",",p
tournait,tourner,18
un,un,71
peu,peu,60
la,le,71
tête,tête,22
pour,pour,81
les,le,52
voir,voir,14
/.,/.,P
elle,il,51
allait,aller,18
prendre,prendre,14
par,par,81
le,le,71
goulot,goulot,21
les,le,71
amphores,amphore,22
suspendues,suspendu,31
;,;,p
elle,il,51
se,se,51
rafraîchissait,rafraîchir,18
la,le,71
poitrine,poitrine,22
sous,sous,81
les,le,71
larges,large,30
éventails,éventail,21
",",",",p
ou,ou,82
bien,bien,60
elle,il,51
s',se,51
amusait,amuser,18
à,à,81
brûler,brûler,14
du,de,81
du,le,71
cinnamome,cinnamome,21
dans,dans,81
des,de,81
des,le,71
perles,perle,22
creuses,creux,30
/.,/.,P
au,à,81
au,le,71
coucher,coucher,21
du,de,81
du,le,71
soleil,soleil,21
",",",",p
Taanach,Taanach,20
retirait,retirer,18
les,le,71
losanges,losange,21
de,de,81
feutre,feutre,21
noir,noir,30
bouchant,boucher,13
les,le,71
ouvertures,ouverture,22
de,de,81
la,le,71
muraille,muraille,22
;,;,p
alors,alors,60
ses,son,73
colombes,colombe,22
",",",",p
frottées,frotté,31
de,de,81
musc,musc,21
comme,comme,83
les,le,71
colombes,colombe,22
de,de,81
Tanit,Tanit,20
",",",",p
tout,tout,60
à,à,81
coup,coup,21
entraient,entrer,18
",",",",p
et,et,82
leurs,leur,73
pattes,patte,22
roses,rose,30
glissaient,glisser,18
sur,sur,81
les,le,71
dalles,dalle,22
de,de,81
verre,verre,21
parmi,parmi,81
les,le,71
grains,grain,21
d',de,81
orge,orge,22
qu',que,52
elle,il,51
leur,leur,52
jetait,jeter,18
à,à,81
pleines,plein,30
poignées,poignée,22
",",",",p
comme,comme,83
un,un,71
semeur,semeur,21
dans,dans,81
un,un,71
champ,champ,21
/.,/.,P
mais,mais,82
soudain,soudain,60
elle,il,51
éclatait,éclater,18
en,en,81
sanglots,sanglot,21
",",",",p
et,et,82
elle,il,51
restait,rester,18
étendue,étendu,31
sur,sur,81
le,le,71
grand,grand,30
lit,lit,21
fait,faire,17
de,de,81
courroies,courroie,22
de,de,81
boeuf,boeuf,21
",",",",p
sans,sans,81
remuer,remuer,14
",",",",p
en,en,81
répétant,répéter,13
un,un,71
mot,mot,21
",",",",p
toujours,toujours,60
le,le,71
même,même,52
",",",",p
les,le,71
yeux,oeil,21
ouverts,ouvert,31
",",",",p
pâle,pâle,30
comme,comme,83
une,un,71
morte,morte,22
",",",",p
insensible,insensible,30
",",",",p
froide,froid,30
;,;,p
-,-,p
et,et,82
cependant,cependant,82
elle,il,51
entendait,entendre,18
le,le,71
cri,cri,21
des,de,81
des,le,71
singes,singe,21
dans,dans,81
les,le,71
touffes,touffe,22
des,de,81
des,le,71
palmiers,palmier,21
",",",",p
avec,avec,81
le,le,71
grincement,grincement,21
continu,continu,30
de,de,81
la,le,71
grande,grand,30
roue,roue,22
qui,qui,52
",",",",p
à,à,81
travers,travers,21
les,le,71
étages,étage,21
",",",",p
amenait,amener,18
un,un,71
flot,flot,21
d',de,81
eau,eau,22
pure,pur,30
dans,dans,81
la,le,71
vasque,vasque,22
de,de,81
porphyre,porphyre,21
/.,/.,P
quelquefois,quelquefois,60
",",",",p
durant,durant,81
plusieurs,plusieurs,75
jours,jour,21
",",",",p
elle,il,51
refusait,refuser,18
de,de,81
manger,manger,14
/.,/.,P
elle,il,51
voyait,voir,18
en,en,81
rêve,rêve,21
des,de,81
des,le,71
astres,astre,21
troubles,trouble,30
qui,qui,52
passaient,passer,18
sous,sous,81
ses,son,73
