11847
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-neuvième extrait>,<>,<>
peuples,peuple,21
/…,/…,P
je,je,51
veux,vouloir,17
l',le,71
abolition,abolition,22
des,de,81
des,le,71
privilèges,privilège,21
",",",",p
des,de,81
des,le,71
titres,titre,21
et,et,82
des,de,81
des,le,71
monopoles,monopole,21
/…,/…,P
je,je,51
veux,vouloir,17
l',le,71
égalité,égalité,22
des,de,81
des,le,71
salaires,salaire,21
",",",",p
la,le,71
répartition,répartition,22
des,de,81
des,le,71
bénéfices,bénéfice,21
",",",",p
la,le,71
glorification,glorification,22
du,de,81
du,le,71
prolétariat,prolétariat,21
/…,/…,P
toutes,tout,75
les,le,71
libertés,liberté,22
",",",",p
entendez,entendre,17
vous,vous,51
!,!,p
toutes,tout,52
!,!,p
et,et,82
le,le,71
divorce,divorce,21
/!,/!,P
oui,oui,60
",",",",p
oui,oui,60
",",",",p
le,le,71
divorce,divorce,21
",",",",p
pour,pour,81
la,le,71
morale,morale,22
!,!,p
appuya,appuyer,19
Boche,Boche,20
/.,/.,P
Poisson,Poisson,20
avait,avoir,18
pris,prendre,12
un,un,71
air,air,21
majestueux,majestueux,30
/.,/.,P
il,il,51
répondit,répondre,19
:,:,p
-,-,p
pourtant,pourtant,60
",",",",p
si,si,83
je,je,51
n',ne,60
en,en,52
veux,vouloir,17
pas,pas,60
de,de,81
vos,votre,73
libertés,liberté,22
",",",",p
je,je,51
suis,être,17
bien,bien,60
libre,libre,30
/.,/.,P
-,-,p
si,si,83
vous,vous,51
n',ne,60
en,en,52
voulez,vouloir,17
pas,pas,60
",",",",p
si,si,83
vous,vous,51
n',ne,60
en,en,52
voulez,vouloir,17
pas,pas,60
…,…,p
bégaya,bégayer,19
Lantier,Lantier,20
",",",",p
que,que,52
la,le,71
passion,passion,22
étranglait,étrangler,18
/.,/.,P
non,non,60
",",",",p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
libre,libre,30
!,!,p
si,si,83
vous,vous,51
n',ne,60
en,en,52
voulez,vouloir,17
pas,pas,60
",",",",p
je,je,51
vous,vous,51
foutrai,foutre,15
à,à,81
Cayenne,Cayenne,20
",",",",p
moi,moi,51
!,!,p
oui,oui,60
",",",",p
à,à,81
Cayenne,Cayenne,20
",",",",p
avec,avec,81
votre,votre,73
empereur,empereur,21
et,et,82
tous,tout,75
les,le,71
cochons,cochon,21
de,de,81
sa,son,73
bande,bande,22
/!,/!,P
ils,ils,51
s',se,51
empoignaient,empoigner,18
ainsi,ainsi,60
",",",",p
à,à,81
chacune,chacun,52
de,de,81
leurs,leur,73
rencontres,rencontre,22
/.,/.,P
Gervaise,Gervaise,20
",",",",p
qui,qui,52
n',ne,60
aimait,aimer,18
pas,pas,60
les,le,71
discussions,discussion,22
",",",",p
intervenait,intervenir,18
d',de,81
ordinaire,ordinaire,21
/.,/.,P
elle,il,51
sortit,sortir,19
de,de,81
la,le,71
torpeur,torpeur,22
où,où,60
la,le,52
plongeait,plonger,18
la,le,71
vue,vue,22
de,de,81
la,le,71
malle,malle,22
",",",",p
toute,tout,60
pleine,plein,30
du,de,81
du,le,71
parfum,parfum,21
gâté,gâté,31
de,de,81
son,son,73
ancien,ancien,30
amour,amour,21
;,;,p
et,et,82
elle,il,51
montra,montrer,19
les,le,71
verres,verre,21
aux,à,81
aux,le,71
trois,trois,72
hommes,homme,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
dit,dire,19
Lantier,Lantier,20
",",",",p
subitement,subitement,60
calmé,calmé,31
",",",",p
prenant,prendre,13
son,son,73
verre,verre,21
/.,/.,P
à,à,81
la,le,71
vôtre,vôtre,52
/.,/.,P
-,-,p
à,à,81
la,le,71
vôtre,vôtre,52
",",",",p
répondirent,répondre,19
Boche,Boche,20
et,et,82
Poisson,Poisson,20
",",",",p
qui,qui,52
trinquèrent,trinquer,19
avec,avec,81
lui,lui,51
/.,/.,P
cependant,cependant,82
",",",",p
Boche,Boche,20
se,se,51
dandinait,dandiner,18
",",",",p
travaillé,travaillé,31
par,par,81
une,un,71
inquiétude,inquiétude,22
",",",",p
regardant,regarder,13
le,le,71
sergent,sergent,21
de,de,81
ville,ville,22
du,de,81
du,le,71
coin,coin,21
de,de,81
l',le,71
oeil,oeil,21
/.,/.,P
-,-,p
tout,tout,75
ça,ça,52
entre,entre,81
nous,nous,51
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
monsieur,monsieur,21
Poisson,Poisson,20
?,?,p
murmura,murmurer,19
t,t,94
il,il,51
enfin,enfin,60
/.,/.,P
on,on,51
vous,vous,51
montre,montrer,17
et,et,82
on,on,51
vous,vous,51
dit,dire,17
des,de,81
des,le,71
choses,chose,22
/…,/…,P
mais,mais,82
Poisson,Poisson,20
ne,ne,60
le,le,52
laissa,laisser,19
pas,pas,60
achever,achever,14
/.,/.,P
il,il,51
mit,mettre,19
la,le,71
main,main,22
sur,sur,81
son,son,73
coeur,coeur,21
",",",",p
comme,comme,83
pour,pour,81
expliquer,expliquer,14
que,que,83
tout,tout,52
restait,rester,18
là,là,60
/.,/.,P
il,il,51
n',ne,60
allait,aller,18
pas,pas,60
moucharder,moucharder,14
des,de,81
des,le,71
amis,ami,21
",",",",p
bien,bien,60
sûr,sûr,30
/.,/.,P
Coupeau,Coupeau,20
étant,être,13
arrivé,arriver,12
",",",",p
on,on,51
vida,vider,19
un,un,71
second,second,72
litre,litre,21
/.,/.,P
le,le,71
sergent,sergent,21
de,de,81
ville,ville,22
fila,filer,19
ensuite,ensuite,60
par,par,81
la,le,71
cour,cour,22
",",",",p
reprit,reprendre,19
sur,sur,81
le,le,71
trottoir,trottoir,21
sa,son,73
marche,marche,22
raide,raide,30
et,et,82
sévère,sévère,30
",",",",p
à,à,81
pas,pas,21
comptés,compté,31
/.,/.,P
dans,dans,81
les,le,71
premiers,premier,72
temps,temps,21
",",",",p
tout,tout,52
fut,être,19
en,en,81
l',le,71
air,air,21
chez,chez,81
la,le,71
blanchisseuse,blanchisseuse,22
/.,/.,P
Lantier,Lantier,20
avait,avoir,18
bien,bien,60
sa,son,73
chambre,chambre,22
séparée,séparé,31
",",",",p
son,son,73
entrée,entrée,22
",",",",p
sa,son,73
clef,clé,22
;,;,p
mais,mais,82
",",",",p
comme,comme,83
au,à,81
au,le,71
dernier,dernier,30
moment,moment,21
on,on,51
s',se,51
était,être,18
décidé,décider,12
à,à,81
ne,ne,60
pas,pas,60
condamner,condamner,14
la,le,71
porte,porte,22
de,de,81
communication,communication,22
",",",",p
il,il,51
arrivait,arriver,18
que,que,83
",",",",p
le,le,71
plus,plus,60
souvent,souvent,60
",",",",p
il,il,51
passait,passer,18
par,par,81
la,le,71
boutique,boutique,22
/.,/.,P
le,le,71
linge,linge,21
sale,sale,30
aussi,aussi,60
embarrassait,embarrasser,18
beaucoup,beaucoup,60
Gervaise,Gervaise,20
",",",",p
car,car,82
son,son,73
mari,mari,21
ne,ne,60
s',se,51
occupait,occuper,18
pas,pas,60
de,de,81
la,le,71
grande,grand,30
caisse,caisse,22
dont,dont,52
il,il,51
avait,avoir,18
parlé,parler,12
;,;,p
et,et,82
elle,il,51
se,se,51
trouvait,trouver,18
réduite,réduit,31
à,à,81
fourrer,fourrer,14
le,le,71
linge,linge,21
un,un,71
peu,peu,60
partout,partout,60
",",",",p
dans,dans,81
les,le,71
coins,coin,21
",",",",p
principalement,principalement,60
sous,sous,81
son,son,73
lit,lit,21
",",",",p
ce,ce,52
qui,qui,52
manquait,manquer,18
d',de,81
agrément,agrément,21
pendant,pendant,81
les,le,71
nuits,nuit,22
d',de,81
été,été,21
/.,/.,P
enfin,enfin,60
",",",",p
elle,il,51
était,être,18
très,très,60
ennuyée,ennuyer,12
d',de,81
avoir,avoir,14
chaque,chaque,75
soir,soir,21
à,à,81
faire,faire,14
le,le,71
lit,lit,21
d',de,81
Etienne,Etienne,20
au,à,81
au,le,71
beau,beau,30
milieu,milieu,21
de,de,81
la,le,71
boutique,boutique,22
;,;,p
lorsque,lorsque,83
les,le,71
ouvrières,ouvrière,22
veillaient,veiller,18
",",",",p
l',le,71
enfant,enfant,21
dormait,dormir,18
sur,sur,81
une,un,71
chaise,chaise,22
",",",",p
en,en,81
attendant,attendre,13
/.,/.,P
aussi,aussi,60
Goujet,Goujet,20
lui,lui,51
ayant,avoir,13
parlé,parler,12
d',de,81
envoyer,envoyer,14
Etienne,Etienne,20
à,à,81
Lille,Lille,20
",",",",p
où,où,60
son,son,73
ancien,ancien,30
patron,patron,21
",",",",p
un,un,71
mécanicien,mécanicien,21
",",",",p
demandait,demander,18
des,de,81
des,le,71
apprentis,apprenti,21
",",",",p
elle,il,51
fut,être,19
séduite,séduire,12
par,par,81
ce,ce,74
projet,projet,21
",",",",p
d'autant,d'autant,60
plus,plus,60
que,que,83
le,le,71
gamin,gamin,21
",",",",p
peu,peu,60
heureux,heureux,30
à,à,81
la,le,71
maison,maison,22
",",",",p
désireux,désireux,30
d',de,81
être,être,14
son,son,73
maître,maître,21
",",",",p
la,le,52
suppliait,supplier,18
de,de,81
consentir,consentir,14
/.,/.,P
seulement,seulement,60
",",",",p
elle,il,51
craignait,craindre,18
un,un,71
refus,refus,21
net,net,30
de,de,81
la,le,71
part,part,22
de,de,81
Lantier,Lantier,20
/.,/.,P
il,il,51
était,être,18
venu,venir,12
habiter,habiter,14
chez,chez,81
eux,ils,51
",",",",p
uniquement,uniquement,60
pour,pour,81
se,se,51
rapprocher,rapprocher,14
de,de,81
son,son,73
fils,fils,21
;,;,p
il,il,51
n',ne,60
allait,aller,18
pas,pas,60
vouloir,vouloir,14
le,le,52
perdre,perdre,14
juste,juste,60
quinze,quinze,72
jours,jour,21
après,après,81
son,son,73
installation,installation,22
/.,/.,P
pourtant,pourtant,60
",",",",p
quand,quand,83
elle,il,51
lui,lui,51
parla,parler,19
en,en,81
tremblant,trembler,13
de,de,81
l',le,71
affaire,affaire,22
",",",",p
il,il,51
approuva,approuver,19
beaucoup,beaucoup,60
l',le,71
idée,idée,22
",",",",p
disant,dire,13
que,que,83
les,le,71
jeunes,jeune,30
ouvriers,ouvrier,21
ont,avoir,17
besoin,besoin,21
de,de,81
voir,voir,14
du,de,81
du,le,71
pays,pays,21
/.,/.,P
le,le,71
matin,matin,21
où,où,60
Etienne,Etienne,20
partit,partir,19
",",",",p
il,il,51
lui,lui,51
fit,faire,19
un,un,71
discours,discours,21
sur,sur,81
ses,son,73
droits,droit,21
",",",",p
puis,puis,60
il,il,51
l',le,52
embrassa,embrasser,19
",",",",p
il,il,51
déclama,déclamer,19
:,:,p
-,-,p
souviens,souvenir,17
toi,toi,51
que,que,83
le,le,71
producteur,producteur,21
n',ne,60
est,être,17
pas,pas,60
un,un,71
esclave,esclave,21
",",",",p
mais,mais,82
que,que,52
quiconque,quiconque,52
n',ne,60
est,être,17
pas,pas,60
un,un,71
producteur,producteur,21
est,être,17
un,un,71
frelon,frelon,21
/.,/.,P
alors,alors,60
",",",",p
le,le,71
train,train,21
train,train,21
de,de,81
la,le,71
maison,maison,22
reprit,reprendre,19
",",",",p
tout,tout,52
se,se,51
calma,calmer,19
et,et,82
s',se,51
assoupit,assoupir,17
dans,dans,81
de,de,81
nouvelles,nouveau,30
habitudes,habitude,22
/.,/.,P
Gervaise,Gervaise,20
s',se,51
était,être,18
accoutumée,accoutumer,12
à,à,81
la,le,71
débandade,débandade,22
du,de,81
du,le,71
linge,linge,21
sale,sale,30
",",",",p
aux,à,81
aux,le,71
allées,allée,22
et,et,82
venues,venue,22
de,de,81
Lantier,Lantier,20
/.,/.,P
celui-ci,celui-ci,52
parlait,parler,18
toujours,toujours,60
de,de,81
ses,son,73
grandes,grand,30
affaires,affaire,22
;,;,p
il,il,51
sortait,sortir,18
parfois,parfois,60
",",",",p
bien,bien,60
peigné,peigné,31
",",",",p
avec,avec,81
du,de,81
du,le,71
linge,linge,21
blanc,blanc,30
",",",",p
disparaissait,disparaître,18
",",",",p
découchait,découcher,18
même,même,60
",",",",p
puis,puis,60
rentrait,rentrer,18
en,en,81
affectant,affecter,13
d',de,81
être,être,14
éreinté,éreinter,12
",",",",p
d',de,81
avoir,avoir,14
la,le,71
tête,tête,22
cassée,cassé,31
",",",",p
comme,comme,83
s',si,83
il,il,51
venait,venir,18
de,de,81
discuter,discuter,14
",",",",p
vingt,vingt,72
quatre,quatre,72
heures,heure,22
durant,durant,81
",",",",p
les,le,71
plus,plus,60
graves,grave,30
intérêts,intérêt,21
/.,/.,P
la,le,71
vérité,vérité,22
était,être,18
qu',que,83
il,il,51
la,le,52
coulait,couler,18
douce,doux,30
/.,/.,P
oh,oh,93
!,!,p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
de,de,81
danger,danger,21
qu',que,52
il,il,51
empoignât,empoigner,18
des,de,81
des,le,71
durillons,durillon,21
aux,à,81
aux,le,71
mains,main,22
/!,/!,P
il,il,51
se,se,51
levait,lever,18
d',de,81
ordinaire,ordinaire,21
vers,vers,81
dix,dix,72
heures,heure,22
",",",",p
faisait,faire,18
une,un,71
promenade,promenade,22
l',le,71
après-midi,après-midi,21
",",",",p
si,si,83
la,le,71
couleur,couleur,22
du,de,81
du,le,71
soleil,soleil,21
lui,lui,51
plaisait,plaire,18
",",",",p
ou,ou,82
bien,bien,60
",",",",p
les,le,71
jours,jour,21
de,de,81
pluie,pluie,22
",",",",p
restait,rester,18
dans,dans,81
la,le,71
boutique,boutique,22
où,où,60
il,il,51
parcourait,parcourir,18
son,son,73
journal,journal,21
/.,/.,P
c',ce,52
était,être,18
son,son,73
milieu,milieu,21
",",",",p
il,il,51
crevait,crever,18
d',de,81
aise,aise,22
parmi,parmi,81
les,le,71
jupes,jupe,22
",",",",p
se,se,51
fourrait,fourrer,18
au,à,81
au,le,71
plus,plus,60
épais,épais,30
des,de,81
des,le,71
femmes,femme,22
",",",",p
adorant,adorer,13
leurs,leur,73
gros,gros,30
mots,mot,21
",",",",p
les,le,52
poussant,pousser,13
à,à,81
en,en,52
dire,dire,14
",",",",p
tout,tout,60
en,en,81
gardant,garder,13
lui-même,lui-même,51
un,un,71
langage,langage,21
choisi,choisi,31
;,;,p
et,et,82
ça,ça,52
expliquait,expliquer,18
pourquoi,pourquoi,60
il,il,51
aimait,aimer,18
tant,tant,60
à,à,81
se,se,51
frotter,frotter,14
aux,à,81
aux,le,71
blanchisseuses,blanchisseuse,22
",",",",p
des,de,81
des,le,71
filles,fille,22
pas,pas,60
bégueules,bégueule,30
/.,/.,P
lorsque,lorsque,83
Clémence,Clémence,20
lui,lui,51
dévidait,dévider,18
son,son,73
chapelet,chapelet,21
",",",",p
il,il,51
demeurait,demeurer,18
tendre,tendre,30
et,et,82
souriant,souriant,30
",",",",p
en,en,81
tordant,tordre,13
ses,son,73
minces,mince,30
moustaches,moustache,22
/.,/.,P
l',le,71
odeur,odeur,22
de,de,81
l',le,71
atelier,atelier,21
",",",",p
ces,ce,74
ouvrières,ouvrière,22
en,en,81
sueur,sueur,22
qui,qui,52
tapaient,taper,18
les,le,71
fers,fer,21
de,de,81
leurs,leur,73
bras,bras,21
nus,nu,30
",",",",p
tout,tout,75
ce,ce,74
coin,coin,21
pareil,pareil,30
à,à,81
une,un,71
alcôve,alcôve,22
où,où,60
traînait,traîner,18
le,le,71
déballage,déballage,21
des,de,81
des,le,71
dames,dame,22
du,de,81
du,le,71
quartier,quartier,21
",",",",p
semblait,sembler,18
être,être,14
pour,pour,81
lui,lui,51
le,le,71
trou,trou,21
rêvé,rêvé,31
",",",",p
un,un,71
refuge,refuge,21
longtemps,longtemps,60
cherché,cherché,31
de,de,81
paresse,paresse,22
et,et,82
de,de,81
jouissance,jouissance,22
/.,/.,P
dans,dans,81
les,le,71
premiers,premier,72
temps,temps,21
",",",",p
Lantier,Lantier,20
mangeait,manger,18
chez,chez,81
François,François,20
",",",",p
au,à,81
au,le,71
coin,coin,21
de,de,81
la,le,71
rue,rue,22
des,de,81
des,le,71
Poissonniers,Poissonniers,20
/.,/.,P
mais,mais,82
",",",",p
sur,sur,81
les,le,71
sept,sept,72
jours,jour,21
de,de,81
la,le,71
semaine,semaine,22
",",",",p
il,il,51
dînait,dîner,18
avec,avec,81
les,le,71
Coupeau,Coupeau,20
trois,trois,72
et,et,82
quatre,quatre,72
fois,fois,22
;,;,p
si,si,60
bien,bien,60
qu',que,83
il,il,51
finit,finir,19
par,par,81
leur,leur,52
offrir,offrir,14
de,de,81
prendre,prendre,14
pension,pension,22
chez,chez,81
eux,ils,51
:,:,p
il,il,51
leur,leur,52
donnerait,donner,16
quinze,quinze,72
francs,franc,21
chaque,chaque,75
samedi,samedi,21
/.,/.,P
alors,alors,60
",",",",p
il,il,51
ne,ne,60
quitta,quitter,19
plus,plus,60
la,le,71
maison,maison,22
",",",",p
il,il,51
s',se,51
installa,installer,19
tout,tout,60
à,à,81
fait,fait,21
/.,/.,P
on,on,51
le,le,52
voyait,voir,18
du,de,81
du,le,71
matin,matin,21
au,à,81
au,le,71
soir,soir,21
aller,aller,14
de,de,81
la,le,71
boutique,boutique,22
à,à,81
la,le,71
chambre,chambre,22
du,de,81
du,le,71
fond,fond,21
",",",",p
en,en,81
bras,bras,21
de,de,81
chemise,chemise,22
",",",",p
haussant,hausser,13
la,le,71
voix,voix,22
",",",",p
ordonnant,ordonner,13
;,;,p
il,il,51
répondait,répondre,18
même,même,60
aux,à,81
aux,le,71
pratiques,pratique,22
",",",",p
il,il,51
menait,mener,18
la,le,71
baraque,baraque,22
/.,/.,P
le,le,71
vin,vin,21
de,de,81
François,François,20
lui,lui,51
ayant,avoir,13
déplu,déplaire,12
",",",",p
il,il,51
persuada,persuader,19
à,à,81
Gervaise,Gervaise,20
d',de,81
acheter,acheter,14
désormais,désormais,60
son,son,73
vin,vin,21
chez,chez,81
Vigouroux,Vigouroux,20
",",",",p
le,le,71
charbonnier,charbonnier,21
d',de,81
à,à,81
côté,côté,21
",",",",p
dont,dont,52
il,il,51
allait,aller,18
pincer,pincer,14
la,le,71
femme,femme,22
avec,avec,81
Boche,Boche,20
",",",",p
en,en,81
faisant,faire,13
les,le,71
commandes,commande,22
/.,/.,P
puis,puis,60
",",",",p
ce,ce,52
fut,être,19
le,le,71
pain,pain,21
de,de,81
Coudeloup,Coudeloup,20
qu',que,52
il,il,51
trouva,trouver,19
mal,mal,60
cuit,cuit,31
;,;,p
et,et,82
il,il,51
envoya,envoyer,19
Augustine,Augustine,20
chercher,chercher,14
le,le,71
pain,pain,21
à,à,81
la,le,71
boulangerie,boulangerie,22
viennoise,viennois,30
du,de,81
du,le,71
faubourg,faubourg,21
Poissonnière,Poissonnière,20
",",",",p
chez,chez,81
Meyer,Meyer,20
/.,/.,P
il,il,51
changea,changer,19
aussi,aussi,60
Lehongre,Lehongre,20
",",",",p
l',le,71
épicier,épicier,21
",",",",p
et,et,82
ne,ne,60
garda,garder,19
que,que,83
le,le,71
boucher,boucher,21
de,de,81
la,le,71
rue,rue,22
Polonceau,Polonceau,20
",",",",p
le,le,71
gros,gros,30
Charles,Charles,20
",",",",p
à,à,81
cause,cause,22
de,de,81
ses,son,73
opinions,opinion,22
politiques,politique,30
/.,/.,P
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
mois,mois,21
",",",",p
il,il,51
voulut,vouloir,19
mettre,mettre,14
toute,tout,75
la,le,71
cuisine,cuisine,22
à,à,81
l',le,71
huile,huile,22
/.,/.,P
comme,comme,83
disait,dire,18
Clémence,Clémence,20
",",",",p
en,en,81
le,le,52
blaguant,blaguer,13
",",",",p
la,le,71
tache,tache,22
d',de,81
huile,huile,22
reparaissait,reparaître,18
quand,quand,83
même,même,60
chez,chez,81
ce,ce,74
sacré,sacré,31
Provençal,Provençal,20
/.,/.,P
il,il,51
faisait,faire,18
lui-même,lui-même,51
les,le,71
omelettes,omelette,22
",",",",p
des,de,81
des,le,71
omelettes,omelette,22
retournées,retourné,31
des,de,81
des,le,71
deux,deux,72
côtés,côté,21
",",",",p
plus,plus,60
rissolées,rissolé,31
que,que,83
des,de,81
des,le,71
crêpes,crêpe,22
",",",",p
si,si,60
fermes,ferme,30
qu',que,83
on,on,51
aurait,avoir,16
dit,dire,12
des,de,81
des,le,71
galettes,galette,22
/.,/.,P
il,il,51
surveillait,surveiller,18
maman,maman,22
Coupeau,Coupeau,20
",",",",p
exigeant,exiger,13
les,le,71
biftecks,bifteck,21
très,très,60
cuits,cuit,31
",",",",p
pareils,pareil,30
à,à,81
des,de,81
des,le,71
semelles,semelle,22
de,de,81
soulier,soulier,21
",",",",p
ajoutant,ajouter,13
de,de,81
l',le,71
ail,ail,21
partout,partout,60
",",",",p
se,se,51
fâchant,fâcher,13
si,si,83
l',l',94
on,on,51
coupait,couper,18
de,de,81
la,le,71
fourniture,fourniture,22
dans,dans,81
la,le,71
salade,salade,22
",",",",p
des,de,81
des,le,71
mauvaises,mauvais,30
herbes,herbe,22
",",",",p
criait,crier,18
il,il,51
",",",",p
parmi,parmi,81
lesquelles,lequel,52
pouvait,pouvoir,18
bien,bien,60
se,se,51
glisser,glisser,14
du,de,81
du,le,71
poison,poison,21
/.,/.,P
mais,mais,82
son,son,73
grand,grand,30
régal,régal,21
était,être,18
un,un,71
certain,certain,75
potage,potage,21
",",",",p
du,de,81
du,le,71
vermicelle,vermicelle,21
cuit,cuit,31
à,à,81
l',le,71
eau,eau,22
",",",",p
très,très,60
épais,épais,30
",",",",p
où,où,60
il,il,51
versait,verser,18
la,le,71
moitié,moitié,22
d',de,81
une,un,71
bouteille,bouteille,22
d',de,81
huile,huile,22
/.,/.,P
lui,lui,51
seul,seul,30
en,en,52
mangeait,manger,18
avec,avec,81
Gervaise,Gervaise,20
",",",",p
parce que,parce que,83
les,le,71
autres,autre,52
",",",",p
les,le,71
Parisiens,Parisien,20
",",",",p
pour,pour,81
s',se,51
être,être,14
un,un,71
jour,jour,21
risqués,risquer,12
à,à,81
y,y,52
goûter,goûter,14
",",",",p
avaient,avoir,18
failli,faillir,12
rendre,rendre,14
tripes,tripe,22
et,et,82
boyaux,boyau,21
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
",",",",p
Lantier,Lantier,20
en,en,52
était,être,18
venu,venir,12
également,également,60
à,à,81
s',se,51
occuper,occuper,14
des,de,81
des,le,71
affaires,affaire,22
de,de,81
la,le,71
famille,famille,22
/.,/.,P
comme,comme,83
les,le,71
Lorilleux,Lorilleux,20
rechignaient,rechigner,18
toujours,toujours,60
pour,pour,81
sortir,sortir,14
de,de,81
leur,leur,73
poche,poche,22
les,le,71
cent,cent,72
sous,sou,21
de,de,81
la,le,71
maman,maman,22
Coupeau,Coupeau,20
",",",",p
il,il,51
avait,avoir,18
expliqué,expliquer,12
qu',que,83
on,on,51
pouvait,pouvoir,18
leur,leur,52
intenter,intenter,14
un,un,71
procès,procès,21
/.,/.,P
est,être,17
ce,ce,52
qu',que,83
ils,ils,51
se,se,51
fichaient,ficher,18
du,de,81
du,le,71
monde,monde,21
!,!,p
c',ce,52
étaient,être,18
dix,dix,72
francs,franc,21
qu',que,52
ils,ils,51
devaient,devoir,18
donner,donner,14
par,par,81
mois,mois,21
/!,/!,P
et,et,82
il,il,51
montait,monter,18
lui-même,lui-même,51
chercher,chercher,14
les,le,71
dix,dix,72
francs,franc,21
",",",",p
d',de,81
un,un,71
air,air,21
si,si,60
hardi,hardi,30
et,et,82
si,si,60
aimable,aimable,30
",",",",p
que,que,83
la,le,71
chaîniste,chaîniste,22
n',ne,60
osait,oser,18
pas,pas,60
les,le,52
refuser,refuser,14
/.,/.,P
maintenant,maintenant,60
",",",",p
madame,madame,22
Lerat,Lerat,20
",",",",p
elle,il,51
aussi,aussi,60
",",",",p
donnait,donner,18
deux,deux,72
pièces,pièce,22
de,de,81
cent,cent,72
sous,sou,21
/.,/.,P
maman,maman,22
Coupeau,Coupeau,20
aurait,avoir,16
baisé,baiser,12
les,le,71
mains,main,22
de,de,81
Lantier,Lantier,20
",",",",p
qui,qui,52
jouait,jouer,18
en,en,81
outre,outre,81
le,le,71
rôle,rôle,21
de,de,81
grand,grand,30
arbitre,arbitre,21
",",",",p
dans,dans,81
les,le,71
querelles,querelle,22
de,de,81
la,le,71
vieille,vieux,30
femme,femme,22
et,et,82
de,de,81
Gervaise,Gervaise,20
/.,/.,P
quand,quand,83
la,le,71
blanchisseuse,blanchisseuse,22
",",",",p
prise,pris,31
d',de,81
impatience,impatience,22
",",",",p
rudoyait,rudoyer,18
sa,son,73
belle-mère,belle-mère,22
",",",",p
et,et,82
que,que,52
celle-ci,celui-ci,52
allait,aller,18
pleurer,pleurer,14
sur,sur,81
son,son,73
lit,lit,21
",",",",p
il,il,51
les,le,52
bousculait,bousculer,18
toutes,tout,75
les,le,71
deux,deux,72
",",",",p
les,le,52
forçait,forcer,18
à,à,81
s',se,51
embrasser,embrasser,14
",",",",p
en,en,81
leur,leur,52
demandant,demander,13
si,si,83
elles,ils,51
croyaient,croire,18
amuser,amuser,14
le,le,71
monde,monde,21
avec,avec,81
leurs,leur,73
bons,bon,30
caractères,caractère,21
/.,/.,P
c',ce,52
était,être,18
comme,comme,83
Nana,Nana,20
:,:,p
on,on,51
l',le,52
élevait,élever,18
joliment,joliment,60
mal,mal,60
",",",",p
à,à,81
son,son,73
avis,avis,21
/.,/.,P
en,en,81
cela,cela,52
",",",",p
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
tort,tort,21
",",",",p
car,car,82
lorsque,lorsque,83
le,le,71
père,père,21
tapait,taper,18
dessus,dessus,60
",",",",p
la,le,71
mère,mère,22
soutenait,soutenir,18
la,le,71
gamine,gamine,22
",",",",p
et,et,82
lorsque,lorsque,83
la,le,71
mère,mère,22
à,à,81
son,son,73
tour,tour,21
cognait,cogner,18
",",",",p
le,le,71
père,père,21
faisait,faire,18
une,un,71
scène,scène,22
/.,/.,P
Nana,Nana,20
",",",",p
ravie,ravi,31
de,de,81
voir,voir,14
ses,son,73
parents,parent,21
se,se,51
manger,manger,14
",",",",p
se,se,51
sentant,sentir,13
excusée,excusé,31
à,à,81
l',le,71
avance,avance,22
",",",",p
commettait,commettre,18
les,le,71
cent,cent,72
dix,dix,72
neuf,neuf,72
coups,coup,21
/.,/.,P
à,à,81
présent,présent,21
",",",",p
elle,il,51
avait,avoir,18
inventé,inventer,12
d',de,81
aller,aller,14
jouer,jouer,14
dans,dans,81
la,le,71
Maréchalerie,Maréchalerie,20
en,en,81
face,face,22
;,;,p
elle,il,51
se,se,51
balançait,balancer,18
la,le,71
journée,journée,22
entière,entier,30
aux,à,81
aux,le,71
brancards,brancard,21
des,de,81
des,le,71
charrettes,charrette,22
;,;,p
elle,il,51
se,se,51
cachait,cacher,18
avec,avec,81
des,de,81
des,le,71
bandes,bande,22
de,de,81
voyous,voyou,21
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
cour,cour,22
blafarde,blafard,30
",",",",p
éclairée,éclairé,31
du,de,81
du,le,71
feu,feu,21
rouge,rouge,30
de,de,81
la,le,71
forge,forge,22
;,;,p
et,et,82
",",",",p
brusquement,brusquement,60
",",",",p
elle,il,51
reparaissait,reparaître,18
",",",",p
courant,courir,13
",",",",p
criant,crier,13
",",",",p
dépeignée,dépeigné,31
et,et,82
barbouillée,barbouillé,31
",",",",p
suivie,suivi,31
de,de,81
la,le,71
queue,queue,22
des,de,81
des,le,71
voyous,voyou,21
",",",",p
comme,comme,83
si,si,83
une,un,71
volée,volée,22
des,de,81
des,le,71
marteaux,marteau,21
venait,venir,18
de,de,81
mettre,mettre,14
ces,ce,74
saloperies,saloperie,22
d',de,81
enfants,enfant,21
en,en,81
fuite,fuite,22
