12010
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-huitième extrait>,<>,<>
",",",",p
ce,ce,52
sera,être,15
comme,comme,83
une,un,71
étreinte,étreinte,22
chaque,chaque,75
jour,jour,21
plus,plus,60
serrée,serré,31
",",",",p
plus,plus,60
complète,complet,30
/!,/!,P
nous,nous,51
n',ne,60
aurons,avoir,15
rien,rien,52
qui,qui,52
nous,nous,51
trouble,troubler,17
",",",",p
pas,pas,60
de,de,81
soucis,souci,21
",",",",p
nul,nul,75
obstacle,obstacle,21
/!,/!,P
nous,nous,51
serons,être,15
seuls,seul,30
",",",",p
tout,tout,52
à,à,81
nous,nous,51
",",",",p
éternellement,éternellement,60
/…,/…,P
parle,parler,17
donc,donc,82
",",",",p
réponds,répondre,17
moi,moi,51
/.,/.,P
il,il,51
répondait,répondre,18
à,à,81
intervalles,intervalle,21
réguliers,régulier,30
:,:,p
“,“,p
oui,oui,60
…,…,p
oui,oui,60
!,!,p
/…,/…,P
“,“,p
elle,il,51
lui,lui,51
avait,avoir,18
passé,passer,12
les,le,71
mains,main,22
dans,dans,81
ses,son,73
cheveux,cheveu,21
",",",",p
et,et,82
elle,il,51
répétait,répéter,18
d',de,81
une,un,71
voix,voix,22
enfantine,enfantin,30
",",",",p
malgré,malgré,81
de,de,81
grosses,gros,30
larmes,larme,22
qui,qui,52
coulaient,couler,18
:,:,p
-,-,p
Rodolphe,Rodolphe,20
/!,/!,P
Rodolphe,Rodolphe,20
!,!,p
/…,/…,P
ah,ah,93
/!,/!,P
Rodolphe,Rodolphe,20
",",",",p
cher,cher,30
petit,petit,30
Rodolphe,Rodolphe,20
/!,/!,P
minuit,minuit,21
sonna,sonner,19
/.,/.,P
-,-,p
minuit,minuit,21
!,!,p
dit,dire,19
elle,il,51
/.,/.,P
allons,aller,17
",",",",p
c',ce,52
est,être,17
demain,demain,60
!,!,p
encore,encore,60
un,un,71
jour,jour,21
/!,/!,P
il,il,51
se,se,51
leva,lever,19
pour,pour,81
partir,partir,14
;,;,p
et,et,82
",",",",p
comme,comme,83
si,si,83
ce,ce,74
geste,geste,21
qu',que,52
il,il,51
faisait,faire,18
eût,avoir,19
été,être,12
le,le,71
signal,signal,21
de,de,81
leur,leur,73
fuite,fuite,22
",",",",p
Emma,Emma,20
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
prenant,prendre,13
un,un,60
air,air,21
gai,gai,30
:,:,p
-,-,p
tu,tu,51
as,avoir,17
les,le,71
passeports,passeport,21
/?,/?,P
-,-,p
oui,oui,60
/.,/.,P
-,-,p
tu,tu,51
n',ne,60
oublies,oublier,17
rien,rien,52
/?,/?,P
-,-,p
non,non,60
/.,/.,P
-,-,p
tu,tu,51
en,en,52
es,être,17
sûr,sûr,30
/?,/?,P
-,-,p
certainement,certainement,60
/.,/.,P
-,-,p
c',ce,52
est,être,17
à,à,81
l',le,71
hôtel,hôtel,21
de,de,81
Provence,Provence,20
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
que,que,83
tu,tu,51
m',je,51
attendras,attendre,15
?,?,p
/…,/…,P
à,à,81
midi,midi,21
/?,/?,P
il,il,51
fit,faire,19
un,un,71
signe,signe,21
de,de,81
tête,tête,22
/.,/.,P
-,-,p
à,à,81
demain,demain,60
",",",",p
donc,donc,82
!,!,p
dit,dire,19
Emma,Emma,20
dans,dans,81
une,un,71
dernière,dernier,30
caresse,caresse,22
/.,/.,P
et,et,82
elle,il,51
le,le,52
regarda,regarder,19
s',se,51
éloigner,éloigner,14
/.,/.,P
il,il,51
ne,ne,60
se,se,51
détournait,détourner,18
pas,pas,60
/.,/.,P
elle,il,51
courut,courir,19
après,après,81
lui,lui,51
",",",",p
et,et,82
",",",",p
se,se,51
penchant,pencher,13
au,à,81
au,le,71
bord,bord,21
de,de,81
l',le,71
eau,eau,22
entre,entre,81
des,de,81
des,le,71
broussailles,broussaille,22
:,:,p
-,-,p
à,à,81
demain,demain,60
!,!,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
/.,/.,P
il,il,51
était,être,18
déjà,déjà,60
de,de,81
l',le,71
autre,autre,75
côté,côté,21
de,de,81
la,le,71
rivière,rivière,22
et,et,82
marchait,marcher,18
vite,vite,60
dans,dans,81
la,le,71
prairie,prairie,22
/.,/.,P
au,à,81
au,le,71
bout,bout,21
de,de,81
quelques,quelque,75
minutes,minute,22
",",",",p
Rodolphe,Rodolphe,20
s',se,51
arrêta,arrêter,19
;,;,p
et,et,82
",",",",p
quand,quand,83
il,il,51
la,le,52
vit,vivre,17
avec,avec,81
son,son,73
vêtement,vêtement,21
blanc,blanc,30
peu,peu,60
à,à,81
peu,peu,60
s',se,51
évanouir,évanouir,14
dans,dans,81
l',le,71
ombre,ombre,22
comme,comme,83
un,un,71
fantôme,fantôme,21
",",",",p
il,il,51
fut,être,19
pris,prendre,12
d',de,81
un,un,71
tel,tel,75
battement,battement,21
de,de,81
coeur,coeur,21
",",",",p
qu',que,83
il,il,51
s',se,51
appuya,appuyer,19
contre,contre,81
un,un,71
arbre,arbre,21
pour,pour,81
ne,ne,60
pas,pas,60
tomber,tomber,14
/.,/.,P
-,-,p
quel,quel,75
imbécile,imbécile,21
je,je,51
suis,être,17
!,!,p
fit,faire,19
il,il,51
en,en,52
jurant,jurer,13
épouvantablement,épouvantablement,60
/.,/.,P
n',ne,60
importe,importer,17
",",",",p
c',ce,52
était,être,18
une,un,71
jolie,joli,30
maîtresse,maîtresse,22
/!,/!,P
et,et,82
",",",",p
aussitôt,aussitôt,60
",",",",p
la,le,71
beauté,beauté,22
d',de,81
Emma,Emma,20
",",",",p
avec,avec,81
tous,tout,75
les,le,71
plaisirs,plaisir,21
de,de,81
cet,ce,74
amour,amour,21
",",",",p
lui,lui,51
réapparurent,réapparaître,19
/.,/.,P
d'abord,d'abord,60
il,il,51
s',se,51
attendrit,attendrir,17
",",",",p
puis,puis,60
il,il,51
se,se,51
révolta,révolter,19
contre,contre,81
elle,il,51
/.,/.,P
-,-,p
car,car,82
enfin,enfin,60
",",",",p
exclamait,exclamer,18
il,il,51
en,en,81
gesticulant,gesticuler,13
",",",",p
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
m',je,51
expatrier,expatrier,14
",",",",p
avoir,avoir,14
la,le,71
charge,charge,22
d',de,81
une,un,52
enfant,enfant,21
/.,/.,P
il,il,51
se,se,51
disait,dire,18
ces,ce,74
choses,chose,22
pour,pour,81
s',se,51
affermir,affermir,14
davantage,davantage,60
/.,/.,P
-,-,p
et,et,82
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
les,le,71
embarras,embarras,21
",",",",p
la,le,71
dépense,dépense,22
/…,/…,P
ah,ah,93
!,!,p
non,non,60
",",",",p
non,non,60
",",",",p
mille,mille,72
fois,fois,22
non,non,60
!,!,p
cela,cela,52
eût,avoir,19
été,être,12
trop,trop,60
bête,bête,30
/!,/!,P
<XIII>,<>,<>
à,à,81
peine,peine,22
arrivé,arrivé,31
chez,chez,81
lui,lui,51
",",",",p
Rodolphe,Rodolphe,20
s',se,51
assit,asseoir,19
brusquement,brusquement,60
à,à,81
son,son,73
bureau,bureau,21
",",",",p
sous,sous,81
la,le,71
tête,tête,22
de,de,81
cerf,cerf,21
faisant,faire,13
trophée,trophée,21
contre,contre,81
la,le,71
muraille,muraille,22
/.,/.,P
mais,mais,82
",",",",p
quand,quand,83
il,il,51
eut,avoir,19
la,le,71
plume,plume,22
entre,entre,81
les,le,71
doigts,doigt,21
",",",",p
il,il,51
ne,ne,60
sut,savoir,19
rien,rien,52
trouver,trouver,14
",",",",p
si,si,60
bien,bien,60
que,que,83
",",",",p
s',se,51
appuyant,appuyer,13
sur,sur,81
les,le,71
deux,deux,72
coudes,coude,21
",",",",p
il,il,51
se,se,51
mit,mettre,19
à,à,81
réfléchir,réfléchir,14
/.,/.,P
Emma,Emma,20
lui,lui,51
semblait,sembler,18
être,être,14
reculée,reculer,12
dans,dans,81
un,un,71
passé,passé,21
lointain,lointain,30
",",",",p
comme,comme,83
si,si,83
la,le,71
résolution,résolution,22
qu',que,52
il,il,51
avait,avoir,18
prise,prendre,12
venait,venir,18
de,de,81
placer,placer,14
entre,entre,81
eux,ils,51
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
un,un,71
immense,immense,30
intervalle,intervalle,21
/.,/.,P
afin,afin,81
de,de,81
ressaisir,ressaisir,14
quelque,quelque,75
chose,chose,22
d',de,81
elle,il,51
",",",",p
il,il,51
alla,aller,19
chercher,chercher,14
dans,dans,81
l',le,71
armoire,armoire,22
",",",",p
au,à,81
au,le,71
chevet,chevet,21
de,de,81
son,son,73
lit,lit,21
",",",",p
une,un,71
vieille,vieux,30
boîte,boîte,22
à,à,81
biscuits,biscuit,21
de,de,81
Reims,Reims,20
où,où,60
il,il,51
enfermait,enfermer,18
d',de,81
habitude,habitude,22
ses,son,73
lettres,lettre,22
de,de,81
femmes,femme,22
",",",",p
et,et,82
il,il,51
s',se,51
en,en,52
échappa,échapper,19
une,un,71
odeur,odeur,22
de,de,81
poussière,poussière,22
humide,humide,30
et,et,82
de,de,81
roses,rose,22
flétries,flétri,31
/.,/.,P
d'abord,d'abord,60
il,il,51
aperçut,apercevoir,19
un,un,71
mouchoir,mouchoir,21
de,de,81
poche,poche,22
",",",",p
couvert,couvert,31
de,de,81
gouttelettes,gouttelette,22
pâles,pâle,30
/.,/.,P
c',ce,52
était,être,18
un,un,71
mouchoir,mouchoir,21
à,à,81
elle,il,51
",",",",p
une,un,71
fois,fois,22
qu',que,83
elle,il,51
avait,avoir,18
saigné,saigner,12
du,de,81
du,le,71
nez,nez,21
",",",",p
en,en,81
promenade,promenade,22
;,;,p
il,il,51
ne,ne,60
s',se,51
en,en,52
souvenait,souvenir,18
plus,plus,60
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
auprès,auprès,60
",",",",p
se,se,51
cognant,cogner,13
à,à,81
tous,tout,75
les,le,71
angles,angle,21
",",",",p
la,le,71
miniature,miniature,22
donnée,donné,31
par,par,81
Emma,Emma,20
;,;,p
sa,son,73
toilette,toilette,22
lui,lui,51
parut,paraître,19
prétentieuse,prétentieux,30
et,et,82
son,son,73
regard,regard,21
en,en,81
coulisse,coulisse,22
du,de,81
du,le,71
plus,plus,60
pitoyable,pitoyable,30
effet,effet,21
;,;,p
puis,puis,60
",",",",p
à,à,81
force,force,22
de,de,81
considérer,considérer,14
cette,ce,74
image,image,22
et,et,82
d',de,81
évoquer,évoquer,14
le,le,71
souvenir,souvenir,21
du,de,81
du,le,71
modèle,modèle,21
",",",",p
les,le,71
traits,trait,21
d',de,81
Emma,Emma,20
peu,peu,60
à,à,81
peu,peu,60
se,se,51
confondirent,confondre,19
en,en,81
sa,son,73
mémoire,mémoire,22
",",",",p
comme,comme,83
si,si,83
la,le,71
figure,figure,22
vivante,vivant,30
et,et,82
la,le,71
figure,figure,22
peinte,peint,31
",",",",p
se,se,51
frottant,frotter,13
l',le,71
une,un,52
contre,contre,81
l',le,71
autre,autre,52
",",",",p
se,se,51
fussent,être,18
réciproquement,réciproquement,60
effacées,effacer,12
/.,/.,P
enfin,enfin,60
il,il,51
lut,lire,19
de,de,81
ses,son,73
lettres,lettre,22
;,;,p
elles,ils,51
étaient,être,18
pleines,plein,30
d',de,81
explications,explication,22
relatives,relatif,30
à,à,81
leur,leur,73
voyage,voyage,21
",",",",p
courtes,court,30
",",",",p
techniques,technique,30
et,et,82
pressantes,pressant,30
comme,comme,83
des,de,81
des,le,71
billets,billet,21
d',de,81
affaires,affaire,22
/.,/.,P
il,il,51
voulut,vouloir,19
revoir,revoir,14
les,le,71
longues,long,30
",",",",p
celles,celui,52
d',de,81
autrefois,autrefois,60
;,;,p
pour,pour,81
les,le,52
trouver,trouver,14
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
boîte,boîte,22
",",",",p
Rodolphe,Rodolphe,20
dérangea,déranger,19
toutes,tout,75
les,le,71
autres,autre,52
;,;,p
et,et,82
machinalement,machinalement,60
il,il,51
se,se,51
mit,mettre,19
à,à,81
fouiller,fouiller,14
dans,dans,81
ce,ce,74
tas,tas,21
de,de,81
papiers,papier,21
et,et,82
de,de,81
choses,chose,22
",",",",p
y,y,52
retrouvant,retrouver,13
pêle-mêle,pêle-mêle,60
des,de,81
des,le,71
bouquets,bouquet,21
",",",",p
une,un,71
jarretière,jarretière,22
",",",",p
un,un,71
masque,masque,21
noir,noir,30
",",",",p
des,de,81
des,le,71
épingles,épingle,22
et,et,82
des,de,81
des,le,71
cheveux,cheveu,21
-,-,p
des,de,81
des,le,71
cheveux,cheveu,21
!,!,p
de,de,81
bruns,brun,30
",",",",p
de,de,81
blonds,blond,21
;,;,p
quelques-uns,quelqu'un,52
même,même,60
",",",",p
s',se,51
accrochant,accrocher,13
à,à,81
la,le,71
ferrure,ferrure,22
de,de,81
la,le,71
boîte,boîte,22
",",",",p
se,se,51
cassaient,casser,18
quand,quand,83
on,on,51
l',le,52
ouvrait,ouvrir,18
/.,/.,P
ainsi,ainsi,60
flânant,flâner,13
parmi,parmi,81
ses,son,73
souvenirs,souvenir,21
",",",",p
il,il,51
examinait,examiner,18
les,le,71
écritures,écriture,22
et,et,82
le,le,71
style,style,21
des,de,81
des,le,71
lettres,lettre,22
",",",",p
aussi,aussi,60
variés,varié,31
que,que,83
leurs,leur,73
orthographes,orthographe,22
/.,/.,P
elles,ils,51
étaient,être,18
tendres,tendre,30
ou,ou,82
joviales,jovial,30
",",",",p
facétieuses,facétieux,30
",",",",p
mélancoliques,mélancolique,30
;,;,p
il,il,51
y,y,52
en,en,52
avait,avoir,18
qui,qui,52
demandaient,demander,18
de,de,81
l',le,71
amour,amour,21
et,et,82
d',de,81
autres,autre,52
qui,qui,52
demandaient,demander,18
de,de,81
l',le,71
argent,argent,21
/.,/.,P
à,à,81
propos,propos,21
d',de,81
un,un,71
mot,mot,21
",",",",p
il,il,51
se,se,51
rappelait,rappeler,18
des,de,81
des,le,71
visages,visage,21
",",",",p
de,de,81
certains,certain,75
gestes,geste,21
",",",",p
un,un,71
son,son,21
de,de,81
voix,voix,22
;,;,p
quelquefois,quelquefois,60
pourtant,pourtant,60
il,il,51
ne,ne,60
se,se,51
rappelait,rappeler,18
rien,rien,52
/.,/.,P
en,en,81
effet,effet,21
",",",",p
ces,ce,74
femmes,femme,22
",",",",p
accourant,accourir,13
à,à,81
la,le,71
fois,fois,22
dans,dans,81
sa,son,73
pensée,pensée,22
",",",",p
s',se,51
y,y,52
gênaient,gêner,18
les,le,71
unes,un,52
les,le,71
autres,autre,52
et,et,82
s',se,51
y,y,52
rapetissaient,rapetisser,18
",",",",p
comme,comme,83
sous,sous,81
un,un,71
même,même,75
niveau,niveau,21
d',de,81
amour,amour,21
qui,qui,52
les,le,52
égalisait,égaliser,18
/.,/.,P
prenant,prendre,13
donc,donc,82
à,à,81
poignée,poignée,22
les,le,71
lettres,lettre,22
confondues,confondu,31
",",",",p
il,il,51
s',se,51
amusa,amuser,19
pendant,pendant,81
quelques,quelque,75
minutes,minute,22
à,à,81
les,le,52
faire,faire,14
tomber,tomber,14
en,en,81
cascades,cascade,22
",",",",p
de,de,81
sa,son,73
main,main,22
droite,droit,30
dans,dans,81
sa,son,73
main,main,22
gauche,gauche,30
/.,/.,P
enfin,enfin,60
",",",",p
ennuyé,ennuyé,31
",",",",p
assoupi,assoupi,31
",",",",p
Rodolphe,Rodolphe,20
alla,aller,19
-,-,p
reporter,reporter,14
la,le,71
boîte,boîte,22
dans,dans,81
l',le,71
armoire,armoire,22
en,en,81
se,se,51
disant,dire,13
:,:,p
-,-,p
quel,quel,75
tas,tas,21
de,de,81
blagues,blague,22
!,!,p
/…,/…,P
ce,ce,52
qui,qui,52
résumait,résumer,18
son,son,73
opinion,opinion,22
;,;,p
car,car,82
les,le,71
plaisirs,plaisir,21
",",",",p
comme,comme,83
des,de,81
des,le,71
écoliers,écolier,21
dans,dans,81
la,le,71
cour,cour,22
d',de,81
un,un,71
collège,collège,21
",",",",p
avaient,avoir,18
tellement,tellement,60
piétiné,piétiner,12
sur,sur,81
son,son,73
coeur,coeur,21
",",",",p
que,que,83
rien,rien,52
de,de,81
vert,vert,30
n',ne,60
y,y,52
poussait,pousser,18
",",",",p
et,et,82
ce,ce,52
qui,qui,52
passait,passer,18
par là,par-là,60
",",",",p
plus,plus,60
étourdi,étourdi,31
que,que,83
les,le,71
enfants,enfant,21
",",",",p
n',ne,60
y,y,52
laissait,laisser,18
pas,pas,60
même,même,60
",",",",p
comme,comme,83
eux,ils,51
",",",",p
son,son,73
nom,nom,21
gravé,gravé,31
sur,sur,81
la,le,71
muraille,muraille,22
/.,/.,P
-,-,p
allons,aller,17
",",",",p
se,se,51
dit,dire,19
il,il,51
",",",",p
commençons,commencer,17
/!,/!,P
il,il,51
écrivit,écrire,19
:,:,p
“,“,p
du,de,81
du,le,71
courage,courage,21
",",",",p
Emma,Emma,20
!,!,p
du,de,81
du,le,71
courage,courage,21
/!,/!,P
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
faire,faire,14
le,le,71
malheur,malheur,21
de,de,81
votre,votre,73
existence,existence,22
/…,/…,P
“,“,p
-,-,p
après,après,81
tout,tout,52
",",",",p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
pensa,penser,19
Rodolphe,Rodolphe,20
;,;,p
j',je,51
agis,agir,17
dans,dans,81
son,son,73
intérêt,intérêt,21
;,;,p
je,je,51
suis,être,17
honnête,honnête,30
/.,/.,P
“,“,p
avez,avoir,17
vous,vous,51
mûrement,mûrement,60
pesé,peser,12
votre,votre,73
détermination,détermination,22
/?,/?,P
savez,savoir,17
vous,vous,51
l',le,71
abîme,abîme,21
où,où,60
je,je,51
vous,vous,51
entraînais,entraîner,18
",",",",p
pauvre,pauvre,30
ange,ange,21
/?,/?,P
non,non,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
vous,vous,51
alliez,aller,17
confiante,confiant,30
et,et,82
folle,fou,30
",",",",p
croyant,croire,13
au,à,81
au,le,71
bonheur,bonheur,21
",",",",p
à,à,81
l',le,71
avenir,avenir,21
/…,/…,P
ah,ah,93
!,!,p
malheureux,malheureux,30
que,que,83
nous,nous,51
sommes,être,17
!,!,p
insensés,insensé,30
!,!,p
“,“,p
Rodolphe,Rodolphe,20
s',se,51
arrêta,arrêter,19
pour,pour,81
trouver,trouver,14
ici,ici,60
quelque,quelque,75
bonne,bon,30
excuse,excuse,22
/.,/.,P
-,-,p
si,si,83
je,je,51
lui,lui,51
disais,dire,18
que,que,83
toute,tout,75
ma,mon,73
fortune,fortune,22
est,être,17
perdue,perdre,12
?,?,p
/…,/…,P
ah,ah,93
!,!,p
non,non,60
",",",",p
et,et,82
d',de,81
ailleurs,ailleurs,60
",",",",p
cela,cela,52
n',ne,60
empêcherait,empêcher,16
rien,rien,52
/.,/.,P
ce,ce,52
serait,être,16
à,à,81
recommencer,recommencer,14
plus,plus,60
tard,tard,60
/.,/.,P
est,être,17
ce,ce,52
qu',que,83
on,on,51
peut,pouvoir,17
faire,faire,14
entendre,entendre,14
raison,raison,22
à,à,81
des,de,81
des,le,71
femmes,femme,22
pareilles,pareil,30
/!,/!,P
il,il,51
réfléchit,réfléchir,17
",",",",p
puis,puis,60
ajouta,ajouter,19
:,:,p
“,“,p
je,je,51
ne,ne,60
vous,vous,51
oublierai,oublier,15
pas,pas,60
",",",",p
croyez,croire,17
le,le,52
bien,bien,60
",",",",p
et,et,82
j',je,51
aurai,avoir,15
continuellement,continuellement,60
pour,pour,81
vous,vous,51
un,un,71
dévouement,dévouement,21
profond,profond,30
;,;,p
mais,mais,82
",",",",p
un,un,71
jour,jour,21
",",",",p
tôt,tôt,60
ou,ou,82
tard,tard,60
",",",",p
cette,ce,74
ardeur,ardeur,22
(,(,p
c',ce,52
est,être,17
là,là,60
le,le,71
sort,sort,21
des,de,81
des,le,71
choses,chose,22
humaines,humain,30
),),p
se,se,51
fût,être,19
diminuée,diminuer,12
",",",",p
sans,sans,81
doute,doute,21
/!,/!,P
il,il,51
nous,nous,51
serait,être,16
venu,venir,12
des,de,81
des,le,71
lassitudes,lassitude,22
",",",",p
et,et,82
qui,qui,52
sait,savoir,17
même,même,60
si,si,83
je,je,51
n',ne,60
aurais,avoir,16
pas,pas,60
eu,avoir,12
l',le,71
atroce,atroce,30
douleur,douleur,22
d',de,81
assister,assister,14
à,à,81
vos,votre,73
remords,remords,21
et,et,82
d',de,81
y,y,52
participer,participer,14
moi-même,moi-même,51
",",",",p
puisque,puisque,83
je,je,51
les,le,52
aurais,avoir,16
causés,causer,12
/.,/.,P
l',le,71
idée,idée,22
seule,seul,30
des,de,81
des,le,71
chagrins,chagrin,21
qui,qui,52
vous,vous,51
arrivent,arriver,17
me,je,51
torture,torturer,17
",",",",p
Emma,Emma,20
/!,/!,P
oubliez,oublier,17
moi,moi,51
/!,/!,P
pourquoi,pourquoi,60
faut,falloir,17
il,il,51
que,que,83
je,je,51
vous,vous,51
aie,avoir,17
connue,connaître,12
/?,/?,P
pourquoi,pourquoi,60
étiez,être,18
vous,vous,51
si,si,60
belle,beau,30
/?,/?,P
est,être,17
ce,ce,52
ma,mon,73
faute,faute,22
/?,/?,P
o,oh,93
mon,mon,73
dieu,dieu,21
!,!,p
non,non,60
",",",",p
non,non,60
",",",",p
n',ne,60
en,en,52
accusez,accuser,17
que,que,83
la,le,71
fatalité,fatalité,22
!,!,p
“,“,p
-,-,p
voilà,voilà,81
un,un,71
mot,mot,21
qui,qui,52
fait,faire,17
toujours,toujours,60
de,de,81
l',le,71
effet,effet,21
",",",",p
se,se,51
dit,dire,19
il,il,51
/.,/.,P
“,“,p
ah,ah,93
!,!,p
si,si,83
vous,vous,51
eussiez,avoir,18
été,être,12
une,un,52
de,de,81
ces,ce,74
femmes,femme,22
au,à,81
au,le,71
coeur,coeur,21
frivole,frivole,30
comme,comme,83
on,on,51
en,en,52
voit,voir,17
",",",",p
certes,certes,60
",",",",p
j',je,51
aurais,avoir,16
pu,pouvoir,12
",",",",p
par,par,81
égoïsme,égoïsme,21
",",",",p
tenter,tenter,14
une,un,71
expérience,expérience,22
alors,alors,60
sans,sans,81
danger,danger,21
pour,pour,81
vous,vous,51
/.,/.,P
mais,mais,82
cette,ce,74
exaltation,exaltation,22
délicieuse,délicieux,30
",",",",p
qui,qui,52
fait,faire,17
à,à,81
la,le,71
fois,fois,22
votre,votre,73
charme,charme,21
et,et,82
votre,votre,73
tourment,tourment,21
",",",",p
vous,vous,51
a,avoir,17
empêchée,empêcher,12
de,de,81
comprendre,comprendre,14
",",",",p
adorable,adorable,30
femme,femme,22
que,que,52
vous,vous,51
êtes,être,17
",",",",p
la,le,71
fausseté,fausseté,22
de,de,81
notre,notre,73
position,position,22
future,futur,30
/.,/.,P
moi,moi,51
non,non,60
plus,plus,60
",",",",p
je,je,51
n',ne,60
y,y,52
avais,avoir,18
pas,pas,60
réfléchi,réfléchir,12
d'abord,d'abord,60
",",",",p
et,et,82
je,je,51
me,je,51
reposais,reposer,18
à,à,81
l',le,71
ombre,ombre,22
de,de,81
ce,ce,74
bonheur,bonheur,21
idéal,idéal,30
",",",",p
comme,comme,83
à,à,81
celle,celui,52
du,de,81
du,le,71
mancenillier,mancenillier,21
",",",",p
sans,sans,81
prévoir,prévoir,14
les,le,71
conséquences,conséquence,22
/.,/.,P
“,“,p
-,-,p
elle,il,51
va,aller,17
peut-être,peut-être,60
croire,croire,14
que,que,83
c',ce,52
est,être,17
par,par,81
avarice,avarice,22
que,que,83
j',je,51
y,y,52
renonce,renoncer,17
/…,/…,P
ah,ah,93
!,!,p
n',ne,60
importe,importer,17
!,!,p
tant,tant,60
pis,pis,60
",",",",p
il,il,51
faut,falloir,17
en,en,52
finir,finir,14
/!,/!,P
“,“,p
le,le,71
monde,monde,21
est,être,17
cruel,cruel,30
",",",",p
Emma,Emma,20
/.,/.,P
partout,partout,60
où,où,60
nous,nous,51
eussions,avoir,18
été,être,12
",",",",p
il,il,51
nous,nous,51
aurait,avoir,16
poursuivis,poursuivre,12
/.,/.,P
il,il,51
vous,vous,51
aurait,avoir,16
fallu,falloir,12
subir,subir,14
les,le,71
questions,question,22
indiscrètes,indiscret,30
",",",",p
la,le,71
calomnie,calomnie,22
",",",",p
le,le,71
dédain,dédain,21
",",",",p
l',le,71
outrage,outrage,21
peut-être,peut-être,60
/.,/.,P
l',le,71
outrage,outrage,21
à,à,81
vous,vous,51
/!,/!,P
oh,oh,93
!,!,p
/…,/…,P
et,et,82
moi,moi,51
qui,qui,52
voudrais,vouloir,16
vous,vous,51
faire,faire,14
asseoir,asseoir,14
sur,sur,81
un,un,71
trône,trône,21
!,!,p
moi,moi,51
qui,qui,52
emporte,emporter,17
votre,votre,73
pensée,pensée,22
comme,comme,83
un,un,71
talisman,talisman,21
/!,/!,P
car,car,82
je,je,51
me,je,51
punis,punir,17
par,par,81
l',le,71
exil,exil,21
de,de,81
tout,tout,75
le,le,71
mal,mal,21
que,que,52
je,je,51
vous,vous,51
ai,avoir,17
fait,faire,12
/.,/.,P
je,je,51
pars,partir,17
/.,/.,P
où,où,60
/?,/?,P
je,je,51
n',ne,60
en,en,52
sais,savoir,17
rien,rien,52
",",",",p
je,je,51
suis,être,17
fou,fou,30
/!,/!,P
adieu,adieu,21
/!,/!,P
soyez,être,17
toujours,toujours,60
bonne,bon,30
/!,/!,P
conservez,conserver,17
le,le,71
souvenir,souvenir,21
du,de,81
du,le,71
malheureux,malheureux,21
qui,qui,52
vous,vous,51
a,avoir,17
perdue,perdre,12
/.,/.,P
apprenez,apprendre,17
mon,mon,73
nom,nom,21
à,à,81
votre,votre,73
enfant,enfant,21
",",",",p
qu',que,52
il,il,51
le,le,52
redise,redire,17
dans,dans,81
ses,son,73
prières,prière,22
/.,/.,P
“,“,p
la,le,71
mèche,mèche,22
des,de,81
des,le,71
deux,deux,72
bougies,bougie,22
tremblait,trembler,18
/.,/.,P
Rodolphe,Rodolphe,20
se,se,51
leva,lever,19
pour,pour,81
aller,aller,14
fermer,fermer,14
la,le,71
fenêtre,fenêtre,22
",",",",p
et,et,82
",",",",p
quand,quand,83
il,il,51
se,se,51
fut,être,19
rassis,rasseoir,12
:,:,p
-,-,p
il,il,51
me,je,51
semble,sembler,17
que,que,83
c',ce,52
est,être,17
tout,tout,52
/.,/.,P
ah,ah,93
!,!,p
encore,encore,60
ceci,ceci,52
",",",",p
de,de,81
peur,peur,22
qu',que,83
elle,il,51
ne,ne,60
vienne,venir,17
à,à,81
me,je,51
relancer,relancer,14
:,:,p
“,“,p
je,je,51
serai,être,16
loin,loin,60
quand,quand,83
vous,vous,51
lirez,lire,15
ces,ce,74
tristes,triste,30
lignes,ligne,22
;,;,p
car,car,82
j',je,51
ai,avoir,17
voulu,vouloir,12
m',je,51
enfuir,enfuir,14
au,à,81
au,le,71
plus,plus,60
vite,vite,60
afin,afin,81
d',de,81
éviter,éviter,14
la,le,71
tentation,tentation,22
de,de,81
vous,vous,51
revoir,revoir,14
/.,/.,P
pas,pas,60
de,de,81
faiblesse,faiblesse,22
/!,/!,P
je,je,51
reviendrai,revenir,15
;,;,p
et,et,82
peut-être,peut-être,60
que,que,83
",",",",p
plus,plus,60
tard,tard,60
",",",",p
nous,nous,51
causerons,causer,15
ensemble,ensemble,60
très,très,60
froidement,froidement,60
de,de,81
nos,notre,73
anciennes,ancien,30
amours,amour,21
/.,/.,P
adieu,adieu,21
!,!,p
“,“,p
et,et,82
il,il,51
y,y,52
avait,avoir,18
un,un,71
dernier,dernier,30
adieu,adieu,21
",",",",p
séparé,séparé,31
