11375
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dixième extrait>,<>,<>
pour,pour,81
tâcher,tâcher,14
de,de,81
persuader,persuader,14
à,à,81
ce,ce,74
brave,brave,30
Brueys,Brueys,20
d',de,81
appareiller,appareiller,14
pour,pour,81
Corfou,Corfou,20
/.,/.,P
Bonaparte,Bonaparte,20
m',je,51
avait,avoir,18
déjà,déjà,60
envoyé,envoyer,12
son,son,73
pauvre,pauvre,30
aide,aide,21
de,de,81
camp,camp,21
Julien,Julien,20
",",",",p
qui,qui,52
eut,avoir,19
la,le,71
sottise,sottise,22
de,de,81
se,se,51
laisser,laisser,14
enlever,enlever,14
par,par,81
les,le,71
Arabes,Arabe,20
/.,/.,P
moi,moi,51
",",",",p
j',je,51
arrivai,arriver,19
",",",",p
mais,mais,82
inutilement,inutilement,60
/.,/.,P
Brueys,Brueys,20
était,être,18
entêté,entêter,12
comme,comme,83
une,un,71
mule,mule,22
/.,/.,P
il,il,51
disait,dire,18
qu',que,83
on,on,51
allait,aller,18
trouver,trouver,14
la,le,71
passe,passe,22
d',de,81
Alexandrie,Alexandrie,20
pour,pour,81
faire,faire,14
entrer,entrer,14
ses,son,73
vaisseaux,vaisseau,21
;,;,p
mais,mais,82
il,il,51
ajouta,ajouter,19
quelques,quelque,75
mots,mot,21
assez,assez,60
fiers,fier,30
qui,qui,52
me,je,51
firent,faire,19
bien,bien,60
voir,voir,14
qu',que,83
au,à,81
au,le,71
fond,fond,21
il,il,51
était,être,18
un,un,71
peu,peu,60
jaloux,jaloux,30
de,de,81
l',le,71
armée,armée,22
de,de,81
terre,terre,22
/.,/.,P
-,-,p
“,“,p
nous,nous,51
prend,prendre,17
on,on,51
pour,pour,81
des,de,81
des,le,71
passeurs,passeur,21
d',de,81
eau,eau,22
?,?,p
me,je,51
dit,dire,19
il,il,51
",",",",p
et,et,82
croit,croire,17
on,on,51
que,que,83
nous,nous,51
ayons,avoir,17
peur,peur,22
des,de,81
des,le,71
Anglais,Anglais,20
/?,/?,P
il,il,51
aurait,avoir,16
mieux,mieux,60
valu,valoir,12
pour,pour,81
la,le,71
France,France,20
qu',que,52
il,il,51
en,en,52
eût,avoir,19
peur,peur,22
/.,/.,P
mais,mais,82
s',si,83
il,il,51
a,avoir,17
fait,faire,12
des,de,81
des,le,71
fautes,faute,22
",",",",p
il,il,51
les,le,52
a,avoir,17
glorieusement,glorieusement,60
expiées,expier,12
;,;,p
et,et,82
je,je,51
puis,pouvoir,17
dire,dire,14
que,que,83
j',je,51
expie,expier,17
ennuyeusement,ennuyeusement,60
celle,celui,52
que,que,52
je,je,51
fis,faire,19
de,de,81
rester,rester,14
à,à,81
son,son,73
bord,bord,21
quand,quand,83
on,on,51
l',le,52
attaqua,attaquer,19
/.,/.,P
Brueys,Brueys,20
fut,être,19
d'abord,d'abord,60
blessé,blesser,12
à,à,81
la,le,71
tête,tête,22
et,et,82
à,à,81
la,le,71
main,main,22
/.,/.,P
il,il,51
continua,continuer,19
le,le,71
combat,combat,21
jusqu',jusque,81
au,à,81
au,le,71
moment,moment,21
où,où,60
un,un,71
boulet,boulet,21
lui,lui,51
arracha,arracher,19
les,le,71
entrailles,entraille,22
/.,/.,P
il,il,51
se,se,51
fit,faire,19
mettre,mettre,14
dans,dans,81
un,un,71
sac,sac,21
de,de,81
son,son,21
et,et,82
mourut,mourir,19
sur,sur,81
son,son,73
banc,banc,21
de,de,81
quart,quart,21
/.,/.,P
nous,nous,51
vîmes,voir,19
clairement,clairement,60
que,que,83
nous,nous,51
allions,aller,18
sauter,sauter,14
vers,vers,81
les,le,71
dix,dix,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
/.,/.,P
ce,ce,52
qui,qui,52
restait,rester,18
de,de,81
l',le,71
équipage,équipage,21
descendit,descendre,19
dans,dans,81
les,le,71
chaloupes,chaloupe,22
et,et,82
se,se,51
sauva,sauver,19
",",",",p
excepté,excepté,81
Casa Bianca,Casa Bianca,20
il,il,51
demeura,demeurer,19
le,le,71
dernier,dernier,30
",",",",p
bien,bien,60
entendu,entendu,31
",",",",p
mais,mais,82
son,son,73
fils,fils,21
",",",",p
un,un,71
beau,beau,30
garçon,garçon,21
",",",",p
que,que,52
tu,tu,51
as,avoir,17
entrevu,entrevoir,12
",",",",p
je,je,51
crois,croire,17
",",",",p
vint,venir,19
me,je,51
trouver,trouver,14
et,et,82
me,je,51
dit,dire,19
:,:,p
“,“,p
citoyen,citoyen,21
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
l',le,71
honneur,honneur,21
veut,vouloir,17
que,que,83
je,je,51
fasse,faire,17
/?,/?,P
pauvre,pauvre,30
petit,petit,21
/!,/!,P
il,il,51
avait,avoir,18
dix,dix,72
ans,an,21
",",",",p
je,je,51
crois,croire,17
",",",",p
et,et,82
cela,cela,52
parlait,parler,18
d',de,81
honneur,honneur,21
dans,dans,81
un,un,71
tel,tel,75
moment,moment,21
/!,/!,P
je,je,51
le,le,52
pris,prendre,19
sur,sur,81
mes,mon,73
genoux,genou,21
dans,dans,81
le,le,71
canot,canot,21
et,et,82
je,je,51
l',le,52
empêchai,empêcher,19
de,de,81
voir,voir,14
sauter,sauter,14
son,son,73
père,père,21
avec,avec,81
le,le,71
pauvre,pauvre,30
Orient,Orient,20
",",",",p
qui,qui,52
s',se,51
éparpilla,éparpiller,19
en,en,81
l',le,71
air,air,21
comme,comme,83
une,un,71
gerbe,gerbe,22
de,de,81
feu,feu,21
/.,/.,P
nous,nous,51
ne,ne,60
sautâmes,sauter,19
pas,pas,60
",",",",p
nous,nous,51
",",",",p
mais,mais,82
nous,nous,51
fûmes,être,19
pris,prendre,12
",",",",p
ce,ce,52
qui,qui,52
est,être,17
bien,bien,60
plus,plus,60
douloureux,douloureux,30
",",",",p
et,et,82
je,je,51
vins,venir,19
à,à,81
Douvres,Douvres,20
",",",",p
sous,sous,81
la,le,71
garde,garde,22
d',de,81
un,un,71
brave,brave,30
capitaine,capitaine,21
anglais,anglais,30
nommé,nommé,31
Collingwood,Collingwood,20
",",",",p
qui,qui,52
commande,commander,17
à,à,81
présent,présent,21
le,le,71
Culloden,Culloden,20
/.,/.,P
c',ce,52
est,être,17
un,un,71
galant,galant,30
homme,homme,21
s',si,83
il,il,51
en,en,52
fut,être,19
",",",",p
qui,qui,52
",",",",p
depuis,depuis,81
<Nombre 1761>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
soixante,soixante,72
et,et,82
un,un,72
<Fin nombre>,<>,<>
qu',que,83
il,il,51
sert,servir,17
dans,dans,81
la,le,71
marine,marine,22
",",",",p
n',ne,60
a,avoir,17
quitté,quitter,12
la,le,71
mer,mer,22
que,que,83
pendant,pendant,81
deux,deux,72
années,année,22
",",",",p
pour,pour,81
se,se,51
marier,marier,14
et,et,82
mettre,mettre,14
au,à,81
au,le,71
monde,monde,21
ses,son,73
deux,deux,72
filles,fille,22
/.,/.,P
ces,ce,74
enfants,enfant,21
",",",",p
dont,dont,52
il,il,51
parle,parler,17
sans,sans,81
cesse,cesse,22
",",",",p
ne,ne,60
le,le,52
connaissent,connaître,17
pas,pas,60
",",",",p
et,et,82
sa,son,73
femme,femme,22
ne,ne,60
connaît,connaître,17
guère,guère,60
que,que,83
par,par,81
ses,son,73
lettres,lettre,22
son,son,73
beau,beau,30
caractère,caractère,21
/.,/.,P
mais,mais,82
je,je,51
sens,sentir,17
bien,bien,60
que,que,83
la,le,71
douleur,douleur,22
de,de,81
cette,ce,74
défaite,défaite,22
d',de,81
Aboukir,Aboukir,20
a,avoir,17
abrégé,abréger,12
mes,mon,73
jours,jour,21
",",",",p
qui,qui,52
n',ne,60
ont,avoir,17
été,être,12
que,que,83
trop,trop,60
longs,long,30
",",",",p
puisque,puisque,83
j',je,51
ai,avoir,17
vu,voir,12
un,un,71
tel,tel,75
désastre,désastre,21
et,et,82
la,le,71
mort,mort,22
de,de,81
mes,mon,73
glorieux,glorieux,30
amis,ami,21
/.,/.,P
mon,mon,73
grand,grand,30
âge,âge,21
a,avoir,17
touché,toucher,12
tout,tout,75
le,le,71
monde,monde,21
ici,ici,60
;,;,p
et,et,82
",",",",p
comme,comme,83
le,le,71
climat,climat,21
de,de,81
l',le,71
Angleterre,Angleterre,20
m',je,51
a,avoir,17
fait,faire,12
tousser,tousser,14
beaucoup,beaucoup,60
et,et,82
a,avoir,17
renouvelé,renouveler,12
toutes,tout,75
mes,mon,73
blessures,blessure,22
au,à,81
au,le,71
point,point,21
de,de,81
me,je,51
priver,priver,14
entièrement,entièrement,60
de,de,81
l',le,71
usage,usage,21
d',de,81
un,un,71
bras,bras,21
",",",",p
le,le,71
bon,bon,30
capitaine,capitaine,21
Collingwood,Collingwood,20
a,avoir,17
demandé,demander,12
et,et,82
obtenu,obtenir,12
pour,pour,81
moi,moi,51
(,(,p
ce,ce,52
qu',que,52
il,il,51
n',ne,60
aurait,avoir,16
pu,pouvoir,12
obtenir,obtenir,14
pour,pour,81
lui-même,lui-même,51
à,à,81
qui,qui,52
la,le,71
terre,terre,22
était,être,18
défendue,défendre,12
),),p
la,le,71
grâce,grâce,22
d',de,81
être,être,14
transféré,transférer,12
en,en,81
Sicile,Sicile,20
",",",",p
sous,sous,81
un,un,71
soleil,soleil,21
plus,plus,60
chaud,chaud,30
et,et,82
un,un,71
ciel,ciel,21
plus,plus,60
pur,pur,30
/.,/.,P
je,je,51
crois,croire,17
bien,bien,60
que,que,83
j',je,51
y,y,52
vais,aller,17
finir,finir,14
;,;,p
car,car,82
soixante,soixante,72
dix,dix,72
huit,huit,72
ans,an,21
",",",",p
sept,sept,72
blessures,blessure,22
",",",",p
des,de,81
des,le,71
chagrins,chagrin,21
profonds,profond,30
et,et,82
la,le,71
captivité,captivité,22
sont,être,17
des,de,81
des,le,71
maladies,maladie,22
incurables,incurable,30
/.,/.,P
je,je,51
n',ne,60
avais,avoir,18
à,à,81
te,tu,51
laisser,laisser,14
que,que,83
mon,mon,73
épée,épée,22
",",",",p
pauvre,pauvre,30
enfant,enfant,21
!,!,p
à,à,81
présent,présent,21
je,je,51
n',ne,60
ai,avoir,17
même,même,60
plus,plus,60
cela,cela,52
",",",",p
car,car,82
un,un,71
prisonnier,prisonnier,21
n',ne,60
a,avoir,17
pas,pas,60
d',de,81
épée,épée,22
/.,/.,P
mais,mais,82
j',je,51
ai,avoir,17
au,à,81
au,le,71
moins,moins,60
un,un,71
conseil,conseil,21
à,à,81
te,tu,51
donner,donner,14
",",",",p
c',ce,52
est,être,17
de,de,81
te,tu,51
défier,défier,14
de,de,81
ton,ton,73
enthousiasme,enthousiasme,21
pour,pour,81
les,le,71
hommes,homme,21
qui,qui,52
parviennent,parvenir,17
vite,vite,60
",",",",p
et,et,82
surtout,surtout,60
pour,pour,81
Bonaparte,Bonaparte,20
/.,/.,P
tel,tel,75
que,que,83
je,je,51
te,tu,51
connais,connaître,17
",",",",p
tu,tu,51
serais,être,16
un,un,71
séide,séide,21
",",",",p
et,et,82
il,il,51
faut,falloir,17
se,se,51
garantir,garantir,14
du,de,81
du,le,71
séidisme,séidisme,21
quand,quand,83
on,on,51
est,être,17
Français,Français,20
",",",",p
c'est-à-dire,c'est-à-dire,91
très,très,60
susceptible,susceptible,30
d',de,81
être,être,14
atteint,atteindre,12
de,de,81
ce,ce,74
mal,mal,21
contagieux,contagieux,30
/.,/.,P
c',ce,52
est,être,17
une,un,71
chose,chose,22
merveilleuse,merveilleux,30
que,que,83
la,le,71
quantité,quantité,22
de,de,81
petits,petit,30
et,et,82
de,de,81
grands,grand,30
tyrans,tyran,21
qu',que,52
il,il,51
a,avoir,17
produits,produire,12
/.,/.,P
nous,nous,51
aimons,aimer,17
les,le,71
fanfarons,fanfaron,30
à,à,81
un,un,71
point,point,21
extrême,extrême,30
et,et,82
nous,nous,51
nous,nous,51
donnons,donner,17
à,à,81
eux,ils,51
de,de,81
si,si,60
bon,bon,30
coeur,coeur,21
que,que,83
nous,nous,51
ne,ne,60
tardons,tarder,17
pas,pas,60
à,à,81
nous,nous,51
en,en,52
mordre,mordre,14
les,le,71
doigts,doigt,21
ensuite,ensuite,60
/.,/.,P
la,le,71
source,source,22
de,de,81
ce,ce,74
défaut,défaut,21
est,être,17
un,un,71
grand,grand,30
besoin,besoin,21
d',de,81
action,action,22
et,et,82
une,un,71
grande,grand,30
paresse,paresse,22
de,de,81
réflexion,réflexion,22
/.,/.,P
il,il,51
s',se,51
ensuit,ensuivre,17
que,que,83
nous,nous,51
aimons,aimer,17
infiniment,infiniment,60
mieux,mieux,60
nous,nous,51
donner,donner,14
corps,corps,21
et,et,82
âme,âme,22
à,à,81
celui,celui,52
qui,qui,52
se,se,51
charge,charger,17
de,de,81
penser,penser,14
pour,pour,81
nous,nous,51
et,et,82
d',de,81
être,être,14
responsable,responsable,30
",",",",p
quitte,quitte,30
à,à,81
rire,rire,14
après,après,81
de,de,81
nous,nous,51
et,et,82
de,de,81
lui,lui,51
/.,/.,P
Bonaparte,Bonaparte,20
est,être,17
un,un,71
bon,bon,30
enfant,enfant,21
",",",",p
mais,mais,82
il,il,51
est,être,17
vraiment,vraiment,60
par,par,81
trop,trop,60
charlatan,charlatan,21
/.,/.,P
je,je,51
crains,craindre,17
qu',que,83
il,il,51
ne,ne,60
devienne,devenir,17
fondateur,fondateur,21
parmi,parmi,81
nous,nous,51
d',de,81
un,un,71
nouveau,nouveau,30
genre,genre,21
de,de,81
jonglerie,jonglerie,22
;,;,p
nous,nous,51
en,en,52
avons,avoir,17
bien,bien,60
assez,assez,60
en,en,81
France,France,20
/.,/.,P
-,-,p
le,le,71
charlatanisme,charlatanisme,21
est,être,17
insolent,insolent,30
et,et,82
corrupteur,corrupteur,30
",",",",p
et,et,82
il,il,51
a,avoir,17
donné,donner,12
de,de,81
tels,tel,75
exemples,exemple,21
dans,dans,81
notre,notre,73
siècle,siècle,21
et,et,82
a,avoir,17
mené,mener,12
si,si,60
grand,grand,30
bruit,bruit,21
du,de,81
du,le,71
tambour,tambour,21
et,et,82
de,de,81
la,le,71
baguette,baguette,22
sur,sur,81
la,le,71
place,place,22
publique,public,30
",",",",p
qu',que,52
il,il,51
s',se,51
est,être,17
glissé,glisser,12
dans,dans,81
toute,tout,75
profession,profession,22
",",",",p
et,et,82
qu',que,52
il,il,51
n',ne,60
y,y,52
a,avoir,17
si,si,60
petit,petit,60
homme,homme,21
qu',que,52
il,il,51
n',ne,60
ait,avoir,17
gonflé,gonfler,12
/.,/.,P
-,-,p
le,le,71
nombre,nombre,21
est,être,17
incalculable,incalculable,30
des,de,81
des,le,71
grenouilles,grenouille,22
qui,qui,52
crèvent,crever,17
/.,/.,P
je,je,51
désire,désirer,17
bien,bien,60
vivement,vivement,60
que,que,83
mon,mon,73
fils,fils,21
n',ne,60
en,en,52
soit,être,17
pas,pas,60
/.,/.,P
je,je,51
suis,être,17
bien,bien,60
aise,aise,22
qu',que,52
il,il,51
m',je,51
ait,avoir,17
tenu,tenir,12
parole,parole,22
en,en,81
se,se,51
chargeant,charger,13
de,de,81
toi,toi,51
",",",",p
comme,comme,83
il,il,51
dit,dire,17
;,;,p
mais,mais,82
ne,ne,60
t',tu,51
y,y,52
fie,fier,17
pas,pas,60
trop,trop,60
/.,/.,P
peu,peu,60
de,de,81
temps,temps,21
après,après,81
la,le,71
triste,triste,30
manière,manière,22
dont,dont,52
je,je,51
quittai,quitter,19
l',le,71
Egypte,Egypte,20
",",",",p
voici,voici,81
la,le,71
scène,scène,22
que,que,52
l',l',94
on,on,51
m',je,51
a,avoir,17
contée,conter,12
et,et,82
qui,qui,52
se,se,51
passa,passer,19
à,à,81
un,un,71
certain,certain,75
dîner,dîner,21
;,;,p
je,je,51
veux,vouloir,17
te,tu,51
la,le,52
dire,dire,14
afin,afin,81
que,que,83
tu,tu,51
y,y,52
penses,penser,17
souvent,souvent,60
:,:,p
le,le,71
<Nombre 1er>,<>,<>
premier,premier,72
<Fin nombre>,<>,<>
vendémiaire,vendémiaire,21
an,an,21
VII,VII,20
",",",",p
étant,être,13
au,à,81
au,le,71
Caire,Caire,20
",",",",p
Bonaparte,Bonaparte,20
",",",",p
membre,membre,21
de,de,81
l',le,71
institut,institut,21
",",",",p
ordonna,ordonner,19
une,un,71
fête,fête,22
civique,civique,30
pour,pour,81
l',le,71
anniversaire,anniversaire,21
de,de,81
l',le,71
établissement,établissement,21
de,de,81
la,le,71
république,république,22
/.,/.,P
la,le,71
garnison,garnison,22
d',de,81
Alexandrie,Alexandrie,20
célébra,célébrer,19
la,le,71
fête,fête,22
autour,autour,60
de,de,81
la,le,71
colonne,colonne,22
de,de,81
Pompée,Pompée,20
",",",",p
sur,sur,81
laquelle,lequel,52
on,on,51
planta,planter,19
le,le,71
drapeau,drapeau,21
tricolore,tricolore,30
;,;,p
l',le,71
aiguille,aiguille,22
de,de,81
Cléopâtre,Cléopâtre,20
fut,être,19
illuminée,illuminer,12
assez,assez,60
mal,mal,60
;,;,p
et,et,82
les,le,71
troupes,troupe,22
de,de,81
la,le,71
haute,haut,30
Egypte,Egypte,20
célébrèrent,célébrer,19
la,le,71
fête,fête,22
",",",",p
le,le,71
mieux,mieux,60
qu',que,83
elles,ils,51
purent,pouvoir,19
",",",",p
entre,entre,81
les,le,71
pylônes,pylône,21
",",",",p
les,le,71
colonnes,colonne,22
",",",",p
les,le,71
cariatides,cariatide,22
de,de,81
Thèbes,Thèbes,20
",",",",p
sur,sur,81
les,le,71
genoux,genou,21
du,de,81
du,le,71
colosse,colosse,21
de,de,81
Memnon,Memnon,20
",",",",p
aux,à,81
aux,le,71
pieds,pied,21
des,de,81
des,le,71
figures,figure,22
de,de,81
Tâma,Tâma,20
et,et,82
de,de,81
Châma,Châma,20
/.,/.,P
le,le,71
premier,premier,72
corps,corps,21
d',de,81
armée,armée,22
fit,faire,19
au,à,81
au,le,71
Caire,Caire,20
ses,son,73
manoeuvres,manoeuvre,22
",",",",p
ses,son,73
courses,course,22
et,et,82
ses,son,73
feux,feu,21
d',de,81
artifices,artifice,21
/.,/.,P
le,le,71
général,général,21
en,en,81
chef,chef,21
avait,avoir,18
invité,inviter,12
à,à,81
dîner,dîner,14
tout,tout,75
l',le,71
état-major,état-major,21
",",",",p
les,le,71
ordonnateurs,ordonnateur,21
",",",",p
les,le,71
savants,savant,21
",",",",p
les,le,71
Kiaya,Kiaya,20
du,de,81
du,le,71
pacha,pacha,21
",",",",p
l',le,71
émir,émir,21
",",",",p
les,le,71
membres,membre,21
du,de,81
du,le,71
divan,divan,21
et,et,82
les,le,71
agas,aga,21
",",",",p
autour,autour,60
d',de,81
une,un,71
table,table,22
de,de,81
cinq,cinq,72
cents,cent,72
couverts,couvert,21
dressée,dressé,31
dans,dans,81
la,le,71
salle,salle,22
basse,bas,30
de,de,81
la,le,71
maison,maison,22
qu',que,52
il,il,51
occupait,occuper,18
sur,sur,81
la,le,71
place,place,22
d',de,81
El-Béquier,El-Béquier,20
;,;,p
le,le,71
bonnet,bonnet,21
de,de,81
la,le,71
liberté,liberté,22
et,et,82
le,le,71
croissant,croissant,21
s',se,51
entrelaçaient,entrelacer,18
amoureusement,amoureusement,60
;,;,p
les,le,71
couleurs,couleur,22
turques,turc,30
et,et,82
françaises,français,30
formaient,former,18
un,un,71
berceau,berceau,21
et,et,82
un,un,71
tapis,tapis,21
fort,fort,60
agréables,agréable,30
sur,sur,81
lesquels,lequel,52
se,se,51
mariaient,marier,18
le,le,71
Koran,Koran,20
et,et,82
la,le,71
table,table,22
des,de,81
des,le,71
droits,droit,21
de,de,81
l',le,71
homme,homme,21
/.,/.,P
après,après,81
que,que,83
les,le,71
convives,convive,21
eurent,avoir,19
bien,bien,60
mangé,manger,12
avec,avec,81
leurs,leur,73
doigts,doigt,21
des,de,81
des,le,71
poulets,poulet,21
et,et,82
du,de,81
du,le,71
riz,riz,21
assaisonnés,assaisonné,31
de,de,81
safran,safran,21
",",",",p
des,de,81
des,le,71
pastèques,pastèque,22
et,et,82
des,de,81
des,le,71
fruits,fruit,21
",",",",p
Bonaparte,Bonaparte,20
",",",",p
qui,qui,52
ne,ne,60
disait,dire,18
rien,rien,52
",",",",p
jeta,jeter,19
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
très,très,60
prompt,prompt,30
sur,sur,81
eux,ils,51
tous,tout,52
/.,/.,P
le,le,71
bon,bon,30
Kléber,Kléber,20
",",",",p
qui,qui,52
était,être,18
couché,coucher,12
à,à,81
côté,côté,21
de,de,81
lui,lui,51
",",",",p
parce qu',parce que,83
il,il,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
ployer,ployer,14
à,à,81
la,le,71
turque,turc,30
ses,son,73
longues,long,30
jambes,jambe,22
",",",",p
donna,donner,19
un,un,71
grand,grand,30
coup,coup,21
de,de,81
coude,coude,21
à,à,81
Abdallah,Abdallah,20
Menou,Menou,20
",",",",p
son,son,73
voisin,voisin,21
",",",",p
et,et,82
lui,lui,51
dit,dire,19
avec,avec,81
un,un,71
accent,accent,21
demi-allemand,demi-allemand,30
:,:,p
“,“,p
tiens,tenir,17
!,!,p
voilà,voilà,81
Ali,Ali,20
Bonaparte,Bonaparte,20
qui,qui,52
va,aller,17
nous,nous,51
faire,faire,14
une,un,52
des,de,81
des,le,71
siennes,sien,52
/.,/.,P
“,“,p
il,il,51
l',le,52
appelait,appeler,18
comme,comme,83
cela,cela,52
",",",",p
parce que,parce que,83
",",",",p
à,à,81
la,le,71
fête,fête,22
de,de,81
Mahomet,Mahomet,20
",",",",p
le,le,71
général,général,21
s',se,51
était,être,18
amusé,amuser,12
à,à,81
prendre,prendre,14
le,le,71
costume,costume,21
oriental,oriental,30
",",",",p
et,et,82
qu',que,83
au,à,81
au,le,71
moment,moment,21
où,où,60
il,il,51
s',se,51
était,être,18
déclaré,déclarer,12
protecteur,protecteur,30
de,de,81
toutes,tout,75
les,le,71
religions,religion,22
",",",",p
on,on,51
lui,lui,51
avait,avoir,18
pompeusement,pompeusement,60
décerné,décerner,12
le,le,71
nom,nom,21
de,de,81
gendre,gendre,21
du,de,81
du,le,71
prophète,prophète,21
",",",",p
et,et,82
on,on,51
l',le,52
avait,avoir,18
nommé,nommer,12
Ali,Ali,20
Bonaparte,Bonaparte,20
/.,/.,P
Kléber,Kléber,20
n',ne,60
avait,avoir,18
pas,pas,60
fini,finir,12
de,de,81
parler,parler,14
",",",",p
et,et,82
passait,passer,18
encore,encore,60
sa,son,73
main,main,22
dans,dans,81
ses,son,73
grands,grand,30
cheveux,cheveu,21
blonds,blond,30
",",",",p
que,que,83
le,le,71
petit,petit,30
Bonaparte,Bonaparte,20
était,être,18
déjà,déjà,60
debout,debout,60
",",",",p
et,et,82
",",",",p
approchant,approcher,13
son,son,73
verre,verre,21
de,de,81
son,son,73
menton,menton,21
maigre,maigre,30
et,et,82
de,de,81
sa,son,73
grosse,gros,30
cravate,cravate,22
",",",",p
il,il,51
dit,dire,19
d',de,81
une,un,71
voix,voix,22
brève,bref,30
",",",",p
claire,clair,30
et,et,82
saccadée,saccadé,31
:,:,p
“,“,p
buvons,boire,17
à,à,81
l',le,71
an,an,21
trois,trois,72
cent,cent,72
de,de,81
la,le,71
république,république,22
française,français,30
/.,/.,P
“,“,p
Kléber,Kléber,20
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
dans,dans,81
l',le,71
épaule,épaule,22
de,de,81
Menou,Menou,20
",",",",p
au,à,81
au,le,71
point,point,21
de,de,81
lui,lui,51
faire,faire,14
verser,verser,14
son,son,73
verre,verre,21
sur,sur,81
un,un,71
vieil,vieux,30
Aga,Aga,20
",",",",p
et,et,82
Bonaparte,Bonaparte,20
les,le,52
regarda,regarder,19
tous,tout,75
deux,deux,72
de,de,81
travers,travers,21
",",",",p
en,en,81
fronçant,froncer,13
le,le,71
sourcil,sourcil,21
/.,/.,P
certainement,certainement,60
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
il,il,51
avait,avoir,18
raison,raison,22
;,;,p
parce que,parce que,83
",",",",p
en,en,81
présence,présence,22
d',de,81
un,un,71
général,général,21
en,en,81
chef,chef,21
",",",",p
un,un,71
général,général,21
de,de,81
division,division,22
ne,ne,60
doit,devoir,17
pas,pas,60
se,se,51
tenir,tenir,14
indécemment,indécemment,60
",",",",p
fût,être,19
ce,ce,52
un,un,71
gaillard,gaillard,21
comme,comme,83
Kléber,Kléber,20
;,;,p
mais,mais,82
eux,ils,51
",",",",p
ils,ils,51
n',ne,60
avaient,avoir,18
pas,pas,60
tout,tout,60
à,à,81
fait,fait,21
tort,tort,21
non,non,60
plus,plus,60
",",",",p
puisque,puisque,83
Bonaparte,Bonaparte,20
",",",",p
à,à,81
l',le,71
heure,heure,22
qu',que,52
il,il,51
est,être,17
",",",",p
s',se,51
appelle,appeler,17
l',le,71
empereur,empereur,21
et,et,82
que,que,83
tu,tu,51
es,être,17
son,son,73
page,page,21
/.,/.,P
<* * * * *>,<>,<>
-,-,p
en,en,81
effet,effet,21
",",",",p
dit,dire,19
le,le,71
capitaine,capitaine,21
Renaud,Renaud,20
en,en,81
reprenant,reprendre,13
la,le,71
lettre,lettre,22
de,de,81
mes,mon,73
mains,main,22
",",",",p
je,je,51
venais,venir,18
d',de,81
être,être,14
nommé,nommer,12
page,page,21
de,de,81
l',le,71
empereur,empereur,21
en,en,81
<Nombre 1804>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quatre,quatre,72
<Fin nombre>,<>,<>
/.,/.,P
-,-,p
ah,ah,93
!,!,p
la,le,71
terrible,terrible,30
année,année,22
que,que,52
celle-là,celui-là,52
!,!,p
de,de,81
quels,quel,75
événements,événement,21
elle,il,51
était,être,18
chargée,charger,12
quand,quand,83
elle,il,51
nous,nous,51
arriva,arriver,19
",",",",p
et,et,82
comme,comme,83
je,je,51
l',le,52
aurais,avoir,16
considérée,considérer,12
avec,avec,81
attention,attention,22
",",",",p
si,si,83
j',je,51
avais,avoir,18
su,savoir,12
alors,alors,60
considérer,considérer,14
quelque,quelque,75
chose,chose,22
/!,/!,P
mais,mais,82
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
d',de,81
yeux,oeil,21
pour,pour,81
voir,voir,14
",",",",p
pas,pas,60
d',de,81
oreilles,oreille,22
pour,pour,81
entendre,entendre,14
autre,autre,75
chose,chose,22
que,que,83
les,le,71
actions,action,22
de,de,81
l',le,71
empereur,empereur,21
",",",",p
la,le,71
voix,voix,22
de,de,81
l',le,71
empereur,empereur,21
",",",",p
les,le,71
gestes,geste,21
de,de,81
l',le,71
empereur,empereur,21
",",",",p
les,le,71
pas,pas,21
de,de,81
l',le,71
empereur,empereur,21
/.,/.,P
son,son,73
approche,approche,22
m',je,51
enivrait,enivrer,18
",",",",p
sa,son,73
présence,présence,22
me,je,51
magnétisait,magnétiser,18
/.,/.,P
la,le,71
gloire,gloire,22
d',de,81
être,être,14
attaché,attacher,12
à,à,81
cet,ce,74
homme,homme,21
me,je,51
semblait,sembler,18
la,le,71
plus,plus,60
grande,grand,30
chose,chose,22
qui,qui,52
fût,être,19
au,à,81
au,le,71
monde,monde,21
",",",",p
et,et,82
jamais,jamais,60
un,un,71
amant,amant,21
n',ne,60
a,avoir,17
senti,sentir,12
l',le,71
ascendant,ascendant,21
de,de,81
sa,son,73
maîtresse,maîtresse,22
avec,avec,81
des,de,81
des,le,71
émotions,émotion,22
plus,plus,60
vives,vif,30
et,et,82
plus,plus,60
écrasantes,écrasant,30
que,que,83
celles,celui,52
que,que,52
sa,son,73
vue,vue,22
me,je,51
donnait,donner,18
chaque,chaque,75
jour,jour,21
/.,/.,P
-,-,p
l',le,71
admiration,admiration,22
d',de,81
un,un,71
chef,chef,21
militaire,militaire,30
