11655
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-troisième extrait>,<>,<>
êtres,être,21
",",",",p
mais,mais,82
à,à,81
une,un,71
sorte,sorte,22
de,de,81
germe,germe,21
qu',que,52
on,on,51
porte,porter,17
en,en,81
soi,soi,51
et,et,82
qui,qui,52
se,se,51
développe,développer,17
tout,tout,60
à,à,81
coup,coup,21
/.,/.,P
elle,il,51
avait,avoir,18
écouté,écouter,12
des,de,81
des,le,71
confidences,confidence,22
",",",",p
elle,il,51
avait,avoir,18
surpris,surprendre,12
des,de,81
des,le,71
secrets,secret,21
",",",",p
elle,il,51
avait,avoir,18
même,même,60
vu,voir,12
",",",",p
de,de,81
ses,son,73
yeux,oeil,21
",",",",p
la,le,71
transfiguration,transfiguration,22
subite,subit,30
venue,venu,31
de,de,81
cette,ce,74
ivresse,ivresse,22
éclatant,éclater,13
dans,dans,81
une,un,71
âme,âme,22
",",",",p
et,et,82
elle,il,51
y,y,52
avait,avoir,18
songé,songer,12
beaucoup,beaucoup,60
/.,/.,P
dans,dans,81
le,le,71
monde,monde,21
",",",",p
dans,dans,81
le,le,71
train-train,train-train,21
courant,courant,30
des,de,81
des,le,71
visites,visite,22
",",",",p
des,de,81
des,le,71
potins,potin,21
",",",",p
de,de,81
toutes,tout,75
les,le,71
petites,petit,30
bêtises,bêtise,22
dont,dont,52
on,on,51
s',se,51
amuse,amuser,17
",",",",p
dont,dont,52
on,on,51
occupe,occuper,17
les,le,71
riches,riche,30
désoeuvrements,désoeuvrement,21
",",",",p
elle,il,51
avait,avoir,18
découvert,découvrir,12
parfois,parfois,60
",",",",p
avec,avec,81
une,un,71
surprise,surprise,22
envieuse,envieux,30
",",",",p
jalouse,jaloux,30
et,et,82
presque,presque,60
incrédule,incrédule,30
",",",",p
des,de,81
des,le,71
êtres,être,21
",",",",p
des,de,81
des,le,71
femmes,femme,22
",",",",p
des,de,81
des,le,71
hommes,homme,21
en,en,81
qui,qui,52
quelque,quelque,75
chose,chose,22
d',de,81
extraordinaire,extraordinaire,30
sans,sans,81
aucun,aucun,75
doute,doute,21
s',se,51
était,être,18
produit,produire,12
/.,/.,P
cela,cela,52
ne,ne,60
se,se,51
voyait,voir,18
point,point,60
d',de,81
une,un,71
façon,façon,22
manifeste,manifeste,30
",",",",p
éclatante,éclatant,30
;,;,p
mais,mais,82
",",",",p
avec,avec,81
son,son,73
flair,flair,21
inquiet,inquiet,30
",",",",p
elle,il,51
le,le,52
sentait,sentir,18
et,et,82
le,le,52
devinait,deviner,18
/.,/.,P
sur,sur,81
leur,leur,73
visage,visage,21
",",",",p
dans,dans,81
leur,leur,73
sourire,sourire,21
",",",",p
dans,dans,81
leurs,leur,73
yeux,oeil,21
surtout,surtout,60
",",",",p
quelque,quelque,75
chose,chose,22
d',de,81
inexprimable,inexprimable,30
",",",",p
de,de,81
ravi,ravi,31
",",",",p
de,de,81
délicieusement,délicieusement,60
heureux,heureux,30
apparaissait,apparaître,18
",",",",p
une,un,71
joie,joie,22
de,de,81
l',le,71
âme,âme,22
répandue,répandu,31
dans,dans,81
tout,tout,75
le,le,71
corps,corps,21
lui-même,lui-même,51
",",",",p
illuminant,illuminer,13
la,le,71
chair,chair,22
et,et,82
le,le,71
regard,regard,21
/.,/.,P
sans,sans,81
savoir,savoir,14
pourquoi,pourquoi,60
",",",",p
elle,il,51
leur,leur,52
en,en,52
voulait,vouloir,18
/.,/.,P
les,le,71
amoureux,amoureux,21
l',le,52
avaient,avoir,18
toujours,toujours,60
fâchée,fâcher,12
",",",",p
et,et,82
elle,il,51
qualifiait,qualifier,18
en,en,81
elle-même,lui-même,51
de,de,81
dédain,dédain,21
cette,ce,74
irritation,irritation,22
sourde,sourd,30
et,et,82
profonde,profond,30
que,que,52
lui,lui,51
inspiraient,inspirer,18
les,le,71
gens,gens,21
dont,dont,52
le,le,71
coeur,coeur,21
battait,battre,18
de,de,81
passion,passion,22
/.,/.,P
elle,il,51
les,le,52
reconnaissait,reconnaître,18
",",",",p
croyait,croire,18
elle,il,51
",",",",p
avec,avec,81
une,un,71
promptitude,promptitude,22
et,et,82
une,un,71
sûreté,sûreté,22
de,de,81
pénétration,pénétration,22
exceptionnelle,exceptionnel,30
/.,/.,P
souvent,souvent,60
",",",",p
en,en,81
effet,effet,21
",",",",p
elle,il,51
avait,avoir,18
flairé,flairer,12
et,et,82
dévoilé,dévoiler,12
des,de,81
des,le,71
liaisons,liaison,22
avant,avant,81
que,que,83
dans,dans,81
la,le,71
société,société,22
on,on,51
les,le,52
eût,avoir,19
encore,encore,60
soupçonnées,soupçonner,12
/.,/.,P
quand,quand,83
elle,il,51
songeait,songer,18
à,à,81
cela,cela,52
",",",",p
à,à,81
cette,ce,74
folie,folie,22
tendre,tendre,30
où,où,60
pouvait,pouvoir,18
nous,nous,51
jeter,jeter,14
l',le,71
existence,existence,22
voisine,voisiner,17
d',de,81
un,un,71
autre,autre,52
être,être,14
",",",",p
sa,son,73
vue,vue,22
",",",",p
sa,son,73
parole,parole,22
",",",",p
sa,son,73
pensée,pensée,22
",",",",p
le,le,71
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
de,de,81
l',le,71
intime,intime,21
personne,personne,22
dont,dont,52
notre,notre,73
coeur,coeur,21
devient,devenir,17
éperdument,éperdument,60
troublé,troublé,31
",",",",p
elle,il,51
s',se,51
en,en,52
jugeait,juger,18
incapable,incapable,30
/.,/.,P
et,et,82
cependant,cependant,82
",",",",p
que,que,83
de,de,81
fois,fois,22
",",",",p
lasse,las,30
de,de,81
tout,tout,52
et,et,82
rêvant,rêver,13
à,à,81
d',de,81
inexprimables,inexprimable,30
désirs,désir,21
",",",",p
tourmentée,tourmenté,31
par,par,81
cette,ce,74
harcelante,harcelant,30
envie,envier,17
de,de,81
changement,changement,21
et,et,82
d',de,81
inconnu,inconnu,21
qui,qui,52
n',ne,60
était,être,18
peut-être,peut-être,60
que,que,83
l',le,71
agitation,agitation,22
obscure,obscur,30
d',de,81
une,un,71
indéfinie,indéfini,30
recherche,rechercher,17
d',de,81
affection,affection,22
",",",",p
elle,il,51
avait,avoir,18
souhaité,souhaiter,12
",",",",p
avec,avec,81
une,un,71
honte,honte,22
secrète,secret,30
née,né,31
dans,dans,81
son,son,73
orgueil,orgueil,21
",",",",p
de,de,81
rencontrer,rencontrer,14
un,un,71
homme,homme,21
qui,qui,52
la,le,52
jetterait,jeter,16
",",",",p
ne,ne,60
fût,être,19
ce,ce,52
que,que,83
pendant,pendant,81
quelque,quelque,75
temps,temps,21
",",",",p
quelques,quelque,75
mois,mois,21
",",",",p
dans,dans,81
cette,ce,74
surexcitation,surexcitation,22
ensorcelante,ensorcelant,30
de,de,81
toute,tout,75
la,le,71
pensée,pensée,22
et,et,82
de,de,81
tout,tout,75
le,le,71
corps,corps,21
;,;,p
car,car,82
la,le,71
vie,vie,22
",",",",p
en,en,81
ces,ce,74
périodes,période,22
d',de,81
émotion,émotion,22
",",",",p
devait,devoir,18
prendre,prendre,14
un,un,71
étrange,étrange,30
attrait,attrait,21
d',de,81
extase,extase,22
et,et,82
d',de,81
ivresse,ivresse,22
/.,/.,P
non,non,60
seulement,seulement,60
elle,il,51
avait,avoir,18
souhaité,souhaiter,12
cette,ce,74
rencontre,rencontre,22
",",",",p
mais,mais,82
elle,il,51
l',le,52
avait,avoir,18
même,même,60
un,un,71
peu,peu,60
cherchée,chercher,12
",",",",p
rien,rien,52
qu',que,83
un,un,71
peu,peu,60
",",",",p
avec,avec,81
cette,ce,74
activité,activité,22
indolente,indolent,30
qui,qui,52
ne,ne,60
s',se,51
arrêtait,arrêter,18
longtemps,longtemps,60
à,à,81
rien,rien,52
/.,/.,P
en,en,81
tous,tout,75
ses,son,73
commencements,commencement,21
d',de,81
entraînement,entraînement,21
vers,vers,81
les,le,71
hommes,homme,21
qualifiés,qualifié,31
supérieurs,supérieur,30
qui,qui,52
l',le,52
avaient,avoir,18
éblouie,éblouir,12
durant,durant,81
quelques,quelque,75
semaines,semaine,22
",",",",p
c',ce,52
était,être,18
toujours,toujours,60
en,en,81
des,de,81
des,le,71
déceptions,déception,22
irrémédiables,irrémédiable,30
que,que,83
sa,son,73
courte,court,30
effervescence,effervescence,22
de,de,81
coeur,coeur,21
était,être,18
morte,mourir,12
/.,/.,P
elle,il,51
attendait,attendre,18
trop,trop,60
de,de,81
leur,leur,73
valeur,valeur,22
",",",",p
de,de,81
leur,leur,73
nature,nature,22
",",",",p
de,de,81
leur,leur,73
caractère,caractère,21
",",",",p
de,de,81
leur,leur,73
délicatesse,délicatesse,22
",",",",p
de,de,81
leurs,leur,73
qualités,qualité,22
/.,/.,P
avec,avec,81
chacun,chacun,52
d',de,81
eux,ils,51
elle,il,51
en,en,52
avait,avoir,18
été,être,12
toujours,toujours,60
réduite,réduire,12
à,à,81
constater,constater,14
que,que,83
les,le,71
défauts,défaut,21
des,de,81
des,le,71
hommes,homme,21
éminents,éminent,30
sont,être,17
souvent,souvent,60
plus,plus,60
saillants,saillant,30
que,que,83
leurs,leur,73
mérites,mérite,21
",",",",p
que,que,83
le,le,71
talent,talent,21
est,être,17
un,un,71
don,don,21
spécial,spécial,30
",",",",p
comme,comme,83
une,un,71
bonne,bon,30
vue,vue,22
et,et,82
un,un,71
bon,bon,30
estomac,estomac,21
",",",",p
un,un,71
don,don,21
de,de,81
cabinet,cabinet,21
de,de,81
travail,travail,21
",",",",p
un,un,71
don,don,21
isolé,isolé,31
",",",",p
sans,sans,81
rapports,rapport,21
avec,avec,81
l',le,71
ensemble,ensemble,21
des,de,81
des,le,71
agréments,agrément,21
personnels,personnel,30
qui,qui,52
rendent,rendre,17
cordiales,cordial,30
ou,ou,82
attrayantes,attrayant,30
les,le,71
relations,relation,22
/.,/.,P
mais,mais,82
",",",",p
depuis,depuis,81
qu',que,83
elle,il,51
avait,avoir,18
rencontré,rencontrer,12
Mariolle,Mariolle,20
",",",",p
autre,autre,75
chose,chose,22
l',le,52
attachait,attacher,18
à,à,81
lui,lui,51
/.,/.,P
l',le,52
aimait,aimer,18
elle,il,51
cependant,cependant,82
",",",",p
l',le,52
aimait,aimer,18
elle,il,51
d',de,81
amour,amour,21
/?,/?,P
sans,sans,81
prestige,prestige,21
",",",",p
sans,sans,81
notoriété,notoriété,22
",",",",p
il,il,51
l',le,52
avait,avoir,18
conquise,conquérir,12
par,par,81
son,son,73
affection,affection,22
",",",",p
par,par,81
sa,son,73
tendresse,tendresse,22
",",",",p
par,par,81
son,son,73
intelligence,intelligence,22
",",",",p
par,par,81
toutes,tout,75
les,le,71
véritables,véritable,30
et,et,82
simples,simple,30
attractions,attraction,22
de,de,81
sa,son,73
personne,personne,22
/.,/.,P
il,il,51
l',le,52
avait,avoir,18
conquise,conquérir,12
",",",",p
car,car,82
elle,il,51
pensait,penser,18
à,à,81
lui,lui,51
sans,sans,81
cesse,cesse,22
;,;,p
sans,sans,81
cesse,cesse,22
elle,il,51
désirait,désirer,18
sa,son,73
présence,présence,22
;,;,p
aucun,aucun,75
être,être,21
au,à,81
au,le,71
monde,monde,21
ne,ne,60
lui,lui,51
était,être,18
plus,plus,60
agréable,agréable,30
",",",",p
plus,plus,60
sympathique,sympathique,30
",",",",p
plus,plus,60
indispensable,indispensable,30
/.,/.,P
était,être,18
ce,ce,52
de,de,81
l',le,71
amour,amour,21
cela,cela,52
/?,/?,P
elle,il,51
ne,ne,60
se,se,51
sentait,sentir,18
point,point,60
à,à,81
l',le,71
âme,âme,22
cette,ce,74
flamme,flamme,22
dont,dont,52
tout,tout,75
le,le,71
monde,monde,21
parle,parler,17
",",",",p
mais,mais,82
elle,il,51
s',se,51
y,y,52
sentait,sentir,18
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
une,un,71
envie,envie,22
sincère,sincère,30
d',de,81
être,être,14
pour,pour,81
cet,ce,74
homme,homme,21
quelque,quelque,75
chose,chose,22
de,de,81
plus,plus,60
qu',que,83
une,un,71
amie,amie,22
séduisante,séduisant,30
/.,/.,P
l',le,52
aimait,aimer,18
elle,il,51
/?,/?,P
pour,pour,81
aimer,aimer,14
",",",",p
faut,falloir,17
il,il,51
qu',que,83
un,un,71
être,être,21
apparaisse,apparaître,17
rempli,rempli,31
d',de,81
exceptionnelles,exceptionnel,30
attirances,attirance,22
",",",",p
différent,différent,30
et,et,82
au-dessus,au-dessus,60
de,de,81
tous,tout,52
",",",",p
dans,dans,81
l',le,71
auréole,auréole,22
que,que,52
le,le,71
coeur,coeur,21
allume,allumer,17
autour,autour,60
de,de,81
ses,son,73
préférés,préféré,21
",",",",p
ou,ou,82
suffit,suffire,17
il,il,51
qu',que,83
il,il,51
vous,vous,51
plaise,plaire,17
beaucoup,beaucoup,60
",",",",p
qu',que,52
il,il,51
vous,vous,51
plaise,plaire,17
à,à,81
ne,ne,60
pouvoir,pouvoir,14
presque,presque,60
plus,plus,60
se,se,51
passer,passer,14
de,de,81
lui,lui,51
/?,/?,P
en,en,81
ce,ce,74
cas,cas,21
",",",",p
elle,il,51
l',le,52
aimait,aimer,18
",",",",p
ou,ou,82
",",",",p
du,de,81
du,le,71
moins,moins,60
",",",",p
elle,il,51
était,être,18
bien,bien,60
près,près,81
de,de,81
l',le,52
aimer,aimer,14
/.,/.,P
après,après,81
y,y,52
avoir,avoir,14
réfléchi,réfléchir,12
profondément,profondément,60
",",",",p
avec,avec,81
une,un,71
attention,attention,22
aiguë,aigu,30
",",",",p
elle,il,51
se,se,51
répondit,répondre,19
enfin,enfin,60
:,:,p
“,“,p
oui,oui,60
",",",",p
je,je,51
l',le,52
aime,aimer,17
",",",",p
mais,mais,82
je,je,51
manque,manquer,17
d',de,81
élan,élan,21
:,:,p
c',ce,52
est,être,17
la,le,71
faute,faute,22
de,de,81
ma,mon,73
nature,nature,22
/.,/.,P
“,“,p
de,de,81
l',le,71
élan,élan,21
",",",",p
elle,il,51
s',se,51
en,en,52
était,être,18
pourtant,pourtant,60
senti,senti,31
un,un,71
peu,peu,60
tout,tout,60
à,à,81
l',le,71
heure,heure,22
en,en,81
le,le,52
voyant,voir,13
venir,venir,14
à,à,81
elle,il,51
sur,sur,81
cette,ce,74
terrasse,terrasse,22
du,de,81
du,le,71
jardin,jardin,21
d',de,81
Avranches,Avranches,20
/.,/.,P
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
",",",",p
elle,il,51
avait,avoir,18
senti,sentir,12
ce,ce,74
quelque,quelque,75
chose,chose,22
d',de,81
inexprimable,inexprimable,30
qui,qui,52
nous,nous,51
porte,porter,17
",",",",p
qui,qui,52
nous,nous,51
pousse,pousser,17
",",",",p
qui,qui,52
nous,nous,51
jette,jeter,17
vers,vers,81
quelqu'un,quelqu'un,52
;,;,p
elle,il,51
avait,avoir,18
éprouvé,éprouver,12
un,un,71
grand,grand,30
plaisir,plaisir,21
à,à,81
marcher,marcher,14
près,près,81
de,de,81
lui,lui,51
",",",",p
à,à,81
l',le,52
avoir,avoir,14
près,près,81
d',de,81
elle,il,51
",",",",p
brûlé,brûler,12
d',de,81
amour,amour,21
pour,pour,81
elle,il,51
",",",",p
en,en,81
regardant,regarder,13
descendre,descendre,14
le,le,71
soleil,soleil,21
derrière,derrière,81
l',le,71
ombre,ombre,22
du,de,81
du,le,71
Mont Saint-Michel,Mont Saint-Michel,20
pareille,pareil,30
à,à,81
une,un,71
vision,vision,22
de,de,81
légende,légende,22
/.,/.,P
l',le,71
amour,amour,21
lui-même,lui-même,51
n',ne,60
était,être,18
il,il,51
pas,pas,60
une,un,71
espèce,espèce,22
de,de,81
légende,légende,22
des,de,81
des,le,71
âmes,âme,22
",",",",p
à,à,81
laquelle,lequel,52
les,le,71
uns,un,52
croient,croire,17
par,par,81
instinct,instinct,21
",",",",p
à,à,81
laquelle,lequel,52
les,le,71
autres,autre,52
",",",",p
à,à,81
force,force,22
d',de,81
y,y,52
songer,songer,14
",",",",p
finissent,finir,18
par,par,81
croire,croire,14
aussi,aussi,60
quelquefois,quelquefois,60
/?,/?,P
allait,aller,18
elle,il,51
finir,finir,14
par,par,81
y,y,52
croire,croire,14
/?,/?,P
elle,il,51
avait,avoir,18
éprouvé,éprouver,12
une,un,71
envie,envie,22
molle,mou,30
et,et,82
bizarre,bizarre,30
d',de,81
appuyer,appuyer,14
sa,son,73
tête,tête,22
sur,sur,81
l',le,71
épaule,épaule,22
de,de,81
cet,ce,74
homme,homme,21
",",",",p
d',de,81
être,être,14
plus,plus,60
près,près,81
de,de,81
lui,lui,51
",",",",p
de,de,81
chercher,chercher,14
ce,ce,74
“,“,p
tout,tout,21
près,près,81
“,“,p
qu',que,83
on,on,51
ne,ne,60
trouve,trouver,17
jamais,jamais,60
",",",",p
de,de,81
lui,lui,51
donner,donner,14
ce,ce,52
qu',que,52
on,on,51
offre,offrir,17
en,en,81
vain,vain,30
et,et,82
ce,ce,52
qu',que,52
on,on,51
garde,garder,17
toujours,toujours,60
:,:,p
la,le,71
secrète,secret,30
intimité,intimité,22
de,de,81
soi,soi,51
/.,/.,P
oui,oui,60
",",",",p
elle,il,51
avait,avoir,18
eu,avoir,12
de,de,81
l',le,71
élan,élan,21
vers,vers,81
lui,lui,51
",",",",p
et,et,82
elle,il,51
en,en,52
avait,avoir,18
encore,encore,60
",",",",p
en,en,81
ce,ce,74
moment,moment,21
",",",",p
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
/.,/.,P
il,il,51
lui,lui,51
suffirait,suffire,16
d',de,81
y,y,52
céder,céder,14
",",",",p
peut-être,peut-être,60
",",",",p
pour,pour,81
que,que,83
cela,cela,52
devînt,devenir,18
de,de,81
l',le,71
entraînement,entraînement,21
/.,/.,P
elle,il,51
résistait,résister,18
trop,trop,60
",",",",p
elle,il,51
raisonnait,raisonner,18
trop,trop,60
",",",",p
elle,il,51
combattait,combattre,18
trop,trop,60
le,le,71
charme,charme,21
des,de,81
des,le,71
gens,gens,21
/.,/.,P
ne,ne,60
serait,être,16
il,il,51
pas,pas,60
doux,doux,30
",",",",p
en,en,81
un,un,71
soir,soir,21
semblable,semblable,30
à,à,81
celui-ci,celui-ci,52
",",",",p
de,de,81
se,se,51
promener,promener,14
avec,avec,81
lui,lui,51
le,le,71
long,long,21
des,de,81
des,le,71
saules,saule,21
de,de,81
la,le,71
rivière,rivière,22
",",",",p
et,et,82
",",",",p
pour,pour,81
payer,payer,14
toute,tout,75
sa,son,73
passion,passion,22
",",",",p
de,de,81
lui,lui,51
offrir,offrir,14
",",",",p
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
ses,son,73
lèvres,lèvre,22
/?,/?,P
une,un,71
fenêtre,fenêtre,22
de,de,81
la,le,71
villa,villa,22
s',se,51
ouvrit,ouvrir,19
/.,/.,P
elle,il,51
tourna,tourner,19
la,le,71
tête,tête,22
/.,/.,P
c',ce,52
était,être,18
son,son,73
père,père,21
",",",",p
qui,qui,52
cherchait,chercher,18
sans,sans,81
doute,doute,21
à,à,81
la,le,52
voir,voir,14
/.,/.,P
elle,il,51
lui,lui,51
cria,crier,19
:,:,p
-,-,p
vous,vous,51
ne,ne,60
dormez,dormir,17
donc,donc,82
pas,pas,60
/?,/?,P
il,il,51
répondit,répondre,19
:,:,p
-,-,p
si,si,83
tu,tu,51
ne,ne,60
rentres,rentrer,17
point,point,60
",",",",p
tu,tu,51
vas,aller,17
prendre,prendre,14
froid,froid,30
/.,/.,P
alors,alors,60
elle,il,51
se,se,51
leva,lever,19
et,et,82
revint,revenir,19
vers,vers,81
la,le,71
maison,maison,22
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
elle,il,51
fut,être,19
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
elle,il,51
souleva,soulever,19
encore,encore,60
ses,son,73
rideaux,rideau,21
pour,pour,81
regarder,regarder,14
les,le,71
vapeurs,vapeur,21
de,de,81
la,le,71
baie,baie,22
de,de,81
plus,plus,60
en,en,81
plus,plus,60
blanches,blanc,30
sous,sous,81
la,le,71
lune,lune,22
",",",",p
et,et,82
dans,dans,81
son,son,73
coeur,coeur,21
aussi,aussi,60
il,il,51
lui,lui,51
semblait,sembler,18
que,que,83
les,le,71
brumes,brume,22
venaient,venir,18
de,de,81
s',se,51
éclairer,éclairer,14
sous,sous,81
un,un,71
lever,lever,21
de,de,81
tendresse,tendresse,22
/.,/.,P
elle,il,51
dormit,dormir,19
bien,bien,60
cependant,cependant,82
",",",",p
et,et,82
ce,ce,52
fut,être,19
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
qui,qui,52
la,le,52
réveilla,réveiller,19
",",",",p
car,car,82
on,on,51
devait,devoir,18
partir,partir,14
tôt,tôt,60
pour,pour,81
déjeuner,déjeuner,14
au,à,81
au,le,71
mont,mont,21
/.,/.,P
un,un,71
grand,grand,30
break,break,21
vint,venir,19
les,le,52
prendre,prendre,14
/.,/.,P
en,en,81
l',le,52
entendant,entendre,13
rouler,rouler,14
sur,sur,81
le,le,71
sable,sable,21
",",",",p
devant,devant,81
le,le,71
perron,perron,21
",",",",p
elle,il,51
se,se,51
pencha,pencher,19
à,à,81
sa,son,73
fenêtre,fenêtre,22
",",",",p
et,et,82
elle,il,51
rencontra,rencontrer,19
tout,tout,60
de,de,81
suite,suite,22
les,le,71
yeux,oeil,21
d',de,81
André,André,20
Mariolle,Mariolle,20
",",",",p
qui,qui,52
la,le,52
cherchaient,chercher,18
/.,/.,P
son,son,73
coeur,coeur,21
se,se,51
mit,mettre,19
à,à,81
battre,battre,14
un,un,71
peu,peu,60
/.,/.,P
elle,il,51
constata,constater,19
",",",",p
surprise,surpris,31
et,et,82
oppressée,oppressé,31
",",",",p
l',le,71
impression,impression,22
étrange,étrange,30
et,et,82
nouvelle,nouveau,30
de,de,81
ce,ce,74
muscle,muscle,21
qui,qui,52
palpite,palpiter,17
et,et,82
qui,qui,52
fait,faire,17
courir,courir,14
le,le,71
sang,sang,21
parce qu',parce que,83
on,on,51
aperçoit,apercevoir,17
quelqu'un,quelqu'un,52
/.,/.,P
comme,comme,83
la,le,71
veille,veille,22
",",",",p
avant,avant,81
de,de,81
s',se,51
endormir,endormir,14
",",",",p
elle,il,51
se,se,51
répéta,répéter,19
:,:,p
“,“,p
je,je,51
vais,aller,17
donc,donc,82
l',le,52
aimer,aimer,14
/?,/?,P
puis,puis,60
",",",",p
quand,quand,83
elle,il,51
fut,être,19
en,en,81
face,face,22
de,de,81
lui,lui,51
",",",",p
elle,il,51
le,le,52
devina,deviner,19
tellement,tellement,60
épris,épris,31
",",",",p
tellement,tellement,60
malade,malade,30
d',de,81
amour,amour,21
",",",",p
qu',que,83
elle,il,51
eut,avoir,19
vraiment,vraiment,60
envie,envie,22
d',de,81
ouvrir,ouvrir,14
ses,son,73
bras,bras,21
et,et,82
de,de,81
lui,lui,51
donner,donner,14
sa,son,73
bouche,bouche,22
/.,/.,P
ils,ils,51
échangèrent,échanger,19
seulement,seulement,60
un,un,71
regard,regard,21
qui,qui,52
le,le,52
fit,faire,19
pâlir,pâlir,14
de,de,81
bonheur,bonheur,21
/.,/.,P
la,le,71
voiture,voiture,22
se,se,51
mit,mettre,19
en,en,81
marche,marche,22
/.,/.,P
c',ce,52
était,être,18
un,un,71
clair,clair,30
matin,matin,21
d',de,81
été,été,21
",",",",p
plein,plein,21
de,de,81
chants,chant,21
d',de,81
oiseaux,oiseau,21
et,et,82
de,de,81
jeunesse,jeunesse,22
épandue,épandu,31
/.,/.,P
on,on,51
descendit,descendre,19
la,le,71
côte,côte,22
",",",",p
on,on,51
passa,passer,19
la,le,71
rivière,rivière,22
",",",",p
on,on,51
traversa,traverser,19
des,de,81
des,le,71
villages,village,21
par,par,81
une,un,71
petite,petit,30
route,route,22
caillouteuse,caillouteux,30
qui,qui,52
faisait,faire,18
sauter,sauter,14
les,le,71
voyageurs,voyageur,21
sur,sur,81
les,le,71
banquettes,banquette,22
du,de,81
du,le,71
break,break,21
/.,/.,P
après,après,81
un,un,71
long,long,30
silence,silence,21
",",",",p
madame,madame,22
de,de,81
Burne,Burne,20
se,se,51
mit,mettre,19
à,à,81
plaisanter,plaisanter,14
son,son,73
oncle,oncle,21
sur,sur,81
l',le,71
état,état,21
de,de,81
ce,ce,74
chemin,chemin,21
;,;,p
cela,cela,52
suffit,suffire,19
à,à,81
rompre,rompre,14
la,le,71
glace,glace,22
;,;,p
et,et,82
la,le,71
gaieté,gaieté,22
qui,qui,52
flottait,flotter,18
dans,dans,81
l',le,71
air,air,21
sembla,sembler,19
pénétrer,pénétrer,14
les,le,71
esprits,esprit,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
au,à,81
au,le,71
sortir,sortir,21
d',de,81
un,un,71
hameau,hameau,21
",",",",p
la,le,71
baie,baie,22
réapparut,réapparaître,19
",",",",p
non,non,60
plus,plus,60
jaune,jaune,30
comme,comme,83
la,le,71
veille,veille,22
au,à,81
au,le,71
soir,soir,21
",",",",p
mais,mais,82
luisante,luisant,30
d',de,81
eau,eau,22
claire,clair,30
qui,qui,52
couvrait,couvrir,18
tout,tout,52
",",",",p
les,le,71
sables,sable,21
",",",",p
les,le,71
prés,pré,21
salés,salé,31
",",",",p
et,et,82
",",",",p
au,à,81
au,le,71
dire,dire,21
du,de,81
du,le,71
cocher,cocher,21
",",",",p
la,le,71
route,route,22
elle-même,lui-même,51
",",",",p
un,un,71
peu,peu,60
plus,plus,60
loin,loin,60
/.,/.,P
alors,alors,60
",",",",p
pendant,pendant,81
une,un,71
heure,heure,22
",",",",p
on,on,51
alla,aller,19
au,à,81
au,le,71
pas,pas,21
pour,pour,81
laisser,laisser,14
à,à,81
cette,ce,74
inondation,inondation,22
le,le,71
temps,temps,21
de,de,81
retourner,retourner,14
vers,vers,81
le,le,71
large,large,21
/.,/.,P
les,le,71
ceintures,ceinture,22
d',de,81
ormes,orme,21
ou,ou,82
de,de,81
chênes,chêne,21
des,de,81
des,le,71
fermes,ferme,22
au,à,81
au,le,71
milieu,milieu,21
desquelles,de,81
desquelles,lequel,52
on,on,51
passait,passer,18
cachaient,cacher,18
aux,à,81
aux,le,71
yeux,oeil,21
",",",",p
à,à,81
tout,tout,75
moment,moment,21
",",",",p
le,le,71
profil,profil,21
grandissant,grandissant,30
de,de,81
l',le,71
abbaye,abbaye,22
dressée,dressé,31
sur,sur,81
son,son,73
rocher,rocher,21
",",",",p
en,en,81
pleine,plein,30
mer,mer,22
maintenant,maintenant,60
/.,/.,P
puis,puis,60
",",",",p
entre,entre,81
deux,deux,72
coups,coup,21
",",",",p
elle,il,51
se,se,51
remontrait,remontrer,18
soudain,soudain,60
",",",",p
de,de,81
plus,plus,60
en,en,81
plus,plus,60
proche,proche,30
",",",",p
de,de,81
plus,plus,60
en,en,81
plus,plus,60
surprenante,surprenant,30
/.,/.,P
le,le,71
soleil,soleil,21
éclairait,éclairer,18
de,de,81
tons,ton,21
roux,roux,30
l',le,71
église,église,22
dentelée,dentelé,30
de,de,81
granit,granit,21
assise,assis,31
sur,sur,81
son,son,73
pied,pied,21
de,de,81
roche,roche,22
/.,/.,P
Michèle,Michèle,20
de,de,81
Burne,Burne,20
et,et,82
André,André,20
Mariolle,Mariolle,20
la,le,52
contemplaient,contempler,18
",",",",p
puis,puis,60
se,se,51
regardaient,regarder,18
",",",",p
mêlant,mêler,13
l',le,71
un,un,52
et,et,82
l',le,71
autre,autre,52
au,à,81
au,le,71
trouble,trouble,21
naissant,naissant,30
ou,ou,82
suraigu,suraigu,30
de,de,81
leurs,leur,73
coeurs,coeur,21
la,le,71
poésie,poésie,22
de,de,81
cette,ce,74
apparition,apparition,22
dans,dans,81
cette,ce,74
matinée,matinée,22
rose,rose,30
de,de,81
