12060
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-onzième extrait>,<>,<>
mais,mais,82
non,non,60
",",",",p
Berthe,Berthe,20
s',se,51
était,être,18
montrée,montrer,12
convenable,convenable,30
à,à,81
l',le,71
égard,égard,21
de,de,81
son,son,73
ancienne,ancien,30
camarade,camarade,22
",",",",p
celle-ci,celui-ci,52
n',ne,60
avait,avoir,18
aucun,aucun,75
reproche,reproche,21
précis,précis,30
à,à,81
lui,lui,51
adresser,adresser,14
/.,/.,P
c',ce,52
est,être,17
donc,donc,82
le,le,71
président,président,21
qui,qui,52
te,tu,51
déplaît,déplaire,17
",",",",p
là-bas,là-bas,60
/?,/?,P
Séverine,Séverine,20
",",",",p
qui,qui,52
",",",",p
jusque-là,jusque-là,81
",",",",p
répondait,répondre,18
lentement,lentement,60
",",",",p
d',de,81
une,un,71
voix,voix,22
égale,égal,30
",",",",p
fut,être,19
reprise,reprendre,12
d',de,81
impatience,impatience,22
/.,/.,P
lui,lui,51
",",",",p
quelle,quel,75
idée,idée,22
/!,/!,P
et,et,82
elle,il,51
continua,continuer,19
",",",",p
en,en,81
petites,petit,30
phrases,phrase,22
nerveuses,nerveux,30
/.,/.,P
on,on,51
le,le,52
voyait,voir,18
seulement,seulement,60
à,à,81
peine,peine,22
/.,/.,P
il,il,51
s',se,51
était,être,18
réservé,réserver,12
",",",",p
dans,dans,81
le,le,71
parc,parc,21
",",",",p
un,un,71
pavillon,pavillon,21
",",",",p
dont,dont,52
la,le,71
porte,porte,22
donnait,donner,18
sur,sur,81
une,un,71
ruelle,ruelle,22
déserte,désert,30
/.,/.,P
il,il,51
sortait,sortir,18
",",",",p
il,il,51
rentrait,rentrer,18
",",",",p
sans,sans,81
qu',que,83
on,on,51
le,le,52
sût,savoir,18
/.,/.,P
jamais,jamais,60
sa,son,73
soeur,soeur,22
",",",",p
du,de,81
du,le,71
reste,reste,21
",",",",p
ne,ne,60
connaissait,connaître,18
au,à,81
au,le,71
juste,juste,21
le,le,71
jour,jour,21
de,de,81
son,son,73
arrivée,arrivée,22
/.,/.,P
il,il,51
prenait,prendre,18
une,un,71
voiture,voiture,22
à,à,81
Barentin,Barentin,20
",",",",p
se,se,51
faisait,faire,18
conduire,conduire,14
de,de,81
nuit,nuit,22
à,à,81
Doinville,Doinville,20
",",",",p
vivait,vivre,18
des,de,81
des,le,71
journées,journée,22
dans,dans,81
son,son,73
pavillon,pavillon,21
",",",",p
ignoré,ignoré,31
de,de,81
tous,tout,52
/.,/.,P
ah,ah,93
!,!,p
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
lui,lui,51
qui,qui,52
vous,vous,51
gênait,gêner,18
",",",",p
là-bas,là-bas,60
/.,/.,P
je,je,51
t',tu,51
en,en,52
parle,parler,17
",",",",p
parce que,parce que,83
tu,tu,51
m',je,51
as,avoir,17
raconté,raconter,12
vingt,vingt,72
fois,fois,22
que,que,83
",",",",p
dans,dans,81
ton,ton,73
enfance,enfance,22
",",",",p
il,il,51
te,tu,51
faisait,faire,18
une,un,71
peur,peur,22
bleue,bleu,30
/.,/.,P
-,-,p
ôh,oh,93
!,!,p
une,un,71
peur,peur,22
bleue,bleu,30
!,!,p
tu,tu,51
exagères,exagérer,17
",",",",p
comme,comme,83
toujours,toujours,60
/…,/…,P
bien,bien,60
sûr,sûr,30
qu',que,83
il,il,51
ne,ne,60
riait,rire,18
guère,guère,60
/.,/.,P
il,il,51
vous,vous,51
regardait,regarder,18
si,si,83
fixement,fixement,60
",",",",p
de,de,81
ses,son,73
gros,gros,30
yeux,oeil,21
",",",",p
qu',que,83
on,on,51
baissait,baisser,18
la,le,71
tête,tête,22
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
j',je,51
ai,avoir,17
vu,voir,12
des,de,81
des,le,71
gens,gens,21
se,se,51
troubler,troubler,14
",",",",p
ne,ne,60
pas,pas,60
pouvoir,pouvoir,14
lui,lui,51
adresser,adresser,14
un,un,71
mot,mot,21
",",",",p
tellement,tellement,60
il,il,51
leur,leur,52
en,en,52
imposait,imposer,18
",",",",p
avec,avec,81
son,son,73
grand,grand,30
renom,renom,21
de,de,81
sévérité,sévérité,22
et,et,82
de,de,81
sagesse,sagesse,22
/…,/…,P
mais,mais,82
",",",",p
moi,moi,51
",",",",p
il,il,51
ne,ne,60
m',je,51
a,avoir,17
jamais,jamais,60
grondée,gronder,12
",",",",p
j',je,51
ai,avoir,17
toujours,toujours,60
senti,sentir,12
qu',que,83
il,il,51
avait,avoir,18
un,un,71
faible,faible,21
pour,pour,81
moi,moi,51
/…,/…,P
de,de,81
nouveau,nouveau,21
",",",",p
sa,son,73
voix,voix,22
se,se,51
ralentissait,ralentir,18
",",",",p
ses,son,73
yeux,oeil,21
se,se,51
perdaient,perdre,18
au,à,81
au,le,71
loin,loin,60
/.,/.,P
je,je,51
me,je,51
souviens,souvenir,17
/…,/…,P
quand,quand,83
j',je,51
étais,être,18
gamine,gamin,30
et,et,82
que,que,83
je,je,51
jouais,jouer,18
avec,avec,81
des,de,81
des,le,71
amies,amie,22
",",",",p
dans,dans,81
les,le,71
allées,allée,22
",",",",p
s',si,83
il,il,51
venait,venir,18
à,à,81
paraître,paraître,14
",",",",p
toutes,tout,52
se,se,51
cachaient,cacher,18
",",",",p
même,même,60
sa,son,73
fille,fille,22
Berthe,Berthe,20
",",",",p
qui,qui,52
tremblait,trembler,18
sans,sans,81
cesse,cesse,22
d',de,81
être,être,14
en,en,81
faute,faute,22
/.,/.,P
moi,moi,51
",",",",p
je,je,51
l',le,52
attendais,attendre,18
",",",",p
tranquille,tranquille,30
/.,/.,P
il,il,51
passait,passer,18
",",",",p
et,et,82
en,en,81
me,je,51
voyant,voir,13
là,là,60
",",",",p
souriante,souriant,30
",",",",p
le,le,71
museau,museau,21
levé,levé,31
",",",",p
il,il,51
me,je,51
donnait,donner,18
une,un,71
petite,petit,30
tape,tape,22
sur,sur,81
la,le,71
joue,joue,22
/…,/…,P
plus,plus,60
tard,tard,60
",",",",p
à,à,81
seize,seize,72
ans,an,21
",",",",p
lorsque,lorsque,83
Berthe,Berthe,20
avait,avoir,18
une,un,71
faveur,faveur,22
à,à,81
obtenir,obtenir,14
de,de,81
lui,lui,51
",",",",p
c',ce,52
était,être,18
toujours,toujours,60
moi,moi,51
qu',que,83
elle,il,51
chargeait,charger,18
de,de,81
la,le,71
demande,demande,22
/.,/.,P
je,je,51
parlais,parler,18
",",",",p
je,je,51
ne,ne,60
baissais,baisser,18
pas,pas,60
les,le,71
regards,regard,21
",",",",p
et,et,82
je,je,51
sentais,sentir,18
les,le,71
siens,sien,52
qui,qui,52
m',je,51
entraient,entrer,18
dans,dans,81
la,le,71
peau,peau,22
/.,/.,P
mais,mais,82
je,je,51
m',je,51
en,en,52
moquais,moquer,18
bien,bien,60
",",",",p
j',je,51
étais,être,18
si,si,60
certaine,certain,30
qu',que,83
il,il,51
accorderait,accorder,16
tout,tout,52
ce,ce,52
que,que,52
je,je,51
voudrais,vouloir,16
/!,/!,P
ah,ah,93
!,!,p
oui,oui,60
",",",",p
je,je,51
me,je,51
souviens,souvenir,17
",",",",p
je,je,51
me,je,51
souviens,souvenir,17
/!,/!,P
là-bas,là-bas,60
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
un,un,71
taillis,taillis,21
du,de,81
du,le,71
parc,parc,21
",",",",p
pas,pas,60
un,un,71
corridor,corridor,21
",",",",p
pas,pas,60
une,un,71
chambre,chambre,22
du,de,81
du,le,71
château,château,21
",",",",p
que,que,52
je,je,51
ne,ne,60
puisse,pouvoir,17
évoquer,évoquer,14
en,en,81
fermant,fermer,13
les,le,71
yeux,oeil,21
/.,/.,P
elle,il,51
se,se,51
tut,taire,19
",",",",p
les,le,71
paupières,paupière,22
closes,clos,31
;,;,p
et,et,82
sur,sur,81
son,son,73
visage,visage,21
chaud,chaud,30
et,et,82
gonflé,gonflé,31
semblait,sembler,18
passer,passer,14
le,le,71
frisson,frisson,21
de,de,81
ces,ce,74
choses,chose,22
d',de,81
autrefois,autrefois,60
",",",",p
les,le,71
choses,chose,22
qu',que,52
elle,il,51
ne,ne,60
disait,dire,18
point,point,60
/.,/.,P
un,un,71
instant,instant,21
",",",",p
elle,il,51
demeura,demeurer,19
ainsi,ainsi,60
",",",",p
avec,avec,81
un,un,71
petit,petit,30
battement,battement,21
des,de,81
des,le,71
lèvres,lèvre,22
",",",",p
comme,comme,83
un,un,71
tic,tic,21
involontaire,involontaire,30
qui,qui,52
lui,lui,51
tirait,tirer,18
douloureusement,douloureusement,60
un,un,71
coin,coin,21
de,de,81
la,le,71
bouche,bouche,22
/.,/.,P
il,il,51
a,avoir,17
été,être,12
certainement,certainement,60
très,très,60
bon,bon,30
pour,pour,81
toi,toi,51
",",",",p
reprit,reprendre,19
Roubaud,Roubaud,20
",",",",p
qui,qui,52
venait,venir,18
d',de,81
allumer,allumer,14
sa,son,73
pipe,pipe,22
/.,/.,P
non,non,60
seulement,seulement,60
il,il,51
t',tu,51
a,avoir,17
fait,faire,12
élever,élever,14
comme,comme,83
une,un,71
demoiselle,demoiselle,22
",",",",p
mais,mais,82
il,il,51
a,avoir,17
très,très,60
sagement,sagement,60
administré,administrer,12
tes,ton,73
quatre,quatre,72
sous,sou,21
",",",",p
et,et,82
il,il,51
a,avoir,17
arrondi,arrondir,12
la,le,71
somme,somme,22
",",",",p
lors,lors,60
de,de,81
notre,notre,73
mariage,mariage,21
/…,/…,P
sans,sans,81
compter,compter,14
qu',que,83
il,il,51
doit,devoir,17
te,tu,51
laisser,laisser,14
quelque,quelque,75
chose,chose,22
",",",",p
il,il,51
l',le,52
a,avoir,17
dit,dire,12
devant,devant,81
moi,moi,51
/.,/.,P
-,-,p
oui,oui,60
",",",",p
murmura,murmurer,19
Séverine,Séverine,20
",",",",p
cette,ce,74
maison,maison,22
de,de,81
la,le,71
Croix-de-Maufras,Croix-de-Maufras,20
",",",",p
cette,ce,74
propriété,propriété,22
que,que,52
le,le,71
chemin,chemin,21
de,de,81
fer,fer,21
a,avoir,17
coupée,couper,12
/.,/.,P
on,on,51
y,y,52
allait,aller,18
parfois,parfois,60
passer,passer,14
huit,huit,72
jours,jour,21
/…,/…,P
ôh,oh,93
!,!,p
je,je,51
n',ne,60
y,y,52
compte,compter,17
guère,guère,60
",",",",p
les,le,71
Lachesnaye,Lachesnaye,20
doivent,devoir,17
le,le,52
travailler,travailler,14
pour,pour,81
qu',que,83
il,il,51
ne,ne,60
me,je,51
laisse,laisser,17
rien,rien,52
/.,/.,P
et,et,82
puis,puis,60
",",",",p
j',je,51
aime,aimer,17
mieux,mieux,60
rien,rien,52
",",",",p
rien,rien,52
/!,/!,P
elle,il,51
avait,avoir,18
prononcé,prononcer,12
ces,ce,74
dernières,dernier,30
paroles,parole,22
d',de,81
une,un,71
voix,voix,22
si,si,60
vive,vif,30
",",",",p
qu',que,83
il,il,51
s',se,51
en,en,52
étonna,étonner,19
",",",",p
retirant,retirer,13
sa,son,73
pipe,pipe,22
de,de,81
la,le,71
bouche,bouche,22
",",",",p
la,le,52
regardant,regarder,13
de,de,81
ses,son,73
yeux,oeil,21
arrondis,arrondi,31
/.,/.,P
es,être,17
tu,tu,51
drôle,drôle,30
/!,/!,P
on,on,51
assure,assurer,17
que,que,83
le,le,71
président,président,21
a,avoir,17
des,de,81
des,le,71
millions,million,21
",",",",p
quel,quel,75
mal,mal,21
y,y,52
aurait,avoir,16
il,il,51
à,à,81
ce,ce,52
qu',que,52
il,il,51
mît,mettre,18
sa,son,73
filleule,filleule,22
dans,dans,81
son,son,73
testament,testament,21
/?,/?,P
personne,personne,52
n',ne,60
en,en,52
serait,être,16
surpris,surprendre,12
",",",",p
et,et,82
ça,ça,52
arrangerait,arranger,16
joliment,joliment,60
nos,notre,73
affaires,affaire,22
/.,/.,P
puis,puis,60
",",",",p
une,un,71
idée,idée,22
qui,qui,52
lui,lui,51
traversa,traverser,19
le,le,71
cerveau,cerveau,21
le,le,52
fit,faire,19
rire,rire,14
/.,/.,P
tu,tu,51
n',ne,60
as,avoir,17
peut-être,peut-être,60
pas,pas,60
peur,peur,22
de,de,81
passer,passer,14
pour,pour,81
sa,son,73
fille,fille,22
/?,/?,P
car,car,82
",",",",p
tu,tu,51
sais,savoir,17
",",",",p
le,le,71
président,président,21
",",",",p
malgré,malgré,81
son,son,73
air,air,21
glacé,glacé,31
",",",",p
on,on,51
en,en,52
chuchote,chuchoter,17
de,de,81
raides,raide,30
",",",",p
sur,sur,81
son,son,73
compte,compte,21
/.,/.,P
il,il,51
paraît,paraître,17
que,que,83
",",",",p
du,de,81
du,le,71
vivant,vivant,21
même,même,30
de,de,81
sa,son,73
femme,femme,22
",",",",p
toutes,tout,75
les,le,71
bonnes,bonne,22
y,y,52
passaient,passer,18
/.,/.,P
enfin,enfin,60
",",",",p
un,un,71
gaillard,gaillard,21
qui,qui,52
",",",",p
aujourd'hui,aujourd'hui,60
encore,encore,60
",",",",p
vous,vous,51
trousse,trousser,17
une,un,71
femme,femme,22
/…,/…,P
mon,mon,73
dieu,dieu,21
!,!,p
va,aller,17
",",",",p
quand,quand,83
tu,tu,51
serais,être,16
sa,son,73
fille,fille,22
/!,/!,P
Séverine,Séverine,20
s',se,51
était,être,18
levée,lever,12
",",",",p
violente,violent,30
",",",",p
le,le,71
visage,visage,21
en,en,81
flamme,flamme,22
",",",",p
avec,avec,81
le,le,71
vacillement,vacillement,21
effrayé,effrayé,31
de,de,81
son,son,73
regard,regard,21
bleu,bleu,30
",",",",p
sous,sous,81
la,le,71
masse,masse,22
lourde,lourd,30
de,de,81
ses,son,73
cheveux,cheveu,21
noirs,noir,30
/.,/.,P
sa,son,73
fille,fille,22
",",",",p
sa,son,73
fille,fille,22
/!,/!,P
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
que,que,83
tu,tu,51
plaisantes,plaisanter,17
avec,avec,81
ça,ça,52
",",",",p
entends,entendre,17
tu,tu,51
/!,/!,P
est,être,17
ce,ce,52
que,que,83
je,je,51
puis,pouvoir,17
être,être,14
sa,son,73
fille,fille,22
?,?,p
est,être,17
ce,ce,52
que,que,83
je,je,51
lui,lui,51
ressemble,ressembler,17
/?,/?,P
et,et,82
en,en,52
voilà,voilà,81
assez,assez,60
",",",",p
parlons,parler,17
d',de,81
autre,autre,75
chose,chose,22
/.,/.,P
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
aller,aller,14
à,à,81
Doinville,Doinville,20
",",",",p
parce que,parce que,83
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
",",",",p
parce que,parce que,83
je,je,51
préfère,préférer,17
rentrer,rentrer,14
avec,avec,81
toi,toi,51
au,à,81
au,le,71
Havre,Havre,20
/.,/.,P
il,il,51
hocha,hocher,19
la,le,71
tête,tête,22
",",",",p
il,il,51
l',le,52
apaisa,apaiser,19
du,de,81
du,le,71
geste,geste,21
/.,/.,P
bon,bon,60
",",",",p
bon,bon,60
!,!,p
du,de,81
du,le,71
moment,moment,21
que,que,83
ça,ça,52
lui,lui,51
donnait,donner,18
sur,sur,81
les,le,71
nerfs,nerf,21
/.,/.,P
il,il,51
souriait,sourire,18
",",",",p
jamais,jamais,60
il,il,51
ne,ne,60
l',le,52
avait,avoir,18
vue,voir,12
si,si,60
nerveuse,nerveux,30
/.,/.,P
le,le,71
vin,vin,21
blanc,blanc,30
sans,sans,81
doute,doute,21
/.,/.,P
désireux,désireux,30
de,de,81
se,se,51
faire,faire,14
pardonner,pardonner,14
",",",",p
il,il,51
reprit,reprendre,19
le,le,71
couteau,couteau,21
",",",",p
s',se,51
extasiant,extasier,13
encore,encore,60
",",",",p
l',le,52
essuyant,essuyer,13
avec,avec,81
soin,soin,21
;,;,p
et,et,82
",",",",p
pour,pour,81
montrer,montrer,14
qu',que,83
il,il,51
coupait,couper,18
comme,comme,83
un,un,71
rasoir,rasoir,21
",",",",p
il,il,51
s',se,51
en,en,52
taillait,tailler,18
les,le,71
ongles,ongle,21
/.,/.,P
déjà,déjà,60
quatre,quatre,72
heures,heure,22
un,un,71
quart,quart,21
",",",",p
murmura,murmurer,19
Séverine,Séverine,20
",",",",p
debout,debout,60
devant,devant,81
le,le,71
coucou,coucou,21
/.,/.,P
j',je,51
ai,avoir,17
encore,encore,60
quelques,quelque,75
courses,course,22
/…,/…,P
il,il,51
faut,falloir,17
songer,songer,14
à,à,81
notre,notre,73
train,train,21
/.,/.,P
mais,mais,82
",",",",p
comme,comme,83
pour,pour,81
achever,achever,14
de,de,81
se,se,51
calmer,calmer,14
",",",",p
avant,avant,81
de,de,81
mettre,mettre,14
un,un,71
peu,peu,60
d',de,81
ordre,ordre,21
dans,dans,81
la,le,71
chambre,chambre,22
",",",",p
elle,il,51
retourna,retourner,19
s',se,51
accouder,accouder,14
à,à,81
la,le,71
fenêtre,fenêtre,22
/.,/.,P
lui,lui,51
",",",",p
alors,alors,60
",",",",p
lâchant,lâcher,13
le,le,71
couteau,couteau,21
",",",",p
lâchant,lâcher,13
sa,son,73
pipe,pipe,22
",",",",p
quitta,quitter,19
la,le,71
table,table,22
à,à,81
son,son,73
tour,tour,21
",",",",p
s',se,51
approcha,approcher,19
d',de,81
elle,il,51
",",",",p
la,le,52
prit,prendre,19
par-derrière,par-derrière,60
",",",",p
entre,entre,81
ses,son,73
bras,bras,21
",",",",p
doucement,doucement,60
/.,/.,P
et,et,82
il,il,51
la,le,52
tenait,tenir,18
enlacée,enlacée,31
ainsi,ainsi,60
",",",",p
il,il,51
avait,avoir,18
posé,poser,12
le,le,71
menton,menton,21
sur,sur,81
son,son,73
épaule,épaule,22
",",",",p
appuyé,appuyer,12
la,le,71
tête,tête,22
contre,contre,81
la,le,71
sienne,sien,52
/.,/.,P
ni,ni,82
l',le,71
un,un,52
ni,ni,82
l',le,71
autre,autre,52
ne,ne,60
bougeait,bouger,18
plus,plus,60
",",",",p
ils,ils,51
regardaient,regarder,18
/.,/.,P
sous,sous,81
eux,ils,51
",",",",p
toujours,toujours,60
",",",",p
les,le,71
petites,petit,30
machines,machine,22
de,de,81
manoeuvre,manoeuvre,22
allaient,aller,18
et,et,82
venaient,venir,18
sans,sans,81
repos,repos,21
;,;,p
et,et,82
on,on,51
les,le,52
entendait,entendre,18
à,à,81
peine,peine,22
s',se,51
activer,activer,14
",",",",p
comme,comme,83
des,de,81
des,le,71
ménagères,ménagère,22
vives,vif,30
et,et,82
prudentes,prudent,30
",",",",p
les,le,71
roues,roue,22
assourdies,assourdi,31
",",",",p
le,le,71
sifflet,sifflet,21
discret,discret,30
/.,/.,P
une,un,52
d',de,81
elles,ils,51
passa,passer,19
",",",",p
disparut,disparaître,19
sous,sous,81
le,le,71
pont,pont,21
de,de,81
l',le,71
Europe,Europe,20
",",",",p
emmenant,emmener,13
au,à,81
au,le,71
remisage,remisage,21
les,le,71
voitures,voiture,22
d',de,81
un,un,71
train,train,21
de,de,81
Trouville,Trouville,20
",",",",p
qu',que,52
on,on,51
débranchait,débrancher,18
/.,/.,P
et,et,82
",",",",p
là-bas,là-bas,60
",",",",p
au-delà,au-delà,60
du,de,81
du,le,71
pont,pont,21
",",",",p
elle,il,51
frôla,frôler,19
une,un,71
machine,machine,22
venue,venu,31
seule,seul,30
du,de,81
du,le,71
dépôt,dépôt,21
",",",",p
en,en,81
promeneuse,promeneuse,22
solitaire,solitaire,30
",",",",p
avec,avec,81
ses,son,73
cuivres,cuivre,21
et,et,82
ses,son,73
aciers,acier,21
luisants,luisant,30
",",",",p
fraîche,frais,30
et,et,82
gaillarde,gaillard,30
pour,pour,81
le,le,71
voyage,voyage,21
/.,/.,P
celle-ci,celui-ci,52
s',se,51
était,être,18
arrêtée,arrêter,12
",",",",p
demandant,demander,13
de,de,81
deux,deux,72
coups,coup,21
brefs,bref,30
la,le,71
voie,voie,22
à,à,81
l',le,71
aiguilleur,aiguilleur,21
",",",",p
qui,qui,52
",",",",p
presque,presque,60
immédiatement,immédiatement,60
",",",",p
l',le,52
envoya,envoyer,19
sur,sur,81
son,son,73
train,train,21
",",",",p
tout,tout,60
formé,formé,31
",",",",p
à,à,81
quai,quai,21
sous,sous,81
la,le,71
marquise,marquise,22
des,de,81
des,le,71
grandes,grand,30
lignes,ligne,22
/.,/.,P
c',ce,52
était,être,18
le,le,71
train,train,21
de,de,81
quatre,quatre,72
heures,heure,22
vingt,vingt,72
cinq,cinq,72
",",",",p
pour,pour,81
Dieppe,Dieppe,20
/.,/.,P
un,un,71
flot,flot,21
de,de,81
voyageurs,voyageur,21
se,se,51
pressait,presser,18
",",",",p
on,on,51
entendait,entendre,18
le,le,71
roulement,roulement,21
des,de,81
des,le,71
chariots,chariot,21
chargés,chargé,31
de,de,81
bagages,bagage,21
",",",",p
des,de,81
des,le,71
hommes,homme,21
poussaient,pousser,18
une,un,52
à,à,81
une,un,52
les,le,71
bouillottes,bouillotte,22
dans,dans,81
les,le,71
voitures,voiture,22
",",",",p
mais,mais,82
la,le,71
machine,machine,22
et,et,82
son,son,73
tender,tender,21
avaient,avoir,18
abordé,aborder,12
le,le,71
fourgon,fourgon,21
de,de,81
tête,tête,22
",",",",p
d',de,81
un,un,71
choc,choc,21
sourd,sourd,30
",",",",p
et,et,82
l',l',94
on,on,51
vit,voir,19
le,le,71
chef,chef,21
d',de,81
équipe,équipe,22
serrer,serrer,14
lui-même,lui-même,51
la,le,71
vis,vis,22
de,de,81
la,le,71
barre,barre,22
d',de,81
attelage,attelage,21
/.,/.,P
le,le,71
ciel,ciel,21
s',se,51
était,être,18
assombri,assombrir,12
vers,vers,81
les,le,71
Batignolles,Batignolles,20
;,;,p
une,un,71
cendre,cendre,22
crépusculaire,crépusculaire,30
",",",",p
noyant,noyer,13
les,le,71
façades,façade,22
",",",",p
semblait,sembler,18
tomber,tomber,14
déjà,déjà,60
sur,sur,81
l',le,71
éventail,éventail,21
élargi,élargi,31
des,de,81
des,le,71
voies,voie,22
;,;,p
tandis que,tandis que,83
",",",",p
dans,dans,81
cet,ce,74
effacement,effacement,21
",",",",p
au,à,81
au,le,71
lointain,lointain,21
",",",",p
se,se,51
croisaient,croiser,18
sans,sans,81
cesse,cesse,22
les,le,71
départs,départ,21
et,et,82
les,le,71
arrivées,arrivée,22
de,de,81
la,le,71
banlieue,banlieue,22
et,et,82
de,de,81
la,le,71
ceinture,ceinture,22
/.,/.,P
par-delà,par-delà,60
les,le,71
nappes,nappe,22
sombres,sombre,30
des,de,81
des,le,71
grandes,grand,30
halles,halle,22
couvertes,couvert,31
",",",",p
sur,sur,81
Paris,Paris,20
obscurci,obscurci,31
",",",",p
des,de,81
des,le,71
fumées,fumée,22
rousses,roux,30
",",",",p
déchiquetées,déchiqueté,31
",",",",p
s',se,51
envolaient,envoler,18
/.,/.,P
non,non,60
",",",",p
non,non,60
",",",",p
laisse,laisser,17
moi,moi,51
",",",",p
murmura,murmurer,19
Séverine,Séverine,20
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
",",",",p
sans,sans,81
une,un,71
parole,parole,22
",",",",p
il,il,51
l',le,52
avait,avoir,18
enveloppée,envelopper,12
d',de,81
une,un,71
caresse,caresse,22
plus,plus,60
étroite,étroit,30
",",",",p
excité,excité,31
par,par,81
la,le,71
tiédeur,tiédeur,22
de,de,81
ce,ce,74
corps,corps,21
jeune,jeune,30
",",",",p
qu',que,52
il,il,51
tenait,tenir,18
ainsi,ainsi,60
à,à,81
pleins,plein,30
bras,bras,21
/.,/.,P
elle,il,51
le,le,52
grisait,griser,18
de,de,81
son,son,73
odeur,odeur,22
",",",",p
elle,il,51
achevait,achever,18
d',de,81
affoler,affoler,14
son,son,73
désir,désir,21
",",",",p
en,en,81
cambrant,cambrer,13
les,le,71
reins,rein,21
pour,pour,81
se,se,51
dégager,dégager,14
/.,/.,P
d',de,81
une,un,71
secousse,secousse,22
",",",",p
il,il,51
l',le,52
enleva,enlever,19
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
dont,dont,52
il,il,51
referma,refermer,19
les,le,71
vitres,vitre,22
du,de,81
du,le,71
coude,coude,21
/.,/.,P
sa,son,73
bouche,bouche,22
avait,avoir,18
rencontré,rencontrer,12
la,le,71
sienne,sien,52
",",",",p
il,il,51
lui,lui,51
écrasait,écraser,18
les,le,71
lèvres,lèvre,22
",",",",p
il,il,51
l',le,52
emportait,emporter,18
vers,vers,81
le,le,71
lit,lit,21
/.,/.,P
non,non,60
",",",",p
non,non,60
",",",",p
nous,nous,51
ne,ne,60
sommes,être,17
pas,pas,60
chez,chez,81
nous,nous,51
",",",",p
répéta,répéter,19
t,t,94
elle,il,51
/.,/.,P
je,je,51
t',tu,51
en,en,52
prie,prier,17
",",",",p
pas,pas,60
dans,dans,81
cette,ce,74
chambre,chambre,22
/!,/!,P
elle-même,lui-même,51
était,être,18
comme,comme,83
grise,gris,30
",",",",p
étourdie,étourdir,12
de,de,81
nourriture,nourriture,22
et,et,82
de,de,81
vin,vin,21
",",",",p
encore,encore,60
vibrante,vibrant,30
de,de,81
sa,son,73
course,course,22
fiévreuse,fiévreux,30
à,à,81
travers,travers,21
Paris,Paris,20
/.,/.,P
cette,ce,74
pièce,pièce,22
trop,trop,60
chauffée,chauffé,31
",",",",p
cette,ce,74
table,table,22
où,où,60
traînait,traîner,18
la,le,71
débandade,débandade,22
du,de,81
du,le,71
couvert,couvert,21
",",",",p
l',le,71
imprévu,imprévu,21
du,de,81
du,le,71
voyage,voyage,21
qui,qui,52
tournait,tourner,18
en,en,81
partie,partie,22
fine,fin,30
",",",",p
tout,tout,52
lui,lui,51
allumait,allumer,18
le,le,71
sang,sang,21
",",",",p
la,le,52
soulevait,soulever,18
d',de,81
un,un,71
frisson,frisson,21
/.,/.,P
et,et,82
pourtant,pourtant,60
elle,il,51
se,se,51
refusait,refuser,18
",",",",p
elle,il,51
résistait,résister,18
",",",",p
arc-boutée,arc-bouté,31
contre,contre,81
le,le,71
bois,bois,21
du,de,81
du,le,71
lit,lit,21
",",",",p
dans,dans,81
une,un,71
révolte,révolte,22
effrayée,effrayé,31
",",",",p
dont,dont,52
elle,il,51
n',ne,60
aurait,avoir,16
pu,pouvoir,12
dire,dire,14
la,le,71
cause,cause,22
/.,/.,P
non,non,60
",",",",p
non,non,60
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
/.,/.,P
lui,lui,51
",",",",p
le,le,71
sang,sang,21
à,à,81
la,le,71
peau,peau,22
",",",",p
retenait,retenir,18
ses,son,73
grosses,gros,30
mains,main,22
brutales,brutal,30
/.,/.,P
il,il,51
tremblait,trembler,18
",",",",p
il,il,51
l',le,52
aurait,avoir,16
brisée,briser,12
/.,/.,P
bête,bête,22
",",",",p
est,être,17
ce,ce,52
qu',que,83
on,on,51
saura,savoir,15
/?,/?,P
nous,nous,51
retaperons,retaper,15
le,le,71
lit,lit,21
/.,/.,P
d',de,81
habitude,habitude,22
",",",",p
elle,il,51
s',se,51
abandonnait,abandonner,18
avec,avec,81
une,un,71
docilité,docilité,22
complaisante,complaisant,30
",",",",p
chez,chez,81
eux,ils,51
",",",",p
au,à,81
au,le,71
Havre,Havre,20
",",",",p
après,après,81
le,le,71
déjeuner,déjeuner,21
",",",",p
lorsqu',lorsque,83
il,il,51
était,être,18
de,de,81
service,service,21
de,de,81
nuit,nuit,22
/.,/.,P
cela,cela,52
semblait,sembler,18
sans,sans,81
plaisir,plaisir,21
pour,pour,81
elle,il,51
",",",",p
mais,mais,82
elle,il,51
y,y,52
montrait,montrer,18
une,un,71
mollesse,mollesse,22
heureuse,heureux,30
",",",",p
un,un,71
affectueux,affectueux,30
consentement,consentement,21
de,de,81
son,son,73
