11714
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante et unième extrait>,<>,<>
intervalles,intervalle,21
égaux,égal,30
avec,avec,81
son,son,73
doigt,doigt,21
recourbé,recourbé,31
/.,/.,P
“,“,p
c',ce,52
est,être,17
bien,bien,60
chez,chez,81
Aramis,Aramis,20
",",",",p
murmura,murmurer,19
d',de,81
Artagnan,Artagnan,20
/.,/.,P
ah,ah,93
!,!,p
monsieur,monsieur,21
l',le,71
hypocrite,hypocrite,21
!,!,p
je,je,51
vous,vous,51
y,y,52
prends,prendre,17
à,à,81
faire,faire,14
de,de,81
la,le,71
théologie,théologie,22
/!,/!,P
les,le,71
trois,trois,72
coups,coup,21
étaient,être,18
à,à,81
peine,peine,22
frappés,frapper,12
",",",",p
que,que,83
la,le,71
croisée,croisée,22
intérieure,intérieur,30
s',se,51
ouvrit,ouvrir,19
et,et,82
qu',que,83
une,un,71
lumière,lumière,22
parut,paraître,19
à,à,81
travers,travers,21
les,le,71
vitres,vitre,22
du,de,81
du,le,71
volet,volet,21
/.,/.,P
“,“,p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
fit,faire,19
l',le,71
écouteur,écouteur,21
non,non,60
pas,pas,60
aux,à,81
aux,le,71
portes,porte,22
",",",",p
mais,mais,82
aux,à,81
aux,le,71
fenêtres,fenêtre,22
",",",",p
ah,ah,93
!,!,p
la,le,71
visite,visite,22
était,être,18
attendue,attendre,12
/.,/.,P
allons,aller,17
",",",",p
le,le,71
volet,volet,21
va,aller,17
s',se,51
ouvrir,ouvrir,14
et,et,82
la,le,71
dame,dame,22
entrera,entrer,15
par,par,81
escalade,escalade,22
/.,/.,P
très,très,60
bien,bien,60
/!,/!,P
mais,mais,82
",",",",p
au,à,81
au,le,71
grand,grand,30
étonnement,étonnement,21
de,de,81
d',de,81
Artagnan,Artagnan,20
",",",",p
le,le,71
volet,volet,21
resta,rester,19
fermé,fermé,31
/.,/.,P
de,de,81
plus,plus,60
",",",",p
la,le,71
lumière,lumière,22
qui,qui,52
avait,avoir,18
flamboyé,flamboyer,12
un,un,71
instant,instant,21
",",",",p
disparut,disparaître,19
",",",",p
et,et,82
tout,tout,52
rentra,rentrer,19
dans,dans,81
l',le,71
obscurité,obscurité,22
/.,/.,P
d',de,81
Artagnan,Artagnan,20
pensa,penser,19
que,que,83
cela,cela,52
ne,ne,60
pouvait,pouvoir,18
durer,durer,14
ainsi,ainsi,60
",",",",p
et,et,82
continua,continuer,19
de,de,81
regarder,regarder,14
de,de,81
tous,tout,75
ses,son,73
yeux,oeil,21
et,et,82
d',de,81
écouter,écouter,14
de,de,81
toutes,tout,75
ses,son,73
oreilles,oreille,22
/.,/.,P
il,il,51
avait,avoir,18
raison,raison,22
:,:,p
au,à,81
au,le,71
bout,bout,21
de,de,81
quelques,quelque,75
secondes,seconde,22
",",",",p
deux,deux,72
coups,coup,21
secs,sec,30
retentirent,retentir,19
dans,dans,81
l',le,71
intérieur,intérieur,21
/.,/.,P
la,le,71
jeune,jeune,30
femme,femme,22
de,de,81
la,le,71
rue,rue,22
répondit,répondre,19
par,par,81
un,un,71
seul,seul,30
coup,coup,21
",",",",p
et,et,82
le,le,71
volet,volet,21
s',se,51
entrouvrit,entrouvrir,19
/.,/.,P
on,on,51
juge,juger,17
si,si,83
d',de,81
Artagnan,Artagnan,20
regardait,regarder,18
et,et,82
écoutait,écouter,18
avec,avec,81
avidité,avidité,22
/.,/.,P
malheureusement,malheureusement,60
",",",",p
la,le,71
lumière,lumière,22
avait,avoir,18
été,être,12
transportée,transporter,12
dans,dans,81
un,un,71
autre,autre,75
appartement,appartement,21
/.,/.,P
mais,mais,82
les,le,71
yeux,oeil,21
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
s',se,51
étaient,être,18
habitués,habituer,12
à,à,81
la,le,71
nuit,nuit,22
/.,/.,P
d',de,81
ailleurs,ailleurs,60
les,le,71
yeux,oeil,21
des,de,81
des,le,71
Gascons,Gascon,20
ont,avoir,17
",",",",p
à,à,81
ce,ce,52
qu',que,52
on,on,51
assure,assurer,17
",",",",p
comme,comme,83
ceux,celui,52
des,de,81
des,le,71
chats,chat,21
",",",",p
la,le,71
propriété,propriété,22
de,de,81
voir,voir,14
pendant,pendant,81
la,le,71
nuit,nuit,22
/.,/.,P
d',de,81
Artagnan,Artagnan,20
vit,voir,19
donc,donc,82
que,que,83
la,le,71
jeune,jeune,30
femme,femme,22
tirait,tirer,18
de,de,81
sa,son,73
poche,poche,22
un,un,71
objet,objet,21
blanc,blanc,30
qu',que,52
elle,il,51
déploya,déployer,19
vivement,vivement,60
et,et,82
qui,qui,52
prit,prendre,19
la,le,71
forme,forme,22
d',de,81
un,un,71
mouchoir,mouchoir,21
/.,/.,P
cet,ce,74
objet,objet,21
déployé,déployé,31
",",",",p
elle,il,51
en,en,52
fit,faire,19
remarquer,remarquer,14
le,le,71
coin,coin,21
à,à,81
son,son,73
interlocuteur,interlocuteur,21
/.,/.,P
cela,cela,52
rappela,rappeler,19
à,à,81
d',de,81
Artagnan,Artagnan,20
ce,ce,74
mouchoir,mouchoir,21
qu',que,52
il,il,51
avait,avoir,18
trouvé,trouver,12
aux,à,81
aux,le,71
pieds,pied,21
de,de,81
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
lequel,lequel,52
lui,lui,51
avait,avoir,18
rappelé,rappeler,12
celui,celui,52
qu',que,52
il,il,51
avait,avoir,18
trouvé,trouver,12
aux,à,81
aux,le,71
pieds,pied,21
d',de,81
Aramis,Aramis,20
/.,/.,P
“,“,p
que,que,52
diable,diable,21
pouvait,pouvoir,18
donc,donc,82
signifier,signifier,14
ce,ce,74
mouchoir,mouchoir,21
/?,/?,P
placé,placé,31
où,où,60
il,il,51
était,être,18
",",",",p
d',de,81
Artagnan,Artagnan,20
ne,ne,60
pouvait,pouvoir,18
voir,voir,14
le,le,71
visage,visage,21
d',de,81
Aramis,Aramis,20
",",",",p
nous,nous,51
disons,dire,17
d',de,81
Aramis,Aramis,20
",",",",p
parce que,parce que,83
le,le,71
jeune,jeune,30
homme,homme,21
ne,ne,60
faisait,faire,18
aucun,aucun,75
doute,doute,21
que,que,83
ce,ce,52
fût,être,19
son,son,73
ami,ami,21
qui,qui,52
dialoguât,dialoguer,18
de,de,81
l',le,71
intérieur,intérieur,21
avec,avec,81
la,le,71
dame,dame,22
de,de,81
l',le,71
extérieur,extérieur,21
;,;,p
la,le,71
curiosité,curiosité,22
l',le,52
emporta,emporter,19
donc,donc,82
sur,sur,81
la,le,71
prudence,prudence,22
",",",",p
et,et,82
",",",",p
profitant,profiter,13
de,de,81
la,le,71
préoccupation,préoccupation,22
dans,dans,81
laquelle,lequel,52
la,le,71
vue,vue,22
du,de,81
du,le,71
mouchoir,mouchoir,21
paraissait,paraître,18
plonger,plonger,14
les,le,71
deux,deux,72
personnages,personnage,21
que,que,52
nous,nous,51
avons,avoir,17
mis,mettre,12
en,en,81
scène,scène,22
",",",",p
il,il,51
sortit,sortir,19
de,de,81
sa,son,73
cachette,cachette,22
",",",",p
et,et,82
prompt,prompt,30
comme,comme,83
l',le,71
éclair,éclair,21
",",",",p
mais,mais,82
étouffant,étouffer,13
le,le,71
bruit,bruit,21
de,de,81
ses,son,73
pas,pas,21
",",",",p
il,il,51
alla,aller,19
se,se,51
coller,coller,14
à,à,81
un,un,71
angle,angle,21
de,de,81
la,le,71
muraille,muraille,22
",",",",p
d',de,81
où,où,60
son,son,73
oeil,oeil,21
pouvait,pouvoir,18
parfaitement,parfaitement,60
plonger,plonger,14
dans,dans,81
l',le,71
intérieur,intérieur,21
de,de,81
l',le,71
appartement,appartement,21
d',de,81
Aramis,Aramis,20
/.,/.,P
arrivé,arrivé,31
là,là,60
",",",",p
d',de,81
Artagnan,Artagnan,20
pensa,penser,19
jeter,jeter,14
un,un,71
cri,cri,21
de,de,81
surprise,surprise,22
:,:,p
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
Aramis,Aramis,20
qui,qui,52
causait,causer,18
avec,avec,81
la,le,71
nocturne,nocturne,30
visiteuse,visiteuse,22
",",",",p
c',ce,52
était,être,18
une,un,71
femme,femme,22
/.,/.,P
seulement,seulement,60
",",",",p
d',de,81
Artagnan,Artagnan,20
y,y,52
voyait,voir,18
assez,assez,60
pour,pour,81
reconnaître,reconnaître,14
la,le,71
forme,forme,22
de,de,81
ses,son,73
vêtements,vêtement,21
",",",",p
mais,mais,82
pas,pas,60
assez,assez,60
pour,pour,81
distinguer,distinguer,14
ses,son,73
traits,trait,21
/.,/.,P
au,à,81
au,le,71
même,même,75
instant,instant,21
",",",",p
la,le,71
femme,femme,22
de,de,81
l',le,71
appartement,appartement,21
tira,tirer,19
un,un,71
second,second,72
mouchoir,mouchoir,21
de,de,81
sa,son,73
poche,poche,22
",",",",p
et,et,82
l',le,52
échangea,échanger,19
avec,avec,81
celui,celui,52
qu',que,52
on,on,51
venait,venir,18
de,de,81
lui,lui,51
montrer,montrer,14
/.,/.,P
puis,puis,60
",",",",p
quelques,quelque,75
mots,mot,21
furent,être,19
prononcés,prononcer,12
entre,entre,81
les,le,71
deux,deux,72
femmes,femme,22
/.,/.,P
enfin,enfin,60
le,le,71
volet,volet,21
se,se,51
referma,refermer,19
;,;,p
la,le,71
femme,femme,22
qui,qui,52
se,se,51
trouvait,trouver,18
à,à,81
l',le,71
extérieur,extérieur,21
de,de,81
la,le,71
fenêtre,fenêtre,22
se,se,51
retourna,retourner,19
",",",",p
et,et,82
vint,venir,19
passer,passer,14
à,à,81
quatre,quatre,72
pas,pas,21
de,de,81
d',de,81
Artagnan,Artagnan,20
en,en,81
abaissant,abaisser,13
la,le,71
coiffe,coiffe,22
de,de,81
sa,son,73
mante,mante,22
;,;,p
mais,mais,82
la,le,71
précaution,précaution,22
avait,avoir,18
été,être,12
prise,prendre,12
trop,trop,60
tard,tard,60
",",",",p
d',de,81
Artagnan,Artagnan,20
avait,avoir,18
déjà,déjà,60
reconnu,reconnaître,12
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
madame,madame,22
Bonacieux,Bonacieux,20
/!,/!,P
le,le,71
soupçon,soupçon,21
que,que,52
c',ce,52
était,être,18
elle,il,51
lui,lui,51
avait,avoir,18
déjà,déjà,60
traversé,traverser,12
l',le,71
esprit,esprit,21
quand,quand,83
elle,il,51
avait,avoir,18
tiré,tirer,12
le,le,71
mouchoir,mouchoir,21
de,de,81
sa,son,73
poche,poche,22
;,;,p
mais,mais,82
quelle,quel,75
probabilité,probabilité,22
que,que,52
madame,madame,22
Bonacieux,Bonacieux,20
qui,qui,52
avait,avoir,18
envoyé,envoyer,12
chercher,chercher,14
monsieur,monsieur,21
de,de,81
La Porte,La Porte,20
pour,pour,81
se,se,51
faire,faire,14
reconduire,reconduire,14
par,par,81
lui,lui,51
au,à,81
au,le,71
Louvre,Louvre,20
",",",",p
courût,courir,18
les,le,71
rues,rue,22
de,de,81
Paris,Paris,20
seule,seul,30
à,à,81
onze,onze,72
heures,heure,22
et,et,82
demie,demi,30
du,de,81
du,le,71
soir,soir,21
",",",",p
au,à,81
au,le,71
risque,risque,21
de,de,81
se,se,51
faire,faire,14
enlever,enlever,14
une,un,71
seconde,second,72
fois,fois,22
/?,/?,P
il,il,51
fallait,falloir,18
donc,donc,82
que,que,83
ce,ce,52
fût,être,19
pour,pour,81
une,un,71
affaire,affaire,22
bien,bien,60
importante,important,30
;,;,p
et,et,82
quelle,quel,52
est,être,17
l',le,71
affaire,affaire,22
importante,important,30
d',de,81
une,un,71
femme,femme,22
de,de,81
vingt,vingt,72
cinq,cinq,72
ans,an,21
/?,/?,P
l',le,71
amour,amour,21
/.,/.,P
mais,mais,82
était,être,18
ce,ce,52
pour,pour,81
son,son,73
compte,compte,21
ou,ou,82
pour,pour,81
le,le,71
compte,compte,21
d',de,81
une,un,71
autre,autre,75
personne,personne,22
qu',que,52
elle,il,51
s',se,51
exposait,exposer,18
à,à,81
de,de,81
semblables,semblable,30
hasards,hasard,21
/?,/?,P
voilà,voilà,81
ce,ce,52
que,que,52
se,se,51
demandait,demander,18
à,à,81
lui-même,lui-même,51
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
que,que,52
le,le,71
démon,démon,21
de,de,81
la,le,71
jalousie,jalousie,22
mordait,mordre,18
au,à,81
au,le,71
coeur,coeur,21
ni,ni,82
plus,plus,60
ni,ni,82
moins,moins,60
qu',que,83
un,un,71
amant,amant,21
en,en,81
titre,titre,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
",",",",p
au,à,81
au,le,71
reste,reste,21
",",",",p
un,un,71
moyen,moyen,21
bien,bien,60
simple,simple,30
de,de,81
s',se,51
assurer,assurer,14
où,où,60
allait,aller,18
madame,madame,22
Bonacieux,Bonacieux,20
:,:,p
c',ce,52
était,être,18
de,de,81
la,le,52
suivre,suivre,14
/.,/.,P
ce,ce,74
moyen,moyen,21
était,être,18
si,si,60
simple,simple,30
",",",",p
que,que,83
d',de,81
Artagnan,Artagnan,20
l',le,52
employa,employer,19
tout,tout,60
naturellement,naturellement,60
et,et,82
d',de,81
instinct,instinct,21
/.,/.,P
mais,mais,82
",",",",p
à,à,81
la,le,71
vue,vue,22
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
qui,qui,52
se,se,51
détachait,détacher,18
de,de,81
la,le,71
muraille,muraille,22
comme,comme,83
une,un,71
statue,statue,22
de,de,81
sa,son,73
niche,niche,22
",",",",p
et,et,82
au,à,81
au,le,71
bruit,bruit,21
des,de,81
des,le,71
pas,pas,21
qu',que,52
elle,il,51
entendit,entendre,19
retentir,retentir,14
derrière,derrière,81
elle,il,51
",",",",p
madame,madame,22
Bonacieux,Bonacieux,20
jeta,jeter,19
un,un,71
petit,petit,30
cri,cri,21
et,et,82
s',se,51
enfuit,enfuir,19
/.,/.,P
d',de,81
Artagnan,Artagnan,20
courut,courir,19
après,après,81
elle,il,51
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
une,un,71
chose,chose,22
difficile,difficile,30
pour,pour,81
lui,lui,51
que,que,83
de,de,81
rejoindre,rejoindre,14
une,un,71
femme,femme,22
embarrassée,embarrassé,31
dans,dans,81
son,son,73
manteau,manteau,21
/.,/.,P
il,il,51
la,le,52
rejoignit,rejoindre,19
donc,donc,82
au,à,81
au,le,71
tiers,tiers,21
de,de,81
la,le,71
rue,rue,22
dans,dans,81
laquelle,lequel,52
elle,il,51
s',se,51
était,être,18
engagée,engager,12
/.,/.,P
la,le,71
malheureuse,malheureux,30
était,être,18
épuisée,épuiser,12
",",",",p
non,non,60
pas,pas,60
de,de,81
fatigue,fatigue,22
",",",",p
mais,mais,82
de,de,81
terreur,terreur,22
",",",",p
et,et,82
quand,quand,83
d',de,81
Artagnan,Artagnan,20
lui,lui,51
posa,poser,19
la,le,71
main,main,22
sur,sur,81
l',le,71
épaule,épaule,22
",",",",p
elle,il,51
tomba,tomber,19
sur,sur,81
un,un,71
genou,genou,21
en,en,81
criant,crier,13
d',de,81
une,un,71
voix,voix,22
étranglée,étranglé,31
:,:,p
“,“,p
tuez,tuer,17
moi,moi,51
si,si,83
vous,vous,51
voulez,vouloir,17
",",",",p
mais,mais,82
vous,vous,51
ne,ne,60
saurez,savoir,15
rien,rien,52
/.,/.,P
“,“,p
d',de,81
Artagnan,Artagnan,20
la,le,52
releva,relever,19
en,en,81
lui,lui,51
passant,passer,13
le,le,71
bras,bras,21
autour,autour,60
de,de,81
la,le,71
taille,taille,22
;,;,p
mais,mais,82
comme,comme,83
il,il,51
sentait,sentir,18
à,à,81
son,son,73
poids,poids,21
qu',que,52
elle,il,51
était,être,18
sur,sur,81
le,le,71
point,point,21
de,de,81
se,se,51
trouver,trouver,14
mal,mal,60
",",",",p
il,il,51
s',se,51
empressa,empresser,19
de,de,81
la,le,52
rassurer,rassurer,14
par,par,81
des,de,81
des,le,71
protestations,protestation,22
de,de,81
dévouement,dévouement,21
/.,/.,P
ces,ce,74
protestations,protestation,22
n',ne,60
étaient,être,18
rien,rien,52
pour,pour,81
madame,madame,22
Bonacieux,Bonacieux,20
;,;,p
car,car,82
de,de,81
pareilles,pareil,30
protestations,protestation,22
peuvent,pouvoir,17
se,se,51
faire,faire,14
avec,avec,81
les,le,71
plus,plus,60
mauvaises,mauvais,30
intentions,intention,22
du,de,81
du,le,71
monde,monde,21
;,;,p
mais,mais,82
la,le,71
voix,voix,22
était,être,18
tout,tout,52
/.,/.,P
la,le,71
jeune,jeune,30
femme,femme,22
crut,croire,19
reconnaître,reconnaître,14
le,le,71
son,son,21
de,de,81
cette,ce,74
voix,voix,22
:,:,p
elle,il,51
rouvrit,rouvrir,19
les,le,71
yeux,oeil,21
",",",",p
jeta,jeter,19
un,un,71
regard,regard,21
sur,sur,81
l',le,71
homme,homme,21
qui,qui,52
lui,lui,51
avait,avoir,18
fait,faire,12
si,si,60
grand-peur,grand-peur,22
",",",",p
et,et,82
",",",",p
reconnaissant,reconnaître,13
d',de,81
Artagnan,Artagnan,20
",",",",p
elle,il,51
poussa,pousser,19
un,un,71
cri,cri,21
de,de,81
joie,joie,22
/.,/.,P
“,“,p
oh,oh,93
!,!,p
c',ce,52
est,être,17
vous,vous,51
",",",",p
c',ce,52
est,être,17
vous,vous,51
!,!,p
dit,dire,19
elle,il,51
;,;,p
merci,merci,21
",",",",p
mon,mon,73
dieu,dieu,21
/!,/!,P
oui,oui,60
",",",",p
c',ce,52
est,être,17
moi,moi,51
",",",",p
dit,dire,12
d',de,81
Artagnan,Artagnan,20
",",",",p
moi,moi,51
que,que,52
dieu,dieu,21
a,avoir,17
envoyé,envoyer,12
pour,pour,81
veiller,veiller,14
sur,sur,81
vous,vous,51
/.,/.,P
-,-,p
était,être,18
ce,ce,52
dans,dans,81
cette,ce,74
intention,intention,22
que,que,52
vous,vous,51
me,je,51
suiviez,suivre,18
?,?,p
demanda,demander,19
avec,avec,81
un,un,71
sourire,sourire,21
plein,plein,30
de,de,81
coquetterie,coquetterie,22
la,le,71
jeune,jeune,30
femme,femme,22
",",",",p
dont,dont,52
le,le,71
caractère,caractère,21
un,un,71
peu,peu,60
railleur,railleur,30
reprenait,reprendre,18
le,le,71
dessus,dessus,21
",",",",p
et,et,82
chez,chez,81
laquelle,lequel,52
toute,tout,75
crainte,crainte,22
avait,avoir,18
disparu,disparaître,12
du,de,81
du,le,71
moment,moment,21
où,où,60
elle,il,51
avait,avoir,18
reconnu,reconnaître,12
un,un,71
ami,ami,21
dans,dans,81
celui,celui,52
qu',que,52
elle,il,51
avait,avoir,18
pris,prendre,12
pour,pour,81
un,un,71
ennemi,ennemi,21
/.,/.,P
“,“,p
non,non,60
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
",",",",p
non,non,60
",",",",p
je,je,51
l',le,52
avoue,avouer,17
;,;,p
c',ce,52
est,être,17
le,le,71
hasard,hasard,21
qui,qui,52
m',je,51
a,avoir,17
mis,mettre,12
sur,sur,81
votre,votre,73
route,route,22
;,;,p
j',je,51
ai,avoir,17
vu,voir,12
une,un,71
femme,femme,22
frapper,frapper,14
à,à,81
la,le,71
fenêtre,fenêtre,22
d',de,81
un,un,52
de,de,81
mes,mon,73
amis,ami,21
/…,/…,P
d',de,81
un,un,52
de,de,81
vos,votre,73
amis,ami,21
?,?,p
interrompit,interrompre,19
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
-,-,p
sans,sans,81
doute,doute,21
;,;,p
Aramis,Aramis,20
est,être,17
de,de,81
mes,mon,73
meilleurs,meilleur,30
amis,ami,21
/.,/.,P
-,-,p
Aramis,Aramis,20
!,!,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
cela,cela,52
/?,/?,P
allons,aller,17
donc,donc,82
!,!,p
allez,aller,17
vous,vous,51
me,je,51
dire,dire,14
que,que,83
vous,vous,51
ne,ne,60
connaissez,connaître,17
pas,pas,60
Aramis,Aramis,20
/?,/?,P
c',ce,52
est,être,17
la,le,71
première,premier,72
fois,fois,22
que,que,83
j',je,51
entends,entendre,17
prononcer,prononcer,14
ce,ce,74
nom,nom,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
donc,donc,82
la,le,71
première,premier,72
fois,fois,22
que,que,83
vous,vous,51
venez,venir,17
à,à,81
cette,ce,74
maison,maison,22
/?,/?,P
sans,sans,81
doute,doute,21
/.,/.,P
-,-,p
et,et,82
vous,vous,51
ne,ne,60
saviez,savoir,18
pas,pas,60
qu',que,83
elle,il,51
fût,être,19
habitée,habiter,12
par,par,81
un,un,71
jeune,jeune,30
homme,homme,21
/?,/?,P
non,non,60
/.,/.,P
-,-,p
par,par,81
un,un,71
mousquetaire,mousquetaire,21
/?,/?,P
nullement,nullement,60
/.,/.,P
-,-,p
ce,ce,52
n',ne,60
est,être,17
donc,donc,82
pas,pas,60
lui,lui,51
que,que,83
vous,vous,51
veniez,venir,17
chercher,chercher,14
/?,/?,P
pas,pas,60
le,le,71
moins,moins,60
du,de,81
du,le,71
monde,monde,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
vous,vous,51
l',le,52
avez,avoir,17
bien,bien,60
vu,voir,12
",",",",p
la,le,71
personne,personne,22
à,à,81
qui,qui,52
j',je,51
ai,avoir,17
parlé,parler,12
est,être,17
une,un,71
femme,femme,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
;,;,p
mais,mais,82
cette,ce,74
femme,femme,22
est,être,17
des,de,81
des,le,71
amies,amie,22
d',de,81
Aramis,Aramis,20
/.,/.,P
-,-,p
je,je,51
n',ne,60
en,en,52
sais,savoir,17
rien,rien,52
/.,/.,P
-,-,p
puisqu',puisque,83
elle,il,51
loge,loger,17
chez,chez,81
lui,lui,51
/.,/.,P
-,-,p
cela,cela,52
ne,ne,60
me,je,51
regarde,regarder,17
pas,pas,60
/.,/.,P
-,-,p
mais,mais,82
qui,qui,52
est,être,17
elle,il,51
/?,/?,P
oh,oh,93
!,!,p
cela,cela,52
n',ne,60
est,être,17
point,point,60
mon,mon,73
secret,secret,21
/.,/.,P
-,-,p
chère,cher,30
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
vous,vous,51
êtes,être,17
charmante,charmant,30
;,;,p
mais,mais,82
en,en,81
même,même,75
temps,temps,21
vous,vous,51
êtes,être,17
la,le,71
femme,femme,22
la,le,71
plus,plus,60
mystérieuse,mystérieux,30
/…,/…,P
est,être,17
ce,ce,52
que,que,83
je,je,51
perds,perdre,17
à,à,81
cela,cela,52
/?,/?,P
non,non,60
;,;,p
vous,vous,51
êtes,être,17
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
adorable,adorable,30
/.,/.,P
-,-,p
alors,alors,60
",",",",p
donnez,donner,17
moi,moi,51
le,le,71
bras,bras,21
/.,/.,P
-,-,p
bien,bien,60
volontiers,volontiers,60
/.,/.,P
et,et,82
maintenant,maintenant,60
/?,/?,P
maintenant,maintenant,60
",",",",p
conduisez,conduire,17
moi,moi,51
/.,/.,P
-,-,p
où,où,60
cela,cela,52
/?,/?,P
où,où,60
je,je,51
vais,aller,17
/.,/.,P
-,-,p
mais,mais,82
où,où,60
allez,aller,17
vous,vous,51
/?,/?,P
vous,vous,51
le,le,52
verrez,voir,15
",",",",p
puisque,puisque,83
vous,vous,51
me,je,51
laisserez,laisser,15
à,à,81
la,le,71
porte,porte,22
/.,/.,P
-,-,p
faudra,falloir,15
t,t,94
il,il,51
vous,vous,51
attendre,attendre,14
/?,/?,P
ce,ce,52
sera,être,15
inutile,inutile,30
/.,/.,P
-,-,p
vous,vous,51
reviendrez,revenir,15
donc,donc,82
seule,seul,30
/?,/?,P
peut-être,peut-être,60
oui,oui,60
",",",",p
peut-être,peut-être,60
non,non,60
/.,/.,P
-,-,p
mais,mais,82
la,le,71
personne,personne,22
qui,qui,52
vous,vous,51
accompagnera,accompagner,15
ensuite,ensuite,60
sera,être,15
t,t,94
elle,il,51
un,un,71
homme,homme,21
",",",",p
sera,être,15
t,t,94
elle,il,51
une,un,71
femme,femme,22
/?,/?,P
je,je,51
n',ne,60
en,en,52
sais,savoir,17
rien,rien,52
encore,encore,60
/.,/.,P
-,-,p
je,je,51
le,le,52
saurai,savoir,15
bien,bien,60
",",",",p
moi,moi,51
/!,/!,P
comment,comment,60
cela,cela,52
/?,/?,P
je,je,51
vous,vous,51
attendrai,attendre,15
pour,pour,81
vous,vous,51
voir,voir,14
sortir,sortir,14
/.,/.,P
-,-,p
en,en,81
ce,ce,74
cas,cas,21
",",",",p
adieu,adieu,21
/!,/!,P
comment,comment,60
cela,cela,52
/?,/?,P
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
vous,vous,51
/.,/.,P
-,-,p
mais,mais,82
vous,vous,51
aviez,avoir,18
réclamé,réclamer,12
/…,/…,P
l',le,71
aide,aide,22
d',de,81
un,un,71
gentilhomme,gentilhomme,21
",",",",p
et,et,82
non,non,60
la,le,71
surveillance,surveillance,22
d',de,81
un,un,71
espion,espion,21
/.,/.,P
-,-,p
le,le,71
mot,mot,21
est,être,17
un,un,71
peu,peu,60
dur,dur,30
/!,/!,P
comment,comment,60
appelle,appeler,17
t,t,94
on,on,51
ceux,celui,52
qui,qui,52
suivent,suivre,17
les,le,71
gens,gens,21
malgré,malgré,81
eux,ils,51
/?,/?,P
des,de,81
des,le,71
indiscrets,indiscret,21
/.,/.,P
-,-,p
le,le,71
mot,mot,21
est,être,17
trop,trop,60
doux,doux,30
/.,/.,P
-,-,p
allons,aller,17
",",",",p
madame,madame,22
",",",",p
je,je,51
vois,voir,17
bien,bien,60
qu',que,83
il,il,51
faut,falloir,17
faire,faire,14
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
voulez,vouloir,17
/.,/.,P
-,-,p
pourquoi,pourquoi,60
vous,vous,51
être,être,14
privé,priver,12
du,de,81
du,le,71
mérite,mérite,21
de,de,81
le,le,52
faire,faire,14
tout,tout,60
de,de,81
suite,suite,22
/?,/?,P
n',ne,60
y,y,52
en,en,52
a,avoir,17
t,t,94
il,il,51
donc,donc,82
aucun,aucun,52
à,à,81
se,se,51
repentir,repentir,14
/?,/?,P
et,et,82
vous,vous,51
repentez,repentir,17
vous,vous,51
réellement,réellement,60
/?,/?,P
je,je,51
n',ne,60
en,en,52
sais,savoir,17
rien,rien,52
moi-même,moi-même,51
/.,/.,P
mais,mais,82
ce,ce,52
que,que,52
je,je,51
sais,savoir,17
",",",",p
c',ce,52
est,être,17
que,que,83
je,je,51
vous,vous,51
promets,promettre,17
de,de,81
faire,faire,14
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
voudrez,vouloir,15
si,si,83
vous,vous,51
me,je,51
laissez,laisser,17
vous,vous,51
accompagner,accompagner,14
jusqu',jusque,81
où,où,60
vous,vous,51
allez,aller,17
/.,/.,P
-,-,p
et,et,82
vous,vous,51
me,je,51
quitterez,quitter,15
après,après,81
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
sans,sans,81
m',je,51
épier,épier,14
à,à,81
ma,mon,73
sortie,sortie,22
/?,/?,P
non,non,60
/.,/.,P
-,-,p
parole,parole,22
d',de,81
honneur,honneur,21
/?,/?,P
foi,foi,22
de,de,81
gentilhomme,gentilhomme,21
/!,/!,P
prenez,prendre,17
mon,mon,73
bras,bras,21
et,et,82
marchons,marcher,17
alors,alors,60
/.,/.,P
“,“,p
d',de,81
Artagnan,Artagnan,20
offrit,offrir,19
son,son,73
bras,bras,21
à,à,81
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
qui,qui,52
s',se,51
y,y,52
suspendit,suspendre,19
",",",",p
moitié,moitié,22
rieuse,rieur,30
",",",",p
moitié,moitié,22
