11443
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-huitième extrait>,<>,<>
ce,ce,74
nom,nom,21
/.,/.,P
-,-,p
Dalens,Dalens,20
?,?,p
dit,dire,19
elle,il,51
",",",",p
c',ce,52
est,être,17
un,un,71
ami,ami,21
de,de,81
mon,mon,73
mari,mari,21
/.,/.,P
elle,il,51
me,je,51
regardait,regarder,18
comme,comme,83
pour,pour,81
ajouter,ajouter,14
:,:,p
-,-,p
à,à,81
propos,propos,21
de,de,81
quoi,quoi,52
cette,ce,74
question,question,22
/?,/?,P
il,il,51
me,je,51
sembla,sembler,19
que,que,83
son,son,73
visage,visage,21
s',se,51
était,être,18
rembruni,rembrunir,12
/.,/.,P
je,je,51
me,je,51
mordis,mordre,19
les,le,71
lèvres,lèvre,22
/.,/.,P
-,-,p
si,si,83
elle,il,51
veut,vouloir,17
me,je,51
tromper,tromper,14
",",",",p
pensai,penser,19
je,je,51
",",",",p
j',je,51
ai,avoir,17
eu,avoir,12
tort,tort,21
de,de,81
parler,parler,14
/.,/.,P
Brigitte,Brigitte,20
se,se,51
leva,lever,19
avec,avec,81
peine,peine,22
;,;,p
elle,il,51
prit,prendre,19
son,son,73
éventail,éventail,21
et,et,82
marcha,marcher,19
à,à,81
grands,grand,30
pas,pas,21
dans,dans,81
la,le,71
chambre,chambre,22
/.,/.,P
elle,il,51
respirait,respirer,18
avec,avec,81
violence,violence,22
;,;,p
je,je,51
l',le,52
avais,avoir,18
blessée,blesser,12
/.,/.,P
elle,il,51
resta,rester,19
quelque,quelque,75
temps,temps,21
pensive,pensif,30
",",",",p
et,et,82
nous,nous,51
échangeâmes,échanger,19
deux,deux,72
ou,ou,82
trois,trois,72
regards,regard,21
presque,presque,60
froids,froid,30
et,et,82
presque,presque,60
ennemis,ennemi,30
/.,/.,P
elle,il,51
alla,aller,19
à,à,81
son,son,73
secrétaire,secrétaire,21
qu',que,52
elle,il,51
ouvrit,ouvrir,19
",",",",p
en,en,52
tira,tirer,19
un,un,71
paquet,paquet,21
de,de,81
lettres,lettre,22
attachées,attaché,31
avec,avec,81
de,de,81
la,le,71
soie,soie,22
et,et,82
le,le,52
jeta,jeter,19
devant,devant,81
moi,moi,51
sans,sans,81
dire,dire,14
un,un,71
mot,mot,21
/.,/.,P
mais,mais,82
je,je,51
ne,ne,60
regardais,regarder,18
ni,ni,82
elle,il,51
ni,ni,82
ses,son,73
lettres,lettre,22
;,;,p
je,je,51
venais,venir,18
de,de,81
lancer,lancer,14
une,un,71
pierre,pierre,22
dans,dans,81
un,un,71
abîme,abîme,21
et,et,82
j',je,51
en,en,52
écoutais,écouter,18
retentir,retentir,14
l',le,71
écho,écho,21
/.,/.,P
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
",",",",p
sur,sur,81
le,le,71
visage,visage,21
de,de,81
Brigitte,Brigitte,20
",",",",p
avait,avoir,18
paru,paraître,12
l',le,71
orgueil,orgueil,21
offensé,offensé,31
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
dans,dans,81
ses,son,73
yeux,oeil,21
ni,ni,82
inquiétude,inquiétude,22
ni,ni,82
pitié,pitié,22
",",",",p
et,et,82
comme,comme,83
je,je,51
venais,venir,18
de,de,81
me,je,51
sentir,sentir,14
tout,tout,60
autre,autre,52
que,que,83
je,je,51
n',ne,60
avais,avoir,18
jamais,jamais,60
été,être,12
",",",",p
je,je,51
venais,venir,18
aussi,aussi,60
de,de,81
voir,voir,14
en,en,81
elle,il,51
une,un,71
femme,femme,22
qui,qui,52
m',je,51
était,être,18
inconnue,inconnu,30
/.,/.,P
-,-,p
lisez,lire,17
cela,cela,52
",",",",p
dit,dire,19
elle,il,51
enfin,enfin,60
/.,/.,P
je,je,51
m',je,51
avançai,avancer,19
et,et,82
lui,lui,51
tendis,tendre,19
la,le,71
main,main,22
/.,/.,P
-,-,p
lisez,lire,17
cela,cela,52
",",",",p
lisez,lire,17
cela,cela,52
",",",",p
répéta,répéter,19
t,t,94
elle,il,51
d',de,81
un,un,71
ton,ton,21
glacé,glacé,31
/.,/.,P
je,je,51
tenais,tenir,18
les,le,71
lettres,lettre,22
/.,/.,P
je,je,51
me,je,51
sentis,sentir,19
en,en,81
ce,ce,74
moment,moment,21
si,si,60
persuadé,persuadé,31
de,de,81
son,son,73
innocence,innocence,22
",",",",p
et,et,82
je,je,51
me,je,51
trouvais,trouver,18
si,si,60
injuste,injuste,30
",",",",p
que,que,83
j',je,51
étais,être,18
pénétré,pénétrer,12
de,de,81
repentir,repentir,21
/.,/.,P
-,-,p
vous,vous,51
me,je,51
rappelez,rappeler,17
",",",",p
me,je,51
dit,dire,19
elle,il,51
",",",",p
que,que,83
je,je,51
vous,vous,51
dois,devoir,17
l',le,71
histoire,histoire,22
de,de,81
ma,mon,73
vie,vie,22
;,;,p
asseyez,asseoir,17
vous,vous,51
là,là,60
et,et,82
vous,vous,51
la,le,52
saurez,savoir,15
/.,/.,P
vous,vous,51
ouvrirez,ouvrir,15
ensuite,ensuite,60
ces,ce,74
tiroirs,tiroir,21
",",",",p
et,et,82
vous,vous,51
lirez,lire,15
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
ici,ici,60
de,de,81
ma,mon,73
main,main,22
ou,ou,82
de,de,81
mains,main,22
étrangères,étranger,30
/.,/.,P
elle,il,51
s',se,51
assit,asseoir,19
et,et,82
me,je,51
montra,montrer,19
un,un,71
fauteuil,fauteuil,21
/.,/.,P
je,je,51
vis,voir,19
l',le,71
effort,effort,21
qu',que,52
elle,il,51
faisait,faire,18
pour,pour,81
parler,parler,14
/.,/.,P
elle,il,51
était,être,18
pâle,pâle,30
comme,comme,83
la,le,71
mort,mort,22
;,;,p
sa,son,73
voix,voix,22
altérée,altéré,31
sortait,sortir,18
avec,avec,81
peine,peine,22
",",",",p
et,et,82
sa,son,73
gorge,gorge,22
se,se,51
contractait,contracter,18
/.,/.,P
-,-,p
Brigitte,Brigitte,20
/!,/!,P
Brigitte,Brigitte,20
!,!,p
m',je,51
écriai,écrier,19
je,je,51
",",",",p
au,à,81
au,le,71
nom,nom,21
du,de,81
du,le,71
ciel,ciel,21
",",",",p
ne,ne,60
parlez,parler,17
pas,pas,60
/!,/!,P
dieu,dieu,21
m',je,51
est,être,17
témoin,témoin,21
que,que,52
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
né,naître,12
tel,tel,75
que,que,83
vous,vous,51
me,je,51
croyez,croire,17
;,;,p
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
été,être,12
de,de,81
ma,mon,73
vie,vie,22
ni,ni,82
soupçonneux,soupçonneux,30
ni,ni,82
défiant,défiant,30
/.,/.,P
on,on,51
m',je,51
a,avoir,17
perdu,perdre,12
",",",",p
on,on,51
m',je,51
a,avoir,17
faussé,fausser,12
le,le,71
coeur,coeur,21
/.,/.,P
une,un,71
expérience,expérience,22
déplorable,déplorable,30
m',je,51
a,avoir,17
conduit,conduire,12
dans,dans,81
un,un,71
précipice,précipice,21
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
vu,voir,12
",",",",p
depuis,depuis,81
un,un,71
an,an,21
",",",",p
que,que,83
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
mal,mal,60
ici-bas,ici-bas,60
/.,/.,P
dieu,dieu,21
m',je,51
est,être,17
témoin,témoin,21
que,que,52
jusqu',jusque,81
à,à,81
ce,ce,74
jour,jour,21
je,je,51
ne,ne,60
me,je,51
croyais,croire,18
pas,pas,60
moi-même,moi-même,51
capable,capable,30
de,de,81
ce,ce,74
rôle,rôle,21
ignoble,ignoble,30
",",",",p
le,le,71
dernier,dernier,21
de,de,81
tous,tout,52
",",",",p
celui,celui,52
d',de,81
un,un,71
jaloux,jaloux,21
/.,/.,P
dieu,dieu,21
m',je,51
est,être,17
témoin,témoin,21
que,que,52
je,je,51
vous,vous,51
aime,aimer,17
et,et,82
qu',que,52
il,il,51
n',ne,60
y,y,52
a,avoir,17
que,que,83
vous,vous,51
en,en,81
ce,ce,74
monde,monde,21
qui,qui,52
puissiez,pouvoir,17
me,je,51
guérir,guérir,14
du,de,81
du,le,71
passé,passé,21
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
eu,avoir,12
affaire,affaire,22
jusqu'ici,jusqu'ici,81
qu',que,83
à,à,81
des,de,81
des,le,71
femmes,femme,22
qui,qui,52
m',je,51
ont,avoir,17
trompé,tromper,12
",",",",p
ou,ou,82
qui,qui,52
étaient,être,18
indignes,indigne,30
d',de,81
amour,amour,21
/.,/.,P
j',je,51
ai,avoir,17
mené,mener,12
la,le,71
vie,vie,22
d',de,81
un,un,71
libertin,libertin,21
;,;,p
j',je,51
ai,avoir,17
dans,dans,81
le,le,71
coeur,coeur,21
des,de,81
des,le,71
souvenirs,souvenir,21
qui,qui,52
ne,ne,60
s',se,51
en,en,52
effaceront,effacer,15
jamais,jamais,60
/.,/.,P
est,être,17
ce,ce,52
ma,mon,73
faute,faute,22
si,si,83
une,un,71
calomnie,calomnie,22
",",",",p
si,si,83
l',le,71
accusation,accusation,22
la,le,71
plus,plus,60
vague,vague,30
",",",",p
la,le,71
plus,plus,60
insoutenable,insoutenable,30
",",",",p
rencontre,rencontrer,17
aujourd'hui,aujourd'hui,60
dans,dans,81
ce,ce,74
coeur,coeur,21
des,de,81
des,le,71
fibres,fibre,22
encore,encore,60
souffrantes,souffrant,30
",",",",p
prêtes,prêt,30
à,à,81
accueillir,accueillir,14
tout,tout,52
ce,ce,52
qui,qui,52
ressemble,ressembler,17
à,à,81
de,de,81
la,le,71
douleur,douleur,22
/?,/?,P
on,on,51
m',je,51
a,avoir,17
parlé,parler,12
ce,ce,74
soir,soir,21
d',de,81
un,un,71
homme,homme,21
que,que,52
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
",",",",p
dont,dont,52
je,je,51
ne,ne,60
savais,savoir,18
pas,pas,60
l',le,71
existence,existence,22
;,;,p
on,on,51
m',je,51
a,avoir,17
fait,faire,12
entendre,entendre,14
qu',que,83
il,il,51
y,y,52
avait,avoir,18
eu,avoir,12
",",",",p
sur,sur,81
vous,vous,51
et,et,82
sur,sur,81
lui,lui,51
",",",",p
des,de,81
des,le,71
propos,propos,21
tenus,tenu,31
qui,qui,52
ne,ne,60
prouvent,prouver,17
rien,rien,52
;,;,p
je,je,51
ne,ne,60
veux,vouloir,17
rien,rien,52
vous,vous,51
en,en,52
demander,demander,14
;,;,p
j',je,51
en,en,52
ai,avoir,17
souffert,souffrir,12
",",",",p
je,je,51
vous,vous,51
l',le,52
ai,avoir,17
avoué,avouer,12
",",",",p
et,et,82
c',ce,52
est,être,17
un,un,71
tort,tort,21
irréparable,irréparable,30
/.,/.,P
mais,mais,82
plutôt,plutôt,60
que,que,83
d',de,81
accepter,accepter,14
ce,ce,52
que,que,52
vous,vous,51
me,je,51
proposez,proposer,17
",",",",p
je,je,51
vais,aller,17
tout,tout,52
jeter,jeter,14
dans,dans,81
le,le,71
feu,feu,21
/.,/.,P
ah,ah,93
!,!,p
mon,mon,73
amie,amie,22
",",",",p
ne,ne,60
me,je,51
dégradez,dégrader,17
pas,pas,60
;,;,p
n',ne,60
en,en,52
venez,venir,17
pas,pas,60
à,à,81
vous,vous,51
justifier,justifier,14
",",",",p
ne,ne,60
me,je,51
punissez,punir,17
pas,pas,60
de,de,81
souffrir,souffrir,14
/.,/.,P
comment,comment,60
pourrais,pouvoir,16
je,je,51
",",",",p
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
",",",",p
vous,vous,51
soupçonner,soupçonner,14
de,de,81
me,je,51
tromper,tromper,14
/?,/?,P
non,non,60
",",",",p
vous,vous,51
êtes,être,17
belle,beau,30
et,et,82
vous,vous,51
êtes,être,17
sincère,sincère,30
;,;,p
un,un,71
seul,seul,30
de,de,81
vos,votre,73
regards,regard,21
",",",",p
Brigitte,Brigitte,20
",",",",p
m',je,51
en,en,52
dit,dire,17
plus,plus,60
long,long,60
que,que,83
je,je,51
n',ne,60
en,en,52
demande,demander,17
pour,pour,81
vous,vous,51
aimer,aimer,14
/.,/.,P
si,si,83
vous,vous,51
saviez,savoir,18
quelles,quel,75
horreurs,horreur,22
",",",",p
quelles,quel,75
perfidies,perfidie,22
monstrueuses,monstrueux,30
a,avoir,17
vues,voir,12
l',le,71
enfant,enfant,21
qui,qui,52
est,être,17
devant,devant,81
vous,vous,51
/!,/!,P
si,si,83
vous,vous,51
saviez,savoir,18
comme,comme,83
on,on,51
l',le,52
a,avoir,17
traité,traiter,12
",",",",p
comme,comme,83
on,on,51
s',se,51
est,être,17
raillé,railler,12
de,de,81
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
de,de,81
bon,bon,30
",",",",p
comme,comme,83
on,on,51
a,avoir,17
pris,prendre,12
soin,soin,21
de,de,81
lui,lui,51
apprendre,apprendre,14
tout,tout,52
ce,ce,52
qui,qui,52
peut,pouvoir,17
mener,mener,14
au,à,81
au,le,71
doute,doute,21
",",",",p
à,à,81
la,le,71
jalousie,jalousie,22
",",",",p
au,à,81
au,le,71
désespoir,désespoir,21
/!,/!,P
hélas,hélas,60
!,!,p
hélas,hélas,60
!,!,p
ma,mon,73
chère,cher,30
maîtresse,maîtresse,22
",",",",p
si,si,83
vous,vous,51
saviez,savoir,18
qui,qui,52
vous,vous,51
aimez,aimer,17
/!,/!,P
ne,ne,60
me,je,51
faites,faire,17
point,point,60
de,de,81
reproches,reproche,21
;,;,p
ayez,avoir,17
le,le,71
courage,courage,21
de,de,81
me,je,51
plaindre,plaindre,14
;,;,p
j',je,51
ai,avoir,17
besoin,besoin,21
d',de,81
oublier,oublier,14
qu',que,83
il,il,51
existe,exister,17
d',de,81
autres,autre,75
êtres,être,21
que,que,83
vous,vous,51
/.,/.,P
qui,qui,52
sait,savoir,17
par,par,81
quelles,quel,75
épreuves,épreuve,22
",",",",p
par,par,81
quels,quel,75
affreux,affreux,30
moments,moment,21
de,de,81
douleur,douleur,22
il,il,51
ne,ne,60
va,aller,17
pas,pas,60
falloir,falloir,14
que,que,83
je,je,51
passe,passer,17
/!,/!,P
je,je,51
ne,ne,60
me,je,51
doutais,douter,18
pas,pas,60
qu',que,83
il,il,51
en,en,52
pût,pouvoir,18
être,être,14
ainsi,ainsi,60
",",",",p
je,je,51
ne,ne,60
croyais,croire,18
pas,pas,60
avoir,avoir,14
à,à,81
combattre,combattre,14
/.,/.,P
depuis,depuis,81
que,que,83
vous,vous,51
êtes,être,17
à,à,81
moi,moi,51
",",",",p
je,je,51
m',je,51
aperçois,apercevoir,17
de,de,81
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
fait,faire,12
;,;,p
j',je,51
ai,avoir,17
senti,sentir,12
en,en,81
vous,vous,51
embrassant,embrasser,13
combien,combien,60
mes,mon,73
lèvres,lèvre,22
s',se,51
étaient,être,18
souillées,souiller,12
/.,/.,P
au,à,81
au,le,71
nom,nom,21
du,de,81
du,le,71
ciel,ciel,21
",",",",p
aidez,aider,17
moi,moi,51
à,à,81
vivre,vivre,14
/!,/!,P
dieu,dieu,21
m',je,51
a,avoir,17
fait,faire,12
meilleur,meilleur,30
que,que,83
cela,cela,52
/.,/.,P
Brigitte,Brigitte,20
me,je,51
tendit,tendre,19
les,le,71
bras,bras,21
",",",",p
me,je,51
fit,faire,19
les,le,71
plus,plus,60
tendres,tendre,30
caresses,caresse,22
/.,/.,P
elle,il,51
me,je,51
pria,prier,19
de,de,81
lui,lui,51
conter,conter,14
tout,tout,52
ce,ce,52
qui,qui,52
avait,avoir,18
donné,donner,12
lieu,lieu,21
à,à,81
cette,ce,74
triste,triste,30
scène,scène,22
/.,/.,P
je,je,51
ne,ne,60
lui,lui,51
parlai,parler,19
que,que,83
de,de,81
ce,ce,52
que,que,52
m',je,51
avait,avoir,18
dit,dire,12
Larive,Larive,20
",",",",p
et,et,82
n',ne,60
osai,oser,19
lui,lui,51
avouer,avouer,14
que,que,83
j',je,51
avais,avoir,18
interrogé,interroger,12
Mercanson,Mercanson,20
/.,/.,P
elle,il,51
voulut,vouloir,19
absolument,absolument,60
que,que,83
j',je,51
écoutasse,écouter,18
ses,son,73
explications,explication,22
/.,/.,P
monsieur,monsieur,21
de,de,81
Dalens,Dalens,20
l',le,52
avait,avoir,18
aimée,aimer,12
;,;,p
mais,mais,82
c',ce,52
était,être,18
un,un,71
homme,homme,21
léger,léger,30
",",",",p
très,très,60
dissipé,dissiper,12
et,et,82
très,très,60
inconstant,inconstant,30
;,;,p
elle,il,51
lui,lui,51
avait,avoir,18
fait,faire,12
comprendre,comprendre,14
que,que,83
",",",",p
ne,ne,60
voulant,vouloir,13
pas,pas,60
se,se,51
remarier,remarier,14
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
que,que,83
le,le,52
prier,prier,14
de,de,81
changer,changer,14
de,de,81
langage,langage,21
",",",",p
et,et,82
il,il,51
s',se,51
était,être,18
résigné,résigner,12
de,de,81
bonne,bon,30
grâce,grâce,22
;,;,p
mais,mais,82
ses,son,73
visites,visite,22
",",",",p
depuis,depuis,81
ce,ce,74
temps,temps,21
",",",",p
avaient,avoir,18
toujours,toujours,60
été,être,12
plus,plus,60
rares,rare,30
",",",",p
et,et,82
aujourd'hui,aujourd'hui,60
il,il,51
ne,ne,60
venait,venir,18
plus,plus,60
/.,/.,P
elle,il,51
tira,tirer,19
de,de,81
la,le,71
liasse,liasse,22
une,un,71
lettre,lettre,22
qu',que,52
elle,il,51
me,je,51
montra,montrer,19
",",",",p
et,et,82
dont,dont,52
la,le,71
date,date,22
était,être,18
récente,récent,30
;,;,p
je,je,51
ne,ne,60
pus,pouvoir,19
m',je,51
empêcher,empêcher,14
de,de,81
rougir,rougir,14
en,en,81
y,y,52
trouvant,trouver,13
la,le,71
confirmation,confirmation,22
de,de,81
ce,ce,52
qu',que,52
elle,il,51
venait,venir,18
de,de,81
me,je,51
dire,dire,14
;,;,p
elle,il,51
m',je,51
assura,assurer,19
qu',que,83
elle,il,51
me,je,51
pardonnait,pardonner,18
",",",",p
et,et,82
exigea,exiger,19
de,de,81
moi,moi,51
",",",",p
pour,pour,81
tout,tout,75
châtiment,châtiment,21
",",",",p
la,le,71
promesse,promesse,22
que,que,52
dorénavant,dorénavant,60
je,je,51
lui,lui,51
ferais,faire,16
part,part,22
à,à,81
l',le,71
instant,instant,21
même,même,30
de,de,81
ce,ce,52
qui,qui,52
pourrait,pouvoir,16
éveiller,éveiller,14
en,en,81
moi,moi,51
quelque,quelque,75
soupçon,soupçon,21
sur,sur,81
elle,il,51
/.,/.,P
notre,notre,73
traité,traité,21
fut,être,19
scellé,sceller,12
d',de,81
un,un,71
baiser,baiser,21
",",",",p
et,et,82
lorsque,lorsque,83
je,je,51
partis,partir,19
",",",",p
au,à,81
au,le,71
jour,jour,21
",",",",p
nous,nous,51
avions,avoir,18
oublié,oublier,12
tous,tout,75
deux,deux,72
que,que,83
monsieur,monsieur,21
de,de,81
Dalens,Dalens,20
existât,exister,18
/.,/.,P
<Chapitre II>,<>,<>
une,un,71
espèce,espèce,22
d',de,81
inertie,inertie,22
stagnante,stagnant,30
",",",",p
colorée,coloré,31
d',de,81
une,un,71
joie,joie,22
amère,amer,30
",",",",p
est,être,17
ordinaire,ordinaire,30
aux,à,81
aux,le,71
débauchés,débauché,21
/.,/.,P
c',ce,52
est,être,17
une,un,71
suite,suite,22
d',de,81
une,un,71
vie,vie,22
de,de,81
caprice,caprice,21
",",",",p
où,où,60
rien,rien,52
n',ne,60
est,être,17
réglé,régler,12
sur,sur,81
les,le,71
besoins,besoin,21
du,de,81
du,le,71
corps,corps,21
",",",",p
mais,mais,82
sur,sur,81
les,le,71
fantaisies,fantaisie,22
de,de,81
l',le,71
esprit,esprit,21
",",",",p
et,et,82
où,où,60
l',le,71
un,un,52
doit,devoir,17
toujours,toujours,60
être,être,14
prêt,prêt,30
à,à,81
obéir,obéir,14
à,à,81
l',le,71
autre,autre,52
/.,/.,P
la,le,71
jeunesse,jeunesse,22
et,et,82
la,le,71
volonté,volonté,22
peuvent,pouvoir,17
résister,résister,14
aux,à,81
aux,le,71
excès,excès,21
;,;,p
mais,mais,82
la,le,71
nature,nature,22
se,se,51
venge,venger,17
en,en,81
silence,silence,21
",",",",p
et,et,82
le,le,71
jour,jour,21
où,où,60
elle,il,51
décide,décider,17
qu',que,83
elle,il,51
va,aller,17
réparer,réparer,14
sa,son,73
force,force,22
",",",",p
la,le,71
volonté,volonté,22
meurt,mourir,17
pour,pour,81
l',le,52
attendre,attendre,14
et,et,82
en,en,52
abuser,abuser,14
de,de,81
nouveau,nouveau,21
/.,/.,P
retrouvant,retrouver,13
alors,alors,60
autour,autour,60
de,de,81
lui,lui,51
tous,tout,75
les,le,71
objets,objet,21
qui,qui,52
le,le,52
tentaient,tenter,18
la,le,71
veille,veille,22
",",",",p
l',le,71
homme,homme,21
",",",",p
qui,qui,52
n',ne,60
a,avoir,17
plus,plus,60
la,le,71
force,force,22
de,de,81
s',se,51
en,en,52
saisir,saisir,14
",",",",p
ne,ne,60
peut,pouvoir,17
rendre,rendre,14
à,à,81
ce,ce,52
qui,qui,52
l',le,52
entoure,entourer,17
que,que,83
le,le,71
sourire,sourire,21
du,de,81
du,le,71
dégoût,dégoût,21
/.,/.,P
ajoutez,ajouter,17
que,que,83
ces,ce,74
objets,objet,21
mêmes,même,30
",",",",p
qui,qui,52
excitaient,exciter,18
hier,hier,60
son,son,73
désir,désir,21
",",",",p
ne,ne,60
sont,être,17
jamais,jamais,60
abordés,aborder,12
de,de,81
sang-froid,sang-froid,21
;,;,p
tout,tout,52
ce,ce,52
qu',que,52
aime,aimer,17
le,le,71
débauché,débauché,21
",",",",p
il,il,51
s',se,51
en,en,52
empare,emparer,17
avec,avec,81
violence,violence,22
",",",",p
sa,son,73
vie,vie,22
est,être,17
une,un,71
fièvre,fièvre,22
;,;,p
ses,son,73
organes,organe,21
",",",",p
pour,pour,81
chercher,chercher,14
la,le,71
jouissance,jouissance,22
",",",",p
sont,être,17
obligés,obliger,12
de,de,81
se,se,51
mettre,mettre,14
au,à,81
au,le,71
pair,pair,21
avec,avec,81
des,de,81
des,le,71
liqueurs,liqueur,22
fermentées,fermenté,31
",",",",p
des,de,81
des,le,71
courtisanes,courtisane,22
et,et,82
des,de,81
des,le,71
nuits,nuit,22
sans,sans,81
sommeil,sommeil,21
;,;,p
dans,dans,81
ses,son,73
jours,jour,21
d',de,81
ennui,ennui,21
et,et,82
de,de,81
paresse,paresse,22
",",",",p
il,il,51
sent,sentir,17
donc,donc,82
une,un,52
bien,bien,60
plus,plus,60
grande,grand,30
distance,distance,22
qu',que,83
un,un,71
autre,autre,75
homme,homme,21
entre,entre,81
son,son,73
impuissance,impuissance,22
et,et,82
ses,son,73
tentations,tentation,22
",",",",p
et,et,82
",",",",p
pour,pour,81
résister,résister,14
à,à,81
celles-ci,celui-ci,52
",",",",p
il,il,51
faut,falloir,17
que,que,83
l',le,71
orgueil,orgueil,21
vienne,venir,17
à,à,81
son,son,73
secours,secours,21
et,et,82
lui,lui,51
fasse,faire,17
croire,croire,14
qu',que,83
il,il,51
les,le,52
dédaigne,dédaigner,17
/.,/.,P
c',ce,52
est,être,17
ainsi,ainsi,60
qu',que,83
il,il,51
crache,cracher,17
sans,sans,81
cesse,cesse,22
sur,sur,81
tous,tout,75
les,le,71
festins,festin,21
de,de,81
sa,son,73
vie,vie,22
",",",",p
et,et,82
qu',que,83
entre,entre,81
une,un,71
soif,soif,22
ardente,ardent,30
et,et,82
une,un,71
profonde,profond,30
satiété,satiété,22
",",",",p
la,le,71
vanité,vanité,22
tranquille,tranquille,30
le,le,52
conduit,conduire,17
à,à,81
la,le,71
mort,mort,22
/.,/.,P
quoique,quoique,83
je,je,51
ne,ne,60
fusse,être,18
plus,plus,60
un,un,71
débauché,débauché,21
",",",",p
il,il,51
m',je,51
arriva,arriver,19
tout,tout,60
à,à,81
coup,coup,21
que,que,83
mon,mon,73
corps,corps,21
se,se,51
souvint,souvenir,19
de,de,81
l',le,52
avoir,avoir,14
été,être,12
/.,/.,P
il,il,51
est,être,17
tout,tout,60
simple,simple,30
que,que,83
jusque-là,jusque-là,81
je,je,51
ne,ne,60
m',je,51
en,en,52
fusse,être,18
pas,pas,60
aperçu,apercevoir,12
/.,/.,P
devant,devant,81
la,le,71
douleur,douleur,22
que,que,52
j',je,51
avais,avoir,18
ressentie,ressentir,12
à,à,81
la,le,71
mort,mort,22
de,de,81
mon,mon,73
père,père,21
",",",",p
tout,tout,52
",",",",p
d'abord,d'abord,60
",",",",p
avait,avoir,18
fait,faire,12
silence,silence,21
/.,/.,P
un,un,71
amour,amour,21
violent,violent,30
était,être,18
venu,venir,12
;,;,p
tant,tant,60
que,que,83
j',je,51
étais,être,18
dans,dans,81
la,le,71
solitude,solitude,22
",",",",p
l',le,71
ennui,ennui,21
n',ne,60
avait,avoir,18
pas,pas,60
à,à,81
lutter,lutter,14
/.,/.,P
triste,triste,30
ou,ou,82
gai,gai,30
",",",",p
comme,comme,83
vient,venir,17
le,le,71
temps,temps,21
",",",",p
qu',que,52
importe,importer,17
à,à,81
celui,celui,52
qui,qui,52
est,être,17
seul,seul,30
/?,/?,P
comme,comme,83
le,le,71
zinc,zinc,21
",",",",p
ce,ce,74
demi-métal,demi-métal,21
",",",",p
tiré,tiré,31
de,de,81
la,le,71
veine,veine,22
bleuâtre,bleuâtre,30
où,où,60
il,il,51
dort,dormir,17
dans,dans,81
la,le,71
calamine,calamine,22
",",",",p
fait,faire,17
jaillir,jaillir,14
de,de,81
lui-même,lui-même,51
un,un,71
rayon,rayon,21
du,de,81
du,le,71
soleil,soleil,21
en,en,81
approchant,approcher,13
du,de,81
du,le,71
cuivre,cuivre,21
vierge,vierge,30
",",",",p
ainsi,ainsi,60
les,le,71
baisers,baiser,21
de,de,81
Brigitte,Brigitte,20
réveillèrent,réveiller,19
peu,peu,60
à,à,81
peu,peu,60
dans,dans,81
mon,mon,73
coeur,coeur,21
ce,ce,52
que,que,52
j',je,51
y,y,52
portais,porter,18
enfoui,enfoui,31
/.,/.,P
dès,dès,81
que,que,83
je,je,51
me,je,51
trouvai,trouver,19
vis-à-vis,vis-à-vis,60
d',de,81
elle,il,51
",",",",p
je,je,51
m',je,51
aperçus,apercevoir,19
de,de,81
ce,ce,52
que,que,52
j',je,51
étais,être,18
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
de,de,81
certains,certain,75
jours,jour,21
où,où,60
je,je,51
me,je,51
sentais,sentir,18
",",",",p
dès,dès,81
le,le,71
matin,matin,21
",",",",p
une,un,71
disposition,disposition,22
d',de,81
esprit,esprit,21
si,si,60
bizarre,bizarre,30
qu',que,83
il,il,51
est,être,17
impossible,impossible,30
de,de,81
la,le,52
qualifier,qualifier,14
/.,/.,P
je,je,51
me,je,51
réveillais,réveiller,18
",",",",p
sans,sans,81
motif,motif,21
",",",",p
comme,comme,83
un,un,71
homme,homme,21
qui,qui,52
a,avoir,17
fait,faire,12
la,le,71
veille,veille,22
un,un,71
excès,excès,21
de,de,81
table,table,22
qui,qui,52
l',le,52
a,avoir,17
épuisé,épuiser,12
/.,/.,P
toutes,tout,75
les,le,71
sensations,sensation,22
du,de,81
du,le,71
dehors,dehors,21
me,je,51
causaient,causer,18
une,un,71
fatigue,fatigue,22
insupportable,insupportable,30
",",",",p
tous,tout,75
les,le,71
objets,objet,21
connus,connu,31
et,et,82
habituels,habituel,30
me,je,51
rebutaient,rebuter,18
et,et,82
m',je,51
ennuyaient,ennuyer,18
;,;,p
si,si,83
je,je,51
