12334
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-deuxième extrait>,<>,<>
nouvelle,nouvelle,22
du,de,81
du,le,71
départ,départ,21
d',de,81
Arnoux,Arnoux,20
",",",",p
une,un,71
joie,joie,22
l',le,52
avait,avoir,18
saisi,saisir,12
/.,/.,P
il,il,51
pouvait,pouvoir,18
se,se,51
présenter,présenter,14
là-bas,là-bas,60
",",",",p
tout,tout,60
à,à,81
son,son,73
aise,aise,22
",",",",p
sans,sans,81
crainte,crainte,22
d',de,81
être,être,14
interrompu,interrompre,12
dans,dans,81
ses,son,73
visites,visite,22
/.,/.,P
la,le,71
conviction,conviction,22
d',de,81
une,un,71
sécurité,sécurité,22
absolue,absolu,30
lui,lui,51
donnerait,donner,16
du,de,81
du,le,71
courage,courage,21
/.,/.,P
enfin,enfin,60
il,il,51
ne,ne,60
serait,être,16
pas,pas,60
éloigné,éloigner,12
",",",",p
ne,ne,60
serait,être,16
pas,pas,60
séparé,séparer,12
d',de,81
elle,il,51
/!,/!,P
quelque,quelque,75
chose,chose,22
de,de,81
plus,plus,60
fort,fort,30
qu',que,83
une,un,71
chaîne,chaîne,22
de,de,81
fer,fer,21
l',le,52
attachait,attacher,18
à,à,81
Paris,Paris,20
",",",",p
une,un,71
voix,voix,22
intérieure,intérieur,30
lui,lui,51
criait,crier,18
de,de,81
rester,rester,14
/.,/.,P
des,de,81
des,le,71
obstacles,obstacle,21
s',se,51
y,y,52
opposaient,opposer,18
/.,/.,P
il,il,51
les,le,52
franchit,franchir,19
en,en,81
écrivant,écrire,13
à,à,81
sa,son,73
mère,mère,22
;,;,p
il,il,51
confessait,confesser,18
d'abord,d'abord,60
son,son,73
échec,échec,21
",",",",p
occasionné,occasionné,31
par,par,81
des,de,81
des,le,71
changements,changement,21
faits,fait,31
dans,dans,81
le,le,71
programme,programme,21
",",",",p
-,-,p
un,un,71
hasard,hasard,21
",",",",p
une,un,71
injustice,injustice,22
;,;,p
-,-,p
d',de,81
ailleurs,ailleurs,60
",",",",p
tous,tout,75
les,le,71
grands,grand,30
avocats,avocat,21
(,(,p
il,il,51
citait,citer,18
leurs,leur,73
noms,nom,21
),),p
avaient,avoir,18
été,être,12
refusés,refuser,12
à,à,81
leurs,leur,73
examens,examen,21
/.,/.,P
mais,mais,82
il,il,51
comptait,compter,18
se,se,51
présenter,présenter,14
de,de,81
nouveau,nouveau,21
au,à,81
au,le,71
mois,mois,21
de,de,81
novembre,novembre,21
/.,/.,P
or,or,82
",",",",p
n',ne,60
ayant,avoir,13
pas,pas,60
de,de,81
temps,temps,21
à,à,81
perdre,perdre,14
",",",",p
il,il,51
n',ne,60
irait,aller,16
point,point,60
à,à,81
la,le,71
maison,maison,22
cette,ce,74
année,année,22
;,;,p
et,et,82
il,il,51
demandait,demander,18
",",",",p
outre,outre,81
l',le,71
argent,argent,21
d',de,81
un,un,71
trimestre,trimestre,21
",",",",p
deux,deux,72
cent,cent,72
cinquante,cinquante,72
francs,franc,21
",",",",p
pour,pour,81
des,de,81
des,le,71
répétitions,répétition,22
de,de,81
droit,droit,21
",",",",p
fort,fort,60
utiles,utile,30
;,;,p
-,-,p
le,le,71
tout,tout,21
enguirlandé,enguirlandé,31
de,de,81
regrets,regret,21
",",",",p
condoléances,condoléances,22
",",",",p
chatteries,chatterie,22
et,et,82
protestations,protestation,22
d',de,81
amour,amour,21
filial,filial,30
/.,/.,P
madame,madame,22
Moreau,Moreau,20
",",",",p
qui,qui,52
l',le,52
attendait,attendre,18
le,le,71
lendemain,lendemain,21
",",",",p
fut,être,19
chagrinée,chagriner,12
doublement,doublement,60
/.,/.,P
elle,il,51
cacha,cacher,19
la,le,71
mésaventure,mésaventure,22
de,de,81
son,son,73
fils,fils,21
",",",",p
et,et,82
lui,lui,51
répondit,répondre,19
“,“,p
de,de,81
venir,venir,14
tout,tout,60
de,de,81
même,même,60
“,“,p
/.,/.,P
Frédéric,Frédéric,20
ne,ne,60
céda,céder,19
pas,pas,60
/.,/.,P
une,un,71
brouille,brouille,22
s',se,51
ensuivit,ensuivre,19
/.,/.,P
à,à,81
la,le,71
fin,fin,22
de,de,81
la,le,71
semaine,semaine,22
",",",",p
néanmoins,néanmoins,60
",",",",p
il,il,51
reçut,recevoir,19
l',le,71
argent,argent,21
du,de,81
du,le,71
trimestre,trimestre,21
avec,avec,81
la,le,71
somme,somme,22
destinée,destiné,31
aux,à,81
aux,le,71
répétitions,répétition,22
",",",",p
et,et,82
qui,qui,52
servit,servir,19
à,à,81
payer,payer,14
un,un,71
pantalon,pantalon,21
gris,gris,21
perle,perle,22
",",",",p
un,un,71
chapeau,chapeau,21
de,de,81
feutre,feutre,21
blanc,blanc,30
et,et,82
une,un,71
badine,badine,22
à,à,81
pomme,pomme,22
d',de,81
or,or,21
/.,/.,P
quand,quand,83
tout,tout,75
cela,cela,52
fut,être,19
en,en,81
sa,son,73
possession,possession,22
:,:,p
-,-,p
“,“,p
c',ce,52
est,être,17
peut-être,peut-être,60
une,un,71
idée,idée,22
de,de,81
coiffeur,coiffeur,21
que,que,52
j',je,51
ai,avoir,17
eue,avoir,12
?,?,p
“,“,p
songea,songer,19
t,t,94
il,il,51
/.,/.,P
et,et,82
une,un,71
grande,grand,30
hésitation,hésitation,22
le,le,52
prit,prendre,19
/.,/.,P
pour,pour,81
savoir,savoir,14
s',si,83
il,il,51
irait,aller,16
chez,chez,81
madame,madame,22
Arnoux,Arnoux,20
",",",",p
il,il,51
jeta,jeter,19
par,par,81
trois,trois,72
fois,fois,22
",",",",p
dans,dans,81
l',le,71
air,air,21
",",",",p
des,de,81
des,le,71
pièces,pièce,22
de,de,81
monnaie,monnaie,22
/.,/.,P
toutes,tout,75
les,le,71
fois,fois,22
",",",",p
le,le,71
présage,présage,21
fut,être,19
heureux,heureux,30
/.,/.,P
donc,donc,82
",",",",p
la,le,71
fatalité,fatalité,22
l',le,52
ordonnait,ordonner,18
/.,/.,P
il,il,51
se,se,51
fit,faire,19
conduire,conduire,14
en,en,81
fiacre,fiacre,21
rue,rue,22
de,de,81
Choiseul,Choiseul,20
/.,/.,P
il,il,51
monta,monter,19
vivement,vivement,60
l',le,71
escalier,escalier,21
",",",",p
tira,tirer,19
le,le,71
cordon,cordon,21
de,de,81
la,le,71
sonnette,sonnette,22
;,;,p
elle,il,51
ne,ne,60
sonna,sonner,19
pas,pas,60
;,;,p
il,il,51
se,se,51
sentait,sentir,18
près,près,81
de,de,81
défaillir,défaillir,14
/.,/.,P
puis,puis,60
il,il,51
ébranla,ébranler,19
",",",",p
d',de,81
un,un,71
coup,coup,21
furieux,furieux,30
",",",",p
le,le,71
lourd,lourd,30
gland,gland,21
de,de,81
soie,soie,22
rouge,rouge,30
/.,/.,P
un,un,71
carillon,carillon,21
retentit,retentir,19
",",",",p
s',se,51
apaisa,apaiser,19
par,par,81
degrés,degré,21
;,;,p
et,et,82
l',l',94
on,on,51
n',ne,60
entendait,entendre,18
plus,plus,60
rien,rien,52
/.,/.,P
Frédéric,Frédéric,20
eut,avoir,19
peur,peur,22
/.,/.,P
il,il,51
colla,coller,19
son,son,73
oreille,oreille,22
contre,contre,81
la,le,71
porte,porte,22
;,;,p
pas,pas,60
un,un,71
souffle,souffle,21
/!,/!,P
il,il,51
mit,mettre,19
son,son,73
oeil,oeil,21
au,à,81
au,le,71
trou,trou,21
de,de,81
la,le,71
serrure,serrure,22
",",",",p
et,et,82
il,il,51
n',ne,60
apercevait,apercevoir,18
dans,dans,81
l',le,71
antichambre,antichambre,22
que,que,83
deux,deux,72
pointes,pointe,22
de,de,81
roseau,roseau,21
",",",",p
sur,sur,81
la,le,71
muraille,muraille,22
",",",",p
parmi,parmi,81
les,le,71
fleurs,fleur,22
du,de,81
du,le,71
papier,papier,21
/.,/.,P
enfin,enfin,60
",",",",p
il,il,51
tournait,tourner,18
les,le,71
talons,talon,21
quand,quand,83
il,il,51
se,se,51
ravisa,raviser,19
/.,/.,P
cette,ce,74
fois,fois,22
",",",",p
il,il,51
donna,donner,19
un,un,71
petit,petit,30
coup,coup,21
",",",",p
léger,léger,30
/.,/.,P
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
;,;,p
et,et,82
",",",",p
sur,sur,81
le,le,71
seuil,seuil,21
",",",",p
les,le,71
cheveux,cheveu,21
ébouriffés,ébouriffé,31
",",",",p
la,le,71
face,face,22
cramoisie,cramoisi,30
et,et,82
l',le,71
air,air,21
maussade,maussade,30
",",",",p
Arnoux,Arnoux,20
lui-même,lui-même,51
parut,paraître,19
/.,/.,P
-,-,p
“,“,p
tiens,tenir,17
/!,/!,P
qui,qui,52
diable,diable,21
vous,vous,51
amène,amener,17
/?,/?,P
entrez,entrer,17
!,!,p
“,“,p
il,il,51
l',le,52
introduisit,introduire,19
",",",",p
non,non,60
dans,dans,81
le,le,71
boudoir,boudoir,21
ou,ou,82
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
mais,mais,82
dans,dans,81
la,le,71
salle,salle,22
à,à,81
manger,manger,14
",",",",p
où,où,60
l',l',94
on,on,51
voyait,voir,18
sur,sur,81
la,le,71
table,table,22
une,un,71
bouteille,bouteille,22
de,de,81
vin,vin,21
de,de,81
Champagne,Champagne,20
avec,avec,81
deux,deux,72
verres,verre,21
;,;,p
et,et,82
",",",",p
d',de,81
un,un,71
ton,ton,21
brusque,brusque,30
:,:,p
-,-,p
“,“,p
vous,vous,51
avez,avoir,17
quelque,quelque,75
chose,chose,22
à,à,81
me,je,51
demander,demander,14
",",",",p
cher,cher,30
ami,ami,21
?,?,p
“,“,p
-,-,p
“,“,p
non,non,60
!,!,p
rien,rien,52
!,!,p
rien,rien,52
!,!,p
“,“,p
balbutia,balbutier,19
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
cherchant,chercher,13
un,un,71
prétexte,prétexte,21
à,à,81
sa,son,73
visite,visite,22
/.,/.,P
enfin,enfin,60
",",",",p
il,il,51
dit,dire,19
qu',que,83
il,il,51
était,être,18
venu,venir,12
savoir,savoir,14
de,de,81
ses,son,73
nouvelles,nouvelle,22
",",",",p
car,car,82
il,il,51
le,le,52
croyait,croire,18
en,en,81
Allemagne,Allemagne,20
",",",",p
sur,sur,81
le,le,71
rapport,rapport,21
d',de,81
Hussonnet,Hussonnet,20
/.,/.,P
-,-,p
“,“,p
nullement,nullement,60
!,!,p
“,“,p
reprit,reprendre,19
Arnoux,Arnoux,20
/.,/.,P
“,“,p
quelle,quel,75
linotte,linotte,22
que,que,52
ce,ce,74
garçon,garçon,21
là,là,60
",",",",p
pour,pour,81
entendre,entendre,14
tout,tout,52
de,de,81
travers,travers,21
!,!,p
“,“,p
afin,afin,81
de,de,81
dissimuler,dissimuler,14
son,son,73
trouble,trouble,21
",",",",p
Frédéric,Frédéric,20
marchait,marcher,18
de,de,81
droite,droite,22
et,et,82
de,de,81
gauche,gauche,22
",",",",p
dans,dans,81
la,le,71
salle,salle,22
/.,/.,P
en,en,81
heurtant,heurter,13
le,le,71
pied,pied,21
d',de,81
une,un,71
chaise,chaise,22
",",",",p
il,il,51
fit,faire,19
tomber,tomber,14
une,un,71
ombrelle,ombrelle,22
posée,posé,31
dessus,dessus,60
;,;,p
le,le,71
manche,manche,21
d',de,81
ivoire,ivoire,21
se,se,51
brisa,briser,19
/.,/.,P
-,-,p
“,“,p
mon,mon,73
dieu,dieu,21
!,!,p
“,“,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
",",",",p
“,“,p
comme,comme,83
je,je,51
suis,être,17
chagrin,chagrin,30
d',de,81
avoir,avoir,14
brisé,briser,12
l',le,71
ombrelle,ombrelle,22
de,de,81
madame,madame,22
Arnoux,Arnoux,20
!,!,p
“,“,p
à,à,81
ce,ce,74
mot,mot,21
",",",",p
le,le,71
marchand,marchand,21
releva,relever,19
la,le,71
tête,tête,22
",",",",p
et,et,82
eut,avoir,19
un,un,71
singulier,singulier,30
sourire,sourire,21
/.,/.,P
Frédéric,Frédéric,20
",",",",p
prenant,prendre,13
l',le,60
occasion,occasion,22
qui,qui,52
s',se,51
offrait,offrir,18
de,de,81
parler,parler,14
d',de,81
elle,il,51
",",",",p
ajouta,ajouter,19
timidement,timidement,60
:,:,p
-,-,p
“,“,p
est,être,17
ce,ce,52
que,que,83
je,je,51
ne,ne,60
pourrai,pouvoir,15
pas,pas,60
la,le,52
voir,voir,14
?,?,p
“,“,p
elle,il,51
était,être,18
dans,dans,81
son,son,73
pays,pays,21
",",",",p
près,près,81
de,de,81
sa,son,73
mère,mère,22
malade,malade,30
/.,/.,P
il,il,51
n',ne,60
osa,oser,19
faire,faire,14
de,de,81
questions,question,22
sur,sur,81
la,le,71
durée,durée,22
de,de,81
cette,ce,74
absence,absence,22
/.,/.,P
il,il,51
demanda,demander,19
seulement,seulement,60
quel,quel,52
était,être,18
le,le,71
pays,pays,21
de,de,81
madame,madame,22
Arnoux,Arnoux,20
/.,/.,P
-,-,p
“,“,p
Chartres,Chartres,20
/!,/!,P
cela,cela,52
vous,vous,51
étonne,étonner,17
?,?,p
“,“,p
-,-,p
“,“,p
moi,moi,51
?,?,p
non,non,60
!,!,p
pourquoi,pourquoi,60
/?,/?,P
pas,pas,60
le,le,71
moins,moins,60
du,de,81
du,le,71
monde,monde,21
!,!,p
“,“,p
ils,ils,51
ne,ne,60
trouvèrent,trouver,19
",",",",p
ensuite,ensuite,60
",",",",p
absolument,absolument,60
rien,rien,52
à,à,81
se,se,51
dire,dire,14
/.,/.,P
Arnoux,Arnoux,20
",",",",p
qui,qui,52
s',se,51
était,être,18
fait,faire,12
une,un,71
cigarette,cigarette,22
",",",",p
tournait,tourner,18
autour,autour,60
de,de,81
la,le,71
table,table,22
",",",",p
en,en,81
soufflant,souffler,13
/.,/.,P
Frédéric,Frédéric,20
",",",",p
debout,debout,60
contre,contre,81
le,le,71
poêle,poêle,21
",",",",p
contemplait,contempler,18
les,le,71
murs,mur,21
",",",",p
l',le,71
étagère,étagère,22
",",",",p
le,le,71
parquet,parquet,21
;,;,p
et,et,82
des,de,81
des,le,71
images,image,22
charmantes,charmant,30
défilaient,défiler,18
dans,dans,81
sa,son,73
mémoire,mémoire,22
",",",",p
devant,devant,81
ses,son,73
yeux,oeil,21
plutôt,plutôt,60
/.,/.,P
enfin,enfin,60
il,il,51
se,se,51
retira,retirer,19
/.,/.,P
un,un,71
morceau,morceau,21
de,de,81
journal,journal,21
",",",",p
roulé,roulé,31
en,en,81
boule,boule,22
",",",",p
traînait,traîner,18
par,par,81
terre,terre,22
",",",",p
dans,dans,81
l',le,71
antichambre,antichambre,22
;,;,p
Arnoux,Arnoux,20
le,le,52
prit,prendre,19
",",",",p
et,et,82
",",",",p
se,se,51
haussant,hausser,13
sur,sur,81
la,le,71
pointe,pointe,22
des,de,81
des,le,71
pieds,pied,21
",",",",p
il,il,51
l',le,52
enfonça,enfoncer,19
dans,dans,81
la,le,71
sonnette,sonnette,22
",",",",p
pour,pour,81
continuer,continuer,14
",",",",p
dit,dire,19
il,il,51
",",",",p
sa,son,73
sieste,sieste,22
interrompue,interrompu,31
/.,/.,P
puis,puis,60
",",",",p
en,en,81
lui,lui,51
donnant,donner,13
une,un,71
poignée,poignée,22
de,de,81
main,main,22
:,:,p
-,-,p
“,“,p
avertissez,avertir,17
le,le,71
concierge,concierge,21
",",",",p
s',si,83
il,il,51
vous,vous,51
plaît,plaire,17
",",",",p
que,que,83
je,je,51
n',ne,60
y,y,52
suis,être,17
pas,pas,60
!,!,p
“,“,p
et,et,82
il,il,51
referma,refermer,19
la,le,71
porte,porte,22
sur,sur,81
son,son,73
dos,dos,21
",",",",p
violemment,violemment,60
/.,/.,P
Frédéric,Frédéric,20
descendit,descendre,19
l',le,71
escalier,escalier,21
marche,marche,22
à,à,81
marche,marche,22
/.,/.,P
l',le,71
insuccès,insuccès,21
de,de,81
cette,ce,74
première,premier,72
tentative,tentative,22
le,le,52
décourageait,décourager,18
sur,sur,81
le,le,71
hasard,hasard,21
des,de,81
des,le,71
autres,autre,52
/.,/.,P
alors,alors,60
commencèrent,commencer,19
trois,trois,72
mois,mois,21
d',de,81
ennui,ennui,21
/.,/.,P
comme,comme,83
il,il,51
n',ne,60
avait,avoir,18
aucun,aucun,75
travail,travail,21
",",",",p
son,son,73
désoeuvrement,désoeuvrement,21
renforçait,renforcer,18
sa,son,73
tristesse,tristesse,22
/.,/.,P
il,il,51
passait,passer,18
des,de,81
des,le,71
heures,heure,22
à,à,81
regarder,regarder,14
",",",",p
du,de,81
du,le,71
haut,haut,21
de,de,81
son,son,73
balcon,balcon,21
",",",",p
la,le,71
rivière,rivière,22
qui,qui,52
coulait,couler,18
entre,entre,81
les,le,71
quais,quai,21
grisâtres,grisâtre,30
",",",",p
noircis,noirci,31
",",",",p
de,de,81
place,place,22
en,en,81
place,place,22
",",",",p
par,par,81
la,le,71
bavure,bavure,22
des,de,81
des,le,71
égouts,égout,21
",",",",p
avec,avec,81
un,un,71
ponton,ponton,21
de,de,81
blanchisseuses,blanchisseuse,22
amarré,amarré,31
contre,contre,81
le,le,71
bord,bord,21
",",",",p
où,où,60
des,de,81
des,le,71
gamins,gamin,21
quelquefois,quelquefois,60
s',se,51
amusaient,amuser,18
",",",",p
dans,dans,81
la,le,71
vase,vase,22
",",",",p
à,à,81
faire,faire,14
baigner,baigner,14
un,un,71
caniche,caniche,21
/.,/.,P
ses,son,73
yeux,oeil,21
délaissant,délaisser,13
à,à,81
gauche,gauche,22
le,le,71
pont,pont,21
de,de,81
pierre,pierre,22
de,de,81
Notre-Dame,Notre-Dame,20
et,et,82
trois,trois,72
ponts,pont,21
suspendus,suspendu,31
",",",",p
se,se,51
dirigeaient,diriger,18
toujours,toujours,60
vers,vers,81
le,le,71
quai,quai,21
aux,à,81
aux,le,71
ormes,orme,21
",",",",p
sur,sur,81
un,un,71
massif,massif,21
de,de,81
vieux,vieux,30
arbres,arbre,21
",",",",p
pareils,pareil,30
aux,à,81
aux,le,71
tilleuls,tilleul,21
du,de,81
du,le,71
port,port,21
de,de,81
Montereau,Montereau,20
/.,/.,P
la,le,71
tour,tour,22
Saint-Jacques,Saint-Jacques,20
",",",",p
l',le,71
Hôtel de Ville,Hôtel de Ville,20
",",",",p
Saint-Gervais,Saint Gervais,20
",",",",p
Saint-Louis,Saint-Louis,20
",",",",p
Saint-Paul,Saint-Paul,20
se,se,51
levaient,lever,18
en,en,81
face,face,22
",",",",p
parmi,parmi,81
les,le,71
toits,toit,21
confondus,confondu,31
",",",",p
-,-,p
et,et,82
le,le,71
génie,génie,21
de,de,81
la,le,71
colonne,colonne,22
de,de,81
juillet,juillet,21
resplendissait,resplendir,18
à,à,81
l',le,71
orient,orient,21
comme,comme,83
une,un,71
large,large,30
étoile,étoile,22
d',de,81
or,or,21
",",",",p
tandis qu',tandis que,83
à,à,81
l',le,71
autre,autre,75
extrémité,extrémité,22
le,le,71
dôme,dôme,21
des,de,81
des,le,71
Tuileries,Tuileries,20
arrondissait,arrondir,18
",",",",p
sur,sur,81
le,le,71
ciel,ciel,21
",",",",p
sa,son,73
lourde,lourd,30
masse,masse,22
bleue,bleu,30
/.,/.,P
c',ce,52
était,être,18
par-derrière,par-derrière,60
",",",",p
de,de,81
ce,ce,74
côté,côté,21
là,là,60
",",",",p
que,que,83
devait,devoir,18
être,être,14
la,le,71
maison,maison,22
de,de,81
madame,madame,22
Arnoux,Arnoux,20
/.,/.,P
il,il,51
rentrait,rentrer,18
dans,dans,81
sa,son,73
chambre,chambre,22
;,;,p
puis,puis,60
",",",",p
couché,couché,31
sur,sur,81
son,son,73
divan,divan,21
",",",",p
s',se,51
abandonnait,abandonner,18
à,à,81
une,un,71
méditation,méditation,22
désordonnée,désordonné,30
:,:,p
plans,plan,30
d',de,81
ouvrages,ouvrage,21
",",",",p
projets,projet,21
de,de,81
conduite,conduite,22
",",",",p
élancements,élancement,21
vers,vers,81
l',le,71
avenir,avenir,21
/.,/.,P
enfin,enfin,60
",",",",p
pour,pour,81
se,se,51
débarrasser,débarrasser,14
de,de,81
lui-même,lui-même,51
",",",",p
il,il,51
sortait,sortir,18
/.,/.,P
il,il,51
remontait,remonter,18
",",",",p
au,à,81
au,le,71
hasard,hasard,21
",",",",p
le,le,71
Quartier Latin,Quartier Latin,20
",",",",p
si,si,60
tumultueux,tumultueux,30
d',de,81
habitude,habitude,22
",",",",p
mais,mais,82
désert,désert,21
à,à,81
cette,ce,74
époque,époque,22
",",",",p
car,car,82
les,le,71
étudiants,étudiant,21
étaient,être,18
partis,partir,12
dans,dans,81
leurs,leur,73
familles,famille,22
/.,/.,P
les,le,71
grands,grand,30
murs,mur,21
des,de,81
des,le,71
collèges,collège,21
",",",",p
comme,comme,83
allongés,allongé,31
par,par,81
le,le,71
silence,silence,21
",",",",p
avaient,avoir,18
un,un,71
aspect,aspect,21
plus,plus,60
morne,morne,30
encore,encore,60
;,;,p
on,on,51
entendait,entendre,18
toutes,tout,75
sortes,sorte,22
de,de,81
bruits,bruit,21
paisibles,paisible,30
",",",",p
des,de,81
des,le,71
battements,battement,21
d',de,81
ailes,aile,22
dans,dans,81
des,de,81
des,le,71
cages,cage,22
",",",",p
le,le,71
ronflement,ronflement,21
d',de,81
un,un,71
tour,tour,21
",",",",p
le,le,71
marteau,marteau,21
d',de,81
un,un,71
savetier,savetier,21
;,;,p
et,et,82
les,le,71
marchands,marchand,21
d',de,81
habits,habit,21
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
rues,rue,22
",",",",p
interrogeaient,interroger,18
de,de,81
l',le,71
oeil,oeil,21
chaque,chaque,75
fenêtre,fenêtre,22
",",",",p
inutilement,inutilement,60
/.,/.,P
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
cafés,café,21
solitaires,solitaire,30
",",",",p
la,le,71
dame,dame,22
du,de,81
du,le,71
comptoir,comptoir,21
bâillait,bâiller,18
entre,entre,81
ses,son,73
carafons,carafon,21
remplis,rempli,31
;,;,p
les,le,71
journaux,journal,21
demeuraient,demeurer,18
en,en,81
ordre,ordre,21
sur,sur,81
la,le,71
table,table,22
des,de,81
des,le,71
cabinets,cabinet,21
de,de,81
lecture,lecture,22
;,;,p
dans,dans,81
l',le,71
atelier,atelier,21
des,de,81
des,le,71
repasseuses,repasseuse,22
",",",",p
des,de,81
des,le,71
linges,linge,21
frissonnaient,frissonner,18
sous,sous,81
les,le,71
bouffées,bouffée,22
du,de,81
du,le,71
vent,vent,21
tiède,tiède,30
/.,/.,P
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
il,il,51
s',se,51
arrêtait,arrêter,18
à,à,81
l',le,71
étalage,étalage,21
d',de,81
un,un,71
bouquiniste,bouquiniste,21
;,;,p
un,un,71
omnibus,omnibus,21
",",",",p
qui,qui,52
descendait,descendre,18
en,en,81
frôlant,frôler,13
le,le,71
trottoir,trottoir,21
",",",",p
le,le,52
faisait,faire,18
se,se,51
retourner,retourner,14
;,;,p
et,et,82
",",",",p
parvenu,parvenu,31
devant,devant,81
le,le,71
Luxembourg,Luxembourg,20
",",",",p
il,il,51
n',ne,60
allait,aller,18
pas,pas,60
plus,plus,60
loin,loin,60
/.,/.,P
quelquefois,quelquefois,60
",",",",p
l',le,71
espoir,espoir,21
d',de,81
une,un,71
distraction,distraction,22
l',le,52
attirait,attirer,18
vers,vers,81
les,le,71
boulevards,boulevard,21
/.,/.,P
après,après,81
de,de,81
sombres,sombre,30
ruelles,ruelle,22
exhalant,exhaler,13
des,de,81
des,le,71
fraîcheurs,fraîcheur,22
humides,humide,30
",",",",p
il,il,51
arrivait,arriver,18
sur,sur,81
de,de,81
grandes,grand,30
places,place,22
désertes,désert,30
",",",",p
éblouissantes,éblouissant,30
de,de,81
lumière,lumière,22
",",",",p
et,et,82
où,où,60
les,le,71
monuments,monument,21
dessinaient,dessiner,18
au,à,81
au,le,71
bord,bord,21
du,de,81
du,le,71
pavé,pavé,21
des,de,81
des,le,71
dentelures,dentelure,22
d',de,81
ombre,ombre,22
noire,noir,30
/.,/.,P
mais,mais,82
les,le,71
charrettes,charrette,22
",",",",p
les,le,71
boutiques,boutique,22
recommençaient,recommencer,18
",",",",p
et,et,82
la,le,71
foule,foule,22
l',le,52
étourdissait,étourdir,18
",",",",p
-,-,p
le,le,71
dimanche,dimanche,21
surtout,surtout,60
",",",",p
-,-,p
quand,quand,83
",",",",p
depuis,depuis,81
la,le,71
Bastille,Bastille,20
jusqu',jusque,81
à,à,81
la,le,71
Madeleine,Madeleine,20
",",",",p
c',ce,52
était,être,18
un,un,71
immense,immense,30
flot,flot,21
ondulant,ondulant,30
sur,sur,81
l',le,71
asphalte,asphalte,21
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
poussière,poussière,22
",",",",p
dans,dans,81
une,un,71
rumeur,rumeur,22
continue,continu,30
;,;,p
il,il,51
se,se,51
sentait,sentir,18
tout,tout,60
écoeuré,écoeuré,31
par,par,81
la,le,71
bassesse,bassesse,22
des,de,81
des,le,71
figures,figure,22
",",",",p
la,le,71
niaiserie,niaiserie,22
des,de,81
des,le,71
propos,propos,21
",",",",p
la,le,71
satisfaction,satisfaction,22
imbécile,imbécile,30
transpirant,transpirer,13
sur,sur,81
les,le,71
fronts,front,21
en,en,81
sueur,sueur,22
/!,/!,P
cependant,cependant,82
",",",",p
la,le,71
conscience,conscience,22
de,de,81
mieux,mieux,60
valoir,valoir,14
que,que,83
ces,ce,74
hommes,homme,21
atténuait,atténuer,18
la,le,71
fatigue,fatigue,22
de,de,81
les,le,52
regarder,regarder,14
/.,/.,P
il,il,51
allait,aller,18
tous,tout,75
les,le,71
jours,jour,21
à,à,81
l',le,71
art,art,21
industriel,industriel,30
;,;,p
-,-,p
et,et,82
pour,pour,81
savoir,savoir,14
quand,quand,83
reviendrait,revenir,16
madame,madame,22
Arnoux,Arnoux,20
",",",",p
il,il,51
s',se,51
informait,informer,18
de,de,81
sa,son,73
mère,mère,22
très,très,60
longuement,longuement,60
/.,/.,P
la,le,71
réponse,réponse,22
d',de,81
Arnoux,Arnoux,20
ne,ne,60
variait,varier,18
pas,pas,60
;,;,p
“,“,p
le,le,71
mieux,mieux,60
se,se,51
continuait,continuer,18
“,“,p
",",",",p
sa,son,73
femme,femme,22
",",",",p
avec,avec,81
la,le,71
petite,petite,22
",",",",p
serait,être,16
de,de,81
retour,retour,21
la,le,71
semaine,semaine,22
prochaine,prochain,30
/.,/.,P
plus,plus,60
elle,il,51
tardait,tarder,18
à,à,81
revenir,revenir,14
",",",",p
plus,plus,60
Frédéric,Frédéric,20
témoignait,témoigner,18
d',de,81
inquiétude,inquiétude,22
",",",",p
-,-,p
si,si,60
bien,bien,60
qu',que,83
Arnoux,Arnoux,20
",",",",p
attendri,attendri,31
par,par,81
tant,tant,60
d',de,81
affection,affection,22
",",",",p
l',le,52
emmena,emmener,19
cinq,cinq,72
ou,ou,82
six,six,72
fois,fois,22
dîner,dîner,14
au,à,81
au,le,71
restaurant,restaurant,21
/.,/.,P
Frédéric,Frédéric,20
",",",",p
dans,dans,81
ces,ce,74
longs,long,30
tête-à-tête,tête-à-tête,21
",",",",p
reconnut,reconnaître,19
que,que,83
le,le,71
marchand,marchand,21
de,de,81
peinture,peinture,22
n',ne,60
était,être,18
pas,pas,60
fort,fort,60
spirituel,spirituel,30
/.,/.,P
Arnoux,Arnoux,20
pouvait,pouvoir,18
s',se,51
apercevoir,apercevoir,14
de,de,81
ce,ce,74
refroidissement,refroidissement,21
;,;,p
et,et,82
puis,puis,60
c',ce,52
était,être,18
l',le,71
occasion,occasion,22
de,de,81
lui,lui,51
rendre,rendre,14
",",",",p
un,un,71
peu,peu,60
