11885
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarantième extrait>,<>,<>
mon,mon,73
dieu,dieu,21
",",",",p
si,si,83
c',ce,52
est,être,17
la,le,71
peine,peine,22
de,de,81
vivre,vivre,14
dans,dans,81
un,un,71
temps,temps,21
comme,comme,83
ça,ça,52
/!,/!,P
ah,ah,93
!,!,p
je,je,51
suis,être,17
bien,bien,60
punie,puni,31
de,de,81
m',je,51
être,être,14
attachée,attacher,12
à,à,81
vous,vous,51
/!,/!,P
mais,mais,82
tenez,tenir,17
",",",",p
voilà,voilà,81
que,que,83
j',je,51
y,y,52
vois,voir,17
clair,clair,60
à,à,81
présent,présent,21
/…,/…,P
ah,ah,93
!,!,p
vous,vous,51
êtes,être,17
politique,politique,30
",",",",p
vous,vous,51
!,!,p
/…,/…,P
vous,vous,51
avez,avoir,17
voulu,vouloir,12
vous,vous,51
payer,payer,14
mon,mon,73
fils,fils,21
",",",",p
et,et,82
pour,pour,81
toute,tout,75
la,le,71
vie,vie,22
!,!,p
/…,/…,P
excusez,excuser,17
/!,/!,P
ah,ah,93
!,!,p
bien,bien,60
merci,merci,21
/…,/…,P
c',ce,52
est,être,17
moins,moins,60
cher,cher,30
de,de,81
vous,vous,51
le,le,52
rendre,rendre,14
",",",",p
votre,votre,73
argent,argent,21
/…,/…,P
le,le,71
reste,reste,21
d',de,81
un,un,71
garçon,garçon,21
de,de,81
café,café,21
!,!,p
…,…,p
mon,mon,73
pauvre,pauvre,30
cher,cher,30
enfant,enfant,21
!,!,p
/…,/…,P
dieu,dieu,21
l',le,52
en,en,52
préserve,préserver,17
/!,/!,P
Germinie,Germinie,20
avait,avoir,18
arraché,arracher,12
de,de,81
la,le,71
patère,patère,22
son,son,73
châle,châle,21
et,et,82
son,son,73
chapeau,chapeau,21
/.,/.,P
elle,il,51
était,être,18
dehors,dehors,60
/.,/.,P
<XXVII.>,<>,<>
mademoiselle,mademoiselle,22
était,être,18
assise,asseoir,12
dans,dans,81
son,son,73
grand,grand,30
fauteuil,fauteuil,21
au,à,81
au,le,71
coin,coin,21
de,de,81
la,le,71
cheminée,cheminée,22
où,où,60
dormait,dormir,18
toujours,toujours,60
un,un,71
peu,peu,60
de,de,81
braise,braise,22
sous,sous,81
les,le,71
cendres,cendre,22
/.,/.,P
son,son,73
serre-tête,serre-tête,21
noir,noir,30
",",",",p
abaissé,abaissé,31
sur,sur,81
les,le,71
rides,ride,22
de,de,81
son,son,73
front,front,21
",",",",p
lui,lui,51
descendait,descendre,18
presque,presque,60
jusqu',jusque,81
aux,à,81
aux,le,71
yeux,oeil,21
/.,/.,P
sa,son,73
robe,robe,22
noire,noir,30
",",",",p
en,en,81
forme,forme,22
de,de,81
fourreau,fourreau,21
",",",",p
laissait,laisser,18
pointer,pointer,14
ses,son,73
os,os,21
",",",",p
plissait,plisser,18
maigrement,maigrement,60
sur,sur,81
la,le,71
maigreur,maigreur,22
de,de,81
son,son,73
corps,corps,21
et,et,82
tombait,tomber,18
tout,tout,60
droit,droit,60
de,de,81
ses,son,73
genoux,genou,21
/.,/.,P
un,un,71
petit,petit,30
châle,châle,21
noir,noir,30
croisé,croisé,31
était,être,18
noué,nouer,12
derrière,derrière,81
son,son,73
dos,dos,21
à,à,81
la,le,71
façon,façon,22
des,de,81
des,le,71
petites,petit,30
filles,fille,22
/.,/.,P
elle,il,51
avait,avoir,18
posé,poser,12
sur,sur,81
ses,son,73
cuisses,cuisse,22
ses,son,73
mains,main,22
retournées,retourné,31
et,et,82
à,à,81
demi,demi,30
ouvertes,ouvert,31
",",",",p
de,de,81
pauvres,pauvre,30
mains,main,22
de,de,81
vieille,vieux,30
femme,femme,22
",",",",p
gauches,gauche,30
et,et,82
raidies,raidi,31
",",",",p
enflées,enflé,31
aux,à,81
aux,le,71
articulations,articulation,22
et,et,82
aux,à,81
aux,le,71
noeuds,noeud,21
des,de,81
des,le,71
doigts,doigt,21
par,par,81
la,le,71
goutte,goutte,22
/.,/.,P
Enfoncée,Enfoncée,20
dans,dans,81
la,le,71
pose,pose,22
fléchie,fléchi,31
et,et,82
cassée,cassé,31
qui,qui,52
fait,faire,17
soulever,soulever,14
la,le,71
tête,tête,22
aux,à,81
aux,le,71
vieillards,vieillard,21
pour,pour,81
vous,vous,51
voir,voir,14
et,et,82
vous,vous,51
parler,parler,14
",",",",p
elle,il,51
se,se,51
tenait,tenir,18
ramassée,ramassé,31
et,et,82
comme,comme,83
enterrée,enterré,31
dans,dans,81
tout,tout,75
ce,ce,74
noir,noir,21
d',de,81
où,où,60
ne,ne,60
sortaient,sortir,18
que,que,83
son,son,73
visage,visage,21
jauni,jauni,31
par,par,81
la,le,71
bile,bile,22
des,de,81
des,le,71
tons,ton,21
du,de,81
du,le,71
vieil,vieux,30
ivoire,ivoire,21
",",",",p
et,et,82
la,le,71
flamme,flamme,22
chaude,chaud,30
de,de,81
son,son,73
regard,regard,21
brun,brun,30
/.,/.,P
à,à,81
la,le,52
voir,voir,14
",",",",p
à,à,81
voir,voir,14
ces,ce,74
yeux,oeil,21
vivants,vivant,30
et,et,82
gais,gai,30
",",",",p
ce,ce,74
corps,corps,21
misérable,misérable,30
",",",",p
cette,ce,74
robe,robe,22
de,de,81
pauvreté,pauvreté,22
",",",",p
cette,ce,74
noblesse,noblesse,22
à,à,81
porter,porter,14
l',le,71
âge,âge,21
en,en,81
tous,tout,75
ses,son,73
deuils,deuil,21
",",",",p
on,on,51
eût,avoir,19
cru,croire,12
voir,voir,14
une,un,71
fée,fée,22
aux,à,81
aux,le,71
petits,petit,21
ménages,ménage,21
/.,/.,P
Germinie,Germinie,20
était,être,18
à,à,81
côté,côté,21
d',de,81
elle,il,51
/.,/.,P
la,le,71
vieille,vieux,30
demoiselle,demoiselle,22
se,se,51
mit,mettre,19
à,à,81
lui,lui,51
dire,dire,14
:,:,p
-,-,p
il,il,51
y,y,52
est,être,17
toujours,toujours,60
le,le,71
bourrelet,bourrelet,21
sous,sous,81
la,le,71
porte,porte,22
",",",",p
hein,hein,93
",",",",p
Germinie,Germinie,20
/?,/?,P
-,-,p
oui,oui,60
",",",",p
mademoiselle,mademoiselle,22
/.,/.,P
-,-,p
sais,savoir,17
tu,tu,51
",",",",p
ma,mon,73
fille,fille,22
",",",",p
reprit,reprendre,19
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
après,après,81
un,un,71
silence,silence,21
",",",",p
sais,savoir,17
tu,tu,51
que,que,83
quand,quand,83
on,on,51
est,être,17
né,naître,12
dans,dans,81
un,un,52
des,de,81
des,le,71
plus,plus,60
beaux,beau,30
hôtels,hôtel,21
de,de,81
la,le,71
rue,rue,22
royale,royal,30
…,…,p
qu',que,83
on,on,51
a,avoir,17
dû,devoir,12
posséder,posséder,14
le,le,71
grand,grand,21
et,et,82
le,le,71
petit-Charolais,petit-Charolais,21
…,…,p
qu',que,83
on,on,51
a,avoir,17
dû,devoir,12
avoir,avoir,14
pour,pour,81
campagne,campagne,22
le,le,71
château,château,21
de,de,81
Clichy-la-Garenne,Clichy la Garenne,20
…,…,p
qu',que,83
il,il,51
fallait,falloir,18
deux,deux,72
domestiques,domestique,21
pour,pour,81
porter,porter,14
le,le,71
plat,plat,21
d',de,81
argent,argent,21
sur,sur,81
lequel,lequel,52
on,on,51
servait,servir,18
le,le,71
rôti,rôti,21
chez,chez,81
votre,votre,73
grand'mère,grand-mère,22
…,…,p
sais,savoir,17
tu,tu,51
qu',que,83
il,il,51
faut,falloir,17
encore,encore,60
pas,pas,60
mal,mal,60
de,de,81
philosophie,philosophie,22
",",",",p
-,-,p
et,et,82
mademoiselle,mademoiselle,22
se,se,51
passa,passer,19
avec,avec,81
difficulté,difficulté,22
une,un,71
main,main,22
sur,sur,81
les,le,71
épaules,épaule,22
",",",",p
-,-,p
pour,pour,81
se,se,51
voir,voir,14
finir,finir,14
ici,ici,60
…,…,p
dans,dans,81
ce,ce,74
diable,diable,21
de,de,81
nid,nid,21
à,à,81
rhumatismes,rhumatisme,21
où,où,60
",",",",p
malgré,malgré,81
tous,tout,75
les,le,71
bourrelets,bourrelet,21
du,de,81
du,le,71
monde,monde,21
",",",",p
il,il,51
vous,vous,51
passe,passer,17
de,de,81
ces,ce,74
gueux,gueux,21
de,de,81
courants,courant,21
d',de,81
air,air,21
/…,/…,P
c',ce,52
est,être,17
cela,cela,52
",",",",p
ranime,ranimer,17
un,un,71
peu,peu,60
le,le,71
feu,feu,21
/…,/…,P
et,et,82
allongeant,allonger,13
ses,son,73
pieds,pied,21
vers,vers,81
Germinie,Germinie,20
agenouillée,agenouillé,31
devant,devant,81
la,le,71
cheminée,cheminée,22
",",",",p
les,le,71
lui,lui,51
mettant,mettre,13
",",",",p
en,en,81
riant,rire,13
",",",",p
sous,sous,81
le,le,71
nez,nez,21
:,:,p
-,-,p
sais,savoir,17
tu,tu,51
qu',que,83
il,il,51
en,en,52
faut,falloir,17
pas,pas,60
mal,mal,60
de,de,81
cette,ce,74
philosophie,philosophie,22
là,là,60
…,…,p
pour,pour,81
porter,porter,14
des,de,81
des,le,71
bas,bas,30
percés,percé,31
!,!,p
/…,/…,P
bête,bête,30
!,!,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
pour,pour,81
te,tu,51
gronder,gronder,14
;,;,p
je,je,51
sais,savoir,17
bien,bien,60
",",",",p
tu,tu,51
ne,ne,60
peux,pouvoir,17
tout,tout,52
faire,faire,14
/…,/…,P
par,par,81
exemple,exemple,21
",",",",p
tu,tu,51
pourrais,pouvoir,16
bien,bien,60
faire,faire,14
venir,venir,14
une,un,71
femme,femme,22
pour,pour,81
raccommoder,raccommoder,14
/…,/…,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
bien,bien,60
difficile,difficile,30
/…,/…,P
pourquoi,pourquoi,60
ne,ne,60
dis,dire,17
tu,tu,51
pas,pas,60
à,à,81
cette,ce,74
petite,petite,22
qui,qui,52
est,être,17
venue,venir,12
l',le,71
année,année,22
dernière,dernier,30
/?,/?,P
elle,il,51
avait,avoir,18
une,un,71
figure,figure,22
qui,qui,52
me,je,51
revenait,revenir,18
/.,/.,P
-,-,p
oh,oh,93
!,!,p
elle,il,51
était,être,18
noire,noir,30
comme,comme,83
une,un,71
taupe,taupe,22
",",",",p
mademoiselle,mademoiselle,22
/.,/.,P
-,-,p
bon,bon,30
!,!,p
j',je,51
étais,être,18
sûre,sûr,30
/…,/…,P
toi,toi,51
d'abord,d'abord,60
",",",",p
tu,tu,51
ne,ne,60
trouves,trouver,17
jamais,jamais,60
personne,personne,52
de,de,81
bien,bien,21
/…,/…,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
vrai,vrai,30
ça,ça,52
/?,/?,P
mais,mais,82
est,être,17
ce,ce,52
que,que,83
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
une,un,71
nièce,nièce,22
à,à,81
la,le,71
mère,mère,22
Jupillon,Jupillon,20
/?,/?,P
on,on,51
pourrait,pouvoir,16
la,le,52
prendre,prendre,14
un,un,71
jour,jour,21
…,…,p
deux,deux,72
jours,jour,21
par,par,81
semaine,semaine,22
/…,/…,P
-,-,p
jamais,jamais,60
cette,ce,74
traînée,traînée,22
là,là,60
ne,ne,60
remettra,remettre,15
les,le,71
pieds,pied,21
ici,ici,60
/.,/.,P
-,-,p
allons,aller,17
",",",",p
encore,encore,60
des,de,81
des,le,71
histoires,histoire,22
/!,/!,P
tu,tu,51
es,être,17
étonnante,étonnant,30
toi,toi,51
pour,pour,81
adorer,adorer,14
les,le,71
gens,gens,21
",",",",p
et,et,82
puis,puis,60
ne,ne,60
plus,plus,60
pouvoir,pouvoir,14
les,le,52
voir,voir,14
/…,/…,P
qu',que,52
est,être,17
ce,ce,52
qu',que,52
elle,il,51
t',tu,51
a,avoir,17
fait,faire,12
/?,/?,P
-,-,p
c',ce,52
est,être,17
une,un,71
perdue,perdu,31
",",",",p
je,je,51
vous,vous,51
dis,dire,17
/.,/.,P
-,-,p
bah,bah,93
!,!,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
ça,ça,52
fait,faire,17
à,à,81
mon,mon,73
linge,linge,21
/!,/!,P
-,-,p
mais,mais,82
",",",",p
mademoiselle,mademoiselle,22
/…,/…,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
trouves,trouver,17
m',je,51
en,en,52
une,un,71
autre,autre,52
/…,/…,P
je,je,51
n',ne,60
y,y,52
tiens,tenir,17
pas,pas,60
à,à,81
celle-là,celui-là,52
/…,/…,P
mais,mais,82
trouves,trouver,17
m',je,51
en,en,52
une,un,52
/.,/.,P
-,-,p
oh,oh,93
!,!,p
les,le,71
femmes,femme,22
qu',que,52
on,on,51
fait,faire,17
venir,venir,14
ne,ne,60
travaillent,travailler,17
pas,pas,60
/…,/…,P
je,je,51
vous,vous,51
raccommoderai,raccommoder,15
",",",",p
moi,moi,51
/…,/…,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
besoin,besoin,21
de,de,81
personne,personne,52
/.,/.,P
-,-,p
toi,toi,51
?,?,p
/…,/…,P
oh,oh,93
!,!,p
si,si,83
nous,nous,51
comptons,compter,17
sur,sur,81
ton,ton,73
aiguille,aiguille,22
!,!,p
…,…,p
dit,dire,17
gaiement,gaiement,60
mademoiselle,mademoiselle,22
;,;,p
et,et,82
puis,puis,60
est,être,17
ce,ce,52
que,que,83
la,le,71
mère,mère,22
Jupillon,Jupillon,20
te,tu,51
laissera,laisser,15
jamais,jamais,60
le,le,71
temps,temps,21
/…,/…,P
-,-,p
madame,madame,22
Jupillon,Jupillon,20
?,?,p
/…,/…,P
ah,ah,93
!,!,p
pour,pour,81
la,le,71
poussière,poussière,22
que,que,83
je,je,51
ferai,faire,15
maintenant,maintenant,60
chez,chez,81
elle,il,51
!,!,p
/…,/…,P
-,-,p
bah,bah,93
/!,/!,P
comment,comment,60
/?,/?,P
elle,il,51
aussi,aussi,60
!,!,p
la,le,52
voilà,voilà,81
dans,dans,81
les,le,71
lanlaire,lanlaire,93
?,?,p
/…,/…,P
oh,oh,93
!,!,p
oh,oh,93
/!,/!,P
dépêche,dépêcher,17
toi,toi,51
de,de,81
faire,faire,14
une,un,71
autre,autre,75
connaissance,connaissance,22
",",",",p
car,car,82
sans,sans,81
cela,cela,52
",",",",p
bon,bon,30
dieu,dieu,21
de,de,81
dieu,dieu,21
!,!,p
nous,nous,51
allons,aller,17
avoir,avoir,14
de,de,81
vilains,vilain,30
jours,jour,21
/!,/!,P
<XXVIII.>,<>,<>
l',le,71
hiver,hiver,21
de,de,81
cette,ce,74
année,année,22
dut,devoir,19
assurer,assurer,14
à,à,81
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
une,un,71
part,part,22
de,de,81
paradis,paradis,21
/.,/.,P
elle,il,51
eut,avoir,19
à,à,81
subir,subir,14
tous,tout,75
les,le,71
contrecoups,contrecoup,21
du,de,81
du,le,71
chagrin,chagrin,21
de,de,81
sa,son,73
bonne,bonne,22
",",",",p
le,le,71
tourment,tourment,21
de,de,81
ses,son,73
nerfs,nerf,21
",",",",p
la,le,71
vengeance,vengeance,22
de,de,81
ses,son,73
humeurs,humeur,22
contrariées,contrarié,31
",",",",p
aigries,aigri,31
",",",",p
et,et,82
où,où,60
les,le,71
approches,approche,22
du,de,81
du,le,71
printemps,printemps,21
allaient,aller,18
bientôt,bientôt,60
mettre,mettre,14
cette,ce,74
espèce,espèce,22
de,de,81
folie,folie,22
méchante,méchant,30
que,que,52
donnent,donner,17
aux,à,81
aux,le,71
sensibilités,sensibilité,22
maladives,maladif,30
la,le,71
saison,saison,22
critique,critique,30
",",",",p
le,le,71
travail,travail,21
de,de,81
la,le,71
nature,nature,22
",",",",p
la,le,71
fécondation,fécondation,22
inquiète,inquiet,30
et,et,82
irritante,irritant,30
de,de,81
l',le,71
été,été,21
/.,/.,P
Germinie,Germinie,20
se,se,51
mit,mettre,19
à,à,81
avoir,avoir,14
des,de,81
des,le,71
yeux,oeil,21
essuyés,essuyé,31
qui,qui,52
ne,ne,60
pleuraient,pleurer,18
plus,plus,60
",",",",p
mais,mais,82
qui,qui,52
avaient,avoir,18
pleuré,pleurer,12
/.,/.,P
elle,il,51
eut,avoir,19
un,un,71
éternel,éternel,21
:,:,p
-,-,p
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
",",",",p
mademoiselle,mademoiselle,22
",",",",p
-,-,p
dit,dire,12
de,de,81
cette,ce,74
voix,voix,22
sourde,sourd,30
qui,qui,52
étouffe,étouffer,17
un,un,71
secret,secret,21
/.,/.,P
elle,il,51
prit,prendre,19
des,de,81
des,le,71
poses,pose,22
muettes,muet,30
et,et,82
désolées,désolé,31
",",",",p
des,de,81
des,le,71
attitudes,attitude,22
d',de,81
enterrement,enterrement,21
",",",",p
de,de,81
ces,ce,74
airs,air,21
avec,avec,81
lesquels,lequel,52
le,le,71
corps,corps,21
d',de,81
une,un,71
femme,femme,22
dégage,dégager,17
de,de,81
la,le,71
tristesse,tristesse,22
et,et,82
fait,faire,17
un,un,71
ennui,ennui,21
de,de,81
son,son,73
ombre,ombre,22
/.,/.,P
avec,avec,81
sa,son,73
figure,figure,22
",",",",p
son,son,73
regard,regard,21
",",",",p
sa,son,73
bouche,bouche,22
",",",",p
les,le,71
plis,pli,21
de,de,81
sa,son,73
robe,robe,22
",",",",p
sa,son,73
présence,présence,22
",",",",p
avec,avec,81
le,le,71
bruit,bruit,21
qu',que,52
elle,il,51
faisait,faire,18
en,en,81
travaillant,travailler,13
dans,dans,81
la,le,71
pièce,pièce,22
à,à,81
côté,côté,21
",",",",p
avec,avec,81
son,son,73
silence,silence,21
même,même,30
",",",",p
elle,il,51
enveloppait,envelopper,18
mademoiselle,mademoiselle,22
du,de,81
du,le,71
désespoir,désespoir,21
de,de,81
sa,son,73
personne,personne,22
/.,/.,P
au,à,81
au,le,71
moindre,moindre,30
mot,mot,21
",",",",p
elle,il,51
se,se,51
hérissait,hérisser,18
/.,/.,P
mademoiselle,mademoiselle,22
ne,ne,60
pouvait,pouvoir,18
plus,plus,60
lui,lui,51
adresser,adresser,14
une,un,71
observation,observation,22
",",",",p
lui,lui,51
demander,demander,14
la,le,71
moindre,moindre,30
chose,chose,22
",",",",p
témoigner,témoigner,14
une,un,71
volonté,volonté,22
",",",",p
un,un,71
désir,désir,21
:,:,p
tout,tout,52
était,être,18
pris,prendre,12
par,par,81
elle,il,51
comme,comme,83
un,un,71
reproche,reproche,21
/.,/.,P
elle,il,51
avait,avoir,18
là-dessus,là-dessus,60
des,de,81
des,le,71
sorties,sortie,22
farouches,farouche,30
/.,/.,P
elle,il,51
grognait,grogner,18
en,en,81
pleurant,pleurer,13
:,:,p
-,-,p
ah,ah,93
!,!,p
je,je,51
suis,être,17
bien,bien,60
malheureuse,malheureux,30
/!,/!,P
je,je,51
vois,voir,17
bien,bien,60
que,que,83
mademoiselle,mademoiselle,22
ne,ne,60
m',je,51
aime,aimer,17
plus,plus,60
/!,/!,P
sa,son,73
grippe,grippe,22
contre,contre,81
les,le,71
gens,gens,21
trouvait,trouver,18
des,de,81
des,le,71
bougonnements,bougonnements,92
sublimes,sublime,30
:,:,p
-,-,p
elle,il,51
vient,venir,17
toujours,toujours,60
quand,quand,83
il,il,51
pleut,pleuvoir,17
",",",",p
celle-là,celui-là,52
!,!,p
disait,dire,18
elle,il,51
",",",",p
pour,pour,81
un,un,71
peu,peu,60
de,de,81
crotte,crotte,22
laissé,laissé,31
sur,sur,81
le,le,71
tapis,tapis,21
par,par,81
madame,madame,22
de,de,81
Belleuse,Belleuse,20
/.,/.,P
la,le,71
semaine,semaine,22
du,de,81
du,le,71
jour,jour,21
de,de,81
l',le,71
an,an,21
",",",",p
cette,ce,74
semaine,semaine,22
où,où,60
tout,tout,52
ce,ce,52
qui,qui,52
restait,rester,18
de,de,81
parents,parent,21
et,et,82
d',de,81
alliés,allié,21
à,à,81
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
montait,monter,18
sans,sans,81
exception,exception,22
",",",",p
les,le,71
plus,plus,60
riches,riche,30
comme,comme,83
les,le,71
plus,plus,60
pauvres,pauvre,30
",",",",p
ses,son,73
cinq,cinq,72
étages,étage,21
",",",",p
et,et,82
attendait,attendre,18
à,à,81
sa,son,73
porte,porte,22
",",",",p
sur,sur,81
le,le,71
carré,carré,21
",",",",p
pour,pour,81
se,se,51
relayer,relayer,14
sur,sur,81
les,le,71
six,six,72
chaises,chaise,22
de,de,81
sa,son,73
chambre,chambre,22
",",",",p
Germinie,Germinie,20
redoubla,redoubler,19
de,de,81
mauvaise,mauvais,30
humeur,humeur,22
",",",",p
de,de,81
remarques,remarque,22
impertinentes,impertinent,30
",",",",p
de,de,81
plaintes,plainte,22
maussades,maussade,30
/.,/.,P
à,à,81
tout,tout,75
moment,moment,21
",",",",p
forgeant,forger,13
des,de,81
des,le,71
torts,tort,21
à,à,81
sa,son,73
maîtresse,maîtresse,22
",",",",p
elle,il,51
la,le,52
punissait,punir,18
par,par,81
un,un,71
mutisme,mutisme,21
que,que,52
rien,rien,52
ne,ne,60
pouvait,pouvoir,18
rompre,rompre,14
/.,/.,P
alors,alors,60
c',ce,52
étaient,être,18
des,de,81
des,le,71
rages,rage,22
d',de,81
ouvrage,ouvrage,21
/.,/.,P
tout,tout,60
autour,autour,60
d',de,81
elle,il,51
",",",",p
mademoiselle,mademoiselle,22
entendait,entendre,18
à,à,81
travers,travers,21
les,le,71
cloisons,cloison,22
des,de,81
des,le,71
coups,coup,21
de,de,81
balai,balai,21
et,et,82
de,de,81
plumeau,plumeau,21
furieux,furieux,30
",",",",p
des,de,81
des,le,71
frottements,frottement,21
",",",",p
des,de,81
des,le,71
battements,battement,21
saccadés,saccadé,31
",",",",p
le,le,71
travail,travail,21
nerveux,nerveux,30
de,de,81
la,le,71
domestique,domestique,22
qui,qui,52
semble,sembler,17
dire,dire,14
en,en,81
malmenant,malmener,13
les,le,71
meubles,meuble,21
:,:,p
-,-,p
eh,eh,93
bien,bien,60
",",",",p
on,on,51
le,le,52
fait,faire,17
ton,ton,73
ouvrage,ouvrage,21
/!,/!,P
les,le,71
vieilles,vieux,30
gens,gens,21
sont,être,17
patients,patient,30
avec,avec,81
les,le,71
anciens,ancien,30
domestiques,domestique,21
/.,/.,P
l',le,71
habitude,habitude,22
",",",",p
la,le,71
volonté,volonté,22
qui,qui,52
s',se,51
éteint,éteindre,17
",",",",p
l',le,71
horreur,horreur,22
du,de,81
du,le,71
changement,changement,21
",",",",p
la,le,71
crainte,crainte,22
des,de,81
des,le,71
nouveaux,nouveau,30
visages,visage,21
",",",",p
tout,tout,52
les,le,52
dispose,disposer,17
à,à,81
des,de,81
des,le,71
faiblesses,faiblesse,22
",",",",p
à,à,81
des,de,81
des,le,71
concessions,concession,22
",",",",p
à,à,81
des,de,81
des,le,71
lâchetés,lâcheté,22
/.,/.,P
malgré,malgré,81
sa,son,73
vivacité,vivacité,22
",",",",p
sa,son,73
facilité,facilité,22
à,à,81
s',se,51
emporter,emporter,14
",",",",p
à,à,81
éclater,éclater,14
",",",",p
à,à,81
jeter,jeter,14
feu,feu,21
et,et,82
flamme,flamme,22
",",",",p
mademoiselle,mademoiselle,22
ne,ne,60
disait,dire,18
rien,rien,52
/.,/.,P
elle,il,51
avait,avoir,18
l',le,71
air,air,21
de,de,81
ne,ne,60
rien,rien,52
voir,voir,14
/.,/.,P
elle,il,51
faisait,faire,18
semblant,semblant,21
de,de,81
lire,lire,14
quand,quand,83
Germinie,Germinie,20
entrait,entrer,18
/.,/.,P
elle,il,51
attendait,attendre,18
",",",",p
racoquinée,racoquiné,31
dans,dans,81
son,son,73
fauteuil,fauteuil,21
",",",",p
que,que,83
l',le,71
humeur,humeur,22
de,de,81
sa,son,73
bonne,bonne,22
se,se,51
passât,passer,18
ou,ou,82
crevât,crever,18
/.,/.,P
elle,il,51
baissait,baisser,18
le,le,71
dos,dos,21
sous,sous,81
l',le,71
orage,orage,21
;,;,p
elle,il,51
n',ne,60
avait,avoir,18
contre,contre,81
sa,son,73
bonne,bonne,22
",",",",p
ni,ni,82
un,un,71
mot,mot,21
",",",",p
ni,ni,82
une,un,71
pensée,pensée,22
d',de,81
amertume,amertume,22
/.,/.,P
elle,il,51
la,le,52
plaignait,plaindre,18
seulement,seulement,60
",",",",p
pour,pour,81
la,le,52
faire,faire,14
autant,autant,60
souffrir,souffrir,14
/.,/.,P
c',ce,52
est,être,17
que,que,83
Germinie,Germinie,20
n',ne,60
était,être,18
pas,pas,60
une,un,71
bonne,bonne,22
pour,pour,81
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
",",",",p
elle,il,51
était,être,18
le,le,71
dévouement,dévouement,21
qui,qui,52
devait,devoir,18
lui,lui,51
fermer,fermer,14
les,le,71
yeux,oeil,21
/.,/.,P
cette,ce,74
vieille,vieux,30
femme,femme,22
isolée,isolé,31
et,et,82
oubliée,oublié,31
par,par,81
la,le,71
mort,mort,22
",",",",p
seule,seul,30
au,à,81
au,le,71
bout,bout,21
de,de,81
sa,son,73
vie,vie,22
",",",",p
traînant,traîner,13
ses,son,73
affections,affection,22
de,de,81
tombe,tombe,22
en,en,81
tombe,tombe,22
",",",",p
avait,avoir,18
trouvé,trouver,12
sa,son,73
dernière,dernier,30
amie,amie,22
dans,dans,81
sa,son,73
domestique,domestique,21
/.,/.,P
elle,il,51
avait,avoir,18
mis,mettre,12
son,son,73
coeur,coeur,21
sur,sur,81
elle,il,51
comme,comme,83
sur,sur,81
une,un,71
fille,fille,22
d',de,81
adoption,adoption,22
",",",",p
et,et,82
elle,il,51
était,être,18
malheureuse,malheureux,30
surtout,surtout,60
de,de,81
ne,ne,60
pouvoir,pouvoir,14
la,le,52
consoler,consoler,14
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
par,par,81
instants,instant,21
",",",",p
du,de,81
du,le,71
fond,fond,21
de,de,81
ses,son,73
mélancolies,mélancolie,22
sombres,sombre,30
et,et,82
de,de,81
ses,son,73
humeurs,humeur,22
mauvaises,mauvais,30
",",",",p
Germinie,Germinie,20
lui,lui,51
revenait,revenir,18
et,et,82
se,se,51
jetait,jeter,18
à,à,81
genoux,genou,21
devant,devant,81
sa,son,73
bonté,bonté,22
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
pour,pour,81
un,un,71
rayon,rayon,21
de,de,81
soleil,soleil,21
",",",",p
pour,pour,81
une,un,71
chanson,chanson,22
de,de,81
mendiant,mendiant,21
",",",",p
pour,pour,81
un,un,52
de,de,81
ces,ce,74
riens,rien,21
qui,qui,52
passent,passer,17
dans,dans,81
l',le,71
air,air,21
et,et,82
détendent,détendre,17
l',le,71
âme,âme,22
",",",",p
elle,il,51
fondait,fondre,18
en,en,81
larmes,larme,22
et,et,82
en,en,81
tendresses,tendresse,22
;,;,p
c',ce,52
étaient,être,18
des,de,81
des,le,71
effusions,effusion,22
brûlantes,brûlant,30
",",",",p
un,un,71
bonheur,bonheur,21
d',de,81
embrasser,embrasser,14
",",",",p
comme,comme,83
une,un,71
joie,joie,22
de,de,81
revivre,revivre,14
qui,qui,52
effaçait,effacer,18
tout,tout,52
/.,/.,P
d',de,81
autres,autre,75
fois,fois,22
",",",",p
c',ce,52
était,être,18
pour,pour,81
un,un,71
bobo,bobo,21
de,de,81
mademoiselle,mademoiselle,22
;,;,p
la,le,71
vieille,vieux,30
bonne,bonne,22
se,se,51
retrouvait,retrouver,18
aussitôt,aussitôt,60
avec,avec,81
le,le,71
sourire,sourire,21
de,de,81
son,son,73
visage,visage,21
et,et,82
la,le,71
douceur,douceur,22
de,de,81
ses,son,73
mains,main,22
