11677
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-unième extrait>,<>,<>
lèvres,lèvre,22
:,:,p
il,il,51
s',se,51
endormit,endormir,19
ainsi,ainsi,60
/.,/.,P
-,-,p
pauvre,pauvre,30
homme,homme,21
!,!,p
dit,dire,19
Constance,Constance,20
",",",",p
à,à,81
quelles,quel,75
tortures,torture,22
il,il,51
est,être,17
réservé,réserver,12
",",",",p
pourvu,pourvu,81
qu',que,83
il,il,51
y,y,52
résiste,résister,17
/.,/.,P
-,-,p
eh,eh,93
!,!,p
qu',que,52
as,avoir,17
tu,tu,51
",",",",p
maman,maman,22
?,?,p
dit,dire,19
Césarine,Césarine,20
en,en,81
voyant,voir,13
sa,son,73
mère,mère,22
en,en,81
pleurs,pleur,21
/.,/.,P
-,-,p
chère,cher,30
fille,fille,22
",",",",p
je,je,51
vois,voir,17
venir,venir,14
une,un,71
faillite,faillite,22
/.,/.,P
si,si,83
ton,ton,73
père,père,21
est,être,17
obligé,obliger,12
de,de,81
déposer,déposer,14
son,son,73
bien,bien,21
",",",",p
il,il,51
faudra,falloir,15
n',ne,60
implorer,implorer,14
la,le,71
pitié,pitié,22
de,de,81
personne,personne,52
/.,/.,P
mon,mon,73
enfant,enfant,21
",",",",p
sois,être,17
préparée,préparer,12
à,à,81
devenir,devenir,14
une,un,71
simple,simple,30
fille,fille,22
de,de,81
magasin,magasin,21
/.,/.,P
si,si,83
je,je,51
te,tu,51
vois,voir,17
prendre,prendre,14
ton,ton,73
parti,parti,21
courageusement,courageusement,60
",",",",p
j',je,51
aurai,avoir,15
la,le,71
force,force,22
de,de,81
recommencer,recommencer,14
la,le,71
vie,vie,22
/.,/.,P
je,je,51
connais,connaître,17
ton,ton,73
père,père,21
",",",",p
il,il,51
ne,ne,60
soustraira,soustraire,15
pas,pas,60
un,un,71
denier,denier,21
",",",",p
j',je,51
abandonnerai,abandonner,15
mes,mon,73
droits,droit,21
",",",",p
on,on,51
vendra,vendre,15
tout,tout,52
ce,ce,52
que,que,52
nous,nous,51
possédons,posséder,17
/.,/.,P
toi,toi,51
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
porte,porter,17
demain,demain,60
tes,ton,73
bijoux,bijou,21
et,et,82
ta,ton,73
garde-robe,garde-robe,22
chez,chez,81
ton,ton,73
oncle,oncle,21
Pillerault,Pillerault,20
",",",",p
car,car,82
tu,tu,51
n',ne,60
es,être,17
obligée,obliger,12
à,à,81
rien,rien,52
/.,/.,P
Césarine,Césarine,20
fut,être,19
saisie,saisir,12
d',de,81
un,un,71
effroi,effroi,21
sans,sans,81
bornes,borne,22
en,en,81
entendant,entendre,13
ces,ce,74
paroles,parole,22
dites,dit,31
avec,avec,81
une,un,71
simplicité,simplicité,22
religieuse,religieux,30
/.,/.,P
elle,il,51
forma,former,19
le,le,71
projet,projet,21
d',de,81
aller,aller,14
trouver,trouver,14
Anselme,Anselme,20
",",",",p
mais,mais,82
sa,son,73
délicatesse,délicatesse,22
l',le,52
en,en,52
empêcha,empêcher,19
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
à,à,81
neuf,neuf,72
heures,heure,22
",",",",p
Birotteau,Birotteau,20
se,se,51
trouvait,trouver,18
rue,rue,22
de,de,81
Provence,Provence,20
",",",",p
en,en,81
proie,proie,22
à,à,81
des,de,81
des,le,71
anxiétés,anxiété,22
tout,tout,60
autres,autre,52
que,que,83
celles,celui,52
par,par,81
lesquelles,lequel,52
il,il,51
avait,avoir,18
passé,passer,12
/.,/.,P
demander,demander,14
un,un,71
crédit,crédit,21
est,être,17
une,un,71
action,action,22
toute,tout,60
simple,simple,30
en,en,81
commerce,commerce,21
/.,/.,P
tous,tout,75
les,le,71
jours,jour,21
",",",",p
en,en,81
entreprenant,entreprendre,13
une,un,71
affaire,affaire,22
",",",",p
il,il,51
est,être,17
nécessaire,nécessaire,30
de,de,81
trouver,trouver,14
des,de,81
des,le,71
capitaux,capital,21
;,;,p
mais,mais,82
demander,demander,14
des,de,81
des,le,71
renouvellements,renouvellement,21
est,être,17
",",",",p
dans,dans,81
la,le,71
jurisprudence,jurisprudence,22
commerciale,commercial,30
",",",",p
ce,ce,52
que,que,52
la,le,71
police,police,22
correctionnelle,correctionnel,30
est,être,17
à,à,81
la,le,71
cour,cour,22
d',de,81
Assises,Assises,20
",",",",p
un,un,71
premier,premier,72
pas,pas,21
vers,vers,81
la,le,71
faillite,faillite,22
",",",",p
comme,comme,83
le,le,71
délit,délit,21
mène,mener,17
au,à,81
au,le,71
crime,crime,21
/.,/.,P
le,le,71
secret,secret,21
de,de,81
votre,votre,73
impuissance,impuissance,22
et,et,82
de,de,81
votre,votre,73
gêne,gêne,22
est,être,17
en,en,81
d',de,81
autres,autre,75
mains,main,22
que,que,52
les,le,71
vôtres,vôtre,52
/.,/.,P
un,un,71
négociant,négociant,21
se,se,51
met,mettre,17
pieds,pied,21
et,et,82
poings,poing,21
liés,lié,31
à,à,81
la,le,71
disposition,disposition,22
d',de,81
un,un,71
autre,autre,75
négociant,négociant,21
",",",",p
et,et,82
la,le,71
charité,charité,22
n',ne,60
est,être,17
pas,pas,60
une,un,71
vertu,vertu,22
pratiquée,pratiqué,31
à,à,81
la,le,71
bourse,bourse,22
/.,/.,P
le,le,71
parfumeur,parfumeur,21
",",",",p
qui,qui,52
jadis,jadis,60
levait,lever,18
un,un,71
oeil,oeil,21
si,si,60
ardent,ardent,30
de,de,81
confiance,confiance,22
en,en,81
allant,aller,13
dans,dans,81
Paris,Paris,20
",",",",p
maintenant,maintenant,60
affaibli,affaibli,31
par,par,81
les,le,71
doutes,doute,21
",",",",p
hésitait,hésiter,18
à,à,81
entrer,entrer,14
chez,chez,81
le,le,71
banquier,banquier,21
Claparon,Claparon,20
",",",",p
il,il,51
commençait,commencer,18
à,à,81
comprendre,comprendre,14
que,que,83
chez,chez,81
les,le,71
banquiers,banquier,21
le,le,71
coeur,coeur,21
n',ne,60
est,être,17
qu',que,83
un,un,71
viscère,viscère,22
/.,/.,P
Claparon,Claparon,20
lui,lui,51
semblait,sembler,18
si,si,60
brutal,brutal,30
dans,dans,81
sa,son,73
grosse,gros,30
joie,joie,22
",",",",p
et,et,82
il,il,51
avait,avoir,18
reconnu,reconnaître,12
chez,chez,81
lui,lui,51
tant,tant,60
de,de,81
mauvais,mauvais,30
ton,ton,21
",",",",p
qu',que,83
il,il,51
tremblait,trembler,18
de,de,81
l',le,52
aborder,aborder,14
/.,/.,P
-,-,p
il,il,51
est,être,17
plus,plus,60
près,près,81
du,de,81
du,le,71
peuple,peuple,21
",",",",p
il,il,51
aura,avoir,15
peut-être,peut-être,60
plus,plus,60
d',de,81
âme,âme,22
/!,/!,P
tel,tel,52
fut,être,19
le,le,71
premier,premier,72
mot,mot,21
accusateur,accusateur,30
que,que,52
la,le,71
rage,rage,22
de,de,81
sa,son,73
position,position,22
lui,lui,51
dicta,dicter,19
/.,/.,P
César,César,20
puisa,puiser,19
sa,son,73
dernière,dernier,30
dose,dose,22
de,de,81
courage,courage,21
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
âme,âme,22
",",",",p
et,et,82
monta,monter,19
l',le,71
escalier,escalier,21
d',de,81
un,un,71
méchant,méchant,30
petit,petit,30
entresol,entresol,21
",",",",p
aux,à,81
aux,le,71
fenêtres,fenêtre,22
duquel,de,81
duquel,lequel,52
il,il,51
avait,avoir,18
guigné,guigner,12
des,de,81
des,le,71
rideaux,rideau,21
verts,vert,30
jaunis,jauni,31
par,par,81
le,le,71
soleil,soleil,21
/.,/.,P
il,il,51
lut,lire,19
sur,sur,81
la,le,71
porte,porte,22
le,le,71
mot,mot,21
bureaux,bureau,21
gravé,gravé,31
en,en,81
noir,noir,21
sur,sur,81
un,un,71
ovale,ovale,21
en,en,81
cuivre,cuivre,21
;,;,p
il,il,51
frappa,frapper,19
",",",",p
personne,personne,52
ne,ne,60
répondit,répondre,19
",",",",p
il,il,51
entra,entrer,19
/.,/.,P
ces,ce,74
lieux,lieu,21
plus,plus,60
que,que,83
modestes,modeste,30
sentaient,sentir,18
la,le,71
misère,misère,22
",",",",p
l',le,71
avarice,avarice,22
ou,ou,82
la,le,71
négligence,négligence,22
/.,/.,P
aucun,aucun,75
employé,employé,21
ne,ne,60
se,se,51
montra,montrer,19
derrière,derrière,81
les,le,71
grillages,grillage,21
en,en,81
laiton,laiton,21
placés,placé,31
à,à,81
hauteur,hauteur,22
d',de,81
appui,appui,21
sur,sur,81
des,de,81
des,le,71
boiseries,boiserie,22
de,de,81
bois,bois,21
blanc,blanc,30
non,non,60
peint,peint,31
qui,qui,52
servaient,servir,18
d',de,81
enceinte,enceinte,22
à,à,81
des,de,81
des,le,71
tables,table,22
et,et,82
à,à,81
des,de,81
des,le,71
pupitres,pupitre,21
en,en,81
bois,bois,21
noirci,noirci,31
/.,/.,P
ces,ce,74
bureaux,bureau,21
déserts,désert,30
étaient,être,18
encombrés,encombrer,12
d',de,81
écritoires,écritoire,21
où,où,60
l',le,71
encre,encre,22
moisissait,moisir,18
",",",",p
de,de,81
plumes,plume,22
ébouriffées,ébouriffé,31
comme,comme,83
des,de,81
des,le,71
gamins,gamin,21
",",",",p
tortillées,tortillé,31
en,en,81
forme,forme,22
de,de,81
soleils,soleil,21
;,;,p
enfin,enfin,60
",",",",p
couverts,couvert,31
de,de,81
cartons,carton,21
",",",",p
de,de,81
papiers,papier,21
",",",",p
d',de,81
imprimés,imprimé,21
",",",",p
sans,sans,81
doute,doute,21
inutiles,inutile,30
/.,/.,P
le,le,71
parquet,parquet,21
du,de,81
du,le,71
passage,passage,21
ressemblait,ressembler,18
à,à,81
celui,celui,52
d',de,81
un,un,71
parloir,parloir,21
de,de,81
pension,pension,22
",",",",p
tant,tant,60
il,il,51
était,être,18
râpé,râper,12
",",",",p
sale,sale,30
et,et,82
humide,humide,30
/.,/.,P
la,le,71
seconde,second,72
pièce,pièce,22
",",",",p
dont,dont,52
la,le,71
porte,porte,22
était,être,18
ornée,orner,12
du,de,81
du,le,71
mot,mot,21
caisse,caisse,22
",",",",p
s',se,51
harmoniait,harmonier,18
avec,avec,81
les,le,71
sinistres,sinistre,30
facéties,facétie,22
du,de,81
du,le,71
premier,premier,72
bureau,bureau,21
/.,/.,P
dans,dans,81
un,un,71
coin,coin,21
il,il,51
se,se,51
trouvait,trouver,18
une,un,71
grande,grand,30
cage,cage,22
en,en,81
bois,bois,21
de,de,81
chêne,chêne,21
treillissée,treillissé,30
en,en,81
fil,fil,21
de,de,81
cuivre,cuivre,21
",",",",p
à,à,81
chatière,chatière,22
mobile,mobile,30
",",",",p
garnie,garni,31
d',de,81
une,un,71
énorme,énorme,30
malle,malle,22
en,en,81
fer,fer,21
",",",",p
sans,sans,81
doute,doute,21
abandonnée,abandonné,31
aux,à,81
aux,le,71
cabrioles,cabriole,22
des,de,81
des,le,71
rats,rat,21
/.,/.,P
cette,ce,74
cage,cage,22
",",",",p
dont,dont,52
la,le,71
porte,porte,22
était,être,18
ouverte,ouvrir,12
",",",",p
contenait,contenir,18
encore,encore,60
un,un,71
bureau,bureau,21
fantastique,fantastique,30
",",",",p
et,et,82
son,son,73
fauteuil,fauteuil,21
ignoble,ignoble,30
",",",",p
troué,troué,31
",",",",p
vert,vert,30
",",",",p
à,à,81
fond,fond,21
percé,percé,31
",",",",p
dont,dont,52
le,le,71
crin,crin,21
s',se,51
échappait,échapper,18
",",",",p
comme,comme,83
la,le,71
perruque,perruque,22
du,de,81
du,le,71
patron,patron,21
",",",",p
en,en,81
mille,mille,72
tire-bouchons,tirebouchon,21
égrillards,égrillard,30
/.,/.,P
cette,ce,74
pièce,pièce,22
",",",",p
évidemment,évidemment,60
autrefois,autrefois,60
le,le,71
salon,salon,21
de,de,81
l',le,71
appartement,appartement,21
avant,avant,81
qu',que,83
il,il,51
ne,ne,60
fût,être,19
converti,convertir,12
en,en,81
bureau,bureau,21
de,de,81
banque,banque,22
",",",",p
offrait,offrir,18
pour,pour,81
principal,principal,30
ornement,ornement,21
une,un,71
table,table,22
ronde,rond,30
revêtue,revêtu,31
d',de,81
un,un,71
tapis,tapis,21
en,en,81
drap,drap,21
vert,vert,30
autour,autour,60
de,de,81
laquelle,lequel,52
étaient,être,18
de,de,81
vieilles,vieux,30
chaises,chaise,22
en,en,81
maroquin,maroquin,21
noir,noir,30
et,et,82
à,à,81
clous,clou,21
dédorés,dédoré,31
/.,/.,P
la,le,71
cheminée,cheminée,22
",",",",p
assez,assez,60
élégante,élégant,30
",",",",p
ne,ne,60
présentait,présenter,18
à,à,81
l',le,71
oeil,oeil,21
aucune,aucun,52
des,de,81
des,le,71
morsures,morsure,22
noires,noir,30
que,que,52
laisse,laisser,17
le,le,71
feu,feu,21
",",",",p
sa,son,73
plaque,plaque,22
était,être,18
propre,propre,30
",",",",p
sa,son,73
glace,glace,22
injuriée,injurié,31
par,par,81
les,le,71
mouches,mouche,22
avait,avoir,18
un,un,71
air,air,21
mesquin,mesquin,30
",",",",p
d'accord,d'accord,60
avec,avec,81
une,un,71
pendule,pendule,22
en,en,81
bois,bois,21
d',de,81
acajou,acajou,21
qui,qui,52
provenait,provenir,18
de,de,81
la,le,71
vente,vente,22
de,de,81
quelque,quelque,75
vieux,vieux,30
notaire,notaire,21
et,et,82
qui,qui,52
ennuyait,ennuyer,18
le,le,71
regard,regard,21
",",",",p
attristé,attristé,31
déjà,déjà,60
par,par,81
deux,deux,72
flambeaux,flambeau,21
sans,sans,81
bougie,bougie,22
et,et,82
par,par,81
une,un,71
poussière,poussière,22
gluante,gluant,30
/.,/.,P
le,le,71
papier,papier,21
de,de,81
tenture,tenture,22
",",",",p
gris,gris,30
de,de,81
souris,souris,22
",",",",p
bordé,bordé,31
de,de,81
rose,rose,21
",",",",p
annonçait,annoncer,18
par,par,81
des,de,81
des,le,71
teintes,teinte,22
fuligineuses,fuligineux,30
le,le,71
séjour,séjour,21
malsain,malsain,30
de,de,81
quelques,quelque,75
fumeurs,fumeur,21
/.,/.,P
rien,rien,52
ne,ne,60
ressemblait,ressembler,18
davantage,davantage,60
au,à,81
au,le,71
salon,salon,21
banal,banal,30
que,que,83
les,le,71
journaux,journal,21
appellent,appeler,17
cabinet,cabinet,21
de,de,81
rédaction,rédaction,22
/.,/.,P
Birotteau,Birotteau,20
",",",",p
craignant,craindre,13
d',de,81
être,être,14
indiscret,indiscret,30
",",",",p
frappa,frapper,19
trois,trois,72
coups,coup,21
brefs,bref,30
à,à,81
la,le,71
porte,porte,22
opposée,opposé,31
à,à,81
celle,celui,52
par,par,81
laquelle,lequel,52
il,il,51
était,être,18
entré,entrer,12
/.,/.,P
-,-,p
entrez,entrer,17
!,!,p
cria,crier,19
Claparon,Claparon,20
",",",",p
dont,dont,52
la,le,71
tonalité,tonalité,22
révéla,révéler,19
la,le,71
distance,distance,22
que,que,52
sa,son,73
voix,voix,22
avait,avoir,18
à,à,81
parcourir,parcourir,14
et,et,82
le,le,71
vide,vide,21
de,de,81
cette,ce,74
pièce,pièce,22
où,où,60
le,le,71
parfumeur,parfumeur,21
entendait,entendre,18
pétiller,pétiller,14
un,un,71
bon,bon,30
feu,feu,21
",",",",p
mais,mais,82
où,où,60
le,le,71
banquier,banquier,21
n',ne,60
était,être,18
pas,pas,60
/.,/.,P
cette,ce,74
chambre,chambre,22
lui,lui,51
servait,servir,18
en,en,81
effet,effet,21
de,de,81
cabinet,cabinet,21
particulier,particulier,30
/.,/.,P
entre,entre,81
la,le,71
fastueuse,fastueux,30
audience,audience,22
de,de,81
Keller,Keller,20
et,et,82
la,le,71
singulière,singulier,30
insouciance,insouciance,22
de,de,81
ce,ce,74
prétendu,prétendu,31
grand,grand,30
industriel,industriel,21
",",",",p
il,il,51
y,y,52
avait,avoir,18
toute,tout,75
la,le,71
différence,différence,22
qui,qui,52
existe,exister,17
entre,entre,81
Versailles,Versailles,20
et,et,82
le,le,71
wigham,wigham,21
d',de,81
un,un,71
chef,chef,21
de,de,81
Hurons,Huron,20
/.,/.,P
le,le,71
parfumeur,parfumeur,21
avait,avoir,18
vu,voir,12
les,le,71
grandeurs,grandeur,22
de,de,81
la,le,71
banque,banque,22
",",",",p
il,il,51
allait,aller,18
en,en,52
voir,voir,14
les,le,71
gamineries,gaminerie,22
/.,/.,P
couché,couché,31
dans,dans,81
une,un,71
sorte,sorte,22
de,de,81
bouge,bouge,21
oblong,oblong,30
pratiqué,pratiqué,31
derrière,derrière,81
le,le,71
cabinet,cabinet,21
",",",",p
et,et,82
où,où,60
les,le,71
habitudes,habitude,22
d',de,81
une,un,71
vie,vie,22
insoucieuse,insoucieux,30
avaient,avoir,18
abîmé,abîmer,12
",",",",p
perdu,perdre,12
",",",",p
confondu,confondre,12
",",",",p
déchiré,déchirer,12
",",",",p
encrassé,encrasser,12
",",",",p
ruiné,ruiner,12
tout,tout,75
un,un,71
mobilier,mobilier,21
à,à,81
peu,peu,60
près,près,81
élégant,élégant,30
dans,dans,81
sa,son,73
primeur,primeur,22
",",",",p
Claparon,Claparon,20
",",",",p
à,à,81
l',le,71
aspect,aspect,21
de,de,81
Birotteau,Birotteau,20
",",",",p
s',se,51
enveloppa,envelopper,19
dans,dans,81
sa,son,73
robe,robe,22
de,de,81
chambre,chambre,22
crasseuse,crasseux,30
",",",",p
déposa,déposer,19
sa,son,73
pipe,pipe,22
",",",",p
et,et,82
tira,tirer,19
les,le,71
rideaux,rideau,21
du,de,81
du,le,71
lit,lit,21
avec,avec,81
une,un,71
rapidité,rapidité,22
qui,qui,52
fit,faire,19
suspecter,suspecter,14
ses,son,73
moeurs,moeurs,22
par,par,81
l',le,71
innocent,innocent,30
parfumeur,parfumeur,21
/.,/.,P
-,-,p
asseyez,asseoir,17
vous,vous,51
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
le,le,71
banquier,banquier,21
/.,/.,P
Claparon,Claparon,20
sans,sans,81
perruque,perruque,22
et,et,82
la,le,71
tête,tête,22
enveloppée,enveloppé,31
dans,dans,81
un,un,71
foulard,foulard,21
mis,mis,31
de,de,81
travers,travers,21
",",",",p
parut,paraître,19
d'autant,d'autant,60
plus,plus,60
hideux,hideux,30
à,à,81
Birotteau,Birotteau,20
que,que,83
la,le,71
robe,robe,22
de,de,81
chambre,chambre,22
en,en,81
s',se,51
entr'ouvrant,entr'ouvrir,13
laissa,laisser,19
voir,voir,14
une,un,71
espèce,espèce,22
de,de,81
maillot,maillot,21
en,en,81
laine,laine,22
blanche,blanc,30
tricotée,tricoté,31
",",",",p
rendue,rendu,31
brune,brun,30
par,par,81
un,un,71
usage,usage,21
infiniment,infiniment,60
trop,trop,60
prolongé,prolongé,31
/.,/.,P
-,-,p
voulez,vouloir,17
vous,vous,51
déjeuner,déjeuner,14
avec,avec,81
moi,moi,51
?,?,p
dit,dire,19
Claparon,Claparon,20
en,en,81
se,se,51
rappelant,rappeler,13
le,le,71
bal,bal,21
du,de,81
du,le,71
parfumeur,parfumeur,21
et,et,82
voulant,vouloir,13
autant,autant,60
prendre,prendre,14
sa,son,73
revanche,revanche,22
que,que,52
lui,lui,51
donner,donner,14
le,le,71
change,change,21
par,par,81
cette,ce,74
invitation,invitation,22
/.,/.,P
en,en,81
effet,effet,21
une,un,71
table,table,22
ronde,rond,30
débarrassée,débarrassé,31
à,à,81
la,le,71
hâte,hâte,22
de,de,81
ses,son,73
papiers,papier,21
",",",",p
accusait,accuser,18
une,un,71
jolie,joli,30
compagnie,compagnie,22
en,en,81
montrant,montrer,13
un,un,71
pâté,pâté,21
",",",",p
des,de,81
des,le,71
huîtres,huître,22
",",",",p
du,de,81
du,le,71
vin,vin,21
blanc,blanc,30
",",",",p
et,et,82
les,le,71
vulgaires,vulgaire,30
rognons,rognon,21
sautés,sauté,31
au,à,81
au,le,71
vin,vin,21
de,de,81
Champagne,Champagne,20
figés,figé,31
dans,dans,81
leur,leur,73
sauce,sauce,22
/.,/.,P
devant,devant,81
le,le,71
foyer,foyer,21
à,à,81
charbon,charbon,21
de,de,81
terre,terre,22
",",",",p
le,le,71
feu,feu,21
dorait,dorer,18
une,un,71
omelette,omelette,22
aux,à,81
aux,le,71
truffes,truffe,22
/.,/.,P
enfin,enfin,60
deux,deux,72
couverts,couvert,21
et,et,82
leurs,leur,73
serviettes,serviette,22
tachées,taché,31
par,par,81
le,le,71
souper,souper,21
de,de,81
la,le,71
veille,veille,22
eussent,avoir,18
éclairé,éclairer,12
l',le,71
innocence,innocence,22
la,le,71
plus,plus,60
pure,pur,30
/.,/.,P
en,en,81
homme,homme,21
qui,qui,52
se,se,51
croyait,croire,18
habile,habile,30
",",",",p
Claparon,Claparon,20
insista,insister,19
malgré,malgré,81
les,le,71
refus,refus,21
de,de,81
Birotteau,Birotteau,20
/.,/.,P
-,-,p
je,je,51
devais,devoir,18
avoir,avoir,14
quelqu'un,quelqu'un,52
",",",",p
mais,mais,82
ce,ce,74
quelqu'un,quelqu'un,52
s',se,51
est,être,17
dégagé,dégager,12
",",",",p
s',se,51
écria,écrier,19
le,le,71
malin,malin,30
voyageur,voyageur,21
de,de,81
manière,manière,22
à,à,81
se,se,51
faire,faire,14
entendre,entendre,14
d',de,81
une,un,71
personne,personne,22
qui,qui,52
se,se,51
serait,être,16
ensevelie,ensevelir,12
dans,dans,81
ses,son,73
couvertures,couverture,22
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
Birotteau,Birotteau,20
",",",",p
je,je,51
viens,venir,17
uniquement,uniquement,60
pour,pour,81
affaire,affaire,22
",",",",p
et,et,82
je,je,51
ne,ne,60
vous,vous,51
tiendrai,tenir,15
pas,pas,60
longtemps,longtemps,60
/.,/.,P
-,-,p
je,je,51
suis,être,17
accablé,accabler,12
",",",",p
répondit,répondre,19
Claparon,Claparon,20
en,en,81
montrant,montrer,13
un,un,71
secrétaire,secrétaire,21
à,à,81
cylindre,cylindre,21
et,et,82
des,de,81
des,le,71
tables,table,22
encombrées,encombré,31
de,de,81
papiers,papier,21
",",",",p
on,on,51
ne,ne,60
me,je,51
laisse,laisser,17
pas,pas,60
un,un,71
pauvre,pauvre,30
moment,moment,21
à,à,81
moi,moi,51
/.,/.,P
je,je,51
ne,ne,60
reçois,recevoir,17
que,que,83
le,le,71
samedi,samedi,21
",",",",p
mais,mais,82
pour,pour,81
vous,vous,51
",",",",p
cher,cher,30
monsieur,monsieur,21
",",",",p
on,on,51
y,y,52
est,être,17
toujours,toujours,60
/!,/!,P
je,je,51
ne,ne,60
trouve,trouver,17
plus,plus,60
le,le,71
temps,temps,21
d',de,81
aimer,aimer,14
ni,ni,82
de,de,81
flâner,flâner,14
",",",",p
je,je,51
perds,perdre,17
le,le,71
sentiment,sentiment,21
des,de,81
des,le,71
affaires,affaire,22
qui,qui,52
pour,pour,81
reprendre,reprendre,14
son,son,73
vif,vif,30
veut,vouloir,17
une,un,71
oisiveté,oisiveté,22
savamment,savamment,60
calculée,calculé,31
/.,/.,P
on,on,51
ne,ne,60
me,je,51
voit,voir,17
plus,plus,60
sur,sur,81
les,le,71
boulevards,boulevard,21
occupé,occupé,31
à,à,81
ne,ne,60
rien,rien,52
faire,faire,14
/.,/.,P
bah,bah,93
!,!,p
les,le,71
affaires,affaire,22
m',je,51
ennuient,ennuyer,17
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
plus,plus,60
entendre,entendre,14
parler,parler,14
d',de,81
affaires,affaire,22
",",",",p
j',je,51
ai,avoir,17
assez,assez,60
d',de,81
argent,argent,21
et,et,82
n',ne,60
aurai,avoir,15
jamais,jamais,60
assez,assez,60
de,de,81
bonheur,bonheur,21
/.,/.,P
ma,mon,73
foi,foi,22
!,!,p
je,je,51
veux,vouloir,17
voyager,voyager,14
",",",",p
voir,voir,14
l',le,71
Italie,Italie,20
/!,/!,P
oh,oh,93
chère,cher,30
Italie,Italie,20
!,!,p
belle,beau,30
encore,encore,60
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ses,son,73
revers,revers,21
",",",",p
adorable,adorable,30
terre,terre,22
où,où,60
je,je,51
rencontrerai,rencontrer,15
sans,sans,81
doute,doute,21
une,un,71
Italienne,Italien,20
molle,mou,30
et,et,82
majestueuse,majestueux,30
!,!,p
j',je,51
ai,avoir,17
toujours,toujours,60
aimé,aimer,12
les,le,71
Italiennes,Italien,20
/!,/!,P
avez,avoir,17
vous,vous,51
jamais,jamais,60
eu,avoir,12
une,un,71
Italienne,Italien,20
à,à,81
vous,vous,51
/?,/?,P
non,non,60
/.,/.,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
venez,venir,17
avec,avec,81
moi,moi,51
en,en,81
Italie,Italie,20
/.,/.,P
nous,nous,51
verrons,voir,15
Venise,Venise,20
",",",",p
séjour,séjour,21
des,de,81
des,le,71
doges,doge,21
",",",",p
et,et,82
bien,bien,60
mal,mal,60
tombée,tombé,31
aux,à,81
aux,le,71
mains,main,22
inintelligentes,inintelligent,30
de,de,81
l',le,71
Autriche,Autriche,20
où,où,60
les,le,71
arts,art,21
sont,être,17
inconnus,inconnu,30
/!,/!,P
bah,bah,93
!,!,p
laissons,laisser,17
les,le,71
affaires,affaire,22
",",",",p
les,le,71
canaux,canal,21
",",",",p
les,le,71
emprunts,emprunt,21
et,et,82
les,le,71
gouvernements,gouvernement,21
tranquilles,tranquille,30
/.,/.,P
je,je,51
suis,être,17
bon,bon,30
prince,prince,21
quand,quand,83
j',je,51
ai,avoir,17
le,le,71
gousset,gousset,21
garni,garni,31
/.,/.,P
tonnerre,tonnerre,21
!,!,p
voyageons,voyager,17
/.,/.,P
-,-,p
un,un,71
seul,seul,30
mot,mot,21
",",",",p
monsieur,monsieur,21
",",",",p
et,et,82
je,je,51
vous,vous,51
laisse,laisser,17
",",",",p
dit,dire,19
Birotteau,Birotteau,20
/.,/.,P
vous,vous,51
avez,avoir,17
passé,passer,12
mes,mon,73
effets,effet,21
à,à,81
monsieur,monsieur,21
Bidault,Bidault,20
/.,/.,P
-,-,p
vous,vous,51
voulez,vouloir,17
dire,dire,14
Gigonnet,Gigonnet,20
?,?,p
ce,ce,74
bon,bon,30
petit,petit,30
Gigonnet,Gigonnet,20
",",",",p
un,un,71
homme,homme,21
coulant,coulant,30
…,…,p
comme,comme,83
un,un,71
noeud,noeud,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
reprit,reprendre,19
César,César,20
/.,/.,P
je,je,51
voudrais,vouloir,16
…,…,p
et,et,82
en,en,81
ceci,ceci,52
je,je,51
compte,compter,17
sur,sur,81
votre,votre,73
honneur,honneur,21
et,et,82
votre,votre,73
délicatesse,délicatesse,22
/…,/…,P
Claparon,Claparon,20
s',se,51
inclina,incliner,19
/.,/.,P
-,-,p
je,je,51
voudrais,vouloir,16
pouvoir,pouvoir,14
renouveler,renouveler,14
/…,/…,P
impossible,impossible,30
",",",",p
répondit,répondre,19
nettement,nettement,60
le,le,71
banquier,banquier,21
",",",",p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
seul,seul,30
dans,dans,81
l',le,71
affaire,affaire,22
/.,/.,P
nous,nous,51
sommes,être,17
réunis,réunir,12
en,en,81
conseil,conseil,21
",",",",p
une,un,71
vraie,vrai,30
chambre,chambre,22
",",",",p
mais,mais,82
où,où,60
l',l',94
on,on,51
s',se,51
entend,entendre,17
comme,comme,83
des,de,81
des,le,71
larrons,larron,21
en,en,81
foire,foire,22
/.,/.,P
ah,ah,93
!,!,p
diable,diable,21
!,!,p
nous,nous,51
délibérons,délibérer,17
/.,/.,P
les,le,71
terrains,terrain,21
de,de,81
la,le,71
Madeleine,Madeleine,20
ne,ne,60
sont,être,17
rien,rien,52
",",",",p
nous,nous,51
opérons,opérer,17
