11421
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-deuxième extrait>,<>,<>
/?,/?,P
d',de,81
autres,autre,52
qu',que,83
on,on,51
dit,dire,17
belles,belle,22
",",",",p
qui,qui,52
étaient,être,18
libres,libre,30
",",",",p
me,je,51
souriaient,sourire,18
de,de,81
leur,leur,73
sourire,sourire,21
le,le,71
plus,plus,60
tendre,tendre,30
et,et,82
semblaient,sembler,18
appeler,appeler,14
un,un,71
aveu,aveu,21
qui,qui,52
ne,ne,60
venait,venir,18
pas,pas,60
/.,/.,P
oh,oh,93
!,!,p
qu',que,52
il,il,51
est,être,17
heureux,heureux,30
lui,lui,51
/!,/!,P
quelle,quel,75
sublime,sublime,30
vie,vie,22
antérieure,antérieur,30
dieu,dieu,21
récompense,récompenser,17
t,t,94
il,il,51
en,en,81
lui,lui,51
par,par,81
le,le,71
don,don,21
magnifique,magnifique,30
de,de,81
cet,ce,74
amour,amour,21
?,?,p
/…,/…,P
il,il,51
était,être,18
inutile,inutile,30
d',de,81
en,en,52
lire,lire,14
davantage,davantage,60
/.,/.,P
le,le,71
soupçon,soupçon,21
que,que,52
le,le,71
comte,comte,21
avait,avoir,18
pu,pouvoir,12
concevoir,concevoir,14
à,à,81
l',le,71
aspect,aspect,21
du,de,81
du,le,71
portrait,portrait,21
de,de,81
Prascovie,Prascovie,20
s',se,51
était,être,18
évanoui,évanouir,12
dès,dès,81
les,le,71
premières,premier,72
lignes,ligne,22
de,de,81
ces,ce,74
tristes,triste,30
confidences,confidence,22
/.,/.,P
il,il,51
comprit,comprendre,19
que,que,83
l',le,71
image,image,22
chérie,chéri,31
",",",",p
recommencée,recommencé,31
mille,mille,72
fois,fois,22
",",",",p
avait,avoir,18
été,être,12
caressée,caresser,12
loin,loin,60
du,de,81
du,le,71
modèle,modèle,21
avec,avec,81
cette,ce,74
patience,patience,22
infatigable,infatigable,30
de,de,81
l',le,71
amour,amour,21
malheureux,malheureux,30
",",",",p
et,et,82
que,que,83
c',ce,52
était,être,18
la,le,71
madone,madone,22
d',de,81
une,un,71
petite,petit,30
chapelle,chapelle,22
mystique,mystique,30
",",",",p
devant,devant,81
laquelle,lequel,52
s',se,51
agenouillait,agenouiller,18
l',le,71
adoration,adoration,22
sans,sans,81
espoir,espoir,21
/.,/.,P
“,“,p
mais,mais,82
si,si,83
cet,ce,74
Octave,Octave,20
avait,avoir,18
fait,faire,12
un,un,71
pacte,pacte,21
avec,avec,81
le,le,71
diable,diable,21
pour,pour,81
me,je,51
dérober,dérober,14
mon,mon,73
corps,corps,21
et,et,82
surprendre,surprendre,14
sous,sous,81
ma,mon,73
forme,forme,22
l',le,71
amour,amour,21
de,de,81
Prascovie,Prascovie,20
/!,/!,P
l',le,71
invraisemblance,invraisemblance,22
",",",",p
au,à,81
au,le,71
XIXe,dix-neuvième,72
siècle,siècle,21
",",",",p
d',de,81
une,un,71
pareille,pareil,30
supposition,supposition,22
",",",",p
la,le,52
fit,faire,19
bientôt,bientôt,60
abandonner,abandonner,14
au,à,81
au,le,71
comte,comte,21
",",",",p
qu',que,83
elle,il,51
avait,avoir,18
cependant,cependant,82
étrangement,étrangement,60
troublé,troubler,12
/.,/.,P
souriant,sourire,13
lui-même,lui-même,51
de,de,81
sa,son,73
crédulité,crédulité,22
",",",",p
il,il,51
mangea,manger,19
",",",",p
refroidi,refroidi,31
",",",",p
le,le,71
déjeuner,déjeuner,21
servi,servi,31
par,par,81
Jean,Jean,20
",",",",p
s',se,51
habilla,habiller,19
et,et,82
demanda,demander,19
la,le,71
voiture,voiture,22
/.,/.,P
lorsqu',lorsque,83
on,on,51
eut,avoir,19
attelé,atteler,12
",",",",p
il,il,51
se,se,51
fit,faire,19
conduire,conduire,14
chez,chez,81
le,le,71
docteur,docteur,21
Balthazar,Balthazar,20
Cherbonneau,Cherbonneau,20
;,;,p
il,il,51
traversa,traverser,19
ces,ce,74
salles,salle,22
où,où,60
la,le,71
veille,veille,22
il,il,51
était,être,18
entré,entrer,12
s',se,51
appelant,appeler,13
encore,encore,60
le,le,71
comte,comte,21
Olaf,Olaf,20
Labinski,Labinski,20
",",",",p
et,et,82
d',de,81
où,où,60
il,il,51
était,être,18
sorti,sortir,12
salué,salué,31
par,par,81
tout,tout,75
le,le,71
monde,monde,21
du,de,81
du,le,71
nom,nom,21
d',de,81
Octave,Octave,20
de,de,81
Saville,Saville,20
/.,/.,P
le,le,71
docteur,docteur,21
était,être,18
assis,asseoir,12
",",",",p
comme,comme,83
à,à,81
son,son,73
ordinaire,ordinaire,21
",",",",p
sur,sur,81
le,le,71
divan,divan,21
de,de,81
la,le,71
pièce,pièce,22
du,de,81
du,le,71
fond,fond,21
",",",",p
tenant,tenir,13
son,son,73
pied,pied,21
dans,dans,81
sa,son,73
main,main,22
",",",",p
et,et,82
paraissait,paraître,18
plongé,plongé,31
dans,dans,81
une,un,71
méditation,méditation,22
profonde,profond,30
/.,/.,P
au,à,81
au,le,71
bruit,bruit,21
des,de,81
des,le,71
pas,pas,21
du,de,81
du,le,71
comte,comte,21
",",",",p
le,le,71
docteur,docteur,21
releva,relever,19
la,le,71
tête,tête,22
/.,/.,P
“,“,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
vous,vous,51
",",",",p
mon,mon,73
cher,cher,30
Octave,Octave,20
;,;,p
j',je,51
allais,aller,18
passer,passer,14
chez,chez,81
vous,vous,51
;,;,p
mais,mais,82
c',ce,52
est,être,17
bon,bon,30
signe,signe,21
quand,quand,83
le,le,71
malade,malade,21
vient,venir,17
voir,voir,14
le,le,71
médecin,médecin,21
/.,/.,P
-,-,p
toujours,toujours,60
Octave,Octave,20
!,!,p
dit,dire,19
le,le,71
comte,comte,21
",",",",p
je,je,51
crois,croire,17
que,que,83
j',je,51
en,en,52
deviendrai,devenir,15
fou,fou,30
de,de,81
rage,rage,22
/!,/!,P
puis,puis,60
",",",",p
se,se,51
croisant,croiser,13
les,le,71
bras,bras,21
",",",",p
il,il,51
se,se,51
plaça,placer,19
devant,devant,81
le,le,71
docteur,docteur,21
",",",",p
et,et,82
",",",",p
le,le,71
regardant,regardant,30
avec,avec,81
une,un,71
fixité,fixité,22
terrible,terrible,30
:,:,p
“,“,p
vous,vous,51
savez,savoir,17
bien,bien,60
",",",",p
monsieur,monsieur,21
Balthazar,Balthazar,20
Cherbonneau,Cherbonneau,20
",",",",p
que,que,83
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
Octave,Octave,20
",",",",p
mais,mais,82
le,le,71
comte,comte,21
Olaf,Olaf,20
Labinski,Labinski,20
",",",",p
puisque,puisque,83
hier,hier,60
soir,soir,21
vous,vous,51
m',je,51
avez,avoir,17
",",",",p
ici,ici,60
même,même,60
",",",",p
volé,voler,12
ma,mon,73
peau,peau,22
au,à,81
au,le,71
moyen,moyen,21
de,de,81
vos,votre,73
sorcelleries,sorcellerie,22
exotiques,exotique,30
/.,/.,P
“,“,p
à,à,81
ces,ce,74
mots,mot,21
",",",",p
le,le,71
docteur,docteur,21
partit,partir,19
d',de,81
un,un,71
énorme,énorme,30
éclat,éclat,21
de,de,81
rire,rire,21
",",",",p
se,se,51
renversa,renverser,19
sur,sur,81
ses,son,73
coussins,coussin,21
",",",",p
et,et,82
se,se,51
mit,mettre,19
les,le,71
poings,poing,21
au,à,81
au,le,71
côté,côté,21
pour,pour,81
contenir,contenir,14
les,le,71
convulsions,convulsion,22
de,de,81
sa,son,73
gaieté,gaieté,22
/.,/.,P
“,“,p
modérez,modérer,17
",",",",p
docteur,docteur,21
",",",",p
cette,ce,74
joie,joie,22
intempestive,intempestif,30
dont,dont,52
vous,vous,51
pourriez,pouvoir,16
vous,vous,51
repentir,repentir,14
/.,/.,P
je,je,51
parle,parler,17
sérieusement,sérieusement,60
/.,/.,P
-,-,p
tant,tant,60
pis,pis,60
",",",",p
tant,tant,60
pis,pis,60
!,!,p
cela,cela,52
prouve,prouver,17
que,que,83
l',le,71
anesthésie,anesthésie,22
et,et,82
l',le,71
hypocondrie,hypocondrie,22
pour,pour,81
laquelle,lequel,52
je,je,51
vous,vous,51
soignais,soigner,18
se,se,51
tournent,tourner,17
en,en,81
démence,démence,22
/.,/.,P
il,il,51
faudra,falloir,15
changer,changer,14
le,le,71
régime,régime,21
",",",",p
voilà,voilà,81
tout,tout,52
/.,/.,P
-,-,p
je,je,51
ne,ne,60
sais,savoir,17
à,à,81
quoi,quoi,52
tient,tenir,17
",",",",p
docteur,docteur,21
du,de,81
du,le,71
diable,diable,21
",",",",p
que,que,83
je,je,51
ne,ne,60
vous,vous,51
étrangle,étrangler,17
de,de,81
mes,mon,73
mains,main,22
“,“,p
",",",",p
cria,crier,19
le,le,71
comte,comte,21
en,en,81
s',se,51
avançant,avancer,13
vers,vers,81
Cherbonneau,Cherbonneau,20
/.,/.,P
le,le,71
docteur,docteur,21
sourit,sourire,19
de,de,81
la,le,71
menace,menace,22
du,de,81
du,le,71
comte,comte,21
",",",",p
qu',que,83
il,il,51
toucha,toucher,19
du,de,81
du,le,71
bout,bout,21
d',de,81
une,un,71
petite,petit,30
baguette,baguette,22
d',de,81
acier,acier,21
/.,/.,P
-,-,p
Olaf,Olaf,20
de,de,81
Saville,Saville,20
reçut,recevoir,19
une,un,71
commotion,commotion,22
terrible,terrible,30
et,et,82
crut,croire,19
qu',que,83
il,il,51
avait,avoir,18
le,le,71
bras,bras,21
cassé,cassé,31
/.,/.,P
“,“,p
oh,oh,93
!,!,p
nous,nous,51
avons,avoir,17
les,le,71
moyens,moyen,30
de,de,81
réduire,réduire,14
les,le,71
malades,malade,21
lorsqu',lorsque,83
ils,ils,51
se,se,51
regimbent,regimber,17
",",",",p
dit,dire,19
il,il,51
en,en,81
laissant,laisser,13
tomber,tomber,14
sur,sur,81
lui,lui,51
ce,ce,74
regard,regard,21
froid,froid,30
comme,comme,83
une,un,71
douche,douche,22
",",",",p
qui,qui,52
dompte,dompter,17
les,le,71
fous,fou,30
et,et,82
fait,faire,17
s',se,51
aplatir,aplatir,14
les,le,71
lions,lion,21
sur,sur,81
le,le,71
ventre,ventre,21
/.,/.,P
retournez,retourner,17
chez,chez,81
vous,vous,51
",",",",p
prenez,prendre,17
un,un,71
bain,bain,21
",",",",p
cette,ce,74
surexcitation,surexcitation,22
se,se,51
calmera,calmer,15
/.,/.,P
“,“,p
Olaf,Olaf,20
de,de,81
Saville,Saville,20
",",",",p
étourdi,étourdi,21
par,par,81
la,le,71
secousse,secousse,22
électrique,électrique,30
",",",",p
sortit,sortir,19
de,de,81
chez,chez,81
le,le,71
docteur,docteur,21
Cherbonneau,Cherbonneau,20
plus,plus,60
incertain,incertain,30
et,et,82
plus,plus,60
troublé,troublé,31
que,que,83
jamais,jamais,60
/.,/.,P
il,il,51
se,se,51
fit,faire,19
conduire,conduire,14
à,à,81
Passy,Passy,20
chez,chez,81
le,le,71
docteur,docteur,21
B,B,20
",",",",p
pour,pour,81
le,le,52
consulter,consulter,14
/.,/.,P
“,“,p
je,je,51
suis,être,17
",",",",p
dit,dire,19
il,il,51
au,à,81
au,le,71
médecin,médecin,21
célèbre,célèbre,30
",",",",p
en,en,81
proie,proie,22
à,à,81
une,un,71
hallucination,hallucination,22
bizarre,bizarre,30
;,;,p
lorsque,lorsque,83
je,je,51
me,je,51
regarde,regarder,17
dans,dans,81
une,un,71
glace,glace,22
",",",",p
ma,mon,73
figure,figure,22
ne,ne,60
m',je,51
apparaît,apparaître,17
pas,pas,60
avec,avec,81
ses,son,73
traits,trait,21
habituels,habituel,30
;,;,p
la,le,71
forme,forme,22
des,de,81
des,le,71
objets,objet,21
qui,qui,52
m',je,51
entourent,entourer,17
est,être,17
changée,changer,12
;,;,p
je,je,51
ne,ne,60
reconnais,reconnaître,17
ni,ni,82
les,le,71
murs,mur,21
ni,ni,82
les,le,71
meubles,meuble,21
de,de,81
ma,mon,73
chambre,chambre,22
;,;,p
il,il,51
me,je,51
semble,sembler,17
que,que,83
je,je,51
suis,être,17
une,un,71
autre,autre,75
personne,personne,22
que,que,83
moi-même,moi-même,51
/.,/.,P
-,-,p
sous,sous,81
quel,quel,75
aspect,aspect,21
vous,vous,51
voyez,voir,17
vous,vous,51
?,?,p
demanda,demander,19
le,le,71
médecin,médecin,21
;,;,p
l',le,71
erreur,erreur,22
peut,pouvoir,17
venir,venir,14
des,de,81
des,le,71
yeux,oeil,21
ou,ou,82
du,de,81
du,le,71
cerveau,cerveau,21
/.,/.,P
-,-,p
je,je,51
me,je,51
vois,voir,17
des,de,81
des,le,71
cheveux,cheveu,21
noirs,noir,30
",",",",p
des,de,81
des,le,71
yeux,oeil,21
bleu,bleu,30
foncé,foncé,31
",",",",p
un,un,71
visage,visage,21
pâle,pâle,30
encadré,encadré,31
de,de,81
barbe,barbe,22
/.,/.,P
-,-,p
un,un,71
signalement,signalement,21
de,de,81
passeport,passeport,21
ne,ne,60
serait,être,16
pas,pas,60
plus,plus,60
exact,exact,30
:,:,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
chez,chez,81
vous,vous,51
ni,ni,82
hallucination,hallucination,22
intellectuelle,intellectuel,30
",",",",p
ni,ni,82
perversion,perversion,22
de,de,81
la,le,71
vue,vue,22
/.,/.,P
vous,vous,51
êtes,être,17
",",",",p
en,en,81
effet,effet,21
",",",",p
tel,tel,75
que,que,83
vous,vous,51
dites,dire,17
/.,/.,P
-,-,p
mais,mais,82
non,non,60
/!,/!,P
j',je,51
ai,avoir,17
réellement,réellement,60
les,le,71
cheveux,cheveu,21
blonds,blond,30
",",",",p
les,le,71
yeux,oeil,21
noirs,noir,30
",",",",p
le,le,71
teint,teint,21
hâlé,hâlé,31
et,et,82
une,un,71
moustache,moustache,22
effilée,effilé,31
à,à,81
la,le,71
hongroise,hongrois,30
/.,/.,P
-,-,p
ici,ici,60
",",",",p
répondit,répondre,19
le,le,71
médecin,médecin,21
",",",",p
commence,commencer,17
une,un,71
légère,léger,30
altération,altération,22
des,de,81
des,le,71
facultés,faculté,22
intellectuelles,intellectuel,30
/.,/.,P
-,-,p
pourtant,pourtant,60
",",",",p
docteur,docteur,21
",",",",p
je,je,51
ne,ne,60
suis,être,17
nullement,nullement,60
fou,fou,30
/.,/.,P
-,-,p
sans,sans,81
doute,doute,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
que,que,83
les,le,71
sages,sage,30
qui,qui,52
viennent,venir,17
chez,chez,81
moi,moi,51
tout,tout,60
seuls,seul,30
/.,/.,P
un,un,71
peu,peu,60
de,de,81
fatigue,fatigue,22
",",",",p
quelque,quelque,75
excès,excès,21
d',de,81
étude,étude,22
ou,ou,82
de,de,81
plaisir,plaisir,21
aura,avoir,15
causé,causer,12
ce,ce,74
trouble,trouble,21
/.,/.,P
vous,vous,51
vous,vous,51
trompez,tromper,17
;,;,p
la,le,71
vision,vision,22
est,être,17
réelle,réel,30
",",",",p
l',le,71
idée,idée,22
est,être,17
chimérique,chimérique,30
:,:,p
au,à,81
au,le,71
lieu,lieu,21
d',de,81
être,être,14
un,un,71
blond,blond,30
qui,qui,52
se,se,51
voit,voir,17
brun,brun,30
",",",",p
vous,vous,51
êtes,être,17
un,un,71
brun,brun,30
qui,qui,52
se,se,51
croit,croire,17
blond,blond,30
/.,/.,P
-,-,p
pourtant,pourtant,60
je,je,51
suis,être,17
sûr,sûr,30
d',de,81
être,être,14
le,le,71
comte,comte,21
Olaf,Olaf,20
Labinski,Labinski,20
",",",",p
et,et,82
tout,tout,75
le,le,71
monde,monde,21
depuis,depuis,81
hier,hier,60
m',je,51
appelle,appeler,17
Octave,Octave,20
de,de,81
Saville,Saville,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
précisément,précisément,60
ce,ce,52
que,que,52
je,je,51
disais,dire,18
",",",",p
répondit,répondre,19
le,le,71
docteur,docteur,21
/.,/.,P
vous,vous,51
êtes,être,17
monsieur,monsieur,21
de,de,81
Saville,Saville,20
et,et,82
vous,vous,51
vous,vous,51
imaginez,imaginer,17
être,être,14
monsieur,monsieur,21
le,le,71
comte,comte,21
Labinski,Labinski,20
",",",",p
que,que,83
je,je,51
me,je,51
souviens,souvenir,17
d',de,81
avoir,avoir,14
vu,voir,12
",",",",p
et,et,82
qui,qui,52
",",",",p
en,en,81
effet,effet,21
",",",",p
est,être,17
blond,blond,30
/.,/.,P
-,-,p
cela,cela,52
explique,expliquer,17
parfaitement,parfaitement,60
comment,comment,60
vous,vous,51
vous,vous,51
trouvez,trouver,17
une,un,71
autre,autre,75
figure,figure,22
dans,dans,81
le,le,71
miroir,miroir,21
;,;,p
cette,ce,74
figure,figure,22
",",",",p
qui,qui,52
est,être,17
la,le,71
vôtre,vôtre,52
",",",",p
ne,ne,60
répond,répondre,17
point,point,60
à,à,81
votre,votre,73
idée,idée,22
intérieure,intérieur,30
et,et,82
vous,vous,51
surprend,surprendre,17
/.,/.,P
-,-,p
réfléchissez,réfléchir,17
à,à,81
ceci,ceci,52
",",",",p
que,que,52
tout,tout,75
le,le,71
monde,monde,21
vous,vous,51
nomme,nommer,17
monsieur,monsieur,21
de,de,81
Saville,Saville,20
et,et,82
par,par,81
conséquent,conséquent,30
ne,ne,60
partage,partager,17
pas,pas,60
votre,votre,73
croyance,croyance,22
/.,/.,P
venez,venir,17
passer,passer,14
une,un,71
quinzaine,quinzaine,22
de,de,81
jours,jour,21
ici,ici,60
:,:,p
les,le,71
bains,bain,21
",",",",p
le,le,71
repos,repos,21
",",",",p
les,le,71
promenades,promenade,22
sous,sous,81
les,le,71
grands,grand,30
arbres,arbre,21
dissiperont,dissiper,15
cette,ce,74
influence,influence,22
fâcheuse,fâcheux,30
/.,/.,P
“,“,p
le,le,71
comte,comte,21
baissa,baisser,19
la,le,71
tête,tête,22
et,et,82
promit,promettre,19
de,de,81
revenir,revenir,14
/.,/.,P
il,il,51
ne,ne,60
savait,savoir,18
plus,plus,60
que,que,83
croire,croire,14
/.,/.,P
il,il,51
retourna,retourner,19
à,à,81
l',le,71
appartement,appartement,21
de,de,81
la,le,71
rue,rue,22
Saint-Lazare,Saint-Lazare,20
",",",",p
et,et,82
vit,voir,19
par,par,81
hasard,hasard,21
sur,sur,81
la,le,71
table,table,22
la,le,71
carte,carte,22
d',de,81
invitation,invitation,22
de,de,81
la,le,71
comtesse,comtesse,22
Labinska,Labinska,20
",",",",p
qu',que,52
Octave,Octave,20
avait,avoir,18
montrée,montrer,12
à,à,81
monsieur,monsieur,21
Cherbonneau,Cherbonneau,20
/.,/.,P
“,“,p
avec,avec,81
ce,ce,74
talisman,talisman,21
",",",",p
s',se,51
écria,écrier,19
t,t,94
il,il,51
",",",",p
demain,demain,60
je,je,51
pourrai,pouvoir,15
la,le,52
voir,voir,14
/!,/!,P
IX,IX,20
lorsque,lorsque,83
les,le,71
valets,valet,21
eurent,avoir,19
porté,porter,12
à,à,81
sa,son,73
voiture,voiture,22
le,le,71
vrai,vrai,30
comte,comte,21
Labinski,Labinski,20
chassé,chassé,31
de,de,81
son,son,73
paradis,paradis,21
terrestre,terrestre,30
par,par,81
le,le,71
faux,faux,30
ange,ange,21
gardien,gardien,21
debout,debout,60
sur,sur,81
le,le,71
seuil,seuil,21
",",",",p
l',le,71
Octave,Octave,20
transfiguré,transfiguré,31
rentra,rentrer,19
dans,dans,81
le,le,71
petit,petit,30
salon,salon,21
blanc,blanc,30
et,et,82
or,or,82
pour,pour,81
attendre,attendre,14
le,le,71
loisir,loisir,21
de,de,81
la,le,71
comtesse,comtesse,22
/.,/.,P
appuyé,appuyé,31
contre,contre,81
le,le,71
marbre,marbre,21
blanc,blanc,30
de,de,81
la,le,71
cheminée,cheminée,22
dont,dont,52
l',le,71
âtre,âtre,21
était,être,18
rempli,remplir,12
de,de,81
fleurs,fleur,22
",",",",p
il,il,51
se,se,51
voyait,voir,18
répété,répété,31
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
glace,glace,22
placée,placé,31
en,en,81
symétrie,symétrie,22
sur,sur,81
la,le,71
console,console,22
à,à,81
pieds,pied,21
tarabiscotés,tarabiscoté,30
et,et,82
dorés,doré,31
/.,/.,P
quoique,quoique,83
il,il,51
fût,être,19
dans,dans,81
le,le,71
secret,secret,30
de,de,81
sa,son,73
métamorphose,métamorphose,22
",",",",p
ou,ou,82
",",",",p
pour,pour,81
parler,parler,14
plus,plus,60
exactement,exactement,60
",",",",p
de,de,81
sa,son,73
transposition,transposition,22
",",",",p
il,il,51
avait,avoir,18
peine,peine,22
à,à,81
se,se,51
persuader,persuader,14
que,que,83
cette,ce,74
image,image,22
si,si,60
différente,différent,30
de,de,81
la,le,71
sienne,sien,52
fût,être,19
le,le,71
double,double,30
de,de,81
sa,son,73
propre,propre,30
figure,figure,22
",",",",p
et,et,82
il,il,51
ne,ne,60
pouvait,pouvoir,18
détacher,détacher,14
ses,son,73
yeux,oeil,21
de,de,81
ce,ce,74
fantôme,fantôme,21
étranger,étranger,30
qui,qui,52
était,être,18
cependant,cependant,82
devenu,devenir,12
lui,lui,51
/.,/.,P
il,il,51
se,se,51
regardait,regarder,18
et,et,82
voyait,voir,18
un,un,71
autre,autre,52
/.,/.,P
involontairement,involontairement,60
il,il,51
cherchait,chercher,18
si,si,83
le,le,71
comte,comte,21
Olaf,Olaf,20
n',ne,60
était,être,18
pas,pas,60
accoudé,accouder,12
près,près,81
de,de,81
lui,lui,51
à,à,81
la,le,71
tablette,tablette,22
de,de,81
la,le,71
cheminée,cheminée,22
",",",",p
projetant,projeter,13
sa,son,73
réflexion,réflexion,22
au,à,81
au,le,71
miroir,miroir,21
;,;,p
mais,mais,82
il,il,51
était,être,18
bien,bien,60
seul,seul,30
;,;,p
le,le,71
docteur,docteur,21
Cherbonneau,Cherbonneau,20
avait,avoir,18
fait,faire,12
les,le,71
choses,chose,22
en,en,81
conscience,conscience,22
/.,/.,P
au,à,81
au,le,71
bout,bout,21
de,de,81
quelques,quelque,75
minutes,minute,22
",",",",p
Octave,Octave,20
Labinski,Labinski,20
ne,ne,60
songea,songer,19
plus,plus,60
au,à,81
au,le,71
merveilleux,merveilleux,30
avatar,avatar,21
qui,qui,52
avait,avoir,18
fait,faire,12
passer,passer,14
son,son,73
âme,âme,22
dans,dans,81
le,le,71
corps,corps,21
de,de,81
l',le,71
époux,époux,21
de,de,81
Prascovie,Prascovie,20
;,;,p
ses,son,73
pensées,pensée,22
prirent,prendre,19
un,un,71
cours,cours,21
plus,plus,60
conforme,conforme,30
à,à,81
sa,son,73
situation,situation,22
/.,/.,P
cet,ce,74
événement,événement,21
incroyable,incroyable,30
",",",",p
en,en,81
dehors,dehors,21
de,de,81
toutes,tout,75
les,le,71
possibilités,possibilité,22
",",",",p
et,et,82
que,que,52
l',le,71
espérance,espérance,22
la,le,71
plus,plus,60
chimérique,chimérique,30
n',ne,60
eût,avoir,19
pas,pas,60
osé,oser,12
rêver,rêver,14
en,en,81
son,son,73
délire,délire,21
",",",",p
était,être,18
arrivé,arriver,12
/!,/!,P
il,il,51
allait,aller,18
se,se,51
trouver,trouver,14
en,en,81
présence,présence,22
de,de,81
la,le,71
belle,beau,30
créature,créature,22
adorée,adoré,31
",",",",p
et,et,82
elle,il,51
ne,ne,60
le,le,52
repousserait,repousser,16
pas,pas,60
/!,/!,P
la,le,71
seule,seul,30
combinaison,combinaison,22
qui,qui,52
pût,pouvoir,18
concilier,concilier,14
son,son,73
bonheur,bonheur,21
avec,avec,81
l',le,71
immaculée,immaculé,30
vertu,vertu,22
de,de,81
la,le,71
comtesse,comtesse,22
s',se,51
était,être,18
réalisée,réaliser,12
/!,/!,P
près,près,81
de,de,81
ce,ce,74
moment,moment,21
suprême,suprême,30
",",",",p
son,son,73
âme,âme,22
éprouvait,éprouver,18
des,de,81
des,le,71
transes,transe,22
et,et,82
des,de,81
des,le,71
anxiétés,anxiété,22
affreuses,affreux,30
:,:,p
les,le,71
timidités,timidité,22
du,de,81
du,le,71
véritable,véritable,30
amour,amour,21
le,le,52
faisaient,faire,18
défaillir,défaillir,14
comme,comme,83
si,si,83
elle,il,51
habitait,habiter,18
encore,encore,60
la,le,71
forme,forme,22
dédaignée,dédaigné,31
d',de,81
Octave,Octave,20
de,de,81
Saville,Saville,20
/.,/.,P
l',le,71
entrée,entrée,22
de,de,81
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
mit,mettre,19
fin,fin,22
à,à,81
ce,ce,74
tumulte,tumulte,21
de,de,81
pensées,pensée,22
qui,qui,52
se,se,51
combattaient,combattre,18
/.,/.,P
à,à,81
son,son,73
approche,approche,22
il,il,51
ne,ne,60
put,pouvoir,19
maîtriser,maîtriser,14
un,un,71
soubresaut,soubresaut,21
nerveux,nerveux,30
",",",",p
et,et,82
tout,tout,75
son,son,73
sang,sang,21
afflua,affluer,19
vers,vers,81
son,son,73
coeur,coeur,21
lorsqu',lorsque,83
elle,il,51
lui,lui,51
dit,dire,19
:,:,p
“,“,p
madame,madame,22
la,le,71
comtesse,comtesse,22
peut,pouvoir,17
à,à,81
présent,présent,21
recevoir,recevoir,14
monsieur,monsieur,21
/.,/.,P
“,“,p
Octave,Octave,20
Labinski,Labinski,20
suivit,suivre,19
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
",",",",p
car,car,82
il,il,51
ne,ne,60
connaissait,connaître,18
pas,pas,60
les,le,71
êtres,être,21
de,de,81
l',le,71
hôtel,hôtel,21
",",",",p
et,et,82
ne,ne,60
voulait,vouloir,18
pas,pas,60
trahir,trahir,14
son,son,73
ignorance,ignorance,22
par,par,81
l',le,71
incertitude,incertitude,22
de,de,81
sa,son,73
démarche,démarche,22
/.,/.,P
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
l',le,52
introduisit,introduire,19
dans,dans,81
une,un,71
pièce,pièce,22
assez,assez,60
vaste,vaste,30
",",",",p
un,un,71
cabinet,cabinet,21
de,de,81
toilette,toilette,22
orné,orné,31
de,de,81
toutes,tout,75
les,le,71
recherches,recherche,22
de,de,81
luxe,luxe,21
le,le,71
plus,plus,60
délicat,délicat,30
/.,/.,P
une,un,71
suite,suite,22
d',de,81
armoires,armoire,22
d',de,81
un,un,71
bois,bois,21
précieux,précieux,30
",",",",p
sculptées,sculpté,31
par,par,81
Knecht,Knecht,20
et,et,82
Lienhart,Lienhart,20
",",",",p
et,et,82
dont,dont,52
les,le,71
battants,battant,21
étaient,être,18
séparés,séparer,12
par,par,81
des,de,81
des,le,71
colonnes,colonne,22
torses,torse,21
autour,autour,60
desquelles,de,81
desquelles,lequel,52
s',se,51
enroulaient,enrouler,18
en,en,81
spirales,spirale,22
de,de,81
légères,léger,30
brindilles,brindille,22
de,de,81
convolvulus,convolvulus,92
aux,à,81
aux,le,71
feuilles,feuille,22
en,en,81
coeur,coeur,21
et,et,82
aux,à,81
aux,le,71
fleurs,fleur,22
en,en,81
clochettes,clochette,22
découpées,découpé,31
avec,avec,81
un,un,71
art,art,21
infini,infini,30
",",",",p
formait,former,18
une,un,71
espèce,espèce,22
de,de,81
boiserie,boiserie,22
architecturale,architectural,30
",",",",p
un,un,71
portique,portique,21
d',de,81
ordre,ordre,21
capricieux,capricieux,30
d',de,81
une,un,71
élégance,élégance,22
rare,rare,30
et,et,82
d',de,81
une,un,71
exécution,exécution,22
achevée,achevé,31
;,;,p
dans,dans,81
ces,ce,74
armoires,armoire,22
étaient,être,18
serrés,serrer,12
les,le,71
robes,robe,22
de,de,81
velours,velours,21
et,et,82
de,de,81
moire,moire,22
",",",",p
les,le,71
cachemires,cachemire,21
",",",",p
les,le,71
mantelets,mantelet,21
",",",",p
les,le,71
dentelles,dentelle,22
",",",",p
les,le,71
pelisses,pelisse,22
de,de,81
martre,martre,22
zibeline,zibeline,22
",",",",p
de,de,81
