11813
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixantième extrait>,<>,<>
elle,il,51
s',se,51
y,y,52
abandonnait,abandonner,18
et,et,82
s',se,51
habituait,habituer,18
au,à,81
au,le,71
papier,papier,21
déchiré,déchiré,31
",",",",p
aux,à,81
aux,le,71
boiseries,boiserie,22
graisseuses,graisseux,30
",",",",p
comme,comme,83
elle,il,51
en,en,52
arrivait,arriver,18
à,à,81
porter,porter,14
des,de,81
des,le,71
jupes,jupe,22
fendues,fendu,31
et,et,82
à,à,81
ne,ne,60
plus,plus,60
se,se,51
laver,laver,14
les,le,71
oreilles,oreille,22
/.,/.,P
même,même,60
la,le,71
saleté,saleté,22
était,être,18
un,un,71
nid,nid,21
chaud,chaud,30
où,où,60
elle,il,51
jouissait,jouir,18
de,de,81
s',se,51
accroupir,accroupir,14
/.,/.,P
laisser,laisser,14
les,le,71
choses,chose,22
à,à,81
la,le,71
débandade,débandade,22
",",",",p
attendre,attendre,14
que,que,83
la,le,71
poussière,poussière,22
bouchât,boucher,18
les,le,71
trous,trou,21
et,et,82
mît,mettre,18
un,un,71
velours,velours,21
partout,partout,60
",",",",p
sentir,sentir,14
la,le,71
maison,maison,22
s',se,51
alourdir,alourdir,14
autour,autour,60
de,de,81
soi,soi,51
dans,dans,81
un,un,71
engourdissement,engourdissement,21
de,de,81
fainéantise,fainéantise,22
",",",",p
cela,cela,52
était,être,18
une,un,71
vraie,vrai,30
volupté,volupté,22
dont,dont,52
elle,il,51
se,se,51
grisait,griser,18
/.,/.,P
sa,son,73
tranquillité,tranquillité,22
d'abord,d'abord,60
;,;,p
le,le,71
reste,reste,21
",",",",p
elle,il,51
s',se,51
en,en,52
battait,battre,18
l',le,71
oeil,oeil,21
/.,/.,P
les,le,71
dettes,dette,22
",",",",p
toujours,toujours,60
croissantes,croissant,30
pourtant,pourtant,60
",",",",p
ne,ne,60
la,le,52
tourmentaient,tourmenter,18
plus,plus,60
/.,/.,P
elle,il,51
perdait,perdre,18
de,de,81
sa,son,73
probité,probité,22
;,;,p
on,on,51
paierait,payer,16
ou,ou,82
on,on,51
ne,ne,60
paierait,payer,16
pas,pas,60
",",",",p
la,le,71
chose,chose,22
restait,rester,18
vague,vague,30
",",",",p
et,et,82
elle,il,51
préférait,préférer,18
ne,ne,60
pas,pas,60
savoir,savoir,14
/.,/.,P
quand,quand,83
on,on,51
lui,lui,51
fermait,fermer,18
un,un,71
crédit,crédit,21
dans,dans,81
une,un,71
maison,maison,22
",",",",p
elle,il,51
en,en,52
ouvrait,ouvrir,18
un,un,71
autre,autre,52
dans,dans,81
la,le,71
maison,maison,22
d',de,81
à,à,81
côté,côté,21
/.,/.,P
elle,il,51
brûlait,brûler,18
le,le,71
quartier,quartier,21
",",",",p
elle,il,51
avait,avoir,18
des,de,81
des,le,71
poufs,pouf,21
tous,tout,75
les,le,71
dix,dix,72
pas,pas,21
/.,/.,P
rien,rien,52
que,que,83
dans,dans,81
la,le,71
rue,rue,22
de,de,81
la,le,71
Goutte-d'Or,Goutte d'Or,20
",",",",p
elle,il,51
n',ne,60
osait,oser,18
plus,plus,60
passer,passer,14
devant,devant,81
le,le,71
charbonnier,charbonnier,21
",",",",p
ni,ni,82
devant,devant,81
l',le,71
épicier,épicier,21
",",",",p
ni,ni,82
devant,devant,81
la,le,71
fruitière,fruitière,22
;,;,p
ce,ce,52
qui,qui,52
lui,lui,51
faisait,faire,18
faire,faire,14
le,le,71
tour,tour,21
par,par,81
la,le,71
rue,rue,22
des,de,81
des,le,71
Poissonniers,Poissonniers,20
",",",",p
quand,quand,83
elle,il,51
allait,aller,18
au,à,81
au,le,71
lavoir,lavoir,21
",",",",p
une,un,71
trotte,trotte,22
de,de,81
dix,dix,72
bonnes,bon,30
minutes,minute,22
/.,/.,P
les,le,71
fournisseurs,fournisseur,21
venaient,venir,18
la,le,52
traiter,traiter,14
de,de,81
coquine,coquine,22
/.,/.,P
un,un,71
soir,soir,21
",",",",p
l',le,71
homme,homme,21
qui,qui,52
avait,avoir,18
vendu,vendre,12
les,le,71
meubles,meuble,21
de,de,81
Lantier,Lantier,20
",",",",p
ameuta,ameuter,19
les,le,71
voisins,voisin,21
;,;,p
il,il,51
gueulait,gueuler,18
qu',que,83
il,il,51
la,le,52
trousserait,trousser,16
et,et,82
se,se,51
paierait,payer,16
sur,sur,81
la,le,71
bête,bête,22
",",",",p
si,si,83
elle,il,51
ne,ne,60
lui,lui,51
allongeait,allonger,18
pas,pas,60
sa,son,73
monnaie,monnaie,22
/.,/.,P
bien,bien,60
sûr,sûr,30
",",",",p
de,de,81
pareilles,pareil,30
scènes,scène,22
la,le,52
laissaient,laisser,18
tremblante,tremblant,30
;,;,p
seulement,seulement,60
",",",",p
elle,il,51
se,se,51
secouait,secouer,18
comme,comme,83
un,un,71
chien,chien,21
battu,battu,31
",",",",p
et,et,82
c',ce,52
était,être,18
fini,finir,12
",",",",p
elle,il,51
n',ne,60
en,en,52
dînait,dîner,18
pas,pas,60
plus,plus,60
mal,mal,60
",",",",p
le,le,71
soir,soir,21
/.,/.,P
en,en,52
voilà,voilà,81
des,de,81
des,le,71
insolents,insolent,21
qui,qui,52
l',le,52
embêtaient,embêter,18
!,!,p
elle,il,51
n',ne,60
avait,avoir,18
point,point,60
d',de,81
argent,argent,21
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
en,en,52
fabriquer,fabriquer,14
",",",",p
peut-être,peut-être,60
/!,/!,P
puis,puis,60
",",",",p
les,le,71
marchands,marchand,21
volaient,voler,18
assez,assez,60
",",",",p
ils,ils,51
étaient,être,18
faits,faire,12
pour,pour,81
attendre,attendre,14
/.,/.,P
et,et,82
elle,il,51
se,se,51
rendormait,rendormir,18
dans,dans,81
son,son,73
trou,trou,21
",",",",p
en,en,81
évitant,éviter,13
de,de,81
songer,songer,14
à,à,81
ce,ce,52
qui,qui,52
arriverait,arriver,16
forcément,forcément,60
un,un,71
jour,jour,21
/.,/.,P
elle,il,51
ferait,faire,16
le,le,71
saut,saut,21
",",",",p
parbleu,parbleu,93
!,!,p
mais,mais,82
",",",",p
jusque-là,jusque-là,81
",",",",p
elle,il,51
entendait,entendre,18
ne,ne,60
pas,pas,60
être,être,14
taquinée,taquiner,12
/.,/.,P
pourtant,pourtant,60
",",",",p
maman,maman,22
Coupeau,Coupeau,20
était,être,18
remise,remettre,12
/.,/.,P
pendant,pendant,81
une,un,71
année,année,22
encore,encore,60
",",",",p
la,le,71
maison,maison,22
boulotta,boulotter,19
/.,/.,P
l',le,71
été,été,21
",",",",p
naturellement,naturellement,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
toujours,toujours,60
un,un,71
peu,peu,60
plus,plus,60
de,de,81
travail,travail,21
",",",",p
les,le,71
jupons,jupon,21
blancs,blanc,30
et,et,82
les,le,71
robes,robe,22
de,de,81
percale,percale,22
des,de,81
des,le,71
baladeuses,baladeuse,22
du,de,81
du,le,71
boulevard,boulevard,21
extérieur,extérieur,30
/.,/.,P
ça,ça,52
tournait,tourner,18
à,à,81
la,le,71
dégringolade,dégringolade,22
lente,lent,30
",",",",p
le,le,71
nez,nez,21
davantage,davantage,60
dans,dans,81
la,le,71
crotte,crotte,22
chaque,chaque,75
semaine,semaine,22
",",",",p
avec,avec,81
des,de,81
des,le,71
hauts,haut,21
et,et,82
des,de,81
des,le,71
bas,bas,21
cependant,cependant,82
",",",",p
des,de,81
des,le,71
soirs,soir,21
où,où,60
l',l',94
on,on,51
se,se,51
frottait,frotter,18
le,le,71
ventre,ventre,21
devant,devant,81
le,le,71
buffet,buffet,21
vide,vide,30
",",",",p
et,et,82
d',de,81
autres,autre,52
où,où,60
l',l',94
on,on,51
mangeait,manger,18
du,de,81
du,le,71
veau,veau,21
à,à,81
crever,crever,14
/.,/.,P
on,on,51
ne,ne,60
voyait,voir,18
plus,plus,60
que,que,83
maman,maman,22
Coupeau,Coupeau,20
sur,sur,81
les,le,71
trottoirs,trottoir,21
",",",",p
cachant,cacher,13
des,de,81
des,le,71
paquets,paquet,21
sous,sous,81
son,son,73
tablier,tablier,21
",",",",p
allant,aller,13
d',de,81
un,un,71
pas,pas,21
de,de,81
promenade,promenade,22
au,à,81
au,le,71
Mont-de-Piété,Mont-de-Piété,20
de,de,81
la,le,71
rue,rue,22
Polonceau,Polonceau,20
/.,/.,P
elle,il,51
arrondissait,arrondir,18
le,le,71
dos,dos,21
",",",",p
avait,avoir,18
la,le,71
mine,mine,22
confite,confit,31
et,et,82
gourmande,gourmand,30
d',de,81
une,un,71
dévote,dévote,22
qui,qui,52
va,aller,17
à,à,81
la,le,71
messe,messe,22
;,;,p
car,car,82
elle,il,51
ne,ne,60
détestait,détester,18
pas,pas,60
ça,ça,52
",",",",p
les,le,71
tripotages,tripotage,21
d',de,81
argent,argent,21
l',le,52
amusaient,amuser,18
",",",",p
ce,ce,74
bibelotage,bibelotage,21
de,de,81
marchande,marchande,22
à,à,81
la,le,71
toilette,toilette,22
chatouillait,chatouiller,18
ses,son,73
passions,passion,22
de,de,81
vieille,vieux,30
commère,commère,22
/.,/.,P
les,le,71
employés,employé,21
de,de,81
la,le,71
rue,rue,22
Polonceau,Polonceau,20
la,le,52
connaissaient,connaître,18
bien,bien,60
;,;,p
ils,ils,51
l',le,52
appelaient,appeler,18
la,le,71
mère,mère,22
“,“,p
quatre,quatre,72
francs,franc,21
“,“,p
",",",",p
parce qu',parce que,83
elle,il,51
demandait,demander,18
toujours,toujours,60
quatre,quatre,72
francs,franc,21
",",",",p
quand,quand,83
ils,ils,51
lui,lui,51
en,en,52
offraient,offrir,18
trois,trois,72
",",",",p
sur,sur,81
ses,son,73
paquets,paquet,21
gros,gros,30
comme,comme,83
deux,deux,72
sous,sou,21
de,de,81
beurre,beurre,21
/.,/.,P
Gervaise,Gervaise,20
aurait,avoir,16
bazardé,bazarder,12
la,le,71
maison,maison,22
;,;,p
elle,il,51
était,être,18
prise,prendre,12
de,de,81
la,le,71
rage,rage,22
du,de,81
du,le,71
clou,clou,21
",",",",p
elle,il,51
se,se,51
serait,être,16
tondu,tondre,12
la,le,71
tête,tête,22
",",",",p
si,si,83
on,on,51
avait,avoir,18
voulu,vouloir,12
lui,lui,51
prêter,prêter,14
sur,sur,81
ses,son,73
cheveux,cheveu,21
/.,/.,P
c',ce,52
était,être,18
trop,trop,60
commode,commode,30
",",",",p
on,on,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
s',se,51
empêcher,empêcher,14
d',de,81
aller,aller,14
chercher,chercher,14
là,là,60
de,de,81
la,le,71
monnaie,monnaie,22
",",",",p
lorsqu',lorsque,83
on,on,51
attendait,attendre,18
après,après,81
un,un,71
pain,pain,21
de,de,81
quatre,quatre,72
livres,livre,22
/.,/.,P
tout,tout,75
le,le,71
saint-frusquin,saint-frusquin,21
y,y,52
passait,passer,18
",",",",p
le,le,71
linge,linge,21
",",",",p
les,le,71
habits,habit,21
",",",",p
jusqu',jusque,81
aux,à,81
aux,le,71
outils,outil,21
et,et,82
aux,à,81
aux,le,71
meubles,meuble,21
/.,/.,P
dans,dans,81
les,le,71
commencements,commencement,21
",",",",p
elle,il,51
profitait,profiter,18
des,de,81
des,le,71
bonnes,bon,30
semaines,semaine,22
",",",",p
pour,pour,81
dégager,dégager,14
",",",",p
quitte,quitte,30
à,à,81
rengager,rengager,14
la,le,71
semaine,semaine,22
suivante,suivant,30
/.,/.,P
puis,puis,60
",",",",p
elle,il,51
se,se,51
moqua,moquer,19
de,de,81
ses,son,73
affaires,affaire,22
",",",",p
les,le,52
laissa,laisser,19
perdre,perdre,14
",",",",p
vendit,vendre,19
les,le,71
reconnaissances,reconnaissance,22
/.,/.,P
une,un,71
seule,seul,30
chose,chose,22
lui,lui,51
fendit,fendre,19
le,le,71
coeur,coeur,21
",",",",p
ce,ce,52
fut,être,19
de,de,81
mettre,mettre,14
sa,son,73
pendule,pendule,22
en,en,81
plan,plan,21
",",",",p
pour,pour,81
payer,payer,14
un,un,71
billet,billet,21
de,de,81
vingt,vingt,72
francs,franc,21
à,à,81
un,un,71
huissier,huissier,21
qui,qui,52
venait,venir,18
la,le,52
saisir,saisir,14
/.,/.,P
jusque-là,jusque-là,81
",",",",p
elle,il,51
avait,avoir,18
juré,jurer,12
de,de,81
mourir,mourir,14
plutôt,plutôt,60
de,de,81
faim,faim,22
que,que,83
de,de,81
toucher,toucher,14
à,à,81
sa,son,73
pendule,pendule,22
/.,/.,P
quand,quand,83
maman,maman,22
Coupeau,Coupeau,20
l',le,52
emporta,emporter,19
",",",",p
dans,dans,81
une,un,71
petite,petit,30
caisse,caisse,22
à,à,81
chapeau,chapeau,21
",",",",p
elle,il,51
tomba,tomber,19
sur,sur,81
une,un,71
chaise,chaise,22
",",",",p
les,le,71
bras,bras,21
mous,mou,30
",",",",p
les,le,71
yeux,oeil,21
mouillés,mouillé,31
",",",",p
comme,comme,83
si,si,83
on,on,51
lui,lui,51
enlevait,enlever,18
sa,son,73
fortune,fortune,22
/.,/.,P
mais,mais,82
",",",",p
lorsque,lorsque,83
maman,maman,22
Coupeau,Coupeau,20
reparut,reparaître,19
avec,avec,81
vingt,vingt,72
cinq,cinq,72
francs,franc,21
",",",",p
ce,ce,74
prêt,prêt,21
inespéré,inespéré,30
",",",",p
ces,ce,74
cinq,cinq,72
francs,franc,21
de,de,81
bénéfice,bénéfice,21
la,le,52
consolèrent,consoler,19
;,;,p
elle,il,51
renvoya,renvoyer,19
tout,tout,60
de,de,81
suite,suite,22
la,le,71
vieille,vieux,30
femme,femme,22
chercher,chercher,14
quatre,quatre,72
sous,sou,21
de,de,81
goutte,goutte,22
dans,dans,81
un,un,71
verre,verre,21
",",",",p
à,à,81
la,le,71
seule,seul,30
fin,fin,22
de,de,81
fêter,fêter,14
la,le,71
pièce,pièce,22
de,de,81
cent,cent,72
sous,sou,21
/.,/.,P
souvent,souvent,60
maintenant,maintenant,60
",",",",p
lorsqu',lorsque,83
elles,ils,51
s',se,51
entendaient,entendre,18
bien,bien,60
ensemble,ensemble,60
",",",",p
elles,ils,51
lichaient,licher,18
ainsi,ainsi,60
la,le,71
goutte,goutte,22
sur,sur,81
un,un,71
coin,coin,21
de,de,81
l',le,71
établi,établi,21
",",",",p
un,un,71
mêlé,mêlé,31
",",",",p
moitié,moitié,22
eau-de-vie,eau-de-vie,22
et,et,82
moitié,moitié,22
cassis,cassis,21
/.,/.,P
maman,maman,22
Coupeau,Coupeau,20
avait,avoir,18
un,un,71
chic,chic,21
pour,pour,81
rapporter,rapporter,14
le,le,71
verre,verre,21
plein,plein,30
dans,dans,81
la,le,71
poche,poche,22
de,de,81
son,son,73
tablier,tablier,21
",",",",p
sans,sans,81
renverser,renverser,14
une,un,71
larme,larme,22
/.,/.,P
les,le,71
voisins,voisin,21
n',ne,60
avaient,avoir,18
pas,pas,60
besoin,besoin,21
de,de,81
savoir,savoir,14
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
la,le,71
vérité,vérité,22
était,être,18
que,que,83
les,le,71
voisins,voisin,21
savaient,savoir,18
parfaitement,parfaitement,60
/.,/.,P
la,le,71
fruitière,fruitière,22
",",",",p
la,le,71
tripière,tripière,22
",",",",p
les,le,71
garçons,garçon,21
épiciers,épicier,21
disaient,dire,18
:,:,p
“,“,p
tiens,tenir,17
!,!,p
la,le,71
vieille,vieille,22
va,aller,17
chez,chez,81
ma,mon,73
tante,tante,22
“,“,p
",",",",p
ou,ou,82
bien,bien,60
:,:,p
“,“,p
tiens,tenir,17
!,!,p
la,le,71
vieille,vieille,22
rapporte,rapporter,17
son,son,73
riquiqui,riquiqui,30
dans,dans,81
sa,son,73
poche,poche,22
/.,/.,P
“,“,p
et,et,82
",",",",p
comme,comme,83
de,de,81
juste,juste,30
",",",",p
ça,ça,52
montait,monter,18
encore,encore,60
le,le,71
quartier,quartier,21
contre,contre,81
Gervaise,Gervaise,20
/.,/.,P
elle,il,51
bouffait,bouffer,18
tout,tout,52
",",",",p
elle,il,51
aurait,avoir,16
bientôt,bientôt,60
fait,faire,12
d',de,81
achever,achever,14
sa,son,73
baraque,baraque,22
/.,/.,P
oui,oui,60
",",",",p
oui,oui,60
",",",",p
plus,plus,60
que,que,83
trois,trois,72
ou,ou,82
quatre,quatre,72
bouchées,bouchée,22
",",",",p
la,le,71
place,place,22
serait,être,16
nette,net,30
comme,comme,83
torchette,torchette,22
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ce,ce,74
démolissement,démolissement,21
général,général,30
",",",",p
Coupeau,Coupeau,20
prospérait,prospérer,18
/.,/.,P
ce,ce,74
sacré,sacré,21
soiffard,soiffard,30
se,se,51
portait,porter,18
comme,comme,83
un,un,71
charme,charme,21
/.,/.,P
le,le,71
pichenet,pichenet,21
et,et,82
le,le,71
vitriol,vitriol,21
l',le,52
engraissaient,engraisser,18
",",",",p
positivement,positivement,60
/.,/.,P
il,il,51
mangeait,manger,18
beaucoup,beaucoup,60
",",",",p
se,se,51
fichait,ficher,18
de,de,81
cet,ce,74
efflanqué,efflanqué,30
de,de,81
Lorilleux,Lorilleux,20
qui,qui,52
accusait,accuser,18
la,le,71
boisson,boisson,22
de,de,81
tuer,tuer,14
les,le,71
gens,gens,21
",",",",p
lui,lui,51
répondait,répondre,18
en,en,81
se,se,51
tapant,taper,13
sur,sur,81
le,le,71
ventre,ventre,21
",",",",p
la,le,71
peau,peau,22
tendue,tendu,31
par,par,81
la,le,71
graisse,graisse,22
",",",",p
pareille,pareil,30
à,à,81
la,le,71
peau,peau,22
d',de,81
un,un,71
tambour,tambour,21
/.,/.,P
il,il,51
lui,lui,51
exécutait,exécuter,18
là-dessus,là-dessus,60
une,un,71
musique,musique,22
",",",",p
les,le,71
vêpres,vêpres,22
de,de,81
la,le,71
gueule,gueule,22
",",",",p
des,de,81
des,le,71
roulements,roulement,21
et,et,82
des,de,81
des,le,71
battements,battement,21
de,de,81
grosse,gros,30
caisse,caisse,22
à,à,81
faire,faire,14
la,le,71
fortune,fortune,22
d',de,81
un,un,71
arracheur,arracheur,21
de,de,81
dents,dent,22
/.,/.,P
mais,mais,82
Lorilleux,Lorilleux,20
",",",",p
vexé,vexé,31
de,de,81
ne,ne,60
pas,pas,60
avoir,avoir,14
de,de,81
ventre,ventre,21
",",",",p
disait,dire,18
que,que,83
c',ce,52
était,être,18
de,de,81
la,le,71
graisse,graisse,22
jaune,jaune,30
",",",",p
de,de,81
la,le,71
mauvaise,mauvais,30
graisse,graisse,22
/.,/.,P
n',ne,60
importe,importer,17
",",",",p
Coupeau,Coupeau,20
se,se,51
soûlait,soûler,18
davantage,davantage,60
",",",",p
pour,pour,81
sa,son,73
santé,santé,22
/.,/.,P
ses,son,73
cheveux,cheveu,21
poivre,poivre,21
et,et,82
sel,sel,21
",",",",p
en,en,81
coup,coup,21
de,de,81
vent,vent,21
",",",",p
flambaient,flamber,18
comme,comme,83
un,un,71
brûlot,brûlot,21
/.,/.,P
sa,son,73
face,face,22
d',de,81
ivrogne,ivrogne,21
",",",",p
avec,avec,81
sa,son,73
mâchoire,mâchoire,22
de,de,81
singe,singe,21
",",",",p
se,se,51
culottait,culotter,18
",",",",p
prenait,prendre,18
des,de,81
des,le,71
tons,ton,21
de,de,81
vin,vin,21
bleu,bleu,30
/.,/.,P
et,et,82
il,il,51
restait,rester,18
un,un,71
enfant,enfant,21
de,de,81
la,le,71
gaieté,gaieté,22
;,;,p
il,il,51
bousculait,bousculer,18
sa,son,73
femme,femme,22
",",",",p
quand,quand,83
elle,il,51
s',se,51
avisait,aviser,18
de,de,81
lui,lui,51
conter,conter,14
ses,son,73
embarras,embarras,21
/.,/.,P
est,être,17
ce,ce,52
que,que,83
les,le,71
hommes,homme,21
sont,être,17
faits,faire,12
pour,pour,81
descendre,descendre,14
dans,dans,81
ces,ce,74
embêtements,embêtement,21
/?,/?,P
la,le,71
cambuse,cambuse,22
pouvait,pouvoir,18
manquer,manquer,14
de,de,81
pain,pain,21
",",",",p
ça,ça,52
ne,ne,60
le,le,52
regardait,regarder,18
pas,pas,60
/.,/.,P
il,il,51
lui,lui,51
fallait,falloir,18
sa,son,73
pâtée,pâtée,22
matin,matin,21
et,et,82
soir,soir,21
",",",",p
et,et,82
il,il,51
ne,ne,60
s',se,51
inquiétait,inquiéter,18
jamais,jamais,60
d',de,81
où,où,60
elle,il,51
lui,lui,51
tombait,tomber,18
/.,/.,P
lorsqu',lorsque,83
il,il,51
passait,passer,18
des,de,81
des,le,71
semaines,semaine,22
sans,sans,81
travailler,travailler,14
",",",",p
il,il,51
devenait,devenir,18
plus,plus,60
exigeant,exigeant,30
encore,encore,60
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
il,il,51
allongeait,allonger,18
toujours,toujours,60
des,de,81
des,le,71
claques,claque,22
amicales,amical,30
sur,sur,81
les,le,71
épaules,épaule,22
de,de,81
Lantier,Lantier,20
/.,/.,P
bien,bien,60
sûr,sûr,30
",",",",p
il,il,51
ignorait,ignorer,18
l',le,71
inconduite,inconduite,22
de,de,81
sa,son,73
femme,femme,22
;,;,p
du,de,81
du,le,71
moins,moins,60
des,de,81
des,le,71
personnes,personne,22
",",",",p
les,le,71
Boche,Boche,20
",",",",p
les,le,71
Poisson,Poisson,20
",",",",p
juraient,jurer,18
leurs,leur,73
grands,grand,30
dieux,dieu,21
qu',que,83
il,il,51
ne,ne,60
se,se,51
doutait,douter,18
de,de,81
rien,rien,52
",",",",p
et,et,82
que,que,52
ce,ce,52
serait,être,16
un,un,71
grand,grand,30
malheur,malheur,21
",",",",p
s',si,83
il,il,51
apprenait,apprendre,18
jamais,jamais,60
la,le,71
chose,chose,22
/.,/.,P
mais,mais,82
madame,madame,22
Lerat,Lerat,20
",",",",p
sa,son,73
propre,propre,30
soeur,soeur,22
",",",",p
hochait,hocher,18
la,le,71
tête,tête,22
",",",",p
racontait,raconter,18
qu',que,83
elle,il,51
connaissait,connaître,18
des,de,81
des,le,71
maris,mari,21
auxquels,à,81
auxquels,lequel,52
ça,ça,52
ne,ne,60
déplaisait,déplaire,18
pas,pas,60
/.,/.,P
une,un,71
nuit,nuit,22
",",",",p
Gervaise,Gervaise,20
elle-même,lui-même,51
",",",",p
qui,qui,52
revenait,revenir,18
de,de,81
la,le,71
chambre,chambre,22
du,de,81
du,le,71
chapelier,chapelier,21
",",",",p
était,être,18
restée,rester,12
toute,tout,60
froide,froid,30
en,en,81
recevant,recevoir,13
",",",",p
dans,dans,81
l',le,71
obscurité,obscurité,22
",",",",p
une,un,71
tape,tape,22
sur,sur,81
le,le,71
derrière,derrière,21
;,;,p
puis,puis,60
",",",",p
elle,il,51
avait,avoir,18
fini,finir,12
par,par,81
se,se,51
rassurer,rassurer,14
",",",",p
elle,il,51
croyait,croire,18
s',se,51
être,être,14
cognée,cogner,12
contre,contre,81
le,le,71
bateau,bateau,21
du,de,81
du,le,71
lit,lit,21
/.,/.,P
vrai,vrai,60
",",",",p
la,le,71
situation,situation,22
était,être,18
trop,trop,60
terrible,terrible,30
;,;,p
son,son,73
mari,mari,21
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
s',se,51
amuser,amuser,14
à,à,81
lui,lui,51
faire,faire,14
des,de,81
des,le,71
blagues,blague,22
/.,/.,P
Lantier,Lantier,20
",",",",p
lui,lui,51
non,non,60
plus,plus,60
",",",",p
ne,ne,60
dépérissait,dépérir,18
pas,pas,60
/.,/.,P
il,il,51
se,se,51
soignait,soigner,18
beaucoup,beaucoup,60
",",",",p
mesurait,mesurer,18
son,son,73
ventre,ventre,21
à,à,81
la,le,71
ceinture,ceinture,22
de,de,81
son,son,73
pantalon,pantalon,21
",",",",p
avec,avec,81
la,le,71
continuelle,continuel,30
crainte,crainte,22
d',de,81
avoir,avoir,14
à,à,81
resserrer,resserrer,14
ou,ou,82
à,à,81
desserrer,desserrer,14
la,le,71
boucle,boucle,22
;,;,p
il,il,51
se,se,51
trouvait,trouver,18
très,très,60
bien,bien,60
",",",",p
il,il,51
ne,ne,60
voulait,vouloir,18
ni,ni,82
grossir,grossir,14
ni,ni,82
mincir,mincir,14
",",",",p
par,par,81
coquetterie,coquetterie,22
/.,/.,P
cela,cela,52
le,le,52
rendait,rendre,18
difficile,difficile,30
sur,sur,81
la,le,71
nourriture,nourriture,22
",",",",p
car,car,82
il,il,51
calculait,calculer,18
tous,tout,75
les,le,71
plats,plat,21
de,de,81
façon,façon,22
à,à,81
ne,ne,60
pas,pas,60
changer,changer,14
sa,son,73
taille,taille,22
/.,/.,P
même,même,60
quand,quand,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
un,un,71
sou,sou,21
à,à,81
la,le,71
maison,maison,22
",",",",p
il,il,51
lui,lui,51
fallait,falloir,18
des,de,81
des,le,71
oeufs,oeuf,21
",",",",p
des,de,81
des,le,71
côtelettes,côtelette,22
",",",",p
des,de,81
des,le,71
choses,chose,22
nourrissantes,nourrissant,30
et,et,82
légères,léger,30
/.,/.,P
depuis,depuis,81
qu',que,83
il,il,51
partageait,partager,18
la,le,71
patronne,patronne,22
avec,avec,81
le,le,71
mari,mari,21
",",",",p
il,il,51
se,se,51
considérait,considérer,18
comme,comme,83
tout,tout,60
à,à,81
fait,fait,21
de,de,81
moitié,moitié,22
dans,dans,81
le,le,71
ménage,ménage,21
;,;,p
il,il,51
ramassait,ramasser,18
les,le,71
pièces,pièce,22
de,de,81
vingt,vingt,72
sous,sou,21
qui,qui,52
traînaient,traîner,18
",",",",p
menait,mener,18
Gervaise,Gervaise,20
au,à,81
au,le,71
doigt,doigt,21
et,et,82
à,à,81
l',le,71
oeil,oeil,21
",",",",p
grognait,grogner,18
",",",",p
gueulait,gueuler,18
",",",",p
avait,avoir,18
l',le,71
air,air,21
plus,plus,60
chez,chez,81
lui,lui,51
que,que,83
le,le,71
zingueur,zingueur,21
/.,/.,P
enfin,enfin,60
",",",",p
c',ce,52
était,être,18
une,un,71
baraque,baraque,22
qui,qui,52
avait,avoir,18
deux,deux,72
bourgeois,bourgeois,21
/.,/.,P
et,et,82
le,le,71
bourgeois,bourgeois,21
d',de,81
occasion,occasion,22
",",",",p
plus,plus,60
malin,malin,30
",",",",p
tirait,tirer,18
à,à,81
lui,lui,51
la,le,71
couverture,couverture,22
",",",",p
prenait,prendre,18
le,le,71
dessus,dessus,21
du,de,81
du,le,71
panier,panier,21
de,de,81
tout,tout,52
",",",",p
de,de,81
la,le,71
femme,femme,22
",",",",p
de,de,81
la,le,71
table,table,22
et,et,82
du,de,81
du,le,71
reste,reste,21
/.,/.,P
il,il,51
écrémait,écrémer,18
les,le,71
Coupeau,Coupeau,20
",",",",p
quoi,quoi,52
/!,/!,P
il,il,51
ne,ne,60
se,se,51
gênait,gêner,18
plus,plus,60
pour,pour,81
battre,battre,14
son,son,73
beurre,beurre,21
en,en,81
public,public,21
/.,/.,P
Nana,Nana,20
restait,rester,18
sa,son,73
préférée,préféré,22
",",",",p
parce qu',parce que,83
il,il,51
aimait,aimer,18
les,le,71
petites,petit,30
filles,fille,22
gentilles,gentil,30
/.,/.,P
il,il,51
s',se,51
occupait,occuper,18
de,de,81
moins,moins,60
en,en,81
moins,moins,60
d',de,81
Etienne,Etienne,20
",",",",p
les,le,71
garçons,garçon,21
",",",",p
selon,selon,81
lui,lui,51
",",",",p
devant,devoir,13
savoir,savoir,14
se,se,51
débrouiller,débrouiller,14
/.,/.,P
lorsqu',lorsque,83
on,on,51
venait,venir,18
demander,demander,14
Coupeau,Coupeau,20
",",",",p
on,on,51
le,le,52
trouvait,trouver,18
toujours,toujours,60
là,là,60
",",",",p
en,en,81
pantoufles,pantoufle,22
