11362
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatorzième extrait>,<>,<>
le,le,52
regarda,regarder,19
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
étranges,étrange,30
/.,/.,P
c',ce,52
en,en,52
est,être,17
fait,faire,12
",",",",p
se,se,51
dit,dire,19
il,il,51
avec,avec,81
désespoir,désespoir,21
",",",",p
elle,il,51
n',ne,60
a,avoir,17
plus,plus,60
d',de,81
amour,amour,21
pour,pour,81
moi,moi,51
",",",",p
et,et,82
bien,bien,60
plus,plus,60
",",",",p
elle,il,51
ne,ne,60
me,je,51
place,placer,17
plus,plus,60
même,même,60
au,à,81
au,le,71
rang,rang,21
des,de,81
des,le,71
hommes,homme,21
d',de,81
honneur,honneur,21
vulgaires,vulgaire,30
/.,/.,P
-,-,p
je,je,51
vous,vous,51
dirai,dire,15
",",",",p
ajouta,ajouter,19
le,le,71
comte,comte,21
en,en,81
parlant,parler,13
avec,avec,81
empressement,empressement,21
",",",",p
que,que,83
j',je,51
ai,avoir,17
voulu,vouloir,12
avant,avant,81
tout,tout,52
avoir,avoir,14
des,de,81
des,le,71
détails,détail,21
sur,sur,81
l',le,71
arrestation,arrestation,22
qui,qui,52
nous,nous,51
met,mettre,17
au,à,81
au,le,71
désespoir,désespoir,21
",",",",p
et,et,82
chose,chose,22
étrange,étrange,30
!,!,p
je,je,51
ne,ne,60
sais,savoir,17
encore,encore,60
rien,rien,52
de,de,81
positif,positif,30
;,;,p
j',je,51
ai,avoir,17
fait,faire,12
interroger,interroger,14
les,le,71
gendarmes,gendarme,21
de,de,81
la,le,71
station,station,22
voisine,voisin,30
",",",",p
ils,ils,51
ont,avoir,17
vu,voir,12
arriver,arriver,14
le,le,71
prisonnier,prisonnier,21
par,par,81
la,le,71
route,route,22
de,de,81
Castelnovo,Castelnovo,20
",",",",p
et,et,82
ont,avoir,17
reçu,recevoir,12
l',le,71
ordre,ordre,21
de,de,81
suivre,suivre,14
sa,son,73
sediola,sediola,92
/.,/.,P
j',je,51
ai,avoir,17
réexpédié,réexpédier,12
aussitôt,aussitôt,60
Bruno,Bruno,20
",",",",p
dont,dont,52
vous,vous,51
connaissez,connaître,17
le,le,71
zèle,zèle,21
non,non,60
moins,moins,60
que,que,83
le,le,71
dévouement,dévouement,21
;,;,p
il,il,51
a,avoir,17
ordre,ordre,21
de,de,81
remonter,remonter,14
de,de,81
station,station,22
en,en,81
station,station,22
pour,pour,81
savoir,savoir,14
où,où,60
et,et,82
comment,comment,60
Fabrice,Fabrice,20
a,avoir,17
été,être,12
arrêté,arrêter,12
/.,/.,P
en,en,81
entendant,entendre,13
prononcer,prononcer,14
ce,ce,74
nom,nom,21
de,de,81
Fabrice,Fabrice,20
",",",",p
la,le,71
duchesse,duchesse,22
fut,être,19
saisie,saisir,12
d',de,81
une,un,71
légère,léger,30
convulsion,convulsion,22
/.,/.,P
-,-,p
pardonnez,pardonner,17
",",",",p
mon,mon,73
ami,ami,21
",",",",p
dit,dire,19
elle,il,51
au,à,81
au,le,71
comte,comte,21
dès,dès,81
qu',que,83
elle,il,51
put,pouvoir,19
parler,parler,14
;,;,p
ces,ce,74
détails,détail,21
m',je,51
intéressent,intéresser,17
fort,fort,60
",",",",p
donnez,donner,17
les,le,52
moi,moi,51
tous,tout,52
",",",",p
faites,faire,17
moi,moi,51
bien,bien,60
comprendre,comprendre,14
les,le,71
plus,plus,60
petites,petit,30
circonstances,circonstance,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
madame,madame,22
",",",",p
reprit,reprendre,19
le,le,71
comte,comte,21
en,en,81
essayant,essayer,13
un,un,71
petit,petit,30
air,air,21
de,de,81
légèreté,légèreté,22
pour,pour,81
tenter,tenter,14
de,de,81
la,le,52
distraire,distraire,14
un,un,71
peu,peu,60
",",",",p
j',je,51
ai,avoir,17
envie,envie,22
d',de,81
envoyer,envoyer,14
un,un,71
commis,commis,21
de,de,81
confiance,confiance,22
à,à,81
Bruno,Bruno,20
et,et,82
d',de,81
ordonner,ordonner,14
à,à,81
celui-ci,celui-ci,52
de,de,81
pousser,pousser,14
jusqu',jusque,81
à,à,81
Bologne,Bologne,20
;,;,p
c',ce,52
est,être,17
là,là,60
",",",",p
peut-être,peut-être,60
",",",",p
qu',que,83
on,on,51
aura,avoir,15
enlevé,enlever,12
notre,notre,73
jeune,jeune,30
ami,ami,21
/.,/.,P
de,de,81
quelle,quel,75
date,date,22
est,être,17
sa,son,73
dernière,dernier,30
lettre,lettre,22
/?,/?,P
-,-,p
de,de,81
mardi,mardi,21
",",",",p
il,il,51
y,y,52
a,avoir,17
cinq,cinq,72
jours,jour,21
/.,/.,P
-,-,p
avait,avoir,18
elle,il,51
été,être,12
ouverte,ouvrir,12
à,à,81
la,le,71
poste,poste,22
/?,/?,P
-,-,p
aucune,aucun,75
trace,trace,22
d',de,81
ouverture,ouverture,22
/.,/.,P
il,il,51
faut,falloir,17
vous,vous,51
dire,dire,14
qu',que,83
elle,il,51
était,être,18
écrite,écrire,12
sur,sur,81
du,de,81
du,le,71
papier,papier,21
horrible,horrible,30
;,;,p
l',le,71
adresse,adresse,22
est,être,17
d',de,81
une,un,71
main,main,22
de,de,81
femme,femme,22
",",",",p
et,et,82
cette,ce,74
adresse,adresse,22
porte,porter,17
le,le,71
nom,nom,21
d',de,81
une,un,71
vieille,vieux,30
blanchisseuse,blanchisseuse,22
parente,parent,30
de,de,81
ma,mon,73
femme,femme,22
de,de,81
chambre,chambre,22
/.,/.,P
la,le,71
blanchisseuse,blanchisseuse,22
croit,croire,17
qu',que,83
il,il,51
s',se,51
agit,agir,17
d',de,81
une,un,71
affaire,affaire,22
d',de,81
amour,amour,21
",",",",p
et,et,82
la,le,71
Chékina,Chékina,20
lui,lui,51
rembourse,rembourser,17
les,le,71
ports,port,21
de,de,81
lettres,lettre,22
sans,sans,81
y,y,52
rien,rien,52
ajouter,ajouter,14
/.,/.,P
le,le,71
comte,comte,21
",",",",p
qui,qui,52
avait,avoir,18
pris,prendre,12
tout,tout,60
à,à,81
fait,fait,21
le,le,71
ton,ton,21
d',de,81
un,un,71
homme,homme,21
d',de,81
affaires,affaire,22
",",",",p
essaya,essayer,19
de,de,81
découvrir,découvrir,14
",",",",p
en,en,81
discutant,discuter,13
avec,avec,81
la,le,71
duchesse,duchesse,22
",",",",p
quel,quel,52
pouvait,pouvoir,18
avoir,avoir,14
été,être,12
le,le,71
jour,jour,21
de,de,81
l',le,71
enlèvement,enlèvement,21
à,à,81
Bologne,Bologne,20
/.,/.,P
il,il,51
s',se,51
aperçut,apercevoir,19
alors,alors,60
seulement,seulement,60
",",",",p
lui,lui,51
qui,qui,52
avait,avoir,18
ordinairement,ordinairement,60
tant,tant,60
de,de,81
tact,tact,21
",",",",p
que,que,83
c',ce,52
était,être,18
là,là,60
le,le,71
ton,ton,21
qu',que,52
il,il,51
fallait,falloir,18
prendre,prendre,14
/.,/.,P
ces,ce,74
détails,détail,21
intéressaient,intéresser,18
la,le,71
malheureuse,malheureux,30
femme,femme,22
et,et,82
semblaient,sembler,18
la,le,52
distraire,distraire,14
un,un,71
peu,peu,60
/.,/.,P
si,si,83
le,le,71
comte,comte,21
n',ne,60
eût,avoir,19
pas,pas,60
été,être,12
amoureux,amoureux,30
",",",",p
il,il,51
eût,avoir,19
eu,avoir,12
cette,ce,74
idée,idée,22
si,si,60
simple,simple,30
dès,dès,81
son,son,73
entrée,entrée,22
dans,dans,81
la,le,71
chambre,chambre,22
/.,/.,P
la,le,71
duchesse,duchesse,22
le,le,52
renvoya,renvoyer,19
pour,pour,81
qu',que,83
il,il,51
pût,pouvoir,18
sans,sans,81
délai,délai,21
expédier,expédier,14
de,de,81
nouveaux,nouveau,30
ordres,ordre,21
au,à,81
au,le,71
fidèle,fidèle,30
Bruno,Bruno,20
/.,/.,P
comme,comme,83
on,on,51
s',se,51
occupait,occuper,18
en,en,81
passant,passer,13
de,de,81
la,le,71
question,question,22
de,de,81
savoir,savoir,14
s',si,83
il,il,51
y,y,52
avait,avoir,18
eu,avoir,12
sentence,sentence,22
avant,avant,81
le,le,71
moment,moment,21
où,où,60
le,le,71
prince,prince,21
avait,avoir,18
signé,signer,12
le,le,71
billet,billet,21
adressé,adressé,31
à,à,81
la,le,71
duchesse,duchesse,22
",",",",p
celle-ci,celui-ci,52
saisit,saisir,19
avec,avec,81
une,un,71
sorte,sorte,22
d',de,81
empressement,empressement,21
l',le,71
occasion,occasion,22
de,de,81
dire,dire,14
au,à,81
au,le,71
comte,comte,21
:,:,p
je,je,51
ne,ne,60
vous,vous,51
reprocherai,reprocher,15
point,point,60
d',de,81
avoir,avoir,14
omis,omettre,12
les,le,71
mots,mot,21
injuste,injuste,30
procédure,procédure,22
dans,dans,81
le,le,71
billet,billet,21
que,que,52
vous,vous,51
écrivîtes,écrire,19
et,et,82
qu',que,52
il,il,51
signa,signer,19
",",",",p
c',ce,52
était,être,18
l',le,71
instinct,instinct,21
de,de,81
courtisan,courtisan,21
qui,qui,52
vous,vous,51
prenait,prendre,18
à,à,81
la,le,71
gorge,gorge,22
;,;,p
sans,sans,81
vous,vous,51
en,en,52
douter,douter,14
",",",",p
vous,vous,51
préfériez,préférer,18
l',le,71
intérêt,intérêt,21
de,de,81
votre,votre,73
maître,maître,21
à,à,81
celui,celui,52
de,de,81
votre,votre,73
amie,amie,22
/.,/.,P
vous,vous,51
avez,avoir,17
mis,mettre,12
vos,votre,73
actions,action,22
à,à,81
mes,mon,73
ordres,ordre,21
",",",",p
cher,cher,30
comte,comte,21
",",",",p
et,et,82
cela,cela,52
depuis,depuis,81
longtemps,longtemps,60
",",",",p
mais,mais,82
il,il,51
n',ne,60
est,être,17
pas,pas,60
en,en,81
votre,votre,73
pouvoir,pouvoir,21
de,de,81
changer,changer,14
votre,votre,73
nature,nature,22
;,;,p
vous,vous,51
avez,avoir,17
de,de,81
grands,grand,30
talents,talent,21
pour,pour,81
être,être,14
ministre,ministre,21
",",",",p
mais,mais,82
vous,vous,51
avez,avoir,17
aussi,aussi,60
l',le,71
instinct,instinct,21
de,de,81
ce,ce,74
métier,métier,21
/.,/.,P
la,le,71
suppression,suppression,22
du,de,81
du,le,71
mot,mot,21
injuste,injuste,30
me,je,51
perd,perdre,17
;,;,p
mais,mais,82
loin,loin,60
de,de,81
moi,moi,51
de,de,81
vous,vous,51
la,le,52
reprocher,reprocher,14
en,en,81
aucune,aucun,75
façon,façon,22
",",",",p
ce,ce,52
fut,être,19
la,le,71
faute,faute,22
de,de,81
l',le,71
instinct,instinct,21
et,et,82
non,non,60
pas,pas,60
celle,celui,52
de,de,81
la,le,71
volonté,volonté,22
/.,/.,P
-,-,p
rappelez,rappeler,17
vous,vous,51
",",",",p
ajouta,ajouter,19
t,t,94
elle,il,51
en,en,81
changeant,changer,13
de,de,81
ton,ton,21
et,et,82
de,de,81
l',le,71
air,air,21
le,le,71
plus,plus,60
impérieux,impérieux,30
",",",",p
que,que,83
je,je,51
ne,ne,60
suis,être,17
point,point,60
trop,trop,60
affligée,affliger,12
de,de,81
l',le,71
enlèvement,enlèvement,21
de,de,81
Fabrice,Fabrice,20
",",",",p
que,que,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
eu,avoir,12
la,le,71
moindre,moindre,30
velléité,velléité,22
de,de,81
m',je,51
éloigner,éloigner,14
de,de,81
ce,ce,74
pays,pays,21
ci,ci,60
",",",",p
que,que,83
je,je,51
suis,être,17
remplie,remplir,12
de,de,81
respect,respect,21
pour,pour,81
le,le,71
prince,prince,21
/.,/.,P
voilà,voilà,81
ce,ce,52
que,que,52
vous,vous,51
avez,avoir,17
à,à,81
dire,dire,14
",",",",p
et,et,82
voici,voici,81
",",",",p
moi,moi,51
",",",",p
ce,ce,52
que,que,52
je,je,51
veux,vouloir,17
vous,vous,51
dire,dire,14
:,:,p
comme,comme,83
je,je,51
compte,compter,17
seule,seul,30
diriger,diriger,14
ma,mon,73
conduite,conduite,22
à,à,81
l',le,71
avenir,avenir,21
",",",",p
je,je,51
veux,vouloir,17
me,je,51
séparer,séparer,14
de,de,81
vous,vous,51
à,à,81
l',le,71
amiable,amiable,30
",",",",p
c'est-à-dire,c'est-à-dire,91
en,en,81
bonne,bon,30
et,et,82
vieille,vieux,30
amie,amie,22
/.,/.,P
comptez,compter,17
que,que,83
j',je,51
ai,avoir,17
soixante,soixante,72
ans,an,21
;,;,p
la,le,71
jeune,jeune,30
femme,femme,22
est,être,17
morte,mourir,12
en,en,81
moi,moi,51
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
plus,plus,60
m',je,51
exagérer,exagérer,14
rien,rien,52
au,à,81
au,le,71
monde,monde,21
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
plus,plus,60
aimer,aimer,14
/.,/.,P
mais,mais,82
je,je,51
serais,être,16
encore,encore,60
plus,plus,60
malheureuse,malheureux,30
que,que,83
je,je,51
ne,ne,60
le,le,52
suis,être,17
s',si,83
il,il,51
m',je,51
arrivait,arriver,18
de,de,81
compromettre,compromettre,14
votre,votre,73
destinée,destinée,22
/.,/.,P
il,il,51
peut,pouvoir,17
entrer,entrer,14
dans,dans,81
mes,mon,73
projets,projet,21
de,de,81
me,je,51
donner,donner,14
l',le,71
apparence,apparence,22
d',de,81
avoir,avoir,14
un,un,71
jeune,jeune,30
amant,amant,21
",",",",p
et,et,82
je,je,51
ne,ne,60
voudrais,vouloir,16
pas,pas,60
vous,vous,51
voir,voir,14
affligé,affligé,31
/.,/.,P
je,je,51
puis,pouvoir,17
vous,vous,51
jurer,jurer,14
sur,sur,81
le,le,71
bonheur,bonheur,21
de,de,81
Fabrice,Fabrice,20
",",",",p
elle,il,51
s',se,51
arrêta,arrêter,19
une,un,71
demi-minute,demi-minute,22
après,après,81
ce,ce,74
mot,mot,21
",",",",p
que,que,83
jamais,jamais,60
je,je,51
ne,ne,60
vous,vous,51
ai,avoir,17
fait,faire,12
une,un,71
infidélité,infidélité,22
et,et,82
cela,cela,52
en,en,81
cinq,cinq,72
années,année,22
de,de,81
temps,temps,21
/.,/.,P
c',ce,52
est,être,17
bien,bien,60
long,long,30
",",",",p
dit,dire,19
elle,il,51
;,;,p
elle,il,51
essaya,essayer,19
de,de,81
sourire,sourire,14
;,;,p
ses,son,73
joues,joue,22
si,si,60
pâles,pâle,30
s',se,51
agitèrent,agiter,19
",",",",p
mais,mais,82
ses,son,73
lèvres,lèvre,22
ne,ne,60
purent,pouvoir,19
se,se,51
séparer,séparer,14
/.,/.,P
je,je,51
vous,vous,51
jure,jurer,17
même,même,60
que,que,83
jamais,jamais,60
je,je,51
n',ne,60
en,en,52
ai,avoir,17
eu,avoir,12
le,le,71
projet,projet,21
ni,ni,82
l',le,71
envie,envie,22
/.,/.,P
cela,cela,52
bien,bien,60
entendu,entendu,31
",",",",p
laissez,laisser,17
moi,moi,51
/.,/.,P
le,le,71
comte,comte,21
sortit,sortir,19
",",",",p
au,à,81
au,le,71
désespoir,désespoir,21
",",",",p
du,de,81
du,le,71
palais,palais,21
Sanseverina,Sanseverina,20
:,:,p
il,il,51
voyait,voir,18
chez,chez,81
la,le,71
duchesse,duchesse,22
l',le,71
intention,intention,22
bien,bien,60
arrêtée,arrêté,31
de,de,81
se,se,51
séparer,séparer,14
de,de,81
lui,lui,51
",",",",p
et,et,82
jamais,jamais,60
il,il,51
n',ne,60
avait,avoir,18
été,être,12
aussi,aussi,60
éperdument,éperdument,60
amoureux,amoureux,30
/.,/.,P
c',ce,52
est,être,17
là,là,60
une,un,52
de,de,81
ces,ce,74
choses,chose,22
sur,sur,81
lesquelles,lequel,52
je,je,51
suis,être,17
obligé,obliger,12
de,de,81
revenir,revenir,14
souvent,souvent,60
",",",",p
parce qu',parce que,83
elles,ils,51
sont,être,17
improbables,improbable,30
hors,hors,81
de,de,81
l',le,71
Italie,Italie,20
/.,/.,P
en,en,81
rentrant,rentrer,13
chez,chez,81
lui,lui,51
",",",",p
il,il,51
expédia,expédier,19
jusqu',jusque,81
à,à,81
six,six,72
personnes,personne,22
différentes,différent,30
sur,sur,81
la,le,71
route,route,22
de,de,81
Castelnovo,Castelnovo,20
et,et,82
de,de,81
Bologne,Bologne,20
",",",",p
et,et,82
les,le,52
chargea,charger,19
de,de,81
lettres,lettre,22
/.,/.,P
mais,mais,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
tout,tout,52
",",",",p
se,se,51
dit,dire,19
le,le,71
malheureux,malheureux,30
comte,comte,21
",",",",p
le,le,71
prince,prince,21
peut,pouvoir,17
avoir,avoir,14
la,le,71
fantaisie,fantaisie,22
de,de,81
faire,faire,14
exécuter,exécuter,14
ce,ce,74
malheureux,malheureux,30
enfant,enfant,21
",",",",p
et,et,82
cela,cela,52
pour,pour,81
se,se,51
venger,venger,14
du,de,81
du,le,71
ton,ton,21
que,que,52
la,le,71
duchesse,duchesse,22
prit,prendre,19
avec,avec,81
lui,lui,51
le,le,71
jour,jour,21
de,de,81
ce,ce,74
fatal,fatal,30
billet,billet,21
/.,/.,P
je,je,51
sentais,sentir,18
que,que,83
la,le,71
duchesse,duchesse,22
passait,passer,18
une,un,71
limite,limite,22
que,que,52
l',l',94
on,on,51
ne,ne,60
doit,devoir,17
jamais,jamais,60
franchir,franchir,14
",",",",p
et,et,82
c',ce,52
est,être,17
pour,pour,81
raccommoder,raccommoder,14
les,le,71
choses,chose,22
que,que,52
j',je,51
ai,avoir,17
eu,avoir,12
la,le,71
sottise,sottise,22
incroyable,incroyable,30
de,de,81
supprimer,supprimer,14
le,le,71
mot,mot,21
procédure,procédure,22
injuste,injuste,30
",",",",p
le,le,71
seul,seul,30
qui,qui,52
liât,lier,18
le,le,71
souverain,souverain,21
/…,/…,P
mais,mais,82
bah,bah,93
!,!,p
ces,ce,74
gens,gens,21
là,là,60
sont,être,17
ils,ils,51
liés,lier,12
par,par,81
quelque,quelque,75
chose,chose,22
/?,/?,P
c',ce,52
est,être,17
là,là,60
sans,sans,81
doute,doute,21
la,le,71
plus,plus,60
grande,grand,30
faute,faute,22
de,de,81
ma,mon,73
vie,vie,22
",",",",p
j',je,51
ai,avoir,17
mis,mettre,12
au,à,81
au,le,71
hasard,hasard,21
tout,tout,52
ce,ce,52
qui,qui,52
peut,pouvoir,17
en,en,52
faire,faire,14
le,le,71
prix,prix,21
pour,pour,81
moi,moi,51
:,:,p
il,il,51
s',se,51
agit,agir,17
de,de,81
réparer,réparer,14
cette,ce,74
étourderie,étourderie,22
à,à,81
force,force,22
d',de,81
activité,activité,22
et,et,82
d',de,81
adresse,adresse,22
;,;,p
mais,mais,82
enfin,enfin,60
si,si,83
je,je,51
ne,ne,60
puis,pouvoir,17
rien,rien,52
obtenir,obtenir,14
",",",",p
même,même,60
en,en,81
sacrifiant,sacrifier,13
un,un,71
peu,peu,60
de,de,81
ma,mon,73
dignité,dignité,22
",",",",p
je,je,51
plante,planter,17
là,là,60
cet,ce,74
homme,homme,21
;,;,p
avec,avec,81
ses,son,73
rêves,rêve,21
de,de,81
haute,haut,30
politique,politique,22
",",",",p
avec,avec,81
ses,son,73
idées,idée,22
de,de,81
se,se,51
faire,faire,14
roi,roi,21
constitutionnel,constitutionnel,30
de,de,81
la,le,71
Lombardie,Lombardie,20
",",",",p
nous,nous,51
verrons,voir,15
comment,comment,60
il,il,51
me,je,51
remplacera,remplacer,15
/…,/…,P
Fabio,Fabio,20
Conti,Conti,20
n',ne,60
est,être,17
qu',que,83
un,un,71
sot,sot,21
",",",",p
le,le,71
talent,talent,21
de,de,81
Rassi,Rassi,20
se,se,51
réduit,réduire,17
à,à,81
faire,faire,14
pendre,pendre,14
légalement,légalement,60
un,un,71
homme,homme,21
qui,qui,52
déplaît,déplaire,17
au,à,81
au,le,71
pouvoir,pouvoir,21
/.,/.,P
une,un,71
fois,fois,22
cette,ce,74
résolution,résolution,22
bien,bien,60
arrêtée,arrêté,31
de,de,81
renoncer,renoncer,14
au,à,81
au,le,71
ministère,ministère,21
si,si,83
les,le,71
rigueurs,rigueur,22
à,à,81
l',le,71
égard,égard,21
de,de,81
Fabrice,Fabrice,20
dépassaient,dépasser,18
celles,celui,52
d',de,81
une,un,71
simple,simple,30
détention,détention,22
",",",",p
le,le,71
comte,comte,21
se,se,51
dit,dire,19
:,:,p
si,si,83
un,un,71
caprice,caprice,21
de,de,81
la,le,71
vanité,vanité,22
de,de,81
cet,ce,74
homme,homme,21
imprudemment,imprudemment,60
bravée,bravé,31
me,je,51
coûte,coûter,17
le,le,71
bonheur,bonheur,21
",",",",p
du,de,81
du,le,71
moins,moins,60
l',le,71
honneur,honneur,21
me,je,51
restera,rester,15
/…,/…,P
à,à,81
propos,propos,21
",",",",p
puisque,puisque,83
je,je,51
me,je,51
moque,moquer,17
de,de,81
mon,mon,73
portefeuille,portefeuille,21
",",",",p
je,je,51
puis,pouvoir,17
me,je,51
permettre,permettre,14
cent,cent,72
actions,action,22
qui,qui,52
",",",",p
ce,ce,74
matin,matin,21
encore,encore,60
",",",",p
m',je,51
eussent,avoir,18
semblé,sembler,12
hors,hors,81
du,de,81
du,le,71
possible,possible,21
/.,/.,P
par,par,81
exemple,exemple,21
",",",",p
je,je,51
vais,aller,17
tenter,tenter,14
tout,tout,52
ce,ce,52
qui,qui,52
est,être,17
humainement,humainement,60
faisable,faisable,30
pour,pour,81
faire,faire,14
évader,évader,14
Fabrice,Fabrice,20
/…,/…,P
grand,grand,30
dieu,dieu,21
!,!,p
s',se,51
écria,écrier,19
le,le,71
comte,comte,21
en,en,81
s',se,51
interrompant,interrompre,13
et,et,82
ses,son,73
yeux,oeil,21
s',se,51
ouvrant,ouvrir,13
à,à,81
l',le,71
excès,excès,21
comme,comme,83
à,à,81
la,le,71
vue,vue,22
d',de,81
un,un,71
bonheur,bonheur,21
imprévu,imprévu,30
",",",",p
la,le,71
duchesse,duchesse,22
ne,ne,60
m',je,51
a,avoir,17
pas,pas,60
parlé,parler,12
d',de,81
évasion,évasion,22
",",",",p
aurait,avoir,16
elle,il,51
manqué,manquer,12
de,de,81
sincérité,sincérité,22
une,un,71
fois,fois,22
en,en,81
sa,son,73
vie,vie,22
",",",",p
et,et,82
la,le,71
brouille,brouille,22
ne,ne,60
serait,être,16
elle,il,51
que,que,83
le,le,71
désir,désir,21
que,que,52
je,je,51
trahisse,trahir,18
le,le,71
prince,prince,21
/?,/?,P
ma,mon,73
foi,foi,22
",",",",p
c',ce,52
est,être,17
fait,faire,12
/!,/!,P
l',le,71
oeil,oeil,21
du,de,81
du,le,71
comte,comte,21
avait,avoir,18
reprit,reprendre,19
toute,tout,75
sa,son,73
finesse,finesse,22
satirique,satirique,30
/.,/.,P
cet,ce,74
aimable,aimable,30
fiscal,fiscal,21
Rassi,Rassi,20
est,être,17
payé,payer,12
par,par,81
le,le,71
maître,maître,21
pour,pour,81
toutes,tout,75
les,le,71
sentences,sentence,22
qui,qui,52
nous,nous,51
déshonorent,déshonorer,17
en,en,81
Europe,Europe,20
mais,mais,82
il,il,51
n',ne,60
est,être,17
pas,pas,60
homme,homme,21
à,à,81
refuser,refuser,14
d',de,81
être,être,14
payé,payer,12
par,par,81
moi,moi,51
pour,pour,81
trahir,trahir,14
les,le,71
secrets,secret,21
du,de,81
du,le,71
maître,maître,21
/.,/.,P
cet,ce,74
animal,animal,21
là,là,60
a,avoir,17
une,un,71
maîtresse,maîtresse,22
et,et,82
un,un,71
confesseur,confesseur,21
",",",",p
mais,mais,82
la,le,71
maîtresse,maîtresse,22
est,être,17
d',de,81
une,un,71
trop,trop,60
vile,vil,30
espèce,espèce,22
pour,pour,81
que,que,83
je,je,51
puisse,pouvoir,17
lui,lui,51
parler,parler,14
",",",",p
le,le,71
lendemain,lendemain,21
elle,il,51
raconterait,raconter,16
l',le,71
entrevue,entrevue,22
à,à,81
toutes,tout,75
les,le,71
fruitières,fruitière,22
du,de,81
du,le,71
voisinage,voisinage,21
/.,/.,P
le,le,71
comte,comte,21
",",",",p
ressuscité,ressuscité,31
par,par,81
cette,ce,74
lueur,lueur,22
d',de,81
espoir,espoir,21
",",",",p
était,être,18
déjà,déjà,60
sur,sur,81
le,le,71
chemin,chemin,21
de,de,81
la,le,71
cathédrale,cathédrale,22
;,;,p
étonné,étonné,31
de,de,81
la,le,71
légèreté,légèreté,22
de,de,81
sa,son,73
démarche,démarche,22
",",",",p
il,il,51
sourit,sourire,19
malgré,malgré,81
son,son,73
chagrin,chagrin,21
:,:,p
ce,ce,52
que,que,52
c',ce,52
est,être,17
",",",",p
dit,dire,12
il,il,51
",",",",p
que,que,83
de,de,81
n',ne,60
être,être,14
plus,plus,60
ministre,ministre,21
/!,/!,P
cette,ce,74
cathédrale,cathédrale,22
",",",",p
comme,comme,83
beaucoup,beaucoup,60
d',de,81
églises,église,22
en,en,81
Italie,Italie,20
",",",",p
sert,servir,17
de,de,81
passage,passage,21
d',de,81
une,un,71
rue,rue,22
à,à,81
l',le,71
autre,autre,52
",",",",p
le,le,71
comte,comte,21
vit,voir,19
de,de,81
loin,loin,60
un,un,52
des,de,81
des,le,71
grands,grand,30
vicaires,vicaire,21
de,de,81
l',le,71
archevêque,archevêque,21
qui,qui,52
traversait,traverser,18
la,le,71
nef,nef,22
/.,/.,P
-,-,p
puisque,puisque,83
je,je,51
vous,vous,51
rencontre,rencontrer,17
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
vous,vous,51
serez,être,15
assez,assez,60
bon,bon,30
pour,pour,81
épargner,épargner,14
à,à,81
ma,mon,73
goutte,goutte,22
la,le,71
fatigue,fatigue,22
mortelle,mortel,30
de,de,81
monter,monter,14
jusque,jusque,81
chez,chez,81
monseigneur,monseigneur,21
l',le,71
archevêque,archevêque,21
/.,/.,P
je,je,51
lui,lui,51
aurais,avoir,16
toutes,tout,75
les,le,71
obligations,obligation,22
du,de,81
du,le,71
monde,monde,21
s',si,83
il,il,51
voulait,vouloir,18
bien,bien,60
descendre,descendre,14
jusqu',jusque,81
à,à,81
la,le,71
sacristie,sacristie,22
/.,/.,P
l',le,71
archevêque,archevêque,21
fut,être,19
ravi,ravir,12
de,de,81
ce,ce,74
message,message,21
",",",",p
il,il,51
avait,avoir,18
mille,mille,72
choses,chose,22
à,à,81
dire,dire,14
au,à,81
au,le,71
ministre,ministre,21
au,à,81
au,le,71
sujet,sujet,21
de,de,81
Fabrice,Fabrice,20
/.,/.,P
mais,mais,82
le,le,71
ministre,ministre,21
devina,deviner,19
que,que,83
ces,ce,74
choses,chose,22
n',ne,60
étaient,être,18
que,que,83
des,de,81
des,le,71
phrases,phrase,22
et,et,82
ne,ne,60
voulut,vouloir,19
rien,rien,52
écouter,écouter,14
/.,/.,P
-,-,p
quel,quel,75
homme,homme,21
est,être,17
ce,ce,52
que,que,52
Dugnani,Dugnani,20
",",",",p
vicaire,vicaire,21
de,de,81
Saint-Paul,Saint-Paul,20
/?,/?,P
-,-,p
un,un,71
petit,petit,30
esprit,esprit,21
et,et,82
une,un,71
grande,grand,30
ambition,ambition,22
",",",",p
répondit,répondre,19
l',le,71
archevêque,archevêque,21
",",",",p
peu,peu,60
de,de,81
scrupules,scrupule,21
et,et,82
une,un,71
extrême,extrême,30
pauvreté,pauvreté,22
",",",",p
car,car,82
nous,nous,51
en,en,52
avons,avoir,17
des,de,81
des,le,71
vices,vice,21
/!,/!,P
-,-,p
tudieu,tudieu,93
",",",",p
monseigneur,monseigneur,21
!,!,p
s',se,51
écria,écrier,19
le,le,71
ministre,ministre,21
",",",",p
vous,vous,51
peignez,peindre,17
comme,comme,83
Tacite,Tacite,20
;,;,p
et,et,82
il,il,51
prit,prendre,19
congé,congé,21
de,de,81
lui,lui,51
en,en,81
