11960
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatrième extrait>,<>,<>
van,van,21
Helmont,Helmont,20
",",",",p
Boerhave,Boerhave,20
",",",",p
Broussais,Broussais,20
",",",",p
lui-même,lui-même,51
/.,/.,P
“,“,p
Vaucorbeil,Vaucorbeil,20
",",",",p
sans,sans,81
répondre,répondre,14
",",",",p
se,se,51
pencha,pencher,19
vers,vers,81
Gouy,Gouy,20
",",",",p
et,et,82
haussant,hausser,13
la,le,71
voix,voix,22
:,:,p
-,-,p
“,“,p
lequel,lequel,52
de,de,81
nous,nous,51
deux,deux,72
choisissez,choisir,17
vous,vous,51
pour,pour,81
médecin,médecin,21
/?,/?,P
le,le,71
malade,malade,21
",",",",p
somnolent,somnolent,30
",",",",p
aperçut,apercevoir,19
des,de,81
des,le,71
visages,visage,21
en,en,81
colère,colère,22
",",",",p
et,et,82
se,se,51
mit,mettre,19
à,à,81
pleurer,pleurer,14
/.,/.,P
sa,son,73
femme,femme,22
non,non,60
plus,plus,60
ne,ne,60
savait,savoir,18
que,que,83
répondre,répondre,14
;,;,p
car,car,82
l',le,71
un,un,52
était,être,18
habile,habile,30
;,;,p
mais,mais,82
l',le,71
autre,autre,52
avait,avoir,18
peut-être,peut-être,60
un,un,71
secret,secret,21
/?,/?,P
très,très,60
bien,bien,60
!,!,p
dit,dire,19
Vaucorbeil,Vaucorbeil,20
/.,/.,P
“,“,p
puisque,puisque,83
vous,vous,51
balancez,balancer,17
entre,entre,81
un,un,71
homme,homme,21
nanti,nanti,31
d',de,81
un,un,71
diplôme,diplôme,21
:,:,p
/…,/…,P
“,“,p
Pécuchet,Pécuchet,20
ricana,ricaner,19
/.,/.,P
“,“,p
pourquoi,pourquoi,60
riez,rire,17
vous,vous,51
/?,/?,P
c',ce,52
est,être,17
qu',que,83
un,un,71
diplôme,diplôme,21
n',ne,60
est,être,17
pas,pas,60
toujours,toujours,60
un,un,71
argument,argument,21
/!,/!,P
le,le,71
docteur,docteur,21
était,être,18
attaqué,attaquer,12
dans,dans,81
son,son,73
gagne-pain,gagne-pain,21
",",",",p
dans,dans,81
sa,son,73
prérogative,prérogative,22
",",",",p
dans,dans,81
son,son,73
importance,importance,22
sociale,social,30
/.,/.,P
sa,son,73
colère,colère,22
éclata,éclater,19
/.,/.,P
-,-,p
“,“,p
nous,nous,51
le,le,52
verrons,voir,15
quand,quand,83
vous,vous,51
irez,aller,15
devant,devant,81
les,le,71
tribunaux,tribunal,21
pour,pour,81
exercice,exercice,21
illégal,illégal,30
de,de,81
la,le,71
médecine,médecine,22
/!,/!,P
puis,puis,60
se,se,51
tournant,tourner,13
vers,vers,81
la,le,71
fermière,fermière,22
:,:,p
“,“,p
faites,faire,17
le,le,52
tuer,tuer,14
par,par,81
monsieur,monsieur,21
tout,tout,60
à,à,81
votre,votre,73
aise,aise,22
",",",",p
et,et,82
que,que,83
je,je,51
sois,être,17
pendu,pendre,12
si,si,83
je,je,51
reviens,revenir,17
jamais,jamais,60
dans,dans,81
votre,votre,73
maison,maison,22
/.,/.,P
“,“,p
et,et,82
il,il,51
s',se,51
enfonça,enfoncer,19
sous,sous,81
la,le,71
hêtrée,hêtraie,22
",",",",p
en,en,81
gesticulant,gesticuler,13
avec,avec,81
sa,son,73
canne,canne,22
/.,/.,P
Bouvard,Bouvard,20
",",",",p
quand,quand,83
Pécuchet,Pécuchet,20
rentra,rentrer,19
",",",",p
était,être,18
lui-même,lui-même,51
dans,dans,81
une,un,71
grande,grand,30
agitation,agitation,22
/.,/.,P
il,il,51
venait,venir,18
de,de,81
recevoir,recevoir,14
Foureau,Foureau,20
",",",",p
exaspéré,exaspéré,31
par,par,81
ses,son,73
hémorroïdes,hémorroïdes,22
/.,/.,P
vainement,vainement,60
avait,avoir,18
il,il,51
soutenu,soutenir,12
qu',que,83
elles,ils,51
préservent,préserver,17
de,de,81
toutes,tout,75
les,le,71
maladies,maladie,22
",",",",p
Foureau,Foureau,20
n',ne,60
écoutant,écouter,13
rien,rien,52
",",",",p
l',le,52
avait,avoir,18
menacé,menacer,12
de,de,81
dommages,dommage,21
et,et,82
intérêts,intérêt,21
/.,/.,P
il,il,51
en,en,52
perdait,perdre,18
la,le,71
tête,tête,22
/.,/.,P
Pécuchet,Pécuchet,20
lui,lui,51
conta,conter,19
l',le,71
autre,autre,75
histoire,histoire,22
",",",",p
qu',que,83
il,il,51
jugeait,juger,18
plus,plus,60
sérieuse,sérieux,30
-,-,p
et,et,82
fut,être,19
un,un,71
peu,peu,60
choqué,choquer,12
de,de,81
son,son,73
indifférence,indifférence,22
/.,/.,P
Gouy,Gouy,20
",",",",p
le,le,71
lendemain,lendemain,21
eut,avoir,19
une,un,71
douleur,douleur,22
dans,dans,81
l',le,71
abdomen,abdomen,21
/.,/.,P
cela,cela,52
pouvait,pouvoir,18
tenir,tenir,14
à,à,81
l',le,71
ingestion,ingestion,22
de,de,81
la,le,71
nourriture,nourriture,22
/?,/?,P
peut-être,peut-être,60
que,que,83
Vaucorbeil,Vaucorbeil,20
ne,ne,60
s',se,51
était,être,18
pas,pas,60
trompé,tromper,12
/?,/?,P
un,un,71
médecin,médecin,21
après,après,81
tout,tout,52
doit,devoir,17
s',se,51
y,y,52
connaître,connaître,14
!,!,p
et,et,82
des,de,81
des,le,71
remords,remords,21
assaillirent,assaillir,19
Pécuchet,Pécuchet,20
/.,/.,P
il,il,51
avait,avoir,18
peur,peur,22
d',de,81
être,être,14
homicide,homicide,30
/.,/.,P
par,par,81
prudence,prudence,22
",",",",p
ils,ils,51
congédièrent,congédier,19
le,le,71
bossu,bossu,21
/.,/.,P
mais,mais,82
à,à,81
cause,cause,22
du,de,81
du,le,71
déjeuner,déjeuner,21
lui,lui,51
échappant,échapper,13
",",",",p
sa,son,73
mère,mère,22
cria,crier,19
beaucoup,beaucoup,60
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
la,le,71
peine,peine,22
de,de,81
les,le,52
avoir,avoir,14
fait,faire,12
venir,venir,14
tous,tout,75
les,le,71
jours,jour,21
de,de,81
Barneval,Barneval,20
à,à,81
Chavignolles,Chavignolles,20
/!,/!,P
Foureau,Foureau,20
se,se,51
calma,calmer,19
-,-,p
et,et,82
Gouy,Gouy,20
reprenait,reprendre,18
des,de,81
des,le,71
forces,force,22
/.,/.,P
à,à,81
présent,présent,21
",",",",p
la,le,71
guérison,guérison,22
était,être,18
certaine,certain,30
;,;,p
un,un,71
tel,tel,75
succès,succès,21
enhardit,enhardir,19
Pécuchet,Pécuchet,20
/.,/.,P
-,-,p
“,“,p
si,si,83
nous,nous,51
travaillions,travailler,18
les,le,71
accouchements,accouchement,21
",",",",p
avec,avec,81
un,un,52
de,de,81
ces,ce,74
mannequins,mannequin,21
/…,/…,P
“,“,p
-,-,p
“,“,p
assez,assez,60
de,de,81
mannequins,mannequin,21
/!,/!,P
ce,ce,52
sont,être,17
des,de,81
des,le,71
demi-corps,demi-corps,21
en,en,81
peau,peau,22
",",",",p
inventés,inventé,31
pour,pour,81
les,le,71
élèves,élève,21
sages-femmes,sage-femme,22
/.,/.,P
il,il,51
me,je,51
semble,sembler,17
que,que,83
je,je,51
retournerais,retourner,16
le,le,71
foetus,foetus,21
/?,/?,P
mais,mais,82
Bouvard,Bouvard,20
était,être,18
las,las,30
de,de,81
la,le,71
médecine,médecine,22
/.,/.,P
-,-,p
les,le,71
ressorts,ressort,21
de,de,81
la,le,71
vie,vie,22
nous,nous,51
sont,être,17
cachés,cacher,12
",",",",p
les,le,71
affections,affection,22
trop,trop,60
nombreuses,nombreux,30
",",",",p
les,le,71
remèdes,remède,21
problématiques,problématique,30
-,-,p
et,et,82
on,on,51
ne,ne,60
découvre,découvrir,17
dans,dans,81
les,le,71
auteurs,auteur,21
aucune,aucun,75
définition,définition,22
raisonnable,raisonnable,30
de,de,81
la,le,71
santé,santé,22
",",",",p
de,de,81
la,le,71
maladie,maladie,22
",",",",p
de,de,81
la,le,71
diathèse,diathèse,22
",",",",p
ni,ni,82
même,même,60
du,de,81
du,le,71
pus,pus,21
/!,/!,P
cependant,cependant,82
toutes,tout,75
ces,ce,74
lectures,lecture,22
avaient,avoir,18
ébranlé,ébranler,12
leur,leur,73
cervelle,cervelle,22
/.,/.,P
Bouvard,Bouvard,20
",",",",p
à,à,81
l',le,71
occasion,occasion,22
d',de,81
un,un,71
rhume,rhume,21
",",",",p
se,se,51
figura,figurer,19
qu',que,83
il,il,51
commençait,commencer,18
une,un,71
fluxion,fluxion,22
de,de,81
poitrine,poitrine,22
/.,/.,P
des,de,81
des,le,71
sangsues,sangsue,22
n',ne,60
ayant,avoir,13
pas,pas,60
affaibli,affaiblir,12
le,le,52
point,point,21
de,de,81
côté,côté,21
",",",",p
il,il,51
eut,avoir,19
recours,recours,21
à,à,81
un,un,71
vésicatoire,vésicatoire,21
",",",",p
dont,dont,52
l',le,71
action,action,22
se,se,51
porta,porter,19
sur,sur,81
les,le,71
reins,rein,21
/.,/.,P
alors,alors,60
",",",",p
il,il,51
se,se,51
crut,croire,19
attaqué,attaqué,31
de,de,81
la,le,71
pierre,pierre,22
/.,/.,P
Pécuchet,Pécuchet,20
prit,prendre,19
une,un,71
courbature,courbature,22
à,à,81
l',le,71
élagage,élagage,21
de,de,81
la,le,71
charmille,charmille,22
",",",",p
et,et,82
vomit,vomir,19
après,après,81
son,son,73
dîner,dîner,21
",",",",p
ce,ce,52
qui,qui,52
l',le,52
effraya,effrayer,19
beaucoup,beaucoup,60
/.,/.,P
puis,puis,60
observant,observer,13
qu',que,83
il,il,51
avait,avoir,18
le,le,71
teint,teint,21
un,un,71
peu,peu,60
jaune,jaune,30
",",",",p
suspecta,suspecter,19
une,un,71
maladie,maladie,22
de,de,81
foie,foie,21
",",",",p
se,se,51
demandait,demander,18
:,:,p
“,“,p
ai,avoir,17
je,je,51
des,de,81
des,le,71
douleurs,douleur,22
?,?,p
et,et,82
finit,finir,19
par,par,81
en,en,52
avoir,avoir,14
/.,/.,P
s',se,51
attristant,attrister,13
mutuellement,mutuellement,60
",",",",p
ils,ils,51
regardaient,regarder,18
leur,leur,73
langue,langue,22
",",",",p
se,se,51
tâtaient,tâter,18
le,le,71
pouls,pouls,21
",",",",p
changeaient,changer,18
d',de,81
eau,eau,22
minérale,minéral,30
",",",",p
se,se,51
purgeaient,purger,18
;,;,p
-,-,p
et,et,82
redoutaient,redouter,18
le,le,71
froid,froid,21
",",",",p
la,le,71
chaleur,chaleur,22
",",",",p
le,le,71
vent,vent,21
",",",",p
la,le,71
pluie,pluie,22
",",",",p
les,le,71
mouches,mouche,22
",",",",p
principalement,principalement,60
les,le,71
courants,courant,21
d',de,81
air,air,21
/.,/.,P
Pécuchet,Pécuchet,20
imagina,imaginer,19
que,que,83
l',le,71
usage,usage,21
de,de,81
la,le,71
prise,prise,22
était,être,18
funeste,funeste,30
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
un,un,71
éternuement,éternuement,21
occasionne,occasionner,17
parfois,parfois,60
la,le,71
rupture,rupture,22
d',de,81
un,un,71
anévrisme,anévrisme,21
-,-,p
et,et,82
il,il,51
abandonna,abandonner,19
la,le,71
tabatière,tabatière,22
/.,/.,P
par,par,81
habitude,habitude,22
",",",",p
il,il,51
y,y,52
plongeait,plonger,18
les,le,71
doigts,doigt,21
;,;,p
puis,puis,60
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
se,se,51
rappelait,rappeler,18
son,son,73
imprudence,imprudence,22
/.,/.,P
comme,comme,83
le,le,71
café,café,21
noir,noir,30
secoue,secouer,17
les,le,71
nerfs,nerf,21
Bouvard,Bouvard,20
voulut,vouloir,19
renoncer,renoncer,14
à,à,81
la,le,71
demi-tasse,demi-tasse,22
;,;,p
mais,mais,82
il,il,51
dormait,dormir,18
après,après,81
ses,son,73
repas,repas,21
",",",",p
et,et,82
avait,avoir,18
peur,peur,22
en,en,81
se,se,51
réveillant,réveiller,13
;,;,p
car,car,82
le,le,71
sommeil,sommeil,21
prolongé,prolongé,31
est,être,17
une,un,71
menace,menace,22
d',de,81
apoplexie,apoplexie,22
/.,/.,P
leur,leur,73
idéal,idéal,21
était,être,18
Cornaro,Cornaro,20
",",",",p
ce,ce,74
gentilhomme,gentilhomme,21
vénitien,vénitien,30
",",",",p
qui,qui,52
à,à,81
force,force,22
de,de,81
régime,régime,21
atteignit,atteindre,19
une,un,71
extrême,extrême,30
vieillesse,vieillesse,22
/.,/.,P
sans,sans,81
l',le,52
imiter,imiter,14
absolument,absolument,60
",",",",p
on,on,51
peut,pouvoir,17
avoir,avoir,14
les,le,71
mêmes,même,75
précautions,précaution,22
",",",",p
et,et,82
Pécuchet,Pécuchet,20
tira,tirer,19
de,de,81
sa,son,73
bibliothèque,bibliothèque,22
un,un,71
Manuel,Manuel,20
d',de,81
hygiène,hygiène,22
par,par,81
le,le,71
docteur,docteur,21
Morin,Morin,20
/.,/.,P
comment,comment,60
avaient,avoir,18
ils,ils,51
fait,faire,12
pour,pour,81
vivre,vivre,14
jusque-là,jusque-là,81
/?,/?,P
les,le,71
plats,plat,21
qu',que,52
ils,ils,51
aimaient,aimer,18
s',se,51
y,y,52
trouvent,trouver,17
défendus,défendu,31
/.,/.,P
Germaine,Germaine,20
embarrassée,embarrassé,31
ne,ne,60
savait,savoir,18
plus,plus,60
que,que,83
leur,leur,52
servir,servir,14
/.,/.,P
toutes,tout,75
les,le,71
viandes,viande,22
ont,avoir,17
des,de,81
des,le,71
inconvénients,inconvénient,21
/.,/.,P
le,le,71
boudin,boudin,21
et,et,82
la,le,71
charcuterie,charcuterie,22
",",",",p
le,le,71
hareng,hareng,21
saur,saur,30
",",",",p
le,le,71
homard,homard,21
",",",",p
et,et,82
le,le,71
gibier,gibier,21
sont,être,17
“,“,p
réfractaires,réfractaire,30
“,“,p
/.,/.,P
plus,plus,60
un,un,71
poisson,poisson,21
est,être,17
gros,gros,30
plus,plus,60
il,il,51
contient,contenir,17
de,de,81
gélatine,gélatine,22
et,et,82
par,par,81
conséquent,conséquent,30
est,être,17
lourd,lourd,30
/.,/.,P
les,le,71
légumes,légume,21
causent,causer,17
des,de,81
des,le,71
aigreurs,aigreur,22
",",",",p
le,le,71
macaroni,macaroni,21
donne,donner,17
des,de,81
des,le,71
rêves,rêve,21
",",",",p
les,le,71
fromages,fromage,21
“,“,p
considérés,considéré,31
généralement,généralement,60
",",",",p
sont,être,17
d',de,81
une,un,71
digestion,digestion,22
difficile,difficile,30
“,“,p
/.,/.,P
un,un,71
verre,verre,21
d',de,81
eau,eau,22
le,le,71
matin,matin,21
est,être,17
“,“,p
dangereux,dangereux,30
“,“,p
;,;,p
chaque,chaque,75
boisson,boisson,22
ou,ou,82
comestible,comestible,21
étant,être,13
suivi,suivre,12
d',de,81
un,un,71
avertissement,avertissement,21
pareil,pareil,30
",",",",p
ou,ou,82
bien,bien,60
de,de,81
ces,ce,74
mots,mot,21
:,:,p
“,“,p
mauvais,mauvais,30
!,!,p
gardez,garder,17
vous,vous,51
de,de,81
l',le,71
abus,abus,21
!,!,p
ne,ne,60
convient,convenir,17
pas,pas,60
à,à,81
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
“,“,p
-,-,p
pourquoi,pourquoi,60
mauvais,mauvais,30
?,?,p
où,où,60
est,être,17
l',le,71
abus,abus,21
?,?,p
comment,comment,60
savoir,savoir,14
si,si,83
telle,tel,75
chose,chose,22
vous,vous,51
convient,convenir,17
/?,/?,P
quel,quel,75
problème,problème,21
que,que,52
celui,celui,52
du,de,81
du,le,71
déjeuner,déjeuner,21
/!,/!,P
ils,ils,51
quittèrent,quitter,19
le,le,71
café,café,21
au,à,81
au,le,71
lait,lait,21
",",",",p
sur,sur,81
sa,son,73
détestable,détestable,30
réputation,réputation,22
;,;,p
et,et,82
ensuite,ensuite,60
le,le,71
chocolat,chocolat,21
",",",",p
-,-,p
car,car,82
c',ce,52
est,être,17
“,“,p
un,un,71
amas,amas,21
de,de,81
substances,substance,22
indigestes,indigeste,30
“,“,p
;,;,p
restait,rester,18
donc,donc,82
le,le,71
thé,thé,21
/.,/.,P
mais,mais,82
“,“,p
les,le,71
personnes,personne,22
nerveuses,nerveux,30
doivent,devoir,17
se,se,51
l',le,52
interdire,interdire,14
complètement,complètement,60
“,“,p
/.,/.,P
cependant,cependant,82
",",",",p
Decker,Decker,20
au,à,81
au,le,71
XVIIe,dix-septième,72
siècle,siècle,21
en,en,52
prescrivait,prescrire,18
vingt,vingt,72
décalitres,décalitre,21
par,par,81
jour,jour,21
",",",",p
afin,afin,81
de,de,81
nettoyer,nettoyer,14
les,le,71
marais,marais,21
du,de,81
du,le,71
pancréas,pancréas,21
/.,/.,P
ce,ce,74
renseignement,renseignement,21
ébranla,ébranler,19
Morin,Morin,20
dans,dans,81
leur,leur,73
estime,estime,22
",",",",p
d'autant,d'autant,60
plus,plus,60
qu',que,83
il,il,51
condamne,condamner,17
toutes,tout,75
les,le,71
coiffures,coiffure,22
",",",",p
chapeaux,chapeau,21
",",",",p
bonnets,bonnet,21
et,et,82
casquettes,casquette,22
",",",",p
exigence,exigence,22
qui,qui,52
révolta,révolter,19
Pécuchet,Pécuchet,20
/.,/.,P
alors,alors,60
ils,ils,51
achetèrent,acheter,19
le,le,71
traité,traité,21
de,de,81
Becquerel,Becquerel,20
où,où,60
ils,ils,51
virent,voir,19
que,que,83
le,le,71
porc,porc,21
est,être,17
en,en,81
soi-même,soi-même,51
“,“,p
un,un,71
bon,bon,30
aliment,aliment,21
“,“,p
",",",",p
le,le,71
tabac,tabac,21
d',de,81
une,un,71
innocence,innocence,22
parfaite,parfait,31
",",",",p
et,et,82
le,le,71
café,café,21
“,“,p
indispensable,indispensable,30
aux,à,81
aux,le,71
militaires,militaire,21
“,“,p
/.,/.,P
jusqu',jusque,81
alors,alors,60
ils,ils,51
avaient,avoir,18
cru,croire,12
à,à,81
l',le,71
insalubrité,insalubrité,22
des,de,81
des,le,71
endroits,endroit,21
humides,humide,30
/.,/.,P
pas,pas,60
du,de,81
du,le,71
tout,tout,21
/!,/!,P
Casper,Casper,20
les,le,52
déclare,déclarer,17
moins,moins,60
mortels,mortel,30
que,que,83
les,le,71
autres,autre,52
/.,/.,P
on,on,51
ne,ne,60
se,se,51
baigne,baigner,17
pas,pas,60
dans,dans,81
la,le,71
mer,mer,22
sans,sans,81
avoir,avoir,14
rafraîchi,rafraîchir,12
sa,son,73
peau,peau,22
/.,/.,P
Bégin,Bégin,20
veut,vouloir,17
qu',que,83
on,on,51
s',se,51
y,y,52
jette,jeter,17
en,en,81
pleine,plein,30
transpiration,transpiration,22
/.,/.,P
le,le,71
vin,vin,21
pur,pur,30
après,après,81
la,le,71
soupe,soupe,22
passe,passer,17
pour,pour,81
excellent,excellent,30
à,à,81
l',le,71
estomac,estomac,21
/.,/.,P
Lévy,Lévy,20
l',le,52
accuse,accuser,17
d',de,81
altérer,altérer,14
les,le,71
dents,dent,22
/.,/.,P
enfin,enfin,60
",",",",p
le,le,71
gilet,gilet,21
de,de,81
flanelle,flanelle,22
",",",",p
cette,ce,74
sauvegarde,sauvegarde,22
",",",",p
ce,ce,74
tuteur,tuteur,21
de,de,81
la,le,71
santé,santé,22
",",",",p
ce,ce,74
palladium,palladium,21
chéri,chéri,31
de,de,81
Bouvard,Bouvard,20
et,et,82
inhérent,inhérent,30
à,à,81
Pécuchet,Pécuchet,20
",",",",p
sans ambages,sans ambages,60
ni,ni,82
crainte,crainte,22
de,de,81
l',le,71
opinion,opinion,22
",",",",p
des,de,81
des,le,71
auteurs,auteur,21
le,le,52
déconseillent,déconseiller,17
aux,à,81
aux,le,71
hommes,homme,21
pléthoriques,pléthorique,30
et,et,82
sanguins,sanguin,30
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
donc,donc,82
que,que,83
l',le,71
hygiène,hygiène,22
/?,/?,P
vérité,vérité,22
en deçà,en-deçà,81
des,de,81
des,le,71
Pyrénées,Pyrénées,20
",",",",p
erreur,erreur,22
au delà,au-delà,60
“,“,p
affirme,affirmer,17
monsieur,monsieur,21
Lévy,Lévy,20
;,;,p
et,et,82
Becquerel,Becquerel,20
ajoute,ajouter,17
qu',que,83
elle,il,51
n',ne,60
est,être,17
pas,pas,60
une,un,71
science,science,22
/.,/.,P
alors,alors,60
ils,ils,51
se,se,51
commandèrent,commander,19
pour,pour,81
leur,leur,73
dîner,dîner,21
des,de,81
des,le,71
huîtres,huître,22
",",",",p
un,un,71
canard,canard,21
",",",",p
du,de,81
du,le,71
porc,porc,21
au,à,81
au,le,71
choux,chou,21
",",",",p
de,de,81
la,le,71
crème,crème,22
",",",",p
un,un,71
Pont-l'Evêque,Pont-l'Evêque,20
",",",",p
et,et,82
une,un,71
bouteille,bouteille,22
de,de,81
Bourgogne,Bourgogne,20
/.,/.,P
ce,ce,52
fut,être,19
un,un,71
affranchissement,affranchissement,21
",",",",p
presque,presque,60
une,un,71
revanche,revanche,22
;,;,p
et,et,82
ils,ils,51
se,se,51
moquaient,moquer,18
de,de,81
Cornaro,Cornaro,20
/!,/!,P
fallait,falloir,18
il,il,51
être,être,14
imbécile,imbécile,30
pour,pour,81
se,se,51
tyranniser,tyranniser,14
comme,comme,83
lui,lui,51
/!,/!,P
quelle,quel,75
bassesse,bassesse,22
que,que,52
de,de,81
penser,penser,14
toujours,toujours,60
au,à,81
au,le,71
prolongement,prolongement,21
de,de,81
son,son,73
existence,existence,22
/!,/!,P
la,le,71
vie,vie,22
n',ne,60
est,être,17
bonne,bon,30
qu',que,83
à,à,81
la,le,71
condition,condition,22
d',de,81
en,en,52
jouir,jouir,14
/.,/.,P
-,-,p
“,“,p
encore,encore,60
un,un,71
morceau,morceau,21
/?,/?,P
je,je,51
veux,vouloir,17
bien,bien,60
/.,/.,P
“,“,p
-,-,p
“,“,p
moi,moi,51
de,de,81
même,même,60
/!,/!,P
à,à,81
ta,ton,73
santé,santé,22
/!,/!,P
à,à,81
la,le,71
tienne,tien,52
/!,/!,P
et,et,82
fichons,ficher,17
nous,nous,51
du,de,81
du,le,71
reste,reste,21
/!,/!,P
ils,ils,51
s',se,51
exaltaient,exalter,18
/.,/.,P
Bouvard,Bouvard,20
annonça,annoncer,19
qu',que,83
il,il,51
voulait,vouloir,18
trois,trois,72
tasses,tasse,22
de,de,81
café,café,21
",",",",p
bien,bien,60
qu',que,83
il,il,51
ne,ne,60
fût,être,19
pas,pas,60
un,un,71
militaire,militaire,21
/.,/.,P
Pécuchet,Pécuchet,20
",",",",p
la,le,71
casquette,casquette,22
sur,sur,81
les,le,71
oreilles,oreille,22
",",",",p
prisait,priser,18
coup,coup,21
sur,sur,81
coup,coup,21
",",",",p
éternuait,éternuer,18
sans,sans,81
peur,peur,22
",",",",p
et,et,82
sentant,sentir,13
le,le,71
besoin,besoin,21
d',de,81
un,un,71
peu,peu,60
de,de,81
champagne,champagne,21
",",",",p
ils,ils,51
ordonnèrent,ordonner,19
à,à,81
Germaine,Germaine,20
d',de,81
aller,aller,14
de,de,81
suite,suite,22
au,à,81
au,le,71
cabaret,cabaret,21
",",",",p
leur,leur,52
en,en,52
acheter,acheter,14
une,un,71
bouteille,bouteille,22
/.,/.,P
le,le,71
village,village,21
était,être,18
trop,trop,60
loin,loin,60
/.,/.,P
elle,il,51
refusa,refuser,19
/.,/.,P
Pécuchet,Pécuchet,20
fut,être,19
indigné,indigner,12
/.,/.,P
-,-,p
“,“,p
je,je,51
vous,vous,51
somme,sommer,17
",",",",p
entendez,entendre,17
vous,vous,51
!,!,p
je,je,51
vous,vous,51
somme,sommer,17
d',de,81
y,y,52
courir,courir,14
/.,/.,P
“,“,p
elle,il,51
obéit,obéir,17
",",",",p
mais,mais,82
en,en,81
bougonnant,bougonner,13
",",",",p
résolue,résolu,31
à,à,81
lâcher,lâcher,14
bientôt,bientôt,60
ses,son,73
maîtres,maître,21
",",",",p
tant,tant,60
ils,ils,51
étaient,être,18
incompréhensibles,incompréhensible,30
et,et,82
fantasques,fantasque,30
/.,/.,P
puis,puis,60
",",",",p
comme,comme,83
autrefois,autrefois,60
",",",",p
ils,ils,51
allèrent,aller,19
prendre,prendre,14
le,le,71
gloria,gloria,21
sur,sur,81
le,le,71
vigneau,vigneau,21
/.,/.,P
la,le,71
moisson,moisson,22
venait,venir,18
de,de,81
finir,finir,14
-,-,p
et,et,82
des,de,81
des,le,71
meules,meule,22
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
champs,champ,21
dressaient,dresser,18
leurs,leur,73
masses,masse,22
noires,noir,30
sur,sur,81
la,le,71
couleur,couleur,22
de,de,81
la,le,71
nuit,nuit,22
",",",",p
bleuâtre,bleuâtre,30
et,et,82
douce,doux,30
/.,/.,P
les,le,71
fermes,ferme,22
étaient,être,18
tranquilles,tranquille,30
/.,/.,P
on,on,51
n',ne,60
entendait,entendre,18
même,même,60
plus,plus,60
les,le,71
grillons,grillon,21
/.,/.,P
toute,tout,75
la,le,71
campagne,campagne,22
dormait,dormir,18
/.,/.,P
ils,ils,51
digéraient,digérer,18
en,en,81
humant,humer,13
la,le,71
brise,brise,22
qui,qui,52
rafraîchissait,rafraîchir,18
leurs,leur,73
pommettes,pommette,22
/.,/.,P
le,le,71
ciel,ciel,21
très,très,60
haut,haut,30
",",",",p
était,être,18
couvert,couvrir,12
d',de,81
étoiles,étoile,22
;,;,p
les,le,71
unes,un,52
brillant,briller,13
par,par,81
groupes,groupe,21
",",",",p
d',de,81
autres,autre,52
à,à,81
la,le,71
file,file,22
",",",",p
ou,ou,82
bien,bien,60
seules,seul,30
à,à,81
des,de,81
des,le,71
intervalles,intervalle,21
éloignés,éloigné,31
/.,/.,P
une,un,71
zone,zone,22
de,de,81
poussière,poussière,22
lumineuse,lumineux,30
",",",",p
allant,aller,13
du,de,81
du,le,71
septentrion,septentrion,21
au,à,81
au,le,71
midi,midi,21
",",",",p
se,se,51
bifurquait,bifurquer,18
au-dessus,au-dessus,60
de,de,81
leurs,leur,73
têtes,tête,22
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
entre,entre,81
ces,ce,74
clartés,clarté,22
",",",",p
de,de,81
grands,grand,30
espaces,espace,21
vides,vide,30
;,;,p
-,-,p
et,et,82
le,le,71
firmament,firmament,21
semblait,sembler,18
une,un,71
mer,mer,22
d',de,81
azur,azur,21
",",",",p
avec,avec,81
des,de,81
des,le,71
archipels,archipel,21
et,et,82
des,de,81
des,le,71
îlots,îlot,21
/.,/.,P
-,-,p
“,“,p
quelle,quel,75
quantité,quantité,22
!,!,p
s',se,51
écria,écrier,19
Bouvard,Bouvard,20
/.,/.,P
-,-,p
“,“,p
nous,nous,51
ne,ne,60
voyons,voir,17
pas,pas,60
tout,tout,52
!,!,p
reprit,reprendre,19
Pécuchet,Pécuchet,20
/.,/.,P
“,“,p
derrière,derrière,81
la,le,71
voie,voie,22
lactée,lacté,30
",",",",p
ce,ce,52
sont,être,17
les,le,71
nébuleuses,nébuleuse,22
;,;,p
au delà,au-delà,21
des,de,81
des,le,71
nébuleuses,nébuleuse,22
des,de,81
des,le,71
étoiles,étoile,22
encore,encore,60
/!,/!,P
la,le,71
plus,plus,60
voisine,voisin,30
est,être,17
séparée,séparer,12
de,de,81
nous,nous,51
par,par,81
trois,trois,72
cents,cent,72
billions,billion,21
de,de,81
myriamètres,myriamètre,21
/!,/!,P
il,il,51
avait,avoir,18
regardé,regarder,12
souvent,souvent,60
dans,dans,81
le,le,71
télescope,télescope,21
de,de,81
la,le,71
place,place,22
Vendôme,Vendôme,20
et,et,82
se,se,51
rappelait,rappeler,18
les,le,71
chiffres,chiffre,21
/.,/.,P
“,“,p
le,le,71
soleil,soleil,21
est,être,17
