11698
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-sixième extrait>,<>,<> 
dans,dans,81
le,le,71
village,village,21
",",",",p
où,où,60
passaient,passer,18
parfois,parfois,60
quelques,quelque,75
bruits,bruit,21
de,de,81
vie,vie,22
/.,/.,P
et,et,82
cette,ce,74
solitude,solitude,22
silencieuse,silencieux,30
des,de,81
des,le,71
arbres,arbre,21
et,et,82
des,de,81
des,le,71
feuilles,feuille,22
l',le,52
imprégnait,imprégner,18
de,de,81
mélancolie,mélancolie,22
et,et,82
de,de,81
regrets,regret,21
",",",",p
le,le,52
noyait,noyer,18
dans,dans,81
sa,son,73
misère,misère,22
/.,/.,P
il,il,51
recommença,recommencer,19
dans,dans,81
sa,son,73
pensée,pensée,22
sa,son,73
longue,long,30
promenade,promenade,22
de,de,81
la,le,71
veille,veille,22
",",",",p
et,et,82
",",",",p
quand,quand,83
il,il,51
revit,revoir,19
la,le,71
petite,petit,30
bonne,bonne,22
alerte,alerte,30
de,de,81
l',le,71
hôtel,hôtel,21
Corot,Corot,20
",",",",p
il,il,51
se,se,51
dit,dire,19
:,:,p
“,“,p
tiens,tenir,17
!,!,p
je,je,51
vais,aller,17
aller,aller,14
jusque-là,jusque-là,81
",",",",p
et,et,82
j',je,51
y,y,52
dînerai,dîner,15
/!,/!,P
cette,ce,74
idée,idée,22
lui,lui,51
fit,faire,19
du,de,81
du,le,71
bien,bien,21
;,;,p
c',ce,52
était,être,18
une,un,71
occupation,occupation,22
",",",",p
un,un,71
moyen,moyen,21
de,de,81
gagner,gagner,14
quelques,quelque,75
heures,heure,22
;,;,p
et,et,82
il,il,51
se,se,51
mit,mettre,19
en,en,81
route,route,22
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
la,le,71
longue,long,30
rue,rue,22
du,de,81
du,le,71
village,village,21
s',se,51
allongeait,allonger,18
toute,tout,75
droite,droite,22
dans,dans,81
le,le,71
vallon,vallon,21
",",",",p
entre,entre,81
ses,son,73
deux,deux,72
rangées,rangée,22
de,de,81
maisons,maison,22
blanches,blanc,30
",",",",p
basses,bas,30
",",",",p
couvertes,couvert,31
en,en,81
tuiles,tuile,22
",",",",p
les,le,71
unes,un,52
alignées,aligné,31
contre,contre,81
le,le,71
chemin,chemin,21
",",",",p
les,le,71
autres,autre,52
au,à,81
au,le,71
fond,fond,21
d',de,81
une,un,71
petite,petit,30
cour,cour,22
où,où,60
fleurissait,fleurir,18
un,un,71
lilas,lilas,21
",",",",p
où,où,60
rôdaient,rôder,18
des,de,81
des,le,71
poules,poule,22
sur,sur,81
le,le,71
fumier,fumier,21
chaud,chaud,30
",",",",p
où,où,60
des,de,81
des,le,71
escaliers,escalier,21
à,à,81
rampes,rampe,22
de,de,81
bois,bois,21
grimpaient,grimper,18
en,en,81
plein,plein,30
air,air,21
à,à,81
des,de,81
des,le,71
portes,porte,22
dans,dans,81
le,le,71
mur,mur,21
/.,/.,P
des,de,81
des,le,71
paysans,paysan,21
travaillaient,travailler,18
lentement,lentement,60
devant,devant,81
leur,leur,73
logis,logis,21
à,à,81
des,de,81
des,le,71
besognes,besogne,22
domestiques,domestique,30
/.,/.,P
une,un,71
vieille,vieux,30
femme,femme,22
courbée,courbé,31
",",",",p
avec,avec,81
des,de,81
des,le,71
cheveux,cheveu,21
grisâtres,grisâtre,30
et,et,82
jaunes,jaune,30
malgré,malgré,81
son,son,73
âge,âge,21
",",",",p
car,car,82
les,le,71
ruraux,rural,21
n',ne,60
ont,avoir,17
presque,presque,60
jamais,jamais,60
les,le,71
cheveux,cheveu,21
vraiment,vraiment,60
blancs,blanc,30
",",",",p
passa,passer,19
près,près,81
de,de,81
lui,lui,51
",",",",p
la,le,71
taille,taille,22
dans,dans,81
un,un,71
caraco,caraco,21
déchiré,déchiré,31
",",",",p
les,le,71
jambes,jambe,22
maigres,maigre,30
et,et,82
noueuses,noueux,30
dessinées,dessiné,31
sous,sous,81
une,un,71
espèce,espèce,22
de,de,81
jupon,jupon,21
de,de,81
laine,laine,22
que,que,52
soulevait,soulever,18
la,le,71
saillie,saillie,22
de,de,81
la,le,71
croupe,croupe,22
/.,/.,P
elle,il,51
regardait,regarder,18
devant,devant,81
elle,il,51
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
sans,sans,81
idées,idée,22
",",",",p
des,de,81
des,le,71
yeux,oeil,21
qui,qui,52
n',ne,60
avaient,avoir,18
jamais,jamais,60
vu,voir,12
que,que,83
les,le,71
quelques,quelque,75
simples,simple,30
objets,objet,21
utiles,utile,30
à,à,81
sa,son,73
pauvre,pauvre,30
existence,existence,22
/.,/.,P
une,un,71
autre,autre,52
",",",",p
plus,plus,60
jeune,jeune,30
",",",",p
étendait,étendre,18
du,de,81
du,le,71
linge,linge,21
devant,devant,81
sa,son,73
porte,porte,22
/.,/.,P
le,le,71
mouvement,mouvement,21
des,de,81
des,le,71
bras,bras,21
retroussant,retrousser,13
la,le,71
jupe,jupe,22
montrait,montrer,18
en,en,81
des,de,81
des,le,71
bas,bas,21
bleus,bleu,30
de,de,81
grosses,gros,30
chevilles,cheville,22
et,et,82
des,de,81
des,le,71
os,os,21
au-dessus,au-dessus,60
",",",",p
des,de,81
des,le,71
os,os,21
sans,sans,81
chair,chair,22
",",",",p
tandis que,tandis que,83
la,le,71
taille,taille,22
et,et,82
la,le,71
gorge,gorge,22
",",",",p
plates,plat,30
et,et,82
larges,large,30
comme,comme,83
une,un,71
poitrine,poitrine,22
d',de,81
homme,homme,21
",",",",p
révélaient,révéler,18
un,un,71
corps,corps,21
sans,sans,81
forme,forme,22
qui,qui,52
devait,devoir,18
être,être,14
horrible,horrible,30
à,à,81
voir,voir,14
/.,/.,P
Mariolle,Mariolle,20
pensa,penser,19
:,:,p
“,“,p
des,de,81
des,le,71
femmes,femme,22
/!,/!,P
ce,ce,52
sont,être,17
des,de,81
des,le,71
femmes,femme,22
/!,/!,P
voilà,voilà,81
des,de,81
des,le,71
femmes,femme,22
/!,/!,P
la,le,71
silhouette,silhouette,22
de,de,81
madame,madame,22
de,de,81
Burne,Burne,20
se,se,51
dessina,dessiner,19
devant,devant,81
ses,son,73
yeux,oeil,21
/.,/.,P
il,il,51
l',le,52
aperçut,apercevoir,19
exquise,exquis,30
d',de,81
élégance,élégance,22
et,et,82
de,de,81
beauté,beauté,22
",",",",p
bijou,bijou,21
de,de,81
chair,chair,22
humaine,humain,30
",",",",p
coquette,coquet,30
et,et,82
parée,paré,31
pour,pour,81
des,de,81
des,le,71
regards,regard,21
d',de,81
hommes,homme,21
;,;,p
et,et,82
il,il,51
tressaillit,tressaillir,19
de,de,81
l',le,71
angoisse,angoisse,22
d',de,81
une,un,71
irréparable,irréparable,30
perte,perte,22
/.,/.,P
alors,alors,60
il,il,51
marcha,marcher,19
plus,plus,60
vite,vite,60
pour,pour,81
secouer,secouer,14
son,son,73
coeur,coeur,21
et,et,82
sa,son,73
pensée,pensée,22
/.,/.,P
quand,quand,83
il,il,51
entra,entrer,19
dans,dans,81
l',le,71
hôtel,hôtel,21
de,de,81
Marlotte,Marlotte,20
",",",",p
la,le,71
petite,petit,30
bonne,bonne,22
le,le,52
reconnut,reconnaître,19
aussitôt,aussitôt,60
",",",",p
et,et,82
",",",",p
presque,presque,60
familière,familière,22
",",",",p
lui,lui,51
dit,dire,19
:,:,p
-,-,p
bonjour,bonjour,21
",",",",p
monsieur,monsieur,21
/.,/.,P
-,-,p
bonjour,bonjour,21
",",",",p
mademoiselle,mademoiselle,22
/.,/.,P
-,-,p
vous,vous,51
voulez,vouloir,17
boire,boire,14
quelque,quelque,75
chose,chose,22
/?,/?,P
oui,oui,60
",",",",p
pour,pour,81
commencer,commencer,14
;,;,p
puis,puis,60
je,je,51
dînerai,dîner,15
ici,ici,60
/.,/.,P
ils,ils,51
discutèrent,discuter,19
sur,sur,81
ce,ce,52
qu',que,52
il,il,51
boirait,boire,16
d'abord,d'abord,60
",",",",p
sur,sur,81
ce,ce,52
qu',que,52
il,il,51
mangerait,manger,16
ensuite,ensuite,60
/.,/.,P
il,il,51
la,le,52
consultait,consulter,18
pour,pour,81
la,le,52
faire,faire,14
parler,parler,14
",",",",p
car,car,82
elle,il,51
s',se,51
exprimait,exprimer,18
bien,bien,60
",",",",p
avec,avec,81
l',le,71
accent,accent,21
bref,bref,30
de,de,81
Paris,Paris,20
et,et,82
une,un,71
aisance,aisance,22
d',de,81
élocution,élocution,22
aussi,aussi,60
facile,facile,30
que,que,83
son,son,73
aisance,aisance,22
de,de,81
mouvement,mouvement,21
/.,/.,P
il,il,51
pensait,penser,18
en,en,81
l',le,52
écoutant,écouter,13
:,:,p
“,“,p
elle,il,51
est,être,17
fort,fort,60
agréable,agréable,30
",",",",p
cette,ce,74
fillette,fillette,22
;,;,p
ça,ça,52
m',je,51
a,avoir,17
l',le,71
air,air,21
de,de,81
graine,graine,22
de,de,81
cocotte,cocotte,30
/.,/.,P
“,“,p
il,il,51
lui,lui,51
demanda,demander,19
:,:,p
-,-,p
vous,vous,51
êtes,être,17
Parisienne,Parisien,20
/?,/?,P
oui,oui,60
",",",",p
monsieur,monsieur,21
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
longtemps,longtemps,60
que,que,83
vous,vous,51
êtes,être,17
ici,ici,60
/?,/?,P
quinze,quinze,72
jours,jour,21
",",",",p
monsieur,monsieur,21
/.,/.,P
-,-,p
vous,vous,51
vous,vous,51
y,y,52
plaisez,plaire,17
/?,/?,P
pas,pas,60
jusqu',jusque,81
à,à,81
présent,présent,21
",",",",p
mais,mais,82
c',ce,52
est,être,17
trop,trop,60
tôt,tôt,60
pour,pour,81
savoir,savoir,14
;,;,p
et,et,82
puis,puis,60
j',je,51
étais,être,18
fatiguée,fatiguer,12
de,de,81
l',le,71
air,air,21
de,de,81
Paris,Paris,20
",",",",p
et,et,82
la,le,71
campagne,campagne,22
m',je,51
a,avoir,17
rétablie,rétablir,12
;,;,p
c',ce,52
est,être,17
ça,ça,52
surtout,surtout,60
qui,qui,52
m',je,51
a,avoir,17
décidée,décider,12
à,à,81
venir,venir,14
/.,/.,P
alors,alors,60
je,je,51
vous,vous,51
apporte,apporter,17
un,un,71
vermuth,vermouth,21
",",",",p
monsieur,monsieur,21
/?,/?,P
oui,oui,60
",",",",p
mademoiselle,mademoiselle,22
",",",",p
et,et,82
vous,vous,51
direz,dire,15
au,à,81
au,le,71
chef,chef,21
ou,ou,82
à,à,81
la,le,71
cuisinière,cuisinière,22
de,de,81
bien,bien,60
soigner,soigner,14
mon,mon,73
dîner,dîner,21
/.,/.,P
-,-,p
ne,ne,60
craignez,craindre,17
rien,rien,52
",",",",p
monsieur,monsieur,21
/.,/.,P
elle,il,51
sortit,sortir,19
",",",",p
le,le,52
laissant,laisser,13
seul,seul,30
/.,/.,P
il,il,51
gagna,gagner,19
le,le,71
jardin,jardin,21
de,de,81
l',le,71
hôtel,hôtel,21
et,et,82
s',se,51
installa,installer,19
sous,sous,81
une,un,71
tonnelle,tonnelle,22
",",",",p
où,où,60
son,son,73
vermuth,vermouth,21
lui,lui,51
fut,être,19
servi,servir,12
/.,/.,P
il,il,51
y,y,52
resta,rester,19
jusqu',jusque,81
à,à,81
la,le,71
fin,fin,22
de,de,81
la,le,71
journée,journée,22
",",",",p
écoutant,écouter,13
siffler,siffler,14
un,un,71
merle,merle,21
dans,dans,81
une,un,71
cage,cage,22
",",",",p
et,et,82
regardant,regarder,13
passer,passer,14
la,le,71
petite,petit,30
bonne,bonne,22
",",",",p
qui,qui,52
coquetait,coqueter,18
et,et,82
faisait,faire,18
des,de,81
des,le,71
grâces,grâce,22
pour,pour,81
le,le,71
monsieur,monsieur,21
",",",",p
ayant,avoir,13
compris,comprendre,12
qu',que,83
il,il,51
la,le,52
trouvait,trouver,18
à,à,81
son,son,73
goût,goût,21
/.,/.,P
il,il,51
s',se,51
en,en,52
alla,aller,19
comme,comme,83
la,le,71
veille,veille,22
avec,avec,81
une,un,71
bouteille,bouteille,22
de,de,81
champagne,champagne,21
dans,dans,81
le,le,71
coeur,coeur,21
;,;,p
mais,mais,82
",",",",p
les,le,71
ténèbres,ténèbre,22
de,de,81
la,le,71
route,route,22
et,et,82
la,le,71
fraîcheur,fraîcheur,22
de,de,81
la,le,71
nuit,nuit,22
dissipant,dissiper,13
vite,vite,60
son,son,73
léger,léger,30
étourdissement,étourdissement,21
",",",",p
une,un,71
invincible,invincible,30
tristesse,tristesse,22
entra,entrer,19
de,de,81
nouveau,nouveau,21
dans,dans,81
son,son,73
âme,âme,22
/.,/.,P
il,il,51
pensait,penser,18
:,:,p
“,“,p
que,que,52
vais,aller,17
je,je,51
faire,faire,14
/?,/?,P
resterai,rester,15
je,je,51
ici,ici,60
/?,/?,P
serai,être,16
je,je,51
condamné,condamner,12
longtemps,longtemps,60
à,à,81
traîner,traîner,14
cette,ce,74
vie,vie,22
désolée,désolé,31
/?,/?,P
et,et,82
il,il,51
s',se,51
endormit,endormir,19
fort,fort,60
tard,tard,60
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
il,il,51
se,se,51
balança,balancer,19
de,de,81
nouveau,nouveau,21
dans,dans,81
le,le,71
hamac,hamac,21
;,;,p
et,et,82
la,le,71
présence,présence,22
constante,constant,30
de,de,81
l',le,71
homme,homme,21
jetant,jeter,13
l',le,71
épervier,épervier,21
lui,lui,51
donna,donner,19
l',le,71
idée,idée,22
de,de,81
se,se,51
mettre,mettre,14
à,à,81
pêcher,pêcher,14
/.,/.,P
un,un,71
épicier,épicier,21
qui,qui,52
vendait,vendre,18
des,de,81
des,le,71
lignes,ligne,22
le,le,52
renseigna,renseigner,19
sur,sur,81
ce,ce,74
sport,sport,21
tranquille,tranquille,30
",",",",p
offrit,offrir,19
même,même,60
de,de,81
guider,guider,14
ses,son,73
premiers,premier,72
essais,essai,21
/.,/.,P
la,le,71
proposition,proposition,22
fut,être,19
acceptée,accepter,12
",",",",p
et,et,82
de,de,81
neuf,neuf,72
heures,heure,22
à,à,81
midi,midi,21
",",",",p
Mariolle,Mariolle,20
",",",",p
avec,avec,81
de,de,81
grands,grand,30
efforts,effort,21
et,et,82
une,un,71
attention,attention,22
toujours,toujours,60
tendue,tendu,31
",",",",p
parvint,parvenir,19
à,à,81
prendre,prendre,14
trois,trois,72
petits,petit,30
poissons,poisson,21
/.,/.,P
après,après,81
le,le,71
repas,repas,21
",",",",p
il,il,51
se,se,51
rendit,rendre,19
de,de,81
nouveau,nouveau,21
à,à,81
Marlotte,Marlotte,20
/.,/.,P
pourquoi,pourquoi,60
/?,/?,P
pour,pour,81
tuer,tuer,14
le,le,71
temps,temps,21
/.,/.,P
la,le,71
petite,petit,30
bonne,bonne,22
de,de,81
l',le,71
auberge,auberge,22
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
en,en,81
l',le,52
apercevant,apercevoir,13
/.,/.,P
il,il,51
sourit,sourire,17
aussi,aussi,60
",",",",p
amusé,amusé,31
par,par,81
cette,ce,74
reconnaissance,reconnaissance,22
",",",",p
et,et,82
il,il,51
essaya,essayer,19
de,de,81
la,le,52
faire,faire,14
causer,causer,14
/.,/.,P
plus,plus,60
familière,familier,30
que,que,83
la,le,71
veille,veille,22
",",",",p
elle,il,51
parla,parler,19
/.,/.,P
elle,il,51
s',se,51
appelait,appeler,18
Elisabeth,Elisabeth,20
Ledru,Ledru,20
/.,/.,P
sa,son,73
mère,mère,22
",",",",p
couturière,couturière,22
en,en,81
chambre,chambre,22
",",",",p
était,être,18
morte,mourir,12
l',le,71
année,année,22
précédente,précédent,30
;,;,p
alors,alors,60
le,le,71
mari,mari,21
",",",",p
employé,employé,21
comptable,comptable,30
",",",",p
toujours,toujours,60
ivre,ivre,30
et,et,82
sans,sans,81
place,place,22
",",",",p
et,et,82
qui,qui,52
vivait,vivre,18
du,de,81
du,le,71
labeur,labeur,21
de,de,81
sa,son,73
femme,femme,22
et,et,82
de,de,81
sa,son,73
fille,fille,22
",",",",p
disparut,disparaître,19
",",",",p
car,car,82
la,le,71
fillette,fillette,22
",",",",p
restée,resté,31
seule,seul,30
tout,tout,75
le,le,71
jour,jour,21
à,à,81
coudre,coudre,14
dans,dans,81
sa,son,73
mansarde,mansarde,22
",",",",p
ne,ne,60
pouvait,pouvoir,18
subvenir,subvenir,14
aux,à,81
aux,le,71
besoins,besoin,21
de,de,81
deux,deux,72
personnes,personne,22
/.,/.,P
lasse,las,30
à,à,81
son,son,73
tour,tour,21
de,de,81
sa,son,73
besogne,besogne,22
solitaire,solitaire,30
",",",",p
elle,il,51
entra,entrer,19
comme,comme,83
bonne,bonne,22
dans,dans,81
un,un,71
bouillon,bouillon,21
",",",",p
y,y,52
resta,rester,19
près,près,81
d',de,81
un,un,71
an,an,21
",",",",p
et,et,82
",",",",p
comme,comme,83
elle,il,51
se,se,51
sentait,sentir,18
fatiguée,fatigué,31
",",",",p
le,le,71
fondateur,fondateur,21
de,de,81
l',le,71
hôtel,hôtel,21
Corot,Corot,20
",",",",p
à,à,81
Marlotte,Marlotte,20
",",",",p
ayant,avoir,13
été,être,12
servi,servir,12
par,par,81
elle,il,51
",",",",p
l',le,52
engagea,engager,19
pour,pour,81
l',le,71
été,été,21
avec,avec,81
deux,deux,72
autres,autre,75
jeunes,jeune,30
personnes,personne,22
qui,qui,52
viendraient,venir,16
un,un,71
peu,peu,60
plus,plus,60
tard,tard,60
/.,/.,P
ce,ce,74
patron,patron,21
assurément,assurément,60
savait,savoir,18
attirer,attirer,14
la,le,71
clientèle,clientèle,22
/.,/.,P
cette,ce,74
histoire,histoire,22
plut,plaire,12
à,à,81
Mariolle,Mariolle,20
",",",",p
qui,qui,52
fit,faire,19
dire,dire,14
à,à,81
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
en,en,81
l',le,52
interrogeant,interroger,13
avec,avec,81
adresse,adresse,22
et,et,82
en,en,81
la,le,52
traitant,traiter,13
comme,comme,83
une,un,71
demoiselle,demoiselle,22
",",",",p
beaucoup,beaucoup,60
de,de,81
détails,détail,21
curieux,curieux,30
sur,sur,81
ce,ce,74
sombre,sombre,30
et,et,82
pauvre,pauvre,30
intérieur,intérieur,21
ruiné,ruiné,31
par,par,81
un,un,71
ivrogne,ivrogne,21
/.,/.,P
elle,il,51
",",",",p
être,être,14
perdu,perdre,12
",",",",p
errant,errer,13
",",",",p
sans,sans,81
liens,lien,21
",",",",p
gaie,gai,30
quand,quand,83
même,même,60
parce qu',parce que,83
elle,il,51
était,être,18
jeune,jeune,30
",",",",p
sentant,sentir,13
réel,réel,30
l',le,71
intérêt,intérêt,21
de,de,81
cet,ce,74
inconnu,inconnu,21
",",",",p
et,et,82
vive,vivre,17
son,son,73
attention,attention,22
",",",",p
parla,parler,19
avec,avec,81
confiance,confiance,22
",",",",p
avec,avec,81
l',le,71
expansion,expansion,22
de,de,81
son,son,73
âme,âme,22
qu',que,52
elle,il,51
ne,ne,60
pouvait,pouvoir,18
guère,guère,60
plus,plus,60
contenir,contenir,14
que,que,83
l',le,71
agilité,agilité,22
de,de,81
ses,son,73
membres,membre,21
/.,/.,P
il,il,51
lui,lui,51
demanda,demander,19
quand,quand,83
elle,il,51
eut,avoir,19
fini,finir,12
:,:,p
-,-,p
et,et,82
…,…,p
vous,vous,51
serez,être,15
bonne,bon,30
toute,tout,75
votre,votre,73
vie,vie,22
/?,/?,P
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
",",",",p
moi,moi,51
",",",",p
monsieur,monsieur,21
/.,/.,P
est,être,17
ce,ce,52
que,que,83
je,je,51
peux,pouvoir,17
deviner,deviner,14
ce,ce,52
qui,qui,52
m',je,51
arrivera,arriver,15
demain,demain,60
/?,/?,P
pourtant,pourtant,60
il,il,51
faut,falloir,17
penser,penser,14
à,à,81
l',le,71
avenir,avenir,21
/.,/.,P
elle,il,51
avait,avoir,18
pris,prendre,12
un,un,71
air,air,21
méditatif,méditatif,30
",",",",p
vite,vite,60
effacé,effacé,31
sur,sur,81
ses,son,73
traits,trait,21
",",",",p
puis,puis,60
elle,il,51
répondit,répondre,19
:,:,p
-,-,p
je,je,51
prendrai,prendre,15
ce,ce,52
qui,qui,52
me,je,51
tombera,tomber,15
/.,/.,P
tant,tant,60
pis,pis,60
/!,/!,P
ils,ils,51
se,se,51
quittèrent,quitter,19
bons,bon,30
amis,ami,21
/.,/.,P
il,il,51
revint,revenir,19
quelques,quelque,75
jours,jour,21
plus,plus,60
tard,tard,60
",",",",p
puis,puis,60
une,un,71
autre,autre,75
fois,fois,22
",",",",p
puis,puis,60
souvent,souvent,60
",",",",p
vaguement,vaguement,60
attiré,attiré,31
par,par,81
la,le,71
causerie,causerie,22
naïve,naïf,30
de,de,81
la,le,71
fillette,fillette,22
abandonnée,abandonné,31
",",",",p
dont,dont,52
le,le,71
léger,léger,30
bavardage,bavardage,21
distrayait,distraire,18
un,un,71
peu,peu,60
son,son,73
chagrin,chagrin,21
/.,/.,P
mais,mais,82
quand,quand,83
il,il,51
retournait,retourner,18
à,à,81
pied,pied,21
",",",",p
le,le,71
soir,soir,21
",",",",p
à,à,81
Montigny,Montigny,20
",",",",p
il,il,51
avait,avoir,18
",",",",p
en,en,81
pensant,penser,13
à,à,81
madame,madame,22
de,de,81
Burne,Burne,20
",",",",p
des,de,81
des,le,71
crises,crise,22
épouvantables,épouvantable,30
de,de,81
désespoir,désespoir,21
/.,/.,P
avec,avec,81
la,le,71
nuit,nuit,22
retombaient,retomber,18
sur,sur,81
lui,lui,51
les,le,71
déchirants,déchirant,30
regrets,regret,21
et,et,82
la,le,71
jalousie,jalousie,22
féroce,féroce,30
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
aucune,aucun,75
nouvelle,nouvelle,22
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
écrit,écrire,12
à,à,81
personne,personne,52
et,et,82
personne,personne,52
ne,ne,60
lui,lui,51
avait,avoir,18
écrit,écrire,12
/.,/.,P
il,il,51
ne,ne,60
savait,savoir,18
rien,rien,52
/.,/.,P
alors,alors,60
",",",",p
seul,seul,30
",",",",p
sur,sur,81
la,le,71
route,route,22
noire,noir,30
",",",",p
il,il,51
imaginait,imaginer,18
les,le,71
progrès,progrès,21
de,de,81
la,le,71
liaison,liaison,22
prochaine,prochain,30
qu',que,83
il,il,51
avait,avoir,18
prévue,prévoir,12
entre,entre,81
sa,son,73
maîtresse,maîtresse,22
d',de,81
hier,hier,60
et,et,82
le,le,71
comte,comte,21
de,de,81
Bernhaus,Bernhaus,20
/.,/.,P
cette,ce,74
idée,idée,22
fixe,fixe,30
entrait,entrer,18
en,en,81
lui,lui,51
plus,plus,60
profondément,profondément,60
chaque,chaque,75
jour,jour,21
/.,/.,P
celui-là,celui-là,52
",",",",p
pensait,penser,18
il,il,51
",",",",p
donnera,donner,15
juste,juste,60
ce,ce,52
qu',que,52
elle,il,51
demande,demander,17
:,:,p
un,un,71
amant,amant,21
distingué,distingué,31
",",",",p
assidu,assidu,30
",",",",p
sans,sans,81
exigences,exigence,22
",",",",p
satisfait,satisfait,31
et,et,82
flatté,flatté,31
d',de,81
être,être,14
le,le,71
préféré,préféré,21
de,de,81
cette,ce,74
délicieuse,délicieux,30
et,et,82
fine,fin,30
coquette,coquet,30
/.,/.,P
il,il,51
le,le,52
comparait,comparer,18
à,à,81
lui-même,lui-même,51
/.,/.,P
l',le,71
autre,autre,52
",",",",p
certes,certes,60
",",",",p
n',ne,60
aurait,avoir,16
pas,pas,60
ces,ce,74
énervements,énervement,21
",",",",p
ces,ce,74
impatiences,impatience,22
fatigantes,fatigant,30
",",",",p
ce,ce,74
besoin,besoin,21
acharné,acharné,31
de,de,81
tendresse,tendresse,22
rendue,rendu,31
",",",",p
qui,qui,52
avaient,avoir,18
détruit,détruire,12
leur,leur,73
entente,entente,22
amoureuse,amoureux,30
/.,/.,P
il,il,51
se,se,51
contenterait,contenter,16
de,de,81
peu,peu,60
en,en,81
homme,homme,21
du,de,81
du,le,71
monde,monde,21
très,très,60
souple,souple,30
",",",",p
avisé,avisé,31
et,et,82
discret,discret,30
",",",",p
car,car,82
il,il,51
ne,ne,60
semblait,sembler,18
guère,guère,60
appartenir,appartenir,14
non,non,60
plus,plus,60
à,à,81
la,le,71
race,race,22
des,de,81
des,le,71
passionnés,passionné,21
/.,/.,P
or,or,82
",",",",p
un,un,71
jour,jour,21
",",",",p
comme,comme,83
André,André,20
Mariolle,Mariolle,20
arrivait,arriver,18
à,à,81
Marlotte,Marlotte,20
",",",",p
il,il,51
aperçut,apercevoir,19
sous,sous,81
l',le,71
autre,autre,75
tonnelle,tonnelle,22
de,de,81
l',le,71
hôtel,hôtel,21
Corot,Corot,20
deux,deux,72
jeunes,jeune,30
gens,gens,21
barbus,barbu,30
coiffés,coiffé,31
de,de,81
bérets,béret,21
",",",",p
et,et,82
qui,qui,52
fumaient,fumer,18
des,de,81
des,le,71
pipes,pipe,22
/.,/.,P
le,le,71
patron,patron,21
",",",",p
un,un,71
gros,gros,30
homme,homme,21
à,à,81
face,face,22
épanouie,épanoui,31
",",",",p
vint,venir,19
aussitôt,aussitôt,60
le,le,52
saluer,saluer,14
",",",",p
car,car,82
il,il,51
éprouvait,éprouver,18
pour,pour,81
ce,ce,74
dîneur,dîneur,21
fidèle,fidèle,30
une,un,71
sympathie,sympathie,22
intéressée,intéressé,31
",",",",p
puis,puis,60
il,il,51
dit,dire,19
:,:,p
-,-,p
j',je,51
ai,avoir,17
deux,deux,72
nouveaux,nouveau,30
clients,client,21
",",",",p
deux,deux,72
peintres,peintre,21
",",",",p
depuis,depuis,81
hier,hier,60
/.,/.,P
-,-,p
ces,ce,74
messieurs,monsieur,21
là-bas,là-bas,60
/?,/?,P
oui,oui,60
",",",",p
ils,ils,51
sont,être,17
déjà,déjà,60
connus,connaître,12
/.,/.,P
le,le,71
plus,plus,60
petit,petit,30
a,avoir,17
eu,avoir,12
une,un,71
seconde,second,72
médaille,médaille,22
",",",",p
l',le,71
an,an,21
dernier,dernier,30
/.,/.,P
et,et,82
",",",",p
ayant,avoir,13
raconté,raconter,12
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
savait,savoir,18
de,de,81
ces,ce,74
artistes,artiste,21
en,en,81
éclosion,éclosion,22
",",",",p
il,il,51
demanda,demander,19
:,:,p
-,-,p
que,que,52
prenez,prendre,17
vous,vous,51
aujourd'hui,aujourd'hui,60
",",",",p
monsieur,monsieur,21
Mariolle,Mariolle,20
/?,/?,P
envoyez,envoyer,17
moi,moi,51
un,un,71
vermuth,vermouth,21
",",",",p
comme,comme,83
toujours,toujours,60
/.,/.,P
le,le,71
patron,patron,21
s',se,51
éloigna,éloigner,19
/.,/.,P
Elisabeth,Elisabeth,20
parut,paraître,19
portant,porter,13
le,le,71
plateau,plateau,21
",",",",p
le,le,71
verre,verre,21
",",",",p
la,le,71
carafe,carafe,22
et,et,82
la,le,71
bouteille,bouteille,22
/.,/.,P
et,et,82
aussitôt,aussitôt,60
un,un,52
des,de,81
des,le,71
peintres,peintre,21
cria,crier,19
:,:,p
-,-,p
eh,eh,93
bien,bien,60
!,!,p
petite,petite,22
",",",",p
est,être,17
on,on,51
toujours,toujours,60
fâchée,fâcher,12
/?,/?,P
elle,il,51
ne,ne,60
répondit,répondre,19
pas,pas,60
",",",",p
et,et,82
quand,quand,83
elle,il,51
approcha,approcher,19
de,de,81
Mariolle,Mariolle,20
il,il,51
vit,voir,19
qu',que,83
elle,il,51
avait,avoir,18
les,le,71
yeux,oeil,21
rouges,rouge,30
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
pleuré,pleurer,12
?,?,p
dit,dire,19
il,il,51
/.,/.,P
elle,il,51
répondit,répondre,19
simplement,simplement,60
