11335
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente et unième extrait>,<>,<>
il,il,51
voulût,vouloir,18
tirer,tirer,14
quelque,quelque,75
chose,chose,22
du,de,81
du,le,71
ministre,ministre,21
Mosca,Mosca,20
",",",",p
tant,tant,60
que,que,83
Mosca,Mosca,20
était,être,18
au,à,81
au,le,71
pouvoir,pouvoir,21
/.,/.,P
Rassi,Rassi,20
se,se,51
présenta,présenter,19
intrépidement,intrépidement,60
au,à,81
au,le,71
palais,palais,21
",",",",p
pensant,penser,13
bien,bien,60
qu',que,83
il,il,51
en,en,52
serait,être,16
quitte,quitte,30
pour,pour,81
quelques,quelque,75
coups,coup,21
de,de,81
pied,pied,21
;,;,p
le,le,71
prince,prince,21
ne,ne,60
pouvait,pouvoir,18
se,se,51
passer,passer,14
d',de,81
un,un,71
jurisconsulte,jurisconsulte,21
habile,habile,30
",",",",p
et,et,82
Rassi,Rassi,20
avait,avoir,18
fait,faire,12
exiler,exiler,14
comme,comme,83
libéraux,libéral,30
un,un,71
juge,juge,21
et,et,82
un,un,71
avocat,avocat,21
",",",",p
les,le,71
seuls,seul,30
hommes,homme,21
du,de,81
du,le,71
pays,pays,21
qui,qui,52
eussent,avoir,18
pu,pouvoir,12
prendre,prendre,14
sa,son,73
place,place,22
/.,/.,P
le,le,71
prince,prince,21
hors,hors,81
de,de,81
lui,lui,51
le,le,52
chargea,charger,19
d',de,81
injures,injure,22
et,et,82
avançait,avancer,18
sur,sur,81
lui,lui,51
pour,pour,81
le,le,52
battre,battre,14
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
c',ce,52
est,être,17
une,un,71
distraction,distraction,22
de,de,81
commis,commis,21
",",",",p
répondit,répondre,19
Rassi,Rassi,20
du,de,81
du,le,71
plus,plus,60
grand,grand,30
sang-froid,sang-froid,21
;,;,p
la,le,71
chose,chose,22
est,être,17
prescrite,prescrire,12
par,par,81
la,le,71
loi,loi,22
",",",",p
elle,il,51
aurait,avoir,16
dû,devoir,12
être,être,14
faite,faire,12
le,le,71
lendemain,lendemain,21
de,de,81
l',le,71
écrou,écrou,21
du,de,81
du,le,71
sieur,sieur,21
del,del,92
Dongo,Dongo,20
à,à,81
la,le,71
citadelle,citadelle,22
/.,/.,P
le,le,71
commis,commis,21
plein,plein,30
de,de,81
zèle,zèle,21
a,avoir,17
cru,croire,12
avoir,avoir,14
fait,faire,12
un,un,71
oubli,oubli,21
",",",",p
et,et,82
m',je,51
aura,avoir,15
fait,faire,12
signer,signer,14
la,le,71
lettre,lettre,22
d',de,81
envoi,envoi,21
comme,comme,83
une,un,71
chose,chose,22
de,de,81
forme,forme,22
/.,/.,P
-,-,p
et,et,82
tu,tu,51
prétends,prétendre,17
me,je,51
faire,faire,14
croire,croire,14
des,de,81
des,le,71
mensonges,mensonge,21
aussi,aussi,60
mal,mal,60
bâtis,bâti,31
?,?,p
s',se,51
écria,écrier,19
le,le,71
prince,prince,21
furieux,furieux,30
;,;,p
dis,dire,17
plutôt,plutôt,60
que,que,83
tu,tu,51
t',tu,51
es,être,17
vendu,vendre,12
à,à,81
ce,ce,74
fripon,fripon,21
de,de,81
Mosca,Mosca,20
",",",",p
et,et,82
c',ce,52
est,être,17
pour,pour,81
cela,cela,52
qu',que,83
il,il,51
t',tu,51
a,avoir,17
donné,donner,12
la,le,71
croix,croix,22
/.,/.,P
mais,mais,82
parbleu,parbleu,93
",",",",p
tu,tu,51
n',ne,60
en,en,52
seras,être,15
pas,pas,60
quitte,quitte,30
pour,pour,81
des,de,81
des,le,71
coups,coup,21
:,:,p
je,je,51
te,tu,51
ferai,faire,15
mettre,mettre,14
en,en,81
jugement,jugement,21
",",",",p
je,je,51
te,tu,51
révoquerai,révoquer,15
honteusement,honteusement,60
/.,/.,P
-,-,p
je,je,51
vous,vous,51
défie,défier,17
de,de,81
me,je,51
faire,faire,14
mettre,mettre,14
en,en,81
jugement,jugement,21
!,!,p
répondit,répondre,19
Rassi,Rassi,20
avec,avec,81
assurance,assurance,22
",",",",p
il,il,51
savait,savoir,18
que,que,83
c',ce,52
était,être,18
un,un,71
sûr,sûr,30
moyen,moyen,21
de,de,81
calmer,calmer,14
le,le,71
prince,prince,21
:,:,p
la,le,71
loi,loi,22
est,être,17
pour,pour,81
moi,moi,51
",",",",p
et,et,82
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
un,un,71
second,second,72
Rassi,Rassi,20
pour,pour,81
savoir,savoir,14
l',le,52
éluder,éluder,14
/.,/.,P
vous,vous,51
ne,ne,60
me,je,51
révoquerez,révoquer,15
pas,pas,60
",",",",p
parce qu',parce que,83
il,il,51
est,être,17
des,de,81
des,le,71
moments,moment,21
où,où,60
votre,votre,73
caractère,caractère,21
est,être,17
sévère,sévère,30
",",",",p
vous,vous,51
avez,avoir,17
soif,soif,22
de,de,81
sang,sang,21
alors,alors,60
",",",",p
mais,mais,82
en,en,81
même,même,75
temps,temps,21
vous,vous,51
tenez,tenir,17
à,à,81
conserver,conserver,14
l',le,71
estime,estime,22
des,de,81
des,le,71
Italiens,Italien,20
raisonnables,raisonnable,30
;,;,p
cette,ce,74
estime,estime,22
est,être,17
un,un,71
sine qua non,sine qua non,60
pour,pour,81
votre,votre,73
ambition,ambition,22
/.,/.,P
enfin,enfin,60
",",",",p
vous,vous,51
me,je,51
rappellerez,rappeler,15
au,à,81
au,le,71
premier,premier,72
acte,acte,21
de,de,81
sévérité,sévérité,22
dont,dont,52
votre,votre,73
caractère,caractère,21
vous,vous,51
fera,faire,15
un,un,71
besoin,besoin,21
",",",",p
et,et,82
",",",",p
comme,comme,83
à,à,81
l',le,71
ordinaire,ordinaire,22
",",",",p
je,je,51
vous,vous,51
procurerai,procurer,15
une,un,71
sentence,sentence,22
bien,bien,60
régulière,régulier,30
rendue,rendu,31
par,par,81
des,de,81
des,le,71
juges,juge,21
timides,timide,30
et,et,82
assez,assez,60
honnêtes,honnête,30
gens,gens,21
",",",",p
et,et,82
qui,qui,52
satisfera,satisfaire,15
vos,votre,73
passions,passion,22
/.,/.,P
trouvez,trouver,17
un,un,71
autre,autre,75
homme,homme,21
dans,dans,81
vos,votre,73
états,état,21
aussi,aussi,60
utile,utile,30
que,que,83
moi,moi,51
/!,/!,P
cela,cela,52
dit,dire,19
",",",",p
Rassi,Rassi,20
s',se,51
enfuit,enfuir,17
;,;,p
il,il,51
en,en,52
avait,avoir,18
été,être,12
quitte,quitte,30
pour,pour,81
un,un,71
coup,coup,21
de,de,81
règle,règle,22
bien,bien,60
appliqué,appliqué,31
et,et,82
cinq,cinq,72
ou,ou,82
six,six,72
coups,coup,21
de,de,81
pied,pied,21
/.,/.,P
en,en,81
sortant,sortir,13
du,de,81
du,le,71
palais,palais,21
",",",",p
il,il,51
partit,partir,19
pour,pour,81
sa,son,73
terre,terre,22
de,de,81
Riva,Riva,20
;,;,p
il,il,51
avait,avoir,18
quelque,quelque,75
crainte,crainte,22
d',de,81
un,un,71
coup,coup,21
de,de,81
poignard,poignard,21
dans,dans,81
le,le,71
premier,premier,72
mouvement,mouvement,21
de,de,81
colère,colère,22
",",",",p
mais,mais,82
il,il,51
ne,ne,60
doutait,douter,18
pas,pas,60
non,non,60
plus,plus,60
qu',que,83
avant,avant,81
quinze,quinze,72
jours,jour,21
un,un,71
courrier,courrier,21
ne,ne,60
le,le,52
rappelât,rappeler,18
dans,dans,81
la,le,71
capitale,capitale,22
/.,/.,P
il,il,51
employa,employer,19
le,le,71
temps,temps,21
qu',que,52
il,il,51
passa,passer,19
à,à,81
la,le,71
campagne,campagne,22
à,à,81
organiser,organiser,14
un,un,71
moyen,moyen,21
de,de,81
correspondance,correspondance,22
sûr,sûr,30
avec,avec,81
le,le,71
comte,comte,21
Mosca,Mosca,20
;,;,p
il,il,51
était,être,18
amoureux,amoureux,30
fou,fou,30
du,de,81
du,le,71
titre,titre,21
de,de,81
baron,baron,21
",",",",p
et,et,82
pensait,penser,18
que,que,83
le,le,71
prince,prince,21
faisait,faire,18
trop,trop,60
de,de,81
cas,cas,21
de,de,81
cette,ce,74
chose,chose,22
jadis,jadis,60
sublime,sublime,30
",",",",p
la,le,71
noblesse,noblesse,22
",",",",p
pour,pour,81
la,le,52
lui,lui,51
conférer,conférer,14
jamais,jamais,60
;,;,p
tandis que,tandis que,83
le,le,71
comte,comte,21
",",",",p
très,très,60
fier,fier,30
de,de,81
sa,son,73
naissance,naissance,22
",",",",p
n',ne,60
estimait,estimer,18
que,que,83
la,le,71
noblesse,noblesse,22
prouvée,prouvé,31
par,par,81
des,de,81
des,le,71
titres,titre,21
avant,avant,81
l',le,71
an,an,21
<Nombre 1400>,<>,<>
mille,mille,72
quatre,quatre,72
cent,cent,72
<Fin nombre>,<>,<>
/.,/.,P
le,le,71
fiscal,fiscal,21
général,général,30
ne,ne,60
s',se,51
était,être,18
point,point,60
trompé,tromper,12
dans,dans,81
ses,son,73
prévisions,prévision,22
:,:,p
il,il,51
y,y,52
avait,avoir,18
à,à,81
peine,peine,22
huit,huit,72
jours,jour,21
qu',que,83
il,il,51
était,être,18
à,à,81
sa,son,73
terre,terre,22
",",",",p
lorsqu',lorsque,83
un,un,71
ami,ami,21
du,de,81
du,le,71
prince,prince,21
",",",",p
qui,qui,52
y,y,52
vint,venir,19
par,par,81
hasard,hasard,21
",",",",p
lui,lui,51
conseilla,conseiller,19
de,de,81
retourner,retourner,14
à,à,81
Parme,Parme,20
sans,sans,81
délai,délai,21
;,;,p
le,le,71
prince,prince,21
le,le,52
reçut,recevoir,19
en,en,81
riant,rire,13
",",",",p
prit,prendre,19
ensuite,ensuite,60
un,un,71
air,air,21
fort,fort,60
sérieux,sérieux,30
",",",",p
et,et,82
lui,lui,51
fit,faire,19
jurer,jurer,14
sur,sur,81
l',le,71
Evangile,évangile,21
qu',que,83
il,il,51
garderait,garder,16
le,le,71
secret,secret,21
sur,sur,81
ce,ce,52
qu',que,52
il,il,51
allait,aller,18
lui,lui,51
confier,confier,14
;,;,p
Rassi,Rassi,20
jura,jurer,19
d',de,81
un,un,71
grand,grand,30
sérieux,sérieux,21
",",",",p
et,et,82
le,le,71
prince,prince,21
",",",",p
l',le,71
oeil,oeil,21
enflammé,enflammé,31
de,de,81
haine,haine,22
",",",",p
s',se,51
écria,écrier,19
qu',que,83
il,il,51
ne,ne,60
serait,être,16
pas,pas,60
le,le,71
maître,maître,21
chez,chez,81
lui,lui,51
tant,tant,60
que,que,83
Fabrice,Fabrice,20
del,del,92
Dongo,Dongo,20
serait,être,16
en,en,81
vie,vie,22
/.,/.,P
-,-,p
je,je,51
ne,ne,60
puis,pouvoir,17
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
",",",",p
ni,ni,82
chasser,chasser,14
la,le,71
duchesse,duchesse,22
ni,ni,82
souffrir,souffrir,14
sa,son,73
présence,présence,22
;,;,p
ses,son,73
regards,regard,21
me,je,51
bravent,braver,17
et,et,82
m',je,51
empêchent,empêcher,17
de,de,81
vivre,vivre,14
/.,/.,P
après,après,81
avoir,avoir,14
laissé,laisser,12
le,le,71
prince,prince,21
s',se,51
expliquer,expliquer,14
bien,bien,60
au,à,81
au,le,71
long,long,21
",",",",p
lui,lui,51
",",",",p
Rassi,Rassi,20
",",",",p
jouant,jouer,13
l',le,71
extrême,extrême,30
embarras,embarras,21
",",",",p
s',se,51
écria,écrier,19
enfin,enfin,60
:,:,p
-,-,p
votre,votre,73
altesse,altesse,22
sera,être,15
obéie,obéir,12
",",",",p
sans,sans,81
doute,doute,21
",",",",p
mais,mais,82
la,le,71
chose,chose,22
est,être,17
d',de,81
une,un,71
horrible,horrible,30
difficulté,difficulté,22
:,:,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
d',de,81
apparence,apparence,22
de,de,81
condamner,condamner,14
un,un,71
del,del,92
Dongo,Dongo,20
à,à,81
mort,mort,22
pour,pour,81
le,le,71
meurtre,meurtre,21
d',de,81
un,un,71
Giletti,Giletti,20
;,;,p
c',ce,52
est,être,17
déjà,déjà,60
un,un,71
tour,tour,21
de,de,81
force,force,22
étonnant,étonnant,30
que,que,83
d',de,81
avoir,avoir,14
tiré,tirer,12
de,de,81
cela,cela,52
douze,douze,72
années,année,22
de,de,81
citadelle,citadelle,22
/.,/.,P
de,de,81
plus,plus,60
",",",",p
je,je,51
soupçonne,soupçonner,17
la,le,71
duchesse,duchesse,22
d',de,81
avoir,avoir,14
découvert,découvrir,12
trois,trois,72
des,de,81
des,le,71
paysans,paysan,21
qui,qui,52
travaillaient,travailler,18
à,à,81
la,le,71
fouille,fouille,22
de,de,81
Sanguigna,Sanguigna,20
et,et,82
qui,qui,52
se,se,51
trouvaient,trouver,18
hors,hors,81
du,de,81
du,le,71
fossé,fossé,21
au,à,81
au,le,71
moment,moment,21
où,où,60
ce,ce,74
brigand,brigand,21
de,de,81
Giletti,Giletti,20
attaqua,attaquer,19
del,del,92
Dongo,Dongo,20
/.,/.,P
-,-,p
et,et,82
où,où,60
sont,être,17
ces,ce,74
témoins,témoin,21
?,?,p
dit,dire,19
le,le,71
prince,prince,21
irrité,irrité,31
/.,/.,P
-,-,p
cachés,caché,31
en,en,81
Piémont,Piémont,20
",",",",p
je,je,51
suppose,supposer,17
/.,/.,P
il,il,51
faudrait,falloir,16
une,un,71
conspiration,conspiration,22
contre,contre,81
la,le,71
vie,vie,22
de,de,81
votre,votre,73
altesse,altesse,22
/…,/…,P
-,-,p
ce,ce,74
moyen,moyen,21
a,avoir,17
ses,son,73
dangers,danger,21
",",",",p
dit,dire,19
le,le,71
prince,prince,21
",",",",p
cela,cela,52
fait,faire,17
songer,songer,14
à,à,81
la,le,71
chose,chose,22
/.,/.,P
-,-,p
mais,mais,82
pourtant,pourtant,60
",",",",p
dit,dire,19
Rassi,Rassi,20
avec,avec,81
une,un,71
feinte,feint,31
innocence,innocence,22
",",",",p
voilà,voilà,81
tout,tout,75
mon,mon,73
arsenal,arsenal,21
officiel,officiel,30
/.,/.,P
-,-,p
reste,rester,17
le,le,71
poison,poison,21
/…,/…,P
-,-,p
mais,mais,82
qui,qui,52
le,le,52
donnera,donner,15
/?,/?,P
sera,être,15
ce,ce,52
cet,ce,74
imbécile,imbécile,21
de,de,81
Conti,Conti,20
/?,/?,P
-,-,p
mais,mais,82
",",",",p
à,à,81
ce,ce,52
qu',que,52
on,on,51
dit,dire,17
",",",",p
ce,ce,52
ne,ne,60
serait,être,16
pas,pas,60
son,son,73
coup,coup,21
d',de,81
essai,essai,21
/…,/…,P
-,-,p
il,il,51
faudrait,falloir,16
le,le,52
mettre,mettre,14
en,en,81
colère,colère,22
",",",",p
reprit,reprendre,19
Rassi,Rassi,20
;,;,p
et,et,82
d',de,81
ailleurs,ailleurs,60
",",",",p
lorsqu',lorsque,83
il,il,51
expédia,expédier,19
le,le,71
capitaine,capitaine,21
",",",",p
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
trente,trente,72
ans,an,21
",",",",p
et,et,82
il,il,51
était,être,18
amoureux,amoureux,30
et,et,82
infiniment,infiniment,60
moins,moins,60
pusillanime,pusillanime,30
que,que,83
de,de,81
nos,notre,73
jours,jour,21
/.,/.,P
sans,sans,81
doute,doute,21
",",",",p
tout,tout,52
doit,devoir,17
céder,céder,14
à,à,81
la,le,71
raison,raison,22
d',de,81
Etat,état,21
;,;,p
mais,mais,82
",",",",p
ainsi,ainsi,60
pris,prendre,19
au,à,81
au,le,71
dépourvu,dépourvu,31
et,et,82
à,à,81
la,le,71
première,premier,72
vue,vue,22
",",",",p
je,je,51
ne,ne,60
vois,voir,17
",",",",p
pour,pour,81
exécuter,exécuter,14
les,le,71
ordres,ordre,21
du,de,81
du,le,71
souverain,souverain,21
",",",",p
qu',que,83
un,un,71
nommé,nommé,31
Barbone,Barbone,20
",",",",p
commis,commis,31
greffier,greffier,21
de,de,81
la,le,71
prison,prison,22
",",",",p
et,et,82
que,que,52
le,le,71
sieur,sieur,21
del,del,92
Dongo,Dongo,20
renversa,renverser,19
d',de,81
un,un,71
soufflet,soufflet,21
le,le,71
jour,jour,21
qu',que,52
il,il,51
y,y,52
entra,entrer,19
/.,/.,P
une,un,71
fois,fois,22
le,le,71
prince,prince,21
mis,mis,31
à,à,81
son,son,73
aise,aise,22
",",",",p
la,le,71
conversation,conversation,22
fut,être,19
infinie,infini,30
;,;,p
il,il,51
la,le,52
termina,terminer,19
en,en,81
accordant,accorder,13
à,à,81
son,son,73
fiscal,fiscal,21
général,général,30
un,un,71
délai,délai,21
d',de,81
un,un,71
mois,mois,21
;,;,p
le,le,71
Rassi,Rassi,20
en,en,52
voulait,vouloir,18
deux,deux,72
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
il,il,51
reçut,recevoir,19
une,un,71
gratification,gratification,22
secrète,secret,30
de,de,81
mille,mille,72
sequins,sequin,21
/.,/.,P
pendant,pendant,81
trois,trois,72
jours,jour,21
il,il,51
réfléchit,réfléchir,19
;,;,p
le,le,71
quatrième,quatrième,72
il,il,51
revint,revenir,19
à,à,81
son,son,73
raisonnement,raisonnement,21
",",",",p
qui,qui,52
lui,lui,51
semblait,sembler,18
évident,évident,30
:,:,p
le,le,71
seul,seul,30
comte,comte,21
Mosca,Mosca,20
aura,avoir,15
le,le,71
coeur,coeur,21
de,de,81
me,je,51
tenir,tenir,14
parole,parole,22
parce que,parce que,83
",",",",p
en,en,81
me,je,51
faisant,faire,13
baron,baron,21
",",",",p
il,il,51
ne,ne,60
me,je,51
donne,donner,17
pas,pas,60
ce,ce,52
qu',que,52
il,il,51
estime,estimer,17
;,;,p
secondo,secondo,60
",",",",p
en,en,81
l',le,52
avertissant,avertir,13
",",",",p
je,je,51
me,je,51
sauve,sauver,17
probablement,probablement,60
d',de,81
un,un,71
crime,crime,21
pour,pour,81
lequel,lequel,52
je,je,51
suis,être,17
à,à,81
peu,peu,60
près,près,81
payé,payer,12
d',de,81
avance,avance,22
;,;,p
tertio,tertio,60
",",",",p
je,je,51
venge,venger,17
les,le,71
premiers,premier,72
coups,coup,21
humiliants,humiliant,30
qu',que,52
ait,avoir,17
reçus,recevoir,12
le,le,71
chevalier,chevalier,21
Rassi,Rassi,20
/.,/.,P
la,le,71
nuit,nuit,22
suivante,suivant,30
",",",",p
il,il,51
communiqua,communiquer,19
au,à,81
au,le,71
comte,comte,21
Mosca,Mosca,20
toute,tout,75
sa,son,73
conversation,conversation,22
avec,avec,81
le,le,71
prince,prince,21
/.,/.,P
le,le,71
comte,comte,21
faisait,faire,18
en,en,81
secret,secret,21
la,le,71
cour,cour,22
à,à,81
la,le,71
duchesse,duchesse,22
;,;,p
il,il,51
est,être,17
bien,bien,60
vrai,vrai,30
qu',que,83
il,il,51
ne,ne,60
la,le,52
voyait,voir,18
toujours,toujours,60
chez,chez,81
elle,il,51
qu',que,83
une,un,71
ou,ou,82
deux,deux,72
fois,fois,22
par,par,81
mois,mois,21
",",",",p
mais,mais,82
presque,presque,60
toutes,tout,75
les,le,71
semaines,semaine,22
et,et,82
quand,quand,83
il,il,51
savait,savoir,18
faire,faire,14
naître,naître,14
les,le,71
occasions,occasion,22
de,de,81
parler,parler,14
de,de,81
Fabrice,Fabrice,20
",",",",p
la,le,71
duchesse,duchesse,22
",",",",p
accompagnée,accompagné,31
de,de,81
Chékina,Chékina,20
",",",",p
venait,venir,18
dans,dans,81
la,le,71
soirée,soirée,22
avancée,avancé,31
",",",",p
passer,passer,14
quelques,quelque,75
instants,instant,21
dans,dans,81
le,le,71
jardin,jardin,21
du,de,81
du,le,71
comte,comte,21
/.,/.,P
elle,il,51
savait,savoir,18
tromper,tromper,14
même,même,60
son,son,73
cocher,cocher,21
",",",",p
qui,qui,52
lui,lui,51
était,être,18
dévoué,dévouer,12
et,et,82
qui,qui,52
la,le,52
croyait,croire,18
en,en,81
visite,visite,22
dans,dans,81
une,un,71
maison,maison,22
voisine,voisin,30
/.,/.,P
on,on,51
peut,pouvoir,17
penser,penser,14
si,si,83
le,le,71
comte,comte,21
",",",",p
ayant,avoir,13
reçu,recevoir,12
la,le,71
terrible,terrible,30
confidence,confidence,22
du,de,81
du,le,71
fiscal,fiscal,21
",",",",p
fit,faire,19
aussitôt,aussitôt,60
à,à,81
la,le,71
duchesse,duchesse,22
le,le,71
signal,signal,21
convenu,convenu,31
/.,/.,P
quoique,quoique,83
l',l',94
on,on,51
fût,être,19
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
nuit,nuit,22
",",",",p
elle,il,51
le,le,52
fit,faire,19
prier,prier,14
par,par,81
la,le,71
Chékina,Chékina,20
de,de,81
passer,passer,14
à,à,81
l',le,71
instant,instant,21
chez,chez,81
elle,il,51
/.,/.,P
le,le,71
comte,comte,21
",",",",p
ravi,ravi,31
comme,comme,83
un,un,71
amoureux,amoureux,21
de,de,81
cette,ce,74
apparence,apparence,22
d',de,81
intimité,intimité,22
",",",",p
hésitait,hésiter,18
cependant,cependant,82
à,à,81
tout,tout,52
dire,dire,14
à,à,81
la,le,71
duchesse,duchesse,22
;,;,p
il,il,51
craignait,craindre,18
de,de,81
la,le,52
voir,voir,14
devenir,devenir,14
folle,fou,30
de,de,81
douleur,douleur,22
/.,/.,P
après,après,81
avoir,avoir,14
cherché,chercher,12
des,de,81
des,le,71
demi-mots,demi-mot,21
pour,pour,81
mitiger,mitiger,14
l',le,71
annonce,annonce,22
fatale,fatal,30
",",",",p
il,il,51
finit,finir,19
cependant,cependant,82
par,par,81
lui,lui,51
tout,tout,52
dire,dire,14
;,;,p
il,il,51
n',ne,60
était,être,18
pas,pas,60
en,en,81
son,son,73
pouvoir,pouvoir,21
de,de,81
garder,garder,14
un,un,71
secret,secret,21
qu',que,52
elle,il,51
lui,lui,51
demandait,demander,18
/.,/.,P
depuis,depuis,81
neuf,neuf,72
mois,mois,21
le,le,71
malheur,malheur,21
extrême,extrême,30
avait,avoir,18
eu,avoir,12
une,un,71
grande,grand,30
influence,influence,22
sur,sur,81
cette,ce,74
âme,âme,22
ardente,ardent,30
",",",",p
elle,il,51
l',le,52
avait,avoir,18
fortifiée,fortifier,12
",",",",p
et,et,82
la,le,71
duchesse,duchesse,22
ne,ne,60
s',se,51
emporta,emporter,19
point,point,60
en,en,81
sanglots,sanglot,21
ou,ou,82
en,en,81
plaintes,plainte,22
/.,/.,P
le,le,71
lendemain,lendemain,21
soir,soir,21
elle,il,51
fit,faire,19
faire,faire,14
à,à,81
Fabrice,Fabrice,20
le,le,71
signal,signal,21
du,de,81
du,le,71
grand,grand,30
péril,péril,21
/.,/.,P
le,le,71
feu,feu,21
a,avoir,17
pris,prendre,12
au,à,81
au,le,71
château,château,21
/.,/.,P
il,il,51
répondit,répondre,19
fort,fort,60
bien,bien,60
/.,/.,P
mes,mon,73
livres,livre,21
sont,être,17
ils,ils,51
brûlés,brûler,12
/?,/?,P
la,le,71
même,même,75
nuit,nuit,22
elle,il,51
eut,avoir,19
le,le,71
bonheur,bonheur,21
de,de,81
lui,lui,51
faire,faire,14
parvenir,parvenir,14
une,un,71
lettre,lettre,22
dans,dans,81
une,un,71
balle,balle,22
de,de,81
plomb,plomb,21
/.,/.,P
ce,ce,52
fut,être,19
huit,huit,72
jours,jour,21
après,après,81
qu',que,83
eut,avoir,19
lieu,lieu,21
le,le,71
mariage,mariage,21
de,de,81
la,le,71
soeur,soeur,22
du,de,81
du,le,71
marquis,marquis,21
Crescenzi,Crescenzi,20
",",",",p
où,où,60
la,le,71
duchesse,duchesse,22
commit,commettre,19
une,un,71
énorme,énorme,30
imprudence,imprudence,22
dont,dont,52
nous,nous,51
rendrons,rendre,15
compte,compte,21
en,en,81
son,son,73
lieu,lieu,21
/.,/.,P
<Livre Second - Chapitre XXI>,<>,<>
à,à,81
l',le,71
époque,époque,22
de,de,81
ses,son,73
malheurs,malheur,21
il,il,51
y,y,52
avait,avoir,18
déjà,déjà,60
près,près,81
d',de,81
une,un,71
année,année,22
que,que,52
la,le,71
duchesse,duchesse,22
avait,avoir,18
fait,faire,12
une,un,71
rencontre,rencontre,22
singulière,singulier,30
:,:,p
un,un,71
jour,jour,21
qu',que,83
elle,il,51
avait,avoir,18
la,le,71
luna,luna,92
",",",",p
comme,comme,83
on,on,51
dit,dire,17
dans,dans,81
le,le,71
pays,pays,21
",",",",p
elle,il,51
était,être,18
allée,aller,12
à l'improviste,à l'improviste,60
",",",",p
sur,sur,81
le,le,71
soir,soir,21
",",",",p
à,à,81
son,son,73
château,château,21
de,de,81
Sacca,Sacca,20
",",",",p
situé,situé,31
au-delà,au-delà,60
de,de,81
Colorno,Colorno,20
",",",",p
sur,sur,81
la,le,71
colline,colline,22
qui,qui,52
domine,dominer,17
le,le,71
Pô,Pô,20
/.,/.,P
elle,il,51
se,se,51
plaisait,plaire,18
à,à,81
embellir,embellir,14
cette,ce,74
terre,terre,22
;,;,p
elle,il,51
aimait,aimer,18
la,le,71
vaste,vaste,30
forêt,forêt,22
qui,qui,52
couronne,couronner,17
la,le,71
colline,colline,22
et,et,82
touche,toucher,17
au,à,81
au,le,71
château,château,21
;,;,p
elle,il,51
s',se,51
occupait,occuper,18
à,à,81
y,y,52
faire,faire,14
tracer,tracer,14
des,de,81
des,le,71
sentiers,sentier,21
dans,dans,81
des,de,81
des,le,71
directions,direction,22
pittoresques,pittoresque,30
/.,/.,P
-,-,p
vous,vous,51
vous,vous,51
ferez,faire,15
enlever,enlever,14
par,par,81
les,le,71
brigands,brigand,21
",",",",p
belle,beau,30
duchesse,duchesse,22
",",",",p
lui,lui,51
disait,dire,18
un,un,71
jour,jour,21
le,le,71
prince,prince,21
;,;,p
il,il,51
est,être,17
impossible,impossible,30
qu',que,83
une,un,71
forêt,forêt,22
où,où,60
l',l',94
on,on,51
sait,savoir,17
que,que,83
vous,vous,51
vous,vous,51
promenez,promener,17
",",",",p
reste,rester,17
déserte,désert,30
/.,/.,P
le,le,71
prince,prince,21
jetait,jeter,18
un,un,71
regard,regard,21
sur,sur,81
le,le,71
comte,comte,21
dont,dont,52
il,il,51
prétendait,prétendre,18
émoustiller,émoustiller,14
la,le,71
jalousie,jalousie,22
/.,/.,P
-,-,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
de,de,81
craintes,crainte,22
",",",",p
altesse,altesse,22
sérénissime,sérénissime,30
",",",",p
répondit,répondre,19
la,le,71
duchesse,duchesse,22
d',de,81
un,un,71
air,air,21
ingénu,ingénu,30
",",",",p
quand,quand,83
je,je,51
me,je,51
promène,promener,17
dans,dans,81
mes,mon,73
bois,bois,21
;,;,p
je,je,51
me,je,51
rassure,rassurer,17
par,par,81
cette,ce,74
pensée,pensée,22
:,:,p
je,je,51
n',ne,60
ai,avoir,17
fait,faire,12
de,de,81
mal,mal,21
à,à,81
personne,personne,52
",",",",p
qui,qui,52
pourrait,pouvoir,16
me,je,51
haïr,haïr,14
/?,/?,P
ce,ce,74
propos,propos,21
fut,être,19
trouvé,trouver,12
hardi,hardi,30
",",",",p
il,il,51
rappelait,rappeler,18
les,le,71
injures,injure,22
proférées,proféré,31
par,par,81
les,le,71
libéraux,libéral,21
du,de,81
du,le,71
pays,pays,21
",",",",p
gens,gens,21
fort,fort,60
insolents,insolent,30
/.,/.,P
le,le,71
jour,jour,21
de,de,81
la,le,71
promenade,promenade,22
dont,dont,52
nous,nous,51
parlons,parler,17
",",",",p
le,le,71
propos,propos,21
du,de,81
du,le,71
prince,prince,21
revint,revenir,19
à,à,81
l',le,71
esprit,esprit,21
de,de,81
la,le,71
duchesse,duchesse,22
",",",",p
en,en,81
remarquant,remarquer,13
un,un,71
homme,homme,21
fort,fort,60
mal,mal,60
vêtu,vêtu,31
qui,qui,52
la,le,52
suivait,suivre,18
de,de,81
